"job_title","department","earnings"
"CONTROL & DATA SYS SPECIALIST","UT PROCESS & SUPERVIS CNTR DIV","71944.06"
"ELECTRIC LINEWORKER","ELECTRIC FIELD SERVICES","71858.49"
"POLICE RECORDS SUPERVISOR","POLICE INFORMATION SERVICES","71825.4"
"PARKS SUPERVISOR","PARKS","71723.52"
"SPECIAL EVENTS COORDINATOR","PDT ADMINISTRATION","71674.66"
"APPRENTICE LANDSCAPE ARCHITECT","PARK PLANNING & DEVELOPMENT","71591.39"
"PLANT OPERATOR","UT WATER PRODUCTION DIV","71548.56"
"ELECTRICAL ENGINEER II","UT ELEC SYSTEM DESIGN & IT DIV","71506.42"
"ELECTRIC METER TECH","UT STANDARDS ENGINEERING DIV","71498.58"
"PROGRAMS ADMINISTRATOR/DDA","DOWNTOWN DEVELOPMENT AUTHORITY","71450.04"
"FINANCIAL ANALYST","UTILITY FINANCIAL OPERATIONS","71378.2"
"CHEMIST","UT WATER QUALITY SERVICES DIV","71226.86"
"CONTROL & DATA SYS SPECIALIST","UT PROCESS & SUPERVIS CNTR DIV","71198.3"
"MAINTENANCE SPECIALIST","UT WATER PRODUCTION DIV","71163.42"
"TRANSIT PLANNER","TRANSFORT / PARKING SERVICES","71139.0"
"COMMUNITY SERVICE OFFICER","PATROL","71129.84"
"TRAFFIC ENGINEERING TECH III","TRAFFIC","70951.08"
"PARKS SUPERVISOR","PARKS","70917.77"
"WATERSHED SPECIALIST","UT WATER QUALITY SERVICES DIV","70914.5"
"COMMUNITY SERVICE OFFICER","PATROL","70862.05"
"FORESTRY CREW CHIEF","PARKS","70798.88"
"FINANCIAL ANALYST II","OFFICE OF THE CHIEF","70673.6"
"PLANT OPERATOR","UT WATER PRODUCTION DIV","70391.41"
"PLANT OPERATOR","UT WATER PRODUCTION DIV","70215.63"
"UTILITIES ADMIN SERVICES SUPV","UTILITIES MANAGEMENT","70144.23"
"POLICE RECORDS SUPERVISOR","POLICE INFORMATION SERVICES","69985.28"
"SR BUDGET ANALYST","BUDGET","69946.55"
"POLICE ASSISTANT CHIEF","PATROL","69943.07"
"MECHANIC","OPERATION SERVICES","69939.18"
"POLICE SERVICES TECHNICIAN","POLICE INFORMATION SERVICES","69921.75"
"CULTURAL SVCS AND FAC DIRECTOR","CULTURAL SERVICES","69831.72"
"CONSTRUCTION INSPECTOR","ENGINEERING","69804.62"
"CREW CHIEF","NATURAL AREAS","69556.7"
"CHEMIST","UT WATER QUALITY SERVICES DIV","69534.55"
"INDUSTRIAL PRETREATMENT SPEC","UT WTR RECLAMA & BIOSOLIDS DIV","69527.59"
"ENVIRONMENTAL PROGRAM MANAGER","ENVIRONMENTAL SERVICES","69467.32"
"EMERGENCY SERVICES DISPATCHER","POLICE INFORMATION SERVICES","69414.56"
"ROAD SUPERVISOR","TRANSFORT / PARKING SERVICES","69371.98"
"EMERGENCY SERVICES DISPATCHER","POLICE INFORMATION SERVICES","69343.66"
"PROPERTY / EVIDENCE SUPERVISOR","POLICE INFORMATION SERVICES","69300.32"
"SR ENVIRONMENTAL PLANNER","ENVIRONMENTAL SERVICES","69299.58"
"CRIME PREVENTION SPECIALIST","PATROL","69217.04"
"CONSTRUCTION INSPECTOR","ENGINEERING","69152.93"
"EMERGENCY SERVICES DISPATCHER","POLICE INFORMATION SERVICES","69142.52"
"MECHANIC","OPERATION SERVICES","69100.25"
"MECHANIC","OPERATION SERVICES","69016.21"
"ENVIRONMENTAL PLANNER","UTILITIES CUSTOMER CONNECTIONS","68985.06"
"POLICE SERVICES TECHNICIAN","POLICE INFORMATION SERVICES","68975.55"
"CAPTAIN I - 40 HR/WK","POUDRE FIRE AUTHORITY","68909.5"
"WATER SUPPLY CONTROLLER","UT WATER PRODUCTION DIV","68881.9"
"FINANCIAL COORDINATOR","TRAFFIC","68866.84"
"WATER UTILITY MAINT OPERATOR","UT DISTRIBUTION SYSTEM DIV","68827.21"
"CREW CHIEF","PARKS","68767.5"
"ASST SUPERINTENDENT-GOLF","PARKS","68753.22"
"ENVIR EDUC & VOLUNTR COORDNTR","NATURAL AREAS","68743.15"
"PUBLIC RELATIONS COORDINATOR","COMM. & PUBLIC INVOLVEMENT","68716.15"
"BUILDING INSPECTOR","COMM DEV & NEIGHBORHOOD SVCS","68706.82"
"MAINTENANCE SPECIALIST","UT WTR RECLAMA & BIOSOLIDS DIV","68700.58"
"CHANGE MANAGEMENT ANALYST","INFORMATION TECHNOLOGY","68698.15"
"EMERGENCY SERVICES DISPATCHER","POLICE INFORMATION SERVICES","68689.34"
"CIVIL ENGINEER II","ENGINEERING","68670.0"
"FIREFIGHTER I - 56 HR/WK","POUDRE FIRE AUTHORITY","68663.51"
"INSTRUMENT/ELECTRIC TECH","UT WATER PRODUCTION DIV","68660.41"
"RECREATION SUPERVISOR","RECREATION","68609.0"
"UTILITY BILLING SUPERVISOR","UTILITIES CUSTOMER CONNECTIONS","68595.19"
"MECHANIC","OPERATION SERVICES","68561.14"
"EMERGENCY SERVICES DISPATCHER","POLICE INFORMATION SERVICES","68515.78"
"CITY PLANNER","COMM DEV & NEIGHBORHOOD SVCS","68486.9"
"CITY PLANNER","COMM DEV & NEIGHBORHOOD SVCS","68479.7"
"CIVIL ENGINEER II","TRAFFIC","68465.6"
"CREW CHIEF","PARKS","68342.54"
"BATTALION CHIEF II - 40 HR/WK","POUDRE FIRE AUTHORITY","68340.0"
"CHEMIST","UT WATER QUALITY SERVICES DIV","68291.89"
"GIS PROGRAMMER/ANALYST","INFORMATION TECHNOLOGY","68274.81"
"CRIME ANALYST","OFFICE OF THE CHIEF","68235.94"
"CIVIL ENGINEER I","ENGINEERING","68179.26"
"EMERGENCY SERVICES DISPATCHER","POLICE INFORMATION SERVICES","68178.66"
"CREW CHIEF","UT DISTRIBUTION SYSTEM DIV","68156.86"
"WATER RESOURCES ENGINEER","UT WATER RESOURCES DIV","68004.48"
"CREW CHIEF","PARKS","67979.31"
"MATERIAL CONTROL SUPERVISOR","UT STANDARDS ENGINEERING DIV","67953.11"
"SYSTEMS ADMINISTRATOR","LIBRARY DISTRICT","67921.94"
"SR SALES TAX AUDITOR","SALES TAX","67752.0"
"PLANT OPERATOR","UT WATER PRODUCTION DIV","67645.6"
"EMERGENCY SERVICES DISPATCHER","POLICE INFORMATION SERVICES","67645.59"
"HVAC LEAD","OPERATION SERVICES","67636.67"
"CREW CHIEF","UT WATER METERS DIV","67614.02"
"UTILITIES EDUCATION SUPERVISOR","UTILITIES CUSTOMER CONNECTIONS","67611.64"
"REVENUE/LICENSING AGENT","SALES TAX","67582.31"
"MAINTENANCE SPECIALIST","UT WTR RECLAMA & BIOSOLIDS DIV","67576.34"
"ROAD SUPERVISOR","TRANSFORT / PARKING SERVICES","67545.27"
"CHEMIST","UT WATER PRODUCTION DIV","67503.64"
"REAL ESTATE SPECIALIST III","OPERATION SERVICES","67378.05"
"STREETS EQUIPMENT OPERATOR II","STREETS","67372.12"
"CONSTRUCTION INSPECTOR","STREETS","67290.69"
"RESTORATIVE JUSTICE PROG COORD","COMM DEV & NEIGHBORHOOD SVCS","67277.23"
"FINANCE COORDINATOR/DDA","DOWNTOWN DEVELOPMENT AUTHORITY","67216.46"
"POLICE REPORT SPECIALIST","POLICE INFORMATION SERVICES","67189.98"
"TRAFFIC CONTROL SUPERVISOR","STREETS","67103.21"
"BENEFITS ANALYST","HUMAN RESOURCES","67057.27"
"POLICE OFFICER","PATROL","67035.29"
"SYSTEMS SPECIALIST","INFORMATION TECHNOLOGY","66990.96"
"CRIME ANALYST","PATROL","66973.25"
"FIREFIGHTER I - 56 HR/WK","POUDRE FIRE AUTHORITY","66940.2"
"BLDG CONTROL SYSTEM MAINT SPEC","OPERATION SERVICES","66886.2"
"ELECTRIC METER TECH","UT STANDARDS ENGINEERING DIV","66869.63"
"CONSTRUCTION INSPECTOR","STREETS","66813.38"
"ENVIRONMENTAL PLANNER","ENVIRONMENTAL SERVICES","66781.74"
"RECREATION SUPERVISOR","RECREATION","66777.69"
"WATER QUALITY SERVICES MANAGER","UT WATER QUALITY SERVICES DIV","66770.0"
"SYSTEMS & PERFORMANCE ANALYST","TRANSFORT / PARKING SERVICES","66766.6"
"SURVEY PARTY CHIEF","ENGINEERING","66751.6"
"MECHANIC","OPERATION SERVICES","66746.58"
"POLICE OFFICER","PATROL","66706.51"
"EQUIPMENT OPERATOR SPECIALIST","STREETS","66602.31"
"BUSINESS PROCESS ANLAYST","L&P OPERATIONS SERVICE UNIT","66562.5"
"CONSTRUCTION INSPECTOR","STREETS","66493.55"
"ENVIRONMENTAL PLANNER","ENVIRONMENTAL SERVICES","66467.76"
"VICTIM ADVOCATE","INVESTIGATIONS","66450.32"
"CIVIL ENGINEER","UT WATER SYSTEMS ENGR DIV","66386.96"
"TRAFFIC CONTROL SUPERVISOR","STREETS","66353.88"
"POLICY AND PROJECT ANALYST","CITY MANAGER'S OFFICE","66319.44"
"ASST SUPERINTENDENT-GOLF","PARKS","66255.29"
"ENVIRONMENTAL PLANNER","UTILITIES CUSTOMER CONNECTIONS","66163.12"
"EMERGENCY SERVICES DISPATCHER","POLICE INFORMATION SERVICES","66080.65"
"EMERGENCY SERVICES DISPATCHER","POLICE INFORMATION SERVICES","66075.83"
"LEARNING & DEVELOPMENT COORD","HUMAN RESOURCES","66071.52"
"POLICE REPORT SPECIALIST","POLICE INFORMATION SERVICES","66058.85"
"NATURAL AREAS TRAILS RANGER","NATURAL AREAS","65981.03"
"EMERGENCY SERVICES DISPATCHER","POLICE INFORMATION SERVICES","65928.63"
"ELEC INSTRUMENT & CONTROL SPEC","UT WTR RECLAMA & BIOSOLIDS DIV","65716.14"
"LEGAL EXEC ADMIN ASST","CITY ATTORNEY'S OFFICE","65664.23"
"COMMUNITY SERVICE OFFICER","PATROL","65627.97"
"NATURAL AREAS TRAILS RANGER","NATURAL AREAS","65611.33"
"ROAD SUPERVISOR","TRANSFORT / PARKING SERVICES","65606.67"
"ASST SUPERINTENDENT-GOLF","PARKS","65556.74"
"FINANCIAL ANALYST II","TRANSFORT / PARKING SERVICES","65517.92"
"POLICE OFFICER","PATROL","65467.5"
"BUILDING INSPECTOR","COMM DEV & NEIGHBORHOOD SVCS","65422.04"
"COMMUNITY SERVICE OFFICER","PATROL","65298.92"
"ELECTRIC METER TECH","UT STANDARDS ENGINEERING DIV","65201.18"
"MAINTENANCE SPECIALIST","UT WATER PRODUCTION DIV","65105.13"
"DIR OF COMMUNITY CONNECTIONS","CULTURAL SERVICES","65015.0"
"EMERGENCY SERVICES DISPATCHER","POLICE INFORMATION SERVICES","64887.77"
"FINANCIAL COORDINATOR","STREETS","64812.33"
"GRANTS DVLPMNT SPECIALST-INACT","ACCOUNTING AND TREASURY","64695.26"
"ELEC INSTRUMENT & CONTROL SPEC","UT WTR RECLAMA & BIOSOLIDS DIV","64668.41"
"MECHANIC","OPERATION SERVICES","64588.36"
"EMERGENCY SERVICES DISPATCHER","POLICE INFORMATION SERVICES","64445.99"
"FIREFIGHTER I - 56 HR/WK","POUDRE FIRE AUTHORITY","64409.03"
"CODE INSPECTOR","POUDRE FIRE AUTHORITY","64340.72"
"FACILITIES LOCATE SUPERVISOR","ELECTRIC FIELD SERVICES","64249.34"
"FIGURE AND FREESTYLE COACH","RECREATION","64204.8"
"CROSS CONNECTION CONTROL TECH","UT DISTRIBUTION SYSTEM DIV","64201.01"
"CREDIT/COLLECTIONS REP","UTILITIES CUSTOMER CONNECTIONS","64159.69"
"NATURAL AREAS TRAILS RANGER","NATURAL AREAS","64100.8"
"PROPERTY EVIDENCE TECHNICIAN","POLICE INFORMATION SERVICES","64050.84"
"FIREFIGHTER I - 56 HR/WK","POUDRE FIRE AUTHORITY","64037.2"
"POLICE REPORT SPECIALIST","POLICE INFORMATION SERVICES","64020.26"
"PC HARDWR/SOFTWRE SPECIALIST","INFORMATION TECHNOLOGY","63890.82"
"SYSTEMS SPECIALIST","INFORMATION TECHNOLOGY","63809.94"
"TRAFFIC ENGINEERING TECH II","TRAFFIC","63771.37"
"RECREATION COORDINATOR","RECREATION","63729.7"
"MECHANIC","OPERATION SERVICES","63668.08"
"LIBRARIAN -CHILDREN'S SERVICES","LIBRARY DISTRICT","63611.7"
"FACILITIES LEAD LOCATOR","ELECTRIC FIELD SERVICES","63609.99"
"PLANT OPERATOR","UT WATER PRODUCTION DIV","63606.79"
"ADMIN ASST & BOARD COORD","POUDRE FIRE AUTHORITY","63515.93"
"BUILDING INSPECTOR","COMM DEV & NEIGHBORHOOD SVCS","63416.76"
"NATURAL AREAS TRAILS RANGER","NATURAL AREAS","63402.56"
"MECHANIC","OPERATION SERVICES","63398.98"
"POLICE OFFICER","PATROL","63388.08"
"POLICE INVESTIGATIVE AIDE","INVESTIGATIONS","63377.72"
"GRAPHICS SPECIALIST","COMM. & PUBLIC INVOLVEMENT","63359.55"
"SR COMMUNICATIONS & MKTG SPEC","UTILITIES CUSTOMER CONNECTIONS","63294.82"
"PLANT OPERATOR","UT WTR RECLAMA & BIOSOLIDS DIV","63204.37"
"FINANCIAL ANALYST","UTILITY FINANCIAL OPERATIONS","63136.5"
"MECHANIC","OPERATION SERVICES","62905.74"
"SR ASSISTANT CITY ATTORNEY","CITY ATTORNEY'S OFFICE","62835.32"
"PARKS & RECREATION PR SUPV","RECREATION","62798.14"
"POLICE OFFICER","PATROL","62794.5"
"ENVIRONMENTAL PLANNER","NATURAL AREAS","62701.92"
"PROPERTY EVIDENCE TECHNICIAN","POLICE INFORMATION SERVICES","62554.38"
"LIBRARIAN - BUSINESS SERVICES","LIBRARY DISTRICT","62550.33"
"DEPUTY CITY CLERK","CITY CLERK'S OFFICE","62486.34"
"WELLNESS PROGRAM COORDINATOR","HUMAN RESOURCES","62458.98"
"MECHANIC","OPERATION SERVICES","62367.51"
"PUBLIC RELATIONS COORDINATOR","COMM. & PUBLIC INVOLVEMENT","62358.55"
"RECREATION SUPERVISOR","RECREATION","62340.0"
"MECHANIC","OPERATION SERVICES","62315.91"
"SR SALES TAX AUDITOR","SALES TAX","62274.65"
"ELECTRONIC TECHNICIAN II","UT STANDARDS ENGINEERING DIV","62252.12"
"CONSTRUCTION INSPECTOR","STREETS","62228.06"
"INSTRUMENT/ELECTRIC TECH","UT WATER PRODUCTION DIV","62220.54"
"POLICE INVESTIGATIVE AIDE","INVESTIGATIONS","62220.29"
"AQUATICS MAINTENANCE LEAD","OPERATION SERVICES","62189.07"
"EMERGENCY MANAGEMENT SPEC","POUDRE FIRE AUTHORITY","62172.94"
"SR CODE COMPLNCE INSP/OCCUPNCY","COMM DEV & NEIGHBORHOOD SVCS","62167.77"
"MUNICIPAL COURT ADMINISTRATOR","MUNICIPAL COURT","62145.24"
"COMMUNITY ENGAGEMENT SPECIALST","UTILITIES CUSTOMER CONNECTIONS","62145.14"
"IT ANALYST","POUDRE FIRE AUTHORITY","62135.63"
"CONSTRUCTION INSPECTOR","ENGINEERING","62115.25"
"MECHANIC","OPERATION SERVICES","62079.62"
"UTILITIES PLANNER/SCHEDULER","UT WTR RECLAMA & BIOSOLIDS DIV","62077.5"
"BATTALION CHIEF II - 40 HR/WK","POUDRE FIRE AUTHORITY","62061.54"
"PLANT OPERATOR","UT WTR RECLAMA & BIOSOLIDS DIV","62056.83"
"TRAFFIC SIGNAL TECH I","TRAFFIC","62051.7"
"WATER UTILITY MAINT OPERATOR","UT DRAINAGE SYSTEM DIV","61993.54"
"POLICE INVESTIGATIVE AIDE","INVESTIGATIONS","61945.72"
"LIBRARIAN-COLLECTN DEV ADULT","LIBRARY DISTRICT","61891.45"
"WEB APPLICATIONS DEVELOPER","LIBRARY DISTRICT","61874.61"
"TELECOM SYSTEMS ADMINISTRATOR","L&P OPERATIONS SERVICE UNIT","61854.09"
"ACCOUNTANT II","ACCOUNTING AND TREASURY","61842.6"
"PROPERTY EVIDENCE TECHNICIAN","POLICE INFORMATION SERVICES","61697.46"
"COMMUNITY SERVICE OFFICER","PATROL","61691.85"
"FORESTRY CREW CHIEF","PARKS","61617.28"
"SR COMPENSATION ANALYST","HUMAN RESOURCES","61605.8"
"TRAFFIC EQUIPMENT OPERATOR II","TRAFFIC","61603.24"
"CREW CHIEF","PARKS","61536.82"
"STREETS EQUIPMENT OPERATOR II","STREETS","61524.24"
"SYSTEMS SPECIALIST","INFORMATION TECHNOLOGY","61484.07"
"FIREFIGHTER 40 HOUR (SPECIAL)","POUDRE FIRE AUTHORITY","61463.31"
"FINANCIAL COORDINATOR","ENGINEERING","61438.68"
"EXECUTIVE ADMINISTRATIVE ASST","CITY MANAGER'S OFFICE","61382.54"
"RECREATION COORDINATOR","RECREATION","61378.16"
"LIBRARIAN - EARLY LITERACY","LIBRARY DISTRICT","61325.03"
"WATERSHED PROGRAM MANAGER","UT WATER QUALITY SERVICES DIV","61297.33"
"MAINTENANCE TECH - HVAC","OPERATION SERVICES","61293.24"
"PC HARDWR/SOFTWRE SPECIALIST","INFORMATION TECHNOLOGY","61256.36"
"SOC SUSTAINABLTY SPEC-INACTIVE","SOCIAL SUSTAINABILITY","61225.72"
"CREW CHIEF","PARKS","61224.65"
"PAYROLL SPECIALIST II","ACCOUNTING AND TREASURY","61135.32"
"TECHNICAL SVCS SPEC","UT WTR RECLAMA & BIOSOLIDS DIV","61127.26"
"POLICE INVESTIGATIVE AIDE","INVESTIGATIONS","61091.8"
"TRAFFIC EQUIPMENT OPERATOR II","TRAFFIC","60913.87"
"EXHIBITS TECHNICIAN","CULTURAL SERVICES","60906.5"
"POLICE OFFICER","INVESTIGATIONS","60882.24"
"UTILITY SERVICES COORDINATOR","UTILITIES CUSTOMER CONNECTIONS","60837.8"
