"department","earnings","job_title"
"UT PROCESS & SUPERVIS CNTR DIV","71944.06","CONTROL & DATA SYS SPECIALIST"
"ELECTRIC FIELD SERVICES","71858.49","ELECTRIC LINEWORKER"
"POLICE INFORMATION SERVICES","71825.4","POLICE RECORDS SUPERVISOR"
"PARKS","71723.52","PARKS SUPERVISOR"
"PDT ADMINISTRATION","71674.66","SPECIAL EVENTS COORDINATOR"
"PARK PLANNING & DEVELOPMENT","71591.39","APPRENTICE LANDSCAPE ARCHITECT"
"UT WATER PRODUCTION DIV","71548.56","PLANT OPERATOR"
"UT ELEC SYSTEM DESIGN & IT DIV","71506.42","ELECTRICAL ENGINEER II"
"UT STANDARDS ENGINEERING DIV","71498.58","ELECTRIC METER TECH"
"DOWNTOWN DEVELOPMENT AUTHORITY","71450.04","PROGRAMS ADMINISTRATOR/DDA"
"UTILITY FINANCIAL OPERATIONS","71378.2","FINANCIAL ANALYST"
"UT WATER QUALITY SERVICES DIV","71226.86","CHEMIST"
"UT PROCESS & SUPERVIS CNTR DIV","71198.3","CONTROL & DATA SYS SPECIALIST"
"UT WATER PRODUCTION DIV","71163.42","MAINTENANCE SPECIALIST"
"TRANSFORT / PARKING SERVICES","71139.0","TRANSIT PLANNER"
"PATROL","71129.84","COMMUNITY SERVICE OFFICER"
"TRAFFIC","70951.08","TRAFFIC ENGINEERING TECH III"
"PARKS","70917.77","PARKS SUPERVISOR"
"UT WATER QUALITY SERVICES DIV","70914.5","WATERSHED SPECIALIST"
"PATROL","70862.05","COMMUNITY SERVICE OFFICER"
"PARKS","70798.88","FORESTRY CREW CHIEF"
"OFFICE OF THE CHIEF","70673.6","FINANCIAL ANALYST II"
"UT WATER PRODUCTION DIV","70391.41","PLANT OPERATOR"
"UT WATER PRODUCTION DIV","70215.63","PLANT OPERATOR"
"UTILITIES MANAGEMENT","70144.23","UTILITIES ADMIN SERVICES SUPV"
"POLICE INFORMATION SERVICES","69985.28","POLICE RECORDS SUPERVISOR"
"BUDGET","69946.55","SR BUDGET ANALYST"
"PATROL","69943.07","POLICE ASSISTANT CHIEF"
"OPERATION SERVICES","69939.18","MECHANIC"
"POLICE INFORMATION SERVICES","69921.75","POLICE SERVICES TECHNICIAN"
"CULTURAL SERVICES","69831.72","CULTURAL SVCS AND FAC DIRECTOR"
"ENGINEERING","69804.62","CONSTRUCTION INSPECTOR"
"NATURAL AREAS","69556.7","CREW CHIEF"
"UT WATER QUALITY SERVICES DIV","69534.55","CHEMIST"
"UT WTR RECLAMA & BIOSOLIDS DIV","69527.59","INDUSTRIAL PRETREATMENT SPEC"
"ENVIRONMENTAL SERVICES","69467.32","ENVIRONMENTAL PROGRAM MANAGER"
"POLICE INFORMATION SERVICES","69414.56","EMERGENCY SERVICES DISPATCHER"
"TRANSFORT / PARKING SERVICES","69371.98","ROAD SUPERVISOR"
"POLICE INFORMATION SERVICES","69343.66","EMERGENCY SERVICES DISPATCHER"
"POLICE INFORMATION SERVICES","69300.32","PROPERTY / EVIDENCE SUPERVISOR"
"ENVIRONMENTAL SERVICES","69299.58","SR ENVIRONMENTAL PLANNER"
"PATROL","69217.04","CRIME PREVENTION SPECIALIST"
"ENGINEERING","69152.93","CONSTRUCTION INSPECTOR"
"POLICE INFORMATION SERVICES","69142.52","EMERGENCY SERVICES DISPATCHER"
"OPERATION SERVICES","69100.25","MECHANIC"
"OPERATION SERVICES","69016.21","MECHANIC"
"UTILITIES CUSTOMER CONNECTIONS","68985.06","ENVIRONMENTAL PLANNER"
"POLICE INFORMATION SERVICES","68975.55","POLICE SERVICES TECHNICIAN"
"POUDRE FIRE AUTHORITY","68909.5","CAPTAIN I - 40 HR/WK"
"UT WATER PRODUCTION DIV","68881.9","WATER SUPPLY CONTROLLER"
"TRAFFIC","68866.84","FINANCIAL COORDINATOR"
"UT DISTRIBUTION SYSTEM DIV","68827.21","WATER UTILITY MAINT OPERATOR"
"PARKS","68767.5","CREW CHIEF"
"PARKS","68753.22","ASST SUPERINTENDENT-GOLF"
"NATURAL AREAS","68743.15","ENVIR EDUC & VOLUNTR COORDNTR"
"COMM. & PUBLIC INVOLVEMENT","68716.15","PUBLIC RELATIONS COORDINATOR"
"COMM DEV & NEIGHBORHOOD SVCS","68706.82","BUILDING INSPECTOR"
"UT WTR RECLAMA & BIOSOLIDS DIV","68700.58","MAINTENANCE SPECIALIST"
"INFORMATION TECHNOLOGY","68698.15","CHANGE MANAGEMENT ANALYST"
"POLICE INFORMATION SERVICES","68689.34","EMERGENCY SERVICES DISPATCHER"
"ENGINEERING","68670.0","CIVIL ENGINEER II"
"POUDRE FIRE AUTHORITY","68663.51","FIREFIGHTER I - 56 HR/WK"
"UT WATER PRODUCTION DIV","68660.41","INSTRUMENT/ELECTRIC TECH"
"RECREATION","68609.0","RECREATION SUPERVISOR"
"UTILITIES CUSTOMER CONNECTIONS","68595.19","UTILITY BILLING SUPERVISOR"
"OPERATION SERVICES","68561.14","MECHANIC"
"POLICE INFORMATION SERVICES","68515.78","EMERGENCY SERVICES DISPATCHER"
"COMM DEV & NEIGHBORHOOD SVCS","68486.9","CITY PLANNER"
"COMM DEV & NEIGHBORHOOD SVCS","68479.7","CITY PLANNER"
"TRAFFIC","68465.6","CIVIL ENGINEER II"
"PARKS","68342.54","CREW CHIEF"
"POUDRE FIRE AUTHORITY","68340.0","BATTALION CHIEF II - 40 HR/WK"
"UT WATER QUALITY SERVICES DIV","68291.89","CHEMIST"
"INFORMATION TECHNOLOGY","68274.81","GIS PROGRAMMER/ANALYST"
"OFFICE OF THE CHIEF","68235.94","CRIME ANALYST"
"ENGINEERING","68179.26","CIVIL ENGINEER I"
"POLICE INFORMATION SERVICES","68178.66","EMERGENCY SERVICES DISPATCHER"
"UT DISTRIBUTION SYSTEM DIV","68156.86","CREW CHIEF"
"UT WATER RESOURCES DIV","68004.48","WATER RESOURCES ENGINEER"
"PARKS","67979.31","CREW CHIEF"
"UT STANDARDS ENGINEERING DIV","67953.11","MATERIAL CONTROL SUPERVISOR"
"LIBRARY DISTRICT","67921.94","SYSTEMS ADMINISTRATOR"
"SALES TAX","67752.0","SR SALES TAX AUDITOR"
"UT WATER PRODUCTION DIV","67645.6","PLANT OPERATOR"
"POLICE INFORMATION SERVICES","67645.59","EMERGENCY SERVICES DISPATCHER"
"OPERATION SERVICES","67636.67","HVAC LEAD"
"UT WATER METERS DIV","67614.02","CREW CHIEF"
"UTILITIES CUSTOMER CONNECTIONS","67611.64","UTILITIES EDUCATION SUPERVISOR"
"SALES TAX","67582.31","REVENUE/LICENSING AGENT"
"UT WTR RECLAMA & BIOSOLIDS DIV","67576.34","MAINTENANCE SPECIALIST"
"TRANSFORT / PARKING SERVICES","67545.27","ROAD SUPERVISOR"
"UT WATER PRODUCTION DIV","67503.64","CHEMIST"
"OPERATION SERVICES","67378.05","REAL ESTATE SPECIALIST III"
"STREETS","67372.12","STREETS EQUIPMENT OPERATOR II"
"STREETS","67290.69","CONSTRUCTION INSPECTOR"
"COMM DEV & NEIGHBORHOOD SVCS","67277.23","RESTORATIVE JUSTICE PROG COORD"
"DOWNTOWN DEVELOPMENT AUTHORITY","67216.46","FINANCE COORDINATOR/DDA"
"POLICE INFORMATION SERVICES","67189.98","POLICE REPORT SPECIALIST"
"STREETS","67103.21","TRAFFIC CONTROL SUPERVISOR"
"HUMAN RESOURCES","67057.27","BENEFITS ANALYST"
"PATROL","67035.29","POLICE OFFICER"
"INFORMATION TECHNOLOGY","66990.96","SYSTEMS SPECIALIST"
"PATROL","66973.25","CRIME ANALYST"
"POUDRE FIRE AUTHORITY","66940.2","FIREFIGHTER I - 56 HR/WK"
"OPERATION SERVICES","66886.2","BLDG CONTROL SYSTEM MAINT SPEC"
"UT STANDARDS ENGINEERING DIV","66869.63","ELECTRIC METER TECH"
"STREETS","66813.38","CONSTRUCTION INSPECTOR"
"ENVIRONMENTAL SERVICES","66781.74","ENVIRONMENTAL PLANNER"
"RECREATION","66777.69","RECREATION SUPERVISOR"
"UT WATER QUALITY SERVICES DIV","66770.0","WATER QUALITY SERVICES MANAGER"
"TRANSFORT / PARKING SERVICES","66766.6","SYSTEMS & PERFORMANCE ANALYST"
"ENGINEERING","66751.6","SURVEY PARTY CHIEF"
"OPERATION SERVICES","66746.58","MECHANIC"
"PATROL","66706.51","POLICE OFFICER"
"STREETS","66602.31","EQUIPMENT OPERATOR SPECIALIST"
"L&P OPERATIONS SERVICE UNIT","66562.5","BUSINESS PROCESS ANLAYST"
"STREETS","66493.55","CONSTRUCTION INSPECTOR"
"ENVIRONMENTAL SERVICES","66467.76","ENVIRONMENTAL PLANNER"
"INVESTIGATIONS","66450.32","VICTIM ADVOCATE"
"UT WATER SYSTEMS ENGR DIV","66386.96","CIVIL ENGINEER"
"STREETS","66353.88","TRAFFIC CONTROL SUPERVISOR"
"CITY MANAGER'S OFFICE","66319.44","POLICY AND PROJECT ANALYST"
"PARKS","66255.29","ASST SUPERINTENDENT-GOLF"
"UTILITIES CUSTOMER CONNECTIONS","66163.12","ENVIRONMENTAL PLANNER"
"POLICE INFORMATION SERVICES","66080.65","EMERGENCY SERVICES DISPATCHER"
"POLICE INFORMATION SERVICES","66075.83","EMERGENCY SERVICES DISPATCHER"
"HUMAN RESOURCES","66071.52","LEARNING & DEVELOPMENT COORD"
"POLICE INFORMATION SERVICES","66058.85","POLICE REPORT SPECIALIST"
"NATURAL AREAS","65981.03","NATURAL AREAS TRAILS RANGER"
"POLICE INFORMATION SERVICES","65928.63","EMERGENCY SERVICES DISPATCHER"
"UT WTR RECLAMA & BIOSOLIDS DIV","65716.14","ELEC INSTRUMENT & CONTROL SPEC"
"CITY ATTORNEY'S OFFICE","65664.23","LEGAL EXEC ADMIN ASST"
"PATROL","65627.97","COMMUNITY SERVICE OFFICER"
"NATURAL AREAS","65611.33","NATURAL AREAS TRAILS RANGER"
"TRANSFORT / PARKING SERVICES","65606.67","ROAD SUPERVISOR"
"PARKS","65556.74","ASST SUPERINTENDENT-GOLF"
"TRANSFORT / PARKING SERVICES","65517.92","FINANCIAL ANALYST II"
"PATROL","65467.5","POLICE OFFICER"
"COMM DEV & NEIGHBORHOOD SVCS","65422.04","BUILDING INSPECTOR"
"PATROL","65298.92","COMMUNITY SERVICE OFFICER"
"UT STANDARDS ENGINEERING DIV","65201.18","ELECTRIC METER TECH"
"UT WATER PRODUCTION DIV","65105.13","MAINTENANCE SPECIALIST"
"CULTURAL SERVICES","65015.0","DIR OF COMMUNITY CONNECTIONS"
"POLICE INFORMATION SERVICES","64887.77","EMERGENCY SERVICES DISPATCHER"
"STREETS","64812.33","FINANCIAL COORDINATOR"
"ACCOUNTING AND TREASURY","64695.26","GRANTS DVLPMNT SPECIALST-INACT"
"UT WTR RECLAMA & BIOSOLIDS DIV","64668.41","ELEC INSTRUMENT & CONTROL SPEC"
"OPERATION SERVICES","64588.36","MECHANIC"
"POLICE INFORMATION SERVICES","64445.99","EMERGENCY SERVICES DISPATCHER"
"POUDRE FIRE AUTHORITY","64409.03","FIREFIGHTER I - 56 HR/WK"
"POUDRE FIRE AUTHORITY","64340.72","CODE INSPECTOR"
"ELECTRIC FIELD SERVICES","64249.34","FACILITIES LOCATE SUPERVISOR"
"RECREATION","64204.8","FIGURE AND FREESTYLE COACH"
"UT DISTRIBUTION SYSTEM DIV","64201.01","CROSS CONNECTION CONTROL TECH"
"UTILITIES CUSTOMER CONNECTIONS","64159.69","CREDIT/COLLECTIONS REP"
"NATURAL AREAS","64100.8","NATURAL AREAS TRAILS RANGER"
"POLICE INFORMATION SERVICES","64050.84","PROPERTY EVIDENCE TECHNICIAN"
"POUDRE FIRE AUTHORITY","64037.2","FIREFIGHTER I - 56 HR/WK"
"POLICE INFORMATION SERVICES","64020.26","POLICE REPORT SPECIALIST"
"INFORMATION TECHNOLOGY","63890.82","PC HARDWR/SOFTWRE SPECIALIST"
"INFORMATION TECHNOLOGY","63809.94","SYSTEMS SPECIALIST"
"TRAFFIC","63771.37","TRAFFIC ENGINEERING TECH II"
"RECREATION","63729.7","RECREATION COORDINATOR"
"OPERATION SERVICES","63668.08","MECHANIC"
"LIBRARY DISTRICT","63611.7","LIBRARIAN -CHILDREN'S SERVICES"
"ELECTRIC FIELD SERVICES","63609.99","FACILITIES LEAD LOCATOR"
"UT WATER PRODUCTION DIV","63606.79","PLANT OPERATOR"
"POUDRE FIRE AUTHORITY","63515.93","ADMIN ASST & BOARD COORD"
"COMM DEV & NEIGHBORHOOD SVCS","63416.76","BUILDING INSPECTOR"
"NATURAL AREAS","63402.56","NATURAL AREAS TRAILS RANGER"
"OPERATION SERVICES","63398.98","MECHANIC"
"PATROL","63388.08","POLICE OFFICER"
"INVESTIGATIONS","63377.72","POLICE INVESTIGATIVE AIDE"
"COMM. & PUBLIC INVOLVEMENT","63359.55","GRAPHICS SPECIALIST"
"UTILITIES CUSTOMER CONNECTIONS","63294.82","SR COMMUNICATIONS & MKTG SPEC"
"UT WTR RECLAMA & BIOSOLIDS DIV","63204.37","PLANT OPERATOR"
"UTILITY FINANCIAL OPERATIONS","63136.5","FINANCIAL ANALYST"
"OPERATION SERVICES","62905.74","MECHANIC"
"CITY ATTORNEY'S OFFICE","62835.32","SR ASSISTANT CITY ATTORNEY"
"RECREATION","62798.14","PARKS & RECREATION PR SUPV"
"PATROL","62794.5","POLICE OFFICER"
"NATURAL AREAS","62701.92","ENVIRONMENTAL PLANNER"
"POLICE INFORMATION SERVICES","62554.38","PROPERTY EVIDENCE TECHNICIAN"
"LIBRARY DISTRICT","62550.33","LIBRARIAN - BUSINESS SERVICES"
"CITY CLERK'S OFFICE","62486.34","DEPUTY CITY CLERK"
"HUMAN RESOURCES","62458.98","WELLNESS PROGRAM COORDINATOR"
"OPERATION SERVICES","62367.51","MECHANIC"
"COMM. & PUBLIC INVOLVEMENT","62358.55","PUBLIC RELATIONS COORDINATOR"
"RECREATION","62340.0","RECREATION SUPERVISOR"
"OPERATION SERVICES","62315.91","MECHANIC"
"SALES TAX","62274.65","SR SALES TAX AUDITOR"
"UT STANDARDS ENGINEERING DIV","62252.12","ELECTRONIC TECHNICIAN II"
"STREETS","62228.06","CONSTRUCTION INSPECTOR"
"UT WATER PRODUCTION DIV","62220.54","INSTRUMENT/ELECTRIC TECH"
"INVESTIGATIONS","62220.29","POLICE INVESTIGATIVE AIDE"
"OPERATION SERVICES","62189.07","AQUATICS MAINTENANCE LEAD"
"POUDRE FIRE AUTHORITY","62172.94","EMERGENCY MANAGEMENT SPEC"
"COMM DEV & NEIGHBORHOOD SVCS","62167.77","SR CODE COMPLNCE INSP/OCCUPNCY"
"MUNICIPAL COURT","62145.24","MUNICIPAL COURT ADMINISTRATOR"
"UTILITIES CUSTOMER CONNECTIONS","62145.14","COMMUNITY ENGAGEMENT SPECIALST"
"POUDRE FIRE AUTHORITY","62135.63","IT ANALYST"
"ENGINEERING","62115.25","CONSTRUCTION INSPECTOR"
"OPERATION SERVICES","62079.62","MECHANIC"
"UT WTR RECLAMA & BIOSOLIDS DIV","62077.5","UTILITIES PLANNER/SCHEDULER"
"POUDRE FIRE AUTHORITY","62061.54","BATTALION CHIEF II - 40 HR/WK"
"UT WTR RECLAMA & BIOSOLIDS DIV","62056.83","PLANT OPERATOR"
"TRAFFIC","62051.7","TRAFFIC SIGNAL TECH I"
"UT DRAINAGE SYSTEM DIV","61993.54","WATER UTILITY MAINT OPERATOR"
"INVESTIGATIONS","61945.72","POLICE INVESTIGATIVE AIDE"
"LIBRARY DISTRICT","61891.45","LIBRARIAN-COLLECTN DEV ADULT"
"LIBRARY DISTRICT","61874.61","WEB APPLICATIONS DEVELOPER"
"L&P OPERATIONS SERVICE UNIT","61854.09","TELECOM SYSTEMS ADMINISTRATOR"
"ACCOUNTING AND TREASURY","61842.6","ACCOUNTANT II"
"POLICE INFORMATION SERVICES","61697.46","PROPERTY EVIDENCE TECHNICIAN"
"PATROL","61691.85","COMMUNITY SERVICE OFFICER"
"PARKS","61617.28","FORESTRY CREW CHIEF"
"HUMAN RESOURCES","61605.8","SR COMPENSATION ANALYST"
"TRAFFIC","61603.24","TRAFFIC EQUIPMENT OPERATOR II"
"PARKS","61536.82","CREW CHIEF"
"STREETS","61524.24","STREETS EQUIPMENT OPERATOR II"
"INFORMATION TECHNOLOGY","61484.07","SYSTEMS SPECIALIST"
"POUDRE FIRE AUTHORITY","61463.31","FIREFIGHTER 40 HOUR (SPECIAL)"
"ENGINEERING","61438.68","FINANCIAL COORDINATOR"
"CITY MANAGER'S OFFICE","61382.54","EXECUTIVE ADMINISTRATIVE ASST"
"RECREATION","61378.16","RECREATION COORDINATOR"
"LIBRARY DISTRICT","61325.03","LIBRARIAN - EARLY LITERACY"
"UT WATER QUALITY SERVICES DIV","61297.33","WATERSHED PROGRAM MANAGER"
"OPERATION SERVICES","61293.24","MAINTENANCE TECH - HVAC"
"INFORMATION TECHNOLOGY","61256.36","PC HARDWR/SOFTWRE SPECIALIST"
"SOCIAL SUSTAINABILITY","61225.72","SOC SUSTAINABLTY SPEC-INACTIVE"
"PARKS","61224.65","CREW CHIEF"
"ACCOUNTING AND TREASURY","61135.32","PAYROLL SPECIALIST II"
"UT WTR RECLAMA & BIOSOLIDS DIV","61127.26","TECHNICAL SVCS SPEC"
"INVESTIGATIONS","61091.8","POLICE INVESTIGATIVE AIDE"
"TRAFFIC","60913.87","TRAFFIC EQUIPMENT OPERATOR II"
"CULTURAL SERVICES","60906.5","EXHIBITS TECHNICIAN"
"INVESTIGATIONS","60882.24","POLICE OFFICER"
"UTILITIES CUSTOMER CONNECTIONS","60837.8","UTILITY SERVICES COORDINATOR"
