"fund","department","unit","vendor","expenditure_type","expenditure_detail","transaction_amount","transaction_date","month_name","fiscal_month_number","fiscal_year","pmt_method"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Homedepot.com","Flood Control","Materials And Supplies","173.15","2016-06-26T00:00:00.000","June","9","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Uline   Ship Supplies","Health","Materials And Supplies","625.84","2016-06-26T00:00:00.000","June","9","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Parkink","Health","Materials And Supplies","627.4","2016-06-26T00:00:00.000","June","9","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Nexair","Health","Materials And Supplies","34.32","2016-06-26T00:00:00.000","June","9","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Nexair","Health","Materials And Supplies","51.48","2016-06-26T00:00:00.000","June","9","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Wm Supercenter #3877","Health","Materials And Supplies","151.92","2016-06-26T00:00:00.000","June","9","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Target Copy Of Gainesvill","Health","Materials And Supplies","92.25","2016-06-26T00:00:00.000","June","9","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Nexair","Health","Materials And Supplies","45.76","2016-06-26T00:00:00.000","June","9","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Ope","Health","Materials And Supplies","90.97","2016-06-26T00:00:00.000","June","9","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Nexair","Health","Materials And Supplies","51.48","2016-06-26T00:00:00.000","June","9","2016","Visa"
"Stormwater Management Utility","Public Works","Vegetative Management","Site One Landscapes436","Flood Control","Materials And Supplies","157.3","2016-06-26T00:00:00.000","June","9","2016","Visa"
"Stormwater Management Utility","Public Works","Vegetative Management","Foster Smith Mail Ordr","Flood Control","Materials And Supplies","104.97","2016-06-26T00:00:00.000","June","9","2016","Visa"
"Stormwater Management Utility","Public Works","Vegetative Management","Site One Landscapes436","Flood Control","Materials And Supplies","783.79","2016-06-26T00:00:00.000","June","9","2016","Visa"
"Stormwater Management Utility","Public Works","Vegetative Management","Site One Landscapes436","Flood Control","Materials And Supplies","94","2016-06-26T00:00:00.000","June","9","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","The Home Depot #1854","Flood Control","Materials And Supplies","12.76","2016-06-26T00:00:00.000","June","9","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Lowes #02365","Flood Control","Materials And Supplies","12.16","2016-06-26T00:00:00.000","June","9","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Sunbelt Rentals Inc Pcg","Flood Control","Materials And Supplies","621.69","2016-06-26T00:00:00.000","June","9","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","United Rent-All","Flood Control","Materials And Supplies","270","2016-06-26T00:00:00.000","June","9","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","The Home Depot #1854","Flood Control","Materials And Supplies","11.53","2016-06-26T00:00:00.000","June","9","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Ferguson Ent #129","Flood Control","Materials And Supplies","47.56","2016-06-26T00:00:00.000","June","9","2016","Visa"
"Stormwater Management Utility","Public Works","Environmental Management","Wm Supercenter #538","Flood Control","Materials And Supplies","32.42","2016-06-26T00:00:00.000","June","9","2016","Visa"
"Stormwater Management Utility","Public Works","Operations-Support Services","Publix #537","Flood Control","Materials And Supplies","41.95","2016-06-26T00:00:00.000","June","9","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Publix #537","Flood Control","Materials And Supplies","41.95","2016-06-26T00:00:00.000","June","9","2016","Visa"
"Stormwater Management Utility","Public Works","Environmental Management","Publix #537","Flood Control","Materials And Supplies","41.94","2016-06-26T00:00:00.000","June","9","2016","Visa"
"Tourist Product Development - FY14","Parks, Recreation & Cultural Affairs","Tourist Prod Dev - New Programs","Office Concepts And Fur","Cultural Services","Materials And Supplies","332.65","2016-06-26T00:00:00.000","June","9","2016","Visa"
"Stormwater Management Surcharge Capital Projects Fund","Public Works","Paynes Prairie Sheetflow Restoration","Florida Concrete Recycling Inc","Flood Control","Materials And Supplies","1008","2016-07-03T00:00:00.000","July","10","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","255.15","2016-07-03T00:00:00.000","July","10","2016","Payables"
"Stormwater Management Surcharge Capital Projects Fund","Public Works","PW Work Management System","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","340.2","2016-07-03T00:00:00.000","July","10","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","340.2","2016-07-03T00:00:00.000","July","10","2016","Payables"
"Stormwater Management Surcharge Capital Projects Fund","Public Works","PW Work Management System","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","680.4","2016-07-03T00:00:00.000","July","10","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Ricoh Americas Corporation","Flood Control","Printing And Binding","64.79","2016-07-03T00:00:00.000","July","10","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Ricoh Americas Corporation","Flood Control","Printing And Binding","35.56","2016-07-03T00:00:00.000","July","10","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Ricoh Americas Corporation","Flood Control","Printing And Binding","77.7","2016-07-03T00:00:00.000","July","10","2016","Payables"
"GPD-Energy Conservation Master Lease","Non-Departmental","Debt Service","Siemens Financial Services Inc","Other General Government","Principal","7664.97","2016-07-03T00:00:00.000","July","10","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","340.2","2016-07-10T00:00:00.000","July","10","2016","Payables"
"Stormwater Management Surcharge Capital Projects Fund","Public Works","PW Work Management System","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","663.39","2016-07-10T00:00:00.000","July","10","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Copyfax Of Gainesville Inc","Flood Control","Printing And Binding","10.74","2016-07-10T00:00:00.000","July","10","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Copyfax Of Gainesville Inc","Flood Control","Printing And Binding","8.41","2016-07-10T00:00:00.000","July","10","2016","Payables"
"Tourist Product Development - FY14","Parks, Recreation & Cultural Affairs","Tourist Prod Dev - New Programs","Alta Systems Inc","Cultural Services","Printing And Binding","91.7","2016-07-10T00:00:00.000","July","10","2016","Payables"
"Stormwater Management Utility","Public Works","N.P.D.E.S. Project-Operations BMP","Jdl Distributing Llc","Flood Control","Materials And Supplies","3015","2016-07-10T00:00:00.000","July","10","2016","Payables"
"Stormwater Management Utility","Public Works","N.P.D.E.S. Project-Operations BMP","Jdl Distributing Llc","Flood Control","Materials And Supplies","2352","2016-07-10T00:00:00.000","July","10","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","340.2","2016-07-17T00:00:00.000","July","10","2016","Payables"
"Stormwater Management Surcharge Capital Projects Fund","Public Works","PW Work Management System","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","680.4","2016-07-17T00:00:00.000","July","10","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","340.2","2016-07-17T00:00:00.000","July","10","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Copyfax Of Gainesville Inc","Flood Control","Printing And Binding","13.34","2016-07-17T00:00:00.000","July","10","2016","Payables"
"Stormwater Management Utility","Public Works","Mosquito Control","Clarke Mosquito Control Products Inc","Health","Materials And Supplies","1010.75","2016-07-17T00:00:00.000","July","10","2016","Payables"
"Stormwater Management Utility","Public Works","Closed Watercourse Maintenance","A Materials Group Inc","Flood Control","Materials And Supplies","438","2016-07-17T00:00:00.000","July","10","2016","Payables"
"Stormwater Management Utility","Public Works","Closed Watercourse Maintenance","A Materials Group Inc","Flood Control","Materials And Supplies","146","2016-07-17T00:00:00.000","July","10","2016","Payables"
"Stormwater Management Utility","Public Works","Closed Watercourse Maintenance","A Materials Group Inc","Flood Control","Materials And Supplies","219","2016-07-17T00:00:00.000","July","10","2016","Payables"
"Stormwater Management Utility","Public Works","Vegetative Management","United Phosphorus Inc","Flood Control","Materials And Supplies","1900","2016-07-17T00:00:00.000","July","10","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Copyfax Of Gainesville Inc","Flood Control","Printing And Binding","62.33","2016-07-24T00:00:00.000","July","10","2016","Payables"
"GPD-Energy Conservation Master Lease","Non-Departmental","Debt Service","Siemens Financial Services Inc","Other General Government","Principal","7691.69","2016-07-24T00:00:00.000","July","10","2016","Payables"
"Stormwater Management Surcharge Capital Projects Fund","Public Works","PW Work Management System","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","663.39","2016-07-31T00:00:00.000","July","10","2016","Payables"
"Stormwater Management Surcharge Capital Projects Fund","Public Works","PW Work Management System","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","680.4","2016-07-31T00:00:00.000","July","10","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","255.15","2016-07-31T00:00:00.000","July","10","2016","Payables"
"Stormwater Management Surcharge Capital Projects Fund","Public Works","PW Work Management System","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","680.4","2016-07-31T00:00:00.000","July","10","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","85.05","2016-07-31T00:00:00.000","July","10","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Ricoh Americas Corporation","Flood Control","Printing And Binding","35.57","2016-07-31T00:00:00.000","July","10","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Ricoh Americas Corporation","Flood Control","Printing And Binding","64.76","2016-07-31T00:00:00.000","July","10","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Ricoh Americas Corporation","Flood Control","Printing And Binding","77.71","2016-07-31T00:00:00.000","July","10","2016","Payables"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Fl License/tag/asmt","Flood Control","Fleet Service Cost-Variable","120.49","2016-07-28T00:00:00.000","July","10","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","The Home Depot #1854","Flood Control","Materials And Supplies","54.16","2016-07-28T00:00:00.000","July","10","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Thompson's Sod","Flood Control","Materials And Supplies","141.79","2016-07-28T00:00:00.000","July","10","2016","Visa"
"Stormwater Management Utility","Public Works","Closed Watercourse Maintenance","Environmental Prod Of Fla","Flood Control","Materials And Supplies","119.37","2016-07-28T00:00:00.000","July","10","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Fastenal Company01","Flood Control","Materials And Supplies","14.44","2016-07-28T00:00:00.000","July","10","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Bass Pro Online","Flood Control","Materials And Supplies","1519.89","2016-07-28T00:00:00.000","July","10","2016","Visa"
"Stormwater Management Utility","Public Works","Closed Watercourse Maintenance","Ferguson Undrdrnd #44","Flood Control","Materials And Supplies","704","2016-07-28T00:00:00.000","July","10","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Hd Supply White Cap #222","Flood Control","Materials And Supplies","74.1","2016-07-28T00:00:00.000","July","10","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Ferguson Undrdrnd #44","Flood Control","Materials And Supplies","279.2","2016-07-28T00:00:00.000","July","10","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Nexair","Health","Materials And Supplies","17.35","2016-07-28T00:00:00.000","July","10","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Bioquip Products Inc","Health","Materials And Supplies","518.01","2016-07-28T00:00:00.000","July","10","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Ben Meadows","Health","Materials And Supplies","63","2016-07-28T00:00:00.000","July","10","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Nexair","Health","Materials And Supplies","34.32","2016-07-28T00:00:00.000","July","10","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Gempler's","Health","Materials And Supplies","141.9","2016-07-28T00:00:00.000","July","10","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Nexair","Health","Materials And Supplies","22.88","2016-07-28T00:00:00.000","July","10","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Nexair","Health","Materials And Supplies","57.2","2016-07-28T00:00:00.000","July","10","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Ben Meadows","Health","Materials And Supplies","94.43","2016-07-28T00:00:00.000","July","10","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Wm Supercenter #538","Health","Materials And Supplies","12.88","2016-07-28T00:00:00.000","July","10","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Nexair","Health","Materials And Supplies","89.7","2016-07-28T00:00:00.000","July","10","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Alachua County Feed And S","Health","Materials And Supplies","35","2016-07-28T00:00:00.000","July","10","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Nexair","Health","Materials And Supplies","51.48","2016-07-28T00:00:00.000","July","10","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Ben Meadows","Health","Materials And Supplies","117.6","2016-07-28T00:00:00.000","July","10","2016","Visa"
"Stormwater Management Utility","Public Works","Vegetative Management","The Home Depot #1854","Flood Control","Materials And Supplies","3.74","2016-07-28T00:00:00.000","July","10","2016","Visa"
"Stormwater Management Utility","Public Works","Vegetative Management","Winfield Solutions Pcity","Flood Control","Materials And Supplies","1431","2016-07-28T00:00:00.000","July","10","2016","Visa"
"Stormwater Management Utility","Public Works","Vegetative Management","Helena Chem Co    31221","Flood Control","Materials And Supplies","650","2016-07-28T00:00:00.000","July","10","2016","Visa"
"Stormwater Management Utility","Public Works","Vegetative Management","Pinch A Penny 33","Flood Control","Materials And Supplies","16.99","2016-07-28T00:00:00.000","July","10","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","The Home Depot #1854","Flood Control","Materials And Supplies","31.44","2016-07-28T00:00:00.000","July","10","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","The Home Depot #1854","Flood Control","Materials And Supplies","67.92","2016-07-28T00:00:00.000","July","10","2016","Visa"
"Stormwater Management Utility","Public Works","Closed Watercourse Maintenance","The Home Depot #1854","Flood Control","Materials And Supplies","56.92","2016-07-28T00:00:00.000","July","10","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Florida Fasteners & Tool","Flood Control","Materials And Supplies","7.28","2016-07-28T00:00:00.000","July","10","2016","Visa"
"Stormwater Management Utility","Public Works","N.P.D.E.S. Project-Operations BMP","Drainage Solutions, Inc","Flood Control","Materials And Supplies","316.5","2016-07-28T00:00:00.000","July","10","2016","Visa"
"Stormwater Management Surcharge Capital Projects Fund","Public Works","Paynes Prairie Sheetflow Restoration","Florida Concrete Recycling Inc","Flood Control","Materials And Supplies","1227.5","2016-08-07T00:00:00.000","August","11","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","157.38","2016-08-07T00:00:00.000","August","11","2016","Payables"
"Stormwater Management Surcharge Capital Projects Fund","Public Works","PW Work Management System","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","595.29","2016-08-07T00:00:00.000","August","11","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Copyfax Of Gainesville Inc","Flood Control","Printing And Binding","10.37","2016-08-07T00:00:00.000","August","11","2016","Payables"
"Stormwater Management Utility","Public Works","Mosquito Control","Praxair Dist Se # 22","Health","Materials And Supplies","28.6","2016-04-28T00:00:00.000","April","7","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Lowes #02365","Health","Materials And Supplies","97.62","2016-04-28T00:00:00.000","April","7","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Wal-Mart #3877","Health","Materials And Supplies","10.97","2016-04-28T00:00:00.000","April","7","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Alachua County Feed And S","Health","Materials And Supplies","35","2016-04-28T00:00:00.000","April","7","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Lowes #02365","Health","Materials And Supplies","10.6","2016-04-28T00:00:00.000","April","7","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Acf Environmental","Flood Control","Materials And Supplies","577","2016-04-28T00:00:00.000","April","7","2016","Visa"
"Stormwater Management Utility","Public Works","Vegetative Management","Wm Supercenter #538","Flood Control","Materials And Supplies","6.94","2016-04-28T00:00:00.000","April","7","2016","Visa"
"Stormwater Management Utility","Public Works","Vegetative Management","Nor Northern Tool","Flood Control","Materials And Supplies","168.59","2016-04-28T00:00:00.000","April","7","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Lowes #03278","Flood Control","Materials And Supplies","15.45","2016-04-28T00:00:00.000","April","7","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Sp   Stevens Water","Flood Control","Materials And Supplies","443.62","2016-04-28T00:00:00.000","April","7","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","The Home Depot #1854","Flood Control","Materials And Supplies","83.43","2016-04-28T00:00:00.000","April","7","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","The Home Depot #1854","Flood Control","Materials And Supplies","99","2016-04-28T00:00:00.000","April","7","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","In  Central Florida Contr","Flood Control","Materials And Supplies","499.79","2016-04-28T00:00:00.000","April","7","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","The Home Depot #1854","Flood Control","Materials And Supplies","13.91","2016-04-28T00:00:00.000","April","7","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","515.6","2016-05-08T00:00:00.000","May","8","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","340.2","2016-05-08T00:00:00.000","May","8","2016","Payables"
"Stormwater Management Surcharge Capital Projects Fund","Public Works","PW Work Management System","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","680.4","2016-05-08T00:00:00.000","May","8","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Copyfax Of Gainesville Inc","Flood Control","Printing And Binding","16.58","2016-05-08T00:00:00.000","May","8","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Copyfax Of Gainesville Inc","Flood Control","Printing And Binding","14.4","2016-05-08T00:00:00.000","May","8","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Ricoh Americas Corporation","Flood Control","Printing And Binding","77.7","2016-05-08T00:00:00.000","May","8","2016","Payables"
"Stormwater Management Surcharge Capital Projects Fund","Public Works","PW Work Management System","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","680.4","2016-05-15T00:00:00.000","May","8","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","340.2","2016-05-15T00:00:00.000","May","8","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Copyfax Of Gainesville Inc","Flood Control","Printing And Binding","23.81","2016-05-15T00:00:00.000","May","8","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Ricoh Americas Corporation","Flood Control","Printing And Binding","35.56","2016-05-15T00:00:00.000","May","8","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","340.2","2016-05-22T00:00:00.000","May","8","2016","Payables"
"Stormwater Management Surcharge Capital Projects Fund","Public Works","PW Work Management System","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","680.4","2016-05-22T00:00:00.000","May","8","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Copyfax Of Gainesville Inc","Flood Control","Printing And Binding","6.61","2016-05-22T00:00:00.000","May","8","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Ricoh Americas Corporation","Flood Control","Printing And Binding","64.79","2016-05-22T00:00:00.000","May","8","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","340.2","2016-05-29T00:00:00.000","May","8","2016","Payables"
"Stormwater Management Surcharge Capital Projects Fund","Public Works","PW Work Management System","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","680.4","2016-05-29T00:00:00.000","May","8","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","340.2","2016-05-29T00:00:00.000","May","8","2016","Payables"
"Stormwater Management Surcharge Capital Projects Fund","Public Works","PW Work Management System","Temp Force Inc","Flood Control","Manpower Services(Temp Help)","510.3","2016-05-29T00:00:00.000","May","8","2016","Payables"
"Stormwater Management Utility","Public Works","Environmental Management","Mister Paper Inc.","Flood Control","Materials And Supplies","37.6","2016-05-29T00:00:00.000","May","8","2016","Visa"
"Stormwater Management Utility","Public Works","Operations-Support Services","Marriott Tampa Watersi","Flood Control","Materials And Supplies","8","2016-05-29T00:00:00.000","May","8","2016","Visa"
"Stormwater Management Utility","Public Works","Environmental Management","Mister Paper Inc.","Flood Control","Materials And Supplies","79.2","2016-05-29T00:00:00.000","May","8","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Fastenal Company01","Flood Control","Materials And Supplies","81.36","2016-05-29T00:00:00.000","May","8","2016","Visa"
"Stormwater Management Utility","Public Works","Closed Watercourse Maintenance","Ferguson Undrdrnd #44","Flood Control","Materials And Supplies","1704.32","2016-05-29T00:00:00.000","May","8","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Hillman Supply Company, I","Flood Control","Materials And Supplies","44.78","2016-05-29T00:00:00.000","May","8","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Fastenal Company01","Flood Control","Materials And Supplies","40.39","2016-05-29T00:00:00.000","May","8","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Safety Products Inc","Flood Control","Materials And Supplies","94.55","2016-05-29T00:00:00.000","May","8","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","The Home Depot #1854","Flood Control","Materials And Supplies","29.97","2016-05-29T00:00:00.000","May","8","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Fastenal Company01","Flood Control","Materials And Supplies","63.98","2016-05-29T00:00:00.000","May","8","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Fastenal Company01","Flood Control","Materials And Supplies","810.63","2016-05-29T00:00:00.000","May","8","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","B & M Equipment Rental","Flood Control","Materials And Supplies","157.97","2016-05-29T00:00:00.000","May","8","2016","Visa"
"Stormwater Management Utility","Public Works","Closed Watercourse Maintenance","B & M Equipment Rental","Flood Control","Materials And Supplies","177.79","2016-05-29T00:00:00.000","May","8","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Fastenal Company01","Flood Control","Materials And Supplies","75.99","2016-05-29T00:00:00.000","May","8","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Fastenal Company01","Flood Control","Materials And Supplies","115.6","2016-05-29T00:00:00.000","May","8","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","The Home Depot #1854","Flood Control","Materials And Supplies","63.76","2016-05-29T00:00:00.000","May","8","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Fastenal Company01","Flood Control","Materials And Supplies","12.82","2016-05-29T00:00:00.000","May","8","2016","Visa"
"Stormwater Management Utility","Public Works","Closed Watercourse Maintenance","Napa Auto Parts","Flood Control","Materials And Supplies","10.47","2016-05-29T00:00:00.000","May","8","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","B & M Equipment Rental","Flood Control","Materials And Supplies","8.37","2016-05-29T00:00:00.000","May","8","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Amazon.com","Flood Control","Materials And Supplies","99","2016-05-29T00:00:00.000","May","8","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Nexair","Health","Materials And Supplies","72.02","2016-05-29T00:00:00.000","May","8","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Battery Land","Health","Materials And Supplies","356.4","2016-05-29T00:00:00.000","May","8","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Nexair","Health","Materials And Supplies","45.76","2016-05-29T00:00:00.000","May","8","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Alachua County Feed And S","Health","Materials And Supplies","20.2","2016-05-29T00:00:00.000","May","8","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Pestgoaway.com","Health","Materials And Supplies","115","2016-05-29T00:00:00.000","May","8","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Lowes #02365","Health","Materials And Supplies","64.96","2016-05-29T00:00:00.000","May","8","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Kohler Engine Parts Store","Health","Materials And Supplies","61.37","2016-05-29T00:00:00.000","May","8","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","1899-12-31T00:46:17.000","Health","Materials And Supplies","8.58","2016-05-29T00:00:00.000","May","8","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Alachua County Feed And S","Health","Materials And Supplies","49.5","2016-05-29T00:00:00.000","May","8","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Office Depot #186","Health","Materials And Supplies","143.96","2016-05-29T00:00:00.000","May","8","2016","Visa"
"Stormwater Management Utility","Public Works","Vegetative Management","Wal-Mart #0538","Flood Control","Materials And Supplies","5.47","2016-05-29T00:00:00.000","May","8","2016","Visa"
"Stormwater Management Utility","Public Works","Vegetative Management","Site One Landscapes436","Flood Control","Materials And Supplies","151.06","2016-05-29T00:00:00.000","May","8","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","The Home Depot #1854","Flood Control","Materials And Supplies","44.8","2016-05-29T00:00:00.000","May","8","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Rogers Welding And Repair","Flood Control","Materials And Supplies","39.7","2016-05-29T00:00:00.000","May","8","2016","Visa"
"Stormwater Management Utility","Public Works","Open Watercourse Maintenance","Graybar Electric Company","Flood Control","Materials And Supplies","793","2016-05-29T00:00:00.000","May","8","2016","Visa"
"Tourist Product Development - FY14","Parks, Recreation & Cultural Affairs","Tourist Prod Dev - New Programs","Amazon Mktplace Pmts","Cultural Services","Materials And Supplies","139.95","2016-05-29T00:00:00.000","May","8","2016","Visa"
"Stormwater Management Utility","Public Works","Mosquito Control","Clarke Mosquito Control Products Inc","Health","Materials And Supplies","1117.53","2016-03-13T00:00:00.000","March","6","2016","Payables"
