"outcome_or_indicator","group","percentage","confidence_interval","title","description","year"
"Regularly experienced chronic pain","Private","28.8","27.1, 30.4","Percentage of regularly experiencing chronic pain for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked how often they had pain in the past three months. Respondents who reported having pain on most days or every day were classified as regularly experiencing chronic pain.","2019"
"Regularly experienced chronic pain","Medicare and Medicaid","41.5","36.4, 46.8","Percentage of regularly experiencing chronic pain for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked how often they had pain in the past three months. Respondents who reported having pain on most days or every day were classified as regularly experiencing chronic pain.","2019"
"Regularly experienced chronic pain","Medicare Advantage","31.4","29.3, 33.5","Percentage of regularly experiencing chronic pain for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked how often they had pain in the past three months. Respondents who reported having pain on most days or every day were classified as regularly experiencing chronic pain.","2019"
"Regularly experienced chronic pain","Medicare only (no Advantage)","27.2","23.9, 30.6","Percentage of regularly experiencing chronic pain for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked how often they had pain in the past three months. Respondents who reported having pain on most days or every day were classified as regularly experiencing chronic pain.","2019"
"Regularly experienced chronic pain","Other coverage","36.6","32.3, 41.1","Percentage of regularly experiencing chronic pain for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked how often they had pain in the past three months. Respondents who reported having pain on most days or every day were classified as regularly experiencing chronic pain.","2019"
"Regularly experienced chronic pain","Uninsured","999",,"Percentage of regularly experiencing chronic pain for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked how often they had pain in the past three months. Respondents who reported having pain on most days or every day were classified as regularly experiencing chronic pain.","2019"
"Regularly experienced chronic pain","Employed","14.6","14.0, 15.2","Percentage of regularly experiencing chronic pain for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked how often they had pain in the past three months. Respondents who reported having pain on most days or every day were classified as regularly experiencing chronic pain.","2019"
"Regularly experienced chronic pain","Not employed","31.3","30.2, 32.4","Percentage of regularly experiencing chronic pain for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked how often they had pain in the past three months. Respondents who reported having pain on most days or every day were classified as regularly experiencing chronic pain.","2019"
"Regularly experienced chronic pain","Full-time","14.4","13.8, 15.1","Percentage of regularly experiencing chronic pain for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked how often they had pain in the past three months. Respondents who reported having pain on most days or every day were classified as regularly experiencing chronic pain.","2019"
"Regularly experienced chronic pain","Part-time","15.6","14.1, 17.1","Percentage of regularly experiencing chronic pain for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked how often they had pain in the past three months. Respondents who reported having pain on most days or every day were classified as regularly experiencing chronic pain.","2019"
"Regularly experienced chronic pain","Not employed but has worked previously","33","31.9, 34.1","Percentage of regularly experiencing chronic pain for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked how often they had pain in the past three months. Respondents who reported having pain on most days or every day were classified as regularly experiencing chronic pain.","2019"
"Regularly experienced chronic pain","Not employed and has never worked","13.6","10.7, 17.1","Percentage of regularly experiencing chronic pain for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked how often they had pain in the past three months. Respondents who reported having pain on most days or every day were classified as regularly experiencing chronic pain.","2019"
"Regularly experienced chronic pain","Less than 100% FPL","29.5","27.4, 31.6","Percentage of regularly experiencing chronic pain for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked how often they had pain in the past three months. Respondents who reported having pain on most days or every day were classified as regularly experiencing chronic pain.","2019"
"Regularly experienced chronic pain","100% to less than 200% FPL","24.8","23.4, 26.3","Percentage of regularly experiencing chronic pain for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked how often they had pain in the past three months. Respondents who reported having pain on most days or every day were classified as regularly experiencing chronic pain.","2019"
"Regularly experienced chronic pain","200% and greater FPL","18","17.3, 18.6","Percentage of regularly experiencing chronic pain for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked how often they had pain in the past three months. Respondents who reported having pain on most days or every day were classified as regularly experiencing chronic pain.","2019"
"Regularly experienced chronic pain","U.S.-born","22.6","21.9, 23.2","Percentage of regularly experiencing chronic pain for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked how often they had pain in the past three months. Respondents who reported having pain on most days or every day were classified as regularly experiencing chronic pain.","2019"
"Regularly experienced chronic pain","Foreign-born","11.5","10.5, 12.6","Percentage of regularly experiencing chronic pain for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked how often they had pain in the past three months. Respondents who reported having pain on most days or every day were classified as regularly experiencing chronic pain.","2019"
"Regularly experienced chronic pain","With disability","60.4","58.1, 62.6","Percentage of regularly experiencing chronic pain for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked how often they had pain in the past three months. Respondents who reported having pain on most days or every day were classified as regularly experiencing chronic pain.","2019"
"Delayed getting medical care due to cost","White, single race","8.8","8.3,  9.3","Percentage of adults aged 18 and over who delayed getting medical care due to cost in past 12 months (95% confidence intervals), United States","Respondents were asked if there was any time during the past 12 months when medical care was delayed because of the cost.","2019"
"Regularly experienced chronic pain","Without disability","16.6","16.1, 17.1","Percentage of regularly experiencing chronic pain for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked how often they had pain in the past three months. Respondents who reported having pain on most days or every day were classified as regularly experiencing chronic pain.","2019"
"Regularly experienced chronic pain","Gay/lesbian","17.8","13.8, 22.4","Percentage of regularly experiencing chronic pain for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked how often they had pain in the past three months. Respondents who reported having pain on most days or every day were classified as regularly experiencing chronic pain.","2019"
"Regularly experienced chronic pain","Straight","20.3","19.8, 20.9","Percentage of regularly experiencing chronic pain for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked how often they had pain in the past three months. Respondents who reported having pain on most days or every day were classified as regularly experiencing chronic pain.","2019"
"Regularly experienced chronic pain","Bisexual","27.4","22.7, 32.6","Percentage of regularly experiencing chronic pain for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked how often they had pain in the past three months. Respondents who reported having pain on most days or every day were classified as regularly experiencing chronic pain.","2019"
"Regularly experienced chronic pain","Little to no social vulnerability","19.9","18.5, 21.4","Percentage of regularly experiencing chronic pain for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked how often they had pain in the past three months. Respondents who reported having pain on most days or every day were classified as regularly experiencing chronic pain.","2019"
"Regularly experienced chronic pain","Low social vulnerability","20.4","19.3, 21.5","Percentage of regularly experiencing chronic pain for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked how often they had pain in the past three months. Respondents who reported having pain on most days or every day were classified as regularly experiencing chronic pain.","2019"
"Regularly experienced chronic pain","Medium social vulnerability","21.1","20.0, 22.1","Percentage of regularly experiencing chronic pain for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked how often they had pain in the past three months. Respondents who reported having pain on most days or every day were classified as regularly experiencing chronic pain.","2019"
"Regularly experienced chronic pain","High social vulnerability","20.4","19.2, 21.7","Percentage of regularly experiencing chronic pain for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked how often they had pain in the past three months. Respondents who reported having pain on most days or every day were classified as regularly experiencing chronic pain.","2019"
"Diagnosed diabetes","Total","9.3","9.0,  9.7","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","Male","9.5","8.9, 10.0","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","Female","9.3","8.7,  9.8","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","18-34 years","1.3","1.0,  1.6","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","35-49 years","5.5","4.9,  6.2","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","50-64 years","13.6","12.7, 14.6","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","65 years and over","20.2","19.2, 21.2","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","18-44 years","2.4","2.1,  2.8","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Did not get needed mental health care due to cost","Private","0.9","0.6,  1.3","Percentage of adults aged 18 and over who did not get needed mental health care due to cost in the past 12 months (95% confidence intervals), United States","Respondents were asked if there was any time during the past 12 months when they needed mental health care but did not get it because of the cost.","2019"
"Diagnosed diabetes","45-64 years","12.2","11.4, 13.0","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","65-74 years","19.5","18.2, 20.8","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","75 years and over","21.3","19.7, 22.9","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","White, single race","8.8","8.4,  9.3","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","Black or African American, single race","12","10.8, 13.3","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","American Indian or Alaska Native, single race","14.5","10.3, 19.7","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","Asian, single race","9","7.3, 11.0","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","Native Hawaiian or Other Pacific Islander, single race","999",,"Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","Black or African American and White","999",,"Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","American Indian or Alaska Native and White","14.5","9.6, 20.7","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","Hispanic or Latino","9.7","8.5, 10.9","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","Mexican or Mexican American","10.7","9.1, 12.5","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","Not Hispanic or Latino","9.3","8.9,  9.7","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","Not Hispanic or Latino, White, single race","8.7","8.3,  9.1","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","Not Hispanic or Latino, Black or African American, single race","12.1","10.9, 13.4","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","Other, non-Hispanic","9.9","8.5, 11.4","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","Less than high school diploma","18.7","16.9, 20.5","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","High school diploma or GED","11.5","10.7, 12.4","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","Some college","10.5","9.8, 11.3","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","College degree or higher","6.2","5.7,  6.7","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","Married","9.8","9.2, 10.3","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","Widowed","21.3","19.5, 23.3","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","Divorced or separated","13.6","12.4, 14.8","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","Never married","4.9","4.3,  5.5","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","Living with a partner","5.2","4.3,  6.3","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","Large central metro","8.8","8.1,  9.5","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","Large fringe metro","8.1","7.4,  8.8","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","Medium and small metro","9.5","8.8, 10.2","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","Nonmetropolitan","12.4","11.2, 13.7","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","Northeast","8.4","7.5,  9.3","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","Midwest","8.9","8.1,  9.7","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","South","10.8","10.1, 11.4","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","West","8.2","7.5,  9.0","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","Large MSA","8.4","7.9,  8.9","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","Small MSA","9.5","8.9, 10.2","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","Not in MSA","12.4","11.2, 13.7","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","Private","5.3","4.9,  5.8","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","Medicaid or other public","10.7","9.4, 12.2","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","Other coverage","11.6","9.4, 14.1","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","Uninsured","4.7","3.9,  5.8","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","Private","18.2","16.7, 19.7","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","Medicare and Medicaid","32.4","28.0, 37.1","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","Medicare Advantage","18.2","16.5, 20.0","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","Medicare only (no Advantage)","19.2","16.5, 22.1","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","Other coverage","26.5","22.5, 30.8","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","Uninsured","999",,"Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","Employed","5.4","5.0,  5.8","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","Not employed","16.5","15.7, 17.3","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","Full-time","5.3","4.9,  5.7","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","Part-time","6","5.2,  7.0","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","Not employed but has worked previously","16.9","16.1, 17.8","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","Not employed and has never worked","11.5","8.6, 14.9","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","Less than 100% FPL","13.8","12.4, 15.2","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","100% to less than 200% FPL","12","11.0, 13.1","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","200% and greater FPL","7.9","7.5,  8.4","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","U.S.-born","9.2","8.8,  9.6","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","Foreign-born","9.9","8.9, 11.0","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","With disability","25.1","23.3, 26.9","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
"Diagnosed diabetes","Without disability","7.8","7.4,  8.2","Percentage of diagnosed diabetes for adults aged 18 and over (95% confidence intervals), United States","Respondents were asked if they had ever been told by a doctor or other health professional that they had diabetes. Respondents who had reported having prediabetes, borderline diabetes or gestational diabetes in previous questions were instructed not to include these conditions.","2019"
