"fiscal_year","budget_unit","budget_unit_title","account_code","description","_1st_rev_subacct_title","_2nd_rev_subacct_title","approved_amount","revenues_to_date","balance_remaining"
"18","410000","GENERAL GOVERNMENT","39711","PROCEEDS OF 2011 BONDS","T-PROCEEDS/LONG TERM DEBT",,"0","0","0"
"19","608010","GUARDIANSHIP","33150","ST GUARDIANSHIP OP GR","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","2282","500","1782"
"18","410000","GENERAL GOVERNMENT","39937","FY17 PRIOR YEAR FUND BAL","T-OTHER NON-OPERATING REV",,"0","0","0"
"18","411000","PUBLIC SAFETY","32490","OTHER FED OP GRANTS","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","0","0","0"
"18","411000","PUBLIC SAFETY","32890","OTHER FED CAP GRANTS","T-INTERGOVERNMENTAL REV","T-FED CAP GRANTS REV","0","0","0"
"18","411000","PUBLIC SAFETY","33185","ST ANTICIPATD STATE OP GR","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","0","0","0"
"18","411000","PUBLIC SAFETY","33590","OTHER STATE OP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","0","0","0"
"19","620010","SENIOR I&A","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"52849","26424.5","26424.5"
"18","411000","PUBLIC SAFETY","34300","T-OTHER CAP GRANTS REV","T-INTERGOVERNMENTAL REV",,"0","0","0"
"18","411000","PUBLIC SAFETY","34315","EQUITY INTEREST-CAP-CECIL","T-INTERGOVERNMENTAL REV","T-OTHER CAP GRANTS REV","0","0","0"
"18","411000","PUBLIC SAFETY","34316","EQUITY INTEREST-CAP-KENT","T-INTERGOVERNMENTAL REV","T-OTHER CAP GRANTS REV","0","0","0"
"18","411000","PUBLIC SAFETY","34317","EQUITY INTERST-CAP-TALBOT","T-INTERGOVERNMENTAL REV","T-OTHER CAP GRANTS REV","0","0","0"
"18","411000","PUBLIC SAFETY","34318","EQUITY INTERST-CAP-CAROLN","T-INTERGOVERNMENTAL REV","T-OTHER CAP GRANTS REV","0","0","0"
"18","411000","PUBLIC SAFETY","37804","COURT-ORDERED RESTITUTION","T-FINES & FORFEITURES",,"0","0","0"
"18","411000","PUBLIC SAFETY","39090","OTHER MISC-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"18","411000","PUBLIC SAFETY","39701","PROCEEDS OF LOANS","T-PROCEEDS/LONG TERM DEBT",,"0","0","0"
"18","411000","PUBLIC SAFETY","39702","PROCEEDS OF BONDS","T-PROCEEDS/LONG TERM DEBT",,"0","0","0"
"18","411000","PUBLIC SAFETY","39715","PROCEEDS OF 2015 BONDS","T-PROCEEDS/LONG TERM DEBT",,"0","0","0"
"19","650050","SECT 5311-DRIVR-SR CTR RT","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"39583","19791.5","19791.5"
"19","610010","OMBUDSMAN","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"13362","2333.02","11028.98"
"18","411000","PUBLIC SAFETY","39937","FY17 PRIOR YEAR FUND BAL","T-OTHER NON-OPERATING REV",,"0","0","0"
"18","412000","PUBLIC WORKS","32135","FED DOT/FTA OP GRANTS","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","0","0","0"
"18","412000","PUBLIC WORKS","32490","OTHER FED OP GRANTS","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","0","0","0"
"18","412000","PUBLIC WORKS","32707","ARRA-AMER RECVR & REINVST","T-INTERGOVERNMENTAL REV","T-FED CAP GRANTS REV","0","0","0"
"18","412000","PUBLIC WORKS","32715","FED EPA CAP GRANT","T-INTERGOVERNMENTAL REV","T-FED CAP GRANTS REV","0","0","0"
"18","412000","PUBLIC WORKS","33590","OTHER STATE OP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","0","0","0"
"18","412000","PUBLIC WORKS","34505","CONTR CAP-DEVELOPR EXACTN","T-INTERGOVERNMENTAL REV","T-DONATED CAP CONTR REV","0","0","0"
"18","412000","PUBLIC WORKS","35626","CASH DEP AGMT(CDA) RECPTS","T-CHARGES FOR SERVICES","T-PUBLIC WORKS-SERV CHGS","0","0","0"
"18","412000","PUBLIC WORKS","36303","PARKS & REC-USER CHGS","T-CHARGES FOR SERVICES","T-PARK & RECREATN-SRV CHG","0","0","0"
"18","412000","PUBLIC WORKS","38720","PROCEEDS/SALE OF LAND/BLD","T-MISCELLANEOUS REV","T-DISPOSAL/C.ASSETS-PROG","0","0","0"
"18","412000","PUBLIC WORKS","39390","OTHER MISC-NON-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","0","0","0"
"18","412000","PUBLIC WORKS","39714","PROCEEDS OF 2014 BONDS","T-PROCEEDS/LONG TERM DEBT",,"0","0","0"
"18","412000","PUBLIC WORKS","39717","PROCEEDS OF 2017 BONDS","T-PROCEEDS/LONG TERM DEBT",,"0","0","0"
"18","412000","PUBLIC WORKS","39937","FY17 PRIOR YEAR FUND BAL","T-OTHER NON-OPERATING REV",,"0","0","0"
"18","413000","SOCIAL SERVICES","32135","FED DOT/FTA OP GRANTS","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","0","0","0"
"18","413000","SOCIAL SERVICES","32185","FED COMM SERV & DEV-CDBG","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","0","0","0"
"18","413000","SOCIAL SERVICES","32707","ARRA-AMER RECVR & REINVST","T-INTERGOVERNMENTAL REV","T-FED CAP GRANTS REV","0","0","0"
"18","413000","SOCIAL SERVICES","32710","FED DOT/FTA CAP GRANTS","T-INTERGOVERNMENTAL REV","T-FED CAP GRANTS REV","0","0","0"
"18","413000","SOCIAL SERVICES","32890","OTHER FED CAP GRANTS","T-INTERGOVERNMENTAL REV","T-FED CAP GRANTS REV","0","0","0"
"18","413000","SOCIAL SERVICES","33140","ST DEPT OF AGING OP","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","0","0","0"
"18","413000","SOCIAL SERVICES","33590","OTHER STATE OP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","0","0","0"
"18","413000","SOCIAL SERVICES","33790","OTHER STATE CAP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE CAP GRANTS REV","0","0","0"
"18","413500","EDUCATION","33590","OTHER STATE OP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","0","0","0"
"18","413500","EDUCATION","33790","OTHER STATE CAP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE CAP GRANTS REV","0","0","0"
"18","413500","EDUCATION","39020","CONTR/DONATIONS-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"18","413500","EDUCATION","39030","RESTR DONATIONS-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"18","413500","EDUCATION","39054","PUBLICATNS/BID DOCS REIMB","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"18","413500","EDUCATION","39711","PROCEEDS OF 2011 BONDS","T-PROCEEDS/LONG TERM DEBT",,"0","0","0"
"18","413500","EDUCATION","39714","PROCEEDS OF 2014 BONDS","T-PROCEEDS/LONG TERM DEBT",,"0","0","0"
"18","413500","EDUCATION","39937","FY17 PRIOR YEAR FUND BAL","T-OTHER NON-OPERATING REV",,"0","0","0"
"18","414000","RECREATION & PARKS","32165","FED RECREATION OP GRANT","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","0","0","0"
"18","414000","RECREATION & PARKS","32215","FED EMERG MGMT/FEMA","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","0","0","0"
"18","414000","RECREATION & PARKS","32490","OTHER FED OP GRANTS","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","0","0","0"
"18","414000","RECREATION & PARKS","32707","ARRA-AMER RECVR & REINVST","T-INTERGOVERNMENTAL REV","T-FED CAP GRANTS REV","0","0","0"
"18","414000","RECREATION & PARKS","32725","FED RECREATION CAP GRANT","T-INTERGOVERNMENTAL REV","T-FED CAP GRANTS REV","0","0","0"
"18","414000","RECREATION & PARKS","32890","OTHER FED CAP GRANTS","T-INTERGOVERNMENTAL REV","T-FED CAP GRANTS REV","0","0","0"
"18","414000","RECREATION & PARKS","33135","STATE DOT OP GRANT","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","0","0","0"
"18","414000","RECREATION & PARKS","33180","ST RECREATION OP GRANT","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","0","0","0"
"18","414000","RECREATION & PARKS","33185","ST ANTICIPATD STATE OP GR","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","0","0","0"
"18","414000","RECREATION & PARKS","33190","ST POS ENCUMB LCL-NOT USE","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","0","0","0"
"18","414000","RECREATION & PARKS","33195","ST POS ENCUMB-NOT USE","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","0","0","0"
"18","414000","RECREATION & PARKS","33590","OTHER STATE OP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","0","0","0"
"18","414000","RECREATION & PARKS","33705","STATE CAP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE CAP GRANTS REV","0","0","0"
"18","414000","RECREATION & PARKS","33725","ST POS ENCUMB CAP-STATE","T-INTERGOVERNMENTAL REV","T-STATE CAP GRANTS REV","0","0","0"
"18","414000","RECREATION & PARKS","33790","OTHER STATE CAP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE CAP GRANTS REV","0","0","0"
"18","414000","RECREATION & PARKS","34390","OTHER CAP GRANTS REV","T-INTERGOVERNMENTAL REV","T-OTHER CAP GRANTS REV","0","0","0"
"18","414000","RECREATION & PARKS","34505","CONTR CAP-DEVELOPR EXACTN","T-INTERGOVERNMENTAL REV","T-DONATED CAP CONTR REV","0","0","0"
"18","414000","RECREATION & PARKS","34515","CONTR CAP-DEV-PRKS-GROWTH","T-INTERGOVERNMENTAL REV","T-DONATED CAP CONTR REV","0","0","0"
"18","414000","RECREATION & PARKS","34517","CONTR CAP-DEV-NON GROWTH","T-INTERGOVERNMENTAL REV","T-DONATED CAP CONTR REV","0","0","0"
"18","414000","RECREATION & PARKS","34580","DONATION/CAP ASSET-RESTR","T-INTERGOVERNMENTAL REV","T-DONATED CAP CONTR REV","0","0","0"
"18","414000","RECREATION & PARKS","36585","DEV EXAC-PARK GROWTH AREA","T-CHARGES FOR SERVICES","T-PARK & RECREATN-SRV CHG","0","0","0"
"18","414000","RECREATION & PARKS","36587","DEV EXAC-PARK NON-GROWTH","T-CHARGES FOR SERVICES","T-PARK & RECREATN-SRV CHG","0","0","0"
"18","414000","RECREATION & PARKS","37346","MAINTENANCE CHGS","T-CHARGES FOR SERVICES","T-HOUSING & PHA-SERV CHGS","0","0","0"
"18","414000","RECREATION & PARKS","38710","PROCEEDS/SALE CAP ASSETS","T-MISCELLANEOUS REV","T-DISPOSAL/C.ASSETS-PROG","0","0","0"
"18","414000","RECREATION & PARKS","38735","PROCEEDS//SALE INTANGIBLE","T-MISCELLANEOUS REV","T-DISPOSAL/C.ASSETS-PROG","0","0","0"
"18","414000","RECREATION & PARKS","38760","PROCEEDS/INSURANCE CLAIMS","T-MISCELLANEOUS REV","T-DISPOSAL/C.ASSETS-PROG","0","0","0"
"18","414000","RECREATION & PARKS","39030","RESTR DONATIONS-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"18","414000","RECREATION & PARKS","39054","PUBLICATNS/BID DOCS REIMB","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"18","414000","RECREATION & PARKS","39090","OTHER MISC-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"19","655050","ACCESS TO JOBS-DRIVER","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"82719","41359.5","41359.5"
"18","414000","RECREATION & PARKS","39937","FY17 PRIOR YEAR FUND BAL","T-OTHER NON-OPERATING REV",,"0","0","0"
"18","414500","LIBRARY","39709","PROCEEDS OF 2009 BONDS","T-PROCEEDS/LONG TERM DEBT",,"0","0","0"
"18","415000","CONS OF NATURAL RESOURCES","32130","FED HIGHWAYS/STREET/BRIDG","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","0","0","0"
"18","415000","CONS OF NATURAL RESOURCES","33790","OTHER STATE CAP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE CAP GRANTS REV","0","0","0"
"18","415000","CONS OF NATURAL RESOURCES","39020","CONTR/DONATIONS-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"18","415000","CONS OF NATURAL RESOURCES","39030","RESTR DONATIONS-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"18","415000","CONS OF NATURAL RESOURCES","39390","OTHER MISC-NON-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","0","0","0"
"18","415500","ECONOMIC DEVELOPMENT","30302","RECORDATION TX","T-TAXES","T-OTHER LOCAL TAXES REV","0","0","0"
"18","415500","ECONOMIC DEVELOPMENT","30309","IDOT RECORDATION TAX","T-TAXES","T-OTHER LOCAL TAXES REV","0","0","0"
"18","415500","ECONOMIC DEVELOPMENT","32185","FED COMM SERV & DEV-CDBG","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","0","0","0"
"18","415500","ECONOMIC DEVELOPMENT","32735","FED COMM SERV /DEV CAP GR","T-INTERGOVERNMENTAL REV","T-FED CAP GRANTS REV","0","0","0"
"18","415500","ECONOMIC DEVELOPMENT","32890","OTHER FED CAP GRANTS","T-INTERGOVERNMENTAL REV","T-FED CAP GRANTS REV","0","0","0"
"18","415500","ECONOMIC DEVELOPMENT","33590","OTHER STATE OP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","0","0","0"
"18","415500","ECONOMIC DEVELOPMENT","38210","INTEREST INCOM-UNRESTRICT","T-MISCELLANEOUS REV","T-INVESTMT INCOME-GEN RV","0","0","0"
"18","415500","ECONOMIC DEVELOPMENT","38720","PROCEEDS/SALE OF LAND/BLD","T-MISCELLANEOUS REV","T-DISPOSAL/C.ASSETS-PROG","0","0","0"
"18","415500","ECONOMIC DEVELOPMENT","38721","PROCEEDS/SALE LAND/BLD ST","T-MISCELLANEOUS REV","T-DISPOSAL/C.ASSETS-PROG","0","0","0"
"18","415500","ECONOMIC DEVELOPMENT","39054","PUBLICATNS/BID DOCS REIMB","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"18","415700","COMMUNITY DEVELOPMENT","32707","ARRA-AMER RECVR & REINVST","T-INTERGOVERNMENTAL REV","T-FED CAP GRANTS REV","0","0","0"
"18","415700","COMMUNITY DEVELOPMENT","33705","STATE CAP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE CAP GRANTS REV","0","0","0"
"18","415700","COMMUNITY DEVELOPMENT","38710","PROCEEDS/SALE CAP ASSETS","T-MISCELLANEOUS REV","T-DISPOSAL/C.ASSETS-PROG","0","0","0"
"18","415700","COMMUNITY DEVELOPMENT","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"0","0","0"
"19","650040","SECT 5311-ADMIN-SR CTR RT","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"14944","7472","7472"
"18","416000","DEBT","39711","PROCEEDS OF 2011 BONDS","T-PROCEEDS/LONG TERM DEBT",,"0","0","0"
"18","416000","DEBT","39714","PROCEEDS OF 2014 BONDS","T-PROCEEDS/LONG TERM DEBT",,"0","0","0"
"19","655070","ACCESS TO JOBS-GENERAL","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"44250","13194.14","31055.86"
"19","141100","SUMMER DAYS/DISABLED CHIL","36303","PARKS & REC-USER CHGS","T-CHARGES FOR SERVICES","T-PARK & RECREATN-SRV CHG","5000","7000","-2000"
"19","700000","HSG & COMM SERV ADMIN","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"510808","232662.54","278145.46"
"19","656050","SSTAP-DRIVER","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"90816","45408","45408"
"18","432750","KIVFD- COMMERCIAL 75%","35104","IMPACT FEE SERV CHG","T-CHARGES FOR SERVICES","T-GEN GOV-SERV CHGS","0","0","0"
"18","432800","KENT ISLAND VFD-PAYOUTS","39937","FY17 PRIOR YEAR FUND BAL","T-OTHER NON-OPERATING REV",,"0","0","0"
"19","616040","CONG MEALS-NUTRITION GEN","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"87784","43892","43892"
"19","604010","ASSISTED LIVING","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"7779","3889.5","3889.5"
"19","611010","OMBUDSMAN STATE INITIATIV","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"9678","4839","4839"
"19","621050","FAMILY CAREGIVER-TRAINING","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"700","25.59","674.41"
"18","433750","GRVFD- COMMERCIAL 75%","35104","IMPACT FEE SERV CHG","T-CHARGES FOR SERVICES","T-GEN GOV-SERV CHGS","0","0","0"
"18","433800","GRASONVILLE VFD-PAYOUTS","39937","FY17 PRIOR YEAR FUND BAL","T-OTHER NON-OPERATING REV",,"0","0","0"
"19","616010","CONG MEALS-ADMINISTRATION","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"2601","1300.5","1300.5"
"19","992100","HARRNGTN-BEAVRDAM DITCH-A","30307","TAX DITCHES TAX","T-TAXES","T-OTHER LOCAL TAXES REV","3250","3244.37","5.63"
"19","655040","ACCESS TO JOBS-ADMIN","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"29888","14925.99","14962.01"
"18","434750","QTVFD- COMMERCIAL 75%","35104","IMPACT FEE SERV CHG","T-CHARGES FOR SERVICES","T-GEN GOV-SERV CHGS","0","0","0"
"18","434800","QUEENSTOWN VFD-PAYOUTS","39937","FY17 PRIOR YEAR FUND BAL","T-OTHER NON-OPERATING REV",,"0","0","0"
"18","435750","GWVFD- COMMERCIAL 75%","35104","IMPACT FEE SERV CHG","T-CHARGES FOR SERVICES","T-GEN GOV-SERV CHGS","0","0","0"
"18","435800","GOODWILL VFD-PAYOUTS","39937","FY17 PRIOR YEAR FUND BAL","T-OTHER NON-OPERATING REV",,"0","0","0"
"19","654050","SECT 5311-DRIVR-EASTON","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"107119","37177.33","69941.67"
"19","655060","ACCESS TO JOBS-DISPATCHER","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"72331","35276.57","37054.43"
"18","436500","CHVFD- COMMERCIAL 50%","35104","IMPACT FEE SERV CHG","T-CHARGES FOR SERVICES","T-GEN GOV-SERV CHGS","0","0","0"
"18","436500","CHVFD- COMMERCIAL 50%","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"0","0","0"
"18","436750","CHVFD- COMMERCIAL 75%","35104","IMPACT FEE SERV CHG","T-CHARGES FOR SERVICES","T-GEN GOV-SERV CHGS","0","0","0"
"18","436800","CHURCH HILL VFD-PAYOUTS","39937","FY17 PRIOR YEAR FUND BAL","T-OTHER NON-OPERATING REV",,"0","0","0"
"19","649050","SECT 5311-DRIVR-ANNAPOLIS","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"8956","4478","4478"
"18","437500","SUVFD- COMMERCIAL 50%","35104","IMPACT FEE SERV CHG","T-CHARGES FOR SERVICES","T-GEN GOV-SERV CHGS","0","0","0"
"18","437750","SUVFD- COMMERCIAL 75%","35104","IMPACT FEE SERV CHG","T-CHARGES FOR SERVICES","T-GEN GOV-SERV CHGS","0","0","0"
"19","618040","HOME DELIVERED MEALS-GEN","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"52744","26372","26372"
"19","637010","MEDICAID WAIVER","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"31807","15903.5","15903.5"
"18","438500","CRVFD- COMMERCIAL 50%","35104","IMPACT FEE SERV CHG","T-CHARGES FOR SERVICES","T-GEN GOV-SERV CHGS","0","0","0"
"18","438750","CRVFD- COMMERCIAL 75%","35104","IMPACT FEE SERV CHG","T-CHARGES FOR SERVICES","T-GEN GOV-SERV CHGS","0","0","0"
"18","438800","CRUMPTON VFD-PAYOUTS","39937","FY17 PRIOR YEAR FUND BAL","T-OTHER NON-OPERATING REV",,"0","0","0"
"18","439100","QUEEN ANNES/HILLSBORO- RE","35104","IMPACT FEE SERV CHG","T-CHARGES FOR SERVICES","T-GEN GOV-SERV CHGS","700","0","700"
"18","439100","QUEEN ANNES/HILLSBORO- RE","38210","INTEREST INCOM-UNRESTRICT","T-MISCELLANEOUS REV","T-INVESTMT INCOME-GEN RV","0","0","0"
"18","439100","QUEEN ANNES/HILLSBORO- RE","39701","PROCEEDS OF LOANS","T-PROCEEDS/LONG TERM DEBT",,"0","0","0"
"18","439500","QAHBVFD- COMMERCIAL 50%","35104","IMPACT FEE SERV CHG","T-CHARGES FOR SERVICES","T-GEN GOV-SERV CHGS","0","0","0"
"18","439750","QAHBVFD- COMMERCIAL 75%","35104","IMPACT FEE SERV CHG","T-CHARGES FOR SERVICES","T-GEN GOV-SERV CHGS","0","0","0"
"18","439800","QA/HILLSBORO VFD-PAYOUTS","39937","FY17 PRIOR YEAR FUND BAL","T-OTHER NON-OPERATING REV",,"0","0","0"
"19","649070","SECT 5311-GENRL-ANNAPOLIS","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"7472","3736","3736"
"19","650060","SECT 5311-DISPH-SR CTR RT","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"20006","9825.93","10180.07"
"18","440500","UCVFD- COMMERCIAL 50%","35104","IMPACT FEE SERV CHG","T-CHARGES FOR SERVICES","T-GEN GOV-SERV CHGS","0","0","0"
"18","440750","UCVFD- COMMERCIAL 75%","35104","IMPACT FEE SERV CHG","T-CHARGES FOR SERVICES","T-GEN GOV-SERV CHGS","0","0","0"
"18","440800","UNITED COMM'S VFD-PAYOUTS","39937","FY17 PRIOR YEAR FUND BAL","T-OTHER NON-OPERATING REV",,"0","0","0"
"19","650070","SECT 5311-GENRL-SR CTR RT","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"20950","8825.5","12124.5"
"19","654040","SECT 5311-ADMIN-EASTON","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"7471","3735.5","3735.5"
"19","654060","SECT 5311-DISPCH-EASTON","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"30779","15021.11","15757.89"
"19","199000","GENERAL REVENUE","38210","INTEREST INCOM-UNRESTRICT","T-MISCELLANEOUS REV","T-INVESTMT INCOME-GEN RV","0","206756.62","-206756.62"
"18","480010","CAPITAL PROJECTS-ROADS","30510","HIGHWAY USER TX-SHARED","T-TAXES-STATE SHARED REV",,"0","0","0"
"18","480010","CAPITAL PROJECTS-ROADS","32210","FED INT REIMB (BAB) GRANT","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","0","0","0"
"18","480010","CAPITAL PROJECTS-ROADS","32490","OTHER FED OP GRANTS","T-INTERGOVERNMENTAL REV","T-FED OP GRANTS REV","0","0","0"
"19","622010","SENIOR I&A STATE","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"31499","14646.45","16852.55"
"19","600010","AGING ADMINISTRATION","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"356859","178429.5","178429.5"
"18","480010","CAPITAL PROJECTS-ROADS","32707","ARRA-AMER RECVR & REINVST","T-INTERGOVERNMENTAL REV","T-FED CAP GRANTS REV","0","0","0"
"18","480010","CAPITAL PROJECTS-ROADS","33590","OTHER STATE OP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","0","0","0"
"18","480010","CAPITAL PROJECTS-ROADS","34390","OTHER CAP GRANTS REV","T-INTERGOVERNMENTAL REV","T-OTHER CAP GRANTS REV","0","0","0"
"18","480010","CAPITAL PROJECTS-ROADS","35603","PUBLIC WORKS USER FEES","T-CHARGES FOR SERVICES","T-PUBLIC WORKS-SERV CHGS","0","0","0"
"19","202900","SO.KI WW CAP PROJ/CONSTR","39701","PROCEEDS OF LOANS","T-PROCEEDS/LONG TERM DEBT",,"0","3362252","-3362252"
"18","480010","CAPITAL PROJECTS-ROADS","38101","INTEREST INCOME-PROGRAM","T-MISCELLANEOUS REV","T-INVESTMT INCOME-PROG RV","0","0","0"
"18","480010","CAPITAL PROJECTS-ROADS","38102","INTEREST INCOME-USERS","T-MISCELLANEOUS REV","T-INVESTMT INCOME-PROG RV","0","0","0"
"19","621040","FAMILY CAREGIVER-RESPITE","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"2110","1055","1055"
"19","992900","LONG MARSH DITCH-AGENCY","30307","TAX DITCHES TAX","T-TAXES","T-OTHER LOCAL TAXES REV","3000","3000.01","-0.01"
"19","621010","FAMILY CAREGIVER-ADMIN","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"2946","1473","1473"
"18","480010","CAPITAL PROJECTS-ROADS","39043","SPECIAL PROJECTS REV","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"18","480010","CAPITAL PROJECTS-ROADS","39054","PUBLICATNS/BID DOCS REIMB","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"18","480010","CAPITAL PROJECTS-ROADS","39090","OTHER MISC-PROGRAM","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"18","480010","CAPITAL PROJECTS-ROADS","39354","WORKMEN'S COMPENSATION","T-MISCELLANEOUS REV","T-OTHER MISC REV-NON-PROG","0","0","0"
"18","480010","CAPITAL PROJECTS-ROADS","39701","PROCEEDS OF LOANS","T-PROCEEDS/LONG TERM DEBT",,"0","0","0"
"18","480010","CAPITAL PROJECTS-ROADS","39715","PROCEEDS OF 2015 BONDS","T-PROCEEDS/LONG TERM DEBT",,"0","0","0"
"19","656070","SSTAP-GENERAL","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"67333","16375.55","50957.45"
"19","638010","CASE MANAGEMENT","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"18665","9332.5","9332.5"
"19","625010","SHIP-SR HEALTH INS PROG","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"32002","16001","16001"
"18","480010","CAPITAL PROJECTS-ROADS","39937","FY17 PRIOR YEAR FUND BAL","T-OTHER NON-OPERATING REV",,"0","0","0"
"19","656040","SSTAP-ADMINISTRATION","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"14944","7472","7472"
"18","510010","LAW LIBRARY FUND","33590","OTHER STATE OP GRANTS","T-INTERGOVERNMENTAL REV","T-STATE OP GRANT REV","0","0","0"
"19","714000","SPECIAL LOANS/GRANTS PROG","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"100000","19255.83","80744.17"
"18","510010","LAW LIBRARY FUND","35103","DISCOVERY FEE","T-CHARGES FOR SERVICES","T-GEN GOV-SERV CHGS","0","0","0"
"19","609010","VEIP-VULNERABLE & ELDERLY","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"11306","5653","5653"
"18","510010","LAW LIBRARY FUND","39054","PUBLICATNS/BID DOCS REIMB","T-MISCELLANEOUS REV","T-OTHER MISC REV-PROG RV","0","0","0"
"18","510010","LAW LIBRARY FUND","39910","TRANSFER IN","T-OTHER NON-OPERATING REV",,"0","0","0"
