"project_name","date_received","meeting_date","meeting_time","meeting_location_place","meeting_location_address","meeting_location_city","meeting_location_zip","proposed_units","proposed_acres","sign_code","sign_year","locationdescription","taxmap_parcel","zoning","coordinates"
"Kimberly Ann Beaumont","2009-08-03T00:00:00.000","2009-08-25T00:00:00.000","1899-12-31T18:00:00","Oakland Mills Interfaith Center","5885  Robert Oliver Place","Columbia","21045",,,"C04","10","EAST OF COLUMBIA PIKE","[TaxMap 36 Parcel 257]",,"(39.1959, -76.8626)"
"Crawford Property","2015-05-27T00:00:00.000","2015-06-30T00:00:00.000","1899-12-31T18:30:00","Dayton Oaks Elementary School","4691 Ten Oaks Road","Dayton","21036","23","98.52","R49","15","HAVILAND MILL RD","[TaxMap 33 Parcel 1],[TaxMap 33 Parcel 52],[TaxMap 34 Parcel 52],[TaxMap 39 Parcel 1],[TaxMap 39 Parcel 52],[TaxMap 40 Parcel 1],[TaxMap 40 Parcel 52]","RR-DEO","(39.1842, -77.0008)"
"rebecca sewell-burget","2010-12-01T00:00:00.000","2011-01-10T00:00:00.000","1899-12-31T06:30:00","Glenwood Library meeting room","2350 route 97","cooksville","21723",,,"C08","11","OLD FREDERICK RD 4700' W OF RT 32","[TaxMap  Parcel ],[TaxMap 9 Parcel 351]","RC-DEO","(39.3251, -76.9634)"
"WESTLAND FARM ESTATES","2014-09-30T00:00:00.000","2014-10-23T00:00:00.000","1899-12-31T18:00:00","MAPLE LAWN COMMUNITY CENTER","7600 MAPLE LAWN BLVD","FULTON","20759","12","45.28","R16","15","SW SIDE OF LIME KILN RD NW OF MARLOW RD","[TaxMap 40 Parcel 28],[TaxMap 45 Parcel 28],[TaxMap 45 Parcel 30]","RR-DEO","(39.1504, -76.9509)"
"Harry G. Pirrung (CONDITIONAL USE) Home Base Cont.","2008-05-01T00:00:00.000","2008-05-29T00:00:00.000","1899-12-31T18:00:00","Glenwood Library","2350 Route 97","Cooksville","21723",,,"C29","8","WEST OF ADDISON WAY, ABOUT 500' SOUTH OF ROUTE 70","[TaxMap 8 Parcel 173]","RC-DEO","(39.3312, -77.0317)"
"Simpson Mill, Parcel  'A'","2013-05-28T00:00:00.000","2013-06-24T00:00:00.000","1899-12-31T06:00:00","Harpers Choice Community Association-Kahler Hall ","5440 Tucker Row","Columbia, MD","21044","112","3.42","R56","13","E SIDE CEDAR LN S OF HARRIET TUBMAN LN","[TaxMap 35 Parcel 116]","POR","(39.1854, -76.8943)"
"Khan Property","2016-11-07T00:00:00.000","2016-12-01T00:00:00.000","1899-12-31T18:00:00","Glenwood Library","2350 Route 97 ","Cooksville","21723","4","15.32","R24","17","WEST OF RT 97","[TaxMap 8 Parcel 243]","RC-DEO","(39.346, -77.0199)"
"RIVERHILL GARDEN CTR (ZONING BOARD) R-20 to B-1","2008-12-19T00:00:00.000","2009-01-13T00:00:00.000","6:30 P.M.","CLARKSVILLE ELEMENTARY SCHOOL","12041 RT. 108","CLARKSVILLE","21029",,,"M03","9","CLARKSVILLE PIKE","[TaxMap 35 Parcel 1]","B-1","(39.2143, -76.9343)"
"8302 Old Montgomery Road","2013-11-04T00:00:00.000","2013-11-27T00:00:00.000","1899-12-31T18:00:00","East Columbia Library - Meeting Room","6600 Cradlerock Way","Columbia","21045","3","1.502","R28","14","NW SIDE OLD MONTGOMERY RD 720' NE OF TAMAR DR","[TaxMap 37 Parcel 230]","R-20","(39.2043, -76.7997)"
"Berman Property","2015-04-29T00:00:00.000","2015-05-27T00:00:00.000","6:00 p.m.","Chapelgate Presbyterian Church","2600 Marriottsville Road","Marriottsville ","21044",,"50.119","C16","15","N OF HOBSONS CHOICE LN W OF PATAPSCO RIVER","[TaxMap 11 Parcel 13],[TaxMap 11 Parcel 15]","R-ED,RC-DEO","(39.3181, -76.8619)"
"MARYLAND FOOD AUTHORITY","2013-12-13T00:00:00.000","2014-01-13T00:00:00.000","1899-12-31T18:30:00","DEEP RUN ELEMENTARY - CAFETERIA","6925 OLD WATERLOO RD","ELKRIDGE","21075",,"35.96","N02","14","TERMINUS OF CHESAPEAKE BAY CT","[TaxMap 43 Parcel 662],[TaxMap 43 Parcel 696]","M-2","(39.1559, -76.7827)"
"Charles Miller","2013-01-11T00:00:00.000","2013-02-04T00:00:00.000","1899-12-31T19:45:00","Miller Library","9424 Frederick Road","Ellicott City","21042",,,"C15","13","FREDERICK RD SOUTH OF PAPILLON DR","[TaxMap 24 Parcel 680]","R-ED","(39.2699, -76.8136)"
"Emerald Ct- Fitzpatrick","2016-11-14T00:00:00.000","2016-12-12T00:00:00.000","8:00 P.M.","Howard County Library","9421 Frederick Road","Ellicott City","21042",,,"C13","17","TERMINUS OF EMERALD CT","[TaxMap 16 Parcel 228]","RC-DEO","(39.2878, -76.9257)"
"St. Louis Church and School","2011-07-07T00:00:00.000","2011-08-03T00:00:00.000","6:30 p.m.","St. Louis Church, Room 301 of the Pastoral Center","12500 Clarksville Pike (MD Rt. 108)","Clarksville","21029","0","23.36","N01","12","W SIDE CLARKSVILLE PIKE OPPOSITE GUILFORD RD","[TaxMap 34 Parcel 196],[TaxMap 34 Parcel 29],[TaxMap 34 Parcel 30],[TaxMap 34 Parcel 77]",,"(39.2052, -76.9439)"
"Race Road Property","2017-09-25T00:00:00.000","2017-10-30T00:00:00.000","1899-12-31T18:00:00","Elkridge Volunteer Fire Department","6275 Old Washington Road","Elkridge","21075","3","1.08","R04","18","NW SIDE RACE RD 700' N OF CHURCH AVE","[TaxMap 38 Parcel 598]","R-12","(39.2109, -76.7065)"
"Winters Lane, Par. 740 & 815 ","2015-02-23T00:00:00.000","2015-03-17T00:00:00.000","1899-12-31T18:00:00","Elkridge Volunteer Fire Dept.","6275 Old Washington Road","Elkridge","21075","3","0.93","R36","15","WINTERS LANE","[TaxMap 38 Parcel 740],[TaxMap 38 Parcel 815]","R-12","(39.1966, -76.7244)"
"Focal Development (ZONING BOARD) RR-DEO TO BR","2008-12-12T00:00:00.000","2009-01-09T00:00:00.000","1899-12-31T18:00:00","Schooley Mill Park","13000 Hall Shop Road","Highland","20777",,,"M02","9","SW SIDE HIGHLAND RD 800' NW OF CLARKSVILLE PIKE","[TaxMap 40 Parcel 50]","RR-DEO","(39.1804, -76.96)"
"SIMPSON MILL  PARCEL A","2014-04-15T00:00:00.000","2014-05-14T00:00:00.000","1899-12-31T18:00:00","HARPER'S CHOICE COMMUNITY ASSOCIATION KAHLER HALL","5440 OLD TUCKER ROW","COLUMBIA","21044","22","3.42","R62","14","E SIDE CEDAR LN S OF HARRIET TUBMAN LN","[TaxMap 35 Parcel 116]","POR","(39.1854, -76.8943)"
"Lisa Williams aka Lisa (Williams) Cooch","2012-05-30T00:00:00.000","2012-06-25T00:00:00.000","1899-12-31T19:00:00","Howard Count Library - Glenwood Branch","2350 Route 97","Cooksville","21723",,,"C12","12","CARRS MILL ROAD","[TaxMap  Parcel ],[TaxMap 8 Parcel 210]","RC-DEO","(39.3264, -77.0542)"
"Sprint/Nextel Comm.- COND. USE (Replace Antennas)","2007-07-19T00:00:00.000","2007-08-09T00:00:00.000","1899-12-31T18:00:00","Glenwood Community Center","2400 Route 97","Glenwood","21738",,,"C03","8","E SIDE MILLER'S RD 500' S OF BUSHY PARK RD","[TaxMap 8 Parcel 317]","RC-DEO","(39.3185, -77.0265)"
"The K9 Connection","2017-05-01T00:00:00.000","2017-05-30T00:00:00.000","6:00 p.m.","Florence Bain 50+ Center","5470 Ruth Keaton Way","Columbia","21044",,,"C22","17","MANOR LANE","[TaxMap 29 Parcel 327]","RC-DEO","(39.24, -76.887)"
"T-Mobile Northeast LLC","2010-01-26T00:00:00.000","2010-03-09T00:00:00.000","1899-12-31T19:30:00","Fire Department Clarksville Vol Co #5","5000 Signal Bell Lane","Clarksville","21029",,,"C13","10","SE OF BIG BRANCH DR","[TaxMap 27 Parcel 57]","RC-DEO","(39.2377, -77.0097)"
"Beth Shalom Congregation","2013-02-28T00:00:00.000","2013-03-28T00:00:00.000","1899-12-31T18:00:00","On-site Beth Shalom Congregation","8070 Harriet Tubman Lane","Columbia","21044",,,"C19","13","S SIDE HARRIET TUBMAN LN NW OF FREETOWN RD","[TaxMap  Parcel ],[TaxMap 35 Parcel 256]","R-12","(39.1848, -76.8796)"
"River Hill Square","2016-09-01T00:00:00.000","2016-10-06T00:00:00.000","1899-12-31T18:00:00","Kahler Hall ","5440 Old Tucker Row","Columbia","21044","0","6.33","N03","17","CLARKSVILLE PIKE","[TaxMap 35 Parcel 1]","B-1","(39.2143, -76.9343)"
"Koerber Subdivision","1900-01-01T00:00:00.000","2010-10-23T00:00:00.000","10:00am","Miller Library","9451  Frederick Road","Ellicott City","21042","3","1.58","R04","11","W SIDE CHATHAM RD 850' N OF WAYCROSS RD","[TaxMap 24 Parcel 427]","R-20","(39.2678, -76.8338)"
"NELSON HOUSE","2014-05-09T00:00:00.000","2014-06-12T00:00:00.000","1899-12-31T18:00:00","ELKRIDGE LIBRARY","6540 WASHINGTON BLVD.","ELKRIDGE","21075","0","0.25","N07","14","LARK BROWN RD","[TaxMap 37 Parcel 383]","M-1","(39.1884, -76.7934)"
"VAN STONE PROPERTY","2014-10-06T00:00:00.000","2014-11-05T00:00:00.000","1899-12-31T19:30:00","ELLICOTT CITY SENIOR CENTER","9401 FREDERICK ROAD","ELLICOTT CITY","21042","2","2.16","R18","15","W SIDE BETHANY LN BETWEEN GERMAN RD & REED LN","[TaxMap 17 Parcel 106]","R-20","(39.2897, -76.8579)"
"Brighton Mill  Ph 2","2015-06-04T00:00:00.000","2015-07-14T00:00:00.000","1899-12-31T18:00:00","Fifth District Volunteer Fire Dept.","5000 Signal Bell Lane","Clarksville","21029","14","29.048","R04","16","BROCCOLINO WAY S OF TRIADELPHIA MILL RD","[TaxMap 34 Parcel 16]","RR-DEO","(39.2151, -76.9826)"
" Harry Simpson (Wood Splitting) -  CONDITIONAL USE","2007-08-20T00:00:00.000","2007-09-13T00:00:00.000","1899-12-31T19:00:00","Dayton Rod & Gun Club","5082 Greenbridge Road","Dayton","21036",,,"C06","8","NORTHEAST OF GREENBRIDGE ROAD","[TaxMap 27 Parcel 36]","RC-DEO","(39.2282, -76.9974)"
"Hawks Landing","2007-05-16T00:00:00.000","2007-06-11T00:00:00.000","1899-12-31T18:00:00","Mt. Airy Presbyterian Church","15950 North Ave.","Lisbon","21765","2","10",,,"N SIDE JENNINGS CHAPEL RD 1900' NW OF DAISY RD","[TaxMap 20 Parcel 50]","RC-DEO","(39.273, -77.0771)"
"PATAPSCO OVERLOOK S 3 PROPERTY","2012-10-05T00:00:00.000","2012-10-30T00:00:00.000","6:00PM","LISBON VOLUNTEER FIRE DEPARTMENT HALL","1220 WOODBINE ROAD","WOODBINE","21765","1","3","R17","13","WELLER DR W OF WOODBINE RD","[TaxMap 2 Parcel 227]","RC-DEO","(39.3608, -77.068)"
"Mt. Gregory U. M. Church-New Church Bldg(COND USE)","2008-02-12T00:00:00.000","2008-03-06T00:00:00.000","1899-12-31T18:00:00","Mt. Gregory United Methodist Church","2333 Route 97","Cooksville","21723",,,"C21","8","EAST SIDE OF RT 97, ABOUT 100' S OF ITS INTERSECTION WITH MILLERS MILL RD","[TaxMap 14 Parcel 130],[TaxMap 14 Parcel 193]","RC-DEO","(39.3078, -77.0203)"
"Downtown Columbia, Crescent Neighborhood, FDP-DC-Crescent-1","2013-09-20T00:00:00.000","2013-10-21T00:00:00.000","1899-12-31T18:30:00","HCC Student Services Hall Rm 400","10901 Little Patuxent Parkway","Columbia","21044","400","22.9","T02","14","LITTLE PATUXENT PKWY AT BROKEN LAND PKWY","[TaxMap 36 Parcel 527]","NT","(39.2083, -76.8659)"
"13000 Wainwright Rd.","2012-07-23T00:00:00.000","2012-08-28T00:00:00.000","1899-12-31T18:00:00"," 5th District Volunteer Fire Department ","5000  Signal Bell Lane","Clarksville, MD ","21029","3","10.12","R07","13","WAINWRIGHT RD AT RT. 108","[TaxMap 40 Parcel 42]","RR-DEO","(39.1663, -76.9746)"
"Brown Property","2010-06-02T00:00:00.000","2010-06-24T00:00:00.000","6:00 p.m.","Atholton High School","6520 Freetown Road","Columbia","21044","1","1",,,"SW QUADRANT OF HUNTING LN & NEWBERRY DR","[TaxMap 41 Parcel 252]","R-20","(39.1786, -76.8856)"
"ChesapeakeConf. Of Seventh-Day Adventist(COND USE)","2008-08-12T00:00:00.000","2008-09-10T00:00:00.000","1899-12-31T18:00:00","Seventh-Day Adventist Building","6600 Martin Road","Columbia","21044",,,"C08","9","WEST SIDE OF LEISHEAR ROAD, NORTH OF SCAGGSVILLE ROAD","[TaxMap 46 Parcel 18]","R-20","(39.2843, -76.8628)"
"Sunset View","2014-02-10T00:00:00.000","2014-03-12T00:00:00.000","6:00pm","Miller Library","9421 Frederick Road","Ellicott City","21042","3","1.47","R44","14","WATERLOO RD ","[TaxMap 31 Parcel 179]","R-20","(39.2291, -76.8009)"
"Deborah Smith (COND. USE)  Home Based Contractor","2007-09-04T00:00:00.000","2007-09-27T00:00:00.000","1899-12-31T18:00:00","Glenwood Library","2350 Route 97","Cooksville","21723",,,"C08","8","WEST SIDE OF HOODS MILL ROAD","[TaxMap 8 Parcel 204]","RC","(39.348, -77.0223)"
"HARWOOD PARK LOTS 540-541 & 693-696","2013-11-22T00:00:00.000","2014-01-07T00:00:00.000","1899-12-31T18:00:00","ELKRIDGE LIBRARY","6540 WASHINGTON BLVD.","ELKRIDGE, MD","21075","4","0.37","R32","14","SW SIDE BEECHFIELD AVE","[TaxMap 38 Parcel 873]","R-12","(39.1961, -76.7405)"
"Van Noy Property","2011-09-29T00:00:00.000","2011-10-27T00:00:00.000","1899-12-31T18:00:00","MT ZION METHODIST CHURCH","12430 SCAGGSVILLE RD","HIGHLAND","20777","2","15.94","R11","12","BROWN BRIDGE RD N OF SCAGGSVILLE RD","[TaxMap 40 Parcel 370],[TaxMap 40 Parcel 371],[TaxMap 40 Parcel 372],[TaxMap 40 Parcel 468],[TaxMap 40 Parcel 469],[TaxMap 40 Parcel 470],[TaxMap 40 Parcel 471],[TaxMap 40 Parcel 472],[TaxMap 40 Parcel 473]","RR-DEO","(39.1699, -76.9424)"
"Trinity School, Inc.","2012-01-20T00:00:00.000","2012-02-21T00:00:00.000","6:00 p.m.","St. Lidwine's Hall, Trinity School, Inc.","4985  Ilchester Road","Ellicott City","21043",,,"C07","12","E SIDE OF ILCHESTER RD 2200' S OF LANDING RD","[TaxMap 31 Parcel 839]","R-20","(39.2283, -76.764)"
"Historic Ellicott City - Residential Apartments","2008-01-22T00:00:00.000","2008-02-27T00:00:00.000","1899-12-31T18:00:00","St. Paul's Catholic Church (Donony Hall)","3755 St. Paul Street","Ellicott City","21043","8","0.207","R47","8","BETWEEN MAIN ST & ST PAUL ST EAST OF MARYLAND AVE","[TaxMap 25A Parcel 142],[TaxMap 25A Parcel 310],[TaxMap 25A Parcel 45]","HC,R-ED,R-VH","(39.2672, -76.7965)"
"Columbia Crescent, Ph 1, Area 3","2016-08-22T00:00:00.000","2016-09-13T00:00:00.000","1899-12-31T18:00:00","Oakland Manor","5430 Vantage Road","Columbia","21044","882","21.39","R13","17","MERRIWEATHER DRWY AT  BROKEN LAND PKWY","[TaxMap 36 Parcel 527]","NT","(39.2081, -76.8623)"
"Abbeyfield Estates, A Resubdivision of Lot 38","2010-11-03T00:00:00.000","2010-11-30T00:00:00.000","1899-12-31T18:00:00","Elkridge Library","6540 Washington Blvd","Elkridge, Maryland","21075","4","2.01","R07","11","N SIDE KERGER RD OPPOSITE JAMES AVE","[TaxMap 31 Parcel 206]",,"(39.2218, -76.7856)"
"WOODBROOK, SECT 2","2014-03-20T00:00:00.000","2014-04-28T00:00:00.000","1899-12-31T18:00:00","ELKRIDGE VOLUNTEER FIRE DEPT","6275 OLD WASHINGTON BLVD.","ELKRIDGE","21075","7","2.14","R55","14","N SIDE WOODCREST DR 600' E OF WATERLOO RD","[TaxMap 37 Parcel 126],[TaxMap 37 Parcel 488],[TaxMap 37 Parcel 530]","R-SC","(39.2, -76.793)"
"Holiday Hills, a Resubdivision of Lot 35","2011-01-14T00:00:00.000","2011-02-15T00:00:00.000","1899-12-31T18:00:00","Central Library Columbia","10375  Little Patuxent Parkway","Columbia","21044","2","1.01","R12","11","S SIDE VISTA RD 1100' E OF NEWBERRY DR","[TaxMap 41 Parcel 220]","R-20","(39.1797, -76.8822)"
"Newburn Property","2016-03-08T00:00:00.000","2016-04-05T00:00:00.000","1899-12-31T18:00:00","Elkridge Volunteer Fire Dept.","6275 Old Washington Road","Elkridge","21075","3","0.93","R48","16","WINTERS LANE","[TaxMap 38 Parcel 740],[TaxMap 38 Parcel 815]","R-12","(39.1966, -76.7244)"
"Trotter Point","2008-03-06T00:00:00.000","2008-04-01T00:00:00.000","1899-12-31T18:00:00","Clarksville Fire Station","5000 Signal Bell Lane","Clarksville","21029","4","2.5","R60","8","W SIDE OF TROTTER ROAD 1300' N OF SOUTHWIND CIR","[TaxMap 35 Parcel 8]","R-20","(39.2131, -76.9193)"
"The Towns at Court Hill","2015-05-27T00:00:00.000","2015-07-02T00:00:00.000","1899-12-31T18:00:00","Miller Branch Library","9421 Frederick Road","Ellicott City","21042","10","3.28","R01","16","WEST OF COURT  HOUSE DR, EAST OF FELLS LANE","[TaxMap 25 Parcel 43]","R-A-15","(39.2721, -76.801)"
"Guilford Gardens Redevelopment","2009-02-04T00:00:00.000","2009-02-25T00:00:00.000","1899-12-31T18:30:00","Guilford Elementary School","7335  Oakland Mills Road","Columbia ","21046","269","17.9706","R26","9","EAST SIDE OF OAKLAND MILLS ROAD","[TaxMap 42 Parcel 361]","R-A-15","(39.1713, -76.8304)"
"Yale Presbyterian Church","2010-07-15T00:00:00.000","2010-08-11T00:00:00.000","1899-12-31T18:30:00","Ellicott City Senior Center","9401 Frederick Road","Ellicott CIty","21042",,,"C02","11","MONTGOMERY ROAD","[TaxMap 31 Parcel 294],[TaxMap 31 Parcel 310]","R-20","(39.2372, -76.8014)"
"Woodbine/Brantly LLC","2016-09-19T00:00:00.000","2016-10-20T00:00:00.000","6:00 P.M.","Glenwood Library","2350 Route 97","Cooksville","21723",,,"M01","17","WOODBINE RD AT OLD FREDERICK RD","[TaxMap 2 Parcel 40],[TaxMap 7 Parcel 478]","B-2","(39.3403, -77.0458)"
"Virginia E Dee","1900-01-01T00:00:00.000","2012-10-06T00:00:00.000","1899-12-31T10:00:00","Patapsco Room at the Miller Library ","9421 Frederick Road","Ellicot City","21042",,,"C07","13","SW QUADRANT CASTLE MOOR DR & LAKE CIRCLE WEST","[TaxMap 30 Parcel 316]","R-20","(39.231, -76.8724)"
"Ellicott City Senior Housing","2007-10-12T00:00:00.000","2007-11-07T00:00:00.000","1899-12-31T18:00:00","Miller Branch Library","9421 Frederick Road","Ellicott City","21042","152","6.69","R27","8","NORTHEAST CORNER OF ROGERS AVE. AT OAK WEST DRIVE","[TaxMap 24 Parcel 1],[TaxMap 25 Parcel 1]","POR","(39.2811, -76.8081)"
"Nickle Property","2009-06-03T00:00:00.000","2009-06-29T00:00:00.000","1899-12-31T18:00:00","Clarksville Fire Station (Fifth District)","5000 Signal Bell Lane","Clarksville","21029","2","1.3","R39","9","E SIDE TROTTER RD N OF SOUTHWIND CIR","[TaxMap 35 Parcel 200]","R-20","(39.2112, -76.9184)"
"NCV Daycare Center","2012-04-04T00:00:00.000","2012-05-09T00:00:00.000","1899-12-31T18:15:00","Elkridge Library","6540  Washington Boulevard","Elkridge","21075","0","0.046","N07","12","LITTLE COVE FARM WAY AT NEW COLONY BLVD","[TaxMap 43 Parcel 670]","R-MH","(39.1776, -76.7808)"
"Calvert Crossland - Verizon Cell Tower","2017-01-09T00:00:00.000","2017-02-16T00:00:00.000","1899-12-31T18:00:00","The Meeting Room at River Hill","6330 Trotter Road","Clarksville","21029","0","1","N09","17","GRACE DR","[TaxMap 35 Parcel 145]","PEC","(39.1896, -76.9024)"
"Constellation Solar Farm","2015-02-18T00:00:00.000","2015-03-26T00:00:00.000","1899-12-31T18:00:00","West Friendship Fire Station","12535 Old Frederick Road","Sykesville","21784","0","37.239","N04","15","NW QUADRANT RT 32 & OLD FREDERICK RD","[TaxMap 9 Parcel 21]","RC-DEO","(39.3223, -76.9511)"
"Hickory Overlook","2015-02-05T00:00:00.000","2015-03-02T00:00:00.000","6:00 p.m.","Abiding Savior Lutheran Church","10689 Owen Brown Road","Columbia","21044",,,"C13","15","S SIDE OWEN BROWN RD E OF CEDAR LN","[TaxMap 35 Parcel 238]","R-SC","(39.1966, -76.8829)"
"Terra Maria Lot F-1","2007-04-30T00:00:00.000","2007-05-21T00:00:00.000","1899-12-31T18:30:00","Community Building","3112 St. Charles Place","Ellicott City","21042","4","1.11",,,"NE QUADRANT TERRA MARIA WAY & FREDERICK RD","[TaxMap 16 Parcel 453]","R-SC","(39.2856, -76.889)"
"Global Children, Inc.","2010-06-18T00:00:00.000","2010-07-27T00:00:00.000","1899-12-31T18:30:00","Ellicott City Senior Center","9401 Frederick Road","Ellicott City","21042",,,"C18","10","MONTGOMERY RD AT BAUGHER FARM RD","[TaxMap 31 Parcel 415]","R-20","(39.2396, -76.8011)"
"Fawcett Property","2007-02-13T00:00:00.000","2007-03-01T00:00:00.000","1899-12-31T18:00:00","(On Site)","4941 Bonnie Branch Road","Ellicott City","21043","2","2.42",,,"E SIDE BONNIE BRANCH RD 500' S OF TWIN STREAM DR","[TaxMap 31 Parcel 321]","R-20","(39.2351, -76.781)"
"Susan Johns Smith (COND USE) 2 Family Dwelling","2008-07-18T00:00:00.000","2008-08-08T00:00:00.000","1899-12-31T18:00:00","Mt. Zion UMC","12430 Scaggsville Road","Highland","20777",,,"C03","9","WEST OF OLD COLUMBIA ROAD AND SOUTHEAST OF US 29","[TaxMap 41 Parcel 245]","R-20","(39.1644, -76.8836)"
"Pfefferkorn Overlook","2006-10-30T00:00:00.000","2006-11-16T00:00:00.000","1899-12-31T18:00:00","(On Site)","2797 Pfefferkorn Overlook","West Friendship","21794","15","50.34",,,"EAST SIDE OF PFEFFERKORN RD APPROX. 1.2 MILES SOUTH OF MD 144","[TaxMap 15 Parcel 164]","RC-DEO","(39.2963, -76.9855)"
"5835 & 5847 Trotter Road","2009-11-03T00:00:00.000","2009-12-02T00:00:00.000","6:00 p.m.","Central Library","10375 Little Patuxent Parkway","Columbia","21044","6","2.725","R11","10","E SIDE TROTTER RD 500' N OF SOUTH WIND CIR","[TaxMap 35 Parcel 201]","R-20","(39.2109, -76.9178)"
"Holiday Hills, Sec 5","2015-12-21T00:00:00.000","2016-01-20T00:00:00.000","1899-12-31T18:00:00","East Columbia Library","6600 Cradlerock Way","Columbia","21045","2","1.003","R40","16","HUNTING LN WEST OF NEWBERRY DR","[TaxMap 41 Parcel 273]","R-20","(39.1781, -76.8874)"
"BS Land Acquisition LLC","2015-07-28T00:00:00.000","2015-08-20T00:00:00.000","1899-12-31T18:00:00","East Columbia Library","6600 Cradlerock Way","Columbia","21045","24","3.34","R14","16","S SIDE HARRIET TUBMAN LN W OF FREETOWN RD","[TaxMap 35 Parcel 153],[TaxMap 35 Parcel 256]","R-SA-8","(39.1851, -76.8812)"
"Evergreen Stables Farm","2016-07-18T00:00:00.000","2016-08-22T00:00:00.000","1899-12-31T18:00:00","Maryland Building Industry Assoc","11825 West Marker Pl","Fulton","20759","8","19.7","R07","17","S SIDE OF SCAGGSVILLE ROAD 1200' W OF MD RT 29","[TaxMap 46 Parcel 337]","RR-DEO","(39.1445, -76.9104)"
"PORTA PROPERTY","2014-02-28T00:00:00.000","2014-04-08T00:00:00.000","1899-12-31T18:00:00","MILLER BRANCH LIBRARY","9421 FREDERICK ROAD","ELLICOTT CITY","21042","1","3.3","R51","14","BALTIMORE NATIONAL PIKE","[TaxMap 24 Parcel 2],[TaxMap 24 Parcel 758]","R-20","(39.2828, -76.8705)"
"Meadowridge Corporate Center","2012-11-13T00:00:00.000","2012-12-17T00:00:00.000","1899-12-31T18:00:00","Elkridge Library - Meeting Room","6540 Washington Blvd.","Elkridge","21075","0","2.72","N06","13","MARSHALEE DR S OF AVALON DR","[TaxMap 37 Parcel 617]","PEC","(39.2088, -76.7806)"
"Noohi Property","2006-11-14T00:00:00.000","2006-12-21T00:00:00.000","1899-12-31T18:00:00","Howard County Library - Miller Branch","9421 Frederick Road","Ellicott City","21042","3","1.84",,,"W SIDE OF BETHANY LN 1150' S OF PATUXENT OVERLOOK CT","[TaxMap 17 Parcel 195],[TaxMap 17 Parcel 196]","R-20","(39.2848, -76.859)"
"Basham Property","2007-02-26T00:00:00.000","2007-03-13T00:00:00.000","1899-12-31T18:00:00","Elkridge Volunteer Fire Department (Banquet Hall)","6275 Old Washington Road","Elkridge","21075","6","1.87",,,"W SIDE OF HANOVER RD. N OF LOUDON AVE","[TaxMap 38 Parcel 342]","R-12","(39.1938, -76.7247)"
"ST. PAUL'S LUTHERAN CHURCH OF FULTON, MARYLAND","2009-07-22T00:00:00.000","2009-08-18T00:00:00.000","1899-12-31T20:00:00","ST. PAUL'S LUTHERAN CHURCH MEETING HALL","11795 ROUTE 216","FULTON","20759",,,"C01","10","SOUTH SIDE OF MD ROUTE 216","[TaxMap 46 Parcel 105]","RR-DEO","(39.1508, -76.9226)"
"Ultimate CNG, LLC","2012-04-12T00:00:00.000","2012-05-08T00:00:00.000","1899-12-31T18:00:00","North Laurel Community Center","9411 Whiskey Bottom Road","Laurel","20723",,,"C10","12","OLD DORSEY RUN RD AT GUILFORD RD","[TaxMap  Parcel ],[TaxMap 48 Parcel 65]","M-2","(39.1333, -76.7951)"
"8045 Hunterbrooke Lane","2016-04-27T00:00:00.000","2016-06-02T00:00:00.000","6:30 p.m.","Savage Library","9525 Durness Lane","Laurel","20723",,,"C15","16","HUNTERBROOKE LN","[TaxMap 46 Parcel 344]","RR-DEO","(39.1481, -76.9257)"
"Resubdivision of Kane Property Lot 2","2013-08-16T00:00:00.000","2013-09-10T00:00:00.000","1899-12-31T18:00:00","Elkridge Senior Center","6540  Washington Blvd","Elkridge","21075","16","6.549","R17","14","SW SIDE DORSEY RD S OF DOUGLAS LEGUM DR","[TaxMap 43 Parcel 80]","R-12","(39.1811, -76.7561)"
"Convenience Retailing, LLC (COND USE) Gas Station","2008-07-18T00:00:00.000","2008-08-12T00:00:00.000","1899-12-31T18:00:00","Howard County Public Library - Miller Branch","9421 Frederick Road","Ellicott City","21042",,,"C02","9","SOUTH OF BIRMINGHAM WAYAND SOUTHEAST OF WARWICK WAY","[TaxMap 16 Parcel 429]","PEC","(39.3082, -76.8894)"
"Old Mill","2010-04-29T00:00:00.000","2010-06-02T00:00:00.000","1899-12-31T06:30:00","Ellicott Senior Center ","9401 Frederick Road","Ellicott City","21042","3","2.96","R31","10","EAST OF OLD MILL ROAD, SOUTHEAST OF HIDDEN HAVEN","[TaxMap 17 Parcel 233]","R-20","(39.3017, -76.8542)"
"Robert & F. Maxine Walker","2009-06-10T00:00:00.000","2009-07-09T00:00:00.000","1899-12-31T19:00:00","Jennings Chapel United Methodist Church","2601 Jennings Chapel Rd.","Woodbine","21797",,,"C32","9","SOUTHWEST OF JENNINGS CHAPEL ROAD","[TaxMap 20 Parcel 57]","RC-DEO","(39.2727, -77.0883)"
"Jagannath Temple Project","2014-09-10T00:00:00.000","2014-10-02T00:00:00.000","6:00 p.m.","Glenwood Library Meeting Room","2350 Route 97","Glenwood","21723",,,"C05","15","MILLERS MILL RD","[TaxMap 14 Parcel 20]","RC-DEO","(39.3153, -77.0282)"
