"author","title","year_published","country","area_s","age_range","study_years","case_identification_method","case_criterion","sample_size","number_of_cases","asd_prevalence_estimate_per","confidence_interval_ci","male_female_sex_ratio","non_hispanic_white_hispanic","white_black_prevalence_ratio","diagnosis_age_range_months","diagnosis_mean_age_months","diagnosis_median_age_months","iq_score_70","adaptive_score_70","non_verbal_or_minimally_verbal","percentage_of_individual","autism_types_included","link_to_publication","cdc_calculated_values"
"Chiwa, et al.","Prevalence and socioeconomic correlates of autism among children attending primary and secondary schools in south east Nigeria","2016","Nigeria","Enugu; Ebonyi","3 to 18","2014","survey (in-person)","DSM-IV-TR","721","21","29","19.12 - 44.12","1.1",,,,,,,,,,"ASD (not specified)","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5398438/","CI"
"Fombonne, et al.","Prevalence of autism apectrum aisorders in Guanajuato, Mexico: The Leon survey","2016","Mexico","Leon","8","2011-2012","education records; health records; service provider records; survey (mail, in-person)","DSM-IV-TR","12200","36","8.7","6.2 - 11.0","4.1",,,,,,"31",,"36","19.4  (epilepsy); 2.8 (Down syndrome); 2.8 (Rett syndrome); 2.8 (fragile X) ; 44.4 (emotional problems)","ASD (autistic disorder, Asperger syndrome, PDD-NOS)","https://www.ncbi.nlm.nih.gov/pubmed/26797939","IQ Score <70 (%)"
"Randall, et al.","Autism spectrum disorder: Presentation and prevalence in a nationally representative Australian sample","2016","Australia","Nationwide","6 to 7","2010-2011","other (parent interview as part of on-going cohort study)","parental report","4239","107","25","20.0 - 30.0",,,,,,,,,,,"autism, Asperger syndrome, other autism spectrum","https://www.ncbi.nlm.nih.gov/pubmed/26282446","none"
"Poovathil, et al.","Prevalence of autism spectrum disorders in a semiurban community in South India","2016","India","Kerala","1 to 30","2011-2012","survey (in-person)","DSM-IV-TR","18480","43","2.33","1.73 - 3.13","2.1",,,,,,,,,,"ASD (not specified)","https://www.ncbi.nlm.nih.gov/pubmed/27497678","CI"
"Christensen, et al. (CDC ADDM)","Prevalence and characteristics of autism spectrum disorders among 8-years -- Autism and developmental disabilities monitoring network, 11 sites, United States, 2012","2016","USA","Arkansas; Arizona; Colorado; Georgia; Maryland; Missouri; New Jersey; North Carolina; South Carolina; Utah; Wisconsin","8","2012","health records; education records","DSM-IV-TR; clinical interpretation","346038","5063","14.6","14.2 - 15.0","4.5","1.5","1.2",,,"50","32",,,,"ASD (autistic disorder, PDD-NOS including atypical autism, Asperger syndrome)","https://www.ncbi.nlm.nih.gov/pubmed/27031587","none"
"Durkin, et al.","Autism Spectrum Disorder Among US Children (2002-2010): Socioeconomic, Racial, and Ethnic Disparities","2017","USA","Alabama; Arizona; Arkansas; Colorado; Georgia; Maryland; Missouri; New Jersey; North Carolina; Utah; Wisconsin","8","2006-2010","health records; education records","DSM-IV-TR; clinical interpretation","929182","11058","11.9","11.7 - 12.1","4.7","1.65","1.19",,,,"26.43",,,,"ASD (not specified)","https://pubmed.ncbi.nlm.nih.gov/28933930/","sex ratio; IQ score; non-Hispanic White:Hispanic and White:Black ratio"
"May, et al.","Autism spectrum disorder: Updated prevalence and comparison of two birth cohorts in a nationally representative Australian sample","2017","Australia","Nationwide","10 to 11","2014","other (parent interview as part of on-going cohort study)","parental report","3764","145","39","32.0 - 45.0",,,,,"67.4",,,,,,"ASD (autism, Asperger syndrome, other autism spectrum)","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5623420/","none"
"Raina, et al.","Prevalence of Autism Spectrum Disorder among Rural, Urban, and Tribal Children (1-10 Years of Age)","2017","India","Himachal Pradesh","1 to 10",,"survey (in-person)","clinical interpretation","28070","43","1.5","1.5 - 2.5",,,,,,,,,,,"ASD (not specified)","https://pubmed.ncbi.nlm.nih.gov/28694615/","none"
"Rudra, et al.","Prevalence of autism spectrum disorder and autistic symptoms in a school-based cohort of children in Kolkata, India","2017","India","Kolkata","3 to 8","2010-2013","survey (phone, in-person)","ADOS; clinical interpretation","11849","6","2.3","0.7 - 4.6",,,,,,,,,,,"ASD (autism, broader autism spectrum)","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5655917/","none"
"Skoniecz-Żydecka, et al.","The prevalence of autism spectrum disorders in West Pomeranian and Pomeranian Regions of Poland","2017","Poland","West Pomeranian; Pomeranian regions","0 to 16","2010-2014","other (government administrative data)","clinical interpretation; autism test (ADOS-2, ADI-R)","707975","2464","3.5","3.35 - 3.62","4.3",,,,,,,,,,"ASD (autism, atypical autism, Rett syndrome, children disintegrative disorder, hyperkinetic disorder accompied mental retardation and stereotyped movements, Asperger syndrome, PDD, PDD-NOS)","https://www.ncbi.nlm.nih.gov/pubmed/26771078","CI"
"Soke, et al.","Brief Report: Estimated Prevalence of a Community Diagnosis of Autism Spectrum Disorder by Age 4 Years in Children from Selected Areas in the United States in 2010: Evaluation of Birth Cohort Effects","2017","USA","Arizona; New Jersey; Utah; Missouri; Wisconsin","4","2010","health records; education records","DSM-IV-TR; clinical interpretation","58467","465","8","7.2 - 8;7","3.9","2.2","3.1",,,"32","48.7",,,,"ASD (not specified)","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5650225/","number of cases"
"Thomas, et al.","Brief Report: Prevalence of Co-occurring Epilepsy and Autism Spectrum Disorder: The U.S. National Survey of Children's Health 2011-2012","2017","USA","Nationwide","2 to 17","2011-2012","survey (phone)","parental report","85248","1604","18","17.93 - 19.75","4.3","7.76","9.23",,,,"22.3",,,"8.6 (epilepsy)","ASD (not specified)","https://pubmed.ncbi.nlm.nih.gov/27752862/","CI"
"Xie, et al.","Prevalence of Autism Spectrum Disorders with and without Intellectual Disability by Gestational Age at Birth in the Stockholm Youth Cohort: a Register Linkage Study","2017","Sweden","Stockholm","0 to 17","2011","service provider records","ICD-9; ICD-10; DSM-IV","480728","10025","21","20.45 - 21.26","2.4",,,,,,"23.6",,,,"ASD (not specified)","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6827186/","CI"
"Zablotsky, et al.","Estimated Prevalence of Children With Diagnosed Developmental Disabilities in the United States, 2014-2016","2017","USA","Nationwide","3 to 17","2014-2016","survey (in-person)","parental report",,,"24.7","22.3 - 27.2",,"1.52","1.11",,,,,,,,"ASD (not specified)","https://pubmed.ncbi.nlm.nih.gov/29235982/","none"
"Kogan, et al.","The prevalence of parent-reported autism spectrum disorder among US children.","2018","USA","Nationwide","3 to 17","2016","survey (online, mail)","parental report","43021","1131","25","22.3 - 28.1","4.2","1.1","0.9",,,,,,,,"ASD (autism)","https://www.ncbi.nlm.nih.gov/pubmed/30478241","White:Hispanic and White:black prevalence ratio"
"Arora, et al.","Prevalence of childhood neurodevelopmental disorders across five regions in India","2018","India","Kangra; Hyderabad; Dhenkal; North Goa","6 to 9","2011-2012","survey (in-person)","clinical interpretation","3964","44","14","6.0 - 32.0",,,,,,,,,,,"ASD (autism, Asperger syndrome, PDD-NOS, childhood disintegrative disorder)","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6057634/pdf/pmed.1002615.pdf","none"
"Baio, et al. (CDC ADDM)","Prevalence of autism spectrum disorder among children aged 8 years - Autism and developmental disabilities monitoring network, 11 sites, United States, 2014","2018","USA","Arizona; Arkansas; Colorado; Georgia; Maryland; Minnesota; Missouri; New Jersey; North Carolina; Tennessee; Wisconsin","8","2014","health records; education records","DSM-IV-TR; clinical interpretation","325483","5473","16.8","16.4 - 17.3","4","1.2","1.1",,,"52","31",,,,"ASD (autistic disorder, PDD-NOS/atypical autism, Asperger syndrome)","https://www.ncbi.nlm.nih.gov/pubmed/29701730","none"
"Xu, et al.","Prevalence of autism spectrum disorder among children and adolescents, 2014-2016","2018","USA","Nationwide","3 to 17","2014-2016","survey (in-person, phone)","parental report","30502","711","24.7","22.0 - 27.3","3.3","1.5","1.1",,,,,,,,"ASD (not specified)","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5833544/","none"
"Heys, et al.","The estimated prevalence of autism in school-aged children living in rural Nepal using a population-based screening tool","2018","Nepal","Makwanpur district","9 to 13","2014-2015","survey (in-person)","other (AQ-10 score ≥ 6)","4098","14","3","2.00 - 5.00","1.3",,,,,,,,,,"autism","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6153945/","prevalence estimate; CI"
"Rydzewska, et al.","Prevalence of long-term health conditions in adults with autism: Prevalence of long-term health conditions in adults with autism: observational study of a whole country population study of a whole country population","2018","Scotland","Nationwide","0 to 25","2011","other (census data)","self-report","3746584","6649","1.77","1.73 - 1.82","2.3",,,,,,"29",,,"31.8 (mental health conditions)","ASD, Asperger syndrome","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6120653/","prevalence estimate; CI"
"Bachmann, et al.","Diagnoses of Autism Spectrum Disorders in Germany: Time Trends in Administrative Prevalence and Diagnostic Stability","2018","Germany","Nationwide","0 to 24","2012","other (health insurance records)","ICD-10","6400000","21186","3.8",,,,,,,,,,,,"ASD (not specified)","https://pubmed.ncbi.nlm.nih.gov/29671642/","CI"
"Diallo, et al.","Prevalence and correlates of autism spectrum disorders in Quebec","2018","Canada","Quebec","1 to 17","2014-2015","other (government administrative data)","ICD-9; ICD-10","1464600","16940","12.2",,,,,,,,,,,"8.4 (epilepsy); 42 (ADHD); 34.2 (anxio-depressive disorders)","ASD (autistic disorder, childhood disintergrative disorder, PDD, PDD-NOS, Rett syndrome)","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5894913/","none"
"Nevison, et al.","California autism prevalence trends from 1931 to 2014 and comparison to national ASD data from IDEA and ADDM","2018","USA","California","5","2017","service provider records","receipt of autism specific services",,,"11.8",,,,,,,,,,,,"autism disorder","https://pubmed.ncbi.nlm.nih.gov/29974300/","none"
"Narzisi, et al.","Prevalence of Autism Spectrum Disorder in a large Italian catchment area: a school-based population study within the ASDEU project","2018","Italy","Pisa","7 to 9",,"education records; health records; survey (unspecified)","clinical interpretation; autism test (ADI-R, ADOS-2)","10138","81","7.9","6.2 - 9.7","5.2",,,,,,,,"52",,"ASD (not specified)","https://pubmed.ncbi.nlm.nih.gov/30187843/","none"
"Jin, et al.","Prevalence of DSM-5 Autism Spectrum Disorder Among School-Based Children Aged 3-12 Years in Shanghai, China","2018","China","Shanghi","3 to 12","2014","survey (unspecified)","DSM-5; clinical interpretation","74252","203","0.758","0.687 - 0.829","3.6",,,,,,"93",,,,"ASD (not specified)","https://pubmed.ncbi.nlm.nih.gov/29453711/","none"
"Akhter, et al.","Prevalence of Autism Spectrum Disorder (ASD) among the children aged 18-36 months in a rural community of Bangladesh: A cross sectional study","2018","Bangladesh","Sirajganj district","1.5 to 3","2016","survey (in-person)","DSM-IV-TR; autism test (ADOS); clinical interpretation","5286","4","0.75","0.29 - 1.94","3",,,,,,,,,,"ASD (not specified)","https://pubmed.ncbi.nlm.nih.gov/30026928/","CI"
"Morales-Hidalgo, et al.","Prevalence and Characteristics of Autism Spectrum Disorder Among Spanish School-Age Children","2018","Spain","Tarragona","3 to 5",,"survey (unspecified)","autism test (ADI-R, ADOS-2); clinical interpretation","1358","21","15.5","8.9 - 22.0","4.3",,,,,,,,,"25 (language delay)","ASD (not specified)","https://pubmed.ncbi.nlm.nih.gov/29696527/","none"
"Sun, et al.","Autism prevalence in Chi is comparable to Western prevalence","2019","China","Jilin City; Jiamusi City; Shenzen city","6 to 10","2013","survey (mail); other (government administrative data)","clinical interpretation; DSM-IV-TR; DSM-5; autism test (ADI-R, ADOS)","7349","77","10.8","8.7 - 13.5",,,,,,,,,,,"autism","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6394100/","sample size; number of cases"
"Xu, et al.","The prevalence and treatment patterns of autism spectrum disorder in the United States, 2016","2019","USA","Nationwide","3 to 17","2016","survey (online)","parental report","43031","1229","27.9","24.6 - 31.2","4.3","1.1","0.8",,,,,,,,"ASD (not specified)","https://pubmed.ncbi.nlm.nih.gov/30508021/","none"
"Imm, et al.","Assessment of racial and ethnic bias in autism spectrum disorder prevalence estimates from a US surveillance system","2019","USA","Colorado; Wisconsin","8","2012 & 2014","health records; education records","DSM-IV-TR; clinical interpretation","152259","1913","12.6","12.1 - 13.2",,"1.51","1.53",,,,,,,,"autistic disorder, PDD-NOS including atypical autism or Asperger syndrome","https://pubmed.ncbi.nlm.nih.gov/30892923/","none"
"Zablotsky, et al.","Prevalence and Trends of Developmental Disabilities among Children in the United States: 2009-2017","2019","USA","Nationwide","3 to 17","2009-2017","survey (in-person)","parental report","88530","1550","17.4","16.67 - 18.39","2.3","1.1","1.3",,,,,,,,"ASD (autism, Asperger syndrome, PDD)","https://pubmed.ncbi.nlm.nih.gov/31558576/#:~:text=Results%3A%20From%202009%20to%202011,%25%2D1.2%25%2C%20P%20%3C%20.","sex ratio; White:Hispanic and White:Black prevalence ratio"
"Christensen, et al. (CDC ADDM)","Prevalence and characteristics of autism spectrum disorder among children 4 years - Early autism and developmental disabilities monitoring network, seven sites, United Stated, 2010, 2012, and 2014","2019","USA","Arizona; Colorado; Missouri; New Jersey; North Carolina; Utah; Wisconsin","4","2014","education records; health records","DSM-IV-TR; clinical interpretation","70887","1208","17","16.1 - 18.0","4.1",,,,,,"46",,,,"ASD (autistic disorder, Asperger syndrome, PDD-NOS)","https://www.cdc.gov/mmwr/volumes/68/ss/ss6802a1.htm?s_cid=ss6802a1_e","none"
"Al-Mamri, et al.","Revisiting the prevalence of autism spectrum disorder among Omani children: A multicentre study","2019","Oman",,"0 to 14","2011-2015","health records","DSM-5; clinical interpretation","837655","1705","2.04","1.94 - 2.13","3.6",,,,,,,,,,"ASD (not specified)","https://pubmed.ncbi.nlm.nih.gov/31897313/","none"
"Alshaban, et al.","Prevalence and correlates of autism spectrum disorder in Qatar: A national study","2019","Qatar","Nationwide","6 to 11","2015-2018","service provider records; education records; survey (mail, phone)","autism test (ADOS-2, ADI-R); clinical interpretation; DSM-5","142855","844","11.4","8.9 - 14.6","4.3",,,,"42.8",,,,"19","5.1 (prematurity); 30.2 (ADHD); 11 (anxiety); 82.1 (learning disability); 91.4 (language delay)","ASD (not specified)","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6899566/","sample size"
"Chen, et al.","Prevalence of DSM-5 mental disorders in a nationally representative sample of children in Taiwan: Methodology and main findings","2019","Taiwan","Nationwide","7 to 14","2015-2017","survey (in-person)","DSM-5; autism test ( K-SADS-E in Mandarin); clinical interpretation","4816","52","10","6.0 - 15.0",,,,,,,,,,,"ASD (not specified)","https://pubmed.ncbi.nlm.nih.gov/30696515/","none"
"Hoang, et al.","Prevalence of autism spectrum disorders and their relation to selected socio-demographic factors among children aged 18-30 months in northern Vietnam, 2017","2019","Vietnam","Hanoi; Thai Binh province; Hoa Binh province","1.5 to 2.5","2017","survey (in-person)","DSM-IV; clinical interpretation","17277","130","7.52","6.29 - 8.93","4.7",,,,,,,,,,"ASD (not specified)","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6487529/","age range (months to years)"
"Mohammadi, et al.","Prevalence of autism and its comorbidities and the relationship with maternal psychopathology: A national population-based study","2019","Iran","Nationwide","6 to 18",,"survey (in-person)","other (Kiddie Schedule for Affective Disorders and Schizophrenia for School-Age Present and Lifetime (K-SADS-PL-2009) diagnostic tool)","29737","37","1.8","1.20 - 2.40","2",,,,,,"70",,,"2.7 (depressive disorders); 27 (anxiety disorders); 21.6 (ADHD); 29.7 (epilepsy)","ASD (not specified)","https://pubmed.ncbi.nlm.nih.gov/31679355/","none"
"Pérez-Crespo, et al.","Temporal and Geographical Variability of Prevalence and Incidence of Autism Spectrum Disorder Diagnoses in Children in Catalonia, Spain","2019","Spain","Catalonia","2 to 17","2017","registry","ICD-9","1326666","15466","12.3","12.1 - 12.5","4.5",,,,"105.6","96",,,,,"autistic disorder, childhood disintegrative disorder, other specified pervasive development disorder, PDD-NOS","https://pubmed.ncbi.nlm.nih.gov/31317678/","none"
"Jariwala-Parikh, et al.","Autism Prevalence in the Medicaid Program and Healthcare Utilization and Costs Among Adult Enrollees Diagnosed with Autism","2019","USA","Alabama; Arizona; Arkansas; California; Colorado; Conneticut; Delaware; Florida; Georgia; Idaho; Illinois; India; Iowa; Kansas; Kentucky; Louisia; Maryland; Massachusetts; Michigan; Minnesota; Mississippi; Nebraska; Nevada; New Hampshire; New Jersey; New Mexico; New York; North Carolina; Ohio; Oklahoma; Oregon; Rhode Island; South Carolina; Tennessee; Texas; Vermont; Virginia; Washington; West Virginia","18 to 64","2008","other (government administrative data)","ICD-9-CM","8127049","29745","3.66","3.62 - 3.70","2.8","3.4","1.6",,,,,,,,"autism","https://pubmed.ncbi.nlm.nih.gov/31352637/","sample size; CI; White:Hispanic and White:Black prevalence ratio"
"Hamad, et al.","Annual trends in prevalence and incidence of autism spectrum disorders in Manitoba preschoolers and toddlers: 2004-2015","2019","Canada","Manitoba","1 to 5","2015","health records","ICD-9; ICD-10","59438","578","9.7","8.97 - 10.55",,,,,"39.6",,,,,,"ASD (not specified)","https://pubmed.ncbi.nlm.nih.gov/30747348/","CI"
"Maenner, et al. (CDC ADDM)","Prevalence of autism spectrum disorder among children aged 8 years - Autism and developmental disabilities monitoring network, 11 sites, United States, 2016","2020","USA","Arizona; Arkansas; Colorado; Georgia; Maryland; Minnesota; Missouri; New Jersey; North Carolina; Tennessee; Wisconsin","8","2016","education records; health records","DSM-IV-TR; DSM-5; clinical interpretation","275419","5108","18.5","18.0 - 19.1","4.3","1.2","1",,,"51","33",,,,"ASD (not specified)","https://www.cdc.gov/mmwr/volumes/69/ss/ss6904a1.htm?s_cid=ss6904a1_w","none"
"Shaw, et al. (CDC ADDM)","Early identification of autism spectrum disorder among children aged 4 years - Early autism and developmental disabilities monitoring network, six sites, United States, 2016","2020","USA","Arizona; Colorado; Missouri; New Jersey; North Carolina; Utah; Wisconsin","4","2016","education records; health records","DSM-5; clinical interpretation","72277","1125","15.6","14.7 - 16.5","3.5","0.7","0.9",,,"33","53",,,,"ASD (not specified)","https://www.cdc.gov/mmwr/volumes/69/ss/ss6903a1.htm?s_cid=ss6903a1_e&deliveryme=USCDC_921-DM23839#T2_down","none"
"Hong, et al.","Prevalence and economic burden of autism spectrum disorder in South Korea using national health insurance data from 2008 to 2015","2020","South Korea","Nationwide",,"2015","other (government administrative data)","ICD-10","51529338","5663","0.11","0.107 - 0.112","5.1",,,,,,,,,,"ASD (not specified)","https://pubmed.ncbi.nlm.nih.gov/31630294/","CI"
"Saito, et al.","Prevalence and cumulative incidence of autism spectrum disorders and the patterns of co-occurring neurodevelopmental disorders in a total population sample of 5-year-old children","2020","Japan","Hirosaki","5","2013-2016","survey (mail)","clinical interpretation; DSM-5","5016","87","32.2","26.6 - 3.76","2.2",,,,,,"37",,,"50.57 (ADHD)","ASD (not specified)","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7227343/","none"
"Zablotsky, et al.","Prevalence of Children Aged 3-17 Years With Developmental Disabilities, by Urbanicity: United States, 2015-2018","2020","USA","Nationwide","3 to 17","2015-2018","survey (in-person, phone)","parental report","33775","856","25","22.0 - 27.0",,,,,,,,,,,"ASD (not specified)","https://pubmed.ncbi.nlm.nih.gov/32510313/","none"
"Fuentes, et al.","The ASDEU autism prevalence study in northern Spain","2020","Basque Country, Spain","County of Gipuzkoa","7 to 9",,"survey (unspecified); service provider records","autism test (ADOS-G, ADOS-2, ADI-R); clinical interpretation","14734","87","5.9","4.8 - 7.3","6.2",,,,,,"50",,,,"ASD (not specified)","https://pubmed.ncbi.nlm.nih.gov/32388625/","none"
"May, et al.","Autism spectrum disorder prevalence in children aged 12-13 years from the Longitudinal Study of Australian Children","2020","Australia","Nationwide","12 to 13",,"survey (in-person)","parental report","3300","145","43.6","35.6 - 51.9",,,,,"73.44",,,,,,"ASD (autism, Asperger syndrome, other autism spectrum)","https://pubmed.ncbi.nlm.nih.gov/32124539/","none"
"Kita, et al.","Prevalence Estimates of Neurodevelopmental Disorders in Japan: A community sample questionnaire study","2020","Japan",,"6 to 9","2015","survey (in-person)","parental report","2085","40","19","13.0 - 25.0",,,,,,,,,,,"ASD (not specified)","https://pubmed.ncbi.nlm.nih.gov/31657492/","number of cases"
"Thomaidis, et al.","Autism Spectrum Disorders in Greece: Nationwide Prevalence in 10-11 Year-Old Children and Regional Disparities","2020","Greece","Nationwide","10 to 11","2019","service provider records","special education classification","182879","2108","11.5","11.4 - 11.7","4.14",,,,"6",,,,,,"ASD, autism, PDD","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7408756/","none"
"Zhou, et al.","Prevalence of Autism Spectrum Disorder in Chi: A Nationwide Multi-center Population-based Study Among Children Aged 6 to 12 Years","2020","China","Shanghi; Guangzhou; Changsha; Chengdu; Chongquig; Wenzhou; Beijing; Harbin","6 to 12","2014-2016","registry","DSM-5; autism test (ADI-R, ADOS)","125806","363","7","6.4 - 7.4","4.3",,,,,,"64",,,"43.1 (ADHD); 6.4 (OCD); 5.7 (epilepsy)","ASD (not specified)","https://pubmed.ncbi.nlm.nih.gov/32607739/","none"
"Nevison, et al.","California Autism Prevalence by County and Race/Ethnicity: Declining Trends Among Wealthy Whites","2020","USA","California","6","2019","service provider records","receipt of autism specific services",,,"15",,,"1.2","0.8",,,,,,,,"ASD (autism, Asperger syndrome, PDD-NOS)","https://pubmed.ncbi.nlm.nih.gov/32193763/","White:Hispanic and White:Black prevalence ratio"
"Safer-Lichtenstein, et al.","School-Based Autism Rates by State: An Analysis of Demographics, Political Leanings, and Differential Identification","2020","USA","Nationwide","6 to 21","2015, 2016, 2017","other (government education data)","special education classification","50693053","625215","12.3","12.30-  12.36",,,,,,,,,,,"ASD (not specified)","https://pubmed.ncbi.nlm.nih.gov/32926306/","CI"
"Bosch, et al.","Neurodevelopmental disorders among Spanish school-age children: prevalence and sociodemographic correlates","2020","Spain","Catalonia","5 to 17","2011-2017","survey (in-person)","clinical interpretation","7180","48","7","5.05 - 8.85","7",,,,,,,,,,"ASD (unspecified)","https://pubmed.ncbi.nlm.nih.gov/33436129/","CI; study years"
"Brooks, et al.","Identifying Children and Youth with Autism Spectrum Diorder in Electronic Medical Records: Examining Health System Utilization and Comorbidities","2021","Canada","Ontario","1 to 24","2016","health records; other (government administrative data)","other (site-specific administrative billing codes)","80237","1062","13.2","12.47 - 14.05","4",,,,,,,,,"21.5 (mood and affective disorder)","ASD (not specified)","https://pubmed.ncbi.nlm.nih.gov/33098262/","CI"
"Yuan, et al.","Racial/ethnic disparities in the prevalence and trends of autism specrum disorder in US children and adolescents","2021","USA","Nationwide","3 to 17","2014-2019","survey (in-person; phone)","parental report","52550","1330","24.9","22.9 - 26.8","3.5","1.4","0.99",,,,,,,,"ASD (not specified)","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7936258/","none"
"Morales-Hidalgo","Autism spectrum disorder prevalence and associated sociodemographic factors in the school population: EPINED study","2021","Spain","Tarragona","4 to 5; 10 to 11","2014-2019","survey (unspecified)","autism test (ADI-R, ADOS-2); clinical interpretation","3727","57","15.3","11.4 - 19.2","4.7",,,,,,,,,"18.8 (ADHD for ages 4-5); 44 (ADHD for ages 10-11)","ASD (unspecified)","https://pubmed.ncbi.nlm.nih.gov/33884927/","none"
