"service_category","job_category","department","job_classification","ethnicity","age_group","sex"
"Other","Professionals","COUNTY EXECUTIVE","ASSOC MGMT ANALYST","White","Under 30","Female"
"Other","Professionals","COUNTY EXECUTIVE","ASSOC MGMT ANALYST","White","Under 30","Male"
"Other","Technicians","COUNTY EXECUTIVE","Small Job Classification - Omitted for Privacy","Hispanic/Latino","30 - 39","Female"
"Other","Administrative Support","COUNTY EXECUTIVE","OFFICE SPECIALIST III","Not Specified","50 - 59","Female"
"Other","Officials and Administrators","COUNTY EXECUTIVE","Small Job Classification - Omitted for Privacy","White","Over 60","Male"
"Other","Professionals","COUNTY EXECUTIVE","PROGRAM MGR II","White","50 - 59","Female"
"Other","Professionals","COUNTY EXECUTIVE","MGMT ANALYST","Not Specified","30 - 39","Female"
"Other","Professionals","CLERK OF THE BOARD","MGMT ANALYST","Asian","50 - 59","Female"
"Other","Administrative Support","CLERK OF THE BOARD","SR ACCOUNT CLERK","White","50 - 59","Female"
"Other","Administrative Support","CLERK OF THE BOARD","OFFICE SPECIALIST III","Hispanic/Latino","40 - 49","Female"
"Other","Professionals","CLERK OF THE BOARD","Small Job Classification - Omitted for Privacy","Asian","50 - 59","Female"
"Other","No EEO-4 Reporting","CLERK OF THE BOARD","Small Job Classification - Omitted for Privacy","Not Specified","40 - 49","Female"
"Other","Administrative Support","CLERK OF THE BOARD","Small Job Classification - Omitted for Privacy","White","40 - 49","Male"
"Other","Professionals","CLERK OF THE BOARD","PROGRAM MGR I","White","40 - 49","Male"
"Other","Administrative Support","CLERK OF THE BOARD","Small Job Classification - Omitted for Privacy","Not Specified","40 - 49","Male"
"Other","Professionals","CLERK OF THE BOARD","MGMT ANALYST","White","30 - 39","Male"
"Other","Professionals","CLERK OF THE BOARD","Small Job Classification - Omitted for Privacy","White","50 - 59","Female"
"Other","Administrative Support","CLERK OF THE BOARD","Small Job Classification - Omitted for Privacy","Not Specified","40 - 49","Male"
"Other","Professionals","CLERK OF THE BOARD","ACCOUNTANT III","Not Specified","50 - 59","Male"
"Other","Administrative Support","CLERK OF THE BOARD","BOARD CLERK I","Hispanic/Latino","30 - 39","Female"
"Other","Administrative Support","CLERK OF THE BOARD","Small Job Classification - Omitted for Privacy","White","50 - 59","Female"
"Other","Administrative Support","CLERK OF THE BOARD","Small Job Classification - Omitted for Privacy","White","Over 60","Female"
"Other","Officials and Administrators","CLERK OF THE BOARD","Small Job Classification - Omitted for Privacy","Black/African American","50 - 59","Female"
"Other","Professionals","CLERK OF THE BOARD","ADMIN SUPPORT OFFICER II","White","30 - 39","Female"
"Other","Administrative Support","CLERK OF THE BOARD","OFFICE SPECIALIST III-CONF CLR","Hispanic/Latino","30 - 39","Female"
"Other","Administrative Support","CLERK OF THE BOARD","BOARD CLERK I","Not Specified","40 - 49","Female"
"Other","Administrative Support","CLERK OF THE BOARD","BOARD CLERK I","Not Specified","Over 60","Female"
"Other","Administrative Support","CLERK OF THE BOARD","BOARD CLERK I","Not Specified","50 - 59","Female"
"Other","Professionals","CLERK OF THE BOARD","Small Job Classification - Omitted for Privacy","Hispanic/Latino","40 - 49","Female"
"Other","Administrative Support","CLERK OF THE BOARD","Small Job Classification - Omitted for Privacy","Not Specified","40 - 49","Female"
"Other","Administrative Support","CLERK OF THE BOARD","BOARD CLERK I","Not Specified","40 - 49","Female"
"Other","Administrative Support","CLERK OF THE BOARD","Small Job Classification - Omitted for Privacy","White","30 - 39","Female"
"Other","Administrative Support","CLERK OF THE BOARD","BOARD CLERK I","Not Specified","40 - 49","Female"
"Other","Administrative Support","CLERK OF THE BOARD","Small Job Classification - Omitted for Privacy","Not Specified","30 - 39","Male"
"Other","Administrative Support","CLERK OF THE BOARD","Small Job Classification - Omitted for Privacy","Not Specified","Over 60","Female"
"Other","Administrative Support","CLERK OF THE BOARD","Small Job Classification - Omitted for Privacy","Not Specified","40 - 49","Female"
"Other","Administrative Support","CLERK OF THE BOARD","BOARD CLERK I","Not Specified","30 - 39","Female"
"Other","Administrative Support","CLERK OF THE BOARD","BOARD CLERK I","Not Specified","30 - 39","Female"
"Other","Administrative Support","CLERK OF THE BOARD","ACCOUNT CLERK II","Not Specified","30 - 39","Male"
"Other","Administrative Support","CLERK OF THE BOARD","BOARD CLERK I","Not Specified","30 - 39","Female"
"Other","Administrative Support","CLERK OF THE BOARD","Small Job Classification - Omitted for Privacy","Not Specified","30 - 39","Female"
"Other","Administrative Support","CLERK OF THE BOARD","OFFICE SPECIALIST III","Not Specified","30 - 39","Female"
"Other","Administrative Support","CLERK OF THE BOARD","SR OFFICE SPECIALIST","Not Specified","40 - 49","Female"
"Other","Administrative Support","CLERK OF THE BOARD","BOARD CLERK I","Not Specified","30 - 39","Female"
"Other","Administrative Support","CLERK OF THE BOARD","BOARD CLERK I","Not Specified","Under 30","Female"
"Other","Administrative Support","CLERK OF THE BOARD","BOARD CLERK I","Not Specified","Under 30","Female"
"Other","Administrative Support","CLERK OF THE BOARD","BOARD CLERK I","Not Specified","50 - 59","Female"
"Other","Administrative Support","CLERK OF THE BOARD","OFFICE SPECIALIST III-CONF CLR","Not Specified","40 - 49","Female"
"Other","Professionals","EMPLOYEE SERVICES AGENCY","Small Job Classification - Omitted for Privacy","Hispanic/Latino","Over 60","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","EXEC ASSISTANT I-CONF CLERICAL","Hispanic/Latino","40 - 49","Female"
"Other","Professionals","EMPLOYEE SERVICES AGENCY","Small Job Classification - Omitted for Privacy","White","50 - 59","Male"
"Other","Professionals","EMPLOYEE SERVICES AGENCY","Small Job Classification - Omitted for Privacy","Hispanic/Latino","30 - 39","Female"
"Other","Professionals","EMPLOYEE SERVICES AGENCY","Small Job Classification - Omitted for Privacy","Asian","40 - 49","Female"
"Other","Professionals","EMPLOYEE SERVICES AGENCY","Small Job Classification - Omitted for Privacy","Not Specified","40 - 49","Female"
"Other","Officials and Administrators","EMPLOYEE SERVICES AGENCY","Small Job Classification - Omitted for Privacy","White","40 - 49","Male"
"Other","Professionals","EMPLOYEE SERVICES AGENCY","Small Job Classification - Omitted for Privacy","Asian","30 - 39","Male"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","OFFICE SPECIALIST III-CONF CLR","Asian","50 - 59","Female"
"Other","Professionals","EMPLOYEE SERVICES AGENCY","Small Job Classification - Omitted for Privacy","White","50 - 59","Male"
"Other","Professionals","EMPLOYEE SERVICES AGENCY","Small Job Classification - Omitted for Privacy","Black/African American","40 - 49","Female"
"Other","Professionals","EMPLOYEE SERVICES AGENCY","Small Job Classification - Omitted for Privacy","Not Specified","40 - 49","Female"
"Other","Professionals","EMPLOYEE SERVICES AGENCY","Small Job Classification - Omitted for Privacy","Not Specified","40 - 49","Female"
"Other","Professionals","EMPLOYEE SERVICES AGENCY","Small Job Classification - Omitted for Privacy","Not Specified","Over 60","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","OFFICE SPECIALIST III-CONF CLR","Not Specified","30 - 39","Male"
"Other","Professionals","EMPLOYEE SERVICES AGENCY","Small Job Classification - Omitted for Privacy","White","30 - 39","Male"
"Other","Professionals","EMPLOYEE SERVICES AGENCY","Small Job Classification - Omitted for Privacy","Not Specified","40 - 49","Female"
"Other","Professionals","EMPLOYEE SERVICES AGENCY","Small Job Classification - Omitted for Privacy","Not Specified","Under 30","Male"
"Other","Professionals","EMPLOYEE SERVICES AGENCY","Small Job Classification - Omitted for Privacy","Two or More Races","40 - 49","Female"
"Other","Professionals","EMPLOYEE SERVICES AGENCY","Small Job Classification - Omitted for Privacy","Not Specified","30 - 39","Female"
"Other","Professionals","EMPLOYEE SERVICES AGENCY","Small Job Classification - Omitted for Privacy","Not Specified","50 - 59","Female"
"Other","Professionals","EMPLOYEE SERVICES AGENCY","Small Job Classification - Omitted for Privacy","Not Specified","40 - 49","Female"
"Health Services","Professionals","SANTA CLARA VALLEY MED CENTER","CLINICAL LAB SCIENTIST II","Asian","40 - 49","Female"
"Health Services","Technicians","SANTA CLARA VALLEY MED CENTER","SUPV CLINICAL LAB SCIENTIST","Asian","40 - 49","Female"
"Health Services","Professionals","SANTA CLARA VALLEY MED CENTER","SR CLINICAL LAB SCIENTIST","Asian","40 - 49","Female"
"Health Services","Professionals","SANTA CLARA VALLEY MED CENTER","CLINICAL LAB SCIENTIST II","Asian","50 - 59","Female"
"Health Services","Professionals","SANTA CLARA VALLEY MED CENTER","CLINICAL LAB SCIENTIST II","Asian","30 - 39","Female"
"Health Services","Professionals","SANTA CLARA VALLEY MED CENTER","CLINICAL LAB SCIENTIST II","Asian","30 - 39","Female"
"Health Services","Professionals","SANTA CLARA VALLEY MED CENTER","CLINICAL LAB SCIENTIST II","Asian","30 - 39","Female"
"Health Services","Professionals","SANTA CLARA VALLEY MED CENTER","Small Job Classification - Omitted for Privacy","Asian","50 - 59","Female"
"Health Services","Technicians","SANTA CLARA VALLEY MED CENTER","CLINICAL LAB SCIENTIST I","Asian","30 - 39","Male"
"Health Services","Technicians","SANTA CLARA VALLEY MED CENTER","CLINICAL LAB SCIENTIST I","Asian","Under 30","Female"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","Black/African American","Over 60","Female"
"Other","Administrative Support","COUNTY COUNSEL","LEGAL SUPPORT SUPERVISOR","Hispanic/Latino","50 - 59","Female"
"Other","Paraprofessionals","COUNTY COUNSEL","SR PARALEGAL","Asian","Over 60","Female"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","White","50 - 59","Male"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","Asian","50 - 59","Female"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","White","Over 60","Female"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","White","50 - 59","Female"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","White","50 - 59","Female"
"Other","Administrative Support","COUNTY COUNSEL","LEGAL SUPPORT SUPERVISOR","Hispanic/Latino","40 - 49","Female"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","White","Over 60","Female"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","White","50 - 59","Female"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","White","40 - 49","Female"
"Other","Officials and Administrators","COUNTY COUNSEL","Small Job Classification - Omitted for Privacy","Asian","50 - 59","Female"
"Other","Administrative Support","COUNTY COUNSEL","LEGAL SECRETARY II","Hispanic/Latino","40 - 49","Female"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","White","Over 60","Male"
"Other","Paraprofessionals","COUNTY COUNSEL","SR PARALEGAL","White","50 - 59","Male"
"Other","Professionals","COUNTY COUNSEL","PROGRAM MANAGER III","White","50 - 59","Female"
"Other","Officials and Administrators","COUNTY COUNSEL","Small Job Classification - Omitted for Privacy","White","40 - 49","Female"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","White","40 - 49","Female"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","Asian","40 - 49","Female"
"Other","Professionals","COUNTY COUNSEL","ACCOUNTANT I","Asian","Over 60","Female"
"Other","Administrative Support","COUNTY COUNSEL","Small Job Classification - Omitted for Privacy","Asian","50 - 59","Female"
"Other","Administrative Support","COUNTY COUNSEL","LEGAL SECRETARY II","White","50 - 59","Female"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","Hispanic/Latino","50 - 59","Male"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","Not Specified","50 - 59","Female"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","Asian","50 - 59","Male"
"Other","Professionals","COUNTY COUNSEL","ADMIN SUPPORT OFFICER III","Two or More Races","40 - 49","Female"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","White","50 - 59","Male"
"Other","Administrative Support","COUNTY COUNSEL","OFFICE SPECIALIST II","White","50 - 59","Female"
"Other","Officials and Administrators","COUNTY COUNSEL","Small Job Classification - Omitted for Privacy","Asian","50 - 59","Male"
"Other","Officials and Administrators","COUNTY COUNSEL","Small Job Classification - Omitted for Privacy","White","50 - 59","Male"
"Other","Paraprofessionals","COUNTY COUNSEL","SR PARALEGAL","Hispanic/Latino","30 - 39","Female"
"Other","Administrative Support","COUNTY COUNSEL","Small Job Classification - Omitted for Privacy","Hispanic/Latino","50 - 59","Female"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","Not Specified","40 - 49","Female"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","White","40 - 49","Female"
"Other","Paraprofessionals","COUNTY COUNSEL","SR PARALEGAL","White","30 - 39","Female"
"Other","Administrative Support","COUNTY COUNSEL","LEGAL SECRETARY II","Hispanic/Latino","Over 60","Female"
"Other","Officials and Administrators","COUNTY COUNSEL","Small Job Classification - Omitted for Privacy","White","40 - 49","Female"
"Other","Paraprofessionals","COUNTY COUNSEL","Small Job Classification - Omitted for Privacy","Asian","40 - 49","Male"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","Not Specified","40 - 49","Female"
"Other","Service Maintenance","COUNTY COUNSEL","Small Job Classification - Omitted for Privacy","Not Specified","40 - 49","Male"
"Other","No EEO-4 Reporting","COUNTY COUNSEL","Small Job Classification - Omitted for Privacy","Not Specified","30 - 39","Male"
"Other","Paraprofessionals","COUNTY COUNSEL","Small Job Classification - Omitted for Privacy","Not Specified","50 - 59","Female"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","Not Specified","50 - 59","Male"
"Other","Paraprofessionals","COUNTY COUNSEL","SR PARALEGAL","Hispanic/Latino","30 - 39","Female"
"Other","Paraprofessionals","COUNTY COUNSEL","SR PARALEGAL","Not Specified","50 - 59","Female"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","White","50 - 59","Female"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","White","50 - 59","Male"
"Other","Officials and Administrators","COUNTY COUNSEL","Small Job Classification - Omitted for Privacy","Asian","30 - 39","Female"
"Other","Administrative Support","COUNTY COUNSEL","Small Job Classification - Omitted for Privacy","Asian","50 - 59","Female"
"Other","Administrative Support","COUNTY COUNSEL","LEGAL SECRETARY II","Not Specified","40 - 49","Female"
"Other","Paraprofessionals","COUNTY COUNSEL","Small Job Classification - Omitted for Privacy","Hispanic/Latino","30 - 39","Female"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","Not Specified","50 - 59","Male"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","Hispanic/Latino","30 - 39","Male"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","White","50 - 59","Male"
"Other","Professionals","COUNTY COUNSEL","SYSTEMS ADMINISTRATOR","Black/African American","Over 60","Male"
"Other","Paraprofessionals","COUNTY COUNSEL","SR PARALEGAL","White","40 - 49","Female"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","Not Specified","30 - 39","Female"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","Not Specified","50 - 59","Male"
"Other","Professionals","COUNTY COUNSEL","ADMIN SUPPORT OFFICER II","White","40 - 49","Male"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","Not Specified","40 - 49","Female"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","Not Specified","30 - 39","Female"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","Not Specified","40 - 49","Female"
"Other","Professionals","COUNTY COUNSEL","PROGRAM MGR II","Asian","30 - 39","Female"
"Other","Paraprofessionals","COUNTY COUNSEL","SR PARALEGAL","Not Specified","50 - 59","Female"
"Other","Paraprofessionals","COUNTY COUNSEL","Small Job Classification - Omitted for Privacy","White","50 - 59","Female"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","Two or More Races","50 - 59","Male"
"Other","Administrative Support","COUNTY COUNSEL","Small Job Classification - Omitted for Privacy","Native Hawaiian/Oth Pac Island","30 - 39","Female"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","White","40 - 49","Male"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","Not Specified","Over 60","Male"
"Other","Administrative Support","COUNTY COUNSEL","LEGAL SECRETARY I","Asian","30 - 39","Female"
"Other","Technicians","COUNTY COUNSEL","IT FIELD SUPPORT SPECIALIST","Asian","50 - 59","Male"
"Other","Administrative Support","COUNTY COUNSEL","ADMIN ASSISTANT","Hispanic/Latino","30 - 39","Female"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","White","30 - 39","Female"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","White","50 - 59","Male"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","Not Specified","30 - 39","Female"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","Not Specified","30 - 39","Male"
"Other","Paraprofessionals","COUNTY COUNSEL","PARALEGAL","Not Specified","40 - 49","Female"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","Not Specified","40 - 49","Male"
"Other","Administrative Support","COUNTY COUNSEL","OFFICE SPECIALIST III","Not Specified","50 - 59","Female"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","Not Specified","40 - 49","Male"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","Not Specified","30 - 39","Male"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","Not Specified","40 - 49","Female"
"Other","Paraprofessionals","COUNTY COUNSEL","SR PARALEGAL","Not Specified","50 - 59","Female"
"Other","Paraprofessionals","COUNTY COUNSEL","ACCOUNTANT ASSISTANT","Not Specified","30 - 39","Female"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","Not Specified","40 - 49","Male"
"Other","Paraprofessionals","COUNTY COUNSEL","SR PARALEGAL","Not Specified","30 - 39","Male"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","Not Specified","50 - 59","Female"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","Not Specified","40 - 49","Female"
"Other","Officials and Administrators","COUNTY COUNSEL","Small Job Classification - Omitted for Privacy","Not Specified","50 - 59","Male"
"Other","Administrative Support","COUNTY COUNSEL","LEGAL SECRETARY I","Not Specified","40 - 49","Female"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","Not Specified","40 - 49","Female"
"Other","Professionals","COUNTY COUNSEL","PROGRAM MANAGER III","White","40 - 49","Female"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","Not Specified","30 - 39","Male"
"Other","Paraprofessionals","COUNTY COUNSEL","SR PARALEGAL","Not Specified","Under 30","Female"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","Not Specified","30 - 39","Female"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","Not Specified","30 - 39","Female"
"Other","Administrative Support","COUNTY COUNSEL","Small Job Classification - Omitted for Privacy","Not Specified","40 - 49","Female"
"Other","Professionals","COUNTY COUNSEL","Small Job Classification - Omitted for Privacy","Not Specified","Under 30","Female"
"Other","Paraprofessionals","COUNTY COUNSEL","SR PARALEGAL","Not Specified","Under 30","Female"
"Other","Paraprofessionals","COUNTY COUNSEL","SR PARALEGAL","Not Specified","40 - 49","Female"
"Other","Officials and Administrators","COUNTY COUNSEL","Small Job Classification - Omitted for Privacy","Not Specified","40 - 49","Male"
"Other","Administrative Support","COUNTY COUNSEL","LEGAL SECRETARY II","Not Specified","30 - 39","Female"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","Not Specified","40 - 49","Male"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","Not Specified","30 - 39","Female"
"Other","Administrative Support","COUNTY COUNSEL","Small Job Classification - Omitted for Privacy","Not Specified","Under 30","Female"
"Other","Paraprofessionals","COUNTY COUNSEL","PARALEGAL","Not Specified","Under 30","Female"
"Other","Professionals","COUNTY COUNSEL","Small Job Classification - Omitted for Privacy","Asian","50 - 59","Female"
"Other","Paraprofessionals","COUNTY COUNSEL","SR PARALEGAL","Not Specified","40 - 49","Female"
"Other","Professionals","COUNTY COUNSEL","Small Job Classification - Omitted for Privacy","Not Specified","30 - 39","Male"
"Other","Professionals","COUNTY COUNSEL","PROGRAM MGR II","Not Specified","40 - 49","Male"
"Other","Administrative Support","COUNTY COUNSEL","Small Job Classification - Omitted for Privacy","Hispanic/Latino","Under 30","Female"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","Not Specified","30 - 39","Male"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","Not Specified","40 - 49","Male"
"Other","Paraprofessionals","COUNTY COUNSEL","Small Job Classification - Omitted for Privacy","Not Specified","30 - 39","Female"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","Not Specified","30 - 39","Male"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","Not Specified","50 - 59","Male"
"Other","Professionals","COUNTY COUNSEL","SR MGMT ANALYST","Not Specified","40 - 49","Female"
"Other","Administrative Support","COUNTY COUNSEL","OFFICE SPECIALIST III","Not Specified","Over 60","Female"
"Other","Administrative Support","COUNTY COUNSEL","Small Job Classification - Omitted for Privacy","Not Specified","40 - 49","Female"
"Other","Administrative Support","COUNTY COUNSEL","LEGAL SECRETARY I","Not Specified","Under 30","Female"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","Asian","30 - 39","Male"
"Other","Professionals","COUNTY COUNSEL","Small Job Classification - Omitted for Privacy","White","30 - 39","Female"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","White","50 - 59","Female"
"Other","Professionals","COUNTY COUNSEL","Small Job Classification - Omitted for Privacy","White","30 - 39","Female"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","White","40 - 49","Female"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","Not Specified","50 - 59","Male"
"Other","Professionals","COUNTY COUNSEL","Small Job Classification - Omitted for Privacy","White","30 - 39","Female"
"Other","Administrative Support","COUNTY COUNSEL","Small Job Classification - Omitted for Privacy","Hispanic/Latino","40 - 49","Female"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","Asian","30 - 39","Male"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","Not Specified","30 - 39","Female"
"Other","Professionals","COUNTY COUNSEL","Small Job Classification - Omitted for Privacy","Not Specified","30 - 39","Male"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","Not Specified","40 - 49","Male"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","Asian","30 - 39","Male"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","Not Specified","40 - 49","Male"
"Other","Professionals","COUNTY COUNSEL","Small Job Classification - Omitted for Privacy","Not Specified","Under 30","Female"
"Other","Administrative Support","COUNTY COUNSEL","LEGAL SECRETARY II","Not Specified","50 - 59","Female"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","Not Specified","40 - 49","Male"
"Other","Professionals","COUNTY COUNSEL","Small Job Classification - Omitted for Privacy","Not Specified","30 - 39","Female"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","Not Specified","30 - 39","Female"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","Not Specified","30 - 39","Female"
"Other","Administrative Support","COUNTY COUNSEL","LEGAL SECRETARY I","Not Specified","50 - 59","Female"
"Other","Paraprofessionals","COUNTY COUNSEL","PARALEGAL","Not Specified","Under 30","Female"
"Other","Professionals","COUNTY COUNSEL","ATTORNEY IV-COUNTY COUNSEL","Not Specified","40 - 49","Male"
"Other","Professionals","COUNTY COUNSEL","Small Job Classification - Omitted for Privacy","Not Specified","30 - 39","Male"
"Other","Paraprofessionals","COUNTY COUNSEL","SR PARALEGAL","Not Specified","30 - 39","Female"
"Other","Professionals","COUNTY COUNSEL","Small Job Classification - Omitted for Privacy","Not Specified","30 - 39","Male"
"Other","Administrative Support","COUNTY COUNSEL","ACCOUNT CLERK II","Not Specified","50 - 59","Female"
"Other","Officials and Administrators","EMPLOYEE SERVICES AGENCY","Small Job Classification - Omitted for Privacy","Hispanic/Latino","50 - 59","Female"
"Other","Professionals","EMPLOYEE SERVICES AGENCY","Small Job Classification - Omitted for Privacy","Asian","50 - 59","Male"
"Other","Officials and Administrators","EMPLOYEE SERVICES AGENCY","Small Job Classification - Omitted for Privacy","Asian","50 - 59","Female"
"Other","Officials and Administrators","EMPLOYEE SERVICES AGENCY","Small Job Classification - Omitted for Privacy","Hispanic/Latino","40 - 49","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","EXEC ASSISTANT I-CONF CLERICAL","Hispanic/Latino","30 - 39","Female"
"Other","Professionals","EMPLOYEE SERVICES AGENCY","SR HUMAN RESOURCES ANALYST","Not Specified","Over 60","Male"
"Other","Officials and Administrators","EMPLOYEE SERVICES AGENCY","Small Job Classification - Omitted for Privacy","White","40 - 49","Male"
"Other","Professionals","EMPLOYEE SERVICES AGENCY","Small Job Classification - Omitted for Privacy","Asian","50 - 59","Female"
"Other","Professionals","EMPLOYEE SERVICES AGENCY","Small Job Classification - Omitted for Privacy","Hispanic/Latino","Over 60","Male"
"Other","Professionals","EMPLOYEE SERVICES AGENCY","PROGRAM MGR II","Asian","Under 30","Male"
"Other","Professionals","EMPLOYEE SERVICES AGENCY","MGMT ANALYST-CONF ADMIN","Not Specified","30 - 39","Female"
"Other","Professionals","EMPLOYEE SERVICES AGENCY","Small Job Classification - Omitted for Privacy","Asian","40 - 49","Female"
"Other","Professionals","EMPLOYEE SERVICES AGENCY","ASSOC MGMT ANALYST - CONF ADM","Asian","30 - 39","Male"
"Other","Professionals","EMPLOYEE SERVICES AGENCY","Small Job Classification - Omitted for Privacy","Asian","30 - 39","Male"
"Other","Professionals","EMPLOYEE SERVICES AGENCY","Small Job Classification - Omitted for Privacy","Hispanic/Latino","40 - 49","Female"
"Other","Professionals","EMPLOYEE SERVICES AGENCY","MGMT ANALYST-CONF ADMIN","Hispanic/Latino","30 - 39","Female"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","SR EXECUTIVE ASSISTANT","Hispanic/Latino","30 - 39","Male"
"Other","Administrative Support","EMPLOYEE SERVICES AGENCY","Small Job Classification - Omitted for Privacy","Asian","50 - 59","Male"
