"grant_period","grant_number","recipient","project_title","amount","abstract","county","oregon_congressional_district","library_type"
"2011-2012","11-31-1p","East Linn County Public Libraries of Lebanon, Sweet Home, & Scio","Opening the Doors Wider: Serving the Unserved in East Linn County, Year 2","21686.00","Opening the Doors Wider is designed to develop new non-resident library patrons by offering them a discounted card for three consecutive years, with the discount decreasing over three years from 90% to 75% to 50%. During that time each library will use grant funds to complete the cost of the card, with the grant funds in part being used for programming and collection development that reflect the needs and interests of these new patrons. In addition, the three libraries request support to establish and maintain regular meetings that will insure that the discounted cards program is on target.","Linn","4","public"
"2011-2012","11-05-2s","Oregon Association of School Libraries","OASL Standards for School Libraries","11200.00","The goal of this project is to develop statewide K-12 curriculum standards and a model literacy skills framework for school libraries in Oregon. Oregon's HB2586 requires that all school districts develop a plan to improve their library programs. Statewide library standards and a model framework will help districts make plans for library improvement. They will also help increase student achievement by focusing on essential information concepts, knowledge, skills and behaviors necessary for students to succeed academically.","statewide","statewide","school"
"2010-2011","10-02-5a","Lewis and Clark College, Aubrey R. Watzek Library","Oregon Poetic Voices","34150.00","The first year of the two-year Oregon Poetic Voices project will digitize existing recordings of Oregon poets available to Lewis & Clark College Special Collections for which there is copyright clearance.  The project will also establish two recording studios (one in Portland and the other in Madras/Warm Springs Indian reservation) for the creation of new recordings.  Materials will be available to the state's poets, teachers, and students through a web page. In the second year two additional studios will be established to expand the availability of recorded materials","Multnomah","3","academic"
"2010-2011","10-05-5a","Oregon College of Oriental Medicine","Healing Through Collaboration: Completing health information access in Oregon","58362.00","Healing Through Collaboration will complete the Portland health libraries' consortium catalog by integrating bibliographic data from the Oregon College of Oriental Medicine (OCOM) with the shared catalog used by Oregon Health & Science University (OHSU), National College of Natural Medicine (NCNM), and Western States Chiropractic College (WSCC). Each college brings unique holdings to this collection, including OCOM's exceptional resources on acupuncture and Oriental medicine. This project will facilitate better resource sharing among all of the institutions on the consortium catalog.  By making these resources available to all patrons of the institutions and reciprocal libraries via interlibrary loan, there will be an increased awareness of oriental medical literature, thus opening up potential for better informed health practitioners and patients.","Multnomah","3","academic"
"2010-2011","10-08-6a","Oregon Institute of Technology","Seniors to Seniors: Creating Local History","32587.00","In the Seniors to Seniors: Creating Local History project the Shaw Historical Library and the OIT Historical Archives intend to harness senior and baby boomer volunteers' interest in local history to address the problem of limited local history services and resources.  Volunteers will be trained to work with collections and assist with reference services as well as how to create local history resources by conducting oral history interviews and working with donors. The overall goal is to foster a stronger sense of community by expanding the development and use of local history library services and resources by the community through the efforts of an enlarged Shaw Historical Library.","Klamath","2","academic"
"2010-2011","10-09-5a","Oregon State University Libraries","Oregon Digital Library Project","69373.00","The Oregon Digital Library Project (ODLP) will build upon the previous investigations done by OSU Libraries, and seek to build a collaborative portal for the discovery of digital collections created by institutions within the State of Oregon .  Utilizing LibraryFind, a previously funded LSTA project, the ODLP would create a centralized portal for information that could be searched by any library user to locate digital assets created by Oregon' s cultural centers and locate them in context to materials that may exist at other institutions.  Additionally, the ODLP will act as a repository for search engines, exposing all harvested metadata for indexing into the greater WWW.  For institutions that already make their materials available for harvest, this would add additional exposure and weight to their page rank.  For institutions that currently do not have the ability to make their materials available to the WWW for general indexing, the ODLP will expose those collections to a much wider and diverse audience.","statewide","statewide","academic"
"2010-2011","10-10-4a","Portland Community College","Expanding Library Continuing Education Opportunities for All of Oregon","66297.00","PCC Library proposes to complete the foundational work for developing a coordinated library-related continuing education and training program for library workers in the state of Oregon.  There are three steps: Step 1 - Conduct a statewide needs assessment to determine training needs of all levels of library staff throughout Oregon.  Step 2 - Determine how to best meet needs identified in the assessment by examining various modes of delivery, funding models, and promising practices in other states.  Step 3 - Develop a business plan for a sustainable model to deliver library-related continuing education on an ongoing basis to all parts of the state and report back to the Oregon State Library. A peer evaluation report was not done for this grant.","Multnomah","1 & 3","academic"
"2010-2011","10-12-5a","Southern Oregon University","Images and Education: A Southern Oregon Perspective","69163.00","The Hannon Library will work with the Southern Oregon Historical Society and the Oregon Shakespeare Festival to create a digital image collection that documents historical, economic, environmental, social, and cultural perspectives in Southern Oregon. The objective of the second year of the grant is to provide training to for staff at small local historical associations, public libraries, and non-profits in Southern Oregon area to prepare collections for digitizing services at SOU. T","Jackson","2","academic"
"2010-2011","10-15-5a","University of Oregon Libraries","Oregon Digital Newspaper Project, Year 2","90880.00","The Oregon Digital Newspaper Project will make the history of Oregon accessible to its citizens through the creation of an online historic Oregon newspaper collection. This funding covers the initial project with matching funds for digitization of 150,000 of historic newspaper pages (approx. 30 years of 12 rural weekly titles).  An online newspaper archive will provide a window into the life of local Oregon communities a century or more ago. It will provide the opportunity to teach young people about the history of their communities and inspire them to research and write about our history. It will be freely available to anyone who can access the Internet from their home.","Lane","4","academic"
"2010-2011","10-16-2a","Western Oregon University Library","Cooperative Library Instruction Project 2","95629.00","Cooperative Library Instruction Project 2 (CLIP2) will produce a set of open access information literacy tutorials and associated assessment materials that address the 29 information literacy proficiencies put forward to the Oregon Council of Instructional Administrators (CIA) by the Information Literacy Advisory Group of Oregon (ILAGO) in conjunction with Oregon Writing and English Advisory Committee (OWEAC) as the basis for information literacy requirements in the Associate of Arts Oregon Transfer degree (AA/OT). The CLIP project will also produce training materials and tutorials in the use of the CLIP tutorials, assessments and related materials for instruction. The project will develop and implement a series of workshops for librarians and instructional faculty at various locations across the state to plan, create, and distribute curricula, activities, and assessments with the purpose of developing an ongoing process of participation.","Polk","5","academic"
"2010-2011","ORELIB01-10","Oregon State University Libraries","Oregon Digital Library Portal","72823.00","In 2010, the Oregon State Library budgeted $200,000 to find new ways to address the problem of providing service to those without library service. The Extending Service to the Unserved project provides competitive funding for projects from public libraries in areas where there are adjacent unserved populations to serve additional people. The total for the program is $200,000. See 10-30-1p and 10-31-1p for the competitive grants. This project also sponsors OSU to develop a portal for for the Oregon Digital Library for $72,823. The portal would provide access to licensed databases and selected quality websites. This project has no peer evaluation and no application.","statewide","statewide","academic"
"2010-2011","UOMach5","University of Oregon Libraries","Request for Supplementary Funds","106000.00","In May, 2011 the University of Oregon Libraries asked for funding for a high-speed microfilm digitization machine. The machine would be used in conjunction with the Oregon Digital Newspaper Program. The machine would support digitization of smaller historic newspapers as well as personal documents or manuscripts. It extends the University of Oregon’s ability to act as a service center and provide digitization services for local libraries and historical societies; linking these processes with set standards of digitization, description, and access recommendations.","Lane","4","academic"
"2010-2011","10-07-6y","Oregon Council of Teachers of English on behalf of Oregon Encyclopedia","Libraries as Community Research Centers","77554.00","Information about Oregon 's recent past (1970 to the present) and culture is overlooked and deemed unimportant. This is particularly true for minority and non-mainstream groups, as few efforts have reached out to record their history. Oregon needs an authoritative encyclopedia to document the history of these under-represented people and communities. The Oregon Council of Teachers of English (OCTE) is a partner of The Oregon Encyclopedia (OE), a statewide effort to create an on-line compendium of authoritative information on Oregon history and culture.  Through a series of community meetings led by OE staff and hosted by public, academic, and school libraries, the Libraries as Community Research Centers project is committed to focusing on the active recruitment and participation of under-represented populations in the researching, writing and documenting of Oregon history.","statewide","statewide","multiple"
"2010-2011","10-11-5m","Sage Library System","Test and Implement an Open Source Integrated Library System, Year 2","102359.00","The Sage Library System based at Eastern Oregon University continues its test implementation of an open source integrated library system, Evergreen.  The Integrated Library System (ILS) is the software that is used to run all aspects of the shared Sage Library catalog, including the public interface, circulation system, acquisitions and cataloging system. Traditional ILS software is expensive, and includes an annual maintenance cost, which for Sage makes up the largest proportion of the annual budget.  In contrast, Open Source ILS software is free - most of the associated costs are personnel costs for the software set up and maintenance.","multiple","2","multiple"
"2010-2011","10-01-1p","Deschutes Public Library District","Library Linx; Bringing the Public Library to Schools, Year 2","36380.00","The Library Linx project is a collaborative effort between the Deschutes Public Library District (DPLD) and area school districts to connect elementary and middle school students and teachers with the collection resources of DPLD.  Library Linx allows students and teachers to go on-line and check out books, videos, and other materials and have them delivered by courier to their school.  In September 2009, Library Linx served 17 schools. By January 2011 the goal was to serve 32.","Deschutes","2","public"
"2010-2011","10-03-1p","Multnomah County Library","Kaboom! Knowledgeable and Active Boomers, Year 2","52793.00","The goal of Kaboom! is to challenge our assumptions, our language, and the way in which libraries organize adult and senior library services to find new and engaging methods to address an emerging third lifephase in transformational ways. Kaboom! will provide new ideas and help inform the creation of a distinct specialty within adult services, focusing on active, engaged older adults during this second year of a two-year library demonstration project of work to serve and engage boomers.","Multnomah","3","public"
"2010-2011","10-04-3p","Multnomah County Library","Preparing Black Children for Kindergarten: A Library Planning Grant","45901.00","This project will plan culturally appropriate library services for Multnomah County's Black residents by conducting a needs assessment, in collaboration with other service providers and agencies, to seek information and guidance from community members and leaders. Recommendations from this planning grant, when implemented, will help to ensure that young children from at-risk Black families are ready to learn to read by kindergarten, and that these children receive the needed early literacy interventions and support to make the crucial transition from their preschool years to kindergarten.","Multnomah","3","public"
"2010-2011","10-13-6p","Tigard Public Library","Bridging the Gap: Gaming for All Ages through the Public Library","5525.00","Bridging the Gap emphasizes 21st century literacy and the role of the library as a community hub. The project consists of two game-themed series to be held over a period of 12 months. Series one: six events for boomers/seniors emphasizing stimulating, knowledge-based board games, and video games with social components and light physical activity, such as bowling and golfing simulations on the Nintendo Wii game console. Teen volunteers and teen relatives of the participants will be invited to assist and participate, making these intergenerational events. Series two: twelve events for teens, young adults and families introducing participants to social, strategy, narrative, knowledge and action games, including board games, and role playing games.","Washington","1","public"
"2010-2011","10-14-4p","Tualatin Public Library","Creating Civic Engagement Through Volunteerism","11440.00","Tualatin Public Library seeks to 1) expand volunteer opportunities to meet the social, career, personal and civic goals of Boomer and Gen Y volunteers, 2) help Tualatin residents meet their neighbors and interact with people outside their immediate social network; and 3) engage Tualatin residents with their library, their city government and representatives and to encourage active participation in the civic life of Tualatin.","Washington","1","public"
"2010-2011","10-17-1p","Hood River County","Hood River Library Planning for a New Service Model","10000.00","The Hood River County Library System closed June 30, 2010 due to the inability of the county government to continue funding operations and support. November 2, 2010, the citizens of Hood River County voted to create a Library Special District and elected a library board. District funds will not be available until November 2011. This planning grant will help the elected Board and the County develop necessary processes, procedures and operational models based upon best practices and available funding. As a result of this planning, the County and Board will develop and implement a time line for re-establishing library services. This project has no peer evaluation.","Hood River","2","public"
"2010-2011","10-30-1p","Astoria Public Library & Seaside Public Library","Libraries ROCC! (Rural Outreach in Clatsop County)","65535.00","Working with the school districts, Seaside and Astoria Public Libraries will offer public library cards to all Clatsop County children regardless of residence location.  Staff will visit schools and work with the school district to issue children a library card at the public library of their choice for one full year. The libraries will share materials via interlibrary loan and hire a consultant to look for future avenues of cooperation to strengthen service.","Clatsop","1","public"
"2010-2011","10-31-01p","East Linn County Public Libraries of Lebanon, Sweet Home, & Scio","Opening the Doors Wider: Serving the Unserved in East Linn County","27493.00","Opening the Doors Wider is designed to develop new non-resident library patrons by offering them a discounted card for three consecutive years, with the discount decreasing over three years from 90% to 75% to 50%. During that time each library will use grant funds to complete the cost of the card, with the grant funds in part being used for programming and collection development that reflect the needs and interests of these new patrons. In addition, the three libraries request support to establish and maintain regular meetings that will insure that the discounted cards program is on target.","Linn","4","public"
"2010-2011","10-06-1o","Oregon Council of County Law Libraries","Oregon County Law Library Consultant Grant","72880.00","The Oregon Council of County Law Libraries (OCCLL) was formed to improve the quality of county law libraries statewide and foster communication and cooperation among them.  Since the funding for each county library is dependent on a percentage of the amount of court filing fees each court receives, there are wide disparities in the materials and staff available from county to county.  This grant would enable OCCLL to hire a consultant to study the county law libraries and make recommendations to lessen disparities, foster better communication, and create collection development plans which could include cooperative purchasing, and help market our services to the legal community and general public through conventional and electronic means.","statewide","statewide","special"
"2022-2023","22-SEAS-1P","Seaside Public Library","Library Services Expansion in Clatsop County","40000.00","Improve and expand existing library services for rural youth in Clatsop County with a goal of adding more library cards for youth in the community.","Clatsop","1","Public"
"2022-2023","22-SPRING-2P","Springfield Public Library","Lane Council of Libraries User Strategies Improvement Project","60461.00","Improve the shared integrated library system that connects eight libraries in Lane County in order to provide consistent and equitable service across the county's consortium libraries. The project will standardize systems, improve efficiencies, and provide training to enhance and improve user experiences across the system.","Lane","4","Public"
"2022-2023","22-NORTH-5S","Northwest Resource Associates Oregon Post Adoption Resource Center Library","Culture Connection Collection: Supporting Kids of Color in Care","20000.00","Invest in the wisdom and work of local cultural experts with racial and foster-adoption lived experience—uniquely combined with literary or illustrating expertise—to build and promote a culturally vibrant library collection that intentionally embraces the rich diversity of children of color in state care; supports their unique foster-adopt journey; solidifies racial and cultural identity; buffers against trauma; and bolsters child wellbeing.","Multnomah","3","Special"
"2022-2023","22-CENT-1S","Centennial School District","Engage and Inspire","10000.00","Provide a diverse and inclusive collection for incoming middle school students at the new middle school, which is being transitioned from an elementary school. This collection will benefit a student body consisting of students that speak over 24 languages, all who qualify for free or reduced lunch and come from diverse communities who are traditionally underserved and underrepresented in libraries.","Multnomah","3","School"
"2022-2023","22-OHS-1S","Oregon Historical Society","So Much More Than a General Store: Uncovering the Records of the Yasui Brothers Company","99220.00","Increase and improve access to the archival records of the Yasui Brothers Co. and Yasui family, circa 1908-1942, held by the OHS Research Library. Grant funding will be used to hire a full-time professional archivist to arrange, rehouse, and describe the records, engage translators to consult on Japanese language materials, select items to be digitized. OHS will also work with partner organizations to present a related educational program in Hood River, Oregon in 2023, either in person or virtually.","Multnomah","3","Special"
"2022-2023","22-CEDAR-5P","Cedar Mill and Bethany Community Libraries","Bookshare: Bringing The Library to Kids In Child Care","11131.00","Expand Bookshare services to preschools, focusing on Preschool Promise sites within the Cedar Mill Community Libraries service area.","Washington","1","Public"
"2022-2023","22-BEAV-1P","Beaverton City Library","Library on Wheels Outreach Van","105597.00","Expand the Library on Wheels outreach program by purchasing and outfitting an outreach van and adding a part-time Outreach Specialist position that will bring library materials, resources, and programs into underserved communities in Beaverton.","Washington","1","Public"
