"agency_sponsor","title","short_description","start_date_time","end_date_time","state","details","contact_name","phone","contact_email","web_link","calendar_link","map_location","city","audience_type","registration_deadline"
"Secretary of State","Advanced Notary Webinar","Free advanced training for current notaries ONLY","2021-10-21T09:00:00.000","2021-10-21T12:00:00.000",,"Advanced notary public webinars are appropriate for those who are experienced, commissioned notaries. They do not meet the training qualifications for a notary application and will not help you to pass the exam. These advanced classes discuss employee notary issues, notario and elder abuse fraud, difficult certificates, and journaling witnesses, iPEN and RON notarizations among other topics.","Monique Bourque","971-701-5075","monique.bourque@oregon.gov","Notary seminar schedule (https://notsem.sos.state.or.us/)",,,"Salem",,
"Clatsop Community College SBDC","Starting a Small Food Company - Understanding Government Regulations-Clatsop Community College SBDC","Have an idea for a food business? Want to pivot your existing farm or restaurant to sell processed foods? Food entrepreneurship is exciting and helps drive our North Coast economy, but it can be tricky to understand licensing, regulations and food safety measures. ","2021-10-20T14:00:00.000","2021-10-20T15:30:00.000","PDT","Cost: No fee",,,,"Register Online (https://clients.oregonsbdc.org/workshop.aspx?ekey=50410041&utm_medium=email&utm_source=govdelivery)",,,,,
"Oregon Association of Minority Entrepreneurs (OAME)","Oregon Association of Minority Entrepreneurs (OAME)","33rd Annual Conference - Enduring Partnerships - The OAME 33rd Annual Trade Show will be held on October 20,2021 via Zoom","2021-10-20T07:30:00.000","2021-10-20T17:00:00.000","PDT","Cost: No fee",,,,"Contact OAME (https://oame.org/contact-oame/)",,,,,
"Oregon Manufacturing Extension Partnership (OMEP)","ybersecurity Forum-Oregon Manufacturing Extension Partnership (OMEP)","The Pacific Northwest has been the site for a pilot program to help manufacturers comply with cybersecurity requirements. Based on feedback from this program, we are launching a monthly check in to provide relevant information… and lots of time for your questions to be answered by our cybersecurity expert panel.","2021-10-19T09:00:00.000","2021-10-19T10:30:00.000","PDT","Cost: No Fee",,,,"Register Online (https://pndc.memberclicks.net/index.php?option=com_mcform&view=ngforms&id=2092598#/)",,,,,
"U.S. Small Business Administration","WOSB Certification Eligibility and Application Process Webinar","Attention: Women in business! Register for upcoming webinars to learn how to get certified for the Women-Owned Small Business federal contracting program, what to do after you're certified and more","2021-10-14T12:00:00.000","2021-10-14T13:00:00.000","PDT","Cost: No Fee",,,,"Register Online (https://www.eventbrite.com/e/wosb-certification-eligibility-and-application-process-webinar-tickets-134537728969?utm_medium=email&utm_source=govdelivery)",,,,,
"SCORE Vancouver ","Starting a Home-Based Business-SCORE Vancouver ","Have you ever thought about Starting a Home-Based Business? If that’s a possibility now or sometime in the future, this free 90-minute SCORE webinar is for you. ","2021-10-14T11:30:00.000","2021-10-14T13:00:00.000","PDT","Cost: No fee",,,,"Register Online (http://events.r20.constantcontact.com/register/event?llr=4aqaptcab&oeidk=a07eiifixf104b0eb05)",,,,,
"The SBA and Public Private Strategies Institute ","Resources and Relief for Your Small Business - Supporting Women Business Owners & Women’s Programs-The SBA and Public Private Strategies Institute ","-Learn more about COVID EIDL and how you can take advantage before December 31, 2021 -Discover tools and resources you can use to start and grow your business -Have your questions answered by SBA Leadership & small business experts -Learn how you can become a vaccine leader in your community -Get an update regarding programs and recent policy announcements made by the Biden-Harris Administration","2021-10-13T11:00:00.000","2021-10-13T12:00:00.000","PDT","Cost: No fee",,,,"Register Online (https://publicprivatestrategies.zoom.us/webinar/register/WN_GRcA_s2OScKsYCBIUWauXQ?utm_medium=email&utm_source=govdelivery)",,,,,
"Secretary of State","Basics Notary Webinar","Free training to become a notary","2021-10-12T09:00:00.000","2021-10-12T12:00:00.000",,"Brush up your notary knowledge and get the answers to your questions by attending a webinar for current and future notaries public. This webinar is a comprehensive and thorough examination of notary basics: purpose, responsibilities and liabilities of a notary; how to notarize; notary certificates and the notary journal. ","Monique Bourque","971-701-5075","monique.bourque@oregon.gov","Notary seminar schedule (https://notsem.sos.state.or.us/)",,,"Salem",,
"Oregon Association of Minority Entrepreneurs (OAME)","Oregon Association of Minority Entrepreneurs (OAME)","Contractors & AEPT Meeting","2021-10-08T07:30:00.000","2021-10-08T09:00:00.000","PDT","Cost: No fee",,,,"Contact OAME (https://oame.org/contact-oame/)",,,,,
"Columbia Gorge Community College SBDC","Entendiendo estados financieros-Columbia Gorge Community College SBDC","En esta clase hablaremos de los estados financieros de tu negocio, como leerlos, como utilizarlos han la planeaciónde tu negocio y para comparar tu negocio con la industria en la que te encuentras.","2021-10-06T18:00:00.000","2021-10-06T20:00:00.000","PDT","Tarifa: Sin costo",,,,"Registro en línea (https://clients.oregonsbdc.org/workshop.aspx?ekey=140410162)",,,,,
" Columbia Gorge Community College SBDC","Crear un menu que venda por ti -  Columbia Gorge Community College SBDC","En esta clase hablaremos de las estrategias de posiciones de platillos en el menú, formulas para costos, entender los costos de cada platillo y como utilizar tu menú para que haga las ventas por ti.","2021-10-06T15:00:00.000","2021-10-06T17:00:00.000","PDT","Tarifa: Sin costo",,,,"Registro en línea (https://clients.oregonsbdc.org/workshop.aspx?ekey=140410160)",,,,,
"SBA & Resource Partners","Surplus Government Property for Veteran Owned Small Businesses-SBA & Resource Partners","Public Law No. 115-416, the Veterans Small Business Enhancement Act of 2018, directs the U.S. Small Business Administration (SBA) to give certain veteran-owned small businesses (VOSBs) access to federally-owned surplus personal property. Find out what that means for you in this 1.5 hour session covering local resources, surplus property program overview, and veteran verification.","2021-10-06T13:00:00.000","2021-10-06T15:00:00.000","PDT","Cost: No fee",,,,"Register Online (https://www.eventbrite.com/e/surplus-government-property-for-veteran-owned-small-businesses-tickets-167932720287?utm_medium=email&utm_source=govdelivery)",,,,,
"Columbia Gorge Community College SBDC","Iniciando un carro de comida-Columbia Gorge Community College SBDC","¿Estás interesado en iniciar tu propio negocio? En esta clase hablaremos de los requisitos y como planear y administrar tu negocio de comida.","2021-10-06T12:00:00.000","2021-10-06T14:00:00.000","PDT","Tarifa: Sin costo",,,,"Registro en línea (https://clients.oregonsbdc.org/workshop.aspx?ekey=140410167)",,,,,
"Central Oregon Community College SBDC","Preparing for Launch-Central Oregon Community College SBDC","Do you have a great idea that you think could be a successful business, but just don't know how to get started? Cover the basics in this two-hour class and decide if running a business is for you. ","2021-10-06T11:00:00.000","2021-10-06T13:00:00.000","PDT","Cost: $29",,,,"Register and Pay Online (https://www.enrole.com/cocc/jsp/session.jsp?sessionId=FA21BUSSTARTUP.1&courseId=BUSSTARTUP&categoryId=10205)",,,,,
"Blue Mountain Community College SBDC","Profit Mastery-Blue Mountain Community College SBDC","After an overwhelming response and reaching full capacity in October 2020, Profit Mastery is back! Join us for this 7-week Profit Mastery program at absolutely no charge to you. The typical cost of this course is $895 but we’re offering it to the first 115 participants at absolutely no cost. Thanks to the SBA CARES Act funds, the Blue Mountain SBDC is able to bring you a program that will help you evaluate your businesses current financial outlook, manage your business by the numbers and give you the tools to focus on growth and the increase in revenue and capital you need to be successful.","2021-10-06T09:00:00.000","2021-10-06T10:00:00.000","PDT","Cost: No fee",,,,"Register Online (https://clients.oregonsbdc.org/workshop.aspx?ekey=10410019)",,,,,
"Columbia Gorge Community College SBDC","Comenzando tu negocio-Columbia Gorge Community College SBDC","Tienes una idea de negocio y no sabes por donde comenzar? Hablaremos de como iniciar un negocio, requisitos, registraciones y puntos de contacto.","2021-10-06T09:00:00.000","2021-10-06T11:00:00.000","PDT","Tarifa: Sin costo",,,,"Registro en línea (https://clients.oregonsbdc.org/reg.aspx?mode=event&event=140410155)",,,,,
"Secretary of State","Advanced Notary Webinar","Free advanced training for current notaries ONLY","2021-10-06T09:00:00.000","2021-10-06T12:00:00.000",,"Advanced notary public webinars are appropriate for those who are experienced, commissioned notaries. They do not meet the training qualifications for a notary application and will not help you to pass the exam. These advanced classes discuss employee notary issues, notario and elder abuse fraud, difficult certificates, and journaling witnesses, iPEN and RON notarizations among other topics.","Monique Bourque","971-701-5075","monique.bourque@oregon.gov","Notary seminar schedule (https://notsem.sos.state.or.us/)",,,"Salem",,
" Columbia Gorge Community College SBDC","Succession Planning -Columbia Gorge Community College SBDC","Learn the strategy for passing on leadership roles—often the ownership of a company—to an employee or group of employees. Also known as “replacement planning,” it ensures that businesses continue to run smoothly after a company’s most important people move on to new opportunities, retire, or pass away.","2021-10-05T09:00:00.000","2021-10-05T12:00:00.000","PDT","Cost: $25",,,,"Register Online (https://clients.oregonsbdc.org/workshop.aspx?ekey=140410149)",,,,,
"Columbia Gorge Community College SBDC","Succession Planning-Columbia Gorge Community College SBDC","Learn the strategy for passing on leadership roles—often the ownership of a company—to an employee or group of employees. Also known as “replacement planning,” it ensures that businesses continue to run smoothly after a company’s most important people move on to new opportunities, retire, or pass away.","2021-10-05T09:00:00.000","2021-10-05T12:00:00.000","PDT","Cost: $25",,,,"Register and Pay Online (https://clients.oregonsbdc.org/workshop.aspx?ekey=140410149)",,,,,
"LIVELIHOOD NW","INTRO TO BOOKKEEPING","This one-night workshop goes over the basics of bookkeeping. If you aren’t sure where to start when it comes to small business bookkeeping, this is a great first step!  ","2021-10-04T16:00:00.000","2021-10-04T18:00:00.000","PDT","Cost: $25",,,,"Register Online (https://livelihoodnw.org/intro-to-bookkeeping)",,,,,
"Klamath Community College SBDC","Smart Start-Up (On-Line Zoom)-Klamath Community College SBDC","A 2-hour class designed specifically for those considering self-employment or new to owning a business. Gain the information needed before you begin business. Topics include feasibility, market research, business plan basics, start-up financing, insurance, legal structures, registration & licensing, and much more! Participants will be provided with resources, handouts, and checklists!","2021-10-02T09:00:00.000","2021-10-02T11:00:00.000","PDT","Cost: $30",,,,"Register and Pay Online (https://clients.oregonsbdc.org/workshop.aspx?ekey=170410066)",,,,,
"Columbia Gorge Community College SBDC","Disaster Planning and Recovery- Columbia Gorge Community College SBDC","Some disasters are unavoidable. Some are worse than others, but regardless of your situation the proper planning, training, and preparedness will be the most effective way to avoid or recover from any type of disaster. For every $1 spent in recovery and resiliency planning yields $6 in return on average. We will learn how to recover from all types of disasters as well as how to plan for any eventuality so your business can survive and thrive in the worst of times.","2021-09-30T16:00:00.000","2021-09-30T18:00:00.000","PDT","Cost: No fee",,,,"Register Online (https://clients.oregonsbdc.org/reg.aspx?mode=event&event=140410138)",,,,,
"Columbia Gorge Community College SBDC","Developing your Business Brand-Columbia Gorge Community College SBDC","Learn to create a brand style guide to help you present your business consistently. Your visual brand acts as the guide to sharing your product or service both externally and internally and how you communicate your business effectively.","2021-09-30T13:00:00.000","2021-09-30T16:00:00.000","PDT","Cost: $25",,,,"Register Online (https://clients.oregonsbdc.org/workshop.aspx?ekey=140410133)",,,,,
"U.S. Small Business Administration","Small Business Resources for Preparedness, Relief, Recovery, and Resiliency - U.S. Small Business Administration","The Small Business Administration (SBA) & Public Private Strategies Institute (PPSI) are providing educational opportunities for you to learn more about programs that will help your business get back on track. These sessions will take place every two weeks, starting next week and running through December 2021.","2021-09-29T11:00:00.000","2021-09-29T12:00:00.000","PDT","Cost: No fee",,,,"Register Online (https://publicprivatestrategies.zoom.us/webinar/register/WN_hw1mK2R7Qp-uyQ_iuu8o2Q?utm_medium=email&utm_source=govdelivery)",,,,,
"Secretary of State","Basics Notary Webinar","Free training to become a notary","2021-09-29T09:00:00.000","2021-09-29T12:00:00.000",,"Brush up your notary knowledge and get the answers to your questions by attending a webinar for current and future notaries public. This webinar is a comprehensive and thorough examination of notary basics: purpose, responsibilities and liabilities of a notary; how to notarize; notary certificates and the notary journal. ","Monique Bourque","971-701-5075","monique.bourque@oregon.gov","Notary seminar schedule (https://notsem.sos.state.or.us/)",,,"Salem",,
"Secretary of State","Basics Notary Webinar","Free training to become a notary","2021-09-29T09:00:00.000","2021-09-29T12:00:00.000",,"Brush up your notary knowledge and get the answers to your questions by attending a webinar for current and future notaries public. This webinar is a comprehensive and thorough examination of notary basics: purpose, responsibilities and liabilities of a notary; how to notarize; notary certificates and the notary journal. ","Monique Bourque","971-701-5075","monique.bourque@oregon.gov","Notary seminar schedule (https://notsem.sos.state.or.us/)",,,"Salem",,
"Chemeketa Community College SBDC","Know Your Numbers-Chemeketa Community College SBDC","Join us for the Know Your Numbers and learn about:  What do lenders and investors look at on my financial statements? How can I improve those numbers and ratios? How can I use those numbers to make good business decisions (Can I afford new equipment? Can I afford new employees? Do I need to raise prices?)","2021-09-28T10:00:00.000","2021-09-28T11:30:00.000","PDT","Cost: No fee",,,,"Register Online (https://clients.oregonsbdc.org/reg.aspx?mode=event&event=30410080)",,,,,
"Chemeketa Community College SBDC","Salem Capitol Connections-Chemeketa Community College SBDC","Salem Capitol Connections provides Oregon entrepreneurs with opportunities to connect with public and private entities that lead to sustainable business relationships and opportunities.","2021-09-28T07:30:00.000","2021-09-28T09:00:00.000","PDT","Cost: No fee",,,,"Register Online (https://clients.oregonsbdc.org/reg.aspx?mode=event&event=30410035)",,,,,
"Salem Capital Connections ","Salem Capital Connections webinar, panel from Business Oregon, Chemeketa SBDC, Office of Small Business Assistance, and the Office of Governor Kate Brown.","Salem Capitol Connections provides Oregon entrepreneurs with opportunities to connect with public and private entities that lead to sustainable business relationships and opportunities.","2021-09-28T07:30:00.000","2021-09-28T09:00:00.000","PDT","Cost: No fee",,,,"Register for the webinar @ (http://salemcapitolconnections.org/)",,,,,
"Oregon Association of Minority Entrepreneurs: OAME","Oregon Association of Minority Entrepreneurs: OAME","Coffee and Issues","2021-09-24T07:30:00.000","2021-09-24T09:00:00.000","PDT","Cost: No fee",,,,"Contact OAME (https://oame.org/contact-oame/)",,,,,
"The U.S. Small Business Administration","3-Day Virtual Conference during National Small Business Week","This event will include educational presentations and panel discussions that help both new and existing businesses to recover, adapt and innovate in this challenging time.","2021-09-24T07:00:00.000","2021-09-24T13:00:00.000","PDT","Cost: No Fee",,,,"Register Online (https://onlinexperiences.com/scripts/Server.nxp?LASCmd=AI%3A4%3BF%3AQS%2110100&ShowKey=110126%3Dscoreeventpage)",,,,,
"U.S. Small Business Administration","WOSB Certification Eligibility and Application Process Webinar","Attention: Women in business! Register for upcoming webinars to learn how to get certified for the Women-Owned Small Business federal contracting program, what to do after you're certified and more. ","2021-09-23T12:00:00.000","2021-09-23T13:00:00.000","PDT","Cost: No Fee",,,,"Register Online (https://www.eventbrite.com/e/wosb-certification-eligibility-and-application-process-webinar-tickets-134537728969?utm_medium=email&utm_source=govdelivery)",,,,,
"U.S. Small Business Administration","WOSB Certification Eligibility and Application Process Webinar","Attention: Women in business! Register for upcoming webinars to learn how to get certified for the Women-Owned Small Business federal contracting program, what to do after you're certified and more","2021-09-23T12:00:00.000","2021-09-23T13:00:00.000","PDT","Cost: No Fee",,,,"Register Online (https://www.eventbrite.com/e/wosb-certification-eligibility-and-application-process-webinar-tickets-134537728969?utm_medium=email&utm_source=govdelivery)",,,,,
"Southern Oregon University SBDC","QuickBooks/Accounting Fundamentals-Southern Oregon University SBDC","This class in our ‘Learn at Lunch’ series is developed to give class participants an introduction to accounting, a necessary step for learning how to manage a business from a financial perspective. Once this is understood, the class moves on to setting-up QuickBooks so that financial information is represented correctly","2021-09-23T11:30:00.000","2021-09-23T13:30:00.000","PDT","Cost: $20",,,,"Register Online (https://clients.oregonsbdc.org/workshop.aspx?ekey=91410034)",,,,,
" Chemeketa Community College SBDC","Ways to Increase Web Sales - Best Practices -Chemeketa Community College SBDC","Do you have a website but need some help fine-tuning it to make more money? Do you want to have more freedom, increase your income remotely, and most importantly make a profit? Are you curious to learn more about creating the perfect online sales strategy?","2021-09-23T11:30:00.000","2021-09-23T13:00:00.000","PDT","Cost: No fee",,,,"Register Online (https://clients.oregonsbdc.org/reg.aspx?mode=event&event=30410072)",,,,,
"SBA Portland District Office","SBA Portland District Office - Join SBA Portland District Office to discuss the recent enhancements to the Economic Injury Disaster (EIDL) Program.","This week, the Administrator of the U.S. Small Business Administration announced major enhancements to the COVID EIDL program to better support small businesses impacted by the pandemic","2021-09-23T10:30:00.000","2021-09-23T11:30:00.000","PDT","Cost: No fee",,,,"Register Online (https://www.eventbrite.com/e/new-enhancements-to-covid-economic-injury-disaster-loan-eidl-program-tickets-170465119762?utm_medium=email&utm_source=govdelivery)",,,,,
"Chemeketa Community College SBDC","Financial Fundamentals-Chemeketa Community College SBDC","Join us for the Financial Fundamentals session and learn about  What is a Profit & Loss Statement and a Balance Sheet? Why are they important? How can understanding them help me make good business decisions?","2021-09-23T10:00:00.000","2021-09-23T11:30:00.000","PDT","Cost: No fee",,,,"Register Online (https://clients.oregonsbdc.org/reg.aspx?mode=event&event=30410079)",,,,,
"BDI","Business Diversity Institute, Inc (BDI) - Minority Enterprise Development (MED) Week Workshops and Awards Luncheon","MED Week workshops provide industry-relevant education to small business owners and government and corporate diversity practitioners. In addition to workshops for small businesses and diversity practitioners, the annual awards program recognizes minority business owners and diversity practitioners that have demonstrated growth and leadership in our community. ","2021-09-23T09:00:00.000","2021-09-23T14:00:00.000","PDT","$150.00 for both days",,,,"Register and Purchase tickets (https://www.bdiweb.org/programs/med-week/individual-registration/)",,,,,
"U.S. Small Business Administration","3-Day Virtual Conference during National Small Business Week","This event will include educational presentations and panel discussions that help both new and existing businesses to recover, adapt and innovate in this challenging time.","2021-09-23T07:00:00.000","2021-09-23T13:00:00.000","PDT","Cost: No Fee",,,,"Register Online (https://onlinexperiences.com/scripts/Server.nxp?LASCmd=AI%3A4%3BF%3AQS%2110100&ShowKey=110126%3Dscoreeventpage)",,,,,
"Reinventing Rural and the Northeast Oregon Economic Development District","Co.Starters, Reinventing Rural and the Northeast Oregon Economic Development District","CORE Northeast Oregon launches Sept. 22nd - Virtual-CO.STARTERS 10-Week CORE Program Equips Aspiring Entrepreneurs With the Insights, Relationships, and Tools to Turn Ideas into Action  ","2021-09-22T18:00:00.000","2021-11-24T21:00:00.000","PDT","Cost:$750-Through generous donations from sponsors this class is free",,,,"Register Online (https://airtable.com/shrGMYPMYaCSPojy0)",,,,,
"Columbia Gorge Community College SBDC","Quickbooks Online 101-Columbia Gorge Community College SBDC","For QuickBooks beginners. Learn how to use the most popular business accounting software program used by small businesses. If you have never used QuickBooks or are just starting to use the program, this training is for you! Class includes setting up company files, creating a chart of accounts, adding customers, jobs, and vendors. Also covers paying for expenses, invoicing, and receiving payments.","2021-09-22T17:00:00.000","2021-09-22T20:00:00.000","PDT","Cost: $75",,,,"Register Online (https://clients.oregonsbdc.org/reg.aspx?mode=event&event=140410141)",,,,,
"Livelihood NW","Business Development Series","5 Weekly sessions starting 9/22/21","2021-09-22T16:00:00.000","2021-10-20T18:00:00.000","PDT","Cost: $175 for all 5 sessions",,,,"Register Online (https://livelihoodnw.org/business-development-series)",,,,,
"BDI","Business Diversity Institute, Inc (BDI). - Minority Enterprise Development (MED) Week Workshops and Awards Luncheon","BDI and local sponsors host  Minority Enterprise Development (MED) Week Workshops and Awards Luncheon for the Portland Metropolitan region. During MED Week, advocacy groups and government partners join the local business community to celebrate local minority businesses and the contributions they make to our local economy.","2021-09-22T13:00:00.000","2021-09-22T19:00:00.000","PDT","$150.00 for both days",,,,"Register and purchase tickets (https://www.bdiweb.org/programs/med-week/individual-registration/)",,,,,
"Lane Community College SBDC","Intro to Entrepreneurship-Lane Community College SBDC","Learn about...  evaluating your business idea, essential business topics, the importance of market analysis, how to create a business plan, analyzing your idea, and building financial projections.","2021-09-22T11:00:00.000","2021-09-22T13:00:00.000","PDT","Cost: No fee",,,,"Register Online (https://clients.oregonsbdc.org/reg.aspx?mode=event&event=1410044)",,,,,
"U.S. Small Business Administration","3-Day Virtual Conference during National Small Business Week","This event will include educational presentations and panel discussions that help both new and existing businesses to recover, adapt and innovate in this challenging time.","2021-09-22T10:00:00.000","2021-09-22T13:00:00.000","PDT","Cost: No Fee",,,,"Register Online (https://onlinexperiences.com/scripts/Server.nxp?LASCmd=AI%3A4%3BF%3AQS%2110100&ShowKey=110126%3Dscoreeventpage)",,,,,
"Secretary of State","Advanced Notary Webinar","Free advanced training for current notaries ONLY","2021-09-21T09:00:00.000","2021-09-21T12:00:00.000",,"Advanced notary public webinars are appropriate for those who are experienced, commissioned notaries. They do not meet the training qualifications for a notary application and will not help you to pass the exam. These advanced classes discuss employee notary issues, notario and elder abuse fraud, difficult certificates, and journaling witnesses, iPEN and RON notarizations among other topics.","Monique Bourque","971-701-5075","monique.bourque@oregon.gov","Notary seminar schedule (https://notsem.sos.state.or.us/)",,,"Salem",,
"Clatsop Community College SBDC","Clatsop Community College SBDC-Building Credit for Your Small Business","Learn about the importance of good personal and business credit history, and how the connection between the two may impact your small business.  Review best practices for establishing and improving credit scores, examine how your credit can impact business loan applications and opportunities, and learn how to use credit reporting services wisely.","2021-09-20T14:00:00.000","2021-09-20T16:30:00.000","PDT","Cost: No fee",,,,"Register Online (https://clients.oregonsbdc.org/reg.aspx?mode=event&event=50410037)",,,,,
"SCORE Vancouver ","SCORE Vancouver  - What's the Right Business Entity for You?","Taxes are simply a part of doing business, but business structures and tax structures aren’t always the same. This seminar will cover the combinations available and how they can save you tax dollars.     Learn the Pros and Cons of the primary business entities: Sole Proprietorship, Partnership, Limited Liability Company, C Corporation and S Corporation. and which best fits your current business plan and your long-term needs.","2021-09-18T10:00:00.000","2021-09-18T11:00:00.000","PDT","Cost: No fee",,,,"Register Online (https://score.tfaforms.net/17?EventID=a105a000005qJ9E&origination=https%3A//vancouver.score.org/event/whats-right-business-entity-you%3Futm_medium%3Demail%26utm_source%3Dgovdelivery&originating_companyid=0566&_gl=1*1jdq75o*_ga*ODY5NzkwMDE0LjE2Mjk5OTE3MTg.*_ga_JDKRHEG2B3*MTYzMTI5MDA3Ny4yLjAuMTYzMTI5MDA3Ny4w&_ga=2.24473532.708766841.1631290078-869790014.1629991718)",,,,,
"Mercy Corps Northwest","Mercy Corps Northwest - Funding Friday","Access to capital is vital for all small businesses and it provides a unique challenge during COVID‑19. The funding landscape is constantly changing. This short weekly webinar series will:  Provide details about new funding opportunities Update you on modifications to existing sources of funding Identify sources of funding that are not yet finalized, but will be available in the near future","2021-09-17T13:30:00.000","2021-09-17T14:00:00.000","PDT","Cost: No fee",,,,"Register for this event (https://nw.mercycorps.org/events/funding-friday-091721?utm_medium=email&utm_source=govdelivery)",,,,,
"Chemeketa Community College SBDC","Chemeketa Community College SBDC - Ready, Set, Start Your Business","Are you ready to start your business? Not sure if you have everything in order or you don’t know what you don’t know?  Begin your business the right way. Come and learn about:  * business structure * business registration * licensing * taxes * miscellaneous rules and regulations  The information presented can help you eliminate mistakes before they happen. This fast-paced class is the perfect first step!","2021-09-17T12:00:00.000","2021-09-17T13:30:00.000","PDT","Cost: No fee",,,,"Register Online (https://clients.oregonsbdc.org/reg.aspx?mode=event&event=30410075)",,,,,
"Chemeketa Community College SBDC","Chemeketa Community College SBDC - Build Your Biz Online","Discover how to smoothly start setting up a professional-looking website for your business. I will provide and explain step-by-step instructions on how to pick the best marketing plan specific to your budget.  Would you like to start selling online? Not sure how or where to start building an online presence?","2021-09-16T11:30:00.000","2021-09-16T13:00:00.000","PDT","Cost: No fee",,,,"Register Online (https://clients.oregonsbdc.org/reg.aspx?mode=event&event=30410071)",,,,,
"OAME","OAME CADE, COFFEE & ISSUES in Lane County ","CADE-Contracting Alliance for Diversity & Equity -  Small business owners network  together with experts and leaders in business,  government and other areas. Each month guest  speakers give updates on issues related to the  MWESB community or tips to entrepreneurs. ","2021-09-16T07:30:00.000","2021-09-16T09:00:00.000","PDT","Cost: Free",,,,"Join ZOOM meeting. Information here (https://oame.org/wp-content/uploads/CI-Lane-County_-Sept.-16-2021-1.pdf)",,,,,
"Reinventing Rural and the Northeast Oregon Economic Development District","Co.Starters, Reinventing Rural and the Northeast Oregon Economic Development District","CORE Harney starts Sept 15th - Hybrid Delivery-CO.STARTERS 10-Week CORE Program Equips Aspiring Entrepreneurs With the Insights, Relationships, and Tools to Turn Ideas into Action  ","2021-09-15T17:30:00.000","2021-11-24T20:30:00.000","PDT","Through the generous support of sponsors there is no charge for this 10-week program ($750 value).",,,,"Register Online (https://airtable.com/shrGMYPMYaCSPojy0)",,,,,
"SCORE Portland","SCORE Portland Virtual Workshop: Government Contracting 101 ","Have you ever considered government contracting by pitching your products and solutions to the world’s biggest consumer—the U.S. government? Are you curious about how the process works? ","2021-09-15T17:30:00.000","2021-09-15T18:30:00.000","PDT","Cost: No fee",,,,"Event Registration (https://host5.evanced.info/deschutes/evanced/eventsignup.asp?ID=62555&utm_medium=email&utm_source=govdelivery)",,,,,
"Columbia Gorge Community College SBDC","Columbia Gorge Community College SBDC - Small Business Legal Clinic, Intellectual Property and Trademarking-","The Small Business Legal Clinic will provide an overview of intellectual property (IP) and explain how things like trademarks can be an important part of your business. Join us for a virtual presentation and conversation on September 15th from 5-7pm. A zoom link will be provided after registration","2021-09-15T17:00:00.000","2021-09-15T19:00:00.000","PDT","Cost: No fee",,,,"Register Online (https://clients.oregonsbdc.org/reg.aspx?mode=event&event=140410132)",,,,,
"Secretary of State","Basics Notary Webinar","Free training to become a notary","2021-09-15T09:00:00.000","2021-09-15T12:00:00.000",,"Brush up your notary knowledge and get the answers to your questions by attending a webinar for current and future notaries public. This webinar is a comprehensive and thorough examination of notary basics: purpose, responsibilities and liabilities of a notary; how to notarize; notary certificates and the notary journal. ","Monique Bourque","971-701-5075","monique.bourque@oregon.gov","Notary seminar schedule (https://notsem.sos.state.or.us/)",,,"Salem",,
"Mercy Corps Northwest","Mercy Corps Northwest - IDA Information Session","For nearly 20 years, Mercy Corps Northwest has offered Individual Development Accounts (IDAs) to assist Oregonians in saving money to start or grow a small business by enrolling them in a grant program.  The program requires grantees to save $1,000 over a period of 13 months to 24 months and one day. The $1,000 in savings is then matched with $5,000 in grant money provided by MCNW for a combined total of $6,000 for their business. Participants will also be pre-approved for a $1,000 credit-building loan.","2021-09-14T18:00:00.000","2021-09-14T19:00:00.000","PDT","Cost: No fee",,,,"Register Online (https://nw.mercycorps.org/events/ida-orientation-091421?utm_medium=email&utm_source=govdelivery)",,,,,
"Hispanic Metropolitan Chamber ","Hispanic Metropolitan Chamber  - 27th Hispanic Heritage Celebration","Join us for the 27th Hispanic Heritage Celebration, September 14, 2021 at 6:00 PM. Register soon because space is limited. We hope you’re able to join us!","2021-09-14T18:00:00.000","2021-09-14T19:00:00.000","PDT","Cost: No Fee",,,,"Register Online (https://www.eventbrite.com/e/27th-hispanic-heritage-celebration-tickets-164206172081?aff=odeccpebemailcampaigns&utm_source=eventbrite&utm_medium=ebcampaigns&utm_campaign=1631759&utm_term=ctabutton&mipa=ABIdvVumUnVAAPWq0Xv4ecKEHMiy10ODMB1u_OsJZyg1fWAL-qXfpxBx7-MtAvGj51QQHjRSBUQfuBw9tk3CaOtcsz05s1fD_q5cwBCs-SOeC6sqGNpUDEXMZbPBYkt94iRYa-b7IrgMhElcxO97olGnv40mRRN38b9f4DOp8fz-oj8sTqyhf0-Abg3kTmuqPoRc-6rw4c3SNx09pe6Ksa8nLygzvwIVsh3pTdAPHiERUpM6-J4Fc4aWapFZ08ncgtSO0l-W1OV2FQt8N0ST502DIeK0GrIqzQ#tickets)",,,,,
"Klamath Community College SBDC","Klamath Community College SBDC - QuickBooks Online","3 sessions ending Tue, Sep 28 - Do you need to access your QuickBooks accounts when you are out of the office? QuickBooks Online is your answer. Do your own bookkeeping online and make it manageable and efficient. Learn to set up your system, invoice your customers and receive payments from them, enter and pay bills, manage your banking, run financial reports, and more.","2021-09-14T18:00:00.000","2021-09-14T20:00:00.000","PDT","Cost: $99 for all 3 sessions",,,,"Register and Pay Online (https://clients.oregonsbdc.org/reg.aspx?mode=event&event=170410078)",,,,,
