"agency","report_name","report_number","month","year","contract_audit","url","type","supp_doc_name1","supp_doc_num1","support_doc_url1","supp_doc_name2","supp_doc_num2","support_doc_url2","supp_doc_name3","supp_doc_num3","support_doc_url3","supp_doc_name4","supp_doc_num4","support_doc_url4","supp_doc_name5","supp_doc_num5","support_doc_url5","supp_doc_name6","supp_doc_num6","support_doc_url6","supp_doc_name7","supp_doc_num7","support_doc_url7","day"
"Beef Council, Oregon","For the Year Ended June 30, 2003","2003-37","10","2003","false","4677353",,,,,,,,,,,,,,,,,,,,,,,"16"
"Columbia River Gorge Commission","July 1, 2001, to June 30, 2002","2003-07","3","2003","false","4669840",,,,,,,,,,,,,,,,,,,,,,,"20"
"Consumer and Business Services, Department of","Change of Director Review",,"5","2003","false",,,"Management Letter","440-2003-05-01","6900160",,,,,,,,,,,,,,,,,,,"1"
"Dispute Resolution Commission, Oregon","Change of Director Review",,"2","2003","false",,,"Management Letter","173-2003-02-01","6900159",,,,,,,,,,,,,,,,,,,"6"
"Economic and Community Development Department, Oregon","Tourism Commission and Oregon Economic and Community Development Department: Loss of Funds","2003-23","7","2003","false","4677062",,,,,,,,,,,,,,,,,,,,,,,"2"
"Economic and Community Development Department, Oregon","Special Public Works Fund For the Fiscal Year Ended June 30, 2002","2003-15","4","2003","false","4677034",,,,,,,,,,,,,,,,,,,,,,,"21"
"Economic and Community Development Department, Oregon","Water Fund For the Fiscal Year Ended June 30, 2002","2003-18","5","2003","false","4677037",,,,,,,,,,,,,,,,,,,,,,,"24"
"Economic and Community Development Department, Oregon","Change of Director Review",,"4","2003","false",,,"Management Letter","123-2003-04-01","6897668",,,,,,,,,,,,,,,,,,,"8"
"Economic and Community Development Department, Oregon","Special Public Works Fund and Water Fund",,"5","2003","false",,,"Management Letter","123-2003-05-01","6897667",,,,,,,,,,,,,,,,,,,"5"
"Education, Oregon Department of","Trust Fund Review","2003-01","1","2003","false","4669834",,"Management Letter","581-2002-11-01","6897510",,,,,,,,,,,,,,,,,,,"22"
"Education, Oregon Department of","Contracting Practices","2003-17","5","2003","false","4677036",,"Management Letter","581-2003-04-01","6888643",,,,,,,,,,,,,,,,,,,"23"
"Education, Oregon Department of","Risk Assessment",,"11","2003","false",,,"Management Letter","581-2003-11-01","6888642",,,,,,,,,,,,,,,,,,,"4"
"Education, Oregon Department of","Change of Director Review",,"4","2003","false",,,"Management Letter","581-2003-04-02","6900161",,,,,,,,,,,,,,,,,,,"29"
"Employment, Oregon Department of","Review of Oregon Benefit Information System Controls","2003-12","3","2003","false","4676945",,,,,,,,,,,,,,,,,,,,,,,"18"
"Employment, Oregon Department of","Unemployment Insurance","2003-25","7","2003","false","4677064",,,,,,,,,,,,,,,,,,,,,,,"4"
"Energy, Oregon Department of","Change of Director Review",,"6","2003","false",,,"Management Letter","330-2003-06-01","6897664",,,,,,,,,,,,,,,,,,,"6"
"Energy, Oregon Department of","Small Scale Energy Loan Program For the Fiscal Years Ended June 30, 2002 and 2001","2003-19","6","2003","false","4677038",,,,,,,,,,,,,,,,,,,,,,,"25"
"Fish and Wildlife, Department of","Hatchery Cost Effectiveness--State Fiscal Years 1994-1997","2002-39","9","2003","false","4673953",,,,,,,,,,,,,,,,,,,,,,,"13"
"Forestry, Department of","Capital and Non-Capital Assets","2003-28","8","2003","false","4677087",,"Management Letter","629-2003-07-01",,,,,,,,,,,,,,,,,,,,"7"
"Forestry, Department of","Review of Selected Fire Suppression Aircraft Expenditures","2003-38","11","2003","false","4677380",,,,,,,,,,,,,,,,,,,,,,,"17"
"Government Accountability Hotline","Informational Report on the Secretary of State's Government Waste Hotline: 1995-2002","2003-05","2","2003","false","4669838",,,,,,,,,,,,,,,,,,,,,,,"18"
"Hispanic Affairs, Commission on","Change of Director Review",,"2","2003","false",,,"Management Letter","118-2003-02-01","6897671",,,,,,,,,,,,,,,,,,,"6"
"Housing and Community Services Department","Comprehensive Annual Financial Report Enterprise Funds For the Year Ended June 30, 2003","2003-40","11","2003","false","4677382",,,,,,,,,,,,,,,,,,,,,,,"19"
"Human Services, Department of","Temporary Assistance for Needy Families Eligibility Review","2003-16","4","2003","false","4677035",,,,,,,,,,,,,,,,,,,,,,,"22"
"Human Services, Department of","Mental Health and Addiction Services Program: Capital and Non-Capital Assets","2003-34","9","2003","false","4677330",,"Management Letter","309-2003-08-01","6897665",,,,,,,,,,,,,,,,,,,"13"
"Human Services, Department of","Change of Director Review",,"4","2003","false",,,"Management Letter","410-2003-04-01","6897662",,,,,,,,,,,,,,,,,,,"2"
"Human Services, Department of","Seniors and People with Disabilities: Oregon Area Agencies on Aging (AAAs) Risk Assessment",,"4","2003","false",,,"Management Letter","410-2003-04-02","6897661",,,,,,,,,,,,,,,,,,,"21"
"Human Services, Department of","Seniors and People with Disabilities Oregon Area Agencies on Aging",,"8","2003","false",,,"Management Letter","410-2003-08-01","6897660",,,,,,,,,,,,,,,,,,,"4"
"Justice, Oregon Department of","Cash Controls Review","2003-33","9","2003","false","4677201",,,,,,,,,,,,,,,,,,,,,,,"12"
"Labor and Industries, Bureau of","Change of Director Review",,"5","2003","false",,,"Management Letter","839-2003-05-01","6888636",,,,,,,,,,,,,,,,,,,"14"
"Land Conservation and Development, Department of","Change of Director Audit","2003-27","8","2003","false","4677086",,"Management Letter","660-2003-07-01","6888638",,,,,,,,,,,,,,,,,,,"6"
"Legislative Audit Committee","State Auditor's Report: 2001-2003 Biennium","2003-24","7","2003","false","4677063",,,,,,,,,,,,,,,,,,,,,,,"3"
"Liquor Control Commission, Oregon","Change of Director Review",,"4","2003","false",,,"Management Letter","845-2003-04-01","6888635",,,,,,,,,,,,,,,,,,,"3"
"Lottery Commission, Oregon State","July 1, 2001, to June 30, 2002","2003-08","3","2003","false","4669841",,,,,,,,,,,,,,,,,,,,,,,"21"
"Lottery Commission, Oregon State","Administrative Expense Audit Follow-up","2003-36","9","2003","false","4677352",,,,,,,,,,,,,,,,,,,,,,,"15"
"Lottery Commission, Oregon State","Change of Director Review",,"4","2003","false",,,"Management Letter","177-2003-04-01","6897666",,,,,,,,,,,,,,,,,,,"11"
"Multi-Agency","Federal Compliance Report and Internal Control Report: For the Year Ended June 30, 2002","2003-06","2","2003","false","4669839",,,,,,,,,,,,,,,,,,,,,,,"19"
"Parks and Recreation Department, Oregon","Capital and Non-Capital Assets","2003-26","7","2003","false","4677085",,,,,,,,,,,,,,,,,,,,,,,"5"
"Physical Therapist Licensing Board","Change of Director Audit","2003-21","6","2003","false","4677060",,,,,,,,,,,,,,,,,,,,,,,"27"
"Psychologist Examiners, State Board of","Change of Director Review",,"3","2003","false",,,"Management Letter","122-2003-03-01","6897669",,,,,,,,,,,,,,,,,,,"20"
"Public Defense Services, Office of","Change of Director Review",,"3","2003","false",,,"Management Letter","404-2003-03-01","6897663",,,,,,,,,,,,,,,,,,,"20"
"Public Employees Retirement System","Comprehensive Annual Financial Report For the Fiscal Year Ended June 30, 2002","2003-02","1","2003","false","4669835",,,,,,,,,,,,,,,,,,,,,,,"23"
"Public Utility Commission, Oregon","Risk Assessment of Controls Over Cash",,"7","2003","false",,,"Management Letter","860-2003-07-01","6888634",,,,,,,,,,,,,,,,,,,"17"
"Revenue, Department of","Seasonal vs. Temporary Employees","2003-11","3","2003","false","4676944",,,,,,,,,,,,,,,,,,,,,,,"17"
"Revenue, Department of","Corporation Automatic Tax-Application Controls Review","2003-14","4","2003","false","4677033",,,,,,,,,,,,,,,,,,,,,,,"20"
"SAIF Corporation","Statutory Basis Financial Statements For the Years Ended Dec. 31, 2002 and 2001","2003-31","8","2003","false","4677090","Financial Audit",,,,,,,,,,,,,,,,,,,,,,"10"
"SAIF Corporation","Financial Statements as of and for the Year ended December 31, 2002, and Independent Auditors' Report","2003-32","8","2003","false","4677122","Financial Audit",,,,,,,,,,,,,,,,,,,,,,"11"
"Student Assistance Commission","Fund Financial Statements For the Year Ended June 30, 2002","2003-04","3","2003","false","4669837",,,,,,,,,,,,,,,,,,,,,,,"25"
"Tax Practitioners, Oregon State Board of","Change of Director Review",,"2","2003","false",,,"Management Letter","119-2003-02-01","6897670",,,,,,,,,,,,,,,,,,,"6"
"Teacher Standards and Practices Commission","Change of Director Review",,"2","2003","false",,,"Management Letter","584-2003-02-01","6888641",,,,,,,,,,,,,,,,,,,"6"
"Tourism Commission, Oregon","Tourism Commission and Oregon Economic and Community Development Department: Loss of Funds","2003-23","7","2003","false","4677062",,,,,,,,,,,,,,,,,,,,,,,"2"
"Transportation, Oregon Department of","Oregon Transportation Infrastructure Bank For the Years Ended June 30, 2002 and 2001","2003-13","3","2003","false","4677032",,"Management Letter","730-2003-03-02","6888637",,,,,,,,,,,,,,,,,,,"19"
"Treasurer, Office of the State","Oregon Short-Term Fund: An Investment Pool of the State of Oregon For the Years Ended June 30, 2003 and 2002","2003-35","9","2003","false","4677350",,,,,,,,,,,,,,,,,,,,,,,"14"
"University System, Oregon","Annual Financial Statements Year Ended June 30, 2002","2003-10","3","2003","false","4676943",,,,,,,,,,,,,,,,,,,,,,,"23"
"University System, Oregon","Annual Financial Statements Year Ended June 30, 2003","2003-43","10","2003","false","4677404",,,,,,,,,,,,,,,,,,,,,,,"21"
"Veterans' Affairs, Department of","Annual Financial Report Enterprise Funds For the Fiscal Year Ended June 30, 2002","2003-03","1","2003","false","4669836",,,,,,,,,,,,,,,,,,,,,,,"24"
"Veterans' Affairs, Department of","Annual Financial Report Enterprise Funds For the Fiscal Years Ended June 30, 2003 and June 30, 2002","2003-41","12","2003","false","4677403",,,,,,,,,,,,,,,,,,,,,,,"20"
"Administrative Services, Department of","Oregon State Hospital and the Oregon State Penitentiary: Use of Overtime","2004-04","2","2004","false","4669609",,,,,,,,,,,,,,,,,,,,,,,"9"
"Administrative Services, Department of","Statewide Financial Management Application -- Data Integrity Audit","2004-23","7","2004","false","4669717",,,,,,,,,,,,,,,,,,,,,,,"5"
"Administrative Services, Department of","Debt Collections: Progress Made But Opportunities for Improvement Still Exist","2004-24","8","2004","false","4669718",,,,,,,,,,,,,,,,,,,,,,,"16"
"Administrative Services, Department of","Sick Leave Management","2004-30","10","2004","false","4669727",,,,,,,,,,,,,,,,,,,,,,,"22"
"Administrative Services, Department of","Data Center General Controls Review Follow Up","2004-33","11","2004","false","4669732",,,,,,,,,,,,,,,,,,,,,,,"25"
"Architect Examiners, State Board of","For the Three Years Ended June 30, 2003","2004-12","3","2004","false","4669703",,,,,,,,,,,,,,,,,,,,,,,"19"
"Beef Council, Oregon","For the Year Ended June 30, 2004","2004-29","10","2004","false","4669726",,,,,,,,,,,,,,,,,,,,,,,"21"
"Columbia River Gorge Commission","July 1, 2002 Through June 30, 2003","2004-21","6","2004","false","4669715",,,,,,,,,,,,,,,,,,,,,,,"3"
"Community Colleges and Workforce Development, Department of","Statewide Single Audit Including Selected Federal Awards for the Year Ended June 30, 2003",,"1","2004","false",,"Financial Audit","Management Letter","586-2004-01-01","6900164",,,,,,,,,,,,,,,,,,,"21"
"Consumer and Business Services, Department of","Debt Collections: Progress Made But Opportunities for Improvement Still Exist","2004-24","8","2004","false","4669718",,,,,,,,,,,,,,,,,,,,,,,"16"
"Consumer and Business Services, Department of","Statewide Single Audit Including Selected Financial Accounts for the Year Ended June 30, 2004",,"12","2004","false",,"Financial Audit","Management Letter","440-2004-12-01","6897497",,,,,,,,,,,,,,,,,,,"28"
"Consumer and Business Services, Department of","Risk Assessment",,"8","2004","false",,,"Management Letter","440-2004-08-01","6897496",,,,,,,,,,,,,,,,,,,"13"
"Consumer and Business Services, Department of","Statewide Single Audit Including Selected Financial Accounts for the Year Ended June 30, 2003",,"1","2004","false",,"Financial Audit","Management Letter","440-2004-01-01","6897495",,,,,,,,,,,,,,,,,,,"12"
"Corrections, Department of","Oregon State Hospital and the Oregon State Penitentiary: Use of Overtime","2004-04","2","2004","false","4669609",,,,,,,,,,,,,,,,,,,,,,,"9"
"Corrections, Department of","Trust Fund Audit","2004-31","10","2004","false","4669728",,,,,,,,,,,,,,,,,,,,,,,"23"
"Corrections, Department of","Change of Director Reviews for Interim Directors",,"8","2004","false",,,"Management Letter","291-2004-08-01","6900163",,,,,,,,,,,,,,,,,,,"17"
"Economic and Community Development Department, Oregon","Special Public Works Fund And Water Fund For the Fiscal Year Ended June 30, 2003","2004-17","4","2004","false","4669708",,,,,,,,,,,,,,,,,,,,,,,"24"
"Economic and Community Development Department, Oregon","Statewide Single Audit Including Selected Federal Awards at Department of Human Services and Oregon Economic and Community Development Department for the Year Ended June 30, 2003",,"1","2004","false",,,"Management Letter","123-2004-01-01","6896865",,,,,,,,,,,,,,,,,,,"16"
"Education, Oregon Department of","Analysis of Spending for K-12 Support Services","2004-19","5","2004","false","4669710",,"Management Letter","581-2004-05-01","6897503",,,,,,,,,,,,,,,,,,,"26"
"Education, Oregon Department of","Use State School Fund to Provide Transition Services to Youth Outside Correctional and Detention Facilities",,"11","2004","false",,,"Management Letter","581-2004-11-01","6897504",,,,,,,,,,,,,,,,,,,"22"
"Employment, Oregon Department of","Debt Collections: Progress Made But Opportunities for Improvement Still Exist","2004-24","8","2004","false","4669718",,"Management Letter","471-2004-05-02","6897501",,,,,,,,,,,,,,,,,,,"16"
"Energy, Oregon Department of","Small Scale Energy Loan Program For the Fiscal Years Ended June 30, 2003 and 2002","2004-10","3","2004","false","4669701",,,,,,,,,,,,,,,,,,,,,,,"17"
"Engineering and Land Surveying, State Board of","For the Three Years Ended June 30, 2003","2004-11","3","2004","false","4669702",,,,,,,,,,,,,,,,,,,,,,,"18"
"Environmental Quality, Department of","Debt Collections: Progress Made But Opportunities for Improvement Still Exist","2004-24","8","2004","false","4669718",,,,,,,,,,,,,,,,,,,,,,,"16"
"Environmental Quality, Department of","Statewide Single Audit Including Selected Financial Accounts for the Year Ended June 30, 2003",,"1","2004","false",,"Financial Audit","Management Letter","340-2004-01-01","6897467",,,,,,,,,,,,,,,,,,,"21"
"Fish and Wildlife, Department of","Audit of Capital and Non-Capital Assets","2004-26","9","2004","false","4669723",,,,,,,,,,,,,,,,,,,,,,,"18"
"Fish and Wildlife, Department of","Statewide Single Audit Including Selected Financial Accounts for the Year Ended June 30, 2003",,"1","2004","false",,"Financial Audit","Management Letter","635-2004-01-01","6897506",,,,,,,,,,,,,,,,,,,"21"
"Geologist Examiners, State Board of","For the Three Years Ended June 30, 2003","2004-06","2","2004","false","4669611",,"Management Letter","923-2003-10-01","6888632",,,,,,,,,,,,,,,,,,,"13"
"Geology and Mineral Industries, Department of","Change of Director Review",,"3","2004","false",,,"Management Letter","632-2004-03-01","6897505",,,,,,,,,,,,,,,,,,,"24"
"Government Accountability Hotline","Informational Report on the Secretary of State's Government Waste Hotline: 1995-2003","2004-16","4","2004","false","4669707",,,,,,,,,,,,,,,,,,,,,,,"23"
"Hispanic Affairs, Commission on","Change of Director Audit","2002-04","1","2004","false","4673714",,,,,,,,,,,,,,,,,,,,,,,"5"
"Housing and Community Services Department","Comprehensive Annual Financial Report Enterprise Funds For the Year Ended June 30, 2004","2004-34","11","2004","false","4669733",,"Management Letter","914-2004-11-01","6897508",,,,,,,,,,,,,,,,,,,"26"
"Human Services, Department of","Oregon State Hospital and the Oregon State Penitentiary: Use of Overtime","2004-04","2","2004","false","4669609",,,,,,,,,,,,,,,,,,,,,,,"9"
"Human Services, Department of","Statewide Single Audit Including Selected Financial Accounts and Federal Awards for the Year Ended June 30, 2003",,"2","2004","false",,"Financial Audit","Management Letter","410-2004-02-01","6897473",,,,,,,,,,,,,,,,,,,"2"
"Human Services, Department of","Change of Director Review",,"5","2004","false",,,"Management Letter","410-2004-05-01","6897474",,,,,,,,,,,,,,,,,,,"19"
"Judicial Department, Oregon","Debt Collections: Progress Made But Opportunities for Improvement Still Exist","2004-24","8","2004","false","4669718",,,,,,,,,,,,,,,,,,,,,,,"16"
"Landscape Architect Board","For the Three Years Ended June 30, 2003","2004-13","4","2004","false","4669704",,"Management Letter","922-2003-12-01","6888633",,,,,,,,,,,,,,,,,,,"20"
"Lands, Department of State","Oregon State Land Board Rangeland Revenue: for the Common School Fund Fiscal Years 1998 to 2002","2004-09","3","2004","false","4669700",,,,,,,,,,,,,,,,,,,,,,,"16"
"Lottery Commission, Oregon State","SAS No. 94 Review of Internal Controls for the Year Ending June 30, 2004",,"8","2004","false",,,"Management Letter","177-2004-08-01","6896868",,,,,,,,,,,,,,,,,,,"16"
"Lottery Commission, Oregon State","Change of Director Review",,"12","2004","false",,,"Management Letter","177-2004-12-01","6896869",,,,,,,,,,,,,,,,,,,"20"
"Lottery Commission, Oregon State","Video Lottery Compensation in the United States and Canada","2004-02","1","2004","false","4669601",,,,,,,,,,,,,,,,,,,,,,,"29"
"Lottery Commission, Oregon State","For the Year Ended June 30, 2003","2004-03","2","2004","false","4669608",,,,,,,,,,,,,,,,,,,,,,,"6"
"Massage Therapists, State Board of","For the Three Years Ended June 30, 2003","2004-14","4","2004","false","4669705",,"Management Letter","968-2003-11-01","6888631",,,,,,,,,,,,,,,,,,,"21"
"Massage Therapists, State Board of","Change of Director Review",,"11","2004","false",,,"Management Letter","968-2004-11-01","6897509",,,,,,,,,,,,,,,,,,,"15"
"Multi-Agency","Federal Compliance Report and Internal Control Report: For the Year Ended June 30, 2003","2004-08","2","2004","false","4669699",,,,,,,,,,,,,,,,,,,,,,,"15"
"Optometry, Oregon Board of","For the Three Years Ended June 30, 2003","2004-05","2","2004","false","4669610",,,,,,,,,,,,,,,,,,,,,,,"12"
"Physical Therapist Licensing Board","For the Three Years Ended June 30, 2003","2004-15","4","2004","false","4669706",,"Management Letter","969-2003-11-01","6888630",,,,,,,,,,,,,,,,,,,"22"
"Police, Department of Oregon","Statewide Single Audit Including Selected Financial Accounts for the Year Ended June 30, 2003",,"1","2004","false",,"Financial Audit","Management Letter","257-2004-01-01","6896886",,,,,,,,,,,,,,,,,,,"21"
"Public Employees Retirement System","Change of Director Review",,"5","2004","false",,,"Management Letter","459-2004-05-01","6897499",,,,,,,,,,,,,,,,,,,"11"
"Public Employees Retirement System","Comprehensive Annual Financial Report For the Fiscal Year Ended June 30, 2004","2004-36","12","2004","false","4669787",,"Management Letter","459-2005-01-01","1110937",,,,,,,,,,,,,,,,,,,"28"
"Public Employees Retirement System","Comprehensive Annual Financial Report For the Fiscal Year Ended June 30, 2003",,"1","2004","false",,,"Management Letter","459-2004-01-01","6897498",,,,,,,,,,,,,,,,,,,"22"
"Public Employees Retirement System","Change of Director Review",,"8","2004","false",,,"Management Letter","459-2004-08-01","6897500",,,,,,,,,,,,,,,,,,,"4"
"Public Safety Standards and Training, Department of","Change of Director Review",,"3","2004","false",,,"Management Letter","259-2004-03-01","6896900",,,,,,,,,,,,,,,,,,,"9"
"Revenue, Department of","Tobacco Compliance Unit","2004-01","1","2004","false","4669517",,,,,,,,,,,,,,,,,,,,,,,"23"
"Revenue, Department of","Debt Collections: Progress Made But Opportunities for Improvement Still Exist","2004-24","8","2004","false","4669718",,,,,,,,,,,,,,,,,,,,,,,"16"
"Revenue, Department of","Statewide Single Audit Including Selected Financial Accounts for the Year Ended June 30, 2003",,"1","2004","false",,"Financial Audit","Management Letter","150-2004-01-01","6896866",,,,,,,,,,,,,,,,,,,"12"
"SAIF Corporation","Financial Statements - Statutory Basis and Supplemental Schedules (as Restated) as of and for the Years Ended December 31, 2003 and 2002, and Independent Auditors' Report","2004-27","9","2004","false","4669724","Financial Audit",,,,,,,,,,,,,,,,,,,,,,"19"
"SAIF Corporation","Financial Statements (as restated) as of and for the Year Ended December 31, 2003, and Independent Auditors' Report","2004-28","9","2004","false","4669725","Financial Audit",,,,,,,,,,,,,,,,,,,,,,"20"
"Student Assistance Commission","Federal Family Education Loan Program For the Year Ended June 30, 2003","2004-07","2","2004","false","4669612",,,,,,,,,,,,,,,,,,,,,,,"14"
"Transportation, Oregon Department of","TEAMS Applications Control Review","2004-20","5","2004","false","4669714",,,,,,,,,,,,,,,,,,,,,,,"27"
"Transportation, Oregon Department of","Transportation Infrastructure Bank For the Fiscal Year Ended June 30, 2003","2004-22","6","2004","false","4669716",,,,,,,,,,,,,,,,,,,,,,,"4"
"Transportation, Oregon Department of","Debt Collections: Progress Made But Opportunities for Improvement Still Exist","2004-24","8","2004","false","4669718",,,,,,,,,,,,,,,,,,,,,,,"16"
"Treasurer, Office of the State","Oregon Short-Term Fund: An Investment Pool of the State of Oregon For the Years Ended June 30, 2004 and 2003","2004-25","8","2004","false","4669722",,,,,,,,,,,,,,,,,,,,,,,"17"
"University System, Oregon","Application Controls Review of Oregon State University Banner Student Information System","2004-18","4","2004","false","4669709",,,,,,,,,,,,,,,,,,,,,,,"25"
"University System, Oregon","Review of Payroll Increases","2004-32","11","2004","false","4669731",,,,,,,,,,,,,,,,,,,,,,,"24"
"Veterans' Affairs, Department of","Annual Financial Report Enterprise Funds For the Fiscal Years Ended June 30, 2004 and June 30, 2003","2004-35","11","2004","false","4669760",,,,,,,,,,,,,,,,,,,,,,,"27"
"Veterans' Affairs, Department of","Change of Director Review",,"1","2004","false",,,"Management Letter","274-2004-01-01","6896941",,,,,,,,,,,,,,,,,,,"15"
"Administrative Services, Department of","State Agency use of Metered Equipment","2005-18","7","2005","false","1110227",,,,,,,,,,,,,,,,,,,,,,,"11"
"Administrative Services, Department of","Statewide Single Audit Including Selected Financial Accounts and Federal Awards Year Ended June 30, 2004",,"2","2005","false",,,"Management Letter","107-2005-02-01","1110908",,,,,,,,,,,,,,,,,,,"8"
"Administrative Services, Department of","Small Purchase Order Transaction System (SPOTS) Transactions Review",,"8","2005","false",,,"Management Letter","107-2005-08-01","1110909",,,,,,,,,,,,,,,,,,,"11"
"Agriculture, Department of","Compliance Audit of Measure 66 for 2001-03 Biennium","2005-17","5","2005","false","1110226",,"Management Letter","603-2005-05-01","1110947",,,,,,,,,,,,,,,,,,,"31"
"Appraiser Certification and Licensure Board","For The Period August 21, 2001 Through June 30, 2003","2005-05","1","2005","false","1110214",,"Management Letter","161-2004-10-01","6896867",,,,,,,,,,,,,,,,,,,"16"
"Aviation, Oregon Department of","Change of Director Reviews",,"5","2005","false",,,"Management Letter","109-2005-05-01","1110910",,,,,,,,,,,,,,,,,,,"16"
"Beef Council, Oregon","For the Year Ended June 30, 2005","2005-26","10","2005","false","1110235",,,,,,,,,,,,,,,,,,,,,,,"19"
"Blind, Oregon Commission for the","Review of Calendar Year 2004 SPOTS Purchases",,"11","2005","false",,,"Management Letter","585-2005-11-01","1110945",,,,,,,,,,,,,,,,,,,"1"
"Children and Families, Oregon Commission on","Cash Disbursements Audit",,"5","2005","false",,,"Management Letter","423-2005-05-01","1110935",,,,,,,,,,,,,,,,,,,"18"
"Children and Families, Oregon Commission on","Change of Director Review",,"4","2005","false",,,"Management Letter","423-2005-04-01","1110934",,,,,,,,,,,,,,,,,,,"7"
"Columbia River Gorge Commission","July 1, 2003 to June 30, 2004","2005-13","4","2005","false","1110222",,,,,,,,,,,,,,,,,,,,,,,"7"
"Community Colleges and Workforce Development, Department of","Review of Calendar Year 2004 SPOTS Purchases",,"11","2005","false",,,"Management Letter","586-2005-11-01","1110946",,,,,,,,,,,,,,,,,,,"1"
"Corrections, Department of","AFAMIS Application Controls Review","2005-04","1","2005","false","1110213",,,,,,,,,,,,,,,,,,,,,,,"15"
"Corrections, Department of","State Agency use of Metered Equipment","2005-18","7","2005","false","1110227",,,,,,,,,,,,,,,,,,,,,,,"11"
"Corrections, Department of","Statewide Single Audit Selected Financial Accounts for the Year Ended June 30, 2005",,"12","2005","false",,,"Management Letter","291-2005-12-01","1110926",,,,,,,,,,,,,,,,,,,"22"
"Corrections, Department of","Risk Assessment of Contracting Practices",,"4","2005","false",,,"Management Letter","291-2005-04-01","1110925",,,,,,,,,,,,,,,,,,,"25"
"Corrections, Department of","Statewide Single Audit Including Selected Federal Awards for the Year Ended June 30, 2004",,"2","2005","false",,,"Management Letter","291-2005-02-01","1110924",,,,,,,,,,,,,,,,,,,"4"
"Corrections, Department of","Statewide Single Audit Including Selected Financial Accounts for the Year Ended June 30, 2004",,"1","2005","false",,,"Management Letter","291-2005-01-01","1110923",,,,,,,,,,,,,,,,,,,"31"
"Corrections, Department of","Statewide Single Audit Including Selected Financial Accounts for the Year Ended June 30, 2003",,"1","2005","false",,"Financial Audit","Management Letter","291-2004-01-01","6900162",,,,,,,,,,,,,,,,,,,"31"
"Economic and Community Development Department, Oregon","Special Public Works Fund and Water Fund For the Fiscal Year Ended June 30, 2004","2005-14","4","2005","false","1110223",,"Management Letter","123-2005-04-01","1110912",,,,,,,,,,,,,,,,,,,"8"
"Education, Oregon Department of","K-12 Cost Survey and Spending Audits Follow Up","2005-23","9","2005","false","1110232",,,,,,,,,,,,,,,,,,,,,,,"16"
"Education, Oregon Department of","Statewide Single Audit Including Selected Financial Accounts and Federal Awards Year Ended June 30, 2004",,"2","2005","false",,,"Management Letter","581-2005-02-01","1110944",,,,,,,,,,,,,,,,,,,"3"
"Employment, Oregon Department of","Statewide Single Audit Including Selected Financial Accounts and Federal Awards Year Ended June 30, 2004",,"1","2005","false",,,"Management Letter","471-2005-01-01","1110938",,,,,,,,,,,,,,,,,,,"14"
"Energy, Oregon Department of","Small Scale Energy Loan Program For the Fiscal Years Ended June 30, 2004 and 2003","2005-09","3","2005","false","1110218",,,,,,,,,,,,,,,,,,,,,,,"20"
"Environmental Quality, Department of","Compliance Audit of Measure 66 for 2001-03 Biennium","2005-17","5","2005","false","1110226",,"Management Letter","340-2005-05-01","1110928",,,,,,,,,,,,,,,,,,,"31"
"Environmental Quality, Department of","Compliance Audit of Measure 66: For 2001-03 Biennium","2005-17","5","2005","false",,,"Management Letter","340-2005-01-01","1110927",,,,,,,,,,,,,,,,,,,"31"
"Environmental Quality, Department of","Statewide Single Audit Including Selected Financial Accounts for the Year Ended June 30, 2004",,"1","2005","false",,,"Management Letter","340-2008-07-01","1057618",,,,,,,,,,,,,,,,,,,"2"
"Fish and Wildlife, Department of","State Agency use of Metered Equipment","2005-18","7","2005","false","1110227",,,,,,,,,,,,,,,,,,,,,,,"11"
"Fish and Wildlife, Department of","Compliance Audit of Measure 66 for 2001-03 Biennium","2005-17","5","2005","false","1110226",,"Management Letter","635-2005-05-01","1110953",,,,,,,,,,,,,,,,,,,"31"
"Fish and Wildlife, Department of","High-level Risk Assessment of IT Controls",,"12","2005","false",,,"Management Letter","635-2005-12-01","1110955",,,,,,,,,,,,,,,,,,,"5"
"Fish and Wildlife, Department of","Statewide Single Audit Including Selected Financial Accounts for the Year Ended June 30, 2004",,"1","2005","false",,"Financial Audit","Management Letter","635-2005-01-01","1110952",,,,,,,,,,,,,,,,,,,"4"
"Forestry, Department of","State Agency use of Metered Equipment","2005-18","7","2005","false","1110227",,,,,,,,,,,,,,,,,,,,,,,"11"
"Forestry, Department of","Compliance Audit of Measure 66 for 2001-03 Biennium","2005-17","5","2005","false","1110226",,,,,,,,,,,,,,,,,,,,,,,"31"
"Forestry, Department of","Statewide Single Audit of Selected Financial Accounts for the Year Ended June 30, 2004",,"1","2005","false",,"Financial Audit","Management Letter","629-2005-01-01","1110948",,,,,,,,,,,,,,,,,,,"14"
"Geology and Mineral Industries, Department of","Review of Calendar Year 2004 SPOTS Card Purchases",,"11","2005","false",,,"Management Letter","632-2005-11-01","1110949",,,,,,,,,,,,,,,,,,,"14"
"Government Accountability Hotline","Calendar Year 2004","2005-12","4","2005","false","1110221",,"Management Letter","423-2004-03-01","6897489","Management Letter","257-2004-11-01","6896887","Management Letter","107-2004-09-01","6896863","Management Letter","109-2004-10-01","6896864",,,,,,,,,,"6"
"Government Accountability Hotline","Investigation of The Dalles Civic Auditorium",,"1","2005","false",,,"Management Letter","914-2005-01-01","1110965",,,,,,,,,,,,,,,,,,,"14"
