"full_library_name","address","county","type_of_library","mailing_address","phone_number","fax_number","email_address","website","library_system_membership","geo_address","full_address"
"Hazel M. Lewis Library","511 3rd Ave, Powers, OR 97466","Coos","Public","PO Box 559, Powers, OR 97466","(541) 439-5311","(541) 439-5311","jbedwell@coastlinelibrarynetwork.org","https://www.cooslibraries.org","CCLSD","POINT (-124.070259 42.88163)","POINT (-124.070259 42.88163)"
"St. Helens Public Library","375 S 18th St, Ste A, St. Helens, OR 97051","Columbia","Public","375 S 18th St, Ste A, St. Helens, OR 97051","(503) 397-4544","(503) 366-3020","shpl@sthelensoregon.gov","https://www.sthelensoregon.gov/library","NONE","POINT (-122.814039 45.854941)","POINT (-122.814039 45.854941)"
"Yoncalla Library","194 Birch Street, Yoncalla, OR 97499","Douglas","Public","PO Box 157, Yoncalla, OR 97499","(541) 849-2128","(541) 849-2128","yoncallalibrary@gmail.com","https://yoncalla-library.business.site","NONE","POINT (-123.284584 43.599819)","POINT (-123.284584 43.599819)"
"Cove Public Library","606 Main St, Cove, OR 97824","Union","Volunteer","PO Box 31, Cove, OR 97824","(541) 568-5001",,,"http://coveoregon.org/cove-library/",,"POINT (-117.811431 45.296965)","POINT (-117.811431 45.296965)"
"University of Western States - W. A. Budden Library","2900 NE 132nd, Portland, OR 97230-3099",,"Academic",,"503-251-5752","503-251-5759",,"https://www.uws.edu/community/library/",,"POINT (-122.527005 45.543486)","POINT (-122.527005 45.543486)"
"Jackson County Library Services - Shady Cove Library","22477 HIGHWAY 62, SHADY COVE OR 97539-9718","Jackson","Public","PO Box 502, Shady Cove, OR 97539","(541) 878-2270","(541) 878-2270","info@jcls.org","http://www.jcls.org","NONE",,
"Stanfield Public Library","180 West Coe Ave, Stanfield, OR 97875","Umatilla","Public","PO Box 489, Stanfield, OR 97875","(541) 449-1254","(541) 449-3264","library@cityofstanfield.com","https://cityofstanfield.com/library/","UCSLD","POINT (-119.218699 45.780538)","POINT (-119.218699 45.780538)"
"Siuslaw Public Library District - Mapleton Branch Library","88148 Riverview Avenue, Mapleton, OR 97453","Lane","Public",,"(541) 268-4033",,,,"NONE","POINT (-123.862565 44.036683)","POINT (-123.862565 44.036683)"
"Multnomah County Library - Multnomah County Central Library","801 SW 10th Ave, Portland, OR 97205","Multnomah","Public","205 NE Russell St, Portland, OR 97212","503-988-5123",,,,"NONE","POINT (-122.682466 45.519341)","POINT (-122.682466 45.519341)"
"Riddle City Library","637 1st St, Riddle, OR 97469","Douglas","Volunteer","PO Box 990, Riddle, OR 97469","(541) 874-2070","(541) 874-2070",,"https://riddlelibrary.org/","NONE","POINT (-123.287762 43.600568)","POINT (-123.287762 43.600568)"
"North Bend Public Library","1800 Sherman Avenue, North Bend, OR 97459","Coos","Public","1800 Sherman Avenue, North Bend, OR 97459","(541) 756-0400","(541) 756-1073","hlagasse@coastlinelibrarynetwork.org","http://northbendoregon.us/library","CCLSD","POINT (-124.224035 43.408901)","POINT (-124.224035 43.408901)"
"Astoria Public Library","450 10th St, Astoria, OR 97103","Clatsop","Public","450 10th St, Astoria, OR 97103","(503) 325-7323",,"comments@astorialibrary.org","http://astorialibrary.org","NONE","POINT (-123.832772 46.188039)","POINT (-123.832772 46.188039)"
"Chemeketa Cooperative Regional Library Service","4000 Lancaster Dr NE, Salem, OR 97309","Marion","Public","PO Box 14007, Salem, OR 97309","(503) 399-5165","(503) 399-7316",,"http://www.ccrls.org","CCRLS","POINT (-122.983392 44.976325)","POINT (-122.983392 44.976325)"
"Hermiston Public Library","235 E Gladys Ave, Hermiston, OR 97838","Umatilla","Public","235 E Gladys Ave, Hermiston, OR 97838","(541) 567-2882","(541) 667-5055","library@hermiston.or.us","http://www.hermistonlibrary.us","UCSLD","POINT (-119.288087 45.841422)","POINT (-119.288087 45.841422)"
"Clatsop County Law Library","749 Commercial St, Astoria, OR 97103","Clatsop","Special","PO Box 910, 749 Commercial St, Astoria, OR 97103","(503) 325-8601",,"cscheick@co.clatsop.or.us",,,"POINT (-123.835192 46.189098)","POINT (-123.835192 46.189098)"
"Multnomah County Library - Gregory Heights Library","7921 NE Sandy Blvd, Portland, OR 97213","Multnomah","Public",,"503-988-5123",,,,"NONE","POINT (-122.581067 45.55143)","POINT (-122.581067 45.55143)"
"New Hope Christian College - Flint Memorial Library","2155 Bailey Hill Rd., Eugene, OR 97405-1194","Lane","Academic",,"541-485-1780","541-343-5801","library@newhope.edu","http://www.newhope.edu/library/",,"POINT (-123.154594 44.034815)","POINT (-123.154594 44.034815)"
"Halsey City Library","773 W 1st Street, Halsey, OR 97348","Linn","Public","PO Box 10, Halsey, OR 97348","(541) 369-2705","(541) 369-2521","library@cityofhalsey.com","https://www.cityofhalsey.com/library%20home.htm",,"POINT (-123.10887 44.383565)","POINT (-123.10887 44.383565)"
"Clatsop Community College - Dora Badollet Library","1680 Lexington Ave., Astoria, OR 97103-3609","Clatsop","Academic","1680 Lexington Ave., Astoria, OR 97103-3609","503-338-2462","503-338-2387",,"http://lrc.clatsopcc.edu/",,"POINT (-123.821884 46.183485)","POINT (-123.821884 46.183485)"
"Coos Bay Public Library","525 Anderson, Coos Bay, OR 97420","Coos","Public","525 Anderson, Coos Bay, OR 97420","(541) 269-1101","(541) 269-7567","bayref@coosbaylibrary.org","http://www.coosbaylibrary.org","CCLSD","POINT (-124.217207 43.367189)","POINT (-124.217207 43.367189)"
"Tillamook County Library - Rockaway Branch Library","120 N. Coral, Rockaway, OR 97136","Tillamook","Public",,"503-355-2665",,,,"NONE","POINT (-123.94187 45.613541)","POINT (-123.94187 45.613541)"
"Corvallis-Benton County Public Library - Philomath Community Library","1050 Applegate, Philomath, OR 97370","Benton","Public","PO Box 400, Philomath, OR 97370","(541) 929-3016","(541) 929-5934",,"http://www.cbcpl.net","NONE","POINT (-123.370871 44.539146)","POINT (-123.370871 44.539146)"
"Mt. Hood Community College - Library","26000 SE Stark St, Gresham, OR 97030-3300",,"Academic",,"503-491-7161","503-491-7389","reference@mhcc.edu","http://www.mhcc.edu/library/",,"POINT (-122.396172 45.518941)","POINT (-122.396172 45.518941)"
"Multnomah County Library - Gresham Library","385 NW Miller Ave, Gresham, OR 97030","Multnomah","Public",,"503.988.5123",,,,"NONE","POINT (-122.432567 45.500719)","POINT (-122.432567 45.500719)"
"Mary Gilkey Public Library","416 Ferry St, Dayton, OR 97114","Yamhill","Public","PO Box 339, Dayton, OR 97114","(503) 864-2221","(503) 864-2956","cpark@ci.dayton.or.us","http://www.ci.dayton.or.us","CCRLS","POINT (-123.076094 45.220505)","POINT (-123.076094 45.220505)"
"Multnomah County Library - North Portland Library","512 N Killingsworth St, Portland, OR 97217","Multnomah","Public",,"503-988-5123",,,,"NONE","POINT (-122.671504 45.562702)","POINT (-122.671504 45.562702)"
"Western Seminary - Cline-Tunnell Library","5511 SE Hawthorne Blvd, Portland, OR 97215-3399",,"Academic",,"503-517-1840","503-517-1801","library@westernseminary.edu","http://www.westernseminary.edu/library",,"POINT (-122.605677 45.511755)","POINT (-122.605677 45.511755)"
"Willamina Public Library","382 NE C St, Willamina, OR 97396","Yamhill","Public","PO Box 273, Willamina, OR 97396","(503) 876-6182","(503) 876-1121","frosts@ci.willamina.or.us","http://willamina.ccrls.org/","CCRLS","POINT (-123.486417 45.082303)","POINT (-123.486417 45.082303)"
"Wasco County Library Service District","511 Washington St., Suite 302, The Dalles, OR 97058","Wasco","Public","722 Court St., The Dalles, OR 97058","(541) 296-2815","(541) 296-4179",,"http://wascocountylibrary.com/","WCLSD","POINT (-121.183724 45.599431)","POINT (-121.183724 45.599431)"
"Multnomah University - John & Mary Mitchell Library","8435 NE Glisan St, Portland, OR 97220-5898",,"Academic",,"503-251-5322","503-254-1268",,"http://www.multnomah.edu/resources/campus-resources/mitchell-library/",,"POINT (-122.575939 45.526401)","POINT (-122.575939 45.526401)"
"Tillamook County Library - Garibaldi Branch Library","107 Sixth St, 107 6th St, Garibaldi, OR 97118","Tillamook","Public","PO Box 485, Garibaldi, OR 97118","503-332-2100",,,,"NONE","POINT (-123.913976 45.559698)","POINT (-123.913976 45.559698)"
"Eugene Public Library - Bethel","1990 Echo Hollow Rd., Eugene, OR 97402","Lane","Public",,"541-682-5450","541-682-5770","LibraryAskUs@ci.eugene.or.us","http://www.eugene-or.gov/library","NONE","POINT (-123.168118 44.083507)","POINT (-123.168118 44.083507)"
"Sandy Public Library - Hoodland Library","24525 E Welches Rd, Welches, OR 97067","Clackamas","Public","PO Box 298, Welches, OR 97067","(503) 622-3460",,,"http://www.ci.sandy.or.us/library","LINCC","POINT (-121.963356 45.345829)","POINT (-121.963356 45.345829)"
"Baker County Public Library","2400 Resort St, Baker City, OR 97814","Baker","Public","2400 Resort St, Baker City, OR 97814","(541) 523-6419","(541) 523-9088","info@bakerlib.org","http://www.bakerlib.org","NONE","POINT (-117.828984 44.781058)","POINT (-117.828984 44.781058)"
"Corvallis-Benton County Public Library - Monroe Community Library","380 N. Fifth St, Monroe, OR 97456","Benton","Public","PO Box 21, Monroe, OR 97456","(541) 847-5174","(541) 847-5173",,"http://www.cbcpl.net","NONE","POINT (-123.298126 44.319108)","POINT (-123.298126 44.319108)"
"Chemeketa Community College - Library","4000 Lancaster Dr NE, Salem, OR 97309","Marion","Academic","PO Box 14007, Salem, OR 97309","503-399-5043","503-399-5214",,"http://library.chemeketa.edu",,"POINT (-122.983392 44.976325)","POINT (-122.983392 44.976325)"
"Clackamas County Library - Oak Lodge Library","16201 SE McLoughlin Blvd., Oak Grove, OR 97267","Clackamas","Public",,"(503) 655-8543",,"oaklodge@lincc.org","http://www.clackamas.us/lib","LINCC","POINT (-122.624219 45.40598)","POINT (-122.624219 45.40598)"
"St. Charles Medical Library","2500 NE Neff Rd, Bend, OR 97701","Deschutes","Special","2500 NE Neff Rd, Bend, OR 97701","(541) 706-6430",,"library@stcharleshealthcare.org","http://stcharlesmedicallibrary.org",,"POINT (-121.266708 44.065757)","POINT (-121.266708 44.065757)"
"Multnomah County Library - Troutdale Library","2451 SW Cherry Park Rd, Troutdale, OR 97060","Multnomah","Public","2451 SW Cherry Park Rd, Troutdale, OR 97060","(503) 988-5123","(503) 988-5441",,"http://www.multcolib.org/","NONE","POINT (-122.409342 45.529108)","POINT (-122.409342 45.529108)"
"Toledo Public Library","173 NW 7th St, Toledo, OR 97391","Lincoln","Public","173 NW 7th St, Toledo, OR 97391","(541) 336-3132",,"toledolibrary@cityoftoledo.org","http://www.cityoftoledo.org/library/","LCLD","POINT (-123.938846 44.625506)","POINT (-123.938846 44.625506)"
"Warner Pacific University - Otto F. Linn Library","2219 SE 68th Ave, Portland, OR 97215-4099",,"Academic",,"503-517-1102","503-517-1351","library@warnerpacific.edu","http://www.warnerpacific.edu/academics/library/",,"POINT (-122.593711 45.506827)","POINT (-122.593711 45.506827)"
"Oregon City Public Library","606 John Adams St., Oregon City, OR 97045","Clackamas","Public","606 John Adams St., Oregon City, OR 97045","(503) 657-8269",,"gwilliams@orcity.org","http://www.orcity.org/library","LINCC","POINT (-122.60449 45.355653)","POINT (-122.60449 45.355653)"
"National University of Natural Medicine Library","049 SW Porter, Portland, OR 97201-4848","Multnomah","Academic",,"503-552-1542","503-552-1547",,"http://library.nunm.edu/",,"POINT (-122.678358 45.501552)","POINT (-122.678358 45.501552)"
"Klamath County Library - Merrill Branch Library","365 W Front St, Merrill, OR 97633","Klamath","Public",,"(541) 798-5393","(541) 798-5393","merrillstaff@klamathlibrary.org","http://www.klamathlibrary.org","NONE","POINT (-121.60286 42.023978)","POINT (-121.60286 42.023978)"
"Eugene Public Library - Sheldon","1566 Coburg Rd, Eugene, OR 97401","Lane","Public",,"541-682-5450","541-682-5781","LibraryAskUs@ci.eugene.or.us","http://www.eugene-or.gov/library","NONE","POINT (-123.068119 44.079763)","POINT (-123.068119 44.079763)"
"Oregon Institute Of Technology Libraries","3201 Campus Drive, Klamath Falls, OR 97601-8801","Klamath","Academic","Oregon Tech Library - LRC 216, 3201 Campus Drive, Klamath Falls, OR 97601-8801","541-885-1772","541-885-1777","libtech@oit.edu","http://www.oit.edu/libraries",,"POINT (-121.782271 42.254213)","POINT (-121.782271 42.254213)"
"Silver Falls Library District","410 S Water St, Silverton, OR 97381","Marion","Public","410 S Water St, Silverton, OR 97381","(503) 873-5173","(503) 873-6227","silvfals@ccrls.org","http://www.silverfallslibrary.org","CCRLS","POINT (-122.781081 45.002851)","POINT (-122.781081 45.002851)"
"Lake County Library - Silver Lake Branch Library","65521 HIGHWAY 31, SILVER LAKE OR 97638-9511","Lake","Public","PO Box 87, Silver Lake, OR 97638","(541) 576-2146",,"rosav@lakecountylibrary.org",,"NONE",,
"Oregon Coast Community College Library","400 SE College Way, Newport, OR 97366","Lincoln","Academic","400 SE College Way, Newport, OR 97366","541-867-8526",,"library.services@oregoncoastcc.org","http://www.oregoncoastcc.org/library/",,"POINT (-124.044592 44.603591)","POINT (-124.044592 44.603591)"
"Burns Paiute Tribal Library","100 Pasigo St., Burns, OR 97720","Harney","Tribal","100 Pasigo St., Burns, OR 97720",,,,"https://burnspaiute-nsn.gov/departments/education/",,"POINT (-119.076356 43.611018)","POINT (-119.076356 43.611018)"
"University Of Portland - Clark Library","5000 N Willamette Blvd 97203, Portland, OR 97203","Multnomah","Academic",,"503-943-7111","503-943-7491","library@up.edu","http://library.up.edu",,"POINT (-122.725435 45.574789)","POINT (-122.725435 45.574789)"
"Ledding Library","10660 SE 21st Ave, Milwaukie, OR 97222","Clackamas","Public","10660 SE 21st Ave, Milwaukie, OR 97222","(503) 786-7580",,,"http://www.milwaukieoregon.gov/library","LINCC","POINT (-122.640669 45.446117)","POINT (-122.640669 45.446117)"
"Springfield Public Library","225 5th St, Springfield, OR 97477","Lane","Public","225 5th St, Springfield, OR 97477","(541) 726-3766","(541) 726-3747","library@springfield-or.gov","http://wheremindsgrow.org","NONE","POINT (-123.019538 44.04732)","POINT (-123.019538 44.04732)"
"Jackson County Library Services - Ashland Branch Library","410 Siskiyou Blvd, Ashland, OR 97520","Jackson","Public",,"(541) 774-6980","(541) 774-6892","info@jcls.org","http://www.jcls.org","NONE","POINT (-122.70947 42.194204)","POINT (-122.70947 42.194204)"
"Corban University - Library","5000 Deer Park Dr SE, Salem, OR 97317-9392","Marion","Academic","5000 Deer Park Drive SE, Salem, OR 97317","503-375-7016","503-375-7196","library@corban.edu","http://inside.corban.edu/library",,"POINT (-122.96185 44.88345)","POINT (-122.96185 44.88345)"
"Echo Public Library","20 S. Bonanza, Echo, OR 97826","Umatilla","Public","PO Box 9, Echo, OR 97826","541-376-6038","541-376-6040","dave@echo-oregon.com","https://echo-oregon.com/library/","UCSLD","POINT (-119.195058 45.741807)","POINT (-119.195058 45.741807)"
"University Of Oregon - Knight Library","1299 University of Oregon, Eugene, OR 97403-1299","Lane","Academic",,"541-346-3053","541-346-3485",,"http://libweb.uoregon.edu",,"POINT (-123.074673 44.044741)","POINT (-123.074673 44.044741)"
"Gaston Community Library","116 Front St, Gaston, OR 97119","Washington","Volunteer","P.O. Box 129, Gaston, OR 97119","(503) 985-3464",,"gastonlibrarian@comcast.net","http://gastoncommunitylibrary.org",,"POINT (-123.140027 45.437903)","POINT (-123.140027 45.437903)"
"Cedar Mill Community Library","1080 NW Saltzman Rd, Portland, OR 97229","Washington","Public","1080 NW Saltzman Rd, Portland, OR 97229","(503) 644-0043","(503) 644-3964","cedarmill@wccls.org","http://library.cedarmill.org/","WCCLS","POINT (-122.806634 45.527211)","POINT (-122.806634 45.527211)"
"Confederated Tribes of Siletz Tribal Library","201 S.E. Swan Avenue, Siletz, OR 97380","Lincoln","Tribal","PO Box 549, Siletz, OR 97380","(541) 444-2532",,,"http://www.ctsi.nsn.us",,"POINT (-123.916702 44.720227)","POINT (-123.916702 44.720227)"
"Multnomah County Library - Hillsdale Library","1525 SW Sunset Blvd., Portland, OR 97239","Multnomah","Public",,"503-988-5123",,,,"NONE","POINT (-122.694364 45.479688)","POINT (-122.694364 45.479688)"
"Eugene Public Library - Downtown Library","100 W 10th Ave, Eugene, OR 97401","Lane","Public","100 W 10th Ave, Eugene, OR 97401","(541) 682-5450","(541) 682-5898","LibraryAskUs@ci.eugene.or.us","http://www.eugene-or.gov/library","NONE","POINT (-123.09504 44.048842)","POINT (-123.09504 44.048842)"
"North Douglas Library District","205 West A Ave, Drain, OR 97435","Douglas","Public","PO Box 128, Drain, OR 97435","(541) 836-2648",,"info@ndld.org","https://www.ndld.org/","NONE","POINT (-123.316747 43.662094)","POINT (-123.316747 43.662094)"
"Albany Public Library - Albany Downtown Carnegie Library","302 Ferry Street SW, Albany, OR 97321","Linn","Public","301 Ferry Street SW, Albany, OR 97321","(541) 917-7585","(541) 917-7586","AskAlbany@cityofalbany.net","http://library.cityofalbany.net","NONE","POINT (-123.108316 44.635249)","POINT (-123.108316 44.635249)"
"Central Oregon Community College","2600 NW College Way, Bend, OR 97703-5998","Deschutes","Academic","2600 NW College Way, Bend, OR 97703","541-383-7560","541-383-7507",,"http://www.cocc.edu/Library/",,"POINT (-121.347712 44.069344)","POINT (-121.347712 44.069344)"
"Josephine Community Library District - Grants Pass Main Branch Library","200 NW C Street, Grants Pass, OR 97526","Josephine","Public","200 NW C Street, Grants Pass, OR 97526","(541) 476-0571",,"info@josephinelibrary.org","http://www.josephinelibrary.org/","NONE","POINT (-123.326899 42.442672)","POINT (-123.326899 42.442672)"
"Multnomah County Library - Fairview-Columbia Library","1520 NE Village St., Fairview, OR 97024","Multnomah","Public",,"503.988.5123",,,,"NONE","POINT (-122.439482 45.532236)","POINT (-122.439482 45.532236)"
"Newberg Public Library","503 E Hancock St, Newberg, OR 97132","Yamhill","Public","503 E Hancock St, Newberg, OR 97132","(503) 538-7323",,"nplibrary@newbergoregon.gov","https://www.newbergoregon.gov/library","CCRLS","POINT (-122.974632 45.301131)","POINT (-122.974632 45.301131)"
"Brownsville Community Library","146 Spaulding Ave, Brownsville, OR 97327","Linn","Public","PO Box 68, Brownsville, OR 97327","(541) 466-5454",,"library@ci.brownsville.or.us","http://www.brownsvillecommunitylibrary.org","NONE","POINT (-122.983779 44.394219)","POINT (-122.983779 44.394219)"
"Columbia City Community Library","2000 2nd Street, Columbia City, OR 97018","Columbia","Volunteer","PO Box 189, 1840 Second Street, Columbia City, OR 97018","(503) 366-8020",,"ccclibrary@live.com","https://www.freewebs.com/cccomlibrary/",,"POINT (-122.80948 45.891567)","POINT (-122.80948 45.891567)"
"Tualatin Public Library","18878 SW Martinazzi Ave, Tualatin, OR 97062","Washington","Public","18878 SW Martinazzi Ave, Tualatin, OR 97062","(503) 691-3074","(503) 692-3512","librarymail@tualatin.gov","http://www.tualatinoregon.gov/library","WCCLS","POINT (-122.758747 45.383534)","POINT (-122.758747 45.383534)"
"Ione Library District","385 West 2nd St, Ione, OR 97843","Morrow","Public","PO Box 125, Ione, OR 97843","(541)561-9828",,"ionelibrary@gmail.com","https://www.ionepubliclibrary.com/","NONE","POINT (-119.828661 45.500567)","POINT (-119.828661 45.500567)"
"Lincoln County Library District","141 NW 11th, Newport, OR 97365","Lincoln","Public","PO Box 2027, Newport, OR 97365","(541) 265-3066","(541) 265-3066","lcld@lincolncolibrarydist.org","https://lincolnlibrary.specialdistrict.org","LCLD","POINT (-124.053664 44.644717)","POINT (-124.053664 44.644717)"
"Oregon Health & Science University","3181 SW Sam Jackson Park Rd - LIB, , Portland, OR 97239-3098","Multnomah","Academic","3181 SW Sam Jackson Park Rd - LIB, Portland, OR 97239-3098","503-494-3462","503-494-3322","library@ohsu.libanswers.com","http://www.ohsu.edu/library",,"POINT (-122.68677 45.4992)","POINT (-122.68677 45.4992)"
"Salem Public Library","585 Liberty St SE, Salem, OR 97301","Marion","Public","585 Liberty St SE, Salem, OR 97301","(503) 588-6315","(503) 589-2011","library@cityofsalem.net","http://www.salemlibrary.org","CCRLS","POINT (-123.041201 44.935281)","POINT (-123.041201 44.935281)"
"Oregon Trail Library District - OTLD Irrigon Branch","490 NE Main Street, Irrigon, OR 97844","Morrow","Public","PO Box 9, Irrigon, OR 97844","(541)922-0138","(541)922-6300","lhauner@otld.org","https://www.otld.org/","NONE","POINT (-119.495332 45.895802)","POINT (-119.495332 45.895802)"
"Marion County Law Library","234 High Street SE, Salem, OR 97301","Marion","Special","Marion County Law Library, PO Box 14500, Salem, OR 97309-5036","(503) 588-5090","(503) 373-4386","lawlibrary@co.marion.or.us","http://www.co.marion.or.us/LC/LawLibrary",,"POINT (-123.037812 44.938425)","POINT (-123.037812 44.938425)"
"Lowell Public Library, Closed","107 E. 3rd St., Lowell, OR 97452","Lane","Public","PO Box 490, Lowell, OR 97452","(541) 937-2157","(541) 937-2936","JCaudle@ci.lowell.or.us",,,"POINT (-122.781747 43.921842)","POINT (-122.781747 43.921842)"
"Seaside Public Library","1131 Broadway St, Seaside, OR 97138","Clatsop","Public","1131 Broadway, Seaside, OR 97138","(503) 738-6742","(503) 738-6552","seasidepl@gmail.com","http://www.seasidelibrary.org","NONE","POINT (-123.919146 45.993129)","POINT (-123.919146 45.993129)"
"Lake County Library - Christmas Valley Branch Library","57334 Christmas Tree Lane, Christmas Valley, OR 97641","Lake","Public","PO Box 87, Christmas Valley, OR 97641","(541) 576-2336","(541) 576-2336","juliec@lakecountylibrary.org","http://www.lakecountylibrary.org/","NONE","POINT (-120.680976 43.239679)","POINT (-120.680976 43.239679)"
"Coquille Public Library","105 N Birch St, Coquille, OR 97423","Coos","Public","105 N Birch St, Coquille, OR 97423","(541) 396-2166",,"ssands@coastlinelibrarynetwork.org","https://coquillepubliclibrary.org/","CCLSD","POINT (-124.190756 43.175541)","POINT (-124.190756 43.175541)"
"Newport Public Library","35 NW Nye St, Newport, OR 97365","Lincoln","Public","35 NW Nye St, Newport, OR 97365","(541) 265-2153",,"reference@newportlibrary.org","http://www.newportlibrary.org","LCLD","POINT (-124.055643 44.636986)","POINT (-124.055643 44.636986)"
"Stayton Public Library","515 N First Ave, Stayton, OR 97383","Marion","Public","515 N First Ave, Stayton, OR 97383","(503) 769-3313","(503) 769-3218","staytonpl@ccrls.org","http://www.staytonoregon.gov/page/library_home","CCRLS","POINT (-122.794371 44.799125)","POINT (-122.794371 44.799125)"
"Woodburn Public Library","280 Garfield St, Woodburn, OR 97071","Marion","Public","280 Garfield St, Woodburn, OR 97071","(503) 982-5262","(503) 982-5258","reference@ci.woodburn.or.us","https://www.woodburn-or.gov/library","CCRLS","POINT (-122.857981 45.143026)","POINT (-122.857981 45.143026)"
"Process Work Institute - GRADUATE SCHOOL","2049 NW Hoyt St, Portland, OR 97209",,"Academic",,"503-223-8188","503-227-7003",,"https://www.processwork.edu",,"POINT (-122.69353 45.527034)","POINT (-122.69353 45.527034)"
"Multnomah County Library - Albina Library","3605 NE 15th Ave, Portland, OR 97212","Multnomah","Public",,"503-988-5123",,,,"NONE","POINT (-122.650397 45.548892)","POINT (-122.650397 45.548892)"
"Amity Public Library","307 S Trade St, Amity, OR 97101","Yamhill","Public","PO Box 470, Amity, OR 97101","(503) 835-8181",,,"https://www.cityofamityoregon.org/library","CCRLS","POINT (-123.206208 45.117191)","POINT (-123.206208 45.117191)"
"Oregon College Of Oriental Medicine","75 NW Couch Street, Portland, OR 97209","Multnomah","Academic",,"503-253-3443 x 132",,"librarian@ocom.edu","https://library.ocom.edu/",,"POINT (-122.671064 45.523872)","POINT (-122.671064 45.523872)"
"Enterprise Public Library","101 NE First St, Enterprise, OR 97828","Wallowa","Public","101 NE First St, Enterprise, OR 97828","(541) 426-3906","(541) 426-3395","enterpl@eoni.com","http://www.enterpriseoregon.org","NONE","POINT (-117.276305 45.425804)","POINT (-117.276305 45.425804)"
"Klamath County Library Service District","126 S Third St, Klamath Falls, OR 97601","Klamath","Public","126 S Third St, Klamath Falls, OR 97601","(541) 882-8895","(541) 882-6166",,"http://www.klamathlibrary.org","NONE","POINT (-121.784577 42.222545)","POINT (-121.784577 42.222545)"
"Mt. Angel Public Library","290 E. Charles St, Mt. Angel, OR 97362","Marion","Public","PO Box 870, Mt. Angel, OR 97362","(503) 845-6401",,"library.mountangel@ccrls.org","http://mountangel.ccrls.org/","CCRLS","POINT (-122.797871 45.067809)","POINT (-122.797871 45.067809)"
"Multnomah County Library - Kenton Library","8226 N. Denver Ave, Portland, OR 97217","Multnomah","Public","8226 N. Denver Ave, Portland, OR 97217","(503) 988-5123","(503) 988-5441",,"http://www.multcolib.org/","NONE","POINT (-122.686888 45.582892)","POINT (-122.686888 45.582892)"
"Hood River County Library District","502 State St, Hood River, OR 97031","Hood River","Public","502 State St, Hood River, OR 97031","541-386-2535",,"info@hoodriverlibrary.org","http://www.hoodriverlibrary.org/","NONE","POINT (-121.515597 45.708179)","POINT (-121.515597 45.708179)"
"Jackson County Library Services - Central Point Branch Library","116 South Third Street, Central Point, OR 97502","Jackson","Public",,"(541) 664-3228",,"info@jcls.org","http://www.jcls.org","NONE","POINT (-122.914071 42.37382)","POINT (-122.914071 42.37382)"
"F. Maxine and Thomas W. Cook Memorial Library","2006 4th Street, La Grande, OR 97850","Union","Public","2006 4th Street, La Grande, OR 97850","(541) 962-1339",,"cbushman@cookmemoriallibrary.org","https://www.cookmemoriallibrary.org/","NONE","POINT (-118.096407 45.330328)","POINT (-118.096407 45.330328)"
"Vernonia Public Library","701 Weed Ave, Vernonia, OR 97064","Columbia","Public","701 Weed Ave, Vernonia, OR 97064","(503) 429-1818","(503) 429-0729","library@vernonia-or.gov","https://www.vernonia-or.gov/departments/library/","NONE","POINT (-123.19649 45.858083)","POINT (-123.19649 45.858083)"
"Clackamas Community College Library","19600 Molalla Ave, Oregon City, OR 97045-7998","Clackamas","Academic",,"503-594-6323","503-655-8925","reference@clackamas.edu","http://library.clackamas.edu",,"POINT (-122.579593 45.323744)","POINT (-122.579593 45.323744)"
"Eastern Oregon University Library","1 University Blvd, La Grande, OR 97850-2899","Union","Academic","1 University Boulevard, OR","541-962-3792",,,"http://library.eou.edu",,"POINT (-118.093198 45.321201)","POINT (-118.093198 45.321201)"
"Oregon OSHA Resource Center","350 Winter St NE, Room 26, Salem, OR 97301","Marion","Special","350 Winter St NE, Salem, OR 97301","1-800-922-2689","(503) 947-7463","osha.resource@state.or.us","http://www.orosha.org/standards/resource_center.html",,"POINT (-123.030838 44.94127)","POINT (-123.030838 44.94127)"
"Leaburg Library","42888 McKenzie Hwy, Walterville, OR 97489","Lane","Volunteer","PO Box 267, Walterville, OR 97489","(541) 896-3112",,,"http://www.leaburglibrary.weebly.com",,"POINT (-122.675605 44.107185)","POINT (-122.675605 44.107185)"
"Corvallis-Benton County Public Library","645 NW Monroe Ave, Corvallis, OR 97330","Benton","Public","645 NW Monroe Ave, Corvallis, OR 97330","(541) 766-6928","(541) 766-6915",,"http://www.cbcpl.net","NONE","POINT (-123.264563 44.56527)","POINT (-123.264563 44.56527)"
"Cornelius Public Library","1370 N Adair St, Cornelius, OR 97113","Washington","Public","1355 N Barlow St, Cornelius, OR 97113","(503) 357-4093","(503) 357-7775","library@ci.cornelius.or.us","http://www.ci.cornelius.or.us/library","WCCLS","POINT (-123.055217 45.52092)","POINT (-123.055217 45.52092)"
"Willamette University - J. W. Long Law Library","245 Winter St SE, Salem, OR 97301-3916","Marion","Academic","245 Winter St SE, Salem, OR 97301-3916","503-370-6386","503-375-5426",,"http://www.willamette.edu/wucl/longlib/index.html",,"POINT (-123.033818 44.935336)","POINT (-123.033818 44.935336)"
