"fiscal_year","service","department_name","division_name","category","description","amount","fund"
"2023","General Government","Election Commission","Administration","Other Ordinary Maintenance","Other Property Related Services","4000","General Fund"
"2023","General Government","Election Commission","Administration","Other Ordinary Maintenance","Other Purchased Services","2800","General Fund"
"2023","General Government","Election Commission","Administration","Other Ordinary Maintenance","Professional and Technical Services","43000","General Fund"
"2023","General Government","Election Commission","Administration","Other Ordinary Maintenance","Rentals and Leases","1200","General Fund"
"2023","General Government","Election Commission","Administration","Other Ordinary Maintenance","Rentals and Leases","13225","General Fund"
"2023","General Government","Election Commission","Administration","Other Ordinary Maintenance","Rentals and Leases","2000","General Fund"
"2023","General Government","Election Commission","Administration","Other Ordinary Maintenance","Rentals and Leases","500","General Fund"
"2023","General Government","Election Commission","Administration","Travel & Training","Travel/Training (in State) Sum.","600","General Fund"
"2023","General Government","Employee Benefits","Collective Bargaining","Salaries & Wages","Dental Insurance","315000","General Fund"
"2023","General Government","Employee Benefits","Collective Bargaining","Salaries & Wages","Permanent Salaries/Wages","5189715","General Fund"
"2023","General Government","Employee Benefits","Collective Bargaining","Other Ordinary Maintenance","Professional and Technical Services","21740","General Fund"
"2023","General Government","Employee Benefits","Insurance","Salaries & Wages","Medicare","100000","General Fund"
"2023","General Government","Employee Benefits","Insurance","Other Ordinary Maintenance","Administration & Gen Supplies","391820","General Fund"
"2023","General Government","Employee Benefits","Insurance","Other Ordinary Maintenance","Other Purchased Services","275000","General Fund"
"2023","General Government","Employee Benefits","Insurance","Other Ordinary Maintenance","Other Purchased Services","222675","General Fund"
"2023","General Government","Employee Benefits","Pensions","Salaries & Wages","Permanent Salaries/Wages","250000","General Fund"
"2023","General Government","Executive","Diversity","Salaries & Wages","Medicare","300","General Fund"
"2023","General Government","Executive","Diversity","Other Ordinary Maintenance","Administration & Gen Supplies","2500","General Fund"
"2023","General Government","Executive","Diversity","Other Ordinary Maintenance","Administration & Gen Supplies","1000","General Fund"
"2023","General Government","Executive","Diversity","Other Ordinary Maintenance","Other Supplies","500","General Fund"
"2023","General Government","Executive","Diversity","Other Ordinary Maintenance","Professional and Technical Services","8000","General Fund"
"2023","General Government","Executive","Domestic & Gender-Based Violence Prevention Initiative","Salaries & Wages","Dental Insurance","1510","General Fund"
"2023","General Government","Executive","Domestic & Gender-Based Violence Prevention Initiative","Salaries & Wages","Health Insurance","73700","General Fund"
"2023","General Government","Executive","Domestic & Gender-Based Violence Prevention Initiative","Travel & Training","Dues & Subscriptions","250","General Fund"
"2023","General Government","Executive","Domestic & Gender-Based Violence Prevention Initiative","Travel & Training","Travel/Train. (out of State) Sum","1800","General Fund"
"2023","General Government","Executive","Housing Liaison","Salaries & Wages","Dental Insurance","6040","General Fund"
"2023","General Government","Executive","Housing Liaison","Salaries & Wages","Health Insurance","123590","General Fund"
"2023","General Government","Executive","Housing Liaison","Salaries & Wages","Pensions","76280","General Fund"
"2023","General Government","Executive","Housing Liaison","Salaries & Wages","Permanent Salaries/Wages","353465","General Fund"
"2023","General Government","Executive","Housing Liaison","Other Ordinary Maintenance","Administration & Gen Supplies","20000","General Fund"
"2023","General Government","Executive","Housing Liaison","Other Ordinary Maintenance","Professional and Technical Services","100000","General Fund"
"2023","General Government","Executive","Leadership","Salaries & Wages","Medicare","14020","General Fund"
"2023","General Government","Executive","Leadership","Salaries & Wages","Misc. Additional Comp","24300","General Fund"
"2023","General Government","Executive","Leadership","Salaries & Wages","Permanent Salaries/Wages","1413110","General Fund"
"2023","General Government","Executive","Leadership","Other Ordinary Maintenance","Administration & Gen Supplies","7250","General Fund"
"2023","General Government","Executive","Leadership","Other Ordinary Maintenance","Other Purchased Services","6500","General Fund"
"2023","General Government","Executive","Leadership","Other Ordinary Maintenance","Professional and Technical Services","85000","General Fund"
"2023","General Government","Executive","Leadership","Travel & Training","Travel/Train. (out of State) Sum","9000","General Fund"
"2023","General Government","Executive","Leadership","Travel & Training","Travel/Training (in State) Sum.","1200","General Fund"
"2023","General Government","Executive","Office of Equity and Inclusion","Salaries & Wages","Pensions","38140","General Fund"
"2023","General Government","Executive","Office of Equity and Inclusion","Salaries & Wages","Permanent Salaries/Wages","238560","General Fund"
"2023","General Government","Executive","Office of Equity and Inclusion","Other Ordinary Maintenance","Communication","450","General Fund"
"2023","General Government","Executive","Office of Equity and Inclusion","Other Ordinary Maintenance","Food and Food Service Supplies","5000","General Fund"
"2023","General Government","Executive","Office of Equity and Inclusion","Travel & Training","Travel/Train. (out of State) Sum","1875","General Fund"
"2023","General Government","Executive","Office of Equity and Inclusion","Travel & Training","Travel/Training (in State) Sum.","375","General Fund"
"2023","General Government","Executive","Public Information Office","Salaries & Wages","Health Insurance","75970","General Fund"
"2023","General Government","Executive","Public Information Office","Salaries & Wages","Medicare","8180","General Fund"
"2023","General Government","Executive","Public Information Office","Salaries & Wages","Temporary Salaries/Wages","37345","General Fund"
"2023","General Government","Executive","Public Information Office","Other Ordinary Maintenance","Administration & Gen Supplies","500","General Fund"
"2023","General Government","Executive","Public Information Office","Other Ordinary Maintenance","Professional and Technical Services","235350","General Fund"
"2023","General Government","Executive","Public Information Office","Other Ordinary Maintenance","Repairs and Maint (Services)","72950","General Fund"
"2023","General Government","Executive","Public Information Office","Travel & Training","Travel/Training (in State) Sum.","1000","General Fund"
"2023","General Government","Executive","Tourism","Other Ordinary Maintenance","Professional and Technical Services","532000","General Fund"
"2023","General Government","Finance","Administration","Salaries & Wages","Health Insurance","13040","General Fund"
"2023","General Government","Finance","Administration","Salaries & Wages","Medicare","3365","General Fund"
"2023","General Government","Finance","Administration","Other Ordinary Maintenance","Other Purchased Services","735000","General Fund"
"2023","General Government","Finance","Administration","Other Ordinary Maintenance","Other Supplies","500","General Fund"
"2023","General Government","Finance","Administration","Other Ordinary Maintenance","Professional and Technical Services","382000","General Fund"
"2023","General Government","Finance","Administration","Travel & Training","Dues & Subscriptions","2000","General Fund"
"2023","General Government","Finance","Assessing","Salaries & Wages","Dental Insurance","21190","General Fund"
"2023","General Government","Finance","Assessing","Salaries & Wages","Health Insurance","359930","General Fund"
"2023","General Government","Finance","Assessing","Salaries & Wages","Medicare","21110","General Fund"
"2023","General Government","Finance","Assessing","Salaries & Wages","Misc. Additional Comp","31910","General Fund"
"2023","General Government","Finance","Assessing","Salaries & Wages","Temporary Salaries/Wages","45270","General Fund"
"2023","General Government","Finance","Assessing","Other Ordinary Maintenance","Administration & Gen Supplies","24265","General Fund"
"2023","General Government","Finance","Assessing","Other Ordinary Maintenance","Professional and Technical Services","600000","General Fund"
"2023","General Government","Finance","Assessing","Travel & Training","Dues & Subscriptions","6000","General Fund"
"2023","General Government","Finance","Assessing","Extraordinary Expenditures","Additional Equipment","2800","General Fund"
"2023","General Government","Finance","Auditing","Salaries & Wages","Dental Insurance","9890","General Fund"
"2023","General Government","Finance","Auditing","Salaries & Wages","Health Insurance","160440","General Fund"
"2023","General Government","Finance","Auditing","Salaries & Wages","Health Insurance","112750","General Fund"
"2023","General Government","Finance","Auditing","Salaries & Wages","Misc. Additional Comp","10800","General Fund"
"2023","General Government","Finance","Auditing","Salaries & Wages","Overtime Salaries/Wages","10000","General Fund"
"2023","General Government","Finance","Auditing","Salaries & Wages","Pensions","76280","General Fund"
"2023","General Government","Finance","Auditing","Salaries & Wages","Permanent Salaries/Wages","493010","General Fund"
"2023","General Government","Finance","Auditing","Salaries & Wages","Temporary Salaries/Wages","20000","General Fund"
"2023","General Government","Finance","Auditing","Other Ordinary Maintenance","Administration & Gen Supplies","4500","General Fund"
"2023","General Government","Finance","Auditing","Travel & Training","Dues & Subscriptions","500","General Fund"
"2023","General Government","Finance","Auditing","Travel & Training","Travel/Training (in State) Sum.","1625","General Fund"
"2023","General Government","Finance","Budget","Salaries & Wages","Misc. Additional Comp","10800","General Fund"
"2023","General Government","Finance","Budget","Salaries & Wages","Pensions","76280","General Fund"
"2023","General Government","Finance","Budget","Salaries & Wages","Temporary Salaries/Wages","30000","General Fund"
"2023","General Government","Finance","Budget","Other Ordinary Maintenance","Administration & Gen Supplies","5500","General Fund"
"2023","General Government","Finance","Budget","Other Ordinary Maintenance","Communication","49900","General Fund"
"2023","General Government","Finance","Budget","Other Ordinary Maintenance","Food and Food Service Supplies","2000","General Fund"
"2023","General Government","Finance","Budget","Other Ordinary Maintenance","Other Supplies","2000","General Fund"
"2023","General Government","Finance","Budget","Other Ordinary Maintenance","Professional and Technical Services","20500","General Fund"
"2023","General Government","Finance","General Services","Salaries & Wages","Misc. Additional Comp","200","General Fund"
"2023","General Government","Finance","General Services","Salaries & Wages","Pensions","19070","General Fund"
"2023","General Government","Finance","General Services","Other Ordinary Maintenance","Administration & Gen Supplies","1000","General Fund"
"2023","General Government","Finance","General Services","Other Ordinary Maintenance","Communication","100000","General Fund"
"2023","General Government","Finance","General Services","Other Ordinary Maintenance","Rentals and Leases","10000","General Fund"
"2023","General Government","Finance","General Services","Other Ordinary Maintenance","Repairs and Maint (Supplies)","7500","General Fund"
"2023","General Government","Finance","Information Technology","Salaries & Wages","Health Insurance","971580","General Fund"
"2023","General Government","Finance","Information Technology","Salaries & Wages","Medicare","65960","General Fund"
"2023","General Government","Finance","Information Technology","Salaries & Wages","Temporary Salaries/Wages","268525","General Fund"
"2023","General Government","Finance","Information Technology","Other Ordinary Maintenance","Administration & Gen Supplies","30000","General Fund"
"2023","General Government","Finance","Information Technology","Other Ordinary Maintenance","Other Purchased Services","20000","General Fund"
"2023","General Government","Finance","Information Technology","Other Ordinary Maintenance","Other Supplies","146000","General Fund"
"2023","General Government","Finance","Information Technology","Travel & Training","Dues & Subscriptions","8000","General Fund"
"2023","General Government","Finance","Information Technology","Travel & Training","Travel/Train. (out of State) Sum","40000","General Fund"
"2023","General Government","Finance","Information Technology","Extraordinary Expenditures","Additional Equipment","60000","General Fund"
"2023","General Government","Finance","Personnel","Salaries & Wages","Dental Insurance","15100","General Fund"
"2023","General Government","Finance","Personnel","Salaries & Wages","Longevity/Salaries & Wages","2000","General Fund"
"2023","General Government","Finance","Personnel","Salaries & Wages","Medicare","14515","General Fund"
"2023","General Government","Finance","Personnel","Salaries & Wages","Misc. Additional Comp","27000","General Fund"
"2023","General Government","Finance","Personnel","Salaries & Wages","Misc. Additional Comp","8100","General Fund"
"2023","General Government","Finance","Personnel","Salaries & Wages","Permanent Salaries/Wages","1050140","General Fund"
"2023","General Government","Finance","Personnel","Salaries & Wages","Permanent Salaries/Wages","262340","General Fund"
"2023","General Government","Finance","Personnel","Other Ordinary Maintenance","Administration & Gen Supplies","10000","General Fund"
"2023","General Government","Finance","Personnel","Other Ordinary Maintenance","Administration & Gen Supplies","2500","General Fund"
"2023","General Government","Finance","Personnel","Other Ordinary Maintenance","Other Purchased Services","180000","General Fund"
"2023","General Government","Finance","Personnel","Other Ordinary Maintenance","Other Purchased Services","12550","General Fund"
"2023","General Government","Finance","Personnel","Other Ordinary Maintenance","Professional and Technical Services","285000","General Fund"
"2023","General Government","Finance","Personnel","Other Ordinary Maintenance","Professional and Technical Services","75000","General Fund"
"2023","General Government","Finance","Personnel","Travel & Training","Dues & Subscriptions","16500","General Fund"
"2023","General Government","Finance","Personnel","Travel & Training","Judgments","100000","General Fund"
"2023","General Government","Finance","Personnel","Travel & Training","Travel/Training (in State) Sum.","135000","General Fund"
"2023","General Government","Finance","Purchasing","Salaries & Wages","Dental Insurance","16710","General Fund"
"2023","General Government","Finance","Purchasing","Salaries & Wages","Permanent Salaries/Wages","704925","General Fund"
"2023","General Government","Finance","Purchasing","Salaries & Wages","Temporary Salaries/Wages","139215","General Fund"
"2023","General Government","Finance","Purchasing","Other Ordinary Maintenance","Communication","15000","General Fund"
"2023","General Government","Finance","Purchasing","Other Ordinary Maintenance","Food and Food Service Supplies","380","General Fund"
"2023","General Government","Finance","Purchasing","Travel & Training","Dues & Subscriptions","850","General Fund"
"2023","General Government","Finance","Purchasing","Travel & Training","Travel/Train. (out of State) Sum","1250","General Fund"
"2023","General Government","Finance","Revenue","Salaries & Wages","Dental Insurance","20460","General Fund"
"2023","General Government","Finance","Revenue","Salaries & Wages","Health Insurance","336120","General Fund"
"2023","General Government","Finance","Revenue","Salaries & Wages","Pensions","228840","General Fund"
"2023","General Government","Finance","Revenue","Salaries & Wages","Permanent Salaries/Wages","1079075","General Fund"
"2023","General Government","Finance","Revenue","Other Ordinary Maintenance","Administration & Gen Supplies","21600","General Fund"
"2023","General Government","Finance","Revenue","Other Ordinary Maintenance","Communication","46500","General Fund"
"2023","General Government","Finance","Revenue","Other Ordinary Maintenance","Professional and Technical Services","63900","General Fund"
"2023","General Government","Finance","Revenue","Travel & Training","Dues & Subscriptions","1200","General Fund"
"2023","General Government","Finance","Revenue","Travel & Training","Travel/Training (in State) Sum.","1500","General Fund"
"2023","General Government","Finance","Treasury","Salaries & Wages","Dental Insurance","4530","General Fund"
"2023","General Government","Finance","Treasury","Salaries & Wages","Medicare","4190","General Fund"
"2023","General Government","Finance","Treasury","Salaries & Wages","Medicare","950","General Fund"
"2023","General Government","Finance","Treasury","Salaries & Wages","Misc. Additional Comp","8100","General Fund"
"2023","General Government","Finance","Treasury","Salaries & Wages","Pensions","57210","General Fund"
"2023","General Government","Finance","Treasury","Salaries & Wages","Permanent Salaries/Wages","259080","General Fund"
"2023","General Government","Finance","Treasury","Other Ordinary Maintenance","Administration & Gen Supplies","22600","General Fund"
"2023","General Government","Finance","Treasury","Other Ordinary Maintenance","Professional and Technical Services","38000","General Fund"
"2023","General Government","Finance","Treasury","Travel & Training","Dues & Subscriptions","1550","General Fund"
"2023","General Government","Law","Administration","Salaries & Wages","Misc. Additional Comp","38200","General Fund"
"2023","General Government","Law","Administration","Salaries & Wages","Pensions","305120","General Fund"
"2023","General Government","Law","Administration","Salaries & Wages","Temporary Salaries/Wages","66465","General Fund"
"2023","General Government","Law","Administration","Other Ordinary Maintenance","Administration & Gen Supplies","7600","General Fund"
"2023","General Government","Law","Administration","Other Ordinary Maintenance","Other Supplies","143000","General Fund"
"2023","General Government","Law","Administration","Other Ordinary Maintenance","Professional and Technical Services","537000","General Fund"
"2023","General Government","Law","Administration","Travel & Training","Dues & Subscriptions","7000","General Fund"
"2023","General Government","Law","Administration","Travel & Training","Judgments","500000","General Fund"
"2023","General Government","Mayor","Administration","Salaries & Wages","Pensions","95350","General Fund"
"2023","General Government","Mayor","Administration","Salaries & Wages","Permanent Salaries/Wages","364400","General Fund"
"2023","General Government","Mayor","Administration","Other Ordinary Maintenance","Administration & Gen Supplies","9570","General Fund"
"2023","General Government","Mayor","Administration","Other Ordinary Maintenance","Administration & Gen Supplies","500","General Fund"
"2023","General Government","Mayor","Administration","Other Ordinary Maintenance","Food and Food Service Supplies","35000","General Fund"
"2023","General Government","Mayor","Administration","Other Ordinary Maintenance","Food and Food Service Supplies","30000","General Fund"
"2023","General Government","Mayor","Administration","Other Ordinary Maintenance","Other Supplies","75000","General Fund"
"2023","General Government","Mayor","Administration","Other Ordinary Maintenance","Other Supplies","4560","General Fund"
"2023","General Government","Mayor","Administration","Travel & Training","Travel/Training (in State) Sum.","500","General Fund"
"2023","General Government","Public Celebrations","Arts and Culture","Salaries & Wages","Dental Insurance","1510","General Fund"
"2023","General Government","Public Celebrations","Arts and Culture","Salaries & Wages","Medicare","1710","General Fund"
"2023","General Government","Public Celebrations","Arts and Culture","Salaries & Wages","Misc. Additional Comp","2700","General Fund"
"2023","General Government","Public Celebrations","Arts and Culture","Other Ordinary Maintenance","Other Supplies","10000","General Fund"
"2023","General Government","Public Celebrations","Cambridge Arts Council","Salaries & Wages","Dental Insurance","9060","General Fund"
"2023","General Government","Public Celebrations","Cambridge Arts Council","Salaries & Wages","Medicare","8580","General Fund"
"2023","General Government","Public Celebrations","Cambridge Arts Council","Salaries & Wages","Misc. Additional Comp","18000","General Fund"
"2023","General Government","Public Celebrations","Cambridge Arts Council","Other Ordinary Maintenance","Communication","5000","General Fund"
"2023","General Government","Public Celebrations","Cambridge Arts Council","Other Ordinary Maintenance","Food and Food Service Supplies","2250","General Fund"
"2023","General Government","Public Celebrations","Cambridge Arts Council","Other Ordinary Maintenance","Other Purchased Services","28500","General Fund"
"2023","General Government","Public Celebrations","Cambridge Arts Council","Other Ordinary Maintenance","Other Supplies","150","General Fund"
"2023","General Government","Public Celebrations","Cambridge Arts Council","Travel & Training","Dues & Subscriptions","700","General Fund"
"2023","General Government","Public Celebrations","Cambridge Arts Council","Travel & Training","Travel/Train. (out of State) Sum","625","General Fund"
"2023","General Government","Public Celebrations","Events","Other Ordinary Maintenance","Other Purchased Services","50000","General Fund"
"2023","General Government","Public Celebrations","Events","Other Ordinary Maintenance","Other Purchased Services","60000","General Fund"
"2023","General Government","Public Celebrations","Events","Other Ordinary Maintenance","Professional and Technical Services","200000","General Fund"
"2023","General Government","Reserve","Reserve","Other Ordinary Maintenance","Other Supplies","40000","General Fund"
"2023","Public Safety","Animal Commission","Administration","Salaries & Wages","Dental Insurance","6040","General Fund"
"2023","Public Safety","Animal Commission","Administration","Salaries & Wages","Health Insurance","88940","General Fund"
"2023","Public Safety","Animal Commission","Administration","Salaries & Wages","Misc. Additional Comp","2700","General Fund"
"2023","Public Safety","Animal Commission","Administration","Salaries & Wages","Misc. Additional Comp","10800","General Fund"
"2023","Public Safety","Animal Commission","Administration","Salaries & Wages","Pensions","19070","General Fund"
"2023","Public Safety","Animal Commission","Administration","Salaries & Wages","Pensions","76280","General Fund"
"2023","Public Safety","Animal Commission","Administration","Other Ordinary Maintenance","Energy","3385","General Fund"
"2023","Public Safety","Animal Commission","Administration","Other Ordinary Maintenance","Professional and Technical Services","5385","General Fund"
"2023","Public Safety","Animal Commission","Administration","Travel & Training","Dues & Subscriptions","150","General Fund"
"2023","Public Safety","Animal Commission","Administration","Travel & Training","Travel/Training (in State) Sum.","2500","General Fund"
"2023","Public Safety","Community Safety","Administration","Salaries & Wages","Medicare","6655","General Fund"
"2023","Public Safety","Community Safety","Administration","Salaries & Wages","Misc. Additional Comp","16200","General Fund"
"2023","Public Safety","Community Safety","Administration","Salaries & Wages","Permanent Salaries/Wages","442685","General Fund"
"2023","Public Safety","Community Safety","Administration","Other Ordinary Maintenance","Administration & Gen Supplies","4870","General Fund"
"2023","Public Safety","Community Safety","Administration","Other Ordinary Maintenance","Professional and Technical Services","1704500","General Fund"
"2023","Public Safety","Community Safety","Administration","Other Ordinary Maintenance","Rentals and Leases","125000","General Fund"
"2023","Public Safety","Community Safety","Administration","Travel & Training","Travel/Training (in State) Sum.","11125","General Fund"
"2023","Public Safety","Community Safety","Administration","Extraordinary Expenditures","Additional Equipment","165000","General Fund"
"2023","Public Safety","Electrical","Administration","Salaries & Wages","Health Insurance","123590","General Fund"
"2023","Public Safety","Electrical","Administration","Salaries & Wages","Health Insurance","236340","General Fund"
"2023","Public Safety","Electrical","Administration","Salaries & Wages","Medicare","12875","General Fund"
"2023","Public Safety","Electrical","Administration","Salaries & Wages","Misc. Additional Comp","8300","General Fund"
"2023","Public Safety","Electrical","Administration","Salaries & Wages","Permanent Salaries/Wages","420450","General Fund"
"2023","Public Safety","Electrical","Administration","Salaries & Wages","Permanent Salaries/Wages","885805","General Fund"
"2023","Public Safety","Electrical","Administration","Other Ordinary Maintenance","Administration & Gen Supplies","1575","General Fund"
"2023","Public Safety","Electrical","Administration","Other Ordinary Maintenance","Communication","2000","General Fund"
"2023","Public Safety","Electrical","Administration","Other Ordinary Maintenance","Energy","275350","General Fund"
"2023","Public Safety","Electrical","Administration","Other Ordinary Maintenance","Other Purchased Services","3000","General Fund"
"2023","Public Safety","Electrical","Administration","Other Ordinary Maintenance","Repairs and Maint (Services)","1490","General Fund"
"2023","Public Safety","Electrical","Administration","Other Ordinary Maintenance","Repairs and Maint (Services)","140000","General Fund"
"2023","Public Safety","Electrical","Administration","Other Ordinary Maintenance","Repairs and Maint (Supplies)","8780","General Fund"
"2023","Public Safety","Electrical","Administration","Other Ordinary Maintenance","Repairs and Maint (Supplies)","291955","General Fund"
"2023","Public Safety","Electrical","Administration","Travel & Training","Dues & Subscriptions","700","General Fund"
"2023","Public Safety","Electrical","Administration","Travel & Training","Judgments","10500","General Fund"
"2023","Public Safety","Electrical","Administration","Extraordinary Expenditures","Additional Equipment","75000","General Fund"
"2023","Public Safety","Emergency Communications","Communications Center","Salaries & Wages","Dental Insurance","89110","General Fund"
"2023","Public Safety","Emergency Communications","Communications Center","Salaries & Wages","Medicare","55575","General Fund"
"2023","Public Safety","Emergency Communications","Communications Center","Salaries & Wages","Misc. Additional Comp","45300","General Fund"
"2023","Public Safety","Emergency Communications","Communications Center","Other Ordinary Maintenance","Other Purchased Services","3000","General Fund"
"2023","Public Safety","Emergency Communications","Communications Center","Other Ordinary Maintenance","Other Supplies","12500","General Fund"
"2023","Public Safety","Emergency Communications","Communications Center","Other Ordinary Maintenance","Rentals and Leases","3000","General Fund"
"2023","Public Safety","Emergency Communications","Communications Center","Other Ordinary Maintenance","Repairs and Maint (Services)","44600","General Fund"
"2023","Public Safety","Emergency Communications","Communications Center","Travel & Training","Travel/Training (in State) Sum.","3000","General Fund"
"2023","Public Safety","Emergency Communications","Communications Center","Extraordinary Expenditures","Additional Equipment","4000","General Fund"
"2023","Public Safety","Emergency Communications","Public Safety IT","Salaries & Wages","Health Insurance","435830","General Fund"
"2023","Public Safety","Emergency Communications","Public Safety IT","Salaries & Wages","Medicare","26290","General Fund"
"2023","Public Safety","Emergency Communications","Public Safety IT","Salaries & Wages","Permanent Salaries/Wages","1735245","General Fund"
"2023","Public Safety","Emergency Communications","Public Safety IT","Salaries & Wages","Temporary Salaries/Wages","17320","General Fund"
"2023","Public Safety","Emergency Communications","Public Safety IT","Other Ordinary Maintenance","Other Supplies","443630","General Fund"
"2023","Public Safety","Emergency Communications","Public Safety IT","Other Ordinary Maintenance","Professional and Technical Services","200000","General Fund"
"2023","Public Safety","Emergency Communications","Public Safety IT","Travel & Training","Travel/Training (in State) Sum.","27000","General Fund"
"2023","Public Safety","Emergency Communications","Public Safety IT","Extraordinary Expenditures","Additional Equipment","21600","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Dental Insurance","24160","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Dental Insurance","24160","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Dental Insurance","25670","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Dental Insurance","37750","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Dental Insurance","25670","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Dental Insurance","25670","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Health Insurance","1728920","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Health Insurance","388610","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Health Insurance","639490","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Health Insurance","683410","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Health Insurance","730770","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Health Insurance","459110","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Health Insurance","567390","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Health Insurance","409220","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Longevity/Salaries & Wages","286100","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Longevity/Salaries & Wages","245020","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Longevity/Salaries & Wages","376430","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Longevity/Salaries & Wages","221925","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Longevity/Salaries & Wages","255940","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Longevity/Salaries & Wages","232610","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Medicare","135445","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Medicare","31170","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Medicare","46710","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Medicare","29410","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Medicare","31995","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Medicare","45810","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Medicare","26765","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Medicare","31530","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Misc. Additional Comp","454155","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Misc. Additional Comp","405205","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Misc. Additional Comp","416500","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Misc. Additional Comp","369005","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Misc. Additional Comp","664435","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Misc. Additional Comp","401440","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Overtime Salaries/Wages","1119020","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Overtime Salaries/Wages","39645","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Overtime Salaries/Wages","183025","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Overtime Salaries/Wages","51085","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Overtime Salaries/Wages","47300","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Overtime Salaries/Wages","47785","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Overtime Salaries/Wages","61555","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Overtime Salaries/Wages","32505","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Pensions","646800","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Pensions","646800","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Pensions","1010625","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Pensions","646800","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Pensions","1010625","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Pensions","646800","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Pensions","687225","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Pensions","606375","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Permanent Salaries/Wages","1348115","General Fund"
"2023","Public Safety","Police","Patrol","Salaries & Wages","Permanent Salaries/Wages","13816940","General Fund"
"2023","Public Safety","Fire","Headquarters & Fire Stations","Salaries & Wages","Permanent Salaries/Wages","1464620","General Fund"
