"program","name","services_and_programs","civic_address","community","postal_code","phone","fax","email","website","geocoded_column"
"Victim Services; Legal Support","Victim Services - HRM","Victim Services Programs; Provincial Victim Services Program; Child Victim/Witness Program; Criminal Injuries Counselling Program; Victim Impact Statement Program","277 Pleasant Street, 3rd Floor","Halifax, Dartmouth, and Halifax County","B2Y 4B7","(902) 424-3307; toll-free: 1-833-424-3307",,,"https://novascotia.ca/just/victim_services/contact.asp","277 Pleasant Street, 3rd Floor
Halifax, Dartmouth, and Halifax County, NS B2Y 4B7
(44.655643, -63.549798)"
"Victim Services; Legal Support","Victim Services - Northern Region","Victim Services Programs; Provincial Victim Services Program; Child Victim/Witness Program; Criminal Injuries Counselling Program; Victim Impact Statement Program","290 West River Road","East Hants, Colchester, Cumberland, Pictou & Antigonish Counties","B0K 1H0","(902) 485-3580; Toll Free: 1-800-565-7912",,,"https://novascotia.ca/just/victim_services/contact.asp","290 West River Road
East Hants, Colchester, Cumberland, Pictou & Antigonish Counties, NS B0K 1H0
(45.680624, -62.726123)"
"Victim Services; Legal Support","Victim Services - Cape Breton","Victim Services Programs; Provincial Victim Services Program; Child Victim/Witness Program; Criminal Injuries Counselling Program; Victim Impact Statement Program","136 Charlotte Street, 4th floor, Suite 9","Guysborough, Cape Breton, Richmond, Inverness & Victoria Counties","B1P 1C3","(902) 563-3655; Toll Free: 1-800-565-0071",,,"https://novascotia.ca/just/victim_services/contact.asp","136 Charlotte Street, 4th floor, Suite 9
Guysborough, Cape Breton, Richmond, Inverness & Victoria Counties, NS B1P 1C3
(46.141693, -60.19616)"
"Women's Centres","Every Woman's Centre","Website with information and links to online as well as resources and organizations throughout Cape Breton","21 Trinity Avenue","Sydney","B1P 4Z4","(902) 567-1212  Toll-free: 1-855-567-1911",,"woman.centre@ns.sympatico.ca","http://www.everywomanscentre.com/","21 Trinity Avenue
Sydney, NS B1P 4Z4
(46.132617, -60.188421)"
"Health Services; Counselling","Canadian Mental Health Association - Colchester-East Hants Branch","Who: Any person from the age of 0-100+, services offered include individual assessment and individual and group intervention. Frequency and length of services is determined by client need and diagnosis. Treatment planning after assessment may include referral out to other services in the community as best service or in conjunction with services offered on site.
Services specific to Sexual Violence: Any clients identified as having experienced a recent sexual assault are prioritized for assessment and are offered services once a referral has been received.
We note that many clients are not referred for that reason but many of our female clients have experienced sexual violence and the trauma is underlying their presenting concerns for therapy. 
Safety risk and vulnerabilities discussions are part of intervention where identified as a preventative measure (i.e., women with addiction issues, vulnerable teens, etc.)","574 Prince Street","Truro","B2N 5V2","(902) 895-4211","(902) 895-4027","cmha.ceh11@gmail.com","https://cmha.ca/branches/colchester-east-hants-branch","574 Prince Street
Truro, NS B2N 5V2
(45.365487, -63.284199)"
"Health Services; Counselling","Canadian Mental Health Association - Halifax/Dartmouth","Who: Any person from the age of 0-100+, services offered include individual assessment and individual and group intervention. Frequency and length of services is determined by client need and diagnosis. Treatment planning after assessment may include referral out to other services in the community as best service or in conjunction with services offered on site.
Services specific to Sexual Violence: Any clients identified as having experienced a recent sexual assault are prioritized for assessment and are offered services once a referral has been received.
We note that many clients are not referred for that reason but many of our female clients have experienced sexual violence and the trauma is underlying their presenting concerns for therapy. 
Safety risk and vulnerabilities discussions are part of intervention where identified as a preventative measure (i.e., women with addiction issues, vulnerable teens, etc.)","100-2020 Gottingen Street","Halifax","B3K 3A9","(902) 455-5445","(902) 455-7858","cmhahal@ns.aliantzinc.ca","https://cmhahaldart.ca/","100-2020 Gottingen Street
Halifax, NS B3K 3A9
(44.650902, -63.58172)"
"Health Services; Counselling","Canadian Mental Health Association - King's County","Who: Any person from the age of 0-100+, services offered include individual assessment and individual and group intervention. Frequency and length of services is determined by client need and diagnosis. Treatment planning after assessment may include referral out to other services in the community as best service or in conjunction with services offered on site.
Services specific to Sexual Violence: Any clients identified as having experienced a recent sexual assault are prioritized for assessment and are offered services once a referral has been received.
We note that many clients are not referred for that reason but many of our female clients have experienced sexual violence and the trauma is underlying their presenting concerns for therapy. 
Safety risk and vulnerabilities discussions are part of intervention where identified as a preventative measure (i.e., women with addiction issues, vulnerable teens, etc.)","102-440 Main Street","Kentville","B4N 1K8","(902) 679-7464","(902) 679-7470","info@cmhakings.ns.ca","https://kingsns.cmha.ca/about-cmha/contact-us/","102-440 Main Street
Kentville, NS B4N 1K8
(45.077318, -64.497425)"
"Health Services; Counselling","Canadian Mental Health Association - Nova Scotia Division","Who: Any person from the age of 0-100+, services offered include individual assessment and individual and group intervention. Frequency and length of services is determined by client need and diagnosis. Treatment planning after assessment may include referral out to other services in the community as best service or in conjunction with services offered on site.
Services specific to Sexual Violence: Any clients identified as having experienced a recent sexual assault are prioritized for assessment and are offered services once a referral has been received.
We note that many clients are not referred for that reason but many of our female clients have experienced sexual violence and the trauma is underlying their presenting concerns for therapy. 
Safety risk and vulnerabilities discussions are part of intervention where identified as a preventative measure (i.e., women with addiction issues, vulnerable teens, etc.)","3-644 Portland Street, Suite 201","Dartmouth","B2W 6C4","(902) 466-6606, ext. 1; toll free 1-877-466-6606","(902) 466-3300","interim-ed@novascotia.cmha.ca","https://novascotia.cmha.ca/","3-644 Portland Street, Suite 201
Dartmouth, NS B2W 6C4
(44.671564, -63.526554)"
"Youth Services; Counselling","Phoenix Youth and Family Therapy","Youth and Family Therapy: therapists at are masters-level social workers, with extensive training and experience.  This team offers therapy to youth between the ages of 11 and 24, and their families. 

The youth and families Pheonix works with struggle with a range of challenges, including difficult family relationships, grief and loss, peer conflict and bullying, challenges at school, coping with emotions, low self-esteem, histories of abuse, and discrimination and poverty.
Services are free and take referrals directly from youth and their families.","5547 Young Street","Halifax","B3K 1Z7","(902)-444-3440",,"therapy@phoenixyouth.ca","https://phoenixyouth.ca/services","5547 Young Street
Halifax, NS B3K 1Z7
(44.661783, -63.599516)"
"Youth Services","Family Service of Eastern Nova Scotia - Port Hawkesbury","Youth councelling; youth outreach; crisis management; referrals; accompaniment and support for Youth in navigating systems and services","218 MacSween St. Suite 34","Port Hawkesbury","B9A 1J9","(902) 625-0131; Toll-free: 1-866-330-5962",,"http://ensfamilyservice.ca/contact/","http://ensfamilyservice.ca/","218 MacSween St. Suite 34
Port Hawkesbury, NS B9A 1J9
(45.619453, -61.355403)"
"Youth Services","Family Service of Eastern Nova Scotia - Antigonish","Youth councelling; youth outreach; crisis management; referrals; accompaniment and support for Youth in navigating systems and services; adult counselling; men's health clinic","275 Main Street, Suite 103","Antigonish","B2G 2C3","(902) 539-6868; 1–866–330–5952","(902) 863-0457","http://ensfamilyservice.ca/contact/","http://ensfamilyservice.ca/","275 Main Street, Suite 103
Antigonish, NS B2G 2C3
(45.622472, -61.991733)"
"Health Services; Youth ServicesG25A27:G27C27AA26:D27","Community CARES Youth Outreach","Youth outreach helping young people overcome adversity and achieve higher goals through literacy programs, community service and job training.","55 King Street","Sydney Mines","B1V 1L4","(902) 544-0049",,"directorccyo@gmail.com","https://www.communitycaresyouth.com/","55 King Street
Sydney Mines, NS B1V 1L4
(46.241183, -60.22775)"
"Youth Services","Family Service of Eastern Nova Scotia - Glace Bay","Youth Outreach Workers will work with you using your creativity and energy; involve you in decisions about your life; respect and value who you are; won’t judge you; link you to other services, programs or workshops","9 Minto St","Glace Bay","B1A 5B2","1-866-564-5962","(902) 849-0213","fsglacebay@fsens.ns.ca","http://ensfamilyservice.ca/","9 Minto St
Glace Bay, NS B1A 5B2
(46.198027, -59.955436)"
"Youth Services","Family Service of Eastern Nova Scotia - Sydney","Youth Outreach Workers will work with you using your creativity and energy; involve you in decisions about your life; respect and value who you are; won’t judge you; link you to other services, programs or workshops","295 George St, Suite 302","Sydney","BIP 1J7","(902) 564-5962;
Toll-free: 1-866-330-5962","(902) 564-5962","http://ensfamilyservice.ca/contact/","http://ensfamilyservice.ca/","295 George St, Suite 302
Sydney, NS BIP 1J7
(46.140407, -60.193251)"
"Men's Programs; Youth Services; Men's Violence Programs","Freeman House and Family Service Association of Western Nova Scotia","Youth Outreach, the Family Program, Men's Violence Intervention, Family Violence Intervention, and Community Hub Coordination of Services, linking Intervention with Prevention, Early Intervention and Health Promotion; Part of the Nova Scotia Trauma Informed Network","48 Empire St","Bridgewater","B4V 2L4","(902) 543-7444;  1-877-882-7722","(902) 543-7444","admin.fswns@bellaliant.com","http://www.fsawns.com","48 Empire St
Bridgewater, NS B4V 2L4
(44.378622, -64.523597)"
"Health Services; Youth Services","Glace Bay Youth Health Centre",,"201 Reserve Street","Glace Bay","B1A 4W3","(902) 842-1612",,,,"201 Reserve Street
Glace Bay, NS B1A 4W3
(46.191111, -59.979701)"
