"fund_name","revenue_category","org_description","object_description","original_budget","revised_budget","fiscal_year","id"
"Electric Fund","Sales - Commercial","Elec Rev Comm/Industrial Sales","Sales Commercial Taxable","30474170.00","30474170.00","2017","2017-5211-500-80045-00000000-442     -4220"
"Electric Fund","Sales - Commercial","Electric Fd Revenue","Sales Commercial Nontaxable","11850784.00","11850784.00","2017","2017-5211-500-80045-00000000-00000000-4221"
"Electric Fund","Sales - Residential","Elec Rev Residential Sales","Sales Residential Taxable","56117386.00","56117386.00","2017","2017-5211-500-80045-00000000-440     -4210"
"Electric Fund","Transfers In-CIP","Electric Fd Revenue","Transfer In Electric CIP Fd","16735000","16735000","2017","2017-5211-500-80045-00000000-00000000-4890"
"Electric Projects Fund","Investment Earnings","Electric CIP Fd Non Dept Rev","Investment Income","1000.00","1000.00","2017","2017-4237-910-89000-00000000-00000000-4030"
"Employee Benefits Fund","Investment Earnings","Empl Ben Ins Fd Revenue","Investment Income","20000.00","20000.00","2017","2017-2222-100-80010-00000000-00000000-4030"
"Employee Benefits Fund","Misc Non-Operating","Empl Ben Ins Fd Revenue","Flex Benefits Unused","20000.00","20000.00","2017","2017-2222-100-80010-00000000-00000000-4785"
"Employee Benefits Fund","Premiums - City","Empl Ben Ins Fd Revenue","Ins Premiums AD&D","36199.00","36199.00","2017","2017-2222-100-80010-00000000-00000000-4671"
"Employee Benefits Fund","Premiums - City","Empl Ben Ins Fd Revenue","Ins Premiums Health City Paid","9271287.00","9271287.00","2017","2017-2222-100-80010-00000000-00000000-4674"
"Employee Benefits Fund","Premiums - City","Empl Ben Ins Fd Revenue","Ins Premiums Life Insurance","274387.00","274387.00","2017","2017-2222-100-80010-00000000-00000000-4677"
"Employee Benefits Fund","Premiums - Employee","Empl Ben Ins Fd Revenue","Ins Premiums Accident Ins","76557.00","76557.00","2017","2017-2222-100-80010-00000000-00000000-4670"
"Employee Benefits Fund","Premiums - Employee","Empl Ben Ins Fd Revenue","Ins Premiums Cobra","25000.00","25000.00","2017","2017-2222-100-80010-00000000-00000000-4672"
"Employee Benefits Fund","Premiums - Employee","Empl Ben Ins Fd Revenue","Ins Premiums Critical Illness","66811.00","66811.00","2017","2017-2222-100-80010-00000000-00000000-4673"
"Employee Benefits Fund","Premiums - Employee","Empl Ben Ins Fd Revenue","Ins Premiums Health Dependents","1792013.00","1792013.00","2017","2017-2222-100-80010-00000000-00000000-4675"
"Employee Benefits Fund","Premiums - Employee","Empl Ben Ins Fd Revenue","Ins Premiums Life Ins Depends","28761.00","28761.00","2017","2017-2222-100-80010-00000000-00000000-4678"
"Employee Benefits Fund","Premiums - Employee","Empl Ben Ins Fd Revenue","Ins Premiums ST Disability","55010.00","55010.00","2017","2017-2222-100-80010-00000000-00000000-4681"
"Employee Benefits Fund","Premiums - Employee","Empl Ben Ins Fd Revenue","Ins Premiums Vision","100206.00","100206.00","2017","2017-2222-100-80010-00000000-00000000-4683"
"Employee Benefits Fund","Premiums - Employee","Empl Ben Ins Fd Revenue","Insurance Premiums   LT Dis","46148.00","46148.00","2017","2017-2222-100-80010-00000000-00000000-4687-"
"Equipment Replacement Fund","Gain (loss) on asset","Equip Repl Fd Non Dept Rev","Proceeds from Sale of Property","100000","100000","2017","2017-2225-910-89000-00000000-00000000-4770"
"Equipment Replacement Fund","Interdept Charges","Equip Repl Fd Non Dept Rev","Charges Interdept Copier Repl","55023.00","55023.00","2017","2017-2225-910-89000-00000000-00000000-4650"
"Equipment Replacement Fund","Interdept Charges","Equip Repl Fd Non Dept Rev","Charges Interdept Drainage","294333.00","294333.00","2017","2017-2225-910-89000-00000000-00000000-4651"
"Equipment Replacement Fund","Interdept Charges","Equip Repl Fd Non Dept Rev","Charges Interdept Electric","484298.00","484298.00","2017","2017-2225-910-89000-00000000-00000000-4652"
"Equipment Replacement Fund","Interdept Charges","Equip Repl Fd Non Dept Rev","Charges Interdept Fleet Maint","19775.00","19775.00","2017","2017-2225-910-89000-00000000-00000000-4653"
"Equipment Replacement Fund","Interdept Charges","Equip Repl Fd Non Dept Rev","Charges Interdept General Fund","2847004.00","2847004.00","2017","2017-2225-910-89000-00000000-00000000-4654"
"Equipment Replacement Fund","Interdept Charges","Equip Repl Fd Non Dept Rev","Charges Interdept Hotel Tax Fd","35500.00","35500.00","2017","2017-2225-910-89000-00000000-00000000-4665-"
"Equipment Replacement Fund","Interdept Charges","Equip Repl Fd Non Dept Rev","Charges Interdept MDT Replace","125674.00","125674.00","2017","2017-2225-910-89000-00000000-00000000-4655"
"Equipment Replacement Fund","Interdept Charges","Equip Repl Fd Non Dept Rev","Charges Interdept Mob Vid Cam","141082.00","141082.00","2017","2017-2225-910-89000-00000000-00000000-4656"
"Equipment Replacement Fund","Interdept Charges","Equip Repl Fd Non Dept Rev","Charges Interdept NG Parking","6250.00","6250.00","2017","2017-2225-910-89000-00000000-00000000-4657"
"Equipment Replacement Fund","Interdept Charges","Equip Repl Fd Non Dept Rev","Charges Interdept Sanitation","1824121.00","1824121.00","2017","2017-2225-910-89000-00000000-00000000-4658"
"Equipment Replacement Fund","Interdept Charges","Equip Repl Fd Non Dept Rev","Charges Interdept UCS","9500.00","9500.00","2017","2017-2225-910-89000-00000000-00000000-4659"
"Equipment Replacement Fund","Interdept Charges","Equip Repl Fd Non Dept Rev","Charges Interdept UPS Replace","47670.00","47670.00","2017","2017-2225-910-89000-00000000-00000000-4660"
"Equipment Replacement Fund","Interdept Charges","Equip Repl Fd Non Dept Rev","Charges Interdept Virtual Serv","90993.00","90993.00","2017","2017-2225-910-89000-00000000-00000000-4664"
"Equipment Replacement Fund","Interdept Charges","Equip Repl Fd Non Dept Rev","Charges Interdept Wastewater","354311.00","354311.00","2017","2017-2225-910-89000-00000000-00000000-4661"
"Equipment Replacement Fund","Interdept Charges","Equip Repl Fd Non Dept Rev","Charges Interdept Water","144926.00","144926.00","2017","2017-2225-910-89000-00000000-00000000-4662"
"Equipment Replacement Fund","Investment Earnings","Equip Repl Fd Non Dept Rev","Investment Income","39000.00","39000.00","2017","2017-2225-910-89000-00000000-00000000-4030"
"Fleet Maintenance Fund","Interdept Charges","Fleet Fd Revenue","Charges Interdept Fleet Maint","2195844.00","2195844.00","2017","2017-2227-440-80040-00000000-00000000-4653"
"Fleet Maintenance Fund","Investment Earnings","Fleet Fd Revenue","Investment Income","300.00","300.00","2017","2017-2227-440-80040-00000000-00000000-4030"
"General Fund","Ad Valorem Taxes","Genl Fd GG Revenue","Tax Current Ad Valorem","21412427.00","21412427.00","2017","2017-1001-100-80010-00000000-00000000-4110"
"General Fund","Ad Valorem Taxes","Genl Fd GG Revenue","Tax Delinquent Ad Valorem","70000.00","70000.00","2017","2017-1001-100-80010-00000000-00000000-4111"
"General Fund","Ad Valorem Taxes","Genl Fd GG Revenue","Tax Penal/Interest Ad Valorem","42000.00","42000.00","2017","2017-1001-100-80010-00000000-00000000-4112"
"General Fund","Charges for Services","Genl Fd Adamson Lagoon","Concessions Adamson Pool","15000","15000","2017","2017-1001-530-81125-AQ733   -00000000-4580"
"General Fund","Charges for Services","Genl Fd Adamson Lagoon","PARD Recreation Programs","180000.00","180000.00","2017","2017-1001-530-81125-AQ733   -00000000-4480"
"General Fund","Charges for Services","Genl Fd Adult Kickball","PARD Recreation Programs","21000.00","21000.00","2017","2017-1001-530-81125-SP758   -00000000-4480"
"General Fund","Charges for Services","Genl Fd Adult Softball","Concessions Adult Softball","15000","15000","2017","2017-1001-530-81125-SP752   -00000000-4581"
"General Fund","Charges for Services","Genl Fd Adult Softball","PARD Recreation Programs","95000.00","95000.00","2017","2017-1001-530-81125-SP752   -00000000-4480"
"General Fund","Charges for Services","Genl Fd Adult Volleyball","PARD Recreation Programs","19000.00","19000.00","2017","2017-1001-530-81125-SP753   -00000000-4480"
"General Fund","Charges for Services","Genl Fd Aquatics Admin","PARD Aquatics Jr Lifeguard","1000.00","1000.00","2017","2017-1001-530-81125-AQ730   -00000000-4481"
"General Fund","Charges for Services","Genl Fd Aquatics Admin","PARD Aquatics Lifeguard Train","7500.00","7500.00","2017","2017-1001-530-81125-AQ730   -00000000-4482"
"General Fund","Charges for Services","Genl Fd Challenger Sports","PARD Recreation Programs","1000.00","1000.00","2017","2017-1001-530-81125-SP759   -00000000-4480"
"General Fund","Charges for Services","Genl Fd Community Svcs Revenue","CS Mowing Charges","3714.00","3714.00","2017","2017-1001-450-80035-00000000-00000000-4646-"
"General Fund","Charges for Services","Genl Fd Fire Revenue","Fire Administration Fees","1061.00","1061.00","2017","2017-1001-420-80025-00000000-00000000-4360"
"General Fund","Charges for Services","Genl Fd Fire Revenue","Fire Auto Fire Alarm","10000.00","10000.00","2017","2017-1001-420-80025-00000000-00000000-4361"
"General Fund","Charges for Services","Genl Fd Fire Revenue","Fire Auto Hood Test","1433.00","1433.00","2017","2017-1001-420-80025-00000000-00000000-4362"
"General Fund","Charges for Services","Genl Fd Fire Revenue","Fire Daycare Centers","902.00","902.00","2017","2017-1001-420-80025-00000000-00000000-4363"
"General Fund","Charges for Services","Genl Fd Fire Revenue","Fire EMS Athletic Standbys","20210.00","38210.00","2017","2017-1001-420-80025-00000000-00000000-4350"
"General Fund","Charges for Services","Genl Fd Fire Revenue","Fire EMS Transport (County)","266828.00","266828.00","2017","2017-1001-420-80025-00000000-00000000-4354"
"General Fund","Charges for Services","Genl Fd Fire Revenue","Fire EMS Transport   Emergicon","1683000.00","1683000.00","2017","2017-1001-420-80025-00000000-00000000-4352"
"General Fund","Charges for Services","Genl Fd Fire Revenue","Fire EMS Transport   NRS","31.00","31.00","2017","2017-1001-420-80025-00000000-00000000-4353"
"General Fund","Charges for Services","Genl Fd Fire Revenue","Fire Fire Sprinkler/Standpipe","20000.00","20000.00","2017","2017-1001-420-80025-00000000-00000000-4364"
"General Fund","Charges for Services","Genl Fd Fire Revenue","Fire Foster Homes","583.00","583.00","2017","2017-1001-420-80025-00000000-00000000-4365"
"General Fund","Charges for Services","Genl Fd Fire Revenue","Fire Fuel Line Leak","3000.00","3000.00","2017","2017-1001-420-80025-00000000-00000000-4366"
"General Fund","Charges for Services","Genl Fd Fire Revenue","Fire Health Care Facilities","1274.00","1274.00","2017","2017-1001-420-80025-00000000-00000000-4368"
"General Fund","Charges for Services","Genl Fd Fire Revenue","Fire Nursing Homes","318.00","318.00","2017","2017-1001-420-80025-00000000-00000000-4370"
"General Fund","Charges for Services","Genl Fd GG Revenue","CSO Certificate Searches","46920.00","46920.00","2017","2017-1001-100-80010-00000000-00000000-4390"
"General Fund","Charges for Services","Genl Fd GG Revenue","CSO Notary Fee","53.00","53.00","2017","2017-1001-100-80010-00000000-00000000-4391"
"General Fund","Charges for Services","Genl Fd GG Revenue","CSO Postage/Certificate Mail","520.00","520.00","2017","2017-1001-100-80010-00000000-00000000-4392"
"General Fund","Charges for Services","Genl Fd GG Revenue","CSO Xerox/Repro Charges","265.00","265.00","2017","2017-1001-100-80010-00000000-00000000-4393"
"General Fund","Charges for Services","Genl Fd Lincoln Center","PARD Recreation Programs","40000.00","40000.00","2017","2017-1001-530-81125-CT850   -00000000-4480"
"General Fund","Charges for Services","Genl Fd PARD Revenue","Concessions WPC","3130","3130","2017","2017-1001-530-80060-00000000-00000000-4585"
"General Fund","Charges for Services","Genl Fd PARD Revenue","PARD Grave Open/Close Fee","155.00","155.00","2017","2017-1001-530-80060-00000000-00000000-4492"
"General Fund","Charges for Services","Genl Fd PARD Revenue","PARD Heritage Programs","2000.00","2000.00","2017","2017-1001-530-80060-00000000-00000000-4490"
"General Fund","Charges for Services","Genl Fd PARD Revenue","PARD Post Burial Fees","27000.00","27000.00","2017","2017-1001-530-80060-00000000-00000000-4493"
"General Fund","Charges for Services","Genl Fd PARD Revenue","PARD Recreation Programs","8000.00","8000.00","2017","2017-1001-530-80060-00000000-00000000-4480"
"General Fund","Charges for Services","Genl Fd PARD Revenue","PARD Tournament Fees","75000.00","75000.00","2017","2017-1001-530-80060-00000000-00000000-4483"
"General Fund","Charges for Services","Genl Fd PARD Revenue","PARD WPC Ticket Sales (NT)","4200.00","4200.00","2017","2017-1001-530-80060-00000000-00000000-4494"
"General Fund","Charges for Services","Genl Fd PD Revenue","False Alarms","26010.00","26010.00","2017","2017-1001-410-80020-00000000-00000000-4312"
"General Fund","Charges for Services","Genl Fd PD Revenue","Police Arrest Fees","92700.00","92700.00","2017","2017-1001-410-80020-00000000-00000000-4310"
"General Fund","Charges for Services","Genl Fd PD Revenue","Police Escort Services","27540.00","27540.00","2017","2017-1001-410-80020-00000000-00000000-4311"
"General Fund","Charges for Services","Genl Fd PD Revenue","Police Fingerprinting","3672.00","3672.00","2017","2017-1001-410-80020-00000000-00000000-4313"
"General Fund","Charges for Services","Genl Fd PD Revenue","Police Police Reports","7650.00","7650.00","2017","2017-1001-410-80020-00000000-00000000-4315"
"General Fund","Charges for Services","Genl Fd PD Revenue","Police Records Check","530.00","530.00","2017","2017-1001-410-80020-00000000-00000000-4317"
"General Fund","Charges for Services","Genl Fd P&DS Revenue","P&DS Misc Fees","850000.00","600000.00","2017","2017-1001-430-80030-00000000-00000000-4479"
"General Fund","Charges for Services","Genl Fd Southwood Pool","PARD Recreation Programs","50000.00","50000.00","2017","2017-1001-530-81125-AQ731   -00000000-4480"
"General Fund","Charges for Services","Genl Fd SW Center   Senior","PARD Recreation Programs","8500.00","8500.00","2017","2017-1001-530-81125-CT830   -00000000-4480"
"General Fund","Charges for Services","Genl Fd SW Center   Teen","PARD Recreation Programs","650.00","650.00","2017","2017-1001-530-81125-CT840   -00000000-4480"
"General Fund","Charges for Services","Genl Fd Swim Lessons","PARD Recreation Programs","100000.00","100000.00","2017","2017-1001-530-81125-AQ736   -00000000-4480"
"General Fund","Charges for Services","Genl Fd Swim Team","PARD Recreation Programs","25000.00","25000.00","2017","2017-1001-530-81125-AQ738   -00000000-4480"
"General Fund","Charges for Services","Genl Fd Tennis Instruction","PARD Recreation Programs","10000.00","10000.00","2017","2017-1001-530-81125-SP760   -00000000-4480"
"General Fund","Charges for Services","Genl Fd Thomas Pool","PARD Recreation Programs","20000.00","20000.00","2017","2017-1001-530-81125-AQ732   -00000000-4480"
"General Fund","Charges for Services","Genl Fd Ultimate Frisbee","PARD Recreation Programs","1000.00","1000.00","2017","2017-1001-530-81125-SP766   -00000000-4480-"
"General Fund","Charges for Services","Genl Fd Water Fitness","PARD Recreation Programs","1000.00","1000.00","2017","2017-1001-530-81125-AQ737   -00000000-4480"
"General Fund","Charges for Services","Genl Fd Xtra Education","PARD Recreation Programs","55000.00","55000.00","2017","2017-1001-530-81125-XT794   -00000000-4480"
"General Fund","Charges for Services","Genl Fd Youth Basketball","PARD Recreation Programs","55000.00","55000.00","2017","2017-1001-530-81125-SP754   -00000000-4480"
"General Fund","Charges for Services","Genl Fd Youth Flag Football","PARD Recreation Programs","25000.00","25000.00","2017","2017-1001-530-81125-SP755   -00000000-4480"
"General Fund","Charges for Services","Genl Fd Youth Volleyball","PARD Recreation Programs","15000.00","15000.00","2017","2017-1001-530-81125-SP757   -00000000-4480"
"General Fund","Contribution Revenue","Genl Fd Fire Revenue","Contributions/Sponsorships","520.00","520.00","2017","2017-1001-420-80025-00000000-00000000-4573"
"General Fund","Contribution Revenue","Genl Fd PARD Revenue","Contributions/Sponsorships","5121.00","5121.00","2017","2017-1001-530-80060-00000000-00000000-4573"
"General Fund","Contribution Revenue","Genl Fd PD Revenue","Contributions/Sponsorships","5306.00","5306.00","2017","2017-1001-410-80020-00000000-00000000-4573"
"General Fund","Fines & Penalties","Genl Fd Fiscal Dept Rev","Court City Omni","19633.00","19633.00","2017","2017-1001-300-80015-00000000-00000000-4410"
"General Fund","Fines & Penalties","Genl Fd Fiscal Dept Rev","Court Court Dismissal Fees","10404.00","10404.00","2017","2017-1001-300-80015-00000000-00000000-4411"
"General Fund","Fines & Penalties","Genl Fd Fiscal Dept Rev","Court Expungement Fee","212.00","212.00","2017","2017-1001-300-80015-00000000-00000000-4412"
"General Fund","Fines & Penalties","Genl Fd Fiscal Dept Rev","Court FTA Warrant Services","416.00","416.00","2017","2017-1001-300-80015-00000000-00000000-4413"
"General Fund","Fines & Penalties","Genl Fd Fiscal Dept Rev","Court General Admin Fees","47858.00","47858.00","2017","2017-1001-300-80015-00000000-00000000-4414"
"General Fund","Fines & Penalties","Genl Fd Fiscal Dept Rev","Court Notary Fees","212.00","212.00","2017","2017-1001-300-80015-00000000-00000000-4416"
"General Fund","Fines & Penalties","Genl Fd Fiscal Dept Rev","Court Teen Court Admin Fees","1062.00","1062.00","2017","2017-1001-300-80015-00000000-00000000-4417"
"General Fund","Fines & Penalties","Genl Fd Fiscal Dept Rev","Court Time Pmt Fee/Unreserved","25000.00","25000.00","2017","2017-1001-300-80015-00000000-00000000-4419"
"General Fund","Fines & Penalties","Genl Fd Fiscal Dept Rev","Court Warrant Service Fee","110000.00","110000.00","2017","2017-1001-300-80015-00000000-00000000-4421"
"General Fund","Fines & Penalties","Genl Fd Fiscal Dept Rev","Fines/Penalties Bond Forfeits","3745.00","3745.00","2017","2017-1001-300-80015-00000000-00000000-4430"
"General Fund","Fines & Penalties","Genl Fd Fiscal Dept Rev","Fines/Penalties ChldSafeT Seat","33293.00","33293.00","2017","2017-1001-300-80015-00000000-00000000-4432"
"General Fund","Fines & Penalties","Genl Fd Fiscal Dept Rev","Fines/Penalties Chld Safety Fd","32252.00","32252.00","2017","2017-1001-300-80015-00000000-00000000-4431"
"General Fund","Fines & Penalties","Genl Fd Fiscal Dept Rev","Fines/Penalties CityPrkg Fines","40000.00","40000.00","2017","2017-1001-300-80015-00000000-00000000-4433"
"General Fund","Fines & Penalties","Genl Fd Fiscal Dept Rev","Fines/Penalties CivilPrkg Fine","1062.00","1062.00","2017","2017-1001-300-80015-00000000-00000000-4434"
"General Fund","Fines & Penalties","Genl Fd Fiscal Dept Rev","Fines/Penalties Miscellaneous","2725000.00","2725000.00","2017","2017-1001-300-80015-00000000-00000000-4435"
"General Fund","Fines & Penalties","Genl Fd Fiscal Dept Rev","Fines/Penalties Traffic Fines","31212.00","31212.00","2017","2017-1001-300-80015-00000000-00000000-4437"
"General Fund","Intergovernmental","Genl Fd Fire Revenue","Grants Federal","522512.00","522512.00","2017","2017-1001-420-80025-00000000-00000000-4610"
"General Fund","Intergovernmental","Genl Fd Fire Revenue","Grants State","211853.00","211853.00","2017","2017-1001-420-80025-00000000-00000000-4620"
"General Fund","Intergovernmental","Genl Fd Fire Revenue","Other Intergovtal Reimb Costs","40000.00","40000.00","2017","2017-1001-420-80025-00000000-00000000-4636"
"General Fund","Intergovernmental","Genl Fd SW Center   Senior","Grants Federal","7000.00","7000.00","2017","2017-1001-530-81125-CT830   -00000000-4610"
"General Fund","Investment Earnings","Genl Fd GG Revenue","Investment Income","100000.00","100000.00","2017","2017-1001-100-80010-00000000-00000000-4030"
"General Fund","Licenses & Permits","Genl Fd Community Svcs Revenue","Rental Registration","82000.00","82000.00","2017","2017-1001-450-80035-00000000-00000000-4465-"
"General Fund","Licenses & Permits","Genl Fd Fire Revenue","License/Permit Ambulance Lic","1236.00","1236.00","2017","2017-1001-420-80025-00000000-00000000-4450"
"General Fund","Licenses & Permits","Genl Fd GG Revenue","License/Permit Mixed Drink","36050.00","36050.00","2017","2017-1001-100-80010-00000000-00000000-4462"
"General Fund","Licenses & Permits","Genl Fd PD Revenue","License/Permit Child Safe Prog","100000.00","100000.00","2017","2017-1001-410-80020-00000000-00000000-4453"
"General Fund","Licenses & Permits","Genl Fd PD Revenue","License/Permit Itinerant Vend","4120.00","4120.00","2017","2017-1001-410-80020-00000000-00000000-4455-"
"General Fund","Licenses & Permits","Genl Fd P&DS Revenue","P&DS Contractor Reg","27873.00","27873.00","2017","2017-1001-430-80030-00000000-00000000-4451"
"General Fund","Licenses & Permits","Genl Fd P&DS Revenue","P&DS Permits","1250000.00","1500000.00","2017","2017-1001-430-80030-00000000-00000000-4452"
"General Fund","Misc Non-Operating","Genl Fd Fire Revenue","Reimbursed Expenses","18000.00","0.00","2017","2017-1001-420-80025-00000000-00000000-4545"
"General Fund","Misc Non-Operating","Genl Fd Fiscal Dept Rev","Collection Service Fees","795.00","795.00","2017","2017-1001-300-80015-00000000-00000000-4020"
"General Fund","Misc Non-Operating","Genl Fd GG Revenue","Cash Over/Short","1530.00","1530.00","2017","2017-1001-100-80010-00000000-00000000-4010"
"General Fund","Misc Non-Operating","Genl Fd GG Revenue","Misc Nonoperating Revenue","74201.00","74201.00","2017","2017-1001-100-80010-00000000-00000000-4790"
"General Fund","Misc Non-Operating","Genl Fd GG Revenue","Reimbursed Expenses","5202.00","5202.00","2017","2017-1001-100-80010-00000000-00000000-4545"
"General Fund","Misc Non-Operating","Genl Fd GG Revenue","Sale of Scrap Metal","10925.00","10925.00","2017","2017-1001-100-80010-00000000-00000000-4781"
"General Fund","Misc Non-Operating","Genl Fd IT Revenue","Reimbursed Expenses","1061.00","1061.00","2017","2017-1001-600-80065-00000000-00000000-4545"
"General Fund","Misc Non-Operating","Genl Fd PARD Revenue","Reimbursed Expenses","8000.00","8000.00","2017","2017-1001-530-80060-00000000-00000000-4545"
"General Fund","Other Revenue","Genl Fd Fire Revenue","Restitution","4700.00","4700.00","2017","2017-1001-420-80025-00000000-00000000-4550"
"General Fund","Other Revenue","Genl Fd Fiscal Dept Rev","Other Fees Credit Card Conven","58262","58262","2017","2017-1001-300-80015-00000000-00000000-4281"
"General Fund","Other Revenue","Genl Fd GG Revenue","Misc Operating Revenues","640.00","640.00","2017","2017-1001-100-80010-00000000-00000000-4590"
"General Fund","Other Revenue","Genl Fd PARD Revenue","Misc Operating Revenues","3000.00","3000.00","2017","2017-1001-530-80060-00000000-00000000-4590"
"General Fund","Other Revenue","Genl Fd PD Revenue","Misc Operating Revenues","146660.00","146660.00","2017","2017-1001-410-80020-00000000-00000000-4590"
"General Fund","Other Revenue","Genl Fd PD Revenue","Other Fees Credit Card Conven","51","51","2017","2017-1001-410-80020-00000000-00000000-4281"
"General Fund","Other Revenue","Genl Fd PD Revenue","Police SRO Reimb","343008.00","343008.00","2017","2017-1001-410-80020-00000000-00000000-4319-"
"General Fund","Other Revenue","Genl Fd PD Revenue","Restitution","1152.00","1152.00","2017","2017-1001-410-80020-00000000-00000000-4550"
"General Fund","Other Taxes","Genl Fd GG Revenue","Tax BTU Franchise","191746.00","191746.00","2017","2017-1001-100-80010-00000000-00000000-4155-"
"General Fund","Other Taxes","Genl Fd GG Revenue","Tax Natural Gas Franchise","485000.00","485000.00","2017","2017-1001-100-80010-00000000-00000000-4150"
"General Fund","Other Taxes","Genl Fd GG Revenue","Tax Oil & Gas Franchise","27849.00","27849.00","2017","2017-1001-100-80010-00000000-00000000-4151"
"General Fund","Other Taxes","Genl Fd GG Revenue","Tax Telecable Franchise","1032823.00","1032823.00","2017","2017-1001-100-80010-00000000-00000000-4152"
"General Fund","Other Taxes","Genl Fd GG Revenue","Tax Telephone Franchise","625000.00","625000.00","2017","2017-1001-100-80010-00000000-00000000-4153"
"General Fund","Other Taxes","Genl Fd GG Revenue","Tax Use of Streets","49191.00","49191.00","2017","2017-1001-100-80010-00000000-00000000-4154"
"General Fund","Rents and Royalties","Genl Fd Adamson Lagoon","Rentals","30000","30000","2017","2017-1001-530-81125-AQ733   -00000000-4510"
"General Fund","Rents and Royalties","Genl Fd GG Revenue","P&DS Mineral Interest Royalty","5212.00","5212.00","2017","2017-1001-100-80010-00000000-00000000-4474"
"General Fund","Rents and Royalties","Genl Fd Lincoln Center","Rentals Lincoln Center","30000.00","30000.00","2017","2017-1001-530-81125-CT850   -00000000-4516"
"General Fund","Rents and Royalties","Genl Fd PARD Revenue","Rentals Ball fields","30000.00","30000.00","2017","2017-1001-530-80060-00000000-00000000-4515"
"General Fund","Rents and Royalties","Genl Fd PARD Revenue","Rentals Park Pavilions","40000.00","40000.00","2017","2017-1001-530-80060-00000000-00000000-4517"
"General Fund","Rents and Royalties","Genl Fd PARD Revenue","Rentals WPC Amphitheater","12000.00","12000.00","2017","2017-1001-530-80060-00000000-00000000-4519"
"General Fund","Rents and Royalties","Genl Fd Southwood Pool","Rentals Southwood Pool","10000.00","10000.00","2017","2017-1001-530-81125-AQ731   -00000000-4511"
"General Fund","Rents and Royalties","Genl Fd SW Center   Teen","Rentals SW Center","30000.00","30000.00","2017","2017-1001-530-81125-CT840   -00000000-4518"
"General Fund","Rents and Royalties","Genl Fd Thomas Pool","Rentals Thomas Park Pool","5000.00","5000.00","2017","2017-1001-530-81125-AQ732   -00000000-4512"
"General Fund","Sales Tax","Genl Fd GG Revenue","Tax Local Sales Tax","27487262.00","27487262.00","2017","2017-1001-100-80010-00000000-00000000-4120"
"General Fund","Sales Tax","Genl Fd GG Revenue","Tax Mixed Drink","627016","627016","2017","2017-1001-100-80010-00000000-00000000-4140"
"General Fund","Transfers In-CIP","Genl Fd Non Dept Revenue","Transfer In Streets CIP Fd","400000","400000","2017","2017-1001-910-89000-00000000-00000000-4879"
"General Fund","Utility Transfer","Genl Fd GG Revenue","Utility Transfer Electric","8021864.00","8021864.00","2017","2017-1001-100-80010-00000000-00000000-4750"
"General Fund","Utility Transfer","Genl Fd GG Revenue","Utility Transfer Sanitation","730000.00","730000.00","2017","2017-1001-100-80010-00000000-00000000-4751"
"General Fund","Utility Transfer","Genl Fd GG Revenue","Utility Transfer Wastewater","1466922.00","1466922.00","2017","2017-1001-100-80010-00000000-00000000-4752"
"General Fund","Utility Transfer","Genl Fd GG Revenue","Utility Transfer Water","1546447.00","1546447.00","2017","2017-1001-100-80010-00000000-00000000-4753"
"General Govt Projects Fund","Bond Proceeds","Gen Govt CIP Fd Non Dept Rev","Proceeds Certificates of Oblig","15635000.00","15720000.00","2017","2017-4137-910-89000-00000000-00000000-4050"
"General Govt Projects Fund","Bond Proceeds","Gen Govt CIP Fd Non Dept Rev","Proceeds General Oblig Bonds","3700000.00","3700000.00","2017","2017-4137-910-89000-00000000-00000000-4040"
"General Govt Projects Fund","Investment Earnings","Gen Govt CIP Fd Non Dept Rev","Investment Income","30000.00","30000.00","2017","2017-4137-910-89000-00000000-00000000-4030"
"General Govt Projects Fund","Misc Non-Operating","Gen Govt CIP Fd Non Dept Rev","Misc Nonoperating Revenue","0.00","90000.00","2017","2017-4137-910-89000-00000000-00000000-4790-"
"General Govt Projects Fund","Transfers In-Replace","Gen Govt CIP Fd Non Dept Rev","Transfer In Equip Replace Fd","200000","200000","2017","2017-4137-910-89000-00000000-00000000-4865-"
"Hotel Tax Fund","Hotel Tax","Hotel Tax Fd Non Dept Rev","Tax Hotel/Motel","5391000.00","5391000.00","2017","2017-3121-910-89000-00000000-00000000-4130"
"Hotel Tax Fund","Investment Earnings","Hotel Tax Fd Non Dept Rev","Investment Income","40000.00","40000.00","2017","2017-3121-910-89000-00000000-00000000-4030"
"Juvenile Case Manager Fee Fund","Fines & Penalties","Juv Mgr Fd Revenue","Court Municipal Court Fees","96880.00","96880.00","2017","2017-3009-300-80015-00000000-00000000-4415"
"Juvenile Case Manager Fee Fund","Investment Earnings","Juv Mgr Fd Revenue","Investment Income","1337.00","1337.00","2017","2017-3009-300-80015-00000000-00000000-4030"
"Memorial Cem Endowment Fund","Charges for Services","Mem Endow Fd Non Dept Rev","Sales Cemetery Plots","124121","124121","2017","2017-3352-910-89000-00000000-00000000-4260"
"Memorial Cem Endowment Fund","Investment Earnings","Mem Endow Fd Non Dept Rev","Investment Income","3000.00","3000.00","2017","2017-3352-910-89000-00000000-00000000-4030"
"Memorial Cemetery Fund","Charges for Services","Mem Cem Fd Non Dept Rev","Sales Cemetery Plots","252004","252004","2017","2017-3350-910-89000-00000000-00000000-4260"
