"fiscal_year","request","dp_department","dv_division","bb_dp_dept","department_name","bb_sa_sort","service_area","or_org_number","org_number_and_name","fd_fund_number","fund_fund_numer","fund_number","fund_name","fund_number_and_name","fund_fund_number_and_name","pj_project","project_name","pg_program_number","program_number_and_name","order_account_category","category_name","expenditure_type","rev_or_exp","acct_number_and_name","ac_account_number","value"
"2015-2016","Existing","DP1000 - Police Department","DV1080 - Bureau of Field Operations","DP13 - Police Department","Police Department","DV1301","Bureau of Field Operations 1","OR_108130","108130 - District Area 3","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_1000008","1000008 - DP1000 Administrative Project","PG_PS03","PS03 - CRIMINAL INVESTIGATIONS","09 -  Allowances & Premiums","Allowances & Premiums","Personnel Expenditures","Expense","51413 - Standby Pay","AC_51413","-10"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV306 - Facilities Environment","DP21 - Oakland Public Works","Oakland Public Works","DV2103","Environmental Services","OR_30685","30685 - Environmental Services: Watershed Program","FD_3100","Fund 3100","3100","Sewer Service Fund","3100 - Sewer Service Fund","Fund 3100 - Sewer Service Fund","PJ_1000969","1000969 - CLEAN CREEKS CA-H578","PG_0000","PG_0000","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58726 - Prior Year Adjustments: O & M","AC_58726","-10"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2109","Watershed & Storm Drain Management & Maintenance ","OR_30245","30245 - Watershed and Stormwater Program","FD_2999","Fund 2999","2999","Miscellaneous Grants","2999 - Miscellaneous Grants","Fund 2999 - Miscellaneous Grants","PJ_C300310","PJ_C300310","PG_CONV","PG_CONV","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58726 - Prior Year Adjustments: O & M","AC_58726","-9.88"
"2015-2016","Existing","DP5000 - Oakland Parks and Recreation Department","DV503 - OPR: Area Two","DP16 - Oakland Parks & Recreation","Oakland Parks & Recreation","DV1602","Area II - Central","OR_503235","503235 - Manzanita Recreation Center","FD_1820","Fund 1820","1820","OPRCA Self Sustaining Revolving Fund","1820 - OPRCA Self Sustaining Revolving Fund","Fund 1820 - OPRCA Self Sustaining Revolving Fund","PJ_P52611","PJ_P52611","PG_NB03","NB03 - RECREATION, CULTURAL CIVIC","04 - Civilian Fringe Benefits","Civilian Fringe Benefits","Personnel Expenditures","Expense","51613 - Civilian: Fringe Benefits Accrual","AC_51613","-9.37"
"2015-2016","Existing","DP940 - Capital Improvement Projects","DV920 - Capital Improvement Projects: Public Works","DP24 - Capital Improvement Projects","Capital Improvement Projects","DV2400","Capital Improvement Projects","OR_92244","92244 - Engineer Design: Sanitary Sewer","FD_3100","Fund 3100","3100","Sewer Service Fund","3100 - Sewer Service Fund","Fund 3100 - Sewer Service Fund","PJ_C197310","PJ_C197310","PG_0000","PG_0000","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58726 - Prior Year Adjustments: O & M","AC_58726","-8.35"
"2015-2016","Existing","DP750 - Human Services Department","DV784 - Community Housing Services","DP17 - Human Services","Human Services","DV1703","Community Housing Services","OR_78411","78411 - Community Housing Services","FD_2103","Fund 2103","2103","HUD-ESG/SHP/HOPWA","2103 - HUD-ESG/SHP/HOPWA","Fund 2103 - HUD-ESG/SHP/HOPWA","PJ_1000536","1000536 - SHP MCTHP 2013","PG_SC22","SC22 - FOSTERING SAFE AND HEALTHY COMMUNITIES","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58726 - Prior Year Adjustments: O & M","AC_58726","-8"
"2015-2016","Existing","DP1000 - Police Department","DV1030 - Bureau of Services","DP13 - Police Department","Police Department","DV1303","Bureau of Services","OR_103430","103430 - Training Unit","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_P401360","PJ_P401360","PG_PS09","PS09 - POLICE TRAINING","11 - Services & Supplies","Services & Supplies","Non-Personnel Expenditures","Expense","52913 - Supplies: Technical and Scientific","AC_52913","-7.64"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV301 - Public Works Director and Administration","DP21 - Oakland Public Works","Oakland Public Works","DV2100","Administration","OR_30111","30111 - Director's Office","FD_7760","Fund 7760","7760","Grant Clearing","7760 - Grant Clearing","Fund 7760 - Grant Clearing","PJ_1001288","1001288 - PWA OVERHEAD CLEARING","PG_AD01","AD01 - ADMINISTRATION-TO BE ALLOCATED","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58725 - Prior Year Adjustments: Salary & Benefits","AC_58725","-6.64"
"2015-2016","Existing","DP750 - Human Services Department","DV782 - Youth Services","DP17 - Human Services","Human Services","DV1704","Early Childhood & Family Services","OR_78232","78232 - Head Start - Central Office Program","FD_2128","Fund 2128","2128","Department of Health and Human Services","2128 - Department of Health and Human Services","Fund 2128 - Department of Health and Human Services","PJ_1001276","1001276 - EHS EXP FY15-16 CCFP","PG_YS13","YS13 - STRENGTHENING CHILDREN, YOUTH & FAMILIES","09 -  Allowances & Premiums","Allowances & Premiums","Personnel Expenditures","Expense","51411 - Shift Pay","AC_51411","-6.64"
"2015-2016","Existing","DP750 - Human Services Department","DV782 - Youth Services","DP17 - Human Services","Human Services","DV1704","Early Childhood & Family Services","OR_78231","78231 - HS Classroom and Seasonal","FD_2128","Fund 2128","2128","Department of Health and Human Services","2128 - Department of Health and Human Services","Fund 2128 - Department of Health and Human Services","PJ_1000323","1000323 - MEDI-CAL ADMIN ACTIVITIES","PG_YS14","YS14 - EMPOWERING SENIORS & PEOPLE WITH DISABILITY","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58726 - Prior Year Adjustments: O & M","AC_58726","-6.26"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV306 - Facilities Environment","DP21 - Oakland Public Works","Oakland Public Works","DV2106","Parks, Grounds & Medians Maintenance","OR_30652","30652 - Landscape Maintenance","FD_2310","Fund 2310","2310","Lighting and Landscape Assessment District","2310 - Lighting and Landscape Assessment District","Fund 2310 - Lighting and Landscape Assessment District","PJ_1000010","1000010 - DP300 Administrative Project","PG_CONV","PG_CONV","03 - Civilian Retirement","Civilian Retirement","Personnel Expenditures","Expense","51611 - Civilian: Retirement Accrual","AC_51611","-6.04"
"2015-2016","Existing","DP200 - Fire Department","DV207 - Fire: Safety Support Operations","DP14 - Fire Department","Fire Department","DV1404","Emergency Management Services","OR_20711","20711 - Emergency Services Program","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_1001175","1001175 - HOUSEHD HAZ WASTE P40200","PG_PS21","PS21 - OFFICE OF EMERGENCY SERVICES/HOMELAND SECURITY","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58726 - Prior Year Adjustments: O & M","AC_58726","-5.98"
"2015-2016","Existing","DP1000 - Police Department","DV1070 - Bureau of Field Operations New","DP13 - Police Department","Police Department","DV1302","Bureau of Field Operations 2","OR_107510","107510 - Traffic Operations","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_1001458","1001458 - PORT-JLS OT SECURITY","PG_PS13","PS13 - SPECIAL OPERATIONS","06 - Sworn Overtime","Sworn Overtime","Personnel Expenditures","Expense","51214 - Sworn: Overtime","AC_51214","0.01"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2102","Design & Construction ","OR_30234","30234 - Facilities Planning and Development","FD_3100","Fund 3100","3100","Sewer Service Fund","3100 - Sewer Service Fund","Fund 3100 - Sewer Service Fund","PJ_1000689","1000689 - PWA DESIGN - ADMINSTRATION","PG_IN06","IN06 - PROJECT DELIVERY","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58726 - Prior Year Adjustments: O & M","AC_58726","-4.84"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2110","Transportation","OR_30235","30235 - Surveying","FD_3100","Fund 3100","3100","Sewer Service Fund","3100 - Sewer Service Fund","Fund 3100 - Sewer Service Fund","PJ_1000010","1000010 - DP300 Administrative Project","PG_IN06","IN06 - PROJECT DELIVERY","11 - Services & Supplies","Services & Supplies","Non-Personnel Expenditures","Expense","52917 - Shoe/Boot Supplemental","AC_52917","-4.38"
"2015-2016","Existing","DP200 - Fire Department","DV203 - Fire: Prevention","DP14 - Fire Department","Fire Department","DV1402","Fire Prevention","OR_20371","20371 - Vegetation Management","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_1000009","1000009 - DP200 Administrative Project","PG_PS23","PS23 - FIRE PREVENTION BUREAU","11 - Services & Supplies","Services & Supplies","Non-Personnel Expenditures","Expense","52919 - Supplies: Miscellaneous and Commodities","AC_52919","-0.5"
"2015-2016","Existing","DP5000 - Oakland Parks and Recreation Department","DV5010 - Parks and Recreation: Administration","DP16 - Oakland Parks & Recreation","Oakland Parks & Recreation","DV1606","Area VI - City - Wide","OR_501250","501250 - Special Programs","FD_1820","Fund 1820","1820","OPRCA Self Sustaining Revolving Fund","1820 - OPRCA Self Sustaining Revolving Fund","Fund 1820 - OPRCA Self Sustaining Revolving Fund","PJ_1000012","1000012 - DP5000 Administrative Project","PG_NB01","NB01 - CENTRAL ADMINISTRATION","04 - Civilian Fringe Benefits","Civilian Fringe Benefits","Personnel Expenditures","Expense","51613 - Civilian: Fringe Benefits Accrual","AC_51613","-0.24"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV306 - Facilities Environment","DP21 - Oakland Public Works","Oakland Public Works","DV2103","Environmental Services","OR_30689","30689 - Environmental Services: Energy Group","FD_4450","Fund 4450","4450","City Facilities Energy Conservation Projects","4450 - City Facilities Energy Conservation Projects","Fund 4450 - City Facilities Energy Conservation Projects","PJ_1000010","1000010 - DP300 Administrative Project","PG_SC26","SC26 - SUSTAINABLE OAKLAND PROGRAM","17 - Overhead Allocations","Overhead Allocations","Non-Personnel Expenditures","Expense","58522 - Overhead: Central Services Cost Allocation","AC_58522","-0.19"
"2015-2016","Existing","DP750 - Human Services Department","DV781 - Administration Division","DP17 - Human Services","Human Services","DV1700","Administration","OR_78111","78111 - Department of Human Services: Administration","FD_2108","Fund 2108","2108","HUD-CDBG","2108 - HUD-CDBG","Fund 2108 - HUD-CDBG","PJ_1000017","1000017 - DP780 Administrative Project","PG_SC22","SC22 - FOSTERING SAFE AND HEALTHY COMMUNITIES","04 - Civilian Fringe Benefits","Civilian Fringe Benefits","Personnel Expenditures","Expense","51613 - Civilian: Fringe Benefits Accrual","AC_51613","-0.16"
"2015-2016","Existing","DPCLR - Default / Clearing Organization","DVCLR - Default / Clearing Organization","DP23 - Non-Departmental","Non-Departmental","DP2302","Fiscal Management","OR_000000","000000 - Undetermined Organization","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_0000000","PJ_0000000","PG_0000","PG_0000","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58742 - Interest Penalty-Prompt Payment Ordinance","AC_58742","-0.16"
"2015-2016","Existing","DP750 - Human Services Department","DV784 - Community Housing Services","DP17 - Human Services","Human Services","DV1703","Community Housing Services","OR_78411","78411 - Community Housing Services","FD_2103","Fund 2103","2103","HUD-ESG/SHP/HOPWA","2103 - HUD-ESG/SHP/HOPWA","Fund 2103 - HUD-ESG/SHP/HOPWA","PJ_1001136","1001136 - SHP OHYHC 2013","PG_SC22","SC22 - FOSTERING SAFE AND HEALTHY COMMUNITIES","04 - Civilian Fringe Benefits","Civilian Fringe Benefits","Personnel Expenditures","Expense","51613 - Civilian: Fringe Benefits Accrual","AC_51613","-0.15"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV306 - Facilities Environment","DP21 - Oakland Public Works","Oakland Public Works","DV2103","Environmental Services","OR_30689","30689 - Environmental Services: Energy Group","FD_4450","Fund 4450","4450","City Facilities Energy Conservation Projects","4450 - City Facilities Energy Conservation Projects","Fund 4450 - City Facilities Energy Conservation Projects","PJ_1000010","1000010 - DP300 Administrative Project","PG_SC26","SC26 - SUSTAINABLE OAKLAND PROGRAM","04 - Civilian Fringe Benefits","Civilian Fringe Benefits","Personnel Expenditures","Expense","51613 - Civilian: Fringe Benefits Accrual","AC_51613","-0.1"
"2015-2016","Existing","DP940 - Capital Improvement Projects","DV920 - Capital Improvement Projects: Public Works","DP24 - Capital Improvement Projects","Capital Improvement Projects","DV2400","Capital Improvement Projects","OR_92246","92246 - Engineer Design: Traffic / Parking","FD_2061","Fund 2061","2061","2006 FEMA: 1628 Winter Storms","2061 - 2006 FEMA: 1628 Winter Storms","Fund 2061 - 2006 FEMA: 1628 Winter Storms","PJ_G298110","PJ_G298110","PG_IN05","IN05 - ENGINEERING PLANNING & DESIGN","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58726 - Prior Year Adjustments: O & M","AC_58726","-0.1"
"2015-2016","Existing","DP5000 - Oakland Parks and Recreation Department","DV5010 - Parks and Recreation: Administration","DP16 - Oakland Parks & Recreation","Oakland Parks & Recreation","DV1606","Area VI - City - Wide","OR_501250","501250 - Special Programs","FD_1820","Fund 1820","1820","OPRCA Self Sustaining Revolving Fund","1820 - OPRCA Self Sustaining Revolving Fund","Fund 1820 - OPRCA Self Sustaining Revolving Fund","PJ_1000012","1000012 - DP5000 Administrative Project","PG_NB01","NB01 - CENTRAL ADMINISTRATION","01 - Civilian Salaries","Civilian Salaries","Personnel Expenditures","Expense","51511 - Civilian: Paid Leave Charge","AC_51511","-0.09"
"2015-2016","Existing","DP1000 - Police Department","DV1080 - Bureau of Field Operations","DP13 - Police Department","Police Department","DV1301","Bureau of Field Operations 1","OR_108130","108130 - District Area 3","FD_2113","Fund 2113","2113","Department of Justice - COPS Hiring","2113 - Department of Justice - COPS Hiring","Fund 2113 - Department of Justice - COPS Hiring","PJ_1000760","1000760 - 2013 COPS HIRING PROGRAM","PG_CONV","PG_CONV","08 - Sworn Fringe Benefits","Sworn Fringe Benefits","Personnel Expenditures","Expense","51614 - Sworn: Fringe Benefits Accrual","AC_51614","-0.07"
"2016-2017","Existing","DP080 - Finance Department","DV082 - Controller's Office","DP09 - Finance Department","Finance Department","DV0902","Controller","OR_08243","08243 - Purchasing","FD_4550","Fund 4550","4550","Purchasing","4550 - Purchasing","Fund 4550 - Purchasing","PJ_1000007","1000007 - DP080 Administrative Project","PG_IP28","IP28 - PURCHASING AND CONTRACT ADMINISTRATION","11 - Services & Supplies","Services & Supplies","Non-Personnel Expenditures","Expense","53116 - Telephone","AC_53116","5540"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV306 - Facilities Environment","DP21 - Oakland Public Works","Oakland Public Works","DV2103","Environmental Services","OR_30689","30689 - Environmental Services: Energy Group","FD_4450","Fund 4450","4450","City Facilities Energy Conservation Projects","4450 - City Facilities Energy Conservation Projects","Fund 4450 - City Facilities Energy Conservation Projects","PJ_1000010","1000010 - DP300 Administrative Project","PG_SC26","SC26 - SUSTAINABLE OAKLAND PROGRAM","03 - Civilian Retirement","Civilian Retirement","Personnel Expenditures","Expense","51611 - Civilian: Retirement Accrual","AC_51611","-0.07"
"2015-2016","Existing","DP610 - Oakland Public Library Department","DV612 - Main Library Services","DP15 - Oakland Public Library","Oakland Public Library","DV1503","Literacy Programs","OR_61213","61213 - Literacy","FD_2148","Fund 2148","2148","California Library Services","2148 - California Library Services","Fund 2148 - California Library Services","PJ_1000013","1000013 - DP610 Administrative Project","PG_NB19","NB19 - LITERACY PROGRAMS","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58725 - Prior Year Adjustments: Salary & Benefits","AC_58725","-0.06"
"2015-2016","Existing","DP1000 - Police Department","DV1080 - Bureau of Field Operations","DP13 - Police Department","Police Department","DV1301","Bureau of Field Operations 1","OR_108110","108110 - District Area 1","FD_2113","Fund 2113","2113","Department of Justice - COPS Hiring","2113 - Department of Justice - COPS Hiring","Fund 2113 - Department of Justice - COPS Hiring","PJ_1000760","1000760 - 2013 COPS HIRING PROGRAM","PG_CONV","PG_CONV","07 - Sworn Retirement","Sworn Retirement","Personnel Expenditures","Expense","51612 - Sworn: Retirement Accrual","AC_51612","-0.04"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV302 - Design and Construction Services","DP21 - Oakland Public Works","Oakland Public Works","DV2110","Transportation","OR_30248","30248 - Pavement Management","FD_2163","Fund 2163","2163","Metro Transportation Com: Program Grant","2163 - Metro Transportation Com: Program Grant","Fund 2163 - Metro Transportation Com: Program Grant","PJ_1000968","1000968 - CITYWIDE ST RESURFACING","PG_IN05","IN05 - ENGINEERING PLANNING & DESIGN","18 - Other Expenditures and Disbursments","Other Expenditures and Disbursments","Non-Personnel Expenditures","Expense","58725 - Prior Year Adjustments: Salary & Benefits","AC_58725","-0.03"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV305 - Infrastructure Operations","DP21 - Oakland Public Works","Oakland Public Works","DV2110","Transportation","OR_30534","30534 - Infrastructure Maint: Street Sidewalk","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_1000010","1000010 - DP300 Administrative Project","PG_IN04","IN04 - STREETS & SIDEWALKS MGMT & DEVELOPMENT","04 - Civilian Fringe Benefits","Civilian Fringe Benefits","Personnel Expenditures","Expense","51613 - Civilian: Fringe Benefits Accrual","AC_51613","-0.03"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV305 - Infrastructure Operations","DP21 - Oakland Public Works","Oakland Public Works","DV2110","Transportation","OR_30534","30534 - Infrastructure Maint: Street Sidewalk","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_1000010","1000010 - DP300 Administrative Project","PG_IN04","IN04 - STREETS & SIDEWALKS MGMT & DEVELOPMENT","17 - Overhead Allocations","Overhead Allocations","Non-Personnel Expenditures","Expense","58521 - Overhead: Departmental Cost Allocation","AC_58521","-0.03"
"2015-2016","Existing","DP1000 - Police Department","DV1020 - Bureau of Investigation","DP13 - Police Department","Police Department","DV1304","Bureau of Investigation","OR_102510","102510 - Assault","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_1000008","1000008 - DP1000 Administrative Project","PG_PS03","PS03 - CRIMINAL INVESTIGATIONS","01 - Civilian Salaries","Civilian Salaries","Personnel Expenditures","Expense","51511 - Civilian: Paid Leave Charge","AC_51511","-0.02"
"2015-2016","Existing","DP1000 - Police Department","DV1080 - Bureau of Field Operations","DP13 - Police Department","Police Department","DV1301","Bureau of Field Operations 1","OR_108130","108130 - District Area 3","FD_2113","Fund 2113","2113","Department of Justice - COPS Hiring","2113 - Department of Justice - COPS Hiring","Fund 2113 - Department of Justice - COPS Hiring","PJ_1000760","1000760 - 2013 COPS HIRING PROGRAM","PG_CONV","PG_CONV","05 - Sworn  Salaries","Sworn  Salaries","Personnel Expenditures","Expense","51512 - Sworn: Paid Leave Charge","AC_51512","-0.02"
"2015-2016","Existing","DP750 - Human Services Department","DV782 - Youth Services","DP17 - Human Services","Human Services","DV1704","Early Childhood & Family Services","OR_78235","78235 - HS Central Office Administration","FD_2128","Fund 2128","2128","Department of Health and Human Services","2128 - Department of Health and Human Services","Fund 2128 - Department of Health and Human Services","PJ_1000017","1000017 - DP780 Administrative Project","PG_YS13","YS13 - STRENGTHENING CHILDREN, YOUTH & FAMILIES","04 - Civilian Fringe Benefits","Civilian Fringe Benefits","Personnel Expenditures","Expense","51613 - Civilian: Fringe Benefits Accrual","AC_51613","-0.02"
"2015-2016","Existing","DP1000 - Police Department","DV1020 - Bureau of Investigation","DP13 - Police Department","Police Department","DV1304","Bureau of Investigation","OR_102324","102324 - Felony Assault and Gang Section","FD_2252","Fund 2252","2252","Measure Z - Violence Prevention and Public Safety Act of 2014","2252 - Measure Z - Violence Prevention and Public Safety Act of 2014","Fund 2252 - Measure Z - Violence Prevention and Public Safety Act of 2014","PJ_1001323","1001323 - MEASURE Z-OPD","PG_CONV","PG_CONV","05 - Sworn  Salaries","Sworn  Salaries","Personnel Expenditures","Expense","51512 - Sworn: Paid Leave Charge","AC_51512","-0.01"
"2015-2016","Existing","DP1000 - Police Department","DV1020 - Bureau of Investigation","DP13 - Police Department","Police Department","DV1304","Bureau of Investigation","OR_102324","102324 - Felony Assault and Gang Section","FD_2252","Fund 2252","2252","Measure Z - Violence Prevention and Public Safety Act of 2014","2252 - Measure Z - Violence Prevention and Public Safety Act of 2014","Fund 2252 - Measure Z - Violence Prevention and Public Safety Act of 2014","PJ_1001323","1001323 - MEASURE Z-OPD","PG_CONV","PG_CONV","08 - Sworn Fringe Benefits","Sworn Fringe Benefits","Personnel Expenditures","Expense","51614 - Sworn: Fringe Benefits Accrual","AC_51614","-0.01"
"2015-2016","Existing","DP1000 - Police Department","DV1070 - Bureau of Field Operations New","DP13 - Police Department","Police Department","DV1301","Bureau of Field Operations 1","OR_107110","107110 - Police Area 1","FD_2252","Fund 2252","2252","Measure Z - Violence Prevention and Public Safety Act of 2014","2252 - Measure Z - Violence Prevention and Public Safety Act of 2014","Fund 2252 - Measure Z - Violence Prevention and Public Safety Act of 2014","PJ_1001323","1001323 - MEASURE Z-OPD","PG_CONV","PG_CONV","07 - Sworn Retirement","Sworn Retirement","Personnel Expenditures","Expense","51612 - Sworn: Retirement Accrual","AC_51612","-0.01"
"2015-2016","Existing","DP1000 - Police Department","DV1070 - Bureau of Field Operations New","DP13 - Police Department","Police Department","DV1301","Bureau of Field Operations 1","OR_107110","107110 - Police Area 1","FD_2252","Fund 2252","2252","Measure Z - Violence Prevention and Public Safety Act of 2014","2252 - Measure Z - Violence Prevention and Public Safety Act of 2014","Fund 2252 - Measure Z - Violence Prevention and Public Safety Act of 2014","PJ_1001323","1001323 - MEASURE Z-OPD","PG_CONV","PG_CONV","08 - Sworn Fringe Benefits","Sworn Fringe Benefits","Personnel Expenditures","Expense","51614 - Sworn: Fringe Benefits Accrual","AC_51614","-0.01"
"2015-2016","Existing","DP1000 - Police Department","DV1080 - Bureau of Field Operations","DP13 - Police Department","Police Department","DV1302","Bureau of Field Operations 2","OR_108150","108150 - District Area 5","FD_2113","Fund 2113","2113","Department of Justice - COPS Hiring","2113 - Department of Justice - COPS Hiring","Fund 2113 - Department of Justice - COPS Hiring","PJ_1000761","1000761 - 2014 COPS HIRING PROGRAM","PG_PS11","PS11 - PATROL AREA 1","17 - Overhead Allocations","Overhead Allocations","Non-Personnel Expenditures","Expense","58522 - Overhead: Central Services Cost Allocation","AC_58522","-0.01"
"2015-2016","Existing","DP300 - Oakland Public Works Department","DV305 - Infrastructure Operations","DP21 - Oakland Public Works","Oakland Public Works","DV2110","Transportation","OR_30534","30534 - Infrastructure Maint: Street Sidewalk","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_1000010","1000010 - DP300 Administrative Project","PG_IN04","IN04 - STREETS & SIDEWALKS MGMT & DEVELOPMENT","01 - Civilian Salaries","Civilian Salaries","Personnel Expenditures","Expense","51511 - Civilian: Paid Leave Charge","AC_51511","-0.01"
"2015-2016","Existing","DP750 - Human Services Department","DV782 - Youth Services","DP17 - Human Services","Human Services","DV1704","Early Childhood & Family Services","OR_78235","78235 - HS Central Office Administration","FD_2128","Fund 2128","2128","Department of Health and Human Services","2128 - Department of Health and Human Services","Fund 2128 - Department of Health and Human Services","PJ_1000017","1000017 - DP780 Administrative Project","PG_YS13","YS13 - STRENGTHENING CHILDREN, YOUTH & FAMILIES","17 - Overhead Allocations","Overhead Allocations","Non-Personnel Expenditures","Expense","58521 - Overhead: Departmental Cost Allocation","AC_58521","-0.01"
"2015-2016","Existing","DP750 - Human Services Department","DV784 - Community Housing Services","DP17 - Human Services","Human Services","DV1703","Community Housing Services","OR_78411","78411 - Community Housing Services","FD_2103","Fund 2103","2103","HUD-ESG/SHP/HOPWA","2103 - HUD-ESG/SHP/HOPWA","Fund 2103 - HUD-ESG/SHP/HOPWA","PJ_1001136","1001136 - SHP OHYHC 2013","PG_SC22","SC22 - FOSTERING SAFE AND HEALTHY COMMUNITIES","03 - Civilian Retirement","Civilian Retirement","Personnel Expenditures","Expense","51611 - Civilian: Retirement Accrual","AC_51611","-0.01"
"2015-2016","Existing","DP1000 - Police Department","DV1010 - Office of the Chief of Police","DP13 - Police Department","Police Department","DV1300","Office of the Chief of Police","OR_101110","101110 - Office of Chief: Administration","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_1000008","1000008 - DP1000 Administrative Project","PG_PS02","PS02 - INTERNAL AFFAIRS","02 - Civilian Overtime","Civilian Overtime","Personnel Expenditures","Expense","51212 - Civilian: Other Overtime","AC_51212","0.01"
"2015-2016","Existing","DP1000 - Police Department","DV1020 - Bureau of Investigation","DP13 - Police Department","Police Department","DV1300","Office of the Chief of Police","OR_102140","102140 - Research Planning and Crime Analysis","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_1000008","1000008 - DP1000 Administrative Project","PG_CONV","PG_CONV","06 - Sworn Overtime","Sworn Overtime","Personnel Expenditures","Expense","51214 - Sworn: Overtime","AC_51214","0.01"
"2015-2016","Existing","DP1000 - Police Department","DV1020 - Bureau of Investigation","DP13 - Police Department","Police Department","DV1304","Bureau of Investigation","OR_102350","102350 - Youth and School Services Section","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_1000008","1000008 - DP1000 Administrative Project","PG_PS11","PS11 - PATROL AREA 1","09 -  Allowances & Premiums","Allowances & Premiums","Personnel Expenditures","Expense","51411 - Shift Pay","AC_51411","0.01"
"2015-2016","Existing","DP1000 - Police Department","DV1020 - Bureau of Investigation","DP13 - Police Department","Police Department","DV1304","Bureau of Investigation","OR_102510","102510 - Assault","FD_1010","Fund 1010","1010","General Purpose Fund (GPF)","1010 - General Purpose Fund (GPF)","Fund 1010 - General Purpose Fund (GPF)","PJ_1000008","1000008 - DP1000 Administrative Project","PG_PS03","PS03 - CRIMINAL INVESTIGATIONS","06 - Sworn Overtime","Sworn Overtime","Personnel Expenditures","Expense","51214 - Sworn: Overtime","AC_51214","0.01"
