"company_name","address","swam_type","swam_cert","expiration_date","designation","vendor","contact_name","email","contact_numbers","nigp_code_1","nigp_code_2","nigp_code_3","nigp_code_4","nigp_code_5","nigp_code_6","nigp_code_7","nigp_code_8","nigp_code_9","nigp_code_10","nigp_code_11","nigp_code_12"
"Radiantere Technologies, Inc","2437 Clover Field Circle, Herndon, VA 20171","WS","720157","5/19/2019",,,"Sujatha Gollamudi","sgollamudi@radiantere.com","(P)7039095352","91871 Cyber Security Advisory and Consulting",,,,,,,,,,,
"SPI LIMIITED DBA THE SCALE PEOPLE, INC.","708 GUM ROCK CT., SUITE H NEWPORT NEWS 23606","S","7307","2/2/2020",,,"CHRIS BUCK","CHRIS@SCALEPEOPLE.COM","(P) (757)873-1535 / (F) (757)873-0516","49582 LABORATORY SUUPLIES - SCALES","78000","93879","97972","99888","78008","78012","78016","78018 78020",,,
"A & J SUPPLY INC.","124 Tewnine Road Williamsburg 23188","MS","8906","2/3/2020","Micro-Business","32759","Mike  Johnson","moses@ajsupply.net","(P) (757) 220-0233 / (F) (757) 220-1730","67000 PLUMBING SUPPLY","3100 HEATING & A/C SUPPLY",,,,,,,,,,
"ROHADFOX CONSTRUCTION CONTROL SERVICES CORP.","171 17TH STREET, SUITE 1625 ATLANTA 30363","MS","650","12/12/2019",,"106399","REBEKAH ROHADFOX","bd@rccsc.net","(P) (404)880-9888 / (F) (404)880-9911","95826 CONSTRUCTION MANAGEMENT SERVICES",,,,,,,,,,,
"Carolina Clean, Inc.","909 48th Street Newport News 23607","MS","4701","4/13/2020",,"20442","Shirley Newsome","carolinacln@msn.com","(P) (757) 928-3900 / (F) (757) 928-9700","91039 JANITORIAL/CUSTODIAL SERVICES",,,,,,,,,,,
"DEMOLITION & ASBESTOS REMOVAL INC.","4716 HILLTOP ROAD GREENSBORO 27407","WS","653549","4/6/2020",,"HCS","BENITA G. MITCHELL","ELAINER@DHGRIFFIN.COM","(P) (336)510-1132 / (F) (703)257-4648","91038 ASBESTOS ABATEMENT","91240 DEMOLITION",,,,,,,,,,
"Elite Culinary Staffing, LLC","1002 Cameo Drive, Hampton, VA 23666","MS","707341","5/12/2019","Micro-Business",,"Jermaine Boothe","jb@eliteculinarystaffing.com","(P)7576799205","91852 Consulting","95284 Food services","95844 Managing","98940 Managing",,,,,,,,
"Onyx Technical Services, Inc. dba Onyx Audio Visual","800-A Principal Court Chesapeake 23320","S","8415","12/14/2019",,"24538","Paul Miller","pmiller@onyxeng.com","(P) (757) 436-6116 / (F) (757) 436-5526","880011 AUDIO VISUAL SYSTEMS INTEGRATION","939 Audio visual equipment maintenance and repair.","985 Audio/video equipment and accessory rental or lease.","998 Sale of surplus and obsolete items. (video/audio equipment)",,,,,,,,
"ENSPYR, LLC","6W. County St., Ste 104, Hampton, VA 23663","MS","647744","11/3/2016","Micro-Business",,"Sharon Durrette-Hunt","s.durrettehunt@enspyr.com","(P)7576606629/(F)7577220785","91800 Consulting Services","91804 Budgeting Consulting",,,,,,,,,,
"Tidewater Printers Inc. dba Cardwell Printing","15470 Warwick Blvd. Newport News 23608","S","10781","3/14/2020","Micro-Business","395","Phillip Gibson","dgibson@cardwellprinting.com","(P) (757) 888-0674 / (F) (757) 888-0993","96600 PRINTING AND RELATED SERVICES",,,,,,,,,,,
"Snap Office Supplies LLC dba Snap Supplies","9710 Farrar Court, Suite M, Richmond, VA 23236","WS","718423","12/16/2018","Micro-Business",,"Janet Todd","janet@snapsupplies.com; Andy@snapsupplies.com","(P)(804) 794-9387/(F) (804) 379-5765","20142 Gloves: Latex, Plastic, PVC, (All types)","20700 Computer Accessories and Supplies","20772 Printer Accessories","25000 Data processing paper","39500 Forms, Continuous Paper","39500 Forms, Continuous Paper","42500 Furniture, Office","60000 Office Machines, Equipment, and Accessories.","61000 Office Supplies: Carbon Paper and Ribbons, all types","61600 Office Supplies, General, Environmental","62000 Office Supplies: Erasers, Inks, Leads, Pencils, etc",
"CAPITOL MANAGEMENT CONSULTING SERVICES, INC�","1600 CHAIN BRIDGE ROAD MCLEAN, VA  22101","MS","694429","3/18/2019",,,"AKSHAT PRASAD","tgarrett@capitolmgt.us","(P)(571)318-6404/(F)(703)854-1418","91875  MANAGEMENT CONSULTING","91871  IT CONSULTING","91890  STRATEGIC TECHNOLOGY PLANNING AND CONSULTING SERVICES",,,,,,,,,
"VANTAGE POINT CONSULTING, INC.","10511 WILLIAM TERRY DRIVE VIENNA 22181","MS","710029","3/16/2020",,"106398","MARIA CRISTINA CARPENTER","jeffrey.carpenter@vantagepoint-inc.com","(P) (503)957-0634 / (F) (866)735-3197","91800 CONSULTING SERVICES","92000 DATA PROCESSING, COMPUTER, PROGRAMMING, AND SOFTWARE SERVICES","95200 HUMAN SERVICES","94200 EDUCATIONAL/TRAINING SERVICES","96200 MISCELLANEOUS SERVICES NO. 2 (NOT OTHERWISE CLASSIFIED)",,,,,,,
"Advance Safety Equipment","P.O. Box 1111 Virginia Beach 23451","S","4937","3/23/2020",,"42792","Gordon Chase","gordon@advancesafetyequip.com","(P) (757) 248-8802 / (F) (757) 248-8804","34087 Fire protection equipment and supplies","34500 safety equipment and supplies","NOTE: Local Contact:  David Camper, Territory Manager, david@advancesafetyequip.com, (757) 803-4575.",,,,,,,,,
"Atlantic Office Machines, Inc.","1720 Lambert Court, Suite F, Chesapeake, VA 23320","S","676546","5/2/2018","Micro-Business",,"Lori Walker","loril@atlanticofficemachines.com","(P)7574668862/(F)7574668785","99872 Copiers","99872 Printers",,,,,,,,,,
"SCOPE PAINTING COMPANY","2430 W. MERCURY BLVD HAMPTON 23666","MS","709649","2/19/2018",,"106669","RICKIE C. LEWIS","SCOPEPAINTING@HOTMAIL.COM","(P) (757)825-6044 / (F) (757)265-0020","91000 BUILDING MAINTENANCE, INSTALLATION AND REPAIR SERVICES","91003 BUILDING CLEANING, AND EXTERIOR","91006 CARPENTRY MAINTENANCE AND REPAIR SERVICES","91025 FLOORING MAINTENANCE AND REPAIRS TO INCLUDE REFINISHING AND SEALING","91042 KITCHEN AND BATHROOM FIXTURE REPAIR (NOT PLUMBING):BATHTUBS, SINKS, CABINETS, C","91052 MAINTENANCE AND REPAIR SERVICES, BUILDING","91054 PAINTING, MAINTENANCE AND REPAIRS SERVICES (INCLUDING CAULKING)",,,,,
"HMG DATA SERVICES L.L.C.","4489 BRANCHESTER PARKWAY PRINCE GEORGE, VA   23875","MS","703160","9/8/2019","Micro-Business",,"Jeremy Haskins","JEREMY@HMGDATA.COM/contact@hmgdata.com","(P) (804)451-1912/ (F) (888)241-2047","20854  INTERNET SOFTWARE DEVELOPMENT","20846  E-COMMERCE SOFTWARE",,,,,,,,,,
"Workplace Essentials","13 Linnell Circle Billerica 1821","WS","657918","4/27/2020",,"101541","Lisa Miller","LMILLER@WESERVICE.BIZ","(P) (978)495-5650 / (F) (978)528-5732","91052 RESTROOM SERVICES",,,,,,,,,,,
"ASJ IT SERVICES LLC�","1521 TECHNOLOGY DRIVE, CHESAPEAKE, VA 23320","MS","712634","12/22/2018",,,"ARIZONE H. BROWN","arizone.brown@asj-it.com","(P) (757)277-3864/(F) (757)436-0091","918900  INFORMATION TECHNOLOGY SERVICES",,,,,,,,,,,
"Gourmet Kitchen Tools, Inc.","1215 H George Washington Hwy., Yorktown, VA 23693","WS","658686","5/5/2020",,,"Barbara J. Hope","82@fastsigns.com","(P)(757) 595-3278/(F) (757) 591-1995","55762 Signage, Advertising Type (Interior and Exterior)","55763 Signage, Destination/Route","55970 Signage (Incls. Destination, Routing and Advertising)","80156 Signs, American Disability Act (ADA)","80159 Signs: Braille (Including Markers and Plaques)","80160 Signs: Construction","80162 Signs, Door Knob: Meeting in Progress, Do Not Disturb, etc.","80169 Sigsn, Fabric","80176 Signs and Posters, Informational (No Smoking, Fire Extinguisher, etc.)","80182 Signs, Magnetic","80183 signs, Metal (Not Blanks)",
"84 LUMBER COMPANY dba 84 LUMBER","1019 ROUTE 519 EIGHTY FOUR 15330","WS","686367","3/24/2020",,"42835","DANA MATTERN","MATTERND@84LUMBER.COM","(P) (724)228-8820 / (F)","54000 BUILDING MATERIALS",,,,,,,,,,,
"EVIA PAINT CO. INC","1717 Yorktown Road Yorktown 23693","S","9809","2/21/2020","Micro-Business","51969","Chris Stekas","eviapainting@cox.net","(P) (757) 867-8134 / (F) (757) 867-6475","91461 PAINTING SERVICES","92967 PAINTING #968 PUB. WORKS","91047 LEAD ABATEMENT",,,,,,,,,
"PRECISION MEASUREMENTS, INC.�","629 PHOENIX DRIVE, SUITE 100, VIRGINIA BEACH, VA   23452","WS","5346","10/1/2017",,,"DIANNE L. GUY","kstamm@precisionmeasurements.com","(P) (757)368-0945/(F)(757)368-9375","92586  SURVEYOR SERVICES, LAND","20654  GEOGRAPHIC INFORMATION SYSTEMS","96252  MAPPING SERVICES (INCLUDING CARTOGRAPHY AND SURVEYING SERVICES, NOT AERIAL",,,,,,,,,
"PREDESTINED HAULING, LLC","404 INDUSTRY DRIVE HAMPTON, VA   23669","MS","686651","2/13/2020",,,"JAMES R. SINCLAIR JR.","predestinedhaulinghamptonva@cox.net","(P) (757)696-5519/(F) (757)224-3431","000000  PICKUP AND DELIVERY",,,,,,,,,,,
"Signal Engineering Corporation","503 Industry Drive Hampton 23661","S","666150","3/7/2020","Micro-Business","2156","Cindy Clemmons","cclemmons@gately.com","(P) (757) 826-1518 / (F) (757) 826-7213","83834 SECURITY SYSTEMS & EQUIPMENT, COMMUNICATIONS","99022 CARD ACCESS SECURITY SERVICES","99050 INSTALLATION OF SECURITY EQUIPMENT","99000 SECURITY","68002 ACCESS CONTROLS SYSTEM SECURITY","92584 SECURITY SYSTEMS INTRUDER-SMOKE","93673 SECURITY ACCESS CONTROLS SYSTEM MAINTENANCE","98166 SECURITY ACCESS CONTROLS SYSTEM AIRPORT-LIBRARY",,,,
"MCH CONSULTING SERVICES","3200 STONE HARBOR COURT SUFFOLK 23435","MS","698677","2/3/2020","Micro-Business","106018","MARIA HERBERT","Maria@MCHConsultingServices.com","(P) (757)218-5801 / (F)","91820, 91821 BUSINESS CONSULTING, SMALL  BUSINESS CONSULTING, LARGE","91830 COMPUTER NETWORK CONSULTING","91838 EDUCATION AND TRAINING CONSULTING","91890 STRATEGIC TECHNOLOGY PLANNING AND CONSULTING SERVICES","95888 SUPPLY CHAIN MANAGEMENT SERVICES","95877 PROJECT MANAGEMENT SERVICES","95868 SUPPORT SERVICES, MANAGEMENT","20856 LOGISTICS AND SUPPLY CHAIN SOFTWARE","96234 EVENT PLANNING SERVICES",,,
"LEGACY SCHOOL & CAREER APPAREL, LLC�","2013 CUNNINGHAM DRIVE #105, HAMPTON, VA   23666","MS","648091","4/9/2018",,,"DRENNA LOVE","legacyschool_careerapparel@verizon.net","(P) (757)848-5348/(F) (757)848-5348","20013  CHILDREN'S CLOTHING","20085  UNIFORMS, BLENDED FABRICS","20087  UNIFORMS, SYNTHETIC FABRIC","20088  UNIFORMS, WOOL AND WOOLEN BLENDS","20100  CLOTHING ACCESSORIES","20125  BELTS AND SUSPENDERS","20151  HOSIERY AND SOCKS","59004  BUCKLES, BELTS AND CLOTHING","59048  PATTERNS, CLOTHING",,,
"L4 ENTERPRISES, INC.�","3905 MEETING HOUSE ROAD, VIRGINIA BEACH, VA   23455","WS","718123","12/30/2018",,,"JOANNE LOTUACO","L4CONSTRUCTION@COX.NET","(P) (757)460-5550/(F) (757)961-6928","91200  CONSTRUCTION","91500  VIDEO, FILM, PHOTOGRAPHY",,,,,,,,,,
"K & M ENTERPRISES, INC.�","P. O. BOX 3205 FREDERICKSBURG, VA   22406","MS","234","10/1/2017",,,"VALERIE KIRBY MOORE","vstanval@aol.com","(P)(540)368-8162/(540)368-8162","96239  HAULING SERVICES","91327  EROSION AND SEDEMENTATION CONTROL","HYDROSEEDING",,,,,,,,,
"Biswas Information Technology Solutions, Inc.dba Biswas Information Technology Solutions Inc","2612 Litchfield Drive Herndon 20171","MS","664559","2/22/2020",,"97808","Sumita Biswas","sbiswas@b-itsinc.com","(P) (703) 860-2829 / (F)","20837 DATABASE SOFTWARE","20854 INTERNET AND WEB SITE SOFTWARE FOR MICROCOMPUTERS","20867 PROGRAMMING: BASIC, ASSEMBLER, COMPUTER ASSISTED SOFTWARE ENGINEERING TOOLS (CASE), LIBRARIES, ETC","20938 DATABASE","20853 INTEGRATED SOFTWARE","92000 DATA PROCESSING, COMPUTER, AND SOFTWARE SERVICES","91829 COMPUTER SOFTWARE CONSULTING","92045 SOFTWARE MAINTENANCE/SUPPORT","92014 APPLICATIONS SOFTWARE (FOR MINICOMPUTER SYSTEMS)",,,
"A. D. Potts & Associates, Inc. dba A.D. Potts & Associates","11524 Jefferson Avenue Newport News 23601","S","666928","3/22/2020","Micro-Business","31313","Anthony D. Potts","dpotts@adpotts.com","(P) (757) 595-4610 / (F) (757) 591-2723","92586 LAND SURVEYING",,,,,,,,,,,
"POINT MANAGEMENT GROUP, LLC","3042 BAY SHORE LANE SUFFOLK, VA   23435","MS","659171","1/25/2020",,,"WENDELL POINT, PHD","twpoint@pointmgt.us","(P)(540)847-8935/(F)(480)287-8565","91800  CONSULTING SERVICES","91804  ACCOUNTING/AUDITING/BUDGET CONSULTING","91820  BUSINESS CONSULTING, SMALL","91827  COMMUNITY DEVELOPMENT CONSULTING","91835  DISADVANTAGED BUSINESS ENTERPRISE (DBE) AND HISTORICALLY UNDERUTILIZED BUSINESS","91849  FINANCE/ECONOMICS CONSULTING","91858  GOVERNMENT CONSULTING","91875  MANAGEMENT CONSULTING","91879  MINORITY AND SMALL BUSINESS CONSULTING","91883  ORGANIZATIONAL DEVELOPMENT CONSULTING","95277  RESEARCH AND EVALUATION, HUMAN SERVICES (INCLUDING PRODUCTIVITY AUDITS)",
"HUDSON + ASSOCIATES, ARCHITECTS PLLC","120 WEST QUEENS WAY #201 HAMPTON, VA 23669","S","677188","8/12/2019",,,"RICHARD CORNER","rcorner@hudsonarch.com","(P) (757)722-1964/ (F) (757)722-0280","90600  ARCHITECTURAL SERVICES, PROFESSIONAL","90610  BUILDINGS - ARCHITECTURAL DESIGN",,,,,,,,,,
"BFE CONSTRUCTION, INC.","7620 WHITEPINE ROAD RICHMOND 23237","MS","707680","3/3/2020",,"106674","W TRAVIS  BOWERS","TBOWERS@BFE-LLC.COM","(P) (804)714-2540 / (F) (804)714-2483","91200 GENERAL CONSTRUCTION SERVICES","91300 CONSTRUCTION SERVICES, HEAVY","91400 CONSTRUCTION SERVICES, TRADE","90900 BUILDING CONSTRUCTION SERVICES","3100 AIR CONDITIONING, HEATING, & VENTILATION",,,,,,,
"Hudgins Contracting Corp","105 E Street Suite 400 Hampton 23661","WS","9061","4/12/2020",,"11078","Bryan  Norsworthy","hccorp@hudginscontracting.com","(P) (757) 873-0199 / (F) (757) 873-3010","91200 CONSTRUCTION SERVICES, GENERAL (INCL. MAINTENANCE AND REPAIR SERVICES","91300 CONSTRUCTION SERVICES, HEAVY","91400 CONSTRUCTION SERVICES, TRADE (NEW CONSTRUCTION)",,,,,,,,,
"MMS, INC.","P.O. BOX 203 MIDDLEBURG 20118","S","653227","2/21/2020",,"59588","SAMUEL H.  SMITH, JR.","3M@MINDSPRING.COM","(P) (703)307-6738 / (F) (540)687-5265","55000 TRAFFIC DEVICES DISTRIBUTOR",,,,,,,,,,,
"Santi Mind & Body Therapeutics LLC","910 W Mercury Blvd., Suite 1B, Hampton, VA 23666","WS","723847","2/27/2017",,"723847","Domonique Brown","SantiMBT01@gmail.com","(P)7572516619","94854 Therapeutic Massage Therapy",,,,,,,,,,,
"WYTHE HOME RENOVATIONS�","PO BOX 1500, HAMPTON, VA   23661","MS","707070","12/23/2019",,,"GERALD HAWKINS","tidyup@hrcoxmail.com","(P) (757)245-1714/(F) (757)245-1715","91200  CONSTRUCTION SERVICES, GENERAL (INCL. MAINTENANCE AND REPAIR SERVICES)","96100  MISCELLANEOUS SERVICES, NO. 1",,,,,,,,,,
"NORFOLK BEARINGS AND SUPPLY CO., INC","P. O. BOX 12825 NORFOLK 23541","S","10396","3/9/2020",,"17424","Wayne Fielding","SALES-NBC@MINDSPRING.COM","(P) (757) 853-3691 / (F) (757) 855-5861","6095 INDUSTRIAL POWER TRANSMISSION",,,,,,,,,,,
"CANTERBURY ENTERPRISES, LLC","204 RIVERS BEND BLVD STE A, CHESTER, VA   23836","MS","10953","9/30/2018",,,"GERALD BURR, JR.","junior@cbury.net","(P)(804)530-2109/(F)(804)530-1424","90954  CONSTRUCTION MGMT, SINGLE FAMILY BUILDING","91065  CONSTRUCTION MGMT, RESIDENTAIL REMODELING","90922  CONSTRUCTION MGMT, COMMERCIAL & INSTITUTIONAL BUILDING",,,,,,,,,
"NOAH ENTERPRISES","1112 JENSEN DRIVE, SUITE 211, VIRGINIA BEACH, VA 23451","WS","647069","6/4/2018",,,"CAROL R. CURTIS","CCURTIS@NOAHENT.COM","(P) 7574372300/(F) 7574375151",,,"91200 GENERAL CONTRACTOR",,,,,,,,,
"ISLANDER TEAM SPORTS LLC","63 WYTHE CREEK ROAD SUITE 3 HAMPTON, VA   23666","S","703897","3/21/2019","Micro-Business",,"MICHAEL D. ROBERTS","ISLANDERHS@AOL.COM","(P) (757)868-8467/ (F) (757)868-8752","80500  SPORTING GOODS","96600  SCREEN PRINTING","20000  UNIFORMS/ APPAREL",,,,,,,,,
"Construction Development Services Inc. dba CDSI","Janaf Office Bldg, 5900 E. VA Beach Blvd, Suite 102 Norfolk 23502","MS","654355","3/22/2020",,"100765","Chris Suber","admin@cdsi-va.com","(P) 459-2374 / (F) 459-8099","90900 GENERAL CONSTRUCTION","91000 BUILDING MAINTENANCE REPAIR","91200 CONSTRUCTION SERVICES GENERAL","91400 CONSTRUCTION SERVICES TRADE",,,,,,,,
"Strictly Business Painting & Blasting Company LLC","41 Mariners Cove RD., APT. A, Hampton, VA 23669","WS","721565","9/7/2019","Micro-Business",,"Stacie Ciconta","stacie_ciconta@yahoo.com","(P)7577755982/(F)7572240970","01078 Plumbing","49039 Pressure Washing","63000 Painting Residential/Commerial","63514 Painting Service","67000 Plumbing","91054 Painting","91200 Home Improvement","91461 Painting","91461 Painting","98836 Lawncare","98852 Landscape",
"GRANDMA'S HOUSE BAKERY LLC","HAMPTON, VA���2366","WS","718786","4/6/2019",,,"SANDRA COOKE","GRANDMASHOUSEBAKERY@GMAIL.COM","(P) (757)771-3918","37500  FOODS: BAKERY PRODUCTS (FRESH)","39000  FOODS: PERISHABLE","39300  FOODS: STAPLE GROCERY AND GROCER'S MISCELLANEOUS ITEMS",,,,,,,,,
"S&W POWER SOLUTIONS, LLC","407 CEDAR DR HAMPTON, VA   23669","MS","719243","4/29/2019","Micro-Business",,"MARVIN SMITH","smith.melectric@gmail.com","(P) (757)893-0297","91200  CONSTRUCTION SERVICES, GENERAL (INCL. MAINTENANCE AND REPAIR SERVICES)","91300  CONSTRUCTION SERVICES, HEAVY (INCL. MAINTENANCE AND REPAIR SERVICES","91400  CONSTRUCTION SERVICES, TRADE (NEW CONSTRUCTION)",,,,,,,,,
"Ben-Lin Builders, LLC dba BL Builders","P. O. Box 36458 Richmond 23235","MS","658623","4/15/2020",,"101683","Faith Linton","lintonf@aol.com","(P) 804-240-2118 / (F) 804-320-4856","90923 BUILDING CONSTRUCTION RESIDENTIAL","90922 BUILDING CONSTRUCTION COMMERCIAL","91065 REMODELING AND ALTERATION","91240 DEMOLITION SERVICES","91054 PAINTING MAINTENANCE AND REPAIR SERVICES","91461 PAINTING","91075 WALL AND CEILING REPAIR AND REPLACMENT (INCLUDING DRYWALLING)","91073 TILE AND STONE-GRANITE MARBLE TERRAZZO","91483 TILE AND MARBLE ALL TYPES",,,
"Continental Appraisal Consultants, Ltd.","1808 Winding Way, North Chesterfield, VA 23235","WS","10467","10/10/2017","Micro-Business",,"Lore DeAstra","Lore@continental-appraisal.com","(P) (804) 231-4676/(F)(804) 231-7632","94615 Real Estate Appraisal Services","91814 Appraisal Consultation",,,,,,,,,,
"SIMPLY-U PROMOTIONS, LLC�","4410 E CLAIBORNE SQ SUITE 334 HAMPTON, VA   23666","MS","724400","2/20/2020","Micro-Business",,"�CARLTON CAMPBELL","sales@simplyupromotions.com","(P) (757)726-7613/(F) (757)645-9390","3778","3770","91876","91800","96103","96103","96153","96100","96179","96100",,
"DLN LEADERSHIP GROUP, LLC�","304 KOSTEL COURT HAMPTON, VA 23669","MS","717262","9/27/2017",,,"DONNA L. NORMAN","info@dlnleadership.com","(P)(757)346-4855","91838  EDUCATION AND TRAINING CONSULTING",,,,,,,,,,,
"Gately Communication Company","501 Industry Drive Hampton 23661","S","666141","3/1/2020",,"928","Cindy Clemmons","cclemmons@gately.com","(P) (757) 826-8210 / (F) (757) 826-7213","73000 WIRELESS COMMUNICATION EQUIPMENT- MOTOROLA","72600 RADIO COMMUNICATION EQUIPMENT & SUPPLIES ACCYS","98569 COMM. EQUIPMENT TWO-WAY RADIO RENT OR LEASE & TOWER SPACE.","95944 ELECTRONIC & COMM. EQUIP INSTALL, SERVICE, MAINTENANCE","93972 RADIO EQUIPMENT REPAIRS & MAINTENANCE","92827 COMM SYSTEMS, INSTALLATION & REMOVALS","5516 BATTERIES COMM. EQUIP","83823 BATTERIES COMM. EQUIP","83835 COMM SYSTEMS INTEGRATED","83839 CONSOLES COMMUNICATION","5579  SIRENS, HORNS, BACK UP ALARMS",
"EAST COAST ABATEMENT CO.,INC. dba EAST COAST DEMOLITION","176 WIND CHASER WAY MOYOCK 27958","S","682217","3/27/2020",,"17300","DIANE DRENNAN","DIANE@EASTCOASTDEMOLITION.COM","(P) (252)232-7740 / (F) (252)232-7741","91240 DEMOLITION SERVICES","91038 ASBESTOS REMOVAL SERVICES",,,,,,,,,,
"Parker Safety Inc.","508 Industry Drive, Hampton, VA 23661","WS","647403","10/29/2018","Micro-Business",,"Elizabeth W Parker","parkersafety@att.net","(P)(757) 827-9557/(F)(757) 826-7407","NIGP/Description:
34500 safety equipment",,,,,,,,,,,
"Bree & Associates, Inc.","5315 Highgate Drive, Suite 203, Durham, NC 27713","SM","892","9/10/2019",,,"Robert W. Lancaster, P.E.","bree@breeassociates.com; jenny.bowers@breeassociates.com","(P)(919) 469-3330/(F)(919) 469-3370","236210 Construction management, industrial building (except warehouses)","236220 Construction management, commercial and institutional building","237110 Construction management, water and sewer line","237990 Construction management, mass transit","541330 Civil engineering services; Traffic engineering consulting services","541340 Drafting services","541350 Building inspection services",,,,,
"ROCK SOLID JANITORIAL, INC.","2705 W. MERCURY BLVD. HAMPTON, VA   23666","MS","6164","7/13/2019",,,"ARVELLA J. GARDNER","calltherock@rocksolidjanitorial.com","(P)  (757)766-7223/(F)  (757)766-1300","91000  BUILDING MAINTENANCE & REPAIR SERVICES",,,,,,,,,,,
"Good Steward Business & Benefits Consulting LLC","6 W County Street, Hampton, VA 23663","MS","724106","2/22/2020",,,"Howard Henry","hhenry@goodstewardbbc.com","(P)7579188941 /(F) 7578961040","91800 Consulting Services","91820 Business Consulting, Smal","91875 Management Consulting Services","94649 Benefits Planning for the Disabled",,,,,,,,
"Freshen Up Inc.","2100 Aluminum Ave., Suite 107","S","724762","3/29/2020","Micro-Business",,"Edmund F Joella","ed.joella@gmail.com","(P)7574699435/(F)8665938820","91004 Air Duct Cleaning Services","91009 Carpet Cleaning, Dyeing, Installation and Repair - Carpet Cleaning, Dyeing, Installation and Repair","91025 Flooring Maintenance and Repair to Include Refinishing and Sealing - Flooring Maintenance and Repair to Include Refinishing and Sealing",,,,,,,,,
"ASK - ARK, LLC","808 REVELSTORE TERRACE NE, LEESBURG, VA 20176","MS","713977","2/15/2020",,,"ALPHONSO D NETTLES","alnettles@ask-ark.com","(P) (703)554-7089","42500  OFFICE FURNITURE / DESKS & SEATING",,,,,,,,,,,
"HOP'S PLACE INCORPORATED dba HOP'S PLACE INCORPORATED","320 W. Pembroke Avenue Hampton 23669","S","709443","2/23/2020","Micro-Business","1130","Esther H. Barnes","hopsplace5@gmail.com","(P) (757) 723-0747 / (F) (757) 722-2337","5500 AUTOMOBILE PARTS","7500 AUTOMOBILE PAINT","92800 AUTOMOBILE SERVICE",,,,,,,,,
"TSC MANAGEMENT, LLC dba PRODUCTIVE AV","3105 WEST LEIGH STREET SUITE A RICHMOND 23230","MS","689816","12/2/2019","Micro-Business","106265","JUAN  BIALET","accounting@productiveav.com","(P) (804)591-0062 / (F)","84056 TELECONFERENCE SYSTEMS, AUDIO/VIDEO (TO INCLUDE VIDEO AND DEMAND SYSEMS)","84055 PROJECT MANAGEMENT","93906 AUDIO VISUAL EQUIPMENT MAINENANCE AND REPAIR","98512 AUDIO/VIDEO EQUIPMENT AND ACCESSORY RENTAL OR LEASE","88011 AUDIO VISUAL EQUIPMENT AND SUPPLIES (NOT OTHERWISE CLASSIFIED)","88043 PROJECTION SCREENS, STANDARD AND REAR PROJECTIO TYPES","20775 PROJECTION DEVICES AND ACCESSORIES: INTERACTIVE CONFERENCING BOARDS, LCD, PADS, PANELS, ETC.","84076 VIDEO PROJECTORS, ACCESORIES AND PARTS","84084 VIDEL AND AUDIO SYSTEMS, ACCESSORIES AND PARTS (CLOSED CIRCUIT TV INCLUDING SURVEILLANCE TYPE","84086 VIDEO SYSTEMS (FOR STUDIO QUALITY PRODUCTION)","88000 VISUAL EDUCATION EQUIPMENT AND SUPPLIES (EXCEPT PROJECTION LAMPS-SEE CLASS 285)",
"DALY COMPUTERS, INC.","22521 GATEWAY CENTER DRIVE CLARKSBURG 20871","MS","3648","6/16/2017",,"66674","RYAN TSO-AN YU","VASALES@DALY.COM","(P)  (301)556-4237 / (F)  (301)963-1516","92000 COMPUTER ACCESSORIES & SUPPLIES","20700 COMPUTER EQUIP./SUPPLIES    COMPUTER MAINTENANCE",,,,,,,,,,
"WHITLOCK BROTHERS, INC.","PO BOX 12150 Norfolk 23541","S","677429","4/24/2018",,"2623","Faith Griffin","faithgriffin@whitlockbrothers.com","(P) 757-461-3127 / (F) 757-461-0879","15000 BUILDERS SUPPLIES","500 ABRASIVES","8500 BAGS, BAGGING, TIES, EROSION CONTROL","13500 BRICKS","21000 CONCRETE AND METAL ACCESSORIES & SUPPLIES","31500 EPOXY ADHESIVES, COATINGS","36000 FLOOR COVERING-REMOVAL & SUPPLIES","44500 HAND TOOLS-POWERED & NON-POWERED","45000 HARDWARE & RELATED ITEMS","75000 ROAD & HIGHWAY BLDG. MATERIALS","77093 WATERPROOFING",
"ONE TOUCH SOLUTIONS, LLC dba ONE TOUCH SOLUTIONS, LLC","410 Logan Place #31 Newport News 23601","MS","705879","6/2/2019","Micro-Business","105094","Windell Osbourne","otsllcbiz@gmail.com","(P) (757) 338-8213 / (F)","91500 COMMUNICATIONS","91522 MARKETING","96611 CARD PRINTING","96657 GENERAL PRINTING","96659 GENERAL PRINTING",,,,,,,
"Ball Office Products, LLC","2218 Tomlyn Street Richmond 23230","WS","652256","11/13/2018",,"96380","Melissa Ball","melissa@ballop.com","(P) (804) 204-1774 / (F) (804) 204-1597","425 Office furniture","610 Office products and supplies","615 Office products, office furniture","620 Office supplies: erasers, inks, leads, pens and pencils.",,,,,,,,
"OPTIMUM FUEL SERVICES, INC.","P.O. BOX 83 HAMPTON 23669","MS","697711","9/14/2018",,"102200","LAWRENCE BROWN, SR","optimumfuelservices@cox.net","(P) (757)325-2373 / (F) (757)850-3666","40512 FUEL OIL HEATING","40509 FUEL OIL DIESEL","40530 KEROSENE","40500 FUEL, OIL, GREASE AND LUBRICANTS","40508 DISTILLATES, PETROLEUM (NOT OTHERWISE CLASSIFIED)","40524 GREASE, LUBRICANT TYPE","40538 OIL AND GREASE ADDITIVES","40598 DRUM DEPOSIT, LUBRICATING OILS & GREASE",,,,
