"fiscal_year","service","department","program","expense_category","recommended_amount","approved_amount","fund","fund_type","description","expense_type"
"2016","General Government","Administration","City Manager","Contract Services","0","75937","General Fund","Tax Supported Funds","Other Contractual Services","Operating Expense"
"2015","General Government","Administration","City Manager","Other O&M","0","150","General Fund","Tax Supported Funds","Employee Recognition Events","Operating Expense"
"2021","Operating Departments","Transportation","Bus Tire Lease (P)","Capital","0","122018.19","Municipal Bus Lines Fund","Non-Tax Supported Funds","Departmental Special Equipment","Operating Expense"
"2021","General Government","Administration","City Manager","Other","0","6240","General Fund","Tax Supported Funds","Cell Phone Allowance","Personnel Cost"
"2014","General Government","Administration","City Manager","Pension Expenses","0","110290","General Fund","Tax Supported Funds","Retirement - Employer","Personnel Cost"
"2018","General Government","Administration","City Manager","Travel/Trng/Dues","0","1000","General Fund","Tax Supported Funds","Training & Education","Operating Expense"
"2015","Public Safety","Fire","Community Risk Reduction","Other","0.00","2107.58","General Fund","Tax Supported Funds","Mgt Health Ben","Personnel Cost"
"2019","General Government","Administration","City Manager","Travel/Trng/Dues","0","11420","General Fund","Tax Supported Funds","Subscriptions","Operating Expense"
"2022","Public Safety","Fire","Community Risk Reduction","Office Supp&Exp","0","1675","General Fund","Tax Supported Funds","Office Expense","Operating Expense"
"2014","General Government","Administration","City Manager","Other","0","1500","General Fund","Tax Supported Funds","Mgt Health Ben","Personnel Cost"
"2018","General Government","Administration","City Manager","Other","0","4680","General Fund","Tax Supported Funds","Cell Phone Allowance","Personnel Cost"
"2020","General Government","Administration","City Manager","Public Notices/Ad","0","6000","General Fund","Tax Supported Funds","Advertising and Public Relatio","Operating Expense"
"2016","General Government","Administration","City Manager","Workers Comp","0","32802","General Fund","Tax Supported Funds","Workers Compensation","Personnel Cost"
"2019","General Government","Administration","City Manager","Office Supp&Exp","0","4000","General Fund","Tax Supported Funds","Office Expense","Operating Expense"
"2015","General Government","Administration","City Manager","Other","0","17680","General Fund","Tax Supported Funds","Deferred Compensation","Personnel Cost"
"2019","General Government","Administration","City Manager","Pension Expenses","0","91913","General Fund","Tax Supported Funds","Retirement-Unfunded Liability","Personnel Cost"
"2017","General Government","Administration","City Manager","Travel/Trng/Dues","0","20720","General Fund","Tax Supported Funds","Subscriptions","Operating Expense"
"2015","General Government","Administration","City Manager","Travel/Trng/Dues","0","6000","General Fund","Tax Supported Funds","Conferences & Conventions","Operating Expense"
"2018","General Government","Administration","City Manager","Travel/Trng/Dues","0","20720","General Fund","Tax Supported Funds","Subscriptions","Operating Expense"
"2017","General Government","Administration","City Manager","Other","0","2000","General Fund","Tax Supported Funds","Mgt Health Ben","Personnel Cost"
"2019","General Government","Administration","City Manager","Travel/Trng/Dues","0","1000","General Fund","Tax Supported Funds","Training & Education","Operating Expense"
"2013","General Government","Administration","City Manager","Office Supp&Exp","0","2100","General Fund","Tax Supported Funds","Departmental Special Supplies","Operating Expense"
"2013","General Government","Administration","City Manager","Health Benefits","0","53832","General Fund","Tax Supported Funds","Group Insurance","Personnel Cost"
"2018","General Government","Administration","City Manager","Other","0","2600","General Fund","Tax Supported Funds","Retiree Health Savings","Personnel Cost"
"2018","General Government","Administration","City Manager","Sal/Spc Comp/OT","0","20009","General Fund","Tax Supported Funds","Regular Salaries-Other","Personnel Cost"
"2019","General Government","Administration","City Manager","Sal/Spc Comp/OT","0","37978","General Fund","Tax Supported Funds","Regular Salaries-Bi-Weekly","Personnel Cost"
"2013","General Government","Administration","City Manager","Other","0","23908","General Fund","Tax Supported Funds","Deferred Compensation","Personnel Cost"
"2014","General Government","Administration","City Manager","Travel/Trng/Dues","0","1600","General Fund","Tax Supported Funds","Subscriptions","Operating Expense"
"2019","General Government","Administration","City Manager","Travel/Trng/Dues","0","2700","General Fund","Tax Supported Funds","Memberships & Dues","Operating Expense"
"2020","General Government","Administration","City Manager","Travel/Trng/Dues","0","2850","General Fund","Tax Supported Funds","Special Events & Meetings","Operating Expense"
"2014","General Government","Administration","City Manager","Office Supp&Exp","0","200","General Fund","Tax Supported Funds","Departmental Special Supplies","Operating Expense"
"2021","Operating Departments","Public Works","Electrical Maintenance","Contract Services","0","250","General Fund","Tax Supported Funds","Medical Services","Operating Expense"
"2013","General Government","Administration","City Manager","Workers Comp","0","42709","General Fund","Tax Supported Funds","Workers Compensation","Personnel Cost"
"2017","General Government","Administration","City Manager","Travel/Trng/Dues","0","1500","General Fund","Tax Supported Funds","Special Events & Meetings","Operating Expense"
"2019","General Government","Administration","City Manager","Sal/Spc Comp/OT","0","3300","General Fund","Tax Supported Funds","Longevity Pay","Personnel Cost"
"2014","General Government","Administration","City Manager","Sal/Spc Comp/OT","0","635925","General Fund","Tax Supported Funds","Regular Salaries","Personnel Cost"
"2017","General Government","Administration","City Manager","Travel/Trng/Dues","0","5790","General Fund","Tax Supported Funds","Conferences & Conventions","Operating Expense"
"2021","General Government","Administration","City Manager","Sal/Spc Comp/OT","0","7800","General Fund","Tax Supported Funds","Longevity Pay","Personnel Cost"
"2017","General Government","Administration","City Manager","Office Supp&Exp","0","3075","General Fund","Tax Supported Funds","Communications","Operating Expense"
"2020","General Government","Administration","City Manager","Travel/Trng/Dues","0","6830","General Fund","Tax Supported Funds","Conferences & Conventions","Operating Expense"
"2020","General Government","Administration","City Manager","Liability Reserve","0","12887","General Fund","Tax Supported Funds","Liability Reserve Charge","Operating Expense"
"2015","Public Safety","Police","Police Communications","Other","0.00","9150.00","General Fund","Tax Supported Funds","Uniform Allowance","Personnel Cost"
"2021","General Government","Administration","City Manager","Pension Expenses","0","62974","General Fund","Tax Supported Funds","Retirement - Employer","Personnel Cost"
"2017","General Government","Administration","City Manager","Other","0","16200","General Fund","Tax Supported Funds","Auto Allowance","Personnel Cost"
"2015","General Government","Administration","City Manager","Sal/Spc Comp/OT","0","716007","General Fund","Tax Supported Funds","Regular Salaries","Personnel Cost"
"2013","General Government","Administration","City Manager","Payroll Taxes","0","33883","General Fund","Tax Supported Funds","Social Security","Personnel Cost"
"2018","General Government","Administration","City Manager","Office Supp&Exp","0","3500","General Fund","Tax Supported Funds","Office Expense","Operating Expense"
"2020","General Government","Administration","City Manager","Other","0","1500","General Fund","Tax Supported Funds","Mgt Health Ben","Personnel Cost"
"2018","General Government","Administration","City Manager","Payroll Taxes","0","26788","General Fund","Tax Supported Funds","FICA","Personnel Cost"
"2018","General Government","Administration","City Manager","Liability Reserve","0","22468","General Fund","Tax Supported Funds","Liability Reserve Charge","Operating Expense"
"2013","General Government","Administration","City Manager","Liability Reserve","0","17445","General Fund","Tax Supported Funds","Liability Reserve Charge","Operating Expense"
"2019","General Government","Administration","City Manager","Payroll Taxes","0","247","General Fund","Tax Supported Funds","State Disability Insurance","Personnel Cost"
"2013","General Government","Administration","City Manager","Other","0","11100","General Fund","Tax Supported Funds","Auto Allowance","Personnel Cost"
"2021","General Government","Administration","City Manager","Travel/Trng/Dues","0","2565","General Fund","Tax Supported Funds","Special Events & Meetings","Operating Expense"
"2014","General Government","Administration","City Manager","Travel/Trng/Dues","0","5468","General Fund","Tax Supported Funds","Conferences & Conventions","Operating Expense"
"2016","General Government","Administration","City Manager","Sal/Spc Comp/OT","0","766688.9","General Fund","Tax Supported Funds","Regular Salaries","Personnel Cost"
"2016","General Government","Administration","City Manager","Other","0","16200","General Fund","Tax Supported Funds","Auto Allowance","Personnel Cost"
"2016","General Government","Administration","City Manager","Other","0","4680","General Fund","Tax Supported Funds","Cell Phone Allowance","Personnel Cost"
"2019","General Government","Administration","City Manager","Public Notices/Ad","0","15000","General Fund","Tax Supported Funds","Advertising and Public Relatio","Operating Expense"
"2015","General Government","Administration","City Manager","Sal/Spc Comp/OT","0","29089","General Fund","Tax Supported Funds","Regular Salaries-Bi-Weekly","Personnel Cost"
"2015","General Government","Administration","City Manager","Travel/Trng/Dues","0","1000","General Fund","Tax Supported Funds","Training & Education","Operating Expense"
"2017","General Government","Administration","City Manager","Sal/Spc Comp/OT","0","2400","General Fund","Tax Supported Funds","Longevity Pay","Personnel Cost"
"2016","General Government","Administration","City Manager","Other","0","3250","General Fund","Tax Supported Funds","Retiree Health Savings","Personnel Cost"
"2015","General Government","Administration","City Manager","Travel/Trng/Dues","0","1000","General Fund","Tax Supported Funds","Special Events & Meetings","Operating Expense"
"2021","General Government","Administration","City Manager","Payroll Taxes","0","36510","General Fund","Tax Supported Funds","FICA","Personnel Cost"
"2018","General Government","Administration","City Manager","Pension Expenses","0","48993","General Fund","Tax Supported Funds","Retirement - Employer","Personnel Cost"
"2021","Operating Departments","Public Works","Streets","Contract Services","0","300","General Fund","Tax Supported Funds","Medical Services","Operating Expense"
"2013","General Government","Administration","City Manager","Office Supp&Exp","0","4200","General Fund","Tax Supported Funds","Communications","Operating Expense"
"2013","General Government","Administration","City Manager","Payroll Taxes","0","244","General Fund","Tax Supported Funds","State Disability Insurance","Personnel Cost"
"2016","General Government","Administration","City Manager","Other","0","2000","General Fund","Tax Supported Funds","Mgt Health Ben","Personnel Cost"
"2018","General Government","Administration","City Manager","Health Benefits","0","59470","General Fund","Tax Supported Funds","Health","Personnel Cost"
"2013","General Government","Administration","City Manager","Other","0","2000","General Fund","Tax Supported Funds","Mgt Health Ben","Personnel Cost"
"2017","General Government","Administration","City Manager","Health Benefits","0","72416","General Fund","Tax Supported Funds","Health","Personnel Cost"
"2017","General Government","Administration","City Manager","Payroll Taxes","0","9740","General Fund","Tax Supported Funds","Medicare","Personnel Cost"
"2018","General Government","Administration","City Manager","Retiree Medical P","0","103480","General Fund","Tax Supported Funds","Retiree Insurance","Personnel Cost"
"2019","General Government","Administration","City Manager","Other","0","2600","General Fund","Tax Supported Funds","Retiree Health Savings","Personnel Cost"
"2017","General Government","Administration","City Manager","Office Supp&Exp","0","3500","General Fund","Tax Supported Funds","Office Expense","Operating Expense"
"2014","General Government","Administration","City Manager","OPEB PreFund","0","53000","General Fund","Tax Supported Funds","Retiree Medical Prefunding","Personnel Cost"
"2013","General Government","Administration","City Manager","Pension Expenses","0","8245","General Fund","Tax Supported Funds","Retirement - Employee","Personnel Cost"
"2015","General Government","Administration","City Manager","Other","0","500","General Fund","Tax Supported Funds","Mgt Health Ben","Personnel Cost"
"2018","General Government","Administration","City Manager","Workers Comp","0","13485","General Fund","Tax Supported Funds","Workers Compensation","Personnel Cost"
"2016","General Government","Administration","City Manager","Travel/Trng/Dues","0","1000","General Fund","Tax Supported Funds","Training & Education","Operating Expense"
"2018","General Government","Administration","City Manager","Payroll Taxes","0","214","General Fund","Tax Supported Funds","State Disability Insurance","Personnel Cost"
"2020","Operating Departments","Parks Recreation & Comm Svs","Camp Programs","Contract Services","0","27480.5","General Fund","Tax Supported Funds","Other Contractual Services","Operating Expense"
"2021","General Government","Non-Departmental","W Wash Landscape Maint Dist #1","Office Supp&Exp","0","3850","Special Assessment & Districts","Non-Tax Supported Funds","Utilities - Electrical","Operating Expense"
"2018","General Government","Administration","City Manager","Payroll Taxes","0","8295","General Fund","Tax Supported Funds","Medicare","Personnel Cost"
"2021","General Government","Non-Departmental","W Wash Landscape Maint Dist #1","Office Supp&Exp","0","3000","Special Assessment & Districts","Non-Tax Supported Funds","Utilities - Water","Operating Expense"
"2020","General Government","Administration","City Manager","Other","0","16200","General Fund","Tax Supported Funds","Auto Allowance","Personnel Cost"
"2014","General Government","Administration","City Manager","Contract Services","0","5000","General Fund","Tax Supported Funds","Other Contractual Services","Operating Expense"
"2015","General Government","Administration","City Manager","Payroll Taxes","0","10570","General Fund","Tax Supported Funds","Medicare","Personnel Cost"
"2020","General Government","Administration","City Manager","Workers Comp","0","20213","General Fund","Tax Supported Funds","Workers Compensation","Personnel Cost"
"2015","General Government","Administration","City Manager","Payroll Taxes","0","228","General Fund","Tax Supported Funds","State Disability Insurance","Personnel Cost"
"2021","Projects","Projects","Projects","Capital","0","114124.66","Municipal Bus Lines Fund","Non-Tax Supported Funds","Departmental Special Equipment","Operating Expense"
"2017","General Government","Administration","City Manager","Sal/Spc Comp/OT","0","3000","General Fund","Tax Supported Funds","Regular Salaries-Other","Personnel Cost"
"2020","General Government","Administration","City Manager","Travel/Trng/Dues","0","2885","General Fund","Tax Supported Funds","Memberships & Dues","Operating Expense"
"2021","General Government","Administration","City Manager","Sal/Spc Comp/OT","0","48120","General Fund","Tax Supported Funds","Regular Salaries-Bi-Weekly","Personnel Cost"
"2021","General Government","Finance","Budget & Accounting Operations","Capital","0","343.95","General Fund","Tax Supported Funds","IT Equipment - Software","Operating Expense"
"2013","General Government","Administration","City Manager","Travel/Trng/Dues","0","200","General Fund","Tax Supported Funds","Subscriptions","Operating Expense"
"2019","General Government","Administration","City Manager","Payroll Taxes","0","8929","General Fund","Tax Supported Funds","Medicare","Personnel Cost"
"2016","General Government","Administration","City Manager","Payroll Taxes","0","10533","General Fund","Tax Supported Funds","Medicare","Personnel Cost"
"2015","General Government","Administration","City Manager","Pension Expenses","0","136312","General Fund","Tax Supported Funds","Retirement - Employer","Personnel Cost"
"2020","General Government","Administration","City Manager","Sal/Spc Comp/OT","0","683262","General Fund","Tax Supported Funds","Regular Salaries","Personnel Cost"
"2020","General Government","Administration","City Manager","Pension Expenses","0","108606","General Fund","Tax Supported Funds","Retirement-Unfunded Liability","Personnel Cost"
"2018","General Government","Administration","City Manager","Public Notices/Ad","0","5000","General Fund","Tax Supported Funds","Advertising and Public Relatio","Operating Expense"
"2018","General Government","Administration","City Manager","Other","0","16200","General Fund","Tax Supported Funds","Auto Allowance","Personnel Cost"
"2015","General Government","Administration","City Manager","Other","0","3250","General Fund","Tax Supported Funds","Retiree Health Savings","Personnel Cost"
"2014","General Government","Administration","City Manager","Payroll Taxes","0","222","General Fund","Tax Supported Funds","State Disability Insurance","Personnel Cost"
"2019","General Government","Administration","City Manager","Pension Expenses","0","54473","General Fund","Tax Supported Funds","Retirement - Employer","Personnel Cost"
"2022","General Government","Administrative Services","Risk Management","Other","0","1625","Risk Management Fund","Non-Tax Supported Funds","Cell Phone Allowance","Personnel Cost"
"2022","Operating Departments","Public Works","Public Works Admin","Travel/Trng/Dues","0","615","General Fund","Tax Supported Funds","Memberships & Dues","Operating Expense"
"2022","General Government","Information Technology","IT Public Safety","Payroll Taxes","0","3755","General Fund","Tax Supported Funds","Medicare","Personnel Cost"
"2022","General Government","Finance","Budget & Accounting Operations","Liability Reserve","0","16248","General Fund","Tax Supported Funds","Liability Reserve Charge","Operating Expense"
"2022","General Government","Administrative Services","City Clerk","Other","0","7280","General Fund","Tax Supported Funds","Deferred Compensation","Personnel Cost"
"2022","General Government","Finance","Purchasing","Payroll Taxes","0","5486","General Fund","Tax Supported Funds","Medicare","Personnel Cost"
"2022","General Government","Administrative Services","Employee Disability (IOD)","Payroll Taxes","0","600","Risk Management Fund","Non-Tax Supported Funds","State Disability Insurance","Personnel Cost"
"2022","Operating Departments","Public Works","Refuse Collection - Admin","Repair-Maint","0","7500","Refuse Disposal Fund","Non-Tax Supported Funds","R&M - Building","Operating Expense"
"2022","Operating Departments","Public Works","Wastewater Maintenance","Other","0","6462","Sewer Enterprise Fund","Non-Tax Supported Funds","Retiree Health Savings","Personnel Cost"
"2022","Operating Departments","Community Development","Neighborhood Preservation","Sal/Spc Comp/OT","0","9600","General Fund","Tax Supported Funds","Regular Salaries-Other","Personnel Cost"
"2022","General Government","City Attorney","City Attorney - Risk Mgt","Other","0","870","Risk Management Fund","Non-Tax Supported Funds","Retiree Health Savings","Personnel Cost"
"2022","General Government","Information Technology","IT Public Safety","Health Benefits","0","40445","General Fund","Tax Supported Funds","Health","Personnel Cost"
"2022","Public Safety","Fire","Emergency Medical Services","Health Benefits","0","491835","General Fund","Tax Supported Funds","Health","Personnel Cost"
"2022","General Government","Administrative Services","Risk Management","Travel/Trng/Dues","0","3000","Risk Management Fund","Non-Tax Supported Funds","Conferences & Conventions","Operating Expense"
"2022","General Government","Non-Departmental","Non-Departmental","Transfers","0","300000","Municipal Bus Lines Fund","Non-Tax Supported Funds","Trsf Out To - Fund 101","Transfers"
"2022","Operating Departments","Transportation","Transportation Operations","Office Supp&Exp","0","1875","Municipal Bus Lines Fund","Non-Tax Supported Funds","Postage","Operating Expense"
"2022","Operating Departments","Parks Recreation & Comm Svs","PR&CS Administrative Division","Office Supp&Exp","0","300","General Fund","Tax Supported Funds","Departmental Special Supplies","Operating Expense"
"2022","Public Safety","Fire","Emergency Medical Services","Pension Expenses","0","536048","General Fund","Tax Supported Funds","Retirement - Employer","Personnel Cost"
"2022","Operating Departments","Transportation","Equipment Maintenance","Sal/Spc Comp/OT","0","2611106","Equipment Maintenance Fund","Non-Tax Supported Funds","Regular Salaries","Personnel Cost"
"2021","Operating Departments","Public Works","Wastewater Maintenance","Contract Services","0","800981.11","Sewer Enterprise Fund","Non-Tax Supported Funds","Other Contractual Services","Operating Expense"
"2022","Operating Departments","Transportation","Equipment Maintenance","Other O&M","0","1725000","Equipment Maintenance Fund","Non-Tax Supported Funds","Petroleum Products","Operating Expense"
"2021","General Government","Administrative Services","Art Fund","Contract Services","0","1173818.56","Cultural Trust Fund","Non-Tax Supported Funds","Other Contractual Services","Operating Expense"
"2021","Operating Departments","Comm Improve Programs","Administration","Contract Services","0","113253.4","Culver City Parking Authority","Non-Tax Supported Funds","Other Contractual Services","Operating Expense"
"2021","Operating Departments","Public Works","Transfer Station - Admin","Repair-Maint","0","41367.47","Refuse Disposal Fund","Non-Tax Supported Funds","R&M - Equipment","Operating Expense"
"2021","Operating Departments","Transportation","Transportation Operations","Contract Services","0","720568.31","Municipal Bus Lines Fund","Non-Tax Supported Funds","Other Contractual Services","Operating Expense"
"2021","Operating Departments","Public Works","Refuse Collection - Admin","Contract Services","0","257643.11","Refuse Disposal Fund","Non-Tax Supported Funds","Other Contractual Services","Operating Expense"
"2021","Operating Departments","Transportation","Equipment Maintenance","Contract Services","0","157237.33","Equipment Maintenance Fund","Non-Tax Supported Funds","Other Contractual Services","Operating Expense"
"2021","Operating Departments","Public Works","Refuse Collection - Admin","Office Supp&Exp","0","40000","Refuse Disposal Fund","Non-Tax Supported Funds","Departmental Special Supplies","Operating Expense"
"2022","General Government","Administrative Services","Human Resources","Sal/Spc Comp/OT","0","274.58","General Fund","Tax Supported Funds","Contract Labor","Personnel Cost"
"2021","Operating Departments","Community Development","Fair Housing","Contract Services","0","458724.18","Culver City Housing Authority","Non-Tax Supported Funds","Other Contractual Services","Operating Expense"
"2022","Operating Departments","Transportation","Equipment Maintenance","Equip Maint Chgs","0","55428","Equipment Maintenance Fund","Non-Tax Supported Funds","Equip Maint Expenses","Operating Expense"
"2022","Operating Departments","Parks Recreation & Comm Svs","Veteran's Memorial Complex","Sal/Spc Comp/OT","0","4090","General Fund","Tax Supported Funds","Regular Salaries-Bi-Weekly","Personnel Cost"
"2022","Operating Departments","Public Works","Electrical Maintenance","Payroll Taxes","0","2549","General Fund","Tax Supported Funds","State Disability Insurance","Personnel Cost"
"2022","Public Safety","Fire","Emergency Preparedness","Pension Expenses","0","875","General Fund","Tax Supported Funds","PARS Retirement","Personnel Cost"
"2022","General Government","Information Technology","Information Technology","Sal/Spc Comp/OT","0","11475","General Fund","Tax Supported Funds","Overtime-Regular","Personnel Cost"
"2022","Operating Departments","Parks Recreation & Comm Svs","Senior and Social Services","Payroll Taxes","0","8109","General Fund","Tax Supported Funds","Medicare","Personnel Cost"
"2022","Public Safety","Fire","Emergency Medical Services","Travel/Trng/Dues","0","6933.76","General Fund","Tax Supported Funds","Training & Education","Operating Expense"
"2022","General Government","Information Technology","Information Technology","Sal/Spc Comp/OT","0","32400","General Fund","Tax Supported Funds","Longevity Pay","Personnel Cost"
"2022","Operating Departments","Parks Recreation & Comm Svs","Disability","Sal/Spc Comp/OT","0","44000","CDBG - Operating Fund","Non-Tax Supported Funds","Regular Salaries","Personnel Cost"
"2022","Operating Departments","Parks Recreation & Comm Svs","Culver City After School Progr","Payroll Taxes","0","15309","General Fund","Tax Supported Funds","FICA","Personnel Cost"
"2022","General Government","Administrative Services","Human Resources","Pension Expenses","0","67286","General Fund","Tax Supported Funds","Retirement - Employer","Personnel Cost"
"2022","Operating Departments","Parks Recreation & Comm Svs","PR&CS Administrative Division","Health Benefits","0","20420","General Fund","Tax Supported Funds","Health","Personnel Cost"
"2022","Operating Departments","Parks Recreation & Comm Svs","Parks Division","Office Supp&Exp","0","650","General Fund","Tax Supported Funds","Office Expense","Operating Expense"
"2022","Operating Departments","Transportation","Equipment Maintenance","Other","0","1000","Equipment Maintenance Fund","Non-Tax Supported Funds","Mgt Health Ben","Personnel Cost"
"2022","Operating Departments","Public Works","Streets","Health Benefits","0","192410","General Fund","Tax Supported Funds","Health","Personnel Cost"
"2022","General Government","City Attorney","City Attorney","Legal Services","0","140000","General Fund","Tax Supported Funds","Legal Services - Personnel Gri","Operating Expense"
"2022","Operating Departments","Comm Improve Programs","Ivy Substation/Media Park","Contract Services","0","20000","Culver City Parking Authority","Non-Tax Supported Funds","Other Contractual Services","Operating Expense"
"2022","Operating Departments","Parks Recreation & Comm Svs","PR&CS Administrative Division","Pension Expenses","0","20556","General Fund","Tax Supported Funds","Retirement - Employer","Personnel Cost"
"2022","General Government","Information Technology","IT Public Safety","Pension Expenses","0","17226","General Fund","Tax Supported Funds","Retirement - Employer","Personnel Cost"
"2021","Public Safety","Police","Operating Bureaus","Cap-Rolling Stock","0","71161.9","General Fund","Tax Supported Funds","Auto-Rolling Stock & Equipment","Operating Expense"
"2021","Public Safety","Police","Operating Bureaus","Repair-Maint","0","10000","General Fund","Tax Supported Funds","R&M - IT Equipment","Operating Expense"
"2022","General Government","Administrative Services","City Clerk","Travel/Trng/Dues","0","2500","General Fund","Tax Supported Funds","Memberships & Dues","Operating Expense"
"2022","General Government","Information Technology","Information Technology","Sal/Spc Comp/OT","0","134393.26","General Fund","Tax Supported Funds","Contract Labor","Personnel Cost"
"2022","General Government","Administrative Services","City Clerk","Travel/Trng/Dues","0","2760","General Fund","Tax Supported Funds","Training & Education","Operating Expense"
"2022","Operating Departments","Community Development","Admin Supply and Services","Other O&M","0","20100","Culver City Housing Authority","Non-Tax Supported Funds","City Commission Expenses","Operating Expense"
"2022","Operating Departments","Public Works","CalRecycle-Beverage Container","Capital","0","250000","Operating Grants Fund","Non-Tax Supported Funds","Departmental Special Equipment","Operating Expense"
"2022","Operating Departments","Public Works","Engineering","Other","0","1000","General Fund","Tax Supported Funds","Mgt Health Ben","Personnel Cost"
"2022","Operating Departments","Transportation","Para Transit Services","Office Supp&Exp","0","4000","Para Transit","Non-Tax Supported Funds","Printing and Binding","Operating Expense"
"2022","Operating Departments","Public Works","Streets","Office Supp&Exp","0","200","General Fund","Tax Supported Funds","Office Expense","Operating Expense"
"2022","Operating Departments","Parks Recreation & Comm Svs","RSVP","Pension Expenses","0","1180","General Fund","Tax Supported Funds","PARS Retirement","Personnel Cost"
"2022","General Government","Administrative Services","Risk Management","Pension Expenses","0","39933","Risk Management Fund","Non-Tax Supported Funds","Retirement-Unfunded Liability","Personnel Cost"
"2022","Operating Departments","Community Development","Enforcement Services","Sal/Spc Comp/OT","0","55200","General Fund","Tax Supported Funds","Part-Time Salaries","Personnel Cost"
"2021","Operating Departments","Transportation","Equipment Replacement","Capital","0","6288","Equipment Replacement Fund","Non-Tax Supported Funds","Departmental Special Equipment","Operating Expense"
"2022","Public Safety","Fire","Emergency Medical Services","Other","0","11200","General Fund","Tax Supported Funds","Mgt Health Ben","Personnel Cost"
"2022","Operating Departments","Community Development","Rent Stabilization","Other","0","1950","General Fund","Tax Supported Funds","Cell Phone Allowance","Personnel Cost"
"2022","Public Safety","Police","COPS/SLESF/Brulte","Other","0","1560","Operating Grants Fund","Non-Tax Supported Funds","Deferred Compensation","Personnel Cost"
"2022","Operating Departments","Parks Recreation & Comm Svs","Rec and Enrichment Programs","Sal/Spc Comp/OT","0","1000","General Fund","Tax Supported Funds","Regular Salaries-Bi-Weekly","Personnel Cost"
"2022","Operating Departments","Community Development","Current Planning","Payroll Taxes","0","2533","General Fund","Tax Supported Funds","State Disability Insurance","Personnel Cost"
"2022","Operating Departments","Parks Recreation & Comm Svs","Parks Division","Office Supp&Exp","0","1060","General Fund","Tax Supported Funds","Communications","Operating Expense"
"2022","General Government","Non-Departmental","Landscape Maint Dist #1","Sal/Spc Comp/OT","0","10103","Special Assessment & Districts","Non-Tax Supported Funds","Regular Salaries","Personnel Cost"
"2022","Public Safety","Fire","Emergency Preparedness","Other","0","1560","General Fund","Tax Supported Funds","Cell Phone Allowance","Personnel Cost"
"2022","Operating Departments","Transportation","Transportation Operations","Pension Expenses","0","636908","Municipal Bus Lines Fund","Non-Tax Supported Funds","Retirement - Employer","Personnel Cost"
"2022","General Government","Administrative Services","City Clerk","Payroll Taxes","0","811","General Fund","Tax Supported Funds","State Disability Insurance","Personnel Cost"
"2022","Operating Departments","Transportation","Transportation Admin","Office Supp&Exp","0","2500","Municipal Bus Lines Fund","Non-Tax Supported Funds","Departmental Special Supplies","Operating Expense"
"2022","Operating Departments","Community Development","Community Development Admin","Pension Expenses","0","21699","General Fund","Tax Supported Funds","Retirement - Employer","Personnel Cost"
"2022","Operating Departments","Transportation","Equipment Maintenance","Other O&M","0","1200","Equipment Maintenance Fund","Non-Tax Supported Funds","Other Charges","Operating Expense"
"2022","Operating Departments","Public Works","Public Works Admin","Sal/Spc Comp/OT","0","46800","General Fund","Tax Supported Funds","Part-Time Salaries","Personnel Cost"
"2022","Public Safety","Fire","Fire Suppression","Sal/Spc Comp/OT","0","195000","General Fund","Tax Supported Funds","Special Event-OT","Personnel Cost"
"2022","General Government","Finance","Budget & Accounting Operations","Other","0","5200","General Fund","Tax Supported Funds","Retiree Health Savings","Personnel Cost"
"2022","Operating Departments","Public Works","Tree Maintenance","Payroll Taxes","0","8416","General Fund","Tax Supported Funds","FICA","Personnel Cost"
"2022","General Government","Administrative Services","Employee Disability (IOD)","Health Benefits","0","80000","Risk Management Fund","Non-Tax Supported Funds","Health","Personnel Cost"
"2022","Public Safety","Fire","Fire Suppression","Payroll Taxes","0","71715","General Fund","Tax Supported Funds","Medicare","Personnel Cost"
"2022","Operating Departments","Public Works","Tree Maintenance","Sal/Spc Comp/OT","0","7700","General Fund","Tax Supported Funds","Regular Salaries-Bi-Weekly","Personnel Cost"
"2022","General Government","Finance","Treasury","Office Supp&Exp","0","11038.22","General Fund","Tax Supported Funds","Office Expense","Operating Expense"
"2022","Operating Departments","Comm Improve Programs","Cardiff Prkg Structure","Repair-Maint","0","19394","Culver City Parking Authority","Non-Tax Supported Funds","R&M - Building","Operating Expense"
"2022","General Government","Information Technology","IT Public Safety","Workers Comp","0","9130","General Fund","Tax Supported Funds","Workers Compensation","Personnel Cost"
"2022","General Government","Non-Departmental","Non-Departmental","Capital","0","29095","General Fund","Tax Supported Funds","IT Equipment - Software","Operating Expense"
"2022","Operating Departments","Community Development","Economic Development","Contract Services","0","20276.25","General Fund","Tax Supported Funds","Fiscal Services","Operating Expense"
"2022","General Government","Finance","Purchasing","Liability Reserve","0","10195","General Fund","Tax Supported Funds","Liability Reserve Charge","Operating Expense"
"2022","General Government","City Attorney","City Attorney - Risk Mgt","Payroll Taxes","0","270","Risk Management Fund","Non-Tax Supported Funds","State Disability Insurance","Personnel Cost"
"2022","General Government","Information Technology","Information Technology","Other","0","9094","General Fund","Tax Supported Funds","Retiree Health Savings","Personnel Cost"
"2022","General Government","Administration","City Manager","Travel/Trng/Dues","0","2428","General Fund","Tax Supported Funds","Subscriptions","Operating Expense"
"2022","Operating Departments","Transportation","Equipment Maintenance","Capital","0","16670.26","Equipment Maintenance Fund","Non-Tax Supported Funds","IT Equipment - Hardware","Operating Expense"
