"fiscal_year","department","program","expense_category","expense_type","adopted_budget_amount","revised_budget_amount","encumbrances_amount","actuals_amount","total_obligations_amount","fund_code","org_code","department_code"
"2021","Projects","Projects","Other","Capital/Other","30435.25","30435.25","0","0","0","428","42880000","CP"
"2021","Fire","Emergency Management Performan","Office Supp&Exp","Operations/Maintenance","8000","31646.25","0","5448.97","5448.97","414","41445904","45"
"2021","Parks Recreation & Comm Svs","Senior and Social Services","Pension Expenses","Personnel Cost","129022","129022","0","147341.55","147341.55","101","10130400","30"
"2022","Non-Departmental","Non-Departmental","Transfers","Transfers","-720570","-720570","0","249409","249409","431","43116100","16"
"2021","Non-Departmental","Non-Departmental","Travel/Trng/Dues","Operations/Maintenance","84052","94052","0","66571.4","66571.4","101","10116100","16"
"2019","Projects","Projects","Office Supp&Exp","Operations/Maintenance","0","0","0","67.83","67.83","204","20480000","CP"
"2021","Public Works","Tree Maintenance","Capital","Capital/Other","3000","3000","0","0","0","101","10160220","60"
"2021","Projects","Projects","Contract Services","Operations/Maintenance","100000","100000","0","0","0","417","41780000","CP"
"2023","Community Development","Neighborhood Preservation","Workers Comp","Personnel Cost","0","0","0","-2694.17","-2694.17","101","10150500","50"
"2021","Police","Office of the Chief","Other O&M","Operations/Maintenance","4858","4858","0","1070.5","1070.5","101","10140100","40"
"2020","Community Development","Building Safety","Equip Amort.","Operations/Maintenance","13643","13643","0","13643","13643","101","10150150","50"
"2023","Information Technology","Information Technology","Repair-Maint","Operations/Maintenance","0","-84000","8015","231882.91","239897.91","101","10124100","24"
"2020","Finance","Purchasing","Liability Reserve","Operations/Maintenance","3268","3268","0","3268","3268","203","20314500","14"
"2020","Administrative Services","Employee Disability (IOD)","Liability Reserve","Operations/Maintenance","7100","7100","0","7100","7100","309","30922210","22"
"2020","Comm Improve Programs","Virgina Parking Lot","Office Supp&Exp","Operations/Maintenance","2500","2500","0","1378.3","1378.3","475","47555560","55"
"2019","Finance","Purchasing","Equip Maint Chgs","Operations/Maintenance","3600","3600","0","2518.5","2518.5","101","10114500","14"
"2020","Transportation","Transportation Admin","Public Notices/Ad","Operations/Maintenance","40000","68430.2","1200","58095.05","59295.05","203","20370100","70"
"2021","Parks Recreation & Comm Svs","Senior Nutrition - CI","Other","Personnel Cost","2210","2210","0","0","0","414","41430410","30"
"2023","Community Development","Homeless Program","Contract Services","Operations/Maintenance","0","2008272","1079918.11","0","1079918.11","476","47650910","50"
"2023","Projects","Projects","Capital","Capital/Other","0","166000","32886","0","32886","417","41780000","CP"
"2019","Community Development","Current Planning","Office Supp&Exp","Operations/Maintenance","19480","19480","0","6042.63","6042.63","101","10150200","50"
"2023","Parks Recreation & Comm Svs","Camp Programs","Workers Comp","Personnel Cost","0","0","0","-1216.42","-1216.42","101","10130212","30"
"2019","Transportation","Para Transit Services","Sal/Spc Comp/OT","Personnel Cost","111863","111863","0","133222.73","133222.73","411","41170420","70"
"2020","Projects","Projects","Office Supp&Exp","Operations/Maintenance","571041.6","330808","0","20839.02","20839.02","420","42080000","CP"
"2020","Comm Improve Programs","Watseka Prkg Structure","Office Supp&Exp","Operations/Maintenance","7630","7630","0","7254.05","7254.05","475","47555580","55"
"2020","Community Development","Current Planning","Liability Reserve","Operations/Maintenance","14951","14951","0","14951","14951","101","10150200","50"
"2022","Community Development","Rental Assistance Payments","Other O&M","Operations/Maintenance","0","239440","0","210148","210148","476","47650720","50"
"2020","Transportation","Bus Stop Signage Project","Capital","Capital/Other","0","14500","0","13276.88","13276.88","203","20370313","70"
"2020","Non-Departmental","Non-Departmental","Travel/Trng/Dues","Operations/Maintenance","84052","94052","0","74039.45","74039.45","101","10116100","16"
"2021","Fire","State Homeland Security 2018","Capital","Capital/Other","0","9571","0","8636.26","8636.26","414","41445910","45"
"2019","Fire","Community Risk Reduction","Office Supp&Exp","Operations/Maintenance","10489","10489","0","7318.46","7318.46","101","10145600","45"
"2023","Parks Recreation & Comm Svs","Youth Center","Workers Comp","Personnel Cost","0","0","0","-629.58","-629.58","101","10130260","30"
"2020","Public Works","Public Works Admin","Liability Reserve","Operations/Maintenance","26533","26533","0","26533","26533","101","10160100","60"
"2019","Public Works","Bikeways (TDA Article 3)","Contract Services","Operations/Maintenance","26000","26000","0","27193","27193","414","41460902","60"
"2020","Parks Recreation & Comm Svs","Recreation Division","Equip Amort.","Operations/Maintenance","71","71","0","71","71","101","10130200","30"
"2021","Police","Police - Misc DOJ Grants","Office Supp&Exp","Operations/Maintenance","0","0","0","11621.12","11621.12","414","41440913","40"
"2020","Non-Departmental","Non-Departmental","Other O&M","Operations/Maintenance","573550","577302.95","0","1153981.15","1153981.15","101","10116100","16"
"2019","Information Technology","Information Technology","Other O&M","Operations/Maintenance","463","463","0","508.24","508.24","101","10124100","24"
"2023","Parks Recreation & Comm Svs","PR&CS Administrative Division","Other O&M","Operations/Maintenance","0","0","5680","28678.02","34358.02","101","10130100","30"
"2020","Public Works","Transfer Station - Admin","Equip Amort.","Operations/Maintenance","80843","80843","0","80843","80843","202","20260410","60"
"2023","Projects","Projects","Capital","Capital/Other","0","0","2603421.31","237.98","2603659.29","434","43480000","CP"
"2021","Public Works","Parking Meters","Other O&M","Operations/Maintenance","1900","1900","0","1061.98","1061.98","101","10160260","60"
"2019","Transportation","10-Bus Purchase 2016","Capital","Capital/Other","0","0","0","0","0","203","20370304","70"
"2013","Community Development","Admin Supply and Services","Other","Personnel Cost","500","500","0","0","0","476","47650710","50"
"2020","Non-Departmental","Non-Departmental","Transfers","Transfers","0","0","0","2918283.57","2918283.57","420","42016100","16"
"2022","Projects","Projects","Capital","Capital/Other","550000","647220.99","0","374449.47","374449.47","202","20280000","CP"
"2023","Transportation","Transportation Operations","Office Supp&Exp","Operations/Maintenance","0","35000","48921.65","7529.47","56451.12","203","20370200","70"
"2022","Non-Departmental","Non-Departmental","Contract Services","Operations/Maintenance","1732862","1897983.05","164559.24","113938.77","278498.01","101","10116100","16"
"2023","Public Works","Engineering","Capital","Capital/Other","0","0","1273.26","0","1273.26","101","10160150","60"
"2023","Transportation","Equipment Maintenance","Office Supp&Exp","Operations/Maintenance","0","0","70155.78","12321.44","82477.22","308","30870400","70"
"2023","City Attorney","City Attorney","Office Supp&Exp","Operations/Maintenance","0","0","1346","526.38","1872.38","101","10113100","13"
"2022","Projects","Projects","Capital","Capital/Other","709000","5766083.56","52714.95","492420.01","545134.96","475","47580000","CP"
"2021","Public Works","Wastewater Maintenance","Ins Premiums","Operations/Maintenance","7680","7680","0","0","0","204","20460300","60"
"2021","Public Works","Refuse Collection - Admin","Sal/Spc Comp/OT","Personnel Cost","3159315","3159315","0","2722742.05","2722742.05","202","20260400","60"
"2020","Parks Recreation & Comm Svs","RSVP","Travel/Trng/Dues","Operations/Maintenance","3460","3460","0","462.89","462.89","101","10130430","30"
"2020","Community Development","Non-Departmental","Transfers","Transfers","0","853394","0","853394","853394","476","47616100","50"
"2020","Parks Recreation & Comm Svs","Pool and Aquatics Programs","Liability Reserve","Operations/Maintenance","10012","10012","0","10012","10012","101","10130220","30"
"2021","Finance","Budget & Accounting Operations","Travel/Trng/Dues","Operations/Maintenance","750","750","0","0","0","101","10114300","14"
"2021","Non-Departmental","Landscape Maint Dist #1","Office Supp&Exp","Operations/Maintenance","9500","9500","0","0","0","425","42516543","16"
"2022","Public Works","Refuse Collection - Admin","Contract Services","Operations/Maintenance","334023","528517","7445","379543.75","386988.75","202","20260400","60"
"2022","Non-Departmental","Non-Departmental","Capital","Capital/Other","0","29095","0","29095","29095","101","10116100","16"
"2023","Finance","Purchasing","Workers Comp","Personnel Cost","0","0","0","-2479.92","-2479.92","101","10114500","14"
"2020","Community Development","Economic Development","Equip Amort.","Operations/Maintenance","4450","4450","0","4450","4450","101","10150120","50"
"2013","Parks Recreation & Comm Svs","Parks and Playgrounds Programs","Repair-Maint","Operations/Maintenance","1000","1000","0","0","0","101","10130211","30"
"2023","Public Works","Streets","Workers Comp","Personnel Cost","0","0","0","-7083.25","-7083.25","101","10160210","60"
"2020","Public Works","Wastewater Maintenance","Cost Allocation","Operations/Maintenance","872638","872638","0","872638","872638","204","20460300","60"
"2020","City Attorney","City Attorney - Risk Mgt","Liability Reserve","Operations/Maintenance","3074","3074","0","3074","3074","309","30913400","13"
"2020","Public Works","Engineering","Liability Reserve","Operations/Maintenance","8563","8563","0","8563","8563","412","41260150","60"
"2020","Community Development","Enforcement Services","Liability Reserve","Operations/Maintenance","11670","11670","0","11670","11670","101","10150250","50"
"2019","Community Development","Economic Development","Equip Maint Chgs","Operations/Maintenance","1305","1305","0","830.69","830.69","101","10150120","50"
"2012","Projects","Projects","Cost Allocation","Operations/Maintenance","2156","2156","0","0","0","420","42080000","CP"
"2013","Community Development","Housing Dept Services","Sal/Spc Comp/OT","Personnel Cost","28600","28600","0","0","0","426","42650700","50"
"2023","Finance","Central Stores","Central Stores","Operations/Maintenance","0","0","988120.42","272185.11","1260305.53","310","31014600","14"
"2023","Public Works","Refuse Collection - Admin","Repair-Maint","Operations/Maintenance","0","0","250","0","250","202","20260400","60"
"2020","Fire","Communications","Equip Amort.","Operations/Maintenance","2848","2848","0","2848","2848","101","10145700","45"
"2020","Public Works","Wastewater Maintenance","Equip Amort.","Operations/Maintenance","87665","87665","0","87665","87665","204","20460300","60"
"2022","Projects","Projects","Capital","Capital/Other","614588.75","784588.75","0","0","0","417","41780000","CP"
"2023","Fire","Fire Suppression","Workers Comp","Personnel Cost","0","0","0","-38824.33","-38824.33","101","10145200","45"
"2019","Community Development","Neighborhood Preservation","Payroll Taxes","Personnel Cost","38896","38896","0","34121.15","34121.15","101","10150500","50"
"2019","Fire","Fire Suppression","Pension Expenses","Personnel Cost","2651152","2651152","0","2590449.66","2590449.66","101","10145200","45"
"2019","Public Works","Public Works Admin","Sal/Spc Comp/OT","Personnel Cost","597210","597210","0","620242.39","620242.39","101","10160100","60"
"2023","Information Technology","Information Technology","Workers Comp","Personnel Cost","0","0","0","-6895.42","-6895.42","101","10124100","24"
"2022","Projects","Projects","Capital","Capital/Other","5452690","4710937.95","553157.27","1014271.57","1567428.84","203","20380000","CP"
"2019","Public Works","Parking Meters","Health Benefits","Personnel Cost","35986","35986","0","35730","35730","101","10160260","60"
"2020","Police","COPS/SLESF/Brulte","Liability Reserve","Operations/Maintenance","4357","4357","0","4357","4357","414","41440230","40"
"2020","Public Works","Parking Meters","Equip Amort.","Operations/Maintenance","2259","2259","0","2259","2259","101","10160260","60"
"2020","Information Technology","Information Technology","Liability Reserve","Operations/Maintenance","25764","25764","0","25764","25764","101","10124100","24"
"2021","Community Development","Building Safety","Capital","Capital/Other","20000","20000","0","0","0","412","41250150","50"
"2023","Public Works","Used Oil Block Grant","Office Supp&Exp","Operations/Maintenance","0","1374","1335.76","0","1335.76","414","41460904","60"
"2019","Finance","General Accounting","Pension Expenses","Personnel Cost","113480","113480","0","111277.87","111277.87","101","10114200","14"
"2021","Parks Recreation & Comm Svs","Parks Division","Office Supp&Exp","Operations/Maintenance","158241","179381","0","209002.93","209002.93","101","10130300","30"
"2022","Projects","Projects","Contract Services","Operations/Maintenance","980769.24","1030769.24","190292.59","181418.57","371711.16","420","42080000","CP"
"2019","Public Works","Graffiti Abatement","Other","Personnel Cost","7280","7280","0","7280","7280","101","10160250","60"
"2019","Community Development","Economic Development","Pension Expenses","Personnel Cost","163744","163744","0","161971.38","161971.38","101","10150120","50"
"2023","Information Technology","IT Public Safety","Workers Comp","Personnel Cost","0","0","0","-760.83","-760.83","101","10124300","24"
"2020","Parks Recreation & Comm Svs","Comm Events-Fiesta La Ballona","Office Supp&Exp","Operations/Maintenance","13641","13641","0","9343.85","9343.85","101","10130285","30"
"2021","Non-Departmental","Higuera St Lndscp/Lghtng Dist","Office Supp&Exp","Operations/Maintenance","5927","5927","0","0","0","425","42516545","16"
"2019","Finance","Purchasing","Payroll Taxes","Personnel Cost","11354","11354","0","11916.87","11916.87","203","20314500","14"
"2019","Parks Recreation & Comm Svs","RSVP","Pension Expenses","Personnel Cost","16043","16043","0","9973.15","9973.15","101","10130430","30"
"2015","Parks Recreation & Comm Svs","Prop A (Parks Div)","Sal/Spc Comp/OT","Personnel Cost","27648","27648","0","0","0","414","41430906","30"
"2020","Community Development","Advance Planning","Contract Services","Operations/Maintenance","20000","3276487.91","250","949117.92","949367.92","101","10150400","50"
"2019","Transportation","Equipment Maintenance","Other","Personnel Cost","106222","106222","0","88539.67","88539.67","308","30870400","70"
"2019","Police","Operating Bureaus","Pension Expenses","Personnel Cost","7535140","7535140","0","7267259","7267259","101","10140200","40"
"2019","Public Works","Streets","Other","Personnel Cost","31258","31258","0","24818.61","24818.61","101","10160210","60"
"2019","Fire","Fire Suppression","Payroll Taxes","Personnel Cost","70612","70612","0","106590.54","106590.54","101","10145200","45"
"2020","Parks Recreation & Comm Svs","Rec and Enrichment Programs","Liability Reserve","Operations/Maintenance","3267","3267","0","3267","3267","101","10130250","30"
"2023","Community Development","Rental Assistance","Workers Comp","Personnel Cost","0","0","0","-680.5","-680.5","426","42650510","50"
"2019","Community Development","Economic Development","Payroll Taxes","Personnel Cost","49452","49452","0","50521.46","50521.46","101","10150120","50"
"2019","Finance","Purchasing","Pension Expenses","Personnel Cost","33188","33188","0","32378.67","32378.67","203","20314500","14"
"2019","Information Technology","Graphic Services","Payroll Taxes","Personnel Cost","5961","5961","0","6706.02","6706.02","101","10124200","24"
"2019","Fire","Communications","Travel/Trng/Dues","Operations/Maintenance","50650","54650","0","52895.47","52895.47","101","10145700","45"
"2020","Community Development","Advance Planning","Liability Reserve","Operations/Maintenance","7346","7346","0","7346","7346","101","10150400","50"
"2019","City Attorney","City Attorney - Risk Mgt","Pension Expenses","Personnel Cost","39786","39786","0","26837.35","26837.35","309","30913400","13"
"2019","Community Development","Current Planning","Other","Personnel Cost","23620","23620","0","24447.5","24447.5","101","10150200","50"
"2023","Finance","Purchasing","Office Supp&Exp","Operations/Maintenance","0","0","2807.48","1686.44","4493.92","101","10114500","14"
"2015","Finance","Purchasing","Travel/Trng/Dues","Operations/Maintenance","2250","2250","0","0","0","101","10114500","14"
"2019","Non-Departmental","W Wash Landscape Maint Dist #1","Public Notices/Ad","Operations/Maintenance","0","0","0","515.63","515.63","425","42516510","16"
"2019","Community Development","Redevelopment","Other","Personnel Cost","0","0","0","30.98","30.98","101","10150300","50"
"2019","Public Works","Transfer Station - Admin","Other","Personnel Cost","18330","18330","0","14960.16","14960.16","202","20260410","60"
"2020","Administration","Art Fund","Contract Services","Operations/Maintenance","0","0","0","0","0","413","41310400","10"
"2019","Public Works","Environmental Programs/Ops","Other","Personnel Cost","500","500","0","4166.39","4166.39","101","10160460","60"
"2020","Administrative Services","Human Resources","Repair-Maint","Operations/Maintenance","300","300","0","3851.36","3851.36","101","10122100","22"
"2019","Public Works","Building Maintenance","Health Benefits","Personnel Cost","183382","183382","0","161499","161499","101","10160230","60"
"2021","Parks Recreation & Comm Svs","Youth Mentoring Program","Sal/Spc Comp/OT","Personnel Cost","17576","17576","0","172.12","172.12","101","10130270","30"
"2023","Finance","Budget & Accounting Operations","Office Supp&Exp","Operations/Maintenance","0","0","557.01","0","557.01","101","10114300","14"
"2021","Parks Recreation & Comm Svs","Rec and Enrichment Programs","Other O&M","Operations/Maintenance","900","900","0","0","0","101","10130250","30"
"2019","Administrative Services","Employee Disability (IOD)","Other","Personnel Cost","7050","7050","0","8691.69","8691.69","309","30922210","22"
"2019","Community Development","Enforcement Services","Payroll Taxes","Personnel Cost","40057","40057","0","40142.4","40142.4","101","10150250","50"
"2022","Projects","Projects","Capital","Capital/Other","7740429.93","12417486.55","271993.34","3412705.46","3684698.8","420","42080000","CP"
"2019","Public Works","Electrical Maintenance","Pension Expenses","Personnel Cost","138893","138893","0","122786.33","122786.33","101","10160240","60"
"2023","Public Works","Refuse Collection - Admin","Contract Services","Operations/Maintenance","0","0","559069.25","34456","593525.25","202","20260400","60"
"2023","Police","Operating Bureaus","Other O&M","Operations/Maintenance","0","5000","10269.05","4292.52","14561.57","101","10140200","40"
"2023","Community Development","Housing Protections","Repair-Maint","Operations/Maintenance","0","150000","0","0","0","476","47650890","50"
"2019","Finance","Treasury","Health Benefits","Personnel Cost","141814","141814","0","117375.75","117375.75","101","10114400","14"
"2019","Fire","Fire Prevention & Safety Grant","Travel/Trng/Dues","Operations/Maintenance","0","0","0","0","0","414","41445908","45"
"2019","Finance","Purchasing","Other","Personnel Cost","5239","5239","0","3722.15","3722.15","203","20314500","14"
"2023","Projects","Projects","Contract Services","Operations/Maintenance","0","0","128985.31","0","128985.31","423","42380000","CP"
"2021","Fire","Fire Suppression","Other","Personnel Cost","102728","102728","0","-62359.6","-62359.6","101","10145200","45"
"2023","City Attorney","City Attorney","Legal Services","Operations/Maintenance","0","0","15486.03","0","15486.03","101","10113100","13"
"2023","Administration","City Council","Workers Comp","Personnel Cost","0","0","0","-131","-131","101","10110000","10"
"2020","Fire","Fire Suppression","Liability Reserve","Operations/Maintenance","157733","157733","0","157733","157733","101","10145200","45"
"2019","Parks Recreation & Comm Svs","Senior and Social Services","Other","Personnel Cost","15346","15346","0","13617.21","13617.21","101","10130400","30"
"2021","Administrative Services","Risk Management","Sal/Spc Comp/OT","Personnel Cost","232715","232715","0","202749.15","202749.15","309","30922200","22"
"2019","Public Works","Public Works Admin","Other","Personnel Cost","19591","19591","0","23729.27","23729.27","101","10160100","60"
"2023","Community Development","Rental Assistance Payments","Contract Services","Operations/Maintenance","0","50000","0","0","0","476","47650720","50"
"2019","Public Works","Building Maintenance","Payroll Taxes","Personnel Cost","70553","70553","0","69327.17","69327.17","101","10160230","60"
"2019","Public Works","Environmental Programs/Ops","Health Benefits","Personnel Cost","0","0","0","19840.25","19840.25","101","10160460","60"
"2019","Community Development","Neighborhood Preservation","Other","Personnel Cost","19753","19753","0","16901.18","16901.18","101","10150500","50"
"2020","Public Works","Engineering","Liability Reserve","Operations/Maintenance","63539","63539","0","63539","63539","101","10160150","60"
"2023","Projects","Projects","Capital","Capital/Other","0","0","1185872.5","1432.5","1187305","204","20480000","CP"
"2019","Parks Recreation & Comm Svs","Recreation Division","Payroll Taxes","Personnel Cost","42795","39429","0","35251.54","35251.54","101","10130200","30"
"2020","Comm Improve Programs","Ince Prkg Structure","Office Supp&Exp","Operations/Maintenance","10140","10140","0","6698.23","6698.23","475","47555380","55"
"2016","Public Works","Recycling","Office Supp&Exp","Operations/Maintenance","0","0","0","0","0","414","41460905","60"
"2019","Parks Recreation & Comm Svs","RSVP","Capital","Capital/Other","3103","3103","0","3098","3098","101","10130430","30"
"2022","Police","Operating Bureaus","Travel/Trng/Dues","Operations/Maintenance","372138","397884.37","10782","368284.97","379066.97","101","10140200","40"
"2022","Finance","Budget & Accounting Operations","Public Notices/Ad","Operations/Maintenance","0","659.38","1978.14","659.38","2637.52","101","10114300","14"
"2019","Finance","Purchasing","Health Benefits","Personnel Cost","74322","74322","0","68496.25","68496.25","101","10114500","14"
"2020","Administrative Services","Risk Management","Liability Reserve","Operations/Maintenance","3185","3185","0","3185","3185","309","30922200","22"
"2019","Parks Recreation & Comm Svs","RSVP","Sal/Spc Comp/OT","Personnel Cost","65289","65289","0","12215.78","12215.78","101","10130430","30"
"2019","Finance","Budget & Accounting Operations","Payroll Taxes","Personnel Cost","44986","44986","0","41692.46","41692.46","101","10114300","14"
"2019","Administrative Services","Cultural Affairs-Art Fund","Sal/Spc Comp/OT","Personnel Cost","124482","124482","0","124436.81","124436.81","101","10122400","22"
"2019","Transportation","Para Transit Services","Health Benefits","Personnel Cost","30258","30258","0","28934","28934","411","41170420","70"
"2020","Police","State Asset Seizure Funds","Cap-Rolling Stock","Capital/Other","0","46133.82","0","46133.82","46133.82","416","41640450","40"
"2013","RDA Projects","Projects","Contract Services","Operations/Maintenance","155000","155000","0","0","0","488","48880000","RP"
"2020","Community Development","Rental Assistance","Liability Reserve","Operations/Maintenance","3109","3109","0","3109","3109","426","42650510","50"
"2019","Public Works","Parking Meters","Other","Personnel Cost","4420","4420","0","4420","4420","101","10160260","60"
"2021","City Attorney","City Attorney - Risk Mgt","Contract Services","Operations/Maintenance","125000","125000","0","104186.29","104186.29","309","30913400","13"
"2019","Parks Recreation & Comm Svs","Rec and Enrichment Programs","Health Benefits","Personnel Cost","9180","9180","0","9093.75","9093.75","101","10130250","30"
"2020","Public Works","Transfer Station - Admin","Liability Reserve","Operations/Maintenance","24241","24241","0","24241","24241","202","20260410","60"
"2019","Public Works","Maintenance Operations","Sal/Spc Comp/OT","Personnel Cost","272380","272380","0","285991.81","285991.81","101","10160200","60"
"2019","Parks Recreation & Comm Svs","Camp Programs","Pension Expenses","Personnel Cost","7789","7789","0","7394.57","7394.57","101","10130212","30"
"2019","Community Development","Economic Development","Public Notices/Ad","Operations/Maintenance","5000","5000","0","4361.05","4361.05","101","10150120","50"
"2019","Transportation","Transportation Operations","Depreciation","Operations/Maintenance","2800000","2800000","0","3369811.73","3369811.73","203","20370200","70"
"2019","Police","Operating Bureaus","Public Notices/Ad","Operations/Maintenance","2500","6827","0","6742.79","6742.79","101","10140200","40"
"2023","Non-Departmental","Non-Departmental","Travel/Trng/Dues","Operations/Maintenance","0","0","3983.33","3339.2","7322.53","101","10116100","16"
"2020","Administrative Services","Cultural Affairs-Art Fund","Liability Reserve","Operations/Maintenance","1681","1681","0","1681","1681","101","10122400","22"
"2020","Non-Departmental","Non-Departmental","Public Notices/Ad","Operations/Maintenance","0","0","0","1995","1995","101","10116100","16"
"2015","Public Works","Transfer Station - Admin","Travel/Trng/Dues","Operations/Maintenance","200","200","0","0","0","202","20260410","60"
"2019","Transportation","Transportation Operations","Payroll Taxes","Personnel Cost","734464","734464","0","646143.18","646143.18","203","20370200","70"
"2017","RDA Projects","Projects","Capital","Capital/Other","2772076","2772076","0","0","0","486","48680000","RP"
"2019","Fire","Emergency Preparedness","Health Benefits","Personnel Cost","19976","19976","0","19840.25","19840.25","101","10145400","45"
"2019","Public Works","Electrical Maintenance","Payroll Taxes","Personnel Cost","46530","46530","0","42251.77","42251.77","101","10160240","60"
"2020","Parks Recreation & Comm Svs","Senior and Social Services","Capital","Capital/Other","7799","7799","0","7675.95","7675.95","101","10130400","30"
"2020","Public Works","Wastewater Maintenance","Liability Reserve","Operations/Maintenance","74967","74967","0","74967","74967","204","20460300","60"
"2020","Information Technology","IT Public Safety","Liability Reserve","Operations/Maintenance","4387","4387","0","4387","4387","101","10124300","24"
"2019","Parks Recreation & Comm Svs","Recreation Division","Pension Expenses","Personnel Cost","108004","108004","0","100498.69","100498.69","101","10130200","30"
"2020","Police","Operating Bureaus","Other O&M","Operations/Maintenance","316530","316530","0","152458.91","152458.91","101","10140200","40"
"2021","Parks Recreation & Comm Svs","Youth Mentoring Program","Pension Expenses","Personnel Cost","616","616","0","6.03","6.03","101","10130270","30"
"2020","Parks Recreation & Comm Svs","Culver City After School Progr","Liability Reserve","Operations/Maintenance","4976","4976","0","4976","4976","101","10130233","30"
"2019","Parks Recreation & Comm Svs","Senior Nutrition - CII & 3B","Office Supp&Exp","Operations/Maintenance","500","560","0","560","560","414","41430415","30"
"2019","City Attorney","City Attorney","Sal/Spc Comp/OT","Personnel Cost","976520","976520","0","1084090.42","1084090.42","101","10113100","13"
"2020","Non-Departmental","Non-Departmental","Transfers","Transfers","300000","300000","0","300000","300000","203","20316100","16"
"2019","City Attorney","City Attorney - Risk Mgt","Sal/Spc Comp/OT","Personnel Cost","169616","169616","0","60862.25","60862.25","309","30913400","13"
"2020","Public Works","Building Maintenance","Liability Reserve","Operations/Maintenance","41180","41180","0","41180","41180","101","10160230","60"
"2012","Community Development","Admin Supply and Services","Other","Personnel Cost","500","500","0","0","0","476","47650710","50"
"2019","Fire","Fire Prevention & Safety Grant","Office Supp&Exp","Operations/Maintenance","0","0","0","0","0","414","41445908","45"
"2019","Finance","Purchasing","Pension Expenses","Personnel Cost","87190","87190","0","86097.84","86097.84","101","10114500","14"
"2019","Fire","Emergency Medical Services","Sal/Spc Comp/OT","Personnel Cost","4132227","4132227","0","3989374.76","3989374.76","101","10145300","45"
"2019","Parks Recreation & Comm Svs","Senior and Social Services","Pension Expenses","Personnel Cost","106739","106739","0","105186.2","105186.2","101","10130400","30"
"2020","Administration","City Council","Liability Reserve","Operations/Maintenance","613","613","0","613","613","101","10110000","10"
"2019","Public Works","Transfer Station - Admin","Sal/Spc Comp/OT","Personnel Cost","593081","593081","0","630006.65","630006.65","202","20260410","60"
"2019","Finance","General Accounting","Payroll Taxes","Personnel Cost","39110","39110","0","40832.16","40832.16","101","10114200","14"
"2020","City Attorney","City Attorney","Repair-Maint","Operations/Maintenance","370","370","0","256","256","101","10113100","13"
"2020","Fire","Emergency Medical Services","Office Supp&Exp","Operations/Maintenance","143104","143104","0","130124.43","130124.43","101","10145300","45"
"2019","Fire","Emergency Medical Services","Pension Expenses","Personnel Cost","1478512","1478512","0","1325083.27","1325083.27","101","10145300","45"
"2020","Parks Recreation & Comm Svs","Youth Mentoring Program","Pension Expenses","Personnel Cost","592","592","0","662.81","662.81","101","10130270","30"
"2021","Community Development","Rental Assistance","Public Notices/Ad","Operations/Maintenance","288","288","0","0","0","426","42650510","50"
"2019","Finance","Treasury","Pension Expenses","Personnel Cost","185473","185473","0","161825.01","161825.01","101","10114400","14"
"2019","Administrative Services","Cultural Affairs-Art Fund","Pension Expenses","Personnel Cost","27690","27690","0","26979.59","26979.59","101","10122400","22"
"2019","Public Works","Environmental Programs/Ops","Payroll Taxes","Personnel Cost","4260","4260","0","9274.73","9274.73","101","10160460","60"
"2019","Police","COPS/SLESF/Brulte","Sal/Spc Comp/OT","Personnel Cost","63400","63400","0","70247.87","70247.87","414","41440230","40"
"2020","Public Works","Streets","Equip Amort.","Operations/Maintenance","72797","72797","0","72797","72797","101","10160210","60"
"2019","Finance","Budget & Accounting Operations","Pension Expenses","Personnel Cost","130982","130982","0","125882.61","125882.61","101","10114300","14"
"2012","Parks Recreation & Comm Svs","Parks and Playgrounds Programs","Travel/Trng/Dues","Operations/Maintenance","300","300","0","0","0","101","10130211","30"
"2021","Transportation","Para Transit Services","Office Supp&Exp","Operations/Maintenance","1500","1500","0","0","0","411","41170420","70"
"2013","Parks Recreation & Comm Svs","Parks and Playgrounds Programs","Travel/Trng/Dues","Operations/Maintenance","300","300","0","0","0","101","10130211","30"
"2019","Public Works","Transfer Station - Admin","Payroll Taxes","Personnel Cost","41685","41685","0","50780.79","50780.79","202","20260410","60"
"2021","Finance","Budget & Accounting Operations","Capital","Capital/Other","0","898.25","0","898.25","898.25","101","10114300","14"
"2022","Parks Recreation & Comm Svs","Parks Division","Capital","Capital/Other","0","1000","0","1000","1000","101","10130300","30"
"2019","Finance","Finance Administration","Sal/Spc Comp/OT","Personnel Cost","580727","574156","0","543130.52","543130.52","101","10114100","14"
"2022","Projects","Projects","Capital","Capital/Other","600000","2218723","367630.73","1154252.47","1521883.2","435","43580000","CP"
"2020","Community Development","Community Development Admin","Liability Reserve","Operations/Maintenance","7075","7075","0","7075","7075","101","10150100","50"
"2019","Fire","Community Risk Reduction","Other","Personnel Cost","27600","27600","0","24077.89","24077.89","101","10145600","45"
"2020","Community Development","Current Planning","Equip Amort.","Operations/Maintenance","2905","2905","0","2905","2905","101","10150200","50"
"2019","Public Works","Electrical Maintenance","Other","Personnel Cost","15032","15032","0","11846.79","11846.79","101","10160240","60"
"2019","Community Development","Neighborhood Preservation","Pension Expenses","Personnel Cost","96954","96954","0","93383.63","93383.63","101","10150500","50"
"2020","Parks Recreation & Comm Svs","RSVP","Liability Reserve","Operations/Maintenance","888","888","0","888","888","101","10130430","30"
