"organization_city_agency","street_address_mailing_address","city","state","postcode","year_surveyed","total_vounteers","youth_volunteers","adult_volunteers","older_adult_volunteers","organization_type","interest_areas","special_populations_served","boroughs_served","borough","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"Mayor's Office of Criminal Justice","1 Centre St, 1012N","New York","NY","10007","2019","400","0","400","0","City agency","Justice-related","Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","All Boroughs","MANHATTAN","40.713001","-74.004181","101","1","29","1001394","1001210001","Chinatown"
"Mayor's Office of Data Analytics (MODA)","253 Broadway","New York","NY","10003","2019","16","0","16","0","City agency","Advocacy and organizing, Civic engagement (voting, voter registration), Education and literacy","We serve users of the NYC Open Data Program and the constituents related to agencies we serve for analytics and data sharing efforts.","All Boroughs","MANHATTAN","40.713265","-74.007063","101","1","21","1082757","1001347501","SoHo-TriBeCa-Civic Center-Little Italy"
"Mayor's Office of Immigrant Affairs","253 Broadway, 14th floor","New York","NY","10007","2019","336","0","336","0","City agency","Advocacy and organizing, Immigrants and/or refugees, Justice-related, Legal services","Immigrants and/or refugees","All Boroughs","MANHATTAN","40.713265","-74.007063","101","1","21","1082757","1001347501","SoHo-TriBeCa-Civic Center-Little Italy"
"Mayor's Office of Special Projects and Community Events","253 Broadway, 7th Floor","New York","NY","10007","2019","100","0","100","0","City agency","Special Events for the diverse communities of the City","Immigrants and/or refugees, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under), various communities within NYC including Asian-Americans, those who celebrate Diwali, Holiday Season, Faith Leaders, etc.","All Boroughs","MANHATTAN","40.713265","-74.007063","101","1","21","1082757","1001347501","SoHo-TriBeCa-Civic Center-Little Italy"
"Mayor's Office of Sustainability","253 Broadway","New York","NY","10007","2019","2","0","2","0","City agency, NYC Mayor's Office","Environment and sustainability","None","All Boroughs","MANHATTAN","40.713265","-74.007063","101","1","21","1082757","1001347501","SoHo-TriBeCa-Civic Center-Little Italy"
"Mercy College","555 Broadway","Dobbs Ferry","NY","10522","2019","50","0","50","0","College and/or university","Education and literacy","LGBTQIA+, Low-income populations, Military/ veteran families, Women, Youth (17 or under)","MN, BX",,,,,,,,,
"Met Council","77 Water Street, 26th Floor","New York","NY","10005","2019","2344","0","0","0","Community-based organization","Human services, Immigrants and/or refugees, Senior Services, Poverty/Food Insecurity","Immigrants and/or refugees, Low-income populations, Older adults (60 or older), Women, Youth (17 or under)","All Boroughs","MANHATTAN","40.704275","-74.008681","101","1","7","1000863","1000330001","Battery Park City-Lower Manhattan"
"Mexican Coalition","389 East 150th Street Office 4","The Bronx","NY","10455","2019","65","2","56","7","Community-based organization","Advocacy and organizing, Arts and culture, Children and youth related, Education and literacy, Faith-based, Health and medicine, Immigrants and/or refugees, Internation support","Immigrants and/or refugees, Low-income populations, Older adults (60 or older), Women, Youth (17 or under), returned-migrants","BK, MN, BX, QN","BRONX","40.816905","-73.917982","201","17","65","2097101","2023970017","Melrose South-Mott Haven North"
"Mill Basin Active Adults","2075 East 68th Street","Brooklyn","NY","11234","2019","26","0","16","10","Community-based organization","Arts and culture, Senior Services, meals, informative presentations, physical health and exercise, health management, case assistance, telephone reassurance, nutrition education","Low-income populations, Older adults (60 or older), People with disabilities, Women","BK","BROOKLYN","40.618864","-73.910226","318","46","69602","3237201","3084090001","Georgetown-Marine Park-Bergen Beach-Mill Basin"
"Millennium Development","10315 Farragut Road","Brooklyn","NY","11236","2019","15","0","0","15","Community-based organization","Children and youth related, People with disabilities, Senior Services","Low-income populations, Older adults (60 or older), People with disabilities","BK","BROOKLYN","40.649668","-73.89929","318","42","1098","3229152","3081520201","East New York"
"Millennium Development Vandalia Neighborhood Senior Center","47 Vandalia Ave","Brooklyn","NY","11239","2019","11","0","1","10","Community-based organization","Senior Services","Older adults (60 or older)","BK","BROOKLYN","40.649799","-73.88676","305","42","105804","3348859","3044310100","Starrett City"
"Mitchell Senior Center","188 Licnoln Ave","The Bronx","NY","10454","2019","20","0","15","5","Senior Center","Advocacy and organizing, Arts and culture, Education and literacy, Senior Services","Older adults (60 or older)","BX",,,,,,,,,
"Mixteca Organization, Inc.","245 23rd St. 2nd Fl.","Brooklyn","NY","11215","2019","35","0","33","2","Community-based organization, Non for profit","Advocacy and organizing, Arts and culture, Education and literacy, Employment and workforce development, Health and medicine, Immigrants and/or refugees, Justice-related, Women's issues, Mental Health","Immigrants and/or refugees, Justice-involved individuals, Low-income populations, Women","All Boroughs","BROOKLYN","40.659942","-73.994096","307","38","145","3017611","3008990001","Sunset Park West"
"MM Bethune Senior Center","1970 Amsterdam Ave","New York","NY","10032","2019","5","0","0","5","Community-based organization","Senior Services","Older adults (60 or older)","MN","MANHATTAN","40.83328","-73.94174","112","7","241","1076742","1021160033","Washington Heights South"
"Mobilization for Change Community Garden","69 West 107th Street","New York","NY","10025","2019","65","5","50","10","Community-based organization, Volunteer-led group, Community Garden","Animals, Arts and culture, Children and youth related, Education and literacy, Environment and sustainability","Justice-involved individuals, Low-income populations, Older adults (60 or older), Youth (17 or under)","MN","MANHATTAN","40.799636","-73.961693","107","7","193","1055679","1018430005","Morningside Heights"
"Modest Community Services Association, Inc.","88 New Dorp plaza Suite 202","Staten Island","NY","10306","2019","16","0","16","0","Non Profit organization","People with disabilities","People with disabilities","SI","STATEN IS","40.573001","-74.11761","502","50","134","5057432","5042120043","New Dorp-Midland Beach"
"Monday Night Hospitality","1157 Lexington Ave.","New York","NY","10075","2019","3600","0","3000","600","Community-based organization","Weekly Meal Program","Immigrants and/or refugees, Low-income populations, Older adults (60 or older)","MN","MANHATTAN","40.775377","-73.95858","108","5","140","1047486","1015080053","Upper East Side-Carnegie Hill"
"More Gardens Fund","79 Clinton Street, Suite 17","New York","NY","10002","2019","675","350","300","25","Community-based organization","Advocacy and organizing, Arts and culture, Children and youth related, Environment and sustainability, Justice-related","Justice-involved individuals, Low-income populations, Youth (17 or under)","BK, MN, BX, QN","MANHATTAN","40.718833","-73.985209","103","1","1402","1004177","1003480021","Lower East Side"
"Mosholu Montefiore Community Center","3450 Dekalb Avenue","The Bronx","NY","10467","2019","90","0","20","70","Community-based organization","Children and youth related, Employment and workforce development, Human services, Immigrants and/or refugees, Legal services, Senior Services","Immigrants and/or refugees, Low-income populations, Older adults (60 or older), Women, Youth (17 or under)","BX","BRONX","40.881486","-73.881226","207","11","421","2096396","2033270001","Norwood"
"Mount Loretto Neighborhood Senior Center","6581 Hylan Blvd.","Staten Island","NY","10309","2019","58","0","0","0","Senior Center","Senior Services","Older adults (60 or older)","SI","STATEN IS","40.509084","-74.22093","503","51","198","5123970","5076640001","Annadale-Huguenot-Prince's Bay-Eltingville"
"Mount Sinai Sexual Assault and Violence Intervention Program (SAVI)","One Gustave L. Levy Place, Box 1670","New York","NY","10029","2019","230","0","210","20","Hospital","Health and medicine","Homeless, Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","BK, MN, QN",,,,,,,,,
"Mount Sinai St. Luke's Hospital","1090 Amsterdam Avenue","New York","NY","10025","2019","393","0","0","0","Hospital","Health and medicine","Homeless, Immigrants and/or refugees, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","MN","MANHATTAN","40.805227","-73.962231","109","7","199","1057032","1018850036","Morningside Heights"
"Mount Sinai West Hospital","1000 Tenth Avenue","New York","NY","10019","2019","306","0","0","0","Hospital","Health and medicine","Homeless, Immigrants and/or refugees, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","MN","MANHATTAN","40.770297","-73.987689","104","3","145","1082718","1010680001","Lincoln Square"
"Musicians On Call","110 W 40th Street, Suite 702","New York","NY","10018","2019","115","0","111","14","Non-profit organization","Arts and culture, Health and medicine, Senior Services","Military/ veteran families, Older adults (60 or older), Women, Youth (17 or under)","All Boroughs","MANHATTAN","40.753818","-73.985696","105","4","113","1080614","1008150039","Midtown-Midtown South"
"My Friends Place NY, Inc.","364 90th Street apt. 1A (mailing only)","Brooklyn","NY","11209","2019","130","119","11","0","Community-based organization, Volunteer-led group","Children and youth related, Immigrants and/or refugees, mental health","Immigrants and/or refugees, Low-income populations, Youth (17 or under)","BK","BROOKLYN","40.620295","-74.030532","310","43","58","3388767","3060817501","Bay Ridge"
"National Association of Hispanic Healthcare Executives","153 W. 78th Street, Suite #1","New York","NY","10024","2019","18","0","16","2","Volunteer-led group, non-profit","Employment and workforce development, Health and medicine, Diversity & Inclusion","Women, Young Professionals and Hispanics/Latinx","All Boroughs","MANHATTAN","40.781903","-73.977464","107","6","165","1030241","1011500010","Upper West Side"
"National Youth Organization of Pakistan, Inc.","1102 Glenwood Rd, Apt 4A","Brooklyn","NY","11230","2019","65","10","50","5","Community-based organization, Faith-based institution","Advocacy and organizing, Arts and culture, Children and youth related, Immigrants and/or refugees, Women's issues","Immigrants and/or refugees, Women, Youth (17 or under)","BK","BROOKLYN","40.631938","-73.96644","314","45","528","3178873","3066860001","Flatbush"
"Natural Areas Conservancy","1234 Fifth Avenue","New York","NY","10029","2019","340","0","0","0","Public-Private Partnership","Environment and sustainability","None","All Boroughs","MANHATTAN","40.793292","-73.951826","111","8","168","1051499","1016100001","East Harlem South"
"Neighborhood Coalition for Shelter","50 Broadway, Suite 1301","New York","NY","10004","2019","250","0","0","0","Community-based organization","Homeless and shelter","People with disabilities","MN, BX","MANHATTAN","40.706449","-74.012761","101","1","9","1000813","1000220024","Battery Park City-Lower Manhattan"
"Neighborhood Housing Services of Jamaica, Inc.","89-70 162 Street","Jamaica","NY","11432","2019","9","0","9","4","Community-based organization","Affordable Housing","Low-income populations, Older adults (60 or older), Women","QN","QUEENS","40.705147","-73.798218","412","24","44601","4208874","4097600081","Jamaica"
"Neighborhood SHOPP","953 Southern Blvd","The Bronx","NY","10459","2019","130","0","20","110","Community-based organization","Advocacy and organizing, Arts and culture, Education and literacy, Health and medicine, Human services, Immigrants and/or refugees, Justice-related, People with disabilities, Senior Services","Homeless, Immigrants and/or refugees, Justice-involved individuals, Low-income populations, Older adults (60 or older), People with disabilities","BX","BRONX","40.82148","-73.891688","202","17","159","2005787","2027240186","Hunts Point"
"Neighborhood Work Play Kids Theatre","Pratt Station Box 50081","Brooklyn","NY","11205","2019","5","1","3","1","Literacy and Theater","Arts and culture, Children and youth related, Education and literacy","Youth (17 or under)","BK",,,,,,,,,
"New York Academy of Sciences","250 Greenwich St 40th Floor","New York","NY","10032","2019","500","0","500","0","Science Academy - Non-profit organization","Science and STEM","Youth (17 or under)","All Boroughs","MANHATTAN","40.71322","-74.011709","101","1","21","1086510","1000840036","SoHo-TriBeCa-Civic Center-Little Italy"
"New York Blood Center","1200 Prospect Avenue","Westbury","NY","11590","2019","291","12","72","207","Non Profit Healthcare","Health and medicine","Serve All","All Boroughs",,,,,,,,,
"New York Cares","65 Broadway, 19th Floor","New York","NY","10006","2019","48273","264","28475","2456","Community-based organization","Arts and culture, Children and youth related, Civic engagement (voting, voter registration), Education and literacy, Emergency management and disaster response, Employment and workforce development, Environment and sustainability, Health and medicine, Homeless and shelter, Human services, Immigrants and/or refugees, LGBTQIA+, People with disabilities, Senior Services, Women's issues","Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","All Boroughs","MANHATTAN","40.707113","-74.012234","101","1","13","1000809","1000210004","Battery Park City-Lower Manhattan"
"New York City Department of Correction","75-20 Astoria Blvd., Ste. 110","East Elmhurst","NY","11370","2019","247","14","233","0","City agency","Arts and culture, Civic engagement (voting, voter registration), Education and literacy, Employment and workforce development, Faith-based, Justice-related, LGBTQIA+, Legal services, Women's issues","Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women","BK, MN, BX, QN","QUEENS","40.765724","-73.892382","403","22","30904","4022646","4010270050","Jackson Heights"
"New York City Department of Environmental Protection, Organizational Development and Human Resources","59-17 Junction Blvd.","Elmhurst","NY","11373","2019","9","0","9","0","City agency","Environment and sustainability, All Aspect of Environmental Protection","We serve the entire NYC","All Boroughs","QUEENS","40.734606","-73.864774","404","21","455","4047310","4019180001","Corona"
"New York City Emergency Management Department","165 Cadman Plaza East","Brooklyn","NY","11201","2019","851","0","0","0","City agency","Emergency management and disaster response","Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","All Boroughs","BROOKLYN","40.698767","-73.98987","302","33","13","3000172","3000850006","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"New York City Housing Authority","250 Broadway","New York","NY","10007","2019","7","3","4","0","City agency","Advocacy and organizing, Children and youth related, Environment and sustainability","Older adults (60 or older), Youth (17 or under)","BK","MANHATTAN","40.712982","-74.007301","101","1","21","1001408","1001240024","SoHo-TriBeCa-Civic Center-Little Italy"
"New York City Lions Youth Football League","173 East 74 Street","New York","NY","10021","2019","10","2","8","0","Community-based organization","Education and Athletics","Low-income populations, Youth (17 or under)","MN","MANHATTAN","40.7714","-73.960416","108","4","128","1043088","1014090032","Upper East Side-Carnegie Hill"
"New York City Medical Reserve Corps","42-09 28th Street","Long Island City","NY","11101","2019","1077","0","894","183","City agency","Emergency management and disaster response, Health and medicine, Human services","Immigrants and/or refugees, Low-income populations","All Boroughs","QUEENS","40.749641","-73.939135","402","26","19","4538327","4004207501","Hunters Point-Sunnyside-West Maspeth"
"New York City Relief","295 Walnut Street","Elizabeth","NJ","7201","2019","2881","319","2321","241","Faith-based institution","Faith-based, Homeless and shelter, Human services","Homeless, Low-income populations","MN, BX",,,,,,,,,
"New York Disaster Interfaith Services","4 W 43 Street, Suite 407","New York","NY","10036","2019","311","0","309","2","Faith-based institution","Advocacy and organizing, Civic engagement (voting, voter registration), Education and literacy, Emergency management and disaster response, Employment and workforce development, Faith-based, Homeless and shelter, Human services, Immigrants and/or refugees","Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under), Faith Communities, Disaster Survivors","All Boroughs","MANHATTAN","40.754371","-73.980932","105","4","96","1034201","1012580042","Midtown-Midtown South"
"New York Edge","58-12 Queens Blvd., Ste. 1","Woodside","NY","11377","2019","350","0","300","50","Community-based organization","Arts and culture, Children and youth related, Education and literacy","Low-income populations, Youth (17 or under)","All Boroughs","QUEENS","40.741828","-73.907281","402","26","245","4454475","4023137501","Woodside"
"New York Immigration Coalition","131 West 33rd Street, Suite 610","New York","NY","10001","2019","92","0","92","0","Non-Profit","Advocacy and organizing, Immigrants and/or refugees","Immigrants and/or refugees","BK","MANHATTAN","40.749569","-73.989277","105","3","101","1015198","1008097501","Midtown-Midtown South"
"New York Institute of Technology","1855 Broadway","New York","NY","10023","2019","406","0","0","0","College and/or university","Children and youth related, Civic engagement (voting, voter registration), Education and literacy, Employment and workforce development, Environment and sustainability, Health and medicine, Homeless and shelter","Homeless, Immigrants and/or refugees, Low-income populations, Military/ veteran families, Older adults (60 or older), Women","All Boroughs","MANHATTAN","40.769514","-73.982122","107","3","145","1027193","1011130047","Lincoln Square"
"New York Junior League","130 East 80th Street","New York","NY","10075","2019","3000","0","0","0","Volunteer-led group","Advocacy and organizing, Arts and culture, Children and youth related, Education and literacy, Employment and workforce development, Senior Services, Women's issues","Immigrants and/or refugees, Low-income populations, Older adults (60 or older), Women","MN","MANHATTAN","40.775871","-73.958966","108","4","140","1047491","1015080061","Upper East Side-Carnegie Hill"
"New York Presbyterian - Allen Hospital","5141 Broadway-3FE Room 178","New York","NY","10034","2019","106","0.39","0.57","0.18","Hospital","Civic engagement (voting, voter registration), Education and literacy, Emergency management and disaster response, Employment and workforce development, Environment and sustainability, Faith-based, Health and medicine, Human services, LGBTQIA+, People with disabilities, Senior Services, Women's issues","Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","MN, BX",,,,,,,,,
"New York Presbyterian - Columbia University Irving Medical Center","622 West 168 Street, Volunteer Services","New York","NY","10032","2019","376","74","280","22","Hospital","Health and medicine","Immigrants and/or refugees, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women","MN","MANHATTAN","40.841429","-73.940606","112","10","251","1084386","1021380040","Washington Heights South"
"New York Presbyterian - Lawrence Hospital","55 Palmer Avenue","Bronxville","NY","10552","2019","139","30","24","85","Hospital","Health and medicine","Older adults (60 or older)","MN",,,,,,,,,
"New York Presbyterian - Lower Manhattan","170 William Street","New York","NY","10038","2019","166","5","52","4","Hospital","Health and medicine","Immigrants and/or refugees, Low-income populations, Older adults (60 or older), Women","MN","MANHATTAN","40.710479","-74.005515","101","1","1501","1001352","1001000001","Battery Park City-Lower Manhattan"
"New York Presbyterian - Morgan Stanley Children's Hospital","3959 Broadway","New York","NY","10032","2019","106","0","87","19","Hospital","Children and youth related, Health and medicine","Immigrants and/or refugees, LGBTQIA+, Low-income populations, Military/ veteran families, People with disabilities, Women, Youth (17 or under)","MN","MANHATTAN","40.839768","-73.940723","112","10","251","1084385","1021380040","Washington Heights South"
"New York Presbyterian - Weill Cornell Medical Center","525 East 68th Street","New York","NY","10065","2019","831","16","255","67","Hospital","Health and medicine","Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","MN","MANHATTAN","40.764149","-73.955251","108","5","116","1084781","1014800001","Lenox Hill-Roosevelt Island"
"New York Presbyterian - Westchester Behavioral Health Center","21 Bloomingdale Road","White Plains","NY","10605","2019","136","0","0","0","Hospital","Health and medicine, Mental Health","Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","All Boroughs",,,,,,,,,
"New York Public Library","445 Fifth Avenue","New York","NY","10016","2019","1374","0","0","0","private / public partnership","Arts and culture, Children and youth related, Civic engagement (voting, voter registration), Education and literacy, Employment and workforce development, Immigrants and/or refugees, LGBTQIA+, Senior Services","Immigrants and/or refugees, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), Women, Youth (17 or under)","MN, SI, BX","MANHATTAN","40.751512","-73.981864","105","4","82","1017603","1008697501","Murray Hill-Kips Bay"
"New York Restoration Project","254 West 31st Street","New York","NY","10001","2019","1510","0","1510","0","Community-based organization","Environment and sustainability","Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","All Boroughs","MANHATTAN","40.749734","-73.993532","105","3","101","1014347","1007800071","Midtown-Midtown South"
"New York Road Runners","156 W 56th Street, 5th Floor","New York","NY","10019","2019","23642","387","21873","1355","Non-Profit","Children and youth related, Health and medicine, LGBTQIA+, People with disabilities, Senior Services","LGBTQIA+, Low-income populations, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","All Boroughs","MANHATTAN","40.764538","-73.979813","105","4","137","1076177","1010087503","Midtown-Midtown South"
"New York SCORES (d/b/a America SCORES New York)","520 8th Ave, Suite 201C","New York","NY","10018","2019","300","0","0","0","Community-based organization","Arts and culture, Children and youth related, Education and literacy, Health and medicine","Immigrants and/or refugees, LGBTQIA+, Low-income populations, Youth (17 or under)","BK, MN, BX","MANHATTAN","40.753612","-73.992417","105","3","109","1083624","1007860001","Midtown-Midtown South"
"New York State Sickle Cell Advocacy Network (Formerly QSCAN)","207-08 Hollis Ave.","Queens Village","NY","11429","2019","28","10","13","5","Community-based organization, Volunteer-led group","Advocacy and organizing, Human services, Community outreach, education, and awareness","People with disabilities, Children and families with special needs","All Boroughs","QUEENS","40.707553","-73.749889","413","27","512","4439444","4109480075","Queens Village"
"New York University","665 Broadway, 10th Floor","New York","NY","10012","2019","2721","200","2521","0","College and/or university","Advocacy and organizing, Arts and culture, Children and youth related, Civic engagement (voting, voter registration), Education and literacy, Emergency management and disaster response, Environment and sustainability, Health and medicine, Homeless and shelter, Human rights, Human services, Immigrants and/or refugees, Justice-related, LGBTQIA+, Legal services, People with disabilities, Senior Services, Women's issues","Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","BK, MN","MANHATTAN","40.727354","-73.995162","102","1","5501","1083504","1005320015","West Village"
"Newtown Creek Alliance","520 Kingsland Avenue, 3rd floor","Brooklyn","NY","11222","2019","350","0","0","0","Community-based organization","Advocacy and organizing, Environment and sustainability","None","BK, QN","BROOKLYN","40.733708","-73.943242","301","33","579","3064104","3025170027","Greenpoint"
"NHS Brooklyn","2806 Church Avenue","Brooklyn","NY","11226","2019","15","0","15","1","Community-based organization","Advocacy and organizing, Emergency management and disaster response, Homeless and shelter, Affordable housing and housing preservation","Homeless, Low-income populations, Older adults (60 or older)","BK","BROOKLYN","40.650723","-73.951068","317","40","824","3117292","3051050086","Erasmus"
"Nonprofit New York","320 East 43rd Street, 3rd Floor","New York","NY","10017","2019","189","0","0","0","membership organization","Advocacy and organizing, capacity building","nonprofit professionals","All Boroughs","MANHATTAN","40.750156","-73.970935","106","4","88","1038659","1013350005","Turtle Bay-East Midtown"
"Northeast Bronx Seniors","2968 Bruckner Blvd.","The Bronx","NY","10465","2019","60","0","0","60","Senior Center","Senior Services","Older adults (60 or older)","BX","BRONX","40.833889","-73.826264","210","13","164","2097558","2054200002","Schuylerville-Throgs Neck-Edgewater Park"
"Northern Manhattan Improvement Corporation","45 Wadsworth Ave","New York","NY","10033","2019","46","0","0","0","Community-based organization","Advocacy and organizing, Education and literacy, Employment and workforce development, Environment and sustainability, Human services, Immigrants and/or refugees, Justice-related, Legal services, Women's issues","Immigrants and/or refugees, Low-income populations, Older adults (60 or older), Women","MN, BX","MANHATTAN","40.846186","-73.937623","112","10","263","1089928","1021440003","Washington Heights South"
"Nubian Conservatory of Music","892 Eastern Parkway 1st Fl","Brooklyn","NY","11213","2019","7","0","1","6","Music School","Arts and culture, Children and youth related, Education and literacy","Low-income populations, Older adults (60 or older), Youth (17 or under)","BK, QN","BROOKLYN","40.669195","-73.938578","309","35","337","3037458","3013940013","Crown Heights North"
"NY Classical Theatre","64 Fulton Street, Suite 1108","New York","NY","10038","2019","25","0","20","5","Community-based organization, Theatre Company","Arts and culture","Homeless, Immigrants and/or refugees, Low-income populations, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","BK, MN","MANHATTAN","40.708769","-74.005136","101","1","1502","1001176","1000760001","Battery Park City-Lower Manhattan"
"NY Writers Coalition","80 Hanson Place #604","Brooklyn","NY","11217","2019","52","0","48","4","Non-profit","Advocacy and organizing, Arts and culture","Justice-involved individuals, LGBTQIA+, Low-income populations, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","BK, MN, BX, QN","BROOKLYN","40.685488","-73.974421","302","35","35","3057479","3020030034","Fort Greene"
"NYC Campaign Finance Board","100 Church Street, 12th Floor","New York","NY","10007","2019","402","0","0","0","City agency","Civic engagement (voting, voter registration)","The CFB brings voter registration events and civic engagement programs to all five boroughs, with a particular focus on historically disenfranchised communities, as mandated in the City Charter","All Boroughs","MANHATTAN","40.712968","-74.00949","101","1","21","1001409","1001250020","SoHo-TriBeCa-Civic Center-Little Italy"
"NYC Commission on Human Rights","22 Reade Street, 2nd Floor, NYC Commission on Human Rights","New York","NY","10007","2019","46","0","0","0","City agency","Advocacy and organizing, Children and youth related, Faith-based, Homeless and shelter, Human rights, Immigrants and/or refugees, Justice-related, LGBTQIA+, Legal services, People with disabilities, Senior Services, Women's issues","Homeless, Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","All Boroughs","MANHATTAN","40.714231","-74.004895","101","1","31","1078613","1001540023","SoHo-TriBeCa-Civic Center-Little Italy"
"NYC Department for the Aging","2 Lafayette Street","New York","NY","10007","2019","586","0","72","514","City agency","Advocacy and organizing, Arts and culture, Civic engagement (voting, voter registration), Emergency management and disaster response, Employment and workforce development, Health and medicine, Human services, Justice-related, People with disabilities, Senior Services","Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women","All Boroughs","MANHATTAN","40.713723","-74.003586","101","1","31","1001672","1001550001","SoHo-TriBeCa-Civic Center-Little Italy"
"NYC Department of Health and Mental Hygiene","42-09 28th Street","Long Island City","NY","11101","2019","1358","0","0","0","City agency","Public Health","Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","All Boroughs","QUEENS","40.749641","-73.939135","402","26","19","4538327","4004207501","Hunters Point-Sunnyside-West Maspeth"
"NYC Department of Small Business Services","One Liberty Plaza, 11th Floor","New York","NY","10006","2019","56","0","0","0","City agency","Employment and workforce development","Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women","All Boroughs",,,,,,,,,
"NYC Department of Veterans' Services","1 Centre Street, Room 2208","New York","NY","10007","2019","14","3","11","0","City agency","Education and literacy, Employment and workforce development, Health and medicine, Homeless and shelter, LGBTQIA+, Veterans Services","LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women","All Boroughs","MANHATTAN","40.713001","-74.004181","101","1","29","1001394","1001210001","Chinatown"
"NYC Health + Hospitals -  Elmhurst","79-01 Broadway, A1-26","Elmhurst","NY","11373","2019","650","0","0","0","Hospital","Health and medicine","Sick Patients","QN","QUEENS","40.744416","-73.886097","404","25","267","4437132","4015000002","Elmhurst"
"NYC Health + Hospitals - Bellevue","462 1st Avenue","New York","NY","10016","2019","330","9","264","57","Hospital","Health and medicine","Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","MN","MANHATTAN","40.739497","-73.976624","106","4","62","1086515","1009620100","Murray Hill-Kips Bay"
"NYC Health + Hospitals - Coler","900 Main Street","New York","NY","10044","2019","165","25","140","12","Nursing Facility","Emergency management and disaster response, Employment and workforce development, Health and medicine, Human services, People with disabilities, Senior Services","Immigrants and/or refugees, LGBTQIA+, Low-income populations, Older adults (60 or older), People with disabilities, Women","MN, QN","MANHATTAN","40.7698","-73.941218","108","5","23802","1040750","1013730050","Lenox Hill-Roosevelt Island"
"NYC Health + Hospitals - Coney Island","2601 Ocean Parkway","Brooklyn","NY","11235","2019","393","0","0","0","Hospital","Health and medicine","Homeless, Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","BK","BROOKLYN","40.586552","-73.966168","313","48","370","3337274","3072390001","Brighton Beach"
"NYC Health + Hospitals - Gotham Health","2094 Pitkn ave","Brooklyn","NY","11207","2019","4","0","3","0","Hospital","Health and medicine","Immigrants and/or refugees, Justice-involved individuals, LGBTQIA+, Low-income populations, Military/ veteran families, Older adults (60 or older), People with disabilities, Women, Youth (17 or under)","All Boroughs",,,,,,,,,
