"fiscal_year_2","source_2","council_member_2","legal_name_2","ein_2","status_2","amount_2","agency_2","program_name_2","street_address_1_2","street_address_2_2","zip_code_2","purpose_of_funds_2","fiscal_conduit_name_2","fc_ein_2","location_1_2","borough","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"2011","Coalition of Theaters of Color",,"New Federal Theatre, Inc.","13-2814763","Cleared","70000.00","DCA",,"292 Henry Street",,"10002",,,,"292 Henry Street
New York, NY 10002
(40.71392304466305, -73.98343781806793)","MANHATTAN","40.713999","-73.983118","3","2","202","1081962","1002670019","Lower East Side                                                            "
"2011","HIV/AIDS Faith Based Initiative",,"Zeta Zeta Lambda Alpha Phi Alpha Youth Programs, Inc.","11-2872641","Pending","6400.00","DOHMH",,"92-08 173rd St. ",,"11433",,,,"92-08 173rd St.
Jamaica, NY 11433
(40.70772876452506, -73.78672443623483)","QUEENS   ","40.707509","-73.786589","12","27","444","4217514","4102130014","Jamaica                                                                    "
"2011","Local","Viverito","Child Welfare Organizing Project, Inc.","13-4089544","Cleared","7500.00","DYCD",,"80 East 110th Street, 1E",,"10029","These funds will support self-help and advocacy for parents involved  in the public child welfare system. ",,,"80 East 110th Street, 1E
New York, NY 10029
(40.79570711804106, -73.94671896869251)","MANHATTAN","40.79568","-73.946555","11","8","17401","1078868","1016150023","East Harlem South                                                          "
"2012","Aging","Mealy","Crown Heights Preservation  Committee Corporation","112322490-","Cleared","5000.00","DFTA","Shalom Senior Center","483 Albany Avenue",,"11203","An article in the January 24, 2011 issue of The New Yorker highlighted the extraordinary costs of individuals who are considered âhigh usersâ of the health care system. Many of the individuals that SUS serves would be considered these âhigh usersâ. _x000D_
_x000D_
Approximately 70 of SUSâ residents with mental illness have a history of substance abuse and at any given time, approximately 38 will be actively using. SUS data also indicated that substance abuse adds to the factors associated with chronic disease; factors that include poor nutrition, poor self-care, addiction to tobacco and non-engagement in needed treatment. SUSâ residential demographics also indicates that a large percentage may be undiagnosed or at risk of developing serious and preventable conditions such as chronic obstructive pulmonary disease, cardiovascular disease, hypertension, asthma, diabetes, HIV, and early detection of colon, breast and prostate cancers._x000D_
_x000D_
SUS investigated the large number of serious medical emergencies and hospitalizations among its consumers; yielding information indicative of poor medical follow-up and even poorer engagement and communication between consumers and their medical providers. In response, SUS carried out an aggressive, progressive strategy that implemented several new initiatives that included the institution of our Wellness programs. _x000D_
_x000D_
SUSâ Wellness programs address the health needs of the whole person (physical, mental, emotional and spiritual). By focusing on personal strengths and quality of life issues and using evidence based practices, such as Care Coordination and Integrated Dual Diagnosis Treatment, individuals reduced the number of emergency hospitalizations; reduced substance use; increased adherence to mental health and medical treatment; increased participation in weight loss programs; increased attendance in NA groups; increased independent living skills; improved family relationships; and overall improved social connectedness.",,,"483 Albany Avenue
Brooklyn, NY 11203
(40.66345547814927, -73.93990736718699)","BROOKLYN ","40.663388","-73.939975","9","41","331","3038418","3014267501","Crown Heights South                                                        "
"2012","Cultural After-School Adventure (CASA) ","Palma","Midtown Management Group, Inc.","133192793-","Cleared","20000.00","DCA","Public School 182X","630 Ninth Avenue, Ste. 802",,"10036",,,,"630 Ninth Avenue, Ste. 802
New York, NY 10036
(40.7599835298872, -73.99141665969353)","MANHATTAN","40.760038","-73.991449","4","3","121","1024982","1010350001","Clinton                                                                    "
"2010","CASA","Sears","Queens Theatre in the Park, Inc.","11-3381629","Pending","20000.00","DCA","Public School 206Q Horace Harding","Flushing Meadows Corona Park, PO Box 520069","61-21 97th Place, Rego Park, NY 11374","11352",,,,"Flushing Meadows Corona Park, PO Box 520069
Flushing, NY 11352
(40.74602999998467, -73.82616999984549)","QUEENS   ","40.742377","-73.842157","81","21","38302",,,"park-cemetery-etc-Queens                                                   "
"2012","Local","Eugene","J'Ouvert City International, Inc.","113362754-","Cleared","5000.00","DYCD",,"338 Utica Avenue",,"11213","To produce an event each year that captures the fine art and theatrical skills of members of the Caribbean community.
To educate people about the Arts and Cultures of the Caribbean To promote Stay in School programs, using culture as one of the tools.
To preserve historical records and costumes of Carnivals . To inform and refer individuals to programs that can help them with issues they are faced with.    
To create Safe Haven areas for our young people and elders.
  
",,,"338 Utica Avenue
Brooklyn, NY 11213
(40.66644534445027, -73.93141774679954)","BROOKLYN ","40.666501","-73.931353","9","35","351","3037944","3014080043","Crown Heights North                                                        "
"2012","Youth","Dickens","Harlem Little League","133548568-","Pending","5000.00","DYCD",,"40 West 135th Street, #6D",,"10037","to provide uniform and equipment for youths",,,"40 West 135th Street, #6D
New York, NY 10037
(40.813646403711914, -73.93979057564633)","MANHATTAN","40.813586","-73.939644","10","9","212","1053895","1017300064","Central Harlem North-Polo Grounds                                          "
"2011","CASA","Ignizio","Sundog Theatre, Inc.","45-0476945","Cleared","20000.00","DCA","Intermediate School 24R","370 St. Marks Place","225 Cleveland Avenue, Staten Island, NY 10308","10301",,,,"370 St. Marks Place
Staten Island, NY 10301
(40.640657705746065, -74.07774101500976)","STATEN IS","40.640357","-74.077614","1","49","3","5000189","5000160098","West New Brighton-New Brighton-St. George                                  "
"2012","Local","Koslowitz","Communities of Maspeth and Elmhurst Together, Inc. (COMET)","113190583-","Cleared","5000.00","DYCD",,"52-72 70th Street",,"11378-1445","We hold monthly meetings and offer a forum for residents to meet their elected officials and representatives of various City agencies to help answer questions and address their concerns.  We hold special meetings to educate the community on a specific topic about going green, i.e. Tree Stewardship class, and hold outdoor crime prevention initiatives such as V.I.N. Etch and Home Security Checkups with the NYPD.  We identify and refer any problems that affect the quality of life of neighborhood residents.",,,"52-72 70th Street
Maspeth, NY 11378-1445
(40.731466356674446, -73.89392515215201)",,,,,,,,,
"2011","Youth","James","Brooklyn Steppers, Inc., The","27-1223035","Cleared","5000.00","DYCD",,"1700 Fulton Street",,"11213","Support the Brooklyn Steppers Marching Band.",,,"1700 Fulton Street
Brooklyn, NY 11213
(40.67943158405916, -73.93243412144665)","BROOKLYN ","40.67944","-73.932407","3","36","271","3047996","3017010001","Crown Heights North                                                        "
"2012","Aging","Jackson","Seniors Helping Seniors, Inc.","133111915-","Cleared","6500.00","DFTA",,"600 West 168th Street","Basement","10032","Our Mission: to help the disabled and elderly remain in the community with safety and security by providing entitlements that enable them to have financial security. These may include a wide range of entitlements and benefits such as rent relief, Food Stamps, SSI, drug plans, housing, tax credits and a host of other services that provide financial stability. Our second mission to  help keep benefits in place. Our agency has on-site applications available so clients do not have to go to different offices for help. These funds will be used to pay for our social work staff that provide direct services to our clients.",,,"600 West 168th Street
New York, NY 10032
(40.84108561864794, -73.93992675849881)","MANHATTAN","40.841264","-73.940223","12","10","251","1063379","1021380024","Washington Heights South                                                   "
"2011","Local","Quinn","Primary Stages Company, Inc.","13-3258765","Cleared","3000.00","DCA",,"307 West 38th Street, Suite 1510",,"10018","Primary Stages requests funding for our Free Student Matinee Series for NYC public school students. This program provides 4-6 performances each season during the school day followed by a discussion with the actors. Between 800-1100 students are served each year including students from Liberty High School for Newcomers in your district.",,,"307 West 38th Street, Suite 1510
New York, NY 10018
(40.755010607401516, -73.99224802961538)","MANHATTAN","40.754946","-73.992175","4","3","115","1013643","1007620025","Clinton                                                                    "
"2011","Local","CC","Westside Crime Prevention Program","13-3087186","Cleared","15000.00","DYCD",,"893 Amsterdam Avenue",,"10025","To expand safe haven program - conflict resolution & anti-violence techniques.",,,"893 Amsterdam Avenue
New York, NY 10025
(40.798888732408074, -73.9667563745105)","MANHATTAN","40.798888","-73.966829","7","7","189","1055912","1018550050","Upper West Side                                                            "
"2012","Boro","Crowley","Queens Museum of Art","112278998-","Cleared","2857.00","DCA",,"NYC Building","Flushing Meadows Corona Park","11368","Funding for its educational programming including school trips, art workshops for families and film and lecture programs for seniors. ",,,"NYC Building
Queens, NY 11368
(40.74605999956947, -73.85822999981451)",,,,,,,,,
"2012","Local","CC","Crown Heights Jewish Community Council, Inc.","237390996-","Cleared","25000.00","DYCD",,"392 Kingston Avenue",,"11225","To provide assistance to clients in Immigration, Family Crisis Intervention, Employment Assistance, Job Training, Access to Entitlements, Health Insurance information and enrollment, Food Pantry, or Housing related services",,,"392 Kingston Avenue
Brooklyn, NY 11225
(40.665222295996216, -73.94262344003863)","BROOKLYN ","40.665236","-73.942597","9","35","333","3034284","3012990045","Crown Heights South                                                        "
"2012","Youth","Williams","Rugby Family Services","113223904-","Cleared","8000.00","DYCD",,"4905 SNYDER AVENUE",,"11203","After school GED curriculum development, review and testing; basic computer training; scholarship awards for academic performance at college, high school and junior high; mentorship; counseling.",,,"4905 SNYDER AVENUE
BROOKLYN, NY 11203
(40.65008670624309, -73.9308153417939)","BROOKLYN ","40.650068","-73.931031","17","45","860","3102842","3046970036","East Flatbush-Farragut                                                     "
"2012","Youth","Cabrera","Kips Bay Boys and Girls Club, Inc.","131623850-","Cleared","10000.00","DYCD",,"1930 Randall Avenue",,"10473-2698","Our request is for the continuation of obesity prevention programming in FY12 under the project name, Get Fit, Get Light. We have been engaged in obesity prevention for for several years because the national youth obesity crisis is much accentuated in the Bronx. Basically what we do is incorporate nutrition and health instruction into physical education programming that includes regular and rigorous exercise. A new additon in FY12 is to teach from 7 refrigerator rules for good nutrition and health that we will put on a refrigerator magnet and will send home with Get Fit, Get Light participants for posting on the family refrigerator.",,,"1930 Randall Avenue
Bronx, NY 10473-2698
(40.81781026470753, -73.85673818624048)",,,,,,,,,
"2011","Community Consultants",,"Pueblo En Marcha II, Inc.","13-4010925","Pending","10000.00","HPD",,"401 East 145th Street, 1F",,"10454",,,,"401 East 145th Street, 1F
Bronx, NY 10454
(40.813394593543705, -73.9192950265986)","BRONX    ","40.813494","-73.919591","1","8","43","2000498","2022900001","Mott Haven-Port Morris                                                     "
"2012","Cultural After-School Adventure (CASA) ","Dickens","Community Works, Inc","133580813-","Cleared","20000.00","DCA","Public School 149M","55 West End Ave.  ",,"10023",,,,"55 West End Ave.
NY, NY 10023
(40.7742182588904, -73.98863653792989)","MANHATTAN","40.774058","-73.988681","7","6","151","1087719","1011710063","Lincoln Square                                                             "
"2011","CASA","Seabrook","Intrepid Museum Foundation, Inc.","13-3062419","Cleared","20000.00","DCA","The Young Scholars Academy of the Bronx","One Intrepid Square","3710 Barnes Avenue, Bronx, NY 10467","10036",,,,"One Intrepid Square
New York, NY 10036
(40.75912999974986, -73.98824999993741)",,,,,,,,,
"2012","Food Pantries-DYCD","Manhattan","Evangelical Lutheran Church of the Advent","131635264-","Cleared","5000.00","DYCD",,"2504 Broadway",,"10025","To support the local food pantry.",,,"2504 Broadway
New York, NY 10025
(40.79281810551328, -73.97293059242605)","MANHATTAN","40.792909","-73.97304","7","6","179","1033646","1012410020","Upper West Side                                                            "
"2012","Cultural After-School Adventure (CASA) ","Garodnick","Midtown Management Group","133192793-","Cleared","20000.00","DCA","PS 77","630 Ninth Avenue, Ste. 802",,"10036",,,,"630 Ninth Avenue, Ste. 802
New York, NY 10036
(40.7599835298872, -73.99141665969353)","MANHATTAN","40.760038","-73.991449","4","3","121","1024982","1010350001","Clinton                                                                    "
"2011","Youth","Viverito","Hoops by the River, Inc.","27-1453959","Cleared","5000.00","DYCD",,"259 West 152nd Street, Suite 1-B",,"10039","To support Hoops by the River's youth basketball program and drug awareness day.",,,"259 West 152nd Street, Suite 1-B
New York, NY 10039
(40.82696536296584, -73.93794696548628)","MANHATTAN","40.8269","-73.937869","10","9","236","1060609","1020380007","Central Harlem North-Polo Grounds                                          "
"2012","Local","Quinn","Outstanding Renewal Enterprises, Inc.","133320984-","Cleared","3500.00","DSNY",,"299 East 8th Street 22",,"10009"," Funding from City Council Members will allow the Ecology Center to work with communities in their districts and educate their constituents about the issue of e-waste, which will build awareness about the events and upcoming changes to the way that e-waste is handled in New York City. 
",,,"299 East 8th Street 22
New York, NY 10009
(40.7254768719593, -73.98019711442277)","MANHATTAN","40.725444","-73.980171","3","2","2602","1004760","1003910059","Lower East Side                                                            "
"2012","Local","Weprin","Queensborough Community College Auxiliary Enterprise Association, Inc.","112037770-","Cleared","10000.00","CUNY","Kupferberg Holocaust Resource Center & Archives","222-05 56th Avenue",,"11364","At the start of the 21st Century a noticeable rise in anti-Semitism took hold in a format that targeted the Jews as colonialists and oppressors of nationalism.  The same holds true for members of the Muslim community who are being labeled as terrorists. The exhibit to be produced will explore these issues and provide a format for examining these concerns.",,,"222-05 56th Avenue
Bayside, NY 11364
(40.753120548911426, -73.75891630769081)","QUEENS   ","40.75349","-73.757957","11","23","138501","4439440","4074900002","Oakland Gardens                                                            "
"2011","FY2011 Partial PEG Restoration-Cultural Institutions",,"Department of Cultural Affairs","13-6400434","Cleared","218080.86","DCA",,,,,,,,,,,,,,,,,
"2012","Local","Dickens","Palladia, Inc.","237089380-","Cleared","3500.00","DYCD",,"2006 Madison Ave",,"10035","to assist in training and development department to include the capacity  to utilize online formats.",,,"2006 Madison Ave
New York, NY 10035
(40.80757598001412, -73.93934990785198)","MANHATTAN","40.807347","-73.939484","11","9","206","1087856","1017520057","Central Harlem North-Polo Grounds                                          "
"2011","Local","CC","S.L.E. Lupus Foundation, Inc., The","13-3060086","Cleared","40000.00","DOHMH",,"330 Seventh Avenue, Suite 1701",,"10001","To provide services in disadvantaged neighborhoods to those affected by lupus and address the racial health disparities associated with the disease",,,"330 Seventh Avenue, Suite 1701
New York, NY 10001
(40.74762717354099, -73.99312936520408)","MANHATTAN","40.747549","-73.993143","5","3","95","1014264","1007780043","Midtown-Midtown South                                                      "
"2011","CASA","Quinn","Intrepid Museum Foundation, Inc.","13-3062419","Cleared","20000.00","DCA","Public School 33M","One Intrepid Square","281 9th Avenue, New York, NY 10001","10036",,,,"One Intrepid Square
New York, NY 10036
(40.75912999974986, -73.98824999993741)",,,,,,,,,
"2012","Local","Gennaro","Queensborough Community College Auxiliary Enterprise Association, Inc.","112037770-","Cleared","7500.00","CUNY",,"222-05 56th Avenue",,"11364","âNew Audiences for Queens, QPACâs audience development initiative, is designed to build new audiences within the Queens community among ethnically diverse and underserved Queensâ residents.  QPAC will program a minimum of 3 professional performances which reflect New York Citys multi-ethnic communities, and QPACs outreach to local Queensâ residents will make the arts accessible to one of the Cityâs most diverse groups.Additionally, each performance will be staffed by a trained theater professional whose job it will be to welcome the participants, acquaint those individuals who seldom or never attend shows with the rules one needs to know for attending live theater or answer any other questions.",,,"222-05 56th Avenue
Bayside, NY 11364
(40.753120548911426, -73.75891630769081)","QUEENS   ","40.75349","-73.757957","11","23","138501","4439440","4074900002","Oakland Gardens                                                            "
"2011","Local","Levin","Public School 110K - The Monitor School","13-6400434","Cleared","3500.00","DOE",,"124 Monitor Street",,"11222","After-school recreation programs which include arts and crafts, painting, movement and music. Funding will be used for materials, equipment and per session for teachers. ",,,"124 Monitor Street
Brooklyn, NY 11222
(40.72370520756158, -73.94223673156603)","BROOKLYN ","40.723897","-73.942312","1","33","591","3067144","3026880042","Greenpoint                                                                 "
"2011","HIV/AIDS Faith Based Initiative",,"New Life Tabernacle Church","31-1741545","Cleared","6400.00","DOHMH",,"1476 Bedford Avenue",,"11216",,,,"1476 Bedford Avenue
Brooklyn, NY 11216
(40.672821567143785, -73.95432361963981)","BROOKLYN ","40.672888","-73.954282","8","35","219","3031430","3012380044","Crown Heights North                                                        "
"2012","Urban Advantage",,"American Museum of Natural History","136162659-","Cleared","2000000.00","DOE",,,,,,,,,,,,,,,,,
"2009","IOI","Queens","City University of New York School of Law Foundation, Inc., The","11-3235349","Cleared","77300.00","DYCD","CUNY Citizenship and Research Project",,,,,,,,,,,,,,,,
"2011","Youth","Ferreras","Reach Out and Read of Greater New York, Inc.","13-4080045","Cleared","5000.00","DYCD",,"30 East 33rd Street, 6th Floor",,"10016","Promotion of literacy in Council District 21.",,,"30 East 33rd Street, 6th Floor
New York, NY 10016
(40.74682677693488, -73.98285011440919)","MANHATTAN","40.746983","-73.983193","5","2","74","1017020","1008620045","Midtown-Midtown South                                                      "
"2012","Local","Dickens","Dunbar Tenants Association","113802678-","Cleared","3500.00","DYCD",,"247 WEST 149TH STREET",,"10039","The Dunbar Tenants Association provides information and activities for the tenants and those living in the surrounding area. The DTA will fund educational and recreational bus trips,senior activities,basketball tournaments for youth, our annual school supply giveaway,health fair,flea market and other neighborhood events",,,"247 WEST 149TH STREET
NEW YORK, NY 10039
(40.82481703938365, -73.93856529468638)","MANHATTAN","40.824786","-73.938619","10","9","234","1084146","1020350001","Central Harlem North-Polo Grounds                                          "
"2011","Housing Presevation Initiative",,"Good Old Lower East Side, Inc.","13-2915659","Cleared","60000.00","HPD",,"169 Avenue B",,"10009",,,,"169 Avenue B
New York, NY 10009
(40.72723054991644, -73.97959456866317)","MANHATTAN","40.727253","-73.979612","3","2","28","1004875","1003930006","Lower East Side                                                            "
"2012","Local","CC","Fort Hamilton Hockey Corporation","562629871-","Cleared","7500.00","DYCD",,"1347 EAST 17TH STREET APT 4C",,"11230","To fund equipment, safety equipment, jerseys and rink pavement for youth hockey league.",,,"1347 EAST 17TH STREET APT 4C
BROOKLYN, NY 11230
(40.617513262341845, -73.95795688063816)","BROOKLYN ","40.617157","-73.957933","14","48","538","3181074","3067460096","Midwood                                                                    "
"2012","Local","CC","Edwin Gould Services for Children & Families","135675643-","Cleared","20000.00","OCJC",,"151 Lawrence Street",,"11201"," To provide counseling and case management services that help our clients build a stable foundation for a future free from abuse and incarceration.  ",,,"151 Lawrence Street
Brooklyn, NY 11201
(40.69181575722072, -73.9862277219461)","BROOKLYN ","40.691506","-73.986297","2","33","11","3000404","3001520006","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"2012","Youth","Mendez","Arts for Art, Inc.","133991848-","Cleared","3500.00","DYCD",,"107 Suffolk St","35","10002-3300","An after-school music and dance program: Professional artists will conduct workshops in music and dance for children of all ages. Experience teaches us that all children are imaginative and have creative potential.  Through music and dance we will encourage students to share their creativity, take risks, learn from their mistakes, and value each otherâs unique creative expression.
",,,"107 Suffolk St
New York, NY 10002-3300
(40.71894052775201, -73.98619435970046)",,,,,,,,,
"2011","Adult Literacy",,"Korean Community Services of Metropolitan New York, Inc.","23-7348989","Cleared","30952.38","DYCD",,"35-56 159th Street",,"11358",,,,"35-56 159th Street
Flushing, NY 11358
(40.76395886159304, -73.80636715937936)","QUEENS   ","40.765263","-73.806158","7","19","1171","4119327","4052740070","Murray Hill                                                                "
"2012","Local","Vallone","Greater Astoria Historical Society","112990504-","Cleared","3500.00","DCA",,"35-20 Broadway 4th Floor",,"11106","Our mission is to preserve the history of the Astoria/Long Island City community, protect its artifacts and through understanding promote its future. Funds are requested for our monthly educational programs: lectures and guest speakers on topics of community and city interest, History Round Table Discussion Group, historical movie program, walking tours, and special school programs for children and memory programs for seniors. We have 4 changing exhibits throughout the year and two permanent exhibits.",,,"35-20 Broadway 4th Floor
Long Island City, NY 11106
(40.76019070229029, -73.92165125031534)","QUEENS   ","40.760358","-73.921969","1","22","59","4009696","4006460038","Astoria                                                                    "
"2012","Aging","Lander","Older Adults Technology Services (OATS), Inc.","550882599-","Cleared","10000.00","DFTA",,"1713 Eighth Avenue 8",,"11215-6157","â¢Free technology training in community computer labs, teaching skills from email and internet to health research and accessing government services online.  OATS has over 1,000 pages of proprietary curriculum available in English and Spanish. â¢Access to Senior Planet digital community resources, including our weekly events calendar, resource guide, videoconferences, and specialized content on health, finances, and other essential topics.  This service, available online at www.seniorplanet.org, reaches over 16,000 older adults per year.  Free event listings in the Senior Planet calendar are a powerful way for organizations, such as arts and cultural institutions, to reach an audience of thousands. â¢One-on-one technology support and training at the OATS Exploration Center.  This new citywide intergenerational technology resource center will be opening in the summer of 2011, where seniors will be welcome (with transportation !
 assistance provided) to explore emerging technologies and get customized assistance with everything from PCs to mobile phones.",,,"1713 Eighth Avenue 8
Brooklyn, NY 11215-6157
(40.659259790941974, -73.98478365677221)",,,,,,,,,
"2010","Transportation - Operating Costs",,"Catholic Charities Neighborhood Services, Inc.","11-2047151  ","Pending","6100.48","DFTA","Southwest Queens Home Delivered Meals","191 Joralemon Street",,"11201","Senior Center transportation costs",,,"191 Joralemon Street
Brooklyn, NY 11201
(40.69266960433043, -73.9917354160587)","BROOKLYN ","40.692671","-73.991785","2","33","9","3002244","3002550008","Brooklyn Heights-Cobble Hill                                               "
"2012","Food Pantries-DYCD","Queens","Ridgewood Older Adult Center and Services, Inc.","050607283-","Cleared","5000.00","DYCD",,"59-14 70th Avenue",,"11385","To support the local food pantry.",,,"59-14 70th Avenue
Ridgewood, NY 11385
(40.70123115004941, -73.89978873178308)","QUEENS   ","40.701191","-73.900024","5","30","583","4084122","4035080009","Ridgewood                                                                  "
"2011","CASA","Greenfield","Brooklyn Arts Council, Inc.","23-7072915","Cleared","20000.00","DCA","Public School 164K","55 Washington Street, Suite 218","4211 14th Avenue","11219",,,,"55 Washington Street, Suite 218
Brooklyn, NY 11219
(40.702688366154774, -73.98957290186571)","BROOKLYN ","40.70273","-73.989602","2","33","21","3000088","3000380001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"2012","Youth","Quinn","Gilgamesh Theatre Group, Inc.","133680874-","Cleared","5000.00","DYCD",,"425 West 46th St 3A",,"10036-9033"," To reach students traditionally underserved, programming is provided free of charge, and we target schools with inclusion programs for children with special needs and a high number of students with English as a second language. ",,,"425 West 46th St 3A
New York, NY 10036-9033
(40.761485726012495, -73.9918703143631)",,,,,,,,,
"2011","Local","Quinn","Arts & Business Council of New York, Inc.","13-2746599","Cleared","3500.00","DCA",,"1 East 53rd Street, 3rd Floor",,"10022","Support for ABC/NYâs free and low-cost services to arts organizations of all disciplines and sizes throughout NYC (approximately 1/3 served are in CD3).  ABC/NY provides programming in volunteer development, professional development, and leadership development. Programs include Business Volunteers for the Arts; board recruitment, training, and placement; workshops on arts marketing and management topics; a leadership institute for mid-career arts managers; an emerging leaders network; and an arts management internship program for multicultural undergraduates. Program activities take place at various locations citywide but are concentrated in CD3.",,,"1 East 53rd Street, 3rd Floor
New York, NY 10022
(40.76021768195119, -73.97528681614278)","MANHATTAN","40.760324","-73.975584","5","4","102","1035725","1012890005","Midtown-Midtown South                                                      "
"2011","Aging","Gonzalez","United Senior Citizen Center of Sunset Park, Inc.","11-2358277","Cleared","18750.00","DFTA",,"475 53rd Street",,"11220","For the purchase of equipment and renovations",,,"475 53rd Street
Brooklyn, NY 11220
(40.64381201865752, -74.01259086197031)","BROOKLYN ","40.64386","-74.012767","7","38","76","3013917","3008070046","Sunset Park West                                                           "
"2012","Youth","Mark-Viverito","New Yorkers Against Gun Violence Education Fund","133808186-","Cleared","10000.00","DYCD",,"3 West 29th Street Suite 1007",,"10001","To support youth leadership development programming for Bronx young people interested in gun violence prevention.",,,"3 West 29th Street Suite 1007
New York, NY 10001
(40.745639671856225, -73.98756256184276)","MANHATTAN","40.745457","-73.987196","5","4","76","1015763","1008310030","Midtown-Midtown South                                                      "
"2011","Local","Arroyo","Arthritis Foundation, Inc. - New York Chapter","13-5630148","Cleared","5000.00","DFTA",,"122 East 42nd Street, 18th Floor",,"10168","These funds would support the implementation and evaluation of evidence-based arthritis disease management programs and public education forums held at community sites within the 17th District in the Bronx.",,,"122 East 42nd Street, 18th Floor
New York, NY 10168
(40.65282963843248, -73.9382617281965)","MANHATTAN","40.751601","-73.97645","5","4","80","1036152","1012960014","Murray Hill-Kips Bay                                                       "
"2011","Boro","White, Jr","Rochdale Village Social Services, Inc.","11-3397470","Cleared","6429.00","DFTA",,"169-65 137th Avenue",,"11434","To support the senior center by providing for general operating and programmatic expenses.",,,"169-65 137th Avenue
Jamaica, NY 11434
(40.672674402614106, -73.77061758587098)","QUEENS   ","40.672622","-73.770641","12","28","33402","4436348","4124950002","Springfield Gardens North                                                  "
"2011","Aging","Lander","Services and Advocacy for GLBT Elders, Inc. (SAGE)","13-2947657","Cleared","3500.00","DFTA",,"305 Seventh Avenue, 6th Floor",,"10001","To provide direct and supportive social services, social and recreational activities and community building programs to LGBT older adults.",,,"305 Seventh Avenue, 6th Floor
New York, NY 10001
(40.74679080405372, -73.99364197876082)","MANHATTAN","40.746817","-73.993655","5","3","95","1015060","1008037502","Midtown-Midtown South                                                      "
"2011","IOI","Manhattan","Legal Services NYC - Manhattan","13-2600199","Cleared","39312.50","DYCD",,"90 John Street, Suite 301",,"10038","Immigration Related Legal Services",,,"90 John Street, Suite 301
New York, NY 10038
(40.708164922895264, -74.00649329055949)","MANHATTAN","40.708173","-74.006464","1","1","1502","1001127","1000697502","Battery Park City-Lower Manhattan                                          "
"2013","Coalition of Theaters of Color",,"Coalition of Theaters of Color","136400434-","Pending","700000.00","DCLA",,,,,,,,,,,,,,,,,
"2012","Alternatives to Incarceration (ATI)",,"Center for Employment Opportunities (CEO), Inc.","133843322-","Cleared","347207.00","OCJC",,"32 Broadway, 15th Floor",,"10004",,,,"32 Broadway, 15th Floor
New York, NY 10004
(40.70598856358441, -74.01311230069518)","MANHATTAN","40.706045","-74.013096","1","1","9","1078979","1000220017","Battery Park City-Lower Manhattan                                          "
"2012","Local","Levin","Brooklyn Philharmonic Symphony Orchestra, Inc.","111773636-","Cleared","3500.00","DCA",,"55 Washington Street","Suite 656","11201","Brooklyn Philharmonic, under the leadership of new Artistic Director Alan Pierson, conducts substantial music education and community programming in Brooklynâs 33rd district, and invites Councilmember Levin to partner with us by way of a 5,000 contribution toward sustaining and expanding these offerings in FY12._x000D_
_x000D_
The Philharmonic serves more than 400 students and community members in the 33rd with programs including Study with the Masters (Brookyln H.S. for the Arts); School Time Concerts (Brooklyn School for Global Studies); and the acclaimed Music Off the Shelves concert series, presented at the Brooklyn Public Librarys Dweck Center._x000D_
_x000D_
Student Chamber Ensemble Festival  Study with the Masters: In 2011, nine groups from Brooklyn H.S. for the Arts and L.S. 318 participated in the Festival, wherein ensembles compete for prizes awarded to their school music programs. Study with the Masters provides student ensembles with coaching sessions from the Philâs musicians and teaching artists._x000D_
_x000D_
The free Music Off the Shelves concert series pairs acclaimed local writers with Philharmonic chamber ensembles. FY11 concerts featured a partnership with the 33rd districtâs own _A Public Space_, one of Brooklynâs finest art and literature magazines, and certainly one of the 33rd districtâs most valuable cultural arbiter._x000D_

School Time Concerts (STC) are orchestral performances to which students can innately relate. In advance of the concerts, teachers receive a study guide and are invited to participate in a free workshop to assist them in preparing their students for the concert._x000D_
_x000D_
Brooklyn Philharmonic Arts Center: Brooklyn Phil will soon begin the renovation of a decommissioned firehouse at 299 Degraw Street in Cobble Hill. This, the Brooklyn Philharmonic Arts Center, will serve as an Arts Academy offering 33rd districtâs people (and those beyond) with classes, lessons, and workshops in music, visual art, dance, and many other disciplines._x000D_",,,"55 Washington Street
Brooklyn, NY 11201
(40.702688366154774, -73.98957290186571)","BROOKLYN ","40.70273","-73.989602","2","33","21","3000088","3000380001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"2010","Transportation - Operating Costs",,"Mid-Bronx Senior Citizens Council, Inc.","23-7354073  ","Pending","6100.48","DFTA","Home Delivered Meals Program","900 Grand Concourse ",,"10451","Senior Center transportation costs",,,"900 Grand Concourse
Bronx, NY 10451
(40.82724415279489, -73.92244265370113)","BRONX    ","40.827412","-73.922277","4","16","18301","2002802","2024600001","East Concourse-Concourse Village                                           "
