"requirements","opportunity_id","content_id","summary","category_description","title","display_url","recurrence_type","street_address","_2nd_address","city","state","postcode","country","website","borough","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"<p>&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Bachelor&rsquo;s degree in a relevant field preferred</p>

<p>&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Strong computer literacy:&nbsp;Knowledge of Microsoft Access and Excel, Google Sheets and Forms, MailChimp, and DropBox required; experience with Contact Contact, Asana, GMass, Optima, and Eventbrite a strong plus</p>

<p>&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Exceptional writing skills, ability to proofread/copy edit bi-monthly/quarterly newsletters</p>

<p>&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Meticulous attention to detail</p>

<p>&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Strong time management skills and ability to establish priorities and meet deadlines</p>

<p>&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Highly organized, detail-oriented, and reliable</p>

<p>&middot;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Interested in learning about the daily functioning and deeper goals of nonprofits and/or the child welfare system</p>","Part-time Volunteer Administrative Assistant (Unpaid)","<p>DESCRIPTION</p>

<p>CASA-NYC is a non-profit organization whose mission is to ensure that children in foster care have their needs met and their rights protected. We are seeking a tech-savvy Administrative Assistant, who will join the organization on a part-time, volunteer basis and will work closely with the Volunteer Coordinator to support the day-to-day tasks of the Volunteer Department. </p>

<p> </p>

<p>Responsibilities:</p>

<ul>
	<li>Identify and implement strategies to streamline the efficiency of projects and processes</li>
	<li>General filing, organization, and data entry</li>
	<li>Prepare quarterly newsletter and bi-monthly digest for publication</li>
	<li>Maintain a resource directory and update on a semi-annual basis to ensure accuracy of data</li>
	<li>Prepare documents and manage RSVP lists for trainings and appreciation events</li>
	<li>Prepare handouts and documents for outreach/recruitment events</li>
	<li>Create, with the assistance of the Volunteer Coordinator, to-do lists (on Asana) and procedures that we can use for future events, trainings, etc.</li>
	<li>Other duties as assigned by supervisor</li>
</ul>","Join CASA-NYC, a non-profit whose mission is to ensure that children in foster care have their needs met and their rights protected. We are seeking a tech-savvy Administrative Assistant to work on a part-time, volunteer basis and support the day-to-day tasks of the Volunteer Department.",,"Court Appointed Special Advocates","/opportunities/13139","onetime","College Point Fields","130th St & 23rd Ave.","Flushing","NY","11354","US","http://www.06united.com",,,,,,,,,
"<p>experience with children</p>

<p>experience with teaching dance</p>","Give the Gift of Dance this Summer","<p>We are currently accepting applications for <strong>Volunteer Dance Teachers </strong>at Groove With Me, Inc. Groove With Me is a free dance school for girls in East Harlem. At GWM, we engage girls during the idle out-of-school hours when 90% of youth violence occurs; and seeks to decrease teen pregnancy, truancy, crime, violence, prostitution, substance abuse and gang related activity. East Harlem has the highest unmet need for after school programming of any neighborhood in NYC.</p>

<p>Our mission is to provide free classes and performance opportunities to promote leadership, pride, self-confidence, creativity, joy, and discipline they need to confront adversity they face in their daily lives and to empower them to grow into strong and healthy women.</p>

<p>By volunteering you provide:</p>

<ul>
	<li>much needed out-of-school time safety</li>
	<li>arts programming</li>
	<li>mentoring</li>
</ul>

<p>If you are interested in this opportunity, or for further information please give me a call at 212-987-5910 or reach me via email at angie@groovewithme.org</p>

<p><strong>Groove With Me, Inc.<br />
186 E 123rd St<br />
NY, NY 10035<br />
Phone: 212-987-5910</strong></p>

<p><strong>Fax: 212-987-5080<br />
www.groovewithme.org</strong></p>","Groove With Me is a free dance school that utilizes dance to attract and engage girls during the idle out-of-school time hours; and build self-confidence in an effort to prevent risk-taking behaviors.",,"Groove With Me, Inc.","/opportunities/13140","ongoing","Boys Prep","192 E 151st Street, 3rd Floor","Bronx","NY","10451","US","http://www.southbronxunited.org/","BRONX","40.818689","-73.868527","209","18","20","2021972","2035910050","Soundview-Castle Hill-Clason Point-Harding Park"
"<p><strong>Mentor Applicant Requirements</strong></p>

<ul>
	<li>
	<p>Experience and enthusiasm for working with teens (9th-12th graders)</p>
	</li>
	<li>
	<p>Interest in supporting career readiness skill</p>
	</li>
	<li>
	<p>Ability to support in visual literacy skills</p>
	</li>
	<li>
	<p>Fine Arts Background</p>
	</li>
	<li>
	<p>1-2 years youth development experience preferred</p>
	</li>
</ul>

<p><strong>Application Process: </strong></p>

<p><strong>***The first step&nbsp;of the application process is to complete a&nbsp;<a href=""https://docs.google.com/forms/d/e/1FAIpQLSeKQUUNNN1JL8d0z7LBSCq1Jkf-KJlviKA1ilLXA3PK9iZjLg/viewform"">Supplemental&nbsp;Application</a>(After completing your supplemental application, candidates will be reviewed and those who are qualified to move forward will complete the next steps in the process).</strong></p>

<ol>
	<li>
	<p>Submit Online&nbsp;Application</p>
	</li>
	<li>
	<p>Interview with a Free Arts staff and submit resume and references (2 professional, 1 personal)</p>
	</li>
	<li>
	<p>Attend a Youth Development Training (Mandatory Dates: 9/17&nbsp;or 9/24)</p>
	</li>
</ol>

<p>Once Matched:</p>

<ol>
	<li>
	<p>Pass Fingerprint and background check with Go Pass</p>
	</li>
	<li>
	<p>Attend a Program Training (Mandatory Dates: 10/01&nbsp;or 10/08)</p>
	</li>
	<li>
	<p>Attend Meet &amp; Greet with Mentee (Mandatory Date: 10/26)</p>
	</li>
</ol>

<p><strong>For more information on how to get involved contact volunteer@freeartsnyc.org</strong></p>","Be a Mentor for our Creative Lab Program!","<p><strong>What is the Creative Lab? </strong><br />
 <br />
Creative Lab offers teens an introduction to the creative industry and cultural institutions across New York City. Once a month, teens visit artist studios or attend workshops on professional development skills. Volunteer mentors meet twice a month with their teen (9th - 12th grade) to support them with career readiness and visual literacy skills. </p>

<p><strong>Mentor Responsibilities (October 2019 – June 2020)</strong></p>

<ul>
	<li>2 afternoons per month (group visit and one-on-one meeting)</li>
	<li>1-2 points of communication per month to support career readiness skill-building (via email, phone, skype)</li>
	<li>Monthly online survey</li>
	<li>Help teens explore their career interests, build their visual literacy, and increase their networks</li>
</ul>

<p><strong>Free Arts Provides:</strong></p>

<ul>
	<li>Dedicated support by Free Arts NYC staff through quarterly check-ins</li>
	<li>Two Youth Development trainings</li>
	<li>Facilitated group workshops and career readiness curriculum</li>
</ul>","What is the Creative Lab? 
 
Creative Lab offers teens an introduction to the creative industry and cultural institutions across New York City.",,"Free Arts NYC","/opportunities/13206","ongoing","Boys Prep","192 E 151st Street, 3rd Floor","Bronx","NY","10451","US","http://www.southbronxunited.org/","BRONX","40.818689","-73.868527","209","18","20","2021972","2035910050","Soundview-Castle Hill-Clason Point-Harding Park"
"<p>The Vision Board is geared toward adults ages 20-35 who live in, work in, or have some other connection to southeast Queens, New York.&nbsp;&nbsp;Members of the Vision Board will meet together three times per year generally (March, June, September), and of course they will communicate and collaborate online as needed.&nbsp;</p>

<p>We are particularly seeking individuals with any of the following interests or backgrounds: the arts, tech, entrepreneurship, music, legal advocacy, health &amp; wellness, food &amp; nutrition, and education. &nbsp;</p>","Millennial Vision Board Members","<p>The next meeting of the Vision Board is scheduled for September 27, 2018, 7:30pm.  The Vision Board is absolutely an opportunity to build your resume, your contacts, and your experience.  Several of the participants in our organization have leveraged this platform to gain new jobs, get accepted to colleges &amp; graduate schools, and advance their careers.  Furthermore, the Vision Board is an opportunity to enjoy yourself by using your skills in a way that is meaningful to you, right in a community that you care about, while meeting new people.</p>","The Vision Board is the creative arm of FBCDC.  It is an advisory board made up of visionary young adults connected to the southeast Queens communities in some way.  The role of the Vision Board is to create ideas for improving the local community and engaging other young adults in that mission.",,"Farmers Boulevard Community Development Corp.","/opportunities/13218","ongoing","Boys Prep","192 E 151st Street, 3rd Floor","Bronx","NY","10451","US","http://www.southbronxunited.org/","BRONX","40.818689","-73.868527","209","18","20","2021972","2035910050","Soundview-Castle Hill-Clason Point-Harding Park"
"<p>Expereince working with women in the Criminal Justice System, Parole/Probation and Behavioral &amp; Social Emotional Needs a plus</p>

<p>Life Experience and/or minimum of Bachelor Degree in Criminal Justice, Social Work, Psychology</p>","Peer & Intern Specialist","<p>Voices of Women Alternative to Incarcertion/Prevention Pilot Project is looking for Peers &amp; Intern Specialists to work with young women 13 - 30 years of age with a history of incarceration, currently incarcerated and a prevention to incarceration.</p>

<p>Life Experience and/or minimum of Bachelors degree in Criminal Justice, Sociology, Social Work and/por Psychology</p>

<p>Must have expereince working with women with history of incaceration, behavioral/Social Emotional Needs and families</p>

<p>Must be willing to attend meetings and trainings</p>","We are building a team for a Pilot Project to work with young women 13 - 30 years of age, as a multi approach program for Alternatives to Incarceration and Prevention Program.",,"My Daughters Journey, Inc.","/opportunities/13223","ongoing","364 90th Street 1A (mailing only)",,"Brooklyn","NY","11209","US","https://mfpny.org/get-involved","BROOKLYN","40.620295","-74.030532","310","43","58","3388767","3060817501","Bay Ridge"
,"AmeriCorps Intern","<p><strong>Brand the East Harlem Arts Cluster to promote the small businesses and cultural institutions in a geographic area bounded by 100<sup>th</sup> Street on the south, 112<sup>th</sup> on the north, 3<sup>rd</sup> Avenue to 5<sup>th</sup> Avenue.</strong></p>

<p><strong><strong>Develop metrics to measure the success of Arts Cluster (e.g. the number of added visitors, the amount of added revenue generated in the area)</strong></strong></p>

<p><strong> <strong>Put the Arts Cluster on a path that will make it self-sustaining.</strong></strong></p>

<p><strong> </strong></p>","Assist staff with 3 economic development projects that will support existing small business in the East Harlem community.",,"Hope Community Inc","/opportunities/13227","ongoing","1077 Coney Island Ave.",,"Brooklyn","NY","11230","US","https://www.copo.org","BROOKLYN","40.631136","-73.966459","314","45","528","3178918","3066860079","Flatbush"
"<p>Marketing experience</p>

<p>Bachlors Degree</p>

<p>Social media savvy</p>","Marketing Manager","<p>Marketing Manager:</p>

<ul>
	<li>
	<p>Responsible for creating, implementing and measuring the success of:</p>
	</li>
</ul>

<p>a comprehensive marketing, communications, and public relations program that</p>

<p>will enhance the Organization’s image and position within the marketplace and</p>

<p>the general public, and facilitate internal and external communications; and,</p>

<p>all Organization marketing, communications, and public relations activities and</p>

<p>materials including publications, media relations, client acquisition and so forth.</p>

<ul>
	<li>
	<p>Coordinate the appearance of all Organization print and electronic materials such as</p>
	</li>
</ul>

<p>letterhead, use of the logo, brochures, etc.</p>

<ul>
	<li>
	<p>Develop, coordinate and oversee programs, technical assistance, and resource materials to assist chapters in the marketing, communications, and positioning of their activities.</p>
	</li>
	<li>
	<p>Ensure that the Organization regularly conducts relevant market research and coordinate and oversee this activity. Monitor trends.</p>
	</li>
	<li>
	<p>Responsible for the achievement of the marketing/communications/public relations mission, goals, and financial objectives. Ensure that evaluation systems are in place related to these goals and objectives and report progress to the Executive Director and Board.</p>
	</li>
	<li>
	<p>Recommend short- and long-term Organization goals and objectives to the Executive Director.</p>
	</li>
</ul>

<p> </p>

<p>Time Commitment: Short Term (12 mths) Long-term (over 12 mths)</p>

<p> </p>","We are looking for a detailed individual and visionary to help raise awareness to our mission to provide clothing to children in need by repairing if needed.",,"Yadestinytreasurechest","/opportunities/13229","ongoing","Program site: 144 St. Felix Street","Office: 76A Fifth Avenue","Brooklyn","NY","11217","US","https://www.copo.org",,,,,,,,,
"<p>BOARD MEMBER ROLES&nbsp;AND RESPONSIBILITIES</p>

<p><strong>Lead organizational strategic planning, monitoring and evaluation.</strong></p>

<p><strong>Oversee and facilitate management success.</strong></p>

<p><strong>Support and evaluate the Executive Director.</strong></p>

<p><strong>Ensure adequate financial resources.</strong></p>

<p><strong>Protect assets and provide proper financial oversight.</strong></p>

<p><strong>Build an adept Board through recruitment, training and self-assessment.</strong></p>

<p><strong>Ensure legal and ethical integrity, as well as up-to-date policies.</strong></p>

<p><strong>Raise awareness and heighten visibility of Uweza.</strong></p>

<p><strong>Participate on Board committees.</strong></p>

<p>&nbsp;</p>

<p>ENGAGEMENT OPPORTUNITIES&nbsp;</p>

<p><strong>I. DEEPENING PARTICIPATION AND KNOWLEDGE DEVELOPMENT&nbsp;</strong></p>

<p><strong>Read and familiarize yourself with Uweza case materials.</strong></p>

<p><strong>Travel to Kibera to see the program in action.</strong></p>

<p><strong>Keep updated on issues facing Kenyans and Uweza program participants.</strong></p>

<p>&nbsp;</p>

<p><strong>II. SUPPORTING UWEZA EVENTS&nbsp;</strong></p>

<p><strong>Provide names of potential donors to invite to donor cultivation events.</strong></p>

<p><strong>Host or co-host a donor cultivation event or house party at your home or office.</strong></p>

<p><strong>Identify potential donor cultivation event hosts/host homes.</strong></p>

<p><strong>Help plan Uweza fundraising events.</strong></p>

<p><strong>Attend Uweza fundraising events.</strong></p>

<p>&nbsp;</p>

<p><strong>III. CONNECTING PERSONAL AND PROFESSIONAL NETWORKS TO UWEZA</strong></p>

<p><strong>Provide names and addresses of five or more potential donors for gifts at any level for our year-end appeal.</strong></p>

<p><strong>Review donor lists and provide information about people you know.</strong></p>

<p><strong>Make introductions to potential foundation or corporate donors.</strong></p>

<p><strong>Make introductions to potential in-kind donors.</strong></p>

<p><strong>Attend cultivation or solicitation meetings with major donors.</strong></p>

<p><strong>Suggest potential board members for Uweza.</strong></p>

<p><strong>Suggest potential special event leadership (co-chairs, host committee members).</strong></p>

<p><strong>Post, like and share our posts on social media.</strong></p>

<p>&nbsp;</p>

<p><strong>IV. SHARING PERSONAL &amp; PROFESSIONAL RESOURCES</strong></p>

<p><strong>Make Uweza one of your top three philanthropies for support.</strong></p>

<p><strong>Make a personally meaningful gift to Uweza.</strong></p>

<p><strong>Make Uweza the beneficiary of life cycle events, such as birthdays or anniversaries.</strong></p>

<p><strong>Host a Lunch &amp; Learn at your office.</strong></p>

<p><strong>Offer corporate resources, such as meeting space for board or committee meetings.</strong></p>

<p><strong>Request in-kind support from vendors and colleagues at work.</strong></p>

<p><strong>Make a bequest to Uweza.</strong></p>","Seeking Board Members","<p>Currently, we are seeking to grow and diversify our board of directors. </p>","Uweza empowers Kenyan children and youth to pursue a path to a better future through the discovery and development of their talents and abilities.",,"Uweza Foundation","/opportunities/13234","ongoing","Milestone Park",,"Brooklyn","NY","11214","US","http://www.imanihouse.org","BROOKLYN","40.609523","-73.99951","311","47","278","3000000","3062960001","Bensonhurst West"
"<p>Pet friendly living arrangements</p>

<p>Willing to work with animals who may be stressed or have health issues</p>

<p>Able to bring animal to weekly adoption events, medical appointments, and meet our photographers for glamor shots</p>","FOSTER HOME","<p>Core responsibilities:</p>

<p>• Provide loving, supportive home to animals in transition.</p>

<p>• Comply with instructions from the Medical Team regarding medications and treatments of the animal. Work with the Medical Team to transport the animal to and from veterinarian appointments.</p>

<p>• Arrange to have photographs taken by the volunteer team in a timely manner. High quality photos help us get animals adopted quickly!</p>

<p>• Submit your answers to the bio questionnaire in a timely manner. Detailed and interesting bios attract attention and help animals find their forever home!</p>

<p>• Bring the animal to adoption events; ensure the animal is available during events to maximize the opportunity to find a forever home.</p>

<p> </p>

<p>Qualifications:</p>

<p>• Loving and supportive.</p>

<p>• Able to comply with instructions from Foster and Medical Teams.</p>

<p>• Able to provide the appropriate level of love, attention, and time to the animal.</p>

<p> </p>

<p>Physical requirements: If dogs, could involve walking the dog and/or lifting them into vehicles. Please specify any physical limitations when working with Foster Team.</p>

<p>HOW TO APPLY</p>

<p>Please complete our foster application. We will review it and be as touch as soon as possible.</p>

<p>https://www.louieslegacy.org/wp/get-involved/foster/</p>","This position serves the very important role of housing and loving animals before they are placed with their forever home. We need people to provide loving, supportive home to animals in transition. Fosters need to transport animals to necessary appointments and bring them to weekly adoption events.",,"Louie's Legacy Animal Rescue","/opportunities/13235","ongoing","Boys Prep","192 E 151st Street, 5th Floor","The Bronx","NY","10451","US","https://mfpny.org/","BRONX","40.818689","-73.868527","209","18","20","2021972","2035910050","Soundview-Castle Hill-Clason Point-Harding Park"
"<p><strong>Qualifications:</strong></p>

<ul>
	<li>Valid driver&rsquo;s license required.</li>
	<li>Safe animal handling skills.</li>
	<li>Provide safe and comfortable transportation for animals.</li>
</ul>

<p><strong>Physical requirements for events:</strong></p>

<ul>
	<li>Ability to&nbsp;lift up&nbsp;to 50 lbs., carrying cages/kennels carefully.</li>
	<li>Heavier animals should be lifted with assistance.</li>
	<li>Working closely with animals to load and unload.</li>
</ul>","TRANSPORT TEAM VOLUNTEER","<p><strong>Schedule and Time Commitment:</strong> </p>

<ul>
	<li>Various lengths of transport.</li>
	<li>Use own vehicle. Reimbursements for gas and toll are available upon request (with receipt) <strong><em>or</em></strong>, cost is a tax-deductible donation to a 501(c)3.</li>
	<li>These are ongoing opportunities.</li>
</ul>

<p><strong>Location:</strong></p>

<ul>
	<li><strong>New York</strong>. Google Map estimates – Times listed are approximate estimates for a one-way trip:

	<ul>
		<li>Staten Island – Glendale, Bronx, Manhattan – 1 to 1.5 hours.</li>
		<li>NYC – Meriden, CT – 2 to 3 hours.</li>
		<li>NYC – Philadelphia – 2 hours.</li>
		<li>NYC – Toms Creek, VA – 8 to 10 hours.</li>
		<li>NYC – Allentown, PA – 2 hours.</li>
		<li>NYC – Morristown, NJ – 1 hour.</li>
	</ul>
	</li>
</ul>

<p> </p>

<p><strong>HOW TO APPLY</strong></p>

<p>Please complete our online volunteer application at - <a href=""https://www.louieslegacy.org/wp/get-involved/volunteer/"">https://www.louieslegacy.org/wp/get-involved/volunteer/</a></p>

<p> </p>","This position serves the important role of transporting animals and supplies.",,"Louie's Legacy Animal Rescue","/opportunities/13236","ongoing","1 Centre Street","Suite 2312","New York","NY","10023","US","http://www.southbronxunited.org/","MANHATTAN","40.713001","-74.004181","101","1","29","1001394","1001210001","Chinatown"
"<p><strong>Qualifications:&nbsp;</strong></p>

<ul>
	<li>Be responsive to shifting priorities.</li>
	<li>Skills such as professional writing, business communications, graphic design (Adobe helpful) public relations, photography, marketing, sales, fundraising, and/or social media.&nbsp;</li>
	<li>Able to take initiative and work on assigned projects&nbsp;without direct supervision.</li>
</ul>","MARKETING & DEVELOPMENT TEAM VOLUNTEER","<p><strong>Schedule and Time Commitment:</strong></p>

<ul>
	<li>Variable hours. </li>
	<li>This is an ongoing opportunity. </li>
</ul>

<p><strong>Location of Work:</strong> Remote, from home. Need internet access. </p>

<p><strong>Core Responsibilities: </strong></p>

<p>Provide support for all branding efforts which may include: </p>

<ul>
	<li>Fundraising campaign execution, and reporting. </li>
	<li>Manage and grow social media across all platforms.</li>
	<li>Copywriting and story development for promotional campaigns. </li>
	<li>Provide graphics and printed materials, signage etc. for all LLAR efforts. </li>
	<li>Support adoption events &amp; campaign execution. </li>
	<li>Grant research, applications, responses and follow thru. </li>
	<li>Public Relations strategy &amp; implementation. </li>
	<li>Reinforce Louie’s brand and mission while supporting foster and adoption team (so they can focus on animals while we provide welcoming indirect support). </li>
	<li>Work with regional teams in support of local projects. </li>
	<li>Provide highest quality photography and resources whenever possible. </li>
</ul>

<p> </p>

<p><strong>HOW TO APPLY</strong></p>

<p>Please complete our online volunteer application at - <a href=""https://www.louieslegacy.org/wp/get-involved/volunteer/"">https://www.louieslegacy.org/wp/get-involved/volunteer/</a></p>","This position serves the important role of fundraising, social media, event support, developing/designing materials for the promotion and publicizing of Louie’s Legacy.",,"Louie's Legacy Animal Rescue","/opportunities/13237","ongoing","48 Wall St","11th floor","New York","NY","10005","US","http://www.bigapplegreeter.org","MANHATTAN","40.706331","-74.009396","101","1","7","1001005","1000400014","Battery Park City-Lower Manhattan"
"<p><strong>Qualifications:</strong></p>

<ul>
	<li>Experience in Microsoft Excel and/or&nbsp;other&nbsp;spreadsheet software a plus.</li>
	<li>Ability to positively speak to the public.</li>
	<li>Detail-oriented and organized.</li>
</ul>

<p><strong>Physical requirements for events:</strong></p>

<ul>
	<li>Ability to&nbsp;lift up&nbsp;to 50 lbs.</li>
	<li>Move and set up bulky items.</li>
</ul>","ADOPTION TEAM VOLUNTEER","<p><strong>Schedule and Time Commitment:</strong> </p>

<ul>
	<li>Application Screeners: 2 – 5 hours a week.</li>
	<li>Events: Typically, 4 - 5 hours a day on the weekend. </li>
	<li>These are ongoing opportunities.</li>
</ul>

<p><strong>Location:</strong></p>

<ul>
	<li>Application Screeners: Remote/from home (must have internet access) or at an adoption event. </li>
	<li>Events: Various locations. </li>
</ul>

<p><strong>Core Responsibilities:</strong></p>

<ul>
	<li>Screen adoption applications and interview prospective adopters and assess suitability. </li>
	<li>Work with the public to encourage them to adopt, foster, volunteer, or donate to Louie’s Legacy. </li>
	<li>Help set up and tear down the event.</li>
	<li>Assist with arranging to have photographs taken in a timely manner. <em>High quality photos help us get animals adopted quickly!  </em></li>
	<li>Advocate for the organization.</li>
</ul>

<p> </p>

<p><strong>HOW TO APPLY</strong></p>

<p>Please complete our online volunteer application at - <a href=""https://www.louieslegacy.org/wp/get-involved/volunteer/"">https://www.louieslegacy.org/wp/get-involved/volunteer/</a></p>","This position does the rewarding work of connecting animals to their forever homes.",,"Louie's Legacy Animal Rescue","/opportunities/13238","ongoing","186 E. 123rd Street","2nd Floor","New York","NY","10035","US","http://www.casa-nyc.org/volunteer-application","MANHATTAN","40.802592","-73.937256","111","8","196","1083996","1017710039","East Harlem North"
"<p><strong>Qualifications:</strong></p>

<ul>
	<li>Basic computer skills.</li>
	<li>Detail-oriented and organized.</li>
</ul>

<p><strong>Physical requirements for events:</strong></p>

<ul>
	<li>Ability to&nbsp;lift boxes and bags up&nbsp;to 40 lbs.</li>
	<li>Holding and gently restraining animals.</li>
</ul>","MEDICAL TEAM VOLUNTEER","<p><strong>Schedule and Time Commitment:</strong> </p>

<ul>
	<li>1 – 2 hours a day, as needed. Typically hold office hours for two hours on weekends before events.</li>
	<li>These are ongoing opportunities.</li>
</ul>

<p><strong>Location:</strong></p>

<ul>
	<li>Various.</li>
</ul>

<p><strong>Core Responsibilities:</strong></p>

<ul>
	<li>Times flexible – Transport nights, days/evenings.</li>
	<li>Fills medication requests.</li>
	<li>Record management.</li>
	<li>Makes transport bags.</li>
	<li>Sorts and catalogs donated medications and supplies.</li>
	<li>Sanitizes crates.</li>
	<li>Administers fluids and other injections based on need.</li>
	<li>Vaccinates pets and ensures vaccination guidelines are met.</li>
	<li>Microchipping.</li>
</ul>

<p> </p>

<p><strong>HOW TO APPLY</strong></p>

<p>Please complete our online application at - <a href=""https://www.louieslegacy.org/wp/get-involved/volunteer/"">https://www.louieslegacy.org/wp/get-involved/volunteer/</a></p>","This position serves the extremely vital role of caring for animals from intake until final adoption.",,"Louie's Legacy Animal Rescue","/opportunities/13239","ongoing","71 E. 94th Street",,"New York","NY","10128","US","http://www.groovewithme.org/","MANHATTAN","40.785602","-73.954323","108","4","16001","1047404","1015060021","Upper East Side-Carnegie Hill"
"<p><strong>Qualifications:</strong></p>

<ul>
	<li>Able to engage in discussions with others about commitments.</li>
	<li>Detail-oriented and organized.</li>
	<li>Must have internet access.</li>
</ul>","FOSTER TEAM VOLUNTEER","<p><strong>Schedule and Time Commitment:</strong> </p>

<ul>
	<li>5 – 10 hours a week.</li>
	<li>This is an ongoing opportunity.</li>
</ul>

<p><strong>Location:</strong></p>

<ul>
	<li>Remote/from home (must have internet access). </li>
</ul>

<p><strong>Core Responsibilities:</strong></p>

<ul>
	<li>Place incoming animals in appropriate foster homes while observing best practices.</li>
	<li>Ensure that fosters are working with the medical team to get animal in appropriate condition for adoption.</li>
	<li>Ensures that engaging biographies are submitted in a timely manner. <em>Detailed and interesting biographies attract attention and help animals find their forever home!</em></li>
	<li>Application screener.
	<ul>
		<li>Interview prospective fosters and assess suitability for role.</li>
	</ul>
	</li>
</ul>

<p> </p>

<p><strong>HOW TO APPLY</strong></p>

<p>Please complete our online volunteer application at - <a href=""https://www.louieslegacy.org/wp/get-involved/volunteer/"">https://www.louieslegacy.org/wp/get-involved/volunteer/</a></p>

<p> </p>","This position serves the absolutely critical role of placing animals in foster homes and making sure they complete all steps to become adoptable.",,"Louie's Legacy Animal Rescue","/opportunities/13240","ongoing","1431 Broadway","7 FL","New York","NY","10018","US","http://bigapplebasketball.com","MANHATTAN","40.754531","-73.987086","105","3","113","1022561","1009930007","Midtown-Midtown South"
"<p>Must be at least 18 years of age, have good verbal and written communication skills.&nbsp;&nbsp;&nbsp;Interview, Medical clearance including drug testing, background checks, orientation and training is required.</p>","Advanced Care Planning Education Program","<p>The Advanced Care Planning Education Program engages trained volunteer to provide education and direction on the importance of the Health Care Proxy form and other Advanced Care Planning documents in an outpatient environment.</p>","Volunteers provide education to patients and family on the importance of the Health Care Proxy and other Advanced Care Planning documents in an outpatient environment.",,"Brookdale University Hospital and Medical Center","/opportunities/13242","ongoing","111-20 Farmers Blvd.",,"St. Albans","NY","11412","US","https://www.freeartsnyc.org/volunteer","QUEENS","40.701544","-73.765229","412","27","402","4222019","4104380027","St. Albans"
"<p>Qualified volunteers must have a High School Diploma or GED, some college-legvel educaitonal experience is prefered..&nbsp; Must demonstrate good verbal and written communication skills.&nbsp; Must have a positive, service-orientted nature, good interpersonal skills.&nbsp; Computer skills required.</p>

<p>Interview, medical clearance including drug test, background check, references and orientation are required, prior to training for the Portal Program.</p>","Patient Portal Liaison Volunteer Program","<p>The Brookdale Hospital Medical Center's Patient Portal Liaison VOlunteer Program integrates volunteers into the patient engagement process and educaiton of the MyBtooidale Patient Portal. Trained volunteers will be located in the Outpatient Department to educate and instruct patients on the My Brookdale Patient Portal.</p>","Volunteers provide education and instruction to patients and visitors on the use of the Patient Portal Electronic Health Record in an outpatient setting.",,"Brookdale University Hospital and Medical Center","/opportunities/13244","ongoing","PO Box 230267",,"Hollis","NY","11423","US","http://www.farmersblvd.org",,,,,,,,,
