"queens_cooperatives_comparable_properties_boro_block_lot","queens_cooperatives_comparable_properties_address","borough","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta","queens_cooperatives_comparable_properties_neighborhood","queens_cooperatives_comparable_properties_building_classification","queens_cooperatives_comparable_properties_total_units","queens_cooperatives_comparable_properties_year_built","queens_cooperatives_comparable_properties_gross_sqft","queens_cooperatives_comparable_properties_est_gross_income","queens_cooperatives_comparable_properties_gross_income_per_sqft","queens_cooperatives_comparable_properties_full_market_value","queens_cooperatives_comparable_properties_market_value_per_sqft","comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_est_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_dist_from_coop_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_est_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_dist_from_coop_in_miles"
"4-03117-0024","90 02 63 DRIVE
Queens, NY 
(40.749436300045, -73.797299799846)","4","11374","40.725636","-73.865215","6","29","69702","4073484","4031170024","Rego Park                                                                  ","REGO PARK","D4-ELEVATOR","61","1956","52543","744000","14.16","2320000","44.2","4-03087-0021","65 62 SAUNDERS STREET
Queens, NY 
(40.749436300045, -73.797299799846)","REGO PARK","D3-ELEVATOR","38","1954","26400","373860","14.16","1160000","43.9","0.4","4-03097-0038","64 85 WETHEROLE STREET
Queens, NY 
(40.749436300045, -73.797299799846)","REGO PARK","D1-ELEVATOR","56","1952","50400","708197","14.05","2210000","43.8","0.3"
"4-01453-0034","92 11 35 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","4","11372","40.752793","-73.875179","3","25","275","4035782","4014530034","Jackson Heights                                                            ","JACKSON HEIGHTS","D4-ELEVATOR","96","1940","98400","1136520","11.55","3190000","32.4","4-01456-0029","35 54 83 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","JACKSON HEIGHTS","D1-ELEVATOR","48","1937","46854","649384","13.86","2020000","43.1","0.5","4-01456-0046","35 53 82 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","JACKSON HEIGHTS","D1-ELEVATOR","47","1938","46854","647048","13.81","2010000","42.9","0.5"
"4-03341-0024","114 06 QUEENS BOULEVARD
Queens, NY 
(40.749436300045, -73.797299799846)","4","11375","40.717077","-73.834833","6","29","76902","4079915","4033410024","Forest Hills                                                               ","FOREST HILLS","D4-ELEVATOR","54","1939","63636","956000","15.02","3230000","51","4-03085-0008","64 20 SAUNDERS STREET
Queens, NY 
(40.749436300045, -73.797299799846)","REGO PARK","D1-ELEVATOR","150","1950","127152","1914641","15.06","6470000","51","1.5","4-03100-0026","65 74 WETHEROLE STREET
Queens, NY 
(40.749436300045, -73.797299799846)","REGO PARK","D1-ELEVATOR","72","1953","59532","906742","15.23","3070000","52","1.4"
"4-00579-0018","31 85 CRESCENT STREET
Queens, NY 
(40.749436300045, -73.797299799846)","4","11106","40.763792","-73.928051","1","22","75","4007103","4005790018","Astoria                                                                    ","ASTORIA","D4-ELEVATOR","116","1960","92250","1254600","13.6","3910000","42.4","4-00579-0036","31 35 CRESCENT STREET
Queens, NY 
(40.749436300045, -73.797299799846)","ASTORIA","D1-ELEVATOR","122","1961","100400","1358775","13.53","4230000","42.1","0","4-00576-0036","27 10 30 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","ASTORIA","D1-ELEVATOR","66","1963","50850","810693","15.94","2740000","54","0.3"
"4-07732-0002","73 50 BELL BOULEVARD
Queens, NY 
(40.749436300045, -73.797299799846)","4","11364","40.739574","-73.757708","11","23","129103","4444449","4077320002","Oakland Gardens                                                            ","OAKLAND GARDENS","D4-ELEVATOR","583","1952","486792","6196862","12.73","19300000","39.6","4-08789-0031","259 10 HILLSIDE AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","FLORAL PARK","D1-ELEVATOR","50","1960","42442","540180","12.73","1680000","39.6","2.75","4-05307-0024","189 14 CROCHERON AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","FLUSHING-NORTH","D1-ELEVATOR","109","1956","96881","1220262","12.6","3430000","35.4","2.35"
"4-08256-0108","54 40 LITTLE NECK PARKWAY
Queens, NY 
(40.749436300045, -73.797299799846)","4","11362","40.766084","-73.725132","11","19","150702","4171524","4082560108","Douglas Manor-Douglaston-Little Neck                                       ","LITTLE NECK","D4-ELEVATOR","252","1962","240925","3890940","16.15","13200000","55","4-06853-0006","80 25 PARSONS BOULEVARD
Queens, NY 
(40.749436300045, -73.797299799846)","HILLCREST","D1-ELEVATOR","112","1962","58089","937149","16.13","3170000","55","5.4","4-08092-0005","43 60 DOUGLASTON PARKWAY
Queens, NY 
(40.749436300045, -73.797299799846)","DOUGLASTON","D1-ELEVATOR","148","1963","114402","1868272","16.33","6320000","55","1.05"
"4-05145-0068","137 77 KISSENA BOULEVARD
Queens, NY 
(40.749436300045, -73.797299799846)","4",,,,,,,,,,"FLUSHING-NORTH","D4-ELEVATOR","90","1973","67059","929000","13.85","2890000","43.1","4-05145-0024","44 15 COLDEN STREET
Queens, NY 
(40.749436300045, -73.797299799846)","FLUSHING-NORTH","D1-ELEVATOR","138","1963","119818","1657994","13.84","5160000","43.1","0","4-05122-0022","134 38 MAPLE AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","FLUSHING-NORTH","D1-ELEVATOR","64","1963","51450","745573","14.49","2520000","49","0.4"
"4-01267-0012","34 14 81 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","4",,,,,,,,,,"JACKSON HEIGHTS","D4-ELEVATOR","11","1922","14255","165358","11.6","465000","32.6","4-01275-0001","75 08 35 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","JACKSON HEIGHTS","D1-ELEVATOR","96","1950","95000","1020127","10.74","2640000","27.8","0.3","4-01263-0044","34 35 35 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","JACKSON HEIGHTS","D1-ELEVATOR","122","1949","124600","1648764","13.23","5130000","41.2","0.2"
"4-03334-0260","118 17 UNION TURNPIKE
Queens, NY 
(40.749436300045, -73.797299799846)","4","11375","40.712636","-73.834609","6","29","76901","4079634","4033340260","Forest Hills                                                               ","FOREST HILLS","D4-ELEVATOR","206","1973","213654","3675000","17.2","13700000","64","4-03161-0001","66 22 FLEET STREET
Queens, NY 
(40.749436300045, -73.797299799846)","FOREST HILLS","D1-ELEVATOR","130","1962","112800","1933460","17.14","7230000","64","1.1","4-03175-0001","104 20 QUEENS BOULEVARD
Queens, NY 
(40.749436300045, -73.797299799846)","REGO PARK","D3-ELEVATOR","1327","1960","1741458","31096281","17.86","116000000","67","0.95"
"4-02099-0040","63 33 98 PLACE
Queens, NY 
(40.749436300045, -73.797299799846)","4","11374","40.731869","-73.858029","6","29","71701","4050503","4020990040","Rego Park                                                                  ","REGO PARK","D4-ELEVATOR","144","1948","162280","2271920","14","7070000","43.6","4-02138-0011","103 26 68 ROAD
Queens, NY 
(40.749436300045, -73.797299799846)","FOREST HILLS","D7-ELEVATOR","105","1942","97200","1757567","18.08","6570000","68","0.65","4-02139-0026","68 64
Queens, NY 
(40.749436300045, -73.797299799846)","FOREST HILLS","D1-ELEVATOR","112","1941","132960","2467803","18.56","9230000","69","0.7"
"4-02251-0002","72 81 113 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","4","11375","40.720486","-73.836563","6","29","75701","4052718","4022510002","Forest Hills                                                               ","FOREST HILLS","D4-ELEVATOR","174","1950","122606","1863611","15.2","6300000","51","4-02138-0011","103 26 68 ROAD
Queens, NY 
(40.749436300045, -73.797299799846)","FOREST HILLS","D7-ELEVATOR","105","1942","97200","1757567","18.08","6570000","68","0.75","4-02139-0001","105 05 69 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","FOREST HILLS","D1-ELEVATOR","112","1943","111672","1285387","11.51","3610000","32.3","0.7"
"4-05050-0020","144 44 41 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","4","11355","40.760681","-73.820979","7","20","863","4114717","4050500020","Murray Hill                                                                ","FLUSHING-NORTH","D4-ELEVATOR","97","1951","78622","1048000","13.33","3260000","41.5","4-05101-0022","132 40 SANFORD AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","FLUSHING-NORTH","D1-ELEVATOR","94","1962","83830","1117186","13.33","3480000","41.5","0.75","4-05048-0001","143 09 BARCLAY AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","FLUSHING-NORTH","D1-ELEVATOR","168","1950","161048","2230730","13.85","6950000","43.2","0.15"
"4-05863-0035","14 48 212 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","4","11360","40.786384","-73.781909","7","19","99704","4455175","4058630035","Ft. Totten-Bay Terrace-Clearview                                           ","BAYSIDE","C6-WALK-UP","32","1958","32155","453385","14.1","1410000","43.9","4-06595-0010","137 02 JEWEL AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","FLUSHING-SOUTH","C9-WALK-UP","24","1949","20920","294887","14.1","918000","43.9","4.4","4-06595-0032","139 06 JEWEL AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","FLUSHING-SOUTH","C9-WALK-UP","24","1949","20920","294887","14.1","918000","43.9","4.4"
"4-09631-0232","123 40 83 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","4","11415","40.711375","-73.827001","9","29","216","4206485","4096310232","Kew Gardens                                                                ","KEW GARDENS","D4-ELEVATOR","132","1960","115000","1699000","14.77","5740000","49.9","4-09660-0030","82 46 135 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","BRIARWOOD","D1-ELEVATOR","126","1951","103842","1778000","17.12","6650000","64","0.3","4-09711-0056","141 50 85 ROAD
Queens, NY 
(40.749436300045, -73.797299799846)","BRIARWOOD","D1-ELEVATOR","132","1951","103629","1606562","15.5","5430000","52","0.4"
"4-03097-0020","64 62 BOOTH STREET
Queens, NY 
(40.749436300045, -73.797299799846)","4","11374","40.727753","-73.860798","6","29","69701","4072538","4030970020","Rego Park                                                                  ","REGO PARK","C6-WALK-UP","18","1950","13365","176500","13.21","550000","41.2","4-03104-0023","63 70 AUSTIN STREET
Queens, NY 
(40.749436300045, -73.797299799846)","REGO PARK","C1-WALK-UP","84","1950","75246","987451","13.12","3070000","40.8","0.15","4-02757-0001","60 15 FRESH POND ROAD
Queens, NY 
(40.749436300045, -73.797299799846)","MASPETH","C1-WALK-UP","36","1942","32526","461296","14.18","1440000","44.3","2.2"
"4-03173-0070","67 87 BOOTH STREET
Queens, NY 
(40.749436300045, -73.797299799846)","4","11375","40.724918","-73.852264","6","29","71305","4075226","4031730070","Forest Hills                                                               ","REGO PARK","D4-ELEVATOR","110","1950","117480","1755000","14.94","5930000","50","4-03173-0013","101 06 67 DRIVE
Queens, NY 
(40.749436300045, -73.797299799846)","REGO PARK","D3-ELEVATOR","61","1949","70910","1072274","15.12","3630000","51","0","4-03078-0085","93 10 QUEENS BOULEVARD
Queens, NY 
(40.749436300045, -73.797299799846)","REGO PARK","D7-ELEVATOR","114","1950","104708","1590548","15.19","5380000","51","0.85"
"4-00156-0005","41 15 45 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","4",,,,,,,,,,"SUNNYSIDE","D4-ELEVATOR","320","1943","250000","3307500","13.23","10300000","41.2","4-00159-0001","42 15 43 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","SUNNYSIDE","D1-ELEVATOR","154","1938","148950","1744204","11.71","4900000","32.9","0.15","4-00162-0019","43 09 43 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","SUNNYSIDE","D1-ELEVATOR","48","1928","35340","367971","10.41","954000","27","0.15"
"4-03087-0025","65 74 SAUNDERS STREET
Queens, NY 
(40.749436300045, -73.797299799846)","4","11374","40.727279","-73.857335","6","29","71306","4072170","4030870025","Forest Hills                                                               ","REGO PARK","D4-ELEVATOR","60","1939","57600","722880","12.55","2030000","35.2","4-03087-0007","65 44 SAUNDERS STREET
Queens, NY 
(40.749436300045, -73.797299799846)","REGO PARK","D1-ELEVATOR","98","1941","104778","1308001","12.48","3680000","35.1","0","4-03087-0021","65 62 SAUNDERS STREET
Queens, NY 
(40.749436300045, -73.797299799846)","REGO PARK","D3-ELEVATOR","38","1954","26400","373860","14.16","1160000","43.9","0"
"4-00162-0011","43 25 43 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","4",,,,,,,,,,"SUNNYSIDE","D4-ELEVATOR","60","1941","65820","870798","13.23","2710000","41.2","4-00139-0024","43 10 49 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","SUNNYSIDE","D1-ELEVATOR","60","1931","43800","577011","13.17","1800000","41.1","0.25","4-00162-0019","43 09 43 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","SUNNYSIDE","D1-ELEVATOR","48","1928","35340","367971","10.41","954000","27","0"
"4-09266-0001","120 10 85 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","4","11415","40.703062","-73.831051","9","29","140","4193472","4092660001","Kew Gardens                                                                ","KEW GARDENS","D4-ELEVATOR","60","1951","49406","713000","14.43","2410000","48.8","4-09260-0011","85 18 118 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","KEW GARDENS","D1-ELEVATOR","48","1959","37772","607000","16.07","2050000","54","0.15","4-09663-0020","81 10 135 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","BRIARWOOD","D1-ELEVATOR","138","1949","102500","1544913","15.07","5220000","51","0.95"
"4-05374-0023","144 44 SANFORD AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","4","11355","40.759014","-73.820081","7","20","861","4121264","4053740023","East Flushing                                                              ","FLUSHING-NORTH","D4-ELEVATOR","54","1928","54491","652260","11.97","1830000","33.6","4-05003-0019","144 30 35 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","FLUSHING-NORTH","D1-ELEVATOR","58","1929","59100","728743","12.33","2050000","34.7","0.5","4-05003-0023","144 32 35 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","FLUSHING-NORTH","D1-ELEVATOR","58","1929","59100","707517","11.97","1990000","33.7","0.5"
"4-01470-0012","37 16 83 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","4",,,,,,,,,,"JACKSON HEIGHTS","D4-ELEVATOR","84","1928","59678","775814","13","2420000","40.6","4-01456-0046","35 53 82 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","JACKSON HEIGHTS","D1-ELEVATOR","47","1938","46854","647048","13.81","2010000","42.9","0.15","4-01456-0029","35 54 83 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","JACKSON HEIGHTS","D1-ELEVATOR","48","1937","46854","649384","13.86","2020000","43.1","0.15"
"4-06527-0052","144 75 MELBOURNE AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","4","11367","40.734508","-73.822936","8","24","809","4141901","4065270052","Kew Gardens Hills                                                          ","FLUSHING-SOUTH","D4-ELEVATOR","134","1954","115212","1534625","13.32","4780000","41.5","4-05146-0001","45 15 COLDEN STREET
Queens, NY 
(40.749436300045, -73.797299799846)","FLUSHING-NORTH","D1-ELEVATOR","148","1963","131187","1747887","13.32","5440000","41.5","1.1","4-05145-0024","44 15 COLDEN STREET
Queens, NY 
(40.749436300045, -73.797299799846)","FLUSHING-NORTH","D1-ELEVATOR","138","1963","119818","1657994","13.84","5160000","43.1","1.2"
"4-01463-0001","89 10 35 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","4","11372","40.752486","-73.87797","3","25","277","4035935","4014630001","Jackson Heights                                                            ","JACKSON HEIGHTS","D4-ELEVATOR","83","1931","79022","912704","11.55","2560000","32.4","4-01475-0001","87 10 37 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","JACKSON HEIGHTS","D1-ELEVATOR","88","1954","100000","1217908","12.18","3420000","34.2","0.15","4-01432-0034","33 52 85 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","JACKSON HEIGHTS","D1-ELEVATOR","49","1954","50900","592868","11.65","1540000","30.3","0.35"
"4-07738-0001","73 11 BELL BOULEVARD
Queens, NY 
(40.749436300045, -73.797299799846)","4","11364","40.7405","-73.758123","11","23","129103","4453072","4077380001","Oakland Gardens                                                            ","OAKLAND GARDENS","D4-ELEVATOR","180","1952","162264","2060040","12.7","6410000","39.5","4-08789-0031","259 10 HILLSIDE AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","FLORAL PARK","D1-ELEVATOR","50","1960","42442","540180","12.73","1680000","39.6","2.55","4-05101-0061","132 25 MAPLE AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","FLUSHING-NORTH","D1-ELEVATOR","180","1957","161520","2049773","12.69","6380000","39.5","4.05"
"4-09648-0024","84 31 VAN WYCK EXPRESSWAY
Queens, NY 
(40.749436300045, -73.797299799846)","4","11435","40.70783","-73.818888","8","24","214","4206510","4096480024","Briarwood-Jamaica Hills                                                    ","BRIARWOOD","D4-ELEVATOR","73","1954","80052","1230000","15.37","4160000","52","4-09666-0040","135 30 82 DRIVE
Queens, NY 
(40.749436300045, -73.797299799846)","BRIARWOOD","D1-ELEVATOR","84","1952","69384","1091042","15.72","3690000","53","0.35","4-09644-0001","86 25 VAN WYCK EXPRESSWAY
Queens, NY 
(40.749436300045, -73.797299799846)","BRIARWOOD","D3-ELEVATOR","201","1960","167400","2897928","17.31","10800000","65","0.1"
"4-00141-0024","43 01 46 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","4",,,,,,,,,,"SUNNYSIDE","D4-ELEVATOR","69","1942","58650","750720","12.8","2340000","39.9","4-00139-0024","43 10 49 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","SUNNYSIDE","D1-ELEVATOR","60","1931","43800","577011","13.17","1800000","41.1","0.1","4-00148-0001","47 09 SKILLMAN AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","SUNNYSIDE","D1-ELEVATOR","60","1942","57600","758703","13.17","2360000","41","0.25"
"4-02223-0020","108 48 70 ROAD
Queens, NY 
(40.749436300045, -73.797299799846)","4","11375","40.722422","-73.843723","6","29","739","4052343","4022230020","Forest Hills                                                               ","FOREST HILLS","D4-ELEVATOR","127","1964","119287","1813162","15.2","6130000","51","4-02138-0011","103 26 68 ROAD
Queens, NY 
(40.749436300045, -73.797299799846)","FOREST HILLS","D7-ELEVATOR","105","1942","97200","1757567","18.08","6570000","68","0.35","4-02139-0001","105 05 69 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","FOREST HILLS","D1-ELEVATOR","112","1943","111672","1285387","11.51","3610000","32.3","0.3"
"4-07474-0050","220 55 46 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","4","11361","40.760127","-73.759283","11","19","1471","4160990","4074740050","Bayside-Bayside Hills                                                      ","BAYSIDE","D4-ELEVATOR","314","1961","336200","4279800","12.73","13300000","39.6","4-08789-0031","259 10 HILLSIDE AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","FLORAL PARK","D1-ELEVATOR","50","1960","42442","540180","12.73","1680000","39.6","3.2","4-05307-0024","189 14 CROCHERON AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","FLUSHING-NORTH","D1-ELEVATOR","109","1956","96881","1220262","12.6","3430000","35.4","1.75"
"4-04772-0001","26 21 UNION STREET
Queens, NY 
(40.749436300045, -73.797299799846)","4","11354","40.77429","-73.826278","7","20","1047","4449961","4047720001","Murray Hill                                                                ","FLUSHING-NORTH","D4-ELEVATOR","384","1954","382016","4565000","11.95","12800000","33.5","4-04995-0001","34 15 PARSONS BOULEVARD
Queens, NY 
(40.749436300045, -73.797299799846)","FLUSHING-NORTH","D1-ELEVATOR","172","1956","191330","2287192","11.95","6430000","33.6","0.5","4-04995-0064","144 45 35 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","FLUSHING-NORTH","D1-ELEVATOR","120","1957","129650","1618729","12.49","4550000","35.1","0.5"
"4-09884-0043","175 06 DEVONSHIRE ROAD
Queens, NY 
(40.749436300045, -73.797299799846)","4","11432","40.714792","-73.788611","8","24","464","4211293","4098840043","Jamaica Estates-Holliswood                                                 ","JAMAICA ESTATES","D4-ELEVATOR","82","1939","94800","1196000","12.62","3360000","35.4","4-09884-0001","175 39 HIGHLAND AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","JAMAICA ESTATES","D1-ELEVATOR","52","1940","48252","665856","13.8","2070000","42.9","0","4-09674-0007","89 15 144 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","JAMAICA","D1-ELEVATOR","48","1932","43000","616376","14.33","2080000","48.4","1.4"
"4-05778-0001","199 06 16 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","4","11357","40.784069","-73.794476","7","19","99701","4443712","4057780001","Ft. Totten-Bay Terrace-Clearview                                           ","BAYSIDE","C6-WALK-UP","80","1955","72116","986000","13.67","3070000","42.6","4-06227-0338","211 01 42 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","BAYSIDE","C9-WALK-UP","54","1951","44928","613927","13.66","1910000","42.5","1.8","4-06595-0010","137 02 JEWEL AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","FLUSHING-SOUTH","C9-WALK-UP","24","1949","20920","294887","14.1","918000","43.9","4.15"
"4-05016-0007","147 35 38 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","4","11354","40.763718","-73.817909","7","20","1163","4443436","4050160007","Murray Hill                                                                ","FLUSHING-NORTH","D4-ELEVATOR","216","1951","200466","2577900","12.86","8030000","40.1","4-05025-0001","144 15 41 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","FLUSHING-NORTH","D1-ELEVATOR","111","1962","129838","1629941","12.55","4580000","35.3","0.25","4-05022-0008","38 15 BOWNE STREET
Queens, NY 
(40.749436300045, -73.797299799846)","FLUSHING-NORTH","D1-ELEVATOR","62","1962","48786","653179","13.39","2030000","41.6","0.35"
"4-03156-0114","66 20 WETHEROLE STREET
Queens, NY 
(40.749436300045, -73.797299799846)","4","11374","40.725406","-73.856546","6","29","71306","4074656","4031560114","Forest Hills                                                               ","REGO PARK","D4-ELEVATOR","75","1948","75216","1135760","15.1","3840000","51","4-03085-0008","64 20 SAUNDERS STREET
Queens, NY 
(40.749436300045, -73.797299799846)","REGO PARK","D1-ELEVATOR","150","1950","127152","1914641","15.06","6470000","51","0.25","4-03100-0026","65 74 WETHEROLE STREET
Queens, NY 
(40.749436300045, -73.797299799846)","REGO PARK","D1-ELEVATOR","72","1953","59532","906742","15.23","3070000","52","0.1"
"4-05378-0041","147 37 BEECH AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","4","11355","40.758256","-73.816155","7","20","1187","4121357","4053780041","East Flushing                                                              ","FLUSHING-NORTH","D4-ELEVATOR","40","1928","35875","464500","12.95","1450000","40.4","4-05190-0014","42 66 PHLOX PLACE
Queens, NY 
(40.749436300045, -73.797299799846)","FLUSHING-NORTH","D1-ELEVATOR","65","1930","62954","814462","12.94","2540000","40.3","0.3","4-05294-0013","36 19 167 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","FLUSHING-NORTH","D1-ELEVATOR","65","1938","70569","875772","12.41","2460000","34.9","0.95"
"4-05938-0007","18 15 215 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","4","11360","40.783752","-73.776303","7","19","99703","4454676","4059380007","Ft. Totten-Bay Terrace-Clearview                                           ","BAYSIDE","D4-ELEVATOR","289","1969","324261","5230330","16.13","17700000","55","4-05958-0030","23 50 WATERS EDGE DRIVE
Queens, NY 
(40.749436300045, -73.797299799846)","BAYSIDE","D1-ELEVATOR","121","1969","146525","2365393","16.14","8000000","55","0.35","4-06853-0006","80 25 PARSONS BOULEVARD
Queens, NY 
(40.749436300045, -73.797299799846)","HILLCREST","D1-ELEVATOR","112","1962","58089","937149","16.13","3170000","55","4.95"
"4-04602-0119","168 01 12 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","4","11357","40.791543","-73.795818","7","19","991","4104354","4046020119","Whitestone                                                                 ","BEECHHURST","D4-ELEVATOR","32","1958","40692","495000","12.16","1390000","34.2","4-04995-0001","34 15 PARSONS BOULEVARD
Queens, NY 
(40.749436300045, -73.797299799846)","FLUSHING-NORTH","D1-ELEVATOR","172","1956","191330","2287192","11.95","6430000","33.6","2.25","4-04995-0064","144 45 35 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","FLUSHING-NORTH","D1-ELEVATOR","120","1957","129650","1618729","12.49","4550000","35.1","2.25"
"4-01517-0059","83 25 VIETOR AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","4","11373","40.742683","-73.881658","4","25","271","4037501","4015170059","Elmhurst                                                                   ","ELMHURST","D4-ELEVATOR","78","1963","58500","678600","11.6","1910000","32.6","4-01432-0034","33 52 85 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","JACKSON HEIGHTS","D1-ELEVATOR","49","1954","50900","592868","11.65","1540000","30.3","0.8","4-01459-0040","35 65 85 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","JACKSON HEIGHTS","D7-ELEVATOR","66","1957","48300","733472","15.19","2480000","51","0.5"
"4-04602-0034","9 15 166 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","4",,,,,,,,,,"BEECHHURST","D4-ELEVATOR","32","1958","40692","496000","12.19","1390000","34.2","4-04995-0001","34 15 PARSONS BOULEVARD
Queens, NY 
(40.749436300045, -73.797299799846)","FLUSHING-NORTH","D1-ELEVATOR","172","1956","191330","2287192","11.95","6430000","33.6","2.25","4-04995-0064","144 45 35 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","FLUSHING-NORTH","D1-ELEVATOR","120","1957","129650","1618729","12.49","4550000","35.1","2.25"
"4-06679-0001","147 04 72 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","4","11367","40.72736","-73.819383","8","24","77907","4455348","4066790001","Kew Gardens Hills                                                          ","FLUSHING-SOUTH","C6-WALK-UP","69","1949","42204","595000","14.1","1850000","43.8","4-06595-0010","137 02 JEWEL AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","FLUSHING-SOUTH","C9-WALK-UP","24","1949","20920","294887","14.1","918000","43.9","0.45","4-06595-0032","139 06 JEWEL AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","FLUSHING-SOUTH","C9-WALK-UP","24","1949","20920","294887","14.1","918000","43.9","0.45"
"4-06149-0001","204 03 35 AVENUE
Queens, NY 
(40.749436300045, -73.797299799846)","4","11361","40.766496","-73.783469","11","19","1099",,,"Bayside-Bayside Hills                                                      ","BAYSIDE","C6-WALK-UP","62","1950","45850","566250","12.35","1590000","34.7","4-06683-0036","147 15 75 ROAD
Queens, NY 
(40.749436300045, -73.797299799846)","FLUSHING-SOUTH","C9-WALK-UP","36","1951","28690","354437","12.35","996000","34.7","3.35","4-06672-0058","79 04 147 STREET
Queens, NY 
(40.749436300045, -73.797299799846)","FLUSHING-SOUTH","C9-WALK-UP","45","1948","33921","417481","12.31","1170000","34.5","3.7"
