"bronx_cooperatives_comparable_properties_boro_block_lot","bronx_cooperatives_comparable_properties_address","borough","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta","bronx_cooperatives_comparable_properties_neighborhood","bronx_cooperatives_comparable_properties_building_classification","bronx_cooperatives_comparable_properties_total_units","bronx_cooperatives_comparable_properties_year_built","bronx_cooperatives_comparable_properties_gross_sqft","bronx_cooperatives_comparable_properties_estimated_gross_income","bronx_cooperatives_comparable_properties_gross_income_per_sqft","bronx_cooperatives_comparable_properties_estimated_expense","bronx_cooperatives_comparable_properties_expense_per_sqft","bronx_cooperatives_comparable_properties_net_operating_income","bronx_cooperatives_comparable_properties_full_market_value","bronx_cooperatives_comparable_properties_market_value_per_sqft","comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_estimated_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_estimated_expense","comparable_rental_1_expense_per_sqft","comparable_rental_1_net_operating_income","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_distance_from_coop_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_estimated_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_estimated_expense","comparable_rental_2_expense_per_sqft","comparable_rental_2_net_operating_income","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_distance_from_coop_in_miles","comparable_rental_3_boro_block_lot","comparable_rental_3_address","comparable_rental_3_neighborhood","comparable_rental_3_building_classification","comparable_rental_3_total_units","comparable_rental_3_year_built","comparable_rental_3_gross_sqft","comparable_rental_3_estimated_gross_income","comparable_rental_3_gross_income_per_sqft","comparable_rental_3_estimated_expense","comparable_rental_3_expense_per_sqft","comparable_rental_3_net_operating_income","comparable_rental_3_full_market_value","comparable_rental_3_market_value_per_sqft","comparable_rental_3_distance_from_coop_in_miles"
"2-02603-0024","590 SOUTHERN BOULEVARD
Bronx, NY 
(40.812545732512, -73.902603237709)","2","10455","40.812556","-73.902624","2","8","83","2004128","2026030024","Longwood                                                                   ",,,,,"26742","285605","10.68","177032","6.62","108573","618000","23.11","2-02603-0165","660 SOUTHERN BOULEVARD
Bronx, NY 
(40.81314444722, -73.900442345068)","MORRISANIA/LONGWOOD","C7-WALK-UP","44","1925","38419","410315","10.68","254334","6.62","155981","812000","21.14","0.14","2-02723-0068","901 SOUTHERN BOULEVARD
Bronx, NY 
(40.819429071176, -73.893051943656)","MORRISANIA/LONGWOOD","C7-WALK-UP","31","1914","32555","333038","10.23","199888","6.14","133150","829000","25.46","0.75","2-02696-0103","903 ROGERS PLACE","MORRISANIA/LONGWOOD","C7-WALK-UP","31","1925","26,809","288,443","10.76","163,259","6.09","125,184","776,000","28.95","0.57"
"2-05714-0164","3125 TIBBETT AVENUE
Bronx, NY 
(40.881142378294, -73.9081399706)","2","10463","40.881195","-73.908042","8","11","289","2091858","2057140164","Spuyten Duyvil-Kingsbridge                                                 ",,,,,"234000","1895400","8.1","1251900","5.35","643500","3792000","16.21","2-05759-0573","3411 IRWIN AVENUE
Bronx, NY 
(40.884596845168, -73.905535532873)","KINGSBRIDGE/JEROME PARK","D3-ELEVATOR","401","1962","345000","4567800","13.24","2470200","7.16","2097600","5310000","15.39","0.19","2-05760-0112","3424 KINGSBRIDGE AVENUE
Bronx, NY 
(40.882995283021, -73.903440283547)","KINGSBRIDGE/JEROME PARK","D3-ELEVATOR","138","1962","128500","1626498","12.66","793514","6.18","832984","4972000","38.69","0.29","2-03253-0063","2735 SEDGWICK AVENUE","KINGSBRIDGE/JEROME PARK","D1-ELEVATOR","124","1922","137,495","1,841,058","13.39","974,840","7.09","866,218","5,745,000","41.78","0.72"
"2-02430-0035","1187 CLAY AVENUE
Bronx, NY 
(40.831842942174, -73.910960055095)","2","10456","40.832014","-73.910831","4","16","17701","2002155","2024300035","East Concourse-Concourse Village                                           ",,,,,"11500","100395","8.73","65205","5.67","35190","210000","18.26","2-02430-0039","1179 CLAY AVENUE
Bronx, NY 
(40.831679681588, -73.911052733284)","MELROSE/CONCOURSE","C1-WALK-UP","12","1913","11500","100339","8.73","65216","5.67","35123","210000","18.26","0","2-02430-0041","1175 CLAY AVENUE
Bronx, NY 
(40.831598475596, -73.911101456879)","MELROSE/CONCOURSE","C1-WALK-UP","12","1913","11500","100339","8.73","65218","5.67","35121","210000","18.26","0","2-02426-0055","1186 CLAY AVENUE","MELROSE/CONCOURSE","C1-WALK-UP","13","1929","10,980","100,339","9.14","65,222","5.94","35,117","209,000","19.03","0.05"
"2-02931-0098","605 169 STREET
Bronx, NY 
(40.83190131863, -73.902344298592)","2",,,,,,,,,,,,,,"41580","430769","10.36","270695","6.51","160074","997000","23.98","2-03298-0028","2986 BRIGGS AVENUE
Bronx, NY 
(40.871648293439, -73.884948880008)","BEDFORD PARK/NORWOOD","D1-ELEVATOR","36","1938","40381","323048","8","216442","5.36","106606","629000","15.58","2.75","2-03237-0097","160 KINGSBRIDGE ROAD
Bronx, NY 
(40.870266345425, -73.904440241983)","KINGSBRIDGE HTS/UNIV HTS","D1-ELEVATOR","36","1927","39600","410291","10.36","189192","4.78","221099","915000","23.11","2.43",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"2-05909-0977","4525 HENRY HUDSON PARKWAY
Bronx, NY 
(40.825576999979, -73.918448999722)","2","10471","40.891386","-73.908483","8","11","30701","2085807","2059090977","North Riverdale-Fieldston-Riverdale                                        ",,,,,"201511","2649870","13.15","1229217","6.1","1420653","8866000","44","2-05907-0352","3800 INDEPENDENCE AVENUE
Bronx, NY 
(40.889028698943, -73.912978481492)","RIVERDALE","D1-ELEVATOR","72","1970","84925","1137030","13.39","497219","5.85","639811","3718000","43.78","0.17","2-05796-0129","3660 OXFORD AVENUE
Bronx, NY 
(40.887600254178, -73.90868609313)","RIVERDALE","D3-ELEVATOR","77","1967","106934","1415876","13.24","765281","7.16","650595","4322000","40.42","0.3",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"2-03237-0067","2630 KINGSBRIDGE TERRACE
Bronx, NY 
(40.870113985558, -73.905599851942)","2","10463","40.869871","-73.905985","7","14","269","2015134","2032370067","Kingsbridge Heights                                                        ",,,,,"200000","2186000","10.93","1060000","5.3","1126000","6127000","30.64","2-03237-0133","2575 SEDGWICK AVENUE
Bronx, NY 
(40.868094556651, -73.906955617562)","KINGSBRIDGE HTS/UNIV HTS","D1-ELEVATOR","86","1952","86000","939858","10.93","455872","5.3","483986","2993000","34.8","0","2-03237-0140","2559 SEDGWICK AVENUE
Bronx, NY 
(40.867666855785, -73.907334982504)","KINGSBRIDGE HTS/UNIV HTS","D1-ELEVATOR","56","1949","59362","682976","11.51","353847","5.96","329129","2112000","35.58","0","2-03239-0031","2682 BAILEY AVENUE","KINGSBRIDGE HTS/UNIV HTS","D1-ELEVATOR","55","1960","67,175","712,136","10.6","406,969","6.06","305,167","1,894,000","28.2","0.12"
"2-02751-0008","1096 FARMS ROAD
Bronx, NY 
(40.826379540089, -73.890280082608)","2",,,,,,,,,,,,,,"14575","145167","9.96","97798","6.71","47369","296000","20.31","2-02716-0031","1086 KELLY STREET
Bronx, NY 
(40.825628132388, -73.895806455721)","MORRISANIA/LONGWOOD","C7-WALK-UP","17","1907","14910","148497","9.96","100095","6.71","48402","302000","20.25","0.3","2-02758-0029","1084 HOME STREET
Bronx, NY 
(40.827752606268, -73.88678739454)","MORRISANIA/LONGWOOD","C7-WALK-UP","58","1925","45250","412647","9.12","284731","6.29","127916","761000","16.82","0.17","2-02980-0046","1301 HOE AVENUE","MORRISANIA/LONGWOOD","C1-WALK-UP","17","1931","16,750","175,696","10.49","102,120","6.1","73,576","457,000","27.28","0.36"
"2-02744-0060","1116 HOE AVENUE
Bronx, NY 
(40.826113736019, -73.890875930931)","2","10459","40.826121","-73.89089","2","17","12701","2006047","2027440060","Hunts Point                                                                ",,,,,"21025","209409","9.96","141078","6.71","68331","427000","20.31","2-02716-0031","1086 KELLY STREET
Bronx, NY 
(40.825628132388, -73.895806455721)","MORRISANIA/LONGWOOD","C7-WALK-UP","17","1907","14910","148497","9.96","100095","6.71","48402","302000","20.25","0.27","2-02758-0029","1084 HOME STREET
Bronx, NY 
(40.827752606268, -73.88678739454)","MORRISANIA/LONGWOOD","C7-WALK-UP","58","1925","45250","412647","9.12","284731","6.29","127916","761000","16.82","0.19","2-02980-0046","1301 HOE AVENUE","MORRISANIA/LONGWOOD","C1-WALK-UP","17","1931","16,750","175,696","10.49","102,120","6.1","73,576","457,000","27.28","0.34"
"2-02669-0050","975 UNION AVENUE
Bronx, NY 
(40.82340142842, -73.901616210109)","2","10459","40.823465","-73.901571","3","17","133","2004849","2026690050","Morrisania-Melrose                                                         ",,,,,"33790","359188","10.63","190370","5.63","168818","985000","29.15","2-02669-0009","976 TINTON AVENUE
Bronx, NY 
(40.823660507542, -73.902710766512)","MORRISANIA/LONGWOOD","C1-WALK-UP","35","1915","35750","375842","10.51","235058","6.58","140784","874000","24.45","0","2-02973-0054","1304 REV JAMES POLITE AVE
Bronx, NY 
(40.830052507792, -73.895245353856)","MORRISANIA/LONGWOOD","C1-WALK-UP","42","1931","33787","371319","10.99","204073","6.04","167246","1034000","30.6","0.55","2-02623-0188","626 TRINITY AVENUE","MORRISANIA/LONGWOOD","C1-WALK-UP","42","1913","38,220","406,255","10.63","265,330","6.94","140,925","557,000","14.57","0.67"
"2-02375-0029","425 153 STREET
Bronx, NY 
(40.818768553987, -73.915960896417)","2",,,,,,,,,,,,,,"17220","168412","9.78","104525","6.07","63887","378000","21.95","2-02376-0032","415 154 STREET
Bronx, NY 
(40.81941481173, -73.915660009353)","MORRISANIA/LONGWOOD","C1-WALK-UP","27","1912","17785","159879","8.99","103921","5.84","55958","334000","18.78","0.05","2-02381-0051","462 160 STREET
Bronx, NY 
(40.822992881431, -73.912399838604)","MORRISANIA/LONGWOOD","C1-WALK-UP","31","1910","17520","171413","9.78","106268","6.07","65145","386000","22.03","0.3","2-02620-0001","575 EAST 161 STREET","MORRISANIA/LONGWOOD","C7-WALK-UP","14","1914","10,829","122,892","11.35","80,317","7.42","42,575","274,000","25.3","0.46"
"2-03130-0100","1010 178 STREET
Bronx, NY 
(40.841457107807, -73.880565351805)","2",,,,,,,,,,,,,,"214344","2724312","12.71","1530416","7.14","1193896","7985000","37.25","2-03005-0007","1904 VYSE AVENUE
Bronx, NY 
(40.839847088574, -73.883658084797)","EAST TREMONT","D1-ELEVATOR","96","2005","98524","992829","10.08","502077","5.1","490752","3062000","31.08","0.1","2-03134-0020","990 BRONX PARK
Bronx, NY 
(40.844659679777, -73.878312290716)","EAST TREMONT","D1-ELEVATOR","53","1924","60000","809456","13.49","443322","7.39","366134","1870000","31.17","0.27",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"2-04343-0001","2215 CRUGER AVENUE
Bronx, NY 
(40.85816724332, -73.86660543008)","2","10467","40.858285","-73.86658","11","13","330","2093353","2043430001","Bronxdale                                                                  ",,,,,"140662","1441786","10.25","772234","5.49","669552","4170000","29.65","2-04344-0042","2225 HOLLAND AVENUE
Bronx, NY 
(40.858344580531, -73.865678759564)","PELHAM PARKWAY NORTH","D1-ELEVATOR","61","1957","73500","717231","9.76","385119","5.24","332112","1870000","25.44","0.05","2-04344-0019","2230 CRUGER AVENUE
Bronx, NY 
(40.858421272425, -73.866524160058)","PELHAM PARKWAY NORTH","D1-ELEVATOR","64","1959","66151","677757","10.25","363354","5.49","314403","1672000","25.28","0.05","2-04348-0005","2310 HOLLAND AVENUE","PELHAM PARKWAY NORTH","D1-ELEVATOR","66","1951","65,250","799,404","12.25","373,100","5.72","426,304","1,925,000","29.5","0.16"
"2-03111-0004","2120 MAPES AVENUE
Bronx, NY 
(40.847241299303, -73.884964707681)","2","10460","40.847123","-73.885094","6","15","36501","2012994","2031110004","East Tremont                                                               ",,,,,"27495","288148","10.48","175143","6.37","113005","702000","25.53","2-03119-0007","2116 CROTONA PARKWAY
Bronx, NY 
(40.846247830163, -73.883732726692)","EAST TREMONT","C1-WALK-UP","22","1931","19668","192252","9.77","118759","6.04","73493","435000","22.12","0.08","2-03119-0058","2150 CROTONA PARKWAY
Bronx, NY 
(40.847212004164, -73.882968233762)","EAST TREMONT","C1-WALK-UP","11","1914","9815","109850","11.19","65648","6.69","44202","285000","29.04","0.12",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"2-03311-0001","3127 GRAND
Bronx, NY 
(40.825576999979, -73.918448999722)","2",,,,,,,,,,,,,,"128900","1352161","10.49","745042","5.78","607119","3772000","29.26","2-03311-0087","3155 GRAND
Bronx, NY 
(40.825576999979, -73.918448999722)","BEDFORD PARK/NORWOOD","D1-ELEVATOR","65","1936","86000","908434","10.56","373058","4.34","535376","2288000","26.6","0.08","2-03322-0057","3121 VILLA AVENUE
Bronx, NY 
(40.875096159713, -73.887583677649)","BEDFORD PARK/NORWOOD","D3-ELEVATOR","111","2006","106586","1081808","10.15","486286","4.56","595522","3713000","34.84","0.05","2-03321-0050","3081 VILLA AVENUE","BEDFORD PARK/NORWOOD","D1-ELEVATOR","66","1966","76,340","800,910","10.49","441,208","5.78","359,702","2,013,000","26.37","0.11"
"2-02447-0001","1010 SHERMAN AVENUE
Bronx, NY 
(40.829403500935, -73.918417270353)","2","10456","40.829448","-73.918419","4","16","18302","2002499","2024470001","East Concourse-Concourse Village                                           ",,,,,"80009","792089","9.9","483254","6.04","308835","1628000","20.35","2-02455-0018","984 SHERIDAN AVENUE
Bronx, NY 
(40.829226416317, -73.919478386398)","MELROSE/CONCOURSE","D1-ELEVATOR","78","1928","86000","851046","9.9","519112","6.04","331934","1963000","22.83","0.09","2-02461-0074","955 SHERIDAN AVENUE
Bronx, NY 
(40.828354255842, -73.920074840993)","MELROSE/CONCOURSE","D1-ELEVATOR","94","1948","92180","1237241","13.42","750251","8.14","486990","2189000","23.75","0.14","2-02461-0016","180 EAST 163 STREET","MELROSE/CONCOURSE","D1-ELEVATOR","64","1941","68,846","662,935","9.63","430,875","6.26","232,060","1,376,000","19.99","0.19"
"2-05785-0268","3299 CAMBRIDGE AVENUE
Bronx, NY 
(40.883831709832, -73.908685062721)","2","10463","40.884793","-73.908308","8","11","295","2084073","2057850268","Spuyten Duyvil-Kingsbridge                                                 ",,,,,"111675","1371369","12.28","727004","6.51","644365","4086000","36.59","2-05703-0192","3063 GODWIN TERRACE
Bronx, NY 
(40.879285259289, -73.905927434245)","KINGSBRIDGE/JEROME PARK","C7-WALK-UP","70","1925","64490","824827","12.79","445626","6.91","379201","2533000","39.28","0.4","2-05705-0036","225 NAPLES TERRACE
Bronx, NY 
(40.879801939585, -73.905106351493)","KINGSBRIDGE/JEROME PARK","C1-WALK-UP","66","1926","53482","629252","11.77","357120","6.68","272132","1739000","32.52","0.37",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"2-03149-0061","2025 VALENTINE AVENUE
Bronx, NY 
(40.849455668917, -73.9009170266)","2","10457","40.851293","-73.900391","5","15","381","2013522","2031490061","Mount Hope                                                                 ",,,,,"37350","507587","13.59","283860","7.6","223727","1480000","39.63","2-03125-0012","908 181 STREET
Bronx, NY 
(40.825576999979, -73.918448999722)","EAST TREMONT","D1-ELEVATOR","18","1915","19250","263022","13.66","139240","7.23","123782","774000","40.21","1.08","2-02866-0086","47 175 STREET
Bronx, NY 
(40.847375179425, -73.911516942544)","HIGHBRIDGE/MORRIS HEIGHTS","D1-ELEVATOR","21","1923","23250","314085","13.51","185233","7.97","128852","853000","36.69","0.78",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"2-04317-0006","2160 BRONX PARK
Bronx, NY 
(40.854668775875, -73.869485173014)","2","10467","40.856629","-73.875725","27","15","334",,,"park-cemetery-etc-Bronx                                                    ",,,,,"64291","703986","10.95","387032","6.02","316954","1960000","30.49","2-04317-0046","2165 BOLTON STREET
Bronx, NY 
(40.855821549924, -73.868695611151)","PELHAM PARKWAY SOUTH","D1-ELEVATOR","67","1935","70230","769369","10.95","437039","6.22","332330","2055000","29.26","0","2-04317-0001","2144 BRONX PARK
Bronx, NY 
(40.854367943363, -73.869377899405)","PELHAM PARKWAY SOUTH","D1-ELEVATOR","78","1927","75133","822706","10.95","467327","6.22","355379","2197000","29.24","0","2-04317-0085","2160 BOLTON STREET","PELHAM PARKWAY SOUTH","D1-ELEVATOR","72","1931","74,826","819,461","10.95","397,864","5.32","421,597","2,013,000","26.9","0.05"
"2-02511-0027","100 162 STREET
Bronx, NY 
(40.828982618893, -73.924794421228)","2",,,,,,,,,,,,,,"13425","177076","13.19","106326","7.92","70750","343000","25.55","2-02511-0025","934 OGDEN AVENUE
Bronx, NY 
(40.831314435188, -73.93026662764)","HIGHBRIDGE/MORRIS HEIGHTS","C1-WALK-UP","15","1907","12920","144329","11.17","82261","6.37","62068","400000","30.96","0","2-02511-0074","951 WOODYCREST AVENUE
Bronx, NY 
(40.83133173716, -73.929052199328)","HIGHBRIDGE/MORRIS HEIGHTS","C1-WALK-UP","28","1929","29500","475964","16.13","242735","8.23","233229","1029000","34.88","0.08","2-02507-0034","953 ANDERSON AVENUE","HIGHBRIDGE/MORRIS HEIGHTS","D1-ELEVATOR","42","1917","45,000","593,632","13.19","356,202","7.92","237,430","1,578,000","35.07","0.12"
"2-03901-0031","1430 THIERIOT AVENUE
Bronx, NY 
(40.836090745979, -73.86516757362)","2","10460","40.836194","-73.865208","9","18","21601","2092915","2039010031","West Farms-Bronx River                                                     ",,,,,"217800","2430648","11.16","995346","4.57","1435302","9255000","42.49","2-03749-0001","1220 WESTCHESTER AVENUE
Bronx, NY 
(40.82610266496, -73.889073362732)","SOUNDVIEW","D3-ELEVATOR","159","1964","198104","1854909","9.36","1115886","5.63","739023","4391000","22.17","0.53","2-03925-0018","1565 THIERIOT AVENUE
Bronx, NY 
(40.839624421712, -73.865901165801)","PARKCHESTER","D1-ELEVATOR","120","1930","130500","1455886","11.16","596640","4.57","859246","4004000","30.68","0.24","2-03936-0001","1366 WHITE PLAINS ROAD","PARKCHESTER","D1-ELEVATOR","61","1929","56,178","659,820","11.75","286,553","5.1","373,267","1,661,000","29.57","0.16"
"2-02504-0036","941 JEROME AVENUE
Bronx, NY 
(40.83024922701, -73.928498515152)","2","10452","40.830182","-73.928481","4","8","189","2003035","2025040036","Highbridge                                                                 ",,,,,"114941","1379292","12","841368","7.32","537924","3426000","29.81","2-02505-0019","1105 JEROME AVENUE
Bronx, NY 
(40.834545378997, -73.924395139481)","HIGHBRIDGE/MORRIS HEIGHTS","D1-ELEVATOR","79","1927","92600","1110783","12","677568","7.32","433215","2759000","29.79","0.16","2-02513-0033","101 165 STREET
Bronx, NY 
(40.831522093197, -73.922113821767)","HIGHBRIDGE/MORRIS HEIGHTS","D1-ELEVATOR","54","1925","58000","679516","11.72","434893","7.5","244623","1564000","26.97","0.18","2-02509-0048","1140 WOODYCREST AVENUE","HIGHBRIDGE/MORRIS HEIGHTS","D1-ELEVATOR","35","1923","42,108","517,026","12.28","299,884","7.12","217,142","1,377,000","32.7","0.26"
"2-02459-0030","860 GRAND
Bronx, NY 
(40.825576999979, -73.918448999722)","2",,,,,,,,,,,,,,"115140","1066196","9.26","724231","6.29","341965","2034000","17.67","2-02459-0034","888 GRAND
Bronx, NY 
(40.825576999979, -73.918448999722)","MELROSE/CONCOURSE","D7-ELEVATOR","91","1931","122800","1323825","10.78","807573","6.58","516252","3198000","26.04","0","2-02461-0022","917 SHERIDAN AVENUE
Bronx, NY 
(40.827567676058, -73.920532009858)","MELROSE/CONCOURSE","D7-ELEVATOR","99","1941","101020","840877","8.32","565278","5.6","275599","1621000","16.05","0.13","2-02461-0001","910 GRAND CONCOURSE","MELROSE/CONCOURSE","D7-ELEVATOR","95","1937","129,555","1,199,099","9.26","815,410","6.29","383,689","2,282,000","17.61","0.13"
"2-02461-0083","185 163 STREET
Bronx, NY 
(40.828277282715, -73.920698270559)","2",,,,,,,,,,,,,,"45483","441640","9.71","286998","6.31","154642","879000","19.33","2-02456-0051","210 166 STREET
Bronx, NY 
(40.831216431215, -73.917809506468)","MELROSE/CONCOURSE","D1-ELEVATOR","36","1923","38964","425793","10.93","259718","6.67","166075","1027000","26.36","0.18","2-02438-0080","1115 COLLEGE AVENUE
Bronx, NY 
(40.830836135402, -73.914552194044)","MELROSE/CONCOURSE","D1-ELEVATOR","44","1929","42732","399962","9.36","246277","5.76","153685","913000","21.37","0.37","2-02429-0034","1109 CLAY AVENUE","MELROSE/CONCOURSE","D1-ELEVATOR","60","1931","48,200","468,013","9.71","304,195","6.31","163,818","971,000","20.15","0.45"
"2-02608-0019","1109 FRANKLIN AVENUE
Bronx, NY 
(40.828015136085, -73.906146594525)","2","10456","40.827831","-73.906312","3","16","185","2004201","2026080019","Morrisania-Melrose                                                         ",,,,,"24750","173014","6.99","119379","4.82","53635","319000","12.89","2-02371-0001","1088 WASHINGTON AVENUE
Bronx, NY 
(40.825576999979, -73.918448999722)","MORRISANIA/LONGWOOD","C7-WALK-UP","24","1918","21816","213197","9.77","138584","6.35","74613","442000","20.26","0.09","2-02371-0029","494 167 STREET
Bronx, NY 
(40.829636806559, -73.907290450748)","MORRISANIA/LONGWOOD","C7-WALK-UP","22","1907","15045","249897","16.61","127431","8.47","122466","294000","19.54","0.09","2-02663-0029","1272 BOSTON ROAD","MORRISANIA/LONGWOOD","C7-WALK-UP","14","1913","11,000","101,803","9.25","69,228","6.29","32,575","194,000","17.64","0.35"
"2-02443-9080","780 CONCOURSE VILLAGE
Bronx, NY 
(40.823141442756, -73.919767525003)","2",,,,,,,,,,,,,,"862500","12963375","15.03","7650375","8.87","5313000","36558000","42.39","2-02460-0001","900 GRAND
Bronx, NY 
(40.825576999979, -73.918448999722)","MELROSE/CONCOURSE","D7-ELEVATOR","301","1923","276550","4156980","15.03","2452472","8.87","1704508","11729000","42.41","0.34","2-02440-0001","2880 PARK AVENUE
Bronx, NY 
(40.818830131791, -73.924433504194)","MELROSE/CONCOURSE","D3-ELEVATOR","160","1982","156504","2490337","15.91","1369687","8.75","1120650","7275000","46.48","0.24","2-02271-0005","512 EAST 145 STREET","MOTT HAVEN/PORT MORRIS","D6-ELEVATOR","189","1972","194,388","5,009,398","25.77","3,613,545","18.59","1,395,853","7,845,000","40.36","0.82"
"2-03356-0096","316 211 STREET
Bronx, NY 
(40.880080323675, -73.873376960105)","2",,,,,,,,,,,,,,"16600","183762","11.07","89640","5.4","94122","425000","25.6","2-03352-0061","3347 DECATUR AVENUE
Bronx, NY 
(40.876982512999, -73.873276306238)","BEDFORD PARK/NORWOOD","C1-WALK-UP","21","1926","14175","170663","12.04","87320","6.16","83343","511000","36.05","0.13","2-03355-0109","3370 DECATUR AVENUE
Bronx, NY 
(40.877200096155, -73.873029244118)","BEDFORD PARK/NORWOOD","C1-WALK-UP","21","1937","16450","168502","10.24","97550","5.93","70952","432000","26.26","0.16",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"2-05920-0500","3901 INDEPENDENCE AVENUE
Bronx, NY 
(40.889764599831, -73.912943607575)","2","10463","40.889874","-73.912883","8","11","309","2085872","2059200500","North Riverdale-Fieldston-Riverdale                                        ",,,,,"109152","1425525","13.06","549035","5.03","876490","5049000","46.26","2-05904-0267","600 239 STREET
Bronx, NY 
(40.889579457198, -73.911174785847)","RIVERDALE","D1-ELEVATOR","90","1956","98681","1350943","13.69","701622","7.11","649321","4290000","43.47","0.23","2-05907-0352","3800 INDEPENDENCE AVENUE
Bronx, NY 
(40.889028698943, -73.912978481492)","RIVERDALE","D1-ELEVATOR","72","1970","84925","1137030","13.39","497219","5.85","639811","3718000","43.78","0.15","2-05798-0077","545 WEST 236 STREET","RIVERDALE","D7-ELEVATOR","64","1939","90,025","1,137,489","12.64","554,033","6.15","583,456","3,531,000","39.22","0.36"
"2-05864-0526","6535 BROADWAY
Bronx, NY 
(40.825576999979, -73.918448999722)","2","10471","40.906601","-73.896517","8","11","345","2085191","2058640526","North Riverdale-Fieldston-Riverdale                                        ",,,,,"60829","792602","13.03","456218","7.5","336384","2241000","36.84","2-05909-0163","3950 BLACKSTONE AVENUE
Bronx, NY 
(40.890261642548, -73.911362719053)","RIVERDALE","D1-ELEVATOR","176","1959","237000","3092924","13.05","1477491","6.23","1615433","10760000","45.4","1.27","2-05950-0429","5530 NETHERLAND AVENUE
Bronx, NY 
(40.903119530613, -73.906169923979)","RIVERDALE","D1-ELEVATOR","270","1948","235467","3060447","13","1619950","6.88","1440497","9207000","39.1","0.58",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"2-03117-0023","855 178 STREET
Bronx, NY 
(40.843972015318, -73.885788968341)","2",,,,,,,,,,,,,,"90600","885162","9.77","547224","6.04","337938","2001000","22.09","2-03111-0010","2125 SOUTHERN BOULEVARD
Bronx, NY 
(40.846768928149, -73.88384038006)","EAST TREMONT","C7-WALK-UP","41","1931","31190","312306","10.01","198350","6.36","113956","694000","22.25","0.18","2-03119-0007","2116 CROTONA PARKWAY
Bronx, NY 
(40.846247830163, -73.883732726692)","EAST TREMONT","C1-WALK-UP","22","1931","19668","192252","9.77","118759","6.04","73493","435000","22.12","0.17","2-02978-0179","1674 BOSTON ROAD","CROTONA PARK","C1-WALK-UP","21","1912","15,590","151,834","9.74","98,510","6.32","53,324","316,000","20.27","0.57"
"2-05743-0203","2550 INDEPENDENCE AVENUE
Bronx, NY 
(40.880352956203, -73.920833635135)","2","10463","40.880369","-73.919741","8","11","29301","2083470","2057430203","Spuyten Duyvil-Kingsbridge                                                 ",,,,,"200314","2407774","12.02","997564","4.98","1410210","7744000","38.66","2-05793-0467","3555 OXFORD AVENUE
Bronx, NY 
(40.88632086694, -73.908793797665)","RIVERDALE","D1-ELEVATOR","57","1960","72553","888992","12.25","335602","4.63","553390","2772000","38.21","0.69","2-05732-0924","2700 HENRY HUDSON PARKWAY
Bronx, NY 
(40.825576999979, -73.918448999722)","RIVERDALE","D1-ELEVATOR","78","1955","108955","1229714","11.29","539876","4.96","689838","3432000","31.5","0.23",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"2-03368-0010","4320 VAN CORTLANDT PARK
Bronx, NY 
(40.898839039722, -73.874093107846)","2","10471","40.895865","-73.892294","26","11","435",,,"park-cemetery-etc-Bronx                                                    ",,,,,"151800","1363164","8.98","886512","5.84","476652","2841000","18.72","2-04286-0013","2084 BRONX PARK
Bronx, NY 
(40.840492619955, -73.878374604799)","PELHAM PARKWAY SOUTH","D1-ELEVATOR","106","1929","132000","1326600","10.05","809160","6.13","517440","3229000","24.46","3.15","2-04338-0012","660 THWAITES PLACE
Bronx, NY 
(40.858845897175, -73.869087756)","BRONXDALE","D1-ELEVATOR","108","1954","137350","1123523","8.18","741690","5.4","381833","2249000","16.37","2.78",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
