"sr","request_date","site_street_address","borocode","community_board","block","lot","violation","permit","homeowner_contractor","attempt","violation_issue_date","assigned_date","inspection_date","pass_fail","reason_for_failure","car_needed_y_n","date_results_are_mailed","expedited","vdd","postcode","borough","latitude","longitude","council_district","census_tract","bin","bbl","nta"
"1-1-1613666025","2018-09-05T00:00:00.000","52 NORTH RAILROAD ST","5","3","6254","45","17388","S042017087A01","H","1","2017-03-01T00:00:00.000","2018-09-12T00:00:00.000","2018-09-17T00:00:00.000","Pass",,"false","2018-10-04T00:00:00.000","false",,"10312","STATEN IS","40.540481","-74.180587","51","17005","5080601","5062540045","Annadale-Huguenot-Prince's Bay-Eltingville"
"1-1-1613387896","2018-09-05T00:00:00.000","922 DRUMGOOLE ROAD WEST","5","3","5704","74","17998","S042018234A11","H","1","2017-09-28T00:00:00.000","2018-09-20T00:00:00.000","2018-09-25T00:00:00.000","pass",,"false","2018-10-25T00:00:00.000","false",,"10312","STATEN IS","40.547746","-74.180685","51","17008","5077246","5057040074","Arden Heights"
"1-1-1613503095","2018-09-05T00:00:00.000","260 ALVERSON AVENUE","5","3","6155","40","18220","S042018239A10","H","1","2018-02-14T00:00:00.000","2018-09-12T00:00:00.000","2018-09-18T00:00:00.000","Pass",,"false","2018-10-04T00:00:00.000","false",,"10309","STATEN IS","40.549149","-74.208537","51","20801","5103192","5061550040","Rossville-Woodrow"
"DOT-388716-D2Q5","2018-09-05T00:00:00.000","233 EAST  235 STREET","2","12","3376","88","21785","X042018240A21","H","1","2010-05-21T00:00:00.000","2018-10-18T00:00:00.000","2018-10-20T00:00:00.000","Fail – 4+ Family/Commercial","1,6c, no joint sealer","false",,"true",,"10470","BRONX","40.897376","-73.869308","11","44902","2019124","2033760088","Woodlawn-Wakefield"
"Phone call","2018-09-05T00:00:00.000","2562 TIEMANN AVENUE","2","11","4492","34","23740","X042018087A05","C","1","2011-03-03T00:00:00.000","2018-09-30T00:00:00.000","2018-09-27T00:00:00.000","Pass",,"false","2018-10-11T00:00:00.000","false",,"10469","BRONX","40.86356","-73.837965","13","310","2053507","2044920034","Allerton-Pelham Gardens"
"1-1-1613847191","2018-09-05T00:00:00.000","920 EAST  222 STREET","2","12","4692","51","24151","X042018190A01","C","3","2011-06-29T00:00:00.000","2018-10-01T00:00:00.000","2018-10-17T00:00:00.000","Pass",,"false","2018-11-05T00:00:00.000","false",,"10469","BRONX","40.883608","-73.855116","12","398","2059192","2046920051","Williamsbridge-Olinville"
"1-1-1613788921","2018-09-05T00:00:00.000","3407 FULTON STREET","3","5","4133","58","28773","B042018149A12","C","1","1999-03-30T00:00:00.000","2018-12-06T00:00:00.000","2018-12-27T00:00:00.000","Fail – 4+ Family/Commercial","1,3,6B","false","2019-01-31T00:00:00.000","false",,"11208","BROOKLYN","40.684311","-73.869903","37","1184","3092437","3041330058","Cypress Hills-City Line"
"1-1-1613591660","2018-09-05T00:00:00.000","2175 CEDAR AVENUE","2","7","3233","70","30527","X042018108A12","C","1","2016-04-20T00:00:00.000","2018-10-01T00:00:00.000","2018-10-04T00:00:00.000","Fail – 4+ Family/Commercial","1,6C,6A, NO EXP JOINT","false","2019-01-31T00:00:00.000","false",,"10468","BRONX","40.860663","-73.913243","14","257","2015073","2032330070","University Heights-Morris Heights"
"1-1-1613562480","2018-09-05T00:00:00.000","754 ROSEDALE AVENUE","2","9","3595","31","31272","X042017263A10","H","1","2016-11-16T00:00:00.000","2018-10-04T00:00:00.000","2018-10-10T00:00:00.000","Pass",,"false","2018-11-05T00:00:00.000","false",,"10473","BRONX","40.819889","-73.866455","18","20","2022051","2035950031","Soundview-Castle Hill-Clason Point-Harding Park"
"1-1-1613414627","2018-09-05T00:00:00.000","1438 ZEREGA AVENUE","2","10","3975","4","31348","X04-2018242-A07","C","1","2016-12-14T00:00:00.000","2018-10-01T00:00:00.000","2018-10-16T00:00:00.000","Pass",,"false","2018-11-05T00:00:00.000","false","2018-11-05T00:00:00.000","10462","BRONX","40.837583","-73.847829","18","202","2041727","2039750004","Westchester-Unionport"
"1-1-1613829601","2018-09-05T00:00:00.000","4574    3 AVENUE","2","6","3055","35","32529","X042018208A13","C","1","2017-10-26T00:00:00.000","2018-10-03T00:00:00.000","2018-10-04T00:00:00.000","Pass",,"false","2018-10-11T00:00:00.000","false",,"10458","BRONX","40.855591","-73.890668","15","387","2011696","2030550035","Belmont"
"1-1-1613827621","2018-09-05T00:00:00.000","1774 EAST TREMONT AVENUE","2","9","3918","28","32748","X042018208A11","C","1","2018-04-13T00:00:00.000","2018-09-24T00:00:00.000","2018-09-26T00:00:00.000","Pass",,"false","2018-10-11T00:00:00.000","false",,"10460","BRONX","40.839903","-73.868521","18","218","2028566","2039180028","West Farms-Bronx River"
"PHONE CALL","2018-09-05T00:00:00.000","161 SENATOR STREET","3","10","5848","60","61075","B042018186A16","H","1","2010-07-19T00:00:00.000","2018-09-17T00:00:00.000","2018-09-25T00:00:00.000","Pass",,"false","2018-09-27T00:00:00.000","true",,"11220","BROOKLYN","40.638499","-74.029099","43","30","3144406","3058480060","Bay Ridge"
"1-1-1613394197","2018-09-05T00:00:00.000","47-30  194 STREET","4","11","5612","54","64585","Q042018208A22","H","1","2013-04-13T00:00:00.000","2018-09-24T00:00:00.000","2018-09-28T00:00:00.000","Pass",,"false","2018-10-04T00:00:00.000","false",,"11358","QUEENS","40.751458","-73.786669","20","1429","4126888","4056120054","Auburndale"
"1-1-1613694928","2018-09-05T00:00:00.000","32-21  162 STREET","4","7","4896","16","68788","Q012016328A39","C","1","2014-05-29T00:00:00.000","2018-10-04T00:00:00.000","2018-10-10T00:00:00.000","Pass",,"false","2018-11-01T00:00:00.000","false",,"11358","QUEENS","40.768935","-73.802804","19","1147","4110811","4048960016","Murray Hill"
"1-1-1613387225","2018-09-05T00:00:00.000","84-39  256 STREET","4","13","8786","69","71076","Q042015142A09","C","1","2015-04-15T00:00:00.000","2018-09-24T00:00:00.000","2018-09-27T00:00:00.000","Pass",,"false","2018-10-01T00:00:00.000","true",,"11001","QUEENS","40.735943","-73.711696","23","157903","4179760","4087860069","Glen Oaks-Floral Park-New Hyde Park"
"Phone call","2018-09-05T00:00:00.000","322   72 STREET","3","10","5908","15","74140","B042012313003","C","1","2012-10-03T00:00:00.000","2018-09-21T00:00:00.000","2018-10-12T00:00:00.000","Fail – 4+ Family/Commercial","1,no exp jnt","false","2018-10-25T00:00:00.000","false",,"11209","BROOKLYN","40.63335","-74.026276","43","66","3147336","3059080015","Bay Ridge"
"1-1-1613394502","2018-09-05T00:00:00.000","80-14  264 STREET","4","13","8719","44","78423","Q042018228A16","H","1","2016-12-23T00:00:00.000","2018-09-24T00:00:00.000","2018-09-28T00:00:00.000","Fail – 4+ Family/Commercial","6,6C","false","2018-10-04T00:00:00.000","false",,"11004","QUEENS","40.745177","-73.707275","23","157901","4178178","4087190044","Glen Oaks-Floral Park-New Hyde Park"
"1-1-1613710174","2018-09-05T00:00:00.000","31-36   43 STREET","4","1","692","58","78551","Q042018218A07","H","1","2017-01-03T00:00:00.000","2018-10-03T00:00:00.000","2018-10-04T00:00:00.000","Fail – 4+ Family/Commercial","1,3","false","2019-02-07T00:00:00.000","false",,"11103","QUEENS","40.759239","-73.91548","26","155","4011808","4006920058","Astoria"
"Phone call","2018-09-05T00:00:00.000","147-23   84 AVENUE","4","8","9742","165","80615","Q042017191A27","C","1","2017-05-26T00:00:00.000","2018-09-13T00:00:00.000","2018-09-14T00:00:00.000","Fail – 4+ Family/Commercial","3, NO EXP JOINT","true","2019-02-07T00:00:00.000","false",,"11435","QUEENS","40.713523","-73.811975","24","22002","4208624","4097420165","Briarwood-Jamaica Hills"
"1-1-1613536179","2018-09-05T00:00:00.000","73-44  195 STREET","4","8","7181","26","82159","Q04-2018234-A23","C","1","2017-07-21T00:00:00.000","2018-09-24T00:00:00.000","2018-09-25T00:00:00.000","Fail – 4+ Family/Commercial","EXP.JNT","true","2018-10-22T00:00:00.000","false",,"11366","QUEENS","40.734443","-73.777594","23","1333","4154334","4071810026","Fresh Meadows-Utopia"
"1-1-1613234148","2018-09-05T00:00:00.000","8897   16 AVENUE","3","11","6461","201","83957","B042018207A43","C","1","2016-06-06T00:00:00.000","2018-10-01T00:00:00.000","2018-10-04T00:00:00.000","Pass",,"false",,"false",,"11214","BROOKLYN","40.604189","-74.013282","43","174","3169447","3064610201","Bath Beach"
"CO CALL","2018-09-05T00:00:00.000","1340   70 STREET","3","10","6167","22","84252","B042018243A04","C","1","2016-06-09T00:00:00.000","2018-09-21T00:00:00.000","2018-10-12T00:00:00.000","Pass",,"false","2018-10-29T00:00:00.000","false",,"11228","BROOKLYN","40.622558","-74.003527","43","196","3394948","3061670022","Dyker Heights"
"Phone call","2018-09-05T00:00:00.000","35-36  100 STREET","4","3","1740","21","86507","Q042018186A10","H","1","2018-03-30T00:00:00.000","2018-09-27T00:00:00.000","2018-10-03T00:00:00.000","Pass",,"false","2018-10-25T00:00:00.000","false",,"11368","QUEENS","40.753347","-73.867649","21","407","4043202","4017400021","North Corona"
"Phone call","2018-09-05T00:00:00.000","35-38  100 STREET","4","3","1740","22","86508","Q042018186A11","H","1","2018-03-30T00:00:00.000","2018-09-27T00:00:00.000","2018-10-03T00:00:00.000","Pass",,"false","2018-10-25T00:00:00.000","false",,"11368","QUEENS","40.753325","-73.867638","21","407","4043203","4017400022","North Corona"
"Phone call","2018-09-05T00:00:00.000","35-42  100 STREET","4","3","1740","23","86509","Q042018186A12","H","1","2018-03-30T00:00:00.000","2018-09-27T00:00:00.000","2018-10-03T00:00:00.000","Pass",,"false","2018-10-25T00:00:00.000","false",,"11368","QUEENS","40.753284","-73.86762","21","407","4043204","4017400023","North Corona"
"1-1-1613615571","2018-09-05T00:00:00.000","93-48 VANDERVEER STREET","4","13","10616","27","87584","Q042018243A21","H","1","2018-07-27T00:00:00.000","2018-09-24T00:00:00.000","2018-10-16T00:00:00.000","Fail – 4+ Family/Commercial","EXP.JNT","false","2018-11-01T00:00:00.000","false",,"11428","QUEENS","40.718976","-73.74318","23","542","4226571","4106160027","Queens Village"
"1-1-1613570570","2018-09-05T00:00:00.000","15    7 AVENUE","3","6","1057","3","92814","B042018228A13","C","1","2018-04-25T00:00:00.000","2018-09-24T00:00:00.000","2018-09-27T00:00:00.000","Fail – 4+ Family/Commercial","3","false","2018-10-29T00:00:00.000","false",,"11217","BROOKLYN","40.67727","-73.973541","39","161","3024349","3010570003","Prospect Heights"
"1-1-1613349913","2018-09-05T00:00:00.000","4114 OCEAN AVENUE","3","15","8731","49","93663","B042018241A19","C","1","2018-06-22T00:00:00.000","2018-09-24T00:00:00.000","2018-09-29T00:00:00.000","Pass",,"false","2018-10-29T00:00:00.000","false",,"11235","BROOKLYN","40.580351","-73.947811","48","612","3245962","3087310049","Sheepshead Bay-Gerritsen Beach-Manhattan Beach"
"1-1-1613847271","2018-09-05T00:00:00.000","4422 SNYDER AVENUE","3","17","4912","9","93976","B042018227A16","H","1","2018-07-12T00:00:00.000","2018-10-25T00:00:00.000","2019-09-14T00:00:00.000","Pass",,"false","2019-10-11T00:00:00.000","false",,"11203","BROOKLYN","40.649763","-73.935691","45","860","3110280","3049120009","East Flatbush-Farragut"
"1-1-1613664682","2018-09-05T00:00:00.000","205 WESTERVELT AVENUE","5","1","28","48","999999999","S042017188A07","C","1","9999-09-09T00:00:00.000","2018-09-19T00:00:00.000","2018-10-02T00:00:00.000","Pass",,"false","2018-10-25T00:00:00.000","false",,"10301","STATEN IS","40.642889","-74.083721","49","9","5000516","5000280048","West New Brighton-New Brighton-St. George"
"1-1-1613528259","2018-09-05T00:00:00.000","25-50   88 STREET","4","3","1361","32","999999999","Q042012226005","H","1","9999-09-09T00:00:00.000","2018-09-24T00:00:00.000","2018-10-12T00:00:00.000","Fail – 4+ Family/Commercial","1","false",,"false",,"11369","QUEENS","40.762878","-73.881023","22","329","4032306","4013610032","Jackson Heights"
"Phone Call","2017-09-05T00:00:00.000","132 PLEASANT PLAINS AVENUE","5","3","7533","76","10845","S012012256096","C","1","2011-04-12T00:00:00.000","2017-09-14T00:00:00.000","2017-09-26T00:00:00.000","Fail – 4+ Family/Commercial","3","false","2017-11-02T00:00:00.000","false",,"10309","STATEN IS","40.523607","-74.220863","51","226","5087022","5075330076","Charleston-Richmond Valley-Tottenville"
"Phone Call","2017-09-05T00:00:00.000","140 PLEASANT PLAINS AVENUE","5","3","7533","72","10846","S012012256096","C","1","2011-04-12T00:00:00.000","2017-09-14T00:00:00.000","2017-09-26T00:00:00.000","Pass",,"false","2017-11-02T00:00:00.000","false","2017-11-02T00:00:00.000","10309","STATEN IS","40.523601","-74.220971","51","226","5087020","5075330072","Charleston-Richmond Valley-Tottenville"
"Phone Call","2017-09-05T00:00:00.000","136 PLEASANT PLAINS AVENUE","5","3","7533","74","10847","S012012256096","C","1","2011-04-12T00:00:00.000","2017-09-14T00:00:00.000","2017-09-26T00:00:00.000","Pass",,"false","2017-11-02T00:00:00.000","false","2017-11-02T00:00:00.000","10309","STATEN IS","40.523604","-74.220917","51","226","5087021","5075330074","Charleston-Richmond Valley-Tottenville"
"1-1-1457105245","2017-09-05T00:00:00.000","90-19 91 AVENUE","4","9","8972","25","19458","Q041998138011","C","1","1998-04-30T00:00:00.000","2017-10-16T00:00:00.000","2017-10-18T00:00:00.000","Pass",,"false","2017-11-16T00:00:00.000","false","2017-11-16T00:00:00.000","11421","QUEENS","40.689025","-73.852964","32","18","4185723","4089720025","Woodhaven"
"1-1-1456745825","2017-09-05T00:00:00.000","1711 WALLACE AVENUE","2","11","4035","20","23503","X042017244A00","H","1","2010-12-23T00:00:00.000","2017-10-23T00:00:00.000","2017-10-27T00:00:00.000","Fail – 4+ Family/Commercial","Missing sealer","false","2017-12-01T00:00:00.000","false",,"10462","BRONX","40.844643","-73.863054","15","238","2043116","2040350020","Van Nest-Morris Park-Westchester Square"
"1-1-1456924931","2017-09-05T00:00:00.000","4142 WILDER AVENUE","2","12","5022","18","23602","X042017227A12","C","1","2011-02-17T00:00:00.000","2017-10-23T00:00:00.000","2017-10-28T00:00:00.000","Pass",,"false","2017-12-01T00:00:00.000","false","2017-12-01T00:00:00.000","10466","BRONX","40.894424","-73.842342","12","448","2069211","2050220018","Woodlawn-Wakefield"
"1-1-1471981108","2017-09-05T00:00:00.000","867 VINCENT AVENUE","2","10","5472","9","31757","X042017206A11","C","1","2017-03-13T00:00:00.000","2017-10-23T00:00:00.000","2017-11-14T00:00:00.000","Pass",,"false","2017-12-18T00:00:00.000","false","2017-12-18T00:00:00.000","10465","BRONX","40.831635","-73.819013","13","160","2077967","2054720009","Schuylerville-Throgs Neck-Edgewater Park"
"1-1-1456886529","2017-09-05T00:00:00.000","2047 BATHGATE AVENUE","2","6","3046","52","31999","X042017226A32","C","1","2017-07-18T00:00:00.000","2017-10-23T00:00:00.000","2017-10-27T00:00:00.000","Pass",,"false","2017-12-01T00:00:00.000","false","2017-12-01T00:00:00.000","10457","BRONX","40.850031","-73.895394","15","395","2011492","2030460052","Claremont-Bathgate"
"1-1-1456951067","2017-09-05T00:00:00.000","3470 ELY AVENUE","2","12","4885","79","32076","X042017236A03","H","1","2017-08-03T00:00:00.000","2017-10-23T00:00:00.000","2017-10-28T00:00:00.000","Fail – 4+ Family/Commercial","Missing joint sealer","false","2017-12-01T00:00:00.000","false",,"10469","BRONX","40.879606","-73.840858","12","46202","2065519","2048850079","Co-op City"
"1-1-1456860954","2017-09-05T00:00:00.000","82-38 268 STREET","4","13","8761","59","55772","Q012014293A77","C","1","2011-05-24T00:00:00.000","2017-10-23T00:00:00.000","2017-11-02T00:00:00.000","Pass",,"false","2017-12-01T00:00:00.000","false","2017-11-30T00:00:00.000","11004","QUEENS","40.7419","-73.702114","23","157901","4179238","4087610059","Glen Oaks-Floral Park-New Hyde Park"
"1-1-1468707191","2017-09-05T00:00:00.000","74 SULLIVAN STREET","3","6","556","15","66946","B012015198C86","C","1","2011-07-11T00:00:00.000","2017-09-12T00:00:00.000","2017-09-14T00:00:00.000","Fail – 4+ Family/Commercial","sidewalk construction in progress","false","2017-09-29T00:00:00.000","true",,"11231","BROOKLYN","40.677453","-74.011688","38","53","3000000","3005560142","Carroll Gardens-Columbia Street-Red Hook"
"1-1-1456820127","2017-09-05T00:00:00.000","252-73 LEEDS ROAD","4","11","8251","60","66970","Q042015007A08","C","1","2013-11-21T00:00:00.000","2017-10-23T00:00:00.000","2017-10-28T00:00:00.000","Pass",,"false","2017-11-16T00:00:00.000","false","2017-11-16T00:00:00.000","11362","QUEENS","40.765395","-73.728629","19","150702","4171412","4082510060","Douglas Manor-Douglaston-Little Neck"
"1-1-1456809593","2017-09-05T00:00:00.000","64-31 229 STREET","4","11","7664","61","69880","Q012013234138","C","1","2014-10-22T00:00:00.000","2017-09-12T00:00:00.000","2017-09-14T00:00:00.000","Fail – 4+ Family/Commercial","1,3,6B","false","2017-09-29T00:00:00.000","true","2017-12-21T00:00:00.000","11364","QUEENS","40.748968","-73.748474","23","1377","4163401","4076640061","Oakland Gardens"
"1-1-1457035327","2017-09-05T00:00:00.000","208-11 26 AVENUE","4","7","5863","250","75109","Q042017228A27","C","2","2016-04-28T00:00:00.000","2017-10-23T00:00:00.000","2017-10-26T00:00:00.000","Pass",,"false","2017-11-09T00:00:00.000","false","2017-11-09T00:00:00.000","11360","QUEENS","40.776381","-73.783798","19","99704","4130866","4058630250","Ft. Totten-Bay Terrace-Clearview"
"1-1-1456858338","2017-09-05T00:00:00.000","84-28 PENELOPE AVENUE","4","5","3014","1","75204","Q042017241A39","C","1","2016-05-04T00:00:00.000","2017-10-12T00:00:00.000","2017-10-13T00:00:00.000","Fail – 4+ Family/Commercial","ADDITIONAL DEFECTS AT THE TIME OF DISMISSAL","false","2018-03-14T00:00:00.000","false",,"11379","QUEENS","40.722108","-73.86884","30","679","4070108","4030140001","Middle Village"
"1-1-1456837851","2017-09-05T00:00:00.000","144-08 70 AVENUE","4","8","6643","11","77547","Q042017242A20","H","1","2016-09-30T00:00:00.000","2017-10-23T00:00:00.000","2017-10-27T00:00:00.000","Pass",,"false","2017-11-16T00:00:00.000","false","2017-11-16T00:00:00.000","11367","QUEENS","40.72946","-73.822646","24","77906","4143831","4066430011","Kew Gardens Hills"
"1-1-1456996571","2017-09-05T00:00:00.000","43-05 76 STREET","4","4","1522","74","80026","Q042017235A00","C","1","2017-03-22T00:00:00.000","2017-10-12T00:00:00.000","2017-10-13T00:00:00.000","Pass",,"false","2018-02-21T00:00:00.000","false","2018-02-21T00:00:00.000","11373","QUEENS","40.742363","-73.888659","25","483","4037835","4015220074","Elmhurst-Maspeth"
"1-1-1456906739","2017-09-05T00:00:00.000","73-13 69 AVENUE","4","5","3785","43","80994","Q042017234A32","C","1","2017-06-19T00:00:00.000","2017-10-12T00:00:00.000","2017-10-13T00:00:00.000","Pass","ONGOING CONSTRUCTION - POSSIBLY GAS LINE","true","2018-03-16T00:00:00.000","false","2018-03-16T00:00:00.000","11379","QUEENS","40.709294","-73.87776","30","619","4091847","4037850043","Middle Village"
"1-1-1456805231","2017-09-05T00:00:00.000","1365 EAST 56 STREET","3","18","7854","21","81072","B042017240A16","H","1","2015-12-18T00:00:00.000","2017-10-23T00:00:00.000","2017-10-28T00:00:00.000","Pass",,"false","2018-02-16T00:00:00.000","false","2018-02-16T00:00:00.000","11234","BROOKLYN","40.622479","-73.921431","46","692","3218994","3078540021","Flatlands"
"1-1-1456731559","2017-09-05T00:00:00.000","166-32 25 AVENUE","4","7","5769","32","81207","Q042017235A26","C","1","2017-06-27T00:00:00.000","2017-10-23T00:00:00.000","2017-10-26T00:00:00.000","Fail – 4+ Family/Commercial","1,3 (Of Thru Lot)(Front of Prop. OK)","false","2017-12-15T00:00:00.000","false",,"11357","QUEENS","40.774355","-73.797145","19","1017","4129470","4057690032","Ft. Totten-Bay Terrace-Clearview"
"1-1-1456544672","2017-09-05T00:00:00.000","52-32 73 STREET","4","5","2484","58","81276","Q042017234A34","C","1","2017-06-28T00:00:00.000","2017-10-12T00:00:00.000","2017-10-18T00:00:00.000","Pass",,"false","2018-03-16T00:00:00.000","false","2018-03-16T00:00:00.000","11378","QUEENS","40.732887","-73.890407","30","497","4057708","4024840058","Maspeth"
"1-1-1456923575","2017-09-05T00:00:00.000","61-58 82 STREET","4","5","2939","34","81417","Q042017227A54","C","1","2017-06-28T00:00:00.000","2017-10-12T00:00:00.000","2017-10-18T00:00:00.000","Pass",,"false","2018-03-16T00:00:00.000","false","2018-03-16T00:00:00.000","11379","QUEENS","40.72468","-73.876711","30","671","4067617","4029390034","Middle Village"
"1-1-1456717676","2017-09-05T00:00:00.000","80-47 189 STREET","4","8","7267","44","81876","Q042017230A18","H","1","2017-07-11T00:00:00.000","2017-10-23T00:00:00.000","2017-10-27T00:00:00.000","Pass",,"false","2017-12-15T00:00:00.000","false","2017-12-15T00:00:00.000","11423","QUEENS","40.728587","-73.779825","23","1277","4156354","4072670044","Jamaica Estates-Holliswood"
"1-1-1456947477","2017-09-05T00:00:00.000","79-54 215 STREET","4","11","7771","29","82139","Q042017245A06","C","1","2017-07-21T00:00:00.000","2017-10-23T00:00:00.000","2017-10-28T00:00:00.000","Pass",,"false","2017-12-15T00:00:00.000","false","2017-12-15T00:00:00.000","11364","QUEENS","40.734935","-73.756577","23","129103","4164293","4077710029","Oakland Gardens"
"1-1-1456545127","2017-09-05T00:00:00.000","94-07 58 AVENUE","4","4","1910","46","82228","Q042017234A01","C","1","2017-07-21T00:00:00.000","2017-10-12T00:00:00.000","2017-10-12T00:00:00.000","Pass",,"false","2018-03-16T00:00:00.000","false","2018-03-16T00:00:00.000","11373","QUEENS","40.735591","-73.866869","25","683","4047249","4019100046","Elmhurst"
"1-1-1456944065","2017-09-05T00:00:00.000","94-05 58 AVENUE","4","4","1910","47","82230","Q042017234A00","C","1","2017-07-21T00:00:00.000","2017-10-12T00:00:00.000","2017-10-12T00:00:00.000","Pass",,"false","2018-03-16T00:00:00.000","false","2018-03-16T00:00:00.000","11373","QUEENS","40.735585","-73.866894","25","683","4047250","4019100047","Elmhurst"
"1-1-1456911431","2017-09-05T00:00:00.000","134-38 35 AVENUE","4","7","4958","7501","82275","Q042017222A24","C","1","2017-07-24T00:00:00.000","2017-10-23T00:00:00.000","2017-10-26T00:00:00.000","Pass",,"false","2017-12-15T00:00:00.000","false","2017-12-15T00:00:00.000","11354","QUEENS","40.764231","-73.832683","20","869","4438099","4049587501","Flushing"
"1-1-1456938237","2017-09-05T00:00:00.000","107-02 103 AVENUE","4","0","9512","1","82332","Q042017233A18","H","1","2017-07-25T00:00:00.000","2017-09-20T00:00:00.000","2017-09-22T00:00:00.000","Pass",,"false","2017-10-10T00:00:00.000","false","2017-10-10T00:00:00.000","11417","QUEENS","40.685117","-73.834973","28","98","4201649","4095120001","South Ozone Park"
"1-1-1456853071","2017-09-05T00:00:00.000","32-69 46 STREET","4","1","722","12","82612","Q042017236A38","H","1","2017-07-28T00:00:00.000","2017-10-23T00:00:00.000","2017-11-03T00:00:00.000","Fail – 4+ Family/Commercial","No Jnt. Seal","false","2017-12-19T00:00:00.000","false",,"11103","QUEENS","40.756274","-73.914563","26","161","4013031","4007220012","Astoria"
"1-1-1456906219","2017-09-05T00:00:00.000","164-21 71 AVENUE","4","8","6933","65","82687","Q042017236A34","H","1","2017-08-01T00:00:00.000","2017-10-23T00:00:00.000","2017-10-27T00:00:00.000","Pass",,"false","2017-12-15T00:00:00.000","false","2017-12-15T00:00:00.000","11365","QUEENS","40.730468","-73.804805","24","122701","4149830","4069330065","Pomonok-Flushing Heights-Hillcrest"
"1-1-1456799931","2017-09-05T00:00:00.000","102-05 63 ROAD","4","6","2124","69","82742","Q042017243A06","C","1","2017-08-02T00:00:00.000","2017-10-23T00:00:00.000","2017-11-04T00:00:00.000","Pass",,"false","2017-12-19T00:00:00.000","false","2017-12-19T00:00:00.000","11375","QUEENS","40.732897","-73.854552","29","719","4051138","4021240069","Forest Hills"
"1-1-1456886421","2017-09-05T00:00:00.000","94-01 68 AVENUE","4","6","3185","42","82986","Q042017205A04","C","1","2017-08-04T00:00:00.000","2017-10-23T00:00:00.000","2017-11-04T00:00:00.000","Pass",,"false","2017-12-20T00:00:00.000","false","2017-12-20T00:00:00.000","11375","QUEENS","40.717049","-73.854731","29","707","4075603","4031850042","Forest Hills"
"1-1-1459419756","2017-09-05T00:00:00.000","2811 FARRAGUT ROAD","3","14","5230","3","83024","B042017242A09","C","1","2016-04-28T00:00:00.000","2017-10-23T00:00:00.000","2017-10-28T00:00:00.000","Fail – 4+ Family/Commercial","1, Expansion joint","false","2018-02-14T00:00:00.000","false",,"11210","BROOKLYN","40.636172","-73.949716","45","788","3120967","3052300003","Flatbush"
"1-1-1456841232","2017-09-05T00:00:00.000","94-25 58 AVENUE","4","4","1910","37","83100","Q042017237A28","C","1","2017-08-08T00:00:00.000","2017-10-12T00:00:00.000","2017-10-12T00:00:00.000","Pass",,"false",,"false","2018-02-21T00:00:00.000","11373","QUEENS","40.735656","-73.866652","25","683","4047241","4019100037","Elmhurst"
"1-1-1456906219","2017-09-05T00:00:00.000","1952 EAST 9 STREET","3","15","7090","29","88248","B042017240A19","H","1","2017-05-12T00:00:00.000","2017-10-23T00:00:00.000","2017-10-28T00:00:00.000","Pass",,"false","2018-01-24T00:00:00.000","false","2018-01-24T00:00:00.000","11223","BROOKLYN","40.601486","-73.962739","47","416","3190581","3070900029","Homecrest"
"1-1-1456887499","2017-09-05T00:00:00.000","245 TOMPKINS AVENUE","3","3","1786","73","89216","B042017234A21","C","1","2017-06-28T00:00:00.000","2017-10-23T00:00:00.000","2017-10-26T00:00:00.000","Fail – 4+ Family/Commercial","1, 3, 5, 6C, Expansion joint","false","2018-02-23T00:00:00.000","false",,"11216","BROOKLYN","40.690679","-73.945359","36","261","3391698","3017860073","Bedford"
"1-1-1456745513","2017-09-05T00:00:00.000","252 IRVING AVENUE","3","4","3309","21","89362","B042017230A15","C","1","2017-07-03T00:00:00.000","2017-10-23T00:00:00.000","2017-10-27T00:00:00.000","Pass",,"false","2017-11-13T00:00:00.000","false","2017-11-13T00:00:00.000","11237","BROOKLYN","40.700051","-73.916211","37","433","3075711","3033090021","Bushwick North"
"1-1-1301146469","2016-09-05T00:00:00.000","78-20 85 STREET","4","5","3843","53","75143","Q042016217A13","H","1","2016-04-28T00:00:00.000","2016-10-03T00:00:00.000","2016-10-08T00:00:00.000","Pass",,"false","2016-11-29T00:00:00.000","false","2016-11-29T00:00:00.000","11385","QUEENS","40.705022","-73.864048","30","635","4093921","4038430053","Glendale"
"1-1-1301112504","2016-09-05T00:00:00.000","28-35 44 STREET","4","1","700","6","75615","Q042016194A01","C","1","2016-06-03T00:00:00.000","2016-10-03T00:00:00.000","2016-10-13T00:00:00.000","Pass",,"false","2016-12-01T00:00:00.000","false","2016-12-01T00:00:00.000","11103","QUEENS","40.763086","-73.911219","22","147","4012104","4007000006","Astoria"
"1-1-1149353779","2015-09-05T00:00:00.000","2218 MANNING STREET","2","10","3967","68","5152","X042015243A00","H","1","1996-03-29T00:00:00.000","2015-10-23T00:00:00.000","2015-10-23T00:00:00.000","Fail – 4+ Family/Commercial","1 flag broken","false","2015-10-29T00:00:00.000","false",,"10462","BRONX","40.837045","-73.851932","18","20601","2041520","2039670068","Westchester-Unionport"
"1-1-1149130124","2015-09-05T00:00:00.000","31-44 35 STREET","4","1","624","58","68584","Q042015237A30","C","1","2014-05-02T00:00:00.000","2015-09-21T00:00:00.000","2015-09-24T00:00:00.000","Pass",,"false","2015-10-07T00:00:00.000","false","2015-10-07T00:00:00.000","11106","QUEENS","40.761738","-73.92118","22","61","4008979","4006240058","Astoria"
