"brooklyn_condominium_property_boro_block_lot","brooklyn_condominium_property_condo_section","brooklyn_condominium_property_address","borough","postcode","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","brooklyn_condominium_property_neighborhood","brooklyn_condominium_property_building_classification","brooklyn_condominium_property_total_units","brooklyn_condominium_property_year_built","brooklyn_condominium_property_gross_sqft","brooklyn_condominium_property_est_gross_income","brooklyn_condominium_property_gross_income_per_sqft","brooklyn_condominium_property_full_market_value","brooklyn_condominium_property_market_value_per_sqft","_comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_est_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_dist_from_coop_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_est_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_dist_from_coop_in_miles"
"3-07260-7502","1571-R1","2803 OCEAN PARKWAY
Brooklyn, New York 
(40.581422552092, -73.967025457018)","3","11235","40.581338","-73.967366","13","48","366","3390901","3072607502","Brighton Beach                                                             ","BRIGHTON BEACH","R4-ELEVATOR","34","2006","37636","1193061","31.7","5780000","154","3-08723-0400","1182 BRIGHTON BEACH AVENU
Brooklyn, New York 
(40.577259176581, -73.954631907231)","BRIGHTON BEACH","D1-ELEVATOR","24","2005","33408","616044","18.44","2510000","75","0.75",,,,,,,,,,,,
"3-08720-7506","1057-R1","70 OCEANA DRIVE
Brooklyn, New York 
(40.611978994258, -74.033886024271)","3",,,,,,,,,,"BRIGHTON BEACH","R4-ELEVATOR","48","0","65182","1355785","20.8","6059997","93","3-01381-0062","1615 ST JOHN'S PLACE
Brooklyn, New York 
(40.670221598523, -73.923745569595)","CROWN HEIGHTS","D1-ELEVATOR","40","2002","44650","1018020","22.8","2870000","64","6.7",,,,,,,,,,,,
"3-00478-7501","1643-R1","529 COURT STREET
Brooklyn, New York 
(40.674766704363, -73.999515749723)","3","11231","40.6748","-73.999531","6","39","77","3391418","3004787501","Carroll Gardens-Columbia Street-Red Hook                                   ","CARROLL GARDENS","R4-ELEVATOR","25","2005","24769","829670","33.5","4020002","162","3-00958-0007","586 PRESIDENT STREET
Brooklyn, New York 
(40.676649313031, -73.983215083007)","PARK SLOPE","D1-ELEVATOR","25","2002","30000","907741","30.3","4400000","147","0.85",,,,,,,,,,,,
"3-00444-7501","229-R1","376 PRESIDENT STREET
Brooklyn, New York 
(40.679624567553, -73.990859321514)","3","11231","40.679778","-73.991207","6","39","75","3347155","3004447501","Carroll Gardens-Columbia Street-Red Hook                                   ","GOWANUS","R4-ELEVATOR","55","1938","54818","909978","16.6","3477980","63","3-00020-0006","25 JAY STREET
Brooklyn, New York 
(40.704188212301, -73.98654953086)","DOWNTOWN-FULTON FERRY","C7-WALK-UP","28","1920","47735","793631","16.63","3230000","68","1.75",,,,,,,,,,,,
"3-05347-7501","45-R1","3801 15 AVENUE
Brooklyn, New York 
(40.638496465872, -73.981283993769)","3","11218","40.638438","-73.981383","12","39","228","3125884","3053667501","Borough Park                                                               ","BOROUGH PARK","R2-WALK-UP","22","1983","33224","531584","16","2160004","65","3-01971-0055","377 QUINCY STREET
Brooklyn, New York 
(40.687591890866, -73.945369598401)","BEDFORD STUYVESANT","C1-WALK-UP","12","2006","12228","159453","13.04","588000","48.1","3.65",,,,,,,,,,,,
"3-01154-7501","1660-R1","364 ST MARK'S AVENUE
Brooklyn, New York 
(40.677438133661, -73.963385188484)","3","11238","40.677437","-73.963317","8","35","205","3378994","3011547501","Prospect Heights                                                           ","CROWN HEIGHTS","R4-ELEVATOR","18","2005","17209","492088","28.6","2379995","138","3-01148-0020","802 BERGEN STREET
Brooklyn, New York 
(40.677943132024, -73.961254820824)","CROWN HEIGHTS","D1-ELEVATOR","32","2001","28912","377441","13.05","1420000","49.1","0.1",,,,,,,,,,,,
"3-01171-7501","127-R1","44 BUTLER PLACE
Brooklyn, New York 
(40.67501092521, -73.968315102362)","3","11238","40.675262","-73.967936","8","35","207","3251011","3011717501","Prospect Heights                                                           ","PROSPECT HEIGHTS","R4-ELEVATOR","60","1925","67038","681106","10.16","2300006","34.3","3-00297-0019","182 AMITY STREET
Brooklyn, New York 
(40.688767939764, -73.994587461443)","COBBLE HILL","C1-WALK-UP","48","1900","35950","575302","16","2340000","65","1.65",,,,,,,,,,,,
"3-01885-7502","1386-R1","42 SKILLMAN STREET
Brooklyn, New York 
(40.697405330861, -73.957712228154)","3","11205","40.697497","-73.957702","3","33","1237","3348881","3018857502","Bedford                                                                    ","BEDFORD STUYVESANT","R4-ELEVATOR","20","2004","25423","599982","23.6","2679990","105","3-06782-0026","2120 OCEAN AVENUE
Brooklyn, New York 
(40.610081747554, -73.953535175497)","MADISON","C1-WALK-UP","20","2005","26750","556400","20.8","2490000","93","6.1",,,,,,,,,,,,
"3-06801-7503","1717-R1","1764 19 STREET
Brooklyn, New York 
(40.581751779707, -73.987111647493)","3",,,,,,,,,,"MADISON","R0-CONDOMINIUM","16","2007","24696","353846","14.33","1610006","65","3-00714-0044","4018 5 AVENUE
Brooklyn, New York 
(40.650632160367, -74.004642380768)","SUNSET PARK","C7-WALK-UP","32","1906","25600","398000","15.55","1620000","63","4.05",,,,,,,,,,,,
"3-06590-7501","219-R1","1489 8 STREET
Brooklyn, New York 
(40.610591659305, -73.982125063619)","3",,,,,,,,,,"OCEAN PARKWAY-NORTH","R2-WALK-UP","16","1926","11800","118000","10","398999","33.8","3-05385-0022","570 2 STREET
Brooklyn, New York 
(40.670084488066, -73.975969911921)","OCEAN PARKWAY-NORTH","C1-WALK-UP","16","1916","12240","119982","9.8","396000","32.4","1.75",,,,,,,,,,,,
"3-03023-7501","1279-R1","63 69 STAGG STREET
Brooklyn, New York 
(42.433188999772, -78.748646000413)","3",,,,,,,,,,"WILLIAMSBURG-EAST","R2-WALK-UP","16","2004","25336","524455","20.7","2340001","92","3-03023-0013","58 TEN EYCK STREET
Brooklyn, New York 
(40.70974540972, -73.948162765383)","WILLIAMSBURG-EAST","C1-WALK-UP","14","2002","12000","249600","20.8","1120000","93","0",,,,,,,,,,,,
"3-00636-7501","49-R1","660 4 AVENUE
Brooklyn, New York 
(40.663683251534, -73.994844165958)","3","11232","40.663609","-73.994763","7","38","143","3338700","3006367501","Park Slope-Gowanus                                                         ","SUNSET PARK","R2-WALK-UP","23","1930","10247","140383","13.7","556994","54","3-00723-0067","323 43 STREET
Brooklyn, New York 
(40.651271859333, -74.009901335819)","SUNSET PARK","C1-WALK-UP","24","1906","21000","287750","13.7","813000","38.7","1.15","3-00637-0073","189 20 STREET
Brooklyn, New York 
(40.602622613718, -74.005053018991)","SUNSET PARK","C1-WALK-UP","24","1932","14216","156886","11.04","553000","38.9","0.15"
"3-02264-7514","1283-R1","274 WALLABOUT STREET
Brooklyn, New York 
(40.700274577567, -73.952031968335)","3","11206","40.700313","-73.95189","1","33","531","3378372","3022647514","Bedford                                                                    ","WILLIAMSBURG-CENTRAL","R4-ELEVATOR","28","2005","32854","721145","21.95","3220000","98","3-06782-0026","2120 OCEAN AVENUE
Brooklyn, New York 
(40.610081747554, -73.953535175497)","MADISON","C1-WALK-UP","20","2005","26750","556400","20.8","2490000","93","6.2",,,,,,,,,,,,
"3-04414-7501","468-R3","971 JEROME STREET
Brooklyn, New York 
(40.656912363944, -73.878551600121)","3","11207","40.656793","-73.878505","5","42","1078","3324273","3044237501","East New York                                                              ","EAST NEW YORK","R4-ELEVATOR","542","1990","425720","3219560","7.56","9879985","23.21","3-02145-0018","440 BERRY STREET
Brooklyn, New York 
(42.433188999772, -78.748646000413)","WILLIAMSBURG-SOUTH","D9-ELEVATOR","66","1995","58430","2208654","37.8","11100000","190","5.9",,,,,,,,,,,,
"3-01155-7502","1531-R1","442 ST MARK'S AVENUE
Brooklyn, New York 
(40.676787826991, -73.960273884599)","3","11238","40.676838","-73.960447","8","35","305","3028631","3011557502","Crown Heights North                                                        ","CROWN HEIGHTS","R2-WALK-UP","12","1931","10784","134800","12.5","507000","47","3-01203-0001","55 BROOKLYN AVENUE
Brooklyn, New York 
(42.433188999772, -78.748646000413)","CROWN HEIGHTS","C1-WALK-UP","16","1915","9600","119681","12.47","422000","44","0.95",,,,,,,,,,,,
"3-06651-7501","1149-R1","202 QUENTIN ROAD
Brooklyn, New York 
(40.605948597711, -73.978928556041)","3","11223","40.605989","-73.978734","11","44","426","3350125","3066517501","Bensonhurst East                                                           ","GRAVESEND","R4-ELEVATOR","14","2002","11525","210330","18.25","855000","74","3-01043-0001","549 6 AVENUE
Brooklyn, New York 
(40.664494613259, -73.986846351349)","PARK SLOPE SOUTH","C1-WALK-UP","16","1931","10508","191000","18.18","777000","74","4.05",,,,,,,,,,,,
"3-02250-7501","873-R1","165 HARRISON AVENUE
Brooklyn, New York 
(40.701758680305, -73.948886993404)","3","11206","40.701783","-73.948946","1","33","507","3348323","3022507501","Bedford                                                                    ","WILLIAMSBURG-EAST","R4-ELEVATOR","32","2000","39000","768300","19.7","3429984","88","3-03113-0022","31 GRAHAM AVENUE
Brooklyn, New York 
(40.702363917375, -73.942420003077)","WILLIAMSBURG-EAST","C7-WALK-UP","40","1973","27480","540088","19.65","2410000","88","0.25",,,,,,,,,,,,
"3-08783-7502","1131-R1","2806 23 STREET
Brooklyn, New York 
(40.578141271322, -73.99051605946)","3",,,,,,,,,,"SHEEPSHEAD BAY","R4-ELEVATOR","12","2001","18590","371800","20","1660006","89","3-06782-0026","2120 OCEAN AVENUE
Brooklyn, New York 
(40.610081747554, -73.953535175497)","MADISON","C1-WALK-UP","20","2005","26750","556400","20.8","2490000","93","1.85",,,,,,,,,,,,
"3-02264-7507","878-R1","248 WALLABOUT STREET
Brooklyn, New York 
(40.700152512969, -73.953104078486)","3","11206","40.700182","-73.953087","1","33","531","3345247","3022647507","Bedford                                                                    ","WILLIAMSBURG-CENTRAL","R4-ELEVATOR","28","2001","38600","806740","20.9","3609999","94","3-06782-0026","2120 OCEAN AVENUE
Brooklyn, New York 
(40.610081747554, -73.953535175497)","MADISON","C1-WALK-UP","20","2005","26750","556400","20.8","2490000","93","6.2",,,,,,,,,,,,
"3-05667-7501","432-R1","1077 54 STREET
Brooklyn, New York 
(40.635194088163, -73.999868047076)","3","11219","40.635239","-74","12","44","218","3138884","3056677501","Borough Park                                                               ","BOROUGH PARK","R4-ELEVATOR","14","1983","17040","252192","14.8","1000001","59","3-01116-0063","577 PROSPECT AVENUE
Brooklyn, New York 
(40.657219978351, -73.979022307425)","WINDSOR TERRACE","C7-WALK-UP","13","2001","24360","359318","14.75","1420000","58","1.9",,,,,,,,,,,,
"3-04793-7502","1437-R1","523 BROOKLYN AVENUE
Brooklyn, New York 
(42.433188999772, -78.748646000413)","3","11225","40.661724","-73.945538","9","40","806","3387913","3047937502","Prospect Lefferts Gardens-Wingate                                          ","FLATBUSH-NORTH","R2-WALK-UP","16","2004","24834","214814","8.65","707996","28.5","3-00539-0014","64 9 STREET
Brooklyn, New York 
(40.673488399957, -73.995267045849)","RED HOOK","C7-WALK-UP","24","2001","35410","306251","8.65","1010000","28.5","3.3",,,,,,,,,,,,
"3-01966-7502","1646-R1","252 GREENE AVENUE
Brooklyn, New York 
(40.68724687595, -73.960944765926)","3","11238","40.68726","-73.960996","2","35","231","3056260","3019667502","Clinton Hill                                                               ","CLINTON HILL","R2-WALK-UP","12","1930","9280","141056","15.2","574001","62","3-01946-0004","379 WASHINGTON AVENUE
Brooklyn, New York 
(42.433188999772, -78.748646000413)","CLINTON HILL","D5-ELEVATOR","86","1905","113924","1709714","15.01","6780000","60","0.2",,,,,,,,,,,,
"3-00242-7501","196-R1","205 HICKS STREET
Brooklyn, New York 
(40.695373641613, -73.995747124327)","3","11201","40.695424","-73.995752","2","33","501","3255619","3002427501","Brooklyn Heights-Cobble Hill                                               ","BROOKLYN HEIGHTS","R9-CONDOPS","23","1900","25230","490000","19.42","2190000","87","3-00268-0039","54 LIVINGSTON STREET
Brooklyn, New York 
(40.691755872569, -73.992085899688)","BROOKLYN HEIGHTS","D9-ELEVATOR","32","1900","21040","396484","18.84","1610000","77","0.3",,,,,,,,,,,,
"3-05583-7501","1745-R1","929 40 STREET
Brooklyn, New York 
(40.644982141762, -73.994950684164)","3","11219","40.644969","-73.99497","12","38","110","3392313","3055837501","Sunset Park East                                                           ","BOROUGH PARK","R2-WALK-UP","20","2006","28060","768844","27.4","3729995","133","3-01149-0006","677 CLASSON AVENUE
Brooklyn, New York 
(40.677105851114, -73.959226051565)","CROWN HEIGHTS","C1-WALK-UP","16","1990","6100","166917","27.4","809000","133","2.95",,,,,,,,,,,,
"3-02013-7502","1483-R1","1838 13 STREET
Brooklyn, New York 
(40.60186302107, -73.985231789533)","3",,,,,,,,,,"CLINTON HILL","R2-WALK-UP","11","2005","12942","670602","52","2779998","215","3-01925-0007","213 TAAFFE PLACE
Brooklyn, New York 
(40.692126085764, -73.959746259719)","BEDFORD STUYVESANT","D1-ELEVATOR","90","1935","108000","1812951","16.79","7370000","68","0.7",,,,,,,,,,,,
"3-00320-7503","665-R1","29 TIFFANY PLACE
Brooklyn, New York 
(40.687147246866, -74.000662627095)","3","11231","40.686967","-74.000775","6","39","47","3345585","3003207503","Carroll Gardens-Columbia Street-Red Hook                                   ","COBBLE HILL-WEST","R4-ELEVATOR","71","1930","79058","1715558","21.7","7669996","97","3-01957-0030","50 GREENE AVENUE
Brooklyn, New York 
(40.686143923001, -73.970581220006)","FORT GREENE","D5-ELEVATOR","41","1932","35872","778717","21.71","3480000","97","1.6",,,,,,,,,,,,
"3-00470-7502","1491-R1","191 LUQUER STREET
Brooklyn, New York 
(40.677028270342, -73.997945637821)","3","11231","40.677006","-73.997938","6","39","77","3388738","3004707502","Carroll Gardens-Columbia Street-Red Hook                                   ","CARROLL GARDENS","R4-ELEVATOR","12","0","14037","256315","18.26","1039999","74","3-02097-0015","33 ST FELIX STREET
Brooklyn, New York 
(40.688763113205, -73.977678629515)","FORT GREENE","C1-WALK-UP","32","1984","26890","1566611","58","4420000","164","1.3",,,,,,,,,,,,
"3-00951-7501","34-R1","64 7 AVENUE
Brooklyn, New York 
(42.433188999772, -78.748646000413)","3","11217","40.67553","-73.974746","6","39","159","3019673","3009517501","Park Slope-Gowanus                                                         ","PARK SLOPE","R2-WALK-UP","11","1931","9102","136530","15","540999","59","3-00974-0059","329 3 STREET
Brooklyn, New York 
(42.433188999772, -78.748646000413)","PARK SLOPE","C1-WALK-UP","12","1921","8533","105212","12.33","396000","46.4","0.45",,,,,,,,,,,,
"3-02263-7502","1201-R1","713 BEDFORD AVENUE
Brooklyn, New York 
(40.699433234782, -73.957074671955)","3","11206","40.699407","-73.957094","1","33","531","3378364","3022637502","Bedford                                                                    ","WILLIAMSBURG-CENTRAL","R2-WALK-UP","12","2004","20148","269983","13.4","1010004","50","3-02593-0022","114 CALYER STREET
Brooklyn, New York 
(40.727151658288, -73.956131597072)","GREENPOINT","C1-WALK-UP","11","2005","16000","230080","14.38","912000","57","1.9","3-02132-0016","158 BROADWAY
Brooklyn, New York 
(42.433188999772, -78.748646000413)","WILLIAMSBURG-SOUTH","D7-ELEVATOR","13","2002","24949","347290","13.92","1380000","55","0.8"
"3-01498-7501","446-R1","723 MAC DONOUGH STREET
Brooklyn, New York 
(40.68408958285, -73.917274008398)","3","11233","40.684094","-73.91696","16","41","373","3040192","3014987501","Ocean Hill                                                                 ","OCEAN HILL","R2-WALK-UP","12","1910","13640","154132","11.3","543000","39.8","3-01466-0051","1757 STERLING PLACE
Brooklyn, New York 
(40.670947981899, -73.920480405118)","OCEAN HILL","C1-WALK-UP","32","1910","25160","283301","11.26","999000","39.7","0.95",,,,,,,,,,,,
"3-02403-7501","861-R1","330 WYTHE AVENUE
Brooklyn, New York 
(40.714950761075, -73.964880917976)","3","11249","40.714876","-73.964887","1","33","551","3062888","3024037501","North Side-South Side                                                      ","WILLIAMSBURG-SOUTH","R4-ELEVATOR","74","1914","126785","1559455","12.3","5859995","46.2","3-01925-0007","213 TAAFFE PLACE
Brooklyn, New York 
(40.692126085764, -73.959746259719)","BEDFORD STUYVESANT","D1-ELEVATOR","90","1935","108000","1812951","16.79","7370000","68","1.65",,,,,,,,,,,,
"3-02129-7501","795-R1","53 61 SOUTH 8 STREET
Brooklyn, New York 
(42.433188999772, -78.748646000413)","3",,,,,,,,,,"WILLIAMSBURG-SOUTH","R2-WALK-UP","24","1999","47988","487558","10.16","1650004","34.4","3-07104-0275","23 WHITNEY PLACE
Brooklyn, New York 
(40.597857261515, -73.972723973888)","OCEAN PARKWAY-SOUTH","C1-WALK-UP","84","1949","65268","636892","9.76","2100000","32.2","7.7",,,,,,,,,,,,
"3-01763-7504","1172-R1","195 SPENCER STREET
Brooklyn, New York 
(40.692700408839, -73.954763412472)","3","11205","40.692272","-73.954705","3","33","241","3378319","3017637504","Bedford                                                                    ","BEDFORD STUYVESANT","R4-ELEVATOR","18","2004","24200","484000","20","2160003","89","3-06782-0026","2120 OCEAN AVENUE
Brooklyn, New York 
(40.610081747554, -73.953535175497)","MADISON","C1-WALK-UP","20","2005","26750","556400","20.8","2490000","93","5.7",,,,,,,,,,,,
"3-01931-7501","932-R1","320 WASHINGTON AVENUE
Brooklyn, New York 
(42.433188999772, -78.748646000413)","3","11205","40.689111","-73.966026","2","35","197","3329890","3019317501","Clinton Hill                                                               ","CLINTON HILL","R2-WALK-UP","25","0","29054","416923","14.35","1650001","57","3-02593-0022","114 CALYER STREET
Brooklyn, New York 
(40.727151658288, -73.956131597072)","GREENPOINT","C1-WALK-UP","11","2005","16000","230080","14.38","912000","57","2.65",,,,,,,,,,,,
"3-08720-7505","1016-R1","75 OCEANA DRIVE
Brooklyn, New York 
(40.611934764118, -74.033837832689)","3",,,,,,,,,,"BRIGHTON BEACH","R4-ELEVATOR","70","2002","83058","1528267","18.4","6219991","75","3-02145-0018","440 BERRY STREET
Brooklyn, New York 
(42.433188999772, -78.748646000413)","WILLIAMSBURG-SOUTH","D9-ELEVATOR","66","1995","58430","2208654","37.8","11100000","190","9.1",,,,,,,,,,,,
"3-01089-7501","1597-R1","570 7 STREET
Brooklyn, New York 
(42.433188999772, -78.748646000413)","3","11215","40.666429","-73.977121","6","39","167","3390785","3010897501","Park Slope-Gowanus                                                         ","PARK SLOPE","R2-WALK-UP","15","2006","10911","140751","12.9","529000","48.5","3-00946-0047","152 5 AVENUE
Brooklyn, New York 
(40.678227014745, -73.979275435183)","PARK SLOPE","C7-WALK-UP","11","1920","8000","132993","16.62","541000","68","0.9","3-00993-0072","277 7 STREET
Brooklyn, New York 
(42.433188999772, -78.748646000413)","PARK SLOPE","C1-WALK-UP","20","1914","14860","183224","12.33","689000","46.4","0.6"
"3-06819-7501","1359-R1","1833 13 STREET
Brooklyn, New York 
(40.602005952339, -73.985189520215)","3",,,,,,,,,,"MADISON","R2-WALK-UP","12","2004","19600","343000","17.5","1400000","71","3-01909-0011","139 EMERSON PLACE
Brooklyn, New York 
(40.693236599772, -73.962056691793)","CLINTON HILL","C1-WALK-UP","50","1946","45670","800018","17.52","3250000","71","6.1",,,,,,,,,,,,
"3-00036-7501","1000-R1","30 MAIN STREET
Brooklyn, New York 
(42.433188999772, -78.748646000413)","3","11201","40.703043","-73.990688","2","33","21","3335867","3000367501","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ","DOWNTOWN-FULTON FERRY","R4-ELEVATOR","87","1910","158053","4333813","27.4","20999999","133","3-02305-0018","193 9 STREET
Brooklyn, New York 
(40.671294521542, -73.99062423891)","WILLIAMSBURG-NORTH","D9-ELEVATOR","68","1930","105718","2684180","25.4","13000000","123","2.2",,,,,,,,,,,,
"3-01124-7502","1930-R1","925 PACIFIC STREET
Brooklyn, New York 
(40.680186651605, -73.963833418833)","3","11238","40.680111","-73.963593","8","35","203","3391761","3011247502","Prospect Heights                                                           ","CROWN HEIGHTS","R2-WALK-UP","15","2005","16004","320080","20","1430001","89","3-01091-0040","136 PROSPECT PARK
Brooklyn, New York 
(40.700570831881, -73.985388274185)","PARK SLOPE","D1-ELEVATOR","18","1931","20562","398394","19.38","1780000","87","1.3","3-01932-0022","309 WASHINGTON AVENUE
Brooklyn, New York 
(42.433188999772, -78.748646000413)","CLINTON HILL","D2-ELEVATOR","35","1905","19291","428587","22.22","1920000","100","0.6"
"3-02875-7501","1295-R1","246 WITHERS STREET
Brooklyn, New York 
(40.717652002757, -73.941629655427)","3","11211","40.717639","-73.941784","1","34","477","3070130","3028757501","East Williamsburg                                                          ","WILLIAMSBURG-EAST","R4-ELEVATOR","25","2003","24897","515367","20.7","2300005","92","3-03023-0013","58 TEN EYCK STREET
Brooklyn, New York 
(40.70974540972, -73.948162765383)","WILLIAMSBURG-EAST","C1-WALK-UP","14","2002","12000","249600","20.8","1120000","93","0.6",,,,,,,,,,,,
"3-02521-7501","1144-R1","84 86
Brooklyn, New York 
(42.433188999772, -78.748646000413)","3",,,,,,,,,,"GREENPOINT","R2-WALK-UP","16","2001","19238","292417","15.2","1190005","62","3-02593-0022","114 CALYER STREET
Brooklyn, New York 
(40.727151658288, -73.956131597072)","GREENPOINT","C1-WALK-UP","11","2005","16000","230080","14.38","912000","57","0.45","3-02721-0004","600 UNION AVENUE
Brooklyn, New York 
(40.718370105081, -73.952301323871)","GREENPOINT","C7-WALK-UP","15","1992","16000","123200","7.7","378000","23.63","1.1"
"3-00036-7502","1073-R1","42 MAIN STREET
Brooklyn, New York 
(42.433188999772, -78.748646000413)","3","11201","40.702659","-73.990702","2","33","21","3000085","3000367502","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ","DOWNTOWN-FULTON FERRY","R4-ELEVATOR","21","1910","23150","488465","21.1","2179997","94","3-00051-0001","65 WASHINGTON STREET
Brooklyn, New York 
(42.433188999772, -78.748646000413)","DOWNTOWN-FULTON FERRY","D5-ELEVATOR","104","1914","123700","2126783","17.19","8650000","70","0.15",,,,,,,,,,,,
"3-01127-7502","1017-R1","636 PACIFIC STREET
Brooklyn, New York 
(40.682478422703, -73.975039087621)","3",,,,,,,,,,"PROSPECT HEIGHTS","R4-ELEVATOR","31","1926","38701","491502","12.7","1850007","47.8","3-08723-0400","1182 BRIGHTON BEACH AVENU
Brooklyn, New York 
(40.577259176581, -73.954631907231)","BRIGHTON BEACH","D1-ELEVATOR","24","2005","33408","616044","18.44","2510000","75","7.4",,,,,,,,,,,,
"3-05130-7501","1924-R1","77 28 STREET
Brooklyn, New York 
(40.601271640939, -73.996881600346)","3",,,,,,,,,,"FLATBUSH-CENTRAL","R2-WALK-UP","20","0","29125","567063","19.47","515000","17.68","3-03326-0065","255 LINDEN STREET
Brooklyn, New York 
(40.697319837715, -73.91559789185)","BUSHWICK","C1-WALK-UP","16","1931","19800","356796","18.02","1450000","73","3.95","3-02096-0014","205 ASHLAND PLACE
Brooklyn, New York 
(40.688964517167, -73.978433754731)","FORT GREENE","C1-WALK-UP","16","1931","25032","510051","20.38","2280000","91","3.2"
"3-05468-7502","129-R2","1865 52 STREET
Brooklyn, New York 
(40.625721130083, -73.981209493374)","3","11204","40.625735","-73.981253","12","44","472","3256719","3054687502","Borough Park                                                               ","BOROUGH PARK","R2-WALK-UP","24","1926","52998","633608","11.96","2230000","42.1","3-05707-0059","843 60 STREET
Brooklyn, New York 
(40.634936024567, -74.008574758407)","BOROUGH PARK","C1-WALK-UP","27","1927","20160","254000","12.6","955000","47.4","1.55",,,,,,,,,,,,
"3-02703-7501","1205-R1","169 ENGERT AVENUE
Brooklyn, New York 
(40.721825701267, -73.943577275917)","3","11222","40.721809","-73.943537","1","33","591","3378399","3027037501","Greenpoint                                                                 ","GREENPOINT","R2-WALK-UP","26","0","23450","405685","17.3","1650003","70","3-00714-0044","4018 5 AVENUE
Brooklyn, New York 
(40.650632160367, -74.004642380768)","SUNSET PARK","C7-WALK-UP","32","1906","25600","398000","15.55","1620000","63","5.9",,,,,,,,,,,,
"3-08812-7501","1562-R1","2801 11 STREET
Brooklyn, New York 
(40.582745408432, -73.958960868262)","3",,,,,,,,,,"SHEEPSHEAD BAY","R4-ELEVATOR","21","2005","21660","710448","32.8","3440004","159","3-00051-0012","65 WASHINGTON STREET
Brooklyn, New York 
(42.433188999772, -78.748646000413)","DOWNTOWN-FULTON FERRY","D7-ELEVATOR","59","2000","50457","1657235","32.8","8030000","159","8.4",,,,,,,,,,,,
"3-02264-7520","1337-R1","593 FLUSHING AVENUE
Brooklyn, New York 
(40.699722293358, -73.950894306815)","3","11206","40.699742","-73.950552","1","33","531","3388752","3022647520","Bedford                                                                    ","WILLIAMSBURG-CENTRAL","R4-ELEVATOR","14","2005","17940","404188","22.53","1810002","101","3-00177-0034","397 ATLANTIC AVENUE
Brooklyn, New York 
(42.433188999772, -78.748646000413)","BOERUM HILL","C1-WALK-UP","13","2004","14800","333422","22.53","1490000","101","1.95",,,,,,,,,,,,
"3-05083-7501","1933-R1","2233 CATON AVENUE
Brooklyn, New York 
(40.653053672385, -73.957712544079)","3","11226","40.652699","-73.956195","14","40","79602","3392235","3050837501","Prospect Lefferts Gardens-Wingate                                          ","FLATBUSH-CENTRAL","R0-CONDOMINIUM","15","0","14055","0","0","1751860","125","3-06683-0052","1965 7 STREET
Brooklyn, New York 
(42.433188999772, -78.748646000413)","OCEAN PARKWAY-SOUTH","D1-ELEVATOR","35","1931","25075","379025","15.12","1070000","42.7","3.4","3-08470-1018","5905 STRICKLAND AVENUE
Brooklyn, New York 
(40.609047457105, -73.914120999897)","MILL BASIN","D9-ELEVATOR","98","2000","107569","4433111","41.2","22300000","207","3.6"
"3-02752-7502","1801-R1","59 CONSELYEA STREET
Brooklyn, New York 
(40.714828282715, -73.948985034411)","3","11211","40.714821","-73.948896","1","34","501","3387774","3027527502","East Williamsburg                                                          ","WILLIAMSBURG-EAST","R2-WALK-UP","12","2005","5405","183121","33.9","960015","178","3-00999-0030","374 7 STREET
Brooklyn, New York 
(42.433188999772, -78.748646000413)","PARK SLOPE","C1-WALK-UP","14","1925","4800","159982","33.3","775000","161","3.65","3-01977-0006","477 CLINTON AVENUE
Brooklyn, New York 
(40.684058396321, -73.966973908408)","CLINTON HILL","C1-WALK-UP","14","1931","5675","191374","33.7","927000","163","2.35"
"3-02251-7502","1699-R1","37 THROOP AVENUE
Brooklyn, New York 
(40.70319937613, -73.947321356726)","3","11206","40.703158","-73.947307","1","33","507","3389461","3022517502","Bedford                                                                    ","WILLIAMSBURG-EAST","R4-ELEVATOR","18","2006","23938","0","0","3179140","133","3-02235-0039","232 LEE AVENUE
Brooklyn, New York 
(40.700935150126, -73.954636558004)","WILLIAMSBURG-CENTRAL","D7-ELEVATOR","14","1931","26070","534435","20.5","2390000","92","0.5","3-02418-0040","145 3 STREET
Brooklyn, New York 
(42.433188999772, -78.748646000413)","WILLIAMSBURG-SOUTH","D1-ELEVATOR","66","2005","59983","1553559","25.9","4390000","73","1"
