"datasetinformation_agency","uid","name","description","type","category","legislativecompliance_datasetfromtheopendataplan","url","update_datemadepublic","update_updatefrequency","last_data_updated_date","legislativecompliance_candatasetfeasiblybeautomated","update_automation","legislativecompliance_hasdatadictionary","legislativecompliance_containsaddress","legislativecompliance_geocoded","legislativecompliance_existsexternallyll1102015","legislativecompliance_externalfrequencyll1102015","legislativecompliance_removedrecords","visits","row_count","column_count","parent_uid","derived_view"
"Office of the Comptroller (COMPTROLLER)","xprg-trsi","Quarterly Bond Update: Variable Bond Outstanding","This data set provides information on outstanding New York city bonds, interest rate exchange agreements, and projected debt service on those bonds","dataset","City Government","Yes","https://data.cityofnewyork.us/d/xprg-trsi",,"Quarterly","2022-06-30T17:07:58.000","No","No","Yes","No","N/A","Yes","Quarterly","No","322","642","7",,"false"
"Department of Education (DOE)","mw3t-6kth","2011-12 Discharge Reporting for Students with Disabilities - HS","Local Law 42, enacted in 2011, requires the New York City Department of Education (DOE) to report to the New York City Council by June 30, 2013 the num ber of students in grades 9 through 12 who were discharged, transferred, or graduated during the 2011-12 school year. This document summarizes and explains reported data for students with disabilities in grades 9 - 12. This law requires the reporting of discharges and 
graduations that occur during one school year.","dataset","Education","Yes","https://data.cityofnewyork.us/d/mw3t-6kth","04/09/2019","Historical data","2019-04-11T19:31:53.000","No","No","Yes","No","N/A","Yes","Historical","No","126","567","6",,"false"
"Department of Finance (DOF)","uqqa-hym2","ACRIS - Personal Property Legals","Property Details for Personal Property Related Documents Recorded in ACRIS","filter","City Government","Yes","https://data.cityofnewyork.us/d/uqqa-hym2","9/23/2013","Monthly","2022-08-08T19:32:42.000","Yes","Yes","Yes","Yes","No","No","N/A","No","9626","3640564",,"aac2-k2a8","true"
"Mayor's Office of Management & Budget (OMB)","46m8-77gv","Capital Budget","This dataset contains capital appropriation data by project type, budget line and source of funds.  Amounts are in whole dollars.  Data is created three times per year for the Preliminary Budget, Executive Budget and Adopted Budget to match appropriation numbers in the Capital Budget publication.","dataset","City Government","No","https://data.cityofnewyork.us/d/46m8-77gv","02/02/2018","Every 4 months","2022-07-18T14:44:00.000","No","No","Yes","No","N/A","Yes","Tri-annually","No","3897","9387","11",,"false"
"Department of Finance (DOF)","5c9e-33xj","ACRIS - State Codes","ACRIS State mapping for Codes in the ACRIS Real and Personal Parties Property Datasets","dataset","City Government","No","https://data.cityofnewyork.us/d/5c9e-33xj","9/23/2013","Monthly","2022-08-08T19:34:19.000","Yes","Yes","Yes","No","N/A","No","N/A","Yes","2103","54","3",,"false"
"Mayor's Office of Climate and Sustainability","evu4-6zyr","Local Law 84 2020 (Monthly Data for Calendar Year 2019)","Monthly whole building electricity and natural gas consumption data in privately owned buildings over 25,000 ft2 and in City-owned buildings over 10,000 ft2. 
 
To understand more about full building characteristics and annual metrics, visit this <a href=""https://data.cityofnewyork.us/Environment/Energy-and-Water-Data-Disclosure-for-Local-Law-84-/wcm8-aq5w"">link</a> to view the annual water and energy consumption data set. Each property in these two data sets can be linked using the “Property ID” column, which serves as a key.","dataset","Environment","YES","https://data.cityofnewyork.us/d/evu4-6zyr","9/30/2021","Historical data","2021-09-28T17:59:22.000","No","No","Yes","No","N/A","No","N/A","No","472","335616","7",,"false"
"Department of Environmental Protection (DEP)","bnkq-6un4","Lead Service Line Location Coordinates","Geographic location of lead water service lines.","map","Environment","Yes","https://data.cityofnewyork.us/d/bnkq-6un4","3/28/2019","Every 6 months","2022-08-23T16:07:28.000","No","No","Yes","No","N/A","Yes","Bi-annually","Yes","3856",,,,"false"
"Department of Youth and Community Development (DYCD)","9f5k-vxxv","DYCD after-school programs: Health Stat","Facilities in New York City, by agency and site, that offer Neighborhood Development Area (NDA) “Health Stat” after-school Family Support Programs. - Department of Youth and Community Development (DYCD).","dataset","Social Services","NO","https://data.cityofnewyork.us/d/9f5k-vxxv","9/2/2011","As needed","2017-09-16T19:01:10.000","No","No","Yes","Yes","Yes","No","N/A","No","742","8","27",,"false"
"Department of Education (DOE)","gix2-d8at","2011-12 Discharge Reporting by Code - HS","Local Law 42, enacted in 2011, requires the New York City Department of Education (DOE) to report to the New York City Council by June 30, 2013 the num ber of students in grades 6 through 12 who were discharged, transferred, or graduated during the 2011-12 school year. This document summarizes and explains reported data for students whom graduated and/or transferred by code category for grades 9 - 12. This law requires the reporting of discharges and graduations that occur during one school year.","dataset","Education","Yes","https://data.cityofnewyork.us/d/gix2-d8at","04/09/2019","Historical data","2019-04-11T18:31:34.000","No","No","Yes","No","N/A","Yes","Historical","No","163","3789","8",,"false"
"Other","ws4c-4g69","HHS Accelerator Past Procurements","Shows procurements released through HHS Accelerator for health and human services for which the proposal deadline has passed. For current and upcoming procurements, visit http://www.nyc.gov/html/hhsaccelerator/html/roadmap/roadmap.shtml. Proposals may be submitted only by prequalified organizations through the City's online system, HHS Accelerator.","dataset","Social Services","No","https://data.cityofnewyork.us/d/ws4c-4g69","12/8/2014","As needed","2014-11-26T20:55:28.000","","No","No","No","N/A","","","","715","594","5",,"false"
"Department of Information Technology & Telecommunications (DoITT)","8s5k-n45n","LinkNYC Kiosk Status (Archived)","This dataset provides a historical listing of LinkNYC Kiosks, their location, and the status of the Link’s wifi, tablet, and phone.  To view the current days status on it own, visit the LinkNYC Kiosk Status dataset at the following link (https://data.cityofnewyork.us/City-Government/LinkNYC-Kiosk-Status/n6c5-95xh)
.  
LinkNYC is a first-of-its-kind communications network that will bring the fastest available free public Wi-Fi to millions of New Yorkers, small businesses, and visitors. Built at no cost to taxpayers, the five-borough LinkNYC network will, through advertising proceeds, generate more than $500 million in revenue for the City over the initiative’s first 12 years. Granted a franchise by the City in 2014, CityBridge will administer construction of the LinkNYC network.
By replacing the aging network of public pay telephones with state-of-the-art Links, CityBridge will transform the physical streetscape, enhance New Yorkers’ access to information, and create new local jobs for the development, servicing and maintenance of the structures.","dataset","City Government","No","https://data.cityofnewyork.us/d/8s5k-n45n","6/28/2018","Historical data","2018-11-20T14:07:29.000","Yes","No","Yes","Yes","Yes","No","N/A","No","979","288199","25",,"false"
"Taxi and Limousine Commission (TLC)","sp7n-275u","Medallion Taxi Initial Inspection Schedule","This is a schedule of Medallion Taxicab initial inspections at the Taxi and Limousine Commission’s Safety and Emissions Facility. This information is also available with the Vehicle Inspection Report (VIR) provided at the time of your last inspection, or on the back of your rate card. Please note that this schedule is tentative and subject to change. This schedule is updated quarterly prior to January, May and September.","dataset","Transportation","NO","https://data.cityofnewyork.us/d/sp7n-275u","9/24/2019","Daily","2022-07-23T13:00:14.000","Yes","Yes","Yes","No","N/A","No","N/A","No","6257","13741","9",,"false"
"Department of Finance (DOF)","scjx-j6np","DOF: Property Charges Balance","Property related charge information by period","dataset","City Government","No","https://data.cityofnewyork.us/d/scjx-j6np",,"Quarterly","2022-03-31T20:50:19.000","No","No","Yes","No","N/A","Yes","Quarterly","No","3957","42476079","35",,"false"
"NYC Independent Budget Office (IBO)","ipc3-2nbm","Personal Income By AGI Range","Number of tax filers/payers and total income by income ranges","dataset","City Government","Yes","https://data.cityofnewyork.us/d/ipc3-2nbm","3/6/2014","As needed","2014-03-06T05:44:15.000","No","No","No","No","N/A","Yes","Annually","No","4994","11","7",,"false"
"Department of Citywide Administrative Services (DCAS)","mdcw-n682","Greenbook","The Green Book Online is a fully searchable database which gives New Yorkers the opportunity to search for the agencies, offices, boards and commissions that keep our City running. It includes listings for New York City, County, Courts, and New York State government offices.","dataset","City Government","Yes","https://data.cityofnewyork.us/d/mdcw-n682","6/22/2015","As needed","2022-08-28T19:54:20.000","Yes","Yes","Yes","No","N/A","Yes","Daily","Yes","29555","2682","23",,"false"
"Department of Housing Preservation and Development (HPD)","59kj-x8nc","Housing Litigations","The Department of Housing Preservation and Development (HPD) Housing Litigation Division (HLD) initiates' actions in the Housing Court against owners of privately-owned buildings to enforce compliance with the housing quality standards contained in the New York State Multiple Dwelling Law and the New York City Housing Maintenance Code.  HLD attorneys also represent HPD when tenants initiate actions against private owners.  HPD is automatically named as party to such actions.  The goal of these court proceedings is to obtain enforceable Orders to Correct, Civil Penalties (fines) and Contempt Sanctions, compelling owners to comply with the Housing Code.","dataset","Housing & Development","YES","https://data.cityofnewyork.us/d/59kj-x8nc","2/14/2014","Monthly","2022-08-01T20:14:45.000","Yes","Yes","Yes","Yes","Yes","No","N/A","No","14169","186773","24",,"false"
"Department of Parks and Recreation (DPR)","krz2-j7bn","Parks Properties Map","This dataset identifies property managed partially or solely by NYC Parks. This data has been produced in whole or part using secondary data. Data accuracy is limited by the scale and accuracy of the original sources. Site-specific conditions should be field-verified. 

Records are added as more land is designated under NYC Parks’ jurisdiction. Each record represents an acquisition. 

User Guide: https://docs.google.com/document/d/1NExNJF5YKID04oOopi0fHainRuGG3Pz_jKSrMujPsPk/edit?usp=sharing

Data Dictionary: https://docs.google.com/spreadsheets/d/1Q4DBWu7riNFxWvy1vnTJHoOI3r2L9oW6eCN56jCNyCw/edit?usp=sharing","map","Recreation",,"https://data.cityofnewyork.us/d/krz2-j7bn",,"Monthly","2022-08-04T13:02:06.000",,"Yes",,,,,,,"1318",,,"enfh-gkve","true"
"Department of Education (DOE)","f5cd-6fbs","Prelim Average Class Size District - K-8th","Preliminary Class Size Report School K-8 Average Class Size 

General Education and Integrated Co-Teaching (ICT) classes and course sections with more than 100 students or fewer than seven students are excluded from this report, as are self-contained courses with fewer than two students.","dataset","Education","No","https://data.cityofnewyork.us/d/f5cd-6fbs","Februray 1, 2021","Annually","2021-02-01T14:38:40.000","No","No","Yes","No","No","N/A","N/A","No","366","874","6",,"false"
"Police Department (NYPD)","uip8-fykc","NYPD Arrest Data (Year to Date)","This is a breakdown of every arrest effected in NYC by the NYPD during the current year.
 This data is manually extracted every quarter and reviewed by the Office of Management Analysis and Planning. 
 Each record represents an arrest effected in NYC by the NYPD and includes information about the type of crime, the location and time of enforcement. 
In addition, information related to suspect demographics is also included. 
This data can be used by the public to explore the nature of police enforcement activity. 
Please refer to the attached data footnotes for additional information about this dataset.","dataset","Public Safety","Yes","https://data.cityofnewyork.us/d/uip8-fykc","11/1/2018","Quarterly","2022-07-15T15:06:41.000","No","No","Yes","No","N/A","No","N/A","No","115689","93238","24",,"false"
"Department of Housing Preservation and Development (HPD)","a2nx-4u46","Complaint Problems","<i>NOTE: HPD is working to merge its Complaints and Complaint Problems open datasets. The merge will make it easier for everyday New Yorkers to link complaint problems to building address, allowing the public to more easily identify complaints and complaint problems that have been issued in their buildings. 
Should you have concerns, suggestions, or questions about this change, please email the HPD Open Data team at <a href=""opendata@hpd.nyc.gov
"">opendata@hpd.nyc.gov</a>.</i>
<br> 
The Department of Housing Preservation and Development (HPD) records complaints that are made by the public through the 311 Citizen Services Center, Code Enforcement Borough Offices or the internet for conditions which violate the New York City Housing Maintenance Code (HMC) or the New York State Multiple Dwelling Law (MDL). Each complaint is associated with one or more problems reported by the complainant. Problems are closed if a tenant verifies by phone that the condition was corrected or an inspection result is entered by an HPD inspector. A complaint is closed when all associated problems
are closed.","dataset","Housing & Development","No","https://data.cityofnewyork.us/d/a2nx-4u46","2/14/2014","Monthly","2022-08-02T19:31:43.000","Yes","Yes","Yes","No","N/A","Yes","Monthly","No","10129","5016187","18",,"false"
"Department of Health and Mental Hygiene (DOHMH)","vajk-p37e","DOHMH COVID-19 Antibody-by-Neighborhood Poverty","This dataset contains information on antibody testing for COVID-19: the number of people who received a test, the number of people with positive results, the percentage of people tested who tested positive, and the rate of testing per 100,000 people, stratified by ZIP Code Tabulation Area (ZCTA) neighborhood poverty group. These data can also be accessed here: https://github.com/nychealth/coronavirus-data/blob/master/totals/antibody-by-poverty.csv 


Exposure to COVID-19 can be detected by measuring antibodies to the disease in a person’s blood, which can indicate that a person may have had an immune response to the virus. Antibodies are proteins produced by the body’s immune system that can be found in the blood. People can test positive for antibodies after they have been exposed, sometimes when they no longer test positive for the virus itself. It is important to note that the science around COVID-19 antibody tests is evolving rapidly and there is still much uncertainty about what individual antibody test results mean for a single person and what population-level antibody test results mean for understanding the epidemiology of COVID-19 at a population level.

These data only provide information on people tested. People receiving an antibody test do not reflect all people in New York City; therefore, these data may not reflect antibody prevalence among all New Yorkers. Increasing instances of screening programs further impact the generalizability of these data, as screening programs influence who and how many people are tested over time. Examples of screening programs in NYC include: employers screening their workers (e.g., hospitals), and long-term care facilities screening their residents.

In addition, there may be potential biases toward people receiving an antibody test who have a positive result because people who were previously ill are preferentially seeking testing, in addition to the testing of persons with higher exposure (e.g., health care workers, first responders.)

Neighborhood-level poverty groups were classified in a manner consistent with Health Department practices to describe and monitor disparities in health in NYC. Neighborhood poverty measures are defined as the percentage of people earning below the Federal Poverty Threshold (FPT) within a ZCTA. The standard cut-points for defining categories of neighborhood-level poverty in NYC are:
•	Low: <10% of residents in ZCTA living below the FPT
•	Medium: 10% to <20%
•	High: 20% to <30%
•	Very high: ≥30% residents living below the FPT
The ZCTAs used for classification reflect the first non-missing address within NYC for each person reported with an antibody test result.

Rates were calculated using interpolated intercensal population estimates updated in 2019. These rates differ from previously reported rates based on the 2000 Census or previous versions of population estimates. The Health Department produced these population estimates based on estimates from the U.S. Census Bureau and NYC Department of City Planning. Rates for poverty were calculated using direct standardization for age at diagnosis and weighting by the US 2000 standard population.
Antibody tests are categorized based on the date of specimen collection and are aggregated by full weeks starting each Sunday and ending on Saturday. For example, a person whose blood was collected for antibody testing on Wednesday, May 6 would be categorized as tested during the week ending May 9. A person tested twice in one week would only be counted once in that week. This dataset includes testing data beginning April 5, 2020.

Data are updated daily, and the dataset preserves historical records and source data changes, so each extract date reflects the current copy of the data as of that date. For example, an extract date of 11/04/2020 and extract date of 11/03/2020 will both contain all records as they were as of that extract date. Without filtering or grouping by extract date, an analysis will almost certain","dataset","Health","No","https://data.cityofnewyork.us/d/vajk-p37e",,"Daily","2022-08-28T04:01:35.000","Yes","Yes","Yes","No","N/A","Yes","Daily","N/A","645","4","5",,"false"
"School Construction Authority (SCA)","dzgh-ja44","Projects in Construction Map","New school projects (Capacity) and Capital Improvement Projects (CIP) currently under Construction.","map","Housing & Development","No","https://data.cityofnewyork.us/d/dzgh-ja44","10/8/2011","As needed","2022-08-08T15:41:02.000","No","No","Yes","Yes","Yes","Yes","Quarterly","No","59791","0",,"8586-3zfm","true"
"Department of Education (DOE)","38ib-pjw5","2005 - 2011 Graduation Outcomes - Citywide - ELL","Latest available data and trends in graduation and dropout outcomes disaggregated by English Language Learner status.","dataset","Education","No","https://data.cityofnewyork.us/d/38ib-pjw5","2/21/2013","Historical data","2013-02-21T02:32:05.000","No","No","Yes","No","N/A","No","N/A","No","475","46","22",,"false"
"Department of Education (DOE)","bmxv-h8uk","2016 - 2017 Suspension Report NYPD Contact","Suspensions reported by Student in Temporary Housing (STB), Student with Disabilities, Race, Gender, English Language Learner (ELL), Date of Birth, Grade Level","file","Education","Yes","https://data.cityofnewyork.us/d/bmxv-h8uk","May 8 2019","Annually","2019-05-08T14:39:06.000","No","No","Yes","N/A","N/A","N/A","N/A","No","145",,,,"false"
"Mayor's Office of Climate Resiliency","ebsy-4b6x","2020s Mean Monthly High Water","Future Mean Monthly High Water (MMHW) projections released by the NPCC March 2019.","map","Environment","YES","https://data.cityofnewyork.us/d/ebsy-4b6x","4/8/2019","As needed","2019-03-26T18:29:45.000","No","No","Yes","No","N/A","No","N/A","No","534",,,,"false"
"Department of Sanitation (DSNY)","fpv2-r9br","DSNY Districts With Disposal Vendor Assignments","The vendors used to discard various materials (refuse, paper, metal/glass/plastic, bulk metal, and organics) collected in DSNY districts.","dataset","City Government","No","https://data.cityofnewyork.us/d/fpv2-r9br",,"Monthly","2022-08-28T10:17:38.000","Yes","Yes","Yes","Yes","N/A","Yes","Monthly","No","646","59","31",,"false"
"Department of Information Technology & Telecommunications (DoITT)","hrii-hezj","Botanical Gardens","Botanical Gardens","map","Environment","NO","https://data.cityofnewyork.us/d/hrii-hezj","6/28/2013","As needed","2013-04-05T16:42:57.000","No","No","No","No","N/A","No","N/A","No","2857",,,,"false"
"Department of Information Technology & Telecommunications (DoITT)","s4kf-3yrf","LinkNYC Locations","LinkNYC is replacing the City’s outdated public telephones with a network of kiosks that provide free high-speed Wi-Fi, nationwide calling, a dedicated 911 button, charging ports for mobile devices, and access to selected websites. This dataset lists locations where a LinkNYC kiosk has been installed, including sites that have replaced public pay telephones (PPT) and new sites that have been reviewed by community and elected officials.  The Project Status field indicates whether the Link is already active or is still in the process of being connected to electric power and telecommunications fiber.","dataset","Social Services","N/A","https://data.cityofnewyork.us/d/s4kf-3yrf","4/13/2016","As needed","2022-08-09T20:34:40.000","No","No","Yes","Yes","Yes","No","N/A","No","9957","1940","30",,"false"
"Department of Education (DOE)","qybk-bjjc","2010 - 2016 School Safety Report","Since 1998, the New York City Police Department (NYPD) has been tasked with the collection and maintenance of crime data for incidents that occur in New York City public schools. The NYPD has provided this data to the New York City Department of Education (DOE). The DOE has compiled this data by schools and locations for the information of our parents and students, our teachers and staff, and the general public. 
In some instances, several Department of Education learning communities co-exist within a single building. In other instances, a single school has locations in several different buildings. In either of these instances, the data presented here is aggregated by building location rather than by school, since safety is always a building-wide issue. We use “consolidated locations” throughout the presentation of the data to indicate the numbers of incidents in buildings that include more than one learning community.","dataset","Education","No","https://data.cityofnewyork.us/d/qybk-bjjc","2/21/2013","Historical data","2017-09-16T14:21:05.000","No","No","Yes","Yes","Yes","Yes","Historical","No","11034","6310","34",,"false"
"Department of Education (DOE)","au8p-qz8c","2017 - 2018 Diversity Report Pre-Kindergarten","Demographic information on DOE and NYCEEC Pre-Kindergarten sites","dataset","Education","YES","https://data.cityofnewyork.us/d/au8p-qz8c","12/17/2018","Historical data","2018-12-17T19:47:53.000","No","No","Yes","No","N/A","Yes","Historical","No","238","1839","19",,"false"
"Human Resources Administration (HRA)","tc6u-8rnp","Directory of SNAP Centers","List of SNAP Centers in New York City by Borough","dataset","Social Services","NO","https://data.cityofnewyork.us/d/tc6u-8rnp","3/19/2013","Annually","2021-12-15T21:31:05.000","Yes","No","Yes","Yes","Yes","Yes","As-Needed","No","4586","15","16",,"false"
"Department of Health and Mental Hygiene (DOHMH)","p373-rwkn","NYC Condom Availability Program - Inactive HIV condom distribution locations","This is a list of all in-active venues which were once listed on the NYC HealthMap. In-active venues may have been re-activated and now posted on the NYC HealthMap and within the “NYC Condom Availability Program HIV Condom Distribution Locations OpenData publication ( https://data.cityofnewyork.us/Health/NYC-Condom-Availability-Program-HIV-condom-distrib/4kpn-sezh 
</p>
The NYC Condom Availability Program maintains a robust list of active venues where New York City (NYC) residents may access free safer sex products across all 5 boroughs of NYC. The active venue list can be found in OpenData by searching “Condoms” or using this hyperlink: https://data.cityofnewyork.us/Health/NYC-Condom-Availability-Program-HIV-condom-distrib/4kpn-sezh
In accordance with NYC OpenData laws (https://opendata.cityofnewyork.us/open-data-law/ ) DOHMH publishes this list of venues which are no longer actively listed on the NYC HealthMap.
There are a variety of reasons a venue would be removed from the NYC HealthMap:
(1) Venue closed or changed ownership
(2) Venue no longer wishes to be advertised to the public
(3) Venue no longer distributes free safer sex products
(4) Venue was removed from the NYC HealthMap because they did not re-confirming that free safer sex products are available – this could also happen temporarily. 
Data duplication w/ inactive sheet. There are many years of historical data available within this sheet. Users will notice that many of those rows are duplicates. There are many reasons behind this; chiefly because data is refreshed hourly within DOHMH systems—causing a long historic trail of updated data. 
This dataset does not represent all locations which received orders of free safer sex products from NYC DOHMH nor have the listed venues [locations] been endorsed by NYC DOHMH.","dataset","Health","No","https://data.cityofnewyork.us/d/p373-rwkn","11/18/2019","Monthly","2022-08-26T07:34:03.000","Yes","Yes","Yes","Yes","Yes","Yes","Monthly","No","643","445560","35",,"false"
"Department of Education (DOE)","mq6n-s45c","Energy Usage From DOE Buildings","Energy data from a select portfolio of City-owned buildings (DOE)","dataset","Environment","No","https://data.cityofnewyork.us/d/mq6n-s45c","9/6/2012","As needed","2017-09-26T19:57:50.000","No","No","Yes","Yes","Yes","Yes","As-Needed","No","5278","153","62",,"false"
"Department of Environmental Protection (DEP)","bkwf-xfky","Drinking Water Quality Distribution Monitoring Data","The data tables summarize the turbidity values, coliform, fluoride and chlorine found at sides in distribution each month.","dataset","Environment","Yes","https://data.cityofnewyork.us/d/bkwf-xfky","2/24/2015","Monthly","2022-08-11T18:59:34.000","Yes","No","Yes","No","N/A","No","N/A","No","11008","116124","10",,"false"
"Department of Environmental Protection (DEP)","4k4u-823g","Water and Sewer Permits (Historic)","The DEP Application and Permit data will contain information about the different types of applications approved and permits issued on a regular basis. For the latest information, please refer to  the <a href=""https://data.cityofnewyork.us/dataset/Water-and-Sewer-Permits/hphy-6g7m"">Water and Sewer Permits</a> dataset.","dataset","Environment","YES","https://data.cityofnewyork.us/d/4k4u-823g","1/7/2019","Historical data","2021-10-05T15:52:30.000","Yes","No","Yes","No","N/A","No","N/A","No","3307","37685","9",,"false"
"Department of Sanitation (DSNY)","i6mn-amj2","DSNY Districts","This dataset contains a shape file of DSNY Districts. For operations management, the NYC Department of Sanitation (DSNY) divides the City into seven operation zones (Manhattan, Bronx, Brooklyn North, Brooklyn South, Queens West, Queens East, and Staten Island). These zones are further divided into 59 Sanitation Districts. The boundary for each DSNY district is congruent with NYC Community District boundaries.","dataset","City Government","No","https://data.cityofnewyork.us/d/i6mn-amj2",,"Monthly","2022-08-28T10:01:33.000","Yes","Yes","Yes","No","N/A","Yes","Monthly","No","1388","59","7",,"false"
"Department of Health and Mental Hygiene (DOHMH)","gjm4-k24g","Self-Reported Drinking Water Tank Inspection Results","Inspection results.

NYC Health Code requires that building drinking water storage tanks be inspected annually and that the results of these inspections be reported to the Health Department (NYC DOHMH). To report specific inspection findings related to public safety and sanitary conditions, owners or their representatives fill out a questionnaire provided by DOHMH.  This dataset is the non-administrative subset of owner-reported information.  Reported data have not been verified by a City Agency.","dataset","Health","NO","https://data.cityofnewyork.us/d/gjm4-k24g","6/5/2018","Weekly","2022-08-26T16:20:45.000","Yes","Yes","Yes","Yes","Yes","Yes","As-Needed","No","4610","38784","49",,"false"
"Department of Cultural Affairs (DCLA)","7hgn-sgmk","DCLA Cultural Organizations Capital Funding","Organizations awarded Capital Projects funding","dataset","City Government","Yes","https://data.cityofnewyork.us/d/7hgn-sgmk","4/6/2017","As needed","2021-06-18T19:42:42.000","No","No","Yes","No","N/A","No","N/A","No","1400","408","6",,"false"
"Department of Education (DOE)","3wfy-sn5g","2005 - 2020 Quality Review Ratings","Yearly data of Quality Review ratings from 2005 to 2020
This data can be used to review historical ratings for schools and compare ratings across time
Schools do not receive a Quality Review every year. Data are provided for all schools that received a Quality Review that school year, current and closed. The Quality Review rating scale is not uniform across all years (see column info tab for more detail).","dataset","Education","No","https://data.cityofnewyork.us/d/3wfy-sn5g","10/24/2018","Historical data","2021-01-21T20:18:58.000","No","No","Yes","No","N/A","No","N/A","No","4361","9009","45",,"false"
"Business Integrity Commission (BIC)","cspg-yi7g","Construction Demolition Registrants","Companies listed as of the most recent export date have been issued registrations by the Business Integrity Commission authorizing them to collect, and remove only waste materials resulting from building demolition, construction, alteration or excavation.

This data is collected on the entities that apply with the commission to operate as Class 2 C&D Registrants 

Each record represents an entity that is approved to operate in the City of New York by the Commission. 

The  Application Type field denotes the class of application 'CL2-Exempt'  noting the type of applicant which is a C&D Registrant They are able to pickup only waste resulting from demolition, construction alteration or excavation processes throughout the city.

The BIC Number field is unique to every company that applies to the Commission.","dataset","City Government","Yes","https://data.cityofnewyork.us/d/cspg-yi7g","4/4/2017","Daily","2022-08-26T19:46:23.000","Yes","Yes","Yes","Yes","Yes","No","N/A","No","19761","1525187","25",,"false"
"Department of Transportation (DOT)","2cav-chmn","Street Pavement Rating","The New York City Department of Transportation is responsible for keeping the City's streets in good repair. The Agency performs ongoing assessment of New York City streets. Ratings are based on a scale from 1 to 10, and results are grouped in the following categories: Good (%) - ratings of 8 to 10, Fair (%) - ratings of 4 to 7, and Poor (%) - ratings of 1 to 3. This data will allow you to create a map.","map","Transportation","YES","https://data.cityofnewyork.us/d/2cav-chmn","7/14/2015","Monthly","2022-02-03T20:48:14.000","Yes","Yes","Yes","No","N/A","Yes","As-Needed","No","10247",,,,"false"
"Department of Parks and Recreation (DPR)","yp6n-7jdy","Parks Inspection Program – Comfort Station Room Inspections","This dataset contains overall condition ratings for comfort station rooms and counts of room amenities/items. Each row represents a single room inspection.

Data Dictionary and User Guide can be found <a href=""https://docs.google.com/spreadsheets/d/17LSfFUkhHPHJS4hszOYMVmVyU3xVF7J_dILhtIwWKKA/edit?usp=sharing"">here</a>.

A complete list of all datasets in the series can be found <a href=""https://data.cityofnewyork.us/browse?Data-Collection_Data-Collection=Parks%20Inspection%20Program%20(PIP)&sortBy=alpha"">here</a>.","dataset","City Government","Yes","https://data.cityofnewyork.us/d/yp6n-7jdy","10/10/2018","Quarterly","2022-08-28T13:02:00.000","Yes","Yes","Yes","No","N/A","Yes","Quarterly","No","695","47422","22",,"false"
"Department of Information Technology & Telecommunications (DoITT)","7sc8-jtbz","Topobathymetric LiDAR Data (2017)","Topographic and bathymetric LiDAR data was collected for New York City in 2017.  Topographic data was collected for the entire city, plus an additional 100 meter buffer, using a Leica ALS80 sensor equipped to capture at least 8 pulse/m<sup>2</sup>. Dates of capture for topographic data were between 05/03/2017 and 05/17/2017 during 50% leaf-off conditions. Bathymetric data was collected in select areas of the city (where bathymetric data capture was expected) using a Riegl VQ-880-G sensor equipped to capture approximately 15 pulses/m<sup>2</sup> (1.5 Secchi depths). Dates of capture for bathymetric were between 07/04/2017 - 07/26/2017. LiDAR data was tidally-coordinated and captured between mean lower low water (+30% of mean tide) ranges.</p>
The horizontal datum for all datasets is NAD83, the vertical datum is NAVD88, Geoid 12B, and the data is projected in New York State Plane - Long Island. Units are in US Survey Feet. </p>
To learn more about these datasets, visit the interactive “Understanding the 2017 New York City LiDAR Capture” Story Map -- https://maps.nyc.gov/lidar/2017/
Please see the following link for additional documentation on this dataset -- https://github.com/CityOfNewYork/nyc-geo-metadata/blob/master/Metadata/Metadata_LiDAR_Summary.md</p>
The following datasets are available for download via the New York State GIS Clearinghouse. </p>
The following links direct to the New York State website which includes links to download. Users may use the <a href=""https://orthos.dhses.ny.gov/?Extent=-9603624.133747088,4774299.7366908705,-7659066.134172721,5795498.434580554&Layers=07_meter_dem_index_usgs,1_meter_dem_index_fema,1_meter_dem_index_usgs,1_meter_dem_index_tidal_water,1_meter_dem_index_hydro_flattened,1_meter_dem_index_usda_utm18n,1_meter_dem_index_usda_utm17n,1_meter_dem_index_nys,2_meter_dem_index_ne_lidar,2_meter_dem_index_nys,2_meter_dem_index_fema,2_meter_dem_index_monroe_county,2_meter_dem_index_tompkins_county,2_meter_dem_index_erie_county&layerGroups=DEMIndexes,Orthoimagery&rightMenu=0"">statewide interactive DEM download application</a> to download specific areas of interest (hydroflattened DEM and classified point clouds only). Tile index for DEMs on the application correspond to tile indexes for hydro-enforced and digital surface models.","href","City Government","No","https://data.cityofnewyork.us/d/7sc8-jtbz","3/11/2019","As needed","2018-12-12T18:21:36.000","No","No","Yes","No","N/A","No","N/A","No","5854",,,,"false"
