"id","name_of_business","short_description","address","city","state","zip","phone_number","which_type_of_business_is_this","business_website_or_other_url","borough","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"462","Sole di Capri","Italian cafe","165 Church St","New York","NY","10007","(212) 513-1113","Food and Beverage","http://soledicapriny.com/","MANHATTAN","40.71515","-74.007752","1","1","21","1001631","1001490014","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"463","Cove Lounge","Restaurant","325 Malcolm X Blvd","New York","NY","10027","(212) 665-3455","Food and Beverage","https://www.covelounge.com/","MANHATTAN","40.808653","-73.944858","10","9","224","1057864","1019110031","Central Harlem North-Polo Grounds                                          "
"464","Hoodwinked Escape","Escape Games","151 West 116th Street","New York","NY","10026","(212) 662-2583","Other","http://hoodwinkedescape.com/","MANHATTAN","40.802629","-73.951101","10","9","218","1057392","1019010001","Central Harlem South                                                       "
"465","Levels Barbershop","Barber Shop","425 West 125th Street","New York","NY","10027","(212) 663-6144","Service","http://www.levelsbarbershop.com/","MANHATTAN","40.812108","-73.955154","9","7","20901","1059545","1019660052","Morningside Heights                                                        "
"466","B2 Harlem","Restaurant","271 West 119th Street","New York","NY","10026","(212) 280-2248","Food and Beverage","https://www.b2harlem.com/","MANHATTAN","40.805973","-73.953027","10","9","220","1058443","1019250005","Central Harlem South                                                       "
"467","Lolo's Seafood Shack","Seafood Restaurant","303 W 116th St","New York","NY","10026","(646) 649-3356","Food and Beverage","http://www.lolosseafoodshack.com/menu/","MANHATTAN","40.804538","-73.955625","10","9","20102","1059048","1019430128","Central Harlem South                                                       "
"468","Collier West","Antique, Jewerly, Home Decor and artwork","377a Atlantic Avenue","New York","NY","11217","(718) 254-9378","Retail","https://collierwest.com","BROOKLYN ","40.687315","-73.985793","2","33","41","3000683","3001770044","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"469","Atlas Showroom","Handmade and luxury Décor from Morocco","141 Atlantic Avenue","New York","NY","11209","(646) 548-3588","Retail","https://atlasshowroom.com","BROOKLYN ","40.69053","-73.995377","2","33","7","3250402","3002757501","Brooklyn Heights-Cobble Hill                                               "
"470","Power Button","Phone Repair Shop, Phone Sales, Plan Activations","83-15 37th Avenue","Jackson Heights","NY","11372",,"Retail","https://www.facebook.com/powerbuttonco/","QUEENS   ","40.749878","-73.88315","3","25","281","4035828","4014570034","Jackson Heights                                                            "
"471","Music Matters","""Music store with CDs, books, and supplies with a smile""","413 7th Ave","Brooklyn","NY","11215","(718) 369-7087","Retail","https://www.facebook.com/musicmatterstome/","BROOKLYN ","40.664215","-73.983801","6","39","149","3026463","3011000006","Park Slope-Gowanus                                                         "
"472","ORAIKO","Software, Web Design and Online Marketing Company","11 Broadway Suite 1051","New York","NY","10004","(212) 483-1000","Service","http://oraiko.com/","MANHATTAN","40.705354","-74.013731","1","1","13","1000044","1000130005","Battery Park City-Lower Manhattan                                          "
"473","SOS Locksmith","NYC Locksmith since 1973","197 7th Ave ","New York","NY",,"(212) 206-7777","Service","http://soslocksmith.com/",,,,,,,,,
"474","The Famous Emilio's Pizza","""Best pizza in NYC""","2020 Eastchester Rd","Bronx","NY","10461","(718) 684-4918","Food and Beverage","http://www.famousemiliospizzabronx.com","BRONX    ","40.853859","-73.84344","11","13","296","2088563","2042180006","Pelham Parkway                                                             "
"475","mph Courier Service","Courier Service","31 West 34th Street","New York","NY","10001","(212) 239-1818","Service","http://mphny.com","MANHATTAN","40.749256","-73.98648","5","4","76","1083638","1008360010","Midtown-Midtown South                                                      "
"476","Styles Beauty Lounge","Hair Salon","17-19 West 45th Street  7th Floor","New York","NY","10018","(212) 730-6488","Service","http://www.stylesbeautylounge.com/","MANHATTAN","40.755774","-73.980332","5","4","96","1034248","1012610027","Midtown-Midtown South                                                      "
"477","Lion Lion Bar","""New sexy cocktail bar right in the heart of El Barrio. Happy Hour is a must!""","332 East 116th Street","New York","NY","10029","(917) 262-0517","Food and Beverage","https://www.facebook.com/lionlionbareastharlem/","MANHATTAN","40.7966","-73.936835","11","8","188","1052943","1016870137","East Harlem North                                                          "
"479","Aeon Martial Arts","Martial arts school","69-21 164 street","Fresh Meadows","NY","11365","(718) 380-2366","Service","https://m.facebook.com/AEON-Martial-ARTS-170020150036240/","QUEENS   ","40.7327","-73.804997","8","24","122701","4000000","4069310038","Pomonok-Flushing Heights-Hillcrest                                         "
"480","All Wolves No Sheep","Tattoo parlour","920 Fulton st.","Brooklyn","NY","11203","(718) 825-4629","Service","https://www.allwolvesnosheep.com/","BROOKLYN ","40.682908","-73.964186","2","35","201","3335108","3020130033","Clinton Hill                                                               "
"481","Sip and Screen","Movie Theater","2031 Adam Clayton Powell Blvd. New York","New York","NY","10027",,"Other","https://sipandscreen.splashthat.com/","MANHATTAN","40.806748","-73.949938","10","9","220","1057700","1019060064","Central Harlem South                                                       "
"482","Harlem Cycle","Fitness Studio","2350 Adam Clayton Powell Blvd","New York","NY","10030","(646) 404-2891","Service","https://www.facebook.com/harlemcycle/","MANHATTAN","40.817002","-73.942474","10","9","228","1060222","1020230034","Central Harlem North-Polo Grounds                                          "
"483","Spirare Cleaning & Tailoring Center","""Dry Cleaning/Laundry/Tailoring Center-Excellent work done, friendly staff""","84-20A Jamaica Avenue","Woodhaven","NY","11421","(347) 489-3113","Service",,"QUEENS   ","40.692478","-73.859393","9","32","10","4183717","4089190024","Woodhaven                                                                  "
"484","Paul Pellicoro's Dancesport 34th Street","Social & Profession Latin & Ballroom Dance Instruction","22 West 34th St  4th Floor","New York","NY","10001",,"Service","http://Dancesport.com","MANHATTAN","40.749176","-73.98634","5","4","76","1083636","1008350056","Midtown-Midtown South                                                      "
"485","A Uno Tribeca","Women's clothing shop","123 West Broadway","New York","NY","10013","(212) 227-6233","Retail","http://www.aunotribeca.com/","MANHATTAN","40.71638","-74.008531","1","1","33","1001599","1001467502","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"486","Maite","Restaurant","159 Central Ave","Brooklyn","NY","11221",,"Food and Beverage","http://www.maitebushwick.com","BROOKLYN ","40.699043","-73.926815","4","34","423","3072901","3032080001","Bushwick South                                                             "
"487","WhenLoveWorks Coaching","Interactive Relationship Coaching for personal and professional development"," ","New York","NY","10035","(917) 268-6424","Service","http://www.whenloveworks.com",,,,,,,,,
"488","Urban Yoga Foundation","Yoga studio","549 W 152nd St","New York","NY","10031","(212) 234-2371","Other","http://www.urbanyogafoundation.org/","MANHATTAN","40.830227","-73.945729","9","7","237","1062219","1020840008","Hamilton Heights                                                           "
"489","Jin's Superette","""The best bodega ever""","804 W 181st St","New York","NY","10033","(212) 923-4937","Retail",,"MANHATTAN","40.850979","-73.938562","12","10","265","1064298","1021770100","Washington Heights South                                                   "
"490","Lucy's Vietnamese Kitchen","""Neighborhood vietnamese restaurant, open by bushwick native!""","262 Irving Avenue","Brooklyn","NY","11237","(718) 483-9837","Food and Beverage","http://www.lucyskitchenny.com","BROOKLYN ","40.699837","-73.915836","4","37","433","3075716","3033090026","Bushwick North                                                             "
"491","Anthony Aiden","""Eyewear institution in the East Village since 1989""","42 St. Marks Place","New York","NY","10003","(212) 533-1577","Retail","http://anthonyaidenopticians.com","MANHATTAN","40.728382","-73.987188","3","2","38","1006315","1004497501","East Village                                                               "
"492","Swallow Cafe","Coffee shop","156 Atlantic Avenue","Brooklyn","NY","11206","(347) 689-4192","Food and Beverage",,"BROOKLYN ","40.69031","-73.994645","6","39","45","3002955","3002850027","Carroll Gardens-Columbia Street-Red Hook                                   "
"493","MEE CAFE","""Small bubble tea shop""","26 Rutgers Street","New York City","NY","10002","(646) 996-0029","Food and Beverage",,"MANHATTAN","40.71305","-73.990069","3","1","6","1003256","1002730024","Lower East Side                                                            "
"494","Do or Die Tattoo","Tattoo Shop","44 Wyckoff Avenue","Brooklyn","NY","11237","(929) 210-9117","Service","https://www.facebook.com/DoOrDieTattoo/","BROOKLYN ","40.705852","-73.921719","4","34","447","3072772","3031990036","Bushwick North                                                             "
"495","Papel New York","Paperie and Gift Shop","225 Court Street","Brooklyn","NY","11201","(718) 422-0255","Retail","http://www.papelnewyork.com","BROOKLYN ","40.686341","-73.993971","6","33","69","3006300","3003960009","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"496","Arabella's Castle","""Elegant Banquet hall for any events or occasions""","92-01 101st Avenue","Ozone Park","NY","11416","(516) 361-2894","Other","http://www.arabellacastle.com/","QUEENS   ","40.68359","-73.848411","9","32","38","4188550","4090660039","Woodhaven                                                                  "
"497","Loom Yoga","Yoga studio","1087 Flushing Avenue","Brooklyn","NY","11237",,"Other","https://loomyoga.com/","BROOKLYN ","40.704819","-73.928504","1","34","453","3070752","3030140014","Bushwick North                                                             "
"498","Mixtape","Coffee shop","1533 Myrtle Avenue","Brooklyn","NY","11237",,"Food and Beverage","https://www.facebook.com/MixtapeBK/","BROOKLYN ","40.699262","-73.914056","4","37","441","3076174","3033280005","Bushwick North                                                             "
"499","Milk & Pull","Coffee Shop","181 Irving Avenue","Brooklyn","NY","11237","(347) 627-8511","Food and Beverage","http://www.milkandpull.com/","BROOKLYN ","40.701989","-73.919577","4","37","443","3074221","3032590003","Bushwick North                                                             "
"500","Norberts Pizza","""Owner Operated Small Pizza Place in Bushwick / Bed Stuy""","4 Stuyvesant Avenue","Brooklyn","NY","11221","(718) 574-3400","Food and Beverage","http://norbertspizza.com","BROOKLYN ","40.696591","-73.934781","3","36","287","3042900","3015860038","Stuyvesant Heights                                                         "
"501","Amine Barber Shop","""Great place to get a haircut (and occassionally watch international soccer)""","28-54 34th Street","Astoria","NY","11103","(347) 255-0584","Service",,"QUEENS   ","40.767068","-73.917943","1","22","6501","4009150","4006270041","Astoria                                                                    "
"502","Gracious Home","Bedding and Bath Store","1210 3rd Avenue","New York","NY","10021","(212) 517-6300","Retail","http://www.gracioushome.com","MANHATTAN","40.768529","-73.96149","8","4","128","1042739","1014050033","Upper East Side-Carnegie Hill                                              "
"503","Polito's Pizza","""Fantastic Pizza Place""","38-12 Broadway","Astoria","NY","11103","(718) 626-6344","Food and Beverage","https://www.facebook.com/PolitosPizzaNY/","QUEENS   ","40.759283","-73.919678","1","22","155","4010408","4006560036","Astoria                                                                    "
"504","Akram Deli","Grocery shop and Deli","4192 Akram Deli","Bronx","NY","10466","(347) 614-8567","Food and Beverage","https://www.facebook.com/4192-Akram-Deli-775064495957837/",,,,,,,,,
"505","DaVinci Artist Supply","Art supplies","132 West 21st Street","New York","NY","10011","(212) 871-0220","Retail","http://www.davinciartistsupply.com","MANHATTAN","40.742065","-73.994818","4","3","87","1014757","1007960058","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"506","Terra Firma","Restaurant and Music Venue for Local Artists","119 Ingraham Street","Brooklyn","NY","11237","(718) 366-4375","Food and Beverage","http://www.terrafirmanyc.com","BROOKLYN ","40.707523","-73.929237","1","34","453","3070614","3029920033","Bushwick North                                                             "
"507","Global Security Group Inc","Fire / Life Safety and Executive Security Protection","421 7th Avenue","New York","NY","10001","(212) 285-2400","Other","http://globalsecuritygroup.com","MANHATTAN","40.750503","-73.990966","5","3","101","1015192","1008090001","Midtown-Midtown South                                                      "
"508","Ortiz & Ortiz LLP","""Family-owned law firm that helps small businesses and families""","3272 Steinway Street","Astoria","NY","11103","(718) 522-1117","Service","http://www.ortizandortiz.com","QUEENS   ","40.757299","-73.920373","1","22","155","4010426","4006560066","Astoria                                                                    "
"509","Lantern Hall","Craft Beer Bar","52 Harrison Place","Brooklyn","NY","11237","(718) 381-2122","Food and Beverage","http://www.lanternhall.com","BROOKLYN ","40.706426","-73.931391","1","34","453","3070660","3030030010","Bushwick North                                                             "
"510","The Sampler Bushwick","Craft Beer Store","234 Starr Street","Brooklyn","NY","11237","(718) 484-3560","Food and Beverage","https://thesamplerbk.com/","BROOKLYN ","40.705521","-73.922715","4","34","447","3072768","3031990026","Bushwick North                                                             "
"511","Preferred Pharmacy","Pharmacy","1771 Broadway","Brooklyn","NY","11207","(718) 872-7717","Retail","http://rxnyc.com/","BROOKLYN ","40.682502","-73.909729","4","37","403","3397066","3034500009","Bushwick South                                                             "
"512","Arty?s Shoe Repair Inc.","locally owned shoe, purse and bag repair shop","243 8th Avenue","New York","NY","10011","(212) 255-1451","Service",,"MANHATTAN","40.74486","-73.998816","4","3","93","1013361","1007460038","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"513","Prologue Coffee Room","Cafe","120C Lafayette Street","New York","NY","10013",,"Food and Beverage","https://www.facebook.com/prologuecoffeeroom/","MANHATTAN","40.718549","-74.000437","2","1","45","1002689","1002090024","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"514","OddFellows Ice Cream Co.","Best Ice Cream Shop","75 East 4th Street","New York","NY","10003","(917) 475-1812","Food and Beverage","http://www.oddfellowsnyc.com","MANHATTAN","40.726544","-73.990241","3","2","38","1077985","1004600049","East Village                                                               "
"515","Espy Color Imaging","Printing Service","252 Driggs Avenue","Brooklyn","NY","11222","(718) 389-1088","Service","http://www.espycolorimaging.com","BROOKLYN ","40.722687","-73.947934","1","33","571","3066855","3026820037","Greenpoint                                                                 "
"516","Bridge Cleaners & Tailors","Dry Cleaner & Tailor","204 Livingston Street","Brooklyn","NY","11201","(646) 552-0813","Service","http://bridgecleaners.com","BROOKLYN ","40.689755","-73.986078","2","33","37","3000487","3001640034","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"517","King Garment Care","Dry Cleaner & Tailor","220 Avenue of the America","New York","NY","10014","(646) 552-0813","Service","http://kinggarmentcare.com","MANHATTAN","40.727496","-74.003225","2","3","37","1008100","1005190036","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"518","Burgeon Hair","Hair salon","1081 Bergen Street","Brooklyn","NY","11216","(718) 362-0857","Service","http://Burgeonhair.com","BROOKLYN ","40.676137","-73.950516","8","36","315","3030335","3012120049","Crown Heights North                                                        "
"519","Bushwick Community Darkroom","""Friendly darkroom offering services & resources for photographers of all levels""","110 Troutman Street","Brooklyn","NY","11206","(718) 218-4023","Service","http://www.bushwickcommunitydarkroom.com","BROOKLYN ","40.69944","-73.929851","4","34","423","3072474","3031840017","Bushwick South                                                             "
"520","Bake Shop","Vegetarian Cafe-Bakey","995 Flushing Avenue","Brooklyn","NY","11206","(718) 381-3706","Food and Beverage","https://www.facebook.com/Vinylfantasybk/","BROOKLYN ","40.703131","-73.932827","1","34","485","3071638","3031240012","Bushwick South                                                             "
"521","Vinyl Fantasy","Comics & Records","194 Knickerbocker Avenue","Brooklyn","NY","11237",,"Retail","http://@Vinylfantasybk (Instagram)","BROOKLYN ","40.703596","-73.926789","4","34","427","3072318","3031740028","Bushwick North                                                             "
"522","Park Chemists","Pharmacy and gift shop","164 5th Avenue","Brooklyn","NY","11217","(718) 393-5555","Retail","http://parkchemistsrx.com/","BROOKLYN ","40.677828","-73.979511","6","39","131","3019364","3009460054","Park Slope-Gowanus                                                         "
"523","Local honey","Nail salon and waxing spa","53 Irving Avenue","Brooklyn","NY","11237","(347) 404-6139","Service","http://Localhoneybk.com","BROOKLYN ","40.704767","-73.924468","4","34","447","3072593","3031880009","Bushwick North                                                             "
"524","Mominette Bistro","French bistro","221 Knickerbocker Avenue","Brooklyn","NY","11237","(929) 234-2941","Food and Beverage","http://Mominette.com","BROOKLYN ","40.703127","-73.925927","4","34","427","3328112","3031870007","Bushwick North                                                             "
"525","Bushwick Bakery","French bakery","127 Central Avenue","Brooklyn","NY","11221","(860) 662-1654","Food and Beverage","http://Bushwick-bakery.com","BROOKLYN ","40.699826","-73.928203","4","34","423","3325275","3031960008","Bushwick South                                                             "
"526","Lido","Delicious Italian food in Harlem","2168 Frederick Douglass Blvd","New York","NY","11216","(646) 490-8575","Food and Beverage","http://www.lidoharlem.com",,,,,,,,,
"527","Valery Deli and Gorcery Store","Deli Coffee Grocery Store","216 Knickerbocker Avenue","Brooklyn","NY","11237","(347) 458-7064","Retail",,"BROOKLYN ","40.703297","-73.926262","4","34","427","3072324","3031740035","Bushwick North                                                             "
"528","La Lupe","""The coolest Mexican spot in Bushwick. Women owned""","9 Jefferson Street","Brooklyn","NY","11206","(917) 379-2367","Food and Beverage","http://www.lalupebk.com","BROOKLYN ","40.697332","-73.934903","4","34","389","3071999","3031600001","Bushwick South                                                             "
"529","Confetti","""Community events including paint parties for kids & adults, yoga and zumba""","3190 Westchester Avenue","Bronx","NY","10461","(917) 579-0867","Service","http://www.fb.com/ConfettiPartyPlace","BRONX    ","40.851301","-73.829873","10","13","300","2047431","2042380006","Pelham Bay-Country Club-City Island                                        "
"530","FINE & RAW chocolate","Chocolate factory and cafe","288 Seigel Street","Brooklyn","NY","11206","(718) 366-3633","Food and Beverage","http://www.fineandraw.com","BROOKLYN ","40.705563","-73.93391","1","34","485","3325962","3031010014","Bushwick South                                                             "
"531","Neighborhood Trainers","Personal Training","247 West 87th Street","New York","NY","10024","(646) 924-6216","Service","http://www.neighborhoodtrainer.com","MANHATTAN","40.789056","-73.975541","7","6","175","1080398","1012350042","Upper West Side                                                            "
"532","Suba Pharmacy","Pharmacy","2721 Broadway","New York","NY","10025","(212) 866-6700","Retail",,"MANHATTAN","40.799945","-73.968158","7","6","191","1056583","1018760007","Upper West Side                                                            "
"533","Starbright Floral Design","Flower Shop, Florist","140 West 26th Street","New York","NY","10001","(212) 229-1610","Retail","http://www.starbrightnyc.com","MANHATTAN","40.745318","-73.992663","4","3","91","1015025","1008010061","Hudson Yards-Chelsea-Flatiron-Union Square                                 "
"534","Cantaloupe Music Productions","""Live music for all events and venues: Brazilian, jazz, tango, salsa""","157 West 79 Street","New York","NY","10024","(212) 724-2400","Other","http://www.cantaloupeproductions.com","MANHATTAN","40.782617","-73.977042","7","6","165","1031755","1012100009","Upper West Side                                                            "
"535","Bushwick Bark","Pet Store","175 Knickerbocker Avenue","Brooklyn","NY","11237","(718) 928-7772","Retail","http://www.bushwickbark.com/","BROOKLYN ","40.703954","-73.92738","4","34","427","3072123","3031660005","Bushwick North                                                             "
"536","Marjory Warren Boutique","Women's Clothing and Accessories Boutique","115 East 96th Street","New York","NY","10128","(212) 876-9777","Retail","http://marjorywarrenboutique.com","MANHATTAN","40.786216","-73.951737","11","5","15802","1051696","1016240007","East Harlem South                                                          "
"537","Brooklyn Bell","Ice cream shop","843 Classon Avenue","Brooklyn","NY","11238","(718) 309-2631","Food and Beverage","http://www.brooklynbell.com/","BROOKLYN ","40.671966","-73.961114","8","35","217","3029651","3011817502","Crown Heights North                                                        "
"538","Dr Robert M Trager DDS","Dr Trager is the Airport Dentist, offices at JFK and LaGuardia","JFK Airport Building 14 West Wing","Jamaica","NY","11430","(718) 656-4747","Service","http://jfk-lga-dentist.com","QUEENS   ","40.648244","-73.788242","83","28","716","4000000","4142600001","Airport                                                                    "
"539","Rock and Roll supplies","Music shop","176 Bushwick Avenue","Brooklyn","NY","11206","(718) 384-4220","Retail","http://www.rockandrollsupplies.com/cm/","BROOKLYN ","40.709623","-73.940175","1","34","493","3344998","3030270001","Bushwick South                                                             "
"540","Geometry Kids","Children's Gift Shop","48 Grand Street","Brooklyn","NY","11249","(718) 388-4480","Retail","http://www.geometrykids.com","BROOKLYN ","40.715985","-73.96537","1","33","551","3062753","3023900014","North Side-South Side                                                      "
"541","Solid Tops Inc","""Fabricator and installer of Corian, Avonite, Hi-Macs, Meganite, Surell, etc""","458 Baltic Street","Brooklyn","NY","11217","(718) 596-6569","Service","https://www.solidtopsinc.net/","BROOKLYN ","40.682855","-73.986753","6","33","71","3006455","3004050014","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"542","Amerika International Inc.","""Digital copy, printing, design, binding, FedEx, DHL, shipping etc""","228 East 45th Street","New York","NY","10017","(212) 564-1528","Service","http://www.AIEexpress.com","MANHATTAN","40.752355","-73.972266","6","4","90","1037578","1013180033","Turtle Bay-East Midtown                                                    "
"543","Better than Jam","""Crafting classes, political meet up, Work studios & ""House La RUE""!""","20 Grattan Street","Brooklyn","NY","11206","(929) 295-0894","Retail","http://www.betterthanjamnyc.com","BROOKLYN ","40.705524","-73.932474","1","34","453","3407393","3031020016","Bushwick North                                                             "
"544","The Cobra Club","""Coffee shop, yoga studio, children's class studio, bar""","6 Wyckoff Avenue","Brooklyn","NY","11237","(718) 418-1138","Other","http://www.cobraclubbk.com","BROOKLYN ","40.706863","-73.923341","4","34","447","3072396","3031760036","Bushwick North                                                             "
"545","Starr Bar","""Bar and event space for social justice""","214 Starr Street","Brooklyn","NY","11237","(718) 821-1100","Food and Beverage","http://StarrbAr.com","BROOKLYN ","40.705145","-73.923086","4","34","447","3421700","3031990016","Bushwick North                                                             "
"546","The DanceSource","A  local dance school for all ages","98-11 Queens Blvd","Rego Park","NY","11374","(718) 997-1278","Service","http://www.dancesource.net/","QUEENS   ","40.728435","-73.857697","6","29","71304","4431996","4021030001","Forest Hills                                                               "
"547","Gowanus Nursery","Plant nursery & gardening","9 Carroll Street","Brooklyn","NY","11231","(718) 852-3116","Retail","http://www.gowanusnursery.com/","BROOKLYN ","40.683525","-74.005322","6","39","51","3004606","3003470063","Carroll Gardens-Columbia Street-Red Hook                                   "
"548","Winkworth","Lingerie and beautiful things","119 Columbia Street","Brooklyn","NY","11231","(718) 243-2296","Retail","https://www.facebook.com/winkworthbrooklyn/","BROOKLYN ","40.687599","-74.00145","6","39","47","3003585","3003190036","Carroll Gardens-Columbia Street-Red Hook                                   "
"549","Shaolin Kung Fu Training Center","""Chinese martial arts school, that teaches Northern-style Shaolin kung fu""","109 West 27th Street","New York","NY","10001","(212) 242-7308","Other","http://www.shaolinkungfutrainingcenter.com/","MANHATTAN","40.745735","-73.991689","5","3","95","1015070","1008030029","Midtown-Midtown South                                                      "
"550","Pitch and Publish, LLC","Digital Agency","736A Evergreen Avenue","Brooklyn","NY","11207","(917) 408-3865","Service","https://pitchandpublish.com","BROOKLYN ","40.686737","-73.909265","4","37","403","3079671","3034330031","Bushwick South                                                             "
"551","Florentine Music School","Music School","219 Park Row","New York","NY","10038","(212) 625-8338","Service","http://www.florentineschool.com","MANHATTAN","40.713325","-73.999008","3","1","27","1077406","1001170001","Chinatown                                                                  "
"552","Brooklyn Judo Academy","Brooklyn Judo Academy","300 Seventh Street","Brooklyn","NY","11215","(917) 553-4777","Service","http://www.Brooklynjudoacademy.com","BROOKLYN ","40.670822","-73.986219","6","39","137","3021852","3009980029","Park Slope-Gowanus                                                         "
"553","Radix Media","New York City's only worker-owned, union print shop.","522 Bergen Street","Brooklyn","NY","11217","(718) 781-5947","Service","http://radixmedia.org","BROOKLYN ","40.680412","-73.973006","8","35","161","3028045","3011430032","Prospect Heights                                                           "
"554","Peace and Riot","Gift and Home Decor","401-403 Tompkins Avenue","Brooklyn","NY","11216","(347) 663-6100","Retail","http://www.peaceandriot.com","BROOKLYN ","40.683781","-73.943987","3","36","267","3052414","3018350007","Bedford                                                                    "
"555","Ecstasy Limousine Service","Limousine service for Weddings and special events","91-20 101st Avenue","Ozone Park","NY","11416","(347) 633-0175","Service","http://www.ecstasylimo.com","QUEENS   ","40.683361","-73.849162","9","32","4001","4189182","4090980007","Woodhaven                                                                  "
"556","Empower Me LLC","Immigration services","1501 Broadway","New York","NY","10036","(212) 658-0095","Service","http://www.empowermeny.com","MANHATTAN","40.757103","-73.986193","5","3","119","1024706","1010150029","Midtown-Midtown South                                                      "
"557","Lydig Medical Group","Doctor office","787 Lydig Avenue","Bronx","NY","10475","(718) 863-7774","Service",,"BRONX    ","40.854443","-73.864343","11","13","228","2049419","2043210001","Pelham Parkway                                                             "
"558","just Bulbs - The Light Bulb Store","""All kinds of light bulbs""","222 East 58 Street","New York","NY","10022","(212) 888-5707","Retail","http://www.justbulbsnyc.com","MANHATTAN","40.760601","-73.966292","6","4","108","1076272","1013317502","Turtle Bay-East Midtown                                                    "
"559","Remedy Massage Therapy, PC","Massage Therapy Studio","107 West 82nd Street New York","New York","NY","10024","(917) 558-0228","Service","http://www.remedymassage.com","MANHATTAN","40.78414","-73.9746","7","6","169","1081465","1012137504","Upper West Side                                                            "
"560","Newyorktitlan","Mexican food","1525 Gates Avenue","Brooklyn","NY","11237","(347) 715-5387","Food and Beverage","https://www.facebook.com/tacoteria/","BROOKLYN ","40.698962","-73.912776","4","37","439","3076358","3033360022","Bushwick North                                                             "
"561","Foxy Salon","Boutique Hair Salon","331 Graham Avenue","Brooklyn","NY","11211","(718) 388-4740","Service","http://www.foxysalonnyc.com","BROOKLYN ","40.714272","-73.944355","1","34","497","3068872","3027640023","East Williamsburg                                                          "
"562","The Marine Park Deli","Deli","3509 Avenue S","Brooklyn","NY","11234",,"Food and Beverage",,"BROOKLYN ","40.609374","-73.931938","18","46","658","3240110","3085020107","Georgetown-Marine Park-Bergen Beach-Mill Basin                             "
"563","Pink Olive 5th Ave","Gift / Stationery Boutique","167 Fifth Avenue","Brooklyn","NY","11217","(718) 398-2016","Retail","http://www.pinkolive.com","BROOKLYN ","40.677501","-73.97971","6","39","131","3019589","3009500008","Park Slope-Gowanus                                                         "
"564","Pink Olive Charles St","Gift / Stationery Boutique","30 Charles Street","New York","NY","10014","(212) 691-1728","Retail","http://www.pinkolive.com","MANHATTAN","40.735102","-74.001685","2","3","73","1010830","1006110022","West Village                                                               "
"565","Pink Olive Bedford Ave","Gift / Stationery Boutique","370 Bedford Avenue","Brooklyn","NY","11211","(718) 576-3915","Retail","http://www.pinkolive.com","BROOKLYN ","40.711672","-73.9631","1","34","549","3063430","3024430026","North Side-South Side                                                      "
"566","Pink Olive E9th St","Gift / Stationery Boutique","439 East 9th Street","New York","NY","10009","(212) 780-0036","Retail","http://www.pinkolive.com","MANHATTAN","40.727578","-73.983396","3","2","34","1005914","1004370033","East Village                                                               "
"567","Rococo Design Inc","Home Furnishings Boutique","145 Front Street","Brooklyn","NY","11201",,"Retail","http://www.rococodesign.com","BROOKLYN ","40.702455","-73.98737","2","33","21","3000090","3000400001","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"568","Alperts Newspaper Delivery","Newspaper delivery","5 Great Jones Street","New York","NY","10012","(212) 473-8118","Service","http://alpertsnews.com","MANHATTAN","40.727485","-73.994051","2","1","5502","1008473","1005300010","West Village                                                               "
"569","The Food Sermon Kitchen","Caribbean Restaurant","355 Rogers Avenue","Brooklyn","NY","11225","(718) 484-7555","Food and Beverage","https://www.thefoodsermon.com/","BROOKLYN ","40.664668","-73.953761","9","35","321","3034429","3013050001","Crown Heights South                                                        "
"570","Denton Cleaning","Professional cleaning services - residential/commercial","147 Prince Street","Brooklyn","NY","11201","(718) 333-1181","Service","https://www.dentoncleaning.com","BROOKLYN ","40.692648","-73.982532","2","35","15","3058261","3020620006","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"571","Avalon Chemist","Pharmacy","7 Second Ave","New York","NY","10003",,"Retail","http://www.avalonchemists.com/","MANHATTAN","40.723944","-73.991082","3","2","3602","1079804","1004560029","East Village                                                               "
"572","SB Building Solutions LLC","Facility Support in HVAC & Electrical Service","147 Prince Street","Brooklyn","NY","11201","(212) 882-1056","Service","http://www.SBBuildingsolutions.com","BROOKLYN ","40.692648","-73.982532","2","35","15","3058261","3020620006","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           "
"573","One East Ace Deli","Deli","1 E 28th St","New York","NY","10016","(212) 725-0645","Food and Beverage",,"MANHATTAN","40.744587","-73.987051","5","4","74","1080771","1008580001","Midtown-Midtown South                                                      "
