"project_name","project_received_date","project_id_number_op","project_description_type","impacted_park_id_s","impacted_park_name_s","address_intersection","borough","multisite_project","sponsoring_agency_entity","primary_scope_of_work","impacted_parks_division_s","park_impact_type","contract_value_op","current_phase","scoping_initiated_kick_off_op","scoping_response_due_date_op","design_consultant_op","public_design_commission_approval_required","preliminary_public_design_commission_approval","final_public_design_commission_approval","mass_mailing_1_received_date","mass_mailing_2_received_date","mass_mailing_3_received_date","design_completion_date_op","construction_manager_op","construction_manager_company_op","construction_kickoff_op","expected_construction_end_date_op","actual_construction_end_date_op","contractor_for_construction_permit_firm_name","construction_permit_request_received_date","construction_permit_id","latest_site_visit","forestry_permit_status","forestry_permit_id_number","construction_permit_special_conditions","borough_approval_date","permit_issuance_date","permit_start_date","original_permit_expiration_date","latest_permit_extension_amendment_request_date","latest_permit_extension_amendment_issuance_date","latest_permit_expiration_date","permit_amendment_content","exploratory_permit_id","substantial_completion_date_op","final_inspection_date","latest_inspection_site_visit","punchlist_generated","conditional_letter_issued","final_acceptance_of_park_by_borough","final_acceptance_letter_date","created","modified","coordinates"
"Right-of-Way Green Infrastructure - Jamaica Bay CSO Tributary Areas - Outfall 26W-004 & 26W-005","2017-06-23T00:00:00.000","GK26W4-01 & GK26W5-04 Stage 1 Package 1","Right-of-way Bioswales","B402;B047;B278;","George Walker Jr. Park;Highland Park;Sam Leggio Triangle;","Jamaica Avenue and Highland Place, Jamaica Avenue and Vermont Street","Brooklyn","Multi Site","Parks - Green Infrastructure","Resiliency","Borough Horticulture;#Central Forestry;#Borough Operations","Sidewalk Closure;#Park Improvement",,"Permitting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2019-09-16T14:51:00.000","2019-11-05T15:23:00.000","40.678568, -73.895549"
"AMNH Bench Relocation & ADA Path","2019-05-31T00:00:00.000",,"AMNH Bench Relocation & ADA Path","M053;","Theodore Roosevelt Park;","80th St & Columbus Ave","Manhattan","Single Site","DCulA","Park Improvement/New Park","Borough Operations;#Landmarks/Preservation","Excavation;#Staging",,"Final-Accepted (Closed Out)",,,,,,,,,,,,,,,,"Tishman Construction Corporation","2019-05-31T00:00:00.000","M053.20190603",,"Approved","WSP21MF19",,"2019-06-03T00:00:00.000",,"2019-06-24T00:00:00.000","2019-08-30T00:00:00.000",,,"2019-08-30T00:00:00.000",,,,,,,,,,"2019-06-03T13:05:00.000","2019-11-05T15:23:00.000","40.782591, -73.974954"
"Reconstruction of Lakeview Blvd with Baisley Pond New Sanitary Sewers","2013-12-16T00:00:00.000","HWQ121B4 SEQ200436","New Sanitary Sewers in conjunction with Lakeview Blvd East reconstruction under project #HWQ121B4/SEQ200436. New outfall on the east side of the pond; reconstructed outfall on west side, wetland replanting and grading on both sides.","Q005;","Baisley Pond Park;","119 Dr & Lakeview Blvd","Queens","Single Site","DDC","Sewer/Water Main","Borough Operations;#Borough Forestry;#Natural Resources Group (NRG)","Staging;#Excavation;#Partial Park Closure;#Sidewalk Closure;#Park Improvement","11729618.01","Conditional-Accepted (Subst. Compl.)",,,,,,,,,,,"RE","D&B Engineers","2016-02-08T00:00:00.000","2018-06-06T00:00:00.000",,"P&T II Contracting Corp.","2016-04-27T00:00:00.000","Q005.20161025","2018-07-17T00:00:00.000","Approved","QP16-248",,"2016-10-19T00:00:00.000","2016-10-25T00:00:00.000","2016-10-31T00:00:00.000","2017-07-31T00:00:00.000","2017-06-16T00:00:00.000","2017-07-11T00:00:00.000","2018-06-06T00:00:00.000","1. West Side Area added
2. dewatering pipe on Lakeview",,"2018-06-30T00:00:00.000",,"2019-05-08T00:00:00.000","2019-05-08T00:00:00.000","2019-08-28T00:00:00.000",,,"2016-05-04T18:42:00.000","2020-08-21T08:00:00.000","40.680024, -73.784590"
"Landscaping Requirements Contract in New York City – All Counties","2018-11-02T00:00:00.000","XM18.25 D263774","Where and When-style state right of way landscaping",,,,"Staten Island;#Queens;#Manhattan;#Brooklyn;#Bronx","Multi Borough","SDOT","Parkway/Arterial Improvement","CDOT Arterial Maintenance",,,"Construction",,,,,,,,,,,,,,,,"Coastal Contracting Corp",,,,,,,,,,,,,,,,,,,,,,,"2019-01-02T11:24:00.000","2019-11-05T15:23:00.000",
"1005 Bedford Avenue – Extension (3) three new stories (erect sidewalk shed)","2019-06-20T00:00:00.000","B549.20190822","1005 Bedford Avenue – Extension (3) three new stories (erect sidewalk shed)","B549;","Garden;",,"Brooklyn","Single Site","Private Developer","Private Development","Greenthumb",,,"Construction",,,,,,,,,,,,,,,,"Park Remodeling LLC","2019-06-20T00:00:00.000","B549.20190822",,,,,"2019-08-19T00:00:00.000",,,"2020-05-01T00:00:00.000",,,,,,,,,,,,,"2019-09-06T10:59:00.000","2019-11-05T15:24:00.000",
"111 Water Street/ Tappen Park","2019-08-20T00:00:00.000",,"Access and work on a distinctive sidewalk adjacent to distinctive park pavement","R028;","Tappen Park;",,"Staten Island","Single Site","ConEd","Utility (gas, electric, telephone)","Borough Operations","Other",,"Construction",,,,,,,,,,,,,,,,"Consolidated Edison Company of New York, Inc.","2019-08-20T00:00:00.000","R028.20190822",,"Not Required",,,,,"2019-08-26T00:00:00.000","2019-10-25T00:00:00.000",,,,,,,,,,,,,"2019-09-04T07:08:00.000","2019-11-05T15:23:00.000",
"Rehabilitation of Houston Street Overpass over FDR Drive","2014-05-02T00:00:00.000","HBM1056","Component rehab of bridge and adjacent ramps.","M144;","John V. Lindsay East River Park;","Houston Street and FDR Drive","Manhattan","Single Site","CDOT","Bridge Component Rehabilitation","Borough Operations;#Borough Forestry;#Capital Projects","Staging;#Partial Park Closure;#Park Improvement","16382700","Final-Accepted (Closed Out)",,,,,,,,,,,,,,,,"Gateway Industries","2015-12-24T00:00:00.000","M-5-16NF","2018-01-19T00:00:00.000","Approved","WW135MF2016",,,,"2016-01-25T00:00:00.000","2017-07-04T00:00:00.000",,,"2018-04-30T00:00:00.000",,,,,"2018-01-19T00:00:00.000","2018-01-19T00:00:00.000","2018-01-19T00:00:00.000",,"2018-07-10T00:00:00.000","2018-01-25T16:41:00.000","2019-11-05T15:25:00.000","40.718850, -73.974714"
"In Depth Inspection for the BQE Triple Cantilever from BQE Sands Street to Atlantic Ave","2016-03-25T00:00:00.000","HBESA15A","In-Depth Concrete Inspection of the BQE Triple Cantilever","B223DD;","Brooklyn Heights Promenade;","BQE between Remsen and Clark","Brooklyn","Multi Site","CDOT","Bridge Reconstruction (Major)","Borough Operations;#Landmarks/Preservation;#Borough Forestry","Partial Park Closure",,"Presumed Complete",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2016-04-05T18:07:00.000","2019-11-05T15:24:00.000","40.695843, -73.998101"
"Verizon Service Restoration for HELP USA","2019-07-16T00:00:00.000",,"Access and work to facilitate the restoration of service to HELP USA","M104;","Randall's Island Park;",,"Manhattan","Single Site","Verizon","Utility (gas, electric, telephone)","Borough Operations","Excavation",,"Construction",,,,,,,,,,,,,,,,"Verizon New York, Inc.","2019-07-16T00:00:00.000","M104.20190717",,,,,,,"2019-07-19T00:00:00.000","2019-08-31T00:00:00.000","2019-08-21T00:00:00.000","2019-08-22T00:00:00.000","2019-08-31T00:00:00.000","Expansion of work limits approx. 43' to east of current location.",,,,,,,,,"2019-07-17T10:49:00.000","2019-11-05T15:58:00.000","40.786121, -73.932381"
"Renovation of Greenstreet BZ502","2019-06-05T00:00:00.000",,"Renovation of Greenstreet BZ502","BZ502;","GREENSTREET;","Ave R & E 5th St, Brooklyn","Brooklyn","Single Site","Parks - Partner Group","Park Improvement/New Park","Borough Operations;#Borough Horticulture;#Borough Forestry","Staging;#Excavation",,"Final-Accepted (Closed Out)",,,,,,,,,,,,,,,,"C and C Landscape","2019-06-18T00:00:00.000","BZ502.20190621",,"Approved",,,"2019-06-18T00:00:00.000",,"2019-06-28T00:00:00.000","2019-08-30T00:00:00.000",,,"2019-08-30T00:00:00.000",,,,"2019-08-22T00:00:00.000",,,,"2019-08-22T00:00:00.000",,"2019-06-21T12:12:00.000","2019-11-05T15:57:00.000","40.604715, -73.968403"
"ESCR Sewer Borings in East River Park (Municipal)","2019-05-01T00:00:00.000",,"ESCR Sewer Borings in East River Park (Municipal)","M144;M369;","John V. Lindsay East River Park;Pier 42;",,"Manhattan","Single Site","DDC","Resiliency","Borough Operations;#Borough Forestry;#Capital Projects;#5-Boro Project","Staging;#Excavation;#Partial Park Closure",,"Final-Accepted (Closed Out)",,,"AKRF",,,,,,,,,,,,,"Municipal Testing Laboratory, Inc.","2019-05-09T00:00:00.000","M144.20190517","2019-05-14T00:00:00.000","Approved",,,"2019-05-17T00:00:00.000",,"2019-05-21T00:00:00.000","2019-08-15T00:00:00.000",,,"2019-08-15T00:00:00.000",,,,,,,,,,"2019-05-17T16:18:00.000","2019-11-05T17:06:00.000","40.721367, -73.973809"
"Apple Orchard","2019-04-22T00:00:00.000",,"Establish a 15-tree apple orchard","X039;","Pelham Bay Park;","895 Shore Road","Bronx","Single Site","Parks - Partner Group","Park Improvement/New Park","Borough Operations;#Landmarks/Preservation","Staging;#Excavation;#Park Improvement",,"Final-Accepted (Closed Out)",,,,,,,,,,,,,,,,"The Lignin Group LLC","2019-04-22T00:00:00.000","X039.20190501",,"Not Required",,,"2019-05-14T00:00:00.000",,"2019-05-22T00:00:00.000","2019-08-15T00:00:00.000",,,"2019-08-15T00:00:00.000",,,,,,,,,,"2019-05-01T16:47:00.000","2019-11-05T15:26:00.000","40.871741, -73.805302"
"Tennis Court Repair","2019-02-22T00:00:00.000",,"SportTech Acrylics, on behalf of Fort Green Tennis Association, will powerwash, repair cracks and resurface 6 tennis courts","B032;","Fort Greene Park;","DeKalb Ave. and Washington Park, Brooklyn","Brooklyn","Single Site","Parks - Partner Group","Park Improvement/New Park","Borough Operations;#Conservancy","Staging;#Partial Park Closure;#Park Improvement","67350","Final-Accepted (Closed Out)",,,,,,,,,,,,,,,,"Sport-tech Acrylics Corp.","2019-02-22T00:00:00.000","B032.20190313",,"Not Required",,"i.	Provide a minimum of two (2) weeks’ advance notice of work beginning at the site. You may provide this notification by contacting the Brooklyn Chief of Operations office at (718) 965-8922 or by emailing Jim Morris at james.morris@parks.nyc.gov.","2019-03-05T00:00:00.000",,"2019-07-01T00:00:00.000","2019-07-31T00:00:00.000",,,"2019-07-31T00:00:00.000",,,,,,,,,,"2019-03-13T14:22:00.000","2019-11-05T15:58:00.000","40.690640, -73.975636"
"Hazmat Borings for ESCR","2019-06-06T00:00:00.000","SANDRESM1","Hazmat Borings for ESCR","M144;M017;","John V. Lindsay East River Park;Corlears Hook Park;",,"Manhattan","Single Site","DDC","Resiliency","Borough Operations;#Borough Forestry;#Capital Projects","Staging;#Excavation;#Partial Park Closure",,"Final-Accepted (Closed Out)",,,,,,,,,,,,,,,,"AKRF, Inc.","2019-06-06T00:00:00.000","M144.20190624","2019-06-24T00:00:00.000","Approved",,"i.	No borings on synthetic turf. Borings in athletic fields must be approved in advance by Manhattan Recreation. The following dates are approved between 7am – 3pm. The fields must be restored for play by 3pm.
a)	Field 4 -  July 9 and 11
b)	Field 6 – July 9 and 11
c)	Field 7 – July 9 and 10
d)	Field 8 – July 8 and 9
ii.	These three actions must proceed all drilling: 
a)	Call to One-Call (“Call before you dig”) - public markouts at locations in the vicinity of each boring.
b)	Ground penetrating radar focused utility screening of the area.
c)	Based on the GPR survey, hand-clear 6 feet below the ground surface (bgs) to physically confirm no utilities or unusual conditions up to 6-ft bgs. 
iii.	Staging in the Pier 42 Parking Lot is allowed as long as there is a path to allow a DEP truck to access the manhole covers. The staging should be at least 20’ away from the manholes.
iv.	Pathways must remain open to the public. Proper safety protocols must be followed for safeguarding the public.
v.	Plywood must be used to protect the landscaping.","2019-06-17T00:00:00.000",,"2019-07-01T00:00:00.000","2019-07-31T00:00:00.000",,,"2019-07-31T00:00:00.000",,,,,,,,,,"2019-06-24T15:57:00.000","2019-11-05T15:57:00.000","40.719364, -73.973929"
"East Branch Aeration","2019-08-12T00:00:00.000","CSO-NC-3","NYCDEP proposes to construct a blower building containing two blowers and a diffused aeration system for aerating portions of Newtown Creek including one of its tributaries, East Branch. The goal of the project is to improve the water quality of Newtown Creek and its tributaries as per the requirements of a 2004 Administrative Combined Sewer Overflow (CSO) Consent Order between NYCDEP and the New York State Department of Environmental Conservation (DEC). The blower building would be located at 58-26 47th Street in Maspeth, New York, and the installation of the air header piping with diffusers would be located along the bottom channel of the East Branch and portions of Newtown Creek. The piping would total 1,600 feet and would be held in place using concrete ballast collars.",,,"58-26 47th Street in Maspeth, New York","Queens","Single Site","DEP","Sewer/Water Plant","Central Forestry","No Parkland Impact",,"Presumed Complete",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2019-08-12T10:04:00.000","2019-11-05T15:24:00.000",
"Renovate Maloof Skate Park","2019-06-27T00:00:00.000",,"Renovate Maloof Skate Park","Q099;","Flushing Meadows Corona Park;",,"Queens","Single Site","Parks - Partner Group",,"Borough Operations","Staging;#Park Improvement;#Partial Park Closure",,"Final-Accepted (Closed Out)",,,,,,,,,,,,,,,,"California Skate Parks","2019-06-27T00:00:00.000","Q099.20190628","2019-07-01T00:00:00.000","Not Required",,,"2019-07-02T00:00:00.000",,"2019-07-01T00:00:00.000","2019-07-11T00:00:00.000",,,"2019-07-11T00:00:00.000",,,,,,,,,,"2019-06-28T15:44:00.000","2019-11-05T15:57:00.000","40.743108, -73.843260"
"24 Minetta - Façade repairs","2019-07-22T00:00:00.000","M125B","24 Minetta Lane – Renovation repair deteriorated walls (Erect Sidewalk Shed and Pipe scaffold)","M125B;","Minetta Playground;",,"Manhattan","Single Site","Other","Private Development","Borough Operations",,,"Construction",,,,,,,,,,,,,,,,"Roofus Restoration, LLC","2019-07-24T00:00:00.000",,,,,,"2019-07-25T00:00:00.000",,,,,,,,,,,,,,,,"2019-08-01T12:18:00.000","2019-11-05T15:58:00.000",
"Croton Water Treatment Plant Facilities and Landscape Construction","2019-08-01T00:00:00.000","HEDCLUB","From DDC: The new Mosholu Golf Course Club House, together with fifty-five Driving Range Tee Boxes and ten-acres of re-landscaping comprise the phase IV and final of the vast DEP Croton Water Treatment Plant project, currently under construction in Van Cortlandt Park in the Bronx. Through a multifunctional design strategy the project reinstates the pre-existing golf program and facility, creates civic space for community use and ensures security for a multi-billion dollar public works facility.","X092;","Van Cortlandt Park;","Jerome Ave & E212 St","Bronx","Single Site","DDC","Park Improvement/New Park","Revenue/Concession;#Borough Forestry","Partial Park Closure;#Park Improvement",,"Construction",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2019-08-01T12:02:00.000","2019-11-05T15:58:00.000","40.884461, -73.880235"
"Golfers Underpass at Mosholu Parkway North of Major Deegan Expressway","2014-05-24T00:00:00.000","XM12.53 D030694","Bridge repair of structure.","X092;","Van Cortlandt Park;","115 Van Cortlandt Park S, Bronx, NY 10471","Bronx","Single Site","SDOT","Bridge Component Rehabilitation","Borough Operations;#Revenue/Concession","Staging",,"Final-Accepted (Closed Out)",,,,,,,,,,,,,,,"2016-05-10T00:00:00.000",,,,,,,,,,,,,,,,,,,,,,,"2016-07-01T00:00:00.000","2016-07-01T15:32:00.000","2019-11-05T14:52:00.000",
"Manhattan Psych Electrical Cable Replacement","2019-07-18T00:00:00.000",,"Access to facilitate electrical cable replacement","M107;","Wards Island Park;",,"Manhattan","Single Site","DOHMH","Utility (gas, electric, telephone)","Borough Operations","Other",,"Construction",,,,,,,,,,,,,,,,"Global Electrical Contracting of Westchester, Inc.","2019-02-18T00:00:00.000","M107.20190227",,,,,,,"2019-02-22T00:00:00.000","2019-07-01T00:00:00.000","2019-07-24T00:00:00.000","2019-07-31T00:00:00.000","2020-01-31T00:00:00.000",,,,,,,,,,"2019-07-31T08:27:00.000","2019-11-05T15:07:00.000","40.786607, -73.925671"
"Newtown Barge Park Reconstruction","2018-01-19T00:00:00.000",,"Galvin Bros is seeking a construction permit for Newtown Barge Park to perform extensive demolition and reconstruction at the existing Newtown Barge Park and adjacent lot between the Park and the East
River/Newtown Creek Waterfront on Commercial Street.","B135;","Newtown Barge Playground;","3 Commercial St","Brooklyn","Single Site","EDC","Park Improvement/New Park","Borough Operations;#Borough Horticulture;#Borough Forestry;#Central Forestry;#Capital Projects;#Planning and Parklands","Staging;#Excavation;#Park Improvement",,"Final-Accepted (Closed Out)",,,,,,,,,,,,,"2018-02-08T00:00:00.000",,,"Galvin Bros","2018-01-19T00:00:00.000","B135.20180207","2018-01-25T00:00:00.000","Approved","I18-014",,"2018-02-05T00:00:00.000",,"2018-03-20T00:00:00.000","2019-05-31T00:00:00.000","2019-05-30T00:00:00.000","2019-05-31T00:00:00.000","2019-07-31T00:00:00.000","E1 - Extension through 7/31/2019",,"2019-06-06T00:00:00.000",,"2019-06-06T00:00:00.000","2019-06-07T00:00:00.000",,"2019-07-23T00:00:00.000",,"2018-01-19T11:59:00.000","2019-11-05T15:25:00.000","40.735850, -73.959970"
"Harlem River Drive Feeder Replacement 2018-2019","2017-11-20T00:00:00.000",,"Continuation of Con Ed's Harlem River Drive Feeder Replacement Project (2018-2019)","M039;","Harlem River Park;",,"Manhattan","Single Site","ConEd","Utility (gas, electric, telephone)","Borough Operations;#Capital Projects;#Borough Forestry",,,"Construction",,,,,,,,,,,,,,,,"Consolidated Edison Company of New York, Inc.","2017-11-20T00:00:00.000","M-30-16NF",,,,,,,"2016-03-29T00:00:00.000","2017-04-01T00:00:00.000","2019-07-16T00:00:00.000","2019-07-30T00:00:00.000","2019-12-31T00:00:00.000",,,,,,,,,,"2018-02-02T10:52:00.000","2019-11-05T15:25:00.000","40.850974,-73.926256"
"Harlem River Drive SB Sidewalk Oil-Static Transmission Line","2016-01-12T00:00:00.000",,"Repair of underground high voltage line running along the dilapidated sidewalk on the west side of the HRD, just inside Highbridge Park. Repair is due to frequent ongoing leaks from pipe, causing soil contamination and frequent emergency reapair.","M037;","Highbridge Park;","155 St & Harlem River Drive","Manhattan","Single Site","ConEd","Utility (gas, electric, telephone)","Borough Operations;#Environmental Remediation;#Borough Forestry","Staging;#Excavation;#Sidewalk Closure","25220000","Construction",,,,,,,,,,,,,,"2017-03-31T00:00:00.000",,"Consolidated Edison Company of New York, Inc.","2016-01-12T00:00:00.000",,"2017-05-02T00:00:00.000","Approved","WSP01MF16","see attachment","2016-03-22T00:00:00.000","2016-03-29T00:00:00.000","2016-03-29T00:00:00.000","2017-04-01T00:00:00.000","2018-07-23T00:00:00.000","2018-08-20T00:00:00.000","2018-12-31T00:00:00.000","2017 May: seperate permit for north area staging issued

2017 Feb: Amend to extend work area north 1000' of the Highbridge. Includes special path building and turf paver restoration requirements.

Amend to extend work area south 725' to ConEd manhole located slightly north of John T. Brush Stairs Park.",,,,,,,,,"2016-04-10T17:44:00.000","2019-11-05T15:24:00.000","40.828021, -73.934955"
"Rehabilitation of Major Deegan Expressway (I-87) Between W 161 St and Highbridge Interchange","2018-06-26T00:00:00.000","X720.39 D263821","BIN 1067451 & 1067452: Bridge elimination, replaced with roadway on fill. Fill existing abandoned subway station near Yankee Stadium on Sedgewick Ave. BIN 1066840: rehab of Depot Place bridge over MDE and raise bridge to improve clearance",,,"Sedgwick Ave & University Ave","Bronx","Multi Site","SDOT","Bridge Reconstruction (Major)","Borough Forestry","No Parkland Impact","118975000","Construction",,,"Jacobs",,,,"2018-07-01T00:00:00.000","2018-08-31T00:00:00.000",,,"EIC",,"2019-06-20T00:00:00.000","2022-04-08T00:00:00.000",,"Skanska USA Civil Northeast",,,,,,,,,,,,,,,,,,,,,,,"2018-07-11T15:01:00.000","2019-11-05T15:57:00.000","40.832650, -73.931874"
"Replace Turf Soccer Field #7","2019-06-12T00:00:00.000",,"Replace Turf Soccer Field #7","Q099;","Flushing Meadows Corona Park;",,"Queens","Single Site","Parks - Partner Group","Park Improvement/New Park","Borough Operations;#Borough Forestry","Staging;#Partial Park Closure;#Park Improvement",,"Final-Accepted (Closed Out)",,,,,,,,,,,,,,,,"Ace Sufaces","2019-06-14T00:00:00.000","Q099.20190614",,"Approved","QP19-113","i.	Contractor must follow all standards for product and construction specification shared by Ryan Hillert in Parks Turf Maintenance. 
ii.	After the field is installed, Parks requires a GMax test to confirm the safety of the field. 
iii.	Turf and infill must be properly recycled and not disposed of in a landfill.","2019-06-13T00:00:00.000",,"2019-06-25T00:00:00.000","2019-07-31T00:00:00.000",,,"2019-07-31T00:00:00.000",,,,,,,,,,"2019-06-14T11:21:00.000","2019-11-05T15:57:00.000","40.746544, -73.841626"
"Structural Testing at Orchard Beach Pavilion","2019-04-18T00:00:00.000",,"Structural Testing at Orchard Beach Pavilion","X039;","Pelham Bay Park;",,"Bronx","Single Site","EDC","Park Improvement/New Park","Borough Operations;#Planning and Parklands","Excavation;#Staging",,"Final-Accepted (Closed Out)",,,,,,,,,,,,,,,,"Echem","2019-04-18T00:00:00.000","X039.20190423",,"Not Required",,,"2019-04-24T00:00:00.000",,"2019-04-29T00:00:00.000","2019-07-15T00:00:00.000",,,"2019-07-15T00:00:00.000",,,,,,,,,,"2019-04-23T14:16:00.000","2019-11-05T15:26:00.000","40.866003, -73.794590"
"Orchard Beach Pavilion - Testing and Probes","2019-02-22T00:00:00.000",,"Orchard Beach Pavilion - Testing and Probes","X039;","Pelham Bay Park;",,"Bronx","Single Site","EDC","Public Building","Borough Operations;#Landmarks/Preservation;#Planning and Parklands","Staging;#Other","252451","Final-Accepted (Closed Out)",,,,,,,,,,,,,,,,"Pullman SST, Inc.","2019-03-04T00:00:00.000","X039.20190304",,"Not Required",,,"2019-03-04T00:00:00.000",,"2019-03-13T00:00:00.000","2019-07-15T00:00:00.000",,,"2019-07-15T00:00:00.000",,,,,,,,,,"2019-03-04T14:43:00.000","2019-11-05T15:07:00.000","40.867072, -73.794461"
"East River Bulkhead Rehabilitation Project","2017-05-15T00:00:00.000","M289.20170605","East River Bulkhead Rehabilitation project (East River- Rutgers Slip and Pier 35) Re-establish the original structural capacity of the pile supported platforms and granite seawalls along the water waterfront esplanade","M289;","East River Esplanade;","(East River- Rutgers Slip and Pier 35)","Manhattan","Single Site","EDC","Retaining Wall/Seawall","Other",,"166678231","Final-Accepted (Closed Out)",,,,,,,,,,,,,,,,"D’Onofrio General Contractors Corp.","2017-05-15T00:00:00.000","M289.20170605",,,,,"2019-01-29T00:00:00.000",,,"2018-12-31T00:00:00.000","2019-03-25T00:00:00.000","2019-03-27T00:00:00.000","2019-07-09T00:00:00.000","E1 - Extension thru 12/31/18
E2 - Extension thru 4/5/19
E3 - Extension thru 7/9/19",,,,,,,,,"2017-06-05T09:36:00.000","2019-11-05T15:57:00.000","40.745001, -73.970583"
"Eastside Outside Community Garden - ACM","2019-04-02T00:00:00.000","M321","testing the soil for asbestos containing materials","M321;","Lower East Side Playground;",,"Manhattan","Single Site","Private Developer","Environmental Improvement/Remediation","Greenthumb","Other","2000","Construction",,,,,,,,,,,,,,,,"HA Bader Consultants Inc","2019-04-02T00:00:00.000",,,,,,,,"2019-07-18T00:00:00.000",,,,,,,,,,,,,,"2019-07-17T10:32:00.000","2019-11-05T15:58:00.000",
"Green Infrastructure in Bowery Bay Drainage Area","2018-03-06T00:00:00.000","GCBB26-01","ROW green infrastructure at multiple sites; one site under this contract is parkland frontage. One 15’ x 5’ infiltration basin with concrete top type 2C with stormwater chamber.","Q044;","L/CPL Thomas P. Noonan Jr. Playground;","Greenpoint Ave and 43rd Street","Queens","Single Site","Parks - Green Infrastructure","Resiliency","Borough Operations;#Central Forestry;#Green Infrastructure","Sidewalk Closure;#Excavation;#Staging",,"Permitting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2018-04-27T16:23:00.000","2019-11-05T15:57:00.000","40.740894, -73.922131"
"DDC Contract PW348-71","2019-04-24T00:00:00.000","M042","Payson Avenue Playground - 269 Dyckman Street at West 207th Street and Seaman Avenue * one (1) geotechnical soil boring","M042;","Inwood Hill Park;",,"Manhattan","Single Site","DDC","Environmental Improvement/Remediation","Borough Operations",,,"Construction",,,,,,,,,,,,,,,,"Associated Environmental Services Ltd.","2019-04-24T00:00:00.000","M042.20190710",,,,"DDC Contract PW348-71 - 269 Dyckman Street at West 207th Street and Seaman Avenue * one (1) geotechnical soil boring","2019-06-06T00:00:00.000",,"2019-07-15T00:00:00.000","2019-10-01T00:00:00.000",,,,,,,,,,,,,"2019-07-11T10:58:00.000","2019-11-05T15:07:00.000",
"National Grid Prospect Park Service Upgrades","2019-03-06T00:00:00.000",,"Upgrades to National Grid service to 3 Parks structures located within Prospect Park","B073;","Prospect Park;",,"Brooklyn","Single Site","National Grid","Utility (gas, electric, telephone)",,,,"Construction",,,,,,,,,,,,,,,,"National Grid (US) Holdings Ltd., including National Grid USA, and The Brooklyn Union Gas Company d/b/a National Grid NY","2019-04-15T00:00:00.000","B073.20190702",,,,,,,"2019-07-08T00:00:00.000","2019-07-31T00:00:00.000",,,,,,,,,,,,,"2019-03-15T10:11:00.000","2019-11-05T15:25:00.000","40.663098, -73.962794"
"Con Ed Ditmars Traffic Circle at 101st Street and 23rd Ave","2019-05-14T00:00:00.000",,"Work to facilitate the installation of a new electrical service to support the redevelopment of LaGuardia Airport","QZ281;","Greenstreet;",,"Queens","Single Site","ConEd","Utility (gas, electric, telephone)","Borough Operations;#Borough Forestry","Excavation;#Staging",,"Construction",,,,,,,,,,,,,,,,"Consolidated Edison Company of New York, Inc.","2019-05-14T00:00:00.000","QZ281.20190521",,,,"i.Permittee shall install plywood over a layer of mulch in any staging area and along the path of
travel of any equipment operating within the Permitted Premises.
ii. Permittee is responsible to keep its work area secured from unauthorized access at all times.
iii. Permittee shall reseed all lawn areas disturbed during construction.",,,"2019-05-27T00:00:00.000","2019-06-30T00:00:00.000",,,,,,,,,,,,,"2019-05-21T12:24:00.000","2019-11-05T15:57:00.000","40.769351, -73.869140"
"La Plaza  de Armando Perez","2019-05-13T00:00:00.000","M325","Constructing an outdoor solar pavilion","M325;","La Plaza Cultural;",,"Manhattan","Single Site","Private Developer",,"Greenthumb","Park Improvement",,"Construction",,,,,,,,,,,,,,,,"674 East 9th Street","2019-05-13T00:00:00.000","M325.20190607",,,,"i.	Contractar will clean-up and remedy community garden to existing conditions, restore garden to its former state, and remove all the construction debris.

ii.	Any impact to community garden soil must be remedied or replaced with soil according to GreenThumb specifications.

iii.	No gaps or egresses may be allowed along the property line. If gaps or egresses are left as a result of construction along the property they must be fenced off according to GreenThumb fence specifications. 

iv.	Any structure, rain water harvesting system, planting beds, composting bins and sheds that has to be moved by contractor must be placed back to its original position and any damages is the responsibility of the contractor

v.	All damaged plants, bush and trees must be replaced with its equivalent","2019-05-13T00:00:00.000",,"2019-07-11T00:00:00.000","2019-12-01T00:00:00.000",,,,,,,,,,,,,"2019-07-09T12:35:00.000","2019-11-05T14:52:00.000",
"Castle Hill Steam Replacement in Randall Playground","2018-02-06T00:00:00.000",,"Replacement/re-alignment of existing underground steam supply pipe between buildings #3 and #4.","X203;","Randall Playground;",,"Bronx","Single Site","NYCHA","Utility (gas, electric, telephone)","Borough Operations",,,"Construction",,,,,,,,,,,,,,,,"Maric Mechanical Inc.","2018-02-09T00:00:00.000","X203.20180606",,,,,,,"2018-06-18T00:00:00.000","2019-05-17T00:00:00.000",,,,,,,,,,,,,"2018-06-06T08:40:00.000","2019-11-05T15:57:00.000","40.819323, -73.849593"
