"manhattan_cooperatives_comparable_properties_boro_block_lot","manhattan_cooperatives_comparable_properties_address","borough","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta","manhattan_cooperatives_comparable_properties_neighborhood","manhattan_cooperatives_comparable_properties_building_classification","manhattan_cooperatives_comparable_properties_total_units","manhattan_cooperatives_comparable_properties_year_built","manhattan_cooperatives_comparable_properties_gross_sqft","manhattan_cooperatives_comparable_properties_est_gross_income","manhattan_cooperatives_comparable_properties_gross_income_per_sqft","manhattan_cooperatives_comparable_properties_full_market_value","manhattan_cooperatives_comparable_properties_market_value_per_sqft","comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_est_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_dist_from_coop_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_est_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_dist_from_coop_in_miles"
"1-01349-0044","320 57 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"MIDTOWN EAST","D4-ELEVATOR","96","1928","110000","3300000","30","16000000","145","1-00944-0001","710 2 AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","KIPS BAY","D6-ELEVATOR","157","1930","122247","3307076","27.1","16000000","131","0.9","1-01426-0029","242 72 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (59-79)","D6-ELEVATOR","71","1930","97750","2644309","27.1","12800000","131","0.75"
"1-00531-0027","28 4 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"GREENWICH VILLAGE-CENTRAL","D4-ELEVATOR","15","1902","35960","1041401","29","5050000","140","1-00573-0019","42 10 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","GREENWICH VILLAGE-CENTRAL","D7-ELEVATOR","47","1917","39782","1013516","25.5","4530000","114","0.5","1-00575-0077","55 11 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","GREENWICH VILLAGE-CENTRAL","D9-ELEVATOR","88","1924","63943","2074804","32.4","10100000","158","0.6"
"1-00897-0069","210 17 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"GRAMERCY","C6-WALK-UP","25","1903","16278","578357","35.5","2910000","179","1-00878-0059","132 23 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","GRAMERCY","C7-WALK-UP","12","1920","12160","436626","35.9","2200000","181","0.35","1-00904-0031","238 24 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","GRAMERCY","C4-WALK-UP","20","1950","9520","334596","35.1","1680000","176","0.35"
"1-01237-0005","267 89 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"UPPER WEST SIDE (79-96)","D4-ELEVATOR","34","1920","48155","828266","17.2","3370000","70","1-01206-0023","7 92 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER WEST SIDE (79-96)","D3-ELEVATOR","51","1915","45014","774315","17.2","2190000","48.7","0.4","1-01248-0037","302 87 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER WEST SIDE (79-96)","D9-ELEVATOR","54","1914","47067","904931","19.23","4040000","86","0.2"
"1-00765-0062","234 16 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"CHELSEA","C6-WALK-UP","20","1915","12080","340000","28.1","1650000","137","1-00700-0029","313 10 AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","CHELSEA","C4-WALK-UP","15","1901","12209","387000","31.7","1880000","154","0.8","1-00768-0016","237 18 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","CHELSEA","C4-WALK-UP","22","1930","10524","327000","31.1","1580000","150","0.15"
"1-02077-0050","540 146 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"HARLEM-UPPER","D4-ELEVATOR","35","1920","31430","282870","9","799000","25.4","1-02080-0011","545 148 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","HARLEM-UPPER","D1-ELEVATOR","36","1920","39845","363846","9.13","1200000","30.1","0.15","1-02098-0040","610 152 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","HARLEM-UPPER","D1-ELEVATOR","24","1926","31374","272493","8.69","898000","28.6","0.35"
"1-01401-0027","137 66 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"UPPER EAST SIDE (59-79)","D4-ELEVATOR","33","1918","62352","2147402","34.4","10800000","173","1-01438-0014","329 63 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (59-79)","D1-ELEVATOR","92","1920","47008","1618847","34.4","8140000","173","0.3","1-00593-0036","24 CHRISTOPHER STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","GREENWICH VILLAGE-WEST","D1-ELEVATOR","69","1930","48531","1924985","39.7","9680000","199","2.95"
"1-02243-0306","95 PARK TERRACE
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"INWOOD","D4-ELEVATOR","46","1925","41176","512641","12.45","1930000","46.9","1-02250-0050","583 215 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","INWOOD","D1-ELEVATOR","67","1930","68592","853743","12.45","3210000","46.8","0.15","1-02250-0080","254 SEAMAN AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","INWOOD","D1-ELEVATOR","61","1925","54261","674464","12.43","2540000","46.8","0.15"
"1-00608-0074","169 12 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"GREENWICH VILLAGE-WEST","D4-ELEVATOR","25","1922","31750","926465","29.2","4490000","141","1-00615-0036","87 GREENWICH AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","GREENWICH VILLAGE-WEST","D6-ELEVATOR","81","1930","64840","2053272","31.7","9950000","153","0.2","1-00631-0001","669 WASHINGTON STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","GREENWICH VILLAGE-WEST","D5-ELEVATOR","144","1930","137589","4015491","29.2","19500000","142","0.5"
"1-00616-0001","42 8 AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","1","10014","40.738445","-74.003789","2","3","77","1011064","1006160001","West Village                                                               ","GREENWICH VILLAGE-WEST","D4-ELEVATOR","129","1962","91500","2752320","30.1","13300000","145","1-00585-0001","464 HUDSON STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","GREENWICH VILLAGE-WEST","D7-ELEVATOR","137","1900","97290","2926217","30.1","14200000","146","0.45","1-00610-0060","1 CHRISTOPHER STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","GREENWICH VILLAGE-WEST","D6-ELEVATOR","134","1931","102354","3835244","37.5","19300000","189","0.3"
"1-00613-0040","41 PERRY STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1","10014","40.735621","-74.002818","2","3","73","1010930","1006130040","West Village                                                               ","GREENWICH VILLAGE-WEST","C6-WALK-UP","22","1910","10500","354795","33.8","1720000","164","1-00590-0050","283 BLEECKER STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","GREENWICH VILLAGE-WEST","C7-WALK-UP","18","1875","8125","380925","46.9","1920000","236","0.25","1-00592-0029","165 4 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","GREENWICH VILLAGE-WEST","C7-WALK-UP","34","1900","20670","831653","40.2","4180000","202","0.25"
"1-01348-0016","333 55 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"MIDTOWN EAST","D4-ELEVATOR","114","1962","108131","3027668","28","14700000","136","1-01350-0040","320 58 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","MIDTOWN EAST","D6-ELEVATOR","128","1961","108558","2967693","27.3","14400000","133","0.1","1-01366-0047","994 1 AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","MIDTOWN EAST","D6-ELEVATOR","132","1956","111792","3226411","28.9","15600000","140","0.15"
"1-01503-0014","1274 MADISON AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","1","10128","40.784142","-73.95643","8","4","16001","1047014","1015030014","Upper East Side-Carnegie Hill                                              ","UPPER EAST SIDE (79-96)","D4-ELEVATOR","42","1948","112857","2971000","26.3","14400000","128","1-01518-0024","1341 LEXINGTON AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (79-96)","D6-ELEVATOR","107","1960","114939","3111379","27.1","15100000","131","0.3","1-01577-0027","28 END AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (79-96)","D6-ELEVATOR","103","1950","109723","2806371","25.6","13600000","124","1"
"1-01586-0043","504 90 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"UPPER EAST SIDE (79-96)","D4-ELEVATOR","68","1942","71000","1982320","27.9","9600000","135","1-01472-0034","440 78 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (59-79)","D1-ELEVATOR","47","1936","44856","1252216","27.9","6070000","135","0.65","1-01438-0014","329 63 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (59-79)","D1-ELEVATOR","92","1920","47008","1618847","34.4","8140000","173","1.35"
"1-01517-0027","161 88 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"UPPER EAST SIDE (79-96)","D4-ELEVATOR","42","1937","36432","1129392","31","5470000","150","1-01519-0040","172 91 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (79-96)","D7-ELEVATOR","44","1900","35200","1061454","30.2","5140000","146","0.1","1-01531-0038","220 86 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (79-96)","D6-ELEVATOR","48","1925","38590","1247573","32.3","6040000","157","0.2"
"1-00606-0047","126 11 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"GREENWICH VILLAGE-WEST","D4-ELEVATOR","28","1930","29624","848135","28.6","4110000","139","1-00612-0051","159 1 2 7 AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","GREENWICH VILLAGE-WEST","D7-ELEVATOR","26","1940","17826","540084","30.3","2620000","147","0.05","1-00622-0056","53 PERRY STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","GREENWICH VILLAGE-WEST","D1-ELEVATOR","72","1930","34140","1171926","34.3","5890000","173","0.25"
"1-01825-0001","100 ST NICHOLAS AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","1","10026","40.802511","-73.952596","10","9","218","1055040","1018250001","Central Harlem South                                                       ","HARLEM-CENTRAL","D4-ELEVATOR","37","1921","49951","749265","15","2120000","42.4","1-01820-0017","131 CENTRAL PARK
Manhattan, NY 
(40.749883999647, -73.987976999939)","HARLEM-CENTRAL","D7-ELEVATOR","48","1920","47446","718740","15.15","2920000","62","0.25","1-01828-0034","200 113 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","HARLEM-CENTRAL","D1-ELEVATOR","84","1920","43946","652119","14.84","2590000","59","0.25"
"1-01756-0060","18 132 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"HARLEM-CENTRAL","C6-WALK-UP","11","1900","10460","135457","12.95","383000","36.6","1-01788-0022","2401 2 AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","HARLEM-EAST","C4-WALK-UP","18","1920","7524","97416","12.95","366000","48.6","0.55","1-01771-0052","146 123 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","HARLEM-CENTRAL","C7-WALK-UP","17","1910","16800","239865","14.28","951000","57","0.55"
"1-01881-0013","237 109 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"UPPER WEST SIDE (96-116)","C6-WALK-UP","25","1925","21370","360084","16.85","1460000","68","1-01881-0015","233 109 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER WEST SIDE (96-116)","C4-WALK-UP","25","1900","21200","355307","16.76","1450000","68","0","1-01883-0050","526 112 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER WEST SIDE (96-116)","C1-WALK-UP","25","1910","21180","358526","16.93","1460000","69","0.1"
"1-00742-0022","319 18 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"CHELSEA","D4-ELEVATOR","60","1928","33900","850000","25.1","3800000","112","1-00173-0020","80 LEONARD STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","CIVIC CENTER","D7-ELEVATOR","11","1910","26815","687607","25.6","3330000","124","1.8","1-00220-0027","36 LAIGHT STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","TRIBECA","D7-ELEVATOR","13","1900","26712","728076","27.3","3530000","132","1.45"
"1-01550-0001","1682 2 AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","1","10128","40.778643","-73.951169","8","5","14602","1050044","1015500001","Yorkville                                                                  ","UPPER EAST SIDE (79-96)","D4-ELEVATOR","148","1973","138304","4193377","30.3","20300000","147","1-01581-0049","1596 YORK AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (79-96)","D8-ELEVATOR","237","1968","241983","7337151","30.3","35500000","147","0.3","1-01584-0001","1658 YORK AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (79-96)","D7-ELEVATOR","180","1963","202322","6469907","32","31300000","155","0.25"
"1-00791-0066","136 16 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"CHELSEA","C6-WALK-UP","12","1910","14765","400000","27.1","1940000","131","1-00743-0020","335 19 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","CHELSEA","C5-WALK-UP","44","1938","14540","431000","29.6","2090000","144","0.4","1-00767-0057","228 18 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","CHELSEA","C4-WALK-UP","25","1915","14220","415000","29.2","2010000","141","0.2"
"1-02177-0175","860 181 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"WASHINGTON HEIGHTS UPPER","D4-ELEVATOR","66","1923","60780","800000","13.16","3010000","49.5","1-01990-0010","21 CLAREMONT AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","MORNINGSIDE HEIGHTS","D3-ELEVATOR","51","1910","58750","831383","14.15","3300000","56","3.1","1-01990-0053","454 RIVERSIDE DRIVE
Manhattan, NY 
(40.749883999647, -73.987976999939)","MORNINGSIDE HEIGHTS","D3-ELEVATOR","39","1911","46922","644352","13.73","2550000","54","3.1"
"1-00379-0012","406 10 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"ALPHABET CITY","C6-WALK-UP","24","1930","14653","615426","42","3090000","211","1-00372-0039","11 AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","ALPHABET CITY","C7-WALK-UP","19","1900","14400","519281","36.1","2610000","181","0.35","1-00377-0045","93 AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","ALPHABET CITY","D7-ELEVATOR","24","1900","14604","485863","33.3","2350000","161","0.1"
"1-00052-0021","120 LIBERTY STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1","10006","40.71002","-74.012408","1","1","13","1001040","1000520021","Battery Park City-Lower Manhattan                                          ","FINANCIAL","D0-ELEVATOR","24","1900","57945","1648740","28.5","7990000","138","1-00008-0039","32 PEARL STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","FINANCIAL","D5-ELEVATOR","23","1950","33907","961149","28.3","4660000","137","0.45","1-00393-0034","173 AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","ALPHABET CITY","C4-WALK-UP","19","1900","7665","239012","31.2","1160000","151","2.1"
"1-01843-0027","7 107 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"MANHATTAN VALLEY","D4-ELEVATOR","20","1920","19690","366234","18.6","1490000","76","1-01842-0053","60 107 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","MANHATTAN VALLEY","D1-ELEVATOR","25","1940","25144","488621","19.43","1610000","64","0.1","1-01842-0057","66 107 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","MANHATTAN VALLEY","D1-ELEVATOR","25","1940","25144","488768","19.44","1610000","64","0.1"
"1-02070-0037","504 139 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"HARLEM-WEST","C6-WALK-UP","30","1910","20868","226417","10.85","639000","30.6","1-01988-0050","516 135 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","HARLEM-WEST","C1-WALK-UP","25","1910","16614","174000","10.47","588000","35.4","0.2","1-02002-0017","621 135 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","HARLEM-WEST","C1-WALK-UP","20","1905","18905","184228","9.74","623000","33","0.25"
"1-01412-0001","865 PARK AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","1","10075","40.774464","-73.961361","8","4","140","1043184","1014120001","Upper East Side-Carnegie Hill                                              ","UPPER EAST SIDE (59-79)","D4-ELEVATOR","25","1920","55758","1765855","31.7","8560000","154","1-00615-0036","87 GREENWICH AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","GREENWICH VILLAGE-WEST","D6-ELEVATOR","81","1930","64840","2053272","31.7","9950000","153","3.35","1-01392-0047","50 78 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (59-79)","D6-ELEVATOR","48","1936","52356","2164781","41.3","10900000","208","0.1"
"1-02243-0347","50 PARK TERRACE
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"INWOOD","D4-ELEVATOR","50","1925","47477","719751","15.16","2930000","62","1-02220-0043","10 POST AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","INWOOD","D3-ELEVATOR","95","1922","87600","1467582","16.75","4510000","51","0.6","1-02220-0005","97 SHERMAN AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","INWOOD","D7-ELEVATOR","110","1930","89391","1213224","13.57","4560000","51","0.6"
"1-02072-0010","557 140 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"HARLEM-UPPER","C6-WALK-UP","16","1910","12745","130636","10.25","369000","29","1-02083-0011","533 151 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","HARLEM-UPPER","C1-WALK-UP","20","1910","14410","163435","11.34","576000","40","0.55","1-02068-0051","429 154 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","HARLEM-UPPER","C1-WALK-UP","20","1915","14485","140065","9.67","473000","32.7","0.7"
"1-01405-0072","733 PARK AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","1","10021","40.770325","-73.964381","8","4","128","1042760","1014050072","Upper East Side-Carnegie Hill                                              ","UPPER EAST SIDE (59-79)","D4-ELEVATOR","30","1972","114675","2970082","25.9","14400000","126","1-00590-0022","12 JONES STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","GREENWICH VILLAGE-WEST","D1-ELEVATOR","59","1920","56700","1468535","25.9","7120000","126","3.3","1-01472-0034","440 78 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (59-79)","D1-ELEVATOR","47","1936","44856","1252216","27.9","6070000","135","0.6"
"1-01166-0006","251 74 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"UPPER WEST SIDE (59-79)","D4-ELEVATOR","27","1948","22400","659680","29.5","3200000","143","1-01124-0056","42 72 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER WEST SIDE (59-79)","D6-ELEVATOR","51","1920","24607","888853","36.1","4470000","182","0.4","1-00843-0041","8 16 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","FLATIRON","D9-ELEVATOR","20","1925","20795","504000","24.24","2250000","108","3.05"
"1-01387-0027","45 72 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"UPPER EAST SIDE (59-79)","D4-ELEVATOR","50","1959","92744","2811998","30.3","13600000","147","1-01581-0049","1596 YORK AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (79-96)","D8-ELEVATOR","237","1968","241983","7337151","30.3","35500000","147","0.95","1-01343-0049","956 2 AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","MIDTOWN EAST","D6-ELEVATOR","121","1959","115000","3388075","29.5","16400000","143","1.2"
"1-00899-0032","323 2 AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","1","10003","40.735241","-73.982842","6","2","48","1019591","1008990032","Gramercy                                                                   ","GRAMERCY","D4-ELEVATOR","127","1929","138470","4253798","30.7","20600000","149","1-00844-0017","31 UNION SQUARE
Manhattan, NY 
(40.749883999647, -73.987976999939)","FLATIRON","D9-ELEVATOR","88","1902","118067","3369000","28.5","16300000","138","0.4","1-00878-0004","295 PARK AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","GRAMERCY","D9-ELEVATOR","190","1900","145299","4811189","33.1","23300000","160","0.3"
"1-01446-0038","340 72 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"UPPER EAST SIDE (59-79)","D4-ELEVATOR","35","1930","90247","2714629","30.1","13200000","146","1-00585-0001","464 HUDSON STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","GREENWICH VILLAGE-WEST","D7-ELEVATOR","137","1900","97290","2926217","30.1","14200000","146","3.5","1-01582-0031","544 86 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (79-96)","D3-ELEVATOR","31","1929","74396","2956720","39.7","14900000","200","0.75"
"1-01895-0069","622 114 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"UPPER WEST SIDE (96-116)","D4-ELEVATOR","39","1905","32575","532275","16.34","2160000","66","1-01859-0024","111 104 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER WEST SIDE (96-116)","D1-ELEVATOR","36","1950","37932","596340","15.72","2430000","64","0.55","1-01884-0021","511 112 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER WEST SIDE (96-116)","D1-ELEVATOR","24","1925","28374","481261","16.96","1960000","69","0.15"
"1-01364-0005","415 52 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"MIDTOWN EAST","D4-ELEVATOR","291","1956","430000","12255000","28.5","59400000","138","1-01488-0045","500 77 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (59-79)","D3-ELEVATOR","427","1964","530809","11042597","20.8","49300000","93","1.2","1-01465-0021","1313 YORK AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (59-79)","D6-ELEVATOR","442","1966","400612","10594781","26.4","51300000","128","0.9"
"1-01232-0061","512 END AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"UPPER WEST SIDE (79-96)","D4-ELEVATOR","46","1923","68072","1483969","21.8","6630000","97","1-01200-0005","51 86 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER WEST SIDE (79-96)","D3-ELEVATOR","83","1927","70144","1774089","25.3","7930000","113","0.4","1-01212-0053","150 82 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER WEST SIDE (79-96)","D3-ELEVATOR","60","1926","49977","1255376","25.1","5610000","112","0.25"
"1-01232-0037","202 85 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"UPPER WEST SIDE (79-96)","C6-WALK-UP","55","1910","77620","2073230","26.7","10000000","129","1-01196-0046","28 83 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER WEST SIDE (79-96)","C5-WALK-UP","30","1900","17755","474216","26.7","2300000","130","0.3","1-01210-0058","164 80 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER WEST SIDE (79-96)","C7-WALK-UP","49","1900","29825","1007151","33.8","4880000","164","0.3"
"1-00595-0011","530 CANAL STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1","10013","40.725075","-74.01043","1","1","39","1010325","1005950011","SoHo-TriBeCa-Civic Center-Little Italy                                     ","SOHO","D0-ELEVATOR","12","1900","28158","612720","21.76","2740000","97","1-00874-0060","78 IRVING PLACE
Manhattan, NY 
(40.749883999647, -73.987976999939)","GRAMERCY","D1-ELEVATOR","15","1920","16069","390600","24.31","1750000","109","1.5","1-01001-0059","152 49 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","MIDTOWN WEST","D6-ELEVATOR","31","1930","22645","619901","27.4","3000000","132","2.8"
"1-01122-0029","91 CENTRAL PARK
Manhattan, NY 
(40.749883999647, -73.987976999939)","1","10000","40.782295","-73.965126","64","6","143","1000000","1011110001","park-cemetery-etc-Manhattan                                                ","UPPER WEST SIDE (59-79)","D4-ELEVATOR","94","1929","209355","6623992","31.6","32100000","153","1-01126-0029","135 CENTRAL PARK
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER WEST SIDE (59-79)","D3-ELEVATOR","64","1906","217280","8489130","39.1","42700000","197","0.2","1-01164-0005","253 72 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER WEST SIDE (59-79)","D6-ELEVATOR","265","1926","218851","5298037","24.21","23700000","108","0.4"
"1-00877-0067","7 LEXINGTON AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","1","10010","40.738634","-73.985367","6","2","68","1018007","1008770067","Gramercy                                                                   ","GRAMERCY","D4-ELEVATOR","97","1951","84851","3099607","36.5","15600000","184","1-00928-0040","320 23 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","KIPS BAY","D6-ELEVATOR","213","1965","153800","5841765","38","29400000","191","0.25","1-00927-0038","320 22 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","KIPS BAY","D9-ELEVATOR","94","1948","67048","2353723","35.1","11800000","176","0.25"
"1-01556-0036","328 94 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","1",,,,,,,,,,"UPPER EAST SIDE (79-96)","C6-WALK-UP","14","1920","8700","224460","25.8","1090000","125","1-01526-0035","226 81 STREET
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (79-96)","C4-WALK-UP","20","1920","9895","459317","46.4","2310000","233","0.65","1-01540-0047","1691 3 AVENUE
Manhattan, NY 
(40.749883999647, -73.987976999939)","UPPER EAST SIDE (79-96)","C7-WALK-UP","12","1920","5998","145140","24.2","649000","108","0.15"
