"title","alternate_title","primary_artist_last","primary_artist_first","primary_artist_middle","secondary_artist_last","secondary_artist_first","secondary_artist_middle","artists_keyword","primary_architect_last","primary_architect_first","primary_architect_middle","secondary_architect_last","secondary_architect_first","secondary_architect_middle","landscape_architect_last","landscape_architect_first","landscape_architect_middle","architecture_firm","foundry","fabricator","date_created","date_created_approximation","date_dedicated","date_dedicated_approximation","artwork_type1","artwork_type2","material","location_name","address","city","state","zip_code","borough","subject_keyword","inscription","managing_city_agency","acquisition","pdc_records","latitude","longitude","block","lot"
"Japanese Tori","Kasuga-Toro (Stone Lantern)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1960","N","1960","N","Lantern","Artwork/Monument","Limestone","Sakura Park","West 122nd St and Riverside Drive","New York","NY","10027","Manhattan","Asian, Japanese, East Asian","PRESENTED BY THE CITIZENS OF THE METROPOLIS OF TOKYO TO THE CITIZENS OF THE CITY OF NEW YORK IN CELEBRATION OF THE TOKYO-NEW YORK SISTER-CITY AFFILIATION INAUGURATED ON FEBRUARY 29TH, 1960","Department of Parks and Recreation","Gift from the City of Tokyo","3346","40.813502","-73.961676","1994","1"
"Peter Caesar Alberti","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","A. Ottavino Corp. (replication)","1960","N","1960; 1985","N","Plaque","Monument/Memorial","Granite","Battery Park","Whitehall Street and Battery Place","New York","NY","10004","Manhattan","Italian, Colonial, Immigrant","IN HONOR OF / PETER CAESAR ALBERTI / FIRST ITALIAN TO ARRIVE IN NEW AMSTERDAM / JUNE 2, 1635 / --- / ALBERTI, A NATIVE OF VENICE, SETTLED NEAR / THE WALL STREET AREA OF MANHATTAN AND LATER / IN THE FORT GREENE SECTION OF BROOKLYN. / PRESENTED BY / THE ITALIAN HISTORICAL SOCIETY OF AMERICA / THE COLUMBUS CITIZENS FOUNDATION / THE CITY OF VENICE / THE ORIGINAL MARKER WAS PLACED IN THE BATTERY / JUNE 2, 1958 AS PART OF THE COMMEMORATION / OF NEW YORK STATE’S “YEAR OF HISTORY” /","Department of Parks and Recreation","Gift of Italian Historical Society of America, the Columbus Citizens Foundation and the City of Venice","1371","40.704450","-74.016200","3","1"
"Theodor Herzl Memorial","NULL","Dilorenzo","Joseph","A.","NULL","NULL","NULL","American","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1960","N","1960","N","Flagstaff base, plaque","Monument/Memorial","Bronze, Stony Creek granite","Freedom Square","73rd Terrace and Vleigh Place","Flushing","NY","11367","Queens","Jewish, Journalist, Playwright, Activist","plaque: 1860-1904 --- CENTENNIAL / THEODOR HERZL / FIGHTER FOR FREEDOM / ""IF YOU WILL IT, IT IS NO DREAM"" / MAY 2ND 1960 / KEW GARDENS HILLS / ZIONIST DISTRICT /","Department of Parks and Recreation","Gift of Kew Gardens Zionist District","3145","40.723614","-73.820409","6626","50"
"Battle of Harlem Heights Marker","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","United States Bronze Sign Co.","NULL","1961","Y","1961","N","Plaque","Marker","Bronze, granite","Riverside Park","121st Street and Riverside Drive","New York","NY","10025","Manhattan","American Revolutionary War, Colonial, War","BATTLE OF HARLEM HEIGHTS / SEPTEMBER 16 - 1776 / IN GRATEFUL REMEMBRANCE OF / THE BRAVE SOLDIERS / OF NEW YORK, NEW JERSEY, / CONNECTICUT, MASSACHUSETTS, / RHODE ISLAND, PENNSYLVANIA,/ MARYLAND AND VIRGINIA / WHO UNDER / GENERAL GEORGE WASHINGTON / FOUGHT AND DIED ON THIS SITE / FOR LIBERTY / IN THEIR COUNTRY'S STRUGGLE / AGAINST BRITISH TYRANNY. /---/ DEDICATED BY THE / DAUGHTERS OF THE DEFENDERS OF THE REPUBLIC, U.S.A. / [emblem of D.D.R.] / AMANDA SHAW HIRSCH / FOUNDER & PRESIDENT-GENERAL / MAY 16, 1961","Department of Parks and Recreation","Gift of Daughters of the Defenders of the Republic, U.S.A.","2287","40.812094","-73.963499","1897","1"
"East Coast Memorial","NULL","Manca","Albino","NULL","NULL","NULL","NULL","Italian, American","Harbeson","Paul","Cret","NULL","NULL","NULL","NULL","NULL","NULL","Gehron and Seltzer","Bedi-Rassy Art Foundry, NY","NULL","1961","N","1963","N","Statue, pedestals","Monument/Memorial","Bronze, granite","Battery Park","NULL","New York","NY","10004","Manhattan","World War II, War","Front pedestal: 1941 **** 1945 / ERECTED BY THE UNITED STATES OF AMERICA / IN PROUD AND GRATEFUL REMEMBRANCE / OF HER SONS / WHO GAVE THEIR LIVES IN HER SERVICE/ AND WHO SLEEP IN THE AMERICAN COASTAL WATER / OF THE ATLANTIC OCEAN / INTO THY HANDS, OH LORD Back of pedestal: 1941 *** 1945 / IN ADDITION TO THE 4,597 AMERICAN SERVICEMENT HONORED HERE / WHO LOST THEIR LIVES IN HER SERVICE AND / WHO SLEEP IN THE AMERICAN COASTAL WATERS OF THE ATLANTIC OCEAN / THE UNITED STATES OF AMERICA / HONORS THE 6,185 SEAMEN OF THE UNITED STATES MERCHANT MARINE / AND THE 529 SEAMEN OF THE UNITED STATES ARMY TRANSPORT SERVICE / WHO LOST THEIR LIVES DURING WORLD WAR II","Department of Parks and Recreation","Gift of the American Battle Monuments Commission","1371","40.702154","-74.015838","3","1"
"Knights of Pythias Memorial","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Phil Madonick Monuments Inc.","NULL","1961","Y","1961","N","Stele","Monument/Memorial","Granite","Central Park","The Mall","New York","NY","10022","Manhattan","World War I, War","TO OUR VALIANT BROTHERS WHO DIED / IN THE SERVICE OF OUR COUNTRY / IN WORLD WAR I / KNIGHTS OF PYTHIAS - STATE OF NEW YORK/ SIDNEY A. SCHWARTZ 60TH INFANTRY, MACHINE CO. TRIANGLE LODGE #153 / MORRIS DICKSTEIN 4TH INFANTRY, CO. C. COSMOPOLITAN, LODGE #202 / LOUIS I. HIRSCHFIELD 30TH INFANTRY, CO. D. COSMOPOLITAN LODGE #202 / DAVID RIESMAN COMMISSARY DEPT. WASHINGTON D.C. NONPAREIL LODGE #214 / JEROME HEINE 111TH INFANTRY, CO. 11 PINTA LODGE #331 / DAVID M. KLEIN 307TH INFANTRY, CO. K. COLUMBUS LODGE #332 / JESSE STEINTHAL 308TH INFANTRY, CO. K. SIOUX LODGE #337 / ALEXANDER GOLDBERG 308TH INFANTRY, CLAREMORE LODGE #451 / EMANUEL BRODE 30TH INFANTRY HEADQUARTERS CO. FANCOURT LODGE #452 /","Department of Parks and Recreation","Gift of The Grand Lodge-Knights of Pythias","2649","40.771708","-73.970792","1111","1"
"Robert F. Wagner","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Department of Parks and Recreation","NULL","NULL","NULL","1961","N","1961","N","Plaque","Monument/Memorial","Bronze","NULL","655 Madison Avenue","New York","NY","10065","Manhattan","Politician, Mayor, Veteran, World War II, Public Servant, Ambassador, War","TO COMMEMORATE THE PLANTING / OF ONE HUNDRED TREES / IN HONOR OF/ ROBERT F. WAGNER / MAYOR OF THE CITY OF NEW YORK / FOR HIS GREAT VISION AND DEVOTION / TO CIVIC IMPROVEMENT/ PRESENTED BY THE ALBERT AND MARY LASKER FOUNDATION / 1960 /","Department of Parks and Recreation","Gift of Albert and Mary Lasker Foundation","3387","40.7644678","-73.97066371","1375","21"
"Carmine Liotti and Lloyd Ikefugi","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1962","N","1962","N","Plaque","Monument/Memorial","Bronze","Liotti-Ikefugi Playground","Winter Avenue and Bismark Avenue","Staten Island","NY","10301","Staten Island","Veteran, World War II, War","DEDICATED TO / THE MEMORY OF / CARMINE LIOTTI / BORN DEC. 13, 1924 / KILLED IN ACTION APRIL 15, 1945 / LLOYD IKEFUGI / BORN SEPT. 16, 1923 / KILLED IN ACTION APRIL 25, 1945 / CARMINE GRANITO / WILLIAM SMITH / POST NO. 1296","Department of Parks and Recreation","Gift of Granito-Smith Post No. 1296","3464","40.638834","-74.084205","37","6"
"Kimlau War Memorial","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Chinese, American","Lee","Poy","G.","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1962","N","1962","N","Arch","Monument/Memorial","Granite, structural steel, cement","Chatham Square","East Broadway and Worth Street","New York","NY","10038","Manhattan","Chinese, Arch, Asian, East Asian, Veterans","IN MEMORY OF THE AMERICANS OF / CHINESE ANCESTRY WHO LOST THEIR LIVES / IN DEFENSE OF FREEDOM AND DEMOCRACY","Department of Parks and Recreation","Gift of The American Legion","3332, 4174","40.713500","-73.998139","117","100"
"Richard C. Patterson, Jr.","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1962","N","1962","N","Plaque, plinth","Monument/Memorial","Bronze, marble","Central Park","Fifth Avenue between 60th Street and 61st Street","New York","NY","10021","Manhattan","Diplomat","TO COMMEMORATE THE PLANTING / OF TWENTY ONE TREES / IN HONOR OF / COMMISSIONER RICHARD C. PATTERSON, JR / CO-CHAIRMAN OF NEW YORK'S SALUTE TO SEASONS / FOR HIS UNTIRING EFFORTS TO / BEAUTIFY OUR
CITY / PRESENTED BY A GRATEFUL NEW YORKER / 1962 / FIFTH AVENUE - EAST 60TH STREET TO EAST 79TH STREET/","Department of Parks and Recreation","Gift of Mary Lasker","3481","40.774503","-73.9663","1111","1"
"Antonin Dvorak","NULL","Mestrovic","Ivan","NULL","NULL","NULL","NULL","Croatian, Yugoslav","Pokorny","Jan","Hird","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1963","N","1997","N","Statue","Monument/Memorial","Bronze on granite","Stuyvesant Square","East 17th Street and Nathan D. Perlman Place","New York","NY","10008","Manhattan","Composer, Music, Musician","ANTONIN DVORAK / 1841 - 1904","Department of Parks and Recreation","The New York Philharmonic; The Dvorak American Heritage Association","2114","40.733828,","-73.982867","922","1"
"John F. Kennedy Memorial Tree marker","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1963","N","1963","N","Plaque","Monument/Memorial","Granite","Columbus Park","Montague and Court Street","Brooklyn","NY","11201","Brooklyn","President of the United States, politician, public servant","IN MEMORY OF / JOHN FITZGERALD KENNEDY / 35TH PRESIDENT OF THE UNITED STATES / THIS TREE PLANTED ON DECEMBER 6TH 1963 / BY / ABE STARK / PRESIDENT OF THE BOROUGH OF BROOKLYN","Department of Parks and Recreation","Gift of the Brooklyn Borough President","2267","40.693658","-73.989860","139","1"
"Wave Hill Landmarks Plaque","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1963","N","1963","N","Plaque","Marker","Aluminum","NULL","West 252nd Street and Independence Avenue","Bronx","NY","10471","Bronx","Landmark","LANDMARKS OF NEW YORK / WAVE HILL / THIS STRUCTURE, BUILT FOR WILLIAM LEWIS MORRIS / PRIOR TO 1620, HAS BEEN THE RESIDENCE OF / THOMAS H. APPLETON, THEODORE ROOSEVELT / MARK TWAIN, GEORGE W. PERKINGS, BASHFORD DEAN, / ARTURO TOSCANINI AND OTHERS. VISITORS / TO WAVE HILL HAVE INCLUDED THACKERAY, / TYNDALL, HERBERT SPENCER, THOMAS HUXLET AND / QUEEN MOTHER ELIZABETH. FROM 1950 TO 1956 IT / WAS LEASED TO THE BRITISH GOVERNMENT AS A / RESIDENCE FOR ITS AMBASSADOR TO THE UNITED NATIONS. / IN 1960 IT WAS PRESENTED TO THE DEPARTMENT OF / PARKS BY MR. AND MRS. EDWARD WOOLSEY FREEMAN. / PLAQUUE ERECTED 1963 BY / THE NEW YORK COMMUNITY TRUST","Department of Parks and Recreation","Gift of New York Community Trust","3503","40.900093","-73.911086","5937","440"
"Bowling Green Fence Plaque","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1964","N","1964","N","Plaque","Marker","Bronze","Bowling Green","Broadway and Beaver Street","New York","NY","10004","Manhattan","Colonial, American Revolutionary War","LANDMARKS OF NEW YORK / BOWLING GREEN FENCE / ERECTED BY COMMON COUNCIL IN 1771 / THIS FENCE SURROUNDS NEW YORK'S EARLIEST/PARK. THE PARK WAS LEASED IN 1733 FOR USE / AS A BOWLING GREEN AT A RENTAL OF ONE / PEPPERCORN A YEAR. PATRIOTS, WHO IN 1776 / DESTROYED AN EQUESTRIAN STATUE OF GEORGE / III WHICH STOOD HERE, ARE SAID TO HAVE / REMOVED THE CROWNS WHICH CAPPED THE / FENCE POSTS BUT THE FENCE ITSELF REMAINS. / PLAQUE ERECTED 1964 BY / THE NEW YORK COMMUNITY TRUST/","Department of Parks and Recreation","Gift of The New York Community Trust","1988","40.704730","-74.013749","12","28"
"Charles Revson Fountain","Lincoln Center fountain","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Philip Johnson Associates","NULL","Slattery Contracting Co. (GC); Eugene Duklauer Inc. (plumbing); Nager Electric Co., Inc. (electric); Syska & Hennessy Inc. (mechanical engineer); J.S. Hamel of Hamel & Langer (fountain engineer)","1964","N","1964","N","Fountain","Artwork/Monument","Black Granite","Lincoln Center","Columbus Avenue between 62nd Street and 63rd Street","New York","NY","10023","Manhattan","Fountain, philanthropist, businessman, Revlon","Dedicated: INAUGURATED BY HON. PAUL R. SCREVANE, PRES OF NYC COUNCIL AND WILLIAM SCHUMAN PRES OF LINCOLN CENTR / 

Inscription: THIS FOUNTAIN IS DONATED BY THE REVLON FOUNDATION IN HONOR OF CHARLES REVSON","Department of Parks and Recreation","Gift of the Revlon Foundation","3470","40.772310","-73.983399","1134","1"
"Forms in Transit","NULL","Roszak","Theodore","NULL","NULL","NULL","NULL","American","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1964","N","1964","N","Sculpture","Artwork","Sheet metal, tube metal","Flushing Meadows Corona Park","Avenue of Science","Corona","NY","11368","Queens","1964-65 World's Fair, Flight, Transit","FORMS IN TRANSIT. THE IDEA FOR THE SCULPTURE / EMERGED FROM VARIOUS FORMS IN MOTION HAVING / THEIR COMBINED ORIGIN BOTH IN NATURE AS WELL AS / IN MAN MADE OBJECTS. THE BAS-RELIEFS ILLLUSTRATE / EVOLUTIONARY SEQUENCE OF MOVEMENT FROM A SINGLE / FIRST STEP TO THE COSMIC SPEED OF A METEOR /

THEODORE ROSZAK SC. 1964","Department of Parks and Recreation","Commissioned for the New York World's Fair","3375","40.748280","-73.851411","2018","1"
"Free Form","Form","De Rivera","José","NULL","NULL","NULL","NULL","Spanish, Creole, American","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1964","N","1964","N","Kinetic sculpture","Artwork","Stainless steel, Atlantic black granite","Flushing Meadows Corona Park","Avenue of the States and United Nations Avenue N","Corona","NY","11368","Queens","1964-65 World's Fair","JOSE DE RIVERA / 1964","Department of Parks and Recreation","Commissioned for the New York World's Fair","2103","40.747272","-73.846811","2018","1"
"Freedom of the Human Spirit","NULL","Fredericks","Marshall","NULL","NULL","NULL","NULL","Scandinavian, American","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1964","N","1964","N","Sculpture","Artwork","Bronze, pink granite","Flushing Meadows Corona Park","Court of States","Corona","NY","11368","Queens","1964-65 World's Fair","BEDI-MAKKY ART FOUNDRY, N.Y.","Department of Parks and Recreation","Commissioned for the New York World's Fair","2103","40.747888","-73.845882","2018","1"
"John N. LaCorte","NULL","Manca","Albino","NULL","NULL","NULL","NULL","Italian, American","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Mark Sullivan, Sullivan Group Design LLC","NULL","NULL","1964","N","2004","N","Memorial wall","Monument/Memorial","Bronze, granite","John Paul Jones Park","101st Street between and Fort Hamilton Parkway","Brooklyn","NY","11209","Brooklyn","Italian Americans, Italy, Italians, Immigrant, Immigration","Top inscription: INSPIRATIO PER EXEMPLUM - INSPIRATION THROUGH EXAMPLE /

Far left section: THIS GARDEN HONORS THE LEGACY OF ITALIAN-AMERICAN / JOHN N. LACORTE (1910-1991) /

Middle left section: JOHN LACORTE CHAMPIONED AWARENESS OF THE POSITIVE / ACHIEVEMENTS OF ITALIANS AND ITALIAN-AMERICANS. HIS EFFORTS / LED TO THE ESTABLISHMENT OF THE ITALIAN HISTORICAL SOCIETY OF AMERICA (1949), WHOSE MISSION IS TO PERPETUATE THE NAMES OF THOSE OF ITALIAN HERITAGE WHO HAVE CONTRIBUTED TO THE / ADVANCEMENT OF HUMANKIND. /

Middle bottom section: THE VERRAZANO MEDALLION, THE WORK OF ARTIST ALBINO MANCA / (1898-1976), WAS ORIGINALLY COMMISSIONED TO COMMEMORATE THE / 1964 DEDICATION OF THE VERRAZANO-NARROWS BRIDGE, VANDALIZED / AND LOST FOR MANY YEARS, THE RESTORED MEDALLION HAS BEEN / INCORPORATED INTO THIS COMMEMORATIVE GARDEN. /

Middle right section: AMONG THESE INDIVIDUALS WAS GIOVANNI DA VERRAZANO (1480-1528), / THE FIRST EUROPEAN TO SAIL THROUGH THESE NARROWS TO DISCOVER / UPPER NEW YORK BAY AND THE HUDSON RIVER IN 1524, EIGHTY-FIVE / YEARS PRIOR TO HENRY HUDSON'S ARRIVAL. THE DEDICATED EFFORT / OF JOHN LACORTE LED TO THE NAMING OF THIS MAGNIFICENT BRIDGE / AFTER THE GREAT ITALIAN EXPLORER /

Far right section: THROUGHOUT HIS LIFE JOHN LACORTE WAS GUIDED BY THE PRINCIPLE / ""INSPIRATIO PER EXEMPLUM,"" WHICH BECAME THE MOTTO OF THE ITALIAN HISTORICAL SOCIETY OF AMERICA. / JULY 4TH, 2003 BROOKLYN, NEW YORK /","Department of Parks and Recreation","Gift of The Italian Historic Society","6278","40.610862","-74.033067","6140","1"
"Joseph J. Lynch and Ferdinand A. Socho Memorial","NULL","Beretta","A.","Walter","NULL","NULL","NULL","American","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1964","N","1964","N","Plaque, plinth","Monument/Memorial","Bronze","Flushing Meadows Corona Park","Avenue of the States","Corona","NY","11368","Queens","1939-40 World's Fair, 1964-65 World's Fair, NYPD, Police","THIS PLAQUE IS DEDICATED TO THE/ MEMORY OF DETECTIVES/ JOSEPH J. LYNCH AND FERDINAND A. SOCHA / BOMB AND FORGERY SQUAD / WHO WERE KILLED IN THE LINE OF DUTY / WHILE EXAMINING A TIME BOMB TAKEN FROM / THE BRITISH PAVILION OF THE WORLD'S FAIR / IN FLUSHING MEADOW PARK AT 4:45 PM ON / JULY 4, 1940.","Department of Parks and Recreation","Gift of the New York Police Department","NULL","40.745694","-73.846167","2018","1"
"Rocket Thrower","NULL","De Lue","Donald","NULL","NULL","NULL","NULL","American","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Fonda Artista (Original); Modern Art Foundry, 1989 repair","NULL","1964","N","1964","N","Sculpture","Artwork","Bronze","Flushing Meadows Corona Park","Hall of Astronauts","Corona","NY","11368","Queens","1964-65 World's Fair, Space","NULL","Department of Parks and Recreation","Commissioned for the New York World's Fair","2103","40.747389","-73.842111","2018","1"
"Unisphere and Fountain","NULL","Clarke","Gilmore","D.","NULL","NULL","NULL","American","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1964","N","1964","N","Sculpture, Fountain","Monument/Memorial","Stainless steel cage, steel mesh, granite, lights","Flushing Meadows Corona Park","Unisphere","Flushing","NY","11368","Queens","1964-65 World's Fair","NULL","Department of Parks and Recreation","Gift of USS Steel Corporation; Gift of World's Fair Corporation","NULL","40.746459","-73.845039","2018","1"
"Unisphere Tablets (4)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1964","N","1964","N","Plaque","Marker","Stainless steel, granite","Flushing Meadows Corona Park","Unisphere","Flushing","NY","11368","Queens","1964-65 World's Fair","UNISPHERE / DEDICATED TO MAN'S ASPIRATIONS TOWARD PEACE THROUGH MUTUAL UNDERSTANDING AND SYMBOLIZING HIS ACHIEVEMENTS IN AN EXPANDING UNIVERSE / BUILT AND PRESENTED BY / UNITED STATES STEEL CORPORATION / TO THE 1964-65 NEW YORK WORLD'S FAIR, APRIL 22, 1964 / MADE OF STAINLESS STEEL, THE UNISPHERE IS 140' HIGH, 120' IN DIAMETER AND WEIGHS 700,00 POUNDS","Department of Parks and Recreation","Gift of USS Steel Corporation","NULL","40.746811","-73.844960","2018","1"
"Verrazzano Memorial Flagstaff","NULL","Manca","Albino","NULL","NULL","NULL","NULL","Italian, American","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1964","N","1964","N","Flagstaff base, relief","Monument/Memorial","Bronze, marble","John J. Carty Park","Fort Hamilton Parkway and 95th Street","Brooklyn","NY","11209","Brooklyn","Explorer, Italian","GIOVANNI DA VERRAZANO / 1480 / FLORENTINE EXPLORER / 1528","Department of Parks and Recreation","NULL","NULL","40.614861","-74.028590","6153","60"
"Bartel-Pritchard Circle War Memorial","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1965","Y","1965","N","Plaque","Monument/Memorial","Granite","Bartel-Pritchard Square","Prospect Park Southwest and Prospect Park West","Brooklyn","NY","11215","Brooklyn","War, Veterans","Side 1: 
[VFW symbol] / IN MEMORY OF THE MEN / OF THIS COMMUNITY WHO / HAVE GIVEN THEIR LIVES / IN WARTIME SERVICE/ TO THEIR COUNTRY/ ERECTED BY / PATRICK J. DEVANEY POST #964 / V.F.W. OF U.S. / 1965 / 

Side 2:
[VFW symbol] / FOR VALOR / AND / SACRIFICE / 1965 /","Department of Parks and Recreation","Gift of Patrick J. Devaney Post No. 964, Veterans of Foreign Wars of the United States","3624","40.661006","-73.979866","NULL","NULL"
"Delacorte Clock","Children's Clock","Spadini","Andrea","NULL","NULL","NULL","NULL","Italian","Embury","Edward","Coe","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1965","N","1965","N","Clock, sculpture, plaque","Artwork","Bronze, iron, brick, limestone","Central Park","East 65th Street and Fifth Avenue","New York","NY","10065","Manhattan","Children, animals, philanthropist, clock","NULL","Department of Parks and Recreation","Gift of George T. Delacorte, George Delacorte Fund","1859","40.768106","-73.971152","1111","1"
"John Cashmore Marker","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Embury II","Aymar","NULL","Embury","Edward","Coe","NULL","NULL","NULL","NULL","NULL","NULL","1965","N","1965","N","Stele","Monument/Memorial","Granite; Bronze","Columbus Park","Montague and Court Street","Brooklyn","NY","11201","Brooklyn","Politician, Public Servant, Borough President","1) front: ""JOHN CASHMORE /---/ 1895-1961 /---/ PRESIDENT OF THE BOROUGH / OF BROOKLYN FROM 1940 / UNTIL HIS DEATH / IT WAS DURING HIS LONG & / FRUITFUL ADMINISTRATION / THAT THE IDEA OF THIS / BROOKLYN CIVIC CENTER / WAS PLANNED & ACHIEVED /---/ THIS SPOT IS DEDICATED TO HIS MEMORY / BY HIS FELLOW CITIZENS / OF BROOKLYN""

2) rear: ""JOHN CASHMORE / 1895-1961""","Department of Parks and Recreation","Gifted by The Citizens of Brooklyn","111, 2739","40.693528","-73.989694","139","1"
"John F. Kennedy Memorial","NULL","Estern","Neil","NULL","NULL","NULL","NULL","American","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1965","N","1965; 2010 (recast)","N","Bust, pedestal","Monument/Memorial","Bronze, granite","Grand Army Plaza","Grand Army Plaza","Brooklyn","NY","11238","Brooklyn","President of the United States, politician, public servant","Front: JOHN / FITZGERALD / KENNEDY/ MAY 29, 1917 / NOVEMBER 22, 1963 / 35TH PRESIDENT / OF THE / UNITED STATES / 1961-1963 / 

Base: ASK NOT WHAT YOUR / COUNTRY CAN DO FOR YOU; / ASK WHAT YOU CAN DO FOR / YOUR COUNTRY","Department of Parks and Recreation; Prospect Park Alliance","Commissioned by The City of New York","1611","40.674263","-73.970172","NULL","NULL"
"Susan E. Wagner","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Vollmer Associates","NULL","NULL","1965","N","1965","N","Plaque","Marker","Bronze","Park Avenue Malls","Park Ave between East 75th Street and East 76th Street","New York","NY","10021","Manhattan","Women, Woman, First Lady","THIS FORTY FLOWERING CHERRY TREES / IN THE MALLS BETWEEN 75TH AND 96TH STREETS / A GIFT OF THE / ALBERT & MARY LASKER FOUNDATION / WERE PLANTED IN MEMORY OF / SUSAN E. WAGNER / BELOVED FIRST LADY OF THE CITY OF NEW YORK / NOVEMBER 1964","Department of Parks and Recreation","Gift of Albert and Mary Lasker Foundation","3297","40.773052","-73.962479","NULL","NULL"
"World's Fair Time Capsule Marker","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","1965","N","1965","N","Granite marker","Marker","Granite","Flushing Meadows Corona Park","Avenue of the States","Corona","NY","11368","Queens","1939-40 World's Fair, 1964-65 World's Fair, World's Fair, Time Capsule","THE TIME CAPSULES / DEPOSITED / SEPTEMBER 23, 1938 / AND / OCTOBER 16, 1965 / BY THE / WESTINGHOUSE ELECTRIC CORPORATION / AS A RECORD OF / TWENTIETH CENTURY CIVILIZATION / TO ENDURE FOR 5000 YEARS","Department of Parks and Recreation","Gift of Westinghouse Electric Corporation","2103","40.74303","-73.845926","2018","1"
"Neumann-Goldman","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","Sheredow Bronze Corp.","A. Ottavino Corp. (granite base)","NULL","1966","N","1966","N","Flagstaff base, plaque","Monument/Memorial","Bronze, barre granite","Williamsbridge Playground","Bainbridge Avenue and Van Cortlandt Avenue East","Bronx","NY","10467","Bronx","Jewish, Veteran, War","IN MEMORIAM / LT. GEORGE H. GOLDMAN / COL. JERRY NEUMANN / AND / ALL OF OUR BRONX HEROES WHO HAVE MADE / THE SUPREME SACRIFICE TO KEEP AMERICA FREE / PRESENTED BY / NEUMANN-GOLDMAN POST NO. 69 / JEWISH WAR VETERANS OF THE UNITED STATES OF AMERICA / FOUNDED 1933 / DEDICATED MAY 30, 1966","Department of Parks and Recreation","Gift of Neumann-Goldman Post No. 69, Jewish War Veterans of the United States","3660","40.877249","-73.879596","3343+AM133:AU135","500"
