"license_number","entity_name","telephone_number","shl_endorsed","building","street","city","state","zip","type_of_base","latitude","longitude","date","time","location"
"B02096","CET GROUP, INC","2129650889","No","47","LUDLOW STREET","NEW YORK","NY","10002","BLACK CAR BASE","40.71642","-73.99046","2022-08-29T00:00:00.000","18:00:20","
,  
(40.71642, -73.99046)"
"B02099","SUNNY'S LIMOUSINE SERVICE INC","8009490949","No","88-43","76 AVENUE","GLENDALE","NY","11385","LUXURY/LIMOUSINE","40.708035","-73.8608","2022-08-29T00:00:00.000","18:00:20","
,  
(40.708035, -73.8608)"
"B02101","EXEC TRANSPORT INC","9176061978","No","38-17","CRESCENT STREET","LIC","NY","11101","BLACK CAR BASE","40.755182","-73.935989","2022-08-29T00:00:00.000","18:00:20","
,  
(40.755182, -73.935989)"
"B02103","A & S LIMOUSINE SERVICE CORP","7184551900","No","712","BROADWAY  2ND FLOOR","BROOKLYN","NY","11206","LIVERY BASE","40.701213","-73.943166","2022-08-29T00:00:00.000","18:00:20","
,  
(40.701213, -73.943166)"
"B02107","APOLLO RADIO DISPATCH INC.","7185181111","Yes","1074","PROSPECT AVENUE","BRONX","NY","10459","LIVERY BASE","40.830356","-73.89832","2022-08-29T00:00:00.000","18:00:20","
,  
(40.830356, -73.89832)"
"B02110","OPTIMUM CAR & LIMO, INC.","7186909128","No","241","37TH STREET  STE# 1-4-B443","BROOKLYN","NY","11232","BLACK CAR BASE","40.678782","-73.989979","2022-08-29T00:00:00.000","18:00:20","
,  
(40.678782, -73.989979)"
"B02111","HUANG HOU CAR SERVICES INC.","7187623333","No","35-27","FARRINGTON STREET","FLUSHING","NY","11354","LIVERY BASE","40.763587","-73.831238","2022-08-29T00:00:00.000","18:00:20","
,  
(40.763587, -73.831238)"
"B02120","HARRISON GLOBAL LLC","9733760145","No","780","DOWD AVENUE","ELIZABETH","NJ","07201","LUXURY/LIMOUSINE","40.672805","-74.191579","2022-08-29T00:00:00.000","18:00:20","
,  
(40.672805, -74.191579)"
"B02127","CONTINENTAL RIDE, INC.","8007063495","No","111","WASHINGTON AVENUE","DUMONT","NJ","07628","LUXURY/LIMOUSINE","40.940024","-73.993747","2022-08-29T00:00:00.000","18:00:20","
,  
(40.940024, -73.993747)"
"B02133","TWR CAR & LIMO, INC.","7186432200","No","241","37TH STREET  STE# 1-4-B460","BROOKLYN","NY","11232","BLACK CAR BASE","40.678782","-73.989979","2022-08-29T00:00:00.000","18:00:20","
,  
(40.678782, -73.989979)"
"B02138","GUADALUPANA CAR LIMO, INC","7186210404","No","65-06","20 AVENUE","BROOKLYN","NY","11204","LIVERY BASE","40.598144","-74.005","2022-08-29T00:00:00.000","18:00:20","
,  
(40.598144, -74.005)"
"B02144","SILVER STAR LIMOUSINES, INC.","5165400040","No","145","WEST JOHN STREET","HICKSVILLE","NY","11801","LUXURY/LIMOUSINE","40.767439","-73.532154","2022-08-29T00:00:00.000","18:00:20","
,  
(40.767439, -73.532154)"
"B02152","KYOEI LIMOUSINE, INC.","2129490868","No","57-48","MASPETH AVENUE","MASPETH","NY","11378","LUXURY/LIMOUSINE","40.722961","-73.91031","2022-08-29T00:00:00.000","18:00:20","
,  
(40.722961, -73.91031)"
"B02157","REAGAN CONVEYANCE  CORP.","5168612019","No","62","MAIN STREET","PT WASHINGTON","NY","11050","LUXURY/LIMOUSINE","40.836412","-73.70666","2022-08-29T00:00:00.000","18:00:20","
,  
(40.836412, -73.70666)"
"B02160","12TH STREET LUXURY CARS, INC.","7189472500","No","35-58","12 STREET","LIC","NY","11106","BLACK CAR BASE","40.761054","-73.93929","2022-08-29T00:00:00.000","18:00:20","
,  
(40.761054, -73.93929)"
"B02162","A B C SHUTTLE SERVICES CORPORATION","7183227777","No","141-36","ROCKAWAY BOULEVARD","SOUTH OZONE PK","NY","11436","LIVERY BASE","40.67387","-73.79852","2022-08-29T00:00:00.000","18:00:20","
,  
(40.67387, -73.79852)"
"B02163","JUNIORS EXPRESS CAR SERVICE INC.","7188591155","No","1509","CORTELYOU ROAD","BROOKLYN","NY","11226","LIVERY BASE","40.641619","-73.96416","2022-08-29T00:00:00.000","18:00:20","
,  
(40.641619, -73.96416)"
"B02167","MADISON LIMOUSINE INC","7187679210","No","18-31","COLLEGE POINT BOULEVARD","COLLEGE POINT","NY","11356","BLACK CAR BASE","40.782244","-73.8456","2022-08-29T00:00:00.000","18:00:20","
,  
(40.782244, -73.8456)"
"B02173","ADMIRE LLP LLC","9086885777","No","2421","IORIO COURT  STE B","UNION","NJ","07083","LUXURY/LIMOUSINE","40.694913","-74.2986","2022-08-29T00:00:00.000","18:00:20","
,  
(40.694913, -74.2986)"
"B02182","FINEST CAR SERVICE, LLC","7186436466","Yes","335","BOND STREET","BROOKLYN","NY","11231","LIVERY BASE","40.678782","-73.98998","2022-08-29T00:00:00.000","18:00:20","
,  
(40.678782, -73.98998)"
"B02196","N & T DOUBLE DIAMOND LIMOUSINES, INC.","7183517273","No","2041-D","HYLAN BOULEVARD","STATEN ISLAND","NY","10306","LUXURY/LIMOUSINE","40.580669","-74.09968","2022-08-29T00:00:00.000","18:00:20","
,  
(40.580669, -74.09968)"
"B02207","EASTERN LUXURY, INC.","7184993355","No","222","15 STREET","BROOKLYN","NY","11215","BLACK CAR BASE","40.665361","-73.989169","2022-08-29T00:00:00.000","18:00:20","
,  
(40.665361, -73.989169)"
"B02217","PCS LIMOUSINE INC.","7188219400","No","60-60","FRESH POND ROAD","MASPETH","NY","11378","LUXURY/LIMOUSINE","40.715345","-73.90172","2022-08-29T00:00:00.000","18:00:20","
,  
(40.715345, -73.90172)"
"B02219","ALL QUEENS CAR & LIMOUSINE INC.","7183921234","Yes","46-17","VERNON BOULEVARD","LIC","NY","11101","LIVERY BASE","40.74628","-73.95263","2022-08-29T00:00:00.000","18:00:20","
,  
(40.74628, -73.95263)"
"B02228","SPECIAL RADIO DISP.CORP.","2126663939","No","72","WEST  109 STREET","NEW YORK","NY","10025","LIVERY BASE","40.800928","-73.961258","2022-08-29T00:00:00.000","18:00:20","
,  
(40.800928, -73.961258)"
"B02229","NEW FAT INC.","7183283333","No","1804","RANDALL AVENUE","BRONX","NY","10473","LIVERY BASE","40.816803","-73.862557","2022-08-29T00:00:00.000","18:00:20","
,  
(40.816803, -73.862557)"
"B02240","NEW APPLE TRANS. INC.","2128889999","No","33-70","PRINCE STREET  #601","FLUSHING","NY","11354","BLACK CAR BASE","40.764583","-73.833837","2022-08-29T00:00:00.000","18:00:20","
,  
(40.764583, -73.833837)"
"B02243","BARONAS LUXURY II INC","7184244141","No","1804","RANDALL AVENUE","BRONX","NY","10473","BLACK CAR BASE","40.816803","-73.862557","2022-08-29T00:00:00.000","18:00:20","
,  
(40.816803, -73.862557)"
"B02245","OCEANA CAR AND LIMO","7183751001","No","2395","CONEY ISLAND AVENUE","BROOKLYN","NY","11223","LIVERY BASE","40.598608","-73.96108","2022-08-29T00:00:00.000","18:00:20","
,  
(40.598608, -73.96108)"
"B02248","HYBRID LIMO EXPRESS INC.","7186434600","No","241","37 STREET  STE#1-4-B460","BROOKLYN","NY","11232","BLACK CAR BASE","40.678782","-73.989979","2022-08-29T00:00:00.000","18:00:20","
,  
(40.678782, -73.989979)"
"B02249","LA RAZA CAR SERVICE, INC.","7183971111","No","80-01","31ST AVENUE","EAST ELMHURST","NY","11370","LIVERY BASE","40.759225","-73.887802","2022-08-29T00:00:00.000","18:00:20","
,  
(40.759225, -73.887802)"
"B02254","FINESSE GROUP LIMOUSINE,INC.","7182229999","No","424","BRIGHTON BEACH AVENUE","BROOKLYN","NY","11235","BLACK CAR BASE","40.684202","-73.978792","2022-08-29T00:00:00.000","18:00:20","
,  
(40.684202, -73.978792)"
"B02256","EUROPE LIMOUSINE SERVICE, INC.","2014773200","No","24","FARVIEW TERRACE","PARAMUS","NJ","07652","BLACK CAR BASE","40.922042","-74.069773","2022-08-29T00:00:00.000","18:00:20","
,  
(40.922042, -74.069773)"
"B02273","BENI'S LIMOUSINE SERVICE INC","8884642364","No","38-20","32 STREET","LONGISLANDCITY","NY","11101","LUXURY/LIMOUSINE","40.751597","-73.938886","2022-08-29T00:00:00.000","18:00:20","
,  
(40.751597, -73.938886)"
"B02279","MATAMOROS CAR SERVICE INC.","7183900035","Yes","1017","POST AVENUE","STATEN ISLAND","NY","10302","LIVERY BASE","40.633003","-74.134202","2022-08-29T00:00:00.000","18:00:20","
,  
(40.633003, -74.134202)"
"B02285","VALERA GLOBAL, INC.","7184331111","No","36-36","33 STREET  SUITE 308","LIC","NY","11106","LUXURY/LIMOUSINE","40.740256","-73.952684","2022-08-29T00:00:00.000","18:00:20","
,  
(40.740256, -73.952684)"
"B02287","ROAD NEW YORK ENTERPRISES INC.","9293541387","No","132 - 02","89TH AVENUE  SUITE #209","RICHMOND HILL","NY","11418","LUXURY/LIMOUSINE","40.746232","-73.942696","2022-08-29T00:00:00.000","18:00:20","
,  
(40.746232, -73.942696)"
"B02292","NEW YORK APPLE V.I.P. CORP","7184521000","No","372","WILSON AVENUE","BROOKLYN","NY","11221","BLACK CAR BASE","40.694835","-73.915817","2022-08-29T00:00:00.000","18:00:20","
,  
(40.694835, -73.915817)"
"B02298","NYG LIMOUSINE LLC","8886942008","No","133-33","BROOKVILLE BOULEVARD  SUITE 218","ROSEDALE","NY","11422","LUXURY/LIMOUSINE","40.619641","-73.737598","2022-08-29T00:00:00.000","18:00:20","
,  
(40.619641, -73.737598)"
"B02301","DOUBLE A CAR SERVICE INC.","7187206666","No","1","FERRY TERMINAL DRIVE","STATEN ISLAND","NY","10301","LIVERY BASE","40.64309","-74.075357","2022-08-29T00:00:00.000","18:00:20","
,  
(40.64309, -74.075357)"
"B02303","MINEOLA TRANSPORTATION INC.","9178595195","No","1267","ATLANTIC AVENUE","BROOKLYN","NY","11216","BLACK CAR BASE","40.678709","-73.948652","2022-08-29T00:00:00.000","18:00:20","
,  
(40.678709, -73.948652)"
"B02311","FAST CITY CAR & LIMO SVC INC.","7182820973","No","3616","CHURCH AVENUE","BROOKLYN","NY","11203","LIVERY BASE","40.650862","-73.943113","2022-08-29T00:00:00.000","18:00:20","
,  
(40.650862, -73.943113)"
"B02315","LA MORENITA CAR LIMO SERVICE INC","7186150039","No","115","BRIGHTON   11 STREET","BROOKLYN","NY","11235","LIVERY BASE","40.579811","-73.95744","2022-08-29T00:00:00.000","18:00:20","
,  
(40.579811, -73.95744)"
"B02320","GDS TRANSPORTATION CORP.","2129274600","No","2400","AMSTERDAM AVENUE","NEW YORK","NY","10033","LIVERY BASE","40.847055","-73.93205","2022-08-29T00:00:00.000","18:00:20","
,  
(40.847055, -73.93205)"
"B02331","CHICO EXPRESS LIMO, INC.","7182367777","No","6318","14 AVENUE","BROOKLYN","NY","11219","BLACK CAR BASE","40.625609","-73.998684","2022-08-29T00:00:00.000","18:00:20","
,  
(40.625609, -73.998684)"
"B02334","GROUND TRAVEL SERVICES II, LTD.","7183666856","No","64-32","SHALER AVENUE","RIDGEWOOD","NY","11385","BLACK CAR BASE","40.703281","-73.892304","2022-08-29T00:00:00.000","18:00:20","
,  
(40.703281, -73.892304)"
"B02339","SEDANZ INC.","2123006083","No","14","HARWOOD COURT  SUITE #415","SCARSDALE","NY","10583","LUXURY/LIMOUSINE","40.776091","-73.89722","2022-08-29T00:00:00.000","18:00:20","
,  
(40.776091, -73.89722)"
"B02342","QUEST INTERNATIONAL LIMOUSINE, INC.","2122650307","No","330","WEST   38 STREET  STE 1408","NEW YORK","NY","10018","BLACK CAR BASE","40.755282","-73.99349","2022-08-29T00:00:00.000","18:00:20","
,  
(40.755282, -73.99349)"
"B02352","SUPER FAST LIMOUSINE SERVICE, INC.","7184386262","No","4409","5 AVENUE","BROOKLYN","NY","11220","BLACK CAR BASE","40.64816","-74.00679","2022-08-29T00:00:00.000","18:00:20","
,  
(40.64816, -74.00679)"
"B02360","BRIDGES LIMOUSINE INC","7187775743","No","35-28","19 AVENUE","ASTORIA","NY","11105","BLACK CAR BASE","40.779639","-73.901658","2022-08-29T00:00:00.000","18:00:20","
,  
(40.779639, -73.901658)"
"B02373","QUIET SERVICES INC","7183609383","No","31-35","61 STREET","WOODSIDE","NY","11377","BLACK CAR BASE","40.76451","-73.905073","2022-08-29T00:00:00.000","18:00:20","
,  
(40.76451, -73.905073)"
"B02379","THE OPTION TRANSPORTATION CORP.","7185371212","No","740","MORRIS PARK AVENUE","BRONX","NY","10462","LIVERY BASE","40.838215","-73.92609","2022-08-29T00:00:00.000","18:00:20","
,  
(40.838215, -73.92609)"
"B02389","EMBARQUE N.Y., INC.","7187770890","No","24 - 59","47TH STREET","ASTORIA","NY","11103","LUXURY/LIMOUSINE","40.741147","-73.942306","2022-08-29T00:00:00.000","18:00:20","
,  
(40.741147, -73.942306)"
"B02390","TEL AVIV CAR & LIMOUSINE SERVICE INC.","2125050555","No","43-23","35 STREET","LIC","NY","11101","LIVERY BASE","40.745471","-73.929332","2022-08-29T00:00:00.000","18:00:20","
,  
(40.745471, -73.929332)"
"B02391","BAYRIDGE EXPRESS, INC","7186807000","No","377","BAYRIDGE AVENUE","BROOKLYN","NY","11220","LIVERY BASE","40.634907","-74.023845","2022-08-29T00:00:00.000","18:00:20","
,  
(40.634907, -74.023845)"
"B02397","CHICO EXPRESS CORP. 2","7182367777","No","6318","14 AVENUE","BROOKLYN","NY","11219","LIVERY BASE","40.625609","-73.99868","2022-08-29T00:00:00.000","18:00:20","
,  
(40.625609, -73.99868)"
"B02401","NORTHSIDE BK LLC","7189634444","No","207","BEDFORD AVENUE","BROOKLYN","NY","11211","BLACK CAR BASE","40.716862","-73.958563","2022-08-29T00:00:00.000","18:00:20","
,  
(40.716862, -73.958563)"
"B02406","MY SEDAN LLC","2124340400","No","1430","BROADWAY  STE #507","NEW YORK","NY","10018","LUXURY/LIMOUSINE","40.753913","-73.986417","2022-08-29T00:00:00.000","18:00:20","
,  
(40.753913, -73.986417)"
"B02408","PETER EXECUTIVE LIMOUSINE, CORP","7187847900","No","34-39","31 STREET","ASTORIA","NY","11106","BLACK CAR BASE","40.758334","-73.92795","2022-08-29T00:00:00.000","18:00:20","
,  
(40.758334, -73.92795)"
"B02410","POLO LIMOUSINE, CORP.","2122060029","No","325","EAST   88 STREET","NEW YORK","NY","10128","LUXURY/LIMOUSINE","40.778792","-73.949371","2022-08-29T00:00:00.000","18:00:20","
,  
(40.778792, -73.949371)"
"B02416","NEW STORM CAR SERVICE, INC.","7187276464","No","700","POST AVENUE","STATEN ISLAND","NY","10310","LIVERY BASE","40.631416","-74.125069","2022-08-29T00:00:00.000","18:00:20","
,  
(40.631416, -74.125069)"
"B02418","PLUSH SERVICES CORP","5164183303","No","33 - 20","55 STREET  SUITE #227","WOODSIDE","NY","11377","BLACK CAR BASE","40.704842","-73.651686","2022-08-29T00:00:00.000","18:00:20","
,  
(40.704842, -73.651686)"
"B02424","FRIENDLY RIDE INC","7185455466","No","32-72","GALE AVENUE","LIC","NY","11101","LUXURY/LIMOUSINE","40.619641","-73.737598","2022-08-29T00:00:00.000","18:00:20","
,  
(40.619641, -73.737598)"
"B02429","SEAGULL RIDE CORP","7187033333","No","2692","CONEY ISLAND AVENUE","BROOKLYN","NY","11235","BLACK CAR BASE","40.59092","-73.961","2022-08-29T00:00:00.000","18:00:20","
,  
(40.59092, -73.961)"
"B02437","EXCELLENT CAR & LIMO SERVICE, INC.","7187317777","No","144","EAST  174 STREET","BRONX","NY","10457","LIVERY BASE","40.844708","-73.909828","2022-08-29T00:00:00.000","18:00:20","
,  
(40.844708, -73.909828)"
"B02453","MCW CAR & LIMO INC.","7183870700","No","355","UNION AVENUE","BROOKLYN","NY","11211","BLACK CAR BASE","40.710955","-73.951135","2022-08-29T00:00:00.000","18:00:20","
,  
(40.710955, -73.951135)"
"B02460","CABOT LIMO NY CORP.","7184646666","No","212-03","UNION TURNPIKE","OAKLAND GRDNS","NY","11364","LUXURY/LIMOUSINE","40.733903","-73.758753","2022-08-29T00:00:00.000","18:00:20","
,  
(40.733903, -73.758753)"
"B02461","NEW HEAVEN RADIO DISPATCH CORP","2129231212","No","1059","ST NICHOLAS AVENUE","NYC","NY","10032","LIVERY BASE","40.836953","-73.94037","2022-08-29T00:00:00.000","18:00:20","
,  
(40.836953, -73.94037)"
"B02462","TIFFANY'S CAR SERVICE INC.","7189617070","No","132-39","14 AVENUE","COLLEGE POINT","NY","11356","LIVERY BASE","40.766346","-73.833181","2022-08-29T00:00:00.000","18:00:20","
,  
(40.766346, -73.833181)"
"B02465","7 STAR CAR & LIMOUSINE INC.","7187076166","No","43-23","35 STREET","LONG ISLAND CIT","NY","11101","LIVERY BASE","40.745471","-73.92933","2022-08-29T00:00:00.000","18:00:20","
,  
(40.745471, -73.92933)"
"B02470","VAHANA INC.","2017557545","No","11","BOND STREET","CENTRAL VALLEY","NY","10917","LUXURY/LIMOUSINE","40.982526","-73.978549","2022-08-29T00:00:00.000","18:00:20","
,  
(40.982526, -73.978549)"
"B02472","NEW BUSHWICK LUXURY INC.","7188217777","No","184","KNICKERBOCKER AVENUE","BROOKLYN","NY","11237","BLACK CAR BASE","40.703715","-73.927365","2022-08-29T00:00:00.000","18:00:20","
,  
(40.703715, -73.927365)"
"B02475","ECKFORD LITE CAR & LIMO INC.","3476129290","No","49-17A","69 STREET","WOODSIDE","NY","11377","BLACK CAR BASE","40.732487","-73.95427","2022-08-29T00:00:00.000","18:00:20","
,  
(40.732487, -73.95427)"
"B02480","WOODHAVEN LIMOUSINE INC","7183742609","No","25-26","50 STREET  STE 209B","WOODSIDE","NY","11377","LUXURY/LIMOUSINE","40.763637","-73.904449","2022-08-29T00:00:00.000","18:00:20","
,  
(40.763637, -73.904449)"
"B02492","EZCAR.COM, LLC","7189656150","No","712","THIRD AVENUE","BROOKLYN","NY","11232","BLACK CAR BASE","40.663353","-73.998939","2022-08-29T00:00:00.000","18:00:20","
,  
(40.663353, -73.998939)"
"B02507","SARAH VENTURES INC.","3473030625","No","2823","FREDERICK DOUGLASS BOULEVARD","NEW YORK","NY","10039","BLACK CAR BASE","40.816898","-73.92174","2022-08-29T00:00:00.000","18:00:20","
,  
(40.816898, -73.92174)"
"B02509","NY MINUTE CAR SERVICE INC.","7183657777","No","2809","WEBSTER AVENUE","BRONX","NY","10458","LIVERY BASE","40.866717","-73.88502","2022-08-29T00:00:00.000","18:00:20","
,  
(40.866717, -73.88502)"
"B02517","LOS PAISANOS LUXURY C/S INC.","7184452222","No","8","ST PAULS AVENUE","STATEN ISLAND","NY","10301","BLACK CAR BASE","40.637596","-74.078195","2022-08-29T00:00:00.000","18:00:20","
,  
(40.637596, -74.078195)"
"B02518","MATTHEW'S LIMO INC","7184241250","No","1225","FRANKLIN AVE  STE 325","GARDEN CITY","NY","11530","BLACK CAR BASE","40.733779","-73.635348","2022-08-29T00:00:00.000","18:00:20","
,  
(40.733779, -73.635348)"
"B02520","AMK LUXURY CAR & LIMO INC.","2122810059","No","20","15 STREET  SUITE 207","BROOKLYN","NY","11215","BLACK CAR BASE","40.634763","-73.935362","2022-08-29T00:00:00.000","18:00:20","
,  
(40.634763, -73.935362)"
"B02522","CHAUFFEURED EXECUTIVE TRANSPORTATION LLC","7188464455","No","86-11","LEFFERTS BOULEVARD  CELLAR FLOOR","RICHMOND HILL","NY","11418","LUXURY/LIMOUSINE","40.695811","-73.827203","2022-08-29T00:00:00.000","18:00:20","
,  
(40.695811, -73.827203)"
"B02531","CLEAN AIR CAR SERVICE AND PARKING CORP.","7184600888","No","130-30","31 AVENUE  SUITE 801","FLUSHING","NY","11354","LIVERY BASE","40.76995","-73.83898","2022-08-29T00:00:00.000","18:00:20","
,  
(40.76995, -73.83898)"
"B02532","COZY RIDE LIMOUSINE INC","7183595000","No","36-22A","UNION STREET  SUITE #3R","FLUSHING","NY","11354","BLACK CAR BASE","40.763441","-73.828039","2022-08-29T00:00:00.000","18:00:20","
,  
(40.763441, -73.828039)"
"B02535","LFS LIMO CORP.","6317767786","No","1225","FRANKLIN AVE  SUITE 325","GARDEN CITY","NY","11530","LUXURY/LIMOUSINE","40.773186","-73.038617","2022-08-29T00:00:00.000","18:00:20","
,  
(40.773186, -73.038617)"
"B02536","SEAGULL RIDE CORP","7187033333","No","2692","CONEY ISLAND AVENUE","BROOKLYN","NY","11235","LIVERY BASE","40.59092","-73.961","2022-08-29T00:00:00.000","18:00:20","
,  
(40.59092, -73.961)"
"B02537","ALLTOWN LIMO CORP.","7185437777","Yes","206","WEST  231 STREET","BRONX","NY","10463","LIVERY BASE","40.879679","-73.906345","2022-08-29T00:00:00.000","18:00:20","
,  
(40.879679, -73.906345)"
"B02546","X RADIO DISPATCHER INC.","7183283434","No","1161","SOUTHERN BOULEVARD","BRONX","NY","10459","LIVERY BASE","40.828016","-73.892244","2022-08-29T00:00:00.000","18:00:20","
,  
(40.828016, -73.892244)"
"B02550","AGAPE LUXURY CORP.","9173090202","No","560","SOUTHERN BOULEVARD","BRONX","NY","10455","BLACK CAR BASE","40.812094","-73.90301","2022-08-29T00:00:00.000","18:00:20","
,  
(40.812094, -73.90301)"
"B02551","CHIEF LIMO INC.","7185051919","No","3708","100 STREET","QUEENS","NY","11368","BLACK CAR BASE","40.738362","-73.895646","2022-08-29T00:00:00.000","18:00:20","
,  
(40.738362, -73.895646)"
"B02557","185 MALTA CAR SERVICE LLC","7187596777","No","9104","AVENUE L  UNIT B","BROOKLYN","NY","11236","LIVERY BASE","40.63578","-73.8995","2022-08-29T00:00:00.000","18:00:20","
,  
(40.63578, -73.8995)"
"B02563","FENIX XL CAR AND LIMO SERVICE CORP.","7188212121","Yes","586","SENECA AVENUE","RIDGEWOOD","NY","11385","BLACK CAR BASE","40.773186","-73.03862","2022-08-29T00:00:00.000","18:00:20","
,  
(40.773186, -73.03862)"
"B02566","GSL LIMOUSINES CORP.","7184724200","No","40-28","23 STREET","LIC","NY","11101","LUXURY/LIMOUSINE","40.742391","-73.957749","2022-08-29T00:00:00.000","18:00:20","
,  
(40.742391, -73.957749)"
"B02569","LAPUMA GO GREEN LLC","2123642000","No","33-24","NORTHERN BOULEVARD  5TH FLOOR","LONG ISLAND CIT","NY","11101","LIVERY BASE","40.751777","-73.930235","2022-08-29T00:00:00.000","18:00:20","
,  
(40.751777, -73.930235)"
"B02573","SUNSET PARK CAR SERVICE INC","7184362027","No","4409","5 AVENUE","BROOKLYN","NY","11220","LIVERY BASE","40.64816","-74.00679","2022-08-29T00:00:00.000","18:00:20","
,  
(40.64816, -74.00679)"
"B02588","ND LINE INC.","2124200101","No","84","CLINTON STREET","NEW YORK","NY","10002","BLACK CAR BASE","40.718549","-73.98515","2022-08-29T00:00:00.000","18:00:20","
,  
(40.718549, -73.98515)"
"B02594","FENIX MOBILE DISPATCHERS LTD","7188212900","No","586","SENECA AVE  1","RIDGEWOOD","NY","11385","LIVERY BASE","40.704224","-73.9103","2022-08-29T00:00:00.000","18:00:20","
,  
(40.704224, -73.9103)"
"B02599","CMS LIMO INC.","7182055085","No","14","LYNCREST STREET","VALLEY STREAM","NY","11581","LUXURY/LIMOUSINE","40.765173","-73.88592","2022-08-29T00:00:00.000","18:00:20","
,  
(40.765173, -73.88592)"
"B02608","PARADA LUXURY INC.","9176564676","No","125","42 STREET","BROOKLYN","NY","11232","BLACK CAR BASE","40.65464","-74.013585","2022-08-29T00:00:00.000","18:00:20","
,  
(40.65464, -74.013585)"
"B02611","SS LIMOUSINE SERVICE INC","8004202215","No","24-70","49 STREET  #01","ASTORIA","NY","11103","LUXURY/LIMOUSINE","40.76451","-73.90507","2022-08-29T00:00:00.000","18:00:20","
,  
(40.76451, -73.90507)"
"B02613","NYC STAR LIMOUSINE & CAR SERVICES CORP.","7182777777","No","3440","ATLANTIC AVENUE","BROOKLYN","NY","11208","LIVERY BASE","40.679483","-73.886635","2022-08-29T00:00:00.000","18:00:20","
,  
(40.679483, -73.886635)"
"B02627","A PEGASUS LIMOUSINE CORP.","9737773007","No","176","SADDLE RIVER AVENUE  BLDG F","HACKENSACK","NJ","07606","LUXURY/LIMOUSINE","40.863348","-74.09752","2022-08-29T00:00:00.000","18:00:20","
,  
(40.863348, -74.09752)"
"B02629","CARLUX LIMO INC.","8666580011","No","110","JERICHO TURNPIKE  SUITE 4","FLORAL PARK","NY","11001","LUXURY/LIMOUSINE","40.727625","-73.7072","2022-08-29T00:00:00.000","18:00:20","
,  
(40.727625, -73.7072)"
"B02634","VETERANS RADIO DISPATCHER CORP.","7183647878","No","131","KINGSBRIDGE ROAD","BRONX","NY","10468","LIVERY BASE","40.86927","-73.90281","2022-08-29T00:00:00.000","18:00:20","
,  
(40.86927, -73.90281)"
"B02637","ROOSEVELT CAR & LIMO INC.","7187868888","No","3708","100TH STREET","CORONA","NY","11368","BLACK CAR BASE","40.754266","-73.919855","2022-08-29T00:00:00.000","18:00:20","
,  
(40.754266, -73.919855)"
"B02641","AVENUE X CAR SERVICE INC.","7183365200","No","245","AVENUE X","BROOKLYN","NY","11223","LIVERY BASE","40.590312","-73.97371","2022-08-29T00:00:00.000","18:00:20","
,  
(40.590312, -73.97371)"
"B02653","NEW COLLEGE CAR SVCE INC","7187313333","Yes","1588","DR M L KING JR BOULEVARD","BRONX","NY","10453","LIVERY BASE","40.846778","-73.920631","2022-08-29T00:00:00.000","18:00:20","
,  
(40.846778, -73.920631)"
"B02655","LONG ISLAND CITY CAR AND LIMO INC.","7189371177","No","6902","18TH AVENUE","BROOKLYN","NY","11204","LUXURY/LIMOUSINE","40.616886","-73.99284","2022-08-29T00:00:00.000","18:00:20","
,  
(40.616886, -73.99284)"
"B02657","MALCOLM LIMO EXPRESS CORP.","2126904000","Yes","2548","8 AVENUE","NEW YORK","NY","10030","LIVERY BASE","40.816919","-73.94591","2022-08-29T00:00:00.000","18:00:20","
,  
(40.816919, -73.94591)"
"B02658","ASCONA CAR SERVICE INC.","7186461611","No","2421","BATH AVENUE","BROOKLYN","NY","11214","LIVERY BASE","40.595422","-73.992368","2022-08-29T00:00:00.000","18:00:20","
,  
(40.595422, -73.992368)"
"B02661","MIC-LOU CAR SERVICES_LLC","7187204444","No","2","TOMPKINS AVE","STATEN ISLAND","NY","10304","LIVERY BASE","40.615388","-74.08496","2022-08-29T00:00:00.000","18:00:20","
,  
(40.615388, -74.08496)"
"B02664","CORPORATE CAR LTD.","7184181100","No","7310","88 STREET","GLENDALE","NY","11385","BLACK CAR BASE","40.70868","-73.863547","2022-08-29T00:00:00.000","18:00:20","
,  
(40.70868, -73.863547)"
"B02670","STRIDE TRANSPORTATION INC.","8452015407","No","848","SUNRISE HIGHWAY  1ST FLOOR","WEST BABYLON","NY","11704","LUXURY/LIMOUSINE","40.765428","-73.886184","2022-08-29T00:00:00.000","18:00:20","
,  
(40.765428, -73.886184)"
"B02674","ELAL CAR LIMO SERVICE LLC","7185457555","No","25-26","50 STREET  SUITE 206D","WOODSIDE","NY","11377","LIVERY BASE","40.76364","-73.904205","2022-08-29T00:00:00.000","18:00:20","
,  
(40.76364, -73.904205)"
"B02677","A.T.B. CAR AND LIMOUSINE SERVICE, INC.","7184854444","No","866","NEW LOTS AVENUE","BROOKLYN","NY","11208","LIVERY BASE","40.667838","-73.8788","2022-08-29T00:00:00.000","18:00:20","
,  
(40.667838, -73.8788)"
"B02686","STANDARD LIMOUSINE & CAR SERVICE GROUP LLC.","2129665678","No","5","EAST BROADWAY  4TH FLR","NEW YORK","NY","10038","BLACK CAR BASE","40.713231","-73.99772","2022-08-29T00:00:00.000","18:00:20","
,  
(40.713231, -73.99772)"
