"brooklyn_cooperatives_comparable_properties_boro_block_lot","brooklyn_cooperatives_comparable_properties_address","borough","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta","brooklyn_cooperatives_comparable_properties_neighborhood","brooklyn_cooperatives_comparable_properties_building_classification","brooklyn_cooperatives_comparable_properties_total_units","brooklyn_cooperatives_comparable_properties_year_built","brooklyn_cooperatives_comparable_properties_gross_sqft","brooklyn_cooperatives_comparable_properties_estimated_gross_income","brooklyn_cooperatives_comparable_properties_gross_income_per_sqft","brooklyn_cooperatives_comparable_properties_estimated_expense","brooklyn_cooperatives_comparable_properties_expense_per_sqft","brooklyn_cooperatives_comparable_properties_net_operating_income","brooklyn_cooperatives_comparable_properties_full_market_value","brooklyn_cooperatives_comparable_properties_market_value_per_sqft","comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_estimated_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_estimated_expense","comparable_rental_1_expense_per_sqft","comparable_rental_1_net_operating_income","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_distance_from_coop_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_estimated_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_estimated_expense","comparable_rental_2_expense_per_sqft","comparable_rental_2_net_operating_income","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_distance_from_coop_in_miles","comparable_rental_3_boro_block_lot","comparable_rental_3_address","comparable_rental_3_neighborhood","comparable_rental_3_building_classification","comparable_rental_3_total_units","comparable_rental_3_year_built","comparable_rental_3_gross_sqft","comparable_rental_3_estimated_gross_income","comparable_rental_3_gross_income_per_sqft","comparable_rental_3_estimated_expense","comparable_rental_3_expense_per_sqft","comparable_rental_3_net_operating_income","comparable_rental_3_full_market_value","comparable_rental_3_market_value_per_sqft","comparable_rental_3_distance_from_coop_in_miles"
"3-02061-0040","122 ASHLAND PLACE
Brooklyn, NY 
(40.69212888201, -73.979054512296)","3","11201","40.692491","-73.979038","2","35","31","3058255","3020610040","Fort Greene                                                                ","FORT GREENE","D4-ELEVATOR","183","1958","187667","2041817","10.88","1017155","5.42","1024662","6343000","33.8","3-02075-0001","65 WILLOUGHBY AVENUE
Brooklyn, NY 
(40.691629725329, -73.970415267485)","FORT GREENE","D3-ELEVATOR","29","1928","27702","357895","12.92","207277","7.48","150618","1005000","36.28","0.56","3-01930-0014","295 CLINTON AVENUE
Brooklyn, NY 
(40.689170448697, -73.968000803895)","CLINTON HILL","D3-ELEVATOR","76","1928","108000","953817","8.83","627424","5.81","326393","1947000","18.03","0.75",,," "," "," "," "," "," "," "," "," "," "," "," "," "
"3-06614-0017","1530 8 STREET
Brooklyn, NY 
(40.609613272541, -73.982009230962)","3",,,,,,,,,,"OCEAN PARKWAY-NORTH","D4-ELEVATOR","91","1963","98417","1223323","12.43","587549","5.97","635774","4022000","40.87","3-06612-0042","1600 OCEAN PARKWAY
Brooklyn, NY 
(40.609642948391, -73.968010832619)","OCEAN PARKWAY-NORTH","D1-ELEVATOR","59","1940","79524","855682","10.76","249971","3.14","605711","2475000","31.12","0.15","3-06612-0063","1685 5 STREET
Brooklyn, NY 
(40.606396028648, -73.978342300951)","OCEAN PARKWAY-NORTH","D1-ELEVATOR","60","1940","55000","683775","12.43","328623","5.97","355152","1738000","31.6","0.15","3-06637-0019","1628 OCEAN PARKWAY
Brooklyn, NY 
(40.60883709925, -73.967877114326)","OCEAN PARKWAY-NORTH","D1-ELEVATOR","123","1928","109,200","1,437,936","13.17","798,718","7.31","639,218","4,250,000","38.92","0.22"
"3-06933-0046","2606 CROPSEY AVENUE
Brooklyn, NY 
(40.581338573306, -73.985731991852)","3","11214","40.590191","-73.991391","13","43","314","3187686","3069330046","Gravesend                                                                  ","GRAVESEND","C6-WALK-UP","11","1975","8064","116525","14.45","53948","6.69","62577","391000","48.49","3-07079-0004","106 AVENUE
Brooklyn, NY 
(42.433188999772, -78.748646000413)","GRAVESEND","C1-WALK-UP","12","1931","8636","131354","15.21","66929","7.75","64425","390000","45.16","0.88","3-07079-0003","102 AVENUE
Brooklyn, NY 
(42.433188999772, -78.748646000413)","GRAVESEND","C1-WALK-UP","12","1931","8636","118227","13.69","48534","5.62","69693","275000","31.84","0.88",,," "," "," "," "," "," "," "," "," "," "," "," "," "
"3-07238-0049","2620 OCEAN PARKWAY
Brooklyn, NY 
(40.586098707573, -73.96659566334)","3","11235","40.586171","-73.966276","13","47","37401","3196064","3072380049","Gravesend                                                                  ","OCEAN PARKWAY-SOUTH","D4-ELEVATOR","68","1960","67272","1083079","16.1","425832","6.33","657247","4479000","66.58","3-07238-0082","9 NIXON COURT
Brooklyn, NY 
(40.584929947208, -73.968887837998)","OCEAN PARKWAY-SOUTH","D1-ELEVATOR","120","1951","97440","1568445","16.1","617175","6.33","951270","6483000","66.53","0.05","3-07237-0002","2775 SHORE PARKWAY
Brooklyn, NY 
(42.433188999772, -78.748646000413)","OCEAN PARKWAY-SOUTH","D1-ELEVATOR","120","1951","97440","1568445","16.1","625600","6.42","942845","5192000","53.28","0.1","3-07214-0039","621 AVENUE
Brooklyn, NY 
(42.433188999772, -78.748646000413)","OCEAN PARKWAY-SOUTH","D1-ELEVATOR","60","1949","58,570","784,221","13.39","306,162","5.23","478,059","2,156,000","36.81","0.18"
"3-00202-0001","28 OLD FULTON STREET
Brooklyn, NY 
(40.702594941505, -73.993872166713)","3","11201","40.702618","-73.993739","2","33","1","3001475","3002020001","Brooklyn Heights-Cobble Hill                                               ","DOWNTOWN-FULTON FERRY","D4-ELEVATOR","86","1906","171000","2700090","15.79","1424430","8.33","1275660","8721000","51","3-00220-0016","35 ORANGE STREET
Brooklyn, NY 
(40.699265124451, -73.994165515869)","BROOKLYN HEIGHTS","D1-ELEVATOR","48","1924","47136","744258","15.79","392493","8.33","351765","2405000","51.02","0.18","3-00208-0310","204 COLUMBIA HEIGHTS
Brooklyn, NY 
(40.696947503956, -73.997026188682)","BROOKLYN HEIGHTS","D1-ELEVATOR","16","1925","14120","245070","17.36","126336","8.95","118734","857000","60.69","0.29","3-00241-0011","63 MONTAGUE STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","BROOKLYN HEIGHTS","D1-ELEVATOR","12","1923","9,972","185,778","18.63","78,480","7.87","107,298","771,000","77.32","0.47"
"3-01172-0001","35 EASTERN PARKWAY
Brooklyn, NY 
(40.67307628016, -73.967457038043)","3","11238","40.673011","-73.967624","8","35","207","3029351","3011720001","Prospect Heights                                                           ","PROSPECT HEIGHTS","D4-ELEVATOR","70","1961","35160","507476","14.43","185231","5.27","322245","2230000","63.42","3-01177-0007","781 WASHINGTON AVENUE
Brooklyn, NY 
(42.433188999772, -78.748646000413)","CROWN HEIGHTS","D5-ELEVATOR","63","1920","47925","955766","19.94","530304","11.07","425462","2244000","46.82","0.32","3-01179-0083","73 EASTERN PARKWAY
Brooklyn, NY 
(40.672841371071, -73.966267087644)","PROSPECT HEIGHTS","D7-ELEVATOR","23","1926","13021","252911","19.42","132706","10.19","120205","862000","66.2","0.16","3-01173-0007","195 UNDERHILL AVENUE
Brooklyn, NY 
(40.674972994425, -73.966681591531)","PROSPECT HEIGHTS","D1-ELEVATOR","36","1940","24,000","394,036","16.42","183,642","7.65","210,394","1,452,000","60.5","0.17"
"3-05240-0025","1150 OCEAN AVENUE
Brooklyn, NY 
(40.634330553311, -73.958114581198)","3","11230","40.63426","-73.958015","14","45","764","3121360","3052400025","Flatbush                                                                   ","FLATBUSH-CENTRAL","D4-ELEVATOR","67","1931","80690","511973","6.34","276711","3.43","235262","1375000","17.04","3-05219-0029","1060 OCEAN AVENUE
Brooklyn, NY 
(40.636746612609, -73.958506684091)","FLATBUSH-CENTRAL","D1-ELEVATOR","71","1931","75221","818293","10.88","529990","7.05","288303","1785000","23.73","0.16","3-05240-0043","1122 OCEAN AVENUE
Brooklyn, NY 
(40.635026225077, -73.958241591811)","FLATBUSH-CENTRAL","D1-ELEVATOR","96","1955","113188","1153386","10.19","730063","6.45","423323","2638000","23.31","0","3-05241-0018","1169 OCEAN AVENUE
Brooklyn, NY 
(40.633843683499, -73.957811078397)","FLATBUSH-CENTRAL","D3-ELEVATOR","96","1964","99,482","1,167,038","11.73","694,114","6.98","472,924","3,024,000","30.4","0.07"
"3-05320-0001","71 OCEAN PARKWAY
Brooklyn, NY 
(40.649197014335, -73.974896862038)","3","11218","40.649369","-73.974922","7","39","504","3124031","3053200001","Windsor Terrace                                                            ","KENSINGTON","D4-ELEVATOR","76","1936","89026","640995","7.2","304776","3.42","336219","1386000","15.57","3-05320-0009","31 OCEAN PARKWAY
Brooklyn, NY 
(40.65011511591, -73.973910701566)","KENSINGTON","D1-ELEVATOR","83","1929","90900","1170839","12.88","555058","6.11","615781","4109000","45.2","0","3-05285-0001","50 OCEAN PARKWAY
Brooklyn, NY 
(40.650142253722, -73.975440172525)","WINDSOR TERRACE","D7-ELEVATOR","59","1937","67602","917807","13.58","513793","7.6","404014","2607000","38.56","0.11","3-05329-0001","125 OCEAN PARKWAY
Brooklyn, NY 
(40.647410464074, -73.974575372781)","KENSINGTON","D1-ELEVATOR","84","1940","94,252","1,152,382","12.23","610,380","6.48","542,002","3,223,000","34.2","0.21"
"3-08818-0043","2265 GERRITSEN AVENUE
Brooklyn, NY 
(40.600624279918, -73.93375166887)","3","11229","40.600603","-73.933754","15","46","632","3248245","3088180043","Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             ","MARINE PARK","D4-ELEVATOR","100","1962","107916","1572336","14.57","648575","6.01","923761","6383000","59.15","3-07357-0001","4190 BEDFORD AVENUE
Brooklyn, NY 
(40.599708489632, -73.946634695263)","SHEEPSHEAD BAY","D1-ELEVATOR","83","1961","75000","1170238","15.6","603687","8.05","566551","3879000","51.72","0.71","3-07334-0018","3380 NOSTRAND AVENUE
Brooklyn, NY 
(40.601700444466, -73.942172048238)","MADISON","D1-ELEVATOR","77","1963","64000","932626","14.57","506874","7.92","425752","2942000","45.97","0.47","3-07422-0146","2835 OCEAN AVENUE
Brooklyn, NY 
(40.59216247823, -73.949955874325)","SHEEPSHEAD BAY","D1-ELEVATOR","200","1949","159,996","2,148,300","13.43","1,201,982","7.51","946,318","6,270,000","39.19","1.05"
"3-01158-0058","231 PARK PLACE
Brooklyn, NY 
(40.677011314451, -73.970175717573)","3","11238","40.67703","-73.970311","8","35","163","3322579","3011580058","Prospect Heights                                                           ","PROSPECT HEIGHTS","C6-WALK-UP","16","1982","12986","193491","14.9","69475","5.35","124016","855000","65.84","3-00817-0001","5319 6 AVENUE
Brooklyn, NY 
(40.641969011327, -74.009946773009)","SUNSET PARK","C1-WALK-UP","16","1911","10460","247067","23.62","162486","15.53","84581","617000","58.99","3.23","3-00817-0003","5313 6 AVENUE
Brooklyn, NY 
(40.642001618179, -74.009913131019)","SUNSET PARK","C1-WALK-UP","16","1911","13280","196325","14.78","70167","5.28","126158","815000","61.37","3.23",,," "," "," "," "," "," "," "," "," "," "," "," "," "
"3-01091-0035","133 PROSPECT PARK
Brooklyn, NY 
(40.700627228686, -73.985419059894)","3","11215","40.661354","-73.96968","55","39","177","3000000","3011170001","park-cemetery-etc-Brooklyn                                                 ","PARK SLOPE","D4-ELEVATOR","43","1904","41925","690505","16.47","402899","9.61","287606","2082000","49.66","3-01081-0043","78 PROSPECT PARK
Brooklyn, NY 
(40.700610222719, -73.987290136408)","PARK SLOPE","D1-ELEVATOR","41","1920","41113","903286","21.97","317950","7.73","585336","4287000","104.27","0.24","3-01079-0040","70 PROSPECT PARK
Brooklyn, NY 
(40.700642038029, -73.987868812094)","PARK SLOPE","D1-ELEVATOR","30","1920","36636","603351","16.47","261998","7.15","341353","2471000","67.45","0.29","3-01079-0001","575 3 STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","PARK SLOPE","D1-ELEVATOR","36","1920","32,388","371,490","11.47","209,550","6.47","161,940","949,000","29.3","0.29"
"3-06772-0001","3619 BEDFORD AVENUE
Brooklyn, NY 
(40.614003501863, -73.949265072167)","3","11210","40.613909","-73.949272","14","48","642","3182230","3067720001","Madison                                                                    ","MIDWOOD","D4-ELEVATOR","79","1937","87862","1032240","11.75","593143","6.75","439097","2629000","29.92","3-06770-0031","2301 KINGS HIGHWAY
Brooklyn, NY 
(42.433188999772, -78.748646000413)","MIDWOOD","D1-ELEVATOR","96","1936","104348","1056385","10.12","636228","6.1","420157","2621000","25.12","0.12","3-06771-0006","3620 BEDFORD AVENUE
Brooklyn, NY 
(40.613995720483, -73.949336560181)","MIDWOOD","D1-ELEVATOR","59","1929","62000","569169","9.18","348472","5.62","220697","1298000","20.94","0.06","3-07688-0041","2702 KINGS HIGHWAY
Brooklyn, NY 
(42.433188999772, -78.748646000413)","MADISON","D1-ELEVATOR","107","1937","113,820","1,372,557","12.06","888,964","7.81","483,593","3,047,000","26.77","0.11"
"3-00247-0027","66 MONTAGUE STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","3","11201","40.695432","-73.996653","2","33","301","3002034","3002470027","Brooklyn Heights-Cobble Hill                                               ","BROOKLYN HEIGHTS","C6-WALK-UP","11","1940","11750","265433","22.59","97878","8.33","167555","1033000","87.91","3-00243-0029","90 PIERREPONT STREET
Brooklyn, NY 
(40.695378933138, -73.993818582061)","BROOKLYN HEIGHTS","C1-WALK-UP","20","1900","11580","365810","31.59","115524","9.98","250286","1867000","161.23","0.19","3-00258-0048","42 COLUMBIA PLACE
Brooklyn, NY 
(40.693128738124, -73.998639305863)","BROOKLYN HEIGHTS","C1-WALK-UP","20","1900","11160","371988","33.33","122304","10.96","249684","1855000","166.22","0.22","3-00254-0073","124 REMSEN STREET
Brooklyn, NY 
(40.69384504967, -73.993730021167)","BROOKLYN HEIGHTS","C1-WALK-UP","17","1900","14,608","445,398","30.49","111,167","7.61","334,231","4,601,000","314.96","0.16"
"3-05279-0019","180 PROSPECT PARK
Brooklyn, NY 
(40.700552331514, -73.984999766479)","3","11215","40.661354","-73.96968","55","39","177","3000000","3011170001","park-cemetery-etc-Brooklyn                                                 ","WINDSOR TERRACE","D4-ELEVATOR","58","1961","77268","482927","6.25","256997","3.33","225930","1344000","17.39","3-05287-0021","800 GREENWOOD AVENUE
Brooklyn, NY 
(40.652110497801, -73.973936718777)","WINDSOR TERRACE","D1-ELEVATOR","63","1941","67500","927400","13.74","421755","6.25","505645","3337000","49.44","0.1","3-05285-0001","50 OCEAN PARKWAY
Brooklyn, NY 
(40.650142253722, -73.975440172525)","WINDSOR TERRACE","D7-ELEVATOR","59","1937","67602","917807","13.58","513793","7.6","404014","2607000","38.56","0.17","3-05320-0009","31 OCEAN PARKWAY
Brooklyn, NY 
(40.65011511591, -73.973910701566)","KENSINGTON","D1-ELEVATOR","83","1929","90,900","1,170,839","12.88","555,058","6.11","615,781","4,109,000","45.2","0.24"
"3-00231-0030","60 PINEAPPLE STREET
Brooklyn, NY 
(40.698371498488, -73.993813628665)","3","11201","40.698333","-73.993591","2","33","501","3326025","3002310030","Brooklyn Heights-Cobble Hill                                               ","BROOKLYN HEIGHTS","D4-ELEVATOR","74","1899","114445","1778475","15.54","1046027","9.14","732448","5017000","43.84","3-00220-0016","35 ORANGE STREET
Brooklyn, NY 
(40.699265124451, -73.994165515869)","BROOKLYN HEIGHTS","D1-ELEVATOR","48","1924","47136","744258","15.79","392493","8.33","351765","2405000","51.02","0.12","3-00234-0043","12 CLARK STREET
Brooklyn, NY 
(40.698202590446, -73.99584995323)","BROOKLYN HEIGHTS","D1-ELEVATOR","12","1936","17184","239136","13.92","134809","7.85","104327","687000","39.98","0.15","3-00241-0011","63 MONTAGUE STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","BROOKLYN HEIGHTS","D1-ELEVATOR","12","1923","9,972","185,778","18.63","78,480","7.87","107,298","771,000","77.32","0.22"
"3-06888-0006","8835 23 AVENUE
Brooklyn, NY 
(40.595909433594, -73.996405288616)","3","11214","40.595849","-73.996514","11","47","304","3186506","3068880006","Bensonhurst East                                                           ","GRAVESEND","D4-ELEVATOR","59","1927","42840","655452","15.3","272034","6.35","383418","2633000","61.46","3-06928-0044","275 BAY 37 STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","GRAVESEND","D1-ELEVATOR","120","1964","89448","1368554","15.3","697694","7.8","670860","4607000","51.5","0.22","3-06928-0050","268 BAY 38 STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","GRAVESEND","D1-ELEVATOR","140","1963","149175","1822284","12.22","1052829","7.06","769455","4620000","30.97","0.22","3-06894-0027","8797 25 AVENUE
Brooklyn, NY 
(40.593955135245, -73.991277652811)","GRAVESEND","D1-ELEVATOR","69","1962","58,535","910,805","15.56","455,402","7.78","455,403","3,119,000","53.28","0.29"
"3-06379-0065","54 BAY 29 STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","3",,,,,,,,,,"BATH BEACH","C6-WALK-UP","32","1926","34000","377090","11.09","94405","2.78","282685","1744000","51.29","3-06379-0021","45 BAY 28 STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","BATH BEACH","C1-WALK-UP","25","1926","18140","238874","13.17","81804","4.51","157070","1044000","57.55","0","3-06381-0033","8611 BAY PARKWAY
Brooklyn, NY 
(42.433188999772, -78.748646000413)","GRAVESEND","C1-WALK-UP","27","1924","21000","245246","11.68","141546","6.74","103700","664000","31.62","0.1","3-06414-0001","8758 BAY PARKWAY
Brooklyn, NY 
(42.433188999772, -78.748646000413)","BATH BEACH","C7-WALK-UP","37","1926","30,344","464,567","15.31","236,683","7.8","227,884","1,144,000","37.7","0.16"
"3-02409-0032","263 2 STREET
Brooklyn, NY 
(40.675886044496, -73.987794443362)","3",,,,,,,,,,"WILLIAMSBURG-SOUTH","C6-WALK-UP","12","1930","7500","148125","19.75","75300","10.04","72825","521000","69.47","3-02420-0005","215 ROEBLING STREET
Brooklyn, NY 
(40.712015925633, -73.959112972595)","WILLIAMSBURG-SOUTH","C7-WALK-UP","18","1910","16400","390043","23.78","198225","12.09","191818","1397000","85.18","0.1","3-02420-0043","209 3 STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","WILLIAMSBURG-SOUTH","C1-WALK-UP","20","1910","23700","468052","19.75","237871","10.04","230181","1648000","69.54","0.1","3-02463-0021","386 5 STREET
Brooklyn, NY 
(40.670796926841, -73.982733620523)","WILLIAMSBURG-SOUTH","C7-WALK-UP","36","1913","27,000","416,340","15.42","212,220","7.86","204,120","1,400,000","51.85","0.3"
"3-01067-0045","118 8 AVENUE
Brooklyn, NY 
(40.672302585335, -73.973802336967)","3","11215","40.672359","-73.973738","6","39","157","3024765","3010670045","Park Slope-Gowanus                                                         ","PARK SLOPE","D4-ELEVATOR","55","1936","72160","1734726","24.04","627070","8.69","1107656","8063000","111.74","3-01169-0019","214 STERLING PLACE
Brooklyn, NY 
(40.676145109919, -73.970860936377)","PROSPECT HEIGHTS","D1-ELEVATOR","35","1936","31000","451795","14.57","236190","7.62","215605","1375000","44.35","0.3","3-00958-0007","586 PRESIDENT STREET
Brooklyn, NY 
(40.676649313031, -73.983215083007)","PARK SLOPE","D1-ELEVATOR","25","2002","30000","1005191","33.51","292648","9.75","712543","5292000","176.4","0.44",,," "," "," "," "," "," "," "," "," "," "," "," "," "
"3-01089-0040","123 PROSPECT PARK
Brooklyn, NY 
(40.700640408524, -73.985886243755)","3","11215","40.661354","-73.96968","55","39","177","3000000","3011170001","park-cemetery-etc-Brooklyn                                                 ","PARK SLOPE","D4-ELEVATOR","38","1920","43716","796506","18.22","393881","9.01","402625","2898000","66.29","3-01079-0040","70 PROSPECT PARK
Brooklyn, NY 
(40.700642038029, -73.987868812094)","PARK SLOPE","D1-ELEVATOR","30","1920","36636","603351","16.47","261998","7.15","341353","2471000","67.45","0.25","3-01065-0027","862 UNION STREET
Brooklyn, NY 
(40.673611671934, -73.973367230345)","PARK SLOPE","D1-ELEVATOR","49","1920","35310","704826","19.96","327122","9.26","377704","2702000","76.52","0.54",,," "," "," "," "," "," "," "," "," "," "," "," "," "
"3-00268-0030","38 LIVINGSTON STREET
Brooklyn, NY 
(40.691867133185, -73.99248949212)","3","11201","40.691971","-73.99281","2","33","9","3002625","3002680030","Brooklyn Heights-Cobble Hill                                               ","BROOKLYN HEIGHTS","D4-ELEVATOR","28","1914","27690","473222","17.09","235642","8.51","237580","1661000","59.99","3-00241-0011","63 MONTAGUE STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","BROOKLYN HEIGHTS","D1-ELEVATOR","12","1923","9972","185778","18.63","78480","7.87","107298","771000","77.32","0.35","3-00241-0020","2 PIERREPONT STREET
Brooklyn, NY 
(40.69628435741, -73.997082555405)","BROOKLYN HEIGHTS","D1-ELEVATOR","41","1949","40178","748577","18.63","316121","7.87","432456","3109000","77.38","0.35",,," "," "," "," "," "," "," "," "," "," "," "," "," "
"3-05286-0001","30 OCEAN PARKWAY
Brooklyn, NY 
(40.650516383343, -73.974231610072)","3","11218","40.650341","-73.973981","7","39","504","3122848","3052860001","Windsor Terrace                                                            ","WINDSOR TERRACE","D4-ELEVATOR","70","1936","169422","738661","4.36","310237","1.83","428424","1947000","11.49","3-05285-0001","50 OCEAN PARKWAY
Brooklyn, NY 
(40.650142253722, -73.975440172525)","WINDSOR TERRACE","D7-ELEVATOR","59","1937","67602","917807","13.58","513793","7.6","404014","2607000","38.56","0.05","3-05320-0009","31 OCEAN PARKWAY
Brooklyn, NY 
(40.65011511591, -73.973910701566)","KENSINGTON","D1-ELEVATOR","83","1929","90900","1170839","12.88","555058","6.11","615781","4109000","45.2","0.12","3-05330-0024","217 7 STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","KENSINGTON","D1-ELEVATOR","174","1951","146,066","1,885,594","12.91","1,005,458","6.88","880,136","5,412,000","37.05","0.35"
"3-05329-0062","179 OCEAN PARKWAY
Brooklyn, NY 
(40.645817999296, -73.974259765762)","3","11218","40.645795","-73.974274","12","39","504","3124347","3053290062","Windsor Terrace                                                            ","KENSINGTON","C6-WALK-UP","39","1923","38800","311080","8.02","141873","3.66","169207","975000","25.13","3-05329-0068","175 OCEAN PARKWAY
Brooklyn, NY 
(40.645935920031, -73.974283607659)","KENSINGTON","C1-WALK-UP","39","1923","38800","397409","10.24","241490","6.22","155919","971000","25.03","0","3-05329-0052","201 OCEAN PARKWAY
Brooklyn, NY 
(40.645169435452, -73.974128635367)","KENSINGTON","C1-WALK-UP","35","1923","38000","352591","9.28","149076","3.92","203515","783000","20.61","0","3-05328-0079","221 5 STREET
Brooklyn, NY 
(40.672556247418, -73.986216415861)","KENSINGTON","C1-WALK-UP","12","1926","12,800","148,313","11.59","70,533","5.51","77,780","392,000","30.63","0.09"
"3-05601-0001","4313 9 AVENUE
Brooklyn, NY 
(40.643603389793, -73.997459167385)","3","11232","40.643366","-73.997766","12","38","112","3136010","3056010001","Sunset Park East                                                           ","BOROUGH PARK","C6-WALK-UP","30","1923","32000","430400","13.45","195520","6.11","234880","1556000","48.63","3-05601-0006","902 43 STREET
Brooklyn, NY 
(40.643614540454, -73.997317654652)","BOROUGH PARK","C1-WALK-UP","44","1925","30400","408757","13.45","213300","7.02","195457","1188000","39.08","0","3-05595-0019","944 42 STREET
Brooklyn, NY 
(40.643635593684, -73.995870659052)","BOROUGH PARK","C1-WALK-UP","42","1924","32000","419262","13.1","207381","6.48","211881","1410000","44.06","0.05","3-05595-0014","922 42 STREET
Brooklyn, NY 
(40.643916650791, -73.996335340136)","BOROUGH PARK","C1-WALK-UP","27","1924","32,000","494,680","15.46","306,022","9.56","188,658","1,155,000","36.09","0.05"
"3-00258-0106","65 ATLANTIC AVENUE
Brooklyn, NY 
(42.433188999772, -78.748646000413)","3","11201","40.691296","-73.998147","2","33","7","3002258","3002580106","Brooklyn Heights-Cobble Hill                                               ","BROOKLYN HEIGHTS","C6-WALK-UP","16","1900","6920","161582","23.35","61519","8.89","100063","730000","105.49","3-00276-0029","168 STATE STREET
Brooklyn, NY 
(42.433188999772, -78.748646000413)","BROOKLYN HEIGHTS","C1-WALK-UP","14","1905","7185","187723","26.13","69417","9.66","118306","856000","119.14","0.36","3-00235-0061","158 HICKS STREET
Brooklyn, NY 
(40.696843672932, -73.995138882362)","BROOKLYN HEIGHTS","C1-WALK-UP","12","1855","6345","196697","31","65523","10.33","131174","980000","154.45","0.37","3-00230-0011","104 HICKS STREET
Brooklyn, NY 
(40.698523237732, -73.994332858287)","BROOKLYN HEIGHTS","C1-WALK-UP","14","1840","6,750","220,851","32.72","79,356","11.76","141,495","1,052,000","155.85","0.47"
"3-06802-0001","1900 QUENTIN ROAD
Brooklyn, NY 
(40.608649581508, -73.954347348964)","3","11229","40.608685","-73.95421","15","48","550","3183162","3068020001","Madison                                                                    ","MADISON","D4-ELEVATOR","124","1939","120000","1021200","8.51","546000","4.55","475200","2842000","23.68","3-06802-0041","2246 OCEAN AVENUE
Brooklyn, NY 
(40.606942294132, -73.952936282069)","MADISON","D1-ELEVATOR","72","1931","69000","587500","8.51","337106","4.89","250394","1386000","20.09","0","3-06825-0027","2306 OCEAN AVENUE
Brooklyn, NY 
(40.605413229407, -73.952649800416)","MADISON","D1-ELEVATOR","72","1935","84375","662632","7.85","401078","4.75","261554","1463000","17.34","0.17","3-06826-0048","2345 OCEAN AVENUE
Brooklyn, NY 
(40.604485176983, -73.952284962006)","MADISON","D1-ELEVATOR","94","1931","104,000","949,793","9.13","514,413","4.95","435,380","2,508,000","24.12","0.18"
"3-01064-0018","39 PLAZA ST
Brooklyn, NY 
(40.673692497852, -73.971510123624)","3","11217","40.673553","-73.971405","6","39","159","3024625","3010640018","Park Slope-Gowanus                                                         ","PARK SLOPE","D4-ELEVATOR","38","1927","65000","1256450","19.33","596700","9.18","659750","4731000","72.78","3-01170-0005","36 PLAZA ST
Brooklyn, NY 
(40.674069569571, -73.97144654162)","PROSPECT HEIGHTS","D6-ELEVATOR","85","1926","75535","1522220","20.15","668085","8.84","854135","6105000","80.82","0.22","3-01078-0016","530 2 STREET
Brooklyn, NY 
(40.670711051002, -73.977282710454)","PARK SLOPE","D1-ELEVATOR","47","1920","39261","653750","16.65","364847","9.29","288903","2091000","53.26","0.35","3-01179-0097","159 EASTERN PARKWAY
Brooklyn, NY 
(40.672155871843, -73.963919647188)","PROSPECT HEIGHTS","D1-ELEVATOR","72","1927","52,140","1,007,760","19.33","478,674","9.18","529,086","3,794,000","72.77","0.37"
