"program_type","program","site_name","borough_community","agency","contact_number","grade_level_age_group","location_1","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"After-School Programs","Out of School Time","P.S. 217 COL. DAVID MARCUS SCHOOL","Brooklyn","Flatbush Development Corporation","(718) 859-3800","Elementary","1100 NEWKIRK AVENUE
,  11230
(40.633960964399, -73.966505506315)","11230","40.63398","-73.966558","14","40","526","3121072","3052320001","Flatbush                                                                   "
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","YMCA of Greater New York / ELESAIR","New York","YMCA of Greater New York / ELESAIR","(212) 875-4336","16+","229 14th Street
,  10011
(40.738936722072, -74.000513524061)",,,,,,,,,
"Jobs & Internships,Youth Employment","Summer Youth Employment ","Youth Education Thru Sports","Manhattan","New York City Mission Society","212-368-8400","14 to 24","646 Malcolm X Blvd
,  10037
(40.818574610432, -73.937465443105)","10037","40.818813","-73.937414","10","9","214","1081458","1017400001","Central Harlem North-Polo Grounds                                          "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","M.S. 44 WILLIAM O'SHEA MIDDLE","Manhattan","Childrens Arts & Science Workshops, Inc.","(917) 441-1163","Middle School","100 77th Street
,  10024
(40.780633952407, -73.976495762434)",,,,,,,,,
"NDA Programs,Senior Programs,Older Adult Program","Seniors","Vladeck Cares","New York","Stryckers Bay Neighborhood Council, Inc.","(212) 766-9200","Seniors","351 Madison Ave
,  10002
(40.713407305685, -73.982487365932)","10017","40.754503","-73.978026","5","4","94","1035376","1012790048","Midtown-Midtown South                                                      "
"Family Support,NDA Programs","Fatherhood Initiative","The New York Society for the Prevention of Cruelty to Children","New York ","The New York Society for the Prevention of Cruelty to Children","212.233.5500","16 to 24","161 William Street
,  10038
(40.709999539835, -74.006016649884)","10038","40.710059","-74.005955","1","1","1501","1001269","1000920005","Battery Park City-Lower Manhattan                                          "
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","Pan American International High School (PAIHS)","Bronx","Citizens Advice Bureau","(718) 732-7523"," High School","1300 Boynton Avenue
,  10472
(40.831280981919, -73.878810472074)","10472","40.831601","-73.878912","9","18","56","2027459","2038640001","West Farms-Bronx River                                                     "
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","BROOKLYN EXCELSIOR CHARTER (K731)","Brooklyn","SEBCO St Barnabas Senior Housing","(212) 630-9680","Middle School","856 QUINCY STREET
,  11221
(40.689895906643, -73.92483415895)","11221","40.689842","-73.925506","3","41","387","3044597","3016330058","Stuyvesant Heights                                                         "
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Jewish Community Council of Greater Coney Island, Inc.","Brooklyn","Jewish Community Council of Greater Coney Island, Inc.","(718) 449-5000 x 2237","16+","2600 Ocean Avenue
,  11229
(40.598089925354, -73.951269838066)","11229","40.598158","-73.951186","15","48","578","3199766","3073520032","Madison                                                                    "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 56 LOUIS DE SARIO SCHOOL","Staten Island","United Activities Unlimited, Inc.","(718) 987-8111","OST","250 KRAMER AVENUE
,  10309
(40.542237935472, -74.213927431151)","10309","40.542246","-74.214002","3","51","20801","5128148","5070440001","Rossville-Woodrow                                                          "
"After-School Programs,Jobs & Internships,Youth Employment","In-School Youth Employment (ISY)","Chinese-American Planning Council, Inc/Brooklyn Branch","Brooklyn","Chinese American Planning Council","212.941.0920","High School","4101 8th Avenue
,  11232
(40.646131503325, -73.998442705929)","11232","40.64607","-73.998544","12","38","92","3018218","3009230009","Sunset Park East                                                           "
"After-School Programs","Out of School Time","P.S. 150 P.S. 150","Queens","Sunnyside Community Service, Inc.","(718) 392-6365","Elementary","40 01 43rd Avenue
,  11104
(40.744893366636, -73.920541345307)","11104","40.745537","-73.923776","2","26","18101","4002387","4001850001","Hunters Point-Sunnyside-West Maspeth                                       "
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS (K524)","Brooklyn","Park Slope Women's Shelter","(212) 226-2116"," High School","883 CLASSON AVENUE
,  11225
(40.670458657699, -73.961628275734)","11225","40.670349","-73.961695","9","35","213","3029686","3011870001","Crown Heights South                                                        "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 239 P.S. 239","Queens","Greater Ridgewood Youth Council, Inc.","(718) 456-5437","OST","1715 Weirfield Street
,  11385
(40.699061054267, -73.903921232915)","11385","40.699149","-73.903799","5","34","553","4435561","4035610001","Ridgewood                                                                  "
"After-School Programs","Out of School Time","Bnos Ahavas Israel","Brooklyn","National Society For Hebrew Day Schools","(718) 252-4446","High School","12 Franklin Avenue
,  11211
(40.699095526141, -73.958974925049)","11249","40.699034","-73.958945","1","33","537","3061372","3022610017","Williamsburg                                                               "
"Reading & Writing,NDA Programs,Family Literacy","Family Literacy","Public School 112 - Jose Celso Barbosa School","New York","Stanley M. Isaacs Neighborhood Center, Inc.","212-360-7625","A parent 16 Years Old or Older ","535 119 Street
,  10035
(40.796720254917, -73.931034820105)",,,,,,,,,
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","IS 52","New York","Sunset Park Center","(212) 942-0043","Middle School","650 Academy Street
,  10034
(40.865994377311, -73.924838060236)","10034","40.866053","-73.924835","12","10","291","1076776","1022330020","Marble Hill-Inwood                                                         "
"After-School Programs","Out of School Time","Brooklyn Prep","Brooklyn","St. Nicholas Neighborhood Preservation Corporation","(718) 599-9224","High School","257 6th Street
,  11211
(40.714990938318, -73.954584157341)","11215","40.672411","-73.987711","6","39","119","3000000","3009800095","Park Slope-Gowanus                                                         "
"Family Support,NDA Programs","Healthy Families","Edith and Carl Marks Jewish Community House of Bensonhurst","Brooklyn","Phipps Opportunity Center","(718) 331-6800",,"7802 Bay Parkway
,  11214
(40.606424326706, -73.989192742721)","11214","40.606369","-73.989235","11","44","270","3162352","3062640030","Bensonhurst West                                                           "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","Yeshiva Kehilath Yakov - Boys","Brooklyn","Yeshiva Kehilath Yakov","(718) 972-2900","OST","4706 10th Avenue
,  11219
(40.640113313285, -73.997627589313)","11219","40.640015","-73.997694","12","38","114","3137077","3056250033","Borough Park                                                               "
"After-School Programs","Out of School Time","P.S. 163 FLUSHING HEIGHTS SCHOOL","Queens","New York Junior Tennis League","(347) 417-8189","Elementary","159 01 59th Avenue
,  11365
(40.739871843711, -73.794621535156)","11365","40.740565","-73.809131","7","20","1215","4146042","4067260070","Queensboro Hill                                                            "
"After-School Programs","Out of School Time","P.S. 221 THE TOUSSAINT L'OUVER","Brooklyn","Friends of Crown Heights Educational Center","(718) 467-4270","Elementary","791 Empire Boulevard
,  11213
(40.663684048667, -73.935365101987)",,,,,,,,,
"After-School Programs","Out of School Time","P.S. 2 ALFRED ZIMBERG SCHOOL","Queens","Hellenic American Neighborhood Action Committee (HANAC)","(718) 728-1459","Elementary","75 10 21st Avenue
,  11370
(40.75935377086, -73.8918440004)","11370","40.770335","-73.894476","1","22","317","4021375","4009710001","Steinway                                                                   "
"After-School Programs","Out of School Time","I.S. 254","Bronx","Community Association of Progressive Dominicans","(718) 220-8700","Middle School","2452 Washington Avenue
,  10458
(40.858790962663, -73.890242450606)","10458","40.858815","-73.890232","6","15","387","2103863","2030580003","Belmont                                                                    "
"After-School Programs","Out of School Time","Harvey Milk HS","Manhattan","Hetrick-Martin Institute, Inc.","(212) 674-2400","High School","2 Astor Place
,  10003
(40.730049721308, -73.992789944984)","10003","40.730038","-73.992632","2","2","57","1080092","1005450026","West Village                                                               "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","Baychester Center- MS","Bronx","Baychester Youth Council","(718) 325-9484","Middle School","1220 229th Street
,  10466
(40.884596367023, -73.842732985462)",,,,,,,,,
"After-School Programs","Out of School Time","I.S. 311 ESSENCE SCHOOL","Brooklyn","SCO Family of Services","(718) 485-5130","Middle School","590 SHEFFIELD AVENUE
,  11207
(40.662338781882, -73.894486606183)","11207","40.662326","-73.894441","5","42","1128","3085491","3038380018","East New York (Pennsylvania Ave)                                           "
"After-School Programs","Out of School Time","YMCA/Eastern District 2","Brooklyn","YMCA of Greater New York/North Brooklyn YMCA","(718) 782-8300","Elementary","125 Humboldt Street
,  11206
(40.70586365914, -73.941301496949)",,,,,,,,,
"After-School Programs,Summer Program,Summer Camp","Out of School Time","Flatbush Club (middle school)","Brooklyn","Madison Square Boys & Girls Club","(718) 462-6100","OST","2245 Bedford Avenue
,  11226
(40.649137318601, -73.955760550637)","11226","40.649122","-73.955765","17","40","794","3117297","3051070008","Erasmus                                                                    "
"After-School Programs,Jobs & Internships,Youth Employment","Out-of-School Youth Employment (OSY)","YWCA of Queens","Queens","YWCA of Queens","718.353.4553","16 to 21","42 07 Parsons Boulevard
,  11355
(40.751299796948, -73.821478547897)","11355","40.757857","-73.819077","7","20","861","4583346","4053750006","East Flushing                                                              "
"Jobs & Internships","Young Adult Internship Program","The Child Center of NY","Queens","The Child Center of NY, Inc","347.571.2441","16 to 24","163 18 Jamaica Avenue
,  11432
(40.71311535449, -73.792820999789)","11432","40.704799","-73.796524","12","27","44601","4216197","4101510007","Jamaica                                                                    "
"Jobs & Internships,Youth Employment","Summer Youth Employment ","New York City Department of Education","Manhattan","New York City Department of Education","212-374-2498  ","14 to 24","52 Chambers Street
,  10007
(40.713695753375, -74.00528819904)",,,,,,,,,
"Family Support,NDA Programs","Healthy Families","Tompkins Housing Community Center","Brooklyn","Lafayette Estates","(718) 636-6906",,"736 Park Avenue
,  11206
(40.697955194281, -73.946193609096)","11206","40.697972","-73.946128","3","36","25902","3324248","3017400001","Bedford                                                                    "
"After-School Programs","Out of School Time","United Community Day Care","Brooklyn","United Community Day Care Center, Inc","(718) 385-1201","Elementary","613 New Lots Avenue
,  11207
(40.664726498258, -73.88659110359)","11207","40.664728","-73.886561","5","42","1124","3090717","3040890025","East New York                                                              "
"After-School Programs","Out of School Time","P.S. 71 FOREST SCHOOL","Queens","Greater Ridgewood Youth Council, Inc.","(718) 456-5437","Elementary","62 85 Forest Avenue
,  11385
(40.701224891615, -73.88334858437)","11385","40.711203","-73.905286","5","30","595","4083519","4034920007","Ridgewood                                                                  "
"After-School Programs","Beacon","IS 232","Brooklyn","Sesame Flyers International Inc.","718.221.8880","6 and up","905 Winthrop Avenue
,  11203
(40.658451422174, -73.929131359882)","11203","40.65843","-73.929076","17","41","880","3099733","3046060025","Prospect Lefferts Gardens-Wingate                                          "
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","Castle Hill School (JHS 127)","Bronx","SHoP Architects","(212) 652-2812","Middle School","1560 Purdy Street
,  10462
(40.838014740567, -73.853519833648)","10462","40.837931","-73.853524","9","18","222","2041247","2039480055","Parkchester                                                                "
"After-School Programs","Out of School Time","BRONX LAB SCHOOL","Bronx","Federation Employment & Guidance Services (FEGS)","(718) 696-3700","High School","800 Gun Hill Road
,  10467
(40.875978648353, -73.862106695349)","10467","40.875953","-73.86197","12","12","372","2057045","2046330040","Williamsbridge-Olinville                                                   "
"Immigration Services,Immigrant Support Services","Services - Immigrant Families","Big Brothers/Big Sisters, Inc. (Activity Site)","Brooklyn","Big Brothers/Big Sisters, Inc.","212.994.7742","14-Nov","280 Shepherd Avenue
,  11208
(40.677730884418, -73.881738314856)","11208","40.677725","-73.881715","5","37","1168","3327121","3039720012","East New York                                                              "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","C.E.S. 88 THE SIDNEY SILVERSTE","Bronx","New Settlement Apartments","(718) 538-8051","OST","1340 Sheridan Avenue
,  10456
(40.837335160816, -73.913452341893)","10456","40.837275","-73.913574","4","16","17902","2094533","2028300017","East Concourse-Concourse Village                                           "
"Reading & Writing,NDA Programs,Family Literacy","Family Literacy","Edith and Carl Marks Jewish Community House of Bensonhurst","Brooklyn","Edith and Carl Marks Jewish Community House of Bensonhurst","718-943-6325","A parent 16 Years Old or Older ","7802 Bay Parkway
,  11214
(40.606424326706, -73.989192742721)","11214","40.606369","-73.989235","11","44","270","3162352","3062640030","Bensonhurst West                                                           "
"After-School Programs","Out of School Time","C.E.S. 55 BENJAMIN FRANKLIN SC","Bronx","Supportive Childrens Advocacy Network (SCAN)","(718) 681-6227","Elementary","450 SAINT PAULS PLACE
,  10456
(40.836276563944, -73.904611130772)","10456","40.836404","-73.905014","3","16","14702","2009463","2029020001","Claremont-Bathgate                                                         "
"After-School Programs,Jobs & Internships,Youth Employment","In-School Youth Employment (ISY)","Children's Arts & Science Workshops, Inc.","New York","Children's Arts & Science Workshops, Inc.","212.923.7766","High School","4271 Broadway
,  10033
(40.850743437421, -73.935446850245)","10033","40.850456","-73.935609","12","10","271","1064414","1021800093","Washington Heights North                                                   "
"After-School Programs","Out of School Time","Salvation Army/Bushwick","Brooklyn","The Salvation Army","(212) 337-7254","High School","1151 Bushwick Avenue
,  11221
(40.689188164634, -73.917541164809)","11221","40.689133","-73.917483","4","34","399","3077163","3033740001","Bushwick South                                                             "
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","MS 216","Bronx","Mount Hope Community Center","(718) 732-7523","Middle School","977 Fox Street
,  10459
(40.822428225918, -73.89392410103)","10459","40.822443","-73.893902","2","17","159","2005660","2027140004","Hunts Point                                                                "
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","JHS 227 EDWARD B SHALLOW (K227)","Brooklyn","Highbridge Gardens","(718) 236-5266","Middle School","6500 16 AVENUE
,  11204
(40.621991704444, -73.994957377043)","11204","40.62191","-73.995022","11","38","250","3133741","3055510018","Bensonhurst West                                                           "
"NDA Programs,Senior Programs,Older Adult Program","Seniors","Riverstone Senior Life Services, Inc.","New York","Yeled V Yalda Community Center","(212) 927-5600","Seniors","99 Fort Washington Avenue
,  10032
(40.839043257819, -73.943522762068)","10032","40.83851","-73.943738","12","7","247","1063346","1021360235","Washington Heights South                                                   "
"After-School Programs","Out of School Time","Brownsville Center","Brooklyn","The Salvation Army","(212) 337-7254","High School","280 Riverdale Avenue
,  11212
(40.661349382365, -73.906076156407)","11212","40.661364","-73.906124","16","42","918","3082390","3036050010","Brownsville                                                                "
"After-School Programs","Teen Action Program","Pathways College Preparatory School: A College Board School","Queens","Sports and Arts In Schools Foundation, Inc.","718.454.5097 ","13 to 21","109 89 204 Street
,  11412
(40.698127117473, -73.759235198346)","11412","40.70646","-73.753579","12","27","508","4234318","4109440301","Hollis                                                                     "
"After-School Programs","Out of School Time","Polo Grounds","Manhattan","Alianza Dominicana, Inc.","(917) 258-3932","Elementary","2965 Frederick Douglass Boulevard
,  10039
(40.83116300654, -73.935918816187)",,,,,,,,,
"Family Support,NDA Programs"," Housing","Los Sures","Brooklyn","Middle School 206","(718) 387-3600","Adults","213 4th Street
,  11211
(40.714629070551, -73.956982239867)",,,,,,,,,
"Jobs & Internships,Youth Employment","Summer Youth Employment ","Mosholu Montefiore Community Center, Inc.","Bronx","Mosholu Montefiore Community Center, Inc.","718-882-4000  x279","14 to 24","3450 Dekalb Avenue
,  10467
(40.881106944743, -73.881708466169)","10467","40.881486","-73.881226","7","11","421","2096396","2033270001","Norwood                                                                    "
"After-School Programs","Beacon","MS 45","Bronx","Good Shepherd Services","718.367.9577","6 and up","2502 Lorillard Place
,  10466
(40.890809730185, -73.846009063068)","10458","40.859034","-73.886913","6","15","387","2011937","2030670001","Belmont                                                                    "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 346 ABE STARK SCHOOL","Brooklyn","New York Junior Tennis League","(718) 642-6538","OST","1400 Pennsylvania Ave
,  11239
(40.647521749912, -73.881546762442)","11239","40.64726","-73.881114","5","42","105804","3098294","3044520025","Starrett City                                                              "
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL (K507)","Brooklyn","PS 173","(718) 951-5015"," High School","400 PENNSYLVANIA AVENUE
,  11210
(40.627722263871, -73.946537919989)","11207","40.667456","-73.894747","5","42","1156","3084440","3037880001","East New York (Pennsylvania Ave)                                           "
"After-School Programs,Beacon,NYCHA Community Center","Beacon Satellite","NYCHA RAVENSWOOD HOUSES","Queens","HANAC @Ravenswood Community Center","(718) 786-3131","6 and up","35 40 21st Street
,  11106
(40.761699790013, -73.931663252957)","11106","40.760808","-73.93592","1","26","43","4430693","4003320002","Queensbridge-Ravenswood-Long Island City                                   "
"After-School Programs","Out of School Time","YMCA","Queens","YMCA of Greater New York/Flushing","(718) 961-6880","High School","138 46 Northern Blvd
,  11354
(40.768620220647, -73.827190280707)","11354","40.764119","-73.827142","7","20","865","4113292","4050100038","Flushing                                                                   "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","Amistad Early Ed Center","Queens","Amistad Early Childhood Educational Center Inc","(718) 526-5911","Elementary","110 15 164th Place
,  11433
(40.698104881735, -73.787574033914)","11433","40.693627","-73.786987","12","27","264","4216947","4101930001","South Jamaica                                                              "
"After-School Programs","Out of School Time","New Life Child Develop. #2","Brooklyn","New Life Child Development Corporation","(718) 417-4206","Elementary","408 Grove Street
,  11237
(40.700948166255, -73.913106715145)","11237","40.701224","-73.912863","4","37","441","3397531","3033290016","Bushwick North                                                             "
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL CHANGE (M670)","New York","Italian American Civil Rights League","(212) 652-2812","Middle School","200 135 STREET
,  10030
(40.815348299844, -73.943892845829)",,,,,,,,,
"After-School Programs","Out of School Time","x343","Bronx","Just Us, Inc.","(718) 292-3883","Middle School","345 Brook Avenue
,  10454
(40.810048624427, -73.91782345431)","10454","40.81004","-73.917792","1","8","41","2000391","2022860036","Mott Haven-Port Morris                                                     "
"Family Support,NDA Programs"," Housing","Manhattan Legal Services","New York","Edith and Carl Marks Jewish Community House of Bensonhurst","(646) 442-3142","Adults","55 125 Street
,  10027
(40.807160107123, -73.943956860373)",,,,,,,,,
"After-School Programs","Out of School Time","M.S. 135 FRANK D. WHALEN SCHOO","Bronx","Sports and Arts In Schools Foundation, Inc.","(212) 945-8373","Middle School","2441 Wallace Avenue
,  10467
(40.862082563561, -73.864611783634)","10467","40.862109","-73.864577","11","13","330","2051313","2044320001","Bronxdale                                                                  "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 130 HERNANDO DESOTO SCHOOL","Manhattan","Chinese American Planning Council","(212) 431-8574","Elementary","143 Baxter Street
,  10013
(40.718613947525, -73.99859121725)","10013","40.718903","-73.998438","2","1","41","1003086","1002360038","SoHo-TriBeCa-Civic Center-Little Italy                                     "
"After-School Programs","Out of School Time","P.S. 91 RICHARD ARKWRIGHT SCHOOL","Queens","Greater Ridgewood Youth Council, Inc.","(718) 456-5437","Elementary","68 10 Central Avenue
,  11385
(40.701224891615, -73.88334858437)","11385","40.703661","-73.885107","5","30","627",,,"Glendale                                                                   "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 130 PARKSIDE SCHOOL","Brooklyn","University Settlement Society of New York, Inc","(917) 828-6377","OST","70 OCEAN PARKWAY
,  11218
(40.649225679206, -73.975748310895)","11218","40.648884","-73.975607","7","39","500","3124019","3053190001","Windsor Terrace                                                            "
"Family Support,NDA Programs","Healthy Families","The Friends of Crown Heights Educational Centers, Inc.","Brooklyn","Sauti Yetu Center for African Women","(718) 638-8686",,"36 Ford Street
,  11213
(40.665048954694, -73.929345794578)","11213","40.664905","-73.929282","9","41","355","3038317","3014200051","Crown Heights South                                                        "
"After-School Programs,Beacon,NYCHA Community Center","Beacon Satellite","NYCHA JOHNSON HOUSES","Manhattan","SCAN @James Weldon Johnson Community Center","(212) 289-8819","6 and up","1820 Lexington Avenue
,  10029
(40.796664707745, -73.943093629535)","10029","40.796524","-73.943167","11","8","182","1079195","1016400001","East Harlem North                                                          "
"After-School Programs","Out of School Time","C.S. 50 CLARA BARTON SCHOOL","Bronx","Sports and Arts In Schools Foundation, Inc.","(718) 589-7284","Elementary","1550 Vyse Avenue
,  10460
(40.833803868163, -73.887692237056)","10460","40.834157","-73.887512","3","17","157","2010786","2029960010","Crotona Park East                                                          "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","Haitian American (Sterling pl)","Brooklyn","Haitian American ","(718) 771-3800","OST","813 Sterling Place
,  11216
(40.672627041904, -73.951591584937)","11216","40.672613","-73.95161","8","36","31701","3031515","3012400056","Crown Heights North                                                        "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 112 JOSE CELSO BARBOSA SC","Manhattan","Stanley M. Isaacs Neighborhood Center, Inc.","(212) 427-2520","OST","535 119 STREET
,  10035
(40.796720254917, -73.931034820105)",,,,,,,,,
"After-School Programs,Beacon,NYCHA Community Center","Beacon Satellite","NYCHA SOUTH JAMAICA II HOUSES","Queens","Southern Queens Park Association @South Jamaica II Community Center","(718) 297-7237","6 and up","109 04 160th Street
,  11433
(40.698104881735, -73.787574033914)","11433","40.693957","-73.792027","12","28","260","4435245","4121480100","South Jamaica                                                              "
"After-School Programs","Beacon","MS 72","Queens","Child Center of New York ","718.276.7728","6 and up","133 25 Guy R Brewer Boulevard
,  11434
(40.676945262114, -73.775306901692)","11434","40.673769","-73.775951","12","28","33402","4270059","4124950270","Springfield Gardens North                                                  "
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED"," Adult Literacy","Turning Point","Brooklyn","Turning Point (aka Discipleship Outreach Ministries, Inc.)","(718) 360-8171","16+","5224 6th Avenue
,  11220
(40.642523308887, -74.009472865801)","11220","40.642482","-74.009477","7","38","100","3013968","3008080041","Sunset Park East                                                           "
"After-School Programs","Out of School Time","P.S. 112 BRONXWOOD SCHOOL","Bronx","Phipps Community Development","(718) 654-6377","Elementary","1925 Schieffelin Ave
,  10466
(40.884468943201, -73.843986679492)","10466","40.885008","-73.843193","12","12","458","2065991","2049050500","Eastchester-Edenwald-Baychester                                            "
"Family Support,NDA Programs","Healthy Families","Jacob Riis Neighborhood Settlement House","Queens","Red Hook Initiative","(718) 784-7447",,"10 25 41st Avenue
,  11101
(40.745702449808, -73.938669029252)","11101","40.755488","-73.945328","1","26","25","4433386","4004700100","Queensbridge-Ravenswood-Long Island City                                   "
"After-School Programs","Out of School Time","Community Counseling 2","Brooklyn","Community Counseling and Mediation","(718) 230-5100","Elementary","810 Classon Avenue
,  11238
(40.672809110684, -73.960856690292)","11238","40.672776","-73.960846","8","35","215","3029555","3011770031","Prospect Heights                                                           "
"After-School Programs","Out of School Time","M.S. 210 ELIZABETH BLACKWELL S","Queens","YMCA of Greater New York/Cross Island","(718) 659-7710","Elementary","93 11 101 AVENUE
,  11416
(40.684578097002, -73.849601668482)","11416","40.683858","-73.84747","9","32","38","4188567","4090670001","Woodhaven                                                                  "
"Family Support,NDA Programs"," Housing","St. Cecilias R.C. Church","New York","Crown Heights Jewish Community Council","(212) 371-1011","Adults","125 105th Street
,  10029
(40.791904392878, -73.9475075401)",,,,,,,,,
"After-School Programs,Summer Program,Summer Camp","Out of School Time","P.S. 199 MAURICE FITZGERALD SC","Queens","Sunnyside Community Service, Inc.","(917) 843-7953","OST","39 20 48 AVENUE
,  11104
(40.744893366636, -73.920541345307)","11104","40.740088","-73.926214","2","26","189","4002915","4002060003","Hunters Point-Sunnyside-West Maspeth                                       "
"After-School Programs","Out of School Time","Jackson Ave Residence","Bronx","Bronx Council On The Arts, Inc.","(718) 409-1265","MS/HS","691 138th Street
,  10454
(40.805201541357, -73.913559057504)",,,,,,,,,
"After-School Programs","Beacon","PS 176","Queens","Federation Employment Guidance Services Inc. ","718.528.1743","6 and up","120 45 235th Street
,  11411
(40.694293339066, -73.735683291251)","11411","40.685492","-73.729982","13","27","614","4276382","4128200001","Cambria Heights                                                            "
"After-School Programs","Beacon","IS 5","Queens","Sunnyside Community Service, Inc. ","718.429.8752","6 and up","50 40 Jacobus Street
,  11373
(40.738710402563, -73.878351155182)","11373","40.737718","-73.887429","4","25","489","4454423","4024500017","Elmhurst-Maspeth                                                           "
"NDA Programs,Senior Programs,Older Adult Program","Seniors","Elmhurst Jackson Heights Senior Center","Queens","The Child Center","(212) 677-4181","Seniors","75 01
Broadway,  11368
(40.749678220374, -73.853040688577)","11373","40.746172","-73.890208","4","25","267","4036730","4014860013","Elmhurst                                                                   "
"After-School Programs,Jobs & Internships,Youth Employment","In-School Youth Employment (ISY)","Bronx School for Law, Government & Justice - H.S. 505","Bronx","Federation Employment and Guidance Service, Inc.","212.366.8441","High School","244 163rd Street
,  10451
(40.827557580707, -73.91861304157)",,,,,,,,,
"After-School Programs","Teen Action Program","JHS 057 Whitelaw Reid (K057)","Brooklyn","Brooklyn Center For Urban Environment","718.788.8500 ext. 207","13 to 21","125 Stuyvesant Avenue
,  11221
(40.691184878421, -73.933652733309)","11221","40.691274","-73.933697","3","36","291","3043822","3016160001","Stuyvesant Heights                                                         "
"After-School Programs","Teen Action Program","El Puente Academy For Peace and Justice (K685)","Brooklyn","El Puente Academy (K)","718.387.0404","13 to 21","211 4 Street
,  11211
(40.714638461899, -73.956997534348)",,,,,,,,,
"Immigration Services,Immigrant Support Services","Services - Immigrant Families","Big Brothers/Big Sisters, Inc. (Activity Site)","Jamaica","Big Brothers/Big Sisters, Inc.","212.994.7742","14-Nov","89 56 162nd Street
,  11432
(40.71311535449, -73.792820999789)","11432","40.705395","-73.798368","12","24","44601","4208872","4097600074","Jamaica                                                                    "
"Jobs & Internships,Youth Employment","Summer Youth Employment ","East Harlem Employment Services, Inc. STRIVE","Manhattan","East Harlem Employment Services, Inc. STRIVE","212-360-1100","14 to 24","240 123rd Street
,  10035
(40.801631007365, -73.935035566046)",,,,,,,,,
"After-School Programs","Out of School Time","P.S. 260 BREUCKELEN SCHOOL","Brooklyn","Groundwork Inc.","(718) 346-2200","Elementary","875 Williams Avenue
,  11207
(40.654016736913, -73.894829659974)","11207","40.654031","-73.894854","18","42","982","3229155","3081580035","Canarsie                                                                   "
"After-School Programs","Out of School Time","PS 25-Eubie Blake (MS)","Brooklyn","CAMBA  ","(718) 573-7593","Middle School","787 Lafayette Avenue
,  11221
(40.691050099236, -73.941394999532)","11221","40.691037","-73.941342","3","36","281","3049858","3017870014","Stuyvesant Heights                                                         "
"Immigration Services,Immigrant Support Services,NDA Programs,NDA Immigrants","NDA Immigrats","Goodwill Industries of Greater New York & Northern NJ, Refugee and Immigrant Services (Program Site 1)","Brooklyn","Goodwill Industries of Greater New York","718- 339-0939 ","Adult","1416 Avenue
M,  11230
(40.617899964727, -73.960775041287)","11230","40.617962","-73.960396","14","48","768","3180877","3067430006","Midwood                                                                    "
"Family Support,NDA Programs","Healthy Families","Center for the Integration and Advancement of New Americans","Queens","Northern Manhattan Improvement Corporation","(718) 545-4040",,"31 09 Newtown Avenue
,  11102
(40.771524024514, -73.926435450735)","11102","40.767493","-73.920661","1","22","71","4536739","4006190020","Old Astoria                                                                "
"After-School Programs","Out of School Time","P.S./M.S. 75 P.S. 75","Bronx","Episcopal Social Services","(718) 328-5626","Elementary","984 FAILE STREET
,  10459
(40.822818392634, -73.889421138989)","10459","40.822719","-73.889435","2","17","119","2006079","2027470001","Hunts Point                                                                "
"After-School Programs,Summer Program,Summer Camp","Out of School Time","I.S. 113 RONALD EDMONDS SCHOOL","Brooklyn","Long Island University","(718) 488-1514","OST","300 Adelphi Street
,  11205
(40.688733680334, -73.971009252648)","11205","40.688811","-73.971009","2","35","181","3059051","3021030004","Fort Greene                                                                "
