"appeal_type","appeal_subtype","agency","status_flag","date_filed","date_closed","exam_no","title","expiration","extension","acronym"
"Section 50","Character","Police Department - NYPD","Closed","2018-03-09T00:00:00.000","2018-06-22T00:00:00.000","7502","Police Officer","2021-07-26T00:00:00.000",,"NYPD"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Closed","2018-03-09T00:00:00.000","2018-10-03T00:00:00.000","7019","Procurement Analyst",,,"DCAS"
"Section 50","Character","Police Department - NYPD","Closed","2018-03-09T00:00:00.000","2018-06-18T00:00:00.000","5330","Police Communications Technician","2020-09-15T00:00:00.000",,"NYPD"
"Section 50","Character","Police Department - NYPD","Closed","2018-03-09T00:00:00.000","2018-06-19T00:00:00.000","4332","Police Officer","2020-12-21T00:00:00.000",,"NYPD"
"Section 50","Character","Police Department - NYPD","Closed","2018-03-09T00:00:00.000","2018-05-29T00:00:00.000","5305","Police Officer","2021-03-02T00:00:00.000",,"NYPD"
"Section 50",,"Fire Department - FDNY","Closed","2018-03-09T00:00:00.000","2018-04-11T00:00:00.000","6003","Emergency Medical Specialist - EMT","2020-02-24T00:00:00.000",,"FDNY"
"Other",,"Department of Citywide Administrative Services - DCAS","Closed","2018-03-08T00:00:00.000","2018-03-09T00:00:00.000",,,,,"DCAS"
"Section 50","Medical","Fire Department - FDNY","Closed","2018-03-07T00:00:00.000","2018-09-21T00:00:00.000","7501","Firefighter","2021-10-11T00:00:00.000",,"FDNY"
"Section 76","Suspension","Police Department - NYPD","Closed","2018-03-07T00:00:00.000","2018-09-18T00:00:00.000",,,,,"NYPD"
"Section 50","Medical","Police Department - NYPD","Closed","2018-03-07T00:00:00.000","2018-07-11T00:00:00.000","7314","School Safety Agent","2022-03-08T00:00:00.000",,"NYPD"
"Section 50","Character","Police Department - NYPD","Closed","2018-03-07T00:00:00.000","2018-03-30T00:00:00.000","5305","Police Officer","2021-03-02T00:00:00.000",,"NYPD"
"Section 50","Unauthorized Substance","Administration for Children's Services - ACS","Closed","2018-03-07T00:00:00.000","2018-10-31T00:00:00.000","7300","Child Protective Specialist","2021-08-23T00:00:00.000",,"ACS"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Closed","2018-03-07T00:00:00.000","2018-09-26T00:00:00.000","7019","Procurement Analyst",,,"DCAS"
"Waiting for DQ",,"Department of Citywide Administrative Services - DCAS","Closed","2018-03-07T00:00:00.000","2018-04-13T00:00:00.000",,,,,"DCAS"
"Section 50","Character","Police Department - NYPD","Closed","2018-03-06T00:00:00.000","2018-06-29T00:00:00.000","5326","Police Officer","2021-07-06T00:00:00.000",,"NYPD"
"Section 76","Termination","Police Department - NYPD","Closed","2018-03-06T00:00:00.000","2018-06-14T00:00:00.000",,,,,"NYPD"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Closed","2018-03-06T00:00:00.000","2018-09-06T00:00:00.000","8003","Clerical Associate",,,"DCAS"
"Section 50","Character","Police Department - NYPD","Closed","2018-03-06T00:00:00.000","2018-10-25T00:00:00.000","5300","Police Officer","2021-03-01T00:00:00.000",,"NYPD"
"Section 50","Character","Police Department - NYPD","Closed","2018-03-05T00:00:00.000","2018-06-14T00:00:00.000","4329","Police Officer","2020-11-25T00:00:00.000",,"NYPD"
"Section 50","Character","Police Department - NYPD","Closed","2018-03-05T00:00:00.000","2018-06-29T00:00:00.000","5300","Police Officer","2021-03-01T00:00:00.000",,"NYPD"
"Section 50","Character","Police Department - NYPD","Closed","2018-03-05T00:00:00.000","2018-09-13T00:00:00.000","5321","Police Officer","2021-07-03T00:00:00.000",,"NYPD"
"Section 50","Education and Experience","Transit Authority - NYCTA","Closed","2018-03-05T00:00:00.000","2018-04-30T00:00:00.000","7606","Transit Mgmt. Analyst Trainee",,,"NYCTA"
"Section 50","Character","Police Department - NYPD","Closed","2018-03-05T00:00:00.000","2018-08-02T00:00:00.000","5306","Police Officer","2021-03-03T00:00:00.000",,"NYPD"
"Section 50","Psych","Department of Correction - DOC","Closed","2018-03-05T00:00:00.000","2018-09-25T00:00:00.000","7324","Correction Officer","2021-09-20T00:00:00.000",,"DOC"
"Section 76","Suspension","Department of Sanitation - DSNY","Closed","2018-03-05T00:00:00.000","2018-04-18T00:00:00.000",,,,,"DSNY"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Closed","2018-03-04T00:00:00.000","2018-08-10T00:00:00.000","7046","Paralegal Aide","2022-02-28T00:00:00.000",,"DCAS"
"Section 50","Eligibility","Department of Citywide Administrative Services - DCAS","Closed","2018-03-02T00:00:00.000","2018-05-24T00:00:00.000","8229","Recreation Supervisor","2018-12-27T00:00:00.000",,"DCAS"
"Waiting for DQ",,"Police Department - NYPD","Closed","2018-03-01T00:00:00.000","2018-04-13T00:00:00.000",,,,,"NYPD"
"Section 50","Psych","Police Department - NYPD","Closed","2018-03-01T00:00:00.000","2018-03-19T00:00:00.000","3325","School Safety Agent","2019-08-19T00:00:00.000",,"NYPD"
"Section 50","Character","Police Department - NYPD","Closed","2018-02-28T00:00:00.000","2018-09-21T00:00:00.000","5300","Police Officer","2021-03-01T00:00:00.000",,"NYPD"
"Section 50","Score","Department of Citywide Administrative Services - DCAS","Closed","2018-02-28T00:00:00.000","2018-10-24T00:00:00.000","7002","Computer Associate (Software)","2021-10-25T00:00:00.000",,"DCAS"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Closed","2018-02-28T00:00:00.000","2018-05-18T00:00:00.000","7002","Computer Associate (Software)","2021-10-25T00:00:00.000",,"DCAS"
"Section 50","Character","Police Department - NYPD","Closed","2018-02-27T00:00:00.000","2018-06-19T00:00:00.000","4316","Police Officer","2020-08-24T00:00:00.000",,"NYPD"
"Section 50","Character","Police Department - NYPD","Closed","2018-02-27T00:00:00.000","2018-06-19T00:00:00.000","5300","Police Officer","2021-03-01T00:00:00.000",,"NYPD"
"Section 50","Character","Police Department - NYPD","Closed","2018-02-27T00:00:00.000","2018-06-14T00:00:00.000","4312","Police Officer","2020-06-22T00:00:00.000",,"NYPD"
"Section 50","Character","Police Department - NYPD","Closed","2018-02-27T00:00:00.000","2018-05-18T00:00:00.000","4324","Police Officer","2020-09-14T00:00:00.000",,"NYPD"
"Section 50","Character","Administration for Children's Services - ACS","Closed","2018-02-27T00:00:00.000","2018-10-18T00:00:00.000","5019","Congregate Care Specialist","2020-05-11T00:00:00.000",,"ACS"
"Section 50","Education and Experience","Transit Authority - NYCTA","Closed","2018-02-27T00:00:00.000","2018-03-19T00:00:00.000","7606","Transit Mgmt. Analyst Trainee",,,"NYCTA"
"Section 50","Psych","Department of Correction - DOC","Closed","2018-02-27T00:00:00.000","2018-10-18T00:00:00.000","7322","Correction Officer","2021-05-17T00:00:00.000",,"DOC"
"Section 50","Character","Police Department - NYPD","Closed","2018-02-26T00:00:00.000","2018-05-16T00:00:00.000","5310","Police Officer","2021-03-06T00:00:00.000",,"NYPD"
"Section 50","Education and Experience","Transit Authority - NYCTA","Closed","2018-02-26T00:00:00.000","2018-04-26T00:00:00.000","7606","Transit Mgmt. Analyst Trainee",,,"NYCTA"
"Section 50","Timeliness","Department of Citywide Administrative Services - DCAS","Closed","2018-02-26T00:00:00.000","2018-05-10T00:00:00.000","8003","Clerical Associate",,,"DCAS"
"Section 50","Character","Police Department - NYPD","Closed","2018-02-26T00:00:00.000","2018-06-06T00:00:00.000","4329","Police Officer","2020-11-25T00:00:00.000",,"NYPD"
"Duplicate Filing",,"Civil Service Commission - NYCCSC","Closed","2018-02-24T00:00:00.000","2018-02-26T00:00:00.000",,,,,"NYCCSC"
"Section 50","Psych","Police Department - NYPD","Closed","2018-02-24T00:00:00.000","2018-08-15T00:00:00.000","6329","Traffic Enforcement Agent","2020-10-21T00:00:00.000",,"NYPD"
"Other",,"Department of Parks and Recreation - DPR","Closed","2018-02-23T00:00:00.000","2018-02-23T00:00:00.000",,,,,"DPR"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Closed","2018-02-23T00:00:00.000","2018-11-27T00:00:00.000","7002","Computer Associate (Software)","2021-10-25T00:00:00.000",,"DCAS"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Closed","2018-02-23T00:00:00.000","2018-05-25T00:00:00.000","7004","Computer Programmer Analyst","2021-10-25T00:00:00.000",,"DCAS"
"Section 50","Psych","Police Department - NYPD","Closed","2018-02-23T00:00:00.000","2018-05-16T00:00:00.000","5320","Police Officer","2021-06-30T00:00:00.000",,"NYPD"
"Section 50","Character","Police Department - NYPD","Closed","2018-02-22T00:00:00.000","2018-06-14T00:00:00.000","4320","Police Officer","2020-08-25T00:00:00.000",,"NYPD"
"Section 50","Timeliness","Department of Citywide Administrative Services - DCAS","Closed","2018-02-22T00:00:00.000","2018-03-16T00:00:00.000","7002","Computer Associate(Software)","2021-10-25T00:00:00.000",,"DCAS"
"Section 50","Education and Experience","Transit Authority - NYCTA","Closed","2018-02-22T00:00:00.000","2018-06-06T00:00:00.000","7602","Structure Maintainer Group B",,,"NYCTA"
"Section 50","Education and Experience","Transit Authority - NYCTA","Closed","2018-02-22T00:00:00.000","2018-04-17T00:00:00.000","7606","Transit Mgmt Analyst Trainee",,,"NYCTA"
"Section 50","Medical","Police Department - NYPD","Closed","2018-02-22T00:00:00.000","2018-06-12T00:00:00.000","7323","Police Officer","2021-12-13T00:00:00.000",,"NYPD"
"Section 50","Psych","Police Department - NYPD","Closed","2018-02-21T00:00:00.000","2018-03-22T00:00:00.000","4329","Police Officer","2020-11-25T00:00:00.000",,"NYPD"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Closed","2018-02-21T00:00:00.000","2018-07-11T00:00:00.000","7002","Computer Associate (Software)","2021-10-25T00:00:00.000",,"DCAS"
"Section 50","Character","Police Department - NYPD","Closed","2018-02-21T00:00:00.000","2018-06-14T00:00:00.000","5305","Police Officer","2021-03-02T00:00:00.000",,"NYPD"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Closed","2018-02-21T00:00:00.000","2018-05-29T00:00:00.000","7002","Computer Associate (Software)","2021-10-25T00:00:00.000",,"DCAS"
"Section 50","Timeliness","Department of Citywide Administrative Services - DCAS","Closed","2018-02-21T00:00:00.000","2018-03-22T00:00:00.000","7002","Computer Associate (Software)","2021-10-25T00:00:00.000",,"DCAS"
"Section 50","Character","Police Department - NYPD","Closed","2018-02-21T00:00:00.000","2018-06-19T00:00:00.000","6302","School Safety Agent","2020-10-19T00:00:00.000",,"NYPD"
"Section 50","Education and Experience","Transit Authority - NYCTA","Closed","2018-02-21T00:00:00.000","2018-04-09T00:00:00.000","7602","Structure Maintainer Group B",,,"NYCTA"
"Section 50","Timeliness","Department of Citywide Administrative Services - DCAS","Closed","2018-02-21T00:00:00.000","2018-04-26T00:00:00.000","7030","City Tax Auditor",,,"DCAS"
"Section 50","Character","Department of Correction - DOC","Closed","2018-02-20T00:00:00.000","2018-07-12T00:00:00.000","7324","Correction Officer","2021-09-20T00:00:00.000",,"DOC"
"Section 50","Character","Department of Correction - DOC","Closed","2018-02-20T00:00:00.000","2018-03-08T00:00:00.000","7320","Correction Officer","2021-01-11T00:00:00.000",,"DOC"
"Section 50","Character","Department of Correction - DOC","Closed","2018-02-20T00:00:00.000","2018-03-08T00:00:00.000","7329","Correction Officer","2021-02-15T00:00:00.000",,"DOC"
"Section 50","Timeliness","Department of Citywide Administrative Services - DCAS","Closed","2018-02-20T00:00:00.000","2018-05-29T00:00:00.000","7011","Administrative Community Relations Specialist","2021-09-20T00:00:00.000",,"DCAS"
"Section 50","Character","Police Department - NYPD","Closed","2018-02-20T00:00:00.000","2018-03-26T00:00:00.000","4328","Police Officer","2020-11-23T00:00:00.000",,"NYPD"
"Section 50","Psych","Police Department - NYPD","Closed","2018-02-17T00:00:00.000","2018-03-08T00:00:00.000","4332","Police Officer","2020-12-21T00:00:00.000",,"NYPD"
"Section 76","Suspension","Department of Correction - DOC","Closed","2018-02-16T00:00:00.000","2018-07-23T00:00:00.000",,,,,"DOC"
"Section 50","Score","Department of Citywide Administrative Services - DCAS","Closed","2018-02-15T00:00:00.000","2018-09-06T00:00:00.000","6067","City Planner","2021-06-21T00:00:00.000",,"DCAS"
"Waiting for DQ",,"Department of Citywide Administrative Services - DCAS","Closed","2018-02-15T00:00:00.000","2018-04-13T00:00:00.000",,,,,"DCAS"
"Section 50","Score","Department of Citywide Administrative Services - DCAS","Closed","2018-02-15T00:00:00.000","2018-09-06T00:00:00.000","7003","Computer Associate (Technical Support)","2021-10-25T00:00:00.000",,"DCAS"
"Section 50","Character","Police Department - NYPD","Closed","2018-02-14T00:00:00.000","2018-03-30T00:00:00.000","3309","Police Officer","2019-06-23T00:00:00.000",,"NYPD"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Closed","2018-02-14T00:00:00.000","2018-06-07T00:00:00.000","7015","Inspector (Elevator)",,,"DCAS"
"Section 50","Timeliness","Department of Citywide Administrative Services - DCAS","Closed","2018-02-14T00:00:00.000","2018-04-27T00:00:00.000","7002","Computer Associate (Software)","2021-10-25T00:00:00.000",,"DCAS"
"Section 50","Character","Department of Correction - DOC","Closed","2018-02-13T00:00:00.000","2018-06-19T00:00:00.000","7324","Correction Officer","2021-09-20T00:00:00.000",,"DOC"
"Section 50","Psych","Department of Correction - DOC","Closed","2018-02-13T00:00:00.000","2018-11-30T00:00:00.000","6332","Correction Officer","2019-09-18T00:00:00.000",,"DOC"
"Waiting for DQ",,"Police Department - NYPD","Closed","2018-02-13T00:00:00.000","2018-04-04T00:00:00.000",,,,,"NYPD"
"Section 50","Veterans Credits","Department of Citywide Administrative Services - DCAS","Closed","2018-02-13T00:00:00.000","2018-08-20T00:00:00.000","6540","Sergeant (Police)","2020-01-24T00:00:00.000",,"DCAS"
"Section 76","Termination","Housing Authority - NYCHA","Closed","2018-02-13T00:00:00.000","2018-04-02T00:00:00.000",,,,,"NYCHA"
"Section 50","Character","Police Department - NYPD","Closed","2018-02-12T00:00:00.000","2018-06-14T00:00:00.000","5306","Police Officer","2021-03-03T00:00:00.000",,"NYPD"
"Section 50","Medical","Transit Authority - NYCTA","Closed","2018-02-12T00:00:00.000","2018-02-13T00:00:00.000","8094","Conductor","2018-02-16T00:00:00.000",,"NYCTA"
"Section 50","Psych","Department of Correction - DOC","Closed","2018-02-12T00:00:00.000","2018-08-02T00:00:00.000","6315","Correction Officer","2020-06-15T00:00:00.000",,"DOC"
"Section 50","Medical","Fire Department - FDNY","Closed","2018-02-12T00:00:00.000","2018-05-11T00:00:00.000","7501","Firefighter","2021-10-11T00:00:00.000",,"FDNY"
"Section 50","Eligibility","Department of Citywide Administrative Services - DCAS","Closed","2018-02-12T00:00:00.000","2018-08-29T00:00:00.000","8516","Promotion to Housing Manager",,,"DCAS"
"Section 50","Psych","Department of Health and Mental Hygiene - DOHMH","Closed","2018-02-09T00:00:00.000","2018-08-14T00:00:00.000","3328","Special Officer (DOHMH)","2019-10-14T00:00:00.000",,"DOHMH"
"Section 50","Score","Department of Citywide Administrative Services - DCAS","Closed","2018-02-09T00:00:00.000","2018-10-24T00:00:00.000","5522","Associate Job Opportunity Specialist","2021-03-22T00:00:00.000",,"DCAS"
"Section 50","Character","Police Department - NYPD","Closed","2018-02-08T00:00:00.000","2018-06-13T00:00:00.000","5300","Police Officer","2021-03-01T00:00:00.000",,"NYPD"
"Section 50","Character","Police Department - NYPD","Closed","2018-02-08T00:00:00.000","2018-02-20T00:00:00.000","5331","Police Communications Technician","2020-09-28T00:00:00.000",,"NYPD"
"Section 50","Character","Police Department - NYPD","Closed","2018-02-08T00:00:00.000","2018-03-13T00:00:00.000","6525","Police Officer","2020-12-07T00:00:00.000",,"NYPD"
"Section 50","Medical","Department of Sanitation - DSNY","Closed","2018-02-08T00:00:00.000","2018-05-08T00:00:00.000","5001","Sanitation Worker","2020-03-16T00:00:00.000",,"DSNY"
"Section 50","Medical","Department of Correction - DOC","Closed","2018-02-08T00:00:00.000","2018-05-03T00:00:00.000","7331","Correction Officer","2021-09-21T00:00:00.000",,"DOC"
"Section 50","Education and Experience","Transit Authority - NYCTA","Closed","2018-02-07T00:00:00.000","2018-02-27T00:00:00.000","7606","Transit Mgmt Analyst Trainee",,,"NYCTA"
"Section 50","Psych","Police Department - NYPD","Closed","2018-02-07T00:00:00.000","2018-03-05T00:00:00.000","2302","Police Officer","2018-04-30T00:00:00.000",,"NYPD"
"Section 50","Character","Police Department - NYPD","Closed","2018-02-07T00:00:00.000","2018-06-14T00:00:00.000","5305","Police Officer","2021-03-02T00:00:00.000",,"NYPD"
"Waiting for DQ",,"Department of Citywide Administrative Services - DCAS","Closed","2018-02-07T00:00:00.000","2018-04-04T00:00:00.000",,,,,"DCAS"
"Waiting for DQ",,"Department of Citywide Administrative Services - DCAS","Closed","2018-02-07T00:00:00.000","2018-04-13T00:00:00.000",,,,,"DCAS"
"Section 50","Psych","Police Department - NYPD","Closed","2018-02-07T00:00:00.000","2018-05-02T00:00:00.000","3309","Police Officer","2019-06-23T00:00:00.000",,"NYPD"
"Section 50","Character","Police Department - NYPD","Closed","2018-02-06T00:00:00.000","2018-06-19T00:00:00.000","4332","Police Officer","2020-12-21T00:00:00.000",,"NYPD"
"Section 50","Education and Experience","Transit Authority - NYCTA","Closed","2018-02-06T00:00:00.000","2018-10-23T00:00:00.000","6614","Telephone Maintainer",,,"NYCTA"
"Section 50","Psych","Department of Correction - DOC","Closed","2018-02-06T00:00:00.000","2018-06-27T00:00:00.000","7322","Correction Officer","2021-05-17T00:00:00.000",,"DOC"
"Section 50","Timeliness","Department of Citywide Administrative Services - DCAS","Closed","2018-02-06T00:00:00.000","2018-04-18T00:00:00.000","7002","Computer Associate (Software)","2021-10-25T00:00:00.000",,"DCAS"
"Section 50","Psych","Police Department - NYPD","Closed","2018-02-05T00:00:00.000","2018-06-13T00:00:00.000","2052","Police Officer","2018-12-18T00:00:00.000",,"NYPD"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Closed","2018-02-05T00:00:00.000","2018-06-18T00:00:00.000","7002","Computer Associate (Software)","2021-10-25T00:00:00.000",,"DCAS"
"Section 50","Timeliness","Department of Citywide Administrative Services - DCAS","Closed","2018-02-05T00:00:00.000","2018-03-12T00:00:00.000","7004","Computer Programmer Analyst","2021-10-25T00:00:00.000",,"DCAS"
"Section 50","Psych","Police Department - NYPD","Closed","2018-02-05T00:00:00.000","2018-03-06T00:00:00.000","3314","Police Officer","2019-12-09T00:00:00.000",,"NYPD"
"Section 50","Score","Department of Citywide Administrative Services - DCAS","Closed","2018-02-05T00:00:00.000","2018-09-21T00:00:00.000","7002","Computer Associate (Software)","2021-10-25T00:00:00.000",,"DCAS"
"Section 50","Character","Department of Correction - DOC","Closed","2018-02-05T00:00:00.000","2018-05-15T00:00:00.000","6315","Correction Officer","2020-06-15T00:00:00.000",,"DOC"
"Section 50","Character","Police Department - NYPD","Closed","2018-02-05T00:00:00.000","2018-02-20T00:00:00.000","6310","Police Communications Technician","2020-12-28T00:00:00.000",,"NYPD"
"Section 76","Termination","Housing Authority - NYCHA","Closed","2018-02-02T00:00:00.000","2018-04-02T00:00:00.000",,,,,"NYCHA"
"Section 50","Psych","Police Department - NYPD","Closed","2018-02-02T00:00:00.000","2018-02-05T00:00:00.000","2302","Police Officer","2018-04-30T00:00:00.000",,"NYPD"
"Section 50","Unauthorized Substance","Police Department - NYPD","Closed","2018-02-02T00:00:00.000","2018-05-29T00:00:00.000","4320","Police Officer","2020-08-25T00:00:00.000",,"NYPD"
"Section 50","Psych","Police Department - NYPD","Closed","2018-02-01T00:00:00.000","2018-03-01T00:00:00.000","4307","School Safety Agent","2020-01-07T00:00:00.000",,"NYPD"
"Section 50","Character","Department of Correction - DOC","Closed","2018-02-01T00:00:00.000","2018-07-19T00:00:00.000","7324","Correction Officer","2021-09-20T00:00:00.000",,"DOC"
"Section 50","Timeliness","Department of Citywide Administrative Services - DCAS","Closed","2018-02-01T00:00:00.000","2018-04-18T00:00:00.000","7019","Procurement Analyst",,,"DCAS"
"Waiting for DQ",,"Department of Citywide Administrative Services - DCAS","Closed","2018-02-01T00:00:00.000","2018-05-09T00:00:00.000",,,,,"DCAS"
"Section 50","Character","Police Department - NYPD","Closed","2018-01-31T00:00:00.000","2018-05-18T00:00:00.000","5300","Police Officer","2021-03-01T00:00:00.000",,"NYPD"
"Section 50","Psych","Police Department - NYPD","Closed","2018-01-31T00:00:00.000","2018-03-14T00:00:00.000","6324","Traffic Enforcement Agent","2020-10-20T00:00:00.000",,"NYPD"
"Section 50","Medical","Fire Department - FDNY","Closed","2018-01-31T00:00:00.000","2018-08-27T00:00:00.000","7501","Firefighter","2021-10-11T00:00:00.000",,"FDNY"
"Section 50","Character","Police Department - NYPD","Closed","2018-01-31T00:00:00.000","2018-06-12T00:00:00.000","3308","Police Officer","2019-06-22T00:00:00.000",,"NYPD"
"Section 50","Education and Experience","Transit Authority - NYCTA","Closed","2018-01-31T00:00:00.000","2018-02-27T00:00:00.000","6614","Telephone Maintainer",,,"NYCTA"
"Section 50","Character","Department of Correction - DOC","Closed","2018-01-31T00:00:00.000","2018-05-07T00:00:00.000","6315","Correction Officer","2020-06-15T00:00:00.000",,"DOC"
"Waiting for DQ",,"Department of Correction - DOC","Closed","2018-01-31T00:00:00.000","2018-03-02T00:00:00.000",,,,,"DOC"
"Section 50","Psych","Department of Correction - DOC","Closed","2018-01-31T00:00:00.000","2018-12-04T00:00:00.000","6315","Correction Officer","2020-06-15T00:00:00.000",,"DOC"
"Section 50","Psych","Department of Correction - DOC","Closed","2018-01-29T00:00:00.000","2018-08-02T00:00:00.000","7320","Correction Officer","2021-01-11T00:00:00.000",,"DOC"
"Section 50","Character","Department of Correction - DOC","Closed","2018-01-29T00:00:00.000","2018-02-22T00:00:00.000","7320","Correction Officer","2021-01-11T00:00:00.000",,"DOC"
"Section 50","Psych","Department of Correction - DOC","Closed","2018-01-29T00:00:00.000","2018-08-29T00:00:00.000","6308","Correction Officer","2020-03-02T00:00:00.000",,"DOC"
"Section 50","Timeliness","Department of Citywide Administrative Services - DCAS","Closed","2018-01-29T00:00:00.000","2018-05-01T00:00:00.000","6037","Senior Stationary Engineer","2021-11-01T00:00:00.000",,"DCAS"
"Section 50","Character","Police Department - NYPD","Closed","2018-01-29T00:00:00.000","2018-05-18T00:00:00.000","4059","Police Administrative Aide","2019-08-05T00:00:00.000",,"NYPD"
"Section 50","Education and Experience","Human Resources Administration - HRA","Closed","2018-01-29T00:00:00.000","2018-08-09T00:00:00.000","2307","Caseworker","2019-04-08T00:00:00.000",,"HRA"
"Section 50","Psych","Police Department - NYPD","Closed","2018-01-27T00:00:00.000","2018-08-03T00:00:00.000","5305","Police Officer","2021-03-02T00:00:00.000",,"NYPD"
"Section 50","Character","Department of Correction - DOC","Closed","2018-01-26T00:00:00.000","2018-07-27T00:00:00.000","6511","Captain (Correction)","2020-12-28T00:00:00.000",,"DOC"
"Section 50","Eligibility","Department of Citywide Administrative Services - DCAS","Closed","2018-01-26T00:00:00.000","2018-05-24T00:00:00.000","8213","Administrative Graphic Artist","2018-11-29T00:00:00.000",,"DCAS"
"Section 50","Character","Police Department - NYPD","Closed","2018-01-26T00:00:00.000","2018-02-07T00:00:00.000","113","Custodian","2018-05-04T00:00:00.000",,"NYPD"
"Section 50","Timeliness","Department of Citywide Administrative Services - DCAS","Closed","2018-01-26T00:00:00.000","2018-04-03T00:00:00.000","8003","Clerical Associate",,,"DCAS"
"Section 50","Timeliness","Department of Citywide Administrative Services - DCAS","Closed","2018-01-26T00:00:00.000","2018-03-27T00:00:00.000","7019","Procurement Analyst",,,"DCAS"
"Section 50","Psych","Police Department - NYPD","Closed","2018-01-25T00:00:00.000","2018-03-01T00:00:00.000","2326","Police Officer","2018-07-02T00:00:00.000",,"NYPD"
"Section 50","Character","Department of Correction - DOC","Closed","2018-01-25T00:00:00.000","2018-05-15T00:00:00.000","7329","Correction Officer","2021-02-15T00:00:00.000",,"DOC"
"Waiting for DQ",,"Police Department - NYPD","Closed","2018-01-24T00:00:00.000","2018-02-23T00:00:00.000",,,,,"NYPD"
"Section 50","Psych","Department of Correction - DOC","Closed","2018-01-24T00:00:00.000","2018-08-29T00:00:00.000","6315","Correction Officer","2020-06-15T00:00:00.000",,"DOC"
"Section 50","Medical","Department of Correction - DOC","Closed","2018-01-24T00:00:00.000","2018-05-10T00:00:00.000","3302","Correction Officer","2019-05-29T00:00:00.000",,"DOC"
"Section 50","Psych","Police Department - NYPD","Closed","2018-01-24T00:00:00.000","2018-06-12T00:00:00.000","4312","Police Officer","2020-06-22T00:00:00.000",,"NYPD"
"Section 50","Character","Administration for Children's Services - ACS","Closed","2018-01-24T00:00:00.000","2018-10-04T00:00:00.000","6337","Child Protective Specialist","2021-06-28T00:00:00.000",,"ACS"
"Section 50","Score","Department of Citywide Administrative Services - DCAS","Closed","2018-01-23T00:00:00.000","2018-09-21T00:00:00.000","6508","Promotion to Child Protective Specialist Supervisor","2021-07-26T00:00:00.000",,"DCAS"
"Section 50","Psych","Police Department - NYPD","Closed","2018-01-23T00:00:00.000","2018-05-11T00:00:00.000","4336","Police Communications Technician","2020-03-09T00:00:00.000",,"NYPD"
"Section 50","Timeliness","Department of Citywide Administrative Services - DCAS","Closed","2018-01-22T00:00:00.000","2018-03-06T00:00:00.000","6037","Senior Stationary Engineer","2021-11-01T00:00:00.000",,"DCAS"
"Section 50","Medical","Department of Correction - DOC","Closed","2018-01-22T00:00:00.000","2018-04-24T00:00:00.000","7324","Correction Officer","2021-09-20T00:00:00.000",,"DOC"
"Section 50","Character","Department of Correction - DOC","Closed","2018-01-22T00:00:00.000","2018-06-27T00:00:00.000","2338","Correction Officer","2018-12-11T00:00:00.000",,"DOC"
"Waiting for Appeal Request",,"Department of Correction - DOC","Closed","2018-01-22T00:00:00.000","2018-04-04T00:00:00.000",,,,,"DOC"
"Section 76","Termination","Department of Housing Preservation and Development - HPD","Closed","2018-01-22T00:00:00.000","2018-04-09T00:00:00.000",,,,,"HPD"
"Section 50","Character","Police Department - NYPD","Closed","2018-01-21T00:00:00.000","2018-04-17T00:00:00.000","6319","Traffic Enforcement Agent","2020-10-19T00:00:00.000",,"NYPD"
"Section 50","Character","Police Department - NYPD","Closed","2018-01-19T00:00:00.000","2018-05-18T00:00:00.000","4059","Police Administrative Aide","2019-08-05T00:00:00.000",,"NYPD"
"Section 50","Education and Experience","Department of Citywide Administrative Services - DCAS","Closed","2018-01-18T00:00:00.000","2018-07-11T00:00:00.000","7002","Computer Associate (Software)","2021-10-25T00:00:00.000",,"DCAS"
"Section 50","Unauthorized Substance","Police Department - NYPD","Closed","2018-01-18T00:00:00.000","2018-04-18T00:00:00.000","5300","Police Officer","2021-03-01T00:00:00.000",,"NYPD"
"Section 50","Timeliness","Department of Citywide Administrative Services - DCAS","Closed","2018-01-18T00:00:00.000","2018-04-18T00:00:00.000","7019","Procurement Analyst",,,"DCAS"
"Section 50","Psych","Police Department - NYPD","Closed","2018-01-18T00:00:00.000","2018-05-16T00:00:00.000","6329","Traffic Enforcement Agent","2020-10-21T00:00:00.000",,"NYPD"
"Section 50","Character","Department of Correction - DOC","Closed","2018-01-17T00:00:00.000","2018-08-02T00:00:00.000","6511","Captain (Correction)","2020-12-28T00:00:00.000",,"DOC"
"Section 50","Medical","Department of Correction - DOC","Closed","2018-01-17T00:00:00.000","2018-03-26T00:00:00.000","7331","Correction Officer","2021-09-21T00:00:00.000",,"DOC"
"Section 50","Character","Department of Correction - DOC","Closed","2018-01-17T00:00:00.000","2018-05-07T00:00:00.000","7320","Correction Officer","2021-01-11T00:00:00.000",,"DOC"
