"manhattan_cooperatives_comparable_properties_boro_block_lot","manhattan_cooperatives_comparable_properties_address","borough","postcode","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta","manhattan_cooperatives_comparable_properties_neighborhood","manhattan_cooperatives_comparable_properties_building_classification","manhattan_cooperatives_comparable_properties_total_units","manhattan_cooperatives_comparable_properties_year_built","manhattan_cooperatives_comparable_properties_gross_sqft","manhattan_cooperatives_comparable_properties_estimated_gross_income","manhattan_cooperatives_comparable_properties_gross_income_per_sqft","manhattan_cooperatives_comparable_properties_estimated_expense","manhattan_cooperatives_comparable_properties_expense_per_sqft","manhattan_cooperatives_comparable_properties_net_operating_income","manhattan_cooperatives_comparable_properties_full_market_value","manhattan_cooperatives_comparable_properties_market_value_per_sqft","comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_estimated_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_estimated_expense","comparable_rental_1_expense_per_sqft","comparable_rental_1_net_operating_income","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_distance_from_coop_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_estimated_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_estimated_expense","comparable_rental_2_expense_per_sqft","comparable_rental_2_net_operating_income","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_distance_from_coop_in_miles","comparable_rental_3_boro_block_lot","comparable_rental_3_address","comparable_rental_3_neighborhood","comparable_rental_3_building_classification","comparable_rental_3_total_units","comparable_rental_3_year_built","comparable_rental_3_gross_sqft","comparable_rental_3_estimated_gross_income","comparable_rental_3_gross_income_per_sqft","comparable_rental_3_estimated_expense","comparable_rental_3_expense_per_sqft","comparable_rental_3_net_operating_income","comparable_rental_3_full_market_value","comparable_rental_3_market_value_per_sqft","comparable_rental_3_distance_from_coop_in_miles"
"1-02075-0011","523 143 STREET
New York, NY 
(40.824347396233, -73.949452768229)","1",,,,,,,,,,"HARLEM-UPPER","D4-ELEVATOR","24","1910","29520","395568","13.4","195422","6.62","200146","895000","30.32","1-02045-0036","2753 FRED
New York, NY 
(40.756053999992, -73.986951000288)","HARLEM-CENTRAL","D1-ELEVATOR","24","1910","21147","196462","9.29","120964","5.72","75498","449000","21.23","0.42","1-02002-0067","594 RIVERSIDE DRIVE
New York, NY 
(40.822109024008, -73.956248168783)","HARLEM-WEST","D1-ELEVATOR","36","1920","53832","1315977","24.45","580276","10.78","735701","3840000","71.33","0.38","1-02038-0005","263 WEST 152 STREET","HARLEM-CENTRAL","C1-WALK-UP","35","1920","20,772","278,387","13.4","174,469","8.4","103,918","689,000","33.17","0.65"
"1-01248-0029","545 END AVENUE
New York, NY 
(40.756053999992, -73.986951000288)","1",,,,,,,,,,"UPPER WEST SIDE (79-96)","D4-ELEVATOR","96","1925","141426","3459280","24.46","1322333","9.35","2136947","15540000","109.88","1-01247-0029","525 END AVENUE
New York, NY 
(40.756053999992, -73.986951000288)","UPPER WEST SIDE (79-96)","D6-ELEVATOR","129","1920","171655","3378150","19.68","1430579","8.33","1947571","13953000","81.29","0.06","1-01249-0057","155 RIVERSIDE DRIVE
New York, NY 
(40.791046441116, -73.979558595782)","UPPER WEST SIDE (79-96)","D3-ELEVATOR","64","1930","87129","2415834","27.73","979620","11.24","1436214","10347000","118.75","0.05","1-01246-0057","127 RIVERSIDE DRIVE","UPPER WEST SIDE (79-96)","D1-ELEVATOR","23","1910","17,325","423,781","24.46","161,906","9.35","261,875","1,904,000","109.9","0.1"
"1-01393-0038","898 PARK AVENUE
New York, NY 
(40.775479176788, -73.96076276537)","1","10075","40.775542","-73.960598","8","4","142","1041876","1013930038","Upper East Side-Carnegie Hill                                              ","UPPER EAST SIDE (59-79)","D4-ELEVATOR","15","1924","38630","1600055","41.42","288180","7.46","1311875","9905000","256.41","1-01391-0002","952 5 AVENUE
New York, NY 
(40.775329430265, -73.964904228432)","UPPER EAST SIDE (59-79)","D9-ELEVATOR","38","1923","41287","1605662","38.89","361009","8.74","1244653","9415000","228.04","0.14","1-01412-0012","117 77 STREET
New York, NY 
(40.631199887925, -74.033238618216)","UPPER EAST SIDE (59-79)","D3-ELEVATOR","40","1929","29500","1384419","46.93","380450","12.9","1003969","7545000","255.76","0.11","1-01509-0064","108 EAST 81 STREET","UPPER EAST SIDE (79-96)","D3-ELEVATOR","20","1922","32,383","1,341,304","41.42","456,276","14.09","885,028","6,682,000","206.34","0.15"
"1-00846-0071","105 5 AVENUE
New York, NY 
(40.738310197317, -73.991933266905)","1","10003","40.73833","-73.991913","5","2","52","1016144","1008460071","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","FLATIRON","D0-ELEVATOR","43","1907","102017","3174769","31.12","1265011","12.4","1909758","14263000","139.81","1-00571-0025","120 UNIVERSITY PLACE
New York, NY 
(40.73469492276, -73.992122124531)","GREENWICH VILLAGE-CENTRAL","D8-ELEVATOR","95","1959","59299","2256204","38.05","818227","13.8","1437977","10884000","183.54","0.19","1-00817-0001","552 AVENUE
New York, NY 
(40.756053999992, -73.986951000288)","FLATIRON","D9-ELEVATOR","111","1973","101231","3088232","30.51","809878","8","2278354","17036000","168.29","0.17","1-00816-0042","92 5 AVENUE","FLATIRON","D6-ELEVATOR","223","1962","180,000","5,232,885","29.07","1,673,391","9.3","3,559,494","26,713,000","148.41","0.2"
"1-00620-0058","78 CHARLES STREET
New York, NY 
(40.734802841403, -74.003777338031)","1","10014","40.734781","-74.003879","2","3","73","1011208","1006200058","West Village                                                               ","GREENWICH VILLAGE-WEST","C6-WALK-UP","15","1900","9900","378972","38.28","126225","12.75","252747","1913000","193.23","1-00620-0061","72 CHARLES STREET
New York, NY 
(40.734838814284, -74.003516534643)","GREENWICH VILLAGE-WEST","C4-WALK-UP","17","1901","9545","305613","32.02","129702","13.59","175911","1311000","137.35","0","1-00620-0012","108 CHARLES STREET
New York, NY 
(40.734506065133, -74.005701887174)","GREENWICH VILLAGE-WEST","C4-WALK-UP","20","1901","7920","352757","44.54","116424","14.7","236333","1779000","224.62","0.08",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01581-0012","523 84 STREET
New York, NY 
(40.622548699248, -74.024767558714)","1",,,,,,,,,,"UPPER EAST SIDE (79-96)","C6-WALK-UP","60","1910","43080","1484106","34.45","398490","9.25","1085616","8041000","186.65","1-01581-0043","522 85 STREET
New York, NY 
(40.621833852972, -74.025207608776)","UPPER EAST SIDE (79-96)","C4-WALK-UP","9","1910","8145","172140","21.13","81569","10.01","90571","1560000","191.53","0","1-01580-0148","500 84 STREET
New York, NY 
(40.622808738492, -74.025312526787)","UPPER EAST SIDE (79-96)","D9-ELEVATOR","14","1910","9250","405000","43.78","141560","15.3","263440","1984000","214.49","0.05","1-01580-0049","1592 YORK AVENUE","UPPER EAST SIDE (79-96)","C7-WALK-UP","14","1910","8,480","359,109","42.35","71,717","8.46","287,392","2,169,000","255.78","0.05"
"1-00620-0056","82 CHARLES STREET
New York, NY 
(40.734775861742, -74.003912236335)","1","10014","40.734759","-74.00402","2","3","73","1084959","1006200056","West Village                                                               ","GREENWICH VILLAGE-WEST","C6-WALK-UP","30","1900","19210","655445","34.12","210157","10.94","445288","3300000","171.79","1-00619-0067","192 10 STREET
New York, NY 
(40.569053996429, -74.117538044205)","GREENWICH VILLAGE-WEST","C4-WALK-UP","27","1910","25955","838000","32.29","252498","9.73","585502","4359000","167.94","0.05","1-00621-0058","56 PERRY STREET
New York, NY 
(40.735467479909, -74.003527757512)","GREENWICH VILLAGE-WEST","C4-WALK-UP","38","1880","23296","837238","35.94","282914","12.14","554324","4090000","175.57","0.05",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01362-0041","420 51 STREET
New York, NY 
(40.645554149703, -74.012620999161)","1",,,,,,,,,,"MIDTOWN EAST","D4-ELEVATOR","110","1962","155000","5212650","33.63","1886350","12.17","3326300","24696000","159.33","1-01369-0042","410 58 STREET
New York, NY 
(40.641762371118, -74.016910128539)","MIDTOWN EAST","D3-ELEVATOR","125","1974","105734","4285399","40.53","1457015","13.78","2828384","21369000","202.1","0.35","1-01342-0012","333 49 STREET
New York, NY 
(40.647801968319, -74.01320923772)","MIDTOWN EAST","D3-ELEVATOR","204","1965","177380","5953175","33.56","1793127","10.11","4160048","30891000","174.15","0.13",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00321-0001","570 GRAND STREET
New York, NY 
(40.713857631341, -73.979432690698)","1","10002","40.713724","-73.979136","3","1","1001","1083419","1003210001","Lower East Side                                                            ","LOWER EAST SIDE","D4-ELEVATOR","1684","1955","1231250","16449500","13.36","5774563","4.69","10674937","70822000","57.52","1-00398-0025","190 3 STREET
New York, NY 
(40.756053999992, -73.986951000288)","ALPHABET CITY","D9-ELEVATOR","23","1912","10656","226845","21.29","71020","6.66","155825","1143000","107.26","0.66","1-00373-0056","299 3 STREET
New York, NY 
(40.756053999992, -73.986951000288)","ALPHABET CITY","D3-ELEVATOR","38","2003","57600","945792","16.42","383040","6.65","562752","4075000","70.75","0.49",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00871-0044","160 3 AVENUE
New York, NY 
(40.734425126151, -73.986366463544)","1","10003","40.734437","-73.986357","6","2","50","1017804","1008710044","Gramercy                                                                   ","GRAMERCY","D4-ELEVATOR","151","1963","111428","3891066","34.92","1258022","11.29","2633044","19484000","174.86","1-00872-0001","36 UNION SQUARE
New York, NY 
(40.736195561014, -73.989157366364)","GRAMERCY","D8-ELEVATOR","78","1963","65430","3289407","50.27","799883","12.23","2489524","18650000","285.04","0.11","1-00897-0008","207 15 STREET
New York, NY 
(40.665690690991, -73.989493241661)","GRAMERCY","D9-ELEVATOR","61","1930","29088","1015754","34.92","328495","11.29","687259","5086000","174.85","0.1","1-00897-0075","179 3 AVENUE","GRAMERCY","D8-ELEVATOR","58","1959","45,000","1,114,898","24.78","398,830","8.86","716,068","5,203,000","115.62","0.11"
"1-01842-0025","13 106 STREET
New York, NY 
(40.798235749298, -73.9604021577)","1",,,,,,,,,,"MANHATTAN VALLEY","C6-WALK-UP","11","1920","8800","123024","13.98","60720","6.9","62304","410000","46.59","1-01845-0005","63 109 STREET
New York, NY 
(40.800760437115, -73.960412937654)","MANHATTAN VALLEY","C4-WALK-UP","13","1900","16900","295581","17.49","147875","8.75","147706","1066000","63.08","0.17","1-01838-0045","60 MANHATTAN AVENUE
New York, NY 
(40.796532305494, -73.963020063663)","MANHATTAN VALLEY","C4-WALK-UP","20","1940","12840","142640","11.11","80443","6.27","62197","338000","26.32","0.21","1-01847-0061","302 WEST 114 STREET","MANHATTAN VALLEY","C4-WALK-UP","20","1900","8,915","124,619","13.98","77,445","8.69","47,174","298,000","33.43","0.35"
"1-00461-0024","232 6 STREET
New York, NY 
(40.672839973336, -73.988701212311)","1",,,,,,,,,,"EAST VILLAGE","D4-ELEVATOR","31","1920","22266","712957","32.02","217984","9.79","494973","3690000","165.72","1-00448-0001","104 2 AVENUE
New York, NY 
(40.727545312627, -73.988425910991)","EAST VILLAGE","D9-ELEVATOR","33","1920","35819","1270500","35.47","444872","12.42","825628","5830000","162.76","0.14","1-00445-0038","91 3 STREET
New York, NY 
(40.756053999992, -73.986951000288)","EAST VILLAGE","D9-ELEVATOR","41","1920","19785","655208","33.12","236722","11.96","418486","3110000","157.19","0.17",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01114-0061","44 62 STREET
New York, NY 
(40.642109442421, -74.023659037387)","1",,,,,,,,,,"UPPER WEST SIDE (59-79)","D4-ELEVATOR","161","1974","247176","10893046","44.07","2904318","11.75","7988728","60156000","243.37","1-01118-9001","139 COLUMBUS AVENUE
New York, NY 
(40.773575497623, -73.981548234546)","UPPER WEST SIDE (59-79)","D8-ELEVATOR","325","1974","301000","13972420","46.42","4611320","15.32","9361100","70374000","233.8","0.21","1-01008-0029","1361 AVENUE
New York, NY 
(40.756053999992, -73.986951000288)","MIDTOWN WEST","D6-ELEVATOR","169","1925","243671","10738875","44.07","2864090","11.75","7874785","59298000","243.35","0.48","1-01274-0006","39 WEST 58 STREET","MIDTOWN WEST","D6-ELEVATOR","338","1948","269,346","12,733,536","47.28","3,794,155","14.09","8,939,381","67,163,000","249.36","0.56"
"1-01889-0042","292 RIVERSIDE DRIVE
New York, NY 
(40.799401142768, -73.972229121243)","1","10025","40.799323","-73.972323","7","6","187","1057148","1018890042","Upper West Side                                                            ","UPPER WEST SIDE (96-116)","C6-WALK-UP","15","1920","8323","281701","33.85","133808","16.08","147893","1098000","131.92","1-01891-0047","313 105 STREET
New York, NY 
(40.801080324433, -73.969253411227)","UPPER WEST SIDE (96-116)","C5-WALK-UP","16","1900","7260","244766","33.71","68108","9.38","176658","803000","110.61","0.2","1-01875-0037","208 104 STREET
New York, NY 
(40.79924871534, -73.967011949245)","UPPER WEST SIDE (96-116)","C4-WALK-UP","11","1920","7170","231253","32.25","76132","10.62","155121","1155000","161.09","0.2","1-01892-0039","317 WEST 107 STREET","UPPER WEST SIDE (96-116)","C5-WALK-UP","13","1920","7,160","246,089","34.37","86,135","12.03","159,954","584,000","81.56","0.31"
"1-01493-0033","940 PARK AVENUE
New York, NY 
(40.777133929322, -73.95954868063)","1","10028","40.777194","-73.95985","8","4","142","1046669","1014930033","Upper East Side-Carnegie Hill                                              ","UPPER EAST SIDE (79-96)","D4-ELEVATOR","30","1926","64058","1980673","30.92","701435","10.95","1279238","9557000","149.19","1-01491-0041","66 80 STREET
New York, NY 
(40.629646214185, -74.03706317754)","UPPER EAST SIDE (79-96)","D7-ELEVATOR","18","1925","12648","408228","32.28","105889","8.37","302339","2251000","177.97","0.1","1-01508-0001","903 PARK AVENUE
New York, NY 
(40.775731914748, -73.960245477978)","UPPER EAST SIDE (79-96)","D3-ELEVATOR","70","1913","113281","3348491","29.56","1404934","12.4","1943557","14572000","128.64","0.14",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00759-0068","348 36 STREET
New York, NY 
(40.654973191997, -74.005552573027)","1",,,,,,,,,,"FASHION","D0-ELEVATOR","20","1936","24292","827628","34.07","267455","11.01","560173","4153000","170.96","1-00753-0024","321 29 STREET
New York, NY 
(40.749328409339, -73.99635025485)","CHELSEA","D3-ELEVATOR","24","1900","14900","549287","36.86","192747","12.94","356540","2625000","176.17","0.3","1-00776-0020","229 26 STREET
New York, NY 
(40.599453984632, -74.001192200797)","CHELSEA","D9-ELEVATOR","26","1925","13000","314303","24.18","137649","10.59","176654","1285000","98.85","0.48","1-01053-0018","433 WEST 43 STREET","CLINTON","D9-ELEVATOR","34","1900","26,009","886,255","34.07","286,366","11.01","599,889","4,447,000","170.98","0.43"
"1-01252-0034","210 RIVERSIDE DRIVE
New York, NY 
(40.794167088557, -73.976285063595)","1","10025","40.79423","-73.976518","7","6","179","1034130","1012520034","Upper West Side                                                            ","UPPER WEST SIDE (79-96)","D4-ELEVATOR","89","1910","121313","2700427","22.26","860109","7.09","1840318","13460000","110.95","1-01253-0045","336 95 STREET
New York, NY 
(40.616745111939, -74.032704710706)","UPPER WEST SIDE (79-96)","D1-ELEVATOR","24","1940","41000","912633","22.26","290801","7.09","621832","4548000","110.93","0.05",,," "," ",,,,,,,,,,,,," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-02177-0175","860 181 STREET
New York, NY 
(40.756053999992, -73.986951000288)","1",,,,,,,,,,"WASHINGTON HEIGHTS UPPER","D4-ELEVATOR","66","1923","60780","943913","15.53","409657","6.74","534256","3660000","60.22","1-02177-0150","427 FT WASHINGTON AVENUE
New York, NY 
(40.849565325562, -73.938828301075)","WASHINGTON HEIGHTS UPPER","D7-ELEVATOR","56","1909","50976","804031","15.77","294099","5.77","509932","3487000","68.4","0.12","1-02176-0115","736 181 STREET
New York, NY 
(40.756053999992, -73.986951000288)","WASHINGTON HEIGHTS UPPER","D7-ELEVATOR","75","1920","59208","919451","15.53","399313","6.74","520138","3563000","60.18","0.19","1-02179-0100","481 FT WASHINGTON AVENUE","WASHINGTON HEIGHTS UPPER","D7-ELEVATOR","64","1936","56,706","792,549","13.98","348,102","6.14","444,447","2,925,000","51.58","0.13"
"1-01387-0027","45 72 STREET
New York, NY 
(40.635529157222, -74.035325071254)","1",,,,,,,,,,"UPPER EAST SIDE (59-79)","D4-ELEVATOR","50","1959","92744","3208015","34.59","1196398","12.9","2011617","14895000","160.6","1-01425-0017","225 70 STREET
New York, NY 
(40.635276966775, -74.02826343341)","UPPER EAST SIDE (59-79)","D6-ELEVATOR","91","1961","83220","2878912","34.59","838616","10.08","2040296","15108000","181.54","0.32","1-01406-0007","115 71 STREET
New York, NY 
(40.635506778827, -74.032057546762)","UPPER EAST SIDE (59-79)","D1-ELEVATOR","30","1966","17930","626878","34.96","202252","11.28","424626","3142000","175.24","0.12","1-01409-0021","1033 LEXINGTON AVENUE","UPPER EAST SIDE (59-79)","D6-ELEVATOR","35","1923","71,189","2,336,130","32.82","868,302","12.2","1,467,828","10,916,000","153.34","0.22"
"1-01580-0006","505 83 STREET
New York, NY 
(40.623518800666, -74.024878944861)","1",,,,,,,,,,"UPPER EAST SIDE (79-96)","C6-WALK-UP","16","1910","9190","307681","33.48","86478","9.41","221203","1643000","178.78","1-01579-0014","521 82 STREET
New York, NY 
(40.624034355119, -74.024202334854)","UPPER EAST SIDE (79-96)","C5-WALK-UP","20","1910","9425","317723","33.71","87387","9.27","230336","1710000","181.43","0.05","1-01580-0010","513 83 STREET
New York, NY 
(40.62341151763, -74.024695669675)","UPPER EAST SIDE (79-96)","C1-WALK-UP","15","1925","9190","305527","33.25","87746","9.55","217781","1618000","176.06","0",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01150-0037","112 79 STREET
New York, NY 
(40.630146852484, -74.035355758896)","1",,,,,,,,,,"UPPER WEST SIDE (59-79)","D4-ELEVATOR","50","1925","104238","3402328","32.64","1125770","10.8","2276558","16936000","162.47","1-01150-0041","120 79 STREET
New York, NY 
(40.629778856145, -74.034205340369)","UPPER WEST SIDE (59-79)","D3-ELEVATOR","64","1926","114696","3310583","28.86","1100328","9.59","2210255","16595000","144.69","0","1-01210-0012","147 79 STREET
New York, NY 
(40.629612150649, -74.033321842043)","UPPER WEST SIDE (79-96)","D3-ELEVATOR","61","1926","76193","2491263","32.7","820130","10.76","1671133","12431000","163.15","0.06","1-01195-0014","25 WEST 81 STREET","UPPER WEST SIDE (79-96)","D1-ELEVATOR","64","1927","109,896","3,586,463","32.64","1,186,842","10.8","2,399,621","17,852,000","162.44","0.23"
"1-00931-0009","311 25 STREET
New York, NY 
(40.660058278123, -73.99727010514)","1",,,,,,,,,,"KIPS BAY","D4-ELEVATOR","42","1930","22812","795226","34.86","250248","10.97","544978","4033000","176.79","1-00906-0011","219 25 STREET
New York, NY 
(40.599680076201, -74.002122166983)","GRAMERCY","D9-ELEVATOR","35","1920","22430","925783","41.27","200484","8.94","725299","5477000","244.18","0.14","1-00905-0047","220 25 STREET
New York, NY 
(40.599713463442, -74.002179436602)","GRAMERCY","D9-ELEVATOR","24","1920","15774","444456","28.18","161542","10.24","282914","2036000","129.07","0.15","1-00904-0043","214 EAST 24 STREET","GRAMERCY","D9-ELEVATOR","72","1980","57,800","2,015,121","34.86","633,977","10.97","1,381,144","10,222,000","176.85","0.17"
"1-00475-0046","469 BROOME STREET
New York, NY 
(40.722653000787, -74.001636951601)","1","10013","40.722605","-74.001526","2","1","47","1083492","1004750046","SoHo-TriBeCa-Civic Center-Little Italy                                     ","SOHO","D0-ELEVATOR","12","1900","34944","1139524","32.61","317292","9.08","822232","5368000","153.62","1-00348-0040","90 CLINTON STREET
New York, NY 
(40.718365137764, -73.985403359154)","LOWER EAST SIDE","D6-ELEVATOR","36","1900","38498","1366791","35.5","355488","9.23","1011303","7475000","194.17","0.93","1-00393-0056","355 10 STREET
New York, NY 
(40.564973464546, -74.121446385441)","ALPHABET CITY","D1-ELEVATOR","33","1920","38520","1144863","29.72","343276","8.91","801587","6008000","155.97","1.26",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01390-0027","41 75 STREET
New York, NY 
(40.633240761428, -74.035167898205)","1",,,,,,,,,,"UPPER EAST SIDE (59-79)","C6-WALK-UP","12","1920","16285","662148","40.66","258117","15.85","404031","3052000","187.41","1-01389-0067","2 75 STREET
New York, NY 
(40.633603669553, -74.036908333406)","UPPER EAST SIDE (59-79)","C5-WALK-UP","16","1910","13483","664004","49.25","131205","9.73","532799","3994000","296.22","0.11","1-01393-0040","74 79 STREET
New York, NY 
(40.630389341936, -74.036092220536)","UPPER EAST SIDE (59-79)","D3-ELEVATOR","42","1899","62472","3034606","48.58","774577","12.4","2260029","16951000","271.34","0.15",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01390-0003","944 5 AVENUE
New York, NY 
(40.774633814081, -73.965439239922)","1","10021","40.774723","-73.965368","8","4","130","1041683","1013900003","Upper East Side-Carnegie Hill                                              ","UPPER EAST SIDE (59-79)","D4-ELEVATOR","14","1925","77792","3025331","38.89","679902","8.74","2345429","17742000","228.07","1-01391-0002","952 5 AVENUE
New York, NY 
(40.775329430265, -73.964904228432)","UPPER EAST SIDE (59-79)","D9-ELEVATOR","38","1923","41287","1605662","38.89","361009","8.74","1244653","9415000","228.04","0.05","1-01392-0047","50 78 STREET
New York, NY 
(40.631012455929, -74.036005869297)","UPPER EAST SIDE (59-79)","D6-ELEVATOR","48","1936","52356","2654820","50.71","619711","11.84","2035109","15241000","291.1","0.14","1-01409-0021","1033 LEXINGTON AVENUE","UPPER EAST SIDE (59-79)","D6-ELEVATOR","35","1923","71,189","2,336,130","32.82","868,302","12.2","1,467,828","10,916,000","153.34","0.29"
"1-01383-0001","870 5 AVENUE
New York, NY 
(40.770047271731, -73.968784717871)","1","10065","40.769802","-73.968421","8","4","122","1041250","1013830001","Upper East Side-Carnegie Hill                                              ","UPPER EAST SIDE (59-79)","D4-ELEVATOR","102","1949","235448","9961805","42.31","2735906","11.62","7225899","54523000","231.57","1-01406-0001","737 PARK AVENUE
New York, NY 
(40.770568878508, -73.964063277217)","UPPER EAST SIDE (59-79)","D6-ELEVATOR","120","1940","215600","9117276","42.29","2632052","12.21","6485224","48934000","226.97","0.24","1-01401-0033","1130 3 AVENUE
New York, NY 
(40.766288105649, -73.963109995866)","UPPER EAST SIDE (59-79)","D6-ELEVATOR","158","1957","278325","11777238","42.31","3234383","11.62","8542855","64460000","231.6","0.3","1-01422-0048","210 EAST 68 STREET","UPPER EAST SIDE (59-79)","D6-ELEVATOR","210","1929","243,802","10,528,049","43.18","3,256,989","13.36","7,271,060","54,789,000","224.73","0.41"
"1-00927-0015","323 21 STREET
New York, NY 
(40.659759059269, -73.990724921389)","1",,,,,,,,,,"KIPS BAY","C6-WALK-UP","18","1910","11718","369234","31.51","111321","9.5","257913","1925000","164.28","1-00927-0033","340 22 STREET
New York, NY 
(40.658858126869, -73.990865984647)","KIPS BAY","C5-WALK-UP","20","1925","8885","378165","42.56","117191","13.19","260974","1969000","221.61","0","1-00927-0034","338 22 STREET
New York, NY 
(40.658883704506, -73.990908903055)","KIPS BAY","C5-WALK-UP","21","1925","8885","332859","37.46","100711","11.33","232148","1707000","192.12","0",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01389-0001","930 5 AVENUE
New York, NY 
(40.773950329339, -73.965933867038)","1","10021","40.773696","-73.965621","8","4","130","1041637","1013890001","Upper East Side-Carnegie Hill                                              ","UPPER EAST SIDE (59-79)","D4-ELEVATOR","145","1940","220003","9303927","42.29","2686237","12.21","6617690","49934000","226.97","1-01406-0001","737 PARK AVENUE
New York, NY 
(40.770568878508, -73.964063277217)","UPPER EAST SIDE (59-79)","D6-ELEVATOR","120","1940","215600","9117276","42.29","2632052","12.21","6485224","48934000","226.97","0.25","1-01492-0036","920 PARK AVENUE
New York, NY 
(40.776583711197, -73.959991538052)","UPPER EAST SIDE (79-96)","D9-ELEVATOR","72","1962","155544","5895071","37.9","2014709","12.95","3880362","29372000","188.83","0.32","1-01422-0048","210 EAST 68 STREET","UPPER EAST SIDE (59-79)","D6-ELEVATOR","210","1929","243,802","10,528,049","43.18","3,256,989","13.36","7,271,060","54,789,000","224.73","0.53"
"1-00877-0030","44 GRAMERCY PARK
New York, NY 
(40.737510481612, -73.985898327681)","1","10010","40.73761","-73.984213","6","2","68","1017994","1008770030","Gramercy                                                                   ","GRAMERCY","D4-ELEVATOR","84","1930","87793","2809376","32","817353","9.31","1992023","14850000","169.15","1-00877-0057","144 22 STREET
New York, NY 
(40.602661776973, -74.002692699503)","GRAMERCY","D9-ELEVATOR","47","1925","24894","749557","30.11","202646","8.14","546911","4096000","164.54","0","1-00899-0040","222 19 STREET
New York, NY 
(40.602516583915, -74.006627016324)","GRAMERCY","D9-ELEVATOR","106","1963","87960","2980580","33.89","1280541","14.56","1700039","12615000","143.42","0.18",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-01250-0039","599 END AVENUE
New York, NY 
(40.756053999992, -73.986951000288)","1",,,,,,,,,,"UPPER WEST SIDE (79-96)","D4-ELEVATOR","28","1923","19320","535744","27.73","266230","13.78","269514","1942000","100.52","1-01250-0030","585 END AVENUE
New York, NY 
(40.756053999992, -73.986951000288)","UPPER WEST SIDE (79-96)","D6-ELEVATOR","133","1927","209113","4116476","19.69","1365893","6.53","2750583","19705000","94.23","0","1-01249-0057","155 RIVERSIDE DRIVE
New York, NY 
(40.791046441116, -73.979558595782)","UPPER WEST SIDE (79-96)","D3-ELEVATOR","64","1930","87129","2415834","27.73","979620","11.24","1436214","10347000","118.75","0.05","1-01247-0029","525 WEST END AVENUE","UPPER WEST SIDE (79-96)","D6-ELEVATOR","129","1920","171,655","3,378,150","19.68","1,430,579","8.33","1,947,571","13,953,000","81.29","0.16"
"1-01501-0040","1112 PARK AVENUE
New York, NY 
(40.7825748276, -73.95556468404)","1","10128","40.782841","-73.955838","8","4","15002","1046977","1015010040","Upper East Side-Carnegie Hill                                              ","UPPER EAST SIDE (79-96)","D4-ELEVATOR","45","1927","128811","5296708","41.12","1376990","10.69","3919718","26100000","202.62","1-01500-0053","1227 MADISON AVENUE
New York, NY 
(40.782556841159, -73.957561178945)","UPPER EAST SIDE (79-96)","D6-ELEVATOR","111","1958","117340","5543856","47.25","1488267","12.68","4055589","30470000","259.67","0.05","1-01499-0061","12 88 STREET
New York, NY 
(40.624096064772, -74.040358504981)","UPPER EAST SIDE (79-96)","D9-ELEVATOR","69","1931","87640","3587951","40.94","1039636","11.86","2548315","19247000","219.61","0.14","1-01496-0021","1125 MADISON AVENUE","UPPER EAST SIDE (79-96)","D6-ELEVATOR","41","1922","113,052","4,649,107","41.12","1,208,235","10.69","3,440,872","25,985,000","229.85","0.25"
