"program_type","program","site_name","address","borough_community","postcode","agency","contact_number","grade_level_age_group","location_1","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta"
"Jobs & Internships","Youth Employment","Harlem RBI (Reviving Baseball in Inner Cities)","333 East 100 Street","New York","10029","Harlem RBI (Reviving Baseball in Inner Cities)","212.722.1608","MS/HS","333 100 Street
,  10029
(40.786495147586, -73.944398806435)","40.786209","-73.943789","11","8","164","1087440","1016720017","East Harlem South                                                          "
"Jobs & Internships","Out-of-School Youth Employment (OSY)","International Sheet Metal Workers Local Union 28 (intake site)","470 Park Avenue South","New York","10016","International Sheet Metal Workers Local Union 28","212.732.7897","16 to 21","470 Park Avenue
,  10016
(40.745413989719, -73.982708667456)","40.745492","-73.982515","5","2","74","1080788","1008610044","Midtown-Midtown South                                                      "
"Jobs & Internships","In-School Youth Employment (ISY)","Greater Ridgewood Youth Council, Inc.","62-04 Myrtle Avenue","Queens","11385","Greater Ridgewood Youth Council, Inc.","718.456.5437",,"62 04 Myrtle Avenue
,  11385
(40.701224891615, -73.88334858437)","40.700894","-73.893211","5","30","577","4437849","4035930001","Glendale                                                                   "
"Jobs & Internships","In-School Youth Employment (ISY)","Intermediate School 168 - Parsons School","158-40 76th Road","Queens","11366","Queens Child Guidance Center","718.651.7770",,"158 40 76th Road
,  11366
(40.728164407262, -73.792268173937)","40.724458","-73.810216","8","24","1257","4147847","4068260001","Kew Gardens Hills                                                          "
"Jobs & Internships","Youth Employment","Project Care of Brooklyn, Inc","164 Clymer Street","Brooklyn","11211","Project Care of Brooklyn, Inc","718.387.4500","HS","164 Clymer Street
,  11211
(40.706632200839, -73.963450637046)","40.706902","-73.963077","1","33","535","3059866","3021730016","Williamsburg                                                               "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Greater Ridgewood Youth Council, Inc.","62-04 Myrtle Avenue","Queens","11385","Greater Ridgewood Youth Council, Inc.","718-456-5437  x232","14 to 24","62 04 Myrtle Avenue
,  11385
(40.701224891615, -73.88334858437)","40.700894","-73.893211","5","30","577","4437849","4035930001","Glendale                                                                   "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","All City Leadership School","1474 Gates Avenue","Brooklyn","11237","Ridgewood Bushwick Senior Citizens Council","718-381-9653 ","14 to 24","1474 Gates Avenue
,  11237
(40.697840308647, -73.913832482461)","40.697788","-73.913906","4","37","433","3387654","3033440016","Bushwick North                                                             "
"Jobs & Internships","Youth Employment","St. Stephen Outreach","874 Myrtle Avenue","Brooklyn","11206","St. Stephen Outreach","718.384.8854","All grades","874 Myrtle Avenue
,  11206
(40.695576730553, -73.947239332629)","40.695579","-73.947375","3","36","25901","3048641","3017550032","Bedford                                                                    "
"Jobs & Internships","In-School Youth Employment (ISY)","Flushing High School - H.S. 460","35-01 Union Street","Queens","11354","Sports & Arts In Schools Foundation, Inc.","718.786.7110",,"35 01 Union Street
,  11354
(40.768620220647, -73.827190280707)","40.765166","-73.82789","7","20","1161","4113172","4050020001","Flushing                                                                   "
"Jobs & Internships","In-School Youth Employment (ISY)","Harlem Children's Zone, Inc","35 East 125th Street","New York","10035","Harlem Children's Zone, Inc","212.534.0700",,"35 125th Street
,  10035
(40.805967509585, -73.941123653285)","40.805934","-73.941096","11","9","198","1087811","1017500007","East Harlem North                                                          "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Community Association of Progressive Dominicans - Manhattan","2268 Amsterdam Avenue","Manhattan","10032","Community Association of Progressive Dominicans - Manhattan","212-781-4955","14 to 24","2268 Amsterdam Avenue
,  10032
(40.842949903797, -73.934721049241)","40.842691","-73.934876","12","10","253","1063105","1021290045","Washington Heights South                                                   "
"Jobs & Internships","In-School Youth Employment (ISY)","Jewish Community Council of Greater Coney Island, Inc.","3001 West 37th Street","Brooklyn","11224","Jewish Community Council of Greater Coney Island, Inc.","718.449.5000",,"3001 37th Street
,  11224
(40.573273749724, -74.002490640031)","40.573177","-74.002509","13","47","340","3189617","3070650001","Seagate-Coney Island                                                       "
"Jobs & Internships","In-School Youth Employment (ISY)","Bedford Stuyvesant Restoration Corporation","1368 Fulton Street","Brooklyn","11216","Bedford Stuyvesant Restoration Corporation","718.636.6931",,"1368 Fulton Street
,  11216
(40.680167097693, -73.94592248315)","40.680175","-73.945717","3","36","247","3053786","3018620014","Crown Heights North                                                        "
"Jobs & Internships","In-School Youth Employment (ISY)","Intermediate School 93 - Ridgewood Intermediate School","66-56 Forest Avenue","Queens","11385","Greater Ridgewood Youth Council, Inc.","718.456.5437",,"66 56 Forest Avenue
,  11385
(40.701224891615, -73.88334858437)","40.706041","-73.902584","5","30","589","4083511","4034900001","Ridgewood                                                                  "
"Jobs & Internships","Youth Employment","Project Ready Headquarters","55 E. 175th Street","Bronx","10453","Mount Hope Housing Company","718.466.3600","MS/HS","55 175th Street
,  10453
(40.847312989377, -73.911364754436)","40.847256","-73.911295","5","14","22701","2115885","2028500034","Mount Hope                                                                 "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Queens OCFS","168-25 Jamaica Avenue","Queens","11432","Henry Street Settlement, Inc. - Queens ","718-557-8861","14 to 24","168 25 Jamaica Avenue
,  11432
(40.71311535449, -73.792820999789)","40.706582","-73.791811","12","27","460","4209641","4097990001","Jamaica                                                                    "
"Jobs & Internships","Adult Employment","The Annex","2875 Broadway","New York","10027","Community Impact/Columbia University","212.854.2617",,"2875 Broadway
,  10027
(40.811549564461, -73.952900335682)","40.805541","-73.966248","9","7","199","1057330","1018940052","Morningside Heights                                                        "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","South Bronx Overall Economic Development Corp.","555 Bergen Avenue","Bronx","10455","South Bronx Overall Economic Development Corp.","718-292-3113","14 to 24","555 Bergen Avenue
,  10455
(40.815944415254, -73.916415911483)","40.815959","-73.916354","1","17","71","2097027","2022940002","Melrose South-Mott Haven North                                             "
"Jobs & Internships","In-School Youth Employment (ISY)","John F. Kennedy High School - H.S. 475","99 Terrace View Avenue","Bronx","10463","Henkels & McCoy, Inc.","800.622.5577",,"99 Terrace View Avenue
,  10463
(40.877210772674, -73.91213621129)","40.877105","-73.912256","8","10","309","1064532","1022150080","Marble Hill-Inwood                                                         "
"Jobs & Internships","Adult Employment","Rockaway Development & Revitalization Corporation","1920 Mott Avenue","Queens","11691","Rockaway Development & Revitalization Corporation","718.327.5300",,"1920 Mott Avenue
,  11691
(40.603879525424, -73.752178931552)","40.603907","-73.752262","14","31","103202","4457760","4155590012","Far Rockaway-Bayswater                                                     "
"Jobs & Internships","In-School Youth Employment (ISY)","Elmcor Youth and Adult Activities, Inc.","33-16 108th Street","Queens","11368","Elmcor Youth & Adult Activities, Inc.","718.651.0096",,"33 16 108th Street
,  11368
(40.749678220374, -73.853040688577)","40.757429","-73.860938","3","21","381","4042761","4017220012","North Corona                                                               "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Vannguard Urban Improvement Association, Inc. - Vulnerable Youth","613-619 Throop Avenue , 3rd Fl.","Brooklyn","11216","Vannguard Urban Improvement Association, Inc. - Vulnerable Youth","718-453-3330","14 to 24","613 619 Throop Avenue
,  11216
(40.680758670876, -73.949267750906)","40.680919","-73.940518","3","36","273","3053556","3018560001","Stuyvesant Heights                                                         "
"Jobs & Internships","Adult Employment","Council of Jewish Organizations of Flatbush","1550 Coney Island Avenue","Brooklyn","11230","Council of Jewish Organizations of Flatbush","718.377.2900",,"1550 Coney Island Avenue
,  11230
(40.619697574375, -73.964314154293)","40.619517","-73.964188","12","44","454","3171988","3065460011","Ocean Parkway South                                                        "
"Jobs & Internships","In-School Youth Employment (ISY)","Public School 181 - John Steptoe School","1023 New York Avenue","Brooklyn","11203","Research Foundation of CUNY on behalf of Medgar Evers College","718.270.6908",,"1023 New York Avenue
,  11203
(40.648253402035, -73.946344475373)","40.648215","-73.946374","17","45","856","3327776","3049040010","East Flatbush-Farragut                                                     "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Brownsville Beacon PAL","985 Rockaway Ave","Brooklyn","11212","Police Athletic League, Inc. - Brooklyn ","718-389-5309","14 to 24","985 Rockaway Ave
,  11212
(40.656451255408, -73.907322828305)","40.656068","-73.907245","16","42","922","3082940","3036360007","Brownsville                                                                "
"Jobs & Internships","In-School Youth Employment (ISY)","Public School 1 - Bergen Elementary School","309 47 Street","Brooklyn","11220","SCO Family of Services","516.671.1253",,"309 47 Street
,  11220
(40.649194277667, -74.012497228156)","40.649042","-74.012289","7","38","80","3011821","3007550022","Sunset Park West                                                           "
"Jobs & Internships","Out-of-School Youth Employment (OSY)","Church Avenue Merchants Block Association, Inc.","1957 Nostrand Ave","Brooklyn","11210","Church Avenue Merchant Block Association","718.462.4244","16 to 21","2211 Church Avenue
,  11226
(40.650446866784, -73.95854532388)","40.637711","-73.948159","17","45","788","3113780","3049940023","Flatbush                                                                   "
"Jobs & Internships","In-School Youth Employment (ISY)","Stanley M. Isaacs Neighborhood Center, Inc.","415 E. 93rd Street","New York","10128","Stanley M. Isaacs Neighborhood Center, Inc.","212.360.7620",,"415 93rd Street
,  10128
(40.7812386658, -73.945802764971)","40.780904","-73.945112","8","5","152","1082367","1015730001","Yorkville                                                                  "
"Jobs & Internships","In-School Youth Employment (ISY)","LaGuardia Community College","31-10 Thomson Avenue","Queens","11101","Research Foundation of CUNY/LaGuardia Community College","718.270.6908",,"31 10 Thomson Avenue
,  11101
(40.745702449808, -73.938669029252)","40.744902","-73.935022","2","26","179","4003534","4002780001","Hunters Point-Sunnyside-West Maspeth                                       "
"Jobs & Internships, Youth Employment","Summer Youth Employment ","Brooklyn Neighborhood Improvement Association","1482 St. Johns Place , Ste. 1F","Brooklyn","11213","Brooklyn Neighborhood Improvement Association","718-773-4116","14 to 24","1482 St Johns Place
,  11213
(40.670470593603, -73.929356130187)","40.670505","-73.92964","8","41","349","3037114","3013850028","Crown Heights North                                                        "
"Jobs & Internships","In-School Youth Employment (ISY)","Police Athletic League (PAL)","55 Layton Avenue","Queens","10301","Police Athletic League, Inc.","212.477.6504",,"55 Layton Avenue
,  10301
(40.641582326676, -74.085356500747)","40.641595","-74.085135","1","49","9","5001150","5000490182","West New Brighton-New Brighton-St. George                                  "
"Jobs & Internships","Adult Employment","Polonians Organized to Minister to Our Community","66-60 Fresh Pond Road","Queens","11385","Polonians Organized to Minister to Our Community","718.326.9098",,"66 60 Fresh Pond Road
,  11385
(40.701224891615, -73.88334858437)","40.707192","-73.897292","5","30","587","4084940","4035290077","Ridgewood                                                                  "
"Jobs & Internships","Out-of-School Youth Employment (OSY)","South Bronx Job Corps","1771 Andrews Avenue","Bronx","10453","Arbor Employment and Training","718.731.7686","16 to 21","1771 Andrews Avenue
,  10453
(40.85076866537, -73.916695383551)","40.850677","-73.91682","5","14","21501","2094551","2028780150","University Heights-Morris Heights                                          "
"Jobs & Internships","Youth Employment","Boys & Girls Harbor, Inc","1 East 104th Street","New York","10029","Boys & Girls Harbor, Inc","212.427.2244",,"1 104th Street
,  10029
(40.792983387231, -73.952000317419)","40.792888","-73.951826","11","8","168","1051499","1016100001","East Harlem South                                                          "
"Jobs & Internships","In-School Youth Employment (ISY)","Bnos Ahavas Israel Viznitz","12 Franklin Street","Brooklyn","11222","National Society For Hebrew Day Schools","212.227.1000",,"12 Franklin Street
,  11222
(40.725311184362, -73.957516366623)","40.725309","-73.957522","1","33","561","3065477","3026140003","Greenpoint                                                                 "
