"ceqr","project_name","project_description","borough","lead_agency","url"
"04BSA199M","703 West 171st Street","Pursuant to Sec 72-21 of the Z R to permit in an R8 zoning district, 1 story plus cellar medical offices and 15 dwelling units above, to be constructed on a vacant zoning lot. The variance seeks to waive height and setback for the propose mixed-use building.","Manhattan","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/4170-04BSA199M"
"04BSA098M","Cornelia Beauty and Wellness-655-663 Fifth Avenue II","A special permit pursuant to sec 73-36 of tne NYC ZR to allow for a physcial Cultural Establishment to be located in a portion of exsiting buildings.","Manhattan","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/3924-04BSA098M"
"01BSA088Q","85-28 & 85-34 Rockaway Boulevard","Zoning Variance of Section 22-00 in order to construct a retail building in an R-5 zoning district mapped at 18a.","Queens","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/3578-01BSA088Q"
"11DEP021X","Shoelace Park\224th Street Stormwater Management Pilot","The New York City Department of Environment Protection (DEP), Bureau of Environmental Planning and Analysis (BEPA) has reviewed the proposed action to utilize a small portion of a New York City Department of Parks and Recreation (DPR) park in the riparian zone of the Bronx River, to build a stormwater management system that would maximize stormwater capture, subsurface infiltration and storage through a combination of innovative grey and green infrastructure implementations. The purpose of this pilot is to reduce the amount of stormwater that enters the combined sewer system in New York City thereby freeing up capacity, and to remove suspended particulate matter contained in street runoff, helping to improve water quality in the Bronx River.","Bronx","Department of Environmental Protection","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/7663-11DEP021X"
"15SBS003K","Moore McCormack Site Lease","The Proposed Action is a lease of City-owned property in Sunset Park, Brooklyn. The lease terms are subject to approval by the City Council under Sections 1301(2)(f) of the New York City Charter. The proposed project would lead to the relocation of the Ferrara Bros. Building Materials Corp. concrete plant, currently located on the west side of the Gowanus Canal at 5th Street in Brooklyn, to a new waterfront location on the upland portion of the 25th Street Pier","Brooklyn","Department of Small Business Services","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/10787-15SBS003K"
"17DCP025X","600 East 156th Street Rezoning","The applicant, 600 Associates, LLC, is seeking a Zoning Map amendment from M1-1 to R8A and a Zoning Text Amendment to Zoning Resolution Appendix F (Mandatory Inclusionary Housing Designated Areas) affecting properties located at block 2624, Lots 41, 48, 49, 50, 51 and 52 in the Bronx, Community District 1. The proposed actions would facilitate a proposal by the applicant to construct a 12-story mixed use approximately building containing a 32,500 gsf charter school and 170 units of affordable housing units","Bronx","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/11866-17DCP025X"
"17DCP129K","Rose Plaza on the River 2nd Special Permit Renewal","Second special permit renewal application pursuant to ZR Sec. 11-43 and an Authorization renewal for Rose Plaza on the River development.","Brooklyn","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/12746-17DCP129K"
"18DCP138R","21 Finlay Avenue","School seat certification for two dwelling units.","Staten Island","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/13551-18DCP138R"
"16HPD048M","219-229 West 144th Street HDFC","The City of New York - Department of Housing Preservation & Development (HPD) intends to fund construction activities involving the moderate rehabilitation of the above referenced properties. The properties contain a total of 81 dwelling units and the number of units would remain the same upon completion of the rehabilitation activities. The proposed activities would be funded through HPDs Green Housing Preservation Program and would further HPDs goals of preserving affordable housing throughout New York City.","Manhattan","Department of Housing Preservation & Development","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/11792-16HPD048M"
"13DCP146R","92 Newton Street","The applicant, Michele Marchese, is seeking a Certification pursuant to ZR Section 107-08 pertaining to subdivision.  The proposed action would facilitate a proposal by the applicant to subdivide one zoning lot into two zoning lots, with an existing single-family residence to remain on one of the two lots.","Staten Island","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/9713-13DCP146R"
"16HPD036X","MBD Resyndication II","HPD is proposing to modify the existing debt and extend the term of the existing HPD regulatory agreement for a list of buildings located in various areas in the Bronx.  HPD will also provide a new loan and funding for construction activities involving moderate rehabilitation for the properties to preserve and continue the affordability of 270  residential units.","Bronx","Department of Housing Preservation & Development","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/11737-16HPD036X"
"12DHS005K","CREATED IN ERROR","DUPLICATED NUMBER SEE 12DHS011K","Brooklyn","Department of Homeless Services","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/8025-12DHS005K"
"13DCP006R","CREATED IN ERROR","SEE 12DCP113R","Staten Island","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/9009-13DCP006R"
"11DCP130R","233 Bayview Avenue","The applicant, Gregory Bartocci, is seeking a certification pursuant to ZR Sections 107-22 (Designated Open Space), 107-221 (Active Recreational Facilities), 107-222 (Public Pedestrian Ways) and 107-223 (Permitted Obstructions in Designated Open Space), and a certification persuant to ZR Section 107-121 (Public Schools).  The proposed action would facilitate a proposal by the applicant to construct a single family detached house with an accessory in-ground swimming pool on a property located at 233 Bayview Avenue (Block 6710, Lot 154), in the Pleasant Plains neighborhood of Staten Island, Community District 3.  The project site is located within an R3X district within the Special South Richmond Development District.  The project site is currently developed with a one family detached house and a detached garage, which would be demolished.","Staten Island","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/7847-11DCP130R"
"17HPD005K","Gates Avenue Residences","The project sponsor, Post Graduate Center for Mental Health (PCMH), is seeking construction financing through HPDs Supportive Housing Loan Program (SHLP) to facilitate the new construction of a 5-story building containing 68 units of supportive housing in the Bedford-Stuyvesant neighborhood of Brooklyn, Community District 3.  The project site is located at 500 Gates Avenue (Block 1814, Lot 17) on the south side of Gates Avenue between Tompkins Avenue and Marcy Avenue.  The privately-owned project site is currently occupied by a vacant parking lot measuring approximately 13,500 square feet (sf).  Under the proposal, the project site would be redeveloped with a 5-story, approximately 44,000 gross-square-foot (gsf) building containing a total of 68 studio apartments, of which approximately 48 would be reserved for formerly homeless individuals, and approximately 20 would be reserved for low-income individuals earning up to 60% of Area Median Income (AMI).  In addition to the residential units, the proposed project would include approximately 9,916 sf of office space providing social services for building tenants","Brooklyn","Department of Housing Preservation & Development","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/12292-17HPD005K"
"04BSA100M","23-29 Bond Street","Bulk and use variance to increase floor area and allow a mixed use building in a M1-5b zone. The mixed use building would include multiple dwelling residential use (62, 574 SF) and retail space (3,000 sq ft) on the above ground floors and 51 public parking spaces","Manhattan","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/3911-04BSA100M"
"11TLC017Q","Peruvian Car Service Inc.","Application to relocate a livery base station.  The proposed dispatch office is at 90-05 31st Avenue, East Elmhurst, N.Y. 11369; the proposed off-street parking facility is at 88-20 Astoria Boulevard, Jackson Heights, N.Y. 11369.","Queens","Taxi and Limousine Commission","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/7492-11TLC017Q"
"13HPD103X","Villa Avenue Supportive Housing","The Villa Avenue Supportive Housing would contain a total of 56 units of supportive housing, approximately 1,204 sq ft of social service space. 1,831 sq ft of recreational space, landscaped open space at the rear of the building and an apartment for a building superintendent.","Bronx","Department of Housing Preservation & Development","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/9706-13HPD103X"
"04BSA074M","92-94 Greene Street","A new 7 story, 30 dwelling unit residential building, in a M1-5A district in the Soho section. A use variance for the BSA to allow for a residential use in a M1 district. A ground floor and cellar retail use, 53 space public parking.","Manhattan","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/3899-04BSA074M"
"04BSA146Q","188th Street and Jamaica Avenue Auto Showroom","A bulk variance and a use variance under sec 72-21 of the ZR, which would permit the construction of a 2 story building that would have an auto show room on the ground floor and offices on the 2nd floor. The building is being constructed with both an R2 and R5 ZD","Queens","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/4012-04BSA146Q"
"04BSA110K","1288 East 19th Street","A variance requested from ZR to Sec 23-145 to permit the proposed floor area and floor area ratio, which exceed the maximum permitted and from ZR sec 23-633 to permit the proposed building hgt. A variance to Sec 72-21 of the ZR seeking to authorize the 8 story.","Brooklyn","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/3920-04BSA110K"
"04BSA217Q","Queens Crossing Mixed Use Development","Proposed construction of a new, 12 story mixed use commerical retail and office building with two below grade parking levels on the project site located in a C4-3 zoning district.","Queens","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/4154-04BSA217Q"
"04BSA059M","744 Greenwich Street","Bulk variance pursuant to sec 72-21 of the ZR and sec 666 of the City Charter for new construction of a six story residential building to increase the residential floor area permitted since the previously determined under CEQR 95-BSA-048M.","Manhattan","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/3830-04BSA059M"
"04BSA109K","95 Dobbin Street","Pursuant to Sec 72-21 of the ZR of the NYC, as amended to request a variance of sec 42-00 of the ZR to permit the leglization of a mixed use building, contains light manufacturing on the ground level and residential use on the 2nd level. Located M1-1 zoning","Brooklyn","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/3919-04BSA109K"
"04BSA194K","Mill Avenue Residential","Pursuant to Sec 72-21 of the Z R to permit, in an R3-1 zoning district, the conversion and expansion of a 4 story factory building, in a 5 story resiential apartment building containing a total of 45 dwelling units.","Brooklyn","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/4176-04BSA194K"
"04BSA072M","Ramirez Building Project","Use and bulk variances under Sec 72-21 of the ZR to permit construction and operation of a mixed-use blding in an M1-5 zone located within Area B-2 of the Special Tribeca Mixed-Use District. A 9 story building of office, retail and lobby space, 6 dwelling","Manhattan","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/3889-04BSA072M"
"04BSA075K","90 Havemeyer Street","Pursuant to Section 72-21 of the ZR, because factors that establish the requisite finding are present with regard to the Premises, a variance is requeste from ZR Sec. 42-00 in order to construct a residential building in an M1-1 zoning district.","Brooklyn","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/3900-04BSA075K"
"17HPD061Q","88-07 132nd Street","The City of New York  Department of Housing Preservation and Development (HPD) intends to fund rehabilitation activities involving lead-based paint treatment at 88-07 132nd Street in Queens, an existing 2-unit residential building.  The project would be funded through HPDs Lead-Based Paint  Primary Prevention Program.  The requested action would facilitate the rehabilitation and provision of safe, affordable housing and further HPDs goals of preserving affordable housing throughout New York City.","Queens","Department of Housing Preservation & Development","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/12711-17HPD061Q"
"17DCP177K","57 Jay Street","This is a rivate application by Gregory P Jones LLC, requesting Chair's Certification pursuant to ZR Sec. 15-30(b) to modify the open space requiremenst of Sec. 15-12 of the ZR for the residential conversion of the property at 57 Jay Street, Brooklyn","Brooklyn","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/12934-17DCP177K"
"14TLC028K","Nortena Express Car Service Inc.","Establishment of livery car service with the proposed dispatch office location at 507 Coney Island Avenue, Brooklyn, N.Y. 11218 and the proposed off-street parking area at 770 Coney Island Avenue, Brooklyn, N.Y. 11218.","Brooklyn","Taxi and Limousine Commission","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/10111-14TLC028K"
"01BSA091K","Kent Avenue Joint Work/Living Loft and Artists Building","The conversion of 3 existing and connected former light industrial and warehouse buildings into a Joint work/living Loft building, which would include a total of 5 non-living artista studios and 33 Joint work/living space studio apartments","Brooklyn","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/3583-01BSA091K"
"04BSA218K","McKibbin Street Residential","ZR 72-21 to permit in a M1-1 and M1-2 district, approval  to legalize residential occupancy of 73 dwelling units in a 4 story and basement industrial building. Proposed 18 prking spaces on the open portion of the lot.","Brooklyn","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/5060-04BSA218K"
"12HPD008K","Dean-Atlantic 2449 Dean Street","The Department of Housing Preservation & Development (HPD) intends to fund the acquisition of an improved residential property located in a neighborhood which experienced high foreclosure rates as a result of the housing crisis.  Acquisition of the property would minimize the effects of the foreclosure crisis in New York City and prevent the building from going into foreclosure.","Brooklyn","Department of Housing Preservation & Development","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/8219-12HPD008K"
"04BSA097M","Cornelia Beauty and Wellness-655-663 Fifth Avenue I","A special permit pursuant to sec 73-36 of the NYC ZR to allow for a physcial Cultural Establishment to be located in a portion of exsiting buildings.","Manhattan","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/3908-04BSA097M"
"04BSA106X","1100 Leggett Avenue","For a bulk variance under sec 72-21 of the ZR which would permit the construction of an 8 story manufacturing building encompassing office space, a loading dock, and accessory parking on the 1st floor and manufacturing and warehouse space on floors 2-8","Bronx","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/3917-04BSA106X"
"14DPR007M","High Line Section 3","NYCDPR is seeking discretionary approval of capital funding to facilitate the development of an approximately half-mile northward extension (Section 3) of the High Line open space.  The new portion of the High Line would include approximately 99,201 square feet of currently unused elevated freight railroad line running between West 30th Street and West 34th Street in Manhattan.   Section 3 would offer amenities similar to those available in the existing sections and would be accessible to pedestrians from  four additional access points.","Manhattan","Department of Parks and Recreation","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/10184-14DPR007M"
"04BSA035Q","106-36/50 Queens Boulevard","A Bulk variance under sec 72-21 of the ZR to permit the construction of a high-rise mixed-use blding in a C4-2 zoning district. Construction of a 21 story, mixed use blding which would include 95 residential units, 7728 sf of floor area on 1st floor (retail","Queens","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/3836-04BSA035Q"
"04BSA212K","121-157 North 3rd Street","Pursuant to Sec 72-21 for the development of residential bldings in an M1-2 zoning district. The result would be the demolition of 2 vacant industrial buildings on the project site and the development of a 3 building, 82-Unit residential project","Brooklyn","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/4161-04BSA212K"
"17BSA128K","Build It Back","Special Permit (§64-92) to waive bulk regulations for the replacement of homes damaged/destroyed by Hurricane Sandy, on properties which are registered in the NYC Build it Back Program. R3-1 zoning district.","Brooklyn","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/12966-17BSA128K"
"04BSA167K","73 Washington Avenue","A variance under 72-21 ZR to permit residential conversion of existing 4 story loft building, creating 8 apts contrary to ZR 42-10","Brooklyn","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/4008-04BSA167K"
"13BSA138K","107 South 6th Street","Special Permit (§73-36) to permit the legaliztion of a physical culture establishment (Soma Health Club) contrary to §32-10.  C4-3 zoning district.","Brooklyn","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/9671-13BSA138K"
"11TLC010X","Fairway Car Service Inc.","A new base station and off the street parking for a new For-Hire Vehicles under Chapter 5 of Title 19 of the Administrative Code.","Bronx","Taxi and Limousine Commission","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/7485-11TLC010X"
"04BSA220M","New York Health and Racquet Club","Pursuant to Sec 73-36 of the ZR to permit in an M1-5B zoning district the placement of a physical culture establishment in a portion of an existing 12 story mixed-use building, which use requires a special permit","Manhattan","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/4164-04BSA220M"
"19DCP182M","503 Broadway (Zara)","The applicant, FSF Soho, LLC, is seeking a special permit pursuant to ZR Section 74-922 pertaining to large retail establishments.  The proposed action would facilitate a proposal by the applicant to convert approximately 14,937 gross square feet of space on the second floor of an existing building from Use Group 17 uses to Use Group 10A (large retail) uses.","Manhattan","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/10337-19DCP182M"
"20DOT017K","Reconstruction of Schenck Avenue","NYC DOT is proposing to reconstruct and resurface three blocks of Schenck Avenue within the East New York Section of Brooklyn Community District 5 to improve roadway conditions and bring the roadway back to a state of good repair. The project area includes Schenck Avenue between Liberty and Pitkin Avenues, Belmont Avenue between Schenck Avenue and Barbev Street, and Schenck Avenue between Hegeman and Cozine Avneues. The project will involve sewer and water utility replacements, curb improvements at intersections with pedestrian ramps meeting ADA standards, street lighting and signage installation, street resurfacing and new pavement markings.","Brooklyn","Department of Transportation","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/14860-20DOT017K"
"04BSA121Q","76-07-Roosevelt Avenue","To permit the proposed conversion of an existing restaurant (Use Group 6)",,"Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/9572-04BSA121Q"
"04BSA053K","433 Columbia Street","Reconstruction of 4 story residential building that had existed at this location and demolished by the City of NY is contrary to ZR 23-14 (a)Flr Area), ZR 23-32 Lot Size, ZR 23-631 (d) Perimeter Wall, 23-22 Dwelling Units, 23-462 Side Yards, 25-23, Parki","Brooklyn","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/3842-04BSA053K"
"04BSA043M","1097 Second Avenue","This action involves the authorization of a physical culture establishment by a special permit granted by the NYC Board of Standards and Appeals","Manhattan","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/4660-04BSA043M"
"01BSA082K","18 Richardson Street","Conversion of the 2nd floor of an existing vacant manufacturing building , Use Group 17, residential occupancy","Brooklyn","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/2808-01BSA082K"
"04BSA069M","340 Madison Avenue Building Enlargement","The proposed Action would provide for the enlargment of the building at 340 Madison Avenue., which is currently under construction on a merged zoning lot.","Manhattan","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/3896-04BSA069M"
"17BSA140M","2030 Broadway","Special Permit (§73-36) to permit the operation of physical culture establishment (CorePower Yoga) on the second floor of an existing building contrary to ZR §32-10. C4-6A/R8B Upper West Side/Central Park West Historic District.","Manhattan","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/13009-17BSA140M"
"18HPD048X","Denick Management, Inc.","The City of New York - Department of Housing Preservation & Development (HPD) intends to fund rehabilitation activities associated with the above-referenced residential property. The requested funding would result in the preservation of 85 units of affordable housing. Rehabilitation activities would be funded through HPDs Multifamily Housing Rehabilitation Program (MHRP). The proposed action would further HPDs goals of preserving affordable housing throughout New York City.","Bronx","Department of Housing Preservation & Development","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/13295-18HPD048X"
"18DCP178R","2835 & 2845 Veterans Road West","The applicant, Block 7469, LLC., is seeking a special permit to allow retail establishennts in manufacturing districts, zoning authorizations for tree removal, modifications of existsing topography, and modification for group parking, and several zoning certifications","Staten Island","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/9018-18DCP178R"
"11DCP107R","CREATED IN ERROR","Thank you.  Please delete 11DCP107R from CEQR-View.  It was issued in error. Thank you.  Susan Wong  NYC-DCP  EARD","Staten Island","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/7744-11DCP107R"
"13DPR006Y","New York City-Wide Beach Berming and Grading","Environmental review to support ongoing DPR management practices at certain beach areas to prevent erosion of the beaches and to protect park facilities from seasonal conditions or during emergency storm events.  Practices inlcude the creation of sand berms, the placement of snowfencing, and sand grading activities.","Citywide","Department of Parks and Recreation","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/9183-13DPR006Y"
"14DEP004Q","Reconstruction of the Access Road and Retaining Wall to the Bayswater Pumping Station","Reconstruction of existing access road and retaining walls.","Queens","Department of Environmental Protection","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/9836-14DEP004Q"
"14BSA139K","737 61st Street","Special Permit 73-44 to reduce the off street parking for a UG 4 ambulatory diagnostic and treatment health care faciliity use within the proposed 6-story and cellar building within a M1-1 zoning district.","Brooklyn","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/10415-14BSA139K"
"13BSA076R","3231-3251 Richmond Avenue","This application  seeks a special permit under section 73-36 ZR to permit the operation of a physical culture establishment.","Staten Island","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/9369-13BSA076R"
"19BSA069M","138 	East 39th Street","Variance (§72-21) to permit the enlargement of an existing house of worship (Eastern Prelacy of the Anneniam Apostolic Church) contrary to ZR §24-11 (lot coverage and floor area ratio); ZR §§24-33 & 24-36 (permitted rear yard obstruction within a 30 required yard).  R8 zoning district.","Manhattan","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/14283-19BSA069M"
"18DCP108X","La Frieda Home - 3601 Scenic Place Restoration - SNAD","SNAD Restoration and Authorization for work on a single-family residence.","Bronx","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/13461-18DCP108X"
"15DCP112R","30 Newton Street","The Applicant, Alex Grinberg is requesting two City Planning Certifications pursuant to Sections  107-08 (Future Subdivision) and  107-121 (Public Schools). The requested certifications would facilitate a proposal by the applicant to develop (1) two-family residence  on an approved lot.","Staten Island","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/11048-15DCP112R"
"15DCP106R","139 Oceanview Place","The Applicant, Roman Khabinski is requesting a certification pursuant to the New York City Z.R. Section 107-08 (Future Subdivision).  The requested action would facilitate a proposal by the applicant to subdivide the applicant owned property (Block 5261, Lot 47) into two zoning lots. Each new zoning lot will be developed with a two family detatched residence.","Staten Island","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/11035-15DCP106R"
"15DCP178M","Tower 49 Open Air Café","CERTIFICATION FOR OPEN AIR CAFÉ","Manhattan","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/11301-15DCP178M"
"19DCP015K","2513-2523 Avenue O","The applicant, Pulmonary and sleep Medical, P.C.; proposes rezoning from R2 to R3-2 for a portion of Block 7679 from the current R2 zoning district to allow a medical office use","Brooklyn","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/13194-19DCP015K"
"21DHS015X","Urban Resource Institute Taylor Avenue Families with Children Residence","The New York City Department of Homeless Services (DHS) is proposing to contract for and fund services from the non-profit Urban Resource Institute (Provider) who would operate a transitional residence at an existing building located at 135 Taylor Avenue in the Bronx (Proposed Action). Under the Proposed Action, an existing building would be utilized to provide shelter for up to 41 families with children.","Bronx","Department of Homeless Services","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/15224-21DHS015X"
"16HPD023K","Franklin","The Department of Housing Preservation & Development (HPD), through its Low-Income Housing Tax Credit Portfolio Preservation (Year 15) Program, is proposing to modify existing debt and extend the term of an existing HPD regulatory agreement for the above listed property in connection with a tax exemption pursuant to Section 577 of the Private Housing Finance Law. In addition, HPD is proposing to provide a tax exemption pursuant to Section 420-c of the Real Property Tax Law of the State of New York.  The proposed actions are intended to preserve the affordability of the existing 97 dwelling units.","Brooklyn","Department of Housing Preservation & Development","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/11662-16HPD023K"
"04BSA178M","5-9 West 37th Street","Special Permit pursuant to Sec 73-36 of the Z R to authorize a Physical Culture Establishment in a portion of the cellar level of building located in an M1-6 zoning district, which is contrary to sec 42-10 of the zoning resolution","Manhattan","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/4174-04BSA178M"
"04BSA140Q","247-39 Jamaica Avenue","A bulk variance under Sec 72-21 of the ZR, which would permit the construction of a 2 story residential extension above an existing 1 story commerical building located within an R3A zoning district. In addition a new residential unit would be built.","Queens","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/4019-04BSA140Q"
"20DHS011X","1144 Evergreen Avenue","The New York City Department of Homeless Services is proposing an action to enter into a contract with CAMBA Inc. to operate a transitional residence for 51 Families with Children in an existing building located in the Bronx (Proposed Action). Under the Proposed Action, a newly constructed building, located at 1144 Evergreen Avenue, would be utilized to provide housing for 51 Families (and anticipated maximum of 200 people) seeking shelter.","Bronx","Department of Homeless Services","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/14833-20DHS011X"
"04BSA119K","108-120 Walworth Street","For a Use variance under Sec 72-21 of the ZR for the construction of a 6 story residenital building in an M1-1 zone. It would involve the 6 story residential building which would house 134 residents in a 47 units. As well as 24 accessory parking spaces","Brooklyn","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/3939-04BSA119K"
"02BSA169Q","23-29/26A Steinway Street","For a variance under sec 72-21 of the ZR to permit in an R5 zoning district the construction of 1 3 story attached mixed use building which is part of a development of 7 3 story attached mixed use bldings on a single zoning lot","Queens","Board of Standards and Appeals","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/4667-02BSA169Q"
"17DOT009Y","Rehabilitation of Broadway Bridge Over the Harlem River","NYCDOT proposes the reconstruction of the Broadway Bridge.  The Bridge carries Broadway over the Harlem River connecting  the neighborhoods of Inwood to the south to Marble Hill to the north.  The northern fixed span bridges over the railroad tracks of the MTA Metro North Railroad, and is located in Manhattan Community District 12 and Bronx Community District 8.  The rehabilitation project is scheduled to begin in 2017 and would be completed and operational by 2020.","Citywide","Department of Transportation","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/12546-17DOT009Y"
"21DCP058R","SD 62 Seacrest Avenue","Th applicant proposed to subdivide one existing zoning lot into two zoning lots. THE site will be developed iwht 2 new semi-detached 2 family homes. Request certification of Section 10-08 for future subdivision.","Staten Island","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/15296-21DCP058R"
"15DCP002R","255 and 259 Carteret Street","The applicant, Joline Estates LLC, is seeking certification pursuant to ZR Section 107-121 pertaining to school seats.  The proposed actions would facilitate a proposal by the applicant to construct two two-family residences.","Staten Island","Department of City Planning","https://a002-ceqraccess.nyc.gov/ceqr/ProjectInformation/ProjectDetail/10593-15DCP002R"
