"organizationname","brooklyn","bronx","manhattan","queens","staten_island","fax","phone","url","nourl","description","outsideloc","outsidelocdesc","aging","anti_discrimination_human_rights","arts_culture","business","child_care_parent_information","community_service_volunteerism","counseling_support_groups","disabilities","domestic_violence","education","employment_job_training","health","homelessness","housing","immigration","legal_services","lesbian_gay_bisexual_and_or_transgender","personal_finance_financial_education","professional_association","veterans_military_families","victim_services","women_s_groups","youth_services","faith_based_organization","foundation","is_registered_with_the_attorney_general_s_office","new_york_city_agency","none_of_the_above","nonprofit","comments","other_government_organization","published","location_1","borough","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta","address1","address2","city","postcode"
"T.O.P.S. FOR YOU, Inc.","Y","N","N","Y","N","7184567068","7188213821","http://www.topsforyou.org","N","A private, community-based not-for-profit organization providing on-site childcare for infants and toddlers, and training, organizing, and sponsoring licensed family and group-family day care providers in creation of small businesses. As sponsor of the Bushwick Ridgewood Family Day Care Providers Network, ongoing trainings include all aspects of New York City and New York State licensing requirements, renewals, etc. 120-hour CDA trainings are facilitated twice a year.  All trainings are provided in English or in Spanish.
Other services include one-on-one advocacy and referral for community residents.","N",,"N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published","(40.696527, -73.909288)","BROOKLYN ","40.696527","-73.909288","4","37","439","3077742","3033860010","Bushwick North                                                             ","366 Cornelia Street",,"Brooklyn","11237"
"Literacy Assistance Center","N","N","Y","N","N","2127853685","2128033333","http://www.lacnyc.org","N","hotline for students of Adult Basic Education, English as a Second Language. GED and basic education in the native language. Students referred to free programs in NYC.","N",,"N","N","N","N","N","N","N","N","N","Y","N","N","N","N","Y","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published","(40.706045, -74.013096)","MANHATTAN","40.706045","-74.013096","1","1","9","1078979","1000220017","Battery Park City-Lower Manhattan                                          ","32 Broadway (10th Floor)",,"New York","10004"
"Children's Arts & Science Workshops, Inc.","N","Y","Y","N","N","2127955901","2129237766","http://www.caswkids.org","N","Originally established as a substitute educational program in the wake of the 1968 New York City teachers' strike, the agency presently provides educational, employment, recreational and cultural programs for over 3,000 youth on a year-round basis.  Additionally, CASW bears the distinction of conducting the neighborhood's only year-round, after-school and weekend training workshops in dance, music, art, science and martial arts.  CASW strives to reach those youth with fragile family support systems; the vast majority of whom are recently arrived immigrants.  We also provide strong academic support for those who are at-risk of dropping out of school through our after-school tutoring and basic skills instruction.  Through numerous activities that build self-reliance and conflict resolution skills, youth are taught to cope with the negative influences that confront them on a daily basis.   Our programs and services provide a holistic approach to the needs of youth and their families.  All participants receive an in depth interview to help us assess their needs and determine if they need to be referred to other social service agencies that would better address their particular need(s) or problem(s).","N",,"N","N","Y","N","N","N","Y","N","N","Y","Y","N","N","N","Y","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published","(40.850456, -73.935609)","MANHATTAN","40.850456","-73.935609","12","10","271","1064414","1021800093","Washington Heights North                                                   ","4271 Broadway","2nd Floor","New York","10033"
"Susan G. Komen Breast Cancer Foundation","N","N","Y","N","N",,,,"N",,"N",,"N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published","(40.755237, -73.992864)","MANHATTAN","40.755237","-73.992864","4","3","115","1013637","1007620011","Clinton                                                                    ","341 West 38th St., 10th Fl.",,"New York","10018"
"Dominican Foundation CULTURARTE of New York","N","N","Y","N","N","6464100904","6464100904","http://www.culturarteny.com","N","Dominican Foundation CULTURARTE of New York 

The Power of Culture is of everyone 

History 

The Dominican Foundation Culturarte of New York was founded in June 20th, 2001 under the guidance of Dr. Jorge Pi,a psychotherapist and poet and with visual artist and poet, Karina Rieke. The organization believes that participation and education in the arts helps create mature, emotionally and intellectually well-rounded individuals. 

The Center's School of the Arts offers weekly classes and seminars on music, dance, theater, painting, film, photography, poetry, creative writing, journalism and literature. Through participation in classes and performance groups, students learn discipline and healthy self-expression. Our students, adults and young people, use the skills and talents developed in arts training as an artistic alternative to the prevention of violence, drug abuse, low-educational attainment levels, poverty and other issues that plague our community. Culturarte's goal is to create a well-educated, healthy, and creative community. 

Located in the heart of Washington Heights, Culturarte serves members of the over 400,000-immigrant community from South and Central America and the Caribbean. Providing artistic educational services keeps participants in touch with their heritage, while acting as a bridge to the culture and environment of the United States and New York City. For first-and second-generation members of the community, the ills of the inner-city often supplant the values of their native culture. 


Mission Statement 

To promote and preserve the Hispanic and Afro-Caribbean heritage through the arts 
To create a multicultural, multidisciplinary arts center for the development of talent and tolerance 
To use the arts to administer to the social concerns and problems of the Hispanic community","Y","Santo Domingo, Dominican Republic","N","N","Y","N","Y","N","Y","N","N","Y","Y","Y","N","N","Y","N","N","N","Y","N","Y",,"N","N","N","N","N","N","Y",,"N","Published","(40.847052, -73.933578)","MANHATTAN","40.847052","-73.933578","12","10","261","1079908","1021530001","Washington Heights South                                                   ","260 Audubon Avenue","Suite100 S","New York","10033"
"Hospital Audiences, Inc.","Y","Y","Y","Y","Y","2125757669","2125757676","http://www.hainyc.org/","N","Provides a variety of services to disenfranchised and underserved communities including the disabled, frail elderly, homeless, people living with HIV/AIDS, at-risk youth, and others.","N",,"Y","N","Y","N","N","N","N","Y","Y","Y","N","Y","Y","Y","N","N","N","N","N","Y","Y",,"Y","N","N","N","N","N","Y",,"N","Published","(40.723624, -73.99829)","MANHATTAN","40.723624","-73.99829","2","1","43","1007564","1004970009","SoHo-TriBeCa-Civic Center-Little Italy                                     ","548 Broadway","3rd Floor","New York","10012"
"Good Shepherd Services","Y","Y","Y","N","N",,"2122437070","http://www.goodshepherds.org/","N","Good Shepherd Services is a leading youth development, education and family service agency that serves over 20,000 program participants a year. We give vulnerable youth in New York City the opportunity to take ownership of their future, making a difference today and for the next generation. 

Focusing on high-need communities in Brooklyn and the Bronx, we provide a broad array of individual, family and school-based services to prevent youth from becoming disconnected from family, school and society. We also help those who come to us already disengaged find hope and motivation to reconnect with their community. When young people cannot stay in their families, we continue to provide a safety net of superior quality foster care and residential programs, as we have since 1857. 

Good Shepherd's programs succeed because of the unique way in which we work:

We have a profound belief in the strengths inherent in youth and the ability of individuals and families to transform themselves;

We surround youth and families with the services and supports they need;

We employ a rigorous business approach that stresses partnerships and makes the very most of both public and private resources.","N",,"N","N","N","N","Y","N","Y","N","N","Y","N","N","N","N","N","N","N","N","Y","N","Y",,"N","N","N","N","N","N","Y",,"N","Published","(40.746817, -73.993655)","MANHATTAN","40.746817","-73.993655","5","3","95","1015060","1008037502","Midtown-Midtown South                                                      ","305 7th Avenue, 9th Floor",,"New York","10001"
"African Services Committee","N","N","Y","N","N","2122227067","2122223882","http://www.africanservices.org","N","Founded in 1981 by Ethiopian refugees to give a helping hand to other newcomers, today African Services is a multiservice agency assisting immigrants, refugees and asylees from across the African Diaspora.

Our programs address the needs of newcomers affected by war, persecution, poverty and global health inequalities. We provide health, housing, legal and social services to 10,000 people each year. Staff representing more than 12 countries and speaking twice as many languages provide culturally and linguistically relevant support to this diverse and growing community.

Expanding HIV prevention and access to AIDS treatment and care is central to our mission. African Services has taken this work from Harlem to the frontlines of the global epidemic and now operates three HIV testing and care clinics in Ethiopia.","Y","Ethiopia","N","Y","N","N","N","N","Y","Y","N","Y","N","Y","N","Y","Y","Y","Y","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published","(40.813002, -73.953849)","MANHATTAN","40.813002","-73.953849","9","7","21303","1084104","1019670060","Manhattanville                                                             ","429 West 127th Street",,"New York","10027"
"Mercy Center","N","Y","N","N","N","7184021594","7189932789","http://www.mercycenterbronx.org","N","Mercy Center is a neighborhood center for women in the South Bronx. It's mission is to provide educational and supportive services to women, parents and other family members. Services range from Parenting Skills Classes, Anger Management Classes (offered in Spanish and English); E.S.L.; English Citizenship Classes; Employment Readiness including Introduction to Microsoft Word and Excel, Job Development and G.E.D. Classes; Meditation; Yoga; and many other special activities and workshops throughout the year.","N",,"N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published","(40.81384, -73.920403)","BRONX    ","40.81384","-73.920403","1","8","43","2115799","2023070025","Mott Haven-Port Morris                                                     ","377 East 145th Street",,"Bronx","10454"
"New York Road Runners Foundation","Y","Y","Y","Y","Y","9176778939","2124232227","http://www.nyrrfoundation.org","N","Our mission is to establish community-based running programs which enhance physical heath, emotional well-being and personal achievement within underserved populations throughout New York City and to disseminate our program expertise to interested parties across the United States and around the world.","Y","In almost each of the 50 states","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published","(40.756688, -73.970128)","MANHATTAN","40.756688","-73.970128","6","4","98","1038464","1013250001","Turtle Bay-East Midtown                                                    ","845 Third Avenue","11th floor","New York","10022"
"The Lesbian, Gay, Bisexual & Transgender Community Center","N","N","Y","N","N","2129242657","2126207310","http://www.gaycenter.org/","N","""The Lesbian, Gay, Bisexual & Transgender Community Center provides a home for the birth, nurture and celebration of our organizations, institutions and culture; cares for our individuals and groups in need; educates the public and our community; and empowers our individuals and groups to achieve their fullest potential.""","N",,"Y","Y","Y","N","Y","N","Y","N","N","Y","N","Y","N","N","Y","N","Y","N","N","N","N",,"Y","N","N","N","N","N","Y",,"N","Published","(40.738034, -74.000603)","MANHATTAN","40.738034","-74.000603","2","3","77","1067571","1006170047","West Village                                                               ","208 West 13th Street",,"New York","10011"
"The Nourishing Kitchen of New York City, Inc.","N","N","Y","N","N",,"6462591332","http://eatwellnyc.org","N","The Nourishing Kitchen of New York City, Inc., is a not-for-profit 501 (c)(3) community food program supported and run by the greater New York City area. 

Our mission is to provide nutritious meals and culinary training in a safe and caring environment, to anyone who comes seeking nourishment without question and without criticism. And, further, to provide access to community services and resources to those in need while providing opportunities for volunteers to give of themselves in service to others. Anyone is welcome regardless of age, sex, race, financial qualifications, or religious beliefs.","N",,"N","N","N","N","N","N","N","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published","(40.794482, -73.933583)","MANHATTAN","40.794482","-73.933583","11","8","178","1079395","1017090021","East Harlem North                                                          ","281 Pleasant Avenue",,"New York","10029"
"WET Productions","N","N","Y","N","N",,"2126820265","http://www.wetweb.org","N","WWET is a 501(c)3 non profit production company, founded in 1999 to produce media that challenges female stereo-types and advocates for equality. WET develops, produces and promotes innovative, non-niched, female generated work in theater, film television and a city-wide outreach empowerment program for teenage girls: WETâ€™s Risk Takers Film Series. For more information, please visit www.wetweb.org.","N",,"N","Y","Y","N","N","Y","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N",,"Y","N","N","N","N","N","Y",,"N","Published","(40.752726, -73.974793)","MANHATTAN","40.752726","-73.974793","6","4","92","1036174","1012990022","Turtle Bay-East Midtown                                                    ","441 Lexington Ave, PH",,"New York","10017"
"FEGS Center for Women and Families","N","N","Y","N","N","2123668245","9176066662","http://www.fegs.org","N","Nonresidential domestic violence program providing crisis intervention, long-term counseling, advocacy and referral to adult survivors including immigrants, men and women.","Y","Long Island","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","Y","Y","N","N","N","N","Y",,"N","N","N","N","N","N","Y",,"N","Published","(40.72631, -74.00749)","MANHATTAN","40.72631","-74.00749","2","3","37","1010362","1005970012","SoHo-TriBeCa-Civic Center-Little Italy                                     ","315 Hudson Street",,"New York","10013"
"Brooklyn Chinese-American Association","Y","N","N","N","N","7184388303","7184380008","http://www.bca.net","N","The Brooklyn Chinese-American Association (BCA) was founded in 1988 as a community-based not-for-profit social service agency in response to the growing needs of the Asian-American community in the Sunset Park, Borough Park, and Bay Ridge sections of Brooklyn. To meet the needs of this rapidly growing population, BCA has developed a full array of bilingual and culturally sensitive services and programs.  BCA's services include four senior centers, bilingual social services, adult education programs, early childhood education programs, youth services, community economic development projects, crime prevention and victims services, naturalization assistance services, and newspaper publication.  Also, to promote cultural understanding and harmony in the neighborhood, BCA has been sponsoring community events such as the Annual Chinese New Year Parade and Annual Clean Up Day. Currently, with its Main Community Service Center and eighteen other service sites in Sunset Park, Borough Park, Bay Ridge, Sheepshead Bay, and Bensonhurst, BCA serves over 2,300 individuals on a daily basis.","N",,"Y","N","N","N","Y","N","Y","N","N","Y","N","N","N","Y","Y","N","N","N","N","N","Y",,"N","N","N","N","N","N","Y",,"N","Published","(40.641028, -74.003816)","BROOKLYN ","40.641028","-74.003816","7","38","108","3013418","3007940039","Sunset Park East                                                           ","5002 8th Avenue",,"Brooklyn","11220"
"Latin American Integration Center","N","N","N","Y","N","7185650646","7185658500","http://www.laicnyc.org","N","Information and referral, public education regarding civil rights,US citizenship campaigns, voter registration campaigns, classes in citizenship test preparation and English as a Second Language, Conversational English on one-to-one basis, leadership workshops.","N",,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published","(40.74622, -73.915056)","QUEENS   ","40.74622","-73.915056","2","26","25301","4001161","4001340027","Hunters Point-Sunnyside-West Maspeth                                       ","49-06 Skillman Avenue",,"Woodside","11377"
"Dominican Women's Development Center","N","N","Y","N","N","2129946065","2129946060","http://www.dwdc.org","N","The Dominican Women's Development Center is a not-for-profit organization created to contribute to the empowerment of Dominican/Latina, other women and our families who reside in Washington Heights/Inwood and other New York City communities. Our mission is to aid in the growth and development of our self esteem by affirming our identity and solidarity through multicultural and holistic social services, and educational, economic and cultural development programs. The Center is committed to the organizing of women to actively participate in the elimination of gender inequality and the promotion of social justice!","N",,"N","N","N","Y","N","N","Y","N","N","Y","Y","Y","N","N","Y","N","N","N","N","N","Y",,"N","N","N","N","N","N","Y",,"N","Published","(40.853427, -73.927961)","MANHATTAN","40.853427","-73.927961","12","10","277","1063854","1021590067","Washington Heights North                                                   ","519 West 189th Street","Ground Floor","New York","10040"
"Association to Benefit Children","N","N","Y","N","N",,"2128311322","http://a-b-c.org","N","The Association to Benefit Children was created to provide quality early childcare to underprivileged children in East Harlem. Over the years, ABC has grown in order to meet the needs of families comprehensively through education, supportive housing, early intervention programming, mental health treatment, and after school programming. ABC maintains close ties to other community based organizations in the East Harlem area and collaborates with other agencies in order to provide the most thorough care possible.","N",,"N","N","N","N","Y","N","Y","N","N","Y","N","N","N","Y","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published","(40.776514, -73.948491)","MANHATTAN","40.776514","-73.948491","8","5","14402","1083281","1015660008","Yorkville                                                                  ","419 East 86 Street",,"New York","10028"
"Immigration Advocacy Services (IAS)","N","N","N","Y","N","7182741615","7189568218","http://www.iasny.org","N","Office provides one-stop service which includes photos, fingerprinting, form completion, legal assistance, copy of the standardized test, certified mailing and follow-up through the preliminary and swearing in ceremony.  Referrals to AILA attorneys, accredited, outreach and volunteer service agencies.  Referrals to congressional representatives and governmental agencies.  Speakers for merchant and civic organizations.  Citizenship drives coordinated with social service, ethnic and cultural groups.",,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published","(40.768513, -73.911237)","QUEENS   ","40.768513","-73.911237","1","22","143","4010274","4006540059","Astoria                                                                    ","24-40 Steinway Street",,"Astoria","11103"
"Queensborough Community College - Continuing Education","N","N","N","Y","N","7182793238","7186316343","http://www.qcc.cuny.edu/ContEd/Default.htm","N","Offers beginning, intermediate and advanced classes in English as a Second language.  An intensive ""Port of Entry language Program for Asians"" is offered to prepare new Asian immigrants planning to continue their education in NY.  Free classes are offered in Adult Literacy ESL and preparation for the GED.  Many other vocational training courses are offered.  Career guidance workshops are also available.",,,"N","N","N","N","N","N","N","N","N","Y","N","N","N","N","Y","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published","(40.75349, -73.757957)","QUEENS   ","40.75349","-73.757957","11","23","138501","4439440","4074900002","Oakland Gardens                                                            ","222-05 56 Avenue, Library Building, Room 431",,"Bayside","11364"
"Simpson Street Development Association,Inc","N","Y","N","N","N","7189912940","7185891510",,"Y","Simpson Street Development Association (SISDA) is a Community Based Organization servicing the youth and families of the South Bronx for the past 43 years. In the area of education, employment, training,summer camp, counseling and social services.","N",,"N","Y","Y","Y","N","N","Y","N","N","Y","Y","Y","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published","(40.820985, -73.893398)","BRONX    ","40.820985","-73.893398","2","17","159","2099787","2027240001","Hunts Point                                                                ","997 East 163rd Street",,"Bronx","10459"
"City Year New York","Y","Y","Y","Y","N","2126479744","2126758881","http://www.cityyear.org","N","City Year is a non-profit organization that unites young people of all backgrounds for a year of full-time service, giving them the skills and opportunities to change the world.  As tutors, mentors and role models, these young leaders make a difference in the lives of children and transform schools and neighborhoods.  City Year is a proud member of Americorps.","N",,"N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published","(40.741253, -73.990978)","MANHATTAN","40.741253","-73.990978","5","3","58","1015540","1008230055","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","20 W 22nd street","3rd Floor","New York","10010"
"East Harlem Neighborhood Based Alliance Corporation","Y","Y","Y","Y","Y","2122892616","2122891900","http://www.ehnbac.org","N","The East Harlem Neighborhood Based Alliance Corporation (EHNBAC) is a non-profit organization established on March 3rd 1993, as part of a State-wide initiative implemented under the New York State Neighborhood Based Alliance (NBA) laws of 1990.   The objectives of this State-wide initiative was: 1) through the operation of a crisis intervention center, to stabilize volatile situations for families and individuals in crisis situations or to address situations that if left unaddressed could become crisis, and 2) to improve long-term economic and social conditions through the development and implementation of a Strategic Neighborhood Action Plan (SNAP).  

Since 1993, over 2,000 individuals and families have been placed in decent, affordable apartments, over 4,000 families have averted homelessness, over 2,000 families have avoided serious injury or death, have been placed in safe houses, and have secured monetary compensation and over 1,000 individuals have received HIV/AIDS services.

Although the EHNBAC downscaled its operation after NYS Neighborhood Based Alliance Initiative sunset in 1996 it continues to serve approximately 600 individuals and families per year.  Most staff are bilingual in Spanish and English.  

The EHNBAC provides crime victims with legal advocacy, family court advocacy around divorce, child visitation, child support, orders of protection.  We accompany participants to precincts, court, and the District Attorney?s Office.  

Emergency Assistance for Victims
We provide emergency services such as the changing of locks, purchase of furniture, clothing, pampers, food and payment of legal and documentation fees to regain lost or missing identification and legal documents, relocation assistance, and rent assistance if the victim is at risk of eviction.  

We provide advocacy to obtain repairs, initiation of overcharge claims, tenant landlord mediation, money management training, legal advocacy, and assistance in securing and maintaining entitlements and benefits.  

In July 2005, in response to the high rates of HIV/AIDS in East Harlem, the EHNBAC instituted its HIV/AIDS education program known as Awareness Can Change Every Persons Tomorrow (ACCEPT).  Since then, over 900 individuals have received education and services focusing on the prevention of HIV/AIDS.  The EHNBAC ACCEPT program provides case management, crisis intervention services, prevention workshops, individual and family counseling sessions, referrals to treatment at local hospitals and medical centers in the community, information and referral,  permanency planning and condom distribution. 
 
Its Homelessness Prevention Program aims to prevent eviction through Housing Court representation, tenant/landlord mediation and emergency cash assistance paid directly to landlords or utility providers.  

If relocation is the appropriate alternative, the EHNBAC will secure alternative housing placement for families where eviction cannot be avoided.","N",,"N","N","N","N","N","N","Y","N","N","N","N","Y","Y","Y","N","N","N","N","N","N","Y",,"N","N","N","N","N","N","Y",,"N","Published","(40.801647, -73.935017)","MANHATTAN","40.801647","-73.935017","11","8","194","1054629","1017870080","East Harlem North                                                          ","240 East 123rd Street, Third Floor",,"New York","10035"
"Edwin Gould Services for Children and Families","Y","Y","Y","N","N","2124373598","2124373500","http://www.egscf.org","N","Edwin Gould Services for Children and Families is a nonprofit organization recognized for providing child welfare, domestic violence and social services to thousands of ""at risk"" children, adolescents and families in New York City.","N",,"N","N","N","N","Y","N","Y","Y","N","N","N","N","N","N","N","N","Y","N","N","N","Y",,"Y","N","N","N","N","N","Y",,"N","Published","(40.708356, -74.014814)","MANHATTAN","40.708356","-74.014814","1","1","13","1088750","1000557501","Battery Park City-Lower Manhattan                                          ","40 Rector Street, 12th Floor",,"New York","10006"
"Lower Eastside Service Center/Outreach Program","N","N","Y","N","N","2127325224","2125665372","http://www.lesc.org/","N","free mental health services for undocumented Hispanic and Chinese speaking immigrants for six months","N",,"N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published","(40.707116, -74.007329)","MANHATTAN","40.707116","-74.007329","1","1","7","1001015","1000420031","Battery Park City-Lower Manhattan                                          ","80 Maiden Lane (2nd floor)",,"New York","10038"
"THE BROTHERHOOD/SISTER SOL","N","N","Y","N","N","2122833700","2122837044","http://www.brotherhood-sistersol.org","N","The Brotherhood/Sister Sol offers a safe space full of resources and love for 200 Black and Latina/o youth, ages 6-18, to speak their minds, acquire knowledge and skills, explore their identity and beliefs, and receive support to make their dreams reality. Our programs and activities - mentoring, leadership development, international study, academic tutoring, internships, community service, job training, writing collective, youth organizing - provide these young people with the knowledge and skills necessary to understand and overcome the negative pressures of poverty, racism, drugs, and violence.","N",,"N","N","Y","N","Y","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published","(40.824482, -73.949867)","MANHATTAN","40.824482","-73.949867","9","7","229","1061865","1020740047","Hamilton Heights                                                           ","512 WEST 143 STREET",,"NEW YORK","10031"
"Wyckoff Heights Medical Center - Rape Crisis","Y","N","N","N","N",,"7189063857","http://www.wyckoffhospital.org","N","The Rape Crisis Program offers individual, group, and phone counseling to survivors of rape, sexual assault, and sexual abuse ages 13 and older. Services are also offered to to the families of survivors. Other services offered include the provision of information and referrals, crisis counseling by trained rape crisis advocates in the Emergency Department, preventive educational worshops, and trainings for professional groups.","N",,"N","N","N","N","Y","N","Y","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published","(40.704636, -73.917699)","BROOKLYN ","40.704636","-73.917699","4","37","443","3074262","3032600001","Bushwick North                                                             ","374 Stockholm Street, Social Work Dept. RM 1-38",,"Brooklyn","11237"
"The Young Women's Christian Association (YWCA) of Queens","Y","Y","Y","Y","N",,"7183534553","http://www.ywcaqueens.org","N","The Young Women’s Christian Association (YWCA) of Queens is a community resource and education based organization providing multi-generational and culturally competent services for the immigrant and low-income families since 1978.

Each year, it serves over 11,000 families from the NYC through programs and services including the following:

 

Center for Children:

-  Universal pre-kindergarten

-  After School

-  Literacy Festival

 

Center for Youth Development: 

- General Educational Development (GED) class (YW-Access)

- YW-Excel (GED preparation program)

- Leadership Employment Academic Development (L.E.A.D.): workforce development program  

- Project C.I.T.Y. (Community Involvement Through the YWCA of Queens Volunteer Program)

 

Center for Adults:

-  English for Speakers of Other Languages (ESOL) / Civics 

-  Women's job training / readiness program

-  Recreational / Educational activities

 

Y Evergreen Care (now licensed as a homecare agency by the New York State Department of Health)","N",,"Y","N","Y","N","Y","N","Y","N","N","Y","Y","N","N","N","Y","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published","(40.757857, -73.819077)","QUEENS   ","40.757857","-73.819077","7","20","861","4583346","4053750006","East Flushing                                                              ","42-07 Parsons Blvd",,"Flushing","11355"
"Safe Horizon Queens Community Program","N","N","N","Y","N",,"7188991233","http://www.safehorizon.org","N","The Queens Community Program provides the following services to survivors of domestic violence, sexual assault and other crimes: individual and group counseling, information and referrals to other allied health agencies, court accompaniment, advocacy on the client’s behalf with the criminal justice system, and Crime Victims Board assistance. In addition, survivor will be met at any of the emergency departments during work hours, if requested and available, if the hospital social worker is not able to meet with the survivor.  All services are free and confidential. Adolescents can receive counseling services from the ages of 13+ without parental consent.","N",,"N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","Y",,"N","N","N","N","N","N","Y",,"N","Published","(40.748992, -73.891561)","QUEENS   ","40.748992","-73.891561","3","25","289","4029563","4012740035","Jackson Heights                                                            ","74-09 37th Ave, Room 412,",,"Jackson Heights","11372"
"Amethyst House","Y","N","N","N","N","7188561103","7188561100",,"Y","Amethyst House is a Halfway House for adult women in recovery from alcohol and substance. Candidates for admission must have 30 days clean and recently completed an inpatient rehabilitation stay. Amethyst House provides a structured, supportive, nurturing environment where women can begin to feel safe in addressing their traumas and other issues that fueled their addiction. Many services vital to recovery are provided to residents by our Resident Managers, Therapeutic Recreation Therapist and Parenting Coordinator (for our women who have children) including assistance with structure, self expression, issues of codependency, prioritization and compliance. All residents also attend an intensive outpatient treatment program where they may benefit from group and individual counseling and vocational and housing support. We provide a comprehensive program for women who are ready to make a commitment to their recovey.","N",,"N","N","N","N","N","N","Y","Y","N","N","N","Y","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published","(40.640688, -73.938903)","BROOKLYN ","40.640688","-73.938903","17","45","834","3112625","3049730016","East Flatbush-Farragut                                                     ","604 East 40th Street",,"Brooklyn","11203"
"Community Healthcare Network","Y","Y","Y","Y","N",,"2125452400","http://www.chnnyc.org","N","Community Healthcare Network provides comprehensive, culturally competent primary care, mental health and social services to diverse populations in underserved communities throughout New York City. CHN serves more than 65,000 individuals a year who would otherwise have little or no access to critical health care. CHN is composed of 10 federally qualified health centers and is accredited by the Joint Commission.","N",,"N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published","(40.744096, -73.985619)","MANHATTAN","40.744096","-73.985619","5","2","74","1016900","1008580022","Midtown-Midtown South                                                      ","79 Madison Ave",,"New York","10016"
"The Salvation Army","Y","Y","Y","Y","Y",,"2123377200","http://www.use.salvationarmy.org/gnyd","N","The Salvation Army is an international, faith-based charitable organization with a simple mission: to help those in need without discrimination.","Y","Beacon, East Northport, Freeport, Hempstead, Kingston, Middletown, Newburgh, New Rochelle, Peekskill,   Port Chester,  Port Jervis,  Poughkeepsie, Riverhead, Spring Valley, Suffern, Tarrytown, Westbury, White Plains, Yonkers","Y","N","N","N","Y","N","Y","Y","N","N","N","N","N","Y","N","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published","(40.737704, -73.997676)","MANHATTAN","40.737704","-73.997676","2","3","71","1010639","1006090023","West Village                                                               ","120 West 14th Street",,"New York","10011"
"CASES: GirlRising","Y","Y","Y","Y","Y",,"2127320076","http://www.cases.org","N","The mission of CASES is to increase the understanding and use of community sanctions that are fair, affordable, and consistent with public safety. GirlRising is New York City's first non-residential alternative-to-incarceration program designed specifically to meet the unique needs of young women in the criminal justice system. GirlRising provides the services, structure and support court-involved young women need to make responsible choices and avoid future criminal justice system involvement. GirlRising participants receive core program services, including education advocacy and support, social work, art therapy, arts and skills classes, health instruction, experiential learning and adventure based education. GirlRising participants may also engage in intensive workforce development and leadership training.","N",,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published","(40.716696, -74.004163)","MANHATTAN","40.716696","-74.004163","1","1","31","1001835","1001700006","SoHo-TriBeCa-Civic Center-Little Italy                                     ","346 Broadway",,"New York","10013"
"International Center in New York","N","N","Y","N","N","2122550177","2122559555","http://www.intlcenter.org","N","Offers one-to-one Partnership Program, a variety of discussion and lecture classes, structured eight to ten week English courses. Practical skills training workshops, and cultural programs that help members build new lives in the United States.",,,"N","N","N","N","N","N","N","N","N","Y","N","N","N","N","Y","N","N","N","N","N","N",,"N","N","N","N","N","N","Y",,"N","Published","(40.742222, -73.991195)","MANHATTAN","40.742222","-73.991195","5","3","58","1080667","1008240015","Hudson Yards-Chelsea-Flatiron-Union Square                                 ","50 West 23rd Street, 7th Floor",,"New York","10010"
