"program_type","program","site_name","borough_community","agency","contact_number","grade_level_age_group","location_1","latitude","longitude","community_board","community_council","census_tract","bin","bbl","nta","postcode"
"Reading & Writing,NDA Programs,Family Literacy","Adolescent Literacy","I.S.168 - Parsons School ","Queens","The Child Center of NY","718.458.4243 ext. 205","grades 6 to 8","158 40 76th Road
Queens, NEW YORK 11366
(40.728164407262, -73.792268173937)","40.724458","-73.810216","8","24","1257","4147847","4068260001","Kew Gardens Hills                                                          ","11366"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","JHS 259 WILLIAM MCKINLEY (K259)","Brooklyn","Elmhurst Jackson Heights Senior Center","(212) 652-2812","Middle School","7301 FT HAMILTON PARKWAY
Brooklyn, NEW YORK 11228
(40.626732548243, -74.015007520944)","40.626694","-74.015098","10","43","206","3148031","3059230001","Dyker Heights                                                              ","11228"
"Family Support,NDA Programs","Healthy Families","Make the Road New York","Queens","RAIN Boston Secor Senior Center","(347) 243-7249",,"92 10 Roosevelt Avenue
Queens, NEW YORK 11372
(40.751630739367, -73.883612545283)","40.748623","-73.874487","4","21","469","4038783","4015500020","Elmhurst                                                                   ","11372"
"Family Support,NDA Programs","Healthy Families","Columbus -Amsterdam Business Improvement District","New York","Shorefront Jewish Community Council","(212) 362-3662",,"991 Amsterdam Avenue
New York, NEW YORK 10024
(40.790834451346, -73.972678825858)","40.802079","-73.964501","7","7","193","1056031","1018630063","Morningside Heights                                                        ","10025"
"NDA Programs,Immigration Services,Immigrant Support Services"," Immigrant","Make the Road New York","Queens","Hebrew Educational Society","(347) 243-7249","Adults","92 10 Roosevelt Avenue
Queens, NEW YORK 11372
(40.751630739367, -73.883612545283)","40.748623","-73.874487","4","21","469","4038783","4015500020","Elmhurst                                                                   ","11372"
"Immigration Services,Immigrant Support Services","Legal Services - Immigrant Youth","Peter Cicchino Youth Project (PCYP)","Manhattan","Urban Justice Center","646-602-5633","20-May","123 William Street
Manhattan, NEW YORK 10038
(40.709091224585, -74.006906978693)","40.709112","-74.006889","1","1","1502","1079063","1000780004","Battery Park City-Lower Manhattan                                          ","10038"
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED"," Adult Literacy","St. Nicholas NPC/Williamsburg Works","Brooklyn","St Nicholas NPC - Williamsburg Works","(718) 302-2057 x 204","16+","545 Broadway
Brooklyn, NEW YORK 11206
(40.704933618362, -73.949262532429)","40.704937","-73.949311","1","34","491","3071328","3030760006","East Williamsburg                                                          ","11206"
"Family Support,NDA Programs"," Housing","South Brooklyn Legal Services, Inc.","Brooklyn","INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS (K524)","(718) 237-5500","Adults","105 Court Street
Brooklyn, NEW YORK 11201
(40.690833583027, -73.991778268891)","40.690793","-73.991825","2","33","9","3002702","3002710023","Brooklyn Heights-Cobble Hill                                               ","11201"
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","NEW YORK HARBOR SCHOOL (K551)","Brooklyn","Citizens Advice","(212) 748-8594"," High School","400 IRVING AVENUE
Brooklyn, NEW YORK 11237
(40.696979465677, -73.910844454666)","40.69697","-73.910791","4","37","435","3076908","3033650098","Bushwick North                                                             ","11237"
"Reading & Writing,NDA Programs,Family Literacy","Family Literacy","Queens Library","Queens","Queens Borough Public Library (Central)","718-784-2112","A parent 16 Years Old or Older ","35 32 21 Street
Queens, NEW YORK 11106
(40.761699790013, -73.931663252957)","40.760934","-73.935801","1","26","43","4430693","4003320002","Queensbridge-Ravenswood-Long Island City                                   ","11106"
"Immigration Services,Immigrant Support Services","Immigrant/Refugee Assistance","Make the Road New York-Jackson Heights Center","Queens","Make the Road New York","718.565.8500","ESOL/Civics","71 24 Roosevelt Avenue
Queens, NEW YORK 11372
(40.751630739367, -73.883612545283)","40.746551","-73.894199","4","25","265","4459321","4013030009","Elmhurst-Maspeth                                                           ","11372"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","JHS 142 JOHN PHILIP SOUSA (X142)","Bronx","Healthy Families","(347) 417-8120","Middle School","3750 BAYCHESTER AVENUE
Bronx, NEW YORK 10466
(40.885545535264, -73.840757207501)","40.884953","-73.840524","12","12","484","2066190","2049350001","Eastchester-Edenwald-Baychester                                            ","10466"
"Immigration Services,Immigrant Support Services","Domestic Violence Program","Jewish Board of Family and Children Services (JBFCS)-Genesis","Manhattan","New York Legal Assistance Group (NYLAG)","212.613.5098","Adult","594 Manhattan
NEW YORK,  10018
(40.756840774582, -73.996691499813)",,,,,,,,,
"NDA Programs,Senior Programs,Older Adult Program","Seniors","O'Dwyer Gardens","Brooklyn","Los Sures","(800) 624-8474","Seniors","2959 33rd Street
Brooklyn, NEW YORK 11224
(40.573749149475, -73.999330841088)",,,,,,,,,
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","The Urban Assembly School for Law and Justice","Brooklyn","School for Democracy and Leadership","(212) 362-4020"," High School","283 Adams Street
Brooklyn, NEW YORK 11201
(40.694989405404, -73.988588157463)","40.694682","-73.988853","2","33","11","3331741","3001400010","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ","11201"
"Family Support,NDA Programs"," Housing","Queens Community in Jackson Heights","Queens","Agnes Y. Humphrey School for Leadership 27 (K027)","(718) 592-5757","Adults","74 09 37th Avenue
Queens, NEW YORK 11372
(40.751630739367, -73.883612545283)","40.748992","-73.891561","3","25","289","4029563","4012740035","Jackson Heights                                                            ","11372"
"Family Support,NDA Programs","Healthy Families","Grand Street Settlement","New York","Project Hopitality","(646) 201-4288",,"80 Pitt Street
New York, NEW YORK 10002
(40.718892797837, -73.982159024877)","40.718328","-73.98245","3","2","2201","1084357","1003380001","Lower East Side                                                            ","10002"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy,Adult Basic Education,ABE/GED"," Adult Literacy","CAMBA","Brooklyn","CAMBA","(718) 940-1737 x 424","16+","885 Flatbush Avenue
Brooklyn, NEW YORK 11226
(40.6503755945, -73.958664777259)","40.650229","-73.958658","14","40","794","3117223","3051030028","Erasmus                                                                    ","11226"
"NDA Programs,Senior Programs,Older Adult Program","Seniors","IPR/HE Brooklyn Caregivers","Brooklyn","Khalil Gibran International Academy","(212) 677-4181","Seniors","1368 Fulton St
Brooklyn, NEW YORK 11216
(40.680167097693, -73.94592248315)","40.680175","-73.945717","3","36","247","3053786","3018620014","Crown Heights North                                                        ","11216"
"Family Support,NDA Programs","Healthy Families","Central Brooklyn Economic Development Corporation","Brooklyn","Northern Manhattan Improvement Corporation","(718) 498-4513",,"444 Thomas
Brooklyn, NEW YORK 11212
(40.662797169953, -73.912984894337)",,,,,,,,,
"Reading & Writing,NDA Programs,Family Literacy","Family Literacy","Southeast Bronx Neighborhood Centers, Inc.","Bronx","Southeast Bronx Neighborhood Center, Inc. (SEBNC)","718-542-2727","A parent 16 Years Old or Older ","955 Tinton Avenue
Bronx, NEW YORK 10456
(40.823097254176, -73.903034140456)","40.823096","-73.902991","3","16","133","2091964","2026390001","Morrisania-Melrose                                                         ","10456"
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED"," Adult Literacy","The Jewish Community Center of Staten Island","Staten Island","The Jewish Community Center of Staten Island","(718) 508-3881","16+","1297 Arthur Kill Road Staten Island
NEW YORK,  10312
(40.565263465624, -74.184003351052)","40.565262","-74.183882","3","51","228","5077603","5059000105","New Springville-Bloomfield-Travis                                          ","10312"
"Immigration Services,Immigrant Support Services","Legal Assistance Program","Family Justice Center","Brooklyn","Sanctuary for Families","212-349-6009","All Ages","350 Jay Street
Brooklyn, NEW YORK 11201
(40.69351957616, -73.987264420018)","40.693524","-73.987249","2","33","11","3000259","3001407501","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ","11201"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Agudath Israel of America Community Services, Inc.","New York","Agudath Israel of America Community Services, Inc.","(212) 809-5935 x 104","16+","225 Broadway
New York, NEW YORK 10007
(40.711843149995, -74.008228982076)","40.71187","-74.008217","1","1","21","1001241","1000880018","SoHo-TriBeCa-Civic Center-Little Italy                                     ","10007"
"NDA Programs,Senior Programs,Older Adult Program","Seniors","Neighborhood SHOPP Casa Boricua Senior Center","Bronx","Bronx Family Center","(718) 542-0006","Seniors","910 172nd Street
Bronx, NEW YORK 10460
(40.834189221174, -73.89020092304)",,,,,,,,,
"Family Support,NDA Programs","Fatherhood Initiative","Oberia Dempsey Center ","New York ","The Northern Manhattan Perinatal Partnership Inc.","212.665.2600","16 to 24","127 127th
New York, NEW YORK 10027
(40.809438819236, -73.945341926389)",,,,,,,,,
"Family Support,NDA Programs","Health Stat","Make the Road New York","Staten Island","Make the Road New York","(347) 547-5133","All Ages","479 Port Richmond Ave Staten Island
NEW YORK,  10302
(40.630934529097, -74.139014649681)","40.630818","-74.139187","1","49","213","5024824","5010490005","Port Richmond                                                              ","10302"
"Family Support,NDA Programs"," Housing","Shorefront Jewish Community Council","Brooklyn","Flatbush Development Corporation","(718) 743-0575","Adults","3049 Brighton 6th Street
Brooklyn, NEW YORK 11235
(40.578431288323, -73.961743706863)","40.578435","-73.961751","13","48","362","3397165","3086767501","Brighton Beach                                                             ","11235"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","MOTT HALL IV (K522)","Brooklyn","IS 52","(212) 652-2812","Middle School","1137 HERKIMER STREET
Brooklyn, NEW YORK 11233
(40.677823649732, -73.915831667237)","40.677805","-73.915843","16","41","301","3042157","3015500001","Ocean Hill                                                                 ","11233"
"Family Support,NDA Programs"," Housing","Manhattan Legal Services","New York","Edith and Carl Marks Jewish Community House of Bensonhurst","(646) 442-3142","Adults","55 125 Street
New York, NEW YORK 10027
(40.807279203744, -73.944305172233)",,,,,,,,,
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED"," Adult Literacy","The Jewish Community Center of Staten Island","Staten Island","The Jewish Community Center of Staten Island","(718) 508-3881","16+","475 Victory Boulevard Staten Island
NEW YORK,  10301
(40.630627751644, -74.088519564089)","40.630635","-74.088475","1","49","75","5002887","5001200112","New Brighton-Silver Lake                                                   ","10301"
"Family Support,NDA Programs","Healthy Families","Highbridge Community Life Center Family & Community Services","Bronx","Rego Park Center","(718) 681-2222",,"156 164th Street
Bronx, NEW YORK 10452
(40.829685086001, -73.921402292366)",,,,,,,,,
"Family Support,NDA Programs","Healthy Families","Future Now at Bronx Community College","Bronx","Neighborhood Association for Inter-Cultural Affairs","(718) 538-3344",,"1075 Grand
Bronx, NEW YORK 10452
(40.837724263364, -73.923332211412)",,,,,,,,,
"Family Support,NDA Programs"," Housing","Queens Community House","Queens","FAC Center for Community Development","(718) 592-5757","Adults","108 25 62nd Drive
Queens, NEW YORK 11375
(40.72070726303, -73.846284296083)","40.73591","-73.850212","6","29","745","4432108","4021590002","Forest Hills                                                               ","11375"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Davidson Community Center","Bronx","Citizens Advice Bureau","(718) 508-3132","16+","2038 Davidson Avenue
Bronx, NEW YORK 10453
(40.853748378517, -73.908539967339)","40.853537","-73.908741","5","14","243","2008399","2028630028","University Heights-Morris Heights                                          ","10453"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Catholic Charities Neighborhood Services","Astoria","Catholic Charities Neighborhood Services","(718) 726-9790 x 128","16+","23 40 Astoria Boulevard
Astoria, NEW YORK 11102
(40.771524024514, -73.926435450735)","40.771582","-73.92375","1","22","69","4439576","4005420008","Old Astoria                                                                ","11102"
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","Grace Dodge Technical High School","Bronx","Lt. Joseph P. Kennedy, Jr. Memorial Community Center","(212) 575-7681"," High School","2474 Crotona Avenue
Bronx, NEW YORK 10458
(40.855980373909, -73.882553507192)","40.855698","-73.882715","6","15","393","2012887","2031040007","Belmont                                                                    ","10458"
"Reading & Writing,NDA Programs,English Language Program,Family Literacy,Adult Basic Education,ABE/GED"," Adult Literacy","IS 8 - R. S. Grossley Junior High School","Jamaica","SQPA-NY Southern Queens Park Association NY","(718) 276-4630","16+","108 35 167th Street
Jamaica, NEW YORK 11432
(40.71311535449, -73.792820999789)","40.69719","-73.787192","12","27","258","4216655","4101780001","South Jamaica                                                              ","11433"
"Family Support,NDA Programs","Health Stat","Make the Road New York","Brooklyn","Make the Road New York","(718) 418-7690","All Ages","301 Grove St
Brooklyn, NEW YORK 11237
(40.698428502523, -73.915623474994)","40.698448","-73.915629","4","37","433","3075926","3033170041","Bushwick North                                                             ","11237"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Chinese American Planning Council","New York","Chinese American Planning Council","(212) 941-0041 x 302","16+","220 Church Street
New York, NEW YORK 10013
(40.71698884234, -74.006380099985)","40.71683","-74.006454","1","1","33","1001622","1001480015","SoHo-TriBeCa-Civic Center-Little Italy                                     ","10013"
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","Manhattan Center for Science and Mathematics","New York","Far Rockaway High School","(212) 284-4587"," High School","280 Pleasant Avenue
New York, NEW YORK 10029
(40.794804224554, -73.933301037421)","40.794476","-73.933565","11","8","178","1053152","1017130001","East Harlem North                                                          ","10029"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","Flatbush Development Corporation","Brooklyn","Jacob Riis Neighborhood Settlement House","(718) 859-3800","Middle School","1616 Newkirk Avenue
Brooklyn, NEW YORK 11226
(40.63599627408, -73.962302128878)","40.63604","-73.962241","14","40","518","3121203","3052370006","Flatbush                                                                   ","11226"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Jewish Community Council of Greater Coney Island, Inc.","Brooklyn","Jewish Community Council of Greater Coney Island, Inc.","(718) 449-5000 x 2237","16+","8635 21st Avenue
Brooklyn, NEW YORK 11214
(40.602534293267, -73.996780438871)","40.602524","-73.996827","11","47","290","3166996","3063780019","Bensonhurst West                                                           ","11214"
"NDA Programs,Senior Programs,Older Adult Program","Seniors","RAIN Boston Secor Senior Center","Bronx","WEME/Mainstream Meals-on-Wheels","(718) 829-5520","Seniors","3450 Bivona Street
Bronx, NEW YORK 10475
(40.882386465793, -73.832926027258)","40.882167","-73.832658","12","12","46202",,,"Co-op City                                                                 ","10475"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Catholic Charities Neighborhood Services","Astoria","Catholic Charities Neighborhood Services","(718) 726-9790 x 128","16+","9 18 27th Avenue
Astoria, NEW YORK 11102
(40.771524024514, -73.926435450735)","40.77381","-73.930535","1","22","83","4005573","4005100006","Old Astoria                                                                ","11102"
"Immigration Services,Immigrant Support Services","Services - Immigrant Families","Big Brothers/Big Sisters, Inc. (Activity Site)","Bronx","Big Brothers/Big Sisters, Inc.","212.994.7742","14-Nov","555 Bergen Avenue
Bronx, NEW YORK 10455
(40.815944415254, -73.916415911483)","40.815959","-73.916354","1","17","71","2097027","2022940002","Melrose South-Mott Haven North                                             ","10455"
"Family Support,NDA Programs","Health Stat","Asian Americans for Equality","Queens","Asian Americans for Equality","(718)961-0888","All Ages","133 04 39th Ave
Queens, NEW YORK 11354
(40.768620220647, -73.827190280707)","40.75909","-73.834194","7","20","871","4112274","4049730006","Flushing                                                                   ","11354"
"Reading & Writing,NDA Programs,Family Literacy","Family Literacy","Public School 105 - Blythebourne School","Brooklyn","Brooklyn Chinese American Association","718-438-0008","A parent 16 Years Old or Older ","1031 59th Street
Brooklyn, NEW YORK 11219
(40.63300376502, -74.003813362768)","40.632936","-74.00374","12","38","214","3140612","3057020001","Borough Park                                                               ","11219"
"NDA Programs,Senior Programs,Older Adult Program","Seniors","Council of Jewish Orgainzations of Flatbush, Inc.","Brooklyn","St. Johns University","(718) 377-2900","Seniors","1550 Coney Island
Brooklyn, NEW YORK 11230
(40.621929510239, -73.965511060187)",,,,,,,,,
"Immigration Services,Immigrant Support Services","Legal Assistance Program","Crown Heights Community Mediation","Brooklyn","The Legal Aid Society","212-577-3292 ","All Ages","256 Kingston Avenue
Brooklyn, NEW YORK 11213
(40.670799258574, -73.942093182549)","40.6708","-73.942077","8","35","339","3032463","3012570074","Crown Heights North                                                        ","11213"
"Immigration Services,Immigrant Support Services","Domestic Violence Program","New York Legal Assistance Group (NYLAG)","Manhattan","New York Legal Assistance Group (NYLAG)","212.613.5000","All Ages","450 33rd St
Manhattan, NEW YORK 10001
(40.75347794566, -73.998646928717)",,,,,,,,,
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy,Adult Basic Education,ABE/GED"," Adult Literacy","SoBRO","New York","SoBRO","(718) 292-3113 x 7611","16+","361 125th Street
New York, NEW YORK 10027
(40.811002396946, -73.953145507781)",,,,,,,,,
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","Castle Hill School (JHS 127)","Bronx","SHoP Architects","(212) 652-2812","Middle School","1560 Purdy Street
Bronx, NEW YORK 10462
(40.838014740567, -73.853519833648)","40.837931","-73.853524","9","18","222","2041247","2039480055","Parkchester                                                                ","10462"
"Family Support,NDA Programs","Healthy Families","Project Hopitality","Staten Island","Ridgewood Bushwick Youth Center","(718) 448-1544",,"514 Bay Street Staten Island
NEW YORK,  10304
(40.629455779272, -74.076662437024)","40.629461","-74.076643","1","49","21","5013424","5005110003","Stapleton-Rosebank                                                         ","10304"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Chinese American Planning Council","Brooklyn","Chinese American Planning Council","(212) 941-0041 x 302","16+","4101 8th Avenue
Brooklyn, NEW YORK 11232
(40.646131503325, -73.998442705929)","40.64607","-73.998544","12","38","92","3018218","3009230009","Sunset Park East                                                           ","11232"
"Reading & Writing,NDA Programs,Family Literacy","Adolescent Literacy","M.S. 368- IN-Tech Academy","Bronx","Creative Arts Team/CUNY","212.652.2800","grades 6 to 8","Tibbett Avenue Bronx NEW YORK
,  10463
(40.878349575397, -73.911281609715)",,,,,,,,,
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Flatbush YMCA","Brooklyn","YMCA of Greater New York / ELESAIR","(212) 875-4336","16+","1401 Flatbush Avenue
Brooklyn, NEW YORK 11210
(40.636590672567, -73.951602593108)","40.636511","-73.951539","14","45","788","3120877","3052280008","Flatbush                                                                   ","11210"
"NDA Programs,Senior Programs,Older Adult Program","Seniors","Jaime Towers","Bronx","David Ruggles I.S. 258","(718) 542-0006","Seniors","2050 Seward Avenue
Bronx, NEW YORK 10473
(40.820490158387, -73.853089936926)","40.820502","-73.853085","9","18","74","2092668","2035670001","Soundview-Castle Hill-Clason Point-Harding Park                            ","10473"
"Family Support,NDA Programs","Healthy Families","Phipps Opportunity Center","Bronx","PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL (K507)","(212) 243-9090",,"3125 Third Avenue
Bronx, NEW YORK 10451
(40.822057811069, -73.911764964498)","40.821959","-73.911877","1","17","69","2000000","2023800051","Melrose South-Mott Haven North                                             ","10451"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","IS 52 - Inwood Junior High School","New York","Inwood Community Services, Inc.","(212) 942-0043 x 126","16+","650 Academy Street
New York, NEW YORK 10034
(40.865994377311, -73.924838060236)","40.866053","-73.924835","12","10","291","1076776","1022330020","Marble Hill-Inwood                                                         ","10034"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Catholic Charities Neighborhood Services","Corona","Catholic Charities Neighborhood Services","(718) 726-9790 x 128","16+","35 33 104th Street
Corona, NEW YORK 11368
(40.749678220374, -73.853040688577)","40.75468","-73.864138","3","21","379","4437217","4017460027","North Corona                                                               ","11368"
"Family Support,NDA Programs","Healthy Families","Jacob Riis Neighborhood Settlement House","Queens","Red Hook Initiative","(718) 784-7447",,"10 25 41st Avenue
Queens, NEW YORK 11101
(40.745702449808, -73.938669029252)","40.755488","-73.945328","1","26","25","4433386","4004700100","Queensbridge-Ravenswood-Long Island City                                   ","11101"
"Reading & Writing,NDA Programs,Family Literacy","Family Literacy","Public School 149 - Christa Mcauliffe","Queens","Goodwill Industries of Greater New York","718-426-0888","A parent 16 Years Old or Older ","93 11 34th Avenue
Queens, NEW YORK 11372
(40.751630739367, -73.883612545283)","40.754837","-73.874605","3","25","273","4035441","4014410015","Jackson Heights                                                            ","11372"
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS (K524)","Brooklyn","Park Slope Women's Shelter","(212) 226-2116"," High School","883 CLASSON AVENUE
Brooklyn, NEW YORK 11225
(40.670458657699, -73.961628275734)","40.670349","-73.961695","9","35","213","3029686","3011870001","Crown Heights South                                                        ","11225"
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","Red Hook Initiative","Brooklyn","Morrisania Revitalization Corporation","(718) 858-6782","Middle School","595 Clinton Street
Brooklyn, NEW YORK 11231
(40.675068096986, -74.001585560798)","40.675091","-74.001676","6","38","53","3008517","3005520005","Carroll Gardens-Columbia Street-Red Hook                                   ","11231"
"NDA Programs,Senior Programs,Older Adult Program","Seniors","Sedgwick Houses","Bronx","The Friends of Crown Heights Educational Centers, Inc.","(718) 542-0006","Seniors","1553 University Avenue
Bronx, NEW YORK 10453
(40.846198715707, -73.921690422482)","40.846111","-73.921662","5","16","20501","2092105","2028770001","University Heights-Morris Heights                                          ","10453"
"Family Support,NDA Programs","Healthy Families","Yeled V Yalda Community Center","Brooklyn","Office of Senator Kruger","(718) 686-3700",,"1312 38 Street
Brooklyn, NEW YORK 11218
(40.640984296943, -73.985411572333)","40.640868","-73.985194","12","39","226","3123349","3052990011","Borough Park                                                               ","11218"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Opportunities for a Better Tomorrow","Brooklyn","Opportunities for a Better Tomorrow","(718) 369-0303","16+","25 Thornton Street
Brooklyn, NEW YORK 11206
(40.700912589288, -73.943900574878)","40.701018","-73.943699","1","33","507","3061498","3022750021","Bedford                                                                    ","11206"
"NDA Programs,Immigration Services,Immigrant Support Services"," Immigrant","Citizens Advice Bureau","Bronx","Baruch Houses (Senior Building)","(718) 293-0727","Adults","1130 Grand
Bronx, NEW YORK 10453
(40.852786838342, -73.913426784319)",,,,,,,,,
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","New Horizons Adullt Education Program","Brooklyn","Citizen","(718) 455-1166"," High School","75 lewis Avenue
Brooklyn, NEW YORK 11206
(40.695007999414, -73.937422302529)","40.694962","-73.937422","3","36","287","3379533","3015920001","Stuyvesant Heights                                                         ","11206"
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","Community Mediation Services","Queens","Brooklyn Housing & Family Services","(718) 523-6868"," High School","89 64 163rd Street
Queens, NEW YORK 11432
(40.71311535449, -73.792820999789)","40.70664","-73.798033","12","24","44601","4208888","4097610080","Jamaica                                                                    ","11432"
"Immigration Services,Immigrant Support Services","Domestic Violence Program","Mercy Center","Bronx","New York Legal Assistance Group (NYLAG)","212-613-5000","All Ages","377 145th St
Bronx, NEW YORK 10454
(40.813855830175, -73.92035529273)",,,,,,,,,
"Immigration Services,Immigrant Support Services","Legal Assistance Program","Washington Heights Ecumenical Food Pantry (WHEFP)","Manhattan","Catholic Charities Community Service, Archdiocese of N Y","212-419-3700","All Ages","4111 Broadway
Manhattan, NEW YORK 10033
(40.84516033875, -73.938788841624)","40.845128","-73.938763","12","10","263","1063501","1021420133","Washington Heights South                                                   ","10033"
"Immigration Services,Immigrant Support Services","Immigrant/Refugee Assistance","Make the Road New York ","Queens","Make the Road New York","718.565.8500","ESOL/Civics","49 06 Skillman Avenue
Queens, NEW YORK 11377
(40.745193764481, -73.90484714408)","40.74622","-73.915056","2","26","25301","4001161","4001340027","Hunters Point-Sunnyside-West Maspeth                                       ","11377"
"Family Support,NDA Programs"," Housing","Jay Harama Senior Center","Brooklyn","Harlem Justice Center","(718) 743-0575","Adults","2600 Ocean Avenue
Brooklyn, NEW YORK 11229
(40.598089925354, -73.951269838066)","40.598158","-73.951186","15","48","578","3199766","3073520032","Madison                                                                    ","11229"
"Reading & Writing,NDA Programs,Family Literacy","Family Literacy","Public School 115 - Alexander Humboldt School","New York","Northern Manhattan Improvement Corporation","212-453-5397","A parent 16 Years Old or Older ","586 177th Street
New York, NEW YORK 10033
(40.84641769846, -73.934871284146)",,,,,,,,,
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","Bronx River Art Center","Bronx","Highbridge Community Life Center Family & Community Services","(718) 589-5819","Middle School","1087 Tremont Avenue
Bronx, NEW YORK 10460
(40.84006972385, -73.877718053393)",,,,,,,,,
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","P.S. 503/506","Brooklyn","Citizens Advice Bureau","(718) 788-3500"," High School","330 59th Street
Brooklyn, NEW YORK 11220
(40.642201614799, -74.019175801725)","40.642121","-74.018997","7","38","74","3016258","3008620012","Sunset Park West                                                           ","11220"
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy"," Adult Literacy","Lutheran Family Health Centers Adult & Family Education","Brooklyn","Lutheran Family Health Centers Adult & Family Education","(718) 630-7150 x 4070","16+","6025 6th Avenue
Brooklyn, NEW YORK 11220
(40.637992703156, -74.014094988895)","40.637961","-74.014149","7","38","118","3143523","3057840001","Sunset Park East                                                           ","11220"
"Reading & Writing,NDA Programs,Family Literacy","Family Literacy","Phipps Community Education Center","Bronx","Phipps Community Development","718-364-2496","A parent 16 Years Old or Older ","1030 178th Street
Bronx, NEW YORK 10460
(40.841345048101, -73.880303879158)",,,,,,,,,
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support"," Middle School Youth","MS 216","Bronx","Mount Hope Community Center","(718) 732-7523","Middle School","977 Fox Street
Bronx, NEW YORK 10459
(40.822428225918, -73.89392410103)","40.822443","-73.893902","2","17","159","2005660","2027140004","Hunts Point                                                                ","10459"
"Family Support,NDA Programs"," Housing","Staten Island Community Center","New York","Hostos-Lincoln Academy of Science","(212) 371-1011","Adults","120 Anderson Avenue
New York, NEW YORK 10302
(40.634856958287, -74.134310220113)",,,,,,,,,
"After-School Programs,NDA Programs,Youth Educational Support"," High-School Aged Youth","School for Democracy and Leadership","Brooklyn","Brooklyn College Arts Lab","(718) 287-2600"," High School","600 Kingston Avenue
Brooklyn, NEW YORK 11226
(40.658420831267, -73.942427946663)","40.658893","-73.942458","9","40","810","3107227","3048110001","Prospect Lefferts Gardens-Wingate                                          ","11203"
"Immigration Services,Immigrant Support Services","Legal Assistance Program","CAMBA","Brooklyn","CAMBA, Inc.","718-940-6311 ","All Ages","2211 Church Av
Brooklyn, NEW YORK 11226
(40.650446866784, -73.95854532388)","40.650424","-73.958175","14","40","79602","3116881","3050890071","Prospect Lefferts Gardens-Wingate                                          ","11226"
"Immigration Services,Immigrant Support Services","Services - Immigrant Families","Big Brothers/Big Sisters, Inc. (Admin Site)","Manhattan","Big Brothers/Big Sisters, Inc.","212.994.7742","14-Nov","223 30th Street
Manhattan, NEW YORK 10033
(40.856219929206, -73.945859000193)",,,,,,,,,
