"contracting_company","company_representative","representative_phone","representative_email","site_address","block","lot","borough","work_description","keywords","contract_amount","start_date","zip_code","cb","upload_date","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"601W Tenth Owner LLC","Tener Consulting Services","212 337-0120","dtener@tener.net","460 West 34th Street","731","1","Manhattan","Commercial, retail, alteration","fa̤ade, brick, glass, plumbing, electrical, etc.","$120,081,816.00","2019-05-13T00:00:00.000","10001","Manhattan 4","2021-11-26T09:18:50.000","40.754329","-73.998578","4","3","103","1012843","1007310001","Hudson Yards-Chelsea-Flatiron-Union Square"
"Chick-Fil-A, Inc.","Ryan, LLC","412 889-6434","michael.falleroni@ryan.com","144 Fulton Street","79","25","Manhattan","Retail, alteration","demolition, concrete, masonry, arch. Metal & glass, roofing, storefronts, windows, drywall, hvac, tile and stone, elevators, sprinkler, plumbing, etc.","$6,500,000.00","2016-08-15T00:00:00.000","10038","Manhattan 1","2021-11-26T09:18:50.000","40.710577","-74.008466","1","1","1502","1001223","1000790025","Battery Park City-Lower Manhattan"
"RFC 31 Street I LLC","Seiden & Schein PC","212 935-1400","jayseiden@seidenschein.com","21-25 31st Street","831","20","Queens","Commercial, retail, new building","electrical, hvac, plumbing, concrete, etc.","$5,500,000.00","2016-05-01T00:00:00.000","11105","Queens 1","2021-11-26T09:18:50.000","40.777368","-73.909174","1","22","113","4000000","4008310018","Steinway"
"Vornado Two Property LLC, by Vornado Two Penn Plaza LLC, as sole member by Two Penn Plaza TEIT Inc, its member","Podell, Shwartz, Schechter and Banfield LLP","212-883-6518","pgreco@pssb-law.com","2 Penn Plaza","781","9002","Manhattan","Commercial, Alteration, Addition to Existing Space","Demolition; Concrete; Structural Steel; Millwork; Roofing & Waterproofing; Exterior Wall Systems; Drywall/Ceilings; Ceramic tile/Stone; Painting/Wal;covering; Elevators/Escalators; Hoisting/Logistics; Fire Protection; Plumbing; HVAC; and Electrical","$450,000,000.00","2020-02-01T00:00:00.000","10001","Manhattan 5","2021-11-26T09:18:50.000","40.750017","-73.991345","5","3","101","1083026","1007810002","Midtown-Midtown South"
"Abdul Wahid","MGNY Consulting Corp.","718 522-1111","michael@mgnyconsulting.com","8121 21 Ave.","6299","68, 70","Brooklyn","Commercial new building","foundation, steel, electrical","$4,000,000.00","2016-06-01T00:00:00.000","11214","Brooklyn 11","2021-11-26T09:18:50.000",,,,,,,,
"25-30 Columbia Heights (Brooklyn) LLC","Marcus & Pollack LLP","212 490-2900","jmarcus@marcuspollack.com","51-65 Furman Street","204","1","Brooklyn","Commercial, alteration","electrical, carpentry, hvac, plumbing, etc.","$30,000,000.00","2017-05-01T00:00:00.000","11201","Brooklyn 2","2021-11-26T09:18:50.000","40.701709","-73.995438","2","33","1","3426951","3002080002","Brooklyn Heights-Cobble Hill"
"25-30 Columbia Heights (Brooklyn) LLC","Marcus & Pollack LLP","212 490-2900","jmarcus@marcuspollack.com","51-65 Furman Street","208","2","Brooklyn","Commercial, alteration","electrical, carpentry, hvac, plumbing, etc.","$4,000,000.00","2017-05-01T00:00:00.000","11201","Brooklyn 2","2021-11-26T09:18:50.000","40.701709","-73.995438","2","33","1","3426951","3002080002","Brooklyn Heights-Cobble Hill"
"148 Classon LLC","Robert S. Altman Esq. PLLC","212 232-8713","rsalaw@nyctaxbreak.com","148 Classon Avenue","1895","42","Brooklyn","Industrial, commercial alteration","plumbing, electrical, carpentry, etc.","$4,000,000.00","2020-09-01T00:00:00.000","11205","Brooklyn 2","2021-11-26T09:18:50.000","40.695453","-73.961428","2","35","191","3054626","3018950042","Clinton Hill"
"980 Westchester Retail LLC","Tuchman, Korngold, Weiss, Liebman & Lindemann, LLP","212 620-0500","bgottlieb@tkwll.com","980 Westchester Avenue","2714","30","Bronx","Commercial, retail, new building","concrete, masonry, structural steel, metals, carpentry, drywall, roofing, waterproofing, plumbing, HVAC, electrical","$7,800,000.00","2019-07-01T00:00:00.000","10459","Bronx 2","2021-11-26T09:18:50.000","40.823204","-73.894731","2","17","159","2005661","2027140030","Hunts Point"
"1 Madison Office Fee LLC","Tener Consulting Services LLC","212 337-0120","dtener@tener.net","1 Madison Avenue","853","2","Manhattan","Commercial, retail, alteration, addition to existing space","electrical, plumbing, hvac, etc.","$750,000,000.00","2020-08-01T00:00:00.000","10010","Manhattan 5","2021-11-26T09:18:50.000","40.740909","-73.987947","5","2","56","1088749","1008530002","Hudson Yards-Chelsea-Flatiron-Union Square"
"RAR2 - 405 Park LLC","Tener Consulting Services","212 337-0120","dtener@tener.net","405 Park Avenue","1309","1","Manhattan","Commercial, alteration, addition of new space","Hoist, fence, demolition, concrete, foundation, brick fa̤ade, stone, ornamental iron work, carpentry, waterproofing, roofing, fireproofing, doors, frames, hardware, ceramic tile, painting, signage, plumbing, electrical, elevators, hvac, excavation, piles, improvements, bathroom accessories","$107,000,000.00","2019-04-01T00:00:00.000","10022","Manhattan 5","2021-11-26T09:18:50.000","40.759826","-73.972036","5","4","100","1036476","1013090001","Turtle Bay-East Midtown"
"LGR 9th Street LLC;BNC Hospitality LLC","Marcus & Pollack LLP","212 490-2900","jmarcus@marcuspollack.com","38-15 9th Street","475","26","Queens","Commercial, hotel, new building","Concrete, steel, electrical, hvac, plumbing, utilities, etc.","$12,205,400.00","2018-06-01T00:00:00.000","11101","Queens 1","2021-11-26T09:18:50.000","40.758715","-73.943571","1","26","85","4005399","4004750026","Queensbridge-Ravenswood-Long Island City"
"Argonaut Holdings LLC","Jeffrey Golkin Partners","212 393-1200","sgolkin@jeffreygolkinpartners.com","43-40 Northern Boulevard","143","500","Queens","Commercial, new building","excavation, concrere, steel, drywall, carpentry, electrical, hvac","$26,000,000.00","2021-10-01T00:00:00.000","11101","Quenns 1","2021-11-26T09:18:50.000","40.753461","-73.919685","1","26","171","4441943","4001430500","Hunters Point-Sunnyside-West Maspeth"
"Columbia International LLC","MGNY Consulting Corporation","718 522-1112","michael@mgnyconsulting.com","410 West 126 Street","1966","77, 78, 80, 81, 82, 83","Manhattan","Commercial new building","general contractor, electrical, foundation, hvac, plumbing, etc.","$20,000,000.00","2019-05-12T00:00:00.000","10027","Manhattan 9","2021-11-26T09:18:50.000","40.812239","-73.954005","9","7","20901",,,"Morningside Heights"
"SNL XXII LLC","Anthony Como Associates","718 273-3080","acomo@nyrets.com","1426, 1428, 1140, 1145, 1456-60 39th Street","5346","15, 16, 17, 26, 28","Brooklyn","Commercail, new building","GC, concrete, masonry, carpentry, roofing, electrical, plumbing, elevators, metal","$19,000,000.00","2020-02-02T00:00:00.000","11218","Brooklyn 12","2021-11-26T09:18:50.000",,,,,,,,
"TSTY Create LLC","Unger Realty Services, Inc.","718 859-3101","josepha@ungerrealty.com","450 West 126th Street","1966","95","Manhattan","Commercial, new bldg.","hvac, electrical, plumbing, etc.","$100,000,000.00","2018-04-01T00:00:00.000","10027","Manhattan 9","2021-11-26T09:18:50.000","40.813173","-73.954882","9","7","20901","1000000","1019660095","Morningside Heights"
"250 West 49 Assoc. LLC","Seiden & Schein, P.C.","212 593-4545","jayseiden@seidenschein.com","250 West 49th St.","1020","59","Manhattan","Alteration of Building","Foundation, Superstructure concrete, Masonry, Mechanical, Painting, etc.","$25,000,000.00","2015-03-01T00:00:00.000","10019","Manhattan 5","2021-11-26T09:18:50.000","40.761193","-73.985478","5","3","125","1024785","1010200059","Midtown-Midtown South"
"SNL XVII, LLC","Anthony Como Associates","718 273-3080","acomo@nyrets.com","154 17th Street","630","19","Brooklyn","Commercail, new building","GC, concrete, masonry, carpentry, roofing, electrical, plumbing, elevators, metal","$11,500,000.00","2019-02-01T00:00:00.000","11215","Brooklyn 7","2021-11-26T09:18:50.000","40.665525","-73.994308","7","38","143","3008942","3006300019","Park Slope-Gowanus"
"1166 LLC","Marcus & Pollack, LLP","(212) 490-2900","jmarcus@marcuspollack.com","1166 Avenue of the Americas","1261","1010, 1011, 1012, 1013, 1014, 1015, 1016, 1017, 1018, 1019, 1020, 1021, 1022, 1023","Manhattan","Commercial, Alteration","Electrical, Fire Protection, HVAC, Carpentry, Painting, and others to be determined.","$42,000,000.00","2021-02-24T00:00:00.000","10036","Manhattan 5","2021-11-26T09:18:50.000","40.757004","-73.982526","5","4","96","1071414","1012617501","Midtown-Midtown South"
"3530 Wayne LLC","RE Tax Service LLC","718 222-3500","info@retaxservice.com","3530 Wayne Avenue","3344","52, 51, 59","Bronx","Commercial alteration","foundation, steel masonry, waterproofing, windows, roofing, framing, carpentry, mechanical, electric, plumbing, sprinkler, fire alarm, elevator, scaffolding, fireproofing, tile installation, painting, etc.","$10,000,000.00","2019-05-15T00:00:00.000","10467","Bronx 7","2021-11-26T09:18:50.000","40.881144","-73.877444","7","11","431","2018271","2033440052","Norwood"
"5702 Avenue N LLC","Unger Realty Services, Inc.","718-859-3101","josepha@ungerrealty.com","5702 Avenue N","7902","38","Brooklyn","Commercial, new building","Electric, hvac, Plumbing","$3,300,000.00","2018-03-19T00:00:00.000","11234","Brooklyn 18","2021-11-26T09:18:50.000","40.619371","-73.919979","18","46","688","3221332","3079020038","Flatlands"
"160 East 125th Owner LLC","Marcus & Pollack, LLP","212 490-2900","jmarcus@marcuspollack.com","180 East 125th Street","1773","20, 27","Manhattan","Commercial, New Building, Retail","Fa̤ade, HVAC, Electrical, Plumbing, Carpentry, Painting, and others associated with the construction of a new building to be determined.","$135,000,000.00","2020-10-01T00:00:00.000","10035","Manhattan 11","2021-11-26T09:18:50.000","40.803942","-73.936413","11","8","196","1087605","1017730020","East Harlem North"
"1550 Bedford Avenue LLC","Ben Rottenstein Associates","718 855-6110","aj@jackjaffa.com","1550 Bedford Avenue","1266","36","Brooklyn","Retail, Hotel, new building","demolition, carpentry, plumbing, electrical, sprinkler, etc.","$8,750,000.00","2017-04-15T00:00:00.000","11225","Brooklyn 9","2021-11-26T09:18:50.000","40.669754","-73.955412","9","35","325","3000000","3012660036","Crown Heights South"
"President SAI LLC","New York Grant Company","212 227-8283 ext. 709","marsha@nygrants.com","529 President Street","441","53","Brooklyn","Hotel, new building","site work, masonry, piling, concrete, windows, doors, metal, mechanical, fire system","$8,000,000.00","2018-06-01T00:00:00.000","11215","Brooklyn 6","2021-11-26T09:18:50.000","40.677502","-73.985301","6","39","119","3007376","3004410053","Park Slope-Gowanus"
"Herald Towers LLC","Marcus & Pollack LLP","212 490-2900","jmarcus@marcuspollack.com","50 West 34th Street","835","1","Manhattan","Commercial, retail, alteration","plumbing, concrete, hvac, carpentry, electrical, excavation, mechanical","$20,000,000.00","2020-07-01T00:00:00.000","10001","Manhattan 5","2021-11-26T09:18:50.000","40.749360","-73.986773","5","4","76","1015859","1008350001","Midtown-Midtown South"
"CS 119 West 145th Street","Anthony Como Associates","718 273-3080","kgray@nyrets.com","119 West 145th Street","2014","21","Manhattan","Industrial, commercial, new building","concrete, masonry, carpentry, roofing, metal, security, elevators, electrical, plumbing, etc.","$14,400,000.00","2018-12-01T00:00:00.000","10039","Manhattan 10","2021-11-26T09:18:50.000","40.820767","-73.936989","10","9","232","1060187","1020140021","Central Harlem North-Polo Grounds"
"165 Investors LLC","MGNY Consulting Group","(718) 522-1111","michael@mgnyconsulting.com","165-20 Archer Avenue","10155","35","Queens","Commercial, New Building, Hotel","electrical, plumbing, hvac, etc.","$13,000,000.00","2019-07-01T00:00:00.000","11433","Queens 12","2021-11-26T09:18:50.000","40.704140","-73.793510","12","27","444","4216226","4101550035","Jamaica"
"136-25 41 Realty LLC","Law Offices of Thomas E.  Berinato","718 575-3400","tberinato@verizon.net","136-25 41 Avenue","5019","107","Queens","Commercial, retail, new building","electrical, plumbing, hvac, etc.","$3,500,000.00","2019-03-01T00:00:00.000","11355","Queens 7","2021-11-26T09:18:50.000","40.758679","-73.829077","7","20","853","4443439","4050190107","Flushing"
"57 Sheffield LLC","MGNY Consulting Corporation","718 522-1111","michael@mgnyconsulting.com","49-57 Sheffield Avenue","3669","5, 7","Brooklyn","Hotel, new building","electrical, sprinklers, plumbing, windows, elevators, etc.","$5,500,000.00","2020-03-01T00:00:00.000","11207","Brooklyn 5","2021-11-26T09:18:50.000","40.676357","-73.898010","5","37","1198","3000000","3036690005","East New York"
"MIP One Wall St. Acquisition LLC","Marcus & Pollack LLP","212 490-2900","jmarcus@marcuspollack.com","1 Wall St.","23","7","Manhattan","Commercial, retail, hotel","concrete, steel, electrical, carpentry, hvac and plumbing","$30,000,000.00","2016-03-31T00:00:00.000","10005","Manhattan 1","2021-11-26T09:18:50.000","40.707712","-74.011643","1","1","7","1000815","1000237501","Battery Park City-Lower Manhattan"
"45-18 Court Square Owner LLC","Akerman LLP","212 880 3800","wendy.rossi@akerman.com","45-18 Court Square","84","11","Queens","Commercial, Alteration, Addition to Existing Space","General Contractor, Foundation, Concrete, Elevator, Fa̤ade Reconstruction, Electrical, HVAC, Telecommunications infrastructure, drywall, millwork, carpentry, tile, flooring, painting","$120,000,000.00","2019-09-01T00:00:00.000","11101","Queens 2","2021-11-26T09:18:50.000","40.745732","-73.943517","2","26","19","4441059","4000840011","Hunters Point-Sunnyside-West Maspeth"
"Cropsey Partners LLC","SJP Tax Consultants, Inc.","(718) 767-8216","sp@sjpny.com","2286 Cropsey Avenue","6471","109","Brooklyn","New Building, Commercial","electrical, plumbing, hvac, etc.","$8,500,000.00","2015-07-01T00:00:00.000","11214","Brooklyn 11","2021-11-26T09:18:50.000","40.595843","-73.997001","11","43","294","3425955","3064710109","Bensonhurst West"
"Jacob's Ladder Realty, LLC","Tuchman, Korngold, Weiss, Liebman & Lindemann, LLP","212 687-3747","bgottlieb@twkwll.com","3200 Baychester Ave","5223","1","Bronx","Commercial, alteration, addition","electrical, plumbing, hvac, etc.","$6,000,000.00","2019-07-15T00:00:00.000","10475","Bronx 12","2021-11-26T09:18:50.000","40.876960","-73.836309","12","12","46202","2072372","2052230001","Co-op City"
"425 Westchester Fee Owner","MGNY Consulting Group","718 522-1111","michael@mgnyconsulting.com","423 Westchester Avenue","2362","25, 26","Bronx","Commercial renovation","concrete, plumbing, electric, hvac, etc.","$39,000,000.00","2019-06-02T00:00:00.000","10455","Bronx 1","2021-11-26T09:18:50.000","40.816467","-73.916068","1","17","71","2000000","2023620025","Melrose South-Mott Haven North"
"River Terrace 1 LLC","Tuchman Korngold Weiss Leibman & Gelles LLP","212 687-3747","bgottlieb@tkwll.com","1164 River Avenue","2488","1","Bronx","Commercial, new building","shed, scaffold, crane, hoist, excavation, structural steel, foundation, shoring, concrete, ceramic tile, painting, elevator, plumbing, etc.","$15,000,000.00","2019-01-09T00:00:00.000","10452","Bronx 14","2021-11-26T09:18:50.000","40.834696","-73.921889","4","16","197",,,"West Concourse"
"Deco Tower Associates LLC","Tener Consulting Services","212 337-0120","dtener@tener.net","330 West 42nd Street","1032","48","Manhattan","Commercial, retail, alteration","electrical, plumbing, carpentry, etc.","$75,000,000.00","2020-09-15T00:00:00.000","10036","Manhattan 5","2021-11-26T09:18:50.000","40.757661","-73.990832","4","3","115","1024926","1010320048","Clinton"
"1475 Macombs Rd LLC","Tuchman Korngold Weiss Leibman & Gelles LLP","212  687-3747","bgottlieb@twwlg.com","1475 Macombs Road","2857","24","Bronx","Commercial, new building","Excavation, foundation, structure, carpentry, mechanical, electrical, finishes, roofing, windows","$24,150,000.00","2021-06-01T00:00:00.000","10452","Bronx 4","2021-11-26T09:18:50.000","40.842096","-73.917962","4","16","219","2000000","2028570024","Highbridge"
"413 Bond Street LLC","Crescent Consulting","914 788-9244","rdefreitas@thecrescentcompanies.com","413 Bond Street & 148 Third Street","466","60, 17","Brooklyn","New Building, Industrial, Commercial","Pile driving, foundations; superstructure; fa̤ade fabrication & installation; window fabrication & installation; sprinkler & standpipe; plumbing; electrical; fire alarm; mechanical; roofing; painting","$25,000,000.00","2019-12-01T00:00:00.000","11231","Brooklyn 6","2021-11-26T09:18:50.000",,,,,,,,
"280 W 155th ST Owner LLC","Tuchman, Korngold, Weiss, Liebman & Lindemann, LLP","212-599-4459","bgottlieb@tkwll.com","2924 8th Avenue","2040","48","Manhattan","Commercial, new building","steel, framing, HVAC, electrical, plumbing, sprinkler, drywall, painting, flooring, fire alarm, rough carpentry, masonry, concrete, millwork, windows, finishing, insulation, roofing, elevator, asphalt, foundation, excavation, doors, fa̤ade, frames, hardware","$30,000,000.00","2020-04-20T00:00:00.000","10039","Manhattan 10","2021-11-26T09:18:50.000","40.828941","-73.937426","10","9","236","1000000","1020400048","Central Harlem North-Polo Grounds"
"AB Stable LLC","Kramer Levin Naftalis & Frankel, LLP","212 715-7838","msillerman@kramerievin.com","301 Park Avenue","1304","100, 1003","Manhattan","Retail, hotel, alteration","elevator, electrical, hvac, painting, plumbing, concrete, foundation, site work, etc.","$554,008,000.00","2017-04-01T00:00:00.000","10022","Manhattan 5","2021-11-26T09:18:50.000","40.756648","-73.974358","5","4","100","1084771","1013047501","Turtle Bay-East Midtown"
"477 Madison LLC","Tener Consulting Services LLC","212 337-0120","dtener@tener.net","477 Madison Avenue","1287","21","Manhattan","Commercial, Retail, Alteration","hvac, electrical, plumbing, etc.","$20,000,000.00","2019-09-25T00:00:00.000","10022","Manhattan 5","2021-11-26T09:18:50.000","40.758715","-73.974956","5","4","102","1035471","1012870021","Midtown-Midtown South"
"CA 601 West 181 LLC","Lawrence J. Berger, P.C.","212-532-0222","jfriedman@ljbpc.com","1425 St. Nicholas Avenue, New York, NY 10033","2165","1001","Manhattan","Commercial, Retail, Alteration","Carpentry, Concrete, Doors, Demolition, Electrical, Electrical Service, Fire Alarm, Fireproofing, Glass, HVAC Equipment, HVAC Labor, Kitchen Hoods, Low Voltage, Painting, Plumbing, Roofing Signage, Sprinkler, Structural, Vertical Transportation","$3,500,000.00","2021-02-05T00:00:00.000","10033","Manhattan 12","2021-11-26T09:18:50.000",,,,,,,,
"Boston Hotel LLC","Moseson & Associates Corporation","718 327-5779","yehudda_moseson@hotmail.com","3362 Boston Rd","4733","6","Bronx","New Building, hotel","Foundation, steel, concrete, electricaal, plumbing, hvac, sprinkler, fire alarm, carpentry, windows doors, roofing","$4,000,000.00","2019-09-01T00:00:00.000","10469","Bronx 12","2021-11-26T09:18:50.000","40.874796","-73.851667","12","12","364","2095085","2047330006","Eastchester-Edenwald-Baychester"
"1440 Broadway (NY) Owner, LLC","Marcus & Pollack, LLP","212 599-3167","jmarcus@marcuspollack.com","1440 Broadway","993","11","Manhattan","Commercial, Alteration, retail","concrete, steel, electrical, hvac, plumbing, utilities, etc.","$40,000,000.00","2018-10-01T00:00:00.000","10018","Manhattan 5","2021-11-26T09:18:50.000","40.754611","-73.986761","5","4","113","1022563","1009930011","Midtown-Midtown South"
"Bay Plaza Hospitality Investors LLC","Akerman LLP","212 822-2211","djuro.villaran-rokovich@akerman.com","2300 Bartow Avenue","5141","810, 805","Bronx","Hotel, new building","concrete, fa̤ade, windows, doors, drywall, paint, elevator, mechanical, electrical, plumbing, fire protection, etc.","$25,560,367.00","2018-03-04T00:00:00.000","10475","Bronx 10","2021-11-26T09:18:50.000","40.868567","-73.821726","10","12","46201","2000000","2051410805","Co-op City"
"Curbcut Queens Boulevard LLC","Tuchman, Korngold, Weiss, Leibman & Gelles LLP","212 687-3747","bgottlieb@tkwlg.com","38-01 Queens Boulevard","219","9","Queens","Commercial, retail, new building","concrete, structure, thermal & moisture protection, partitions, doors, finishes, elevator, fire protection, plumbing hvac, electrical","$70,000,000.00","2016-11-01T00:00:00.000","11101","Queens 2","2021-11-26T09:18:50.000","40.744123","-73.926910","2","26","179","4000000","4002190009","Hunters Point-Sunnyside-West Maspeth"
"GGP Staten Island Mall LLC","Marcus & Pollack LLP","212 490-2900","jmarcus@marcuspollack.com","2643 Richmond Avenue","2400","20","Staten Island","New building, retail","Electrical, plumbing, HVAC, new utilities, concrete, steel, windows, store front, etc.","$3,522,433.00","2021-02-15T00:00:00.000","10314","Staten Island 2","2021-11-26T09:18:50.000","40.582264","-74.169061","2","51","27702","5170602","5024000020","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill"
"211 Schermerhorn Development LLC","Marcus & Pollack LLP","212 460-2900","jmarcus@marcuspollack.com","221-215 Schermerhorn Street","165","60","Brooklyn","Commercial, retail, new building","carpentry, plumbing, HVAC, electrical, etc.","$4,000,000.00","2017-02-21T00:00:00.000","11201","Brooklyn 2","2021-11-26T09:18:50.000","40.688646","-73.985176","2","33","37","3397443","3001657501","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"CKZ Realty LLC","Law Office of Thomas Berinato","718 575-3400","tberinato@verizon.net","97-30 64 Ave.","2091","20","Queens","Commercial New Building","Electrical, Elevator, Plumbing","$4,200,000.00","2015-01-15T00:00:00.000","11374","Queens 6","2021-09-26T09:18:55.000",,,,,,,,
"AIH Group LLC","Moseson & Associates Corporation","718 327-5779","yehudamoseson@hotmail.com","97-11 Supthin Boulevard","10031","10","Queens","Hotel, new building","concrete, foundation, hvac, carpentry, steel, windows, etc.","$9,500,000.00","2018-05-01T00:00:00.000","11435","Queens 12","2021-09-26T09:18:55.000",,,,,,,,
"823 39th Street Brooklyn LLC","SJP Tax Consultants, Inc.","(718) 767-8216","sp@sjpny.com","825 39th Street","908","164","Brooklyn","New Building, Commercial","electrical, plumbing, hvac, etc.","$4,500,000.00","2015-06-01T00:00:00.000","11232","Brooklyn 12","2021-09-26T09:18:55.000","40.646852","-73.996587","12","38","90","3337390","3009080162","Sunset Park East"
"136-25 41 Realty LLC","Law Offices of Thomas E.  Berinato","718 575-3400","tberinato@verizon.net","136-25 41 Avenue","5019","107","Queens","Commercial, retail, new building","electrical, plumbing, hvac, etc.","$7,500,000.00","2019-03-01T00:00:00.000","11355","Queens 7","2021-09-26T09:18:55.000","40.758679","-73.829077","7","20","853","4443439","4050190107","Flushing"
"24-26 47th Street AST LLC","Tuchman, Korngold, Weiss, Leibman & Gelles, LLP","212 687-3747","bgottlieb@tkwlg.com","24-26 47th Street","732","45","Queens","Commercial, alteration","demo, concrete, masonry, structral steel, misc. metal, carpentry, millwork, termal and moisture protection, roofing, doors, windows, storefront, tile, ceilings, floor, paintig, etc.","$3,000,000.00","2020-11-23T00:00:00.000","11103","Queens 1","2021-09-26T09:18:55.000","40.766576","-73.905124","1","22","141","4013583","4007320045","Astoria"
"Mings Garden Realty LLC","Dai & Associates PC","212 730-8880","lxyang@daiassociates.com","26-01 and 26-15 4th Street","909","17, 13","LIC","Commercial, new building","plumbing, electrical, hvac, concrete","$8,000,000.00","2015-06-01T00:00:00.000","11101","Queens 1","2021-09-26T09:18:55.000",,,,,,,,
"Penn-Atlantic Hotel LLC","MGNY Consulting Corp","718 522 1111","michael@mgnyconsulting.com","118 New Jersey Avenue","3670","25","Brooklyn","Commercial, New Buiilding","electric, plumbing, hvac, etc.","$6,500,000.00","2018-12-30T00:00:00.000","11207","Brooklyn 5","2021-09-26T09:18:55.000","40.676951","-73.896123","5","37","1198","3083290","3036700025","East New York"
"313 Butler Street, LLC","Anthony Como Associates","718 273-3080","kgray@nyrets.com","313 Butler Street","407","52","Brooklyn","Commercial, Industrial, New Building","excavation, concrete, metal work, masonry, wall panels, elevators, electrical","$10,000,000.00","2019-01-01T00:00:00.000","11217","Brooklyn 17","2021-09-26T09:18:55.000","40.680730","-73.983300","6","33","127","3000000","3004070052","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"Kings Empire Group LLC","Law Office of Thomas Berinato","718 575-3400","tberinato@verizon.net","39-14 114 Street","1786","27","Queens","Commercial, retail, hotel, addition to existing space","plumbing, electrical, etc.","$7,722,144.00","2017-06-01T00:00:00.000","11368","Queens 3","2021-09-26T09:18:55.000","40.753159","-73.852920","3","21","399","4000000","4017860027","Corona"
"Cosmic Realty Partners LLC","Seiden & Schein, P.C.","212 935-1400","jayseiden@seidenschein.com","250 Fifth Ave.","830","37","Manhattan","Alteration, addition, commercial","asbestos, demolition, excavation, concrete, masonry, glass, painting, hvac, electrical","$43,937,767.00","2015-07-15T00:00:00.000","10001","Manhattan 5","2021-09-26T09:18:55.000","40.744821","-73.987207","5","4","76","1015729","1008300037","Midtown-Midtown South"
"Wykoff SP LLC","Law Office of Thomas Berinato","646 673-9709","marsha@nygrants.com","49 Wyckoff Avenue","3200","1","Brooklyn","Commercial, alteration","structural steel, stucco, plumbing, electrical, hvac, windows, doors interior, exterior, framing, drywall, painting, carpentry","$4,000,000.00","2020-07-01T00:00:00.000","11237","Brooklyn 4","2021-09-26T09:18:55.000","40.705921","-73.921794","4","34","447","3072788","3032000001","Bushwick North"
"37-25 12th Street LLC","CC & Associates Consulting Inc.","718 709 8015","christinacpatax@gmail.com","37-25. 37-27 12th Street","362","9","Queens","New Building, hotel","GC, fire alarm storefront windows, masonry, footing, foundation, excavation, underpinning, soe, electrical, structural steel, fireproof spray, misc. steel, interior fixture, finish, scaffolding, HVAC, plumbing, sprinkler, roofing, waterproofing, elevator, drywall","$5,500,000.00","2014-08-31T00:00:00.000","11101","Queens 1","2021-09-26T09:18:55.000",,,,,,,,
"Neo Image Enerprises, LLC/New Tent LLC","Tuchman Korngold Weiss Leibman & Gelles LLP","212 687-3747","bgottlieb@tkwll.com","335 West 35th Street","759","18","Manhattan","Commercial, alteration","plumbing, elevator, electrical, framing, demo, hvac, roofing, drywall","$18,370,000.00","2019-04-01T00:00:00.000","10001","Manhattan 4","2021-09-26T09:18:55.000","40.753335","-73.994088","4","3","111","1013566","1007590018","Hudson Yards-Chelsea-Flatiron-Union Square"
"74-16 Grand Avenue LLC","Anthony Como Associates","718 816-4915","alyse@nyrets.com","74-16 Grand Avenue","2805","16","Queens","Commercial, New Building","electrical, plumbing, hvac, etc.","$21,500,000.00","2020-01-05T00:00:00.000","11373","Queens 5","2021-09-26T09:18:55.000","40.730252","-73.887236","5","30","499","4062886","4028050016","Elmhurst"
"CS Wall Street LLC","Tuchman, Korngold, Weiss, Leibman & Gelles LLP","212 687-3747","bgottlieb@tkwlg.com","15 Broadway Street","26","1001, 1002, 1003","Manhattan","Commercial, alteration","carpentry, drywall, concrete, structural, steel, paint, stone, tile, elevator, electric, fire alarm, hvac,  plumbing, fire protection","$12,000,000.00","2016-04-01T00:00:00.000","10005","Manhattan 1","2021-09-26T09:18:55.000",,,,,,,,
"Parental Properties LLC","Law Office of Thomas E. Berinato","718 575-3400","tberinato@verizon.net","172-30 93rd Avenue","10219","32","Queens","Commercial, Residential, New building","electrical, carpentry, plumbing, etc.","$3,500,000.00","2020-05-01T00:00:00.000","11433","Queens 12","2021-09-26T09:18:55.000","40.706027","-73.786655","12","27","444","4217664","4102190032","Jamaica"
"Faisal Development, LLC","RE Tax Service, LLC","718-222-3500","info@retaxservice.com","37-38 73 Street","1283","23","Queens","Commercial, hotel, new building","electrical, plumbing, hvac, etc.","$4,500,000.00","2019-04-01T00:00:00.000","11372","Queens 3","2021-09-26T09:18:55.000","40.747886","-73.892548","3","25","291","4029773","4012830023","Jackson Heights"
"King Street Owner LLC","Podell, Schwartz, Schechter & Banfield LLP","212 883-6500","pgreco@pssb-law.com","141 King Street","555","5","Brooklyn","Commercial, new building","concrete, shoring & underpinning drainage/sanitary/site utilities, dewatering, piles, masonry, caulking/waterproofing, site improvements, fence, gates, landscaping, framin, fireproofing, steel work, roofing, metal, paneling, millwork, aluminum & glass work, carpentry, drywall, ceiling, tiling, ceramics, flooring, painting, elevators, sprinkler, plumbing, electrical, security, hvac, stackers and solar","$16,500,000.00","2019-02-01T00:00:00.000","11231","Brooklyn 6","2021-09-26T09:18:55.000","40.678581","-74.011973","6","38","53",,,"Carroll Gardens-Columbia Street-Red Hook"
