"dca_license_number","license_status","business_name","dba_trade_name","building_number","street","unit","city","state","postcode","borough","darp_enrollment_status","rotow_enrollment_status","community_board","council_district","police_precinct","bbl","bin","x_coordinate","y_coordinate","latitude","longitude","census_tract","nta","geocoded_column_1"
"2017181-DCA","Active","BROOKLYN TOWING INC",,"740","CONEY ISLAND AVE",,"BROOKLYN","NY","11218-4333","Brooklyn","Enrolled",,"312","40","66","3053780038","3126328","992890","172274","40.639525","-73.968868","492","Kensington-Ocean Parkway","POINT (-73.968868 40.639525)"
"0885875-DCA","Active","PINILLA, GEORGE","G P TOWING","15016","LIBERTY AVE",,"JAMAICA","NY","11433-1036","Queens","Not Enrolled","Not Enrolled","412","28","103","4101100012","4215659","1039108","193621","40.697952","-73.802163","204","Jamaica","POINT (-73.802163 40.697952)"
"2043586-DCA","Active","OZ TOWING & RECOVERY INC",,"9820","LINDEN BLVD",,"OZONE PARK","NY","11417-2524","Queens",,,"410","32","106","4115190074","4248591","1029494","185140","40.674728","-73.836891","864","South Ozone Park","POINT (-73.836891 40.674728)"
"2011544-DCA","Active","INTERNATIONAL TOWING INC",,"4557","FURMAN AVE",,"BRONX","NY","10470-1601","Bronx","Enrolled",,"212","11","47","2050840061","2071143","1025344","267491","40.900779","-73.851349","434","Woodlawn-Wakefield","POINT (-73.851349 40.900779)"
"0882581-DCA","Active","BIG CITY AUTO BODY & TOWING SERVICE CORP OF NY",,"3724","13TH ST",,"LONG ISLAND CITY","NY","11101-6025","Queens","Enrolled","Not Enrolled","401","26","114","4003620031","4004418","1001022","215712","40.75874","-73.939459","43","Queensbridge-Ravenswood-Long Island City","POINT (-73.939459 40.75874)"
"0966535-DCA","Active","ARENA, ENRICO","HENRY'S SERVICE CENTER","4414","ARTHUR KILL RD",,"STATEN ISLAND","NY","10309-1322","Staten Island","Enrolled","Not Enrolled","503","51","123","5073800070","5086848","918642","134120","40.534562","-74.236027","226","Charleston-Richmond Valley-Tottenville","POINT (-74.236027 40.534562)"
"2076600-DCA","Active","PACHECO EMPIRE GROUP, INC",,"3716","22ND ST",,"LONG ISLAND CITY","NY","11101-3505","Queens","Enrolled",,"401","26","114","4003640035","4004425","1001617","215415","40.757924","-73.937312","33","Queensbridge-Ravenswood-Long Island City","POINT (-73.937312 40.75792400000001)"
"2061825-DCA","Active","KENBEN INDUSTRIES LTD.",,"1870","SHORE PKWY",,"BROOKLYN","NY","11214-6626","Brooklyn",,,"311","43","62","3069430162","3329302","986022","154260","40.590084","-73.99362","314","Gravesend","POINT (-73.99362 40.590084)"
"0838404-DCA","Active","UNIVERSE TOWING INC.",,"1825","GIVAN AVE",,"BRONX","NY","10469-3179","Bronx","Enrolled","Not Enrolled","212","12","47","2047530113","2061544","1028550","258629","40.87644","-73.83981","358","Eastchester-Edenwald-Baychester","POINT (-73.83981 40.87644)"
"2089307-DCA","Active","RATTAN TOWING INC.",,"6515","COOPER AVE",,"GLENDALE","NY","11385-6934","Queens",,,"405","30","104","4036000060","4087254","1015109","193848","40.698691","-73.888711","577","Glendale","POINT (-73.888711 40.698691)"
"1388330-DCA","Active","AL & SELWYN, INC.",,"3755","NOSTRAND AVE",,"BROOKLYN","NY","11235-1907","Brooklyn","Not Enrolled","Not Enrolled","315","48","61","3074220053","3203176","1000824","155097","40.592366","-73.940323","59402","Sheepshead Bay-Gerritsen Beach-Manhattan Beach","POINT (-73.940323 40.592366)"
"0832860-DCA","Active","GENERAL AUTO BODY WORKS, INC.",,"10757","MERRICK BLVD",,"JAMAICA","NY","11433-2416","Queens","Enrolled","Enrolled","412","27","103","4102440217","4218315","1043203","193946","40.698818","-73.787392","414","South Jamaica","POINT (-73.787392 40.698818)"
"1428644-DCA","Active","FELIX BUSHWICK AUTO SALES & REPAIR CORP.",,"940","WYCKOFF AVE",,"BROOKLYN","NY","11237-6118","Brooklyn","Not Enrolled","Not Enrolled","304","37","83","3034070034","3078714","1010345","193085","40.696513","-73.905718","439","Bushwick North","POINT (-73.905718 40.696513)"
"1459771-DCA","Active","SMOKIN ACES INC.",,"476","FENIMORE ST",,"BROOKLYN","NY","11203-1502","Brooklyn","Enrolled","Not Enrolled","309","40","71","3000000000","0","999056","179343","40.65892","-73.946636","810","Prospect Lefferts Gardens-Wingate","POINT (-73.946636 40.65892)"
"1228220-DCA","Active","MOONLIGHT TOWING INC.",,"558","W 44TH ST",,"NEW YORK","NY","10036-3425","Manhattan","Not Enrolled","Not Enrolled","104","3","18","1010720059","1026933","985247","216786","40.761704","-73.996401","129","Clinton","POINT (-73.996401 40.761704)"
"2079897-DCA","Active","POPEYE AUTOMOTIVE CORP",,"1349","DUMONT AVE",,"BROOKLYN","NY","11208-4517","Brooklyn","Enrolled",,"305","42","75","3042830050","3096094","1020847","183463","40.670165","-73.868074","1208","East New York","POINT (-73.868074 40.670165)"
"1334147-DCA","Active","THROOP AUTO REPAIR INC","GUIDO'S AUTO","128","THROOP AVE",,"BROOKLYN","NY","11206-4414","Brooklyn","Enrolled","Not Enrolled","301","33","90","3022740013","3256289","999559","194630","40.700878","-73.944788","507","Bedford","POINT (-73.944788 40.700878)"
"1439775-DCA","Active","5 BOROUGH RECOVERY LLC","CUSTOM TOWING","84","GRANITE AVE",,"STATEN ISLAND","NY","10303-2745","Staten Island","Enrolled","Not Enrolled","501","49","121","5011570031","5026644","943255","170798","40.635383","-74.147703","223","Mariner's Harbor-Arlington-Port Ivory-Graniteville","POINT (-74.147703 40.635383)"
"0941455-DCA","Active","REMCO TRANSMISSIONS, INC.",,"774","ALABAMA AVE",,"BROOKLYN","NY","11207-7717","Brooklyn","Not Enrolled","Not Enrolled","305","42","75","3043430010","3097649","1013988","178707","40.657136","-73.89282","1104","East New York","POINT (-73.89282 40.657136)"
"0833090-DCA","Active","J&J TOWING AND TRANSPORATION INC",,"25","GRILLE CT",,"STATEN ISLAND","NY","10309-1400","Staten Island","Not Enrolled","Not Enrolled","503","51","123","5071200170","5111443","920793","138291","40.546026","-74.228328","226","Charleston-Richmond Valley-Tottenville","POINT (-74.228328 40.546026)"
"2033256-DCA","Active","EPIC TOWING INC",,"3535","STEINWAY ST",,"LONG ISLAND CITY","NY","11101-1415","Queens",,,"401","26","114","4006690008","4010879","1005693","214181","40.754528","-73.922604","157","Astoria","POINT (-73.922604 40.754528)"
"2083613-DCA","Active","J&J PRESTIGE AUTO COLLISION & REPAIR INC.",,"2321","BATHGATE AVE",,"BRONX","NY","10458-7818","Bronx","Enrolled",,"206","15","48","2030530051","2120552","1014351","250898","40.855281","-73.891189","385","Claremont-Bathgate","POINT (-73.891189 40.855281)"
"1120952-DCA","Active","TRI-STATE AUTOMOTIVE  CORP.",,"610","W 45TH ST",,"NEW YORK","NY","10036-1903","Manhattan","Not Enrolled","Not Enrolled","104","3","18","1010920016","1080977","984978","217235","40.762937","-73.997372","129","Clinton","POINT (-73.997372 40.762937)"
"1072377-DCA","Active","DOLPHIN TRANSMISSIONS, INC.",,"8501","FLATLANDS AVE",,"BROOKLYN","NY","11236-3605","Brooklyn","Not Enrolled","Not Enrolled","318","46","69","3080060007","3224527","1009362","171712","40.637951","-73.909519","958","Canarsie","POINT (-73.909519 40.637951)"
"2048564-DCA","Active","XTREME AUTOMOTIVE INC.",,"1453","118TH ST",,"COLLEGE POINT","NY","11356-1561","Queens",,,"407","19","109","4040700046","4098155","1025945","225127","40.7845","-73.849438","929","College Point","POINT (-73.849438 40.7845)"
"1310426-DCA","Active","ALERT TOWING & COLLISION INC.",,"218","48TH ST",,"BROOKLYN","NY","11220-1012","Brooklyn","Not Enrolled","Not Enrolled","307","38","72","3007720014","3012509","980045","176030","40.649838","-74.015154","20","Sunset Park West","POINT (-74.015154 40.649838)"
"1399949-DCA","Active","HCC COLLISION, INC.",,"19212","47TH AVE",,"FLUSHING","NY","11358-3907","Queens","Enrolled","Not Enrolled","411","20","111","4056110001","4126860","1042891","213127","40.751467","-73.78835","1429","Auburndale","POINT (-73.78835 40.751467)"
"1423277-DCA","Active","MIDBRONX AUTOMOTIVE, LLC",,"3112","JEROME AVE",,"BRONX","NY","10468-1346","Bronx","Not Enrolled","Not Enrolled","207","11","52","2033210035","2017631","1015037","258049","40.874906","-73.888676","411","Bedford Park-Fordham North","POINT (-73.888676 40.874906)"
"1274665-DCA","Active","F & S TOWING INC.","SONNY'S COLLISION SPECIALISTS","10612","ATLANTIC AVE",,"OZONE PARK","NY","11416-1830","Queens","Not Enrolled","Not Enrolled","409","28","102","4093880005","4197190","1028927","191057","40.690972","-73.838896","116","Richmond Hill","POINT (-73.838896 40.690972)"
"2091425-DCA","Active","meljohn's auto repair llc",,"6091","60TH ST",,"MASPETH","NY","11378-3550","Queens",,,"405","30","104","4027350001","4061053","1010399","199515","40.714261","-73.905675","601","Maspeth","POINT (-73.905675 40.714261)"
"2094116-DCA","Active","ALLSTAR AUTOMOTIVE II CORP",,"3728","MERRITT AVE",,"BRONX","NY","10466-6117","Bronx","Enrolled",,"212","12","47","2049520060","2097426","1031463","262477","40.886987","-73.82925","484","Eastchester-Edenwald-Baychester","POINT (-73.82925 40.886987)"
"1354438-DCA","Active","EMS TOWING INC.",,"15011","GUINZBERG RD",,"JAMAICA","NY","11433-1502","Queens","Enrolled","Not Enrolled","412","28","103","4101100060","4215661","1039166","193421","40.697403","-73.801956","204","Jamaica","POINT (-73.801956 40.697403)"
