Rijlabels;1110 - Verhuiskosten personeel (binnen- en buitenland);1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis en verblijfkosten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3160 - Uitbesteden accountancy en financi�n;4110 - Consumptieve diensten;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement, Documentontwikkeling en -verwerking;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;5210 - Wagenpark;6110 - Aanschaf hardware;6220 - Beheer, onderhoud programmatuur & software;6410 - Spraak en dataverbindingen;6510 - Aan een externe partij uitbestede ICT-dienstverlening;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7410 - Verwerven en afstoten;8110 - Vakliteratuur, abonnementen en overige informatie;8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;9510 - BZ specifiek;Eindtotaal
Munckhof Groups and Incentives B.V.;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Munckhof Taxi B.V.;;1;;;;1;;1;;;;;;;;;;;;;;;;;;2;;;2
Murphy's Law;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Museum Beelden aan Zee;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1
Museum Catering Den Haag B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;1
MUSEUMSHOP DEN HAAG;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Muziekcafé de Paraplu;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
MVPL Managementadvies;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
N.V. Nederlandse Spoorwegen;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;4
Nationale Beeldbank B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Nauta Security Storage B.V.;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;2
Ncoi Nederlands Commerc. Opleidings Instituut;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;2
Ned. Juristen Comite voor de Mensenrechten;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Ned. Ver. van HRD-Prof. in Ontw. en Opleiden;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;1
Nederlands Debat Instituut Holding B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Nederlandse Vereniging voor Burgerzaken;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Nedvan Projectverhuizingen Facility Solutions;6;;;;;;;;;;;;;;;;;;;;;;;;;;;2;6
Nespresso Nederland B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Neth-Er Brussel;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Neuland Nederland;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
New Babylon Meeting Center B.V.;;;;1;;1;;;;;;;;;;;;;;;;1;;;;1;;;1
Nextpertise B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1
NFGD Zoetermeer B.V.;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;2
NH Den Haag;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Nieuwe of Litteraire Sociëteit De Witte;;;;;;2;;1;;;;;;;;;;;;;;1;;;;;;;2
Nieuworganiseren.nu Coöperatie UA;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Niham Westland B.V.;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1
NIVE Opleidingen B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
NJ Cook4You;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1
Nobbe Mieras Trainingen;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Noor Images B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2
Noordzee Services B.V.;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Noordzij Partners B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Nordic Talking Vertaalbureau;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Norea Amsterdam;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1
NOVI Opleidingen B.V.;;;;;2;;1;;;;1;;;;;;;;;;;;;;;;;;2
Novotel Budapest;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
NRC Handelsblad Weekeditie voor buitenland;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Nsob;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;2
Nynke Jansen;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Oase Beach Exploitatie B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
O'Casey's Irish Pub & Restaurant;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
OCLC EMEA B.V.;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Odi - Overseas Development Institute Londen;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Office Depot B.V.;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1
Office Team Hoekschewaard;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1
Onderzoeks-assistentie Tim ten Ham;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;2
One Events;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
OneClick;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Ontbijt & Lunch Juni;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;1
Op Het Dak;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Open Ateliers B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Opleidingscentrum Permanente Educatie (OCPE);;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Opportunity Advies B.V.;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;3
Oracle Nederland;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;6
Orange Business Netherlands B.V.;;;;;;;;;;;;;;;;;;;;;9;;;;;;;;9
Orange5 Catering & Events B.V.;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;1
Orchard Finance Consultants;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Ordina Nederland B.V.;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;2
Organisatieregie B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
ORSEU CONCOURS;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;2
Oscars Scheveningen B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
OSR Juridische Opleidingen B.V.;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;2
OXFORD ANALYTICA LTD;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;3
Pactechno;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1
Palmette B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Pardon Consult;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
Parker Hotel Brussels Airport;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Park-line B.V.;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1
Part-up B.V.;;;;;2;;;;;;;;;;;;;;;;;1;;;;;;;2
PATboard B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1
Paviljoen Malieveld;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
PDC Informatie Architectuur B.V.;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;2
PDS Professional Driving Solutions B.V.;;;;;2;;;;;;;;;;;;1;;;;;;;;;;;;2
PE Fotostudio B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1
Pellenaer Events B.V.;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;1
Pels Rijcken & Droogleever Fortuijn N.V.;;;;;;;;;;;;;;;;2;;;;;;2;;;;;;;3
People & Print Group;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Pepco Philadelphia;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1
Perlent;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Personal Art/Living Stone Editions;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Perspectivity;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Perticas;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Peter Zomer B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Petta Coaching & Advies;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Phonsawan B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
PhotoLogiX;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;2
Pinkcube Apeldoorn;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Pino Evenementen & Congressen B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
PK Agrarisch Advies;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Planon B.V.;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;4
Plastic Circle B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
PointLogic HR B.V.;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;2
POMEGRANATE LANGUAGE INSTITUTE;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Ponjee Advies;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Poolcafe Delfshaven;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Postcode.NL B.V.;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1
Premium Cards B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1
Pricewaterh.Coopers Pens., Act.&Insur.Serv.BV;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Pricewaterhousecoopers B.V.;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;2
Primera De Koning;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Primera Den Haag;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1
Primera Van der Zwaan;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Printed Copy en Printservice;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Privacy Management Partners Coöperatie UA;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
'Profilex' Lijsten;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
ProFotonet B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Project Ing;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Project T. B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Prokwadraat;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1
Promar Sales Rotterdam B.V.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
PromoBiz B.V.;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1
PROMOCIONES Y PROYECTOS, S.A. HOTEL DOMINICAN FIESTA;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Promofit;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Protinus IT B.V.;;;;;;;;;;;1;;;;;;;;4;;;1;;;;;;;4
Prowareness WeOn Academy B.V.;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;2
Pruijn Level 1 B.V.;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;2
Psychotherapiepraktijk Atalanta-C. Steiner;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;1
Public Partners B.V.;;;;;2;;;;;;;;;;;;;;;;;3;;;;;;;3
Publique;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Publiquest, de Communicatie Coöperatie UA;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;2
PULLMAN KINSHASA GRAND HOTEL;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Punda Milia;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Pure Flowers by Peter van der Meij;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Puur Amsterdam;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
PvIB: Platform voor informatiebeveiliging;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1
QC Light Factory B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Qompas B.V.;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;2
Q-Park Operations Netherlands B.V.;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;1
Quadratum Consultancy;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Quakernaat Automatiserings Praktijk;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Quality Support B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Quint Wellington Redwood Nederland B.V.;;;;;1;;;;;;2;;;;;;;;;;;2;;;;;;;3
Quinton Brandveiligheid B.V.;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;2
QuoVadis Trustlink B.V.;;;;1;;;;;;;;;;;;;;;2;;2;1;;;;;;;2
Rabobank Breda;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1
Radisson Blu Hotel Addis Abeba;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
RAI Amsterdam B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Raven Studio;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Realix;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Real-life Xcape;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Recoop Tour A.S. Praha 6;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Refinitiv Netherlands B.V.;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;2
Reflectwell;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Refractiecentrum Haaglanden B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Regina Coeli Language Courses B.V.;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;2
Relatiegeschenken.nl B.V.;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1
Rendement Uitgeverij B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Residence Inn;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Residence Inn Washington;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Responsability;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Restaurant Christian;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Restaurant De Basiliek B.V.;;;1;;;1;;;;;1;;;;;;;;;;;1;;;;;;;1
Restaurant De Knip;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Restaurant d'Vijff Vlieghen B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Restaurant La Passione;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Restaurant LaSalle;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Restaurant Lounge van der Dussen;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Restaurant Luden Den Haag Kiosk;;;1;;;1;;;;;;;;;;;;;;;;1;;;;;;;1
Restaurant Toque Toque;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1
Rics London;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;1
RIFT VALLEY INSTITUTE;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;2
Ristorante Italiano 'La Liguria' B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Roelofsen Performing Arts;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
ROTANA HOTEL AMMAN;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Rotana Hotel Khartoem;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Routs, Laeven en Partners B.V.;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;2
Royal Delft;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;1
Royal HaskoningDHV;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;4
Ruud Gort Fotografie;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1
S. and S. Food Services B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Santé Horeca Beheer B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Sarikas & Agayev Advocaten;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1
Savant Performing Partners B.V.;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;3
SAVOY HOTEL YANGON;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Sayang;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1
SBI Training en Advies/FNV Formaat B.V.;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;1
Schiphol Nederland B.V.;;;;;;;;2;;;;;;;;;1;;;;;;;;;;;;2
Schoevers Trainingen B.V.;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;2
Schouten & Nelissen Nederland B.V.;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;2
Schut-Copex B.V.;;;;;;;;;;;;4;;;;;1;;;;1;2;;3;;;;;4
Schuttelaar & Partners, Maatsch. Comm. B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Schutten It B.V.;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;2
Script Ease B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
SD Worx Nederland B.V.;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1
SDC Verhuur & Entertainment;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Sdu Uitgevers B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Sectra Communications B.V.;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;6
Secura B.V.;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;2
Segment Opleidingen B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Serrarens De Boer Brans advocaten en mediat.;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;2
Shabu Shabu 's Gravenhage B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Shared Business B.V.;;;;;4;;;;;;;;;;;;;;;;;;;;;1;;;4
Shelburne Hotel New York;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Sheraton Hotel Abuja;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
SHERATON HOTEL TUNIS;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Shopmade B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Shuttel B.V.;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;7
Sibylink;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;3
Siep Music;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Signalutions B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Simone Langeweg Tekst- en Communicatieadvies;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Simonis Oude Visafslag B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;1;;;1
SKVR Rotterdam Centrum;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Slabbers De Lange Office Support B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Slim Bekeken B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Snelservice Schoenmakerij;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Sodexo Altys B.V.;;;;;;1;;;;;1;;;;;;;;;;;;;;;;;;1
Sofitel Hotel Brussel;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;2
Sofitel Hotel Luxembourg;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Sofitel Hotel M�nchen;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
SoftwareONE B.V.;;;;;;;;;;;;;;;;;;;8;;;;;;;;;;8
SolBeach B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Soldelsur Taalinstituut;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Solid Sense B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1
SONESTA COCONUT GROVE SONESTA INTL HOTELS CORP-COCONUT OPERA;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Soomers;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
SOS International Amsterdam;;2;;;;;;;;;;;;;;;;;;;;1;;;;;;;2
Spaces B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Spark;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Specsavers International B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Speer Publications;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;;2
Spice Beachclub B.V.;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;2
Spido B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Spiegel Film;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;1
SpiZe B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Sporttainment Center De Uithof B.V.;;;1;;;2;;;;;;;;;;;;;;;;;;;;;;;2
Spring Factor;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Sprout Social, Inc. Chicago;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1
SPRYG B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
SRM Communicatie B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
SRS Consulting B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Stadstaxi Haaglanden;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Staples Nederland B.V.;;;;;;;;1;;;;;;;2;;;;;;;;;;;;;;2
Stavoor B.V.;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;2
Stay 2 Live Hatfield;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Stedelijk Museum;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Stelvio Coaching & Advies;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Ster in Lijsten B.V.;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;2
Steranijs catering;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Stg. Foundation Max vd Stoel For D.D.D. (FMS);;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Stg. Internaatsexploit. Hotelschool Den Haag;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Stg. Landel. Coörd.centr. Reiz.advis.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Sticht. Haagse Acad. vr Internationaal Recht;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Sticht. Info.voorzien. Ontwikkel.sam.werk.;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;1
Sticht. Int. Development Publications;;;;;;1;;;;;;;;;;;;;;;;1;;;;;1;;1
Sticht. The Hague Instit. for Innovat. of Law;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Stichting AFEW International;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
STICHTING Centre for Safety and Development;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;3
Stichting De Grote Witte Reus;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Stichting De Ooievaart;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Stichting De Wijde Aa;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Stichting Dutch Government Pride;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;2
Stichting E.H.B.O.- Kaderopleiding Nederland;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Stichting Eye Filmmuseum;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Stichting Fonds Instituut Clingendael;;;;;5;1;;;;;;;;;;;;;;;;1;;;;;;;5
Stichting Haags Bus Museum;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Stichting Haags Theaterhuis;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Stichting het Rijksmuseum;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Stichting 'Het Zuid-Hollands Landschap';;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Stichting Humanity House;;1;;;;1;;;;;;;;;;;;;;;;1;;;;1;;;1
Stichting Ictu;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Stichting IDI Conferentie 2019;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;2
Stichting Internat. Perscentrum 'Nieuwspoort';;;;;;1;1;;;;;;;;;;;;;;;1;;;;1;1;;1
Stichting Justitia et Pax Nederland;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Stichting Kontakt der Kontinenten;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;2
Stichting Lof Foundation;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Stichting Museum voor Communicatie;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;1
Stichting Nederlands Dans Theater;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Stichting Pensioenfonds ABP;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1
Stichting Permits/Permits Foundation Den Haag;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Stichting Prins27;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Stichting Raakvlak;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Stichting T.M.C. Asser Instituut;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
STICHTING TALENT NAAR DE TOP;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;2
Stichting Team Haagse Hogeschool;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Stichting The Hague Humanity Hub;;;;;;1;;;;;;;;;;;;;;;;;;;1;1;;;1
Stichting The Hague Marketing Bureau;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1
Stichting Toekomstbeeld der Techniek;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Stichting Triodos Foundation;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Stichting Venture Café Nederland;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Stichting Vogin;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1
Stichting Waarborgfonds Politie;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;1
Stichting Werken op Maat;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1
Stichting West;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Stichting World Press Photo;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Stichting Zinaplatform;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Stockholm International Peace Research Institute (Sipri) Sol;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Stokes Verhoor Strategie;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Stomerij Panda;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1
Stone & Sand;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Stoof International Borkheide;;;;;;;;;;;;;;;;;7;;;;;;;;;;;;7
Strandclub WIJ;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Strandpaviljoen Buiten B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Strandpaviljoen De Kwartel B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Strandpaviljoen De Staat B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Supermercado;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
