Rijlabels;9010 - GWW;9410 - Lokale belastingen - waterschapslasten;9520 - BZK Specifiek;9560 - I&M specifiek;Eindtotaal
Convertibles;;;;1;1
Cool Pixels Media;;;;3;3
Coolblue B.V.;;;;2;2
Coolworks B.V.;;;;1;1
Coöp. In- en Verkoopver. 'Den Oever' UA;;;;1;1
Coöp. Inkoopver. van Visserijbenodigdheden UA;;;;1;1
Coöp. Landb.Aank.Ver. 'Eendr. Maakt Macht' BA;;;;1;1
Coopcompact Goeree;;;;1;1
Coöperatie Bosgroep Midden Nederland UA;;;;1;1
Coöperatie De Betekenaar UA;;;;1;1
Coöperatie Exploitatie Bouwcampus UA;;;;3;3
Coöperatie Green Events Nederland UA;;;;2;2
Coöperatie MyEarth UA;;;;2;2
Coöperatie PreventPartner UA;;;;1;1
Coöperatie TVM UA;;;;1;1
Coöperatie World of Food UA;;;;1;1
Coöperatief Congrestolkensecretariaat UA;;;;1;1
Coöperatief Kristal Compagnie UA;;;;1;1
Coöperatieve Bosgroep Zuid-Nederland UA;;;;1;1
Coöperatieve NL Innovators UA;;;;1;1
Coöperatieve Publieke Versnellers UA;;;;1;1
Coöperatieve Ver. van Vletterl.-Werkzaamh. WA;;;;4;4
Coöperatieve vereniging 'TSG Netwerk' UA;;;;1;1
Copernicos Groep B.V.;;;;4;4
Copijn Boomspecialisten B.V.;;;;2;2
Copper8 B.V.;;;;2;2
Cor Ritico Projectcoördin. en -ondersteuning;;;;3;3
Core Business B.V.;;;;2;2
Cornet Nautica B.V.;;;;3;3
Corp. Comm.&Publ. Affairs B.V.;;;;2;2
CORSTENS informatie-architectuur;;;;2;2
Cosys procesmanagement & systeemintegratie;;;;4;4
COT;;;;2;2
Co-tech Consult;;;;4;4
CoThink B.V.;;;;2;2
CountRpart;;;;2;2
Countus Accountants + Adviseurs;;;;3;3
Covalent Infra Technology Solutions B.V.;;;;6;6
Cové Consult;;;;3;3
Cp2 B.V.;;;;4;4
CPLS Text & Copy;;;;1;1
Cpsteradvies B.V.;;;;1;1
Cradle Concepts;;;;2;2
Cratos Event & Traffic Support;;;;1;1
Cratos Risk B.V.;;;;5;5
Crawford & Company (Nederland) B.V.;;;;2;2
Cre-Aid B.V.;;;;2;2
Creamatics;;;;1;1
Creating Sparks;;;;2;2
Creativity meets Results;;;;1;1
Creemers Consulting;;;;2;2
Creon B.V.;;;;4;4
Crevasse Advies;;;;3;3
crisis-training.nl;;;;1;1
Croissanterie Antoine Bezorging-Catering B.V.;;;;1;1
Croissanterie Delifrance Faber V.O.F.;;;;1;1
Croon Elektrotechniek B.V.;;;;8;8
Cross Resolution;;;;1;1
CrowdSense B.V.;;;;2;2
CRS Consultancy B.V.;;;;2;2
CSC Computer Sciences B.V.;;;;4;4
CT&V;;;;4;4
CTA Systems B.V.;;;;2;2
CTMabc;;;;2;2
CT-Plus B.V.;;;;5;5
CtrlArt;;;;1;1
Cu4iS B.V.;;;;2;2
Cubic IT;;;;1;1
Cubic Square B.V.;;;;3;3
Cubord Reclameborden B.V.;;;;1;1
Cuisine d'Oc;;;;1;1
Culinair Catering;;;;1;1
Culinair Wonder B.V.;;;;1;1
Cultureel & Vergader Centrum H.F. Witte;;;;1;1
Cultuurcantine Maarsseveen;;;;1;1
Cum Laude Events B.V.;;;;1;1
Cunningham Lindsey Nederland B.V.;;;;2;2
CVH Informatisering;;;;3;3
CvO2 Coaching voor Overheidsorganisaties B.V.;;;;1;1
CycloMedia Technology B.V.;;;;2;2
Cycloon Post Groningen B.V.;;;;2;2
Cygnify B.V.;;;;4;4
Cypress Trading B.V.;;;;1;1
Cyrus Infra Engineering;;;;2;2
CYStone;;;;2;2
CZAV;;;;1;1
D & C Engineering;;;;2;2
D&F Consulting B.V.;;;;3;3
D&J Zijderveld V.O.F.;;;;1;1
D&L advies en auditing B.V.;;;;4;4
D. van Det Advies en Ondersteuning;;;;1;1
D.J. Joustra;;;;1;1
D.P. Hilversum B.V.;;;;1;1
D.P.B. Flevoland L. Middelbos;;;;1;1
Daalder Advies;;;;4;4
Daan van Schaik Music;;;;1;1
Dadvies B.V.;;;;3;3
Dagmar Fleuren Fotografie;;;;1;1
Dagwinkel 2Go Orbis;;;;1;1
Daily Deli Quality Catering;;;;1;1
Dailykeet;;;;1;1
Dalo Service B.V.;;;;1;1
Dam25 Exploitatie B.V.;;;;1;1
Damaris Matthijsen;;;;2;2
Damen Bouw & Infra V.O.F.;;;;2;2
Damen Drukkers B.V.;;;;1;1
Dames & Heren Culinair Cafe;;;;1;1
Damsté advocaten - notarissen;;;;1;1
dan denken;;;;2;2
Danfoss B.V.;;;;1;1
DAO Advies;;;;2;2
DARE ! ! Calibrations;;;;1;1
Daretronics Services B.V.;;;;1;1
Dari Financial Services B.V.;;;;4;4
Darja Boers Communicatie;;;;4;4
Darpo Reklame B.V.;;;;1;1
Darwin Recruitment B.V.;;;;2;2
DAS Nederl. Rechtsbijstand Verzeker.mij. N.V.;;;;2;2
Dassen Industrial Projects B.V.;;;;2;2
DAT.Mobility B.V.;;;;6;6
Databyte B.V.;;;;2;2
Datacon B.V.;;;;2;2
Dataland B.V.;;;;1;1
Datawatt B.V.;;;;2;2
Datawell B.V.;;;;5;5
Datema Amsterdam;;;;1;1
Dawid Technisch Projectmanagement;;;;5;5
Dbvision B.V.;;;;5;5
DC ADVIES PROJECTMANAGEMENT &;;;;2;2
DC Engineers B.V.;;;;6;6
DC River B.V.;;;;2;2
DCI Electronics B.V.;;;;4;4
DDCgroup B.V.;;;;6;6
De Aanhef Tekst & Media;;;;1;1
De Admiraal;;;;1;1
De Afval Spiegel B.V.;;;;1;1
De Amsterdamse Oester B.V.;;;;1;1
De Argumentenfabriek Denkacademie B.V.;;;;1;1
De Baak Noordwijk B.V.;;;;2;2
De Ballonnenwinkel;;;;1;1
De Bazar B.V.;;;;1;1
De Belgische Keizer B.V.;;;;1;1
De Bergse Bossen;;;;1;1
De Bever;;;;1;1
de Birkt wonen;;;;1;1
De Bloem Bloem;;;;1;1
De Boeketterie Bloembinderij;;;;1;1
De Boer & De Groot Civiele Werken;;;;1;1
De Boer & Ritsema van Eck;;;;2;2
De Boer Advies & Uitvoering;;;;1;1
de Boer personenvervoer;;;;1;1
De Boerinn B.V.;;;;1;1
De Bont Adviesbur. Best.recht. Schadeverg. BV;;;;2;2
De Borrelfabriek B.V.;;;;2;2
De Bossche Kelders;;;;1;1
De Branding;;;;1;1
De Brasserij Partycentrum;;;;1;1
De Bries B.V.;;;;1;1
De Broekert V.O.F.;;;;1;1
De Broodjesgigant;;;;1;1
De Budde Nijverdal B.V.;;;;1;1
De Bueger Bouwmanagement;;;;3;3
De Colonie Houten B.V.;;;;1;1
De Combinatie HR Groep - TSNed V.O.F.;;;;7;7
De Communicatie;;;;2;2
de Coöperatieve H3ROES UA;;;;2;2
De Coöperatieve Samenleving BA;;;;1;1
De Covik Recycling B.V.;;;;1;1
De Drie Broers Holding B.V.;;;;1;1
De Droomfabriek;;;;1;1
De Drukkerij B.V.;;;;1;1
De Eiland Pers;;;;1;1
De Eterij;;;;1;1
De Finse Zeemanskerk Rotterdam;;;;1;1
de firma Langenberg;;;;2;2
de galan school voor training;;;;1;1
De Gemeynt Coöperatie UA;;;;3;3
De Gevangentoren B.V.;;;;1;1
De Gildenborch B.V.;;;;1;1
De Graven van Leuven;;;;1;1
De Groene Jager Catering;;;;1;1
De Groene Schuur;;;;1;1
De Groot Installatiegroep Noord;;;;1;1
De Groot Kaas en Delicatess. Schollevaar B.V.;;;;1;1
De Haarlemse Bakker B.V.;;;;1;1
De Haas - Projectbegeleiding;;;;3;3
De Haas InteriorPartner;;;;1;1
De Heeren Van Leeuw;;;;1;1
De Heische Hoeve B.V.;;;;1;1
De Herberg;;;;1;1
De Hof van Eden Pure Catering;;;;1;1
De Holl. Cirk./Stg. v. de Gesch. der Geodesie;;;;1;1
De Hoog ontwerp en onderzoek;;;;2;2
De Hoop Pekso B.V.;;;;4;4
De Hoorneboeg B.V.;;;;2;2
De Houten Vier B.V.;;;;1;1
De Huifkar B.V.;;;;1;1
De Huve;;;;1;1
De Jong & Verder B.V.;;;;1;1
De Jong en Vermeulen B.V.;;;;3;3
De Jong Petrol Service B.V.;;;;1;1
De Jong Van Leeuwen adv. - Vastgoed en Overh.;;;;3;3
De Jong Zuurmond Infrabeheer;;;;11;11
De Jongens uit Schoorl;;;;1;1
De Kantine;;;;1;1
De Kantoorspecialist;;;;1;1
De Kastanjehof B.V.;;;;1;1
De Klantcontact Monitor B.V.;;;;1;1
De Kleine Schorre B.V.;;;;1;1
De Kleine Werf;;;;1;1
De Klok Breda B.V.;;;;1;1
De Kloveniersdoelen B.V.;;;;1;1
De Kluizenaer;;;;1;1
De Kock Raamfolie B.V.;;;;1;1
De Koning Straal- en Schilderwerken B.V.;;;;3;3
De Kookfabriek Amsterdam B.V.;;;;1;1
De Kookfabriek Den Haag B.V.;;;;1;1
De Kookfabriek Rotterdam B.V.;;;;1;1
De Koperen Tuin B.V.;;;;1;1
De Kruijter Openbare Verlichting B.V.;;;;2;2
De Kurenpolder B.V.;;;;1;1
De Kwartiermeesters;;;;1;1
De Laar B.V.;;;;1;1
De Lage Landen Vendorlease B.V.;;;;1;1
De Landgoederij B.V.;;;;1;1
De Lange IJzerwaren-Gereedschappen-DHZ;;;;1;1
De Lantaern B.V.;;;;1;1
De Leeuw Legal;;;;4;4
De Lekkernij Utrecht B.V.;;;;1;1
De Leuke Hanzestad;;;;1;1
'De Loodsen';;;;2;2
De Lorijn Raadgevers O.G.;;;;5;5
De Lorijn Raadgevers Onroerend Goed B.V.;;;;2;2
De Maartenshof B.V.;;;;1;1
De Markies Huis & Thee;;;;1;1
De Merkdirectie;;;;1;1
De Muynck Exploitatie B.V.;;;;1;1
De Nieuwe Aanleg B.V.;;;;1;1
De Nieuwe Pelgrim;;;;1;1
De Nonnen in Vught;;;;2;2
De Nonnerie B.V.;;;;1;1
De Notulant;;;;2;2
De Obus Group B.V.;;;;1;1
de Omleiding B.V.;;;;2;2
De Onderzoekspartner;;;;2;2
De Overhorn B.V.;;;;1;1
De Paauwen Penproducten / Cees Wildervanck;;;;2;2
De Peer Horeca B.V.;;;;1;1
de Persgroep Distributie B.V.;;;;1;1
de Persgroep Nederland B.V.;;;;1;1
De Pier B.V.;;;;1;1
De Plattelander;;;;1;1
De Poort van Groningen V.O.F.;;;;1;1
De Poort van Kleef Utrecht B.V.;;;;1;1
De Poster Gigant;;;;1;1
De Potter Aggregaten;;;;1;1
De Presentatie Groep B.V.;;;;1;1
de Proeverij Hardersluis B.V.;;;;1;1
De Pudding;;;;1;1
De Raat Security Products B.V.;;;;1;1
De Reclamemakers Utrecht B.V.;;;;1;1
De Rede van Batavia Haven B.V.;;;;1;1
'De Reehorst' B.V.;;;;1;1
De Ridder Consult B.V.;;;;1;1
De Rijk Magazijninrichting B.V.;;;;2;2
De Rivieren Notarissen;;;;4;4
De Roever Milieuadvisering;;;;3;3
De Rotterdam B.V.;;;;1;1
De Ruijter Strategie B.V.;;;;2;2
De Ruiter Catering;;;;1;1
De Schenker B.V.;;;;1;1
De Schutterij van 's-Hertogenbosch 1813-1907;;;;1;1
De Smaakcateraar B.V.;;;;1;1
De Smockelaer B.V.;;;;1;1
De Soetegaerde;;;;1;1
De Stomme van Campen;;;;1;1
De Studietuin;;;;2;2
De Teerkamer;;;;1;1
De Theaterbrigade;;;;1;1
De Ulebelt;;;;2;2
De Utrechtse Haven B.V.;;;;1;1
De Utrechtse Watertoren B.V.;;;;1;1
Dé Vastgoedbeschermer B.V.;;;;1;1
De Veenderhoeve Restaurant B.V.;;;;1;1
De Veldkeuken;;;;1;1
De Verbeelding;;;;1;1
De Verleiding;;;;1;1
De Verzameling;;;;1;1
De Vier Jaargetijden Kampen;;;;1;1
De Vlinderstichting;;;;1;1
De volgende fase B.V.;;;;5;5
De Volkskrant B.V.;;;;1;1
De Vreugd Consultancy;;;;1;1
de Vries & vd Wiel Kust- en Oeverwerken B.V.;;;;9;9
De Vries Projekt Design B.V.;;;;4;4
De Waard Eetbaar Landschap;;;;1;1
De Waterspin;;;;2;2
De Watervriend;;;;1;1
De Wegenscanners;;;;4;4
De Winkel van Sinkel B.V.;;;;1;1
De Witte Vosch B.V.;;;;2;2
De Zandkamer;;;;1;1
De Zandprinses;;;;1;1
De Zandroos;;;;1;1
De Zeetoren;;;;1;1
De Zeeuw Facilitator Productions;;;;2;2
De Zeeuwse Alliantie;;;;1;1
De Zoete Inval B.V.;;;;1;1
DearBytes;;;;2;2
Deba 2000 B.V.;;;;1;1
Debat.NL B.V.;;;;1;1
Debets B.V.;;;;1;1
deBreedte;;;;1;1
Debuco Advies B.V.;;;;5;5
Dechi Beach;;;;1;1
Decisio B.V.;;;;4;4
DeeCee Exploitatie B.V.;;;;1;1
Deep B.V.;;;;7;7
Defabrique Evenementen B.V.;;;;1;1
Dega Infra B.V.;;;;1;1
De-Ge Transport B.V.;;;;2;2
Deinum's Catering & Party-Service;;;;1;1
Deister Electronic GMBH;;;;2;2
Dekra People B.V.;;;;2;2
Dekxels B.V.;;;;1;1
Delfstoffen Combinatie Maasdal B.V.;;;;6;6
Delft Congress Support B.V.;;;;1;1
Delft Dynamics B.V.;;;;1;1
Delft Hightech Service;;;;1;1
Delft Interim;;;;5;5
Delft Museum Hotel B.V.;;;;1;1
Deli Bird Thai Kitchen Restaurant;;;;1;1
Délifrance Lelystad Noordersluis B.V.;;;;1;1
Delight Eventdesign B.V.;;;;2;2
Delmeco Fishing Technology B.V.;;;;1;1
Deloitte Accountants;;;;4;4
Deloitte Consulting B.V.;;;;2;2
Delorentz & Partners B.V.;;;;1;1
Delta Berging & Transport B.V.;;;;1;1
Delta Concrete Consult B.V.;;;;1;1
DELTA Energy B.V.;;;;9;9
Delta III Visuals & Communications;;;;2;2
Delta Infra B.V.;;;;3;3
Delta Lloyd Schadeverzekering N.V.;;;;1;1
DELTA N.V.;;;;8;8
Delta Park Neeltje Jans B.V.;;;;1;1
Delta PI;;;;6;6
Delta Project Management B.V.;;;;5;5
Delta Result B.V.;;;;4;4
Demad;;;;1;1
Demis B.V.;;;;1;1
Den Boer ICM Consultancy;;;;1;1
Den Bosch Evenementen B.V.;;;;1;1
Den Draeck;;;;1;1
Den Haag Centrum v. Strategische Studies B.V.;;;;3;3
Den Haag Evenementen B.V.;;;;1;1
Den Hartog B.V.;;;;1;1
Den Helder Hydraulics B.V.;;;;6;6
Den Ouden Groep B.V.;;;;2;2
Den Witten Haen;;;;1;1
Dendy B.V.;;;;1;1
Denieuwevorm;;;;1;1
Dennis Cooking Place;;;;1;1
Department S;;;;2;2
Dependance Rotterdam;;;;1;1
Derde Zaak B.V.;;;;1;1
Derek Middleton;;;;1;1
Deskbookers B.V.;;;;1;1
Desmepol B.V.;;;;1;1
Desmet Studio's Amsterdam B.V.;;;;1;1
Destil;;;;2;2
Destiny's Development;;;;1;1
Det Norske Veritas B.V.;;;;2;2
Detail Devil;;;;2;2
Detho;;;;4;4
Detron Computerverhuur;;;;1;1
Detron Telecom Enterprise;;;;5;5
Deurloo Consult;;;;2;2
Deuts;;;;2;2
Devcon B.V.;;;;2;2
Devinc;;;;1;1
Devobo Forest Service B.V.;;;;2;2
DGB B.V.;;;;1;1
DGMR Bouw B.V.;;;;1;1
DGMR Industrie Verkeer en Milieu B.V.;;;;4;4
DGMR Software B.V.;;;;1;1
DHM infra B.V.;;;;5;5
DHV B.V.;;;;1;1
Dialxs B.V.;;;;2;2
Diamant Techniek Noord B.V.;;;;1;1
DIANA FEA B.V.;;;;3;3
Dierenpark 'Amersfoort' Holding B.V.;;;;1;1
Dietz Communicatie B.V.;;;;3;3
DIG - Design Innovation Group B.V.;;;;2;2
Digital Ants;;;;1;1
Digital Nature;;;;1;1
Digitale Checklisten;;;;3;3
Dijkmonitoring Nederland;;;;4;4
Dijkshoorn Infra B.V.;;;;2;2
Dijksterhuis & van Baaren Werkmaatsch. B.V.;;;;2;2
Dikke Duim;;;;1;1
Dikmans Kwaliteitsadvies;;;;3;3
DIKW Consulting B.V.;;;;4;4
Dilatec Holland B.V.;;;;4;4
Dimensus Beleidsonderzoek B.V.;;;;2;2
Dinaf Traffic Control B.V.;;;;3;3
Diner Thuis;;;;1;1
Dining56;;;;1;1
Dinterim Management;;;;1;1
Diractivity-Software B.V.;;;;1;1
Dirkzwager advocaten & notarissen N.V.;;;;1;1
Dirmar Seon B.V.;;;;1;1
Discountoffice.nl B.V.;;;;1;1
Diseo B.V.;;;;2;2
DITP Beheer & Exploitatie B.V.;;;;1;1
Divide B.V.;;;;1;1
DJ Charlie;;;;1;1
DJ Hekwerk & Toegangscontrole;;;;1;1
Djen Design B.V.;;;;1;1
dk.;;;;4;4
DMB Advocatuur B.V.;;;;1;1
DMC Personeelsdiensten;;;;3;3
DMI International B.V.;;;;7;7
DNV GL Business Assurance;;;;2;2
Doclife B.V.;;;;4;4
Doctorandus Tafel;;;;4;4
Doeft merk en communicatie;;;;1;1
Doelen Consultancy;;;;1;1
Doenederland.nl B.V.;;;;1;1
Does training & advies;;;;1;1
Doesburg B.V.;;;;4;4
Dogodigi;;;;2;2
DOJA Plein B.V.;;;;1;1
Dok 99 Vlaardingen B.V.;;;;1;1
DOK030 Coöperatie UA;;;;1;1
Dokkumer Vlaggen Centrale B.V.;;;;1;1
Domstad Evenementen B.V.;;;;1;1
Don Bureau B.V.;;;;7;7
Donkergroen B.V.;;;;2;2
Donkhoeve;;;;1;1
Door Verspreidingen B.V.;;;;1;1
Doornenbal Klussenbedrijf;;;;2;2
Doornenbal Telecom B.V.;;;;1;1
Doorwerk;;;;1;1
Dopper;;;;1;1
Dor B.V.;;;;1;1
DOREMI t.h.o.d.n. Multi-Vlaai Haarlem;;;;1;1
Dorpshuis het Trefpunt;;;;2;2
Double Green Projects B.V.;;;;3;3
DoubleSense;;;;3;3
Doumain;;;;2;2
Douwe E. Buis B.V.;;;;2;2
Douwe Egberts Horeca;;;;1;1
Dover Holding B.V.;;;;1;1
Down Under Horecaexploitatie B.V.;;;;1;1
Downsized;;;;1;1
Doxa Communicatie B.V.;;;;2;2
Doxis;;;;7;7
DPMO B.V.;;;;4;4
DQTs;;;;2;2
Dr. C.J. Hemker MicroFEM & MLU software;;;;2;2
DRA Debt Recovery Agency;;;;1;1
Draaivermaak;;;;1;1
dreamyourweb;;;;2;2
DriveToConnect;;;;1;1
Dröge Notariaat-Estate planning;;;;3;3
DROOM Elst B.V.;;;;1;1
Drukbedrijf.nl B.V.;;;;1;1
Drukkerij C.R. de Mulder B.V.;;;;2;2
Drukkerij Libertas B.V.;;;;1;1
Drukwerkmax B.V.;;;;1;1
DTV Consultants B.V.;;;;4;4
Ducreations;;;;1;1
Dudok Arnhem B.V.;;;;1;1
Dudok Den Haag B.V.;;;;1;1
Dudok Rotterdam B.V.;;;;1;1
Dufec B.V.;;;;4;4
Duikbedrijf Boeren B.V.;;;;2;2
Dunea N.V.;;;;2;2
Dunes Investment B.V.;;;;1;1
Duoprint t.h.o.d.n. Multicopy Den Haag Centr.;;;;1;1
Dura Vermeer Beton- en Waterbouw B.V.;;;;7;7
Dura Vermeer Divisie Infra B.V.;;;;7;7
Dura Vermeer Infrastructuur B.V.;;;;2;2
Dura Vermeer Infrastructuur Noord West;;;;6;6
Dura Vermeer Infrastructuur Oost;;;;9;9
Dutch aWEARness B.V.;;;;1;1
Dutch Coating Consultants B.V.;;;;1;1
Dutch Driver Service;;;;1;1
Dutch Marine Holding B.V.;;;;2;2
Dutch Research Institute for Transitions B.V.;;;;2;2
Duurzame Ontwikkeling;;;;4;4
Duw- en Sleepvaartbedrijf Touwslager B.V.;;;;1;1
DVM Partner;;;;1;1
Dwarsverband;;;;3;3
Dyco Consultancy & Congressen;;;;3;3
Dymospecialist;;;;1;1
DynaVision B.V.;;;;1;1
Dynniq Nederland B.V.;;;;7;7
Dynniq Peek Traffic B.V.;;;;7;7
DySI Software Innovations B.V.;;;;4;4
E & E Collect B.V.;;;1;;1
E. Strating de Jonge thodn Primera Strating;;;;1;1
E. van der Boom Advies;;;;2;2
E.A.L. Electronic Application Laboratory B.V.;;;;1;1
E.B.O. van Weel Beheer B.V.;;;;1;1
E.M. Knol;;;;1;1
E.O.C. Onderlinge Schepenverzekering UA;;;;2;2
E.T. Ebbens Wateradvies & Projecten;;;;4;4
Easy Noise Control B.V.;;;;1;1
Easy2send.nl B.V.;;;;1;1
Ebima;;;;4;4
EBSCO Information Services B.V.;;;;1;1
Eccra;;;;2;2
Echte Bakker Theo Pastoor B.V.;;;;1;1
Echte Bakker Verhoog;;;;1;1
Eckhart Heunks Landschapsarcheoloog;;;;2;2
ECN Wind Energy Facilities B.V.;;;;1;1
Eco Consult;;;;4;4
Eco Reest B.V.;;;;1;1
Eco Services B.V.;;;;1;1
eCOAST Marine Research B.V.;;;;3;3
Ecoconsult;;;;2;2
ecoengineers;;;;2;2
Ecofide;;;;2;2
Ecofys Netherlands B.V.;;;;1;1
Ecogroen B.V.;;;;2;2
Ecoleon B.V.;;;;1;1
Ecologica B.V.;;;;1;1
Ecologisch;;;;2;2
Ecologisch Adviesbureau Bleijerveld;;;;1;1
Ecologisch Adviesbureau Cools;;;;1;1
Ecologisch Adviesbureau Viridis B.V.;;;;2;2
Ecoloss Project B.V.;;;;2;2
Econsultancy B.V.;;;;1;1
Ecoreno B.V.;;;;2;2
ECORYS Nederland B.V.;;;;5;5
Ecoscience;;;;1;1
Ecosucces;;;;2;2
