Leveranciers;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatieadvies;3140 - Uitbesteden juridisch adviesopdrachten;3150 - Uitbesteden automatiseringsadvies;3160 - Uitbesteden accountancy en financien;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;5000 - Vervoer en verblijfkosten overig;5210 - Wagenpark;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;8110 - Vakliteratuur, abonnementen en overige informatie;8510 - Diversen communicatie;9301 - Laboratoriumonderzoek;9302 - Laboratoriummaterialen;9590 - V&J specifiek;Eindtotaal
AMI Maastricht;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Amigo;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Amis Services B.V.;;;2;2;2;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
Amisni B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Amistad B.V.;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
AMK Arbeidsintegratie;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Amler B.V.;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ampco Flashlight Rental B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
AMPLEXOR Netherlands;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Amplixs Interaction Management B.V.;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Amsio Holding;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;;;;1;;;;;1
Amstel Graphics B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;1
Amstelkade (Zorgboerderij);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3
Amstelplein 4 B.V.;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Amsterdam Boats B.V.;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Amsterdam Dungeon B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Amsterdam Experience;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Amsterdam Flowers;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Amsterdam Loopt;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Amsterdams ADR Instituut B.V.;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Amsterdams Ballonnen Bedrijf;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Amsterdamse Orde van Advocaten;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Amsterdamse Watertaxi Centrale B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
An Fong Best B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ANAC Carwash;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Anaguía;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
'Ananda';;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AnB advies;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
Andale;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ander Licht;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Andersson Elffers Felix;;;;;3;;;;4;4;;;;2;;;;;2;;;;;;;;;;;;;;;;;;1;;;;1;5
Andre Kerstens B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Andrea en Andrea B.V.;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Andree Troost Geluid- en Beeldtechniek;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
André's Bloemen B.V.;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Andrevo Naaimachines B.V.;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;2;2
Andrews Sykes B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;2
Ã–ner Vertaaldiensten B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Angela Wijers Trainingen;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anglo Staal Holland B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anja's Broodjesdienst;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anke Boelens Interieurvormgeving;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1
Anker & Kompas;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anne Heleen Bijl Creatieve Consultancy;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Annelies Hillen Coaching;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Annemarie Willems Producties;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Annette Polman Atelier;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anoigo Services Limited;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;;2
anoniem;;1;2;1;4;;;2;1;;;;;;2;;;1;2;;1;1;1;;1;;1;;1;;;;3;;;;1;1;;;6;6
Anovis B.V.;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ANP BV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1
ANP Photo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;1
Ansul;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1
Antalis B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;2;;;;;;;1;1;2
Antalis Packaging B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Antea Group;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;2;;;;;;;;;2
Anticimex;;;;;;;;;;;;;;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;2
Antoinette van Gurp;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Antrada B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Antropia Cultuur- en Congrescentrum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1
ANWB B.V.;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;1;2
Any Lamp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1
AOB Compaz B.V.;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AON Nederland C.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;1
APAC Services B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;1;;;;;;;;;2
Aparthotel 't Suyderduyn B.V.;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
Apartt Rotterdam Horeca B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
APCOA Parking Nederland B.V.;;;;;;;;1;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;1;2
APE Public Economics B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4
Aperitivo B.V.;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
apetito B.V.;;;;;;;;1;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
APF International;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;4
APG Asset Management N.V.;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
APG Service Partners B.V.;;;4;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;5
A-Point B.V.;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;2
Apollo Consultancy;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Apollo13;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Apotheek Aalders B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Apotheek Almere Haven;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Apotheek Cleij B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Apotheek Crabbehof B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Apotheek Dana B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Apotheek De Schans;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Apotheek Hanzeland B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Apotheek Hardenberg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Apotheek Holtenbroek;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Apotheek Horst B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Apotheek Karsten B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Apotheek Van der Laan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Apotheek Ypenburg;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Apox B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Appelscha-Outdoor;;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Applicom Nederland B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1
Applied Biosystems;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;7;;7
Applied Research Laboratory Eur. (ARLE) B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Aps (Dsluis,Veer,Schans,Schouw);;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
Aps Arnhem-Zuid;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
APS B.V.;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
APS Edukern B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Aqua;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;;;;1
Aqua Chain Holland B.V.;;;;;;;;;;;;;;;1;;;;;;1;1;;;;;;;;;;;1;;;;;;;;;2
Aqua Flor Bloembinderij V.O.F.;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;1;;2
Aqua Zoo Friesland;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Aquacare Europe B.V.;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;1;1
Aquaco B.V.;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;1;;;;;;;;;1
Aqua-Omega;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Aquarius Repro;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
AquaServa Nederland B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1
AR Mediation en Bedrijfsjuridisch Advies;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AR Updates B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ARA Groep B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
Arab. Translation Service;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1
ARAG Rechtsbijstand;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Arag-Ned., Alg. Rechtsbijst. Verzeker.mij NV;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Arap Relatiegeschenken B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
ARAS Security B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Arb.psych. Adv.bureau J.J. van den Broek B.V.;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Arbe Dienstverlening B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;5
Arbo Advies Ruigewaard;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
Arbo Safe B.V.;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Arbo Unie B.V.;;6;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6
Arbode B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ArboDirect;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ArboFragma;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Arborapport R.K. Snijder;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Arbo-Rie-Support B.V.;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
ArboVitale B.V.;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ARC Arbeidsrelatiecoach Ruth;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ARCADIS Nederland Holding B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Archangel Bouw B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;2;;;;;;;;;2
ArchiXL B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1
Archol;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ardea Auto Hoofddorp;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Ardis Organisatieontwikkeling B.V.;;;;;2;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Arehbo (Service & Advies);;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Areight B.V.;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Arena Consulting Group B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
Arenda Oomen Fotografie;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1
Arendshoeve B.V.;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;2
Arfos Management Services B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4
Argus Etiketten B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Arian Tuintechniek;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;2;;;;;;;;;2
Arie Kok Catering-Partyverhuur B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Aris gebruikers NL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1
Aristo Amsterdam B.V.;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;2;;;;;;;;;2
Arjenprinsfotografie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
ArjoHuntleigh Nederland B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;1
Arkin Holding B.V.;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Arma Verhuur Horeca B.V.;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;1
Armada (Haaglanden) Catering;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ArmSlag ArbeidsmarktOpleidingen B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Arnauld Geschenken B.V.;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Arnhem Specsavers B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Arno Ouwejan Media & Design;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Arno Roozeboom Vakfotografie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Arntz Nederland B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Arob Antennebouw B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;2;;;;;;;;;2
ARP Nederland B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;2
Arriva Touring;;;;;;;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Arrow Holding B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
ARS Docendi;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
ARS Traffic & Transport Technology B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;6;6
Arseus Dental Nederland B.V.;;;;;;;;;;;;;;;;;;1;;;1;1;;;;;;;;;;;;;;;;;;;1;1
Arslan & Ter Wee Advocaten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Art & Allposters International B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Art & Dining;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Art & Woonhotel De Lichttoren B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Art 4 U;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;1;2
ART At Work B.V.;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;1
Art Centre Delft;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1
Art of Events;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Artas Beheer B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1
Arte Communicatie;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Artha training & coaching B.V.;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Artiestenbureau van Otterloo B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Artige B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Artihove Regina B.V.;;;1;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
ArtiWorld;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Artmotivator;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Artra B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Arts & Dennissen Catering;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ARTTRA Cultureel Organisatiebureau;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Artxtra B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
arvato Finance B.V.;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Arvelo;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Arveon B.V.;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
AS 21 B.V.;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ASB Security B.V.;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;2;1;;2;;;;;;;;;2
Ascesis B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
Ascom (Nederland) B.V.;;;;;2;;;;;;;;;;;2;;;;;1;1;;;;;1;;;1;1;;2;;;;;;;;1;3
Asecos B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1
Asgard Hotel B.V.;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Asian News B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
A-side media B.V.;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Ask Roger!;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;1
Asmani Project Management;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Asolutions B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1
ASP Dienstverlening B.V.;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;1
Asp4all Hosting B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;1;5;6;7;6;7;;;;;;;;;;1;7
Aspasia Interieurbeplanting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1
Asphalia B.V.;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;1
ASpider Solutions Nederland B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;2
ASR Nederland N.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
ASR VASTGOED VERMOGENSBEHEER;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;4
ASSA ABLOY Entrance Systems;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;1
ASSA ABLOY Nederland B.V.;;;;;;;;;;;;;;;;;;1;;;1;1;;;;;;;;;;;5;;;;;;;;2;5
Assa Stenman Holland B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1
Asselbergs & Klinkhamer Advocaten;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Associated Business Consultants;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Assurantiekantoor Limburg B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1
Assurantiekantoor Lodewijk B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Astare;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;1
Astare Groningen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Astrid van Ruijven Training & Advies;;;;;3;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
Asya B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
At Computing B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
At Osborne B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Atal B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Atal-medial Loc. Spaarne Gasthuis Hoofddorp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
A-Tax De Vries Taxi B.V.;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ATC Chauffeursdiensten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
ATC 'De Schakel';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Atelier Da Vince;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Atelier de Pleijsterplaats;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Atelier Henk de Bouter;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1
Atelier Heuvel;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Atelier Hobbijou;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Atelier Kloosterman Boekbinders B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1
Atelier Landleven;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1
Atelier Meike Beekhuis;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
