;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel (binnen- en buitenland);1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1180 - Reis en verblijfkosten;Eindtotaal
Drankenspeciaalzaak Nienhuis Assen;;;;;;;1;;1
Dreams Shop;;;;;;;1;;1
Drink en Eetlokaal Proefverlof B.V.;;;;;;;1;;1
DROG B.V.;;;;;;2;;;2
Drone Flight Academy B.V.;;;;;;2;;;2
DRTC Groningen B.V.;;;;;;1;;;1
Drukbedrijf.nl B.V.;;;;;1;;;;1
Drukkerij De Toekomst B.V.;;;;;;1;;;1
Drukkerij Haver;;;;;;;1;;1
Drukkerij Kuiper;;;;1;;;;;1
Drukkerij Van de Ven V.O.F.;;;;;;;1;;1
Druktemaker B.V.;;;;1;;;;;1
Druktemaker Media;;;;2;;;;;2
DSH Domburg Sportprijzen Holland/Promopin.nl;;;1;1;;;1;;1
DT-IT;;;;;;1;;;1
DTT Multimedia B.V.;;;;;4;;;;4
Dulang Indonesische Lekkernijen;;;;;;;1;;1
Durven Doen training en advies;;;;;;3;;;3
Dusecon;;;;;;1;;;1
Dutch Control B.V.;;;;;;1;;;1
Dutch Drone Group B.V.;;;;;;1;;;1
Dutch Weightlifting Academy;;;;;;1;;;1
Dutchtrain B.V.;;;;;;1;;;1
Duwtje B.V.;;;;;;1;;;1
DuxTrail B.V.;;;;;;3;;;3
DWM Trainingen;;;;;;1;;;1
Dyslexiepraktijk Repetitio;;;;;;1;;;1
E & P Opleiding & Advies B.V.;;;;;;1;;;1
Eastern Plaza;;;;1;;;;;1
Eastview Media;;;;;1;;;;1
Easy Actors B.V.;;;;;;2;;;2
Ebbinge B.V.;;;;;;1;;;1
EBC Language Academy B.V.;;;;;;2;;;2
EBC Taleninstituut B.V.;;;;;;1;;;1
EBSCO Information Services B.V.;;;;;;2;;;2
Eburon Uitgeverij B.V.;;;;;1;;;;1
Edelburijn;;;;1;;1;;;1
Edin B.V.;;;;;;4;;;4
EDN Solutions B.V.;;;;;;4;;;4
Edufax B.V.;;;;;;1;;;1
Eduvision B.V.;;;;;;1;;;1
EE Consult;;;;;;1;;;1
Ee Consult B.V.;;;;;;1;;;1
Eenhoorn Evenementen;;;;;;;1;;1
Eetcafé Het Boerenverdriet;;;;;;;1;;1
Eetcafé Walkabout;;;;;;;1;;1
Eetcafe Westgaag V.O.F.;;;;;;;1;;1
Eethuis 'De Stoeterij';;;;;;;1;;1
Eethuys- Café 'De Generaal';;;;1;;;;;1
Eet-Villa Van den Brink;;;;1;;;;;1
E-Flyboarding B.V.;;;;;;;1;;1
Egel Weerbaarheid;;;;;;1;;;1
Eges;;;;;;1;;;1
Egner kantoorspecialisten;;;;;;1;;;1
EHRM Vision;;;;;;2;;;2
Eigendraads;;;;1;;;;;1
Eijkelkamp Soil & Water B.V.;;;;;;1;;;1
Eilers Handel Nederland B.V.;;;1;;;;;;1
Ekkersweijer Recreatie B.V.;;;;;1;;;;1
EKOM-advies;;;;;;3;;;3
Elastic N.V.;;;;;;3;;;3
Elektro DEMA;;;;;;4;;;4
Element Materials Technology Amsterdam B.V.;;;;;;1;;;1
Elferink & Kortier Advocaten B.V.;;;;;;2;;;2
EliteSport;;;1;;;;;;1
e-luscious Nederland B.V.;;;;1;;;;;1
Elycio Talen;;;;;;2;;;2
Elycio Talen B.V.;;;;;;6;;;6
Embedded Fitness B.V.;;;;;1;;;;1
Emblemen-Badges B.V.;;;;;;1;;;1
Emerald Social Return Fund Amsterdam N.V.;;;;;1;;;;1
Emerge&See B.V.;;;;;;3;;;3
Emergency Medical School B.V.;;;;;;1;;;1
EMMA Communicatie B.V.;;;;;3;1;;;3
Employee Performance Group B.V.;;;;;;4;;;4
Employee Wellbeing Company B.V.;;;;;2;;;;2
Emprover B.V.;;;;;;2;;;2
En nu online;;;;;;2;;;2
Energie voor Inzet;;;;;;1;;;1
Enginia B.V.;;;;;;1;;;1
Enjoy Beauty Flowers;;;;1;;;;;1
ENM Design;;;;;;1;;;1
Entertainment Engineers;;;;;;;1;;1
Enversed Entertainment Eindhoven B.V.;;;;;1;;;;1
EODV;;;;;;1;;;1
Ergatis B.V.;;;;;1;;;;1
Errea' Sport Nederland B.V.;;;1;;;;;;1
E's Learning;;;;;;2;;;2
Escape Room Designer B.V.;;;;;2;;;;2
Escaping NL B.V.;;;;;;;1;;1
E-Semble;;;;;;1;;;1
Esri Nederland;;;;;;3;;;3
Esselte B.V.;;;;1;;;;;1
Essence Trainingen Amsterdam B.V.;;;;;;1;;;1
ESVSHOP B.V.;;;;;;;1;;1
ETECH-trainingen;;;;;;1;;;1
Eten & Zo Zoetermeer B.V.;;;;1;;;1;;1
Eten & Zo Zwolle B.V.;;;;1;;;;;1
Etop;;;;;;4;;;4
Eurofins Food Testing Netherlands B.V.;;;1;;;;;;1
Euroforum;;;;;;3;;;3
European Language Centre B.V.;;;;;;1;;;1
EVC Centrum Nederland B.V.;1;;;;;5;1;;5
EVE Tilburg B.V.;;;;;;;1;;1
Evenementenbureau RoMa;;;;;;;1;;1
Evenementenverhuur Hollewand;;;;;;;1;;1
Evenementenzorg De Toren B.V.;;;;;;;1;;1
Events Holland B.V.;;;;;;;1;;1
Events2be B.V.;;;;;1;;;;1
EVO Fenedex;;;;;;3;;;3
E-WISE Nederland B.V.;;;;;;4;;;4
Executive Academy V.O.F.;;;;;;3;;;3
Experience Island;;;;;;1;;;1
ExpertCollege B.V.;;;;;;1;;;1
Expl. Mij. Golf en Fitness Centr. Putten B.V.;;;1;;;;;;1
Explainit Company;;;;;;1;;;1
Exploitatie Maatschappij Komfort B.V.;1;;;1;;1;2;;2
Exploitatiemaatsch. Golfbaan Amelisweerd B.V.;;;;;1;;;;1
Exploitatiemaatschappij City Hotel Gouda B.V.;;;;;;1;;;1
Exploitatiemij. Grand Hotel Karel V B.V.;;;;;;1;;;1
EXPO 66 B.V.;;;;;;1;;;1
Expo Display Service;;;;;1;;;;1
Exponential Expansion B.V.;;;;;;2;;;2
ExSyn Aviation Solutions B.V.;;;3;;;;;;3
Extrarius Adventures;;;;;;;1;;1
Eye For You Human Resource Consultancy;;;;;;1;;;1
Eyehear B.V.;;;;;;;1;;1
EyeVinci B.V.;;;;;1;;;;1
F5 Networking;;;;;;1;;;1
Fa. Veldwijk Sportprijzen en Relatiegesch.;;;;;;;1;;1
Faasen Advies;;;;;;1;;;1
Faber speelgoed;;;;;1;;;;1
FaberExposize B.V.;;;;1;;1;;;1
Fabius Opleidingen B.V.;;;;;;1;;;1
Fabory Nederland;;;;;1;;;;1
Face Value;;;;;;1;;;1
Faes Cases B.V.;;;;2;;;;;2
Fagron Nederland B.V.;;;1;;;;;;1
Fairytale;;;;1;;;;;1
Falck Fire Services NL;;;;;;5;;;5
Fast Lane Benelux B.V.;;;;;;5;;;5
Fast Lane Nederland B.V.;;;;;;2;;;2
FC Groningen;;;;;2;;;;2
FCC Advisory B.V.;;;;;;1;;;1
Federat. Taxat., Mak./Veilingh. roerende z.;;;;;;1;;;1
Feelgood2GO B.V.;;;;;;;1;;1
Feestquiz;;;;;;;1;;1
Fietstochten Utrecht;;;;;;;1;;1
Fijnevent B.V.;;;;;;;2;;2
Fire and Medical Training Centre B.V.;;;;;;1;;;1
Firebrand Training BeNeLux B.V.;;;;;;1;;;1
Fireware;;;;;;1;;;1
Firma De Jong;;;;1;;;1;;1
First Love Sound & Light Concepts;;;;;;;1;;1
Fitdesk;;;;;;2;;;2
Fith B.V.;;;;;4;;;;4
Fitt-recreatie B.V.;;;;;1;;;;1
Fjuze B.V.;1;;;;3;;;;3
Flash Rental Services B.V.;;;;;;1;;;1
Fletcher Hotel Exploitaties B.V.;;;;;1;1;1;;2
Fletcher Hotel Gilde;;;;;;;;1;1
Fleuri Bloemen;;;;1;;;1;;1
Flevonice B.V.;;;;;2;;;;2
Fliteline B.V.;;;;;;;1;5;5
Flitz-Events;;;;;;;1;;1
Florendael B.V.;;;;;2;2;;;2
Focus Learning Journeys B.V.;;;;;;1;;;1
food for sport;;;;;;;1;;1
Fooddock B.V.;;;;;;;1;;1
Foodstep B.V.;;;;;;4;;;4
Forsa Advies B.V.;;;;;;1;;;1
Fort 1881;;;;;;;1;;1
Fortimax Beheer;;;;;;1;;;1
Foto Konijnenberg B.V.;;;;;;1;;;1
Fotocinehouse B.V.;;;;;;;1;;1
Fotohuisje B.V.;;;;1;;;;;1
Fourstar Nederland B.V.;;;;;5;;;;5
FrameCandy;;;;1;;;;;1
Frank CS;;;;;;2;;;2
Franklin Food;;;;;;;1;;1
Franky's Nieuwegein;;;;;;;1;;1
Fred's Bloementeam;;;;1;;1;;;1
Freestyle Holland;;;;;;1;;;1
Fresca Group B.V.;;;;;;2;;;2
FREZON;;;;1;;;1;;1
Friese Tegelhandel B.V.;;;;;;1;;;1
Fruitzaam Events B.V.;;;;;;;1;;1
FS Sports B.V.;;;;;1;;;;1
Fundatis B.V.;;;;;;1;;;1
FunEvent;;;;;;;1;;1
Funworld;;;;;;;1;;1
G.M.S. Instruments;;;;;;1;;;1
G.M.T.O. Alkmaar B.V.;;;;;;1;;;1
G.V. Stage Equipment B.V.;;;;;;;1;;1
GaiaPark B.V.;;;;;;;1;;1
Gall & Gall;;;;1;;1;1;;1
Ganzenmarkt 24-26 Horeca Exploitatie;;;;;;;1;;1
Gasterij De Arend;;;;1;;;;;1
Gasterij de Kruidentuin B.V.;;;;;;;1;;1
Gasterij Stadzigt;;;;;;;1;;1
Gasterij 't Karrewiel B.V.;;;;;;1;;;1
Gasterij Zondag V.O.F.;;;;;;;1;;1
Gasthuys De Notabelen;;;;;;;1;;1
GE Oil & Gas Netherlands B.V.;;;;;;2;;;2
Geerdink Bouwmaterialen B.V.;;;;1;;;;;1
Geerts Gilze V.O.F.;;;;1;;;;;1
Gelderse Drankenhandel Appeldoorn B.V.;;;;1;;;;;1
Gemert Media B.V.;;;;1;;;;;1
Gemi Soest B.V.;;;;1;;;;;1
Generatiedynamiek;;;;;;;1;;1
Geo B.V.;;;;;;1;;;1
GeoFort Exploitatie B.V.;;;;;;;1;;1
George In Dr Maur orthoped. Schoentechniek;1;;;;;;;;1
Get Events B.V.;;;;;;;1;;1
Get out of here B.V.;;;;;;;1;;1
Getting the picture B.V.;;;;;;;1;;1
GigWorld B.V.;;;;;;;1;;1
Gio Allround Service;;;;;;;1;;1
GITP B.V.;;;;;;1;;;1
Gjaltema Materieel Verhuur;;;;1;;;;;1
Gladwell Academy B.V.;;;;;;2;;;2
Global Connection Expat Partner Support B.V.;;;;;;;3;;3
Global Knowledge Network Netherlands B.V.;;;;;;5;1;;5
Go B.V.;;;;;;2;;;2
Go Hard;;;;1;;;;;1
Goldsworthy, Stolk and Associates B.V.;;;;;2;1;;;2
Golfbaan Welschap B.V.;;;1;;1;;;;2
Golfcentrum Dongen B.V.;;;1;1;;;1;;1
Golfcentrum Reymerswael B.V.;;;;;;;1;;1
Golfcentrum Roosendaal B.V.;;;;;1;;1;;1
Golfers Point;;;1;;;;;;1
Golfpark De Haenen B.V.;;;;;;;1;;1
Golfpark Soestduinen B.V.;;;;1;;;;;1
Golfslag;;;1;1;;1;;;1
Good Life International B.V.;;;1;;;;;;1
GoodHabitz Netherlands B.V.;;;;;;2;;;2
Gordian Logistic Experts B.V.;;;;;;2;;;2
Gorkink Natuurlijk;;;;1;;;;;1
GORTcoaching B.V.;;;;;;1;;;1
Gotcha;;;;;;;1;;1
Governance & Integrity Nederland B.V.;;;;;;1;;;1
GrachtenAtelier;;;;;;;1;;1
Grachtenvaarders V.O.F.;;;;;;;1;;1
Grand Cafe Brasserie Brocante;;;;;;;1;;1
Grand Café Silva Ducis B.V.;;;;;;;1;;1
Grand-cafe Restaurant de Bunckman;;;;;;;1;;1
Graveertechniek Van Dijk B.V.;;;;1;;;;;1
Green Adventures;;;;;;1;;;1
Greenleaf Academy;;;;;;2;;;2
Greenzz B.V.;;;;1;;;;;1
Greetz B.V.;;;;1;;;;;1
Groenendijk Bedrijfskleding B.V.;;1;;;;;;;1
Groepsaccommodatie Breemhoeve;;;;;;;;1;1
Groepsaccommodatie 'De Boomstronk';;;;;;1;;;1
Groepsaccommodatie Den Hop;;;;;;;1;;1
Groepsuitjes Breda B.V.;;;;;;;1;;1
Groningen Airport Eelde N.V.;1;;;;;;;;1
Gumption26 B.V.;;;;;;1;;;1
Gusto Mangia e Bevi;;;;1;;;1;;1
Guzmania B.V.;1;;;1;;;;;1
GVO drukkers & vormgevers;;;;;;1;;;1
H.C.R. Lands End B.V.;;;;1;;;;;1
H.E.L. Shooter B.V.;;;;;;1;;;1
H2K Brandweeropleidingen B.V.;;;;;;1;;;1
Haaglanden Audio;1;;;;;;;;1
Haagse Taxi Mobilofoon Centrale B.V.;;;;;;1;;;1
Haas & Konijn;;;;;;1;;;1
Haemonetics B.V.;;;2;;;;;;2
Haenen Medical Training;;;;1;;;;;1
Haer Consult;;;;;;1;;;1
Haiku Talentontwikkeling B.V.;;;;;;2;;;2
Hamer B.V.;;;;;;1;;;1
Handelsmaatschappij Goos B.V.;;;;;;1;;;1
Handelsonderneming de Klomp;;;1;;;;;;1
Handelsonderneming Hagro;;;;;;1;;;1
Handelsonderneming Vathorst;;;;;;;1;;1
Hanos Apeldoorn B.V.;;;;1;;;;;1
Hanos Heerenveen B.V.;;;;;;;1;;1
HANOS-ISPC Breda B.V.;;;;1;;;1;;1
Hapfabriek;;;;;;;1;;1
Happe en van Rijn Holding B.V.;;;;;;1;;;1
Happy Day Tours;;;;;;2;;;2
Happy Meat B.V.;;;;1;;;1;;1
HappyNurse Uitzendbureau B.V.;;;;;4;;;;4
Haprotech Lasopleidingen B.V.;;;;;;1;;;1
Harmonia B.V.;;;;1;;;;;1
Hart Beach B.V.;;;1;;;;1;;1
Harting-Bank B.V.;;;;;;;;;
Hartwig Instruments B.V.;;;;;;;1;;1
Hattrick Media B.V.;;;;;1;;;;1
Health2Work B.V.;;;;;;;1;;1
Heemskerk Bloemisten;;;;1;;;;;1
Heetla-Wijnbergen V.O.F.;;;;1;;;;;1
Helder Events;;;;;;1;1;;1
HeliCentre B.V.;;;;;;4;;;4
Helix Learning;;;;;;1;;;1
Helperinzicht;;;;;;1;;;1
Hemstea Wijnen B.V.;;;;1;;;1;;1
Hendriks bedrijfskleding en bedrukking;;;;1;;;;;1
Henri Bloem's Wijnkoperij;;;1;1;;;;;1
Heraldic United;;;;1;;;;;1
Herberg 't Wapen van Cromvoirt;;;;;;;1;;1
Heres Plastics;;;;;;1;;;1
Hersenwerk;;;;;;1;;;1
Hesje.com B.V.;;;;;1;;;;1
Het Bos Roept;;;;;;1;;;1
Het Feest;;;;;;;1;;1
Het Gezelschap 'Practische Studie';;;;;1;;;;1
Het Kookstation;;;;;;;1;;1
Het Matelier;;;;1;;;;;1
Het Meisje van Rustenburg;;;;1;;;;;1
Het Nederlandse Rode Kruis;;;;1;;2;1;;2
Het Netwerkcentrum B.V.;;;;;;1;;;1
Het NIC B.V.;2;;2;;;;;;3
Het Oude Gemeentehuis;;;;;;;1;;1
Het Scheepvaartmuseum Enterprise B.V.;;;;;;;1;;1
Het Vikingschip;;;;;;1;;;1
Het Wil Konsult;;;;;;1;;;1
Het Zalmhuis B.V.;;;;1;;;;;1
HIM - Hoveling Interim Management;;;;;;1;;;1
Hippefruitmand.nl;;;;1;;;;;1
HLC Management B.V.;;;;;;;1;;1
HLC Wereld B.V.;;;;;;;1;;1
Hobeon Groep B.V.;;;;;;2;;;2
Hobrand B.V.;;;1;;;;;;1
HOC Opleiding & Training B.V.;;;;;;1;;;1
Hodac B.V.;;;;;;1;;;1
Hoekstra Beroepsopleidingen B.V.;;;;;;1;;;1
Hoeve de Middelt;;;;;;;1;;1
Hoeve Kromwijk;;;;;;;1;;1
Hofstad Events B.V.;;;;;;;1;;1
Hogenboom Vakantieparken B.V.;;;;;;;2;;2
Hogeschool Dirksen B.V.;;;;1;;;;;1
Hogeschool NOVI B.V.;;;;;;2;;;2
Hogeschool Schoevers;1;;;;;2;;;2
Hogrefe Uitgevers B.V.;;;;;4;;;;4
HoLaPress Congresbureau B.V.;;;;;;1;;;1
Holding Beheermaatschappij Ropeni B.V.;;;;;;;1;;1
Holland Casino;;;;;1;;;;1
Holland Consulting Group;;;;;;1;;;1
Holland Hoisting B.V.;;;1;;;;;;1
Holland Tour Guides B.V.;;;;;;;1;;1
Home & Castle Interiors;;;;;;;1;;1
Hommes;1;;;1;;;1;;1
Honden Advies Centrum Nederland;;;;;;2;;;2
Hooghoudt Distillers B.V.;;;;1;;;;;1
Horeca Exploitaties Noord-Holland B.V.;;;;;;1;;;1
Horeca Spoordonk B.V.;;;;;1;;1;;1
Horecaexploitatie Moeke B.V.;;;;;;1;;;1
Horizon 66 B.V.;;;;;;3;;;3
Horst World Kitchen;;;;1;;;;;1
Hostmanship Group Nederland B.V.;;;;;;3;;;3
Hotel Akersloot;;;;;;1;;;1
Hotel De Bilderberg;;;;1;;;;;1
Hotel De Haas Elburg B.V.;;;;;;;1;;1
Hotel De Wereld Restaurant O Mundo;;;;;;1;;;1
Hotel Den Helder;;;;;;1;1;;1
Hotel Gril Campanile 's-Hertogenbosch;;;;;;1;;;1
Hotel Indigo The Haque - Palace Noordeinde;;;;;;;1;;1
Hotel Leeuwarden Centre B.V.;;;;;;;;1;1
Hotel Leusden B.V.;;;;;;;2;;2
Hotel Mitland;;;;1;;;;;1
Hotel New York B.V.;;;;;;;1;1;1
Hotel Papendal;;;;;;;1;;1
Hotel Post Plaza B.V.;;;;;;;;1;1
Hotel Restaurant Bitter en Zoet B.V.;;;;1;;;;;1
Hotel Restaurant Huiskamercafé Oortjeshekken;;;;;;;1;;1
Hotel Uden-Veghel Exploitatie B.V.;;;;;;;1;;1
Hotel Zuiderduin B.V.;;;;;;;1;;1
Hotel-Café-Restaurant De Biltsche Hoek;;;;1;;;1;;1
Hotel-Café-Restaurant Haarhuis;;;;;;1;;;1
Hotel-Café-Restaurant 'Zwolle' B.V.;;;;1;;;;;1
Hotel-Restaurant 'De Zwarte Boer' B.V.;;;;1;;;1;;1
Hotel-Restaurant Ie-Sicht B.V.;;;;;;;1;;1
Hotel-Restaurant 'Oud London';;;;;;;1;;1
Hottinger Baldwin Messtechnik Gmbh;;;;;;1;;;1
House of Sports;;;;;;1;1;;2
House of Talent B.V.;;;;;;1;;;1
Houtelgroep;;;;;;;1;;1
Houthandel Gebroeders van Gelder B.V.;;;;1;;;;;1
Houthandel Looijmans B.V.;;;;;;;1;;1
Hou-Vast' Coaching & Training B.V.;;;;;;1;;;1
HowAboutYou B.V.;;;;;;1;;;1
HRorganizer B.V.;;;;;4;;;;4
HSA Breda B.V.;;;;1;;;;;1
HSK Interventie B.V.;;;;;;1;;;1
HSO Enterprise Solutions B.V.;;;;;;1;;;1
Hug Engineering B.V.;;;;;;1;;;1
Huisaanhuis.nu B.V.;;;;1;;;;;1
Huiskamer de Groote Sociëteit;;;;1;;;1;;1
Humphrey's Leeuwarden B.V.;;;;;;;1;;1
Humphrey's Restaurant;;;;1;;;;;1
Humphrey's Utrecht B.V.;;;;;;1;1;;1
Hunter;;;;;;;1;;1
Hunter 4 all sports B.V.;;;;1;;;;;1
Hurricane Textile & Sportswear B.V.;;;;1;;;1;;1
Hutten Business Catering B.V.;;;;;2;;;;2
Huurhoeftnietduur.nl;1;;;;;;;;1
hvs Dienstverlening;;;;;;4;;;4
Hyphen Holding B.V.;;;;1;;;;;1
IamProgrez B.V.;;;;;4;;;;4
Ianua Consult;;;;;;1;;;1
I-Aspect B.V.;;;;;4;;;;4
IBIZA Xperience B.V.;;;;;1;;;;1
IBN Participatie B.V.;;;;;3;;;;3
IBN-Arbeidsintegratie;;;;;3;;;;3
IBN-Productie;;;;;3;;;;3
IBTO Incompany BeveiligingsTraining & Onderw.;;;;;;1;;;1
ICM Administratie B.V.;;;;;;1;;;1
ICM Opleidingen & Trainingen B.V.;;;;;;2;;;2
Ictivity Trainingen B.V.;;;;;;1;;;1
ID College VAVO B.V.;;;;;;1;;;1
Ideaalcatering B.V.;;;;;;;1;;1
IDGift.nl;;;;1;;;;;1
Iep Holding B.V.;;;;;;1;;;1
IES Asset Management;;;;;;2;;;2
Ifmec;;;;;;1;;;1
Ifmec Young Professionals B.V.;;;;;2;;;;2
Igo-Post B.V.;;;;;;;1;;1
IJskar Huren IJstraktatie;;;;;;;1;;1
I-ken;;;;;;1;;;1
Imagem;;;;;;1;;;1
Imaging People;;;;1;;;1;;1
IMK Intermediair B.V.;;;;;3;;;;3
Impact Learning;;;;;;2;1;;2
Imparo;;;;;1;;;;1
Impulse Info Systems;;;;;;2;;;2
Impulsus, Support & Facilities B.V.;;;;;;2;;;2
In gesprek;;;;;3;;;;3
In 't Groene Woud B.V.;;;;1;;;1;;1
in Transit Coaching;;;;;;1;;;1
In2Content B.V.;;;;;;2;;;2
Inchainge B.V.;;;;;;1;;;1
Indisch Restaurant Garoeda;;;;;;;1;;1
Indonesisch Restaurant Poentjak;;;;;;;1;;1
Indoor Funcentre Breda;;;;;;;1;;1
Indoor Karting de Harder B.V.;1;;;;;;;;1
Indoor Skydive N.V.;;;;;;2;;;2
Industrieel Klimmen B.V.;;;;;;3;;;3
Infinity Labs B.V.;;;;;;3;;;3
Info Support B.V.;;;;;;2;;;2
Infolearn B.V.;;;;;;1;;;1
Information Security Academy B.V.;;;;;;1;;;1
Inge Advies en Organisatie;;;;;;3;;;3
Initiative Media B.V.;;;;;1;;;;1
Innovam;;;;;;1;;;1
Innoventa B.V.;;;;;;1;;;1
Inoutdoor;;;;;;1;;;1
Inspiration Company Nederland B.V.;;;;;;1;;;1
Installatiewerk Oost en Flevoland;;;;;;1;;;1
Instituut van Internal Auditors Nederland;;;;;;1;;;1
Instituut voor Bedrijfskundige Opleidingen;;;;;;1;;;1
Instituut voor Mens. Gedrag / De Leugenacad.;;;;;;1;;;1
Instituut voor Psychotrauma Nederland B.V.;;;;;;1;;;1
Int. Knowledge & Networking (IKN) B.V.;;;;;;2;;;2
Intelligence Group B.V.;;;;;3;;;;3
InterActie - Sportbedrijf Ermelo;;;;;1;;;;1
Intercédé B.V.;;;1;1;;1;;;1
InterDuinen B.V.;;;;;1;;;;1
International Wellness Resorts B.V.;;;;;1;;;;1
Interprint Zeefdrukkers;;;;1;;1;;;1
Interspiro B.V.;;;;;;1;;;1
Intertoys;;;;;;;1;;1
Into Rooms B.V.;;;;;;;1;;1
Intop Zorgsector B.V.;;;;;;1;;;1
Intro Horeca B.V.;;;;;;1;;;1
Introspectief;;;;;;2;;;2
Inzicht;;;;;;1;;;1
IP Trainershouse B.V.;;;;;;2;;;2
IPC Groene Ruimte B.V.;;;;;;2;;;2
IPMA - NL;;;;;;1;;;1
IPMA Certificering B.V.;;;;;;1;;;1
Ipol B.V.;;;;;;4;;;4
ISBW;;;;;;1;;;1
Israel Producten Centrum;;;;1;;;;;1
Issues Management Institute;;;;;;1;;;1
ISVE;;;;;;2;;;2
IT Management Group;;;;;;3;;;3
itrack;;;;;;1;;;1
IVIO@school;;;;;;5;;;5
IVON Opleidingen B.V.;;;;;;2;;;2
Ixo-Group B.V.;;;;;;1;;;1
J & L Art Lijstenmakerij;;;;;;;1;;1
J&V Horeca Exploitatie B.V.;;;;;;;1;;1
J.A.J.A.;;;;;;;1;;1
J10 Gaming;;;;;;1;;;1
Jaarbeurs B.V.;1;;;;;;;;1
Jachthaven Biesbosch B.V.;;;;;;;1;;1
JAM visueel denken B.V.;;;;;;2;;;2
Ja-maar® B.V.;;;;;;2;1;;2
JanMar B.V.;1;;;;;;;;1
Jansen Musical Instruments;;;;1;;;;;1
Janssens Kassasystemen;;;;;;;1;;1
Japas V.O.F.;;;;1;;;;;1
Jargon Aviation Consultancy B.V.;;;;;;2;;;2
Jati;;;;;;;1;;1
JB creatief;;;;1;;;;;1
JB-Inflatable B.V.;;;1;1;;;1;;1
JCB;;;1;;;2;;;2
JEANET ART APART;;;;;;;1;;1
Jeroen;;;;;;;1;;1
Jet Aviation Netherlands B.V.;;;;;;;;1;1
Jima Sportswear;;;1;;;;;;1
JoGe11;;;;1;;;;;1
Join The Pipe B.V.;;;;;;1;;;1
Jolange Opleidingen B.V.;;;;;;1;;;1
Jongeneel Bergen op Zoom;;;;;;1;;;1
Jongeneel Utrecht;;;2;;;;;;2
JonkerZwolle;;;;;;1;;;1
JS Entertainment;1;;;;;;;;1
Juma International B.V.;;;1;;;;1;;1
JustJulie;;;;;;;1;;1
Kader Bureau voor Kwaliteitszorg B.V.;;;;;;3;;;3
Kant.machineh. Van Kerkvoorde en Hollander BV;;;;;1;;;;1
Karcher B.V.;;;;;;1;;;1
Kart Centre Roosendaal B.V.;;;;;1;;;;1
Kartbaan Duiven B.V.;;;;;1;;1;;1
Kartbaan Uden B.V.;;;;;;;1;;1
Karting Plaza Exploitatie B.V.;;;;;;;1;;1
Kartoffel B.V.;;;;;;;1;;1
Kartonwinkel;;;;;;1;;;1
Kater Funsports B.V.;;;;;;1;;;1
Keijser exploitatie;;;;;;;1;;1
Kemet Europe B.V.;;;;;;1;;;1
KEMP Vakopleidingen B.V.;;;;;;1;;;1
Kennedy Van der Laan;;;;;;1;;;1
Kesco B.V.;;;;1;;;;;1
Keukenvuur;;;;;;;1;;1
Kevin's Grandcafe & Restaurant;;;;;;;1;;1
KGH Customs Services B.V.;;;;;;1;;;1
KijkDaan B.V.;;;;;;;1;;1
Kim's Kroeg;;;;1;;;;;1
Kinderboekwinkel Kakelbont;;;;;;;1;;1
KING Montage B.V.;;;;;;1;;;1
Kip van 't Stokske;;;;1;;;;;1
Kiwa Nederland B.V.;;;;;;1;;;1
Kiwa Register B.V.;;;;1;;;;;1
Klarna B.V.;;;;1;;;;;1
Klict B.V.;;;;;;2;;;2
Klimcentrum Neoliet Utrecht B.V.;;;1;;;;;;1
KM Nederland B.V.;1;;;;;;;;1
Koetsenruijter Conflictmanagement en Bemid.;;;;;;2;;;2
Koninklijke Begeer B.V.;;;;1;;;1;;1
Koninklijke Burgers' Zoo;;;;1;;;1;;1
Koninklijke Moorman Karton Weesp B.V.;;;;;;1;;;1
Koninklijke van der Most B.V.;;;;;2;;;;2
KookpuntOKE;;;;1;;;1;;1
Koops NOVL Opleidingen;;;;;;1;;;1
Kopwerk B.V.;;;;;;1;;;1
Kostverloren;;;;;;;1;;1
KPMG Advisory N.V.;;;;;;2;;;2
KPMG N.V.;;;;;;1;;;1
KPN Consulting B.V.;;;;;;1;;;1
Kraaltjes van Renate;;;;;;;1;;1
Kraton Rosbeijer B.V.;;;;;;;1;;1
Kris Kras Design B.V.;;;;;;2;;;2
Kruimel Advies;;;;;2;;;;2
KSG B.V.;;;;;;1;;;1
Kuipers Horeca Beheer;;;;1;;;;;1
Kwaku Summer Festival B.V.;;;;;1;;;;1
Kwx;;;;;;1;;;1
La Boheme B.V.;;;;1;;;;;1
La Galleria Noordwijk;;;;;;1;;;1
La Pucelle B.V.;;;;;;;1;;1
Lab QC;;;;;;1;;;1
Laco Deurne B.V.;;;;;1;;;;1
Laco Woensdrecht B.V.;;;1;;;;;;1
Lagaay International B.V.;;;;;;1;;;1
Lagerweij & Partner Consultants B.V.;;;;;;4;;;4
Lai Wing B.V.;;;;1;;;;;1
Landal GreenParks Beheer en Projecten B.V.;;;;;;;4;;4
Landkaartenbedrijf Commee B.V.;;;;;;1;;;1
Lanting consult;;;;;2;;;;2
Lascentra Holland B.V.;;;;;;1;;;1
Laserfeestje.nl;;;;;;;1;;1
Laska Computers;;;;;1;;;;1
