;4000 - Diensten en middelen overig;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement, Documentontwikkeling en -verwerking;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;Eindtotaal
Dacon Inspection Technology B.V.;2;;;;;;;;;;2
Dakota Flight Cases;;1;;;;;;;;;1
Dalhuisen Olie B.V.;1;;;;;;;;;;1
Dalmec B.V.;;;;;;;;;2;;2
Damme Kunststoffen B.V.;1;;;;;;;1;;;1
Danckaarts Techniek B.V.;;;;1;;;;;;;1
Dankers Special Case Products B.V.;;;;;;;;;2;;2
DAP Salland;;;1;;;;;;;;1
Dapco;1;;;;;;;;;;1
Darpo Reklame B.V.;1;;;;;;;;;;1
DAT Training;2;;;;;;;;;;2
Datema Amsterdam;1;;;;;;;;;;1
Daxtrio B.V.;1;;;;;;;;;;1
DB Agenturen;;;;;;;;;4;;4
DCE Nederland B.V.;4;;;;;;;;;;4
DCI Media B.V.;1;;;;;;;;;;1
DDJ Music B.V.;1;;;;;;;;;;1
DDS Druma B.V.;1;;;;;;;;1;;1
De Bergse Bossen;1;1;;;;;;;;;1
De Beveiligingswinkel;1;;;;;;;;;;1
De Bever B.V.;;;;;;;;1;;;1
De Bisschopsmolen;1;;;;;;;;;;1
De Bloemenplantage B.V.;1;1;;;;;;;;;1
De Bloemerij;1;;;;;;;;;;1
De Blomster;1;;;;;;;;;;1
De Branding Utrecht B.V.;1;;;;;;;;;;1
De Burgh Acht B.V.;2;;;;;;;;;;2
De Burgh Eindhoven B.V.;1;;;;;;;;;;1
De Digitale B.V.;;;;;;;;2;;;2
De Dozenhal B.V.;;;;;;;;1;;;1
De Efteling B.V.;;1;;;;;;;1;;2
De Fazant;1;;;;;;;;;;1
De Glasgraveur;1;;;;;;;;;;1
De Gouden Heren B.V.;2;;;;;;;;;;2
De Gouden Ton;1;;;;;;;;;;1
De Graafschap Dierenartsen B.V.;;;1;;;;;;;;1
De Groot Houtbewerkingsmachines B.V.;1;;;;;;;;;;1
de Hoogwerker.com;1;;;;;;;;;;1
De Houthal Bouwmaterialen B.V.;1;;;;;;;;;;1
De Japanse Watertuin B.V.;;1;;;;;;;;;1
De Kamer van Buren;;1;;;;;;;;;1
De Kampanje;;1;;;;;;;;;1
De Kikvorsch B.V.;1;;;;;;;;;;1
De Klok Dranken Helmond;;;;;3;;;;;;3
De Kluizenier;2;;;;;;;;;;2
De Koning;1;;;;;;;;;;1
De Koningshof B.V.;;1;;;;;;;;;1
De Koperen Tuin B.V.;;1;;;;;;;;;1
De Kort Catering B.V.;;4;;;2;;;;;;4
De Kunst van het Weglaten!;;1;;;;;;;;;1
De Lage Raam;1;;;;;;;;;;1
De Leemskuilen Uden B.V.;1;;;;;;;;;;1
De leestafel;1;;;;;;;;;;1
De Leidsche Das;1;;;;;;;;;;1
De Lisdodde;1;1;;;;;;;1;;1
De Meerpaal Beheer B.V.;;1;;;;;;;;;1
De Meesterslijpers;1;;;;;;;;;;1
De Mispelhoef;;1;;;;;;;;;1
De Nederlandse Boekenbon B.V.;1;;;;;;;;;;1
De Nieuwe Yogaschool B.V.;;1;;;;;;;;;1
De Pastorij;1;1;;;;;;;;;1
de Persgroep Nederland B.V.;1;;;;;;;;;;1
De Ploeg Techniek B.V.;;;;;;;;;4;;4
De Projectinrichter B.V.;;;;;;;;1;;;1
De Raat Security Products B.V.;1;;;;;;;;;;1
De Ridder B.V.;2;;;;;;;7;;;7
De Ridder Service Revisie en Meet B.V.;;;;;;;;;3;;3
de Rolf groep B.V.;1;;;;;;;;;;1
De Rosier Vught B.V.;;1;;;;;;;;;1
De Rotterdam B.V.;;1;;;;;;;;;1
De Rustende Jager;1;;;;;;;;;;1
De Schenker B.V.;1;;;;;;;;;;1
De Schildkamp B.V.;;1;;;;;;;;;1
De Schminkster;1;;;;;;;;;;1
De Sleutelspecialist Leeuwarden V.O.F.;;;;;;;;1;;;1
De Sleutelspecialist Van den Acker;;;;;;;;2;;;2
De Smelt B.V.;1;1;;;;;;;;;1
De Smockelaer B.V.;;1;;;;;;;;;1
De Spreeuwel B.V.;;1;;;;;;;;;1
De Sprint Hoogvliet B.V.;3;;;;;;;;;;3
De Stempelplaats B.V.;1;;;;;;;;;;1
De Stickerkoning B.V.;1;;;;;;;;;;1
De Tapperij;;1;;;;;;;;;1
De tinnen beker;;;;;;;;;1;;1
De Toekomst B.V.;1;;;;;;;;;;1
De Torteltuin;;1;;;;;;;;;1
De Utrechtse Haven B.V.;;1;;;;;;;;;1
De Veldkeuken Restaurant B.V.;;1;;;;;;;;;1
De Veranderarchitect B.V.;1;;;;;;;;;;1
de ViB fabriek;1;;;;;;;;;;1
De Vlas Transport B.V.;1;;;;;;;;;;1
De Volkskrant B.V.;1;;;;;;;;;;1
De Voordelige Groep B.V.;;;;;;;;1;1;;1
De Vriendelijke DJ;;1;;;;;;;;;1
De Vries Projekt Design B.V.;1;;;;;;;2;;;2
De Watertuin Bergen op Zoom B.V.;1;1;;;;;;;;;1
De Weerd Design;;;;;;;;1;;;1
De Winkel van Sinkel B.V.;;1;;;;;;;;;1
De Wit Schijndel B.V.;2;;;;;;;;;;2
De Witt SIAT Importeur B.V.;;;;;;;;;1;;1
De Wolf Maritime Safety;;;;;;;;;1;;1
De Ysbreker B.V.;1;1;;;;;;;;;1
Deal It;2;1;;;;;;;;;2
Deba 2000 B.V.;1;;;;;;;4;;;4
Deblick B.V.;;;;;;;;;2;;2
Decaprint;1;;;;;;;;;;1
December Productions;1;;;;;;;;;;1
Decilux AV Sales;1;;;;;;;;;;1
Deco Sign & Code B.V.;;;;;;;;;1;;1
DecoCreators;1;;;;;;;;;;1
De-Connectors;2;;;;;;;;;;2
Decora Design B.V.;1;;;;;;;;;;1
Defabrique Evenementen B.V.;;2;;;;;;;;;2
Déhora Consultancy Group B.V.;2;;;;;;;;;;2
DEKRA Certification B.V.;2;;;;;;;;;;2
Delhor Holding B.V.;1;;;;;;;;;;1
Delmation Products B.V.;1;;;;;;;;;;1
Deloitte Consulting B.V.;2;;;;;;;;;;2
Delphindoorski;1;;;;;;;;;;1
DELTA Comfort B.V.;1;;;;;;;1;;;1
DELTA Energie B.V.;1;;;;;;;;;;1
Delta International Promotioneel B.V.;2;1;;;;;;;1;;2
Delta International Uniformuitrustingen B.V.;3;1;;;;;;;4;;5
DeltaISIS B.V.;1;;;;;;;;;;1
Deltex B.V.;;;;;;;;5;;;5
Demand Academy;1;;;;;;;;;;1
Dematic;;;;;;;;;2;;2
Demcon Production;1;;;;;;;;;;1
Den Haag Centrum v. Strategische Studies B.V.;1;1;;;;;;;;;1
Denios B.V.;2;;;;;;;;1;;2
Dentalair Consumables B.V.;1;;;;;;;;;;1
Dertronics B.V.;1;;;;;;;;;;1
DesignClaud;;;;;;;;;1;;1
DFDS Seaways IJmuiden B.V.;2;;;;;;;;;;2
DHL Express (Netherlands) B.V.;1;;;;;;;;1;;1
Diadema B.V.;1;;;;;;;;;;1
Dibo Speelautomaten;;;;;;;;1;;;1
Dickens Horecabedrijven B.V.;1;1;;;;;;;;;1
Dielen Flightcase Bouw B.V.;1;;;;;;;;;;1
Dier&Arts;;;1;;;;;;;;1
Dierenartsenpraktijk de Zuidwesthoek;;;1;;;;;;;;1
Dierenartsenpraktijk Laakkwartier;1;;1;;;;;;;;1
Dierenartsenpraktijk Schouwen-Duiveland B.V.;1;;1;;;;;;;;1
Dierenartsenpraktijk Spierdijk Obdam;1;;;;;;;;;;1
Dierenartsenpraktijk Vivadier;;;1;;;;;;;;1
Dierenartspraktijk Assendelft;1;;;;;;;;;;1
Dierenartspraktijk de Grauw;1;;1;;;;;;;;1
Dierenartspraktijk Wormer;1;;1;;;;;;;;1
Dierenhospitaal Visdonk;1;;2;;;;;;;;2
Dierenhotel De Hendrik's Hoeve;;;1;;;;;;;;1
Dierenhotel 'Het Pensionnetje';;;1;;;;;;;;1
Dierenkliniek de Kempen;1;;;;;;;;;;1
Dierenkliniek de Oude Linge B.V.;;;1;;;;;;;;1
Dierenkliniek De Rashof;;;1;;;;;;;;1
Dierenkliniek Delft-Centrum B.V.;1;;;;;;;;;;1
Dierenkliniek Duinpark;1;;;;;;;;;;1
Dierenkliniek en Stoeterij Enterbrook;1;;1;;;;;;;;1
Dierenkliniek Hellendoorn-Nijverdal;1;;1;;;;;;;;1
Dierenkliniek Leusden;1;;;;;;;;;;1
Dierenkliniek Rijen B.V.;1;;2;;;;;;;;2
Dierenkliniek 't Westland;;;1;;;;;;;;1
Dierenkliniek Uden;1;;1;;;;;;;;2
Dierenkliniek Zamenhofdreef;1;;;;;;;;;;1
Dierenpension de Johanneshoeve;1;;;;;;;;;;1
Dierenpension en Hondenschool Knook;1;;;;;;;;;;1
Dierenpension 'Het Bildt';;;2;;;;;;;;2
Dierenpension Melishoeve;1;;;;;;;;;;1
Dierenpension 't Schipperke;1;;1;;;;;;;;1
Dierenpension Vasco;;;2;;;;;;;;2
Dierenpension, dierenasiel 'De Hooge Hoeve';;;1;;;;;;;;1
Dierfysiotherapie Diederen;;;1;;;;;;;;1
Diergeneeskundig Centrum Zuid-Oost Drenthe;1;;;;;;;;;;1
Diesel Calibratie Koenes;;;;;;;;;1;;1
Digital Pixel Marketing;1;;;;;;;;;;1
Digital Revolution B.V.;2;;;1;;;;1;1;;2
Dijkgraaf-Rijsdorp B.V.;1;;;;;;;;1;;1
Dinee Cafe De Kempen;1;;;;;;;;;;1
Dining Plaza;1;;;;;;;;;;1
Directbouw B.V.;;;;;;;;2;;;2
Dirksen Opleidingen B.V.;1;;;;;;;;;;1
Dirmar Seon B.V.;1;;;;;;;;;;1
DISC Factor B.V.;1;;;;;;;;;;1
Discountoffice.nl B.V.;1;;;;;;;2;1;;2
Discus Stiens;1;;1;;;;;;;;1
Display Electronics;1;;;;;;;;;;1
Displaygigant B.V.;1;;;;;;;;;;1
Distinguished;1;;;;;;;;;;1
Distrimex Pompen & Service B.V.;;;1;;;;;;;;1
Dive Post Dive-equipment;1;;;;;;;;;;1
Diversey B.V.;1;;;;;;;;;;1
Divoza Ruitersport B.V.;1;;;;;;;;4;;4
Dj Luuk;;1;;;;;;;;;1
DJ-Matic B.V.;1;1;;;;;;;;;1
DJS Products;1;;;;;;;;;;1
DK Horeca B.V.;;1;;;;;;;;;1
DM Laser & Licht;1;;;;;;;;;;1
DMG MORI Netherlands B.V.;;;;;;;;;2;;2
DNA Adviesgroep B.V.;1;;;;;;;;;;1
DNM International B.V.;;;2;;;;;;;;2
Document House Beuningen;1;;;;;;;;2;;2
Doenederland.nl B.V.;;1;;;;;;;;;1
Dog Sport Holland;1;;3;;;;;;;;3
Dokkumer Vlaggen Centrale B.V.;1;;;;;;;5;;;5
Dolfi Laser;1;;;;;;;;;;1
Dolstra advies;1;;;;;;;;;;1
Dometic Benelux B.V.;;;;;;;;;1;;1
Domstad Evenementen B.V.;1;1;;;;;;;;;1
Doornbos Equipment B.V.;;1;;;;;;;;;1
Doornse Apotheek B.V.;1;;;;;;;;;;1
Dörr Kampen B.V.;1;;;;;;;;;;1
Double Alpha Academy B.V.;1;;;;;;;;;;1
Double D. Designs B.V.;1;;;;;;;;;;1
Double Healix Educational Media B.V.;1;;;;;;;;;;1
Double You Promotions B.V.;;1;;;;;;;;;1
Douwe Egberts Horeca;1;8;;;;;;;;;8
Down Under Horecaexploitatie B.V.;1;;;;;;;;;;1
DPI Animation House B.V.;1;;;;;;;;;;1
Dräger Nederland B.V.;2;;5;;;;;;4;;5
Dragonfly Creations;1;;;;;;;;;;1
DRAGT;2;;;;;;;;1;;2
Dreamline B.V.;;;1;;;;;;;;1
DreNDT Industries B.V.;2;;;;;;;;;;2
Drent Techniek B.V.;;;;;;;;;1;;1
Drink en Eetlokaal Proefverlof B.V.;;1;;;;;;;;;1
D'Romerio B.V.;;;;;;;;1;;;1
Dronestars B.V.;4;;;;;;;;;;4
Drukbedrijf.nl B.V.;1;;;;;;;;;;1
Drukkerij Best;1;;;;;;;;;;1
Drukkerij De Bunschoter B.V.;1;;;;;;;;;;1
Druktemaker B.V.;1;1;;;;;;;;;1
Drums2play;1;;;;;;;;;;1
DRV Special Products;;;1;;;;;;;;1
DS Internet Trading B.V.;1;;;;;;;;;;1
DS Smith Packaging Barneveld B.V.;;;;;;;;;1;;1
DSH Domburg Sportprijzen Holland/Promopin.nl;1;;;;;;;;;;1
DSPA B.V.;;;;;;;;;1;;1
DSV Air & Sea Nederland B.V.;1;;;;;;;;;;1
Dufare Duik- en watersportreparatie;1;;;;;;;;;;1
Duisters ITG B.V.;1;;;;;;;;;;1
Duitman Hengelo B.V.;1;;;;;;;;;;1
Dujardin Brandkasten B.V.;;;;;;;;5;;;5
Dustcontrol B.V.;1;;;;;;;;;;1
Dutch Drone Group B.V.;2;;;;;;;;;;2
Dutraco Gouda B.V.;7;;;;;;;;7;;8
Duursma Electro V.O.F.;2;;;;;;;;;;2
Dynastart Tools;1;;1;;;;;;;;1
E Z Up Europe B.V.;1;;;;;;;2;;;2
E.L. Media Solutions;1;;;;;;;;;;1
Eagle Music;1;;;;;;;;;;1
Easy Actors B.V.;7;;;;;;;;;;7
Easy Ergonomics B.V.;1;;;;;;;;;;1
Easylocate;1;;;;;;;;;;1
Easyplants;1;;;;;;;;;;1
EB Commerce B.V.;1;;;;;;;;;;1
Ebricks;;;;;;;;;1;;1
Eco Toilet B.V.;;;;1;;;;;;;1
Ecotense B.V.;;;;;;;;1;;;1
Ecovation B.V.;1;;;;;;;;;;1
ECR Nederland B.V.;1;;;;;;;;;;1
Edelburijn;1;;;;;;;;1;;1
Eden Springs Nederland B.V.;1;;;;;;;;;;1
Edialux Nederland B.V.;;;1;;;;;;1;;1
EDN Solutions B.V.;1;;;;;;;;;;1
EDV Online B.V.;1;;;;;;;;;;1
EE Devices B.V.;1;;;;;;;;;;1
Eenkhoorn Financiële Dienstverlening B.V.;2;;;;;;;;;;2
Eerste Overijsselse Gereedschapslijperij B.V.;1;;;;;;;;;;1
Eetcafé Janssen & Janssen B.V.;;1;;;;;;;;;1
Eetcafé Noorderpoort-Harlingen;;1;;;;;;;;;1
Eetcafe Westgaag V.O.F.;;1;;;;;;;;;1
Eethuis 'De Stoeterij';;1;;;;;;;;;1
Eethuys- Café 'De Generaal';;1;;;;;;;;;1
E-Flyboarding B.V.;;1;;;;;;;;;1
Eges;1;;;;;;;;;;1
Egner kantoorspecialisten;1;;;;;;;;1;;1
Ehabo Preventie B.V.;1;;;;;;;;;;1
EHRM Vision;1;;;;;;;;;;1
Eijerkamp Zutphen B.V.;;;;;;;;1;;;1
Eijkelboom B.V.;2;;;;;;;;;;2
Eijlander Electronics B.V.;1;;;;;;;;;;1
Eijsink Afrekensystemen B.V.;1;;;;;;;;;;1
Eikendal Optiek Wageningen B.V.;1;;;;;;;;;;1
Eilers Handel Nederland B.V.;2;;;;;;;;6;;6
Eindhoven Airport N.V.;1;;;;;;;;;;1
EJBdesignery B.V.;1;;;;;;;;;;1
EKB Groep B.V.;1;;;;;;;;;;1
Electrocar B.V.;2;;;;;;;;;;2
Electrostart B.V.;1;;;;;;;;;;1
Electude Nederland B.V.;;;;;;;;;3;;3
Elektramat B.V.;1;;;;;;;;;;1
Elektro-Rama;1;;;;;;;;;;1
Eleshop B.V.;;;;;;;;;1;;1
Elfa Elementenfabriek B.V.;1;;;;;;;;;;1
Elis Nederland B.V.;2;;;;;;;;2;;2
Elnosro B.V.;1;;;;;;;;;;1
Eloise Consultancy;1;;;;;;;;;;1
Elscolab B.V.;1;;;;;;;;;;1
Elsto Drives & Lifting;;;;;;;;1;;;1
e-luscious Nederland B.V.;1;;;;;;;;;;1
Elzenboom Online Retail B.V.;1;;;;;;;;;;1
Em Kantoorsystemen B.V.;1;;;;;;;;;;1
Ematra B.V.;1;;;;;;;;;;1
Emblemen-Badges B.V.;1;;;;;;;;;;1
E-Milers Group B.V.;1;;;;;;;;;;1
EMMA Communicatie B.V.;;1;;;;;;;;;1
Emseq Audiovisuals;;;;;;;;;1;;1
Emtek Ergonomics B.V.;;;;;;;;1;;;1
Endomed B.V.;1;;;;;;;;;;1
Enduris B.V.;1;;;;;;;;;;1
Energy Partners Systems;1;;;;;;;;1;;1
Engelen Hekwerken B.V.;1;;;;;;;;;;1
Engelen-Groen Uden B.V.;1;;;;;;;;;;1
Engels;;;;;;;;;4;;4
Enjoy Beauty Flowers;;1;;;;;;1;;;1
EnJoy Bedrijfskleding;1;;;;;;;;;;1
Entomologie-Speciaalzaak Vermandel V.O.F.;;;1;;;;;;;;1
ENVIEM Retail B.V.;1;;;;;;;;;;1
EOX International B.V.;1;;;;;;;;;;1
Epilog Laser B.V.;;;;;;;;;1;;1
Epimeter B.V.;2;;;;;;;;;;2
EPLAN Software & Services B.V.;1;;;;;;;;;;1
Eraton B.V.;1;;;;;;;;;;1
Ergo2Work B.V.;1;;;;;;;;;;1
Ergonomique;1;;;;;;;;;;1
Eriks B.V.;2;;;;;;;1;2;;2
Erkon Engineering B.V.;;;;;;;;;1;;1
Ertronix;4;;;;;;;;;;4
Escaping NL B.V.;1;;;;;;;;;;1
Ese International B.V.;1;;1;;;;;;;;1
E-Semble;2;;;;;;;;;;2
Esra Handelmaatschappij B.V.;1;;;;;;;;;;1
Esselte B.V.;2;;;;;;;;1;;2
Essimo B.V.;1;;;;;;;;;;1
ESVSHOP B.V.;1;;;;;;;;;;1
Etalagepoppengigant B.V.;1;;;;;;;;;;1
ETCP B.V.;1;;;;;;;;;;1
Ettu Configuration B.V.;1;;;;;;;;;;1
Eur. Instit. voor Certified Public Controll.;1;;;;;;;;;;1
Eurocross Assistance Netherlands B.V.;1;;;;;;;;;;1
Eurofins Food Testing Rotterdam B.V.;;;;1;;;;;;;1
Euroforum;1;;;;;;;;;;1
Eurofysica B.V.;1;;;;;;;;1;;1
Euro-Index B.V.;1;;;;;;;;1;;1
Euromaster Bandenservice;1;;;;;;;;;;1
Europlan International V.O.F.;1;;;;;;;;;;1
Eurosafe Solutions B.V.;1;;;;;;;;1;;1
Eurostat Benelux;;;;;;;;;1;;1
Eurotempest B.V.;1;;;;;;;;;;1
EVC Centrum Nederland B.V.;2;;;;;;;;1;;2
evenementenamersfoort;;1;;;;;;;;;1
Event Rent Roadshowprodukties;1;;;;;;;;;;1
Eventmaat B.V.;1;;;;;;;;;;1
Everlake eCommerce B.V.;;;;;;;;;1;;1
Evidensia Dierenklinieken B.V.;;;1;;;;;;;;1
Evidensia Dierenziekenhuis Nunspeet;1;;1;;;;;;;;1
EVO Fenedex;1;;;;;;;;;;1
ExcellenZ-Group;;;;;;;;;1;;1
Excelsior Sport B.V.;;;;;;;;;1;;1
Excent Tandtechniek Amsterdam B.V.;1;;;;;;;;;;1
Experian Nederland B.V.;1;;;;;;;;;;1
Expert Dieren B.V.;1;;;;;;;;;;1
Expert Nunspeet;1;;;;;;;;;;1
Exploitatie Maatschappij Komfort B.V.;6;3;;;;;;2;1;;6
Exploitatiemaatschappij Fort Vechten B.V.;;1;;;;;;;;;1
Exploitatiemij. Grand Hotel Karel V B.V.;;1;;;;;;;;;1
Exploitatiemij. Havencompl. Lauwersoog B.V.;1;;;;;;;;;;1
Explora Werkplaatsinrichting B.V.;1;;;;;;;;;;1
Expo Display Service;1;;;;;;;;;;1
Expomedia;1;;;;;;;;;;1
Exportpack;;;;;;;;;2;;2
Extra Survivalcursussen en Bushcraft;1;;;;;;;;;;1
EyeVinci B.V.;1;;;;;;;;;;1
F & L Powerrental B.V.;1;;;;;;;;;;1
F & L Powerrental II B.V.;1;;;;;;;;;;1
Fa. Schibo;;;;;;;;;4;;4
Fa. Schoonhoven Service;1;;;;;;;;;;1
Fa. Veldwijk Sportprijzen en Relatiegesch.;1;;;;;;;;;;1
FaberExposize B.V.;1;;;;;;;;;;1
Fabory Nederland;2;;;;;;;;1;;2
Facilicom Solutions B.V.;;1;;;;;;;;;1
Facilicom Technische Service B.V.;;;;;;;;1;1;;1
Faes Cases B.V.;2;;;;;;;;5;;5
Faes Group B.V.;;;;;;;;;4;;4
Fameus wonen;;;;;;;;1;;;1
Familyland B.V.;;1;;;;;;;;;1
Famous Music Entertainment;2;;;;;;;;;;2
Farnell (Netherlands) B.V.;1;;;;;;;;;;1
Fast Feet t.h.o.d.n. Runnersworld Hoorn;1;;;;;;;;7;;7
Fatol Kunststoffen B.V.;1;;;;;;;;;;1
Fawic B.V.;;;;;;;;;1;;1
FCC Advisory B.V.;3;;;;;;;;;;3
FedEx Express Netherlands B.V.;1;;;;;;;;;;1
Feeling Interieurs;;1;;;;;;;;;1
Feithhuis Exploitatie B.V.;;1;;;;;;;;;1
Ferskaat MP;1;;;;;;;;;;1
Festo B.V.;1;;;;;;;;;;1
FHG Faber Pallets B.V.;1;;;;;;;;1;;1
FHI, Federatie van Technologiebranches;1;;;;;;;;2;;2
FieldConnect Sales & Services;2;;;;;;;;;;2
FilmService B.V.;3;;;;;;;;;;3
finalmente;1;;;;;;;;;;1
FindWhere B.V.;1;;;;;;;;;;1
Fireware;2;;1;;;;;;;;2
Firma Bierens gebakspecialiteiten;;1;;;;;;;;;1
Firma De Jong;1;1;;;;;;;;;1
Firma Janfre;2;;;;;;;;;;2
Fisher Emergo B.V.;1;;;;;;;;1;;1
Fitt-recreatie B.V.;1;1;;;;;;;;;1
Fjallraven B.V.;1;;;;;;;;2;;2
Flec Nederland B.V.;1;;;;;;;;;;1
Fledderman Productions;1;;;;;;;;;;1
Fletcher Hotel Exploitaties B.V.;1;1;;;;;;;;;2
Fleuri Bloemen;1;1;;;;;;;;;1
Flevonice B.V.;1;;;;;;;;;;1
Flexicon B.V.;1;;;;;;;;;;1
Flinstering B.V./RODEO Latin Amer. Gr. Rest.;1;1;;;;;;;;;1
Fliteline B.V.;5;;;;;;;;;;5
Flora Nova Interieurbeplanting B.V.;1;;;;;;;;;;1
Florisgifts B.V.;1;;;;;;;;;;1
Flowerfull Ackermans;;1;;;;;;;;;1
Flowershop Goes;;1;;;;;;;;;1
Foldy Pac Europe B.V.;;;;;;;;;1;;1
Footcare Benelux;;;;;;;;;1;;1
Foppen Grafische Bedrijven B.V.;1;;;;;;;;;;1
FormX;1;;;;;;;;;;1
Forsythia Zuidplas B.V.;1;;;;;;;;;;1
Fortimax Beheer;1;;;;;;;;;;1
Forward Support Trading B.V.;2;;;;;;;;;;2
Foto Creteer;1;;;;;;;;;;1
Foto Konijnenberg B.V.;1;;;;;;;;;;1
Foto NIVO Schweitzer;;1;;;;;;;;;1
Foto Video Beemster;;;;;;;;;1;;1
Foto Video Beemster B.V.;;;;;;;;;1;;1
Fox Reclame;1;;;;;;;;;;1
Frama Nederland;1;;;;;;;;;;1
Frame Engineering B.V.;1;;;;;;;;;;1
Frank Techniek;1;;;;;;;;;;1
Frank's Restaurant B.V.;;1;;;;;;;;;1
Frans Mets / De Bedderij Wonen en Slapen;;;;;;;;2;;;2
Freak Out Productions;1;;;;;;;;;;1
Frederik B.V.;;1;;;;;;;;;1
Fred's Bloementeam;1;;;;;;;;;;1
FreshKO B.V.;;;;;;;;;1;;1
Friederichs B.V.;;;;;;;;;1;;1
Fromm Nederland B.V.;;;;;;;;;1;;1
Fruitkracht;;1;;;;;;;;;1
FSN B.V.;1;;;;;;;;;;1
Fugers Ruitersport B.V.;;;;;;;;;1;;1
Fullcartuning B.V.;1;;;;;;;;;;1
Future Learning B.V.;3;;;;;;;;;;3
G.F.P. (Gear for Professionals) B.V.;3;;;;;;;;2;;4
G.S.P. B.V.;;;;;;;;;3;;3
G.V. Stage Equipment B.V.;;1;;;;;;;;;1
Gafco;1;;;;;;;;;;1
Gall & Gall;;1;;;;;;;;;1
Game Show Crew;1;;1;;;;;;;;1
Gannexion B.V.;1;;;;;;;;;;1
Garmin Nederland B.V.;;;;;;;;;5;;5
Gasdepot Pul;;;;;1;;;1;;;1
Gasthuys De Notabelen;;1;;;;;;;;;1
Gastouderbureau Het Liefbeestje B.V.;;;;;;;;;1;;1
Gasz&Company;;;;;;;;;1;;1
Gauchos Franchise aan de Plas B.V.;1;;;;;;;;;;1
GB Reclame & Bedrijfskleding;;;;;;;;;1;;1
Gebroeders Rouwenhorst;1;;;;;;;;;;1
Gede Verpakkingen B.V.;1;;;;;;;;;;1
Geling's Langste Autowasstraat B.V.;1;;;;;;;;;;1
Gencom Products B.V.;1;;;;;;;;;;1
Geometius B.V.;3;;;;;;;;;;3
Geopoints;1;;;;;;;;;;1
George In Dr Maur orthoped. Schoentechniek;;;;;;;;;1;;1
Geostick Nederlandse Etikettenindustrie B.V.;;;;;;;;;2;;2
Geostick Self-Adhesive Labels;;;;;;;;;2;;2
Gewoon Gouds B.V.;1;;;;;;;;;;1
Gforcefactory B.V.;2;;;;;;;;;;2
GH+O;2;;;;;;;;;;2
Giftcards B.V.;;;;;;;;;1;;1
Global Connection Expat Partner Support B.V.;1;;;;;;;;;;1
Global Knowledge Network Netherlands B.V.;2;;;;;;;;;;2
GLS Netherlands;1;;;;;;;;;;1
GMC-Instruments Nederland B.V.;;;;;;;;;1;;1
Go B.V.;1;;;;;;;;;;1
Goedhart Bouwmarkt Cruquius B.V.;1;;;;;;;;;;1
Goedman Kunstenaarsbenodigdheden;1;;;;;;;;1;;1
Golazo Athletics B.V.;1;;;;;;;;;;1
Goldberg Productions;1;;;;;;;;;;1
Golden Palace;1;;;;;;;;;;1
Golden Tulip Hotel De Reiskoffer;;1;;;;;;;;;1
Golfcentrum Dongen B.V.;;1;;;;;;;;;1
Golfcentrum Reymerswael B.V.;1;;;;;;;;;;1
Golfcentrum Roosendaal B.V.;1;;;;;;;;;;1
Golfpark De Haenen B.V.;1;;;;;;;;;;1
Gomes Warmenhuizen;1;;;;;;;;;;1
Good Xpress B.V.;1;;;;;;;;;;1
Goodstore;;;;;;;;1;1;;1
Goodtimegifts;;;;;;;;;1;;1
Gooodz;1;;;;;;;;;;1
Gorkink Natuurlijk;;1;;;;;;;;;1
Gotcha;1;;;;;;;;;;1
Goud Transport B.V.;1;;;;;;;;;;1
Goudsmit Magnetic Components B.V.;;;;;;;;;1;;1
Gouwenberg vloeren.gordijnen.zonwering;1;;;;;;;4;;;4
Governance & Integrity Nederland B.V.;1;;;;;;;;;;1
Govers Den Helder;;;;;;;;1;;;1
Gowa Sportswear B.V.;2;;;;;;;;;;2
Grand Café Arnhems Meisje;;1;;;;;;;;;1
Grand Cafe Brasserie Brocante;1;1;;;;;;;;;1
Grand Café De Wildeman Eindhoven B.V.;1;;;;;;;;;;1
Grand Hôtel Amrâth Kurhaus B.V.;;1;;;;;;;;;1
Graveertechniek Nederland B.V.;1;;;;;;;;;;1
Gravure '85;;1;;;;;;;;;1
Green Leaf Bar & Kitchen B.V.;;1;;;;;;;;;1
Greengiving B.V.;1;1;;;;;;;;;1
Greenzz B.V.;;;;;;;;1;;;1
Greetz B.V.;;1;;;;;;;;;1
Grevenbroek Music;1;;;;;;;;;;1
Grip5;1;;;;;;;;;;1
Groenendijk Bedrijfskleding B.V.;1;;;;;;;;3;;3
Groepsuitjes Breda B.V.;1;1;;;;;;;;;1
Groningen Airport Eelde N.V.;1;1;;;;;;;;;1
Groot Diving;1;;;;;;;;;;1
Groovements;;1;;;;;;;;;1
Grottendieck Maatwerk;;;;;;;;1;1;;1
Grow2Go;1;;;;;;;;;;1
Gruppo Corso Limited;1;;;;;;;;;;1
GS Handelsbedrijf B.V.;1;;;;;;;;;;1
GSMpunt B.V.;1;;;;;;;;;;1
Gubbels speciale technieken B.V.;;;;;;;;;1;;1
Guess WHO Internetproductions;1;;;;;;;;;;1
