Handelsnaam;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1180 - Reis & verblijfskosten;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3150 - Uitbesteden automatiseringsadvies;3160 - Uitbesteden accountancy en financien;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;5210 - Wagenpark;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;8110 - Vakliteratuur, abonnementen en overige informatie;8510 - Diversen communicatie;9302 - Laboratoriummaterialen;9590 - V&J specifiek;Eindtotaal
André Dokter Horeca B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Andree Troost Geluidstechniek;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
André's Bloemen B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Andrevo Naaimachines B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
Andrews Sykes B.V.;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;2
Andrs-dan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Anesthesiologie en Pijnbestrijding Emmen B.V.;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Angela Wijers Trainingen;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anglo Staal Holland B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Anja's Broodjesdienst;;;1;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Anje Kel Advies;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Anke Boelens Interieurvormgeving;1;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;1;;;;;;;2
Anker & Anker Opleidingen;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anker & Anker Strafrechtadvocaten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Annage Skutsjesilen;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Anne Boermans Coaching en Counseling;;;1;;1;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;2
Anne Frank Stichting;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Annelies Spek Training & Advies;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Annemarie Willems Producties;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Anoigo Services Limited;;;;;;;;;;;;;;;;;;;;;;;;;;2;;1;;;;;;;;;2
Anomie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Anovis B.V.;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ANP Pers Support;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ANP Photo;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;1;;;2
Ansul;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Antalis B.V.;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;2;2
Antea Group;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;2;;;;;;1;2
Anticimex;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;1;;;;;;;2
Antiquariaat Alfa Haganum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Antropia B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
ANWB B.V.;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;1;;;1;1
ANWB-Rijopleiding;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Any Lamp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Anycode;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1
Aoc Terra;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
AOG Contractonderwijs B.V.;;;;;3;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
AON de Stasie;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;1
AON Nederland C.V.;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;1
APAC Services B.V.;;;;;;;;;;;;;;;;;;;2;2;;;;;;;;;;2;;;;;;;3
APCOA Parking Nederland B.V.;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;2
APE Public Economics B.V.;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Apenheul;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
apetito B.V.;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
APG Asset Management N.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
APG Service Partners B.V.;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;4
A-Point B.V.;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;1;2
Apollo13;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Apotheek Berghem B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Apotheek Cleij B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Apotheek Crabbehof B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Apotheek Dana B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Apotheek De Fenix;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Apotheek de Hoed B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Apotheek Holtenbroek;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Apotheek Horst B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Apotheek Karsten B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Apotheek ReZA Regionale Zorginstell. Apotheek;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Apotheek Theresia B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Apotheek Wierden B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Apotheek Ypenburg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Apotheekhoudende huisartsenpraktijk Jaspers;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Apox B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
"Appartement ""De Dependance"" Rotterdam";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Appartementenhotel Geuldal;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Appel Gl.Instr.Makerij en Lab.benodigh.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Appelscha-Outdoor;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Applied Biosystems;;;;;;;;;;;;;;;;;;;;4;;;;1;;2;;;;;;;;;7;;7
Applied Research Laboratory Eur. (ARLE) B.V.;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;1;;1
APPLY Opleidingen en Advies B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Apro Consulting Services B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1
Aps Arnhem-Zuid;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
APS B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
APS Nieuwersluis;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Aqua Chain Holland;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Aqua Chain Holland B.V.;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;1;1;;;;;;2
Aqua Flor Bloembinderij;;;1;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;2
Aquacare Europe B.V.;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1
Aquaco B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;1
Aquastyle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
AR Updates B.V.;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ARA Groep B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Arab. Translation Service;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Arag-Ned., Alg. Rechtsbijst. Verzeker.mij NV;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Arap Relatiegeschenken B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;1
Arb.psych. Adv.bureau J.J. van den Broek B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Arbe Dienstverlening B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4
Arbèl B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
ARBO Opleidingscentrum B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Arbo Safe B.V.;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;2
Arbo Unie B.V.;;6;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6
ArboDirect;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
ArboFragma;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Arborapport R.K. Snijder;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Arbo-Rie-Support B.V.;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
ArboVitale B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Archangel Bouw B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Archimediair;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ArchiveX Solutions B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
ArchiXL B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1
Ardea Auto Hoofddorp;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Ardis Organisatieontwikkeling B.V.;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;2
A-Rea Artsen en Arbeidsdeskundigen B.V.;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Arehbo (Service & Advies);;;1;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;2
Arena Consulting Group B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
Arendje Verhuur B.V.;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Arfos Management Services B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
Argonaut Advies B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;2;5
Argus Etiketten B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Arian Tuintechniek;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;2;;;;;;;2
Arie Kievit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Arie Kok Catering-Partyverhuur B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Aristo Amsterdam B.V.;;;;;1;;;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;;;1
Aristo Eindhoven B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Arjan&;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Arjen Kwantes;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ArjoHuntleigh Nederland B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Arkiva Horeca B.V.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Arko Sports Media B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Arma Verhuur Horeca B.V.;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;1;1
Armada (Haaglanden) Catering;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Armand de Wit PFP Training & Consultancy;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ArmSlag ArbeidsmarktOpleidingen B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Arnage Horeca B.V.;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Arnauld Geschenken B.V.;;;1;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;1;2
Arnhemse Taxi Service;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Arno Roozeboom Vakfotografie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Arntz Nederland B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Arob Antennebouw B.V.;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;1;;;;;;;2
ARP Nederland B.V.;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;;;;;;;;;2
Arriva Touring;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Arro Tentverhuur;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ARS Traffic & Transport Technology B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;7;7
Arseus Dental Nederland B.V.;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1
Arslan & Ersoy Advocaten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Art & Dining;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Art & Woonhotel De Lichttoren B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Art 4 U;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;2
Art for More B.V.;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1
Art' Impression Catering;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Art of Interaction;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Art Systems B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1
Art. en Evenement. Stef Arntz/Streetwise B.V.;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Artas Beheer B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Artec Neval Instituut B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Artha training & coaching B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Artiestenservice.nl;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Artiestenverloningen B.V.;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Artifex Tolk- en Vertaalbureau;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Artige B.V.;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Artihove Regina B.V.;;;2;;;;;;;;;;;;;1;1;;;1;;;;;;;;;;;;;;;;;2
Artikraak;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;2;;;;;;;3
Artimat B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Artolive.Com B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Arts & Dennissen Catering;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Art-Scene Gigi Lameris;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Artsen Zonder Grenzen;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Artsenmaatschap Therapeuticum Aurum;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ARTTRA Cultureel Organisatiebureau;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Arval BNP Paribas group;;;;;;;1;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;4
arvato Finance B.V.;;;1;;;;;;;;;;;;;;1;;;1;1;;;;;;;;;;;;;;;1;1
Arvecon GmbH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Arvelo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Arveon B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
As Automatiserings Service Beheer B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4
ASB Security B.V.;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;2;;2;;;;;;;2
Ascesis B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
Ascom (Nederland) B.V.;;;;;2;;;;;;;;;2;;;;;2;1;;;;1;;;2;1;;1;;;;;;;3
Asco-Sports Inc.;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Asecos B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;1
Asian Paradise;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Asito Transport Stationsreiniging B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
ASM Assembly Systems;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Asmani Project Management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Asolutions B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1
Asp4all Hosting B.V.;;;;;;;;;;;;;;;;;;;;1;;;2;6;6;7;5;7;5;1;;;;;;1;7
Aspasia Interieurbeplanting;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;2
Asphalia B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
ASpider Solutions Nederland B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;2
ASR Nederland N.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Asrom Computeropleidingen;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ASSA ABLOY Entrance Systems;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
ASSA ABLOY Nederland B.V.;;;;;;;;;;;;;;1;;;;;1;1;;;;;;;;;;5;;1;;;;1;5
Asschat Design;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Asselbergs & Klinkhamer Advocaten;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Assemblee Sprekersbureau B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
Asser Bowling Centrum Veldkamp;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Asser Glas- en Verfhandel B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Assissa Consultancy Europe (ACE) B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;2
Associated Business Consultants;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Associatie voor Coaching;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Assurantiekantoor Limburg B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Astare Groningen;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ASTERIA Ardennes-Etape;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Astrid Plaza N.V.;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Astrid van Ruijven Training & Advies;;;1;;3;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;3
At Computing B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Atal B.V.;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;1
ATC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Atelier Beeld & Ruimte;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Atelier de Pleijsterplaats;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Atelier Henk de Bouter;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;1
Atelier Iconic;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Atelier 'in Beeld';;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Atelier Wenzel & van de Geer;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Ateno;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
ATEX Examencentrum B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Athenaeum Boekhandel B.V.;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Athenas B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Athene Palace B.V.;;;1;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
athes groen B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;2
Atif Medical;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ATIM Opleidingen B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ATK Grootkeukentechniek B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Atlant Zorggroep;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3
Atlantic Hotel Exploitatie B.V.;;;;;2;;;;;;;;1;;;;1;;;;;;;;;;;;;1;;;;;;;2
Atlas Copco Tools Nederland;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Atletiekvereniging Startbaan;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Atos Nederland B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;7;;;9;;;;;;;3;9
Atrium Mediation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
Atrium Vastgoedmanagement B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
ATS Systems B.V.;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;1;;;;;;;2
Attema-Witgoedservice;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1
Attero;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1
Attract bvba;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Attractie Verhuur Moonen B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Attractiepark en Camping Duinrell B.V.;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Auberge du Bonheur B.V.;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Audi Centrum Breda;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Audio Video Wolbers;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;1
Audion Elektro B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;1
Audiovisueel Productiebedrijf De Organisatie;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Augeo academy B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Augie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
August;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Auke Rauwerda B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;1;2
Auke Smits Publiciteit B.V.;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;1;2
Aura Software B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1
Ausems en Kerkvliet Arbeidsmed. Adv. B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
Ausma De Jong Advocaten B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Ausma Vorkheftrucks B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;2;2
Australian Restaurant Down Under;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Authentiek leiderschap B.V.;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Autisme Anders Bekeken B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Auto BHB B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Auto Gorter B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Auto Halan B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Auto Hoogenboom;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;2
Auto Indumij Dordrecht;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Auto Lease Groningen B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Auto Munsterhuis;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1
Auto Muntstad B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Auto Poppe De Bevelanden B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
