;9410 - Lokale belastingen - waterschapslasten;9520 - BZK specifiek;9540 - EZ specifiek;9560 - I&M specifiek;Eindtotaal
Compunicatie;;;;1;1
Computacenter;;;;6;6
Concreet Projectmanagement B.V.;;;;1;1
Concretor B.V.;;;;4;4
Confer.- en Opleid.centrum De Ruwenberg B.V.;;;;1;1
Conferentiehotel Landgoed Rhederoord B.V.;;;;2;2
Congres4U;;;;1;1
Coniche IN consultancy & projects B.V.;;;;2;2
Connected Information Systems B.V.;;;;1;1
Connection Systems B.V.;;;;4;4
Connexxion;;;;1;1
Connexxion Tours B.V.;;;;1;1
Conrad Electronic Benelux B.V.;;;;1;1
CONRADI CONCEPTS;;;;1;1
Considerati B.V.;;;;2;2
ConSierra Holding B.V.;;;;4;4
CONSORZIO VENEZIA NUOVA;;;;1;1
Consultant van de Energietransitie;;;;2;2
Contactum;;;;1;1
Contracting Maintenance Services B.V.;;;;4;4
Coolblue B.V.;;;;1;1
Coöp. Agr. Nat.beh.ver. Coll. Rivierenland UA;;;;1;1
Coöp. Agr. Natuur Coll. Midden Overijssel UA;;;;1;1
Coöp. In- en Verkoopver. 'Den Oever' UA;;;;2;2
Coöp. Verenig. Nederlandse Assurant. Beurs UA;;;;2;2
CoopCompact Gorinchem;;;;1;1
Coöperat. Ver. Agrar. Landschap Achterhoek UA;;;;1;1
Coöperatie De Betekenaar UA;;;;1;1
Coöperatie Ontwikkeling Leerpark UA;;;;1;1
Coöperatie PreventPartner UA;;;;2;2
Coöperatie United Economy UA;;;;1;1
Coöperatief Congrestolkensecretariaat UA;;;;1;1
Coöperatief Kristal Compagnie UA;;;;5;5
Copernicos Groep B.V.;;;;4;4
Copijn Boomspecialisten B.V.;;;;2;2
Copper8 B.V.;;;;4;4
Core Business B.V.;;;;1;1
Corendon Dutch Airlines B.V.;;;;1;1
Coriolis EPC;;;;2;2
Cormet Schoolcatering B.V.;;;;1;1
CORNER STONE INTERNATIONAL SAGL.;;;;1;1
Coro B.V.;;;;1;1
Corps van Vletterlieden V.O.F.;;;;4;4
Corrosie Consultancy Van der Meer;;;;1;1
CORSTENS informatie-architectuur;;;;2;2
Cost Engineering Consultancy B.V.;;;;1;1
Cosys procesmanagement & systeemintegratie;;;;2;2
COT;;;;2;2
Co-tech Consult;;;;4;4
Countus Accountants + Adviseurs;;;;3;3
Courageous Teaming B.V.;;;;1;1
CoVadem Services B.V.;;;;2;2
Covalent B.V.;;;;5;5
Cp2 B.V.;;;;3;3
CPM Consultancy Coöperatie UA;;;;2;2
Cramer Milieuadvies;;;;2;2
Cratos Risk B.V.;;;;3;3
Creacommerce Almere B.V.;;;;1;1
Cre-Aid B.V.;;;;2;2
Creatieve Koppen B.V.;;;;2;2
Creator Meeting Support B.V.;;;;1;1
CreaVisie;;;;2;2
Creemers Consulting;;;;2;2
CREM;;;;1;1
Creon B.V.;;;;2;2
Crevasse B.V.;;;;4;4
Crisispartner;;;;1;1
Crisisplan B.V.;;;;2;2
Croissanterie Antoine Bezorging-Catering B.V.;;;;1;1
Croissanterie 'de Snor' Beheer B.V.;;;;1;1
Crombach Stropen en Diksappen;;;;3;3
Crooked Line;;;;2;2
Croon advocaten N.V.;;;;3;3
Croonen;;;;2;2
Croonwolter&dros B.V.;;;;7;7
CrowdSense B.V.;;;;2;2
CRS Consultancy B.V.;;;;2;2
CSO Adviesbureau voor Milieu-Onderzoek;;;;1;1
CSU B.V.;;;;1;1
CT Coating Consultants;;;;2;2
CT&V advies B.V.;;;;4;4
Cu4iS B.V.;;;;3;3
Cubic Square B.V.;;;;2;2
Cubord Reclameborden B.V.;;;;1;1
Culinair Catering;;;;1;1
Cultuurhuis Garenspinnerij;;;;1;1
Cuppens en Zn. Aannemers B.V.;;;;2;2
CVC Conjunction Via Communications;;;;2;2
CVS Bureau voor Tekst en Uitleg;;;;1;1
CWV Barlo B.V.;;;;1;1
Cyber B.V.;;;;1;1
CyBerg;;;;1;1
CycloMedia Technology B.V.;;;;2;2
Cycloon Post B.V.;;;;1;1
Cyrus Infra Engineering;;;;4;4
CYStone;;;;1;1
CytoBuoy B.V.;;;;1;1
CZ Warande;;;;1;1
CZAV;;;;1;1
D&2 Consult B.V.;;;;1;1
D&B;;;;4;4
D&C Consult;;;;2;2
D&F Consulting B.V.;;;;4;4
D&J Zijderveld V.O.F.;;;;1;1
D&L advies en auditing B.V.;;;;2;2
D.P. Hilversum B.V.;;;;1;1
D.P.B. Flevoland;;;;1;1
da Thesta Support;;;;1;1
Daalder Advies;;;;4;4
Daan exploiteert B.V.;;;;1;1
Dagvoorzitter.nl;;;;1;1
Dalmulder Milieumanagement B.V.;;;;1;1
Dalstra-(FSZ) B.V.;;;;1;1
Damen Shipyards Den Helder B.V.;;;;1;1
Danfoss B.V.;;;;1;1
Dansen B.V.;;;;1;1
DAO Advies;;;;2;2
Dappr Marketing & Online;;;;1;1
Dar Dienstverlening B.V.;;;;1;1
Dare Strategy;;;;2;2
Dari Financial Services B.V.;;;;3;3
Darja Boers Communicatie;;;;4;4
Darwin Recruitment B.V.;;;;1;1
DAS Nederl. Rechtsbijstand Verzeker.mij. N.V.;;;;1;1
DaSilva;;;;1;1
DAT.Mobility B.V.;;;;7;7
Data Count B.V.;;;;4;4
DataExpert B.V.;;;;2;2
DataMoll;;;;2;2
Datawatt B.V.;;;;4;4
Datawell B.V.;;;;5;5
Dawid Technisch Projectmanagement;;;;2;2
Dazhong B.V.;;;;1;1
DBM elektrotechniek B.V.;;;;1;1
Dbvision B.V.;;;;5;5
DC Engineers B.V.;;;;6;6
DC Rock B.V.;;;;3;3
D-Cision B.V.;;;;2;2
DDCgroup B.V.;;;;5;5
De 4 Azen' 's-Hertogenbosch B.V.;;;;1;1
De Aanhef Tekst & Media;;;;1;1
De Afval Spiegel B.V.;;;;3;3
De Argumentenfabriek B.V.;;;;1;1
De Argumentenfabriek Denkacademie B.V.;;;;1;1
De Baak Administratie;;;;1;1
De Baak B.V.;;;;1;1
De Baak Noordwijk B.V.;;;;2;2
De Baan Verkeersadvies;;;;2;2
De Balken;;;;1;1
De Ballentent;;;;1;1
De Batterijen aan de Overeindseweg B.V.;;;;1;1
De Beren Utrecht-Centrum;;;;1;1
De Bergse Bossen;;;;1;1
de Bibliotheek aan de Vliet;;;;1;1
De Bierkelder Utrecht;;;;1;1
De Blaauwe Kamer B.V.;;;;1;1
De Boer & De Groot Civiele Werken;;;;4;4
De Boer Advies & Interim Management;;;;2;2
De Boerinn B.V.;;;;1;1
De Bont Adviesbur. Best.recht. Schadeverg. BV;;;;2;2
de Brabantse Biesbosch Recreatie;;;;1;1
De Branding Utrecht B.V.;;;;1;1
De Brass Lelystad;;;;1;1
De Brasserij Partycentrum;;;;1;1
De Brouwschuur B.V.;;;;1;1
De Bruin Techniek Breda B.V.;;;;1;1
de Bruyn Horeca;;;;1;1
De Budde;;;;1;1
De Bueger Bouwmanagement;;;;3;3
De Drukkerij B.V.;;;;1;1
De Duurzaamheidsrapporteurs;;;;1;1
Dé Duurzame Uitgeverij B.V.;;;;2;2
De Efteling B.V.;;;;1;1
De Ekolander Natuurvoeding;;;;1;1
De Energieke Schakel;;;;1;1
De Energieontwikkelaar;;;;3;3
De Engel, Café-Restaurant B.V.;;;;1;1
De Fanfare B.V.;;;;1;1
De Feestmeesters B.V.;;;;1;1
De Fietskoerier Utrecht;;;;1;1
De Finse Zeemanskerk Rotterdam;;;;1;1
De Galan Groep B.V.;;;;1;1
De Gebouwengids;;;;1;1
De Gouden Leeuw Bronkhorst B.V.;;;;1;1
De Goudse Lichtfabriek B.V.;;;;1;1
De Groene Ruimte B.V.;;;;1;1
De Groene Zaak, Ond. voor een Duurz. Economie;;;;1;1
de Groenvoorziener V.O.F.;;;;1;1
De Groot Design B.V.;;;;1;1
De Haan Holding B.V.;;;;2;2
De Harmonie B.V.;;;;1;1
De Heeren van Maarssen B.V.;;;;1;1
De Heische Hoeve B.V.;;;;1;1
De Herberg;;;;1;1
De Hoeskamer van Randwijck;;;;1;1
De Hoge Kamp B.V.;;;;1;1
De Hooge Vuursche B.V.;;;;1;1
De Hoop Pekso B.V.;;;;4;4
De Hoorneboeg - Aan de Hei B.V.;;;;1;1
De Hoorneboeg-In de Luwte B.V.;;;;1;1
De Huizenkeurder;;;;1;1
De IJsmeester;;;;1;1
De IJzeren Pot;;;;1;1
De investeringsmaatschappij;;;;2;2
De Jong en Vermeulen B.V.;;;;2;2
De Jong Petrol Service B.V.;;;;1;1
De Jong Zuurmond Infrabeheer, Ond.&Serv. B.V.;;;;10;10
De Jong's IJs B.V.;;;;1;1
De Kaartenshop;;;;1;1
De Kaaskop;;;;1;1
De Kabath Vastgoedbeheer B.V.;;;;1;1
De Kamer van Buren;;;;1;1
De Kantine;;;;1;1
De KASerne B.V.;;;;1;1
De keuken van Thijs;;;;1;1
De Kloveniersdoelen B.V.;;;;1;1
De Knegt & Leeflang B.V.;;;;1;1
De Koff Entertainment;;;;1;1
De Koperen Vis B.V.;;;;1;1
De Korenbeurs Exploitatie B.V.;;;;1;1
De Kuiper Infrabouw B.V.;;;;1;1
De Landgoederij B.V.;;;;1;1
De Lange IJzerwaren-Gereedschappen-DHZ;;;;1;1
De Lantaern B.V.;;;;1;1
De leeuw AGRO;;;;1;1
De Leeuw Legal;;;;4;4
De Lorijn Raadgevers O.G.;;;;5;5
de Maat advies;;;;3;3
De Meesterproef;;;;1;1
De Meeuw Oirschot B.V.;;;;2;2
De Nieuwe Aanleg B.V.;;;;1;1
De Oestervisser B.V.;;;;2;2
De Ontmanager;;;;1;1
De Oude Bibliotheek B.V.;;;;2;2
De Oude Huizer Haven B.V.;;;;1;1
De Paardenmaat;;;;1;1
De Parel van Zuilen;;;;2;2
De Pier B.V.;;;;1;1
De Pier Horeca B.V.;;;;1;1
De Polderland Groep B.V.;;;;1;1
De Pont B.V.;;;;1;1
De Poort van Kleef Utrecht B.V.;;;;1;1
De Rede van Batavia Haven B.V.;;;;1;1
De Resolutie Rijswijk B.V.;;;;1;1
De Ridder Consult B.V.;;;;2;2
De Rivieren Notarissen;;;;7;7
De Roever Milieuadvisering;;;;1;1
De Roskam Exploitatie B.V.;;;;1;1
De Rotterdam B.V.;;;;1;1
De Ruiter Catering;;;;1;1
DE SCHEEPVAART;;;;6;6
De Schenker B.V.;;;;1;1
De Sleutel- en Slotenspecialist B. Bosman;;;;1;1
de spelende vrouw;;;;1;1
De Stadsherberg Kampen V.O.F.;;;;1;1
De Staffing Groep Nederland B.V.;;;;4;4
De Stee;;;;1;1
De Stickerkoning B.V.;;;;1;1
De Trip B.V.;;;;3;3
De Uitbeelder;;;;1;1
De Uitkijk Bloemendaal B.V.;;;;1;1
De Utrechtse Haven B.V.;;;;1;1
De Utrechtse Stadsvrijheid B.V.;;;;1;1
De Utrechtse Watertoren B.V.;;;;1;1
De Valksche Bijenhof;;;;1;1
de Veerman van Kampen V.O.F.;;;;1;1
De Veldkeuken Amelisweerd B.V.;;;;1;1
De Verkeerspsycholoog GTi;;;;1;1
De Verleiding;;;;1;1
De Vief Heringe;;;;1;1
De Vitamine Kantine;;;;1;1
De Vreugdehoeve;;;;2;2
De Vries Cornjum B.V.;;;;4;4
De Vrieze Networking;;;;2;2
De Wassenaarse Krant B.V.;;;;1;1
De Weer Machines B.V.;;;;1;1
De Weesper Koe;;;;1;1
De Wegenscanners;;;;4;4
De Werkwijze;;;;3;3
De Wilde Infra & Cultuurtechniek B.V.;;;;1;1
De Winkel van Sinkel B.V.;;;;1;1
De Witte Smid Arnhem B.V.;;;;1;1
De Witte Vosch B.V.;;;;1;1
De Wolfsberg B.V.;;;;1;1
De Zalen van Zeven B.V.;;;;1;1
De Zandkamer;;;;1;1
De Zandroos;;;;1;1
De Zeeuw Facilitator Productions;;;;3;3
De Zilveren Vosch B.V.;;;;2;2
De Zoete Inval B.V.;;;;1;1
De Zwarte Ruiter op 't Witte Paart;;;;1;1
De Zwarte Vosch B.V.;;;;1;1
Deba 2000 B.V.;;;;1;1
Debat.NL B.V.;;;;1;1
deBreedte;;;;2;2
Debuco Advies B.V.;;;;2;2
Decicon;;;;1;1
Decisio B.V.;;;;2;2
Decos Software Engineering B.V.;;;;4;4
DeeCee Exploitatie B.V.;;;;1;1
Deelgoed;;;;1;1
Deep B.V.;;;;7;7
DEFACTO Architectuur en Stedenbouw;;;;2;2
De-Ge Transport B.V.;;;;3;3
Déhora Consultancy Group B.V.;;;;1;1
Deining;;;;2;2
Dekimo Goes B.V.;;;;5;5
deKleineBaron;;;;1;1
Dekra People B.V.;;;;1;1
Delft Dynamics B.V.;;;;1;1
Delft Hightech Service;;;;1;1
Delft Interim;;;;5;5
Deli33 Doelen Rotterdam B.V.;;;;1;1
Delibert B.V.;;;;1;1
Délifrance Lelystad Noordersluis B.V.;;;;1;1
Delissen Martens Advocat. en Belast.adv.;;;;1;1
Deloitte Accountants;;;;3;3
Deloitte Consulting B.V.;;;;5;5
Deloitte Risk Advisory B.V.;;;;1;1
Delphi;;;;1;1
Delta Berging & Transport B.V.;;;;1;1
Delta Concrete Consult B.V.;;;;1;1
Delta III Visuals & Communications;;;;2;2
Delta International Uniformuitrustingen B.V.;;;;1;1
Delta PI;;;;6;6
Delta Project Management B.V.;;;;6;6
DELTA Safety Training;;;;1;1
Demis B.V.;;;;1;1
Den Hartog B.V.;;;;1;1
den Heijer Uitgeverij;;;;1;1
Den Helder Hydraulics B.V.;;;;6;6
Den Hollandsche B.V.;;;;1;1
Den Ouden Aannemingsbedrijf B.V.;;;;5;5
Den&M Horecabedrijven Holding B.V.;;;;1;1
Depasse Organisatie & Informatie;;;;1;1
depoorte.com;;;;1;1
Derikx Infra B.V.;;;;1;1
DesignDrone;;;;2;2
Designed 2 Rock;;;;1;1
Deskbookers B.V.;;;;1;1
Destil;;;;1;1
Det Norske Veritas B.V.;;;;3;3
Detail Devil;;;;2;2
Detron Communication Solutions;;;;2;2
Detron ICT Rental Solutions;;;;1;1
Deurwaarderskantoor Van Dam en Pruijn B.V.;;;;1;1
Deuts;;;;1;1
Devobo Forest Service B.V.;;;;4;4
Dewi SRI Westerkade B.V.;;;;1;1
d-fine GmbH;;;;1;1
DGMR Industrie Verkeer en Milieu B.V.;;;;2;2
D-Hits;;;;1;1
DHM infra;;;;3;3
Dialogic Innovatie & Interactie;;;;2;2
Dialxs B.V.;;;;2;2
DIANA FEA B.V.;;;;1;1
DIEMEC;;;;1;1
Dievisie;;;;2;2
DIG - Design Innovation Group B.V.;;;;2;2
Digital Power B.V.;;;;2;2
DigitalTF B.V.;;;;1;1
Dijk53 B.V.;;;;2;2
Dijkema Communicatie;;;;1;1
Dijkmonitoring Nederland;;;;2;2
Dikmans Kwaliteitsadvies;;;;2;2
Dilatec Holland B.V.;;;;2;2
Dimensus Beleidsonderzoek B.V.;;;;3;3
Dinaf Traffic Control B.V.;;;;3;3
Diractivity-Software B.V.;;;;1;1
Direct Research B.V.;;;;1;1
Dirix Elsloo B.V.;;;;1;1
Dirkzwager N.V.;;;;7;7
Discountoffice.nl B.V.;;;;1;1
Disgover B.V.;;;;2;2
Displaymaterialen-online;;;;1;1
Distrimex Pompen & Service B.V.;;;;2;2
DITP Beheer & Exploitatie B.V.;;;;2;2
Divide B.V.;;;;2;2
Diving Service Beverwijk;;;;1;1
Djembé - AGOGÓ;;;;1;1
Djen Design B.V.;;;;1;1
djproducer.school;;;;2;2
dk.;;;;4;4
DLA Piper Nederland N.V.;;;;2;2
DLV Makelaardij B.V.;;;;1;1
DMV Consulting B.V.;;;;1;1
D'n Boerderij;;;;1;1
DNBG Holding B.V.;;;;1;1
DNV GL Netherlands B.V.;;;;4;4
DNWG Infra B.V.;;;;4;4
Dock 17;;;;1;1
Doclife B.V.;;;;3;3
Documens B.V.;;;;2;2
DocXS;;;;3;3
Doe wat je leuk vindt;;;;1;1
Doedels B.V.;;;;1;1
doe-L Consult Huizen;;;;2;2
Doenederland.nl B.V.;;;;1;1
Doesburg B.V.;;;;3;3
DOJA Plein B.V.;;;;1;1
Dokkumer Vlaggen Centrale B.V.;;;;1;1
Dollee-Infra-Advies;;;;1;1
Dolmans-Budé Legal B.V.;;;;1;1
Dolphin Maritime Netherlands B.V.;;;;1;1
Domaine De Bellevue Nederland;;;;1;1
Dommershuijzen CivielTechnisch Advies;;;;2;2
Domstad Evenementen B.V.;;;;1;1
Don Bureau B.V.;;;;7;7
Don Latino;;;;1;1
Donker Groep B.V.;;;;1;1
Door Verspreidingen B.V.;;;;2;2
Doortimmerd;;;;3;3
Dor B.V.;;;;1;1
Dordts Genoegen;;;;1;1
Dorpshuis 'de Schutse';;;;1;1
Dorpshuis De Spieker;;;;1;1
Dorpshuis het Trefpunt;;;;1;1
Dorsphuis Zonnemaire;;;;1;1
Dorst Waterbouw Consult;;;;2;2
Dorstlust B.V.;;;;1;1
Dotka Data B.V.;;;;1;1
DOTOCEAN;;;;2;2
Double 2 B.V.;;;;1;1
Double B Bar & Kitchen;;;;1;1
Double Dutch Amsterdam B.V.;;;;1;1
Double Green Projects B.V.;;;;3;3
Douwe E. Buis B.V.;;;;2;2
Douwe Egberts Horeca;;;;1;1
Dover Holding B.V.;;;;2;2
Down Under Horecaexploitatie B.V.;;;;1;1
Doxis;;;;7;7
DP Products B.V.;;;;1;1
DPG Media B.V.;;;;1;1
DPI;;;;1;1
Dräger Safety Nederland B.V.;;;;1;1
Draijer Management;;;;1;1
Draivwerkt;;;;1;1
Drankenhandel Gevo;;;;1;1
DredgeProf B.V.;;;;1;1
Drentea Kantoormeubelen;;;;1;1
Dresscher Advies B.V.;;;;2;2
Drijvend Paviljoen;;;;1;1
Dröge&V. Drimmelen, Corp.Comm.&Publ.Aff. B.V.;;;;1;1
DroneQuest;;;;2;2
DROOM Wereldkeuken B.V.;;;;1;1
Drukkerij C.R. de Mulder B.V.;;;;1;1
Drukkerij en Boekhandel Van de Sande B.V.;;;;1;1
Drukkerij Kempers B.V.;;;;1;1
Drukkerij Zoeteweij;;;;1;1
Drukwerkstudio.nl;;;;1;1
DSAM;;;;3;3
DTV Consultants B.V.;;;;4;4
Duckcity B.V.;;;;1;1
Dudok aan het IJ B.V.;;;;1;1
Dudok Arnhem B.V.;;;;1;1
Dudok in het Park B.V.;;;;1;1
Dudok RDM B.V.;;;;1;1
Dudok Rotterdam B.V.;;;;1;1
Dufec B.V.;;;;5;5
Duikbedrijf Boeren B.V.;;;;2;2
Duikers- & Bergingsbedrijf W. Smit B.V.;;;;7;7
DunES Executive Support;;;;1;1
Duo vertaalburo B.V.;;;;1;1
Dura Vermeer Divisie Infra B.V.;;;;4;4
Dura Vermeer Infra Landelijke Projecten B.V.;;;;8;8
Dura Vermeer Infra Milieu B.V.;;;;7;7
Dura Vermeer Infra Regio Noord West;;;;4;4
Dusseldorp Infra, Sloop en Mil.techn. B.V.;;;;1;1
Dussman Service Deutschland GmbH;;;;1;1
Dutch Boosting Group;;;;6;6
Dutch Coating Consultants B.V.;;;;1;1
Dutch Drone Company B.V.;;;;2;2
Dutch Drone Group B.V.;;;;3;3
Dutch Food Concepts B.V.;;;;1;1
Dutch Marine Holding B.V.;;;;2;2
Dutch Pinball Museum;;;;1;1
Dutch Research Institute for Transitions B.V.;;;;2;2
DuurzaamNL B.V.;;;;2;2
DVGW TECHNOLOGIEZENTRUM WASSER;;;;2;2
Dwarsverband;;;;2;2
Dyco Consultancy & Congressen;;;;2;2
Dymospecialist;;;;1;1
DYNALEC CORPORATION;;;;2;2
DynaVision B.V.;;;;1;1
DYNNIQ BELGIUM;;;;6;6
Dynniq Peek Traffic B.V.;;;;7;7
DySI Software Innovations B.V.;;;;2;2
E & E Collect B.V.;1;;;;1
E & R Beheer B.V.;;;;1;1
E. Strating de Jonge thodn Primera Strating;;;;1;1
E. van der Boom Advies;;;;2;2
E.A.M. Groenewegen Holding B.V.;1;;;;1
E.B.O. van Weel Beheer B.V.;;;;2;2
E.J. v. Plateringen;;;;2;2
E.Novation B.V.;;;;1;1
E.S.S. Scaffolding B.V.;;;;3;3
E.T. Ebbens Wateradvies & Projecten;;;;3;3
Eagle's Flight Benelux;;;;2;2
Easy Montage & Techniek;;;;1;1
EB-Business B.V.;;;;1;1
Ebima;;;;4;4
Ebisch Media;;;;1;1
EBS Public Transportation B.V.;;;;1;1
Echte Bakker Jorink B.V.;;;;1;1
Echte Bakker Theo Pastoor B.V.;;;;1;1
Eclipse;;;;3;3
Eco Consult;;;;5;5
Ecoauthor;;;;3;3
EcoChain Technologies B.V.;;;;1;1
Eco-Cycle B.V.;;;;1;1
ecoengineers;;;;2;2
Ecofide;;;;3;3
EcoGiving B.V.;;;;1;1
Ecogroen B.V.;;;;2;2
Ecologica B.V.;;;;1;1
Ecologisch Adviesbureau Viridis B.V.;;;;2;2
Ecoloss Project B.V.;;;;2;2
Ecomediagroep B.V.;;;;1;1
Econsultancy B.V.;;;;2;2
ECORYS Nederland B.V.;;;;5;5
Ecospace;;;;2;2
Ecosub;;;;2;2
ECTRI EUR CONF TRANS RES INST;;;;2;2
Eden Eindhoven Hotel Exploitatie II B.V.;;;;1;1
Eden Oranje Hotel B.V.;;;;1;1
Eden Springs Nederland B.V.;;;;1;1
EDG Educatieve Distributie B.V.;;;;1;1
Educore B.V.;;;;1;1
Eefence;;;;1;1
Eemshotel;;;;1;1
Een dag in Vorm;;;;1;1
èèN200;;;;9;9
Eend;;;;2;2
Eerst doen, dan denken;;;;2;2
Eet- en koffiehuis de Kiosk;;;;1;1
Eetcafé Cafetaria de Hoek;;;;1;1
Eetcafé De Oude Ketting B.V.;;;;1;1
Eetcafé De Poort B.V.;;;;1;1
Eetcafé De Roskam;;;;1;1
Eetcafé Het Kraantje;;;;1;1
Eetcafé Wiegman;;;;1;1
Eetcafé-Cafetaria Bommenede;;;;1;1
Eetcafé-Hotel de Molenhoek;;;;1;1
Eethuis Smaak;;;;1;1
EFBM Legal Services;;;;3;3
Efectis Nederland B.V.;;;;7;7
EFESO Belgium NV/SA;;;;2;2
EFTAS FERNERKUNDUNG;;;;5;5
EGadvies R2 Consulting;;;;4;4
EHM Hotel Breda B.V.;;;;1;1
EHM Hotel Groningen B.V.;;;;1;1
EHM Hotel Papendrecht Exploitatiemaatschappij;;;;1;1
EIC Mainport Rotterdam;;;;1;1
Eijkelkamp Soil & Water B.V.;;;;2;2
Eijsbouts Fabriek van Torenuurwerken B.V.;;;;1;1
Einstein Exploitatie B.V.;;;;1;1
Eis Ergon;;;;1;1
Ekinetix B.V.;;;;2;2
Ekogras Dakbedekkingssystemen;;;;2;2
Ekwadraat Advies B.V.;;;;3;3
El Amarna Foundation B.V.;;;;5;5
El Cappuccino;;;;1;1
Elbo Technology B.V.;;;;2;2
Elec.techn. Bureau Van den Meerendonk B.V.;;;;1;1
EleCAD tekenbureau;;;;1;1
Electronic Power Control (E.P.C.) B.V.;;;;5;5
Electrotechnisch Bedrijf Kuyvenhoven B.V.;;;;2;2
Electro-Watt I.M.;;;;1;1
Elektro Service Rob;;;;1;1
Elektroraad Expertise B.V.;;;;2;2
ELO Engineering B.V.;;;;4;4
ELSTER NV/SA;;;;4;4
Elumint B.V.;;;;4;4
Embedded Micro Technology Limited;;;;1;1
EMD International A/S;;;;2;2
E-Mergo Bis B.V.;;;;1;1
Emha Monitoring B.V.;;;;1;1
Emma Handson B.V.;;;;1;1
Employee Performance Group B.V.;;;;2;2
Empower People B.V.;;;;2;2
ENCONET Consulting Ges.m.b.H.;;;;1;1
Encore Bar & Grill;;;;1;1
Enduris B.V.;;;;6;6
Eneco Zakelijk;;;;9;9
Enerco B.V.;;;;5;5
enerGQ B.V.;;;;3;3
