2;1000 - Personele exploitatie overig;1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis en verblijfkosten;Eindtotaal
HSK Groep;;;;1;;;;;1
HSK Interventie B.V.;;1;;2;;;;;2
Huis ter West B.V.;;;1;;;;;;1
Human Dimensions B.V.;;;;;2;;;;2
HumanAbility Arbeidsdeskundig Advies B.V.;;;;1;;;;;1
Humor werkt producties;;;;;;1;;;1
Humphrey's Restaurant;;;1;;;;;;1
Humphrey's Rotterdam B.V.;;;1;;;;;;1
Hutten Catering B.V.;;;2;;;;;;2
Huub Horeca 3 B.V.;;;1;;;;;;1
hyphen MassSpec;;;;;1;;;;1
Ianua Consult;;;;;1;;;;1
iapp;;;;;1;;;;1
ICM Opleidingen & Trainingen B.V.;;;;;1;;;;1
ICOON B.V.;;;;;1;;;;1
ICWS;;;;;1;;;;1
Ifmec B.V.;;;;;1;;;;1
IGO INT GESCHENKEN ORG BV;;;1;;;;;;1
IJsselhotel B.V.;;;;;;1;;;1
Il Tartufo;;;1;;;;;;1
Ilse Relatiebemiddeling;;;;;1;;;;1
Imag;;;;;1;;;;1
Imaging Fotografie;;;1;;;;;;1
IMK Intermediair B.V.;;;;;2;;;;2
Imke Heitzer;1;;;;;;;;1
Impero Romano Holding B.V.;;;1;;;;;;1
Impulsus, Support & Facilities B.V.;;;;;1;;;;1
In Balans Integratieve Zorg;;;;1;;;;;1
In balans met aandacht;;1;;;;;;;1
In de Steigers B.V.;;;1;;;;;;1
In den Vollen Pot B.V.;;;1;;;;;;1
In Pace B.V.;;;1;;;;;;1
in60seconds B.V.;;;;;2;;;;2
Incentivo B.V.;;;;2;;;;;2
India Palace Restaurant B.V.;;;1;;;;;;1
Indian Restaurant Maharani B.V.;;;1;;;;;;1
Indisch Restaurant 'Bali' B.V.;;;1;;;;;;1
Indonesisch Restaurant Poentjak;;;1;;;;;;1
Indoor Funcentre Breda;;;1;;;;;;1
Inez Bosch The Human Effect;;;;;1;;;;1
Info Support B.V.;;;;;4;;;;4
Information Security Academy B.V.;;;;;2;;;;2
ING Bank;;;;;;;;1;1
Ing.bur. en Techn. Hand.ondernem. Autron B.V.;;;;;1;;;;1
Ingrid la Haye Illustraties;;;1;;;;;;1
Innovam;;;;;1;;;;1
Innovatieman;1;;;;;;;;1
Inside Defence;;;;;1;;;;1
InsightsWorld B.V.;;;;;1;;;;1
Inspiring Teams;;;;;1;;;;1
Instituut van Internal Auditors Nederland;;;;;3;;3;;4
Instituut voor Arbeidsrecht B.V.;;;;;1;;;;1
Instituut voor Juridische Opleidingen B.V.;;;;;1;;;;1
Instituut voor Mens. Gedrag / De Leugenacad.;;;1;;;;;;1
Instock Den Haag;;;1;;;;;;1
Interlanguage B.V.;;;;;1;;;;1
International Fidelity B.V.;;;;;1;;;;1
International Knowledge & Networking;;;;;1;;;;1
International Project Finance;;;;;1;;;;1
Internet Verhuurshop B.V.;;;1;;;;;;1
INTERNETSPIEGEL;;3;;;;;;;3
Intersafe Groeneveld B.V.;;5;;;;;;;5
Interstap;;;;2;;;;;2
Into Control B.V.;;;;;1;;;;1
Into Rooms B.V.;;;1;;;;;;1
Intop Zorgsector B.V.;;;;;1;;;;1
Intreas N.V.;;;;;1;;;;1
Investment Academy B.V.;;;;;2;;;;2
Invivo Werk en Gezondheid B.V.;;;;1;;;;;1
Inzicht Bureau voor Coaching en Communicatie;;;;;1;;;;1
IP Trainershouse B.V.;;;;;3;;;;3
IPMA - NL;;;;;1;;;;1
IPMA Certificering B.V.;;;;;1;;;;1
iQ Coaches Noord- & Oost Gelderland en Twente;;;;1;;;;;1
iQibt B.V.;;;;;2;;;;2
Iris van Zandwijk;;;;;1;;;;1
Isokin Training & Therapie;;;;1;1;;;;1
ISS Integrated Facility Services B.V.;;;;;;1;;;1
Istana Indonesisch Restaurant;;;1;;;;;;1
IT Management Group;;;;;2;;;;2
ITIP School voor Leven en Werk B.V.;;;;;2;;;;2
ITvitae HRplus B.V.;;;;2;;;;;2
IVP;;;;;2;;;;2
J & H Professioneel Licht en Geluid;;;;;;1;;;1
J. & K. Catering;;;1;;;;;;1
J.A.N.;;;1;;;;;;1
J.J. Verheij;1;;;;;;;;1
J.W. Weijer-Nederveen Tolk Ned. Gebarentaal;;1;;;;;;;1
Jaarbeurs B.V.;;;2;;3;;;;4
Jacobushoeve B.V.;;;1;;;;;;1
Jacqueline Wiener;;;;;1;;;;1
JacqWijn;;;1;;;;;;1
Ja-maarÂ® B.V.;;;1;;;;;;1
James Watt Leisure B.V.;;;1;;;;;;1
Jamie's Italian Den Haag;;;1;;;;;;1
Jan Steen Heino B.V.;;;1;;;;;;1
Janine Teepen, fagottiste;1;;;;;;;;1
Janskerkhof B.V.;;;1;;;;;;1
JanStevens coaching, training & interim;;;;;1;;;;1
JanStevens coaching, training & interimmanag.;;;;1;;;;;1
Japans Restaurant Natsumi Fusion B.V.;;;1;;;;;;1
Japas Café;;;1;;;;;;1
Jati;;;1;;;;;;1
Javaans Eetcafé Groningen B.V.;;;1;;;;;;1
Jazz-café Restaurant Desafinado;;;1;;;;;;1
je leukste graffiti;;;;;;1;;;1
Jefferies International Limited;;;;;;;;1;1
Jennifer4dance;1;;;;;;;;1
JetNetherlands B.V.;;;;;;;;2;2
Jeu de Boules Vereniging Waddinxveen;;;1;;;;;;1
Jin Lai B.V.;;;1;;;;;;1
Jobmassage B.V.;;1;;;;;;;1
Joeri Kalkhoven Music;1;;;;;;;;1
Jongsma Impresariaat;1;;;;;;;;1
Jopen Horeca Exploitatie B.V.;;;1;;;;;;1
Jorwerter Streekproducten;;;1;;;;;;1
Josina Bloemen;;;1;;;;;;1
JR Horeca Company B.V.;;;1;;;;;;1
JTB Global Marketing & Travel Inc.;;;;;;;;1;1
Julia Claasz Coockson Coaching;;;;;1;;;;1
Jullens;;1;;;;;;;1
JuRo Horeca;;;1;;;;;;1
Just Grapes;;;;;;1;;;1
Juulz Choice;;;;;1;;;;1
JZ Brasil B.V.;;;;;1;;;;1
K.L. Hartog B.V.;;;1;;;;;;1
Kaapduin Dishoek V.O.F.;;;1;;;;;;1
Kaashandel De Osdorper;;;1;;;;;;1
Kaddour Puur & Eerlijk Vlees B.V.;;;1;;;;;;1
Kado om de hoek;;;1;;;;;;1
Kameryck B.V.;;;1;;;;;;1
Kampei B.V.;;;1;;;;;;1
Kamphuisen Siroopwafelbakkerij B.V.;;;;;;1;;;1
Kanaalzicht;;;1;;;;;;1
Kanis & van de Kasteele V.O.F.;;1;;;;;;;1
K'Annet;;;1;;;;;;1
Kanters Restaurant Relais E 10 B.V.;;;1;;;;;;1
Kantharos;;;;;1;;;;1
Karel de Grote Horeca B.V.;;;1;;;;;;1
Karimoves;;;1;;;;;;1
Karsten Music;1;;;;;;;;1
Karting Plaza Vastgoed B.V.;;;1;;;;;;1
Kasteel de Wittenburg B.V.;;;1;;;;;1;1
Kasteel Elsloo B.V.;;;1;;;;;;1
Kasteel Woerden B.V.;;;1;;;;;;1
Kasteelpoort;;;1;;;;;;1
Katja Staartjes Management Inspiratie B.V.;;;1;;;;;;1
K�k Media;;;1;;;;;;1
Kenniscentrum AD(H)D en ASS B.V.;;;;1;;;;;1
Kenniscentrum Projectadvisering/Educatie B.V.;;;;;4;;;;4
Kentaura;;1;;1;;;;;1
Kerckebosch Holding B.V.;;;;;1;;;;1
Kerkvoorde Dienstverlening;;;1;;;;;;1
Kessels & Smit Something B.V.;;;;;1;;;;1
Kessels & Smit, the Learning Company B.V.;;;;;4;;;;4
Keurslagerij Henk Vrielink;;;;;;;;1;1
Keurslagerij van der Geest Haarlem B.V.;;;1;;;;;;1
King Arthur B.V.;;;1;;;;;;1
Kiosk Hoornseplas;;;1;;;;;;1
Kirkman Company B.V.;;;;;1;;;;1
Kiwi Electronics B.V.;;;;;1;;;;1
Klaas Brant Consulting & Education B.V.;;;;;1;;;;1
Klein Berlijn;;;1;;;;;;1
Klein Oever;;;1;;;;;;1
Kletsen & Proeven B.V.;;;1;;;;;;1
Klimbos Gooi B.V.;;;1;;;;;;1
Kloosterhof Neer B.V.;;;;;1;;;;1
Klusbedrijf Krikken;;1;;;;;;;1
Knoest;;;1;;;;;;1
KokenaandeMarkt;;;1;;;;;;1
Koken-op-maat;;;1;;;;;;1
Kom maar Binnen;;;1;;;;;;1
Koninklijk Instituut van Ingenieurs;;;;;;;;1;1
Koninklijke Burgers' Zoo;;;1;;;;;;1
Koninklijke Nederlandse Toeristenbond ANWB;;;;;1;;;;1
Koninklijke Pbna B.V.;;;;;1;;;;1
Koninklijke Talens B.V.;;;1;;;;;;1
KOOK. All in, all flavours;;;1;;;;;;1
Kookstudio De Kombuis;;;;;1;;;;1
Kookstudio 'Koken bij mijn Tante';;;1;;;;;;1
Korte Poten 1-3 B.V.;;;1;;;;;;1
Kos Consult;;1;;;;;;;1
Kostverloren B.V.;;;1;;;;;;1
Kouwenhoven Consultancy B.V.;;;;;1;;;;1
KPMG N.V.;;;;;2;;;;2
KPN B.V.;;;;;;;;1;1
KPN Consulting B.V.;;;;;1;;;;1
KPN Corporate Market;;;;;1;;;;1
Kr. van Havengebied van Rotterdam en Omgeving;;;;;1;;;;1
Kracht van Beleving;;;;;1;;;;1
Krauthammer International B.V.;;;;;1;;;;1
Kreeft Opleidingen;;;;;1;;;;1
Krekelautismecoaching;;;;1;;;;;1
Kreta Restaurant B.V.;;;1;;;;;;1
KSG B.V.;;;;;4;;;;4
Ksg Reuver B.V.;;;;;1;;;;1
Kuijpers t.h.o.d.n. Run2Day Den Haag;;1;;;;;;;1
Kurumba B.V.;;;1;;;;;;1
Kwetsbare Held;;;;;1;;;;1
L&M V.O.F. t.h.o.d.n. Limburgia Borne;;;1;;;;;;1
L. de Mol van Otterloo-Mindfulness, Meditatie;;;;1;;;;;1
L. Wolters;;;;;1;;;;1
L.W. van der Lee;;;;;;;;1;1
La Cabaña;;;1;;;;;;1
La Cantina di David B.V.;;;1;;;;;;1
La Galleria Boulevard;;;1;;;;;;1
LA LIGURIA / RISTORANTE;;;1;;;;;;1
La Meridiana;;;1;;;;;;1
La Red B.V.;;;;;1;;;;1
La Toscana Holding B.V.;;;1;;;;;;1
Lab QC;;;;;1;;;;1
Laerdal Benelux B.V.;;1;;;;;;;1
Lagerweij & Partner Consultants B.V.;;;;2;1;;;;2
Lai Wing B.V.;;;1;;;;;;1
Lakeside Zwolle B.V.;;;1;;;;;;1
Land van Kokanje B.V.;;;1;;;;;;1
Landelijk Platform Modevakonderwijs;;;;;1;;;;1
Landgoed de Horst;;;;;1;;;;1
Landgoed Theehuis Rhijnauwen B.V.;;;1;;;;;;1
Langendijk Training & Consult;;;;;1;;;;1
Le Baron Almere;;;1;;;;;;1
Le Bistroquet B.V.;;;1;;;;;;1
Le Golf de Rode le Duc;;;1;;;;;;1
Le Journal B.V.;;;1;;;;;;1
Le Petit Pain;;;1;;;;;;1
Le Strasbourg;;;;;;;;1;1
LE:EN Restaurant B.V.;;;1;;;;;;1
Lean Consultancy Group B.V.;;;;;1;;;;1
Learn it B.V.;;;;;1;;;;1
Learnit Training;;;;;1;;;;1
Leeuw aan de Brug B.V.;;;;;;1;;;1
Leeuwendaal Advies B.V.;;1;;;1;;;;1
Left Field University;;;;;1;;;;1
LegalPlanet B.V.;;;;;1;;;;1
Leids Congres Bureau B.V.;;;;;1;;;;1
Leidse Onderwijsinstellingen B.V.;;;;;1;;;;1
Leienplein 5-9 B.V.;;;2;;;;;;2
Leisure and City Projects;1;;;;;;;;1
Leonidas;1;;;;;;;;1
Les Ombrelles;;;1;;;;;;1
Leven in Vrijheid;;;;;1;;;;1
Lexlumen Opleidingen B.V.;;;;;1;;;;1
LEXXION PUBLISHER;;;;;1;;;;1
Leziz Restaurant;;;1;;;;;;1
L'Hirondelle Horeca B.V.;;;1;;;;;;1
LHM Schiphol II B.V.;;;1;;;;;;1
Libereaux B.V.;;;;;1;;;;1
Libertas Advocaten;;;;;1;;;;1
Libertas Regulatory & Compliance Lawyers B.V.;;;;;1;;;;1
Licent Fiscale en Juridische Uitgevers B.V.;;;;;1;;;;1
Lief en Leed CBG-Venlo;;;1;;;;;;1
Liefkenshoek;;;;;;;;1;1
Life Saving West-Friesland;;1;;;;;;;1
LifeCare Europe;;;;;1;;;;1
Liftinstituut B.V.;;;;;2;;;;2
Linda Krohne;;;;;1;;;;1
Linke Loetje B.V.;;;1;;;;;;1
LinQue Consult B.V.;;;;2;;;;;2
Linthorst op locatie B.V.;;;1;;;;;;1
Lisanne Bommer Den Haag B.V.;;;1;;;;;;1
Little V Den Haag B.V.;;;1;;;;;;1
Liuwherne;;;1;;;;;;1
Live Action Play;;;2;;;;;;2
Livegigs Music and Events;;;1;;;;;;1
LiveWall;;;;;2;;;;2
lkgoalball.nl;;;;;;1;;;1
Llanfarian Border Collies;;;;;1;;;;1
Lloyd's Register Nederland B.V.;;;;;1;;;;1
LMB Driving;;;;;;;;1;1
LocalFocus;;;;;1;;;;1
Locatie Marketing en Management;;;;;;4;;;4
Loetje aan de Amstel;;;1;;;;;;1
Logeion;;;;;1;;;;1
LOGEION / VERENIGING COMMUNICATIE;;;;;;;1;;1
Logistic Force Academy B.V.;;;;;1;;;;1
Lokaal 58 B.V.;;;;;5;;;;5
Lomans & De Roy B.V.;;;;;;1;;;1
London Financial Studies Limited;;;;;1;;;;1
Long Sing;;;1;;;;;;1
LOOF;;;1;;;;;;1
Loopbaanregisseur;;;;;2;;;;2
Lotuskring Zuid-Oost Drenthe 03;;1;;;;;;;1
Lourens-van Vliet h.o.d.n. Bakkerij Bart;;;1;;;;;;1
Loyalis N.V.;;;;7;;;;;7
Loyens & Loeff N.V.;;;;;1;;;;1
LSR B.V.;;;;;1;;;;1
Lucky Gym B.V.;1;;;;;;;;1
Luden Utrecht;;;1;;;;;;1
Lumidee B.V.;;2;;;;;;;2
Lumina Learning Nederland B.V.;;;;;1;;;;1
Lunch- & Dinercafe Van Puffelen;;;1;;;;;;1
Lunchduck.nl;;;1;;;1;;;1
Lunchroom HECO;;;1;;;;;;1
Lunchroom Zoet & Zalig;;;1;;;;;;1
Luvix;;;;;1;;;;1
Lyreco Nederland B.V.;;;1;;;;;;1
M. van de Klundert;;;1;;;;;;1
M.J. Bergboer;1;;;;;;;;1
M.R.W. de Vos;;;1;;;;;;1
M2support;;;;;1;;;;1
Ma Guise Holding B.V.;;;;;;2;;;2
Maarten Wolterink;;;;;1;;;;1
Maashof Exploitatie B.V.;;;1;;;;;;1
Maassen's Banketbakkerij B.V.;;;1;;;;;;1
Madeleine B.V.;;;1;;;;;;1
Madeleine Schuurmans Verpl.kund. Overg.cons.;;;;;1;;;;1
Madestein Restaurant & Events B.V.;;;1;;;;;;1
MADIDI;;;1;;;;;;1
MÃ©Musica;1;;;;;;;;1
Mafcentrum;;;1;;;;;;1
Maikel Claessens;;;;;1;;;;1
Mail Company B.V.;;;1;;;;;;1
MaJe 2015 B.V.;;;1;;;;;;1
Malkenschoten B.V.;;;1;;;;;;1
Malmacho B.V.;;;1;;;;;;1
Mantelzorgmakelaar Karin Kanters;;1;;;;;;;1
Marco Bonisimo;1;;;;;;;;1
Marcus Evans (Holland) Limited;;;;;2;;;;2
Marije Clemens;1;;;;;;;;1
Maritiem Museum Rotterdam;;;;;1;;;;1
Marjan Feelders;1;;;;;;;;1
Marko Kassenaar;;;;;;;;1;1
Markthal Café B.V.;;;1;;;;;;1
MarktOnderzoekAssociatie.nl;;;;;1;;1;;1
Marlies van Eck advies - training - onderzoek;;;;;1;;;;1
Marosel B.V.;;;;;7;;;;7
Martha Tilaar Stichting Nederland;;;;;1;;;;1
Martins Brasserie;;;1;;;;;;1
Mascha Hoogendoorn;1;;;;;;;;1
Mastbosch Hotel/Grand Caf� Heeren van Oranje;;;;;;1;;;1
Masters In Lean B.V.;;;;;1;;;;1
MatInspired;;;;;1;;;;1
Matteo Costanzi;1;;;;;;;;1
Maxgiving;;;1;;;;;;1
Maximal Reizen;;;;;;;;1;1
Maximes Denneweg 10B B.V.;;;1;;;;;;1
Mayke Smit - Training, coaching & advies;;;;;1;;;;1
Mayur Restaurant;;;1;;;;;;1
Mazairac Bedrijfspsychologie;;;;;1;;;;1
MC-interim;;;;;;;;1;1
McKinsey & Company Netherlands;;;;;1;;;;1
ME Marilou Evelo;1;;;;;;;;1
Meantone;1;;;;;;;;1
meat Franky's;;;1;;;;;;1
Media Academy;;;;;1;;;;1
Mediatorsfederatie Nederland;;;;;1;;;;1
Mediavrouw;;;;;1;;;;1
Medic Tactical International;;1;;;;;;;1
MedicalCheck;;6;;;;;;;6
Medifix B.V.;;1;;;;;;;1
Medisch Expertise en Advies Centrum B.V.;;;;1;;;;;1
Mediterraan Restaurant Celik;;;1;;;;;;1
Meelfabriek Zijlstroom B.V.;;;1;;;;;;1
Meer Exploitatie B.V.;;;1;;;;;;1
meereffect;;;;;1;;;;1
Meetingselect B.V.;;;;;;;;3;3
Meneer Chocola;;;;;;1;;;1
Meneer Smit café-restaurant.;;;1;;;;;;1
Mensely B.V.;;2;;;;;;;2
Mensen in Bedrijf;;;;;;1;;;1
Meram Rotterdam Zuid B.V.;;;1;;;;;;1
Mercure Den Haag Central;;;;;;1;;;1
Mercure Hotel Tilburg Centrum;;;;;;1;;;1
Metamorfase;;;;;1;;;;1
Metris Roovers;;;;;4;;;;4
Meurs HRM;;;;5;;;;;5
Mexic. Restaur. Popocatepetl Rotterdam B.V.;;;;;;;;1;1
Mexicaans Restaurant Popocatepetl Breda B.V.;;;;;1;;;;1
Mike Bruinsma;;;1;;;;;;1
Millers;;;2;;;1;;;2
Million Miles Media & Entertainment;;;;;1;;;;1
Minckelers;;;1;;;;;;1
Mindcampus B.V.;;;;;1;;;;1
MindfulCentrum;;;;1;;;;;1
Mindfulness & Compassie;;;;1;;;;;1
Ming Palace;;;1;;;;;;1
MingleMush B.V.;;;1;;;;;;1
Mobility Mixx B.V.;;;;;;;;7;7
Moda Horeca B.V.;;;1;;;;;;1
Moeskops B.V.;;;;;1;;;;1
Moeskops Horeca Exploitatie B.V.;;;1;;;;;;1
Mokum Events B.V.;;;1;;;;;;1
Molen & Molen;;;;;1;;;;1
Molenkamp Holding B.V.;;;;;1;;;;1
Molly Malone Pub & Hospitality B.V.;;;1;;;;;;1
Mondriaanbar;;;1;;;;;;1
Moongro;;;;;1;;;;1
Mos Events B.V.;;;;;1;;;;1
Motion Training;;;;;3;;;;3
Move a Mountain Bewustzijnstrainingen B.V.;;;;;2;;;;2
Move to B;;;;;;;;1;1
MPS B.V.;;;;;;;;1;1
Mr. Finch B.V.;;;1;;;;;;1
MS De Jordaan B.V.;;;1;;;;;;1
Mts. N.J.P.M. Buijsman en G.M.J. Koopman;;;1;;;;;;1
Mulder Projectmanagement B.V.;;;;;1;;;;1
multi escape;;;1;;;;;;1
Multivlaar;;;1;;;;;;1
Munckhof Regie;;;;;;1;;1;1
Museum Catering Den Haag B.V.;;;3;;;2;;1;3
Museumherberg 'De Ar' B.V.;;;1;;;;;;1
Museumkwartier B.V.;;;1;;;;;;1
Museumshopdenhaag;;;1;;;;;;1
Muziekcafé de Paraplu;;;1;;;;;;1
MVB Horeca;;;1;;;;;;1
MWAMMedia;;;;;1;;;;1
Mwee beeld licht geluid;;;;;;;;1;1
My HBM Support B.V.;;;;;2;;;;2
N. de Haas, Centrum voor Mediumsch. en Train.;;;;;1;;;;1
N. de Heer praktijk voor hypno psychotherapie;;;;1;;;;;1
N.V. Nederlandse Spoorwegen;;;;;;;;7;7
Nationaal Gevangenismuseum;;;1;;;1;;;1
Natuurlijk Geinspireerd;;;;;1;;;;1
Navigator;;;1;;;;;;1
Ncoi Nederlands Commerc. Opleidings Instituut;;;;;2;;;;2
NCOI Opleidingsgroep B.V.;;;;;1;;;;1
Ned. Org. voor toegep.-nat.wetensch. ond. TNO;;;;;2;;;;2
Ned. Software Metrieken Gebruikers Associatie;;;;;1;;;;1
Ned. Ver. van HRD-Prof. in Ontw. en Opleiden;;;;;;;1;;1
Ned. Verenig. voor Intern. Belastingr.;;;;;1;;1;;1
Nederlands Architectuur Forum;;;;;1;;1;;1
Nederlands Compliance Instituut B.V.;;;;;1;;;;1
Nederlands Debat Instituut Holding B.V.;;;;;1;;;;1
Nederlands Instituut van Psychologen;;;;;1;;;;1
Nederlandse Associatie Van Duikondernemingen;;;;;1;;;;1
Nederlandse Mediatorsvereniging;;;;;1;;;;1
Nederlandse Orde van Register EDP-Auditors;;;;;2;;2;;3
Nederlandse Vereniging Bedrijfshulpverlening;;1;;;1;;;;1
Nederlandse Vereniging van Arbeidsdeskundigen;;;;;1;;;;1
Nederlandse Vereniging voor Energierecht;;;;;1;;;;1
Nederlandse Vereniging voor Stralingshygiene;;;;;1;;;;1
Nederlandse Vereniging voor Veiligheidskunde;;;;;1;;1;;1
NEDFAC B.V.;;;;;2;;;;2
Nelly's Fashion;1;;;;;;;;1
NEVERREST;;;1;;;;;;1
NEVI Opleidingen BV;;;;;1;;;;1
NEVI-Purspective B.V.;;;;;2;;;;2
New Babylon Gardens B.V.;;;1;;;;;1;1
New Century Woensel B.V.;;;1;;;;;;1
New Kampong Kita;;;1;;;;;;1
New Meyva;;;1;;;;;;1
Ngenious B.V.;;;;;3;;;;3
NGI B.V.;;;;;1;;;;1
Nhow Amsterdam B.V.;;;;;;1;;;1
Ni Hao Groningen B.V.;;;1;;;;;;1
NIBE-SVV B.V.;;;;;1;;;;1
NIBE-SVV Opleidingen B.V.;;;;;1;;;;1
Nicole Dolmans Arbeidsdeskundig & Verzuimadv.;;;;1;;;;;1
Nielz CafÃ© B.V.;;;1;;;;;;1
Nieuwe of Litteraire Soci�teit De Witte;;;1;;;;;;1
Nieuwenhuis Beeld en Geluid B.V.;;;1;;;;;;1
NIHO B.V.;;;1;;;;;;1
NIMO Academy B.V.;;;;;2;;;;2
Niow;;;;;3;;;;3
Nisroc Loopbaanbegeleiding;;;;;1;;;;1
Nivab B.V.;;;;;1;;;;1
NIVE Opleidingen B.V.;;;;;1;;;;1
'Njoyz;;;1;;;;;;1
NLJUG B.V.;;;;;1;;;;1
No Xcuse B.V.;;;1;;;;;;1
Noloc;;;;;1;;;;1
Noodlebar Utrecht B.V.;;;1;;;;;;1
Noorderlicht;;;1;;;;;;1
Noordman Wijnen;;;1;;;;;;1
Notuleerservice Nederland B.V.;;;;;1;;;;1
NOVO;;;1;;;;;;1
Novotel Den Haag;;;1;;;;;1;1
NS Reizigers B.V.;;;;;;;;5;5
Nu Jij, Psychologisch Advies;;;;1;;;;;1
Nummer 13;;;1;;;;;;1
Nwe Yume, sushi & Chin. Special.restaur. B.V.;;;1;;;;;;1
NXTLVLLABS B.V.;;;1;;;;;;1
Nymea;;;;;1;;;;1
Obba Lounge Restaurant B.V.;;;1;;;;;;1
OCA Operations B.V.;;;;2;;;;;2
Ocean Paradise;;;1;;;;;;1
Ocullus;;;;;1;;;;1
Odyssee B.V.;;;1;;5;;;;5
OFY Breda B.V.;;;;;;1;;;1
Okaphone Elektronika B.V.;;;1;;;;;;1
Oker B.V.;;;;;;1;;;1
Olijfje;;;1;;;;;;1
Olivier Luttmer Deventer B.V.;;;1;;;;;;1
Ome Pietje Haarlem V.O.F.;;;1;;;;;;1
Omni Mobilae Binnen;;;1;;;;;;1
Omni Ver. Scheidsr. Verenig. Distr. Utrecht;;;1;;;;;;1
Ond.ver. Reg. A'dam, Ver. scheepv., ih/z d.v.;;;1;;1;;;;1
Online Seminar B.V.;;;;;3;;;;3
Ontbijtservice B.V.;;;1;;;;;;1
Ontmoeting op de grens;;;;1;;;;;1
Onvergetelijk Leren;;;;;1;;;;1
Oostduinhaghe Hotel B.V.;;;;;;1;;;1
OpenValue Group B.V.;;;;;1;;;;1
Opera Zalencentrum;;;1;;;;;;1
Opkrikken;;;;;1;;;;1
Optima Forma B.V.;;;1;;;;;;1
Optiply B.V.;;;1;;;;;;1
Orange Restaurant;;;;;;1;;;1
Orde van Advo. in het Arrondiss. Rotterdam;;;;;1;;;;1
Orde van organisatiekundigen en -adviseurs;;;;;1;;;;1
Organisatieburo In!;;;1;;;;;;1
Original Tours & Activities Nederland B.V.;;;1;;;;;;1
Origo;;;1;;;;;;1
Orpheus Theater & Congres;;;;;;1;;;1
Oscar David Consultancy B.V.;;;;;2;;;;2
Oscar's Catering;;;1;;;;;;1
Oubelkas Communications B.V.;;;;;1;;;;1
Oud & Nieuw;;;1;;;;;;1
Oudaen B.V.;;;;;;2;;;2
Oxygen Events;;;;;1;;;;1
Ozebi Snooker B.V.;;;1;;;;;;1
P.L.A. Bronckers Belastingadviseur B.V.;;;1;;;;;;1
P.W. Akkerman B.V.;;;1;;;;;;1
Paagman B.V.;;;1;;;;;;1
Paddy O'rijan;;;1;;;;;;1
Paddy's Pub;;;1;;;;;;1
Paintball Jungle;;;1;;;;;;1
Paintball World;;;1;;;;;;1
Pakhuis B.V.;;1;;;;;;;1
Pan Support;;;;;4;;;;4
Pandahallen;;;1;;;1;;;2
PARAVANI bewust leven & werken;;;;;2;;;;2
Parfumerie Douglas;1;;;;;;;;1
Parkpaviljoen Wezenlanden B.V.;;;1;;;;;;1
Parkzicht36 B.V.;;;1;;;;;;1
Partycentrum Lasersensation;;;1;;;;;;1
Party-Kelder De Pimpel;;;;;;1;;;1
Partyservice Roma;;;;;;1;;;1
Passionned Nederland B.V.;;;;;1;;;;1
Paul van Gurp Fastfood & Catering B.V.;;;1;;;;;;1
Paviljoen Genneper Parken;;;1;;;;;;1
Paviljoen Sterrebos B.V.;;;1;;;;;;1
Paviljoen Stormvogel B.V.;;;;;;;;1;1
PBLQ B.V.;;;;;2;;;;2
PCC Health Promotion B.V.;;;;1;;;;;1
Peak Online B.V.;;;;;1;;;;1
Peerkes Hoeve B.V.;;;1;;;;;;1
Pegasus Events;;;;;;1;;;1
Pellenaer Events B.V.;;;;;;1;;;1
Peltex;1;;;;;;;;1
Pen Shop;;;1;;;;;;1
Penshop Nederland;;;1;;;;;;1
People2Perform;;;;;1;;;;1
Percuris B.V.;;;;2;;;;;2
Perficio Adviseurs B.V.;;;;;2;;;;2
Petit Restaurant De Valk;;;;;;1;;;1
Phaos Advies B.V.;;;;;1;;;;1
Phoenix Opleidingen;;;;;2;;;;2
Phonsawan B.V.;;;1;;;;;;1
Physical Solutions;;;;2;;;;;2
PianoFortissimo;;;;;1;;;;1
Piatto B.V.;;;1;;;;;;1
PIBIA;;;1;;;;;;1
Picasso Restaurant;;;1;;;;;;1
Piccalilly Catering;;;1;;;;;;1
Pieterman Group International;;;;;3;;;;3
PIMM Solutions B.V.;;;6;;;;;;6
Pincoffs 1879 B.V.;;;;;;1;;;1
Pinkcube B.V.;;;1;1;;;;;1
Pino Evenementen & Congressen B.V.;;;;;1;;;;1
Pitch & Putt Doetinchem B.V.;;;1;;;;;;1
Pitch & Putt Groningen;;;1;;;;;;1
Pitch en Putt Golf Bussloo;;;1;;;;;;1
Pizzeria 'Isolabella';;;1;;;;;;1
Pizzeria Pibia;;;;;;1;;;1
Pizzeria Verlengde Hereweg B.V.;;;1;;;;;;1
PKF Wallast Accountants &;;;;;1;;;;1
PKT Vastgoed;;;1;;;;;;1
PlanHR;1;;;;;;;;1
Plata Foundation B.V.;;;;;1;;;;1
Platform Outsourcing Nederland;;;;;1;;;;1
Platform P;;;;1;;;;;1
Players KGP B.V.;;;1;;;;;;1
Plaza Hendriks;;;1;;;;;;1
Plein 9 A B.V.;;;2;;;1;;;2
PLLEK - NDSM BV;;;;;;1;;;1
