;6000 - ICT overig;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Aan een externe partij uitbestede ICT-dienstverlening;Eindtotaal
Rodin Broadband B.V.;;;;;;;;1;1
Rodin Connect B.V.;;;;;;;;1;1
Roelen & van Haastert, huisartsen;;;;;;;;1;1
ROHDE & GRAHL B.V.;;6;;;;;;;6
RONT Management Consultants B.V.;;;;;;;;2;2
Röpcke-Zweers Ziekenhuis;;;;;;;;1;1
Rosamund O. Bakare & Co.;;;;;;;;1;1
Rotterdam Airport B.V.;;;;;;;;2;2
RTR Interiors B.V.;;1;;;;;;;1
Runway Group B.V.;;;;;;;;1;1
Ruys Handelsvereniging B.V.;;;1;;;;;;1
RvA-Bethaniestraat 2;;;;;;;;1;1
S. Ghazoul;;;;;;;;1;1
S. Kamperman;;;;;;;;1;1
S+B Rotterdam B.V.;;2;;;;;;;2
Sadeghi Persdienst;;;;;;;;1;1
SafetyCulture Pty Ltd;;;;;1;;;;1
Sailor Telecom B.V.;;;;;;;;1;1
SAM International B.V.;;;1;;;;;;1
Samenwerking Noord;;;;;;1;;;1
SAMR;;;;;;;;2;2
Savant Learning Partners B.V.;;;;;;;;4;4
Schiphol Connect B.V.;;;;1;1;;1;;1
Schiphol Nederland B.V.;;;;;;;;5;5
Schiphol Telematics B.V.;;;;;1;;2;1;2
Schippers IT B.V.;;;;;;1;;;1
Schuttelaar & Partners, Maatsch. Comm. B.V.;;;;;;1;;;1
Schutten It B.V.;;;;;4;;;;4
Schwandt Information Design;;;;;4;;;;4
Scientific Instruments Manufacturer GmbH;;2;;;;;;;2
Sciformation Consulting GmbH;;;;;2;;;;2
ScreenCheck Europe B.V.;;;;;1;;;;1
Sdu Uitgevers B.V.;;;;2;1;;;;2
Seceurtronics Nederland B.V.;;4;;;;;;;4
Sectra Communications B.V.;;;2;4;;3;;;4
Secura B.V.;;;1;;;;;;1
Secure Connection B.V.;;;;;;;;1;1
Securify B.V.;;;;;2;;;;2
Securitas Alert Services Nederland B.V.;;;;1;;;;;1
Securitech Detection & Verification B.V.;;;2;;1;;;;2
Security Lab Sagl;;;;1;;;;;1
Security Monitoring Centre;;;;1;;;;;1
Sentebibupraktijk;;;;;;;;1;1
Sentia Netherlands B.V.;;;;;;1;;1;1
Seran de Leede;;;;;;;;2;2
SET Services;;;;1;;;;;1
SET Telecom B.V.;;;;1;;;;;1
Sharewire B.V.;;;;;;;;2;2
Sherazade Advies;;;;;;;;1;1
SHG;;;;;;;;1;1
Shimadzu Benelux;;4;;;;;;;4
Siemens Healthcare Nederland B.V.;;;;;;;;;
Siemens Nederland N.V.;;1;;;;;;;1
Signet;;;;;;;;1;1
Significant Public B.V.;;;;;;;;5;5
Simpel.nl B.V.;;;;;;;;1;1
SinnerG B.V.;;;;;;;;1;1
Sint Antonius Ziekenhuis Locatie Nieuwegein;;;;;;;;1;1
Sint Augustinus Ziekenhuis;;;;;;;;1;1
Sioen Nederland B.V.;;1;;;;;;;1
SiPPoint B.V.;;;;;;;;1;1
Siptrunking B.V.;;;;;;;;1;1
Sira Consulting B.V.;;;;;;;;2;2
Sitcon B.V.;;1;;;;;;;1
Siyou Internet Solutions B.V.;;;;2;3;;;;3
Sketchy Business;;;;;;;;1;1
Sligro B.V.;;;1;;;;;;1
Slik Media;;;;;3;;;;3
Slingeland Ziekenhuis;;;;;;;;1;1
Slotervaartziekenhuis B.V.;;;;;;;;1;1
SLTN IT Products B.V.;;6;5;1;3;2;1;;6
SLTN IT Professionals B.V.;;;2;;;;;;2
Smart Cable Technology B.V.;;2;1;;;2;1;;3
Smart Nose B.V.;;;;;;;1;;1
SMELT Europe;;1;;;;;;;1
Smits Van Burgst Beveiliging B.V.;;;;;;;;3;3
SMT Simple Management Technologies B.V.;;;;;2;;;2;2
SoapBox B.V.;;;;;;;;1;1
Sodexo B.V.;;1;;;;;;;1
Soeltan Medical Services;;;;;;;;1;1
Software Borg (1);;;;;1;;;;1
SoftwareONE B.V.;;7;;7;9;5;;1;10
Sogeti Nederland B.V.;2;;;;;1;;;2
Solcon Internetdiensten B.V.;;;;;;;;1;1
Sollie.Comm. B.V.;;;;;;;;1;1
Solvinity B.V.;;1;5;7;7;6;7;4;8
Sopachem B.V.;;3;;;;;;;3
SOS (Netherlands) B.V.;;;;;;;;1;1
Souldesign;;;;1;;;;;1
Soundfocus B.V.;;;;;1;;;;1
Spanjaard Development & Training;;;;;;;;2;2
SPEAKAP B.V.;;;;;;;1;;1
Speakers Academy®;;;;;;;;1;1
Speakup;;;;;;;;1;1
Speechless;;;;;;;;1;1
SPIE Nederland B.V.;;4;1;1;4;;1;;5
SPITZ congres & event B.V.;;;;;;;;3;3
Sportgeneeskundig Centrum Den Haag;;;;;1;;;;1
Spotler Nederland B.V.;;;;;1;;;;1
Square Information Solutions;;;;2;;2;;;2
Stabiplan B.V.;;;;;1;;;;1
Stafmts. Medisch Specialist. Bedrijf VieCuri;;;;;;;;1;1
Staples Nederland B.V.;;1;1;;;;2;;2
STB Automatisering & Advies B.V.;;;;;;1;;;1
Steam Advertising;;;;;1;;;;1
Stemmer Imaging B.V.;;1;;;;;;;1
Stern Auto B.V.;;2;;;;;;;2
Stg. Amsterdamse Gezondheidscentra (S.A.G.);;;;;;;;1;1
Stg. Dr. Hilda Verwey-Jonker, I.v.O. van M.V.;;;;;;;;2;2
Stg. Forensisch Ps. Centrum Dr. S. van Mesdag;;;;;1;;;;1
Stg. Georganiseerde Eerstelijnszorg Z'meer;;;;;;;;1;1
Stg. Hulp en Opv. Prostitutie en Mensenhandel;;;;;1;;;;1
Stg. Nat. Lucht- en Ruimtevaartlaboratorium;;;;;;;;2;2
Stg. Ned. Inst. voor Int. Betr. 'Clingend.';;;;;;;;1;1
stg. Nederlands Instit. voor Beeld en Geluid;;;;;1;;;;1
Stg. Neurologische Zorgactiviteiten Amsterdam;;;;;;;;1;1
Stg. Orthop. & Sportmed. Klin. Oost Nederland;;;;;;;;1;1
Stg. Radiotherapeutisch Instituut Friesland;;;;;;;;1;1
Stg. Routerings (Int.)Nat. Informatiestromen;;;;4;;;;;4
Stg. Service Centrum Auteurs & Nabur. rechten;;;;;1;;;;1
Stg. tot Bev. vh Wetensch. Ond. & Ond. id IGM;;;;;;;;1;1
Stg. Trimbos-Inst., Inst. Ment. Health & Add.;;;;;;;;3;3
Stg. Universitair Gezondheidscentr. Heyendael;;;;;;;;1;1
Stg. Urologisch Wetenschapp. Onderz. S.U.W.O.;;;;;;;;1;1
Stg. W.A.M.U.-Wetensch. Act. Maastr. Urolog.;;;;;;;;1;1
Sticht. Certe Medische Diagnostiek en Advies;;;;;;;1;;1
Sticht. Hogesch. voor de Kunsten Utrecht/HKU;;;;;;;;1;1
Sticht. Instituut voor Carib. Belastingrecht;;;;1;;;;;1
Sticht. Int. Belasting Documentatie Bureau;;;;2;;;;;2
Sticht. Ondersteuning Tuchtcolleges Advocat.;;;1;;;;;;1
Stichting 180 - gedragsinterv./ontw. Jongeren;;;;1;;;;3;3
Stichting Accessibility;;;;;;;;1;1
Stichting Advies- en Klachtenbureau Jeugdzorg;;;;;;;;4;4
Stichting Alrijne Zorggroep;;;;;;;;1;1
Stichting ARQ;;;;;;;;4;4
Stichting ARQ Centrum'45;;;;;;;;1;1
Stichting Breedband Delft;;;;;;;;1;1
Stichting Bug;;;;;;;;1;1
Stichting CoMensha;;;;;;;1;;1
Stichting CoreTrustSeal;;;;1;;;;;1
Stichting Dimence;;;;;;;;1;1
Stichting Dutch Cell Dogs;;1;;;;;;;1
Stichting Elisabeth-TweeSteden Ziekenhuis;;;;;;;;1;1
Stichting Epilepsie Instellingen Nederland;;;;;;;;1;1
Stichting Equator Foundation;;;;;;;;1;1
Stichting Flevoziekenhuis;;;;;;;;1;1
Stichting Gezondheidscentrum de Amazone;;;;;;;;1;1
Stichting Gezondheidscentrum Diemen Noord;;;;;;;;1;1
Stichting Gezondheidscentrum Diemen Zuid;;;;;;;;1;1
Stichting Gezondheidscentrum Hoograven;;;;;;;;1;1
Stichting Gezondheidszorg Stadshagen;;;;;;;;1;1
Stichting GGNet;;;;;;;;1;1
Stichting GGZ Noord-Holland-Noord;;;;;;;;1;1
stichting government roaming nederland;;;;;1;1;;;1
Stichting HVO-Querido;;;;;1;;;;1
Stichting Interzorg Noord-Nederland;;;;;;;;1;1
Stichting Kabeltelevisie Pijnacker;;;;;;;;1;1
Stichting Kruispost;;;;;;;;1;1
Stichting Laurentius Ziekenhuis;;;;;;;;1;1
Stichting Medisch Spectrum Twente;;;;;;;;1;1
Stichting Netwerk Gerechtsdeurwaarders;;;;;;;;;
Stichting Neurologie Flevoziekenhuis;;;;;;;;1;1
Stichting NLFiscaal;;;;2;;;;;2
Stichting OLVG, OLVG Oost;;;;;;;;1;1
Stichting OVZ-CMSR;;;;;;;;1;1
Stichting PARLAN;;;;;1;;;;1
Stichting Pleio;;;;2;;;;;2
stichting Pro Persona Holding;;;;;;;;1;1
Stichting Radar WMO diensten;;;;;;;;1;1
Stichting Reos Foundation Europe;;;;;;;;2;2
Stichting Restorative Justice Nederland;;;;;;;;2;2
Stichting SEO Economisch Onderzoek;;;;;;;;3;3
Stichting Sims;;;;;;;;1;1
Stichting Sint Franciscus Vlietland Groep;;;;;;;;1;1
Stichting Stemra;;;;;1;;;;1
Stichting T.M.C. Asser Instituut;;;;;;;;1;1
Stichting The Shadowserver Foundation Europe;;;;;;;;2;2
Stichting Toegepast Criminologisch Onderzoek;;;;;;;;1;1
Stichting Treant Ziekenhuiszorg;;;;;;;;1;1
Stichting Videma;;;;;;;1;;1
Stichting Villa Pinedo;;;;;;;;1;1
Stichting Vrienden van Hoeve Boschoord;;;;;;;;1;1
Stichting Wilhelmina Ziekenhuis Assen;;;;;;;;1;1
Stichting Zaans Medisch Centrum;;;;;;;;1;1
Stichting Ziekenhuis Gelderse Vallei;;;;;;;;1;1
Stichting Ziekenhuisgroep Twente;;;;;;;;1;1
Stichting Zorgspectrum;;;;;;;;1;1
Stipp B.V.;;2;;1;2;;;;2
Stollfub Medien;;;;1;;;;;1
Stories & Stitches;;;;;;;;2;2
Stratfor Enterprises;;;;;;;1;;1
Stream B.V.;;;;;;2;;;2
Streekziekenhuis Koningin Beatrix;;;;;;;;1;1
Strict B.V.;;;;;;;;1;1
Strijbosch B.V.;;2;1;;;;1;;2
Struers GmbH Nederland;;1;;;;;;;1
Strukton Worksphere B.V.;;2;;;;;;;2
SubsidieCenter;;;;;;;;2;2
Summit Registration & Services B.V.;;;;;;;;1;1
Suprieur B.V.;;;;;;;;1;1
SurveyMonkey Europe UC;;;;1;;;;;1
Swakhoven;;;;;;;1;;1
Sweco Nederland;;;;;1;;;;1
Systech Media;;;;;;;;1;1
Systemec B.V.;;;;;;;;1;1
T&T Compet&t.b.v.;;;;;2;;2;3;3
Taking Action;;;;;;;;1;1
Talen Machines B.V.;;3;;;;;;;3
Talk & Vision B.V.;;3;2;;;;;;3
Tandartsadviespraktijk van Drunen;;;;;;;;2;2
Tapanahony;;;;;;;;1;1
Tappan B.V.;;;;;;2;;;2
Tawi B.V.;;1;;;;;;;1
TeamAcademy B.V.;;;;;;;;1;1
Technische Handelsonderneming Kumoweld B.V.;;2;;;;;;;2
Technische UniversitÃƒÂ¤t Wien;;;;;;;;2;2
Tekentolk;;;;;;;;2;2
Tekstbureau Alfa;;;;;;;;2;2
Tele2-Versatel;;4;7;6;;4;7;;8
Telegrootgebruik B.V.;;;;;;;1;;1
Teleservice Nederland B.V.;;;;;1;;;;1
Telfort Zakelijk;;;;;;;;;
Telindus-ISIT B.V.;;7;7;;4;7;;;8
Telio Nederland B.V.;;;;2;;;;;2
Ter Hoeven & Partners B.V.;;;1;;;;;;1
Ter zake coaching;;;;;;;;1;1
Termeer Infra Service;;;;;;;;1;1
Test IT B.V.;;;;;1;;;;1
The Datacenter Group Amsterdam;;;;;;2;;;2
The Lean Six Sigma Company;;;;;;;;2;2
The Music Marketeers B.V.;;;;;;;1;;1
The Next Web B.V.;;;;;;;;2;2
The One Minute Company;;;;;2;;;;2
The Solutions Factory B.V.;;;;;;1;;;1
The Surgery Ltd;;;;;;;;1;1
Thermo Fisher Scientific B.V.;;7;;;;;;;7
Thibor B.V.;;1;;;;;;;1
Things To Make And Do B.V.;;;;;;2;;1;2
Thomson Reuters UK Limited;;;;2;;;;;2
Thoraxcentrum Research B.V.;;;;;;;;1;1
Threema GmbH;;;;;1;1;;;1
TiBreak B.V.;;;;;;;;3;3
Tie Nederland B.V.;;;;;;1;;;1
TimeTell B.V.;;;;;1;;;;1
TimeTell User Group (TUG);;;;;1;;;;1
T-int Design;;1;;;;;;;1
T-Mobile Netherlands B.V.;;;;;;;1;4;4
Tolk- en Vertaalcentrum Nederland;;;;;;;;4;4
Tooltronics B.V.;;1;;;;;;;1
Toon de Jong Reklame;;2;;;;;;;2
TOPdesk Nederland B.V.;;;;1;2;;;;2
Topicus.Healthcare B.V.;;;;;4;;;;4
Tovari Grootkeukens B.V.;;1;;;;;;;1
Toyota Material Handling Nederland B.V.;;2;;;;;;;2
Trans Missie Training & Advies B.V.;;;;;;;;1;1
Traurig Landtechnik GmbH;;3;;;;;;;3
Travis B.V.;;;;;;2;;;2
Travis Holding B.V.;;;;;;1;;;1
TrendCall Nederland B.V.;;;;;;;;1;1
Trenton B.V.;;;;;;;;1;1
TRES internet B.V.;;;;;1;;;;1
Trilogic Technologies B.V.;;;;;;;1;;1
TriNed;;;;;;;;1;1
True;;;;;1;;;;1
Truphone B.V.;;;;;;;;1;1
TSV Groep B.V.;;;;;;;1;;1
TSV-Contact Centers;;;;;;;1;;1
TVA Servicecenter;;;1;;;;;;1
Twiza Transcultureel Advies en Rapportage;;;;;;;;2;2
TWS Technologies B.V.;;;;;;;;1;1
TwynstraGudde Huisvest., Vastgoed & Fac. Man.;;;;;;;;4;4
UBM Nederland;;;;;;2;;;2
Underdogs B.V.;;;;;;;;2;2
Unet;;;;;;;;1;1
Unica Installatietechniek B.V.;;;;1;;;;;1
UnifiedPost B.V.;;;;;1;;1;;1
Unipas B.V.;;;;;;;1;;1
Unisys Nederland N.V.;;;;;6;7;;4;7
Uniteam B.V.;;;;;;2;;;2
University of Patras, Research Committee;;;;;;;;;
Urbanus Communicatie;;;;;;;;1;1
Uselab B.V.;;;;;1;;;;1
USG Restart;;;;;;;;1;1
Vakgroep interne Geneeskunde;;;;;;;;1;1
Vakgroep Urologie CWZ;;;;;;;;1;1
Valbracht communicatietrainingen en -advies;;;;;;;;1;1
Valsplat B.V.;;;;;;;;2;2
Van Beelen NTN B.V.;;3;;;;;;;3
van de Kolk Consultancy;;;;;;;;2;2
van den brandhof interieurbouw;;3;;;;;;;3
Van der Garde's Warenhuis;;1;;;;;;;1
Van der Giesen advocaten;;;;;;;;1;1
Van der Laan Kantoorefficiëncy B.V.;;;1;;;;;;1
Van der Put/DatabaseMarketing;;;;;;;;1;1
van der Voo Illustrator;;;;;;;;;
Van Loveren & Partners B.V.;;;;;;;;2;2
Van Schaik Meubelmakerij;;1;;;;;;;1
Van Velzen Autoschade;;1;;;;;;;1
Vandejong B.V.;;;;;;;;1;1
VB Telecom;;;;;;;;1;1
VDW CoolSystems B.V.;;2;;;;;;;2
Veiligeusb.nl;;;1;;;;;;1
Veiligheidstechniek Nederland B.V.;;1;;;;;;;1
Vellance B.V.;;;;;;1;;;1
VelzArt Groep B.V.;;;;;;;;1;1
VendorLink B.V.;;;;;1;;;;1
Veolia Gebouwenbeheer B.V.;;1;;;;;;;1
Veolia Water Technologies Netherlands B.V.;;1;;;;;;;1
Vepa, the furniture factory;;7;;;;;;;7
Ver. van Eigen. flat Kranensteeg 5-7 Deventer;;;;;;;;1;1
Verbeekhuisarts;;;;;;;;1;1
Verbeterforum B.V.;;;;;;;;2;2
Verdonck, Klooster & Associates B.V.;;;;;;;;5;5
Vereniging voor Overheidsmanagement;;;;;;;;1;1
Verizon Nederland B.V.;;;;;;;;1;1
Versteeg Coaching en Management;;;;;;;;2;2
Vertimart Consultants B.V.;;;;;1;;;;1
Vest IT Engineering B.V.;;;;;;;;2;2
Videonieuwsbericht B.V.;;;;1;;1;;;1
Vink Lisse B.V.;;1;;;;;;;1
Vink-Van der Meer Electro B.V.;;1;;;;;;;1
Virtual Vaults Nederland;;;;;1;;;;1
Virtual Vision;;;;;;1;;;1
VisionBI B.V.;;;;;1;;;;1
VisionsConnected;;2;;;;;;;2
Visma Raet B.V.;;;;;;;1;;1
Visuall;;;;;1;;;;1
Vital Images Europe B.V.;;2;;;;;;;2
Vital Innovators B.V.;;;;;;;;2;2
Vloerenbedrijf M. Nobel B.V.;;;;;;;;;
VM Consultancy B.V.;;;;;;;;1;1
Vodafone;;2;5;4;;2;7;;7
Vodafone Libertel B.V.;;;;;;;2;;2
VoiceData;;;;;;;;1;1
Voiceworks B.V.;;;;;;;;1;1
Voip4all B.V.;;;;;;;;1;1
Voipro Communications Company B.V.;;;;;;;;1;1
VoipZeker B.V.;;;;;;;;1;1
Voizz Nederland B.V.;;;;;;;;1;1
Volders Forensisch Milieuonderzoek;;;;;;;;2;2
Vollebergh & Hendrikx-Heeren Advoc. - Mediat.;;;;;;;;1;1
Voornenet B.V.;;;;;;;;1;1
Vreeburg Airport Advice;;;;;;;;2;2
VRH Informatisering B.V.;;;2;;;;;4;4
VRmagic Imaging GmbH;;;;;;;;;
VWR International B.V.;;3;1;;;;;;3
VX Company IT Services B.V.;;;;;6;;;;6
W.R.G.M. Vinken Holding B.V.;;2;;;;;;;2
Wanbound B.V.;;;;;;;;1;1
Warp Industries B.V.;;;;;1;;;;1
Watercompany B.V.;;1;;;;;;;1
Watermelon B.V.;;;2;;;;;;2
Wayward lad Ltd - Misha Glenny;;;;;;;;1;1
WebElect;;;;;;;1;;1
WeeversNieuwstad;;2;;;;;;;2
Wensink;;;;;;;;;
Werkoptimaal;;;;;;;;1;1
Wesselink Van Zijst B.V.;;;;;;;;2;2
West Hosting+ B.V.;;1;;;;;;;1
Westerborg Huisartsenpraktijk;;;;;;;;1;1
WEWO EUROPE B.V.;;;1;;;;;;1
Wifi4all B.V.;;;;;;;;1;1
WiFly Wireless Solutions;;;;;;;;1;1
Wilt-Cyrox Groep BV;;1;;;;;;;1
Winkwaves B.V.;;;;;2;;;;2
Wolters Kluwer Belgium NV;;;;1;;;;;1
Wolters Kluwer Nederland B.V.;;;;1;;;;;1
WorkWire B.V.;;;;;;;;2;2
Worldline B.V.;;1;;;;;;;1
X2Com B.V.;;;;;;;;1;1
XA Document Solutions;;;;;;;2;;2
Xenosite B.V.;;;;;;;;1;1
Xentech B.V.;;;;;;;;1;1
Xerox (Nederland) B.V.;;2;3;;1;1;7;1;7
Xerox Services B.V.;;;;;2;;;;2
X-ict B.V.;;;2;;;;;;2
XOIP B.V.;;;;;;;;1;1
XRC®services B.V.;;;;;;;;1;1
XS 2 Knowledge B.V.;;;;1;;;;;1
XS4ALL Internet B.V.;;;;2;;1;2;;2
XTANDIT B.V.;;;1;;;;;;1
Yes Telecom Netherlands B.V.;;;;;;;1;1;2
Youfone;;;;;;;;1;1
Your Hosting B.V.;;;;;;1;;;1
YourRequest B.V.;;;;;;;;3;3
Zalencentrum 'De Trije Doarpen';;;;;;;;1;1
Zeven7;;;;;;;;2;2
Ziggo B.V.;;1;1;2;;1;2;;2
Ziggo Services B.V.;;;;1;;;2;;2
Ziggo Zakelijk Services B.V.;;1;;1;;;1;;2
Zomerdijk & Groenheijde Telecommunicatie;;;2;;1;;;1;2
Zootz B.V.;;;;;;;;1;1
Zorg van de Zaak N.V.;;;;;;;;1;1
Zuidema Personeelsmanagement B.V.;;;;;1;;;;1
ZyLAB eDiscovery & Compl. Services (DCS) B.V.;;;;;3;;;;3
ZZ_Toner Webshop;;;;;;;;;
Eindtotaal;4;11;9;9;11;9;9;10;13
