Verkiezing		Provinciale Staten Zuid-Holland 2019																																																																		
Datum		20-3-2019																																																																		
Gebied		Gemeente Dordrecht																																																																		
Nummer		505																																																																		
																																																																				
Lijstnummer	Aanduiding	Volgnummer	Naam kandidaat	Totaal	Stadhuis	Stadskantoor	't Zeepaert	Centrum Stapal	Dordrechts Museum	't Klockhuys, bij toren Grote Kerk	School Vest	Hogeschool InHolland	Energiehuis	Centraal Station, Portacabin op bordes	School Noordhove	Gebouw De Driesprong	Zorgcentrum De Linde	Kerkgebouw Pinkstergemeente	Dordtse Vrije School	School De Repelaer	Sportcomplex Sport+	Wantijschool	School De Regenboog	Zorgcentrum Merwelanden	Prinses Julianaschool	Prinsemarij	Gebouw Dorswedo	Prins Bernhardschool	Het Weizigt NMC	School De Fontein	Het Waterwiel	Speeltuin Zeehavenkwartier	Wijkcentrum De Admiraal	Wooncentrum Watersteijn	Postillion Hotel	Wooncentrum De Klockelaer	J.F. Kennedyschool	Trefpunt de Nieuwe Stoof	Zorgcentrum Vreedonk	Bewonersvereniging 't Trefpunt	Winkelcentrum Sterrenburg	Cultureel Centrum Sterrenburg	Albert Schweitzerziekenhuis, Dordtwijk	Verpleeghuis De Sterrenlanden	Polyanderschool	School De Driehoek	Portacabin Eulerlaan	Gymzaal Ockenburg	Ontmoetingskerk	School De Meridiaan	School Het Kristal Dependance	School Het Kristal	Verzorgingshuis Dubbelmonde	Beatrixschool, de boerderij	Verpleeghuis Het Parkhuis	Postduivenvereniging 'De Luchtbode'	OBS Dubbeldam	De Gravenhorst	Hotel De Watertoren	School De Griffioen	Lucina Verloskundigenpraktijk	Geert Grooteschool	Wielborgh, Het Polderwiel	Portacabin Parkeerplaats Stadspolderring	Kandelaarkerk	Speeltuin Stadspolders	School De Bever	Johan Frisoschool Dependance
		32	de Goede-van Tiel, A.M.J.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		33	Kortekaas-Warmerdam, P.T.M.	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		34	de Vries, J.P.	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
		35	van Ginkel-van Maren, M.P.C.	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
		36	van der Burg, J.J.J.M.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		37	't Hart, C.M.P.	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		38	Holst-Brink, M.	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
		39	Keijzer-Westhoeve, E.B.	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		40	Flåten-Daskalakis, C.A.C.	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		41	Goedhart, G.	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
		42	de Goeij-Smulders, M.E.B.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		43	van Leeuwen-Klink, E.A.G.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		44	Meerkerk, C.F.	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		45	de Pater-Postma, W.L.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		46	van den Bosch-Damen, P.G.E.M.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		47	Rijken, P.J.	8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
		48	Kip, M.	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0
		49	van de Camp, W.G.J.M.	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
		50	de Lange, E.M.R.	13	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0
5	Partij van de Arbeid (P.v.d.A.)			3816	123	108	48	66	79	22	81	34	69	99	50	87	87	38	48	54	17	42	48	47	48	82	46	46	45	55	55	6	48	39	26	59	59	72	31	73	92	93	52	62	48	73	43	32	117	61	27	77	72	61	60	26	54	60	40	62	61	91	113	65	52	42	54	89
		1	Koning, A.L.	2514	84	73	33	46	59	18	53	18	26	60	28	54	53	23	29	36	12	22	31	30	28	55	22	22	33	28	33	3	29	24	17	39	35	42	23	45	59	65	31	45	29	54	30	20	79	42	19	58	60	50	44	20	36	35	28	45	42	64	80	47	39	32	43	52
		2	Bruijn, L.C.	154	5	3	1	2	2	1	0	0	2	5	0	5	6	3	1	2	0	1	2	3	3	3	0	2	1	2	1	1	6	2	0	6	2	5	0	8	4	3	3	3	1	2	4	3	1	4	2	3	3	2	1	1	3	1	1	3	4	5	4	2	2	0	2	1
		3	Hijink, E.A.	96	1	2	0	0	2	0	5	2	2	3	8	1	2	2	0	0	0	0	1	0	0	2	1	0	3	4	2	0	1	0	2	0	1	0	0	1	3	1	0	0	3	1	2	0	4	2	1	3	1	0	3	0	2	5	0	2	2	3	2	0	2	3	0	3
		4	Minderhout, W.A.	18	1	2	0	1	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	1
		5	Bedijn, R.M.	48	4	2	0	0	0	0	3	2	0	3	1	2	1	2	0	2	0	0	0	0	1	2	0	0	0	1	0	2	0	1	0	1	0	0	1	2	0	0	1	1	0	1	1	0	0	1	0	0	0	0	0	0	0	2	0	2	0	0	0	2	2	0	0	2
		6	van der Hoeven, A.A.M.	33	0	1	1	0	0	0	1	0	0	1	0	1	2	1	0	0	1	2	0	0	0	1	0	0	0	1	1	0	3	2	0	0	0	0	2	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	1	0	2	1	0	0	0	0	1	1	1	0	0	1
		7	Mouhiddine, H.	69	3	2	0	2	1	0	0	1	1	3	2	2	0	0	1	1	1	0	1	1	2	3	1	0	2	0	1	0	0	0	0	2	2	3	0	1	5	1	0	0	1	0	1	1	2	1	0	1	0	0	0	0	1	0	2	2	1	2	1	1	1	1	1	4
		8	van Zantvoort, A.H.G.	24	0	0	1	1	0	0	1	0	0	2	0	1	0	3	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	2	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	2
		9	Yildiz, H.K.P.	72	0	1	0	0	1	0	0	0	21	2	0	5	0	0	0	0	0	3	2	0	3	2	0	0	0	3	0	0	2	0	0	2	9	2	0	0	1	3	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	3	0
		10	Eshuis, M.J.L.	23	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0
		11	Oorschot, L.M.	10	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0
		12	Hagenaars, C.Y.D.	5	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		13	Stroop, A.A.	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		14	Wiersma-den Dulk, H.H.	12	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
		15	Hindriks, D.V.	20	0	1	0	0	1	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	1	1	0	1	0	0	0
		16	Guttenberg-Magno Batáglia, O.M.	9	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
		17	Bolte, J.	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
		18	Erdo?an, B.	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		19	van Leeuwen, B.	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		20	Roopram, R.D.	28	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	2	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	1	0	2	0	1	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	6
		21	van den Boogaard, A.	10	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0
		22	Khamkhami, J.	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
		23	Janssen, M.	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
		24	van Muijen, M.G.J.	9	3	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
		25	Kraneveldt-van der Veen, M.	3	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		26	Dankaart, D.	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		27	't Hoen, P.W.	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		28	van Oudheusden, H.	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		29	Jak, L.	10	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	2	0	0	0	0	0	0
		30	Bergman-de Zwart, M.C.	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
		31	Boesenkool, J.M.	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		32	Oosthoek, A.C.D.	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		33	Heesen, S.L.W.	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		34	Meershoek, S.J.	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
		35	Tiekstra, W.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		36	Tempelman, D.D.	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		37	de Vries, F.C.	583	19	17	11	11	12	2	14	7	11	13	7	12	15	1	13	7	3	9	8	9	7	7	15	16	2	15	4	0	6	6	3	4	10	11	5	14	15	16	14	9	12	11	5	6	26	9	2	10	4	6	9	4	9	13	7	4	4	11	18	10	1	5	4	13
		38	Slooters, G.G.G.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		39	van Hijlckama Vlieg, E.E.	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
		40	Kiela, P.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		41	Kathmann, B.C.	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
		42	van der Post, J.G.L.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		43	Oppatja, H.I.P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		44	Mohandis, M.	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		45	Damen, M.M.	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		46	Struijk, W.	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		47	Maij, M.E.	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
		48	Florijn, M.	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		49	Matil, N.K.O.	6	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
		50	Hillebrand, R.	12	0	2	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
6	SP (Socialistische Partij)			2645	84	62	25	42	38	15	54	14	41	46	38	65	59	28	59	43	9	47	32	21	30	86	47	45	41	42	49	5	40	23	24	34	41	49	19	52	72	63	31	43	22	53	33	30	65	43	26	52	26	50	29	17	38	36	19	63	56	83	96	48	24	19	29	30
		1	van Aelst, R.	1838	57	45	18	32	28	8	41	11	32	31	29	41	34	19	37	28	5	35	20	13	16	63	33	29	25	26	30	3	24	17	17	26	28	34	17	30	52	43	23	34	15	36	15	24	54	33	20	38	21	31	24	13	24	23	12	43	48	54	75	33	16	12	21	19
		2	Hoogendam, F.J.	40	1	0	0	2	0	0	2	0	0	1	0	0	3	1	1	1	0	1	1	2	1	1	1	1	0	1	1	0	0	0	0	1	0	0	0	1	1	2	0	0	0	1	0	0	2	0	0	0	0	1	0	0	1	0	0	3	0	1	2	2	0	0	0	0
		3	van Hell, P.M.	57	1	2	1	0	1	1	2	0	1	2	2	0	2	1	3	3	1	0	0	1	1	3	1	0	0	1	1	0	2	1	0	0	0	0	0	1	0	2	0	2	0	0	1	1	1	0	0	0	0	3	0	0	0	1	0	1	0	6	1	1	1	0	1	0
		4	Staarink, I.	35	3	1	3	1	0	1	1	1	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1	1	0	2	2	0	1	0	0	0	0	1	0	0	1	2	0	0	0	1	1	1	1	0	0	1	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0
		5	van de Kolk, I.A.H.	32	1	0	0	1	0	0	0	1	0	0	1	1	1	0	1	0	1	0	1	0	1	3	0	1	0	0	0	0	1	1	0	0	2	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	1	1	0	0	1	0	2	1	0	2	0	2	0	0	0	0
		6	van den Hout, S.G.	9	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
		7	Metselaar, W.M.	12	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0
		8	Weerdmeester, T.C.	16	0	0	1	0	0	0	0	0	0	4	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0
		9	van Houwelingen, A.C.	11	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0
		10	van der Nat, H.F.A	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		11	Snellink, G.J.	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
		12	Coppus, T.H.C.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
		13	Stil, B.A.	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
		14	Filiz, T.	16	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	1	0	0	0	0	0	3	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1
		15	van Galen-Oostrum, C.M.	8	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
		16	van Steenderen, A.	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
		17	Peterse, B.	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
		18	Dansen, E.L.	20	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	2	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	1
		19	van der Sluis, J.H.A.	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
