UniformeProductnaam,URI,Rijk,Provincie,Waterschap,Gemeente,Burger,Bedrijf,Dienstenwet,SDG,Autonomie,Medebewind,Aanvraag,Subsidie,Melding,Verplichting,DigiDMacht,Grondslag,Grondslaglabel,Grondslaglink
binnenschipcertificaat,http://standaarden.overheid.nl/owms/terms/binSchipCert,X,,,,X,X,X,C5,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Binnenvaartwet_art_9,Artikel 9 Binnenvaartwet,https://wetten.overheid.nl/jci1.3:c:BWBR0023009&hoofdstuk=3&Paragraaf=1&artikel=9
biz-bijdrage,http://standaarden.overheid.nl/owms/terms/biz-bijdrage,,,,X,,X,,,X,,,,,X,,http://standaarden.overheid.nl/owms/terms/WBIZ_art_1,Artikel 1 Wet op de bedrijveninvesteringszones,https://wetten.overheid.nl/jci1.3:c:BWBR0035933&artikel=1
bladkorf,http://standaarden.overheid.nl/owms/terms/bladkorf,,,,X,X,,,,,X,,,,,,,,
blijverslening,http://standaarden.overheid.nl/owms/terms/blijverslening,,,,X,X,,,,X,,X,X,,,,http://standaarden.overheid.nl/owms/terms/Gemw_art_149,Artikel 149 Gemeentewet,https://wetten.overheid.nl/jci1.3:c:BWBR0005416&titeldeel=III&hoofdstuk=IX&artikel=149
blindengeleidehond,http://standaarden.overheid.nl/owms/terms/blindengeleidehond,,,,X,X,,,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/Rzv_art_2_13,Artikel 2.13 Regeling zorgverzekering,https://wetten.overheid.nl/jci1.3:c:BWBR0018715&hoofdstuk=2&Paragraaf=1&sub-paragraaf=1.4&artikel=2.13
bloedproductenin- en uitvoervergunning,http://standaarden.overheid.nl/owms/terms/bloedprodinuitvverg,X,,,,,X,X,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/WBV_hfd_iv,Hoofdstuk IV Wet inzake bloedvoorziening,https://wetten.overheid.nl/jci1.3:c:BWBR0009079&hoofdstuk=IV
bloembollenteelteisen,http://standaarden.overheid.nl/owms/terms/bloembteelteis,X,,,,,X,X,,,,,,,X,,http://standaarden.overheid.nl/owms/terms/Landbouwkwaliteitsbesl_art_9,Artikel 9 Landbouwkwaliteitsbesluit 2007,https://wetten.overheid.nl/jci1.3:c:BWBR0022535&artikel=9
bodembeschermingsvergunning,http://standaarden.overheid.nl/owms/terms/bodembeschermingsvergunning,,,,X,X,X,X,,,X,X,,,,,,,
bodemonderzoek,http://standaarden.overheid.nl/owms/terms/bodemonderzoek,,,,X,X,X,,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/Mor_art_2_4,Artikel 2.4 Regeling omgevingsrecht,https://wetten.overheid.nl/jci1.3:c:BWBR0027471&hoofdstuk=2&Paragraaf=2.1&artikel=2.4
bodemonderzoek schadevergoeding,http://standaarden.overheid.nl/owms/terms/bodemonderzoek_schadevergoeding,,,,X,X,X,,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/Wbb_art_73,Artikelen 73 en 74 Wet bodembescherming,https://wetten.overheid.nl/jci1.3:c:BWBR0003994&hoofdstuk=VII&Paragraaf=1&artikel=73
bodemopslagvergunning,http://standaarden.overheid.nl/owms/terms/bodemopslagvergunning,X,,,,,X,X,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Mijnbouwwet_art_25,Artikel 25 Mijnbouwwet,https://wetten.overheid.nl/jci1.3:c:BWBR0014168&hoofdstuk=3&Paragraaf=3.1&artikel=25
bodemsanering instemming saneringsplan,http://standaarden.overheid.nl/owms/terms/bodemsanering_instemming_saneringsplan,,X,,,X,X,X,N1;D2,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/Wbb_art_39,Artikel 39 Wet bodembescherming,https://wetten.overheid.nl/jci1.3:c:BWBR0003994&hoofdstuk=IV&Paragraaf=3&artikel=39
bodemsanering melding voornemen,http://standaarden.overheid.nl/owms/terms/bodemsanering_melding_voornemen,,X,,,X,X,X,D2;N2,,X,,,X,,,http://standaarden.overheid.nl/owms/terms/BesUniSan_art_6,Artikel 6 Besluit uniforme saneringen,https://wetten.overheid.nl/jci1.3:c:BWBR0019511&Paragraaf=2&artikel=6
bodemsanering verkennend onderzoek,http://standaarden.overheid.nl/owms/terms/bodemsanering_verkennend_onderzoek,,X,,,X,X,,,,X,,,,X,,http://standaarden.overheid.nl/owms/terms/Bvbb_art_4,Artikel 4 Besluit verplicht bodemonderzoek bedrijfsterreinen,https://wetten.overheid.nl/jci1.3:c:BWBR0006155&artikel=4
bodemverontreiniging melding,http://standaarden.overheid.nl/owms/terms/bodemverontreiniging_melding,,X,,,X,X,,D2;N2,,X,,,X,,,http://standaarden.overheid.nl/owms/terms/Wbb_art_27,Artikel 27 Wet bodembescherming,https://wetten.overheid.nl/jci1.3:c:BWBR0003994&hoofdstuk=IV&Paragraaf=1&artikel=27
boedelregister inzage,http://standaarden.overheid.nl/owms/terms/boedelregInz,X,,,,X,X,,D6,,,,,,,,http://standaarden.overheid.nl/owms/terms/Bbreg_art_7,Artikel 7 Besluit boedelregister,https://wetten.overheid.nl/jci1.3:c:BWBR0014438&artikel=7
boete,http://standaarden.overheid.nl/owms/terms/boete,X,,,,X,X,,,,,,,,X,,http://standaarden.overheid.nl/owms/terms/WvSr_art_23,Artikel 23 Wetboek van Strafrecht,https://wetten.overheid.nl/jci1.3:c:BWBR0001854&boek=Eerste&titeldeel=II&artikel=23
borstprothesen transvrouwen subsidie,http://standaarden.overheid.nl/owms/terms/brstprttranssub,X,,,,X,,,G3,,,,,,,,http://standaarden.overheid.nl/owms/terms/SRBorstprTrVr_art_3,Artikel 3 Subsidieregeling borstprothesen transvrouwen,https://wetten.overheid.nl/jci1.3:c:BWBR0041856&artikel=3
bouwgronduitgifte,http://standaarden.overheid.nl/owms/terms/bouwgronduitgifte,,,,X,X,X,,,X,,,,,,,http://standaarden.overheid.nl/owms/terms/BW_Boek_7_art_1,Artikel 1 Burgerlijk Wetboek Boek 7,https://wetten.overheid.nl/jci1.3:c:BWBR0005290&boek=7&titeldeel=1&afdeling=1&artikel=1
bouwplaninzage,http://standaarden.overheid.nl/owms/terms/bouwplaninzage,,,,X,X,X,,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/Woo_art_4_1,Artikel 4.1 Wet open overheid,https://wetten.overheid.nl/jci1.3:c:BWBR0045754&hoofdstuk=4&artikel=4.1
bouwstoffenmelding,http://standaarden.overheid.nl/owms/terms/bouwstoffenmelding,X,,X,X,,X,,,,X,,,X,,,http://standaarden.overheid.nl/owms/terms/Bbk_art_32,Artikel 32 Besluit bodemkwaliteit,https://wetten.overheid.nl/jci1.3:c:BWBR0022929&hoofdstuk=3&artikel=32
bouwwerk voltooiingsverklaring,http://standaarden.overheid.nl/owms/terms/bouwwerk_voltooiingsverklaring,,,,X,X,X,X,,,X,,,X,,,http://standaarden.overheid.nl/owms/terms/Bouwbesluit_2012_art_1_25,Artikel 1.25 Bouwbesluit 2012,https://wetten.overheid.nl/jci1.3:c:BWBR0030461&hoofdstuk=1&Paragraaf=1.6&artikel=1.25
bouwwerk werkzaamhedenmelding,http://standaarden.overheid.nl/owms/terms/bouwwrkzhmld,X,,,,X,X,X,,,,,,X,,,http://standaarden.overheid.nl/owms/terms/Arbobesluit_art_2_27,Artikel 2.27 Arbeidsomstandighedenbesluit,https://wetten.overheid.nl/jci1.3:c:BWBR0008498&hoofdstuk=2&afdeling=5&artikel=2.27
bpm vrijstelling,http://standaarden.overheid.nl/owms/terms/bpmvrijst,X,,,,X,X,,B4;C4;C1,,,X,,,,,http://standaarden.overheid.nl/owms/terms/BPM_art_14,Artikel 14 Wet op de belasting van personenauto's en motorrijwielen 1992,https://wetten.overheid.nl/jci1.3:c:BWBR0005806&hoofdstuk=IV&afdeling=1&artikel=14
bpm-aangifte,http://standaarden.overheid.nl/owms/terms/bpmAangifte,X,,,,X,X,,A4;C4;L5,,,,,,X,,http://standaarden.overheid.nl/owms/terms/BPM_art_6,Artikel 6 Wet op de belasting van personenauto's en motorrijwielen 1992,https://wetten.overheid.nl/jci1.3:c:BWBR0005806&hoofdstuk=III&afdeling=1&artikel=6
bpm-teruggaaf,http://standaarden.overheid.nl/owms/terms/bpmTeruggaaf,X,,,,X,X,,B4;C4,,,X,,,,,http://standaarden.overheid.nl/owms/terms/BPM_art_14a,Artikel 14a Wet op de belasting van personenauto's en motorrijwielen 1992,https://wetten.overheid.nl/jci1.3:c:BWBR0005806&hoofdstuk=IV&afdeling=2&artikel=14a
bpm-teruggaaf,http://standaarden.overheid.nl/owms/terms/bpmTeruggaaf,X,,,,X,X,,B4;C4,,,X,,,,,http://standaarden.overheid.nl/owms/terms/BPM_art_16,Artikel 16 Wet op de belasting van personenauto's en motorrijwielen 1992,https://wetten.overheid.nl/jci1.3:c:BWBR0005806&hoofdstuk=IV&afdeling=2&artikel=16
brandbeheersing aanvalsplan,http://standaarden.overheid.nl/owms/terms/brandbeheersing_aanvalsplan,,,,X,,X,,,,X,,,,,,,,
brandveiligheidadvies,http://standaarden.overheid.nl/owms/terms/brandveiligheidadvies,,,,X,,X,,,,X,,,,,,,,
briefadres,http://standaarden.overheid.nl/owms/terms/briefadres,,,,X,X,,,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/Wet_BRP_art_2_23,Artikel 2.23 Wet basisregistratie personen,https://wetten.overheid.nl/jci1.3:c:BWBR0033715&hoofdstuk=2&afdeling=1&Paragraaf=3&artikel=2.23
brp-adoptie-uitschrijving,http://standaarden.overheid.nl/owms/terms/brpAdoptUitschr,X,,,X,X,,,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/Wet_BRP_art_2_57,Artikel 2.57 Wet basisregistratie personen,https://wetten.overheid.nl/jci1.3:c:BWBR0033715&hoofdstuk=2&afdeling=1&Paragraaf=6&artikel=2.57
brp-geheimhoudingsverzoek,http://standaarden.overheid.nl/owms/terms/brpGehhVzk,,,,X,X,,,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/Wet_BRP_art_2_59,Artikel 2.59 Wet basisregistratie personen,https://wetten.overheid.nl/jci1.3:c:BWBR0033715&hoofdstuk=2&afdeling=1&Paragraaf=6&artikel=2.59
brp-inschrijving,http://standaarden.overheid.nl/owms/terms/brpInschr,X,,,X,X,,,D1,,X,,,,X,,http://standaarden.overheid.nl/owms/terms/Wet_BRP_art_2_38,Artikel 2.38 Wet basisregistratie personen,https://wetten.overheid.nl/jci1.3:c:BWBR0033715&hoofdstuk=2&afdeling=1&Paragraaf=5&artikel=2.38
brp-inschrijving buitenlandse akte,http://standaarden.overheid.nl/owms/terms/brpInschrBuitAkte,X,,,X,X,,,D1,,X,,,,X,,http://standaarden.overheid.nl/owms/terms/Wet_BRP_art_2_38,Artikel 2.38 Wet basisregistratie personen,https://wetten.overheid.nl/jci1.3:c:BWBR0033715&hoofdstuk=2&afdeling=1&Paragraaf=5&artikel=2.38
brp-inschrijving niet in leven zijnd kind,http://standaarden.overheid.nl/owms/terms/brpInschrOverlKind,X,,,X,X,,,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/Wet_BRP_art_2_56a,Artikel 2.56a Wet basisregistratie personen,http://wetten.overheid.nl/jci1.3:c:BWBR0033715&hoofdstuk=2&afdeling=1&Paragraaf=6&artikel=2.56a
brp-inzagerecht,http://standaarden.overheid.nl/owms/terms/brpInzRecht,,,,X,X,,,I1,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/Wet_BRP_art_2_55,Artikel 2.55 Wet basisregistratie personen,https://wetten.overheid.nl/jci1.3:c:BWBR0033715&hoofdstuk=2&afdeling=1&Paragraaf=6&artikel=2.55
brp-inzagerecht gegevensverstrekking,http://standaarden.overheid.nl/owms/terms/brpInzRechtGeg,X,,,X,X,,,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/Wet_BRP_art_3_22,Artikel 3.22 Wet basisregistratie personen,https://wetten.overheid.nl/jci1.3:c:BWBR0033715&hoofdstuk=3&afdeling=2&artikel=3.22
brp-uittreksel,http://standaarden.overheid.nl/owms/terms/brpUittr,,,,X,X,,,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/Wet_BRP_art_2_55,Artikel 2.55 Wet basisregistratie personen,https://wetten.overheid.nl/jci1.3:c:BWBR0033715&hoofdstuk=2&afdeling=1&Paragraaf=6&artikel=2.55
brp-uittreksel met gezag,http://standaarden.overheid.nl/owms/terms/brpUittrGezag,,,,X,X,,,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/Wet_BRP_art_2_55,Artikel 2.55 Wet basisregistratie personen,https://wetten.overheid.nl/jci1.3:c:BWBR0033715&hoofdstuk=2&afdeling=1&Paragraaf=6&artikel=2.55
brp-wijzigingsverzoek,http://standaarden.overheid.nl/owms/terms/brpWijzVzk,,,,X,X,,,,,X,X,,,,,http://standaarden.overheid.nl/owms/terms/Wet_BRP_art_2_58,Artikel 2.58 Wet basisregistratie personen,https://wetten.overheid.nl/jci1.3:c:BWBR0033715&hoofdstuk=2&afdeling=1&Paragraaf=6&artikel=2.58
btw-nummervermelding,http://standaarden.overheid.nl/owms/terms/btwnrverm,X,,,,,X,X,L1,,,,,,X,,http://standaarden.overheid.nl/owms/terms/Wet_OB_art_35a,Artikel 35a Wet op de omzetbelasting 1968,https://wetten.overheid.nl/jci1.3:c:BWBR0002629&hoofdstuk=VI&afdeling=4&artikel=35a
buitengewoon pensioen 1940-1945,http://standaarden.overheid.nl/owms/terms/buitGewPens4045,X,,,,X,,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/WBP_art_2,Artikel 2 Wet buitengewoon pensioen 1940-1945,https://wetten.overheid.nl/jci1.3:c:BWBR0002032&hoofdstuk=Eerste&artikel=2
buitengewoon pensioen indisch verzet,http://standaarden.overheid.nl/owms/terms/buitGewPensIndischVerzet,X,,,,X,,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/WIV_art_6,Artikel 6 Wet buitengewoon pensioen Indisch verzet,https://wetten.overheid.nl/jci1.3:c:BWBR0003968&hoofdstuk=Tweede&Paragraaf=1&artikel=6
buitengewoon pensioen zeelieden-oorlogsslachtoffers tweede wereldoorlog,http://standaarden.overheid.nl/owms/terms/buitGewPensZeelOorlSlachtWO2,X,,,,X,,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/WbpZleOs_art_3,Artikel 3 Wet buitengewoon pensioen zeelieden-oorlogsslachtoffers,https://wetten.overheid.nl/jci1.3:c:BWBR0002035&hoofdstuk=Tweede&Paragraaf=1&artikel=3
buitenlands vermogen aangifte,http://standaarden.overheid.nl/owms/terms/buitenlVermAang,X,,,,X,X,,,,,,,,X,,http://standaarden.overheid.nl/owms/terms/AWR_art_67n,Artikel 67n Algemene wet inzake rijksbelastingen,https://wetten.overheid.nl/jci1.3:c:BWBR0002320&hoofdstuk=VIIIA&afdeling=2&artikel=67n
buitenlandse onderwijsbevoegdheid erkenning,http://standaarden.overheid.nl/owms/terms/buitenlOnderwBevErk,X,,,,X,,,B3,,,X,,,,,http://standaarden.overheid.nl/owms/terms/AlgWetEUBerKwal_art_5,Artikel 5 Algemene wet erkenning EU-beroepskwalificaties,https://wetten.overheid.nl/jci1.3:c:BWBR0023066&hoofdstuk=2&artikel=5
burger-oorlogsslachtoffers 1940 -1945 uitkering,http://standaarden.overheid.nl/owms/terms/burgOorlSlacht4045Uitkering,X,,,,X,,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/WUBO_art_7,Artikel 7 Wet uitkeringen burger-oorlogsslachtoffers 1940-1945,https://wetten.overheid.nl/jci1.3:c:BWBR0003664&hoofdstuk=II&Paragraaf=1&artikel=7
burgerinitiatief,http://standaarden.overheid.nl/owms/terms/burgerinitiatief,,X,X,X,X,,,,X,X,,,,,,http://standaarden.overheid.nl/owms/terms/GW_art_5,Artikel 5 Grondwet,https://wetten.overheid.nl/jci1.3:c:BWBR0001840&hoofdstuk=1&artikel=5
burgerinitiatief,http://standaarden.overheid.nl/owms/terms/burgerinitiatief,,X,X,X,X,,,,X,X,,,,,,http://standaarden.overheid.nl/owms/terms/gem_vo_burg_init,gemeentelijke verordening burgerinitiatief,
burgerinitiatief,http://standaarden.overheid.nl/owms/terms/burgerinitiatief,,X,X,X,X,,,,X,X,,,,,,http://standaarden.overheid.nl/owms/terms/pr_vo_burg_init,provinciale verordening burgerinitiatief,
burgerinitiatief,http://standaarden.overheid.nl/owms/terms/burgerinitiatief,,X,X,X,X,,,,X,X,,,,,,http://standaarden.overheid.nl/owms/terms/w_vo_burg_init,waterschapsverordening burgerinitiatief,
burgerservicenummer (bsn),http://standaarden.overheid.nl/owms/terms/burgerservicenummer_(bsn),X,,,X,X,,,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/Wet_alg_bep_bsn_art_14,Artikel 14 Wet algemene bepalingen burgerservicenummer,https://wetten.overheid.nl/jci1.3:c:BWBR0022428&hoofdstuk=4&Paragraaf=2&artikel=14
calamiteitenbestrijding,http://standaarden.overheid.nl/owms/terms/calamiteitenbestrijding,,,X,X,,,,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/Wtw_art_5_29,Artikel 5.29 Waterwet,https://wetten.overheid.nl/jci1.3:c:BWBR0025458&hoofdstuk=5&Paragraaf=5&artikel=5.29
calamiteitenbestrijding,http://standaarden.overheid.nl/owms/terms/calamiteitenbestrijding,,,X,X,,,,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/Wvr_art_2,Artikel 2 Wet veiligheidsregio’s,https://wetten.overheid.nl/jci1.3:c:BWBR0027466&Paragraaf=2&artikel=2
caravanparkeerontheffing,http://standaarden.overheid.nl/owms/terms/caravParkOnth,,,,X,X,X,X,,X,,X,,,,,http://standaarden.overheid.nl/owms/terms/Mod_Apv_art_5_6,Artikel 5:6 Model Algemene plaatselijke verordening,
carbidschietenmelding,http://standaarden.overheid.nl/owms/terms/carbidschietenmelding,,,,X,X,,,,X,,,,X,,,http://standaarden.overheid.nl/owms/terms/gem_vo,gemeentelijke verordening,
centraal archief overledenen inzage,http://standaarden.overheid.nl/owms/terms/centrArchOverlInz,X,,,,X,X,,I1,,,,,,,,http://standaarden.overheid.nl/owms/terms/Wet_BRP_art_4_7,Artikel 4.7 Wet basisregistratie personen,https://wetten.overheid.nl/jci1.3:c:BWBR0033715&hoofdstuk=4&afdeling=2&Paragraaf=1&artikel=4.7
centraal insolventieregister inzage,http://standaarden.overheid.nl/owms/terms/centrInsolvRegInz,X,,,,X,X,,J7;H1,,,,,,,,http://standaarden.overheid.nl/owms/terms/Fw_art_19a,Artikel 19a Faillissementswet,https://wetten.overheid.nl/jci1.3:c:BWBR0001860&titeldeel=I&afdeling=Eerste&artikel=19a
centraal register beroepsonderwijs,http://standaarden.overheid.nl/owms/terms/cregberond,X,,,,X,X,X,E1,,,,,,,,http://standaarden.overheid.nl/owms/terms/WEB_art_6_4_1,Artikel 6.4.1 Wet educatie en beroepsonderwijs,https://wetten.overheid.nl/jci1.3:c:BWBR0007625&hoofdstuk=6&titeldeel=4&artikel=6.4.1
centraal register opleidingen hoger onderwijs,http://standaarden.overheid.nl/owms/terms/centrRegOplHogOnd,X,,,,X,,,E1,,,,,,,,http://standaarden.overheid.nl/owms/terms/WHW_art_6_13,Artikel 6.13 Wet op het hoger onderwijs en wetenschappelijk onderzoek,https://wetten.overheid.nl/jci1.3:c:BWBR0005682&hoofdstuk=6&titeldeel=3&artikel=6.13
centraal register uitsluiting kansspelen,http://standaarden.overheid.nl/owms/terms/cruks,X,,,,X,X,,,,,,,,X,,http://standaarden.overheid.nl/owms/terms/WKS_art_33h,Artikel 33h Wet op de kansspelen,https://wetten.overheid.nl/jci1.3:c:BWBR0002469&titeldeel=VI&afdeling=3&artikel=33h
centraal testamentenregister inzage,http://standaarden.overheid.nl/owms/terms/centrTestamRegInz,X,,,,X,X,,D6,,,,,,,,http://standaarden.overheid.nl/owms/terms/Wctr_art_6,Artikel 6 Wet op het centraal testamentenregister,https://wetten.overheid.nl/jci1.3:c:BWBR0003080&artikel=6
certificaat,http://standaarden.overheid.nl/owms/terms/certificaat,X,,,,X,X,X,M8,,,X,,,,,,,
cites-vergunning,http://standaarden.overheid.nl/owms/terms/citesverg,X,,,,X,X,X,A4,,,X,,,,,http://standaarden.overheid.nl/owms/terms/CITES,"Overeenkomst inzake de internationale handel in bedreigde in het wild levende dier- en plantensoorten, Washington, 03-03-1973",https://wetten.overheid.nl/BWBV0003833/
cliëntenonderzoek,http://standaarden.overheid.nl/owms/terms/clntonderz,X,,,,,X,X,,,,,,,X,,http://standaarden.overheid.nl/owms/terms/Wwft_art_3,Artikel 3 Wet ter voorkoming van witwassen en financieren van terrorisme,https://wetten.overheid.nl/jci1.3:c:BWBR0024282&hoofdstuk=2&Paragraaf=2.1&artikel=3
collectevergunning,http://standaarden.overheid.nl/owms/terms/collectevergunning,,,,X,X,,,,X,,X,,,,,http://standaarden.overheid.nl/owms/terms/Mod_Apv_art_5_13,Artikel 5:13 Model Algemene plaatselijke verordening,
collectief ontslagmelding,http://standaarden.overheid.nl/owms/terms/collontslmld,X,,,,X,X,X,,,,,,X,,,http://standaarden.overheid.nl/owms/terms/WMCO_art_3,Artikel 3 Wet melding collectief ontslag,https://wetten.overheid.nl/jci1.3:c:BWBR0003026&Paragraaf=2&artikel=3
collectieve arbeidsovereenkomst,http://standaarden.overheid.nl/owms/terms/cao,X,,,,X,X,X,,,,,,,,,http://standaarden.overheid.nl/owms/terms/WCAO_art_1,Artikel 1 Wet op de collectieve arbeidsovereenkomst,https://wetten.overheid.nl/jci1.3:c:BWBR0001937&artikel=1
collectieve en incidentele festiviteiten,http://standaarden.overheid.nl/owms/terms/collIncFest,,,,X,,X,X,,X,,,,,,,http://standaarden.overheid.nl/owms/terms/Mod_Apv_art_4_1,Artikel 4:1 Model Algemene plaatselijke verordening,
collegegeld,http://standaarden.overheid.nl/owms/terms/collegegeld,X,,,,X,,,E1,,,,,,X,,http://standaarden.overheid.nl/owms/terms/WHW_art_7_43,Artikel 7.43 Wet op het hoger onderwijs en wetenschappelijk onderzoek,https://wetten.overheid.nl/jci1.3:c:BWBR0005682&hoofdstuk=7&titeldeel=3&Paragraaf=2&artikel=7.43
commenciële zendvergunning,http://standaarden.overheid.nl/owms/terms/commzndverg,X,,,,,X,X,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Tw_art_3_10,Artikel 3.10 Telecommunicatiewet,https://wetten.overheid.nl/jci1.3:c:BWBR0009950&hoofdstuk=3&Paragraaf=3.5&artikel=3.10
commerciële-omroeptoestemming,http://standaarden.overheid.nl/owms/terms/commomrtoest,X,,,,,X,X,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/Mediawet_2008_art_3_1,Artikel 3.1 Mediawet 2008,https://wetten.overheid.nl/jci1.3:c:BWBR0025028&hoofdstuk=3&titeldeel=3.1&artikel=3.1
compostvat,http://standaarden.overheid.nl/owms/terms/compostvat,,,,X,X,,,,,X,,,,,,,,
conformiteitsverklaring,http://standaarden.overheid.nl/owms/terms/confverkl,X,,,,,X,X,M1,,,,,,X,,http://standaarden.overheid.nl/owms/terms/Besluit_EG_768_2008_bijl_1,"Besluit Nr. 768/2008/EG van het Europees Parlement en de Raad van 9 juli 2008 betreffende een gemeenschappelijk kader voor het verhandelen van producten en tot intrekking van Besluit 93/465/EEG van de Raad, Bijlage 1, Hoofdstuk R2",https://eur-lex.europa.eu/legal-content/NL/TXT/HTML/?uri=CELEX:32008D0768&from=NL#d1e215-89-1
consignatiekas-uitkering,http://standaarden.overheid.nl/owms/terms/consignKasUitk,X,,,,X,X,,,,,X,,,,,http://standaarden.overheid.nl/owms/terms/WConsGld_art_9,Artikel 9 Wet op de consignatie van gelden,https://wetten.overheid.nl/jci1.3:c:BWBR0003338&artikel=9
cosmetische-productenvoorschriften,http://standaarden.overheid.nl/owms/terms/cosmprdvrschr,X,,,,,X,X,,,,,,,X,,http://standaarden.overheid.nl/owms/terms/Warenwbesl_cosm_prod_art_2,Artikel 2 Warenwetbesluit cosmetische producten 2011,https://wetten.overheid.nl/jci1.3:c:BWBR0029746&artikel=2
covid-19 tegemoetkoming,http://standaarden.overheid.nl/owms/terms/covid19Tegm,X,,,,,X,,,,,X,X,,,,http://standaarden.overheid.nl/owms/terms/Togs_art_2,Artikel 2 Beleidsregel tegemoetkoming ondernemers getroffen sectoren COVID-19,https://wetten.overheid.nl/jci1.3:c:BWBR0043324&artikel=2
covid-19 werkgelegenheidssubsidie,http://standaarden.overheid.nl/owms/terms/covid19WerkgSubs,X,,,,,X,,,,,X,X,,,,http://standaarden.overheid.nl/owms/terms/Now_art_4,Artikel 4 Tijdelijke noodmaatregel overbrugging voor behoud van werkgelegenheid,https://wetten.overheid.nl/jci1.3:c:BWBR0043340&artikel=4
crematoriumregister,http://standaarden.overheid.nl/owms/terms/crematoriumregister,X,,,X,,X,X,,,,,,,X,,http://standaarden.overheid.nl/owms/terms/Wlb_art_50,Artikel 50 Wet op de lijkbezorging,https://wetten.overheid.nl/jci1.3:c:BWBR0005009&hoofdstuk=IV&afdeling=1&artikel=50
crisismaatregel,http://standaarden.overheid.nl/owms/terms/crisismtrgl,,,,X,X,,,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/Wvggz_art_7_1,Artikel 7:1 Wet verplichte geestelijke gezondheidszorg,https://wetten.overheid.nl/jci1.3:c:BWBR0040635&hoofdstuk=7&Paragraaf=1&artikel=7:1
crisisopvang,http://standaarden.overheid.nl/owms/terms/crisisopvang,,,,X,X,X,,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/Jw_art_6_1_3,Artikel 6.1.3 Jeugdwet,https://wetten.overheid.nl/jci1.3:c:BWBR0034925&hoofdstuk=6&Paragraaf=6.1&artikel=6.1.3
crisisopvang,http://standaarden.overheid.nl/owms/terms/crisisopvang,,,,X,X,X,,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/Wlz_art_3_1_1,Artikel 3.1.1 Wet langdurige zorg,https://wetten.overheid.nl/jci1.3:c:BWBR0035917&hoofdstuk=3&Paragraaf=1&artikel=3.1.1
crisisopvang,http://standaarden.overheid.nl/owms/terms/crisisopvang,,,,X,X,X,,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/Wmo_art_2_3_3,Artikel 2.3.3 Wet maatschappelijke ondersteuning 2015,https://wetten.overheid.nl/jci1.3:c:BWBR0035362&hoofdstuk=2&Paragraaf=3&artikel=2.3.3
crisisopvang,http://standaarden.overheid.nl/owms/terms/crisisopvang,,,,X,X,X,,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/Zvw_art_11,Artikel 11 Zorgverzekeringswet,https://wetten.overheid.nl/jci1.3:c:BWBR0018450&hoofdstuk=3&Paragraaf=3.2&artikel=11
crisisplan,http://standaarden.overheid.nl/owms/terms/crisisplan,,,,X,,,,,,X,,,,,,http://standaarden.overheid.nl/owms/terms/Wvr_art_16,Artikel 16 Wet veiligheidsregio's,https://wetten.overheid.nl/jci1.3:c:BWBR0027466&Paragraaf=3&artikel=16
cultuur invoerverbod,http://standaarden.overheid.nl/owms/terms/cultinvverb,X,,,,X,X,X,,,,,,,,,http://standaarden.overheid.nl/owms/terms/Erfgoedwet_art_6_3,Artikel 6.3 Erfgoedwet,https://wetten.overheid.nl/jci1.3:c:BWBR0037521&hoofdstuk=6&Paragraaf=6.1&artikel=6.3
cultuurgoedaanwijzing,http://standaarden.overheid.nl/owms/terms/cultuurgoedaanw,X,,,,X,X,,,,,,,,,,http://standaarden.overheid.nl/owms/terms/Erfgoedwet_art_3_7,Artikel 3.7 Erfgoedwet,https://wetten.overheid.nl/jci1.3:c:BWBR0037521&hoofdstuk=3&Paragraaf=3.2&artikel=3.7
