Leveranciers;7000 - Huisvesting overig;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;7-Huisvesting
Verwey Vastgoed (incl. Pronam);;;;;6;6
Verwol Projektafbouw;;2;;;;2
VHIC (Van Heijst Information Consulting) Uitgeverij;;2;;;;2
VHP Ergonomie;;1;;;;1
Via-Direct;;1;;;;1
VIANEN BOUWADVIES B.V.;;1;;;;1
Videoproducties Noord B.V.;;2;;;;2
VILLA BETTY STICHTING;;;;;3;3
VILSTEREN EXPLOITATIE MIJ B.V.;;;;;5;5
Visser & Smit Bouw;;4;;;;4
Vista;;2;;;;2
Vitens;;1;2;;;2
Vitrov Bouw en Vastgoed;;5;;;;5
Vitruvius Bouwburo;;3;;;;3
Vitruvius Consultancy;;1;;;;1
Vivax;;3;;;;3
VKS Vergader en Kopie Service;;3;;;;3
Vlaardingerbroek & Wevers;;2;;;;2
Vlaming Erfgoed;;2;;;;2
Vlietstra Schoonmaakbedrijf;;1;;;;1
Vodafone (incl. Libertel);;5;;;;5
Voermans Dakbedekking;;4;;;;4
Vogels Technisch Commercieel Adviesburo;;2;;;;2
VOLKER STAAL EN FUNDERINGEN B.V.;;4;;;;4
Volker Wessels;;7;;;;7
Vollebregt Installatie;;2;;;;2
Voorberg Bouwkunde;;4;;;1;4
Vries De Technisch Buro;;1;;;;1
VSK IV;;1;;;;1
VVE HOOFDSPLITSING BOSLAAN;;;;;2;2
VVE PARKEERGARAGE BOSLAAN;;;;;2;2
VVE WONINGEN BOSLAAN;;;;;2;2
W2N Engineers B.V.;;1;;;;1
W4Y Adviseurs;;1;;;;1
Wa Metaalrestauratie;;1;;;;1
Wagemakers B.V. Bouwbedrijf;;4;;;;4
Walter Verhoeven Loodgieters- en Leidekkersbedrijf;;4;;;;4
Wandflex B.V.;;1;;;;1
Wareco Ingenieurs;;3;;;;3
Warema (vh Delta Nederland);;4;;;;4
Wassenaar Ingenieursbureau;;1;;;;1
Waterbedrijf Groningen;;1;1;;;1
Waternet;;4;;;1;4
Webbers Bouwmanagement;;3;;;;3
Weermeijer & Roelink Advocaten;;2;;;;2
Weiden van der Hoveniersbedrijf;;1;;;;1
Werkplaats erfgoed;;3;;;;3
Wester Ij-Dock C.V.;;3;;;;3
Westgeest Bouwbedrijf;;1;;;;1
Wevers & van Luipen B.V.;;1;;;;1
Wewo Europe;;;;1;;1
WHR Installatie-Adviseurs;;1;;;;1
Wiebing Architekt;;2;;;;2
Wiertsema en Partners;;1;;;;1
Wilbrink Decoraties;;2;;;;2
Wilgenburg;;1;;;;1
Wilgenhaege Stedekroon;;;;;5;5
Wilhelminaplein (Rotterdam) B.V.;;;;;6;6
Willems Technisch Adviesburo;;4;;;;4
Willis;;4;;;;4
Winckers BouwConsult B.V.;;3;;;;3
Wing Process Consultancy;;2;;;;2
Witschge - van Reijen Taaladvies;;1;;;;1
Witteveen+Bos Raadgevende Ingenieurs;;5;;;;5
WMD Waterleidingmaatschappij Drenthe;;1;;;;1
Wolters Schildersbedrijf;;6;;;;6
Woonbron Stg;;;;;1;1
WOONSTICHTING DE KEY;;;;;5;5
Worksphere - Stork en Strukton;;9;;;;9
Workx Materiaalverhuur;;1;;;;1
World Forum Convention Center;;1;;;5;5
Wouter VanStiphout Architectural Historian;;1;;;;1
WPM Development;;1;;;;1
WPM Groep (incl. Kantoormanagement);;4;;;;4
Xam-Xam B.V.;;;;;4;4
XIGNA B.V.;;1;;;;1
Xpression XL;;1;;;;1
Xylem Water Solution (incl. ITT Water);;2;;;;2
Yacht;;2;;;;2
Y-con;;1;;;;1
Ynno;;1;;;;1
You Name It!;;1;;;;1
ZANDERS ARCHITECTUUR;;2;;;;2
Zederik Steenhouwerij;;2;;;;2
Zeep Architecten;;1;;;;1
Zegers Bouwbedrijf;;6;;;;6
Zegwaard Rioolbeheer;;1;;;;1
Zenitel;;2;;;;2
Zien! B.V.;;1;;;;1
Ziggo (vh Casema);;1;;;;1
ZIUT;;2;;;;2
Zon en Scherm;;1;1;;;1
Zonneveld Aluminium;;1;;;;1
Zonneveld Ingenieursbureau;;2;;;;2
Zoogdiervereniging Vzz;;1;;;;1
Zoppi Koperbewerking;;2;;;;2
Zorgboerderij Slangenburg;;2;;;;2
Zuidkoop Natural Projects;;1;;;;1
Zuliani Kunst en Terrazzo B.V.;;2;;;;2
Zurich Leven;;;;;7;7
Zwaan Constructie B.V.;;1;;;;1
Zwager Ijzerhandel;;;;;1;1
Eindtotaal;2;13;8;7;13;13
