Handelsnaam;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1180 - Reis & verblijfskosten;Eindtotaal
Condor Arnhem B.V.;;;2;;1;;;2
Condor Training & Coaching;;;;;;;1;1
Conducto B.V.;;;;;1;;;1
Conf.- & Opleidingscentr. De Ruwenberg B.V.;;;;;2;;1;2
Confederation of European Probation;;;1;;1;;1;1
Conferentie hotel Villa Heidebad;;;;;1;;;1
ConflictSolutions;;;;;1;;;1
Confriends;;;;;1;;;1
Confront Coaching en Training;;;;;1;;;1
Congres- en Studiecentrum VNG B.V.;;;;;2;;;2
Congress Company Academy B.V.;;;;;1;;;1
Congress Company B.V.;;;;;1;;;1
Congressen MetZorg;;;;;1;;;1
Connect IT Arbeidsmarkt Leeuwarden;;;1;;;;;1
ConnectCultures;;;;;;;1;1
Connecting Colours B.V.;;;;;1;;;1
Connexxion;;;2;;2;;2;3
Connexxion Taxi Services B.V.;;;;;;;2;2
Conquaestor B.V.;;;1;;2;;;2
Conrad Electronic Benelux B.V.;;;1;;;;;1
Conscient Kleding & Kleuradvies;;;1;;;;;1
Conseil de LUnion Europeenne;;;1;;;;;1
Considerati B.V.;;;;;1;;;1
Consiglio Nazionale delle ricerche;;;;;;;2;2
Constitutional Court of Georgia;;;1;;;;;1
Construction Media B.V.;;;;;1;;;1
Context Talen;;;;;1;;;1
Continu Beter Coaching & Consultancy;;;2;;;;;2
Cook & Co;;;1;;;;;1
Coolblue B.V.;;;1;;;;;1
Coöp. Nederl. Associatie voor Examinering UA;;;1;;;;;1
Coöperatie Academic Transfer UA;;;;1;;;;1
Coöperatie De Betekenaar UA;;;2;;;;;2
Coöperatie Forum1 UA;;;;;1;;;1
Coöperatie Ontwikkeling Leerpark UA;;;;;1;;;1
Coöperatie Reflekt Hrm UA;;;1;;;;;1
Coöperatief Congrestolkensecretariaat UA;;;;;2;;;2
Coöperatief Rekreatie-Oord Klein Vaarwater BA;;;1;;;;;1
Coöperatieve Vereniging 'Senbazuru' UA;;;;;;;1;1
Coosto Holding B.V.;;;;;1;;;1
Copgroep B.V.;;;1;;2;;;2
Corael Compagnie;;;;;1;;;1
CoreConnect;;;;;1;;;1
CORE-Vision B.V.;;;;;1;;;1
Corinor Organisatieontwikkeling B.V.;;;;;1;;;1
Corn.-Stone Marketing & Sales Programmes B.V.;;;;;1;;;1
Coronel Kartracing B.V.;;;1;;;;;1
Coronel Ski B.V.;;;;;;;1;1
Corps 3 op twee B.V.;;;;1;;;;1
Corpus Consultancy;;;;;3;;1;3
Corpus Hotel C.V.;;;1;;;;;1
Costa B.V.;;;1;;;;;1
Costuummagazijn A.T. de Wit B.V.;;;1;;;;;1
COT Inst. voor Veil.h.- & Crisismanagem. B.V.;;;;;2;;;2
CottonTrends B.V.;;;1;;;;;1
Country Golf Ees;;;1;;;;;1
Country Home Cooking;;;1;;;;;1
Countus Accountants + Adviseurs B.V.;;;;;1;;;1
CPS centre for policing and security;;;;;1;;;1
CQT Zorg & Gezondheid B.V.;;;;;1;;;1
Craens Consultancy;;;1;;;;;1
Crazy Beach B.V.;;;;;;;1;1
Crazy Holding;;;;;;;1;1
Crazy Piano's Scheveningen B.V.;;;2;;;;1;2
Creagivity B.V.;;;1;;;;;1
Creaim B.V.;;;1;;1;;;1
Creapolis Media;;;;;2;;;2
Creatief Kasteel;;;1;;;;;1
Creatiff Grafische Producties;;;1;;;;;1
Cremers Pa&R;;;;;;;1;1
Crisicom B.V.;;;;;1;;;1
Crisisplan B.V.;;;;;3;;;3
Cristal Cleaning Stomerij Vof;;;1;;;;;1
Cristal Cleaning Zwolle-Zuid;;;1;;;;;1
Croissanterie 'de Snor' Beheer B.V.;;;1;;;;1;1
Crosstree;;;1;;;;;1
CS Opleidingen B.V.;;;;;1;;;1
CS Trainingen en Opleidingen B.V.;;;;;1;;;1
CSU Airport Services;;;2;;1;;;2
Culinair Educatiecentrum Limburg;;;1;;;;;1
Culinaire Zaken;;;1;;;;;1
Culpepper B.V.;;;;;1;;1;1
Cuna International B.V.;;1;;;;;;1
Cupcakes4ever;;;1;;;;;1
CURA Advies & Training B.V.;;1;1;;1;;;1
CURA Preventie B.V.;;;2;;;;;2
Cure & Care Development B.V.;;;;;1;;;1
Curium-LUMC;;;1;;;;;1
Cursor voor Ondernemingsraden B.V.;;;;;1;;;1
CVA Informatica Opleidingen B.V.;;;;;1;;;1
Cycle and the City;;;1;;;;;1
Cycle Center;;;1;;;;;1
Cycling Dutchmen;;;;;;;1;1
Cycon;;;;;1;;;1
CZ Groep Zorgverzekeraar;;;5;;;;;5
CZECH-IN s.r.o.;;;;;1;;;1
D & I Ondersteuning in opleiding en adv. B.V.;;;;;;;1;1
D&B Mobility B.V.;;;;;;;1;1
D&J Zijderveld V.O.F.;;;;;;;1;1
D. Allewijn Mediator;;;1;;;;;1
D. Hellingman en Zoon B.V.;;;1;;;;;1
D. Middeldorp Beheer B.V.;;;;;;;1;1
D. Stuik hodn New York Pizza Delivery;;;;;;;1;1
D. van Looy Groente en Fruit;;;1;;;;;1
D.P. Pizza Zoetermeer;;;;;;;1;1
Da Mauro;;;1;;;;1;1
daadkrachtNU;;;;;1;;;1
Daantje food & drinks;;;;;1;;;1
Dacajami B.V.;;;1;;1;;;1
Dagelijks Lekker;;;;;1;;1;1
Dagvoorzitter.nl;;;;;1;;;1
Daidalos Coaching & Advies;;;;;1;;1;1
Dalstra Reizen;;;;;;;1;1
Dames & Heren Culinair Cafe;;;;;;;1;1
Damsté advocaten - notarissen;;;1;;1;;;1
Daniëls en van Kruijsdijk;;;;;1;;;1
Dannim Studio;;;;;1;;;1
DARA B.V.;;;1;;;;1;1
Dariuz B.V.;;;;;1;;;1
Darpo Reklame B.V.;;;1;;;;;1
DAS;;;1;;;;;1
DAS Nederl. Rechtsbijstand Verzeker.mij. N.V.;;;1;;;;;1
DASC B.V.;;;;;1;;;1
Dasmooi;;;1;;2;;;2
DataExpert B.V.;;;;;1;;;1
Datema Electronics;;;1;;;;;1
David Bernstein Forensic Consulting;;;;;1;;1;1
Davis Consulting;;;;;1;;;1
DB Agenturen;;;1;;;;;1
DBS Maaitechniek B.V.;;;1;;;;;1
'De 4 Azen' 's-Hertogenbosch B.V.;;;;;;;1;1
De 4 Kolommen Cheng;;;;;;;1;1
De Academy B.V.;;;;;1;;;1
De Academy Opleiding & Advies B.V.;;;;;1;;;1
De Admiraal;;;1;;;;;1
De Amstelclub;;;;;;;1;1
De Apostelhoeve;;;1;;;;;1
De Aubergerie;;;1;;;;;1
De Baak Administratie;;;1;;;;;1
De Baak B.V.;;;1;;5;;;5
De Bakkerswinkel 'De Nineties';;;;;;;1;1
De Bakkerswinkel Utrecht;;;1;;;;;1
De Balken;;;;;;;1;1
De Bandenhal;;;;;;;1;1
De Baron B.V.;;;1;;;;;1
De Bazar;;;1;;;;;1
De Bazar Amsterdam B.V.;;;;;;;1;1
De Bazar B.V.;;;1;;;;1;1
De Belgische Keizer B.V.;;;1;;;;1;1
De Bergse Bossen;;;;;1;;;1
De Beukelaar Groep;;;;;1;;;1
De Bierelier B.V.;;;1;;;;1;1
De Bierkelder Utrecht;;;1;;;;1;1
De Birkt Horeca B.V.;;;;;;;1;1
De Blauwe Engel;;;;;;;1;1
De Blauwe Lotus;;;1;;;;1;1
De Bloemenschuur;;;1;;;;;1
De Bloemenweide;;;1;;;;;1
De Bloemenwinkel;;;1;;;;;1
De Boeketterie Bloembinderij;;;1;;;;;1
De Boer Surakarta B.V.;;;;;;;1;1
De Boerinn B.V.;;;1;;;;;1
De Bonte Haas B.V.;;;1;;;;;1
De Bossche Kelders;;;1;;;;;1
De Bourgondiër Glimmen;;;;;;;1;1
De Bouwvaart;;;1;;;;;1
De Brakke Grond;;;1;;;;;1
De Branding Utrecht B.V.;;;1;;;1;1;1
De Brauw Blackstone Westbroek N.V.;;;;;1;;1;1
De Brink Post-Academ. Juridische Opleidingen;;;;;1;;;1
De Broadtsje Bakker;;;1;;;;1;1
De Brug Midden-Nederland;;;1;;;;;1
De Buik van Parijs;;;1;;;;1;1
De Burgemeester van Napels;;;;;;;1;1
De Burgerij;;;;;;;1;1
De chefkok van Iris;;;1;;;;;1
De Chinese Muur;;;;;;;1;1
De Clinge;;;;;;;1;1
De Colonie Houten B.V.;;;1;;;;1;1
De Colonie Waalbrug B.V.;;;1;;;;1;1
de CONTEXT;;;1;;1;;1;1
De Dikke van Dale;;;1;;;;;1
De Doffer;;;1;;;;1;1
De Dommelvallei B.V.;;;1;;;;;1
De Dorpskern;;;1;;;;;1
De Drie Graefjes - Modus Trade;;;;;;;1;1
De Drieschaar;;;;;;;1;1
De Droomfabriek;;;;;1;;;1
De Drukkerij B.V.;;;1;;;;;1
De Eetkamer Goirle B.V.;;;1;;;;;1
De Efteling B.V.;;;2;;1;;;2
De Eterij;;;;;;;1;1
De Expeditie Hut B.V.;;;1;;;;;1
de firma Langenberg;;;1;;;;;1
De Fleurist;;;1;;;;;1
De frisse blik Amsterdam;;;;;1;;1;1
De Galan Groep B.V.;;;1;2;2;;;2
de galan school voor training;;;;;1;;;1
De Gastheer B.V.;;;;;;;1;1
De Gelegenheid;;;1;;;;;1
De Gereghthof B.V.;;;1;;;;1;2
De Geulhemer Meule;;;1;;;;;1
De Gezonde Zaak B.V.;;;1;;1;;;1
De Gouden Bock;;;;;1;;;1
De Gouden Ton;;;1;;;;;1
De Goudenlepel;;;;;;;1;1
De Goudse Lichtfabriek B.V.;;;;;;;1;1
De Grillspecialist;;;;;;;1;1
De Groeiwerkplaats;;;1;;;;;1
De Grote Keizer B.V.;;;;;;;1;1
De Haagse Hogeschool;;;;;2;;;2
De Halve Mane;;;1;;;;;1
De Heeren van Slydregt B.V.;;;;;;;1;1
De Heeren van Soetermeer;;;;;;;1;1
De Heeren Van Suylichem B.V.;;;1;;;;;1
De Herberg;;;1;;;;1;1
De Hertenkamp Assen B.V.;;;;;;;1;1
De Hofnar Scheveningen B.V.;;;1;;;;1;1
De Hofstad Taxicentrale;;;;;;;1;1
De Holland Winkel;;;;;1;;;1
De Hoofdtrainer B.V.;;;;;2;;;2
De Hooge Vuursche B.V.;;;;;;;1;1
De Hoop Entertrainment B.V.;;;;;1;;;1
De horeca mannen;;;1;;;;;1
De Houten Vier B.V.;;;1;;;;;1
De Huesmolen;;;;;1;;;1
De HumorGroep;;;;;2;;;2
De IJsfiets B.V.;;;1;;;;;1
De IJssalon van Breda B.V.;;;1;;;;;1
De Japanse Watertuin B.V.;;;1;;;;1;1
De Jong de Echte Bakker;;;;;;;1;1
De Jong tentenverhuur;;;1;;;;;1
De Jonge Balie Zwolle-Lelystad;;;;;1;;;1
De Jong's IJsbedrijf;;;1;;;;;1
De Juf;;;;;;;1;1
De Jufferen Lunsingh V.O.F.;;;1;;;;1;1
De Juristerij;;;;;1;;;1
De Kabouterhut B.V.;;;1;;;;1;1
De Kale Pater B.V.;;;;;;;1;1
De Kempenaer Advocaten N.V.;;;;;1;;;1
De Kersenbloesem;;;;;;;1;1
De keuken van Thijs;;;;;;;1;1
De Kleine Brouwketel;;;1;;;;1;1
De Kleine Dingen;;;1;;;;;1
De Kleine Graaf;;;1;;;;;1
De Kleine Schorre B.V.;;;1;;;;;1
De Kleine Wereld;;;;;;;1;1
De Kloveniersdoelen B.V.;;;;;1;;1;1
De kluis Eten & Drinken;;;1;;;;1;1
De Knegt & Leeflang B.V.;;;3;;;;;3
De Koekjesfabriek;;;1;;;;;1
De Kolonist;;;;;;;1;1
De Koning Mediation;;;;;1;;;1
De Kookerij;;;1;;;;;1
De Kookfabriek Amsterdam B.V.;;;1;;;;;1
De Kookfabriek Den Haag B.V.;;;;;1;;;1
De Kookfabriek Rotterdam B.V.;;;1;;;;;1
De Kookfabriek Utrecht B.V.;;;;;;;1;1
De kookstudio van Zwolle;;;1;;;;1;1
De Koperen Tuin;;;1;;;;;1
De Koperen Tuin B.V.;;;1;;;;1;1
De Kort Catering B.V.;;;;;;;1;1
De KunstSuper;;;1;;;;;1
De Kwast B.V.;;;;;1;;;1
De La Fuente & Oosterveen Advocaten B.V.;;;;;;;1;1
De Lachende Javaan;;;;;;;1;1
De Lachende Koe II B.V.;;;1;;;;;1
De Lachende Vis;;;;;;;1;1
De Landerij;;;;;;;1;1
De Linde Coaching;;;;;1;;1;1
de Lindenhof;;;;;;;1;1
De Lof der Zotheid;;;;;;;1;1
De Maaspoort;;;;;;;1;1
De Mexicaan;;;;;;;1;1
De Molen;;;;;;;1;1
De Molenwieken B.V.;;;;;;;1;1
De Muider Compagnie B.V.;;;1;;;;;1
De Nieuwe Academie B.V.;;;;;;;1;1
De Nieuwe Kracht B.V.;;1;2;;;;1;2
De Nieuwe Liefde B.V.;;;2;;2;;;2
De Nieuwe Pelgrim;;1;1;;1;;;2
De Nonnen in Vught;;;1;;2;;;2
De Oestercompagnie B.V.;;;1;;;;;1
De Olijventuin van 't Zuiden;;;;;;;1;1
De Omval B.V.;;;;;;;1;1
De Ontdekking Utrecht;;;1;;;;;1
De Ooievaar Beheer;;;;;;;1;1
De Oude Herbergh;;;1;;;;;1
De Oude Melkhandel;;;;;;;1;1
De Oude Rechtbank B.V.;;;;;;;1;1
De Oude Smidse;;;;;;;1;1
De Overbuurvrouw;;;;;;;1;1
De Paint Pit;;;1;;;;;1
De Pastorie;;;;;;;1;1
De Pastorie Roermond;;;;;;;1;1
De Peer Horeca B.V.;;;1;;;;1;1
De Pensioenexpert;;;;;1;;1;1
de Persgroep Nederland B.V.;;;1;1;;;;2
De Pierewaai;;;;;;;1;1
De Pijl Medezeggenschap;;;;;1;;;1
De Pont B.V.;;;1;;;;1;1
De Prael Holding B.V.;;;;;;;1;1
De Presentatie Groep B.V.;;;;;2;;;2
De Prins B.V.;;;;;;;1;1
De Processpecialisten B.V.;;;;;1;;;1
De Professionals B.V.;;;;;;;1;1
De Quiz B.V.;;;1;;1;;;1
De Raadgever Intradiensten B.V.;;;1;;;;;1
De Rede van Batavia Haven B.V.;;;1;;;;1;1
'De Reehorst' B.V.;;;;;;;1;1
De Regenboog Groep;;;1;;;;;1
De Revolutie;;;1;;;;;1
De Ritsz Alkmaar B.V.;;;;;;;1;1
De Roofvogelboerderij;;;1;;;;;1
De Roos Geschenken B.V.;;;1;;;;;1
De Rotterdam B.V.;;;1;;3;;1;3
De Rozijnenkorf;;;;;1;;;1
De Ruif B.V.;;;1;;;;1;1
De Ruijsscher Broodjes thodn Subway Dordrecht;;;;;;;1;1
De Sallandse Berg B.V.;;;1;;;;1;1
De Scheepswerf;;;;;;;1;1
De Schenker;;;1;;;;;1
De Sjans B.V.;;;;;;;1;1
De Sleutel Culinair B.V.;;;1;;;;1;1
De Sleutelspecialist;;;1;;;;;1
De Smaakfabriek;;;;;;;1;1
De Smidse 's-Hertogenbosch B.V.;;;1;;;;;1
De Smulhoeve Holding B.V.;;;;;;;1;1
De Snoepwinkel V.O.F.;;;1;;;;;1
De Soepkantine B.V.;;;;;;;1;1
De Stolp B.V.;;;1;;;;;1
De Stomerij Theresiastraat;;;2;;;;;2
De Stroopwafelwinkel;;;1;;;;;1
De Stroper Dordt B.V.;;;1;;;;;1
De Taalcoach;;;;;1;;;1
De Taaltrainer;;;;;1;;;1
De Taveerne;;;1;;;;;1
'De Tijd' Bedrijfskleding;;;1;;;;;1
De tinnen beker;;;1;;;;;1
De Toekomstbus;;;1;;;;;1
De Tombe Consultancy B.V.;;;;;1;;;1
De Trainingsvijver Amsterdam B.V.;;;;;2;;;2
De Uitdaging;;;1;;1;;;1
De Utrechtse Haven B.V.;;;1;;;;1;1
De Vaan Communicatie B.V.;;;;;1;;;1
De Valsspeler;;;1;;;;;1
De Veldkeuken;;;;;;;1;1
De Veldweide V.O.F.;;;1;;;;;1
de Veranderkwestie;;;1;;1;;;1
De Veranderzaak;;;1;;2;;;2
De Verbindende;;;1;;;;;1
De Vereniging De Jonge Balie te Arnhem;;;1;;;;;1
De Verleiding;;;1;;;;;1
De Vermeerderde Kwart B.V.;;;1;;;;;1
De Vertrekhal;;;;;1;;;1
De Vief Heringe;;;;;;;1;1
de Viersprong;;;;;2;;;2
De Vogel Horecabeheer B.V.;;;;;;;1;1
De Voort Advocaten - Mediators;;;;;3;;;3
De Vos & Partners Advocaten N.V.;;;1;;;;;1
De Vresselse Hut;;;1;;;;;1
De Vreugd Consultancy;;;;;1;;;1
De Vrienden van de Burgemeester;;;1;;;;;1
De Vries Projekt Design B.V.;;;1;;;;1;1
De Vrouw met de Baard;;;;;;;1;1
De Vrouwenpoort;;;1;;;;;1
De Wartenster;;;;;1;;;1
De Waterreus;;;1;;;;1;1
De Watertuin Schiedam B.V.;;;1;;;;;1
De Watertuin Spijkenisse B.V.;;;1;;;;1;1
De Weegschaal B.V.;;;;;;;1;1
De Wereld van Veen;;;1;;;;;1
De Werkmaatschappij Outplacement & Reïntegr.;;;1;;;;;1
De werktuin;;;1;;2;;;2
De Wijnhuistoren B.V.;;;1;;;;1;1
De Wilgenweard;;;1;;;;;1
De Winkel van Sinkel B.V.;;;2;;;;1;2
De Winter Information Solutions;;;;;1;;;1
De Witte Leeuw Breda B.V.;;;;;;;1;1
de Witte Raaf - Rutger J. van der Gaag R.O.C.;;;;;1;;;1
De Witte Zwaan B.V.;;;1;;;;;1
De Witterbrug B.V.;;;1;;;;;1
De Wolf Training & Advies;;;;;1;;1;1
De Zandkamer;;;1;;;;;1
de Zeeuwse Gasten;;;1;;;;;1
De Zeven Zaligheden;;;;;;;1;1
De Zilveren Vosch B.V.;;;;;;;1;1
De Zoete Inval B.V.;;;2;;;;1;2
De ZorgInfoStraat Raad&DaadBureau B.V.;;;;;2;;;2
De Zwangere Zaak;;;;;1;;;1
De Zwarte Ruiter op 't Witte Paart;;;1;;;;1;1
Debat.NL B.V.;;;;;1;;;1
Debatrix;;;;;1;;;1
Decora B.V.;;;1;;;;;1
Decotrend B.V.;;;1;;;;;1
Deep -solutions;;;1;;;;;1
Defabrique Evenementen B.V.;;;1;;;1;2;2
Defence Academy;;;;;;;1;1
Defra Taxi;;;;;;;1;1
Déhora Consultancy Group B.V.;;;1;;2;;;2
Deinum's Catering & Party-Service;;;;;;;1;1
Dekker & Co.;;;1;;;;;1
Dekker Zoetermeer;;;;;;;1;1
Deksels belegde broodjes;;;;;;;1;1
Dekxels B.V.;;;;;;;1;1
deLex Media en Management B.V.;;;;;1;;;1
Delft Congress Support B.V.;;;;1;3;;;3
Déli Amersfoort;;;;;;;1;1
Delicatessen & Wijnen;;;1;;;;;1
Delicious Sweetness;;;1;;;;;1
DeLimes B.V.;;;;;1;;;1
Delissen Martens Advocat. en Belast.adv.;;;1;;;;;1
Della Casa Italiana;;1;;;;;;1
Delnoy & Partners Organisatie Advies B.V.;;;;;1;;;1
Deloitte Accountants B.V.;;;;;1;;;1
Delphi;;;1;;;;;1
Delta International Promotioneel B.V.;;;3;;;;;3
Demmer opleidingen;;;;;1;;;1
Demovides B.V.;;;;;2;;;2
Den Besten Kerst- en Relatiegeschenken B.V.;;;1;;;;;1
Den Bosch Evenementen B.V.;;;1;;;;;1
Den Daas Bloemsierkunst;;;1;;;;;1
Den Draeck;;;1;;;;1;1
Den Hartog & van Heijst;;;2;;2;;;2
Den Tol Pannenkoeken;;;1;;;;;1
Den Witten Haen;;;1;;;;;1
Denk Producties B.V.;;;;;1;;;1
dental bauer Nederland B.V.;;;1;;;;;1
Dental Recycling Services B.V.;;;;;1;;;1
Department of Justice and Equality;;;;;;;1;1
Depok B.V.;;;;;;;1;1
Derde Zaak B.V.;;;;;;;1;1
DesignThinkers B.V.;;;;;1;;;1
Désirée Ruijgrok Communicatie;;;1;;;;1;1
Deskbookers;;;1;;1;;1;1
Desound-Events;;;1;;;;;1
Dessaur Trainingen;;;;;1;;;1
Detrainingen.nl B.V.;;;;;1;;;1
Deutscher EDV-Gerichtstag;;;;;1;;;1
Development Room;;;2;;;;;2
Devoxx;;;;;1;;;1
Dewi SRI Westerkade B.V.;;;;;;;1;1
DFG;;;;;1;;;1
DFZ Tussenholding N.V.;;1;;;;;;1
DHB Berkers;;;;;;;1;1
DHL International B.V.;;;1;;;;;1
Diaconale Stichting Gevangenenzorg 'De Sluis';;;;1;;;;1
Dialexis Advies B.V.;;;;;1;;;1
Dialogis;;;;;1;;;1
DialogueTrainer B.V.;;;;;3;;;3
Diamant-groep Groen Xtra;;;1;;;;;1
Dicke Röell Breedveld B.V.;;;;4;;;;4
Dickens Horecabedrijven B.V.;;;1;;;;1;1
Diekstra Van der Laan Advocaten B.V.;;;1;;;;;1
Digital Action;;;;;1;;;1
Digitransfer B.V.;;;1;;;;;1
Dikke van Dale B.V.;;;1;;;;;1
Diner-Café Bussemaker;;;;;1;;;1
Dinercafé Diep;;;;;;;1;1
Dinerspel.nl;;;1;;;;;1
DingemansVanderKind;;;;;1;;;1
Dino Trailerbouw;;;1;;;;;1
DIOR Opleidingen;;;;;2;;;2
Direct VIP Service B.V.;;;1;;;;;1
Direct2Improve B.V.;;;;;2;;;2
Directions on Microsoft;;;;;1;;;1
Dirksen Schoonmaakartikelen B.V.;;;7;;;;;7
Discours HPO;;;;;1;;;1
Diversey B.V.;;;;;1;;;1
DIVERSION Holding B.V.;;;2;;;;;2
Divertido - koken en creëren;;;;;;;1;1
Divi Recruitment B.V.;;;;;1;;;1
Djambo kidsplay B.V.;;;1;;;;1;1
Djoj B.V.;;;;;;;1;1
Dnn Verhuur;;;1;;;;;1
Docendo B.V.;;;;;1;;;1
DOCK Legal Experts B.V.;;;1;;;;;1
DocWolves B.V.;;;1;;;;;1
DOELDER AC;;;;;1;;1;1
Doelen Binnen B.V.;;;;;;;1;1
DOEN, praktijk voor oplossingsgerichte (gezins) therapie en coaching;;;;;1;;;1
Doenederland.nl B.V.;;;2;;;;;2
Does training & advies;;;1;;1;;;1
Dogan Producties;;;;;1;;;1
Dok 12;;;;;;;1;1
DOK Centrum;;;;;1;;;1
DOL Drama op Lokatie B.V.;;;1;;;;;1
DOMENIE & KERSTENS onderzoeksbureau;;;;;;;1;1
Domino's Pizza;;;1;;;;1;1
Domino's Pizza Den Haag;;;1;;;;1;1
Domino's Pizza Netherlands B.V.;;;;;;;1;1
Domino's Pizza Oude Haagweg B.V.;;;;;;;1;1
Domino's Pizza Rijswijk;;;;;;;1;1
Domstad Evenementen B.V.;;;2;;;;1;2
Donatello's Arnhem B.V.;;;1;;;;;1
Donatello's Restaurants B.V.;;;1;;;;;1
Donatus Thöne Holding B.V.;;;;;2;;;2
Doncurado;;;;;;;1;1
Donuts+Bagels B.V.;;;1;;;;;1
Doomernik training & coaching;;;;;1;;;1
Doornenbal & De Rooij V.O.F.;;;1;;;;;1
Doorpakken;;;;;1;;;1
Doorwerth Coaching & Consulting;;;;;1;;;1
Doorwerth Groep B.V.;;;;;2;;;2
Dordts Genoegen;;;;;;;1;1
Dordtse Bazar Verhuur;;;1;;;;;1
Double B Bar & Kitchen;;;1;;;;;1
Double Healix Lead.ship Educat. And Dev. B.V.;;;;;1;;;1
DoubleJDmusic;;;1;;;;;1
Down The Hatch;;;1;;;;;1
Down Town Nijmegen B.V.;;;;;;;1;1
Down Under Horecaexploitatie B.V.;;;1;;;;;1
Doxa B.V.;;;;2;;;;2
DPB Groep;;;;;1;;;1
DPI Animation House B.V.;;;2;;;;;2
Dr. L.R. Dawson & Dr. L.A. Dawson;;;;;;;1;1
Dräger Nederland B.V.;;;1;;1;;;1
Dragon Garden;;;1;;;;;1
Drank- & Spijslokaal Lust;;;1;;;;;1
Drankenhandel J. Veldboer B.V.;;;;;;;1;1
Dreamfactory V.O.F.;;;;;2;;;2
DreamWork events;;;1;;;;;1
Drentea Kantoormeubelen;;1;1;;;;;1
Driessen B.V.;;;2;;1;;1;2
Drive-in Show Experience;;;1;;;;;1
DRominos t.h.o.d.n. Domino's Pizza Den Bosch;;;1;;;;1;1
Droom van Zwolle;;;;;1;;1;1
DROOMvilla LUX B.V.;;;;;;;1;1
Drs. A Belegde Broodjes;;;;;;;1;1
"Drs. A.H. Mertens; Org. Adv., Opl./Trainingen";;;;;;;1;1
Drs. G.J. v.d. Spek Comm.train. & Tekstadv.;;;;;1;;;1
Drs. Martijn Delaere journalist;;;;;1;;;1
Drukkerij Koopmans B.V.;;;1;;;;;1
Drukkerij-Uitgeverij Aurora;;;1;;;;;1
Druk-Store Sneldruk B.V.;;;1;;;;;1
DSD Dr. Steffan Datentechnik GesmbH;;;;;1;;;1
DSH Domburg Sportprijzen Holland/Promopin.nl;;;;;1;;;1
DT&L;;;;;;;2;2
DTS Veiligheidsopleidingen;;;;;1;;;1
Dubbeld e/v Wittekoek G;;;1;;;;;1
Ducktrail B.V.;;;1;;1;;1;1
Dudok Arnhem B.V.;;;;;;;1;1
Dudok Den Haag B.V.;;;1;;;;1;1
Dudok Produktiekeuken B.V.;;;;;;;1;1
Dudok Rotterdam B.V.;;;;;;;1;1
Dudok Vicini Arnhem B.V.;;;;;1;;;1
Duinerij Bergen aan Zee B.V.;;;1;;;;;1
Dulang Indonesische Lekkernijen;;;;;;;1;1
Dununba Percussie Workshops;;;1;;;;;1
Dusecon;;;1;;1;;;2
Dutch Aviation Group (DAG);;;;;1;;;1
Dutch Brothers Toys;;;1;;;;;1
Dutch Leisure Concepts;;;1;;1;;;1
Dutch Night Cab Transfers;;;;;;;1;1
Duynisveld PR & Events B.V.;;;2;;;;;2
Dx-Events;;;1;;;;;1
DynaVision B.V.;;;1;;2;;;2
Dyslexie Font B.V.;;1;;;;;;1
E & R Opleidingen B.V.;;;;;2;;;2
E. Bonn Holding B.V.;;;;;;;1;1
E. Schut Acupunct./Orthomoleculair PNI adv.;;;;;;;1;1
E.M.J. Muller B.V.;;;;;;;1;1
E.ON Benelux Levering B.V.;;;;;;;1;1
Eastern - Asia Trading B.V.;;;1;;;;;1
Eastern Plaza Bentelo B.V.;;;1;;;;1;1
Eat Your Heart Out;;;1;;1;;1;1
Ebbinge & Company;;;1;;2;;;2
EBF Open Symposium;;;;;1;;;1
Ecabo Services;;;;;1;;;1
Echo Trainingen;;;;;1;;;1
ECHOS Home Baan Zulu;;;1;;1;;1;1
Eco B.V.;;;;;1;;;1
EcoachPro B.V.;;;;;2;;;2
Ed/Bet B.V.;;;;;1;;;1
Edelstomerij en -Wasserij Miedema B.V.;;;1;;;;;1
E-Democracy B.V.;;;;;2;;;2
Eden Hotel Exploitatie B.V.;;;1;;;;2;2
Eden Maastricht Hotel Exploitatie I B.V.;;;;;;;1;1
Eden Oranje Hotel B.V.;;;;;;;1;1
Edenred Nederland;;;1;;;;;1
Edulaw;;;;;1;;;1
Edunoord B.V.;;;;;1;;;1
Eduvision B.V.;;;;;2;;;2
Eduvita;;;1;;1;;;1
Edwin Wildeman Culinair;;;1;;;;;1
EEN! B.V.;;;1;;;;1;1
Eenden Verhuur Westland;;;1;;;;;1
Eenhoorn Evenementen;;;1;;;;;1
Eenhoorn Fotografie;;;1;;;;;1
Eenhoorn Meeting Center;;;;;;;1;1
eerlijkmetrecht B.V.;;;1;;;;;1
Eerste Taxi Centrale Almere (Etca) B.V.;;;;;;;1;1
Eet & Bierlokaal Aogse Markt;;;;;;;1;1
Eet- & Proeflokaaltje De Kurk;;;1;;;;1;1
Eet en Drinkgelegenheid 'De Brasser';;;1;;;;;1
Eet-/Feestcafé De Klok Zalencnt. CateringB.V.;;;1;;;;;1
Eetcafé aon 't Bat B.V.;;;1;;;;;1
Eetcafé De Blauwe Engel;;;1;;;;;1
Eetcafé De Buizerd;;;;;;;1;1
