Rijlabels;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatieadvies;3140 - Uitbesteden juridisch adviesopdrachten;3150 - Uitbesteden automatiseringsadvies;3160 - Uitbesteden accountancy en financien;Eindtotaal
J. van 't Spijker B.V.;1;;;;;;;1
J.L. de Jong Touringcarbedrijf Rotterdam B.V.;1;;;;;;;1
J.P. van Soest-Advies voor Duurzaamheid B.V.;1;;;;;;;1
J.R.I. Communication;2;;;;;;;2
Jaap Huisman Journalistieke Producties;1;;;;;;;1
Jaap Meijer Aviation Consultancy;2;;;;;;;2
Jaarbeurs B.V.;2;;;;;;;2
Jaarbeurs Catering Services B.V.;1;;;;;;;1
Jacob Moehn IT Expertise B.V.;;1;;;;;;1
Jacomina Steketee;1;;;;;;;1
Jacques Handelé Antwoorden en Vragen;;2;2;;;;;2
JAM;2;;;;;;;2
Ja-maar® B.V.;;1;;;;;;1
Jan Westerink Consultancy B.V.;;1;1;;;;;1
Janoq B.V.;1;;;;;;;1
Jawgem;1;;;;;;;1
Jazz Trio Mcguire;;1;;;;;;1
Jelmer B.V.;;2;;;;;;2
Jemi Bloemsierkunst;1;;;;;;;1
Jessica van Koert Ideeën (F) luisteraar;;1;;;;;;1
Jester Strategy;1;;;;;;;1
Jet Proost Communicatie Adv. en Journalistiek;1;;;;;;;1
Jilster B.V.;1;;;;;;;1
Jitscale B.V.;2;;;;;;;2
JJ Future Furniture;2;;;;;;;2
Jmt International;2;;;;;;;2
Jo Bos & Co;2;;;;;;;2
Job Boersma Producties;;1;;;;;;1
Jobhunt;4;;;;;;;4
Jonge Honden 2 C.V.;2;;;;;;;2
Jonge Honden 4 C.V.;3;;;;;;;3
Jonker Travel B.V.;1;;;;;;;1
Jos ten Berg's Handelmaatschappij B.V.;1;;;;;;;1
Joseph Plateau;1;;;;;;;1
Judith de Bruijn B.V.;1;;;;;;;1
Judith Meulenbrug;1;;;;;;;1
Julo Systeemwanden en Kantoorinr. B.V.;1;;;;;;;1
Jungheinrich Nederland B.V.;2;;;;;;;2
Juris B.V.;3;;;;;;;3
Jurlights B.V.;1;;;;;;;1
JVDT B.V.;2;1;;;;;;2
K2 Infra-Consultants;2;;;;;;;2
Kaap Doorn B.V.;1;;;;;;;1
Kaliber Interactive B.V.;1;;;;;;;1
Kamera Express;1;;;;;;;1
KantoorExpert;1;;;;;;;1
Kantoorvakhandel Goinga B.V.;1;;;;;;;1
Karel Stein Kabels & Leidingen;1;;;;;;;1
Karina Dimitriu Grafisch Ontwerp;1;;;;;;;1
Karres en Brands Landschapsarchitecten B.V.;2;1;;;;;;2
Kasteel Sterkenburg;1;;;;;;;1
Kaya-Quintana Broekhuijsen;;1;;;;;;1
KBenP;3;;;;;;;3
Kees Jan Sloff Ontwerp en Advies;1;;;;;;;1
Keijsers Lundiform B.V.;1;;;;;;;1
Keizer Culinair B.V.;1;;;;;;;1
Kellertax;1;;;;;;;1
Kempe Career Coaching B.V.;;1;;;;;;1
Kennedy Van der Laan;1;;;;;;;1
Kenniscocreatie, onderzoek & advies;1;;;;;;;1
Kennisinstituut Duurzaam Verpakken;2;;;;;;;2
Kerklingh TV;1;;;;;;;1
Kessels Installaties;1;;;;;;;1
Keukenvuur;1;;;;;;;1
Keypoint Consultancy;2;;;;;;;2
Kick Smeets Fotografie;1;;;;;;;1
King Arthur B.V.;1;;;;;;;1
KIT Hotel B.V.;1;;;;;;;1
Kiwa Nederland B.V.;2;;;;;;;2
KJ Tours;1;;;;;;;1
Klaar Consulting;;2;;;;;;2
Klassewerk Interieur & Expo B.V.;1;;;;;;;1
Kleur.nu B.V.;1;;;;;;;1
KLM Health Services B.V.;2;;;;;;;2
Kloppenburg Beheer B.V.;1;;;;;;;1
Ko Hartog Verkeerstechniek B.V.;4;;;;;;;4
Koenders Instruments B.V.;2;1;;;;;;2
Koers Groep B.V.;1;;;;;;;1
Kon. Nederlands Aardrijkskundig Genootschap;2;;;;;;;2
Kon. Ver. Agent Halverhout-Zwart-Zurmühlen BV;1;;;;;;;1
Kone B.V.;1;;;;;;;1
Koningswerk Communicatie;1;;;;;;;1
Koninklijk Instituut van Ingenieurs;1;;;;;;;1
Koninklijk Nederlands Vervoer;2;;;;;;;2
Koninklijk Nederlands Waternetwerk;1;;;;;;;1
Koninklijke Haskoning DHV Groep B.V.;3;;;;;;;3
Koninklijke Holl. Maatsch. der Wetenschappen;1;;;;;;;1
Koninklijke Nederl. Akademie van Wetenschapp.;2;;;;;;;2
Koninklijke Nederlandsche Roeibond;1;;;;;;;1
Koninklijke Roeiers Vereeniging Eendracht;1;;;;;;;1
Kontakt der Kontinenten;2;;;;;;;2
Kop Beveiliging B.V.;1;;;;;;;1
Koppe Consultancy;;1;;;;;;1
Korbee & Hovelynck B.V.;2;;;;;;;2
Korte Poten 1-3 B.V.;1;;;;;;;1
KplusV organisatieadvies B.V.;2;;;;;;;2
KPMG Advisory N.V.;2;1;;;;3;;3
KPMG EDP Auditors;4;;;;;2;;4
KPMG N.V.;2;1;;;;;;2
KPN B.V.;1;;;;;;;1
KPN Consulting B.V.;1;;;;;;;1
KPN Corporate Market;1;4;;;;3;;4
Kraaybeekerhof Facilitair B.V.;1;;;;;;;1
Kraco;;1;;;;;;1
Krämer Bouw B.V.;1;;;;;;;1
Kreatief Pakhuis;1;;;;;;;1
Kremer Communicatie;1;;;;;;;1
Kreuger in Kultuur;1;;;;;;;1
Kris Kras Design B.V.;1;;;;;;;1
Kuiken B.V.;2;;;;;;;2
Kuiper Bouw B.V.;1;;;;;;;1
Kwink Groep B.V.;3;;;;;;;3
KWR Water B.V.;3;;;;;;;3
L&P Autosport;1;;;;;;;1
La Cantina di David B.V.;1;;;;;;;1
La Señorita;1;;;;;;;1
Laarman & De Hosson;1;;;;;;;1
Laborelec;1;;;;;;;1
Laheij Gespreksleiding;;1;;;;;;1
Lammert de Vries Tweewielers B.V.;1;;;;;;;1
Landelijk Product Regisseur B.V.;1;;;;;;;1
Language Unlimited B.V.;2;;;;;;;2
Laparade B.V.;1;;;;;;;1
Larssen Advies;4;;;;;;;4
Las- Scheeps- en Jachtbouw Peters;1;;;;;;;1
Lasergame Rotterdam B.V.;1;;;;;;;1
Lavista Relatiegeschenken B.V.;1;;;;;;;1
LBP Sight B.V.;4;;;;;;;4
Le Blanc Diensten B.V.;2;;;;;;;2
Le Nord;1;;;;;;;1
Le Strasbourg;1;;;;;;;1
Le Theatre Hotel;1;;;;;;;1
LE:EN Restaurant B.V.;1;;;;;;;1
Leene Communicatie;2;;;;;;;2
Leertouwer Van Dijck & U B.V.;1;;;;;;;1
Leeuwendaal Advies B.V.;6;1;;;;;;6
Legis Advies;2;;;;;;;2
Lemon Scented Tea B.V.;2;;;;;;;2
Lenters management services & advies B.V.;;;1;;;;;1
Leo Lotterman Journalist;1;;;;;;;1
Leo Ringelberg Touringcars;1;;;;;;;1
LeonArt;1;;;;;;;1
Leren door Ervaren training en advies;1;;;;;;;1
Les Ombrelles;1;;;;;;;1
Letterop;1;;;;;;;1
Leukeleu B.V.;1;;;;;;;1
Leveroij B.V.;2;;;;;;;2
Lexenzo;3;;;;;;;3
LexisNexis Benelux;2;;;;;;;2
Leye Nansen B.V.;2;;;;;;;2
Leylines B.V.;1;;;;;;;1
Licht Groen B.V.;2;;;;;;;2
Lievens Communicatie B.V.;2;;;;;;;2
LievenseCSO Milieu B.V.;1;;;;;;;1
Life Design B.V.;1;;;;;;;1
Life Upgrader;1;;;;;;;1
Liftinstituut B.V.;1;;;;;;;1
Ligtermoet & Partners B.V.;3;;;;;;;3
Lijn43;4;;;;;;;4
Lijstenmakerij Planting;1;;;;;;;1
Linde Gas Benelux B.V.;;1;;;;;;1
Linde Gas Cryoservices B.V.;1;;;;;;;1
LinK - Public Affairs;1;;;;;;;1
LINT landscape architecture Utrecht;2;;;;;;;2
Little V Den Haag B.V.;1;;;;;;;1
Livetime Productions B.V.;1;;;;;;;1
LIVOM;1;;;;;;;1
Lloyd Hotel;1;;;;;;;1
Local Works;2;;;;;;;2
Locatienet B.V.;2;;;;;;;2
Locus;2;;;;;;;2
Loek Weijts Illustrator;2;;;;;;;2
Loendersloot Advies;1;;;;;;;1
Loesje Praktijken Fotografie;1;;;;;;;1
Logeion;1;;;;;;;1
Logicx Berging B.V.;1;;;;;;;1
Loodgiet.- & Inst.bedr. M. Schroevers B.V.;1;;;;;;;1
Lotte Batelaan Art Critic and Editor;;1;;;;;;1
Lotus Zeeland;1;;;;;;;1
Louis Meulstee Photography;1;;;;;;;1
Loyens & Loeff N.V.;2;;;;;;;2
LTP Impact B.V.;4;;;;;;;4
Lubron Waterbehandeling B.V.;1;;;;;;;1
Luke Bouwman B.V.;1;;;;;;;1
Lumineux;1;;;;;;;1
LunchOnline Hoofddorp;1;;;;;;;1
Lunchroom Het Monument V.O.F.;1;;;;;;;1
Lust B.V.;1;;;;;;;1
LUZ architecten;1;;;;;;;1
LVP Legal;2;;;;;;;2
Lynxx B.V.;2;;;;;;;2
Lyreco Nederland B.V.;1;;;;;;;1
Lysias Advies B.V.;2;;;;;;;2
M.A.G. Planning Company;1;;;;;;;1
M.B. Veenswijk Holding B.V.;4;;;;;;;4
M.M.V. Consultancy;;1;;;;;;1
M3 Consultancy B.V.;3;;;;;;;3
MaartenB.nl;1;;;;;;;1
Maasdam Broers Fischer advocaten;2;;;;;;;2
Maatschap voor Communicatie;4;2;;;;;;4
Maatschap Zeestraten;2;;;;;;;2
Madenco B.V.;2;;;;;;;2
Madurodam B.V.;2;;;;;;;2
MaetisArdyn;;1;;;;;;1
Main B.V.;1;;;;;;;1
Main Sales Europe B.V.;1;;;;;;;1
MainMark B.V.;3;;;;;;;3
Mainpress B.V.;1;;;;;;;1
Maison van den Boer Mus.kwart. 's-Hertogenb.;3;;;;;;;3
MaMa Kelly B.V.;1;;;;;;;1
Management Drives Holding B.V.;1;;;;;;;1
ManEngenius B.V.;4;;;;;;;4
Mangrove B.V.;2;;;;;;;2
Manpower Personeelplanning;2;1;;;;;;2
Manutan B.V.;1;;;;;;;1
MAP traffic management B.V.;4;;;;;;;4
Maqutos B.V.;2;;;;;;;2
marco.broekman urbanism research architecture;4;;;;;;;4
Mare Holland B.V.;4;;;;;;;4
Marieke Bos Tekstproducties;1;;;;;;;1
Mariënhof Amersfoort B.V.;1;;;;;;;1
Marjan Slob;1;1;1;;;;;2
Marjolein Klaassen Communicatie V.O.F.;1;;;;;;;1
Marketresponse Nederland B.V.;4;;;;;;;4
Markteffect B.V.;1;;;;;;;1
MarktOnderzoekAssociatie.nl;1;;;;;;;1
Marlisa Personal Assistant Services;2;;;;;;;2
Marqit B.V.;;1;;;;;;1
Marsh Risk Consulting;;1;;;;;;1
Martens Havenontvangstinst. Vlissingen B.V.;1;;;;;;;1
Martijn Beekman Fotografie;1;;;;;;;1
Martijn de Groot Communicatie;1;1;;;;;;1
Martijn Goedegebuure;1;;;;;;;1
MaS Restaurant;1;;;;;;;1
Massink Installatietechniek;1;;;;;;;1
Master it Training B.V.;2;;;;;;;2
Masvasta B.V.;1;;;;;;;1
Matchd;4;;;;;;;4
Mauritshuis;1;;;;;;;1
Mavim B.V.;;1;;;;;;1
McCo Innovations B.V.;1;;;;;;;1
MCI-Eurocongress V.O.F.;5;;;;;;;5
MCTI;;1;;;;;;1
MD Techniek B.V.;2;;;;;;;2
Media & Presentatie;3;;;;;;;3
Media Academie B.V.;1;;;;;;;1
Media Markt Den Haag B.V.;1;;;;;;;1
Media Playground;1;;;;;;;1
Media Point B.V.;1;;;;;;;1
MediaCows;2;;;;;;;2
Mediatorsvereniging;1;;;;;;;1
Mediavrouw;1;;;;;;;1
Meesterschilders Friesland B.V.;1;;;;;;;1
Meet & Connect 's-Hertogenbosch B.V.;2;;;;;;;2
Meeting Plaza Utrecht B.V.;2;;;;;;;2
Meisjes Met Smaak B.V.;1;;;;;;;1
Mekon Ecologie B.V.;2;;;;;;;2
Memo B.V.;1;;;;;;;1
Mendix Technology B.V.;2;;;;;;;2
Menz B.V.;;1;;;;;;1
Mercure Den Haag Central;1;;;;;;;1
Merford Noise Control B.V.;1;;;;;;;1
Merici B.V.;1;;;;;;;1
Met en Co. B.V.;2;;;;;;;2
Met succes;1;;;;;;;1
Meta Consultancy B.V.;1;;;;;;;1
Metaaltechniek Nooijen B.V.;1;;;;;;;1
Metamorfose Vertalingen B.V.;2;2;;;;;;2
MetAnnick;1;;;;;;;1
Metaphora Organisatieadvies;1;;;;;;;1
MeteoGroup Nederland B.V.;1;;;;;;;1
Metos B.V.;1;;;;;;;1
MetrixLab B.V.;2;;;;;;;2
Mett;2;;;;;;;2
Michiel van Pelt Ruimtel. Adv. en Manag. B.V.;2;;;;;;;2
Mick de Vlieger B.V.;1;;;;;;;1
Miele Nederland B.V.;1;;;;;;;1
Mier Entertainment;;1;;;;;;1
Mies/Tekst en Training;1;1;;;;;;2
Mijn Eigen B.V.;4;;;;;;;4
Mijs Cartografie en Vormgeving;2;;;;;;;2
Milieuvereniging Land van Cuijk;1;;;;;;;1
Miljura;3;;;;;;;3
Millers;1;;;;;;;1
Milu B.V.;1;;;;;;;1
mind@work;1;;;;;;;1
Mindbench Active Media B.V.;1;1;;;;;;1
Mindbench Hosting;1;;;;;;;1
Miranda Mens PR Consultancy;1;;;;;;;1
Misco Solutions B.V.;;;;;;1;;1
Mission Matters Management Consultants B.V.;;2;;;;;;2
MJA Advies;3;;;;;;;3
MK Partners B.V.;2;;;;;;;2
MK2 Audiovisueel B.V.;1;;;;;;;1
MMConsult B.V.;2;;;;;;;2
MMG Advies B.V.;3;;;;;;;3
MO;2;;;;;;;2
Mobile Tulip;1;1;;;;;;1
Mobilee Consultancy B.V.;3;;;;;;;3
Mobycon B.V.;2;;;;;;;2
Moduli Print B.V.;1;;;;;;;1
MOMA&CO amsterdam B.V.;1;;;;;;;1
Monotch B.V.;2;;;;;;;2
Monsdal Limburg Zuid B.V.;1;;;;;;;1
Montae Advies;1;;;;;;;1
Moon Horeca Exploitatie B.V.;1;;;;;;;1
More Balls Than Most B.V.;1;1;;;;;;1
Moretsoo B.V.;1;;;;;;;1
Mo-Ship B.V.;5;;;;;;;5
Mostert Consult. Creativity/Innov. Management;1;;;;;;;1
Motel Assen B.V.;1;;;;;;;1
Motel Haarlem Zuid B.V.;1;;;;;;;1
Mothership B.V.;2;;;;;;;2
Motivaction International B.V.;2;;;;;;;2
Motshagen Advies B.V.;1;;;;;;;1
Motus B.V.;1;;;;;;;1
Movares Nederland B.V.;4;;;;;;;4
Move Mobility B.V.;5;;;;;;;5
Movin Vervoeradvies B.V.;2;;;;;;;2
MPS B.V.;1;;;;;;;1
Mr. Hisse de Vries Bestuursrecht B.V.;2;;;;;;;2
M-SUS;1;;;;;;;1
Muconsult B.V.;5;;;;;;;5
Mull2Media B.V.;1;;;;;;;1
Multi Marketeers;3;;;;;;;3
Multicopy Lelystad B.V.;1;;;;;;;1
Multi-Post Mail Systems B.V.;1;;;;;;;1
MuniSense B.V.;2;;;;;;;2
Murphy's Law;1;;;;;;;1
Museumkwartier B.V.;1;;;;;;;1
Must Stedebouw B.V.;4;;;;;;;4
MVA Communicatie;2;;;;;;;2
MVRDV Holding B.V.;2;;;;;;;2
MWH;2;;;;;;;2
Myler;2;;;;;;;2
N. Aarnoudse B.V.;1;;;;;;;1
N.B.C. Exploitatie B.V.;2;;;;;;;2
N.V. Deventer Schouwburg;1;;;;;;;1
N.V. Economische Impuls Zeeland;2;;;;;;;2
N.V. Luchthaven Lelystad;2;;;;;;;2
NAAT;1;;;;;;;1
Nachtveiligheidsdienst Haarlem B.V.;1;;;;;;;1
Naeff Consult B.V.;3;;;;;;;3
NAK;;2;;;;;;2
Nationale Beeldbank B.V.;1;;;;;;;1
Natuurlex;1;;;;;;;1
NatuurNetwerk B.V.;1;;;;;;;1
Navigation Solutions Europe B.V.;2;;;;;;;2
Ned. Org. voor toegep.-nat.wetensch. ond. TNO;7;2;3;;;;;7
Nederlands Debat Instituut Holding B.V.;;;1;;;;;1
Nederlandse Stichting Geluidshinder;2;;;;;;;2
Nederlandse Vereniging Bedrijfshulpverlening;1;;;;;;;1
Nederlandse Vereniging van Binnenhavens;2;;;;;;;2
Nederlandse Vereniging van Luchthavens;2;;;;;;;2
Nederlandse Vereniging voor Veiligheidskunde;;1;;;;;;1
Nederlandse Zouthandel B.V.;1;;;;;;;1
NEH ICT Solutions B.V.;;1;;;;;;1
Nelen & Schuurmans B.V.;2;;;;;;;2
Neopost;;1;;;;;;1
Neopost Finance B.V.;1;;;;;;;1
Netherlands Economic Observatory;;1;;;;;;1
Netherlands Maritime Technology B.V.;2;;;;;;;2
Netstar Audiovisueel B.V.;1;;;;;;;1
Network for Industr. Contamin. Land in Europe;1;;;;;;;1
Networks Media;1;;;;;;;1
Neuland Nederland;1;;;;;;;1
New Babylon Meeting Center B.V.;2;;;;;;;2
New Broom;;1;;;;;;1
New Economy Publications B.V.;1;;;;;;;1
New Mobility Center;2;;;;;;;2
Next Step Management B.V.;1;;;;;;;1
Nexxia;1;;;;;;;1
ngnb Advocaten;;;;;1;;;1
NH Den Haag;2;;;;;;;2
NH Rijnhotel;1;;;;;;;1
Nieta;1;;;;;;;1
Nieuw Ammervelde;1;;;;;;;1
Nieuw Jansen;2;;;;;;;2
Nieuwe of Litteraire Sociëteit De Witte;2;;;;;;;2
Nieuwenhuis Beeld en Geluid B.V.;1;;;;;;;1
Nijssen Adviesbureau voor Informatica B.V.;3;;;;;;;3
Nijwa Hengelo;1;;;;;;;1
Nikita Horeca B.V.;1;;;;;;;1
Niow;;1;;;;;;1
NLingenieurs;1;;;;;;;1
NMF Huis van Hilde Exploitatie B.V.;1;;;;;;;1
Noclichés B.V.;2;;;;;;;2
Noise B.V.;2;;;;;;;2
Noordhoff Uitgevers;2;;;;;;;2
Noordtij B.V.;;1;;;;;;1
Noordzee Services B.V.;1;;;;;;;1
NoProblemMusic;1;;;;;;;1
Norisk Keymanagement B.V.;1;;;;;;;1
Novagraaf Nederland;1;;;;;;;1
Novare Consult B.V.;2;;;;;;;2
Novotel Rotterdam Brainpark;1;;;;;;;1
NRC Handelsblad Weekeditie voor buitenland;1;;;;;;;1
NS Stat. Retailbedrijf B.V. t.h.o.d.n. Kiosk;1;;;;;;;1
NT Publishers B.V.;1;;;;;;;1
Nu-Air B.V.;1;;;;;;;1
Nudge B.V.;1;2;;;;;;2
NWC Events B.V.;1;;;;;;;1
Nysingh Advocaten-Notarissen N.V.;1;;;;;;;1
O & P Consultancy en Interim Management;2;;;;;;;2
Oasis Data & Document Management Neth. B.V.;1;;;;;;;1
Object Vision B.V.;4;2;;;;;;4
OBN Ongedierte Bestrijding Nederland B.V.;1;;;;;;;1
OBT B.V.;;1;;;;;;1
Ocelot;4;;;;;;;4
Odin Travel;1;;;;;;;1
ODV Maritiem B.V.;3;;;;;;;3
Okra Landschapsarchitecten B.V.;2;;;;;;;2
OK-worx;1;;;;;;;1
oliithe - trend&strategie in food&agro;2;;;;;;;2
OmgevingsWeb B.V.;2;;;;;;;2
OmniworkX B.V.;1;;;;;;;1
On Line;1;;;;;;;1
Onderosa Language Matters;1;1;;;;;;1
onderzoek;2;;;;;;;2
One Shoe B.V.;1;;;;;;;1
Onelevel;1;;;;;;;1
onlinekabelshop.nl;1;;;;;;;1
Onlyhuman B.V.;6;;2;;;;;6
Onno te Rijdt;1;;;;;;;1
Ons Eten Pop-up B.V.;1;;;;;;;1
Ontbijt & Lunch Juni;1;;;;;;;1
Ontwerpbureau Lood;1;;;;;;;1
Ontwerpwerk B.V.;2;1;;;;;;2
Ontwikkel. Maatsch. Airport Garden City C.V.;1;;;;;;;1
Oogenlust B.V.;3;;;;;;;3
Oosterhof Organizing;2;;;;;;;2
Op Drift Teamontwikkeling;1;;;;;;;1
Op Het Dak;1;;;;;;;1
Op ten Noort Blijdenstein B.V.;2;;;;;;;2
Openbare Bibliotheek Amsterdam;1;;;;;;;1
OpenWebcast.nl;1;;;;;;;1
Opleidingscentrum Waddinxveen;;1;;;;;;1
Optima Forma B.V.;1;;;;;;;1
Optimum Media Direction Nederland B.V.;2;;;;;;;2
OrangeValley Consultancy;2;;;;;;;2
Ordina Nederland B.V.;;;;;;6;;6
Ordina Technologie & Competenties B.V.;1;3;;;;;;3
Org.-id B.V.;4;;;;;;;4
Organisatie ID;1;;;;;;;1
Organisatie van Beelden;1;;;;;;;1
Orgidee;1;;;;;;;1
Orloff aan de Kade B.V.;1;;;;;;;1
ORTEC Finance B.V.;;1;;;;;;1
Oudaen B.V.;1;;;;;;;1
Outing Holland B.V.;1;;;;;;;1
Over Morgen;2;1;;;;;;3
Overwater Grondbeleid Adviesbureau B.V.;1;;;;;;;1
Ovsoftware B.V.;2;;;;;;;2
P. Muller Fotografie;1;;;;;;;1
P.W. Gerretsen;2;;;;;;;2
P2 Proces- en Projectmanagers B.V.;4;;;;;;;4
P2 Strategie B.V.;3;;;;;;;3
PA Consulting Group B.V.;;2;;;;;;2
Paagman Den Haag B.V.;1;;;;;;;1
Palladio Groep B.V.;2;;;;;;;2
PALMBOUT Urban Landscapes B.V.;1;;;;;;;1
Panteia B.V.;4;;;;;;;4
Pantem B.V.;1;;;;;;;1
Papyrus Groep Nederland B.V.;1;;;;;;;1
Paradigma Producties;;1;1;;;;;2
Park Plaza Utrecht;1;;;;;;;1
Partners for Innovation B.V.;3;;;;;;;3
Partners in Cultuur en Beleving B.V.;;1;;;;;;1
Partners+Pröpper B.V.;;2;;;;;;2
Partycentrum 'Open Huis';1;;;;;;;1
Partyschepencentrale;1;;;;;;;1
Patch Marketing B.V.;2;;;;;;;2
Paul Terwan Onderzoek & Advies;;1;;;;;;1
Paul Tolenaar Fotografie;1;;;;;;;1
Paul van Empel Presentatiesystemen;1;;;;;;;1
Paul van Meel Water Management;2;;;;;;;2
Paviljoen De Warande B.V.;1;;;;;;;1
Paviljoen Malieveld;1;;;;;;;1
PBLQ B.V.;5;;;;;;;5
PBN-Sim;1;;;;;;;1
PBT Beveiligingsgroep B.V.;1;;;;;;;1
PDS Professional Driving Solutions B.V.;1;;;;;;;1
PDX Services B.V.;1;;;;;;;1
Pegasus Events;1;;;;;;;1
Peitsman Licht en Geluid B.V.;3;;;;;;;3
Pels Rijcken & Droogleever Fortuijn N.V.;7;1;;;2;;;7
PERSPECTIEF;1;;;;;;;1
Peter W.M. Schiphorst B.V.;1;;;;;;;1
Petronia advies & interim-management;2;;;;;;;2
Peutz B.V.;2;;;;;;;2
Philip Jintes Fotografie;1;;;;;;;1
Photo Republic;1;;;;;;;1
Pictogrammenwinkel;1;;;;;;;1
Pieter van Geel Consultancy;1;;;;;;;1
Pilz Nederland;1;;;;;;;1
Pinkcube B.V.;1;;;;;;;1
Pino Evenementen & Congressen B.V.;4;2;;;;;;4
Pino Productions B.V.;2;;;;;;;2
Pizzeria en Restaurant Isola Bella;1;;;;;;;1
Planmen International B.V.;4;;;;;;;4
Plant Solutions Zuid-Oost B.V.;1;;;;;;;1
Plastic Circle B.V.;2;;;;;;;2
Plastic Whale B.V.;1;;;;;;;1
Plastikor Nederland B.V.;1;;;;;;;1
Plaveka Interieurs B.V.;1;;;;;;;1
Play-Time Visie Beleid Actie;;2;;;;;;2
Plein 9 A B.V.;1;;;;;;;1
Pllek-NDSM B.V.;1;;;;;;;1
PLUS Smaragdplein B.V.;1;;;;;;;1
PmcB INFRA B.V.;1;;;;;;;1
PNO Ondernemingen B.V.;1;;;;;;;1
POL Heteren B.V.;1;;;;;;;1
Poldercafé De Waterjuffer;1;;;;;;;1
Policy Research Corporation Nederland B.V.;3;;;;;;;3
Pondres Direct Mail B.V.;;1;;;;;;1
Port Health Centre;1;;;;;;;1
Port of Amsterdam International B.V.;4;;;;;;;4
Posad B.V.;4;;;;;;;4
POSEC Consultancy;2;;;;;;;2
POSG;6;;;;;;;6
Postillion Hotels B.V.;2;;;;;;;2
Pouw Vervoer B.V.;1;;;;;;;1
PoweredbyMeaning B.V.;;;1;;;;;1
Powerling B.V.;1;;;;;;;1
PPP-Agro Advies West B.V.;;1;;;;;;1
PPPgroupe;4;;;;;;;4
PRAK Security & Judgment;2;;;;;;;2
Praktijk O.N. Markx;1;;;;;;;1
Praktijk voor Psychotherapie Hoxe;1;;;;;;;1
Praktijkonderzoek AGV;4;;;;;;;4
PRCS Performance Delivery B.V.;1;;;;;;;1
Presenter B.V.;2;;;;;;;2
Prevent Survey B.V.;1;;;;;;;1
Pricewaterhousecoopers Advisory N.V.;5;4;;;;4;;6
Pricewaterhousecoopers B.V.;4;;;;;;;4
PricewaterhouseCoopers Consult. Serv. NL B.V.;1;;;;;;;1
Pricewaterhousecoopers N.V.;4;3;;;;;3;5
Primaplan (Project Control Services) B.V.;1;;;;;;;1
Prime Advice B.V.;1;;;;;;;1
Primoposto B.V.;1;;;;;;;1
Print Point Totaalreclame B.V.;1;;;;;;;1
Print Productions B.V.;1;;;;;;;1
Printed Copy en Printservice;1;;;;;;;1
Printerette Digishop B.V.;1;;;;;;;1
Prints van Oranje B.V.;1;;;;;;;1
Prixos B.V.;1;;;;;;;1
Pro Mereor B.V.;2;;;;;;;2
Pro/PR;1;;;;;;;1
Procap B.V.;4;;;;;;;4
Procentec B.V.;1;;;;;;;1
Procurios B.V.;1;;;;;;;1
Proefboerderij 'Rusthoeve';1;;;;;;;1
Proeflokaal Reijngoud B.V.;1;;;;;;;1
Proeverij Koekfabriek B.V.;1;;;;;;;1
Proflite B.V.;;1;;;;;;1
progressiv;2;;;;;;;2
Project 13;2;;;;;;;2
Project Gijs;3;;2;;;;;4
Projectbureau d'Namic;1;;;;;;;1
Promenade Hotel B.V.;1;;;;;;;1
PromoSnoepje;1;;;;;;;1
ProRail B.V.;7;;;;;;;7
Protinus IT B.V.;4;;1;;;2;;4
Proven Workspace B.V.;2;;;;;;;2
Provero;1;;;;;;;1
Pryme Consulting B.V.;3;;;;;;3;4
PS:Blankert;1;;;;;;;1
Public Creation B.V.;;1;;;;;;1
Publicimage.nl;1;;;;;;;1
Publicis Amsterdam;1;;;;;;;1
Puntinfo B.V.;1;;;;;;;1
Puur Amsterdam;1;;;;;;;1
PW Consulting B.V.;2;;;;;;;2
Q Delft B.V.;2;;;;;;;2
Q.P. Nedlab;;1;;;;;;1
Q-Consult Progress Partners B.V.;;1;;;;;;1
Qidos B.V.;1;;;;;;;1
Q-Link Bemiddeling & Advies;2;;;;;;;2
QNH Consulting B.V.;4;;;;;;;4
QStone Capital B.V.;2;;;;;;;2
Quality Bookings;;1;;;;;;1
QuoVadis Trustlink B.V.;1;;;;;1;;2
R & J Elektrotechniek B.V.;1;;;;;;;1
R&O Q-Products;1;;;;;;;1
R. van Noortwijk Ruimte voor Duurz. Initiat.;1;;;;;;;1
R.J. Fijlstra B.V.;1;;;;;;;1
raadgevende;4;;;;;;;4
RAAP Archeolog. Adviesbureau Oost Nederland;3;;;;;;;3
RAAP Archeolog. Adviesbureau Zuid Nederland;2;;;;;;;2
Rabobank Amerstreek;;1;;;;;;1
RAI Amsterdam B.V.;3;;;;;;;3
Railforum Nederland;1;;;;;;;1
Railinfra Solutions;2;;;;;;;2
Randstad HR Solutions;1;;;;;;;1
Rapp Trans (NL) B.V.;6;;;;;;;6
Rational Nederland Grootkeukentechniek B.V.;1;;;;;;;1
RauwCC B.V.;1;;;;;;;1
RDM Makerspace B.V.;1;;;;;;;1
RDMG Uitgeverij B.V.;1;;;;;;;1
Reaktie Safety Shops B.V.;;1;;;;;;1
rEAUnald Consultancy B.V.;1;;;;;;;1
Rebel Economics & Transactions B.V.;4;;;;;;;4
