Rijlabels;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;Eindtotaal
FSC Training B.V.;;;;;;1;;;;1
Futures Studies & Manag. Consultancy B.V. FSM;;;;;;1;;;;1
Fysergo B.V.;1;;;;;;;;;1
Fysiotherapie Haaften;1;;;1;;;;;;1
Fysiotherapie Westhovens B.V.;1;;;;;;;;;1
G.W.Th.M. Vreman B.V.;;;;;1;;;;;1
G4S Direct B.V.;;;;1;;1;;;;1
Gadjah Mas B.V.;;;;1;;;;;;1
Gajes in de Bajes;;;;1;;;;;;1
Galamadammen Bergopwaarts B.V.;;;;1;;;;;;1
Galerie Moon;;;;1;;;;;;1
Galerij De Hamer;;;;1;;;;;;1
Gall & Gall (B.J. Wühl);;;;1;;;;;;1
Ganzenmarkt 24-26 Horeca Exploitatie;1;;;1;;;;;;1
Gartner Nederland B.V.;;;;1;;1;;;;1
Gasterij 't Karrewiel B.V.;;;;1;;1;;;;1
Gastheeren Bedrijfscatering;;;;2;;;;;;2
Gastmaal en de Tafel;;;;1;;;;;;1
Gauchos Franchise Utrecht B.V.;;;;1;;;;;;1
Gbned;;;;;;1;;;;1
Gebo Tours B.V.;;;;;;;;;1;1
Gebr. Barendsen B.V.;;;;2;;;;;;2
Gebroeders Uytewaal;1;;;;;1;;;;1
gefeliciTAART B.V.;1;;;1;;;;;;1
Gemaco B.V.;;;;;;1;;;;1
Geoplan Nederland B.V.;;;;;;2;;;;2
Geovusie;;;;;;1;;;;1
Gerard Krabbendam h.o.d.n. Supervlaai Helmond;;;;1;;;;;;1
Gerrickens Training & Advies V.O.F.;;;;1;;;;;;1
Geschenkbezorgen.nl B.V.;1;;;1;;;;;;1
Gesprek in Beweging;;;;1;;;;;;1
GET IT RIGHT!;;;;;1;1;;;;1
Geveke Plus;;;;;;2;;;;2
Geweldige Communicatie;;;;1;;;;;;1
Gewoon aan de slag;;;;;;2;;;;2
Gijs Geluid;;;;1;;;;;;1
Gilde Delft;;;;1;;;;;;1
GITP B.V.;;;;;1;;;;;1
GITP Training & Opleiding B.V.;;;;;;2;;;;2
Global Knowledge Network Netherlands B.V.;;;;;;1;;;;1
Global Project Performance;;;;;;2;;;;2
Glope Events B.V.;;;;1;;;;;;1
Go B.V.;;;;;;1;;;;1
Godelieve Spaas Consultancy B.V.;1;;;;1;1;;;;1
Goedewaagen Gouda B.V.;;;;1;;;;;;1
Golden Tulip Apple Park Maastricht;;;;;;;;;1;1
Golden Tulip l'Escaut B.V.;;;;;;;;;1;1
Golfexploitatiemaatschappij Naarderbos B.V.;1;;;;;;;;;1
Good Food Concepts B.V.;;;;;;;;;1;1
Good Seasons B.V.;;;;;;;;;1;1
GoodHabitz B.V.;;;;;;2;;;;2
Gooiland B.V.;2;;;;;;;;;2
Gortcoaching.nl;;;;;1;;;;;1
Gossimijne Horeca B.V.;1;;;;;;;;;1
Goudappel Coffeng B.V.;;;;;;1;;;;1
Gouden Huis Lelystad B.V.;;;;1;;;;;;1
Governance University (Netherlands) B.V.;;;;;;1;;;;1
GrachtenAtelier;;;;1;;;;;;1
GradusGroep B.V.;;;;;5;;;;;5
Grand Café Arnhems Meisje;;;;1;;;;;;1
Grand Café Carpe Diem;;;;1;;;;;;1
Grand Café De Vischmarkt;;;;1;;;;;;1
Grand Café De Werf;;;;1;;;;;;1
grand café Lebowski;;;;1;;;;;;1
Grand Café Metropole B.V.;;;;1;;;;;;1
Grand Café Restaurant Kade 60 B.V.;;;;1;;;;;;1
Grand Cafe Restaurant Totzo!;;;;1;;;;;;1
Grand Café Time Out B.V.;;;;1;;;;;;1
Grand Café-Diner D'n Ingel;;;;1;;;;;;1
Grand Hôtel Amrâth Kurhaus B.V.;;;;1;;;;;;1
Grand Hotel De l'Empereur;;;;1;;;;;1;1
Grand Hotel Ter Duin B.V.;;;;;;;;;1;1
Grandcafe Haagsche Bluf;;;;1;;;;;;1
Grand-Cafe Het Witte-Huis;;;;1;;;;;;1
Grand-diner-café 't Boterhuis B.V.;;;;1;;;;;;1
Granny's Corner;;;;1;;;;;;1
Graphic Hunters;;;;;;1;;;;1
Gravioli;;;;1;;;;;;1
Green Earth Products;;;;1;;;;;;1
Greetz B.V.;1;;;;;;;;;1
Grieks Restaurant 'Olympia' Rotterdam B.V.;;;;1;;;;;;1
Grieks Spec. Restaurant Rhodos V.O.F.;;;;1;;;;;;1
Grieks Specialiteiten Restaurant Knossos;;;;1;;;;;;1
Grieks Specialiteiten Restaurant 'Odysseus';;;;1;;;;;;1
Grieks Specialiteitenrestaurant Mykonos;;;;1;;;;;;1
Grietje training & coaching;1;;;;1;1;;;;1
Grim Vers Vlees Service V.O.F.;1;;;1;;;;;;1
Grizzly B.V.;;;;2;;1;;;;2
Groeibalans Teelt en Onderzoek B.V.;;;;;;1;;;;1
Groenendijk Bedrijfskleding B.V.;6;;;;;;;;;6
Groenten en Fruit;1;;;;;;;;;1
Groningen Seaports N.V.;;;;1;;;;;;1
Groote Sociëteit;;;;1;;;;;;1
Grossfeld Trading B.V.;1;;;;;;;;;1
Grubben Ontwikkeling en Communicatie;;;;;1;1;;;;2
GS Automotive B.V.;;;;;;;;;1;1
GT-Advies;;;;;;1;;;;1
Guliano Den Haag;;;;1;;;;;;1
Gusto Mangia e Bevi;;;;1;;;;;;1
Guy Honée;;;;;;1;;;;1
H.C.R. Lands End B.V.;;;;;;;;;1;1
H2K Brandweeropleidingen B.V.;;;;;;1;;;;1
H2otel B.V.;;;;1;;;;;;1
Haagse Taxi Mobilofoon Centrale B.V.;;;;;;;;;1;1
Haai B.V.;;;;;;2;;;;2
Haantje de Voorste Catering;;;;1;;;;;;1
Habana Beach;;;;1;;;;;;1
Hagdorn Management Support B.V.;2;;;;;;;;;2
Hagedoorn IJmuiden Beheer B.V.;;;;;;;;;1;1
Hagen Groothandel;;;;1;;;;;;1
Hajé Holding B.V.;;;;1;;;;;;1
Hallmark Cards Nederland;1;;;;;;;;;1
Hampshire Hotel Management B.V.;;;;;;;;;1;1
Han Vermeer Ontwikkel. van Mens & Organisatie;;;;;1;;;;;1
Handelmaatschappij Maritiem B.V.;;;;;;;;;1;1
Handelsonderneming Beijer;1;;;;;;;;;1
Handelsonderneming LKV B.V.;1;;;;;;;;;1
Hans Adriaans Keurslager;;;;1;;;;;;1
Hans Kreuning B.V.;;;;;;1;;;1;1
Hansje Brinker B.V.;;;;1;;;;;;1
Hape Aviation & Marine Service;1;;;;;;;;;1
Happyhappyjoyjoy East;;;;1;;;;;;1
Haptotherapie Den Haag;;;;;1;;;;;1
Harry Lakenman Mobiele Muziek Produkties;;;;1;;;;;;1
HaskoningDHV Nederland B.V.;1;;;;;1;;;1;2
Havenbedrijf Rotterdam N.V.;1;;;1;;;;;;1
HCR Wilhelmina B.V.;;;;;;;;;1;1
HE Berg en Dal B.V.;;;;;;;;;1;1
Heart to Change;;;;;1;;;;;1
Heartbreak Hotel;;;;1;;;;;;1
HEAT Hoofddorp B.V.;;;;1;;;;;;1
HeAVENS Kitchen B.V.;;;;1;;;;;;1
Heemskerk Bloemisten;1;;;1;;;;;;1
Heerlijke Handdoeken;;;;1;;;;;;1
Heijmans Utiliteit;;;;1;;;;;;1
Heijting en Weerts B.V.;;;;;1;;;;;1
Heli Holland Air Service B.V.;;;;;;;;;1;1
Heliview Conferences en Training B.V.;;;;;;1;;;;1
Henriëtte van Dueren den Hollander;;;;;1;1;;;;2
Hero Gifts International B.V.;;;;1;;;;;;1
Herten en Wilde Zwijnen B.V.;;;;1;;;;;;1
Hertogboeren;;;;1;;;;;;1
Hesbak 2 B.V.;;;;1;;;;;;1
Het Bergpaviljoen;;;;1;;;;;;1
Het Bosrestaurant Joppe;;;;1;;;;;;1
Het Brouwcafé Scheveningen-Haven;;;;1;;;;;;1
Het Eerste Huis;;;;;;1;;;;1
Het Effectieve Werken B.V.;;;;;;1;;;;1
Het Expeditiehuis B.V.;;;;1;;;;;;1
Het Gordiaantje;;;;1;;;;;;1
Het Heden;;;;1;;;;;;1
Het Hooghe Water B.V.;;;;1;;;;;;1
Het Keringhuis;1;;;1;;;;;;1
Het Koffiehuuske;;;;1;;;;;;1
Het Kookplein;;;;1;;;;;;1
Het Muntgebouw-Utrecht B.V.;;;;1;;;;;;1
Het Nationaal Automobielmuseum;;;;1;;;;;;1
Het NIC B.V.;;;;;;2;;;;2
Het Oud Hollandsch Restaurant;;;;1;;;;;;1
Het Pakhuis;;;;1;;;;;;1
Het Pleidooi;;;;1;;;;;;1
Het Postkantoor Delft;;;;1;;;;;;1
Het Prentenkabinet;;;;1;;;;;;1
Het Rieten Dak B.V.;;;;1;;;;;;1
Het Stadshuys B.V.;;;;1;;;;;;1
Het Strand B.V.;1;;;;;;;;;1
Het Theehuis;;;;1;;;;;;1
Het Veerkwartier;;;;;;1;;;;1
Het Wapen van Rhoon B.V.;;;;1;;;;;;1
Het Weeshuis charme hotel en restaurant;;;;1;;;;;;1
Heuvelman Sound & Vision B.V.;;;;1;;;;;;1
Heven EA Markant Exploitatie B.V.;;;;1;;;;;;1
Hewlett-Packard Nederland B.V.;;;;;2;;;;;2
Heykoop Bloemisten;1;;;;;;;;;1
HG Exploitatie B.V.;;;;1;;;;;;1
Hiawatha Actief;;;;1;;;;;;1
Highmark Geldrop B.V.;;;;;;;;;1;1
HIGH-W;;;;;;1;;;;1
Hildernisse;;;;1;;;;;;1
Himalayan Restaurant;;;;1;;;;;;1
Hing Fat Exploitatie B.V.;;;;1;;;;;;1
Hobrand B.V.;1;;;;;;;;;1
Hobru Wegenonderhoud B.V.;1;;;;;;;;;1
HOC Opleiding & Training B.V.;;;;;;1;;;;1
Hocarest B.V.;2;;;;;;;;;2
Hodac B.V.;;;;;;1;;;;1
Hoegen Fietsverhuur;1;;;;;;;;;1
Hoekstra Broodjes Expres;1;;;;;;;;;1
Hoezo Proj.manag. & Congresorganisatie B.V.;2;;;;;1;;;;2
Hof van Herstal B.V.;;;;1;;;;;;1
Hofman Café B.V.;1;;;;;;;;;1
Hofstad Events B.V.;;;;1;;1;;;;1
Hofstad Tours B.V.;;;;1;;;;;1;1
Hogenboom Vakantieparken B.V.;;;;;;;;;1;1
Hogeschool NOVI B.V.;;;;;;2;;;;2
Hogeschool Schoevers;;;;;;1;;;;1
Hogeschool VHL;;;;;;1;;;;1
Hogeschool Zeeland/Hogeschool Zeeland (WEB);;;;;;1;;;;1
Holding Beheermaatschappij Ropeni B.V.;1;;;2;;;;;1;2
Holiday Inn Express Rotterdam - Centre;1;;;;;;;;;1
Holland Casino Breda;;;;1;;;;;;1
Holland Evenementen Groep B.V.;;;;1;;;;;;1
Holland Innovative B.V.;1;;;;;1;;;;1
Holland Maritime Services B.V.;;;;1;;;;;;1
Holland Shipyards B.V.;;;;;;;;;1;1
Holland Tour Guides;;;;1;;;;;;1
Hollandse Hoogte B.V.;;;;1;;1;;;;1
Hoober B.V.;;;;1;;;;;;1
Hoogendijk Coaching en Opleiding;;;;;;1;;;;1
Hop Taxi B.V.;;;;;;;;;1;1
Horeca byklyn B.V.;1;;;1;;;;;;1
Horeca Exploitatie Hermitage B.V.;;;;1;;;;;1;1
Horeca Exploitatie Maatschappij Schiphol B.V.;;;;1;;;;;;1
Horeca Exploitatie Maatschappij Zalmhuis B.V.;;;;1;;;;;;1
Horeca Exploitatie WWZ V. B.V.;;;;1;;;;;;1
Horeca Meent 108 B.V.;;;;1;;;;;;1
Horecaexploitatie Moeke B.V.;;;;1;;;;;;1
Horecapa B.V.;;;;1;;;;;;1
Horecaservice Beesd B.V.;;;;1;;;;;;1
Horesca Meppel B.V.;1;;;;;;;;;1
Hortus;;;;1;;;;;;1
Hot.expl.mij. Jaarbeurspln. Utrecht B.V.;;;;1;;;;;1;1
Hotel & Tapperij De Poshoorn B.V.;;;;1;;;;;1;1
Hotel aan de Dam;;;;;;;;;1;1
Hotel Ambassade B.V.;;;;1;;;;;;1
Hotel Brabant;;;;;;;;;1;1
Hotel Café Restaurant Nap;;;;;;;;;1;1
Hotel Centraal;;;;;;;;;1;1
Hotel Contact B.V.;1;;;2;;1;;;6;6
Hotel De Bilderberg;;;;1;;;;;;1
Hotel De Koophandel B.V.;;;;;;;;;1;1
Hotel De Rusthoek B.V.;;;;;;;;;1;1
Hotel Delft Centre;;;;;;;;;1;1
Hotel Des Indes B.V.;;;;1;;;;;;1
Hotel d'Orangerie B.V.;;;;;;;;;1;1
Hotel Drachten B.V.;;;;;;;;;1;1
Hotel en Grandcafé de Pauw B.V.;;;;1;;;;;;1
Hotel Exploitatie Huisduinen B.V.;;;;;;;;;1;1
Hotel Exploitatie Kerckebosch B.V.;;;;;;;;;2;2
Hotel Exploitatiemaatschappij Chagall B.V.;1;;;1;;;;;1;1
Hotel Goes;1;;;;;;;;1;1
Hotel Gorinchem B.V.;;;;1;;;;;;1
Hotel Le Beau Rivage;;;;;;;;;1;1
Hotel Leeuwenbrug B.V.;;;;;;;;;1;1
Hotel Lelystad Airport B.V.;;;;;;;;;1;1
Hotel Medemblik;;;;;;;;;1;1
Hotel Mitland;;;;1;;;;;1;1
Hotel Modez B.V.;;;;;;;;;1;1
Hotel Montfoort;;;;;;;;;1;1
Hotel New York B.V.;1;;;1;;;;;1;2
Hotel Noordsee Ameland B.V.;;;;;;;;;1;1
Hotel Oepkes-de Schoener B.V.;;;;;;;;;1;1
Hotel Paal Acht B.V.;;;;;;;;;1;1
Hotel Papendal;1;;;;;;;;;1
Hotel Post Plaza B.V.;;;;1;;;;;1;1
Hotel Restaurant Abrona;;;;1;;;;;;1
Hotel restaurant Goerres;;;;1;;;;;;1
Hotel Restaurant 't Veerhuis;;;;1;;;;;;1
Hotel Ridderkerk B.V.;;;;;;;;;1;1
Hotel Rotterdam-Blijdorp B.V.;;;;;;;;;1;1
Hotel Stadslogement Almenum;;;;;;;;;1;1
Hotel Terminus;;;;;;;;;1;1
Hotel Van der Valk Groningen/Westerbroek;;;;;;;;;1;1
Hotel van Dijk V.O.F.;;;;;;;;;1;1
Hotel Vianen B.V.;1;;;;;2;;;1;2
Hotel Visspecialiteiten Restaurant Rijnzicht;1;;;;;;;;;1
Hotel Wieringermeer B.V.;;;;;;;;;1;1
Hotel Zuiderduin B.V.;;;;;;2;;;;2
Hotel Zwartewater B.V.;1;;;1;;;;;;1
Hotel/Restaurant Anna Casparii;;;;1;;;;;1;1
Hotel/Restaurant Corona;;;;;;;;;1;1
Hotel-Café-Restaurant De Biltsche Hoek;;;;;;;1;;1;1
Hotel-Café-Restaurant 'West-End' Expl. B.V.;;;;1;;;;;1;1
Hotel-Café-Restaurant 'Zeezicht';;;;;;;;;1;1
Hotel-Café-Restaurant 'Zwolle' B.V.;;;;;;;;;1;1
Hotel-Congrescentrum De Zeeuwse Stromen;;;;;;;;;1;1
Hotelexpl.mij. Atlanta Rotterdam B.V.;;;;;;;;;1;1
Hotelexpl.mij. Capelle aan den IJssel B.V.;;;;;;;;;1;1
Hotelexpl.mij. Forum Maastricht B.V.;;;;;;;;;1;1
Hotelexpl.mij. Janskerkhof Utrecht B.V.;;;;;;;;;1;1
Hotelexpl.mij. Marquette Heemskerk B.V.;;;;;;;;;1;1
Hotelexpl.mij. Stationsstraat Amersfoort B.V.;;;;;;;;;1;1
Hotel-Restaurant 'Oud London';;;;1;;;;;;1
Hotel-Restaurant Victoria B.V.;;;;;;;;;1;1
Hotelschool The Hague;;;;1;;;;;;1
Houdstermaatschappij R.E. Bouwer B.V.;;;;1;;;;;;1
House of Lords B.V.;;;;1;;;;;;1
House of Sports;;;;;;;1;;;1
Houtelgroep;;;;1;;;;;1;1
Houthoff Advies;;;;;1;;;;;1
HowAboutYou B.V.;;;;;;1;;;;1
HSK Interventie B.V.;2;;;;;1;;;;2
H-tax Landgraaf;;;;;;;;;1;1
HTM Specials;;;;1;;;;;;1
HTMC Holding B.V.;;;;1;;;;;1;1
Hudson Danzig B.V.;;;;1;;;;;;1
Huijsmans Service Center B.V.;;;1;;;;;;;1
Huis 130;;;;;;1;;;;1
Huis ten Haghe;;;;1;;;;;;1
Huisaanhuis.nu B.V.;1;;;;;;;;;1
Human Talent Development B.V.;;;;;;1;;;;1
Humphrey's Utrecht B.V.;;;;1;;;;;;1
Hutten Business Catering B.V.;;;;1;;;;;;1
I am Consultancy;;;;;;1;;;;1
I Love Workshopevents B.V.;;;;1;;;;;;1
Ibis Amsterdam City Stopera;;;;;;1;;;1;1
Icademy B.V.;;;;;;1;;;;1
IC-HARJONO;;;;;;1;;;;1
ICM Administratie B.V.;;;;;;2;;;;2
ICM Opleidingen & Trainingen B.V.;;;;;;4;;;;4
Ictivity Trainingen B.V.;;;;;;1;;;;1
IES Asset Management;;;;;;2;;;;2
Ifoods;;;;1;;;;;;1
Ignite coaching & consultancy;;;;;1;;;;;1
IJmuidense Rondvaart Maatschappij B.V.;;;;1;;;;;;1
IJskar Visser;;;;1;;;;;;1
IJsselconsult;;;;;;2;;;;2
IJzeren Man B.V.;;;;1;;;;;;1
Ik Verander;;;;;;1;;;;1
Imagine Factory Productions B.V.;;;;;;;;;1;1
IMK Opleidingen B.V.;;;;;;1;;;;1
IMpact;;;;1;;;;;;1
Impact Company;;;;;;2;;;;2
Impact Opleidingen;;;;;1;;;;;1
ImpactAbility;;;;;;1;;;;1
Impresariaat Willem;;;;1;;;;;;1
Impulse Hr Management;;;;1;;;;;;1
In de Steigers B.V.;1;;;;;1;;;;1
In de Verkleedkist;;;;1;;;;;;1
In Tune Consultancy;;;;;;1;;;;1
INCOSE NL;;;;;;1;;;;1
Indiase & Bengaalse Specialit.;;;;1;;;;;;1
Indisch Restaurant Bandoeng;;;;1;;;;;;1
Indisch Restaurant Garoeda;;;;1;;;;;;1
Indish Catering;;;;1;;;;;;1
Indonesian Cuisine B.V.;;;;1;;;;;;1
Indonesisch Rest. 'Mooi Zeist';;;;1;;;;;;1
Indonesisch Restaurant Poentjak;;;;1;;;;;;1
Indonesisch Restaurant Soeboer;;;;1;;;;;;1
Indonesisch Specialiteiten Rest. Batavia B.V.;1;;;;;;;;;1
Indoor Skydive N.V.;;;;1;;;;;;1
Inf. Syst. Aud. & Contr. Ass. Neth. Chapter;;;;;;1;;;;1
Info Support B.V.;;;;;;1;;;;1
Infobeez;;;;;;2;;;;2
Infoprojects;;;;;;1;;;;1
Information Security Academy B.V.;;;;;;2;;;;2
Infrago;;;;;;1;;;;1
Infram B.V.;2;;;;;;;;;2
ING Bank N.V.;;;;;;;;;1;1
Innovatiekracht B.V.;1;;;;;;;;;1
Innovents;;;;2;;;;;;2
InsideStory;;;;;;1;;;;1
Insp. en Niet-Destruct. Techn.;;;;;;1;;;;1
Inspiration Point B.V.;;;;;;1;;;;1
Inst. voor Materiaal;;;;;;1;;;;1
Instit. voor Eclectische;;;;;;1;;;;1
Instituut van Internal Auditors Nederland;;;;;;1;;;;1
instituut voor;;;;;;;;;1;1
Instituut voor Juridische Opleidingen B.V.;1;;;;;1;;;;1
Instituut voor Psychotrauma Nederland B.V.;1;;;;1;1;;;1;2
Instituut voor Sales en Account Manag. B.V.;;;;;;1;;;;1
Instituut voor Systemisch Werk (IVSW);;;;;;1;;;;1
Instituut voor vastgoed en duurzaamheid B.V.;;;;;;1;;;;1
Instituut voor Veiligheid en Milieu B.V.;;;;;;1;;;;1
Instituut voor Wijsbegeerte B.V.;1;;;1;;1;;;1;1
Instock Amsterdam;;;;1;;;;;;1
Insula Dei;;;;1;;;;;;1
Int. Ass. for Organ. and Soc. Developm. B.V.;;;;;1;;;;;1
Intention;;;;;;1;;;;1
Interarbeid Mediation & Consultancy B.V.;;;;;1;;;;;1
Internet New Business Concepts B.V.;;;;1;;;;;;1
Internet Verhuurshop;;;;1;;;;;;1
Intersafe Groeneveld B.V.;4;;5;;;1;;;;5
Intertoys;1;;;;;;;;;1
Intop Zorgsector B.V.;;;;;;1;;;;1
Intressio B.V.;1;;;;;;;;;1
Inzicht Bureau voor Coaching en Communicatie;;;;;1;;;;;1
Ipanema;;;;1;;;;;;1
IPC Groene Ruimte B.V.;;;;;;1;;;;1
IPMA Certificering B.V.;;;;;;1;;;;1
Ipol B.V.;;;;;;3;;;;3
i-pre B.V.;;;;;;;;;1;1
Ipse de Bruggen Maatwerk;;;;1;;;;;;1
Ir. H.J. VD Wolfshaar Consulting & Coaching;;;;;1;;;;;1
Iron Mountain Nederland B.V.;1;;;;;;;;;1
ISC B.V.;;;;;;1;;;;1
Islamitische Universiteit Rotterdam;;;;;;1;;;;1
Istana Indonesisch Restaurant;;;;1;;;;;;1
IT Management Group;;;;;;2;;;;2
IT Rains Fishes;;;;1;;;;;;1
ITIP School voor Leven en Werk B.V.;;;;;;2;;;;2
IVN Ver. v. Nat.- en Mil. Educ. Rijk v. Nijm.;;;;1;;;;;;1
J.D. Karssiens/Impulsus Pers. Quality/Results;2;;;;;;;;;2
J.L. de Jong Touringcarbedrijf Rotterdam B.V.;;;;;;;;;1;1
Jaarbeurs B.V.;;;;;;1;;;;1
Jachthaven Kortenhoef B.V.;1;;;;;;;;;1
Jachthaven Michiel de Ruijterhaven;;;;1;;;;;;1
Jachtslot De Mookerheide;;;;1;;;;;;1
Jacques Handelé Antwoorden en Vragen;1;;;;1;2;;;;2
Ja-maar® B.V.;1;;;;;2;;;;2
Japans Restaurant Umai;;;;1;;;;;;1
Jazz Republic;;;;1;;;;;;1
Jelmer B.V.;1;;;1;;1;;;1;1
jenb;;;;1;;;;;;1
jep communicatie;;;;;;1;;;;1
Jheronimus Bosch Art Center;;;;1;;;;;;1
Jill Murphy's;;;;1;;;;;;1
JIM (Jong IenM);2;;;;;;;;;2
Jin Lai B.V.;;;;1;;;;;;1
Jobmassage B.V.;1;;;;;;;;;1
Jobtraining B.V.;;;;;;1;;;;1
Join The Pipe B.V.;;;;1;;;;;;1
Joined Forces Consultancy;;;;;;1;;;;1
Jongsma Grime en Haarwerk;1;;;;;;;;;1
Jopen Horeca Exploitatie B.V.;1;;;;;;;;;1
Joris Unlimited;;;;1;;;;;;1
Jos Rademakers Ecologie en Ontwikkeling;;;;;;1;;;;1
JRI Communication V.O.F.;1;;;;1;;;;;1
JuRo Horeca;;;;1;;;;;;1
K&M training-coaching;;;;;;1;;;;1
Ka Lun B.V.;;;;1;;;;;;1
Kaap Doorn B.V.;;;;1;;;;;;1
Kaboom Hotel B.V.;;;;;;;;;1;1
Kade 87 B.V.;;;;1;;;;;;1
Kader Bureau voor Kwaliteitszorg B.V.;;;;;;2;;;;2
Kadoburo;1;;;;;;;;;1
Kafkabrigade B.V.;;;;;;;;;2;2
Kaliber Communicatieprojecten;;;;;;1;;;;1
Kamar Makan;;;;1;;;;;;1
Kameryck B.V.;;;;2;;1;;;;2
Kapellerput Conferentiecentrum;;;;;;;;;1;1
Karel B.V.;;;;1;;;;;;1
Karmel Drachten;;;;1;;;;;;1
Kasteel Bloemendal B.V.;;;;;;;;;1;1
Kasteel Elsloo B.V.;;;;;;1;;;;1
Keizer Culinair B.V.;;;;1;;;;;;1
Kelly Breemer Illustration;;;;1;;;;;;1
Kempenhof B.V.;;;;1;;;;;;1
Kern Konsult B.V.;2;;;;;;;;;2
Kerst Company B.V.;;;;1;;;;;;1
Keukenvuur;;;;1;;;;;;1
Kijk naar jezelf;;;;;1;;;;;1
KIM training & coaching;;;;;;1;;;;1
Kite-Extreme;;;;1;;;;;;1
Kitesurfschool Kitesurfles;;;;;;;;;1;1
Kiwa Register B.V.;1;;;;;;;;;1
Kiwa Training B.V.;;;;;;1;;;;1
Kjenning B.V.;;;;;;1;;;;1
KLAAR! Catering;;;;1;;;;;;1
Klein Parijs;;;;1;;;;;;1
Klein Zwitserland Ede B.V.;;;;1;;;;;;1
Klimbos Gooi B.V.;;;;1;;;;;;1
Klimpark het Streekbos B.V.;;;;1;;;;;;1
Klinks Bakkerij;;;;1;;;;;;1
KLM;;;;;;;;;1;1
KLM Health Services B.V.;1;;;;;;;;;1
Klotz Schouten Prevoo Train. Coaching Advies;;;;;;2;;;;2
KMIKS-Training B.V.;;;;;;1;;;;1
Knowledge Activator;;;;;;1;;;;1
Kobus Kuch 3 B.V.;;;;1;;;;;;1
Kodision B.V.;;;;;;1;;;;1
Koen Overmars Consultancy;;;;;;;;;1;1
Koffie-etc. B.V.;;;;1;;;;;;1
Koken-op-maat;;;;1;;;;;;1
Kok-Timmer thodn Plantage Boekhand. de Brunte;;;;1;;;;;;1
Komijn Koriander;;;;1;;;;;;1
Kon. Ned. Veren. van Informatieprofessionals;;;;;;1;;;;1
Kon. Nederlands Aardrijkskundig Genootschap;;;;1;;;;;;1
Konica Minolta Sensing Europe B.V.;;;;;;1;;;;1
Koningshof B.V.;;;;;;;;;1;1
Koninklijk Instituut van Ingenieurs;1;;;1;;;;;1;1
Koninklijke Burgers' Zoo;;;;1;;;;;;1
Koninklijke Haskoning DHV Groep B.V.;;;;;;;;;1;1
Koninklijke Pbna B.V.;;;;;;1;;;;1
Koninklijke PostNL B.V.;1;;;;;;;;;1
Koninklijke Roeiers Vereeniging Eendracht;;;;;;;;;1;1
Koninklijke Schippersvereniging 'Schuttevaer';;;;;;1;;;;1
Koninklijke Studenten Roeivereeniging 'Njord';;;;1;;;;;;1
Kontakt der Kontinenten;;;;1;;;;;1;1
Kookstudio De Kombuis;;;;1;;;;;;1
Kookstudio La Fine Bouche;;;;1;;;;;;1
Kop Beveiliging B.V.;2;;1;;;1;;;;2
Koppe Consultancy;;;;;;1;;;;1
Korenbeurs;;;;1;;;;;;1
Korte Poten 1-3 B.V.;;;;1;;;;;;1
KPMG Advisory N.V.;2;;;;;;;;;2
KPMG N.V.;1;;;;;;;;;1
KPN Consulting B.V.;1;;;;;;;;;1
Kraakman Coaching;;;;;1;;;;;1
Krauthammer International B.V.;;;;;;1;;;;1
Kremer Communicatie;1;;;1;;1;;;;1
Kring Andragologie;;;;;;1;;;;1
Kristiaan bij de Vaate;;;;;;1;;;;1
Kriton Learning B.V.;;;;;;1;;;;1
KSG B.V.;1;;;;;2;;;;2
Kuipers Horeca Beheer;;;;1;;;;;;1
Kumpulan Congres- en Reuniecentrum;;;;1;;;;;;1
Kunstcentrum Hofstede Duet;1;;;;;;;;;1
Kunstgras Events B.V.;1;;;;;;;;;1
Kustlijn Horeca B.V.;;;;1;;;;;;1
Kwaliteitsslagerij De Goeij;1;;;;;;;;;1
Kwaliteitsslagerij VAN Loo;;;;1;;;;;;1
Kwibus Funbus B.V.;;;;1;;;;;;1
KWR Water B.V.;;;;;;2;;;;2
La Barceloneta;;;;1;;;;;;1
La Bonne Auberge B.V.;;;;1;;;;;;1
La Cantina di David B.V.;1;;;1;;;;;;1
La Puerta;;;;1;;;;;;1
La Señorita;;;;1;;;;;;1
La Stanza B.V.;;;;1;;;;;;1
La Tasca;;;;1;;;;;;1
La Vida Training & Coaching;;;;;1;;;;;1
L'Abattoir B.V.;;;;1;;;;;;1
LACHKRACHT! empowerment met een lach;1;;;;;;;;;1
Lagerweij & Partner Consultants B.V.;;;;;2;2;;;;2
Lambert Vos Beheer B.V.;;;;1;;;;;;1
Landal Greenparks B.V.;;;;;;;;;1;1
Landgoed de Horst B.V.;;;;;;;;;1;1
Landgoed Overste Hof;;;;1;;;;;;1
Language Partners;;;;;;1;;;;1
Laptopsverhuur B.V.;;;;;;1;;;;1
Larssen Advies;;;;;;2;;;;2
Las Fiestas Del Mundo;;;;1;;;;;;1
Latalanta;1;;;;;;;;;1
