;1110 - Verhuiskosten personeel (binnen- en buitenland);1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis en verblijfkosten;Eindtotaal
Pharma Call callservices;;;;;1;;;;1
Phonsawan B.V.;;;1;;;;;;1
Picturae ICT B.V.;;;;;1;;;;1
Piet Butter B.V.;;;;;1;;1;;1
Pieter Verbeek;;;;;;;;1;1
Pino Evenementen & Congressen B.V.;;;;;1;2;;;2
Pitch Acadamy;;;;;1;;;;1
Pitch&Putt Groningen;;;1;;;1;;;1
Pizzeria Ristorante Bella Italia B.V.;;;1;;;1;;;1
Pizzeria Verlengde Hereweg B.V.;;;1;;;1;;;1
Plan B Voor de verandering B.V.;;;;;1;;;;1
Plata Foundation B.V.;;;;;1;;;;1
Platform Outsourcing Nederland;;;;;1;;;;1
Plein 19 Den Haag B.V.;;;1;;;;;;1
Plein 20 Den Haag B.V.;;;1;;;;;;1
Plein 9 A B.V.;;;2;;;;;;2
Pol Perspective;;;;;1;;;;1
Polisophia;;;1;;;;;;1
politie;;;;;1;;;;1
Pop-up Fun B.V.;;;1;;;;;;1
POSG B.V.;;2;;;2;;;;3
Positivity Works;;;;;;;;1;1
Post B.V.;;;1;;;;;;1
Pouw Vervoer B.V.;;;;;;;;1;1
Praatgraag.nu;;;;;;;;1;1
Pragmavision Opleidingen B.V.;;;;;1;;;;1
Prakt. v. Psychoth. en Cons. G. van der Zalm;;1;;;;;;;1
Praktijk Joyce Neijenhuis;;1;;;;;;;1
Praktijk Maria Derksen;;1;;;;;;;1
Praktijk Schinkelkade;;;;1;;;;;1
Praktijk voor Bewustzijnstraining;;;;;1;;;;1
Praktijk voor Spreek & Stemwerk;;;;;1;;;;1
Praktijk Yvonne de Vries;;;;;1;;;;1
Praktikon;;;;;1;;;;1
President Seeds Holland Holding B.V.;;;;;1;;;;1
PricewaterhouseCoopers Belastingadviseurs N.V;;;;;1;;;;1
Print X-Press;;;1;;;;;;1
Privacy Company B.V.;;;;;1;;;;1
Process Communication Nederland B.V.;;;;;2;;;;2
Proeflokaal aan de Amstel;;;1;;;1;;;1
Proevens;;;1;;;1;;;1
Proeverij De Open Keuken;;;1;;;;;;1
Progress Events B.V.;;;1;;;1;;1;2
Projecten & Advies Aspha Bijnaar;;;;;;;;1;1
Prokwadraat;;;1;;;;;;1
Promio;;;1;;;;;;1
Promopodium B.V.;;;1;;;;;;1
Promotex B.V.;;1;;;;;;;1
Pronk Exploitatie B.V.;;;1;;;1;;;1
Protect Dienstverlening;;1;;;;;;;1
Protinus IT B.V.;;;;;2;;;;2
Prowareness WeOn Groep B.V.;;;;;1;;;;1
Psychodidact;;;;;1;;;;1
Psychologenpraktijk Mercurius;;;;;1;;;;1
Psychologiepraktijk Spaargaren;;;;1;;;;;1
Psychologisch Adviesbureau Leidekker;;2;;;;;;;2
Psyon B.V.;;1;;;;;;;1
Public Mobility B.V.;;;;;1;;;;1
Puntann;;;;;1;;;;1
Puro Gelato;;;1;;;;;;1
Purple Monkey;;;;;2;;;;2
Puur Amsterdam;;;1;;;;;;1
PvIB: Platform voor informatiebeveiliging;;;;;1;;;;1
Qidos B.V.;;;;1;1;;;;1
Quino Damen Bloembinders;;;1;;;;;;1
Quint;;;;;1;;;;1
R. Bakker;;;;;1;;;;1
R. Verschoor;;;1;;;;;;1
Ramblas;;;1;;;;;;1
Ramis Catering Services;;;1;;;;;;1
RAW;;;1;;;;;;1
REACon B.V.;;1;;;;;;;1
Reade;;1;;;;;;;1
Real-life Xcape;;;1;;;;;;1
Recreatie & Entertainment NL 3;;;1;;;;;;1
Recreatiepark De Postwagen B.V.;;;1;;;;;;1
Reeuwijk, M. van;;;1;;;;;1;1
Re-integratiePunt B.V.;;2;;;1;;;;2
Reisadviesbureau Worldwise;;;;;;;;1;1
Reken erop!;;;;;;;1;;1
Relatiegeschenken.nl B.V.;;;1;;;;;;1
Renée Bolwerk Haptonomie & Reintegratie;;;;;1;;;;1
Reprografisch Centrum Groningen B.V.;;;1;;1;;;;1
Respectief B.V.;;;;;2;;;;2
Restaurant Alexander;;;1;;;;;;1
Restaurant Bo&Ro B.V.;;;1;;;1;;;1
Restaurant Catering De Gouden Zon;;;1;;;1;;;1
Restaurant C'est ça B.V.;;;1;;;;;;1
Restaurant De Basiliek B.V.;;;1;;;1;;;1
Restaurant De Gulzige Kater;;;1;;;1;;;1
Restaurant de Kade;;;1;;;;;;1
Restaurant De Luca;;;1;;;;;;1
Restaurant Gaudi's;;;1;;;;;;1
Restaurant Indonesia Bandung;;;1;;;;;;1
Restaurant Inter Scaldes B.V.;;;1;;;;;;1
Restaurant La Vida;;;1;;;;;;1
Restaurant La Viña;;;1;;;;;;1
Restaurant Mirazu;;;1;;;;;;1
Restaurant OKAY;;;1;;;;;;1
Restaurant Petit Bonheur B.V.;;;1;;;1;;;1
Restaurant Rijnmozaïk;;;1;;;1;;;1
Restaurant Samen B.V.;;;1;;;;;;1
Restaurant Venster;;;1;;;;;;1
Restorante Pizzeria Bella Torino;;;1;;;;;;1
Result ADR B.V.;;1;;;;;;;1
Retraiterie Rottemeren;;;;;;;;1;1
Ret-training;;1;;;1;;;;1
Ristorante Mediterraneo;;;1;;;;;;1
Ristorante Tanta Roba B.V.;;;1;;;;;;1
Ristorante Trattoria Impero Romano;;;1;;;1;;;1
Rodgers, S.S.;;;;;;;;1;1
Roel Weerdenburg;;;;;;1;;;1
Roestvrij Taal B.V.;;;;1;;;;;1
ROHDE & GRAHL B.V.;;1;;1;;;;;1
Rokery by Simonis B.V.;;;1;;;;;;1
Rombouts, C.;;;;;1;;;;1
Rondvaartbedrijf Kool;;;1;;;1;;;1
RONT Management Consultants B.V.;;;;;3;;;;3
Rooijen, C. van;;;1;;;;;;1
ROOM koffie, eten en meer;;;1;;;;;;1
Roots-supervisie;;;;;1;;;;1
Rozee B.V.;;;1;;;1;;1;1
Rudolf Vermeulen Bonbons;;;1;;;;;;1
Ruimte voor Helden;;;;;1;;;;1
Russell en Bakker B.V.;;;;;2;;;;2
S. Ooms;;;;;;;;1;1
SAMen Gezond Werken;;1;;;;;;;1
Samenlevingsarchitect;;;;;1;;;;1
Samenwerking Noord;;;;;1;;;;1
Sancy Tres B.V.;;;1;;;;;;1
Sans;;;;;1;;;;1
SAP Nederland B.V.;;;;;1;;;;1
Sapio B.V.;;;;;1;;;;1
Saskia Paulissen;;;;;1;;;;1
Savoy Hotel Berlin;;;;;;;;1;1
Saylus B.V.;;;;;1;;;;1
Scem Conference Services;;;;;1;;;;1
Scheidegger Trainingen B.V.;;;;;1;;;;1
Schinkel Group B.V.;;;;;;;;1;1
Schiphol Travel Taxi B.V.;;;;;;;;1;1
Schippers Centrale Rotterdam;;;1;;;1;;;1
Schoevers Trainingen B.V.;;;;;1;;;;1
Scholten MTO;;;;;1;;;;1
School voor Mediation SvM B.V.;;;;;1;;;;1
SchoolvoorCoaching B.V.;;;;;2;;;;2
Schouten & Nelissen B.V.;;;;;1;;;;1
Schouten & Nelissen Nederland B.V.;;;;;2;;;;2
ScienceWorks B.V.;;;;;2;;;;2
SCM Company B.V.;;;;;3;;;;3
Scorpione Amsterdam Holding B.V.;;;;;1;;;;1
SD Worx Staffing Solutions B.V.;;;;;1;;;;1
Sdu Uitgevers B.V.;;;;;1;;;;1
Seatrade Groningen B.V.;;;1;;;1;;;1
SecureLink Nederland B.V.;;;;;1;;;;1
SeeTrue B.V.;;;;;1;;;;1
Seinpost Indonesia B.V.;;;1;;;;;;1
Sem Leuven;;;;;1;;;;1
Sense of China B.V.;;;1;;;1;;;1
Settels Roofvogels;;;1;;;;;;1
SGM Dalton Vatel Lyceum HAVO MAVO VBO LWOO;;;1;;;;;;1
Shabu Shabu Zoetermeer B.V.;;;1;;;1;;;1
Share Wine & Dine;;;1;;;;;;1
Shufu State B.V.;;;1;;;1;;;1
Shuttel B.V.;;;;;;;;8;8
SibiS;;;;;;;;1;1
Silent Speakers;;;;;1;;;;1
Silverstone Studio;;;;;1;;;;1
Simon de Vogel B.V.;;;1;;;;;;1
Simplefly B.V.;;;;;1;;;;1
Sint Antonius Ziekenhuis Locatie Utrecht;;;;1;;;;;1
Sioo B.V.;;;;1;1;;;;2
Siteimprove B.V.;;;;;1;;;;1
Skils B.V.;;;;;1;;;;1
Slaapschepen B.V.;;;1;;;1;;;1
Slagerij Nomden;;;1;;;1;;;1
Slagerij Patrick;;;1;;;1;;;1
Sloepverhuur Goerres;;;1;;;1;;;1
Sluis van de, M.;;;;;;;;1;1
Smaak van het Zuiden;;;1;;;;;;1
Smaakaron;;;;;1;;;;1
Smellink Group B.V.;;;;;1;;;;1
Smile Software B.V.;;;;;1;;;;1
Snoodijk, G.;;;1;;;;;;1
Snow Limits (Indoor-Ski en Travel);;;1;;;1;;;1
SNR Schouten & Nelissen Recovery B.V.;;;;;2;;;;2
Soenda B.V.;;;1;;;;;;1
Soepboer B.V.;;;1;;;1;;;1
Solid Sense B.V.;;;;1;;;;;1
Soofos B.V.;;;;;1;;;;1
Spaans Restaurant La Paella V.O.F.;;;1;;;1;;;1
Sparring Partners Opleidingen B.V.;;;;;1;;;;1
Specialiteitenhuys Hulsebosch;;;;;;;;1;1
Speech Republic B.V.;;;;;2;;;;2
Speechless;;;;;2;;;;2
SpeelblokkenXL;;;;;1;;;;1
SpiZe B.V.;;;1;;;1;;;1
Sporttainment Center De Uithof B.V.;;;1;;;;;;1
Spotlight Training & Ontwikkeling;;;;;1;;;;1
SRM Communicatie B.V.;;;;;1;;;;1
SS Customer Services;;;;;1;;;;1
ST Groep B.V.;;;;;1;;;;1
St. Het Ned. Kanker Inst.-AvLeeuwenhoek Zknhs;;1;;;;;;;1
St. Postacademisch Scholingstraj. Archeologie;;;;;1;;;;1
Staatvandienst B.V.;;1;;;;;;;1
Stadsarrangement.nl;;;1;;;1;;;1
Stadsbrouwerij de Goudsche Leeuw;;;1;;;;;;1
Stadscafé De Observant;;;1;;;;;;1
Stadscafe d'n Burger;;;1;;;1;;;1
Stadslab Groningen B.V.;;;1;;;1;;;1
Stavoor B.V.;;;;;1;;;;1
Stayokay 'Bunnik';;;;;;;;1;1
Steakh. Partyhouse Snacks Cater. André Dokter;;;1;;;1;;;1
Sterk-Staaltje;;;;;;;;1;1
Stg. Algem. Fryske Underrjocht Kommisje Afûk;;;;;1;;;;1
Stg. Applicl. Serv. Libr. & Bus. Libr. Found.;;;;;1;;;;1
Stg. Atlantic and Pacific Exchange Program;;;;;1;;;;1
Stg. Beheer Derdengelden Haagstate Advocaten;;;1;;;;;;1
Stg. Centr. voor Arbeidsverhoud. Overh.pers.;;;;;1;;;;1
Stg. Conf. of European National Librarians;;;;;1;;;;1
Stg. Congr. Mark. Ass. Rijksunivers. Groning.;;;;;1;;;;1
Stg. Dig. Port. Ned. Kast., hist. B.p. & L.g.;;;;;1;;;;1
Stg. ECHO, Expert.centr. Diversiteitsbeleid;;;;;1;;;1;2
Stg. Erkenningsregeling Schoenherstellers;;;1;;;;;;1
Stg. Fund for Exc. of the Royal Conservatoire;;;1;;;;;;1
Stg. Hoger Onderw.Markus Verbeek Praehep Opl.;;;;;1;;;;1
Stg. Innov. in Ber.ond. en Volwass.-Educat.;;;;;1;;;;1
Stg. Instandh. Goederen & Rechten Huis Bergh;;;1;;;;;;1
Stg. Kempenhghe/Berkenschutse/Ec Kempenhaeghe;;1;;;;;;;1
Stg. Nat. Museum van Speelklok tot Pierement;;;;;;1;;;1
Stg. Ned. Inst. voor Int. Betr. 'Clingend.';;;;;1;;;;1
stg. Nederlands Instit. voor Beeld en Geluid;;;1;;;;;;1
Stg. ProDemos - Huis voor dem. en rechtsstaat;;;1;;1;1;;;1
Sticht. Amsterdamse Hogesch. voor de Kunsten;;;;;1;;;;1
Sticht. Beheer Derdengelden Van Boom Advocat.;;;;2;;;;;2
Sticht. Reg. Onderw. Centr. 's-Hertogenbosch;;;;;1;;;;1
Sticht. tot Exploit. van Landgoed Zuylestein;;;1;;;;;;1
Stichting Accessibility;;;;;1;;;;1
Stichting Amerpoort;;;1;;;;;;1
Stichting Amsterdam Light Festival;;;1;;;;;;1
Stichting ARQ;;;;;1;;;;1
Stichting Art Web;;;;;1;;;;1
Stichting Babylon;;;1;;;;;;1
Stichting Bestuursbureau Noorderlink;;;;1;2;;;;2
Stichting Bijlmer Parktheater;;;1;;;;;;1
Stichting Binnendieze 's-Hertogenbosch;;;1;;;;;;1
Stichting Bureau Kwaliteit Kinderopvang;;;;;1;;;;1
Stichting Codart;;;;;;;1;;1
Stichting Communicatie;;;;;1;;;;1
Stichting Continuïteit Schrijversvakschool;;;;;1;;;;1
Stichting De Letselschade Raad;;;;2;1;;;;2
Stichting De Ooievaart;;;1;;;1;;;1
Stichting De Rots;;;;;2;;;;2
Stichting DOMunder;;;1;;;;;;1
Stichting Dutch Green Building Council;;;;;1;;;;1
Stichting EducAIDed;;;;;1;;;;1
Stichting Erfgoedpark Batavialand;;1;;;1;;;;1
Stichting Eurosonic Noorderslag;;;;;;;;1;1
Stichting Filosofische School Nederland;;;;;1;;;;1
Stichting Fonds Instituut Clingendael;;;;;1;;;;1
Stichting Gezamenlijke Projecten Haagse Musea;;;;;1;;;;1
Stichting Gezondheidscentrum Diemen Zuid;;;;1;;;;;1
Stichting GGz Breburg Groep;;1;;;;;;;1
Stichting Gilde Den Haag;;;1;;;;;;1
Stichting Gilde Dordrecht;;;1;;;;;;1
Stichting GOUDasfalt;;;1;;;;;;1
Stichting Grafisch Lyceum Utrecht;;;1;;;;;;1
Stichting Groningen Congres Bureau;;;;;1;;;;1
Stichting Groningen Declaration Network;;;;;2;;;;2
Stichting Grotius Academie;;;;;2;;;;2
Stichting Haags Theaterhuis;;;;;1;;;;1
Stichting Haagse Willemsvaart;;;1;;;;;;1
Stichting Hanzehogeschool Groningen;;;;1;2;;;;2
Stichting Het Balletorkest;;;;;1;;;;1
Stichting het Rijksmuseum;;;1;;;;;;1
Stichting Het Utrechts Landschap;;;1;;;;;;1
Stichting Hogeschool Utrecht;;;;;1;;;;1
Stichting Hogeschool voor de Kunsten Utrecht;;;;;1;;;;1
Stichting Huisvesting b.i.T.O.N.;;;;;1;;;;1
Stichting Humanity House;;;1;;;;;;1
Stichting Imagine Identity and Culture;;;;;1;;;;1
Stichting In Arcadië;;;1;;;;;;1
Stichting Internat. Perscentrum 'Nieuwspoort';;;1;;1;;1;;1
Stichting Ipse de Bruggen;;;1;;;;;;1
Stichting IT-Arbeidsmarkt;;;;1;;;;;1
Stichting Kathedrale Basiliek Sint Bavo;;;1;;;;;;1
Stichting Kennisinstituut Bier;;;;;1;;;;1
Stichting Kerk en Recreatie;;;1;;;;;;1
Stichting Kinderen Kankervrij;;;1;;;;;;1
Stichting Kinderopvang Internationaal;;;;;;;;1;1
Stichting Landgoed Nienoord;;;1;;;1;;;1
Stichting Leyden School of Law & Economics;;;;;1;;;;1
Stichting Lucas Onderwijs;;;;;1;;;1;1
Stichting Marketing Groningen;;;1;;;1;;;1
Stichting Maxxecure;;;;;2;;;;2
Stichting Medisch Spectrum Twente;;1;;;;;;;1
Stichting Mercuur;;;;1;;;;;1
Stichting met ggz;;1;;;;;;;1
Stichting Nationaal Restauratie Centrum;;;;;1;;;;1
Stichting NedBricks;;;;;1;;;;1
Stichting Nederland Beweegt;;;1;;;;;;1
Stichting Nederland Monumentenland;;;;;1;;;;1
Stichting Nuffic;;;;;1;;;;1
Stichting NulopdeMeter Experience Utrecht;;;1;;;;;;1
Stichting Ommezwaai;;;1;;;;;;1
Stichting Ontmoetingscentrum DePetrus;;;1;;;;;;1
Stichting Oranjehotel;;;1;;;;;;1
Stichting Oude Groninger Kerken;;;1;;;;;;1
Stichting Peshitta;;;;;;;1;;1
Stichting Pleio;;;;;;;1;;1
Stichting Present Groningen;;;1;;;1;;;1
Stichting Projecthuis Madiba;;;;;1;;;;1
Stichting Reuvens;;;;;1;;;;1
Stichting Revalidatiegeneeskunde Nederland;;1;;;;;;;1
Stichting Reynaerde;;;1;;;;;;1
Stichting S.P.L.I.K.A.;;;;;1;;;;1
Stichting SAAM Scholen;;;;;1;;;;1
Stichting SBI Prinsjesdagontbijt;;;;;1;;;;1
Stichting ScriptAcademy;;;;;1;;;;1
Stichting Sint Franciscus Vlietland Groep;;;;1;;;;;1
Stichting Sint Maartenskliniek;;;;1;;;;;1
Stichting Sportevenementen Le Champion';;;1;;;1;;;1
Stichting Spot On;;;;;1;;;;1
Stichting Stadsgidsen regio Weert;;;1;;;;;;1
Stichting Stadsgidserij Tilburg;;;1;;;;;;1
Stichting Team Haagse Hogeschool;;;1;;2;;;;2
Stichting Terschellings Oerol Festival;;;;;;;;1;1
Stichting The Hague & Partners;;;;;;;1;;1
Stichting TI-COAST;;;;;;;1;;1
Stichting Trias Jeugdhulp;;1;;;;;;;1
Stichting TVacademy;;;;;3;;;;3
Stichting Van Eesterenmuseum;;;1;;;;;;1
Stichting Vogin;;;;;1;;;;1
Stichting VoRo Conservation Foundation;;;;;1;;;;1
Stichting Waag Society;;;1;;;;;;1
Stichting Waterlijn Amersfoort;;;1;;;;;;1
Stichting Werk aan de Linie;;;1;;;;;;1
Stichting Werkpro;;;;;2;;;;2
Stichting Ziekenhuisgroep Twente;;;;1;;;;;1
Stoke B.V.;;;1;;;;;;1
Stokerkade cultuurhistorische uitgeverij;;;1;;;;;;1
Stolk informatiemanagement;;;;;1;;;;1
Strandbad Paviljoen Edam;;;1;;;;;;1
Strandclub WIJ;;;1;;;;;;1
Strandpaviljoen De Kwartel B.V.;;;1;;;;;;1
Strandpaviljoen De Marlijn B.V.;;;1;;;1;;;1
Streekziekenhuis Koningin Beatrix;;;;1;;;;;1
Streetball Groningen;;;1;;;1;;;1
StressWise;;;;;1;;;;1
STS B.V.;;;;;1;;;;1
Studiecentrum Talen Eindhoven B.V.;;;;;1;;;;1
Studiecentrum van der Werf;;;;;1;;;;1
Studiegroep Velrandbijzonderheden;;;;;1;;;;1
Studievereniging Perikles;;;;;1;;;;1
Studio3 Koewé Productions;;;1;;;;;;1
Sui Sha Ya B.V.;;;1;;;;;;1
Suiderstrand B.V.;;;1;;;;;;1
Sulayman el Mathari Woordkunsten;;;;;1;;;;1
Summit Registration & Services B.V.;;;;;1;;;;1
Sumo Den Haag 2 Sushi en Grill restaurant;;;1;;;;;;1
Sumo Den Haag II B.V.;;;1;;;1;;;1
Superscript;;;;;1;;;;1
Sushimo B.V.;;;1;;;1;;;1
Swinging.nl;;;1;;;;;;1
Sylvia van Pijkeren;;;;;1;;;;1
Symbol B.V.;;;;;3;;;;3
T + T Systems;;;;;1;;;;1
t Goude Hooft Exploitatie B.V.;;;2;;;1;;;2
t Peeske B.V.;;;1;;;;;;1
T. Koopmans-Samson;;;;;;;;1;1
T.M. van Wijngaarden;;;;;1;;;;1
Taal en Teken;;;;;;;;1;1
Taalpartners;;;;;1;;;;1
Taleninstituut Amsterdam;;;;;1;;;;1
Taleninstituut Linguamedia;;;;;2;;;;2
Tapas Bar Restaurant Limon;;;1;;;1;;;1
Tardis B.V.;;;;;4;;;;4
Taribush Uitjes;;;1;;;1;;;1
Taste and Flavor B.V.;;;1;;;1;;;1
Tauro Beheer B.V.;;;1;;;;;;1
Taverna Doris;;;1;;;1;;;1
Taxi Centrale Zeist;;;;;;;;1;1
Taxi Randstad;;;;;;;;1;1
Taxibedrijf Poll;;;;;;;;2;2
Taxibedrijf Shirin B.V.;;;;;;;;1;1
Taxibedrijf Van der Wijst;;;;;;;;3;3
Taxicentrale Waaksma B.V.;;1;;;;;;1;1
taxiutrecht;;;;;;;;1;1
TB Events;;;1;;;;;1;1
TC Management;;;;;1;;;;1
TCR Tours B.V.;;;1;;;;;;1
Teds Den Haag B.V.;;;1;;;;;;1
TeeuwenGroep Sprekersbureau B.V.;;;;;1;;;;1
Tele'Train Education II B.V.;;;;;3;;;;3
Telstar Uitgeverij B.V.;;;;1;;;;;1
Tempelman Bedrijfskleding & Relatiegeschenken;;;1;;;;;;1
Ten Doeschate-de Haas;;;;1;;;;;1
Tennispark Marlot B.V.;;;1;;;;;;1
Tensen, M.A.;;;;;;;;1;1
Tessa Könemann physiotherapy;;;;;1;;;;1
Tezet Business Gifts B.V.;;;1;;;;;;1
The Green Land B.V.;;;;;1;;;;1
The Internet Academy;;;;;1;;;;1
The Learning Cycle B.V.;;;;;1;;;;1
The Mood Managers;;;;;1;;;;1
The Printed Cat;;;1;;;;;;1
The River Café B.V.;;;1;;;;;;1
The Signature of Thai Food;;;1;;;1;;;1
The Tower Family B.V.;;;;;1;;;;1
The Twelve B.V.;;;;;1;;;;1
The Vintage Club;;;;;;;;1;1
Theater Film Café De Lieve Vrouw;;;1;;;;;;1
Theehuis Rhijnauwen B.V.;;;1;;;;;;1
Theo Snijders Total Quality Support B.V.;;;;;1;;;;1
Thijs' Vliegerparadijs;;;1;;;1;;;1
Thimaki B.V.;;;;;1;;;;1
Thuis Toko Mardjantie;;;1;;;1;;;1
Tijdrevolutie B.V.;;;;;1;;;;1
Time-Lines.NL B.V.;;;;;1;;;;1
Timmers, JM;;;;;1;;;;1
Tintelingen B.V.;;;4;;1;1;;;4
TivoliVredenburg;;;1;;;;;;1
Tobago BVBA;;1;;;;;;;1
Tolq Communicatiediensten B.V.;;;1;;;;;;1
Toman Rederij B.V.;;;1;;;1;;;1
Ton Senf Consultancy Partner;;;;;;;;1;1
Tonco Modderman Training & Advies;;;;;1;;;;1
Tony's Chocolonely Nederland B.V.;;;1;1;;;;;1
TOPdesk Nederland B.V.;;;;;1;;;;1
Topgeschenken Nederland B.V.;;;1;;;;;;1
Topscore B.V.;;;;;1;;;;1
TOP-uitje.nl;;;1;;;;;;1
TotalSeat B.V.;;;;;1;;;;1
Totzo! Eten & Drinken;;;1;;;1;;;1
Tourink;;;1;;;;;;1
Tower Leisure B.V.;;;;;;;;1;1
train2work B.V.;;;;;2;;;;2
Trainingsbureau Progressiegericht Werken;;;;;1;;;;1
Traiteur Service S'amuse B.V.;;;1;;;1;;;1
Tranq;;1;;;;;;;1
TRAP Benelux B.V.;;;1;;;;;;1
TRConsult B.V.;;;;;1;;;;1
TreaT;;;1;;;;;;1
Tridata B.V.;;;;;2;;;;2
Trifora B.V.;;;;;1;;;;1
Tripolis;;;;1;;;;;1
Truman Amsterdam B.V.;;;;;1;;;;1
TSM Business School;;;;;2;;;;2
Tubas B.V.;;;;;1;;;;1
Tuinderij De Volle Grond;;;1;;;;;;1
Turner;;;;;2;;;;2
TVHG Budget Randstad II B.V.;;;;;2;;;;2
Tweetal Horeca B.V.;;;1;;;1;;;1
T-Wise B.V.;;;;1;1;;;;2
Twynstra Gudde;;;;;1;;;;1
Uitgeverij Bosma;;;;;1;;;;1
Uitgeverij Kerckebosch B.V.;;;;;1;;;;1
Uitgeverij Studiecentrum Kerckebosch;;;;;1;;;;1
Uitgeverij Verloren B.V.;;;1;;;;;;1
Uitjesbazen B.V.;;;1;;1;;;;1
Ultimate Relatiegeschenken;;;1;;1;;;;1
Umami Restaurant Den Haag B.V.;;;1;;;;;;1
UNB B.V.;;;;;;1;;1;1
Unieke Uitjes.nl;;;1;;;;;;1
Universiteit Twente;;;;;1;;;;1
Universiteit Utrecht;;;;;1;;;;1
University of Western Europe B.V.;;;;;;;;1;1
UNLP B.V.;;;;;1;;;;1
UP Events B.V.;;;1;;;1;;;1
Urban Heart;;;1;;;1;;;1
Userproof;;;;;1;;;;1
Usine Eindhoven B.V.;;;1;;;1;;;1
Utrecht Business School;;;;;1;;;;1
Uw Psychiater B.V.;;;;1;;;;;1
UX Academy B.V.;;;;;1;;;;1
V.O.F. Alpina-van Houweninge & IJsselstijn;;;1;;;;;;1
V.O.F. CIR 'De Chinese Muur';;;1;;;;;;1
V.O.F. De Centrale;;;1;;;;;;1
V.O.F. De Deeltuin;;;1;;;;;;1
V.O.F. de Palatijn;;;1;;;1;;;1
Vaccinatiezorg B.V.;1;;;;;;;;1
Vakmedianet Management B.V.;;;;;1;;;;1
Valerie Kuypers Fotografie;;;1;;;;;;1
Valkenswaardse Omroep Stichting;;;;;1;;;;1
Van Barneveld culinair V.O.F.;;;1;;;1;;;1
Van der Hilst B.V.;;;;;1;;;;1
Van der Hilst Communicatie B.V.;;;;;2;;;;2
Van der Made Voegwerken;;;;;1;;;;1
Van Dijken E-Commerce;;;1;;;;;;1
Van Ede & Partners;;;;;2;;;;2
Van Harte & Lingsma Man. en Organisatie B.V.;;;;;2;;;;2
Van Hemmen & Partners;;;;1;1;;;;1
Van Heugten Tours;;;1;;;;;;1
Van Kampen Assurantiemakelaars B.V.;;;;;;;;1;1
Van Kinsbergen;;;1;;;;;;1
Van Oosterhout B.V.;;;;;1;;;;1
Van Oss & Partners B.V.;;;;;1;;;;1
Van Oss Opleiding Vertrouwenspersoon;;;;;1;;;;1
Van Stockum, Belinfante & Coebergh B.V.;;;1;;;;;;1
Van Straalen, planten en decoraties;;;;;1;;;;1
Van Vlastuin Touringcar B.V.;;;1;;;1;;;1
van Zanten;;;1;;;;;;1
VAT Business B.V.;;;2;;;;;;2
VCK Travel B.V.;;;1;;4;;;6;7
VDV B.V.;;;;;;;1;;1
VDZ Klantenservice B.V.;;;;;1;;;;1
Veerman Transformational Presence;;;;;1;;;;1
Ver. Beh. 19de & Vroeg 20ste Eeuw Cultuurg.;;;;;;;1;;1
Ver. voor Klachtrecht in de publieke sector;;;;;1;;;;1
Verdonck, Klooster & Associates B.V.;;;;;1;;;;1
Verdraaide Organisaties B.V.;;;;;1;;;;1
Vereniging Faculty Club Leiden;;;;;1;;;;1
Vereniging JuristenRijk;;;;;1;;;;1
Vereniging Le Champion;;;;;1;;;;1
Vereniging Nationale Monumentenorganisatie;;;;;1;;;;1
Vereniging PO-raad;;;;;1;;;;1
Vereniging Testnet;;;;;1;;;;1
Vereniging van Nederlandse Kunsthistorici;;;;;;;1;;1
Vereniging voor Bestuurskunde;;;;;1;;;;1
Vereniging voor Credit Management;;;;;1;;;;1
Vereniging voor Onderwijsresearch;;;;;1;;;;1
Vereniging voor Overheidsmanagement;;;;;;;1;;1
Vereniging voor Reclamerecht;;;;;;;1;;1
Verhoog's bakkerij;;;1;;;;;;1
Verhuurbedrijf-Westerhuis B.V.;;;1;;;;;;1
Verkerk Holding B.V.;;;1;;;;;;1
Vermaat Bedrijfshoreca B.V.;;;1;;;;;;1
Vermaat Leisure B.V.;;;1;;;;;;1
Vertus B.V.;;;1;;;;;;1
Verybz;;;;;1;;;;1
Vhic Faculty B.V.;;;;;1;;;;1
Victor de Stuersstichting;;;;;1;;;;1
Vietnamees Chinees Restaurant 'Hock-Sieng';;;1;;;;;;1
Vijlbrief Assessment;;;;;1;;;;1
Villa Famiglia Raimondi B.V.;;;1;;;;;;1
Villa Jongerius;;;;;;1;;;1
Vinbo B.V.;;;;;1;;;;1
VINE Inst. voor Verbindende Communicatie B.V.;;;;;1;;;;1
Vis en Meer B.V.;;;1;;;;;;1
Visio Het Loo Erf;;1;;;;;;;1
Visscher Caravelle B.V.;;;;;;;;1;1
Vitam;;1;1;;1;;;;1
Vive la Vie;;;1;;;1;;;1
ViveleDon B.V.;;;;;1;;;;1
Vlerk producties;;;;;1;;;;1
VNSG Diensten B.V.;;;;;1;;;;1
Voerman Bestuursadvies;;;;;2;;;;2
Voetbalvereniging Door Training Sterk '35;;;1;;;;;;1
Vogellanden, centr. v. Rev.&Bijz. Tandheelk.;;1;;;;;;;1
Volendam Events;;;1;;;;;;1
Voorwaarde B.V.;;;;;1;;;;1
