Leveranciers;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1180 - Reis & verblijfskosten;Eindtotaal
Crazy Beach B.V.;;;;;;;1;1
Crazy Holding;;;;;;;1;1
Creaim B.V.;;;1;;;;;1
Creatability;;;;;;;1;1
Creating Insights University B.V.;;;;;2;;;2
Cremers Pa&R;;;;;;;1;1
Crisicom B.V.;;;;;2;;;2
Crisisplan B.V.;;;;;2;;;2
Cristal Cleaning Zwolle-Zuid;;;1;;;;;1
Croissanterie 'de Snor' Beheer B.V.;;;;;;;1;1
Crosstree;;;1;;;;;1
Crowne Plaza Hotel Maastricht;;;;;;;1;1
CS Opleidingen B.V.;;;;;1;;;1
CS Trainingen en Opleidingen B.V.;;;;;1;;;1
CSU B.V.;;;3;;1;;;3
CTG Aesus B.V.;;;;;1;;;1
CTMabc;;;1;;;;;1
Cubania Nederland;;;1;;;;;1
Cucina Casalinga;;;1;;;;;1
Cucina Chanti B.V.;;;1;;;;;1
Cuisine Royale B.V.;;;1;;;;;1
Culpepper B.V.;;;;;;;1;1
Cultuur Hippie;;;;;;;1;1
Cum Laude Coaching & Advies;;;1;;;;;1
CURA Advies & Training B.V.;;;1;;1;;;1
CURA Safety Solutions B.V.;;;;;1;;;1
Cure & Care Development B.V.;;;;;1;;;1
Curry's Group B.V.;;;;;;;1;1
Cursor voor Ondernemingsraden B.V.;;;;;1;;;1
Cycle and the City;;;1;;;;;1
CZ Groep Zorgverzekeraar;;;5;;2;;;5
D & I Ondersteuning in opleiding en adv. B.V.;;;;;;;1;1
D&B Mobility B.V.;;;;;;;1;1
D&G Veldhoen Catering;;;1;;;;;1
D. Braun B.V.;;;;;1;;;1
D. de Nobel;;;;;;;1;1
D.P. Breda 1 B.V.;;;;;;;1;1
D.P. Productions;;;1;;;;;1
DA Drogisterij-Parfumerie Boeve;;;1;;;;;1
Da Gianfranco B.V.;;;;;;;1;1
Da Lina Lunchroom;;;;;;;1;1
Da Mauro;;;;;;;1;1
Da Pizza Den Bosch B.V.;;;1;;;;;1
Da Vinci B.V.;;;;;;;1;1
Déhora Consultancy Group B.V.;;;;;2;;;2
daadkrachtNU;;;;;1;;;1
Daan exploiteert B.V.;;;;;1;;;1
Dacajami B.V.;;;;;1;;;1
Dagelijks Lekker B.V.;;;1;;;;1;1
DakAkker;;;1;;;;;1
Dalstra Reizen;;;;;;;1;1
Dames & Heren Culinair Cafe;;;;;;;1;1
Damesmode Shopping B.V.;;;1;;;;;1
DamstÃ© advocaten - notarissen;;;2;;;;;2
Daphne Smit Awareness Consultancy;;;;;1;;;1
DASC B.V.;;;;;1;;;1
DASMO-TPAST B.V.;;;;;2;;;2
DataExpert B.V.;;;;;2;;;2
David Bernstein Forensic Consulting;;;;;1;;;1
Davis Consulting;;;;;1;;;1
DBA Legal B.V.;;;;;1;;;1
DBC ReÃ¯ntegratie B.V.;;1;;;;;;1
DBS Maaitechniek B.V.;;;;;;;1;1
DDACT Training & Advies;;;;;;;1;1
De 4 Azen' 's-Hertogenbosch B.V.;;;1;;;;1;1
De 4 Kolommen Cheng;;;;;;;1;1
De Academy B.V.;;1;;;1;;;1
De agressietrainers Nederland;;;;;2;;;2
De Akkerdistel,Prakt. v. opl., superv.&(l)th.;;;;;1;;;1
De Apostelhoeve;;;1;;;;;1
De Appel B.V.;;;;;;;1;1
De Baak Administratie;;;;;2;;;2
De Baak B.V.;;;1;;5;;1;5
De Ballentent;;;;;;;1;1
De Ballonnenwinkel;;;;;;;1;1
De Bazar Amsterdam B.V.;;;;;;;1;1
De Bazar B.V.;;;1;;;;1;1
De Beech Tree;;;;;1;;;1
De Beeksehoeve;;;1;;;;;1
De Bel Psychologen;;;;;1;;;1
De Belgische Keizer B.V.;;;;;;;1;1
De Beren Heenvliet B.V.;;;1;;;;;1
De Beren Holding B.V.;;;1;;;;1;1
De Bierelier B.V.;;;1;;;;1;1
De Bierkelder Utrecht;;;1;;;;1;1
De Bistro Compagnon's;;;;;;;1;1
De Bloemenhoek;;;1;;;;;1
De Blokhut Feesten & Activiteiten;;;1;;;;;1
De Boeketterie Bloembinderij;;;1;;;;;1
de Boer personenvervoer;;;;;;;1;1
De Boerinn B.V.;;;1;;;;;1
De Bonte Haas B.V.;;;1;;;;;1
De Booij Party- en Congresarchitekten;;;1;;1;;;1
De Boom Alkmaar B.V.;;;;;;;1;1
De Bossche Kelders;;;;;;;1;1
De Bourgondier;;;;;;;1;1
De Bouwvaart;;;1;;;;;1
De Branderij B.V.;;;;;;;1;1
De Branding Utrecht B.V.;;;1;;;;1;1
De Brasserij Partycentrum;;;;;1;;;1
De Brauw Blackstone Westbroek N.V.;;;;;;;1;1
De Broadtsje Bakker;;;1;;1;;1;1
De Buik van Parijs;;;1;;;;1;1
de Buren (Apeldoorn) V.O.F.;;;;;;;1;1
De Burgemeester van Napels;;;1;;;;;1
De Colonie Houten B.V.;;;1;;;;;1
De Corenmaet B.V.;;;1;;;;;1
De Correspondent B.V.;;;;;1;;;1
De Cultuurboerderij;;;1;;;;;1
De Doelen;;;2;;;;;2
De Doffer;;;;;;;1;1
De Drie Biggetjes;;;1;;;;;1
De Drie Geboden B.V.;;;;;;;1;1
De Drie Graefjes B.V.;;;1;;;;1;1
De Droomfabriek;;;1;;1;;;1
De Drukkerij B.V.;;;1;;;;;1
De Efteling B.V.;;;3;;;;1;3
De Elft Grave B.V.;;;;;;;1;1
De Engel, CafÃ©-Restaurant B.V.;;;1;;;;;1
De Euforij chocolade B.V.;;;1;;;;;1
De Firma B.V.;;;;;;;1;1
De Fleurist;;;1;;;;;1
De Gaffel;;;;;;;1;1
De Galan Groep B.V.;;;2;3;2;;;4
de galan school voor training;;;;;1;;;1
De Gastheer B.V.;;;;;;;1;1
De Gastronoom;;;;;;;1;1
De Gebroeders Kroon;;;1;;;;;1
De Geinbrug;;;;;1;;1;1
De Gelagkamer Waterfront B.V.;;;1;;;;;1
De Gereghthof B.V.;;;2;;;;1;3
De Gezonde Zaak B.V.;;1;1;;1;;;1
De Gouden Stek;;;1;;;;;1
De Gouden Wok Zuiderpark;;;1;;;;;1
De Graaff Loopbaanadvisering, Train. & Coach.;;;;;;;1;1
De Grachthof B.V.;;;1;;;;;1
De Graven Esch Vitaliteit B.V.;;2;;;;;;2
De Grenadier interieur & wijn;;;;;1;;;1
De Grillspecialist;;;1;;;;;1
De Groot Lpmw Lasinstituut;;;;;1;;;1
De Grote Keizer B.V.;;;1;;;;1;1
De Gruntehoof V.O.F.;;;;;;;1;1
De Haagse Gravin;;;1;;;;;1
De Hagen B.V.;;;;;1;;;1
De Handcoach;;;1;;;;;1
De Haselderhof;;;;;;;1;1
De Haven van Texel;;;1;;;;;1
De Heeren in Loenen;;;;;;;1;1
De Heeren Van Leeuw;;;;;;;1;1
De Heeren van Rijen;;;;;;;1;1
De Heeren van Soetermeer;;;;;;;1;1
De Heische Hoeve B.V.;;;;;1;;;1
De Hiemel B.V.;;;1;;;;;1
De Hofnar Scheveningen B.V.;;;1;;;;1;1
De Hoofdtrainer B.V.;;;2;;2;;;2
De Horeca Academie Zakelijk B.V.;;;1;;;;;1
De HumorGroep;;;;;2;;;2
De Japanse Watertuin B.V.;;;1;;;;1;1
De Jong tentenverhuur;;;1;;;;1;1
De Jonge Sport;;;1;;;;;1
De Jufferen Lunsingh V.O.F.;;;1;;;;1;1
De Juristerij;;;;;1;;;1
De Kale Pater B.V.;;;;;;;1;1
De KASerne B.V.;;;;;;;1;1
De Kersenbloesem;;;;;;;1;1
De Keuken van Tante Cornelia;;;1;;;;;1
De keuken van Thijs;;;1;;;;;1
De Kleine Brouwketel;;;1;;;;;1
De Kleyne Sint Jacob;;;1;;;;1;1
De Kloveniersdoelen B.V.;;;;;1;;;1
De Klub;;;1;;;;;1
De Kluis Eten & Drinken B.V.;;;;;;;1;1
De Knegt & Leeflang B.V.;;;3;;;;;3
De Koekop;;;1;;;;;1
De Koff Entertainment;;;1;;;;;1
De Koning Mediation;;;;;2;;;2
De Kontekst;;;;;1;;;1
De Kookfabriek Den Haag B.V.;;;1;;;;;1
De Kookfabriek Utrecht B.V.;;;1;;;;;1
De kookstudio van Zwolle;;;1;;;;;1
De Koperen Tuin B.V.;;;1;;;;;1
De Korenbeurs Utrecht B.V.;;;1;;;;1;1
De Kort Catering B.V.;;;2;;;;;2
De Kraak Actief;;;1;;;;;1
de Kwaak;;;;;;;1;1
De Kwast B.V.;;;1;;;;;1
De la Soul B.V.;;;;;;;1;1
De Lachende Koe II B.V.;;;1;;;;1;1
De Lachende Vis;;;;;;;1;1
De Landing;;;1;;;;;1
De Lantaarn B.V.;;;1;;;;;1
De Lantaern Holding B.V.;;;1;;1;;;1
De Linde Coaching;;;1;;1;;;1
De Maaspoort;;;;;;;1;1
De Mastworp;;;1;;;;;1
De Meerplaats;;;;;;;1;1
De Meesterproef;;;1;;;;;1
De Menselijke Maat;;;;;;;1;1
De Mexicaan;;;1;;;;;1
De Mol EU Law;;;;;1;;1;1
De Nationale Theaterkassa B.V.;;;1;;;;;1
De Nederlandse Fotovakschool;;;;;1;;;1
De Nieuwe Kracht B.V.;;;2;;;;;2
De Nieuwe Liefde B.V.;;;1;;;;;1
De Nieuwe Pelgrim;;;2;;2;;;2
De Nieuwenhof;;;1;;;;;1
De Nonnen in Vught;;;;;3;;;3
De Onlanderij;;;1;;;;1;1
De Ontmanager;;;1;;1;;;1
De Ontmoeting & El Saludo B.V.;;;1;;;;;1
De Ooievaar Beheer;;;;;;;1;1
De Otter Horeca B.V.;;;1;;;;;1
De Oude Herbergh B.V.;;;1;;;;;1
De Oude Rechtbank B.V.;;;;1;;;;1
De Paerssjtal;;;;;;;1;1
De Papegaai advies;;;1;;;;1;1
De Partyhut B.V.;;;;;;;1;1
De Passant;;;1;;;;;1
De Pastorie;;;;;;;1;1
De Peer Horeca B.V.;;;;;;;1;1
De Pensioenexpert;;;;;1;;1;1
de Persgroep Nederland B.V.;;;1;;;;;1
De Pier B.V.;;;1;;;;;1
De Pier Horeca B.V.;;;1;;;;;1
De Pont B.V.;;;1;;;;;1
De Poort van Lunetten B.V.;;;1;;;;1;1
De Presentatie Groep B.V.;;;;;1;;;1
De PreventieCoach;;;;;1;;;1
De Prins B.V.;;;1;;;;;1
De Processpecialisten B.V.;;;;;1;;;1
De Professionals B.V.;;;;;;;1;1
De Pudding;;;;;;;1;1
De Rede van Batavia Haven B.V.;;;1;;;;1;1
De Regenboogpartners;;;;;1;;;1
De Ridder B.V.;;;1;;1;;;1
De Rijtuigenloods B.V.;;;;;3;;;3
De Ritsz Alkmaar B.V.;;;1;;;;1;1
De Rob & Joep B.V.;;;1;;;;;1
De Roode Leeuw B.V.;;;1;;;;1;1
De Roodrunner;;;1;;;;;1
De Roofvogelboerderij;;;1;;;;;1
De Rooij Peper;;;;;;;1;1
De Rosier Vught B.V.;;;1;;;;1;1
De Rotterdam B.V.;;;1;;;;;1
De Ruggestee B.V.;;;1;;;;;1
De Ruif B.V.;;;2;;;;1;2
De Ruijsscher Broodjes thodn Subway Dordrecht;;;;;;;1;1
De Saladetuin' Catering;;;1;;;;;1
De Sallandse Berg B.V.;;;;;1;;;1
De Schenker B.V.;;;2;;;;;2
De Seedykstertoer;;;1;;;;;1
De Sjees;;;1;;;;;1
De Sleutel Culinair B.V.;;;;;;;1;1
De 's-Limmerick B.V.;;;;;;;1;1
De Smidse 's-Hertogenbosch B.V.;;;1;;;;;1
De Smulhoeve Holding B.V.;;;;;;;1;1
De Staat Arnhem;;;1;;;;1;1
De Staffing Groep Nederland B.V.;;;;4;;;;4
De Stee;;;1;;;;1;1
De Sterke Punten;;;;;1;;;1
de Struverij;;;1;;;;;1
De Succesvolle Introvert;;;1;;;;;1
De Taalcoach;;;;;1;;;1
De Taart van Tonny;;;1;;;;;1
De Theaterloods Radio Kootwijk B.V.;;;1;;;;;1
De Tijd;;;;;;;1;1
De Tijd' Bedrijfskleding;;;1;;;;;1
De Tijdstroom Uitgeverij B.V.;;;1;;;;;1
De Toekomstbus;;;;;1;;;1
De Trainingsvijver Amsterdam B.V.;;;;;1;;;1
De Truffel B.V.;;;1;;;;;1
De Turkse Tafel;;;1;;;;;1
De Uitdaging;;;1;;;;;1
De Utrechtse Haven B.V.;;;1;;;;1;1
De Utrechtse Watertoren B.V.;;;1;;;;1;1
de Veranderkwestie;;1;;;1;;;1
De Verandermotor;;;;;1;;;1
De Veranderzaak;;;1;;2;;;2
De Verbeelding B.V.;;;1;;;;;1
De Vermeerderde Kwart B.V.;;;1;;;;1;1
De Verrassingsmand;;;1;;;;;1
de Viersprong;;;;;1;;;1
De Vischpoort Exploitatiemaatschappij B.V.;;;1;;;;;1
De Vliegende Hollander;;;1;;;;;1
De Vogel Horecabeheer B.V.;;;1;;;;;1
De Voorhoede B.V.;;;;;1;;;1
De Voort Advocaten | Mediators;;;;;2;;;2
De Vos & Partners Advocaten N.V.;;;1;;;;;1
De VR Arcade B.V.;;;1;;;;;1
De Vreugd Consultancy;;;1;;;;;1
De Vrienden van de Burgemeester;;;;;;;1;1
De Vroolijke Frans B.V.;;;1;;;;;1
De Vughtse Wijnkoperij;;;1;;;;;1
De Waagh 1612 Nijmegen B.V.;;;1;;;;;1
De Walvisch Catering B.V.;;;;;;;1;1
De Waterreus;;;;;;;1;1
De Watertuin Hendrik-Ido-Ambacht B.V.;;;1;;;;;1
De Watertuin Schiedam B.V.;;;1;;;;;1
De Watertuin Spijkenisse B.V.;;;1;;;;1;1
De Weistaar' Kaasmuseum, Partijboerderij;;;1;;;;;1
de Wereld van Lizz B.V.;;;1;;;;;1
De Werf Veere B.V.;;;;;;;1;1
De Werkschuur loopbaanbegeleiding en coaching;;;;;1;;;1
De werktuin;;;1;;2;;;2
De Westlandse Tuin Amelandseplein;;;1;;;;;1
De Wijnhuistoren B.V.;;;1;;;;1;1
De Wildenberg Exploitatie B.V.;;;1;;;;;1
De Wilgenweard;;;1;;;;;1
De Winkel van Sinkel B.V.;;;1;;;;1;1
De Witte Brug;;;;;;;1;1
De Witte Leeuw Breda B.V.;;;;;;;1;1
de Witte Raaf - Rutger J. van der Gaag R.O.C.;;;;;1;;;1
De Wolf Training & Advies;;;;;;;1;1
De Zandbank;;;1;;;;;1
De Zandkamer;;;;;;;1;1
De Zoete Inval B.V.;;;1;;;;1;1
De Zwarte Ruiter op 't Witte Paart;;;;;;;1;1
Debat.NL B.V.;;;;;1;;;1
Debatrix;;;;;2;;;2
Decoma;;;1;;;;;1
Decos Software Engineering B.V.;;;;;1;;;1
DeepNext;;;1;;;;;1
Defabrique Evenementen B.V.;;;4;;1;;1;4
Defence Academy;;;;;;;1;1
Defensivetactics;;;;;1;;;1
Deinende Wijnen;;;1;;;;;1
Deinum's Catering & Party-Service;;;1;;;;;1
Dekker Zoetermeer;;;1;;;;;1
Deko Personeel B.V.;;;;;;;1;1
DEKRA Certification B.V.;;;;;1;;;1
Dekxels B.V.;;;1;;;;;1
deLex B.V.;;;;1;;;;1
deLex Media en Management B.V.;;;;;1;;;1
Delflandhoeve;;;1;;;;;1
Delft Congress Support B.V.;;;1;1;2;;;2
Delibera Moreel Beraad Training;;;;;;;1;1
DeLimes B.V.;;;;;1;;;1
Delissen Martens Advocat. en Belast.adv.;;;1;;;;;1
Della Casa Italiana;;1;;;;;;1
Deloitte Consulting B.V.;;;;3;;;;3
Deloitte Group Support Center B.V.;;;;;1;;;1
Deloitte Risk Advisory B.V.;;;;;2;;;2
Delphi;;;;;;;1;1
Delta International Promotioneel B.V.;;;3;;;;;3
Demo-Advies B.V.;;;1;;;;;1
Demo-Design;;;1;;;;;1
Den Besten Kerst- en Relatiegeschenken B.V.;;;1;;;;;1
Den Bosch Evenementen B.V.;;;1;;;;;1
Den Draeck;;;1;;;;;1
Den Hartog & van Heijst;;;2;;2;;;3
Den Witten Haen;;;;;;;1;1
Dendy B.V.;;;1;;;;;1
Denk Producties B.V.;;;;;2;;;2
Dennis Cooking Place;;;1;;;;;1
Dennis V.O.F.;;;1;;;;;1
Denny's Toko;;;;;;;1;1
Dental Best Practice B.V.;;;;;1;;;1
Department of the Future B.V.;;;1;;;;;1
Derde boom links;;;;;1;;;1
Derde Zaak B.V.;;;1;;;;;1
Derks & Derks B.V.;;;;;2;;;2
DeRuimte B.V.;;;;;1;;;1
DeSeizoenen B.V.;;;1;;;;;1
DESIGN8 B.V.;;;;;1;;;1
DesignThinkers B.V.;;;;;1;;;1
Deskbookers B.V.;;1;1;;;;1;1
Detrainingen.nl B.V.;;;;;1;;;1
Deventer Ziekenhuis;;;;;;;1;1
Devoteam Nederland B.V.;;;;2;;;;2
Dewi SRI Westerkade B.V.;;;;;;;1;1
Dex Partyrent V.O.F.;;;2;;;;;2
DFG;;;1;;1;;;1
DHL International B.V.;;;1;;;;;1
D'Hondt Training & Consultancy;;;;;;;1;1
Diaconale Stichting Gevangenenzorg 'De Sluis';;;;1;;;;1
Dialexis Advies B.V.;;;;;2;;1;2
Dialogis;;;;;2;;;2
Dialogue B.V.;;;1;;;;;1
DialogueTrainer B.V.;;;;;2;;;2
Diane Bos;;;;;1;;;1
Dianne Habraken - richting resultaat;;;;;1;;1;1
Dianne Kragt;;;;;;;1;1
Dickens Horecabedrijven B.V.;;;1;;;;;1
Dieckse Heeren B.V.;;;;;;;1;1
Diederen Konstruktie B.V.;;;1;;;;;1
Diemen & Van Gestel Select B.V.;;;;;1;;;1
Dierenpark 'Amersfoort' B.V.;;;;;2;;;2
DiEx B.V.;;;;;1;;;1
Diggels Oud Beijerland B.V.;;;1;;;;;1
DigiLeren B.V.;;;;;1;;;1
Digital Action;;;;;1;;;1
Digitransfer B.V.;;;1;;;;;1
Dijkers;;;;;1;;1;1
Dijkos B.V.;;;1;;;;;1
Dikke Punt Ontwerp & Illustratie;;;1;;;;;1
Dille & Kamille (Nederland) B.V.;;;1;;;;;1
Dinee Cafe De Kempen;;;;;;;1;1
Diner CafÃ© Soestdijk B.V.;;;;;;;1;1
Diner Thuis;;;;;;;1;1
DinercafÃ© Diep;;;;;;;1;1
Dinerspel.nl;;;;;;;1;1
Dining Plaza;;;;;;;1;1
Dining56;;;1;;;;;1
DIOR Opleidingen;;;;;2;;;2
Direct2Improve B.V.;;1;;;3;;;3
Dirksen Schoonmaakartikelen B.V.;;;7;;1;;;7
Discours HPO;;;;;2;;;2
Discovery Light;;;1;;;;;1
Dish B.V.;;;;;;;1;1
Disruptors;;;1;;;;;1
Diversey B.V.;;;;;2;;;2
DIVERSION Holding B.V.;;;2;;2;;;3
Dizain B.V.;;;;;1;;;1
DJ D*Star;;;1;;;;;1
DJ School Amsterdam;;;;;1;;;1
Djoj B.V.;;;1;;;;;1
Dnn Verhuur;;;1;3;;;1;3
Docendo B.V.;;;;;1;;;1
Dodona B.V.;;;;;1;;;1
Doeke Visser;;;;;;;1;1
Doenederland.nl B.V.;;;2;;;;;2
Does training & advies;;;1;;1;;;1
DOK 28 B.V.;;;1;;;;;1
Dok 99 Vlaardingen B.V.;;;1;;;;;1
Dokkumer Vlaggen Centrale B.V.;;;1;;;;;1
Dolfinarium Harderwijk B.V.;;;;;;;1;1
Domino's Pizza Den Haag;;;;;;;1;1
Domino's Pizza Oude Haagweg B.V.;;;;;;;1;1
Domino's Pizza Torenstraat;;;;;;;1;1
Domino's Pizza Utrecht 2;;;;;;;1;1
Domkerk Winkel;;;;;1;;;1
Domstad Evenementen B.V.;;;1;;;;1;1
Domstad Mobiliteit B.V.;;;;;;;1;1
Don van Hout Fotografie;;;1;;;;;1
Donatella Horeca B.V.;;;1;;;;;1
Donatello's;;;1;;;;;1
Doncurado;;;1;;;;1;1
D�nerland;;;1;;;;;1
Doornbosch Management Consultancy;;;;;1;;;1
Doorwerth Coaching & Consulting;;;;;1;;;1
Doorwerth Groep B.V.;;;;;2;;1;2
Dordts Genoegen;;;;;;;1;1
Dordts Wonen;;;1;;;;1;1
Dorenbos Vervoer Management B.V.;;;;;;;1;1
Dotlegal;;;;;1;;;1
Double B Bar & Kitchen;;;1;;;;1;1
Double Healix Lead.ship Educat. And Dev. B.V.;;;;;2;;;2
Douma Staal B.V.;;;;;1;;;1
Down Under Horecaexploitatie B.V.;;;2;;;;1;2
DOZW behandeling en coaching;;;1;;;;;1
DPB Groep;;;;;1;;;1
DPI Animation House B.V.;;;;;1;;;1
Dr. J. van der Knoop, decision support;;;;;;;1;1
DrÃ¤ger Nederland B.V.;;;;;1;;;1
Dragon Chen B.V.;;;1;;1;;;1
Dranken Service AndrÃ© Knol B.V.;;;;;;;1;1
Drankenhandel Degen;;;1;;;;;1
Drankenhandel J. Veldboer B.V.;;;;;;;1;1
Drankenspeciaalzaak Ton Overmars;;;1;;;;;1
Drentea Kantoormeubelen;;1;;;;;;1
Dressed by Irma;;;;;1;;;1
Dressme Clothing;;;1;;;;;1
Drieharing B.V.;;;1;;;;1;1
Drieharing Twee B.V.;;;;;;;1;1
Driessen B.V.;;1;4;2;;;1;4
Driessen Restaurants B.V.;;;;;;;1;1
Drink en Eetlokaal Proefverlof B.V.;;;1;;;;1;1
Drone Flight Academy B.V.;;;;;1;;;1
Drost Fotografie;;;1;;;;;1
Drs. A.H. Mertens;;;;;;;1;1
Drs. G.J. v.d. Spek Comm.train. & Tekstadv.;;;;;1;;;1
Drs. Grootendorst, Pr. Gestalt- & Psychother.;;;;;1;;;1
Drukkerij Het Snorretje;;;1;;;;;1
DSH Domburg Sportprijzen Holland/Promopin.nl;;;;;1;;;1
DSR Food Vianen eo;;;;;;;1;1
DT&L;;;;;;;2;2
DTS Veiligheidsopleidingen B.V.;;;;;1;;;1
Du Nord Rijwielen B.V.;;;1;;;;;1
Ducktrail B.V.;;;1;;;;;1
Dudok Arnhem B.V.;;;;;;;1;1
Dudok Den Haag B.V.;;;1;;;;1;1
Dudok Vicini Arnhem B.V.;;;;;;;1;1
Duikschool Big Bubbles;;;1;;;;;1
Dujos Almelo;;;1;;;;1;1
Dununba Percussie Workshops;;;1;;;;;1
Dusecon;;;;;1;;;1
Dutch Brothers Toys;;;1;;;;;1
Dutch Events B.V.;;;1;;;;;1
Dutch Hunting Falcons;;;1;;;;;1
Dutch Marines Rowing Challenge;;;;;1;;;1
Dutch Pinball Museum;;;1;;;;;1
Dutch T.T. Assen;;;1;;;;;1
Dutch Woundcare Consultant Society;;;;;1;;;1
DutchTrainingProfessionals B.V.;;;;;1;;;1
Duurzaam Inzetbaarheid Centrum;;;;;2;;;2
DVLP Advocaten B.V.;;;;;;;1;1
Dynamo B.V.;;;1;;;;;1
E & R Opleidingen B.V.;;;;;1;;;1
E. Schut Acupunct./Orthomoleculair PNI adv.;;;;;;;1;1
E.E. Metselaar Beheer B.V.;;;;;1;;;1
E.G. Rijkers hodn Intertoys;;;1;;;;;1
E.J.H. Reitsma Advocaten Praktijk B.V.;;;1;;;;;1
E.L. Cravatte B.V.;;;1;;;;;1
E.M.J. Muller B.V.;;;;;1;;2;2
E.M.M. Mol, Psychiater;;;;;;;1;1
E.ON Benelux Levering B.V.;;;;;;;1;1
E-Art;;;1;;;;;1
Eastern Plaza Bentelo B.V.;;;;;;;1;1
Easy Actors B.V.;;;;;2;;;2
Easy Way B.V.;;;;;;;1;1
Eat Your Heart Out;;;1;;;;1;1
Eazie Den Haag II B.V.;;;1;;;;;1
Ebbers Juridisch Advies;;;;;;;1;1
Ecabo Services;;;;;1;;;1
ECDL Nederland;;;;;1;;;1
ECHOS Home Baan Zulu;;;1;;1;;1;2
Ed/Bet B.V.;;;;;1;;;1
Eddy Lassche;;;;;;;1;1
Edelstomerij en -Wasserij Miedema B.V.;;;1;;;;;1
E-Democracy B.V.;;;2;;2;;;3
Eden Oranje Hotel B.V.;;;;;;;1;1
Edenred Nederland;;;1;;;;;1
Eduact B.V.;;;;;1;;;1
Edulaw;;;;;2;;;2
Edu-Line;;;;;1;;;1
Edunoord B.V.;;;1;;1;;;1
Eduvision B.V.;;;;;1;;;1
Eduvita;;;1;;1;;;2
Edwin de Wit;;;;;1;;;1
Edz;;;1;;;;;1
Eefje B.V.;;;;;;;1;1
Eendracht Bedrijvenadvies B.V.;;;;1;;;;1
Eenhoorn Fotografie;;;1;;;;;1
Eenkhoorn FinanciÃ«le Dienstverlening B.V.;;;1;;;;;1
Eerste Ned. Talenpraktikum Amsterdam (ENTA);;;;;1;;;1
Eet & Bierlokaal Aogse Markt;;;;;;;1;1
Eet- en Drinklokaal D'n Brouwer;;;;;;;1;1
Eet- en koffiehuis de Kiosk;;;;;;;1;1
Eetablissement Het Gerecht;;;1;;;;;1
Eetcafé 1837;;;;;;;1;1
EetcafÃ© Bar de Babbel;;;;;;;1;1
EetcafÃ© De Blauwe Engel;;;1;;;;;1
EetcafÃ© Hemingway;;;1;;;;;1
EetcafÃ© Klinkklaar;;;;;;;1;1
EetcafÃ© Mej. Janssen;;;1;;;;;1
Eetcaf� 12 Ambachten;;;1;;;;;1
Eetcafe De Beurs;;;;;;;1;1
Eetcafe De Kleine Prins B.V.;;;;;;;1;1
Eetcafe 'De Ruif';;;;;;;1;1
Eetcaf� het leven;;;1;;;;;1
Eetcafe 'La Bota';;;1;;;;;1
Eetcafe Rico;;;1;;;;;1
Eetcafe Spinoza;;;1;;;;;1
Eetcafe 't Keershuys;;;1;;;;1;1
Eeterij De Engel;;;1;;;;;1
Eeterij het Wapen van Kattuk;;;1;;;;;1
Eethuis 'De Stoeterij';;;;;;;1;1
Eethuis Taytay;;;1;;;;1;1
EETIT;;;1;;;;;1
Eetkamer op de Proef;;;1;;1;;;1
Eet-Villa Van den Brink;;;;;;;1;1
Eetwaar;;;;;;;1;1
Eetze Yin B.V.;;;1;;;;;1
Efence;;;1;;;;;1
Effectivents;;;;;1;;;1
Effectory B.V.;;2;2;;2;;;4
Effectyf B.V.;;;1;;1;;;1
Efficient Hotel Partner B.V.;;;;;2;;;2
EGGM B.V.;;;;;2;;;2
Egmond Communicatie;;;;2;;;;2
EHBO-Midden Nederland;;;1;;;;;1
EHM Hotel Almere Exploitatiemaatschappij B.V.;;;1;;;;1;1
EHM Hotel Breda B.V.;;;;;;;1;1
EHM Hotel Hulshorst De Beyaerd Expl.mij. B.V.;;;1;;;;;1
EHS crew;;;1;;;;;1
Eindhoven247 B.V.;;;1;;;;;1
Eindtotaal;4;7;9;7;9;3;10;11
Ekelmans & Meijer Advocaten;;;;;;;1;1
El Borracho B.V.;;;;;;;1;1
El Maestro B.V.;;;;;;;1;1
El Mundo de las Tapas;;;1;;;;;1
El Niño B.V.;;;1;;;;;1
El Olivo;;;1;;;;1;1
El Qatarijne;;;;;;;1;1
El Sombrero B.V.;;;;;;;1;1
El Zorro;;;;;;;1;1
Elabo B.V.;;;1;;;;;1
Elan Arbeidsinterventie;;;;;1;;;1
Elbert Fiscaal;;;;;1;;;1
Elbo Tours B.V.;;;;;;;1;1
Electric Tours B.V.;;;1;;;;;1
Eleftheria B.V.;;;1;;;;;1
Elgran B.V.;;;1;;;;;1
Elke dag een stukje wijzer;;;;;1;;;1
ELLA Zwolle;;;;;1;;;1
Ellen Janse Training & Councelling;;;;;1;;;1
Ellen van Wissen Personal Coaching;;1;;;1;;;2
Elly van Zadelhoff B.V.;;;1;;;;;1
Elrafid1;;;;;;;1;1
Els Boek Zuiderburen B.V.;;;1;;1;;1;1
Elvenstone Networks;;;1;;;;;1
Elycio B.V.;;;;1;1;;;1
Elycio Talen B.V.;;;;;4;;;4
Elzinga Catering;;;;;;;1;1
EMDR Kind en Jeugd;;;;;1;;;1
Emerce B.V.;;;;;1;;;1
