Handelsnaam;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;3000 - Uitbesteden overig;3110 - Uitbesteden organisatie- en formatieadviesopdrachten;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatieadvies;3140 - Uitbesteden juridisch adviesopdrachten;3150 - Uitbesteden automatiseringsadvies;3160 - Uitbesteden accountancy en financien;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;5110 - Verblijf extern;5210 - Wagenpark;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;8110 - Vakliteratuur, abonnementen en overige informatie;8210 - Vertaaldiensten;8310 - Relatiegeschenken niet voor eigen personeel;8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;9570 - OCW specifiek;Eindtotaal
Brasserie Archipel B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Brasserie Groen;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Brasserie Soho B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Brasserie 't Zusje Scheveningen B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Brasserie 'UP' B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Brazzerie Abrona;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Break Free Fun Company;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Break-Out Gruno Park B.V.;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Breakout Rotterdam;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Breeland;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Breinwerk B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Brenda van Leeuwen Fotografie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Brens Advocaten B.V.;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Breur IJzerhandel Ceintuurbaan;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;;;;1
Brezo-Elan B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bridge Entertainment Group;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Bright Events;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Brinkhuis Management & Advies B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Brinkie B.V.;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Brisk ICT B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;1;;;;;;;;;;;1
Bristol Coatings Holland B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1
Brodies;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Broekema.Nielsen Notarissen N.V.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bron-it;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1
Brood & Banketbakkerij Prins B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Brooke Institute B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Brouwerij Pronck;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Brugman Dive & Technics;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bruker Nederland B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;1;;;;;;;;;;2
Brunel Nederland B.V.;;;;;;1;;;;2;;;;;;;;;;;;;;;;;;;;;7;;;2;;;;;;;;;;;7
Bruns B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Brussels Lof;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
BSA Schaderegeling B.V.;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1
BSDV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
BSI Group The Netherlands B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
BTC Mediatest B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2
BTL Realisatie B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;1
Buckshot;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Budget Rent a Car;;;;;;;;;2;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;2
Budgetcam;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Buist Secretariaat B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
BuitenBusiness B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1
BuitenhekPlus;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Bukman Management;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Bunker 8 Audiovisuals;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Buntmedia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Bureau;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bureau BlauwGeel B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Bureau Bouwcoördinatie Nederland B.V.;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Bureau Ivon;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bureau Mens&Groen;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Bureau Paradox B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bureau Roetemeijer;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Bureau Spraakwater;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bureau Teppema;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bureau Tromp B.V.;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Bureau Van Vliet Vastgoed B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bureau Veritas Industrial Services;;;;;;1;;;;1;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Bureau Volk!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Bureau voor Beeldzaken;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bureau voor Interculturele Evaluatie B.V.;;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;7
Bureau Voor Noordelijke Gemeenten B.V.;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;3
Bureau voor Overheidscommunicatie B.V.;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Bureau Zuidema B.V.;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
Bureau Zuidema Learning Solutions B.V.;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Burn Out Poli;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Buro Bombarie;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Buro Brans;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Buro Do;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Buro Venekamp;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
BURO38;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Business Openers B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Buyitdirect.Com N.V.;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;1
BvanE Zoetermeer B.V.;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;1
BVO Opleidingen B.V.;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
By Charelle;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Bys Hosting B.V.;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;1
Byte B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1
C. Stapel B.V.;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
C. van der Ven;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
C.A.L. Holding B.V.;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
C.G. Holthausen B.V.;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1
C.G. Invest B.V.;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
C.I.C. Company B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
C.J.M. de Vos;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
C.J.M. Schoenmakers;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
C.W. Beheer B.V.;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
C.W. van de Velde B.V.;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Cadeau Company;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Cadre D'or Beheer B.V.;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Caesar Groep Rotterdam B.V.;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;2
Café Boonstra;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café De Bres;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café De Huiskamer;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café de Kale Jonker;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café de Klikspaan B.V.;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1
Café De Minnaar;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café De Sigaar;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café 'De Tap';;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café Haags Filmhuis;;;;;;;1;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café Kachel Groningen;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café NAi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;2;;2
Café Restaurant De Biechtstoel;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café Restaurant Easy Dinner;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café Restaurant Merz;;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café Restaurant Rootz B.V.;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Cafe Restaurant Vandaag B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Café Singelier;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café Toeters en Bellen;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Cafe/Restaurant De Eeuwige Jachtvelden;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Café-Restaurant Amier;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
CAI-Opleidingen B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Caitlin Sas Photography;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1
Camerik Voortman B.V.;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Camiel Corneille;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Camperville;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Can you imagine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2
Canal Company B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Canon Nederland N.V.;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;1;4;1;1;1;;1;;;;;;;;;;;4
Cantine Service;;;;2;;;;;;;;;;;;;3;;;;;;;;;;;;;;1;;;;;;;;;;;;;;3
Capgemini Nederland B.V.;;;;;;2;;;;1;;;;;;;;;;;;;;;;;;;;;8;1;;6;;;;;;;;;;;8
Capricio;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Card Vision B.V.;;;;;;;;;;;;;;;;;;1;;;1;;;1;;;;;;;;;;;;;;;;;;;;;1
Careson B.V.;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1
Caresse Cosmetics B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Carglass B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1
Carl van Hees;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1
Carlo Balemans;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Carlton Hotels Nederland B.V.;;;;2;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Carpetright;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Carthago ICT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;2;;;;;;;;;;;2
CartoonistLive;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Cas Oomen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1
CaseCoverCompany;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Catering Dik Trom;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Catering Oud London B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Cavalieri Kostumes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Cavari Clinics Nederland B.V.;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Cave Oporto;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
CBE - Group B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
CCM;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;1
CCM Masters B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;2
CCV Services B.V.;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;1
Cebook;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1
Cedin B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Cendris Dataconsulting B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;1
Center for Contemporary Art;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Centr. voor Pers. begeleiding 'Het Verlangen';;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Centraal Boekhuis B.V.;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;1
Central Point Nederland B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Centric;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;5
Centric Netherlands B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1
Centric Test & Security Professionals B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Centrum De Pijler;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Centrum Quadraat;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Centrum Verhuizingen Holding B.V.;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Century Autogroep;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1
CFIT B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;3
CGI Nederland B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;;;2;;;;;;;;;;;8
Chantel's Mengelmoes;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Charlotte Dumas Fotografie;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1
Charlotte Gmelig Meijling;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Charlotte Labrie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1
Chelo Recycling B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Chem-Dry Alfa;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;2
China Air Service;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Chinees Indisch Restaurant 'Golden City' B.V.;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Chinees Restaurant Wok Euroborg;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Chocolaterie Gelaterie De Lelie;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Chop Chop fresh salad B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Chr. Scholengem.;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Chris Booms Fotografie;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;2
Chris Hopley Vertaalbureau;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Chris Piguillet;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Christelijke Hogeschool Ede;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Christine van der Ree;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Chubb Fire & Security Twente;;;;;;;;;;;;;;;;;;2;;;;;;1;;;;;;;1;;;;;;;;;;;;;;2
Ciao! Ciao! B.V.;;;;1;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
CIBIT Adviseurs/Opleiders;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
CIBT Netherlands;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Cimsolutions;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;;1;;;;;;;;;;;7
Cinco Cleaning B.V.;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Cinnamon Interactive B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1
Cinop Advies B.V.;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
CINOP Publieke Programma's en Projecten B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Circle Software Group B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;2
Circling Europe B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Cisper Electronics B.V.;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Citrus;;;;;;;;;;1;;;;;2;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;6
City Cleaning;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Citylife B.V.;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Claranet Benelux B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;1
CLB Integrated Solutions B.V.;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Clear Conduct B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Clipit News B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;2
Clockwork B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;3
Cloose;;;;1;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Clou;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
CLS Computertrainingen;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Club Spaarne Haarlem;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
CM Partners B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
CM Telecom B.V.;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;;1;;;;;;;;;;;;2
CNV Connectief;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1
Coach to coach B.V.;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Coaching Noord Nederland;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Coastal & Marine Union;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Coby van Geffen;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Coco B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Coen! Bureau voor Vormgeving;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1
Coffeemania;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1
Coform B.V.;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Collabo Media B.V.;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Collaparte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Collect Car B.V.;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;;;;;;1
Collings Polak & de Gruijter;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Color & Conservation;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Colour XL B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Combined Business Power B.V.;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Combinet Personenvervoer B.V.;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Comcept B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
Com-Connect B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Communicatie Noord Nederland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1
