Leveranciers;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1180 - Reis & verblijfskosten;3000 - Uitbesteden overig;3120 - Uitbesteden beleidsadvies- en onderzoeksopdrachten;3130 - Uitbesteden communicatieadvies;3140 - Uitbesteden juridisch adviesopdrachten;3150 - Uitbesteden automatiseringsadvies;3160 - Uitbesteden accountancy en financien;4000 - Diensten en middelen overig;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;5110 - Verblijf extern;5210 - Wagenpark;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;8110 - Vakliteratuur, abonnementen en overige informatie;8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;9580 - SZW specifiek;Eindtotaal
Fotografie : Paul Voorham;;;;;;1;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1
Fotografie Hielco Kuipers;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Fotografie Nienke Elenbaas;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Fotopersbureau Hendriksen/Valk;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Fox-IT Group;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Francis Zuiker Konsult;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Free Kick Sport;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Freedom Scientific Benelux B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Frephitophe;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Friesland College;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Fun Beach B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
G4S International (NL) B.V.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Gauchos Franchise Den Haag B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Geert Jan Mellink. Concepten en Projecten;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
gefeliciTAART B.V.;;1;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;1
Gemaco B.V.;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Genieterij De Slotplaats;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Genootschap Onze Taal;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Gerard Voskuilen Consultancy B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Gerechtsdeurw.kant. Buik en Van der Horst;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Geschenkbezorgen.nl B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Get Events;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
GFK Panel Services Benelux;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
GGMD voor Doven en Slechthorenden;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
GGN Mastering Credit N.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Gh Catering B.V.;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Giftscout B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Giftskikker.nl;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Gispen Kantoorinrichting;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;2
Glaspunt B.V.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Global Project Performance;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Globos B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Go B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
'Golden Hands' Services;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
Golden Tulip de Wipselberg;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
GrachtenAtelier;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
GradusGroep B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Grafisch Media Instituut B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Grand Café Arnhems Meisje;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Grand Café/Restaurant Hertog Jan B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Grand Café-Brasserie 'De Boei';;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Grandcafé De Wens B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Greenwheels Shared Service B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Griffel & Bok;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Groene Hart Ziekenhuis;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Groenendijk Bedrijfskleding B.V.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Groeneveld Brillen en Contactlenzen;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Groenewegen Elektrotechniek;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;2
Groepsuitjes Den Bosch;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
GroupSupport.com B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;2
H.G. Wijers;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
H.J. van Twillert V.O.F.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
H.J.M. Zonderland Fotografie;;;;;;;;1;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;1
H.M. Schouten Sportprijzen B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
H.S. Systemen B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;1;1;;;;;1
Haarhuis Vastgoed B.V.;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
Hagenouw Eten & Drinken B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Halbertsma Management Advies B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Halime Yarba;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Hampshire Hotel Management B.V.;;1;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Hans & Frans Hessing;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;1
Hans Anders opticiens;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Happy Copy B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Happy Meat B.V.;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Haptonomie In 't Centrum;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Hardeman Isolatie B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Hartech Meet- & Testapparatuur B.V.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Hartman Innovatie B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Hasta Siempre B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Haverlach Verhuizingen;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1
HeadFirst B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3
Health2Work B.V.;1;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;2
HEC B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Heigo Nederland B.V.;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;2
Heijmans Wegen B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Henri Bloem's Wijnkoperij;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Het Expertise Centrum;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Het Financieele Dagblad B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Het Heden;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Het Kabinet;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Het Kookplein;;1;;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Het Muntgebouw-Utrecht B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
het Ngi: voorh. Ned. Genootsch. Informatica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Het Notuleercentrum B.V.;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Het Pleidooi;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
HG International B.V.;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1
High Five Health Promotion B.V.;1;1;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;2
Hilhorst;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
HKA B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Hobeon Groep B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Hoeve Kromwijk;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Hoezo Proj.manag. & Congresorganisatie B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Hofje van Pauw;2;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Hofstad Events B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Hogerhuys;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Hogeschool Utrecht;;;;1;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Hogeschool van Amsterdam;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Holding Beheermaatschappij Ropeni B.V.;;1;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Holding Da Vinci B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Holland By Mail;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Holland Casino;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Holland Casino Amsterdam;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Holland Tour Guides;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Hollandse Hoogte B.V.;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Hoopstede Exploitatie B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Hor. Exploitatiemij. in de Zotte Wilg B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Horeca Exploitatie Maatschappij Jambala B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Hot.expl.mij. Jaarbeurspln. Utrecht B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Hotel Alkmaar;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Hotel 'De Sniep' B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Hotel 'Het Spinnewiel';;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Hotel Mitland;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Hotel van Oppen - Hong Fa B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Hotel-Café-Restaurant De Witte Bergen;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Hotel-Café-Restaurant Solskin;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
House of Sports;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
HSK Groep;1;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
HTM Specials B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Huf & Go;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Huibregtsen Training & Advies;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Huisartenspraktijk Swifterbant;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Huisartsenpraktijk Admiralengracht;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Huisartsenpraktijk Amsteldijk;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Huisartsenpraktijk Corlaer;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Huisartsenpraktijk F.L.M. Bank;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Huisartsenpraktijk Mondriaanlaan;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Huisartsenpraktijk Mustafa;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Huisartsenpraktijk Noordhof;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Huisartsenpraktijk Prins;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Huisartsenpraktijk Rombeek B.V.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Huisartsenpraktijk van den Brule;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Huisartsenpraktijk Verwielstraat;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Huisartsenpraktijk Yilmaz & Milli;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Huisartspraktijk drs J.A. Hofmans;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Huisartspraktijk Husmann;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Huisartspraktijk van Vliet;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Huisatrsenpraktijk B. Nuri;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Hultzer Coaching;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Humphrey's Arnhem B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Humphrey's Utrecht B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Huyer deurwaarder en incasso;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
I-Advise B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ibis Amsterdam Centre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
ICM Administratie B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ICM Opleidingen & Trainingen B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ID Ware International B.V.;1;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;1
Ideeaanzee B.V.;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Idtv Quote B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
Igluu B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Igo-Post B.V.;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;1
Ilone Blaauw;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Impalko Nederland B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Impero Romano Holding B.V.;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Imtech Nederland B.V.;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
IMTECH PROJECTS;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
iN Crime;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
In Touch Women Resource Management B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
In2Content B.V.;;;;;;;1;2;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;3
in60seconds;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Inbraakpreventie 'M.I.B.' B.V.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;;1
Indisch Restaurant Garoeda;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Indonesisch Restaurant Poentjak;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Indoor Skydive N.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Info Support B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;2
Info Training B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Information Security Academy B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Infotrading B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
ING Bank;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
ING Bank N.V.;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Inge Meyer;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Initial B.V.;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;2
Inner Business B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Innovero Software Solutions B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1
InsightsWorld B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Inspiration Company Nederland B.V.;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Institute for International Research;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Instituut van Internal Auditors Nederland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Instituut voor Psychotrauma Nederland B.V.;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Instituut voor Wijsbegeerte B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Integron B.V.;;;;1;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Intenz Gezondheidsplan B.V.;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;3
InterConnect Services B.V.;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Interim Direct Incasso & Debiteurenbeheer;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Interned Services;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
InterNLnet;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1
Intersafe Groeneveld B.V.;1;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2
Intrum Justitia Nederland B.V.;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;1
InZake;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Inzicht Bureau voor Coaching en Communicatie;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Ipol B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ipse de Bruggen;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Ipse de Bruggen Maatwerk;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ipsos B.V.;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
Irik Advies;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Iris Huys;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Irodion;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ISBW;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Isodes B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
Istana Indonesisch Restaurant;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
IT Management Group;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
IT Rains Fishes;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ITIP School voor Leven en Werk B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Ivo Broekhuizen Communicatie;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2
Ivory-Den Haag B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
IV-Software B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;2
iWelcome B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1
IZI Solutions B.V.;;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;3
J. Bakker Zoetwaren V.O.F.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
J. van den Tooren Beheer B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Jaarbeurs B.V.;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Jachthaven Kortenhoef B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Jacques Handelé Antwoorden en Vragen;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2
Jan-Jaap in der Maur;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Japans-Chinees Grill Restaurant Hachi;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Jilster B.V.;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
joint-experts.nl;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
Joli V.O.F.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
JPR Advocaten;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1
JR Horeca Company B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
JR's Cuisine;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Jumbo Supermarkten;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
JWT Rotterdam B.V.;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2
Kade 87 B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Kamamak;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Kamer van Koophandel;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;1;;;2;2
KAV Autoverhuur B.V.;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1
Keizer Culinair;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Kender Thijssen Computerverhuur B.V.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;1
Kessels & Smit, the Learning Company B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Keynote Consultancy B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Khotinsky;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Kick Smeets Fotografie;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Kiekeboe Kinderfeest;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Kitch &;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Kite-Extreme;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Kiyoshi B.V.;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
KleurKwadraad;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Klip B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
KLM Cityhopper B.V.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Klok Containers B.V.;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1
Klusman.Com B.V.;;;;;;;7;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7
Kluwer Opleidingen;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
Knowledge Exchange B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;2
Koetsenruijter Conflictmanagement en Bemid.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Koetshuis Partycentrum;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1
Köhler Autoverhuur B.V.;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1
Kompaan;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Koninklijke van der Most B.V.;;;;;;;;;;;;;;1;;;2;;;1;;;;;;;;;;;;;;;;1;2
Kooiker Installatie B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Kooy Insulation B.V.;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Kop Beveiliging B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1
Kortmann Art Packers & Shippers B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1
KPMG Advisory N.V.;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;2;3
