OBJECTID,PUIC,NAAM,POSITIONELE_NAUWKEURIGHEID_MM,LEVENSCYCLUS_STATUS,RELATIEVEHOOGTELIGGING,REF_TUNNELBUIS_PUIC,ROTATIE,GELDIG_VANAF,PUBLICATIEDATUM,KMLINT,KMLINT_OMSCHRIJVING,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KM_GEOCODE,KM_GEOCODE_T,BEHEERDER,ONDERHOUDSREGIO_NAAM,ONDERHOUDSREGIO_AFKORTING,TECHNIEKVELD,PGO_GEBIED_NAAM,PGO_GEBIED_NR,OPC_GEBIED_NAAM,OPC_GEBIED_NR,PCA,X,Y,LATITUDE,LONGITUDE
128,3ba29aa8-2c20-4599-97d7-fdfb078f69ad,,283,Onbekend,-1,,175,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Zl-Wdn,Zwolle - Wierden ,206,,206,206__,Zwolle - Wierden,30.786813,"30,786813",ProRail,Noord-Oost,NO,BAAN,Twente,410,Twente,32,VolkerRail,227926.839,487062.678,52.36659688,6.45795741
129,e76ce10b-3e2e-4c69-8bfe-14677819fa52,,283,Onbekend,-1,,315,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,163,,163,163__,Rotterdam Lombardijen - Rotterdam Centraal,46.937363,"46,937363",ProRail,Randstad Zuid,RZ,BAAN,Rotterdam,120,Rotterdam,3,VolkerRail,93641.733,436777.985,51.91610376,4.49535809
130,393dc1b2-4891-4bb8-a2a1-4234de1f5fbe,,283,Onbekend,-1,,20,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Llsoa-Zl,Lelystad Opstelterrein Aansl. - Zwolle ,161,,161,161__,Lelystad Industrieterrein - Hattemerbroek,30.246539,"30,246539",ProRail,Randstad Noord,RN,BAAN,Amstelsepoort,230,Weesp,11,Strukton Rail,187126.885,504535.594,52.52753311,5.86062064
131,77c84293-c409-4e3c-97ef-2a253113cf9f,,283,Onbekend,-1,,315,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,163,,163,163__,Rotterdam Lombardijen - Rotterdam Centraal,46.937475,"46,937475",ProRail,Randstad Zuid,RZ,BAAN,Rotterdam,120,Rotterdam,3,VolkerRail,93645.386,436781.975,51.91614003,4.49541047
132,81e0ba5a-154a-4801-8733-ad16737e0e18,,283,Onbekend,-1,,135,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Brda-Bdgr,Barendrecht Aansl. - Breda Grens ,116,c,116,116_c,Dordrecht - Rotterdam Barendrecht,210.443472,"210,443472",ProRail,Randstad Zuid,RZ,BAAN,OPC: 70-HSL,,HSL,70,Infraspeed,97634.485,429698.718,51.85290435,4.55456568
133,58398253-8cf9-4625-85d9-9873f9bd2154,,283,Onbekend,-1,,25,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Llsoa-Zl,Lelystad Opstelterrein Aansl. - Zwolle ,161,,161,161__,Lelystad Industrieterrein - Hattemerbroek,30.547702,"30,547702",ProRail,Randstad Noord,RN,BAAN,Amstelsepoort,230,Weesp,11,Strukton Rail,187399.473,504663.007,52.52866206,5.86464969
134,19751f68-4f85-4448-9ff2-c8c746579123,,283,Onbekend,-1,,250,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Zd-Sgra,Zaandam - Amsterdam Singelgracht Aansl. ,139,,139,139__,Zaandam - Amsterdam Sloterdijk,172.435274,"172,435274",ProRail,Randstad Noord,RN,BAAN,Hollands Noorderkwartier,210,Alkmaar,7,VolkerRail,116059.31,493456.069,52.42751998,4.81467853
135,f99fbdc5-4601-4edb-bd1d-0733024c3eaa,,283,Onbekend,-1,,325,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Asra-Wmd,Amsterdam Riekerpolder Aansl. - Warmond ,133,a,133,133_a,Amsterdam Riekerpolder - Warmond,12.817242,"12,817242",ProRail,Randstad Noord,RN,BAAN,Kennemerland,240,Haarlem,8,Strukton Rail,113145.659,481473.753,52.31961863,4.77333533
136,aa297d5a-1dad-48f6-afc7-c835cbe461e7,,283,Onbekend,-1,,135,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Asra-Wmd,Amsterdam Riekerpolder Aansl. - Warmond ,133,a,133,133_a,Amsterdam Riekerpolder - Warmond,14.472566,"14,472566",ProRail,Randstad Noord,RN,BAAN,Kennemerland,240,Haarlem,8,Strukton Rail,112188.157,480127.37,52.30744471,4.75946374
137,22c81519-f481-4fa9-a299-2bc6484a8865,,283,Onbekend,-1,,305,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,39.442171,"39,442171",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,ASSET Rail,97342.923,430262.637,51.85794252,4.55024001
138,a8b6d5bb-0aff-469d-b99c-b28ca9ab79a2,,283,Onbekend,-1,,250,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Zd-Sgra,Zaandam - Amsterdam Singelgracht Aansl. ,139,,139,139__,Zaandam - Amsterdam Sloterdijk,173.270591,"173,270591",ProRail,Randstad Noord,RN,BAAN,Hollands Noorderkwartier,210,Alkmaar,7,VolkerRail,115729.806,492689.012,52.42060285,4.80992409
139,f5969ca7-35db-4575-b09f-fa6ced72a0c0,,283,Onbekend,-1,,70,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Zd-Sgra,Zaandam - Amsterdam Singelgracht Aansl. ,139,,139,139__,Zaandam - Amsterdam Sloterdijk,172.600077,"172,600077",ProRail,Randstad Noord,RN,BAAN,Hollands Noorderkwartier,210,Alkmaar,7,VolkerRail,115993.406,493305.406,52.42616127,4.81372716
140,68351078-fbe0-454e-8f64-9f0a18cd3d9b,,283,Onbekend,-1,,225,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Asra-Wmd,Amsterdam Riekerpolder Aansl. - Warmond ,133,a,133,133_a,Amsterdam Riekerpolder - Warmond,12.224251,"12,224251",ProRail,Randstad Noord,RN,BAAN,Kennemerland,240,Haarlem,8,Strukton Rail,113514.592,481937.8,52.32381707,4.77868893
141,f33eb570-49b0-46bb-8e6f-4e786cc3d90f,,283,Onbekend,-1,,210,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Asra-Wmd,Amsterdam Riekerpolder Aansl. - Warmond ,133,a,133,133_a,Amsterdam Riekerpolder - Warmond,16.259541,"16,259541",ProRail,Randstad Noord,RN,BAAN,Kennemerland,240,Haarlem,8,Strukton Rail,110689.05,479174.845,52.29876548,4.73760915
142,2f48faf0-8e2f-4814-a754-24357fe58bb3,,283,Onbekend,-1,,130,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,38.901003,"38,901003",ProRail,Randstad Zuid,RZ,BAAN,Zee-Zevenaar,130,Europoort,4,VolkerRail,97594.296,429783.407,51.85366136,4.55396833
143,24c464b8-9ea5-4524-a8f4-56d85aaa1221,,283,Onbekend,-1,,125,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,39.090979,"39,090979",ProRail,Randstad Zuid,RZ,BAAN,Zee-Zevenaar,130,Europoort,4,VolkerRail,97488.348,429941.005,51.85506686,4.55240441
144,799e1045-f2b4-4084-8a6c-a3ee5adc4a62,,283,Onbekend,-1,,20,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Llsoa-Zl,Lelystad Opstelterrein Aansl. - Zwolle ,161,,161,161__,Lelystad Industrieterrein - Hattemerbroek,29.799991,"29,799991",ProRail,Randstad Noord,RN,BAAN,Amstelsepoort,230,Weesp,11,Strukton Rail,186709.842,504377.27,52.52613464,5.85446032
145,516bc291-7f02-49f9-ae79-4c7faf416918,,283,Onbekend,-1,,305,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,39.315895,"39,315895",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,ASSET Rail,97403.292,430151.795,51.85695256,4.55113475
146,832e4f38-fba6-494f-a8cd-4d67cce88451,,283,Onbekend,-1,,305,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,163,,163,163__,Rotterdam Lombardijen - Rotterdam Centraal,45.966429,"45,966429",ProRail,Randstad Zuid,RZ,BAAN,Rotterdam,120,Rotterdam,3,VolkerRail,94263.659,436030.862,51.90945727,4.50452873
147,343cedf7-a850-4547-8f14-454f77c6a0f2,,283,Onbekend,-1,,320,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,163,,163,163__,Rotterdam Lombardijen - Rotterdam Centraal,48.374902,"48,374902",ProRail,Randstad Zuid,RZ,BAAN,Rotterdam,120,Rotterdam,3,VolkerRail,92654.416,437835.883,51.92550174,4.48081726
148,44a97fc3-f9f9-473e-8d2f-aac4a0ea0463,,283,Onbekend,-1,,305,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,163,,163,163__,Rotterdam Lombardijen - Rotterdam Centraal,45.965838,"45,965838",ProRail,Randstad Zuid,RZ,BAAN,Rotterdam,120,Rotterdam,3,VolkerRail,94273.069,436037.767,51.90952035,4.50466425
149,ac941c29-100b-436e-886d-357a4b38de2e,,283,Onbekend,-1,,250,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Zd-Sgra,Zaandam - Amsterdam Singelgracht Aansl. ,139,,139,139__,Zaandam - Amsterdam Sloterdijk,173.394839,"173,394839",ProRail,Randstad Noord,RN,BAAN,Hollands Noorderkwartier,210,Alkmaar,7,VolkerRail,115679.803,492575.148,52.41957595,4.80920242
150,e2c2a40a-4cbb-42bb-a961-1b3fad1b7b28,,283,Onbekend,-1,,125,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Brda-Bdgr,Barendrecht Aansl. - Breda Grens ,116,c,116,116_c,Dordrecht - Rotterdam Barendrecht,209.682146,"209,682146",ProRail,Randstad Zuid,RZ,BAAN,OPC: 70-HSL,,HSL,70,Infraspeed,97239.639,430350.32,51.85871988,4.54872619
151,2be687ae-581d-41be-a4fc-ef1770d9bbc8,,283,Onbekend,-1,,305,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,39.253279,"39,253279",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,ASSET Rail,97435.723,430097.812,51.85647074,4.55161447
152,e08ed8cb-3e07-42c3-81a1-07c41608a9cc,,283,Onbekend,-1,,130,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Brda-Bdgr,Barendrecht Aansl. - Breda Grens ,116,c,116,116_c,Dordrecht - Rotterdam Barendrecht,210.24581,"210,245810",ProRail,Randstad Zuid,RZ,BAAN,OPC: 70-HSL,,HSL,70,Infraspeed,97528.759,429866.686,51.85440308,4.5530033
153,08778220-fbb9-4845-a1cc-8c0f57a1ee25,,283,Onbekend,-1,,315,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,38.55603,"38,556030",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,ASSET Rail,97833.488,429533.529,51.85144015,4.55748119
154,10354c64-b099-4471-b533-7e087b290684,,283,Onbekend,-1,,215,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Llsoa-Zl,Lelystad Opstelterrein Aansl. - Zwolle ,161,,161,161__,Lelystad Industrieterrein - Hattemerbroek,30.547852,"30,547852",ProRail,Randstad Noord,RN,BAAN,Amstelsepoort,230,Weesp,11,Strukton Rail,187401.278,504659.766,52.52863283,5.86467597
155,764086c6-f608-40ca-a60f-2be7bffc7eec,,60,Bestaand,,,,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Ehv,Breda - Eindhoven ,054,a,54,054_a,Boxtel - Eindhoven,48.656801,"48,656801",ProRail,Zuid,Z,BAAN,Brabant,330,Boxtel,23,ASSET Rail,155083.55,391334.266,51.51101697,5.38840329
156,b5e4a04c-3d68-42ee-90e6-ed3942e9cca1,,283,Onbekend,-1,,130,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Brda-Bdgr,Barendrecht Aansl. - Breda Grens ,116,c,116,116_c,Dordrecht - Rotterdam Barendrecht,210.161297,"210,161297",ProRail,Randstad Zuid,RZ,BAAN,Zee-Zevenaar,130,Europoort,4,VolkerRail,97482.757,429937.443,51.85503427,4.55232385
157,dd7f394e-5be6-46a8-817a-66330081bb61,,283,Onbekend,-1,,315,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,38.747263,"38,747263",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,ASSET Rail,97718.064,429682.928,51.85277103,4.55578129
158,90ac891e-72a8-435a-b32f-645b382a2737,,283,Onbekend,-1,,125,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,39.692495,"39,692495",ProRail,Randstad Zuid,RZ,BAAN,Zee-Zevenaar,130,Europoort,4,VolkerRail,97196.247,430469.703,51.85978834,4.54807636
159,99c1e7f2-1795-4e87-9248-e8732f717ca1,,283,Onbekend,-1,,125,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Asra-Wmd,Amsterdam Riekerpolder Aansl. - Warmond ,133,a,133,133_a,Amsterdam Riekerpolder - Warmond,15.144525,"15,144525",ProRail,Randstad Noord,RN,BAAN,Kennemerland,240,Haarlem,8,Strukton Rail,111655.378,479725.487,52.30379119,4.75170384
160,ecf12a35-63be-48d7-80b6-065991985836,,283,Onbekend,-1,,305,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,163,,163,163__,Rotterdam Lombardijen - Rotterdam Centraal,46.269578,"46,269578",ProRail,Randstad Zuid,RZ,BAAN,Rotterdam,120,Rotterdam,3,VolkerRail,94088.029,436277.501,51.91165473,4.50193293
161,1875b5dc-a9ed-4dd3-81af-794f9055d619,,283,Onbekend,-1,,305,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,163,,163,163__,Rotterdam Lombardijen - Rotterdam Centraal,45.828054,"45,828054",ProRail,Randstad Zuid,RZ,BAAN,Rotterdam,120,Rotterdam,3,VolkerRail,94359.761,435929.894,51.9085603,4.50594301
162,25f71c37-e314-4be3-b9c3-77ad55ec2d64,,283,Onbekend,-1,,250,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Zd-Sgra,Zaandam - Amsterdam Singelgracht Aansl. ,139,,139,139__,Zaandam - Amsterdam Sloterdijk,172.867549,"172,867549",ProRail,Randstad Noord,RN,BAAN,Hollands Noorderkwartier,210,Alkmaar,7,VolkerRail,115892.001,493057.879,52.42392949,4.81226525
163,38267d94-0e8a-49b3-85d1-eafcb007a860,,283,Onbekend,-1,,135,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,38.364903,"38,364903",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,ASSET Rail,97953.79,429386.337,51.85012957,4.55925142
164,66f9aa8c-686a-4a44-9dde-aaf998d3de46,,283,Onbekend,-1,,125,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,39.631341,"39,631341",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,ASSET Rail,97244.54,430424.981,51.85939141,4.54878483
165,23a25be0-31d4-4d0f-bd71-244ad92c8a64,,283,Onbekend,-1,,125,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,39.567682,"39,567682",ProRail,Randstad Zuid,RZ,BAAN,Zee-Zevenaar,130,Europoort,4,VolkerRail,97255.47,430358.2,51.85879234,4.54895466
166,7665367c-9fb0-4b01-9070-44a1e2cc5fc7,,283,Onbekend,-1,,125,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,39.18986,"39,189860",ProRail,Randstad Zuid,RZ,BAAN,Zee-Zevenaar,130,Europoort,4,VolkerRail,97447.787,430030.654,51.8558684,4.55180077
167,01925958-5408-467e-84ef-f3890c49ea8b,,283,Onbekend,-1,,215,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,163,,163,163__,Rotterdam Lombardijen - Rotterdam Centraal,46.108958,"46,108958",ProRail,Randstad Zuid,RZ,BAAN,Rotterdam,120,Rotterdam,3,VolkerRail,94185.689,436150.211,51.91052139,4.50337463
168,a78259b7-505e-4b0b-a388-90d5bfd92998,,283,Onbekend,-1,,135,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,38.429179,"38,429179",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,ASSET Rail,97909.436,429432.492,51.85053985,4.55860011
169,e109a097-955b-4b6b-9b5d-a45c474a2db3,,283,Onbekend,-1,,135,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,38.683209,"38,683209",ProRail,Randstad Zuid,RZ,BAAN,Zee-Zevenaar,130,Europoort,4,VolkerRail,97727.113,429608.406,51.85210219,4.55592498
170,488f6548-8b77-4e3b-ad70-ad10323bcc31,,283,Onbekend,-1,,315,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,38.620268,"38,620268",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,ASSET Rail,97793.664,429582.367,51.85187499,4.55689515
171,e400f446-d152-4f47-8b98-15d06651ce9e,,283,Onbekend,-1,,175,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Zl-Wdn,Zwolle - Wierden ,206,,206,206__,Zwolle - Wierden,30.906563,"30,906563",ProRail,Noord-Oost,NO,BAAN,Twente,410,Twente,32,VolkerRail,228046.277,487051.076,52.36647674,6.45970825
172,017a098e-8867-4c08-8ffd-3c2bd9546787,,283,Onbekend,-1,,130,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,39.005502,"39,005502",ProRail,Randstad Zuid,RZ,BAAN,Dordrecht,140,Dordrecht,5,ASSET Rail,97545.096,429877.466,51.85450165,4.55323861
173,5d8b57f9-7d2b-4516-817d-53f2022820a1,,283,Onbekend,-1,,20,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Llsoa-Zl,Lelystad Opstelterrein Aansl. - Zwolle ,161,,161,161__,Lelystad Industrieterrein - Hattemerbroek,30.124494,"30,124494",ProRail,Randstad Noord,RN,BAAN,Amstelsepoort,230,Weesp,11,Strukton Rail,187014.341,504488.619,52.52711756,5.85895775
174,afb6a9ac-7462-4fca-a070-dc348c250436,,283,Onbekend,-1,,125,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Brda-Bdgr,Barendrecht Aansl. - Breda Grens ,116,c,116,116_c,Dordrecht - Rotterdam Barendrecht,209.682461,"209,682461",ProRail,Randstad Zuid,RZ,BAAN,OPC: 70-HSL,,HSL,70,Infraspeed,97249.653,430355.244,51.85876517,4.54887072
175,11972938-462a-4a0e-b221-9c973856ca53,,283,Onbekend,-1,,125,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Brda-Bdgr,Barendrecht Aansl. - Breda Grens ,116,c,116,116_c,Dordrecht - Rotterdam Barendrecht,209.808084,"209,808084",ProRail,Randstad Zuid,RZ,BAAN,OPC: 70-HSL,,HSL,70,Infraspeed,97308.069,430244.035,51.85777173,4.54973722
176,7cd06bd6-958d-4afe-8d4a-7f8455465375,,120,Bestaand,-1,,330,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Asra-Wmd,Amsterdam Riekerpolder Aansl. - Warmond ,133,a,133,133_a,Amsterdam Riekerpolder - Warmond,14.043034,"14,043034",ProRail,Randstad Noord,RN,BAAN,Kennemerland,240,Haarlem,8,Strukton Rail,112471.29,480450.116,52.31036726,4.76357429
177,615fb4a2-4bab-48a3-b889-f45cd0999265,,283,Onbekend,-1,,70,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Zd-Sgra,Zaandam - Amsterdam Singelgracht Aansl. ,139,,139,139__,Zaandam - Amsterdam Sloterdijk,173.530244,"173,530244",ProRail,Randstad Noord,RN,BAAN,Hollands Noorderkwartier,210,Alkmaar,7,VolkerRail,115618.949,492453.701,52.41848013,4.80832218
178,df13b015-4547-4687-be73-c9929d2c25bf,,283,Onbekend,-1,,20,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Llsoa-Zl,Lelystad Opstelterrein Aansl. - Zwolle ,161,,161,161__,Lelystad Industrieterrein - Hattemerbroek,30.547813,"30,547813",ProRail,Randstad Noord,RN,BAAN,Amstelsepoort,230,Weesp,11,Strukton Rail,187398.09,504665.99,52.52868895,5.8646296
179,9ff7f86a-5416-427b-aa8c-39c067bcca0c,,283,Onbekend,-1,,200,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Asra-Wmd,Amsterdam Riekerpolder Aansl. - Warmond ,133,a,133,133_a,Amsterdam Riekerpolder - Warmond,16.742655,"16,742655",ProRail,Randstad Noord,RN,BAAN,Kennemerland,240,Haarlem,8,Strukton Rail,110232.49,479023.514,52.29736848,4.73093651
180,c4c42078-237e-4e6a-b3c7-991396532de6,,120,Bestaand,-1,,135,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Asra-Wmd,Amsterdam Riekerpolder Aansl. - Warmond ,133,a,133,133_a,Amsterdam Riekerpolder - Warmond,14.363512,"14,363512",ProRail,Randstad Noord,RN,BAAN,Kennemerland,240,Haarlem,8,Strukton Rail,112274.032,480197.83,52.30808463,4.7607139
181,76df2463-3bf3-4d3d-95c8-65a6f6f14d24,,283,Onbekend,-1,,250,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Zd-Sgra,Zaandam - Amsterdam Singelgracht Aansl. ,139,,139,139__,Zaandam - Amsterdam Sloterdijk,173.951104,"173,951104",ProRail,Randstad Noord,RN,BAAN,Hollands Noorderkwartier,210,Alkmaar,7,VolkerRail,115459.571,492064.178,52.41496797,4.80602544
182,150c9e6c-31cc-479f-a06f-0ad7894bf740,,120,Bestaand,-1,,130,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Asra-Wmd,Amsterdam Riekerpolder Aansl. - Warmond ,133,a,133,133_a,Amsterdam Riekerpolder - Warmond,14.472532,"14,472532",ProRail,Randstad Noord,RN,BAAN,Kennemerland,240,Haarlem,8,Strukton Rail,112199.179,480116.937,52.30735181,4.75962667
183,96331ab9-0305-479f-be95-0171ca885527,,283,Onbekend,-1,,315,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,163,,163,163__,Rotterdam Lombardijen - Rotterdam Centraal,46.825263,"46,825263",ProRail,Randstad Zuid,RZ,BAAN,Rotterdam,120,Rotterdam,3,VolkerRail,93722.9,436699.991,51.91541174,4.49655162
184,46c25b8d-5d9c-4d13-8922-140c7564498d,,283,Onbekend,-1,,135,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,38.297596,"38,297596",ProRail,Randstad Zuid,RZ,BAAN,Zee-Zevenaar,130,Europoort,4,VolkerRail,97985.943,429322.998,51.8495636,4.55972849
185,9b764050-f6a0-4690-ab57-eb4b5ffe057d,,283,Onbekend,-1,,35,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Asra-Wmd,Amsterdam Riekerpolder Aansl. - Warmond ,133,a,133,133_a,Amsterdam Riekerpolder - Warmond,15.545696,"15,545696",ProRail,Randstad Noord,RN,BAAN,Kennemerland,240,Haarlem,8,Strukton Rail,111314.223,479514.358,52.30186674,4.74672962
186,bfe73433-e4e4-4e88-bab2-b6e203c05865,,283,Onbekend,-1,,125,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,39.441787,"39,441787",ProRail,Randstad Zuid,RZ,BAAN,Zee-Zevenaar,130,Europoort,4,VolkerRail,97323.368,430251.865,51.85784368,4.54995797
187,d0259e1d-2b55-4fba-aeea-1c45ad5c98d3,,283,Onbekend,-1,,135,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Brda-Bdgr,Barendrecht Aansl. - Breda Grens ,116,c,116,116_c,Dordrecht - Rotterdam Barendrecht,210.57112,"210,571120",ProRail,Randstad Zuid,RZ,BAAN,OPC: 70-HSL,,HSL,70,Infraspeed,97721.864,429604.749,51.85206878,4.55584941
188,5734d480-37a9-46a1-adc5-d85a6682898e,,283,Onbekend,-1,,70,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Zd-Sgra,Zaandam - Amsterdam Singelgracht Aansl. ,139,,139,139__,Zaandam - Amsterdam Sloterdijk,173.951211,"173,951211",ProRail,Randstad Noord,RN,BAAN,Hollands Noorderkwartier,210,Alkmaar,7,VolkerRail,115453.086,492066.547,52.41498879,4.80592985
189,6343edab-b7ed-43c7-8409-ee1a13e8b978,,283,Onbekend,-1,,125,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Brda-Bdgr,Barendrecht Aansl. - Breda Grens ,116,c,116,116_c,Dordrecht - Rotterdam Barendrecht,209.556293,"209,556293",ProRail,Randstad Zuid,RZ,BAAN,OPC: 70-HSL,,HSL,70,Infraspeed,97190.552,430466.728,51.85976101,4.54799419
190,0e504670-203f-4f73-8646-1e1be77057c2,,283,Onbekend,-1,,310,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,163,,163,163__,Rotterdam Lombardijen - Rotterdam Centraal,47.969423,"47,969423",ProRail,Randstad Zuid,RZ,BAAN,Rotterdam,120,Rotterdam,3,VolkerRail,92939.461,437544.627,51.92291599,4.48501336
191,d354a937-d197-465f-8f9e-a278ec168e16,,283,Onbekend,-1,,305,2022/12/21 18:01:08+00,2022/12/22 01:00:00+00,Bd-Rtd,Breda - Rotterdam Centraal ,163,,163,163__,Rotterdam Lombardijen - Rotterdam Centraal,46.408356,"46,408356",ProRail,Randstad Zuid,RZ,BAAN,Rotterdam,120,Rotterdam,3,VolkerRail,93994.072,436380.006,51.9125657,4.50054937
