Leveranciers;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis & verblijfskosten;1-Personele exploitatie
Minos Pallas;;;1;;;;;;1
Misset;;1;;;2;;;;2
Mister Rotterdam/Den Haag;;;1;;;;;;1
Mithun Training & Consulting;;;;;2;;;;2
Mitland Hotel;;;1;;;;;;1
Mk2 Visuele Media;;;;;1;;;;1
MOA Markt Onderzoek Associatie;;;1;;;;;;1
Mobilee Consultancy;;;;;1;;;;1
Mobility Mixx;;;;;;;;8;8
Mochi Restaurant;;;1;;;;;;1
Modez Hotel;;;1;;;;;1;1
Mona's eet- en drinkfestijn;;;1;;;;;;1
Monster Events;;;1;;;;;;1
Montani - creatief strategisch onli;;;1;;;;;;1
Moodz Eten & Drinken;;;1;;;;;;1
Mooii Restaurant;;;1;;;;;;1
More Turn International;;;;;;;;1;1
Morel Makelaars Instituut;;;;;1;;;;1
Motocom;;1;;;;;;;1
Movenience;;;;;;;;1;1
Movenpick Hotels;;;1;;;;;1;1
Mr Wok;;;1;;;;;;1
MSA Nederland;;3;;;;;;;3
MTAX;;;;;;;;1;1
Mts voor Communicatie;;;;;2;;;;2
MUDDE OF MEER;;;;;2;;;;2
Multi Media Coach;;;;;1;;;;1
Multi Vlaai;;;1;;;;;;1
Multigift Relatiegeschenken;;;1;;;;;;1
Munckhof Reizen;;;;;;;;1;1
Museum Catering;;;1;;;;;;1
Museum Speelklok (vh Museum van Speelklok tot Pierement);;;1;;;;;;1
Museumkwartier;;;1;;;1;;;1
MUSIC & ENTERTAINMENT B.V.;;;1;;;;;;1
MYbusinessmedia (vh Media Business Press);;;;;1;;;;1
Mykonos Grieks Specialiteiten Restaurant;;;1;;;;;;1
Nadrukkelijk;;1;;;;;;;1
Naga Thai;;;1;;;;;;1
Nagelhout Bloemsierkunst;;;1;;;;;;1
Nak - Nederlandse Algemene Keuringsdienst;;2;;;;;;;2
Nap Hotel Restaurant Cafe;;;;;;;;1;1
NAPOLI RISTORANTE;;;1;;;;;;1
NAPOLI ROTTERDAM RISTORANTE PIZZERI;;;1;;;;;;1
NAT SMALSPOOR ST;;;1;;;;;;1
Nationaal Lucht- en Ruimtevaartlaboratorium;;;;;1;;;;1
Natsumi Fusion Japans Restaurant;;;1;;;;;;1
Natural High Kitesurf & Events;;;1;;;;;;1
Naturalis - National Natuurhistorisch Museum;;;1;;;;;;1
Natuurnetwerk;;;;;1;;;;1
Nautikaris;;;;;1;;;;1
NBC - Nieuwegeins Business Center, De Blokhoeve, Exploitatie;;;;;1;;;;1
NCOI Nederlands Commercieel Opleidingsinstituut (incl. NedFac, ISES, ISBW, Bestuursacademie Nederland);;;1;;5;;;;5
Ned Inst voor Opleiding van Opsporingsambtenaren;;;;;1;;;;1
Nederlands Debat Instituut;;;;;1;;;;1
Nederlands Instituut voor Beeld en Geluid;;;1;;;;;;1
Nederlands Instituut voor Lastechniek;;;;;1;;;;1
Nederlands Instituut voor Onderzoek der Zee;;;;;1;;;;1
Nederlands Instituut voor Verkeersveiligheid;;;;;2;;;;2
Nederlandse Gasunie;;;;;2;;;;2
Nederlandse Praktijkschool voor Bouw en Milieu;;;;;1;;;;1
Neptunus Maritieme Herbergh;;;1;;;;;;1
NET MEER CRYSTAL;;;1;;;;;;1
Neverrest;;;1;;1;;;;1
Nevi/Neho;;;;;4;;;;4
New Babylon Meeting Center;;;1;;;;;;1
NEW MAYFLOWER V.O.F.;;;1;;;;;;1
Next Kitchen;;;1;;;;;;1
Next Step Group;;;;;1;;;;1
NH Hotels (incl. Nhow hotels);;;;;1;;;2;2
Ni Hao Group (incl. Restaurant, Trading, Horeca);;;1;;;;;;1
Nieuw Land Cafe Restaurant;;1;;;;;;;1
Nieuw Rotterdams Cafe;;;1;;;;;;1
Nieuwspoort;;;1;;;;;;1
NiKto;;;;;1;;;;1
NIMA - Nederlands Instituut voor Marketing;;;;;1;;;;1
NIOW Taaltrainingen, Vaardigheidstrainingen, Advies & Opleiding;;;;;1;;;;1
NLP Opleidingen Wegener B.V.;;;;;1;;;;1
NL-Term;;;;;1;;;;1
NMi Group (incl. Certin);;;;;1;;;;1
NNVO Stichting Nationale Nautische;;;;;3;;;;3
Nobbe Mieras trainingen;;;;;1;;;;1
NONNERIE DE REST & BUSINESS;;;1;;;;;;1
Noordbrabants Museum;;;1;;;;;;1
NOORDERPOORT HARLINGEN EETCAFÉ;;;1;;;;;;1
Noordhoff Uitgevers (incl. Wolters-Noordhoff);;;1;;;;;;1
NOREA Nederlandse Orde van Register EDP-Auditors;;;;;1;;;;1
Nova Contract;;;;;2;;;;2
Novi Hogeschool;;;;;1;;;;1
Novi Verkeersacademie;;;;;2;;;;2
NOVL Opleidingscollege voor bedrijf;;;;;1;;;;1
NRC Handelsblad;;;1;;;;;;1
NS - Spoorwegen Nederlandse;;;;;;;;7;7
NS Stations Retailbedrijf (Seats2Meet.com, vh Servex);;;1;;;;;;1
NSOB Nederlandse School Voor Openbaar Bestuur;;;;;3;;;;3
NTI - Nederlands Talen Instituut;;;;;1;;;;1
NTI-NLP Nederlands Trainingsinstituut voor Neurolinguistisch Programmeren;;;;;2;;;;2
Nudge;;;1;;2;;;;2
NVDO Nederlandse Vereniging voor Doelmatig Onderhoud;;;;;1;;;;1
Nvm Studiecentrum Opleiding Makelaardij in Onroerende Goederen Som;;;;;1;;;;1
NVVK Nederlandse Vereniging Voor Veiligheidskunde;;;;;1;;;;1
Oase Beach Club;;;1;;;;;;1
Obba Lounge Restaurant;;;1;;;;;;1
Obsermet;;1;;;;;;;1
O'Caseys Irish Pub & Restaurant;;;1;;;;;;1
Ockeloen & Kiene Org Adviseurs;;;;;2;;;;2
ODE Ontmoeten, Drinken, Eten;;;1;;;;;;1
Odyssee Groep training, pensioen in zicht;;;;;3;;;;3
Oefencentrum Noord;;;;;1;;;;1
Oesterbaai Ingenieursbureau;;;;;1;;;;1
Officenter Maastricht;;;1;;;;;;1
Oiltraining;;;;;1;;;;1
Oker Restaurant;;;1;;;;;;1
Oldschool Restaurant;;;1;;;;;;1
Oliva;;;1;;;;;;1
Olive Restaurant;;;1;;;;;;1
Olivier Belgisch Bier Café;;;1;;;;;;1
On Board On Shore;;;1;;;;;;1
Onder De Luifel Catering & Partyservice;;;1;;;;;;1
Onderwijsgroep Noordwest-Holland;;;;;1;;;;1
Oni Japanese Dining;;;1;;;;;;1
ONTDEK CULINAIR NEDERLAND;;;1;;;;;;1
ONTMOET JUDITH DE BRUIJN CREATIVITE;;;1;;;;;;1
Onz Restaurant;;;1;;;;;;1
OOA Orde van Organisatiekundigen en Adviseurs;;;;;1;;;;1
Oostergoo Hotel Restaurant;;;;;;;;1;1
Opatel open ateliers;;;;;1;;;;1
OPDEZAAK;;;;;2;;;;2
Opium Restaurant;;;1;;;;;;1
Opportunity Advies;;;;;1;;;;1
OPUS MAKELAARS GROEP;;;;;1;;;;1
Ordina (incl. Be Value, Clockwork);;;;;1;;;;1
ORIENTAL FUSION;;;1;;;;;;1
ORIENTAL GARDEN;;;1;;;;;;1
OSR Opleidingen Sociaal Recht Juridische Opleidingen;;;;;2;;;;2
Ossa Restaurant;;;1;;;;;;1
Ots Interstudie;;;;;1;;;;1
Oud London Catering-Hotel-Restaurant;;;1;;;;;1;1
Oudaen Stadskasteel;;;2;;;;;;2
Outdoorburo (Dennis Bornebroek);;;1;;;;;;1
Outonoom;;;;;1;;;;1
Overste Hof Partycenter, Hotel-Restaurant, Landgoed;;;1;;;;;;1
P. Kooij Rederij;;;1;;;;;;1
P1 Off Street/On Street;;;;;;;;1;1
P2000 Alarmeringsystemen;;1;;;;;;;1
Paagman Kantoorbenogigdheden;;;1;;;;;;1
Paapstvandam;;;;;1;;;;1
Paardenstal, De;;;1;;;;;;1
Paardenveld Vastgoed;;;;;;;;1;1
Pace Taleninstituut B.V.;;;;;1;;;;1
Pakhuis De Zwijger;;;1;;;;;;1
PAL Pioniers in Authentiek Leiderschap;;;;;1;;;;1
Palace Hotel Noordwijk Aan Zee;;;;;;;;1;1
Pan Café Restaurant;;;1;;;;;;1
Panorama Mesdag;;;1;;;;;;1
Panta Rhei Strandpaviljoen;;;1;;;;;;1
Pantem / Leopold Cafe-Restaurant;;;1;;;;;;1
PAO PostAcademisch Onderwijs;;;;;2;;;;2
PARCKHOEVE RIJNMOND B.V.;;;1;;;;;;1
Park Diensten;;;1;;;;;;1
Parkhotel;;;;;;;;1;1
Park-Line;;;;;;;;1;1
Parkstad Wok Restaurant;;;1;;;;;;1
Party Service Slump;;;1;;;;;;1
Partycentrum de Pandoer;;;1;;;;;;1
Partycentrum Open Huis;;;1;;1;;;;1
PARTYSERVICE VAN DER ZEE;;;1;;;;;;1
Passionned;;;;;1;;;;1
Paviljoen De Colonie;;;1;;;;;;1
Paviljoen de Leyen;;;1;;;;;;1
Pavlov Bar Restaurant;;;1;;;;;;1
PBN Sport & Adventure;;;1;;;;;;1
Peak IT;;;;;1;;;;1
Pentascope;;;;;2;;;;2
PEP Den Haag;;;1;;;;;;1
Peperzak;;;1;;;;;1;1
Performa Uitgeverij;;;;;1;;;;1
Perron 4/5 Volgens Tollius;;;1;;;;;;1
Perspectief;;;1;;;;;;1
Peter's Partyservice;;;1;;;;;;1
Peters-Geven t.h.o.d.n. Bakkerij Schellens Trudoplein;;;1;;;;;;1
Phoenix Opleidingen;;;;;1;;;;1
PHOV Post Hoger Onderwijs Veiligheidskunde;;;;;2;;;;2
Piazza;;1;;;;;;;1
Picasso Restaurants;;;1;;;;;;1
Pictogrammenwinkel;;1;;;;;;;1
Piet Hein Strandpaviljoen;;;1;;;;;;1
Pilkington's Restaurant;;;1;;;;;;1
PILZ Nederland;;;;;1;;;;1
Pink Pepper;;;1;;;;;;1
Pinkcube;;;1;;;;;;1
PIRAAT DE REST;;;1;;;;;;1
Pitch & Putt;;;1;;;;;;1
PIZZERIA IL BAMBINO;;;1;;;;;;1
PIZZERIA MAMA MIA;;;1;;;;;;1
Pizzeria Piccola Italia;;;1;;;;;;1
Plaats 1 Restaurant;;;1;;;;;;1
Plan B (S-TM);;;;;1;;;;1
Plasmeijer Restaurant;;;1;;;;;;1
PLASTIC SOUP FOUNDATION;;;;;;;;1;1
Play Time;;;;;;;;1;1
Plein 10A (Rozee, Millers Restaurant);;;1;;;;;;1
Plezierig Varen;;;1;;;;;;1
Pluimen (incl. WishWish nl);;;1;;;;;;1
Pluk de Dag Bloemen en Sfeer;;;1;;;;;;1
Plus Delta;;;;;1;;;;1
Plusport;;;;;1;;;;1
Poentjak Indonesisch Restaurant;;;1;;;;;;1
Pol.nl Wegbebakening, Bewegwijzering, Politietechniek;;1;;;;;;;1
Polanen Slijterij en Supermarkt;;;1;;;;;;1
Polder Horeca;;;1;;;;;;1
Polichlo Safety & More;;1;;;;;;;1
Polly Maggoo Café;;;1;;;;;;1
Polman's Café-Restaurant;;;1;;;;;;1
Pondres Distributie;;;1;;;;;;1
Portaal van Vlaanderen Terneuzen;;;1;;;;;;1
Poseidon Grieks Rest.;;;1;;;;;;1
Postillion Hotels;;;1;;;;;1;1
Pots Bakkerij;;;1;;;;;;1
Pouw Vervoer;;;;;;;;1;1
PRAKTIJK VOOR EMOTIONEEL LICHAAMSWE;;;;;1;;;;1
Prei Restaurant;;;1;;;;;;1
Preston Palace;;;;;;;;1;1
Princenhof Hotel Restaurant;;;1;;;;;1;1
Princeville Hotel Breda;;;1;;;;;;1
Prinsenhof Restaurant;;;1;;;;;;1
Privacy Management Partners Coöpera;;;;;1;;;;1
Pro 10;;;;;1;;;;1
PRO Safety Center;;1;;;;;;;1
Procare;;1;;;;;;;1
Procentrum;;;;;1;;;;1
Prodemos/Huis voor Democratie en Rechtstaat;;;1;;;;;;1
Proeverij De Pronckheer;;;1;;;;;;1
Promio (Hardist);;;1;;;;;;1
Promopodium;;;2;;;;;;2
Promopresent;;;1;;;;;;1
PROMOTIE ARTIKELEN;;;1;;;;;;1
Pronto Pronto;;;1;;;;;;1
Property Nl;;;;;1;;;;1
PROSEA MARINE EDUCATION;;;;;1;;;;1
Protinus It;;;;;1;;;;1
Prowareness Group iSense;;;;;1;;;;1
Public Support Groep;;;;;1;;;;1
Publicontact;;;;;2;;;;2
Pura catering (Arts & Dennissen);;;1;;;;;;1
Puur Events;;;1;;;;;;1
Puur! Eten en Drinken;;;1;;;;;;1
PV AQUARIUS;;;1;;;;;;1
PW Consulting;;;;;2;;;;2
PWC PriceWaterhouseCoopers;;;;;2;;;;2
Qaducation;;;;;1;;;;1
Q-Link Bemiddeling & Advies;;;;;1;;;;1
Q-Park;;;1;;;;;;1
Quercus Technical Services;;;;;1;;;;1
Quignon Grand Café;;;1;;;;;;1
Q-Vignes Wijnimport;;;1;;;;;;1
R. Van Vogelpoel Bloembinderij Utrecht;;;1;;;;;;1
Radio Royaal;;;1;;;;;;1
Railinfra Opleidingen;;;;;1;;;;1
RAMINI;;;1;;;;;;1
Randstad Group (incl. Tempo Team, P/Flex);;;;;;;;1;1
Rayer Healthcare;;;;;1;;;;1
Raymondo Grand Café;;;1;;;;;;1
Rdp Services;;;;;3;;;;3
Reaktie Safety Shops;;2;;;;;;;2
Reaseuro;;;;;1;;;;1
Rebotex - Horeca exploitatiemaatsch;;;;;;1;;;1
RECHTSDRAAIENDE ORGANISATIE;;;;;3;;;;3
RECREATIEBOERDERIJ DE WALKANT;;;1;;;;;;1
Rederij De Nederlanden;;;1;;;;;;1
Rederij Trip Sportvissen;;;1;;;;;;1
Reed Elsevier (incl. Reed Business, Elsevier, Elsevier Opleiding, Sciencedirect);;;;;2;;;;2
Reerink Rijwielen;;;1;;;;;;1
Reframe Intensis;;;;;2;;;;2
Regardz (incl. Iassociate);;;1;;;;;;1
Regelink Ecologie;;;;;1;;;;1
Regina Coeli Taleninstituut (incl. de Nonnen van Vught);;;;;2;;;;2
Regionaal Bureau Voor Toerisme Kan;;;1;;;;;;1
Regus;;;1;;2;;;1;2
Reith Hendriks & Partners;;;;;1;;;;1
REKREATIECENTRA AMELAND ST;;;1;;;;;;1
Relatics;;;;;1;;;;1
REMARKABLE WORKS / FRISSE START;;;;;1;;;;1
Rembrandt Rederij;;;1;;;;;;1
Rena Productions;;;1;;;;;;1
Repro Utrecht;;;;;1;;;;1
RESTAURANT & ZALENCENTRUM DE HEYZON;;;1;;;;;;1
RESTAURANT AKROPOLIS;;;1;;;;;;1
Restaurant China;;;1;;;;;;1
RESTAURANT DE BANK;;;1;;;;;;1
RESTAURANT DENNENBOS;;;1;;;;;;1
RESTAURANT DINER;;;1;;;;;;1
RESTAURANT FORTEZZA B.V.;;;1;;;;;;1
Restaurant Trix, de Menthenberg;;;1;;;;;;1
REWI PROMOTIONS;;;1;;;;;;1
Rhetorica Communicatietrainingen;;;;;1;;;;1
Rhodos, Grieks Restaurant;;;1;;;;;;1
Rib School Schevenigen;;;1;;;;;;1
RIETVELD OBJECT;;;1;;;;;;1
Rietveld Wines Trading;;;1;;;;;;1
Ripassa;;;1;;;;;;1
RISTORANTE TANTA ROBA B.V.;;;1;;;;;;1
ROC Midden Nederland;;;;;1;;;;1
RoderSana Hotel;;;;;1;;;;1
Rofra Sportieve Arrangementen;;;1;;;;;;1
Rohde & Grahl (incl. Working Well);;1;;;;;;;1
ROMA COFFEE CULTURE;;;1;;;;;;1
Rontgen Technische Dienst;;;;;1;;;;1
Rootz Cafe Restaurant;;;1;;;;;;1
Ropeni (incl. Schlemmer);;;2;;;;;1;2
Rosarium Wokrestaurant;;;1;;;;;;1
RotterZwam;;;1;;;;;;1
Routiers Distripark Eemhaven;;;1;;;;;;1
ROVC Technische Opleidingen;;;;;1;;;;1
Royal Delft / De Porceleyne Fles;;;1;;;;;;1
Royal Goedewaagen Gouda;;;1;;;;;;1
Royal Haskoning DHV (incl. Koninklijke Haskoning, Royal Haskoning, Corsmit, DHV);;;1;;;;;1;1
Rutte & Zn.;;;1;;;;;;1
S&L Training & Consultancy;;;;;2;;;;2
S. Maljaars Brood en Banketbakkerij;;;1;;;;;;1
S.B.P./Survival for Business & Plea;;;1;;;;;;1
Sa Design Architectuur;;;;;1;;;;1
Sab Catering;;;1;;;;;;1
Sabel Communicatie;;;1;;;;;;1
Safety Center Holland;;1;;;1;;;;1
Safety Valley;;;;;1;;;;1
Salathai Restaurant;;;1;;;;;;1
Sallo's Catering & Organisatie;;;1;;;;;;1
Salonboot den Haag & Delft;;;1;;;;;;1
SALSARICA;;;1;;;;;;1
Salt & Tasty B.V.;;;1;;;;;;1
Samen;;;;;1;;;;1
SAMENWERKINGSVERBAND PERSONEELSVER.;;;;;;;2;;2
Sandton Hotels (incl. Sandton Malie Exploit.);;;1;;;;;;1
Sasna Tax;;;;;;;;1;1
Sauter Wijnen;;;1;;;;;;1
Savant Learning Partners;;;;;4;;;;4
Sawo Foodservices (incl. Wox Restaurant);;;1;;;;;;1
Saxion Hogeschool Enschede;;;;;2;;;;2
SBI Training & Advies, Zonheuvel, Boschoord;;;1;;1;;;1;2
SBRCURnet Stg Bouwresearch;;;;;1;;;;1
Scania (incl. Beers, Production Zwolle);;;1;;1;;;1;1
Scène 37;;;;;1;;;;1
Scenter;;;;;1;;;;1
SCHALKWIJK VAN ECHTE BAKKER;;;1;;;;;;1
SCHELDEOORD HORECA VOF;;;1;;;;;;1
Scherp Restaurant;;;1;;;;;;1
SCHIPPERSCENTR NIJMEGEN;;;1;;;;;;1
Schoevers Opleidings- en Exameninstituut;;;;;1;;;;1
Schouten Global (incl. Schouten & Nelissen Groep, Thema);;;;;4;;;1;4
Schouwburg Almere;;;1;;;;;;1
Schreurs Opleidingen;;;;;1;;;;1
Schrijversacademie;;;;;1;;;;1
Schuilenburg Landgoed;;;1;;;;;;1
Schwandt Infographics;;;1;;;;;;1
SDO Stichting Deeltijd Opleidingen;;;;;1;;;;1
SDU - Service Centrum Uitgevers;;;;;1;;;;1
Se7ven Restaurant Utrecht;;;1;;;;;;1
Sea Palace Amsterdam;;;1;;;;;;1
Seafarm;;;1;;;;;;1
Search Ingenieursbureau, Laboratorium, Opleidingen, Consultancy, Knowledge;;1;;;1;;;;1
Seasons @ home bloemist;;;1;;;;;;1
Seats2meet.com;;;1;;1;;;1;1
SEC CATERING;;;1;;;;;;1
SEC eten & drinken;;;1;;;;;;1
Sectra Communications;;2;;;;;;;2
Selamat Makan Indonesisch Restaurant;;;1;;;;;;1
Sense Organisatie & Coaching;;;;;1;;;;1
SEO Economisch Onderzoek;;;;;1;;;;1
Sequenza Restaurant-Brasserie;;;1;;;;;;1
Shabu Shabu;;;1;;;;;;1
Shoefit;;;;;1;;;;1
Showtime Evenementenbureau;;;1;;;;;;1
SHZH Schipperscoöperatie Historische Zeilvaart Harlingen;;;1;;;;;;1
Siemens Nederland;;;;;1;;;;1
Siete Horeca Leeuwarden;;;1;;;;;;1
Sigma-Aldrich;;1;;;;;;;1
Silent Partners;;;2;;;;;;2
SIMARTI;;;1;;;;;;1
Simonis Oude Visafslag (incl. Catch Restaurant);;;1;;;;;;1
SimRent B.V.;;;;;1;;;;1
Sint Helenaheuvel;;;1;;;;;;1
SIOO Stichting Interuniveristair centrum Organisatie Veranderkunde;;;;;2;;;;2
Sistermans Hotel Central/Restaurant;;;1;;;;;;1
SKB - Stichting Kennisontwikkeling en Kennisoverdracht Bodem;;;1;;;;;;1
Skilltrade;;;;;1;;;;1
Skils;;;;;1;;;;1
SLAGER OP WIELEN;;;1;;;;;;1
Smaackmakers Experience;;;1;;;;;;1
Smara Siddhi;;;;;1;;;;1
Smaragd;;;1;;;;;;1
Smart Learning Solutions;;;;;1;;;;1
Smikkelhof De;;;1;;;;;;1
Smoortax;;;;;;;;1;1
Smulweb Kookcollege;;;1;;;;;;1
Snelle Vliet Touringcars;;;1;;;;;;1
Snowplanet;;;1;;;;;;1
SOBA Security Opleidingen;;;;;1;;;;1
SOD Opleidingen;;;;;1;;;;1
Soda Fine Bar-Restaurant;;;1;;;;;;1
Sodexo;;;1;;;1;;;1
Sofa Sounds Fantastic;;;1;;;;;;1
Soho (South of Houston);;;1;;;;;;1
Solexverhuur Utrecht;;;1;;;;;;1
Solo Vino & La Galleria;;;1;;;;;;1
Solskin Hotel-Café-Restaurant;;;1;;;;;;1
Soltegro;;;;;1;;;;1
Soma Bedrijfsopleidingen;;;;;1;;;;1
Soomers Strandtent;;;1;;;;;;1
Sooo.nl;;;1;;;;;;1
Sos Sports & Events;;;1;;;;;;1
Sovon Vogelonderzoek NL;;;;;1;;;;1
Spa Groep (incl. Opleiding);;;;;2;;;;2
SPAARNE 66;;;1;;;;;;1
Spaces Rode Olifant;;;1;;;;;1;1
Sparq;;;;;;;;1;1
Speakers Academy;;;1;;;;;1;1
Specialtours Events;;;1;;;;;;1
SPEELBOERDERIJ 'T KLOK'UUS;;;1;;;;;;1
Spiderworks;;;1;;;;;;1
Spido;;;1;;;;;;1
Spinkit;;;1;;;;;;1
Spize Asian Bistro Restaurant;;;1;;;;;;1
SPO Stichting Personeelsinstrumenten Onderwijs;;;;;1;;;;1
Sportbedrijf Lelystad Exploitatie;;;1;;;;;;1
Sprengers Advocaten (vh Advokatenkollektief);;;;;;;;1;1
Springhaver Theater Cafe;;;1;;;;;;1
Springteam - Werkplaats voor de Gee;;;;;1;;;;1
Spruit in Company Trainingen;;;;;2;;;;2
Srm;;;;;1;;;;1
St. Lava Legato;;;1;;;;;;1
Stadhuis Lunchcafe;;;1;;;;;;1
Stadsarrangement.nl;;;1;;;;;;1
Stairway To Heaven;;;1;;;;;;1
Stalplein;;;1;;;;;;1
Star Project;;;1;;;;;;1
STATISFACT;;;;;1;;;;1
Status Plus Stg Derdengelden;;;;;1;;;;1
Stavoor;;;;;2;;;1;2
STC Group;;;;;3;;;;3
Stellaard Versbakkerij;;;1;;;;;;1
Stg Bouwreflectie;;;;;2;;;;2
Stg Communicatie;;;;;1;;;;1
Stg Flevo-Landschap;;;1;;;;;;1
Stg HBO Haaglanden & Rijnstreek Haagse Hogeschool;;;;;1;;;;1
Stg Infographicscongres Nederland;;;;;;;;1;1
Stg TRACK, Reïntegratie en Bemiddeling;;;;;1;;;;1
Stg. Het Utrechts Landschap;;;1;;;;;;1
Stg. Het Zuid-Hollands Landschap;;;;;1;;;;1
Sticht. Gilde Stadswandelingen Dord;;;1;;;;;;1
STICHTING  REGIONALE OMROEP UTRECHT;;;1;;;;;;1
Stichting Adviesbureau Onroerende Zaken;;;;;1;;;;1
Stichting Arboretum Trompenburg;;;1;;;;;;1
Stichting Beheer Derdengelden Van G;;;1;;;;;;1
Stichting Beheer Synagoge;;;1;;;;;;1
Stichting Behoud Maritieme Monumenten;;;1;;;;;;1
STICHTING BELFJOR;;;1;;;;;;1
Stichting Clubhuis Cantaloup;;;1;;;;;;1
Stichting Crisislab;;;;;1;;;;1
Stichting De IJssellinie;;;1;;;;;;1
Stichting De Werk-mij;;;1;;;;;;1
Stichting Dorp, Stad en Land;;;1;;;;;;1
Stichting Dorpscentrum Spaarndam;;;1;;;;;;1
Stichting Eindhoven Marketing;;;1;;;;;;1
Stichting Fenix Food Factory;;;1;;;;;;1
Stichting Forteiland Pampus;;;1;;;;;;1
Stichting FriendsRun4Life;;;1;;;;;;1
Stichting Gemeenschapshuis De Meent en In de Roos;;;1;;;;;;1
Stichting Haags Openbaar Vervoer Mu;;;1;;;;;;1
Stichting Hannema-de Stuers Fundatie;;;1;;;;;;1
Stichting het Nederlands Vestingmuseum;;;1;;;;;;1
Stichting het Noordelijk;;;1;;;;;;1
Stichting HRR Wegwedstrijd;;;1;;;;;;1
Stichting Infrastructuur Kwaliteitsborging Bodembescherming;;;;;1;;;;1
STICHTING IR D F WOUDAGEMAAL;;;1;;;;;;1
STICHTING KAMPER KOGGE;;;1;;;;;;1
Stichting Kasteel Amerongen;;;1;;;;;;1
Stichting Katwijker Motor;;;1;;;;;;1
STICHTING KOMO;;;;;1;;;;1
Stichting Kontakt der Kontinenten Conferentiehotel;;;;;;;;1;1
Stichting Lean Management Instituut;;;;;2;;;;2
Stichting Marketing Scheveningen;;;2;;;;;;2
STICHTING MUSEUM HET VALKHOF KAM;;;1;;;;;;1
STICHTING NATIONAAL SCHOOLMUSEUM;;;;;1;;;;1
Stichting Noorderkerkpad;;;1;;;;;;1
Stichting Noordwijk Space Expo;;;1;;;;;;1
STICHTING PENNING VAN HET TUCHTCOLL;;;;;;;;1;1
Stichting Promotie Waterland;;;1;;;;;;1
Stichting Rioned;;;;;1;;;;1
Stichting Schiedamse Theaters;;;1;;;;;;1
STICHTING SCHIETBAAN NIEUWLAND;;;1;;;;;;1
Stichting Springtij Festival Terschelling;;;1;;1;;;;1
Stichting Vastgoedopleidingen Overheid;;;;;2;;;;2
Stichting Vrienden van de Toneelgro;;;1;;;;;;1
Stichting Wateropleidingen;;;;;1;;;;1
Stichting Werelderfgoed Kinderdijk;;;;;1;;;;1
Stichting Wongema;;;1;;;;;;1
STICHTING ZONNEHUIZEN KIND & JEUGD;;;1;;;;;;1
Stilbeeld Uitvaartfotografie;;;1;;;;;;1
Stipt Taxi & Touringcarbedrijf;;;;;;;;1;1
Stoffer Banketbakkerij;;;1;;;;;;1
STONEHENGE COFFEE COMPANY;;;1;;;;;;1
Stout Groep;;;;;1;;;;1
STOWA Stichting Toegepast Onderzoek Waterbeheer;;;;;1;;;;1
Strandhotel Seeduyn Vlieland;;;;;;;;1;1
Strandplaats Nederzandt;;;1;;;;;;1
Stratec Services;;1;;;;;;;1
StreamComputing;;;;;1;;;;1
STRIX ATHENA HOLDING;;;;;1;;;;1
Struijk Training & Adviesbureau;;;;;1;;;;1
Studentenfonds Koninklijk Conservatorium;;;1;;;;;;1
StudentsPlus Nederland;;;;;1;;;;1
Studie in de stad;;;;;1;;;;1
Studio Haarlem Café;;;1;;;;;;1
Studystore Studieboekencentrale;;;;;1;;;;1
Sumo Sushi & Grill Restaurant;;;1;;;;;;1
Superscript;;;;;1;;;;1
Supervlaai;;;1;;;;;;1
Sushi Biz;;;1;;;;;;1
Sushitoday;;;1;;;;;;1
SVC School Voor Coaching;;;;;2;;;;2
SVM Nivo;;;;;1;;;;1
Swaving & Swaving (Trois Cannetons);;;1;;;;;;1
SWOT organisatie-advies (incl. Geluid Trillingen en Luchtkwaliteit);;;;;1;;;;1
SYNDESMO;;;;;1;;;;1
't Anker Hotel Café ;;;;;;;;1;1
'T Boterhuis;;;1;;;;;;1
't Brasserietje Bij Ons;;;1;;;;;;1
'T GELDERS EILAND /STICHTING TOERIS;;;1;;;;;;1
'T Goude Hooft Beheer Equus Stadsherberg, Hotel;;;1;;;;;;1
'T Haasjes Bloemsierkunst;;;1;;;;;;1
't Haske Party en Zalencentrum;;;1;;;;;;1
'T Heerenlogement Restaurant;;;;;;;;1;1
'T Olde Regthuys Café-Restaurant;;;1;;;;;;1
'T Plein Restaurant;;;1;;;;;;1
'T Smoske;;;1;;;;;;1
'T Veerhuis Restaurant (Rohaas);;;1;;;;;;1
T Winkeltje;;;1;;;;;;1
T.M.C. Asser Instituut;;;;;1;;;;1
Taalcentrum-Vu;;;;;1;;;;1
Taaltaal;;;;;1;;;;1
Taarten.nl;;;1;;;;;;1
Taartenwinkel.nl;;;1;;;;;;1
Taat & De Regt;;;2;;;;;;2
Tabula Rasa;;;;;1;;;;1
Tafelen;;;1;;;;;;1
Tamminga en Verweij;;;1;;;;;;1
Tampat Senang Indisch Restaurant;;;1;;;;;;1
Tante Pietje Bistro-Restaurant-Hotel;;;1;;;;;;1
