;1000 - Personele exploitatie overig;1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1170 - Noodzakelijke contributies van personeel;1180 - Reis en verblijfkosten;Eindtotaal;
Rombou B.V.;;;;;;;;1;1;
Rondvaart Westland J. van den Bos;;;;;;1;;;1;
Rondvaartbedrijf Lauwersmeer;;;;;;1;;;1;
Rotterdam Marathon B.V.;;;;;;1;;;1;
Route 5 B.V.;;;;;1;;;;1;
Routine;;;;;1;;;;1;
ROVC Technische Opleidingen B.V.;;;;;1;;;;1;
Rozenhof C.V.;;;;;1;;;;1;
RTV Drenthe;;;1;;;;;;1;
Rulemanagement Group B.V.;;;;;1;;;;1;
Safe Site B.V.;;1;;;;;;;1;
Sancy Tres B.V.;;;1;;;1;;;1;
Sanne Lohman;;;;1;;;;;1;
Santé Horeca Beheer B.V.;;;1;;;;;;1;
Sapori d'Italia B.V.;;;1;;;;;;1;
Sareno B.V.;;1;;;;;;;1;
Sas Institute B.V.;;;;;1;;;;1;
SBI Formaat Opleiding en Advies B.V.;;;;;1;;;;1;
SBI Training en Advies/FNV Formaat B.V.;;;;;1;;;;1;
ScaleUp Company B.V.;;;;;;;;1;1;
Scheltema Leiden, theat.café/theat.rest. B.V.;;;1;;;;;;1;
Schiphol Nederland B.V.;;;;;;;;2;2;
Schoevers Trainingen B.V.;;;;;1;;;;1;
SchoolvoorCoaching B.V.;;;;;1;;;;1;
Schouten & Nelissen B.V.;;;;;4;;;;4;
Schouten & Nelissen Nederland B.V.;;;;;2;;;;2;
Schuttelaar Delicatessen Wijnen;;;1;;;;;;1;
ScienceWorks B.V.;;;;;1;;;;1;
Screenhouse B.V.;;;1;;;;;;1;
Sdu Uitgevers B.V.;;;;;1;;;;1;
Sea Life Centre Scheveningen B.V.;;;1;;;;;;1;
Seats2Meet.com Utrecht B.V.;;;;;1;;;1;1;
Secumar Benelux B.V.;;1;;;;;;;1;
Seinpost Indonesia B.V.;;;1;;;;;;1;
Semico;;;;;1;;;;1;
Sendiri;;;;;2;;;;2;
Sensetrans B.V.;;;;;1;;;;1;
Sentiero Training & Coaching;;;;;1;;;;1;
September B.V.;;;;;;1;;;1;
Serpo;;;;;;1;;;1;
Serum;;1;;;;;;;1;
SGS Nederland B.V.;;;;;1;;;;1;
Shabu Shabu 's Gravenhage B.V.;;;1;;;;;;1;
Shuttel B.V.;;;;;;;;9;9;
Simon Peter Been;;;;;1;;;;1;
Sirtaki;;;;;;1;;;1;
Skils B.V.;;4;;;1;;;;4;
Slimmer AI;;;;;1;;;;1;
Smaak Utrecht;;;;;1;1;;;1;
Smart.pr B.V.;;;;;1;;;;1;
Smederij Atelier Alkmaar;;;1;;;;;;1;
Snavelenburg Beheer B.V.;;;1;;;;;;1;
SnowWorld Leisure N.V.;;;1;;;;;;1;
SNR Schouten & Nelissen Recovery B.V.;;;;;2;;;;2;
Social Accountability International;;;;;2;;;;2;
Social Impact Factory Utrecht B.V.;;;;;1;;;;1;
Society of Petroleum Engineers;;;;;1;;;;1;
SoftwareONE B.V.;;;;;;;;3;3;
Sogeti Nederland B.V.;5;;;;2;;;;5;
SolBeach B.V.;;;1;;;;;;1;
Solid Sense B.V.;;2;;;2;;;;2;
Solution Mining Research Institute SMRI;;;;;1;;;;1;
Soma Bedrijfsopleidingen;;;;;1;;;;1;
Sonnevelt Opleidingen B.V.;;;;;1;;;;1;
Soomers;;;1;;;;;;1;
SOS Sport en Events B.V.;;;;;;1;;;1;
Source Creations;;;;;1;;;;1;
Spaans Taalcentrum El Sur;;;;;1;;;;1;
Spaces Rode Olifant B.V.;;;1;;;;;;1;
Speak to Inspire;;;;;1;;;;1;
Speakers Academy®;;;;;1;;;;1;
Specialtours B.V.;;;1;;;1;;;1;
Speech Republic B.V.;;;;;2;;;;2;
Speechless;;;;;2;;;;2;
Spiegelhart;;;;;1;;;;1;
Spiegels in de Ruimte;;;;;1;;;;1;
SPITZ congres & event B.V.;;;;;1;;;1;1;
SpiZe B.V.;;;1;;;;;;1;
Sportfondsen Leidschendam-Voorburg B.V.;;;1;;;;;;1;
Sporttainment Center De Uithof B.V.;1;;1;;;;;;1;
Spraakmakend Studio voor Spreekkunst;;;;;1;;;;1;
Sprankel & Co;;;;;1;;;;1;
Sprankelkinderen;;;;;1;;;;1;
Spreek B.V.;;;;;1;;;;1;
Spril B.V.;;;;;1;;;;1;
Springer Customer Service Center GmbH;;;;;1;;;;1;
SRM Aktiviteiten B.V.;;;;;1;;;;1;
Staatvandienst B.V.;;1;;;;;;;1;
Stadsarrangement.nl;;;1;;;;;;1;
Stadsbrug;;;;;;1;;;1;
Stadscafe De Waag B.V.;;;1;;;;;;1;
Stadscafé Van der Werff;;;1;;;;;;1;
Stadsherberg De Mol;;;1;;;;;;1;
Stadswerk Nederland Vereniging;;;;;1;;;;1;
Stairway To Heaven B.V.;;;1;;;;;;1;
Starke Management;;;;;1;;;;1;
Start People;6;;;1;;;;1;6;
Startel B.V.;;;;;1;;;1;1;
Stavoor B.V.;;;;;2;;;;2;
STC-KNRM B.V.;;;;;1;;;;1;
Stedelijk Museum Breda;;;;;;1;;;1;
Steenbok Horeca B.V.;;;;;1;;;;1;
Stelvio Coaching & Advies;;;2;;2;;;1;2;
Stenden Professionals B.V.;;;;;1;;;;1;
Stephanie van Workum ACT-coach;;;;;1;;;;1;
Stg. Atlantic and Pacific Exchange Program;;;;;1;;;;1;
Stg. Beroepsopleiding Octrooigemachtigden;;;;;2;;;;2;
Stg. Kon. Visio, exp.centr. slechtz./slechth.;;1;;;;;;;1;
Stg. Nat. Instituut voor Budgetvoorlichting;;;;;1;;;;1;
Stg. Nat. Lucht- en Ruimtevaartlaboratorium;;;;;2;;;;2;
Stg. Ned. Inst. voor Int. Betr. 'Clingend.';;;;;2;;;;2;
Stg. Nederlands Instituut voor Beeld & Geluid;;;1;;;;;;1;
Stg. Nederlands Instituut voor Kenn.overdr.;;;;;1;;;;1;
Stg. onderst. proj. Unie Soroptimistclbs NSC;;;1;;;;;;1;
Stg. PostAcademisch Onderw. Techniek en Man.;;;;;2;;;;2;
Stg. Reg. podium v. popcultuur Bergen op Zoom;;;;;;1;;;1;
Stg. Talent naar de Top, Charter voor vrouwen;;;;;2;;;;2;
Stg. Topconsort. Kennis&Inn. Tuinbouw&U.g.m.;;;;;;;;2;2;
Stg. ZB - Planbur. en Bibliotheek van Zeeland;;;;;;;;1;1;
Sticht. HAS KennisTransfer en Bedr.opleid.;;;;;1;;;;1;
Sticht. IRC, Int. Water and Sanitation Centre;;;;;;;;1;1;
Sticht. Proj. Kiwanisclub Zeist-Kromme Rijn;;;1;;;;;;1;
Stichting 113 Zelfmoordpreventie;;;;;1;;;;1;
Stichting Adelante Zorg;;1;;;;;;;1;
Stichting Amsterdam Institute of Finance;;;;;2;;;;2;
Stichting Atlantische Commissie;;;;;1;;;;1;
Stichting Bedrijfshockey Haagse Regio;;;1;;;;;;1;
Stichting Beeld en Geluid Den Haag;;;2;;;;;;2;
Stichting Bestuursbureau Noorderlink;;;;2;1;;;;2;
STICHTING Centre for Safety and Development;;;;;1;;;;1;
Stichting Christus Triumfatorkerk;;;1;;;;;;1;
Stichting Commonland;;;;;1;;;;1;
Stichting De Nieuwe Arbeid Gelderland;;;;;1;;;;1;
Stichting de Onthaasting;;;1;;;;;;1;
Stichting De Ooievaart;;;1;;;1;;;1;
Stichting De Polkadots;;;1;;;;;;1;
Stichting Diversity Dinner;;;1;;;;;;1;
Stichting Dominicanenklooster Zwolle;;;;;;1;;1;1;
Stichting Drents Museum;;;;;;1;;;1;
Stichting Dutch Design Foundation;;;;;;;;1;1;
Stichting Dutch Government Pride;;;2;;1;;;;2;
Stichting Energy Valley Topclub Topsport;;;1;;;;;;1;
Stichting EPI-kenniscentrum;;;;;1;;;;1;
Stichting Fundacion Prikichi;;;;;1;;;;1;
Stichting Gilde Den Haag;;;1;;;;;;1;
Stichting Gilde Rotterdam;;;;;;1;;;1;
Stichting Gouden Oor;;;;;1;;;;1;
Stichting Green Village;;;1;;;;;;1;
Stichting Grotius Academie;;;;;3;;;;3;
Stichting Guus Schrijvers Academie;;;;;1;;;;1;
Stichting Hanzehogeschool Groningen;;;;1;1;;;;1;
Stichting het Heilige Geesthofje;1;;;;;;;;1;
Stichting Het Limburgs Landschap;;;;;1;;;;1;
Stichting het Nationale Park de Hoge Veluwe;;;1;;;;;;1;
Stichting Het Nationale Theater;;;1;;;;;;1;
Stichting HIER opgewekt;;;;;1;;;;1;
Stichting Hoetinkfonds, Sociaal Fonds EL&I;1;;;;;;;;1;
Stichting Hoger Beroepsonderwijs Haaglanden;;;;;2;;;;2;
Stichting Hogeschool Utrecht;;;;;1;;;;1;
Stichting Instituut voor Bouwrecht;;;;;1;;;;1;
Stichting Instock;;;1;;;;;;1;
Stichting Integrand;;;;1;;;;;1;
Stichting Internat. Perscentrum 'Nieuwspoort';;;1;;1;;;1;1;
Stichting Kenniscentrum Phrenos;;;;;1;;;;1;
Stichting Koninklijke Rotterdamse Diergaarde;;;;;;1;;;1;
Stichting Marketing Groningen;;;;;;;;;;
Stichting MasterPeace;;;;;2;;;;2;
Stichting NIVRE Calamiteiten & Projecten;;;;6;;;;;6;
Stichting NulopdeMeter Experience Utrecht;;;;;;;;1;1;
Stichting OneWorld;;;;1;;;;;1;
Stichting Ontwikkelingen Mededingingsrecht;;;;;1;;;;1;
Stichting OSR Juridische Opleidingen;;;;;1;;;;1;
Stichting Pleio;;;;;1;;;;1;
Stichting Prins27;;;1;;;;;;1;
Stichting Qiy Foundation;;;;;1;;;;1;
Stichting Register Specialistisch Casemanag.;;;;;1;;;;1;
Stichting SEO Economisch Onderzoek;;;;;1;;;;1;
Stichting Shakespearetheater Diever;;;1;;;;;;1;
Stichting snikke 'Johannes Veldkamp';;;;;;1;;;1;
Stichting Social Enterprise NL;;;;;1;;;;1;
Stichting Springtij Festival Terschelling;;;;;1;;;1;2;
Stichting Stayokay;1;;;;;;;;1;
Stichting Tafelboom;;;;;;1;;;1;
Stichting Task Force Health Care;;;;;;;;1;1;
Stichting Utrecht Marketing;;;1;;;1;;;1;
Stichting Vogin;;;;;1;;;;1;
Stichting Vrienden van Loesje;;;;;;1;;;1;
Stichting Weegschaal Museum Naarden;;;1;;;;;;1;
Stichting Wereld Waternet;;;;;;1;;;1;
Stichting Werk & Begeleiding Mijn Werk;;;1;;;;;;1;
Stichting Werk aan de Linie;;;1;;;;;;1;
Stichting Werken op Maat;;1;;2;1;;;;2;
Stichting WIJ 3.0;;;;;;1;;;1;
Stichting Wind Energie Evenementen;;;;;;;;1;1;
Stichting Zoogdierenwerkgroep Zuid Holland;;;;;1;;;;1;
Stonehenge Creations;1;;;;;;;;1;
Strandclub Doen! Strand noord;;;1;;;;;;1;
Strandpaviljoen Buiten B.V.;;;;;;;;1;1;
Streetball Groningen;;;1;;;;;;1;
Studievereniging voor Staats- en Bestuursrecht Frederik van der Marck;;;;1;;;;;1;
Studio 08;;;1;;;1;;;1;
Studion B.V.;;1;;;;;;;1;
Sturingsadvies;;;;;1;;;;1;
Sweet Supply B.V.;;;1;;;;;;1;
Symbol B.V.;;;;;2;;;1;2;
Symbol Edu B.V.;;;;;1;;;;1;
Systems & Network Training;;;;;1;;;;1;
t Derkink;;;;;;;;1;1;
t Goude Hooft Exploitatie B.V.;;;1;;;;;;1;
t Ruysdael B.V.;;;;;1;;;;1;
t Waegstuk B.V.;;;1;;;;;;1;
TA academie;;;;;1;;;;1;
Taalbureau Inger;;;;;1;;;;1;
Taalstrategie B.V.;;;;;1;;;;1;
TaalTaal B.V.;;;;;1;;;;1;
Taarten.nl B.V.;;;1;;;;;;1;
Tabasco;;;2;;;1;;;2;
Take me out Events;;;;;;1;;;1;
Take-Charge;;;;;1;;;;1;
Taleninstituut Amsterdam;;;;;1;;;;1;
TalentOn B.V.;;;;;3;;;;3;
Tangram B.V.;;;;;1;;;;1;
Tapasbar El Mundo II B.V.;;;;;;1;;;1;
Tauro Beheer B.V.;;;1;;;;;;1;
Taxibedrijf Van der Wijst;;;1;;;;;1;1;
Taxonic B.V.;;;;;1;;;;1;
TB Events;;;1;;;;;;1;
Te Werve B.V.;;;1;;;;;;1;
Teambuilding;;;;;;1;;;1;
TEAMWORK;;;;;1;;;;1;
Techwatch B.V.;;;;;;;;1;1;
Teka Groep B.V.;;;1;;;;;2;2;
Tele2-Versatel;;;;;;;;1;1;
Telecom.Paper B.V.;;;;;1;;;;1;
Telepage B.V.;;1;;;;;;;1;
Tele'Train Education II B.V.;;;;;4;;;;4;
Tempo-Team Direct;;;;;;;;;;
ter Sprake;;;;;2;;;;2;
Tersteeg Organisatie Advies;;;;;1;;;;1;
TGH wholesale B.V.;;;1;;;;;;1;
Thais restaurant BaiYok;;;1;;;1;;;1;
The Act Trainingen;;;;;2;;;;2;
The Architect of Happiness;;;;;1;;;;1;
The behavioural insights team;;;;;1;;;;1;
The Boost Factory;;;1;;1;;;;1;
The British School in The Netherlands;;;;;1;;;;1;
The Clarks;;;1;;;;;;1;
The Council of European Energy Regulators CEER;;;;;1;;;;1;
The Courseware Company B.V.;;;;;1;;;;1;
The Great Escape Center B.V.;;;;;;1;;;1;
The Growth Factor Y. B.V.;;;;;1;;;;1;
The Hague Escape;;;;;;1;;;1;
The Internet Academy;;;;;1;;;;1;
The LSE Summer School Office;;;;;1;;;;1;
The MathWorks B.V.;;;;;1;;;;1;
The Mood Managers;;;;;1;1;;;1;
The Myers-Briggs Company Limited;;;;;2;;;;2;
The New How;;;;;1;;;;1;
The Pub Games;;;;;;1;;;1;
The Rat Pack B.V.;;;1;;;1;;;1;
The Rookie Minds B.V.;;;;;1;;;;1;
The Twins B.V.;;;1;;;1;;;1;
The Well Academy B.V.;;;;;1;;;;1;
Theater Buitensoos;;;;;1;;;1;1;
Thuiswinkel.org;;;;;1;;;;1;
TiasNimbas Business School;;;;;1;;;;1;
TICC;;;;;;1;;;1;
Tieben & Kojima B.V.;;;1;;;;;;1;
Tilkema Horeca B.V.;;;1;;;;;;1;
TMC Test & Integration B.V.;;;;;1;;;;1;
Toastable Den Haag B.V.;;;1;;;;;;1;
Ton Persoon;;;1;;;;;;1;
Tony's Chocolonely Nederland B.V.;;;1;;;;;;1;
Topaz Overduin;;;;;;;;1;1;
Topgeschenken Nederland B.V.;;;1;;;;;;1;
Topscore B.V.;;;;;2;;;;2;
Topscore Services B.V.;;;;;1;;;;1;
TOP-uitje.nl;;;1;;;;;;1;
Torch Marketing Co. Ltd.;;;;;1;;;;1;
Totality Recruiting Services B.V.;;;;;;;;1;1;
TradeFairs.nl;;;;;;;;1;1;
train2work B.V.;;;;;1;;;;1;
Transformatieplek;;;;;1;;;;1;
TRConsult B.V.;;;;;2;;;;2;
Tri Tunggal;;;1;;;;;;1;
Trimension B.V.;;;;;2;;;;2;
TroPa Café B.V.;;;;;;1;;;1;
Tshukudu Technology College B.V.;;;;;1;;;;1;
TSTC Training B.V.;;;;;1;;;;1;
Turks Restaurant 'Harput';;;1;;;;;;1;
TwinQels B.V.;;;;1;;;;;1;
TwynstraGudde;;;;;1;;;;1;
TwynstraGudde Adviseurs;;;;;1;;;;1;
Tyrilo B.V.;;;1;;;;;;1;
Udemy;;;;;1;;;;1;
Ugly Duck;;;1;;;;;;1;
Uit de Buurt;;;1;;;;;;1;
Uitgeverij Paris B.V.;;;;;1;;;;1;
Uitjes & Eten B.V.;;;1;;;1;;;1;
Uitjesbazen B.V.;1;;;;;;;;1;
UJG;2;;;;;;;;2;
Umami Restaurant Den Haag B.V.;;;1;;;;;;1;
unbrickable;1;;;;;;;;1;
Uncle Jim;;;;;;1;;;1;
United Nations Development Programme DK;;;;;1;;;;1;
Universities Space Research Assocs;;;;;1;;;;1;
University College Dublin (UCD);;;;;1;;;;1;
Unlimited People B.V.;;;;;1;;;;1;
Uno Fusion B.V.;;;1;;;;;;1;
UPD;;;;;2;;;;2;
USG Marketing & Communications;;;;;;;;2;2;
USG Restart;;1;;;1;;;;1;
Usine Eindhoven B.V.;;;;;;1;;;1;
Utrecht Business School;;;;;1;;;;1;
Utrecht's Rondvaartbedr. Rederij Schuttevaer;;;;;;1;;;1;
UX Academy B.V.;;;;;1;;;;1;
V.O.F. ¨de Kleine Esch¨;;;;;;1;;;1;
V.O.F. de smaak van Hoenderloo;;;1;;;;;;1;
V.O.F. Multivlaai Cosijnse;;;1;;;;;;1;
Vakmedianet Management B.V.;;;;;1;;;;1;
Valentin Verga;;;;;1;;;;1;
Van Abbe ZKM Coaching;;;;;1;;;;1;
Van Aken B.V.;;;;;;;;1;1;
VAN Bien B.V.;;;;;;1;;;1;
Van der Hilst Communicatie B.V.;;;;;2;;;;2;
Van der Kruijs Governance Search;;;;2;;;;;2;
Van der Valk Hotel Emmen B.V.;;;;;;;;1;1;
Van Doesum;;;;;1;;;;1;
Van Ede & Partners;;;;;1;;;;1;
Van Groningen Corporate & Fin. Training B.V.;;;;;1;;;;1;
Van Harte & Lingsma Man. en Organisatie B.V.;;;;;4;;;;4;
Van Luyken;;;;;1;;;;1;
Van Oss & Partners B.V.;;;;;1;;;;1;
Vanberkel Professionals B.V.;;;;;2;;;;2;
Vanberkel Professionals Holding B.V.;4;;;;;;;;4;
Var, Vereniging voor Bestuursrecht;;;;;1;;1;;1;
VAT Business B.V.;;;3;;1;1;;;3;
Vattenfall AB;;;;;;;;1;1;
VCA Nederland B.V.;;;;;2;;;;2;
VCK Travel B.V.;1;;;;1;;;8;8;
VDMi Intelligence & Projects B.V.;;;;;1;;;;1;
Veiligheidsinstituut Medi-Select B.V.;;1;;;;;;;1;
Veldhuis Opleidingsadvies;;;;;1;;;;1;
Veluvia Harderwijk B.V.;;;;;;1;;;1;
Ventolines B.V.;;;;;;;;1;1;
Ver. Nationaal Netwerk voor Risicomanagement;;;;;;;;1;1;
Ver. van Ambt. Secr. Medezeggensch.org. Ned.;;;;;1;;;;1;
Ver. voor Klachtrecht in de publieke sector;;;;;1;;;;1;
Verdonck, Klooster & Associates B.V.;1;;;;;;;;1;
Vereniging ACMalumni;;;;;1;;;;1;
Vereniging Energie-Nederland;;;;;;;;1;1;
Vereniging Goudse Gidsen Gilde;;;1;;;;;;1;
Vereniging JuristenRijk;;;;;1;;;;1;
Vereniging Telecom Society (Tsoc);;;;;1;;;;1;
Vereniging van Milieuprofessionals;;;;;;;;1;1;
Vereniging van Registercontrollers;;;;;1;;;;1;
Vereniging Van Vieren;;;;;1;;;;1;
Vereniging VNO-NCW;;;;;;;;1;1;
Vereniging voor Intellectuele Eigendom;;;;;1;;;1;1;
Vereniging voor Mededingingsrecht;;;;;1;;;;1;
Vereniging voor Milieurecht;;;;;1;;;;1;
Vereniging voor Overheidsmanagement;;;;;1;;;;1;
Vereniging voor Reclamerecht;;;;;1;;;;1;
Vereon AG;;;;;1;;;;1;
Verheijden Consult;;;;;1;;;;1;
Verhip;;;;;1;;;;1;
Verhuurbedrijf Paul B.V.;;;;;;1;;;1;
Vermaat Bedrijfshoreca B.V.;;;1;;;;;;1;
Vermaat Leisure B.V.;;;;;;1;;;1;
Very Italian Pizza II B.V.;;;;;;1;;;1;
Very Italian Pizza III B.V.;;;1;;;;;;1;
Vetho B.V.;;;;;;1;;;1;
Vhic Faculty B.V.;;;;;1;;;;1;
Victor de Stuersstichting;;;;;1;;;;1;
Victor Neyndorff;;;;;1;;;;1;
Vijlbrief Assessment;;;;;;;;;;
Vijverberg Advocaten B.V.;;;;;1;;;;1;
Villa Jongerius;;;1;;;;;1;1;
Villa Tapas Assen B,V,;;;1;;;;;;1;
Vino & Cucina;;;1;;;;;;1;
Vintage B.V.;;;1;;;;;;1;
ViQiT;;;;;1;;;;1;
Vis en Meer B.V.;;;1;;;;;;1;
Vitam Catering;;;;;;1;;;1;
VMC Organisatie en Communicatie;;;;;1;;;;1;
Volta Solar B.V.;;;;1;;;;;1;
Voor Claar B.V.;;;1;;;;;;1;
Vormingscentrum 'De Essenburgh'B.V.;;;;;1;;;;1;
VOSTOK I B.V.;;;;;1;;;;1;
VRescaperooms;;;1;;;;;;1;
VVV Cards B.V.;;;5;;;;;;5;
VVV Deventer;;;;;;1;;;1;
W.E. B.V.;;;1;;;;;;1;
Wageningen International Congress Centre B.V.;;;;;;1;;;1;
Walrus Leeuwarden B.V.;;;;;;;;1;1;
Walrus Sneek B.V.;;;;;;1;;;1;
Walter Benedict B.V.;;;1;;;;;;1;
Warung Mini XL Den Haag B.V.;;;;;;1;;;1;
Wat is Wijsheid.nu;;;;;1;;;;1;
WeHelpen Gericht B.V.;;;1;;;;;;1;
Welten Interim Capaciteit;;;;;;;;1;1;
Wereld Keuken B.V.;;;1;;;;;;1;
Wereldbeeld B.V.;;;;;1;;;;1;
Werken aan leren;;;;;1;;;;1;
Werkpartner B.V.;;;;1;;;;;1;
Wesselink Van Zijst B.V.;;;;;1;;;;1;
Westbroekpark Rosarium B.V.;;;1;;;;;;1;
Whoosah;;;1;;;;;;1;
Wielders Management B.V.;;;1;;;;;;1;
Wijnhandel GrapeWine;;;1;;;;;;1;
WIJS en moed;;;;;1;;;;1;
Wijsgerige Praktijk van der Gaag;;;;;1;;;;1;
wil2go4it;;;;;1;;;;1;
Wilde Woge/Kulturinsel;;;;;;;;1;1;
Willems Winkels B.V.;;;;1;;;;;1;
Wilma van Dartel;;;;;1;;;;1;
Winkeliersvereniging Koopmansplein Ten Boer;;;;;1;;;;1;
Winnock B.V.;;1;;;;;;;1;
WOK Het Oosten Oriënt. restaur. & partycater.;;;1;;;;;;1;
Wolters Kluwer Nederland B.V.;;;;;1;;;;1;
WorkWire B.V.;;;;;2;;;;2;
Worldmeetings.com B.V.;;;1;;1;1;;7;7;
Xerox (Nederland) B.V.;;;1;;1;;;;1;
XO;;;1;;;;;;1;
XpatCoach;;;;;1;;;;1;
Xzellent Management Adviesgroep B.V.;;;;;1;;;;1;
Yacht;4;;;;;;;;4;
Yacht B.V.;4;;;2;1;;;1;4;
Yankee Doodle B.V.;;;1;;;;;;1;
Yearth B.V.;;;;;1;;;;1;
Ying Tang B.V.;;;;;;1;;;1;
Yolo Percussie;;;1;;;;;;1;
YourGift Cards B.V.;;;4;;;;;1;4;
YSE B.V.;;;;;2;;;;2;
Yume Assen B.V.;;;1;;;1;;;1;
Yuris Rechtshulp B.V.;;;;;1;;;;1;
Zebedeus Café-Restaurant;;;1;;;;;;1;
Zierikzee Training en Consult;;;;;1;;;;1;
ZijSpreekt;;;;;1;;;;1;
Zilverline B.V.;;;;;1;;;;1;
Zinnige Zaken B.V.;;;;;1;;;;1;
Zo! Recruitment B.V.;;;;2;;;;;2;
ZO, Zoet & Zout;;;;;;1;;;1;
Zorg Innovaties Nederland B.V.;;1;;;;;;;1;
Zorg van de Zaak N.V.;;1;;;;;;;1;
ZorgmarktAdvies;;;;;1;;;;1;
ZSELF;;;;;1;;;;1;
Zusjes de Boer;;;1;;;;;;1;
Zwolse Balletjeshuis Fa. J. van der Kolk;;;1;;;;;;1;
Wadapartja;;;1;;;;;;1;
Villa Suikerberg;;;1;;;;;;1;
Vital Change B.V.;1;;;;;;;;1;
VR Experience B.V.;;;;;;1;;;1;
Zuid B.V.;;;1;;;;;;1;
Van Leeuwerden Beheer B.V.;;;;;;;;1;1;
Eindtotaal;7;5;7;7;8;5;1;9;10;
